[2026-03-06 09:26:13] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-03-05
正在获取论文...
[arXiv] 2026-03-05 | KARL: Knowledge Agents via Reinforcement Learning
[arXiv] 2026-03-05 | GEM-TFL: Bridging Weak and Full Supervision for Forgery Localization through EM-Guided Decomposition and Temporal Refinement
[arXiv] 2026-03-05 | Muon collider experiments as electron/positron beam sources: case studies of new light-particle searches
[arXiv] 2026-03-05 | External magnetic field influence on massive binary black hole inspiral gravitational waves and its similarity with environmental effects
[arXiv] 2026-03-05 | Large-scale Integration of Experimental and Computational Data for 2D Materials
[arXiv] 2026-03-05 | Orthogonal Spatial-temporal Distributional Transfer for 4D Generation
[arXiv] 2026-03-05 | Quantifying Salt Precipitation During CO2 Injection: How Flow Rate, Temperature, and Phase State Control Near-Wellbore Crystallization
[arXiv] 2026-03-05 | Boundary stabilization of flows in networks of open channels modeled by Saint-Venant equations
[arXiv] 2026-03-05 | MUTEX: Leveraging Multilingual Transformers and Conditional Random Fields for Enhanced Urdu Toxic Span Detection
[arXiv] 2026-03-05 | Accelerated size evolution in the FirstLight simulations from z=14 to z=5
[arXiv] 2026-03-05 | Why Do You Contribute to Stack Overflow? Understanding Cross-Cultural Motivations and Usage Patterns before the Age of LLMs
[arXiv] 2026-03-05 | Good-Enough LLM Obfuscation (GELO)
[arXiv] 2026-03-05 | Real-Space Plasmon Imaging Reveals Modified Electronic Structure of Gold at the Monolayer Limit
[arXiv] 2026-03-05 | A Second-Order Algorithm Based on Affine Scaling Interior-Point Methods for nonlinear minimization with bound constraints
[arXiv] 2026-03-05 | On the robustness of the indirect determination of the width of the detected Higgs boson
[arXiv] 2026-03-05 | Reproducing anomalous transport coefficients from electro-static tokamak edge turbulent dynamics
[arXiv] 2026-03-05 | Physics-consistent deep learning for blind aberration recovery in mobile optics
[arXiv] 2026-03-05 | 3D-RFT: Reinforcement Fine-Tuning for Video-based 3D Scene Understanding
[arXiv] 2026-03-05 | Replaying pre-training data improves fine-tuning
[arXiv] 2026-03-05 | Beyond Advocacy: A Design Space for Replication-Related Studies
[arXiv] 2026-03-05 | Spin-polarized Andreev molecules and anomalous nonlocal Josephson effects in altermagnetic junctions
[arXiv] 2026-03-05 | Modification to Fully Homomorphic Modified Rivest Scheme
[arXiv] 2026-03-05 | TimeWarp: Evaluating Web Agents by Revisiting the Past
[arXiv] 2026-03-05 | LocalSUG: Geography-Aware LLM for Query Suggestion in Local-Life Services
[arXiv] 2026-03-05 | An Efficient Stochastic First-Order Algorithm for Nonconvex-Strongly Concave Minimax Optimization beyond Lipschitz Smoothness
[arXiv] 2026-03-05 | Geodesic-transitive graphs with large diameter
[arXiv] 2026-03-05 | Roomify: Spatially-Grounded Style Transformation for Immersive Virtual Environments
[arXiv] 2026-03-05 | Beyond the Patch: Exploring Vulnerabilities of Visuomotor Policies via Viewpoint-Consistent 3D Adversarial Object
[arXiv] 2026-03-05 | Alignment Backfire: Language-Dependent Reversal of Safety Interventions Across 16 Languages in LLM Multi-Agent Systems
[arXiv] 2026-03-05 | AgentSCOPE: Evaluating Contextual Privacy Across Agentic Workflows
[arXiv] 2026-03-05 | FC-VFI: Faithful and Consistent Video Frame Interpolation for High-FPS Slow Motion Video Generation
[arXiv] 2026-03-05 | How Does the ReLU Activation Affect the Implicit Bias of Gradient Descent on High-dimensional Neural Network Regression?
[arXiv] 2026-03-05 | Bounded State in an Infinite Horizon: Proactive Hierarchical Memory for Ad-Hoc Recall over Streaming Dialogues
[arXiv] 2026-03-05 | Macromux: scalable postselection for high-threshold fault-tolerant quantum computation
[arXiv] 2026-03-05 | Set-Membership Localization via Range Measurements
[arXiv] 2026-03-05 | Osmosis Distillation: Model Hijacking with the Fewest Samples
[arXiv] 2026-03-05 | HACHIMI: Scalable and Controllable Student Persona Generation via Orchestrated Agents
[arXiv] 2026-03-05 | Diffusion disorder in the contact process
[arXiv] 2026-03-05 | Beyond Text: Aligning Vision and Language for Multimodal E-Commerce Retrieval
[arXiv] 2026-03-05 | A New Method for Identifying Contaminating Sources and Locating Target Sources through the Cross-Arm Features of Micro Pore Optics
[arXiv] 2026-03-05 | WhisperAlign: Word-Boundary-Aware ASR and WhisperX-Anchored Pyannote Diarization for Long-Form Bengali Speech
[arXiv] 2026-03-05 | Can LLMs Synthesize Court-Ready Statistical Evidence? Evaluating AI-Assisted Sentencing Bias Analysis for California Racial Justice Act Claims
[arXiv] 2026-03-05 | Timer-S1: A Billion-Scale Time Series Foundation Model with Serial Scaling
[arXiv] 2026-03-05 | Data-Driven Control of a Magnetically Actuated Fish-Like Robot
[arXiv] 2026-03-05 | Wave interactions in a screeching jet
[arXiv] 2026-03-05 | Breaking Contextual Inertia: Reinforcement Learning with Single-Turn Anchors for Stable Multi-Turn Interaction
[arXiv] 2026-03-05 | Selfish Cooperation Towards Low-Altitude Economy: Integrated Multi-Service Deployment with Resilient Federated Reinforcement Learning
[arXiv] 2026-03-05 | Privacy-Aware Camera 2.0 Technical Report
[arXiv] 2026-03-05 | DSA-SRGS: Super-Resolution Gaussian Splatting for Dynamic Sparse-View DSA Reconstruction
[arXiv] 2026-03-05 | Single-Particle Resonant States in Relativistic Hartree-Fock Theory: A Green's Function Approach
[arXiv] 2026-03-05 | The minimum length of an axis-aligned rectangular tiling of a flat torus
[arXiv] 2026-03-05 | Evaluating the Search Agent in a Parallel World
[arXiv] 2026-03-05 | HiMAP-Travel: Hierarchical Multi-Agent Planning for Long-Horizon Constrained Travel
[arXiv] 2026-03-05 | CONE: Embeddings for Complex Numerical Data Preserving Unit and Variable Semantics
[arXiv] 2026-03-05 | Solving an Open Problem in Theoretical Physics using AI-Assisted Discovery
[arXiv] 2026-03-05 | Effective vertexes in magnetized quark-gluon plasma
[arXiv] 2026-03-05 | A monitoring system for collecting and aggregating metrics from distributed clouds
[arXiv] 2026-03-05 | The Geometric Inductive Bias of Grokking: Bypassing Phase Transitions via Architectural Topology
[arXiv] 2026-03-05 | On Ehrhart theory for tropical vector bundles
[arXiv] 2026-03-05 | Generic Camera Calibration using Blurry Images
[arXiv] 2026-03-05 | Parsimonious Quantum Low-Density Parity-Check Code Surgery
[arXiv] 2026-03-05 | Quantum Weight Reduction with Layer Codes
[arXiv] 2026-03-05 | SAIL: Similarity-Aware Guidance and Inter-Caption Augmentation-based Learning for Weakly-Supervised Dense Video Captioning
[arXiv] 2026-03-05 | Constant depth magic state cultivation with Clifford measurements by gauging
[arXiv] 2026-03-05 | False traps on quantum-classical optimization landscapes
[arXiv] 2026-03-05 | Standardizing Access to Heterogeneous Quantum Backends: A Case Study on Cloud Service Integration with QDMI
[arXiv] 2026-03-05 | Training Dynamics-Aware Multi-Factor Curriculum Learning for Target Speaker Extraction
[arXiv] 2026-03-05 | Censored LLMs as a Natural Testbed for Secret Knowledge Elicitation
[arXiv] 2026-03-05 | Discretisation effects of gradient flows in QCD-like theories on the lattice
[arXiv] 2026-03-05 | Self-organization of cavity solitons in Brillouin-Kerr ring resonators
[arXiv] 2026-03-05 | BabAR: from phoneme recognition to developmental measures of young children's speech production
[arXiv] 2026-03-05 | Towards a data-scale independent regulariser for robust sparse identification of non-linear dynamics
[arXiv] 2026-03-05 | Distilling Formal Logic into Neural Spaces: A Kernel Alignment Approach for Signal Temporal Logic
[arXiv] 2026-03-05 | Logi-PAR: Logic-Infused Patient Activity Recognition via Differentiable Rule
[arXiv] 2026-03-05 | Accretion Disk Perturbations and Their Effects on Kerr Black Hole Superradiance and Gravitational Atom Evolution
[arXiv] 2026-03-05 | SWARM-SLR AIssistant: A Unified Framework for Scalable Systematic Literature Review Automation
[arXiv] 2026-03-05 | Iwasawa invariants and class number parity of multi-quadratic number fields
[arXiv] 2026-03-05 | Inverse-design of two-dimensional magnonic crystals via topology optimization with frequency-domain micromagnetics
[arXiv] 2026-03-05 | A Fully Open-source Implementation of an Analog 8-PAM Demapper for High-speed Communications
[arXiv] 2026-03-05 | Bidirectional Curriculum Generation: A Multi-Agent Framework for Data-Efficient Mathematical Reasoning
[arXiv] 2026-03-05 | Decoupling Task and Behavior: A Two-Stage Reward Curriculum in Reinforcement Learning for Robotics
[arXiv] 2026-03-05 | SPIRIT: Perceptive Shared Autonomy for Robust Robotic Manipulation under Deep Learning Uncertainty
[arXiv] 2026-03-05 | Sampling the Liquid-Gas Critical Point with Boltzmann Generators
[arXiv] 2026-03-05 | Domain-Direct Band Gaps: Classification and Material Realization
[arXiv] 2026-03-05 | Dispersion for the Schr{ö}dinger equation on the line with short-range array of delta potentials
[arXiv] 2026-03-05 | TW-Sound580K: A Regional Audio-Text Dataset with Verification-Guided Curation for Localized Audio-Language Modeling
[arXiv] 2026-03-05 | Voice Timbre Attribute Detection with Compact and Interpretable Training-Free Acoustic Parameters
[arXiv] 2026-03-05 | Beyond Positional Encoding: A 5D Spatio-Directional Hash Encoding
[arXiv] 2026-03-05 | MoRe: Motion-aware Feed-forward 4D Reconstruction Transformer
[arXiv] 2026-03-05 | Viscosity as a Smoking Gun for Complex Formation in Solution: Fe$^{2+}$ and Mg$^{2+}$ Chlorides as Examples
[arXiv] 2026-03-05 | Brunnian spanning 3-disks for the 2-unlink in the 4-sphere
[arXiv] 2026-03-05 | Quantum field theory for classical fields
[arXiv] 2026-03-05 | Asymptotic Behavior of Multi--Task Learning: Implicit Regularization and Double Descent Effects
[arXiv] 2026-03-05 | Interplay of internal and external coupling phases in cavity magnonics: from level repulsion to attraction
[arXiv] 2026-03-05 | Regularization by noise for Gevrey well-posedeness of a weakly hyperbolic operator
[arXiv] 2026-03-05 | Bloch and Landau constants for meromorphic functions
[arXiv] 2026-03-05 | CoIn3D: Revisiting Configuration-Invariant Multi-Camera 3D Object Detection
[arXiv] 2026-03-05 | RepoLaunch: Automating Build&Test Pipeline of Code Repositories on ANY Language and ANY Platform
[arXiv] 2026-03-05 | Label Hijacking in Track Consensus-Based Distributed Multi-Target Tracking
[arXiv] 2026-03-05 | Direct Contact-Tolerant Motion Planning With Vision Language Models
[arXiv] 2026-03-05 | BioLLMAgent: A Hybrid Framework with Enhanced Structural Interpretability for Simulating Human Decision-Making in Computational Psychiatry
[arXiv] 2026-03-05 | Fusion of JWST data - Demonstrating practical feasibility
[arXiv] 2026-03-05 | Limiting absorption principle for time-harmonic acoustic and electromagnetic scattering of plane waves from a bi-periodic inhomogeneous layer
[arXiv] 2026-03-05 | Tell2Adapt: A Unified Framework for Source Free Unsupervised Domain Adaptation via Vision Foundation Model
[arXiv] 2026-03-05 | Non-Euclidean Gradient Descent Operates at the Edge of Stability
[arXiv] 2026-03-05 | Lightweight and Scalable Transfer Learning Framework for Load Disaggregation
[arXiv] 2026-03-05 | TAPFormer: Robust Arbitrary Point Tracking via Transient Asynchronous Fusion of Frames and Events
[arXiv] 2026-03-05 | $\mathrm{L}^{2}$--convergence of the time-splitting scheme for nonlinear Dirac equation in 1+1 dimensions
[arXiv] 2026-03-05 | Training for Technology: Adoption and Productive Use of Generative AI in Legal Analysis
[arXiv] 2026-03-05 | A Simple Baseline for Unifying Understanding, Generation, and Editing via Vanilla Next-token Prediction
[arXiv] 2026-03-05 | VMXDOTP: A RISC-V Vector ISA Extension for Efficient Microscaling (MX) Format Acceleration
[arXiv] 2026-03-05 | Holographic QCD and quarkonium melting: Finite temperature, density, and external field effects in self-consistent dynamical models
[arXiv] 2026-03-05 | Model Medicine: A Clinical Framework for Understanding, Diagnosing, and Treating AI Models
[arXiv] 2026-03-05 | Early Planet Formation in Embedded Disks (eDisk). XVIII. Indication of a possible spiral structure in the dust-continuum emission of the protostellar disk around IRAS 16544-1604 in CB 68
[arXiv] 2026-03-05 | Probabilistic Dreaming for World Models
[arXiv] 2026-03-05 | LEGS-POMDP: Language and Gesture-Guided Object Search in Partially Observable Environments
[arXiv] 2026-03-05 | Strong consistency of the local linear estimator for a generalized regression function with dependent functional data
[arXiv] 2026-03-05 | Extended dynamical density functional theory for nonisothermal binary systems including momentum density
[arXiv] 2026-03-05 | Functionality-Oriented LLM Merging on the Fisher--Rao Manifold
[arXiv] 2026-03-05 | Uniform process tensor approach for the calculation of multi-time correlation functions of non-Markovian open systems
[arXiv] 2026-03-05 | When Weak LLMs Speak with Confidence, Preference Alignment Gets Stronger
[arXiv] 2026-03-05 | WaterSIC: information-theoretically (near) optimal linear layer quantization
[arXiv] 2026-03-05 | Uncertainty-aware Blood Glucose Prediction from Continuous Glucose Monitoring Data
[arXiv] 2026-03-05 | Gravitational instantons from closed superstring field theory
[arXiv] 2026-03-05 | $\nabla$-Reasoner: LLM Reasoning via Test-Time Gradient Descent in Latent Space
[arXiv] 2026-03-05 | Mind the Gap: Mapping Wearer-Bystander Privacy Tensions and Context-Adaptive Pathways for Camera Glasses
[arXiv] 2026-03-05 | Thermal stable nonlinear Raman-Nath diffraction and Cherenkov radiation in PPKTP crystals
[arXiv] 2026-03-05 | Detecting RAG Advertisements Across Advertising Styles
[arXiv] 2026-03-05 | Critical fluctuation patterns and anisotropic correlations driven by temperature gradients
[arXiv] 2026-03-05 | AILS-NTUA at SemEval-2026 Task 10: Agentic LLMs for Psycholinguistic Marker Extraction and Conspiracy Endorsement Detection
[arXiv] 2026-03-05 | Knowledge-informed Bidding with Dual-process Control for Online Advertising
[arXiv] 2026-03-05 | A Dynamical Lie-Algebraic Framework for Hamiltonian Engineering and Quantum Control
[arXiv] 2026-03-05 | Biquadratic SOS Rank and Double Zarankiewicz Number
[arXiv] 2026-03-05 | Magnetic moments of strange hidden-bottom pentaquarks and the role of spin flavor correlations
[arXiv] 2026-03-05 | A class of stochastic control problems with state constraints
[arXiv] 2026-03-05 | Potential Theory of the Fractional-Logarithmic Laplacian: Global Regularity and Critical Compact Embeddings
[arXiv] 2026-03-05 | Structure Observation Driven Image-Text Contrastive Learning for Computed Tomography Report Generation
[arXiv] 2026-03-05 | Frequency of a Digit in the Representation of a Number and the Asymptotic Mean Value of the Digits
[arXiv] 2026-03-05 | Lattice points arising from regularity and $\mathrm{v}$-number of Graphs: Whisker and Cameron-Walker
[arXiv] 2026-03-05 | Interpretable Pre-Release Baseball Pitch Type Anticipation from Broadcast 3D Kinematics
[arXiv] 2026-03-05 | Diffusion-Based sRGB Real Noise Generation via Prompt-Driven Noise Representation Learning
[arXiv] 2026-03-05 | SURE: Semi-dense Uncertainty-REfined Feature Matching
[arXiv] 2026-03-05 | The First Environmental Sound Deepfake Detection Challenge: Benchmarking Robustness, Evaluation, and Insights
[arXiv] 2026-03-05 | Rethinking Temporal Models for TinyML: LSTM versus 1D-CNN in Resource-Constrained Devices
[arXiv] 2026-03-05 | Stochastic inner workings of subdiffraction laser writing
[arXiv] 2026-03-05 | Why Is RLHF Alignment Shallow? A Gradient Analysis
[arXiv] 2026-03-05 | Multi-Paradigm Collaborative Adversarial Attack Against Multi-Modal Large Language Models
[arXiv] 2026-03-05 | Task-Relevant and Irrelevant Region-Aware Augmentation for Generalizable Vision-Based Imitation Learning in Agricultural Manipulation
[arXiv] 2026-03-05 | Bergman kernels and Poincaré series
[arXiv] 2026-03-05 | Towards Highly Transferable Vision-Language Attack via Semantic-Augmented Dynamic Contrastive Interaction
[arXiv] 2026-03-05 | Design Behaviour Codes (DBCs): A Taxonomy-Driven Layered Governance Benchmark for Large Language Models
[arXiv] 2026-03-05 | Multilevel Training for Kolmogorov Arnold Networks
[arXiv] 2026-03-05 | Mitigating Instance Entanglement in Instance-Dependent Partial Label Learning
[arXiv] 2026-03-05 | Autoscoring Anticlimax: A Meta-analytic Understanding of AI's Short-answer Shortcomings and Wording Weaknesses
[arXiv] 2026-03-05 | EchoGuard: An Agentic Framework with Knowledge-Graph Memory for Detecting Manipulative Communication in Longitudinal Dialogue
[arXiv] 2026-03-05 | Quadratic polarity and polar Fenchel-Young divergences from the canonical Legendre polarity
[arXiv] 2026-03-05 | ShieldBypass: On the Persistence of Impedance Leakage Beyond EM Shielding
[arXiv] 2026-03-05 | Beyond Linear LLM Invocation: An Efficient and Effective Semantic Filter Paradigm
[arXiv] 2026-03-05 | Comparative Evaluation of Traditional Methods and Deep Learning for Brain Glioma Imaging. Review Paper
[arXiv] 2026-03-05 | Diffusion Policy through Conditional Proximal Policy Optimization
[arXiv] 2026-03-05 | Towards a B+-tree with Fluctuation-Free Performance
[arXiv] 2026-03-05 | Could the interaction of jet and SN ejecta be the cause of X-ray knots observed in a radio galaxy?
[arXiv] 2026-03-05 | The Conjugacy Relation on One-sided Subshifts is Non-treeable
[arXiv] 2026-03-05 | Distributional Reinforcement Learning with Information Bottleneck for Uncertainty-Aware DRAM Equalization
[arXiv] 2026-03-05 | Evaluating and Correcting Human Annotation Bias in Dynamic Micro-Expression Recognition
[arXiv] 2026-03-05 | MIMO Channel Prediction via Deep Learning-based Conformal Bayes Filter
[arXiv] 2026-03-05 | Adaptive Policy Switching of Two-Wheeled Differential Robots for Traversing over Diverse Terrains
[arXiv] 2026-03-05 | Damage Prediction of Sintered α-SiC Using Thermo-mechanical Coupled Fracture Model
[arXiv] 2026-03-05 | Cotype of random polytopes
[arXiv] 2026-03-05 | Visioning Human-Agentic AI Teaming: Continuity, Tension, and Future Research
[arXiv] 2026-03-05 | Orbital-Selective Spin-Orbit Mott Insulator in Fractional Valence Iridate La$_3$Ir$_3$O$_{11}$
[arXiv] 2026-03-05 | Behaviour Driven Development Scenario Generation with Large Language Models
[arXiv] 2026-03-05 | RoboPocket: Improve Robot Policies Instantly with Your Phone
[arXiv] 2026-03-05 | The Spike, the Sparse and the Sink: Anatomy of Massive Activations and Attention Sinks
[arXiv] 2026-03-05 | Thermodynamic Response Functions in Singular Bayesian Models
[arXiv] 2026-03-05 | Scattering amplitudes in dimensionless quadratic gravity coupled to QED
[arXiv] 2026-03-05 | Towards 3D Scene Understanding of Gas Plumes in LWIR Hyperspectral Images Using Neural Radiance Fields
[arXiv] 2026-03-05 | The Bayesian view of DESI DR2: Evidence and tension in a combined analysis with CMB and supernovae across cosmological models
[arXiv] 2026-03-05 | Leveraging LLM Parametric Knowledge for Fact Checking without Retrieval
[arXiv] 2026-03-05 | 7D (non-)susy vacua & DWs from dynamical open strings
[arXiv] 2026-03-05 | A complete classification of modular compactifications of the universal Jacobian
[arXiv] 2026-03-05 | FlashAttention-4: Algorithm and Kernel Pipelining Co-Design for Asymmetric Hardware Scaling
[arXiv] 2026-03-05 | Distributed Partial Information Puzzles: Examining Common Ground Construction Under Epistemic Asymmetry
[arXiv] 2026-03-05 | TILARA: Template-Independent Line-by-line Algorithm for Radial velocity Analysis. I. Description of the code and application on a Sun-like star
[arXiv] 2026-03-05 | Cross-free families have linear size
[arXiv] 2026-03-05 | Near-Optimal Low-Complexity MIMO Detection via Structured Reduced-Search Enumeration
[arXiv] 2026-03-05 | Measurement Induced Asymmetric Entanglement in Deconfined Quantum Critical Ground State
[arXiv] 2026-03-05 | Technical design report of a complete and compact broadband high-harmonics femtosecond beamline based on a modular hollow waveguide for photons generation centered on the upper region of the extreme ultraviolet spectral range
[arXiv] 2026-03-05 | Extreme Quantum Cognition Machines for Deliberative Decision Making
[arXiv] 2026-03-05 | Spatially-aware Secondary License Sharing in mmWave Networks
[arXiv] 2026-03-05 | RelaxFlow: Text-Driven Amodal 3D Generation
[arXiv] 2026-03-05 | Air shower development through the time dependence of its induced electric field
[arXiv] 2026-03-05 | Antialtermagnetic Magnons and Nonrelativistic Thermal Edelstein Effect
[arXiv] 2026-03-05 | Building Enterprise Realtime Voice Agents from Scratch: A Technical Tutorial
[arXiv] 2026-03-05 | The Gibbs phenomenon for the Krawtchouk polynomials
[arXiv] 2026-03-05 | Judge Reliability Harness: Stress Testing the Reliability of LLM Judges
[arXiv] 2026-03-05 | Trans-Neptunian Binary Mutual Events in the 2020s and 2030s
[arXiv] 2026-03-05 | Legal interpretation and AI: from expert systems to argumentation and LLMs
[arXiv] 2026-03-05 | Weighted Sobolev Inequalities via the Meyers--Ziemer Framework: Measures, Isoperimetric Inequalities, and Endpoint Estimates
[arXiv] 2026-03-05 | A Comprehensive Approach to Directly Addressing Estimation Delays in Stochastic Guidance
[arXiv] 2026-03-05 | Omni-Manip: Beyond-FOV Large-Workspace Humanoid Manipulation with Omnidirectional 3D Perception
[arXiv] 2026-03-05 | GASTON-GP: Source catalogue and millimetre variability of massive protostellar objects
[arXiv] 2026-03-05 | Computing Green's functions and improving ground state energy estimation on quantum computers with Liouvillian recursion
[arXiv] 2026-03-05 | Preserving Continuous Symmetry in Discrete Spaces: Geometric-Aware Quantization for SO(3)-Equivariant GNNs
[arXiv] 2026-03-05 | Garment numbers of bi-colored point sets in the plane
[arXiv] 2026-03-05 | The effect of a toroidal opinion space on opinion bi-polarisation
[arXiv] 2026-03-05 | Riemannian Geometry of Optimal Rebalancing in Dynamic Weight Automated Market Makers
[arXiv] 2026-03-05 | GALACTIC: Global and Local Agnostic Counterfactuals for Time-series Clustering
[arXiv] 2026-03-05 | How important are the genes to explain the outcome - the asymmetric Shapley value as an honest importance metric for high-dimensional features
[arXiv] 2026-03-05 | Frequency-Aware Error-Bounded Caching for Accelerating Diffusion Transformers
[arXiv] 2026-03-05 | Andrews--Gordon type identities with parity restrictions through particle motion
[arXiv] 2026-03-05 | WebChain: A Large-Scale Human-Annotated Dataset of Real-World Web Interaction Traces
[arXiv] 2026-03-05 | Knowledge Divergence and the Value of Debate for Scalable Oversight
[arXiv] 2026-03-05 | The Local Tremaine-Weinberg Method for Galactic Pattern Speed: Theory and its Application to IllustrisTNG
[arXiv] 2026-03-05 | Monitoring Covariance in Multichannel Profiles via Functional Graphical Models
[arXiv] 2026-03-05 | Beyond Word Error Rate: Auditing the Diversity Tax in Speech Recognition through Dataset Cartography
[arXiv] 2026-03-05 | Network Design for Wafer-Scale Systems with Wafer-on-Wafer Hybrid Bonding
[arXiv] 2026-03-05 | Ultralimits of Sobolev maps and stability of Dehn functions
[arXiv] 2026-03-05 | 3d-3d correspondence and abelian flat connection
[arXiv] 2026-03-05 | Weighted Chui's conjecture
[arXiv] 2026-03-05 | Digital Twin Driven Textile Classification and Foreign Object Recognition in Automated Sorting Systems
[arXiv] 2026-03-05 | Not All Trust is the Same: Effects of Decision Workflow and Explanations in Human-AI Decision Making
[arXiv] 2026-03-05 | Quantum advantages for syndrome-aware noisy logical observable estimation
[arXiv] 2026-03-05 | Differential Privacy in Two-Layer Networks: How DP-SGD Harms Fairness and Robustness
[arXiv] 2026-03-05 | DARE: Aligning LLM Agents with the R Statistical Ecosystem via Distribution-Aware Retrieval
[arXiv] 2026-03-05 | Generalized matching decoders for 2D topological translationally-invariant codes
[arXiv] 2026-03-05 | QGPU: Parallel logic in quantum LDPC codes
[arXiv] 2026-03-05 | EMU/GAMA: A statistical perspective on active galactic nuclei diagnostics
[arXiv] 2026-03-05 | Achieving Thresholds via Standalone Belief Propagation on Surface Codes
[arXiv] 2026-03-05 | Axiomatic On-Manifold Shapley via Optimal Generative Flows
[arXiv] 2026-03-05 | Manipulation of ferromagnetism with a light-driven nonlinear Edelstein-Zeeman field
[arXiv] 2026-03-05 | Transducing Language Models
[arXiv] 2026-03-05 | Design and Analysis of an Improved Constrained Hypercube Mixer in Quantum Approximate Optimization Algorithm
[arXiv] 2026-03-05 | Leveraging Structural Knowledge for Solving Election in Anonymous Networks with Shared Randomness
[arXiv] 2026-03-05 | Modal Fragments
[arXiv] 2026-03-05 | Lagrangian structures on the derived moduli of constructible sheaves
[arXiv] 2026-03-05 | Hat guessing with proper colorings
[arXiv] 2026-03-05 | A Space-Time Galerkin Boundary Element Method for Aeroacoustic Scattering
[arXiv] 2026-03-05 | Advantage of flexible catalysis for entanglement and quantum thermodynamics
[IEEE] 2026-3-5 | Front Matter
[IEEE] 2026-3-5 | A Reputation-Based Evaluation Method to Defend Against Massive SSDF Attacks
[IEEE] 2026-3-5 | A Flexible Cross-chain Payment Channel Network
[IEEE] 2026-3-5 | Morphology-Guided Muscle Cell Detection &amp; Counting based on Transfer Learning, FFD Augmentation and Density-Aware Loss Optimization
[IEEE] 2026-3-5 | Temperature-Compensated Bragg Grating Sensor for Curvature and Strain Measurement in a Configurable Rectangular Optical Fiber
[IEEE] 2026-3-5 | XOR-TOPK : Efficient Top-K Selection Hardware Engine Based on Bitwise XOR Operation
[IEEE] 2026-3-5 | Fully Physical BTI Analysis Tool (BAT) for Modeling of NBTI Architecture, Materials, Process, and Dimension Dependence
[IEEE] 2026-3-5 | Modeling Passenger Flow Congestion Propagation in Urban Rail Transit Network with An Epidemic Approach
[ACM] 2026-3-5 | Swarm Learning: A Survey of Concepts, Applications, and Trends
[IEEE] 2026-3-5 | Application of Deep Reinforcement Learning in FPGA Multi-Frequency Clock Phase-Shifting Adaptive Measurement
[IEEE] 2026-3-5 | Cooperation of Converter-Interfaced Devices: Application on Low-Emission Offshore Oil and Gas Platforms
[IEEE] 2026-3-5 | Solution to Last Month’s Enigma [Enigmas, etc.]
[IEEE] 2026-3-5 | SPBNet-YOLO: Improving Small Object Detection in UAV Imagery Under Diverse Conditions
[IEEE] 2026-3-5 | Research on Intelligent Perception and Prediction of Enterprise Operational Risk Based on Transformer-Driven Fusion
[IEEE] 2026-3-5 | Local Flexibility Markets: Coordination of Distributed Flexibility Resources: European and U.S. Experiences and Innovations in Distributed Energy Resources
[IEEE] 2026-3-5 | Autonomous Systems - Digitalization, Education and Innovation in the engineering education
[IEEE] 2026-3-5 | Depression Detection in Social Media Comments Based on BiGRU-CapsNet
[IEEE] 2026-3-5 | Secure Storage Strategies for Massive Data in Network Computing Environments
[IEEE] 2026-3-5 | GNN-ETF: A Graph Neural Network-Based Framework for Modeling Inter-Sector Relationships in ETFs
[IEEE] 2026-3-5 | Analysis of User-Privacy, Third-Party Data Sharing and Consent Mechanism on Online Pharmacy Websites in Ontario
[IEEE] 2026-3-5 | CTD-YOLO: An Efficient Object Detection Algorithm for Tiny Surface Defects on Cranes
[IEEE] 2026-3-5 | Mixed-Signal Modulation Recognition Based on Feature Fusion Convolutional Neural Networks
[IEEE] 2026-3-5 | Ethical and Security Challenges of Large Language Models in Public Health Systems: A Survey
[IEEE] 2026-3-5 | An End-to-End Detection and Segmentation Model for Container Surface Damage Based on YOLOv11
[IEEE] 2026-3-5 | Case Studies and Real-World Applications of AI-Generated Content in User Interface Design in Smartphones
[IEEE] 2026-3-5 | Glacier Melt Time Series Prediction Model Based on LSTM Neural Network
[IEEE] 2026-3-5 | Application of Natural Language Processing in the Analysis of Emotional Logs in Music Therapy
[IEEE] 2026-3-5 | A Hybrid Informer-LightGBM Framework for Enhanced Carbon Emission Forecasting in Industrial Parks
[IEEE] 2026-3-5 | Extending Cyber Threat Modeling with Physical Dependency Analysis in DC Microgrids
[IEEE] 2026-3-5 | An Efficient FPGA-Based AES Encryption Design for IoT Terminals: Low-Power Optimization with a BRAM-Based S-Box
[IEEE] 2026-3-5 | The Effect of Different Learning Rates on the Performance of Face Recognition
[ACM] 2026-3-5 | Health Degree Prediction of DCS Equipment Based on WOA-BP Neural Network
[ACM] 2026-3-5 | DyVertexGAT: A Novel GNN-based Target Assignment Policy for Multi-Aircraft Combat Decision
[ACM] 2026-3-5 | AI Acceptance, Job Insecurity, and Resistance to Change: Impacts on Innovative Work Behavior
[ACM] 2026-3-5 | Whether the Blockchain Applications Will Empower Our Country Tax Revenue Divergence from Tax Source-Empirical Evidence from Chinese Cities
[ACM] 2026-3-5 | Can LLMs Hack Enterprise Networks? — RCR Report
[IEEE] 2026-3-5 | Powering Reliability, Engineering Resilience: A Unified Vision for the Modern Grid [Editor’s Voice]
[IEEE] 2026-3-5 | The Electromagnetic Properties of Multi-filaments MgB
                    <sub>2</sub>
                    Wires
[IEEE] 2026-3-5 | Spectral Koopman-Hopf Formula
