[2025-12-12 09:14:42] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-11
正在获取论文...
[arXiv] 2025-12-11 | Improved Identification of Strongly Lensed Gravitational Waves with Host Galaxy Locations
[arXiv] 2025-12-11 | Standard symmetrizing forms and Murphy bases of the cyclotomic Hecke algebras
[arXiv] 2025-12-11 | Symmetries of extremal horizons
[arXiv] 2025-12-11 | AutoMedic: An Automated Evaluation Framework for Clinical Conversational Agents with Medical Dataset Grounding
[arXiv] 2025-12-11 | Eight-Qubit Operation of a 300 mm SiMOS Foundry-Fabricated Device
[arXiv] 2025-12-11 | Phythesis: Physics-Guided Evolutionary Scene Synthesis for Energy-Efficient Data Center Design via LLMs
[arXiv] 2025-12-11 | An intermediately-homogenized peridynamics approach to failure of microstructually disordered materials
[arXiv] 2025-12-11 | Strong well-filteredness of upper topology on sup-complete posets
[arXiv] 2025-12-11 | RoleRMBench & RoleRM: Towards Reward Modeling for Profile-Based Role Play in Dialogue Systems
[arXiv] 2025-12-11 | Audio-sync Video Instance Editing with Granularity-Aware Mask Refiner
[arXiv] 2025-12-11 | Chaotic dynamics of a continuous and discrete generalized Ziegler pendulum
[arXiv] 2025-12-11 | Analysis of discrete energy-decay preserving schemes for Maxwell's equations in Cole-Cole dispersive medium
[arXiv] 2025-12-11 | Insensitivity points and performance of open quantum interferometers under number- conserving & non-conserving Lindblad dynamics
[arXiv] 2025-12-11 | Local convergence in $t$-PNG
[arXiv] 2025-12-11 | Unlocking the Address Book: Dissecting the Sparse Semantic Structure of LLM Key-Value Caches via Sparse Autoencoders
[arXiv] 2025-12-11 | BinaryGFH-v2: Improved method to search for gravitational waves from sub-solar-mass, ultra-compact binaries using the Generalized Frequency-Hough Transform
[arXiv] 2025-12-11 | A Bayesian Two-Sample Mean Test for High-Dimensional Data
[arXiv] 2025-12-11 | Bio-Organic Materials Based Resistive Switching Memories
[arXiv] 2025-12-11 | Ultra-Fast Muon Transport via Histogram Sampling on GPUs
[arXiv] 2025-12-11 | UNAAGI: Atom-Level Diffusion for Generating Non-Canonical Amino Acid Substitutions
[arXiv] 2025-12-11 | Adaptive Replay Buffer for Offline-to-Online Reinforcement Learning
[arXiv] 2025-12-11 | Does the Babcock-Leighton dynamo operate in rapidly rotating solar-type stars? Exploration using a 3D dynamo model at different rotation rates
[arXiv] 2025-12-11 | Tianyan: Cloud services with quantum advantage
[arXiv] 2025-12-11 | Complexity of Hofer's geometry in higher dimensional manifolds
[arXiv] 2025-12-11 | Zero-shot 3D Map Generation with LLM Agents: A Dual-Agent Architecture for Procedural Content Generation
[arXiv] 2025-12-11 | A Three-Dimensional SFT with Sparse Columns
[arXiv] 2025-12-11 | The relativistic reason for quantum probability amplitudes
[arXiv] 2025-12-11 | Six Easy Pieces: interplays among dualities in 4d, 3d and 2d
[arXiv] 2025-12-11 | Adaptive almost full recovery in sparse nonparametric models
[arXiv] 2025-12-11 | LLM-Assisted AHP for Explainable Cyber Range Evaluation
[arXiv] 2025-12-11 | FAUST XXX: Dust enhancement in the young binary L1551 IRS 5
[arXiv] 2025-12-11 | From Alternation to FPRAS: Toward a Complexity Classification of Approximate Counting
[arXiv] 2025-12-11 | Interfacial effect on the optoelectronic and piezoelectric properties of Ge-Sn terminated Halide Perovskite heterostructure from first-principles study
[arXiv] 2025-12-11 | Stealth and Evasion in Rogue AP Attacks: An Analysis of Modern Detection and Bypass Techniques
[arXiv] 2025-12-11 | Atomistic understanding of two-dimensional monatomic phase-change material for non-volatile optical applications
[arXiv] 2025-12-11 | Identification and Characterization of the Topside Bulge of the Venusian Ionosphere
[arXiv] 2025-12-11 | Hybrid Physics-ML Model for Forward Osmosis Flux with Complete Uncertainty Quantification
[arXiv] 2025-12-11 | An Extended Mixed Quantum/Classical Approach for Quantitative Calculation of Complex Refractive Index
[arXiv] 2025-12-11 | Long memory network time series
[arXiv] 2025-12-11 | Bollobás-type theorems for range strongly exposing operators
[arXiv] 2025-12-11 | The Feynman paradox in a spherical axion insulator
[arXiv] 2025-12-11 | Targeted Data Protection for Diffusion Model by Matching Training Trajectory
[arXiv] 2025-12-11 | Stationary Couette-type flows in relativistic fluids
[arXiv] 2025-12-11 | TransLocNet: Cross-Modal Attention for Aerial-Ground Vehicle Localization with Contrastive Learning
[arXiv] 2025-12-11 | Sliding Window Attention Adaptation
[arXiv] 2025-12-11 | Supervised Learning of Random Neural Architectures Structured by Latent Random Fields on Compact Boundaryless Multiply-Connected Manifolds
[arXiv] 2025-12-11 | Electric-Field-Controlled Altermagnetic Transition for Neuromorphic Computing
[arXiv] 2025-12-11 | First-principles study of the phase competition, mechanical and piezoelectric properties of pseudo-binary (SiC)(AlN) alloy
[arXiv] 2025-12-11 | BRACE: A Benchmark for Robust Audio Caption Quality Evaluation
[arXiv] 2025-12-11 | Surface acoustic wave-driven valley current generation in intervalley coherent states
[arXiv] 2025-12-11 | Structure Prediction of Ionic Epitaxial Interfaces with Ogre Demonstrated for Colloidal Heterostructures of Lead Halide Perovskites
[arXiv] 2025-12-11 | Self-Supervised Contrastive Embedding Adaptation for Endoscopic Image Matching
[arXiv] 2025-12-11 | A Novel Phase-Noise Module for the QUCS Circuit Simulator. Part I : the Periodic Steady-State
[arXiv] 2025-12-11 | LLM-Empowered Representation Learning for Emerging Item Recommendation
[arXiv] 2025-12-11 | Löwner equations and de Branges--Rovnyak spaces
[arXiv] 2025-12-11 | Spectral bounds for vertex-weighted Laplacians of simplicial complexes
[arXiv] 2025-12-11 | Noetherian Properties, Large Cardinals, and Independence Around $\aleph_ω$
[arXiv] 2025-12-11 | Bayesian Symbolic Regression via Posterior Sampling
[arXiv] 2025-12-11 | Learning Controllable and Diverse Player Behaviors in Multi-Agent Environments
[arXiv] 2025-12-11 | Comparative analysis of WNG-DF compromising beamformers
[arXiv] 2025-12-11 | Vertex-distinguishing edge coloring of graphs
[arXiv] 2025-12-11 | qs$GW$ quasiparticle and $GW$-BSE excitation energies of 133,885 molecules
[arXiv] 2025-12-11 | Quantum Approaches to Urban Logistics: From Core QAOA to Clustered Scalability
[arXiv] 2025-12-11 | Approximating Euclidean Shallow-Light Trees
[arXiv] 2025-12-11 | Conformal collider bootstrap in ${\mathcal N}=4$ SYM
[arXiv] 2025-12-11 | Natural Language Interface for Firewall Configuration
[arXiv] 2025-12-11 | Performance and reliability potential of Bi$_2$O$_2$Se/Bi$_2$SeO$_5$ transistors
[arXiv] 2025-12-11 | Lax Modal Lambda Calculi
[arXiv] 2025-12-11 | Pressure and Star Formation in LITTLE THINGS Dwarf Irregular Galaxies
[arXiv] 2025-12-11 | AERMANI-Diffusion: Regime-Conditioned Diffusion for Dynamics Learning in Aerial Manipulators
[arXiv] 2025-12-11 | Grow Up and Merge: Scaling Strategies for Efficient Language Adaptation
[arXiv] 2025-12-11 | Blood Pressure Prediction for Coronary Artery Disease Diagnosis using Coronary Computed Tomography Angiography
[arXiv] 2025-12-11 | Hidden No More: Spotlight on tidal disruption events in active galactic nuclei
[arXiv] 2025-12-11 | Echoes of Automation: How Bots Shaped Political Discourse in Brazil
[arXiv] 2025-12-11 | PMB-NN: Physiology-Centred Hybrid AI for Personalized Hemodynamic Monitoring from Photoplethysmography
[arXiv] 2025-12-11 | Model independent approach towards measuring expansion and growth factor from next generation galaxy clustering and lensing angular power spectrum
[arXiv] 2025-12-11 | Distribution-Free Stochastic MPC for Joint-in-Time Chance-Constrained Linear Systems
[arXiv] 2025-12-11 | TriHaRd: Higher Resilience for TEE Trusted Time
[arXiv] 2025-12-11 | Beyond the Black Box: Identifiable Interpretation and Control in Generative Models via Causal Minimality
[arXiv] 2025-12-11 | SpaceDrive: Infusing Spatial Awareness into VLM-based Autonomous Driving
[arXiv] 2025-12-11 | Approximate N$^2$LO and N$^3$LO QCD Predictions for $tW$ Production
[arXiv] 2025-12-11 | $Φ^4\_2$ theory limit of a many-body bosonic free energy
[arXiv] 2025-12-11 | A simplified proof of a cosmological singularity theorem
[arXiv] 2025-12-11 | Revisiting the apparent discrepancy between the frequentist and Bayesian interpretation of an adaptive design
[arXiv] 2025-12-11 | Advantage in distributed quantum computing with slow interconnects
[arXiv] 2025-12-11 | Exploring Perceptual Audio Quality Measurement on Stereo Processing Using the Open Dataset of Audio Quality
[arXiv] 2025-12-11 | Rethinking Popularity Bias in Collaborative Filtering via Analytical Vector Decomposition
[arXiv] 2025-12-11 | Optimal transport unlocks end-to-end learning for single-molecule localization
[arXiv] 2025-12-11 | Non-Stable K1-Functors Of Discrete Valuation Rings Containing A Field
[arXiv] 2025-12-11 | Geo6DPose: Fast Zero-Shot 6D Object Pose Estimation via Geometry-Filtered Feature Matching
[arXiv] 2025-12-11 | A tree bijection for cusp-less planar hyperbolic surfaces
[arXiv] 2025-12-11 | On the Dynamics of Multi-Agent LLM Communities Driven by Value Diversity
[arXiv] 2025-12-11 | Efficient simulation of low-entanglement bosonic Gaussian states in polynomial time
[arXiv] 2025-12-11 | Lasso-Ridge Refitting: A Two-Stage Estimator for High-Dimensional Linear Regression
[arXiv] 2025-12-11 | Unified Smart Factory Model: A model-based Approach for Integrating Industry 4.0 and Sustainability for Manufacturing Systems
[arXiv] 2025-12-11 | K-Track: Kalman-Enhanced Tracking for Accelerating Deep Point Trackers on Edge Devices
[arXiv] 2025-12-11 | Edge states of a Bi$_2$Se$_3$ nanosheet in a perpendicular magnetic field
[arXiv] 2025-12-11 | Analyzing developer discussions on EU and US privacy legislation compliance in GitHub repositories
[arXiv] 2025-12-11 | Empowering Dynamic Urban Navigation with Stereo and Mid-Level Vision
[arXiv] 2025-12-11 | Omni-Attribute: Open-vocabulary Attribute Encoder for Visual Concept Personalization
[arXiv] 2025-12-11 | Group Diffusion: Enhancing Image Generation by Unlocking Cross-Sample Collaboration
[arXiv] 2025-12-11 | Pair-density-wave in quarter-metals from a repulsive fermionic interaction in graphene heterostructures: A renormalization group study
[arXiv] 2025-12-11 | OmniView: An All-Seeing Diffusion Model for 3D and 4D View Synthesis
[arXiv] 2025-12-11 | Empirical evaluation of the Frank-Wolfe methods for constructing white-box adversarial attacks
[arXiv] 2025-12-11 | Conformal Boundary Conditions and Higher Curvature Gravity
[arXiv] 2025-12-11 | Noisy Quantum Learning Theory
[arXiv] 2025-12-11 | Free plane curves with a linear Jacobian syzygy
[arXiv] 2025-12-11 | Detection prospects for heavy WIMP dark matter near supermassive black holes, particularly in M31
[arXiv] 2025-12-11 | Electronic crystals and quasicrystals in semiconductor quantum wells: an AI-powered discovery
[arXiv] 2025-12-11 | A Stellar Magnesium to Silicon ratio in the atmosphere of an exoplanet
[arXiv] 2025-12-11 | Multi-Granular Node Pruning for Circuit Discovery
[arXiv] 2025-12-11 | A vision for ground-based astronomy beyond the 2030s: How to build ESO's next big telescope sustainably
[arXiv] 2025-12-11 | Trimming to coexistence: How dispersal strategies should be accounted for in resource management
[arXiv] 2025-12-11 | Observability inequality for the von Neumann equation in crystals
[arXiv] 2025-12-11 | DuetSVG: Unified Multimodal SVG Generation with Internal Visual Guidance
[arXiv] 2025-12-11 | Classifier Reconstruction Through Counterfactual-Aware Wasserstein Prototypes
[arXiv] 2025-12-11 | A Differentiable Digital Twin of Distributed Link Scheduling for Contention-Aware Networking
[arXiv] 2025-12-11 | Inflation in light of ACT/SPT: a new perspective from Weyl gravity
[arXiv] 2025-12-11 | Three-body resonances of $ααM$ clusters ($M=φ$, $J/ψ$, $η_c$) in $^{9}_{M}{\mathrm{Be}}$ nuclei
[arXiv] 2025-12-11 | Dynamics of Agentic Loops in Large Language Models: A Geometric Theory of Trajectories
[arXiv] 2025-12-11 | Reject or Not?: A Benchmark for Voice Assistant Query Rejection in Smart Home Scenario and an Improved Method Based on LLMs
[arXiv] 2025-12-11 | Multicritical Dynamical Triangulations and Topological Recursion
[arXiv] 2025-12-11 | Neural Collapse in Test-Time Adaptation
[arXiv] 2025-12-11 | ClusIR: Towards Cluster-Guided All-in-One Image Restoration
[arXiv] 2025-12-11 | Analyticity and positivity of Green's functions without Lorentz
[arXiv] 2025-12-11 | Exceptional embeddings of $N=2$ minimal models
[arXiv] 2025-12-11 | Maximum Risk Minimization with Random Forests
[arXiv] 2025-12-11 | Search for a solar-bound axion halo using the Global Network of Optical Magnetometers for Exotic physics searches
[arXiv] 2025-12-11 | Metrics on completely positive maps via noncommutative geometry
[arXiv] 2025-12-11 | Additional results on the four-loop flavour-singlet splitting functions in QCD
[arXiv] 2025-12-11 | Disperon QED
[arXiv] 2025-12-11 | Bit of a Close Talker: A Practical Guide to Serverless Cloud Co-Location Attacks
[arXiv] 2025-12-11 | Tool-Augmented Spatiotemporal Reasoning for Streamlining Video Question Answering Task
[arXiv] 2025-12-11 | mmCounter: Static People Counting in Dense Indoor Scenarios Using mmWave Radar
[arXiv] 2025-12-11 | Better Prevent than Tackle: Valuing Defense in Soccer Based on Graph Neural Networks
[arXiv] 2025-12-11 | Hybrid Transformer-Mamba Architecture for Weakly Supervised Volumetric Medical Segmentation
[arXiv] 2025-12-11 | A unified approach for the hadronic weak decays of $Λ$ and $Σ^{\pm}\to Nπ$
[arXiv] 2025-12-11 | Zero-shot Adaptation of Stable Diffusion via Plug-in Hierarchical Degradation Representation for Real-World Super-Resolution
[arXiv] 2025-12-11 | AI-Enhanced TOE Framework for Sustainable Industrial Performance in Fragile and Transforming Economies: Evidence from Yemen and Saudi Arabia
[arXiv] 2025-12-11 | StainNet: A Special Staining Self-Supervised Vision Transformer for Computational Pathology
[arXiv] 2025-12-11 | Residual subspace evolution strategies for nonlinear inverse problems
[arXiv] 2025-12-11 | DualProtoSeg: Simple and Efficient Design with Text- and Image-Guided Prototype Learning for Weakly Supervised Histopathology Image Segmentation
[arXiv] 2025-12-11 | Efficient-VLN: A Training-Efficient Vision-Language Navigation Model
[arXiv] 2025-12-11 | Tracking large chemical reaction networks and rare events by neural networks
[arXiv] 2025-12-11 | Motifs in self-organising cells
[arXiv] 2025-12-11 | InfoCom: Kilobyte-Scale Communication-Efficient Collaborative Perception with Information Bottleneck
[arXiv] 2025-12-11 | Trustworthy Orchestration Artificial Intelligence by the Ten Criteria with Control-Plane Governance
[arXiv] 2025-12-11 | Tracking Protostellar Variability in Massive Protoclusters with ALMA: I. Insights from QUARKS and MaMMOtH
[arXiv] 2025-12-11 | Segre powers of posets preserve EL-shellability
[arXiv] 2025-12-11 | Topological degree for negative fractional Kazdan--Warner equation on finite graphs
[arXiv] 2025-12-11 | Certifying Concavity and Monotonicity in Games via Sum-of-Squares Hierarchies
[arXiv] 2025-12-11 | Gradient projection method and stochastic search for some optimal control models with spin chains. II
[arXiv] 2025-12-11 | Geometric Origin of Lepton Anomalous Magnetic Moments: A Dimensionless Framework from Primitive Triangle Families
[arXiv] 2025-12-11 | Alpha Power Harris-G Family of Distributions: Properties and Application to Burr XII Distribution
[arXiv] 2025-12-11 | A parametrized Pontryagin--Thom theorem
[arXiv] 2025-12-11 | Balancing the Byline: Exploring Gender and Authorship Patterns in Canadian Science Publishing Journals
[arXiv] 2025-12-11 | Long-LRM++: Preserving Fine Details in Feed-Forward Wide-Coverage Reconstruction
[arXiv] 2025-12-11 | Defects Engineering of ZrTe5 for Stabilizing Ideal Topological States
[arXiv] 2025-12-11 | Convergence analysis of contrast source inversion type methods for acoustic inverse medium scattering problems
[arXiv] 2025-12-11 | A DC discharge plasma experiment for undergraduate laboratories
[arXiv] 2025-12-11 | RobustSora: De-Watermarked Benchmark for Robust AI-Generated Video Detection
[arXiv] 2025-12-11 | Antenna Coding Design for Multi-User Transmissions Using Pixel Antennas
[arXiv] 2025-12-11 | $^{12}$CO $J$=3--2 Observations of Tycho's supernova remnant: constraints on the environmental gas properties
[arXiv] 2025-12-11 | Studying and Automating Issue Resolution for Software Quality
[arXiv] 2025-12-11 | Task-Oriented Grasping Using Reinforcement Learning with a Contextual Reward Machine
[arXiv] 2025-12-11 | Emerging Standards for Machine-to-Machine Video Coding
[arXiv] 2025-12-11 | Latent Chain-of-Thought World Modeling for End-to-End Driving
[arXiv] 2025-12-11 | Integrated Generation and Purification of Entangled Coherent States for Non-Gaussian Teleportation
[arXiv] 2025-12-11 | Galaxy Phase-Space and Field-Level Cosmology: The Strength of Semi-Analytic Models
[arXiv] 2025-12-11 | Optimal learning of quantum channels in diamond distance
[arXiv] 2025-12-11 | Semiparametric rank-based regression models as robust alternatives to parametric mean-based counterparts for censored responses under detection-limit
[arXiv] 2025-12-11 | Feature Coding for Scalable Machine Vision
[arXiv] 2025-12-11 | An exploration for higher efficiency in multi objective optimisation with reinforcement learning
[arXiv] 2025-12-11 | On Sybil Proofness in Competitive Combinatorial Exchanges
[arXiv] 2025-12-11 | Explicit correlation functions for the six-vertex model in the free-fermion regime
[arXiv] 2025-12-11 | Frozen solitonic Hayward-boson stars in Anti-de Sitter Spacetime
[arXiv] 2025-12-11 | A robust fully-mixed finite element method with skew-symmetry penalization for low-frequency poroelasticity
[arXiv] 2025-12-11 | MiniF2F-Dafny: LLM-Guided Mathematical Theorem Proving via Auto-Active Verification
[arXiv] 2025-12-11 | The Narrow Emission Lines of Seyfert 1 Galaxies: Comparisons with a Large SDSS Sample
[arXiv] 2025-12-11 | Watermarks for Language Models via Probabilistic Automata
[arXiv] 2025-12-11 | Topology Identification and Inference over Graphs
[arXiv] 2025-12-11 | CIEGAD: Cluster-Conditioned Interpolative and Extrapolative Framework for Geometry-Aware and Domain-Aligned Data Augmentation
[arXiv] 2025-12-11 | Generative Modeling from Black-box Corruptions via Self-Consistent Stochastic Interpolants
[arXiv] 2025-12-11 | Asymptotics of hole probability regarding open balls for random sections on compact Riemann surfaces
[arXiv] 2025-12-11 | Spectral Decompositions of Controllability Gramian and Its Inverse based on System Eigenvalues in Companion Form
[arXiv] 2025-12-11 | F(R,..) theories from the point of view of the Hamiltonian approach: non-vacuum Anisotropic Bianchi type I cosmological model
[arXiv] 2025-12-11 | Allometric scaling of brain activity explained by avalanche criticality
[arXiv] 2025-12-11 | Decision Feedback-Aided Known-Interference Cancellation
[arXiv] 2025-12-11 | A Variable Step Sizes Frequency Offsets-Compensated Least Mean Squares Algorithm
[arXiv] 2025-12-11 | Measures and Models of Non-Monotonic Dependence
[arXiv] 2025-12-11 | Integrability of Koszul connections on complex vector bundles over domains in ${\mathbf C}^n$
[arXiv] 2025-12-11 | On connexivity in modal and conditional contexts
[arXiv] 2025-12-11 | Estimating Detector Error Models on Google's Willow
[arXiv] 2025-12-11 | Graph Laplacian Transformer with Progressive Sampling for Prostate Cancer Grading
[arXiv] 2025-12-11 | On the validity of the continuity equation in a modified gravity framework with CMB, DES 3x2pt and tomographic ISW data
[arXiv] 2025-12-11 | Data-driven Pressure Recovery in Diffusers
[arXiv] 2025-12-11 | HNN extensions and embedding theorems for groups
[arXiv] 2025-12-11 | Ultrahigh-Q chiral resonances empowered by multi-head attention deep learning
[arXiv] 2025-12-11 | Physics-Informed Learning of Microvascular Flow Models using Graph Neural Networks
[arXiv] 2025-12-11 | Replace, Don't Expand: Mitigating Context Dilution in Multi-Hop RAG via Fixed-Budget Evidence Assembly
[arXiv] 2025-12-11 | Composition/structure directed search for new chalcogenide compounds
[arXiv] 2025-12-11 | Building Audio-Visual Digital Twins with Smartphones
[arXiv] 2025-12-11 | Theoretical and experimental development of a high-conversion-efficiency rectifier at X-band
[arXiv] 2025-12-11 | Accurate laboratory testing of low-frequency triaxial vibration sensors under various environmental conditions
[arXiv] 2025-12-11 | Phase structure of the one-dimensional $\mathbb{Z}_2$ lattice gauge theory with second nearest-neighbor interactions
[arXiv] 2025-12-11 | Mixing by offshore wind infrastructure: Resolving the density stratified wakes past vertical cylinders
[arXiv] 2025-12-11 | A 12d Origin of the Type IIB String Theory: A Review
[arXiv] 2025-12-11 | TRIDENT: A Redundant Architecture for Caribbean-Accented Emergency Speech Triage
[arXiv] 2025-12-11 | Partial $A_4$ flavor symmetry of the leptonic 3HDM
[arXiv] 2025-12-11 | Optimized matching conditions for self-guided laser wakefield accelerators
[arXiv] 2025-12-11 | Motor shot noise explains active fluctuations in a single cilium
[arXiv] 2025-12-11 | Influence of the basins of attractions in the register jumps of the clarinet
[arXiv] 2025-12-11 | A Stabilized Finite Element Method for Morpho-Visco-Poroelastic Model
[arXiv] 2025-12-11 | Magnetic anisotropy and dipolar interactions in the frustrated triangular-lattice magnet NaGdS_2
[arXiv] 2025-12-11 | Constraints on the Population of Common Sources of Gravitational Waves and High-Energy Neutrinos with IceCube During the Third Observing Run of the LIGO and Virgo Detectors
[arXiv] 2025-12-11 | Sub-Bath Cooling in Bosonic Systems: Gaussian Constraints and Non-Gaussian Enhancements
[arXiv] 2025-12-11 | HybridVFL: Disentangled Feature Learning for Edge-Enabled Vertical Federated Multimodal Classification
[arXiv] 2025-12-11 | Local rigidity of projective smooth horospherical varieties of Picard number two
[arXiv] 2025-12-11 | Enhancing Radiology Report Generation and Visual Grounding using Reinforcement Learning
[arXiv] 2025-12-11 | Maximal rigidity of random measure and uniqueness pairs: stealthy processes, quasicrystals and periodicity
[arXiv] 2025-12-11 | Melnikov Method for a Class of Generalized Ziegler Pendulums
[arXiv] 2025-12-11 | On Neutral Edge Sets in Anti-Ramsey Numbers
[arXiv] 2025-12-11 | Evaluating Gemini Robotics Policies in a Veo World Simulator
[arXiv] 2025-12-11 | AEBNAS: Strengthening Exit Branches in Early-Exit Networks through Hardware-Aware Neural Architecture Search
[arXiv] 2025-12-11 | Learning by Analogy: A Causal Framework for Composition Generalization
[arXiv] 2025-12-11 | Can accreting isolated neutron stars be detected?
[arXiv] 2025-12-11 | Master Variables and Darboux Symmetry for Axial Perturbations of the Exterior and Interior of Black Hole Spacetimes
[arXiv] 2025-12-11 | Token Sample Complexity of Attention
[arXiv] 2025-12-11 | Strong Global Convergence of the Consensus-Based Optimization Algorithm
[arXiv] 2025-12-11 | Subtracting compact binary foregrounds utilizing anisotropic statistic for third-generation gravitational-wave detectors
[arXiv] 2025-12-11 | Eigenfunctionals for positive operators
[arXiv] 2025-12-11 | Stability of the symmetry-protected topological phase and Ising transitions in a disordered U(1) quantum link model on a ladder
[arXiv] 2025-12-11 | Refinement Contrastive Learning of Cell-Gene Associations for Unsupervised Cell Type Identification
[arXiv] 2025-12-11 | Objectives and Design Principles in Offline Payments with Central Bank Digital Currency (CBDC)
[arXiv] 2025-12-11 | Equivalent Instances for Scheduling and Packing Problems
[arXiv] 2025-12-11 | Deep Photonic Reservoir Computing with On-chip Nonlinearity
[arXiv] 2025-12-11 | AgriGPT-Omni: A Unified Speech-Vision-Text Framework for Multilingual Agricultural Intelligence
[arXiv] 2025-12-11 | Stellar masses and mass ratios for Gaia open cluster members
[arXiv] 2025-12-11 | nDspec: a new Python library for modelling multi-dimensional datasets in X-ray astronomy
[arXiv] 2025-12-11 | Coupling opinion dynamics and epidemiology
[arXiv] 2025-12-11 | Robust Multi-Disease Retinal Classification via Xception-Based Transfer Learning and W-Net Vessel Segmentation
[arXiv] 2025-12-11 | Track and Caption Any Motion: Query-Free Motion Discovery and Description in Videos
[arXiv] 2025-12-11 | Multiloop calculations with parametric integration in critical dynamics: the four-loop analytic study of model A of $φ^4$ theory
[arXiv] 2025-12-11 | Renormalization group evolution induced breaking of $μ-τ$ reflection symmetry in MSSM with effects of variation of $tanβ$
[arXiv] 2025-12-11 | Model theory of difference fields with an additive character on the fixed field
[arXiv] 2025-12-11 | Topology-Guided Quantum GANs for Constrained Graph Generation
[arXiv] 2025-12-11 | FAST-MEPSA: an optimised and faster version of peak detection algorithm MEPSA
[arXiv] 2025-12-11 | An analytical framework for atmospheric tides on rocky planets. I. Formulation
[arXiv] 2025-12-11 | ESS: An Offload-Centric Latent-Cache Management Architecture for DeepSeek-V3.2-Exp
[arXiv] 2025-12-11 | Is the Information Bottleneck Robust Enough? Towards Label-Noise Resistant Information Bottleneck Learning
[arXiv] 2025-12-11 | DeMapGS: Simultaneous Mesh Deformation and Surface Attribute Mapping via Gaussian Splatting
[arXiv] 2025-12-11 | Flexible Deep Neural Networks for Partially Linear Survival Data
[arXiv] 2025-12-11 | Complete Structural Analysis of $q$-Heisenberg Algebras: Homology, Rigidity, Automorphisms, and Deformations
[arXiv] 2025-12-11 | Friction modifies the quasistatic mechanical response of a confined, poroelastic medium
[arXiv] 2025-12-11 | Stellar Evolution in Close Binaries: Processes and Outcomes
[arXiv] 2025-12-11 | Achieving Olympia-Level Geometry Large Language Model Agent via Complexity Boosting Reinforcement Learning
[arXiv] 2025-12-11 | Application of time-series analysis methods to a multiple-sector TESS observations: the case of the radio-loud blazar 3C 371
[arXiv] 2025-12-11 | Neural Ranging Inertial Odometry
[arXiv] 2025-12-11 | Fano and Reflexive Polytopes from Feynman Integrals
[arXiv] 2025-12-11 | 3D Blood Pulsation Maps
[arXiv] 2025-12-11 | Classical Dirac particle: Mass and Spin invariance and radiation reaction
[arXiv] 2025-12-11 | T-ADD: Enhancing DOA Estimation Robustness Against Adversarial Attacks
[arXiv] 2025-12-11 | Decoding Human-LLM Collaboration in Coding: An Empirical Study of Multi-Turn Conversations in the Wild
[arXiv] 2025-12-11 | UACER: An Uncertainty-Aware Critic Ensemble Framework for Robust Adversarial Reinforcement Learning
[arXiv] 2025-12-11 | From Lab to Reality: A Practical Evaluation of Deep Learning Models and LLMs for Vulnerability Detection
[arXiv] 2025-12-11 | Contact SLAM: An Active Tactile Exploration Policy Based on Physical Reasoning Utilized in Robotic Fine Blind Manipulation Tasks
[arXiv] 2025-12-11 | A Novel Pilot Scheme for Uplink Channel Estimation for Sub-array Structured ELAA in XL-MIMO systems
[arXiv] 2025-12-11 | Thermal Casimir effect in $κ$-Minkowski space-time
[arXiv] 2025-12-11 | Pockels effect induced strong Kerr nonlinearity in a lithium niobate waveguide
[arXiv] 2025-12-11 | Shot and Architecture Adaptive Subspace Variational Quantum Eigensolver for Microwave Simulation
[arXiv] 2025-12-11 | Global dynamics of three-dimensional Lotka-Volterra competition models with seasonal succession: II. Uniqueness of positive fixed points
[arXiv] 2025-12-11 | Error-Propagation-Free Learned Video Compression With Dual-Domain Progressive Temporal Alignment
[arXiv] 2025-12-11 | Outdoor Crowd Flow Estimation Using RSRP from Commercial LTE Base Station: A Field Study
[arXiv] 2025-12-11 | Clustered Federated Learning with Hierarchical Knowledge Distillation
[arXiv] 2025-12-11 | Decoding Student Minds: Leveraging Conversational Agents for Psychological and Learning Analysis
[arXiv] 2025-12-11 | Color-avoiding Ramsey for directed paths and vector sequences
[arXiv] 2025-12-11 | T-pro 2.0: An Efficient Russian Hybrid-Reasoning Model and Playground
[arXiv] 2025-12-11 | Representation of the structure of graphs by sequences of instructions
[arXiv] 2025-12-11 | The Operator Origins of Neural Scaling Laws: A Generalized Spectral Transport Dynamics of Deep Learning
[arXiv] 2025-12-11 | Beyond Endpoints: Path-Centric Reasoning for Vectorized Off-Road Network Extraction
[arXiv] 2025-12-11 | Local dimension of a Boolean lattice
[arXiv] 2025-12-11 | Diffusion differentiable resampling
[arXiv] 2025-12-11 | Excitation energies and UV-Vis absorption spectra from INDO/s+ML
[arXiv] 2025-12-11 | Improved Small Set Expansion in High Dimensional Expanders
[arXiv] 2025-12-11 | 5D Rotating Black Holes as dark matter in Dark Dimension Scenario: Hawking Radiation versus the Memory Burden Effect
[arXiv] 2025-12-11 | RaLiFlow: Scene Flow Estimation with 4D Radar and LiDAR Point Clouds
[arXiv] 2025-12-11 | D2M: A Decentralized, Privacy-Preserving, Incentive-Compatible Data Marketplace for Collaborative Learning
[arXiv] 2025-12-11 | AgentProg: Empowering Long-Horizon GUI Agents with Program-Guided Context Management
[arXiv] 2025-12-11 | Breaking the Vicious Cycle: Coherent 3D Gaussian Splatting from Sparse and Motion-Blurred Views
