[2026-06-02 23:45:42] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-01
正在获取论文...
[arXiv] 2026-06-01 | FocusDiT: Masking Queries in Diffusion Transformers for Fine-grained Image Generation
[arXiv] 2026-06-01 | Beyond Low-Rank: Low-Rank Sparse Prompting via Spiking Neural Network and Prompt Factorization
[arXiv] 2026-06-01 | Secure RSMA-based Visible Light Networks under Spatial Correlation
[arXiv] 2026-06-01 | HMPO: Hybrid Median-length Policy Optimization for Chain-of-Thought Compression
[arXiv] 2026-06-01 | Spatial Capture-Recapture With Penalized Regression Splines to Flexibly Model Wildlife Density and Distribution
[arXiv] 2026-06-01 | Scaling LLM Inference Beyond Amdahl`s Limits via Eliminating Non-Scalable Overheads
[arXiv] 2026-06-01 | QoEReasoner: An Agentic Reasoning Framework for Automated and Explainable QoE Diagnosis in RANs
[arXiv] 2026-06-01 | Pool-Select-Refine: Allocation-Aware Generative Dataset Distillation with Soft-Label-Guided Latent Refinement
[arXiv] 2026-06-01 | Exact spectrum of the XX spin chain with constrained non-diagonal boundary fields
[arXiv] 2026-06-01 | Mechanistic Diagnostics of Spatial Lexical Bias in Multimodal Large Language Model Spatial Reasoning
[arXiv] 2026-06-01 | SMH-Bench: Benchmarking LLM Agents for Environment-Grounded Reasoning and Action in Smart Homes
[arXiv] 2026-06-01 | Community-Aware Assessment of Social Textual Engagement and Resonance: A Human-Centric Perspective on User-Generated Content Evaluation
[arXiv] 2026-06-01 | Adversarial Attacks on Robot Localization Systems via Deep Feature Perturbation
[arXiv] 2026-06-01 | Can the Brownian diffusion coefficient be reconstructed from Lyapunov exponents?
[arXiv] 2026-06-01 | Quasi-bound States of Scalar field inside the Dyonic Kerr-Sen Black Hole
[arXiv] 2026-06-01 | Waterproof Editor: an educational environment for proof assistants and programming languages
[arXiv] 2026-06-01 | The Price of Decentralization in Block Building
[arXiv] 2026-06-01 | G2LoRA: Gradient Orthogonal Low-Rank Adaptation Framework for Graph Continual Learning on Text-Attributed Graphs
[arXiv] 2026-06-01 | Mass and Spin Growth of Very Massive Stars in Star Clusters Potentially Associated with Little Red Dots
[arXiv] 2026-06-01 | Continual Learning as a Multiphase Moving-Boundary Problem
[arXiv] 2026-06-01 | RescueBench: Can Embodied Agents Save Lives in the Wild ?
[arXiv] 2026-06-01 | Physics-Guided Attention in a Lightweight TCN for Efficient WiFi CSI-Based Human Activity Recognition
[arXiv] 2026-06-01 | Unsupervised Collaborative Domain Adaptation for Driving Scene Parsing
[arXiv] 2026-06-01 | Personalized 3D Myocardial Infarct Geometry Reconstruction from Cine MRI for Cardiac Digital Twins
[arXiv] 2026-06-01 | MetaForge: A Self-Evolving Multimodal Agent that Retrieves, Adapts, and Forges Tools On Demand
[arXiv] 2026-06-01 | Multilinguality of Large Language Models From a Structural Perspective
[arXiv] 2026-06-01 | Excitonic-Superconducting Coexistence and Emergent Nematic Superconductivity Driven by Spontaneous Symmetry Breaking
[arXiv] 2026-06-01 | An Algebraic View of the Expressivity of Recurrent Language Models
[arXiv] 2026-06-01 | On cyclotomic matrices related to Kloosterman sums over finite fields
[arXiv] 2026-06-01 | Quality-Guided Semi-Supervised Learning for Medical Image Segmentation
[arXiv] 2026-06-01 | Sensitivity as a Double-Edged Sword: A Trade-off Between Discriminability and Adversarial Robustness
[arXiv] 2026-06-01 | SECUREVENT: Hybrid AI/ML Security Monitoring for Distributed Event-Based Systems
[arXiv] 2026-06-01 | Non-Archimedean Massera-Schaffer-Maligranda-Pecaric-Rajic Inequality
[arXiv] 2026-06-01 | Complexity Reveals the Microscopic Origins of Macroscopic Dynamics
[arXiv] 2026-06-01 | Characterization of Multi-Model Agentic AI Systems on General Tasks via Trace-Driven Simulation
[arXiv] 2026-06-01 | Mapping the Storm: Geospatial Impacts of Severe Weather on LEO Network Performance
[arXiv] 2026-06-01 | Shortcut to Nowhere: Demystifying Deep Spurious Regression
[arXiv] 2026-06-01 | A Note on Stability for Orthogonalized Matrix Momentum with Client Sampling
[arXiv] 2026-06-01 | Fair Finetuning Mitigates Distribution Inference Attacks
[arXiv] 2026-06-01 | Doping- and temperature-dependent electronic structure and spin dynamics in the Hubbard model on a square lattice within cluster perturbation theory
[arXiv] 2026-06-01 | FlipItRight: Stable Pose-Targeted Throw-Flip Across Diverse Objects
[arXiv] 2026-06-01 | Negative Interaction Quench Dynamics of Density-Ordered Dipolar Bosons in a One-Dimensional Optical Lattice
[arXiv] 2026-06-01 | Kinship Verification Using Voice
[arXiv] 2026-06-01 | KDH-CAD: Knowledge-data hybrid CAD learning under data scarcity
[arXiv] 2026-06-01 | Ellis-Bronnikov Wormhole Shadows with Spherically Symmetric Accretion Flow
[arXiv] 2026-06-01 | Significance of time-convolutionless mode-coupling theory in capturing the dynamics of glass-forming liquids
[arXiv] 2026-06-01 | On Dancer-type solutions for the Lane--Emden equation via semivirial-vanishing geometry
[arXiv] 2026-06-01 | RPCASSM: Robust PCA State Space Model For Infrared Small Target Detection
[arXiv] 2026-06-01 | HAIM: Human-AI Music Datasets for AI Music Production Tracking Benchmark
[arXiv] 2026-06-01 | Optimal pebbling of the hypercube
[arXiv] 2026-06-01 | Overcoming Challenges in Agile and DevOps Integration: A Qualitative Study
[arXiv] 2026-06-01 | Brown measure convergence for the spectrum of polynomials in Ginibre matrices
[arXiv] 2026-06-01 | A Sheaf Framework for Strategic Multi-Agent Systems: From Consensus to Nash Equilibria
[arXiv] 2026-06-01 | Data-Automated Policy Learning for Nonlinear Welfare
[arXiv] 2026-06-01 | MINTS: Minimalist Thompson Sampling
[arXiv] 2026-06-01 | Physics-Aware Linearized ADMM and Its Unrolling
[arXiv] 2026-06-01 | Post Selection Estimation of Sharpe Ratios
[arXiv] 2026-06-01 | Control of Electrons Spin Eliminates Hydrogen Peroxide Formation During Water Splitting
[arXiv] 2026-06-01 | Edge-directed geometric partitioning for versatile video coding
[arXiv] 2026-06-01 | RRP-Voice: A Longitudinal Dataset and Benchmark for Recurrent Respiratory Papillomatosis Detection
[arXiv] 2026-06-01 | Easier to Mislead Than to Correct: Harmful and Beneficial Revision in LLM Conformity
[arXiv] 2026-06-01 | A Framework for Graph-Conditioned Hierarchical Shapley Attribution in Patent Valuation
[arXiv] 2026-06-01 | The Structural Influence of Low-Credibility Narratives During the COVID-19 Vaccine Rollout
[arXiv] 2026-06-01 | IMWM: Intuition Models Complement World Models for Latent Planning
[arXiv] 2026-06-01 | Real-Time Generation of Streamable Talking Portrait Video with Reference-Guided Deep Compression VAEs
[arXiv] 2026-06-01 | EvoPool: Evolutionary Programmatic Annotation for Label-Efficient Specialized Supervision
[arXiv] 2026-06-01 | Stabilization-free virtual element methods based on finite element interpolation
[arXiv] 2026-06-01 | Peptide Structure Prediction Using Counter-Diabatic Quantum Approximate Optimization Algorithm (CD-QAOA)
[arXiv] 2026-06-01 | Embedding Semantic Risk into Distance Fields and CBFs for Online Monocular Safe Control
[arXiv] 2026-06-01 | Signatures of Accreting Black Holes in Line Intensity Mapping
[arXiv] 2026-06-01 | Estimating Mutual Information between Time Series and Temporal Event Sequences Across Diverse Analysis Tasks
[arXiv] 2026-06-01 | Question Type, Cognitive Load, and CEFR Alignment: Evaluating LLM-Generated EFL Grammar Drill Exercises
[arXiv] 2026-06-01 | Effective Multi-sensor Conditioning for Street-view Novel-view Synthesis
[arXiv] 2026-06-01 | Description and Discussion on DCASE 2026 Challenge Task 2: Noise-aware Unsupervised Anomalous Sound Detection for Machine Condition Monitoring
[arXiv] 2026-06-01 | $\text{VG}^2$GT: Voxel-Gaussian Splatting Visual Geometry Grounded Transformer
[arXiv] 2026-06-01 | GJDNet: Robust Graph Neural Networks via Joint Disentangled Learning Against Adversarial Attacks
[arXiv] 2026-06-01 | Fast Near-Optimal Estimation over Symmetric Norm Balls
[arXiv] 2026-06-01 | JAXtronomy: A JAX port of lenstronomy
[arXiv] 2026-06-01 | Hierarchical Object Representation for Spatial Robot Perception: Points, Meshes, and Superquadrics
[arXiv] 2026-06-01 | PathAR: Structure-First Autoregressive Synthesis of Multimodal Pathology Images
[arXiv] 2026-06-01 | PaCX-MAE: Physiology-Augmented Chest X-Ray Masked Autoencoder
[arXiv] 2026-06-01 | Rethinking the Role of Positional Encoding: Sliding-Window Transformers without PE Remain Turing Complete
[arXiv] 2026-06-01 | Optimal Transport Reconstruction of Biased Tracers in Primordial Non-Gaussian Fields
[arXiv] 2026-06-01 | Joint Agent Memory and Exploration Learning via Novelty Signals
[arXiv] 2026-06-01 | Semi-Supervised Hyperbolic Hierarchical Clustering with Set-Level Structural Priors
[arXiv] 2026-06-01 | MotionDreamer: Universal Skeletal Motion Generation for 3D Rigged Shapes
[arXiv] 2026-06-01 | The Main Barrier to AI Adoption in the Public Sector is Lack of Training: How a Structured Method Increased Productivity in Two Brazilian Government Cases Without Incidents
[arXiv] 2026-06-01 | Compliance-Scored Best-of-N Guardrail Orchestration for Multimodal Document Generation in Payments Dispute Defense
[arXiv] 2026-06-01 | Perverse filtration on the cohomology of affine Springer fibers
[arXiv] 2026-06-01 | Regularized Large Neighborhood Search
[arXiv] 2026-06-01 | Channel Estimation and Reconstruction in Fluid Antenna Multiple Access: Myths, Misconceptions and Critical Questions
[arXiv] 2026-06-01 | HS3: A Descriptive, Interoperable Serialization Standard for Statistical Models in High-Energy Physics
[arXiv] 2026-06-01 | AutoMedBench: Towards Medical AutoResearch with Agentic AI Models
[arXiv] 2026-06-01 | Microscopic Origin of Emergent Elliptic Flow and Molecule Formation in Strongly Interacting Quasi-Two-Dimensional Few-Body Systems
[arXiv] 2026-06-01 | Decentralized Instruction Tuning: Conflict-Aware Splitting and Weight Merging
[arXiv] 2026-06-01 | The Unitarity of Arthur Packets for Real Reductive Groups
[arXiv] 2026-06-01 | Randomized Least Squares Value Iteration itself is Joint Differentially Private
[arXiv] 2026-06-01 | Finding the complement of an elliptic curve inside a Jacobian
[arXiv] 2026-06-01 | The Image Reconstruction Game: Drawing Common Ground Through Iterative Multimodal Dialogue
[arXiv] 2026-06-01 | Thinking in Blender: Staged Executable Inverse Graphics with Vision-Language Models
[arXiv] 2026-06-01 | Automated Essay Scoring and Language Certification: Assessing Generalizability, Agreement and Validity for French
[arXiv] 2026-06-01 | Expressivity of congruence-based architectures for DNNs on positive-definite matrices
[arXiv] 2026-06-01 | Ablating Archetypes: The Stability of Archetypal SAEs is an Artifact of Initialization and Metric Design
[arXiv] 2026-06-01 | Evaluating Real-World Generalizability of Algorithm Selection Models
[arXiv] 2026-06-01 | Reinterpreting the ATLAS HHH$\to 6b$ Search with CheckMATE and Rivet: Validation, TRSM Benchmarks, and HL-LHC Prospects
[arXiv] 2026-06-01 | Edge Prediction for Roof Wireframe Reconstruction with Transformers
[arXiv] 2026-06-01 | Efficiently Listing Projected Trees, and Equivalence of Listing and Enumeration
[arXiv] 2026-06-01 | Set-Supervised Diffusion Policy: Learning Action-Chunking Diffusion through Corrections
[arXiv] 2026-06-01 | A Bernstein-type theorem for capillary graphs in a half-space
[arXiv] 2026-06-01 | Chutes and Ladders: Dynamical Automorphisms via the ZX-Calculus
[arXiv] 2026-06-01 | Magneto-optical characterization of GeSn and GeSn/SiGeSn heterostructures
[arXiv] 2026-06-01 | Multilayer Babinet metamaterial to initiate nonreciprocal topological phenomena and generalized Faraday rotation
[arXiv] 2026-06-01 | ClinEnv: An Interactive Multi-Stage Long Horizon EHR Environment for Agents
[arXiv] 2026-06-01 | Strong Polarization and Entropy
[arXiv] 2026-06-01 | Full Characterization of a Mock Nuclear Waste Barrel with Muon Tomography using Micromegas Detectors
[IEEE] 2026-6-1 | Author Index
[ACM] 2026-6-1 | MigMate: A VS Code Extension for LLM-based Library Migration of Python Projects
[ACM] 2026-6-1 | Evaluating the Role of Context Representations in the Behavioral Fidelity of LLM-based Personas for Food Preferences
[ACM] 2026-6-1 | Personalizing Font Size Normalization: Linguistic Background Shapes Which Font Attributes Matter
[ACM] 2026-6-1 | Toward Practical Integrated Sensing and Communication upon Commodity Wi-Fi
[ACM] 2026-6-1 | Reproducibility of LLM-based Recommender Systems Research: Worrying Observations from an Initial Analysis
[ACM] 2026-6-1 | Leveraging Artist Catalogs for Cold-Start Music Recommendation
[ACM] 2026-6-1 | GMAP 2026: 5th Workshop on Group Modeling, Adaptation and Personalization
[ACM] 2026-6-1 | Toward Intelligent Wearables: Sensing, Interaction, and LLM EDA Automation
[ACM] 2026-6-1 | Towards Trustworthy AIoT Systems: An Interaction-Centric Perspective
[ACM] 2026-6-1 | Poster: Data-Free One-Shot Federated Learning with Fixed Classifiers for LEO Constellations
[IEEE] 2026-6-1 | Structure-Aware Matrix Pencil for Estimating the Number of Damped Complex Exponentials_supp1-3698108.pdf
[IEEE] 2026-6-1 | Blockchain and Ai for Smart Cities Energy Systems
[IEEE] 2026-6-1 | The Potential of Thermal Sand Based Storage for Renewables in Saudi Arabia
[IEEE] 2026-6-1 | Deepfake Detection in Solar Panel Imagery Using Hybrid Vision Transformer Architecture
[IEEE] 2026-6-1 | Testing Method for Language Model Evaluation: A Case Study on a Localized Question Bank
[IEEE] 2026-6-1 | An Agentic System for Schema Aware NL2SQL Generation
[IEEE] 2026-6-1 | Study of Factors Influencing the Energy Characteristics of Electromechanical Systems
[IEEE] 2026-6-1 | High-fidelity 3D reconstruction for planetary exploration
[IEEE] 2026-6-1 | Design of Quarter Mode SIW Self Diplexing Slotted Antenna
[IEEE] 2026-6-1 | Graph Neural Networks for Class Imbalance Learning and Detecting Fraud Transactions
[IEEE] 2026-6-1 | Energy-Efficient Federated Learning for Space Observation via Neuromorphic Computing: a Use Case
[ACM] 2026-6-2 | Does the Digital Transformation of Enterprises Promote Green Transformation——Based on the Dual Perspectives of External Pressure and Internal Attention
[ACM] 2026-6-2 | AHP-BIM Collaborative Approach for Multi-Objective Optimization Design of Eco-Hotels
[ACM] 2026-6-2 | Analysis of Current Research Status and Hot Trends in Preventive Healthcare Management Based on Cite Space
[IEEE] 2026-6-1 | Leveraging Cross-Modal Information to Reduce Gender Bias in Facial Analysis Systems
[ACM] 2026-6-2 | Optimizing Dual-Resource Scheduling for Rice Drying via Branch-and-Price: A Digital Management Approach
[ACM] 2026-6-2 | Timestamps Unchained: Toward Secure Distance-Bounding on Commodity Wi-Fi Hardware
[IEEE] 2026-6-2 | A Novel AI Approach to Investigate Curcumin’s Potential to Delay Alzheimer’s Onset Using Genetically Modified Drosophila
[IEEE] 2026-6-2 | Towards Robust Detection of Climate-Induced Rainfall Anomalies Using Mahalanobis Distance and Feature-Enriched Time Series
[IEEE] 2026-6-2 | IoT-Enabled Smart Agriculture for Automated Irrigation and Equipment Rental
[IEEE] 2026-6-2 | Forecasts of Hurricane Helene Using AI Machine Learning Models
[IEEE] 2026-6-2 | ArabTutor: An Arabic Intelligent Tutoring System Powered by GPT-4 for Primary Education
[IEEE] 2026-6-2 | An Attention-Guided Deep Learning Framework for Brain Tumor Detection Using Multimodal MR Imaging
[IEEE] 2026-6-2 | A Study on LDD Optimization for HCI Reliability Enhancement in 55nm 3.3V IO NMOS Devices
[IEEE] 2026-6-2 | Guardrailed Uplift Targeting: A Causal Optimization Playbook for Marketing Strategy
[IEEE] 2026-6-2 | Attention Modulation of P300 and MMN: A Pilot Study Using a 2-Electrode Oddball Paradigm
[IEEE] 2026-6-2 | Unlocking the Ocean’s Hidden Diary: Reconstructing Environmental History from the Chemical Clues in Fish Otoliths
[IEEE] 2026-6-2 | MambaMon: Linear-Time State Space Models for Large-Scale Distributed System Monitoring
[IEEE] 2026-6-2 | Beyond Agent Design: A Systematic Framework for MCP Server Runtime Orchestration
[IEEE] 2026-6-2 | Source and Curvy-Mask Optimization with Continuous Tone Quantization
[IEEE] 2026-6-2 | A Probabilistic Framework for Scene-Context Facial Emotion Recognition
[IEEE] 2026-6-2 | A Differential Geometric Control Approach for Series Resonant Converter
[IEEE] 2026-6-2 | Hybrid Quantum-Classical Generative Adversarial Network for Synthetic 12-Lead Electrocardiogram Signal Generation
[IEEE] 2026-6-2 | Not All Extracted Information Is Credible: Toward Credibility-Aware Coverless Image Steganography in Distributed Cloud Services
[IEEE] 2026-6-2 | Tunable High-K Profile Control in 28nm Metal Gate Etching
[IEEE] 2026-6-2 | Signal Processing-Guided Multimodal Encoder for Intelligent Bearing Fault Diagnosis
[IEEE] 2026-6-2 | Energy-Efficient Power Control and Movable Antenna Positioning in 6G Cellular Networks via Reinforcement Learning
[IEEE] 2026-6-2 | Diff-TCAD: Dual-Path-Conditioned Diffusion Surrogate for Real-Time TCAD Device Fields
[IEEE] 2026-6-2 | Investigating The Correlation Between Mechanical Plastic Deformation And The Characteristics Of Zinc Whisker Growth On Galvanized Steel Plate
[IEEE] 2026-6-1 | Split Learning-Enabled Framework for Secure and Lightweight Internet of Medical Things Systems
[IEEE] 2026-6-2 | Shrinkage of Pattern CD by Using Inductively Coupled Plasma for Logic MOL Dielectric Layers Etch Application
[IEEE] 2026-6-2 | Uncertainty-Aware Deep Neural Networks for Reliable and Selective Decision-Making in Medical Image Classification
[IEEE] 2026-6-2 | A High-Performance Fully Integrated RF Power Amplifier Output Matching Network Featuring an ESD Discharge Path
[IEEE] 2026-6-2 | ALD TiN Step Coverage Improvement for Ultra-High AR
[IEEE] 2026-6-2 | The Effect of Generative AI Use on Programming Self-Efficacy in Computer Engineering Students
[IEEE] 2026-6-2 | QS-BTrust: A Quantum-Secure Privacy-Preserving protocol with Revocation for Trusted Broadcasting in Integrated Vehicular Networks
[IEEE] 2026-6-2 | Deep Learning-Driven Adverse Drug Reaction Surveillance Using Online Health Data
[IEEE] 2026-6-2 | Efficient Voice Identification System Utilizing Wav2Vec2.0 and HuBERT Based on the Quran Reciters Dataset
[IEEE] 2026-6-2 | 2026 Systems and Information Engineering Design Symposium (SIEDS)
[IEEE] 2026-6-2 | Intelligent Fire Prediction and Detection Management Using Real-Time Grad-CAM Analysis
[IEEE] 2026-6-1 | Periodically Poled Piezoelectric Lithium Niobate Resonator for Piezoelectric Power Conversion
[IEEE] 2026-6-1 | Profitability and Cost-Effectiveness Analysis of Wireless and Conductive Charging Infrastructure for Autonomous Fleets: Insights From Real-World Data
[IEEE] 2026-6-2 | A Finite Elements-Based Method of Modeling The Eddy-Current Losses in Ribbon Ring-Shaped Cores With Gaps
[IEEE] 2026-6-1 | Reliable Receiver Design for Frequency-Selective Channels under Bursty Impulsive Noise
[IEEE] 2026-6-1 | Decentralized Resilient Synchronization for Cyber-Physical Microgrids with FDI Attacks and Uncertainties
[IEEE] 2026-6-1 | On-Orbit SWIR Imagery MTF Compensation for the Geology-1 Satellite Using Cross-Spectral Structural Priors
[IEEE] 2026-6-1 | Semantic Noise Decomposition and Saliency-Weighted Mutual Information in Task-Oriented Communication
[IEEE] 2026-6-2 | STAR-SRAM: 16-bit Floating-Point SRAM-Based Digital Computing-in-Memory Macro in a 28 nm
[IEEE] 2026-6-1 | Transferability Reinforcement of Adversarial Attacks for Remote Sensing Image Classification via Hierarchical Transformation Composition
[IEEE] 2026-6-2 | Implementation of Sentiment Prescriptive Analytics in a Web-Based Library User Satisfaction System Using Deep Learning
[IEEE] 2026-6-2 | Design and Implementation of a Voice-Controlled Robotic Arm
[IEEE] 2026-6-2 | AI-Driven Pseudo-3D Mesh Reconstruction from 2D Fetal Ultrasound for Accessible Prenatal Visualization
[IEEE] 2026-6-2 | Design and Development of Polarization Agile Sinuous Antenna for Direction Finding Applications
[IEEE] 2026-6-1 | TransFM: Visible-to-Infrared Image Translation via Flow Matching
[ACM] 2026-6-2 | Agentic Performance at the Edge: Insights from Benchmarking
[IEEE] 2026-6-2 | Distributed Brillouin fiber optic temperature sensing for hydrogeology
[IEEE] 2026-6-1 | Comprehensive Multi-View Clustering via Low-Dimensional Subspace Representation
[IEEE] 2026-6-1 | ORION: Option-Regularized Deep Reinforcement Learning for Cooperative Multi-Agent Online Navigation
[IEEE] 2026-6-2 | Soft, Scalable Spacer-Knitted Piezoresistive Pressure Sensors with Tunable Localized Sensitivity Enabled by Heat-Expandable Yarn Inlays
[IEEE] 2026-6-1 | An Overwriting Vulnerability in IoT Authentication Protocols: Attacks and Countermeasures
[IEEE] 2026-6-2 | Temporal Information and Feature Fusion for RGBT Tracking
[IEEE] 2026-6-2 | IEEE Quantum Week
[IEEE] 2026-6-2 | Enhancing Scalability in MARL-Based BVR Engagement: A Role-Aware Transformer Approach With Adaptive Attention
[IEEE] 2026-6-1 | TCSC: Time-Consistent Synchronization and Completion for Bridging the Temporal Sim-to-Real Gap in Embodied Intelligence
[IEEE] 2026-6-1 | Oscillation-Based Locomotion of a Spherical Robot Driven by Flywheels With Low Control Torque*
[IEEE] 2026-6-1 | Coupled Phase-Shift STAR-RIS Enabled Integrated Over-the-Air Computation and Communications
[IEEE] 2026-6-2 | CSD-GAN: Content and Style Decoupled Generative Adversarial Network for Unsupervised Multimodal Remote Sensing Image Change Detection
[IEEE] 2026-6-1 | A Holistic Remote Fork Strategy Toward Fast Function Scaling in Serverless Edge Computing
[IEEE] 2026-6-1 | Machine Learning Pipelines for Image-based Classification of Rice Grain Varieties: A Systematic Literature Review
[IEEE] 2026-6-1 | Emergency Dispatch Strategy for Electric Vehicles Based on Spatio-Temporal Distribution Characteristics and User Response Willingness
[ACM] 2026-6-2 | Migrating QAOA from Qiskit 1.x to 2.x: An experience report
[IEEE] 2026-6-2 | Narrative Time and Historical Causality: A Computational Framework for Temporal and Causal Reasoning in First-Person Sources
[IEEE] 2026-6-2 | MeMeA 2026 Copyright
[IEEE] 2026-6-2 | A Data-Driven Approach to Predicting Menstrual Irregularity in Women with PCOS and Thyroid Disorders
[IEEE] 2026-6-2 | Neuromuscular Control Assessed by Entropy during Isometric Contractions in Physically Active and Sedentary Young Adults
[IEEE] 2026-6-2 | Empowering Data-Driven Smart Cycling Initiatives: a Comprehensive Analysis of Existing Datasets for Bike Maintenance
[IEEE] 2026-6-2 | AI-enabled three-layer method to strengthen cancer patient safety plans at specialized centers in Peru
[IEEE] 2026-6-1 | Numerical Modeling of Tidal Current Patterns for Anchorage Channel Planning at Amborawang Laut Port
[IEEE] 2026-6-1 | Improving the cyber security of IEC 61850 based transmission line protection (128)
[IEEE] 2026-6-1 | Target Tracking in Cell-Free Multi-Static ISAC Systems with Network-Assisted Full-Duplex
[IEEE] 2026-6-1 | Landfill Site Allocation Multi-Objective Optimization with NSGA-II: A Case Study on Fogo Island, Cape Verde
[IEEE] 2026-6-1 | Consistency-based Semi-supervised Evidential Active Learning Framework for Robust Classification of Radiology Images_supp1-3696868.pdf
[IEEE] 2026-6-1 | VBT-MPC: Vision-Based Tactile MPC for Contour Following_supp1-3698362.mp4
[IEEE] 2026-6-1 | Self-supervised Representation Learning for Dynamic Functional Connectivity with Subject-wise and Temporal Contrasts_supp1-3698236.pdf
[IEEE] 2026-6-1 | A Caterpillar-Type Miniature Robot for Adaptive Locomotion and Exploration of Tiny Rigid/Soft Pipes_supp4-3697140.mp4
[ACM] 2026-6-1 | Trustworthy and Adaptive LLMs for Mental and Physical Wellbeing in Recommendations
[ACM] 2026-6-1 | Student Web Search Behaviour: A Comparative Study of AI-Assisted and Traditional Search Styles and Performance
[ACM] 2026-6-1 | Using Anti-Personas to Model Children: How to Represent User-System Mismatches
[ACM] 2026-6-1 | Productively Wrong: How Auditing Open Profiles Enhances Interest Awareness and Reflection in Movie Recommenders
[ACM] 2026-6-1 | How Humans and LLMs Differ in Processing Uncertainty in Polarized Discourse
[ACM] 2026-6-1 | User-Conditioned Personalized Side-Information in Sequential Recommendation
[IEEE] 2026-6-1 | A Minimal Brain–Computer Interface for Efficient Mission-Level Control in Industrial Human–Robot Interaction
[IEEE] 2026-6-1 | Privacy-Preserving and Coercion-Resistant E-Voting via Unlinkable Biometric Credentials on a Hybrid Permissioned Blockchain
[IEEE] 2026-6-1 | Ensemble learning methods as a tool for more robust prediction of mobile payment usage
[IEEE] 2026-6-1 | Relay Protection Functioning Under Integration of Distributed Generation: Challenges for Ukraine
[IEEE] 2026-6-1 | Adaptive Knowledge Retrieval in Multimodal GraphRAG via Cross-Modal Relationship Learning
[IEEE] 2026-6-1 | Synthesize, Adapt, Steal: A Few-Shot Domain Adaptive Model Stealing Attack for Tabular Data
[IEEE] 2026-6-1 | Efficient Disruption of Criminal Networks through Multi-Objective Genetic Algorithms
[IEEE] 2026-6-1 | Design and Simulation of a Battery Electric Vehicle Model for Underground Mining Applications with Synthetic Data Generation for Machine Learning Model
[IEEE] 2026-6-1 | LLM-Augmented Feature Engineering for Machine Learning Pipelines
[IEEE] 2026-6-1 | Convivial Robotics and Silicopathy: Toward a Cross-Cultural Ethics of Human-Robot Coexistence
[IEEE] 2026-6-1 | From Co-Pilots to Co-Workers: A Formal Typology of Human–Agent Collaboration in Organizations
[IEEE] 2026-6-1 | Interpretable Topic Modeling with Online Dirichlet Compound Negative Multinomial Mixture Model and Feature Saliency
[IEEE] 2026-6-1 | Fuzzy Logic Optimization of Electrode Geometry in a Microfluidic Device for Malaria Cell Separation
[IEEE] 2026-6-1 | HeuRiskUNet: UAV Navigation in Risk Maps through Improved Path Planning Heuristics
[IEEE] 2026-6-1 | SKYWALKER: Dual-Agent Reinforcement Learning for Autonomous Crawling in a Planar Microgravity Analog : Sim-to-Real Evaluation at ESA’s Orbital Robotics Lab
[IEEE] 2026-6-1 | Intelligent Spectrum Sensing and Access Using Deep Learning for Cognitive Communication Systems
[IEEE] 2026-6-1 | Energy Efficient Control of Electric Heaters in Biogas Reactors
[IEEE] 2026-6-1 | Resilient Distributed Optimal Power Flow Algorithm Against False Data Injection Attacks
[ACM] 2026-6-2 | Towards Quantum Software for Quantum Simulation
[IEEE] 2026-6-1 | Dynamic Event-Triggered MPC for Nonlinear Systems: Application to Vehicle Active Suspensions
                    <sup>*</sup>
[IEEE] 2026-6-1 | The Impact of Quality Control, Curated Gene Sets, and Statistical Frameworks on Alzheimer’s Disease Gene Expression Analysis in Single-Cell Data
[IEEE] 2026-6-1 | A Containerized Multimodal Architecture for On-Device Driver-State Feedback with ROS 2 and Edge AI Services
[IEEE] 2026-6-1 | Perception and Acceptance of Quadruped Robots Based on Indirect Exposure
[IEEE] 2026-6-1 | Modern Trends in the Use of Hydrogen as a Motor Fuel: Analysis, Recent Advancementsand Prospects
[IEEE] 2026-6-1 | Disaster Response Gross Motor, Fine Motor and Tactile Workload Prediction Using Multi-layer Perceptrons
[IEEE] 2026-6-1 | Impact of Renewable Integration on Day-Ahead and Real-Time Market Prices under One- and Two-Price Imbalance Settlements
[IEEE] 2026-6-1 | Mathematical Modeling of Negative Environmental Consequences Due to Thermal Radiation
[IEEE] 2026-6-1 | SAFE-GUARD: Audio Emotion Recognition System for Real-Time Public Place Abuse Detection
[IEEE] 2026-6-1 | Generative AI-driven Group Emotion Recognition: A Comparative Analysis of Holistic and Compositional Strategies
[IEEE] 2026-6-1 | Automated Detection of Hip Replacements and Fiducial Markers in Pelvic CT Scans: A Comparative Study of Rule-Based vs Deep Learning Approaches
[IEEE] 2026-6-1 | Lightweight LLM Adaptation for Intrusion Detection via Token-Efficient Flow Representation
[ACM] 2026-6-2 | Beyond Accessibility: Addressing Industrialized Masking and Cognitive Bias in Neuroinclusive AI Design
[ACM] 2026-6-2 | Demographic Bias in Generative Data Augmentation: A Study of Makeup and Hairstyle Transfer Models
[ACM] 2026-6-2 | Dual-Feature Shop Scheduling Based on Heterogeneous Cooperative Subpopulation Algorithm
[ACM] 2026-6-2 | Lightweight and Highly Scalable Campus Service WeChat Mini Program Architecture Design and Practice for Private Universities
[ACM] 2026-6-2 | Traffic Estimation Methods for Intelligent Transport
[ACM] 2026-6-2 | Inter-firm Innovation Collaboration: A Bibliometric Analysis of Research Evolution and Emerging Trends Based on CiteSpace
