[2026-08-15 22:20:20] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-08-14
正在获取论文...
[ACM] 2026-8-14 | Tools for Enhancing Active Learning Experience in an Online Environment
[IEEE] 2026-8-14 | Adaptive TCP Everest for Wireless Networks using Real-Time RTT Optimization
[IEEE] 2026-8-14 | AI-Driven Skin Cancer Detection Using Deep Learning and Ensemble Models
[IEEE] 2026-8-14 | IoT-based Smart Health and Location Monitoring System
[IEEE] 2026-8-14 | Design and Fabrication of a Inverted-E Shaped MIMO Antenna for 5G Applications
[IEEE] 2026-8-14 | Robust Online Scheduling for IEEE 802.1Qbv TSN Under Timing Uncertainty
[IEEE] 2026-8-14 | ACAVES: Adaptive Carbon-Aware Virtualized Energy-Efficient Scheduling Framework for Sustainable Cloud Computing
[IEEE] 2026-8-14 | An Efficient EEG-based System for Multi-Class Neurological Disorder Diagnosis using EMPA Optimized Bi-LSTM
[IEEE] 2026-8-14 | Automated Feature Engineering for Multi Modal Time Series for Predictive Treatment Drift in Intensive Care Unit
[IEEE] 2026-8-14 | Hybrid Deep Reinforcement Attention Network for Intelligent Communication Management in Autonomous Vehicles
[IEEE] 2026-8-14 | SDN-based DDoS Attack Detection and Mitigation in IoT Networks
[IEEE] 2026-8-14 | Design and Implementation of a 16-Directional 5×5 Sobel Edge Detector on Zynq-7000 FPGA Using AXI-DMA
[IEEE] 2026-8-14 | Dual-Axis Solar Irrigation System for Vertical Farming
[IEEE] 2026-8-14 | A Hybrid BART-based Framework for Cross-Domain Cyberbullying Detection with Enhanced Contextual Feature Fusion
[IEEE] 2026-8-14 | Vocal Chord Fatigue Classification in Teachers using Hybrid Deep Learning-based Speech Processing
[IEEE] 2026-8-14 | Research on Dance Movement Generation based on Semantic-Aware Physics - Guided Dance Generation Framework
[IEEE] 2026-8-14 | Low-Latency Streaming Target Speech Extraction for Edge Devices Using RWKV Linear Attention
[IEEE] 2026-8-14 | Analysis of Oscillation Characteristics of PMSG Under Time-Varying Wind Speed
[IEEE] 2026-8-14 | SafeNSound: An IoT-based Distress Signal Detection System for Semi-Private Rooms using Sound Sensors
[IEEE] 2026-8-14 | Analyzing IoT Smart Home to Enhance Quality of Life
[IEEE] 2026-8-14 | Sub-Wavelength Period, 3D-Printed and Optimized Anti-Reflection Glass-Air Transition on a Fiber Tip
[IEEE] 2026-8-14 | Real-Time Detection of Violence in Video Content using YOLO and HHO Algorithm
[IEEE] 2026-8-14 | VD-DeepFusionNet: A Multi-Modal Hybrid Deep Learning Framework for Early Vascular Dementia Detection using Optimized Feature Integration
[IEEE] 2026-8-14 | Research on English Translation Intelligent Proofreading System based on Improved Particle Swarm Attention-Based Long Short-Term Memory Algorithm
[IEEE] 2026-8-14 | Discriminative Contrastive Channel-Spatial Attention Framework for Robust Malware Family Classification using Byte and Opcode Sequences
[IEEE] 2026-8-14 | Smart Farming System: AI-Driven Precision Agriculture for Sustainable Farming
[IEEE] 2026-8-14 | Adaptive Differential Privacy and Active Defense Against FDI/DOS in Encrypted AC Microgrid Secondary Control
[IEEE] 2026-8-14 | Deep Learning Approach For Real-Time Accident Detection And Automated Reporting
[IEEE] 2026-8-14 | AI-based Customer Churn Prediction System using XGBoost for Early Retention and Revenue Optimization
[IEEE] 2026-8-14 | A Dual-Attention and Uncertainty-Aware Deep Learning Framework for Clinically Trusted Brain Tumor Segmentation
[IEEE] 2026-8-14 | Intelligent Ambulance Healthcare Monitoring System Using Biomedical Sensors, AI Computing Architectures and Wireless Networks
[IEEE] 2026-8-14 | FedInclusive: A Cross-Silo Federated Learning Framework for Privacy-Preserving and Equitable AI Access in Healthcare and Education
[IEEE] 2026-8-14 | Autism Spectrum Disorder Identification using Machine Learning with Hybrid Feature Selection and Optuna Hyperparameter Optimization with SHAP Explainability
[ACM] 2026-8-14 | Practical Benchmarking Configurations for Reproducible Execution-Time Measurements of CI/CD-Style Workloads
[IEEE] 2026-8-14 | SEN: Semantic-Enhanced Network for Gloss-Free Sign Language Translation
[IEEE] 2026-8-14 | Author Index
[IEEE] 2026-8-14 | Efficient Interactive Image Segmentation using MultiLayer Perceptron
[IEEE] 2026-8-14 | ICDCECE 2026 Subject Index Page
[IEEE] 2026-8-14 | ICDCECE 2026 Cover Page
[IEEE] 2026-8-14 | Accelerating Fixed-Time Event-Triggered Optimization in Continuous and Discrete Time via Time-Varying Dynamical Systems
[IEEE] 2026-8-14 | Provably Secure PUF-enabled Lattice-based Authentication for Post-Quantum Industrial Internet of Things in the Era of Industry 4.0
[IEEE] 2026-8-14 | EMA-YOLO: An Efficient, Lightweight Network for Surface Defect Detection on Metal Substrates
[IEEE] 2026-8-14 | An AI-Based Human-Computer Collaborative Packaging Design Method: A Case Study of Biscuit Packaging
[IEEE] 2026-8-14 | Surface-Adaptive Robotic Ultrasound With Multi-Sensor Fusion and Cascaded AI for 3D Stenosis Assessment of Aneurysmal Arteriovenous Fistula
[IEEE] 2026-8-14 | RAH-VLA: Resolution-Adaptive Hierarchical Vision–Language Alignment for Multimodal Remote Sensing Understanding
[IEEE] 2026-8-14 | AI-Assisted Guidewire Tracking and Tactile Feedback for MRI-Guided Endovascular Procedures_supp3-3722332.mp4
[IEEE] 2026-8-14 | AI-Assisted Guidewire Tracking and Tactile Feedback for MRI-Guided Endovascular Procedures_supp5-3722332.mp4
[IEEE] 2026-8-14 | Experiencing and Engineering Robotic Art: A Three-Axis Framework_supp1-3712363.pdf
[IEEE] 2026-8-14 | Real-Time Defense Against Coordinated Cyber-Physical Attacks: A Robust Constrained Reinforcement Learning Approach
[IEEE] 2026-8-14 | An Adaptive AI-Driven Sugeno Fuzzy Inference Framework for Dynamic Task Scheduling and Resource Allocation in Video Conferencing Systems
[IEEE] 2026-8-14 | Privacy-Preserving Healthcare Fraud Detection: A Survey of Trust-Centric Federated Learning, Blockchain, and Explainable AI
[IEEE] 2026-8-14 | Reinforcement Learning Assisted Multi-Scale Attention Network for Energy-Efficient Wireless Sensor Networks in Environmental Monitoring Applications
[IEEE] 2026-8-14 | Research on Improvement Methods of Differentiated Design for “Micro-Topography and Micro- Meteorology” Sections of Transmission Lines in High-Altitude Areas
[IEEE] 2026-8-14 | CPIS: Feedback-Driven Static Assignment for Real-Time Multi-Implementation DAGs
[IEEE] 2026-8-14 | Adaptive Feature Refined and Domain-Aware Reinforcement Learning based Predictive Maintenance for Smart Manufacturing and Industry 4.0
[IEEE] 2026-8-14 | Edge-Based Standing-Water Detection via FSM-Guided Tiering and Multi-Model Consensus
[IEEE] 2026-8-14 | MEMS on Fiber Sensor for Temperature and Pressure Sensing
[IEEE] 2026-8-14 | Efficient Classification of Pneumonia Abnormalities by EfficientNetB3 and Deep Learning Models
[IEEE] 2026-8-14 | Split Architecture for Limited Bandwidth and Storage Capacity
[IEEE] 2026-8-14 | Analysis on Voltage Instability Phenomena for the Simplified Load Center Power Grids with Large-Scale Renewable Energy Integration
[IEEE] 2026-8-14 | Cultivation and Evaluation of College Students’ Innovation and Entrepreneurship Ability based on Multi-Head Self-Attention Mamba Entrepreneurial Ability Network
[IEEE] 2026-8-14 | Continuous Avatar Impersonation Detection using Siamese Transformer Networks: A Behavioral Biometric Approach for Metaverse Security
[IEEE] 2026-8-14 | A Pattern Language for Resilient Visual Agents
[IEEE] 2026-8-14 | A TinyML-based Predictive Maintenance Framework for DC Motor Systems with Lightweight WebXR Digital Twin Visualization
[IEEE] 2026-8-14 | Intelligent Assessment Model for Digital Learning Behavior in Education based on Improved Back Propagation Neural Network Algorithm
[ACM] 2026-8-15 | Diffusion Models in Recommendation Systems: A Survey
[ACM] 2026-8-14 | Evaluating AI-based Mental Health Interventions
[IEEE] 2026-8-14 | Privacy Protection in Cross-System Data Exchange: A Comprehensive Review of Multi-Party Computation Approaches
[IEEE] 2026-8-14 | A Latency-Efficient NF Caching and Offloading Strategy for LEO Satellite Edge Computing
[IEEE] 2026-8-14 | Explainable Machine Learning Framework for Predictive Modelling of Formula-1 Podium Outcomes using Performance and Contextual
[IEEE] 2026-8-14 | An Intelligent Machine Learning-based Adaptive Security System for Cloud Threat Detection
[IEEE] 2026-8-14 | Canopy Closure Inversion in Complex Overhead Transmission Corridors Using UAV LiDAR
[IEEE] 2026-8-14 | Optimized Energy-Efficient Machine Learning-Based Clustering and Routing in Wireless Sensor Networks
[IEEE] 2026-8-14 | An Improved Genetic Algorithm-Assisted Audio Transformer with Knowledge Distillation for Firearm Shooting Recognition in Training Environments
[IEEE] 2026-8-14 | Adaptive Digital Twin-Driven Performance Prediction and Collaborative Model Updating for Intelligent Control Systems
[IEEE] 2026-8-14 | CAAD-Net: A Change-Aware Spatial–Temporal Fusion Framework for Intelligent Avalanche Detection and Real-Time Monitoring
[IEEE] 2026-8-14 | Leakage-Resistant Evaluation and Feature-Collapse Analysis for RVC Deepfake Speech Detection Using a Tri-Level Speaker-Aware Split
[IEEE] 2026-8-14 | An AI-Driven Voice-to-Image Generation Model for Assistive Applications
[IEEE] 2026-8-14 | Intelligent Computing for Smart Campus and Connected Education using Hybrid Retrieval-Augmented Generation and Knowledge Graph Reasoning
[IEEE] 2026-8-14 | Efficient Detection of Alzheimer’s Disease at an Early Stage using Handwriting Data
[IEEE] 2026-8-14 | Multiclass Classification of Gangrene and Ulcer using MaxViT with Grad-CAM++ Explainability
[IEEE] 2026-8-14 | Machine Learning based Traffic Flow Prediction and Congestion Management for Intelligent Transportation Systems
[IEEE] 2026-8-14 | Smart Vibe Cube - A Vibration Analysis System
[IEEE] 2026-8-14 | Adaptive Early Termination Algorithm for Gauss-Seidel Iterative Successive Interference Cancellation Detection in MIMO Systems
[IEEE] 2026-8-14 | Edge-AI Enabled Multimodal Vision-based Deep Learning Framework for Real-Time Mushroom Growth Monitoring, Disease Detection, and Predictive Yield Analytics in Smart Cultivation Systems
[IEEE] 2026-8-14 | A Hybrid CNN–EAR-based Real-Time Driver Drowsiness Detection System
[IEEE] 2026-8-14 | Robust Crop Yield Prediction via Convolutional Neural Networks: Benchmarking Against Classical Machine Learning Models
[IEEE] 2026-8-14 | Chaos Engineering and Observability Integration for Resilient Cloud Infrastructure
[IEEE] 2026-8-14 | Enhanced Image Encryption using Chaos Map– Driven Composite Cryptographic Framework
[IEEE] 2026-8-14 | Cognitive Cyber-Resilient C2 Link Management for Advanced Air Mobility Platforms
[ACM] 2026-8-14 | ‘Follow the Money. Or Jail Time.’ Perspectives on the Role of Senior Management in Secure Software Development
[IEEE] 2026-8-14 | Client-Verifiable and Efficient Federated Unlearning in Low-Altitude Wireless Networks
[IEEE] 2026-8-14 | Generalized Iterative Learning Disturbance Observer for Multiple Periodic Disturbances Attenuation: Application to PMSM Speed Servo Systems
[IEEE] 2026-8-14 | A Context-Aware Digital Service Loop Orchestration Framework for Emotional Wellbeing Assessment in IoT-Enabled Smart English Education Healthcare Systems
[IEEE] 2026-8-14 | Heterogeneous Graph Attention Network Assisted Bi-Population Co-Evolution for Networked Cloud Manufacturing Scheduling_supp1-3723453.pdf
[IEEE] 2026-8-14 | A Scalable Stress Recovery Technique for Hybrid Bonding in Chiplet-Based Systems
[IEEE] 2026-8-14 | Physiological and biomechanical key performance indicators for frontal jab in boxing
[IEEE] 2026-8-14 | Constellation-Heterogeneity-Based Group Physical-Layer Authentication for Non-Coherent Massive MIMO Systems
[IEEE] 2026-8-14 | Wings-Embedded Through Polymer Via (WTPV) for Signal Integrity and Thermal Management in 3D Integrated Circuits_supp1-3720951.pdf
[IEEE] 2026-8-14 | A CMOS Pre-distortion Driver for 140-Gbps PAM-4 Optical Modulation with Commercial MZM and EML
[IEEE] 2026-8-14 | Aperiodic Sampled-Data Stabilization of Switched Systems Via an Extended Looped-Functional Approach
[ACM] 2026-8-14 | The Sweeter Lesson
[IEEE] 2026-8-14 | MSTabVAE: Multi-Step Latent Conditional Variational Autoencoder for Imbalanced Tabular Data Synthesis
[IEEE] 2026-8-14 | Preface: Committee Member
[IEEE] 2026-8-14 | Velocity Information Geometry of Coherent Intra-CPI Waveform Agility
[IEEE] 2026-8-14 | SBCL-Net: Discrepancy-Guided Semantic–Boundary Interaction for Robust Agricultural Parcel Delineation from Remote Sensing Imagery
[IEEE] 2026-8-14 | XSPECT: An Explainable SHAP-Based Spectral Band Reduction Algorithm for Land Use and Land Cover Multispectral Image Classification
[IEEE] 2026-8-14 | Construction of an Ecological Garden Environment Monitoring and Early Warning Model based on CNN-LSTM Hybrid Algorithm
[IEEE] 2026-8-14 | DriveMind : A Vision and Physiological Sensor-based Driver Drowsiness Detection System using Machine Learning
[IEEE] 2026-8-14 | Design a Compact RFID Antenna with High Gain and Efficiency
[IEEE] 2026-8-14 | Physics-Consistent Retrieval-Augmented Cross-Condition Bearing Fault Diagnosis
[IEEE] 2026-8-14 | Machine Learning and Deep Learning Applications in E-Learning: A Systematic Literature Review of Research Trends and Predictive Techniques
[IEEE] 2026-8-14 | An Adaptive Financial Feature Enhancement Kolmogorov–Arnold Network for Early Warning of Corporate Bond Default
[IEEE] 2026-8-14 | Novel Wavefront-Splitting MEMS Fourier Transform Interferometer with Integrated MMI Combiner
[IEEE] 2026-8-14 | Online Identification of Transformer Impedance Parameters Based on Variable Forgetting Factor Recursive Least Squares Method
[IEEE] 2026-8-14 | TCN-DISPPO-Based Multi-Objective Energy Scheduling for PV-Storage-Charging Microgrids
[IEEE] 2026-8-14 | Explainable Student Stress Prediction using a Neuro-Symbolic Hybrid Learning Framework
[IEEE] 2026-8-14 | AI-based Digital Terrain Modeling and Automated Drainage Network Extraction using Point Cloud Data
[IEEE] 2026-8-14 | Biomechanics-Constrained Adaptive Optimization of Motion Performance via Music Emotion-Aware Computational Modeling
[IEEE] 2026-8-14 | Feature Calibration Module for Lightweight 3D U-Net Brain Tumor Segmentation
[IEEE] 2026-8-14 | Hardware Design and Implementation of Intelligent Panoramic Integrated Monitoring Terminal for Traffic Violations Safety Areas based on Location Services
[IEEE] 2026-8-14 | Aggregator-Based Models and Clearing Algorithms for Distributed PV-Storage Integration into Spot Markets
[IEEE] 2026-8-14 | Improved Feature Fusion and Detection Accuracy for Lung Cancer using Modified ELAN and RepNCSP Modules
[IEEE] 2026-8-14 | Smart Residential Parking: A Real-Time Smart Parking Marketplace for Efficient Urban Mobility
[IEEE] 2026-8-14 | A No-Code Composable Pipeline for Holistic Microservice Assurance
[IEEE] 2026-8-14 | Resilient Hands-Off Steering Wheel Systems with Real-Time Human Override Anticipation and Control Arbitration
[IEEE] 2026-8-14 | VGG16 &amp; DenseNet121 based Ensemble Deep Learning Approach for Traffic Sign Recognition
[IEEE] 2026-8-14 | Toward an Architectural Blueprint to Observe Sustainability in and by Software Systems
[IEEE] 2026-8-14 | AI-driven Demand Forecasting in ERP-based Supply Chain Systems using Backpropagation Neural Network
[IEEE] 2026-8-14 | Hybrid Deep Q-Network-Based Multilevel Access Controlled Task Scheduling and Load Balancing in Cloud Environment
[IEEE] 2026-8-14 | Communication-Efficient Distributed Training Framework for Large Language Models Based on Adaptive Parameter Synchronization
[IEEE] 2026-8-14 | A Low-Power High-Speed Three-Stage Dynamic Comparator for Asynchronous SAR ADC Applications
[IEEE] 2026-8-14 | An Entropy-Regularized Adaptive Decision Tree Learning Algorithm based on Structural Optimization (SO) and Split Criterion (SC)
[IEEE] 2026-8-14 | ICDCECE 2026 Cover Page
[IEEE] 2026-8-14 | A Passion for Applied Research and Innovation [Pathways]
[IEEE] 2026-8-14 | mRCS-GRL: A Lightweight High-Precision Multi-Target Radar Cross Section Prediction Algorithm for Canonical Targets with Graph Representation Learning
[IEEE] 2026-8-14 | A Novel Annular Receiving Coil with Grooved Ferrite Core and Multi-Segmented Windings for Wirelessly Powering Capsule Endoscope_supp2-3723426.pdf
[IEEE] 2026-8-14 | Probabilistic Modeling for E-Motor Efficiency Prediction Across Driving Cycles With Uncertainty
[IEEE] 2026-8-14 | Experimental Analysis of Upstream LDPC Options for 25 Gb/s Operation in 50G-PON
[IEEE] 2026-8-14 | Portable Non-Contact Device for Measuring Intraocular Pressure in Glaucoma Patients
[IEEE] 2026-8-14 | AI-Driven Fake News Detection for Real-World Misinformation
[IEEE] 2026-8-14 | A Physics-Guided Feature and Ensemble Learning Method for Prediction
[IEEE] 2026-8-14 | Reinforcement Learning Based AGV Path Planning
[IEEE] 2026-8-14 | An Automatic Modulation Recognition Method Based on a Compact Convolutional Vision Transformer Model in Complex Channel Environments
[IEEE] 2026-8-14 | Explainable Hybrid Optimized BP Neural Network for Engineering Machinery Marketing Customer Precision Identification
[IEEE] 2026-8-14 | Adaptive Collaborative Multi-Objective Optimization Framework for Efficient Engineering Project Construction Management
[IEEE] 2026-8-14 | Research on Improved Carrier Phase-Shifted Modulation Strategy for Arm-Multiplexed MMC
[IEEE] 2026-8-14 | AUFIA: Adaptive URL Feature Intelligence for Malicious Website Detection using Machine Learning
[IEEE] 2026-8-14 | Faster Region-based CNN for Accurate Student Facial Expression Classification
[IEEE] 2026-8-14 | Design of Eco-Friendly Robotics and Automation Systems using Open-Source Tools and Frameworks
[IEEE] 2026-8-14 | Extraction of 1-Fault Tolerant Metric Bases of Wrapped Butterfly Networks using Extended BIGS Algorithm for Fault-Resilient Localization
[IEEE] 2026-8-14 | Entropy-Aware Self-Optimizing Approximate Multiplier using Operand Distribution Learning
[IEEE] 2026-8-14 | Application of the Combination Model of Prophet and LSTM in Multi-Level Inventory Demand Prediction for Retail Supply Chain of CPG - Consumer Packaged Foods
[IEEE] 2026-8-14 | 2026 International Conference on Optical MEMS and Nanophotonics (OMN)
[IEEE] 2026-8-14 | Adversarial Purification by Consistency-aware Latent Space Optimization on Data Manifolds
[IEEE] 2026-8-14 | Transmission-Reflection Integrated Time-Domain Coding Metasurface for Full-Space 2D DOA Estimation
[IEEE] 2026-8-14 | A High-Throughput FPGA Accelerator for Real-Time Sort-Free 3-D Gaussian Splatting
[IEEE] 2026-8-14 | Flexible Cylindrical Array-Aided Secure Wireless Communications
[IEEE] 2026-8-14 | M3R++: Masked Token Mixup and Dual Cross-Modal Masking for Zero-Shot Learning
[IEEE] 2026-8-14 | A Multi-Scale Generative Adversarial Networks Framework with Attention-Guided Statistical Loss for Imbalanced Internet of Things Network Attack Detection
[IEEE] 2026-8-14 | DRIDNet: Diffusion Regularized Intrinsic Decomposition Network for Shadow Robust Hyperspectral and LiDAR Classification
[IEEE] 2026-8-14 | IEEE Vehicular Technology Society Publication Information
[IEEE] 2026-8-14 | ShadowNet for Data-Centric Quantum System Learning
[IEEE] 2026-8-14 | AI-Assisted Guidewire Tracking and Tactile Feedback for MRI-Guided Endovascular Procedures_supp2-3722332.mp4
[IEEE] 2026-8-14 | Conical Spiral Antenna with Integrated Feed Enabled by 3D Printing
[IEEE] 2026-8-14 | EcoReason: A Graph-Guided Evolutionary and Negative-Aware Reinforcement Learning Framework for LLM Commonsense Reasoning
[IEEE] 2026-8-14 | Table of Contents
[IEEE] 2026-8-14 | Table of Contents
[IEEE] 2026-8-14 | Fault Diagnosis Under Unseen Conditions via Suppressing Domain-Sensitive Feature
[IEEE] 2026-8-14 | Grassmann Manifold Trajectory Representation for Video Domain Adaptation
[ACM] 2026-8-14 | Acknowledgments
[IEEE] 2026-8-14 | Analysis of Gender based Diabetic Retinopathy Detection and Grading Systems
[IEEE] 2026-8-14 | A Novel Control Method for Flexible AC Chopper Based on DC Voltage Characteristics During Fault Ride-Through
[IEEE] 2026-8-14 | A PINN-based Approach for Solving the 1D Diffusion Equation in Stokes’ Second Problem
[IEEE] 2026-8-14 | Knowledge-Guided Architecture Documentation Recovery with Evidence Grounding and Traceability: A Registered Report (Stage 1)
[IEEE] 2026-8-14 | A Computer Vision Framework for Synchronized Multi-View Pose Estimation and Biomechanical Analysis of Basketball Free Throws
[IEEE] 2026-8-14 | Sustainability Assessment of Green Hydrogen Production using LSTM-based Recursive Forecasting
[IEEE] 2026-8-14 | Design of a Circularly Polarized T-Square Fractal Microstrip Patch Antenna for RFID Systems
[IEEE] 2026-8-14 | Describing Agentic AI Systems with C4: Lessons from Industry Projects
[IEEE] 2026-8-14 | Energy-Efficient Resource Allocation for Satellite Communications Under Finite Blocklength
[IEEE] 2026-8-14 | Cross Grid Communication based GAN for Improving Structural Consistency in Text to Image Generation
[IEEE] 2026-8-14 | Tunable Fabry-Perot Cavity on Micro Scale Photonic Integrated Circuit
[IEEE] 2026-8-14 | Faithful Explainability in Clinical Neural Networks via Attention-SHAP Consistency for ICU Mortality Forecasting
[IEEE] 2026-8-14 | Design of a High-Gain Hybrid G-Shaped Antenna with Metamaterial and DGS for 5G Applications
[IEEE] 2026-8-14 | A Back-to-Back Half-Wave Shaping Modular Multilevel AC-AC Converter
[IEEE] 2026-8-14 | Evaluation of International Talent Cultivation Quality using an Aquila Optimizer-Enabled BP Neural Network
[IEEE] 2026-8-14 | An Efficiently Traceable Secure Data Sharing Scheme with Intelligence for Cloud Computing
[IEEE] 2026-8-14 | Robust LiDAR Scene Coordinate Regression in Highly Self-Similar Environments
[IEEE] 2026-8-14 | A Prediction-Assisted Scheduling Method for Waste Collection Vehicles
[IEEE] 2026-8-14 | Towards Interpretable Deep Learning for Colon Cancer Diagnosis in Healthcare System: A Comprehensive Review
[IEEE] 2026-8-14 | Multi-Model Evaluation of Semantic Segmentation Techniques for Building Footprint Extraction
[IEEE] 2026-8-14 | Generative AI-Enhanced EEG Signal Processing for Real-Time Sleep Apnea Detection
[IEEE] 2026-8-14 | Feedback Control of an Integrated MEMS-Tunable Silicon Photonic Ring-Resonator
[IEEE] 2026-8-14 | Sysmon Log Analysis for Proactive Cyber Threat Detection using Convolutional Neural Networks
[IEEE] 2026-8-14 | Edge–Cloud Intelligent Fusion for Digital Twin-based Predictive Maintenance in Smart Manufacturing Systems
[IEEE] 2026-8-14 | The Dependency Black Hole
[IEEE] 2026-8-14 | The Need for a Green ICT Reference Framework
[IEEE] 2026-8-14 | Design and Application of Online Teaching System for “Social Etiquette” based on Adaptive Feature-Calibrated Kolmogorov–Arnold Network
[IEEE] 2026-8-14 | Detection of Uterine Leiomyomas with Automated Ultrasound Image Analysis
[IEEE] 2026-8-14 | Droplet-Based Microfluidic 3D Printing Using Laser-Induced Dielectrophoresis
[IEEE] 2026-8-14 | Accurate Prediction of Parkinson's Disease using Inception-V3 CNN and XGBoost Classifier
[IEEE] 2026-8-14 | Modeling Sustainability for Autonomous Cyber-Physical Systems
[IEEE] 2026-8-14 | Human-Computer Interaction Assisted Decision-Making Optimization Algorithm Integrating Intent Recognition and Context Awareness
[IEEE] 2026-8-14 | Green Edge Computing Architectures for Real-Time Environmental Monitoring Systems
[IEEE] 2026-8-14 | An AI-Driven Smart Campus Entry Monitoring System for Real-Time Attendance Tracking and Dress Code Compliance
[IEEE] 2026-8-14 | Denoising and Enhancement Methods for Complex Image Signals based on Deep Learning and Convolutional Neural Networks
[IEEE] 2026-8-14 | Android Malware Detection using Machine Learning and Ensemble Techniques
[IEEE] 2026-8-14 | AI Driven Chaos Engineering for Stateful Financial Microservices
[IEEE] 2026-8-14 | A Novel Frequency Stability Assessment Method Based on Improved SFR Model for Power Systems
[IEEE] 2026-8-14 | Quantum Clustering Framework for Cybersecurity Vulnerability Prioritization and Risk Grouping
[IEEE] 2026-8-14 | A Secure Federated Reinforcement Learning–Driven Adaptive Gateway for Decoupling Deployment Velocity and Governance in Microservice Architectures
[IEEE] 2026-8-14 | Mining Architectural Decisions and Trade-Offs from ADRs with LLMs at Scale
[IEEE] 2026-8-14 | KonkaniFood 2.0: An Explainable Code-Mixed Marathi English Multilingual Transformer-Based Dataset for Sentiment Classification
[IEEE] 2026-8-14 | Anti-Interference and Secure Data Transmission Technology for Wireless Communication in Power Operation Sites
[IEEE] 2026-8-14 | VLGDNet:Vision-Language Guided Differential Feature Enhancement Network for Weak Change Detection
[IEEE] 2026-8-14 | Empowering Sericulture: A Deep Learning Approach to Silkworm Disease Detection and Crop Protection Insights
[IEEE] 2026-8-14 | Federated Context Tree Guided Genetic Algorithm based Energy and Latency Aware Optimisation for IIoT Network
[IEEE] 2026-8-14 | Multi-Agent Reinforcement Learning System for Autonomous Network Intrusion Response
[IEEE] 2026-8-14 | Low-Carbon Dispatch of Industrial Micro-Energy Networks Under Source-Load Uncertainty
[IEEE] 2026-8-14 | AI Driven Disease-Specific Adaptive Multimodal Medical Image Fusion with CNN
[IEEE] 2026-8-14 | AI-Driven Integrated Caregiving and Health Monitoring Framework for Elderly Well-Being
[IEEE] 2026-8-14 | A Unified Benchmarking of Modern Object Detection Architectures for Real-Time Automatic License Plate Detection
[IEEE] 2026-8-14 | A Multi-Layered Software Ecosystem for Precision Management of Livestock Farming
[IEEE] 2026-8-14 | YOLO-NAS based Intelligent Workplace Safety Monitoring System for Real-Time Personal Protective Equipment Compliance Detection
[IEEE] 2026-8-14 | Letters to the Editor
[IEEE] 2026-8-14 | AI based Predictive Analytics for Enhancing Employee Engagement Job Satisfaction and Retention
[IEEE] 2026-8-14 | Cardio Vision: An AI-Powered ECG Analyzer for Automated Cardiac Condition Classification using Deep Learning
[IEEE] 2026-8-14 | Design and Electrochemical Performance of WSe
                    <sub>2</sub>
                    based Sensor for Bio-molecular Detection and Hydrogen Energy Generation
[IEEE] 2026-8-14 | Examining the Influence of Chatbot Characteristics and Perceived Usefulness on Customer Satisfaction among Generation Z Marketplace X Users in Jambi Province
[IEEE] 2026-8-14 | Adaptive Rational Krylov Method With Domain Decomposition for Efficient Electromagnetic Field Analysis
[IEEE] 2026-8-14 | A 20.8–28.1-GHz Variable Gain Amplifier With Wide Gain Control Range and Low Phase Variation in 180-nm CMOS
[IEEE] 2026-8-14 | An 8–25 GHz High-Linearity I/Q Harmonic-Rejection Mixer Utilizing a Six-Way Unequal-Split Wilkinson Divider in 16-nm FinFET
[IEEE] 2026-8-14 | Frequency Decoupled and Collaborative Dehazing Network for Remote Sensing Images
[IEEE] 2026-8-14 | From Faithfulness to Validity: Explainable artificial intelligence in remote sensing
[IEEE] 2026-8-14 | Domain Generalized State of Health Estimation without Target Domain Data Based on Feature Disentanglement
[IEEE] 2026-8-14 | An empirical chlorophyll-a retrieval algorithm for sea ice contaminated pixels in the Polar Ocean
[IEEE] 2026-8-14 | Message from the General Chairs: ICSA-C 2026
[IEEE] 2026-8-14 | MAGENTA: Magnitude and Geometry-Enhanced Training Approach for Long-Tailed Sound Event Localization and Detection
[IEEE] 2026-8-14 | A Quantization Strategy for Communication-Efficient DNN Inference in Vehicular Edge Computing
[IEEE] 2026-8-14 | ICSCSS 2026 Author Index
[IEEE] 2026-8-14 | InLiER: Learning-Free Heterogeneous LiDAR Place Recognition via Intermediate Mixed-Radix Structural Keypoint Tokenization_supp1-3723737.mp4
[IEEE] 2026-8-14 | Rotation-Aware Adaptor via Equivariance-Constrained Consistency Regularization for Remote Sensing Detection
[IEEE] 2026-8-14 | A Two-Stage Coordination Channel Access Approach for Low-Latency Wi-Fi 7 Multi-Link Operation
[ACM] 2026-8-14 | Human–AI Collaboration to Empower People Providing Support
[ACM] 2026-8-14 | Conclusion
[IEEE] 2026-8-14 | Front and Back Cover Page
[IEEE] 2026-8-14 | Designing Multi-Agent Systems: From Classical to Modern Approaches
[IEEE] 2026-8-14 | Quality Evaluation of Flipped Classroom Teaching in Art Courses using Adaptive Educational Data Refinement and Optimized BP Neural Network
[IEEE] 2026-8-14 | Enhanced Gain Non-Isolated DC-DC Converter for EV-Charging Application
[IEEE] 2026-8-14 | Design and Verification of AXI Arbiter
[IEEE] 2026-8-14 | IoT-based Microclimate Monitoring and Temperature Forecasting using Machine Learning
[IEEE] 2026-8-14 | Adaptive Whale Optimization MPPT Technology for Shaded Sunlight-based DC Converter System
