[2026-09-04 23:45:21] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-09-03
正在获取论文...
[arXiv] 2026-09-03 | ToPO: Token-Conditioned Preference Routing for Attention-Based Latent Diffusion Models
[arXiv] 2026-09-03 | Introducing SINFONIA: Symplectic, slimplectic and Magnusian (Neural) Flows for Orbital Numerical Integration and Acceleration
[arXiv] 2026-09-03 | Internal geometries regulate the symmetry of defect configurations in cell populations confined to domains with a negative Euler characteristic
[arXiv] 2026-09-03 | On the Degree of Safety: Beyond Safe or Unsafe with Control Barrier Functions
[arXiv] 2026-09-03 | Iapetus: Content-Aware Hierarchical Scheduling for Collaborative ViT Inference in LEO Satellite Networks
[arXiv] 2026-09-03 | Lantern: Finding Committable Transactions via Back-Propagation on DAGs
[arXiv] 2026-09-03 | Grain boundary evolution in nanoparticles
[arXiv] 2026-09-03 | Multilingual Agent System for Inclusive Wildfire Evacuation Guidance
[arXiv] 2026-09-03 | Construction of $n$-cotorsion pairs in some abelian categories
[arXiv] 2026-09-03 | Latent Energy Action Planning with World Models
[arXiv] 2026-09-03 | Affective publics in Arabic YouTube
[arXiv] 2026-09-03 | Poincare Polynomials of Heavy-Light Hassett Spaces
[arXiv] 2026-09-03 | Fast Patient-Specific Breast CT Dosimetry: 22-Fold Acceleration of Monte Carlo MGD Estimation
[arXiv] 2026-09-03 | On the trapping of ray families by mirrors
[arXiv] 2026-09-03 | Preference-Oriented Aggregation of Heterogeneous Distributed Energy Resources for Reserve Dispatch
[arXiv] 2026-09-03 | Quantum Complexity in Nuclear Scattering and Fission Dynamics
[arXiv] 2026-09-03 | Non-extensive entropy signatures in compact star
[arXiv] 2026-09-03 | SGD-KV: Summarization Guided KV Cache Compression
[arXiv] 2026-09-03 | Counting Animals in Camera-Traps Image Sequences without Count Labels: Winning Solution to the iWildCam 2021 Challenge
[arXiv] 2026-09-03 | Modeling Tissue Detachment and Rupture Using an Extended Vertex Model with T2-inverse Transitions
[arXiv] 2026-09-03 | Nearly Tight Bounds for Proportional Group Fair Divisions and One-Sided Discrepancy
[arXiv] 2026-09-03 | LLM4AIGQ: LLM-based AI Guidance Query Generation Framework for Multi Interest Mining
[arXiv] 2026-09-03 | Do Video Generators Track the World Across Segments? A Benchmark and Method for World-State Reasoning in Video Continuation
[arXiv] 2026-09-03 | Point&Spawn: Mid-Air Reference-Free Object Instantiation Using Gaze and Hand Gestures in Extended Reality
[arXiv] 2026-09-03 | The derived set of multiple star polylogarithms
[arXiv] 2026-09-03 | Calibration of neural viscoelastic models via full-field data
[arXiv] 2026-09-03 | HPC Modeling of Coupled Elastic-Acoustic Wave Propagation in Biological Media: Numerical Validation
[arXiv] 2026-09-03 | Dynamic probabilistic decision networks
[arXiv] 2026-09-03 | A computable representation of the physical laboratory enables verifiable workflows
[arXiv] 2026-09-03 | Spectral properties of deterministic matrices multiplied by rotationally invariant random non-Hermitian ensembles
[arXiv] 2026-09-03 | On the $Ω(n)$ SDP relaxation gap for Submodular Box-Constrained Quadratic Programming
[arXiv] 2026-09-03 | Auditing Patient Privacy in Medical Generative Models: Scalable Memorization Detection with DeepSSIM++
[arXiv] 2026-09-03 | C3PO: A Lyα Emitting Galaxy at $z \sim 9$
[arXiv] 2026-09-03 | Scaling limit for the pinning model in correlated Gaussian environment beyond the $L^2$-regime
[arXiv] 2026-09-03 | RASER: Resilient Agent Scheduling and Execution Runtime for HPC Clusters
[arXiv] 2026-09-03 | How Far Can Synthetic Data Take Thai OCR?
[arXiv] 2026-09-03 | KC-Bench: A Dynamic Interactive Benchmark for Evaluating Knowledge Conflicts in LLM Agents
[arXiv] 2026-09-03 | Charge Regulated conformational properties of polyelectrolyte near an oppositely charged nanoparticle
[arXiv] 2026-09-03 | Drive-HWM: Hierarchical World Models for Dynamic-Latent Guided Autonomous Driving
[arXiv] 2026-09-03 | WIDE: Wildcard Inference with Dynamic Expansion for Cross-Modal Generative Retrieval
[arXiv] 2026-09-03 | An Entropic Factor Model for Robust Portfolio Replication
[arXiv] 2026-09-03 | Magnetic Couplings in Half-Filled Bipartite Graphs
[arXiv] 2026-09-03 | Near-surface colloidal dynamics in jammed and slipping microgel suspensions
[arXiv] 2026-09-03 | Feature Reconfiguration With Visual Prior for Medical Lesion Segmentation
[arXiv] 2026-09-03 | KnowFeat: Knowledge-Guided Feature Engineering via LLM Agents
[arXiv] 2026-09-03 | Neural Video Compression Based on Deformable Temporal Alignment and Difference-aware Fusion
[arXiv] 2026-09-03 | Orbital-Free DFT-Assisted Machine-Learned Molecular Dynamics for Electric-Field-Driven Ionic Transport
[arXiv] 2026-09-03 | What Matters for Aggressive Decoding-Time KV Eviction? Temporal Aggregation and Ranking Preservation
[arXiv] 2026-09-03 | A conservative coupling method of sharp-interface and multi-species model for compressible reacting gas-liquid flows with phase change
[arXiv] 2026-09-03 | An Adversarial Zero-Shot Learning Approach for Anomaly Detection in Multivariate IoT Traffic Data
[arXiv] 2026-09-03 | PPO-STGNN: A Proximal Policy Optimization Approach with Spatio-Temporal Graph Neural Networks for DAG Task Scheduling in Cloud-Edge-End Computing
[arXiv] 2026-09-03 | A conjecture implying $θ(p_c)=0$ for Bernoulli bond percolation on $\mathbb Z^d$
[arXiv] 2026-09-03 | Indirect Estimation of SINR via SSB and CSI-RS RSRP in 5G NR
[arXiv] 2026-09-03 | Structural control over equilibrium silicon and oxygen isotopic fractionation: A first-principles density-functional theory study
[arXiv] 2026-09-03 | When Users Don't Ask: Benchmarking Context-Driven Memory Retrieval in Conversational Agents
[arXiv] 2026-09-03 | Mind the Gap: Robustness Risks in PII Detection Systems
[arXiv] 2026-09-03 | A Two-Stage Forecasting System for CPU Workload Prediction in Private Clouds
[arXiv] 2026-09-03 | Gamma-Ray Bursts and Optical Brightness: Insights from Swift Satellite
[arXiv] 2026-09-03 | Plan Pointers and Record-Directive Form in Budgeted Verification of Inherited Agent Memory
[arXiv] 2026-09-03 | STARS-GS: Structure-Aware Regularized Gaussian Splatting for Large-Scale Aerial Surface Reconstruction
[arXiv] 2026-09-03 | Making Gender-Inclusive Practices Actionable: Evaluating a Research-Informed Computing Education Toolkit
[arXiv] 2026-09-03 | Quantifying Power to Voltage and Frequency Dynamics for Oscillation Propagation Assessment
[arXiv] 2026-09-03 | Approximate maximum-likelihood decoding via truncated free energies
[arXiv] 2026-09-03 | Revisiting Topological Graphs for Macro Action based Closed-loop Reinforcement Learning of Vision Language Navigation in Continuous Environment
[arXiv] 2026-09-03 | Inferring Affective Consciousness in an Artificial Agent: A Case Study
[arXiv] 2026-09-03 | No One Left Behind: Cross-Level Analysis for Sustainable Software Engineering
[arXiv] 2026-09-03 | A catalogue of insights from the fourth LIGO-Virgo-KAGRA observing run
[arXiv] 2026-09-03 | Consensus time for asynchronous $\ell^p$ relaxation: graph dependence
[arXiv] 2026-09-03 | Design Principles for Reproducible Networks
[arXiv] 2026-09-03 | Pushing the (Decision) Boundaries: Dynamically Calibrating Differentially Private Noise to Explainability in Federated Learning
[arXiv] 2026-09-03 | A counterexample to McKean's conjecture for the Landau-Coulomb equation
[arXiv] 2026-09-03 | Tailoring Mechanical and Acoustic Properties of Liquid-Filled Elastomers as Reusable Ultrasound Couplants
[arXiv] 2026-09-03 | When Vision Meets Graphs: A Survey on Graph Reasoning and Learning
[arXiv] 2026-09-03 | Inferring Hidden User Models from the Behavior of Personalized LLM Agents
[arXiv] 2026-09-03 | Evaluating Criterion-Conditioned Behaviour of Large Language Models in Content Moderation
[arXiv] 2026-09-03 | Transfiver: Human-AI Co-Inference through a Shared Editable State
[arXiv] 2026-09-03 | Exciton multipolarity controls coherent and squeezed phonons in van der Waals heterostructures
[arXiv] 2026-09-03 | Canonical Bochner-Kähler potentials via the Sasaki-Kähler correspondence
[arXiv] 2026-09-03 | Landmark-Based Discrimination of Injury-Associated Athlete-Sessions from Minute-Resolution Multimodal Football Monitoring Data
[arXiv] 2026-09-03 | Spectral properties of the magnetic Robin Laplacian on curvilinear half-plane
[arXiv] 2026-09-03 | Morphology of Radio Sources in Representation Space
[arXiv] 2026-09-03 | The $\mathfrak{sl}_2$-algebra structure of multiple Eisenstein series
[arXiv] 2026-09-03 | Heesch Nodal Lines in Inadmissible Achiral Antiferromagnets
[arXiv] 2026-09-03 | Projected Riemannian Gradient Descent for the Bures-Wasserstein Barycenter: Dimension-Independent Linear Convergence at Unit Step Size
[arXiv] 2026-09-03 | Virtual Testing of Automated Driving Systems through Credible Simulations
[arXiv] 2026-09-03 | Real-space Floquet topology written by the orbital angular momentum of light
[arXiv] 2026-09-03 | Enumerating cores of charged multipartitions
[arXiv] 2026-09-03 | Proof of Steady-State Multiplicity in Aiyagari
[arXiv] 2026-09-03 | Genetic Algorithms for Tractable Bayesian Network Fusion via Pre-Fusion Edge Pruning
[arXiv] 2026-09-03 | What Do CAE Simulation Agents Really Need Beyond a Generic Harness?
[arXiv] 2026-09-03 | Artificial Intelligence for Energy Optimization in Data Centers
[arXiv] 2026-09-03 | MINERVA: How Small Can a Manipulation Policy Be and Still Solve LIBERO?
[arXiv] 2026-09-03 | The Physics of the Nebular Phase in Black Hole X-ray Binaries: Modelling V404 Cygni
[arXiv] 2026-09-03 | The Role of Preceding CMEs and SIRs in Enhancing Shock Acceleration of Electrons
[arXiv] 2026-09-03 | Fermi-Point Topology Determines Emergent Conformal Criticality in Extended Quantum Spin Chains
[arXiv] 2026-09-03 | Federated Causal Discovery via Regression-Directed Cumulants
[arXiv] 2026-09-03 | Synthetic Semantic Supervision for Contrastive Code Representation Learning in Small Transformers: An Empirical Study
[arXiv] 2026-09-03 | Predictive Zonotope Reduction: Precise Runtime Monitoring under Uncertainty
[arXiv] 2026-09-03 | VestigeKV: The NoPE-MLA KV Cache Carries Its Own Eviction Signal in a Vestigial Branch
[arXiv] 2026-09-03 | Mach-number-dependent dissipative anomaly in isothermal compressible turbulence
[arXiv] 2026-09-03 | On the geometry and typicality of quantum magic
[arXiv] 2026-09-03 | Hausdorff--Choquet Angular Spaces and Weak-Type $(1,1)$ Bounds for Rough Maximal Operators
[arXiv] 2026-09-03 | A Case Study on Emergent Cheating and Whistleblowing in Autonomous Research Swarms
[arXiv] 2026-09-03 | Beyond normal fluctuations in local laws for Wigner matrices
[arXiv] 2026-09-03 | BU-MBAR: A hybrid solution strategy for the MBAR equations
[arXiv] 2026-09-03 | Endpoint Estimates for Stein's Purely Quadratic Carleson Operator
[arXiv] 2026-09-03 | Out-of-Distribution Generalisation with Sequence Models in Offline Multi-Agent Reinforcement Learning
[arXiv] 2026-09-03 | Closing the Semantic-Edge Gap: Tiny Language Models for 6G Wireless Intelligence
[arXiv] 2026-09-03 | Differentiable Hybrid Modelling for Learning and Optimising Chemical Transport Processes from Experimental Data
[arXiv] 2026-09-03 | AlcaTRAz - Anchored Tree-Rule Defense Against Jailbreaks
[arXiv] 2026-09-03 | Property Testing for Recursive Query Languages
[arXiv] 2026-09-03 | DRACO: Fine-Grained Credit Assignment with Dynamic Rubrics for Long-Horizon Agent Training
[arXiv] 2026-09-03 | TokenMatch: 3D Mesh Correspondence Transformer with Curvature-Guided Tokenisation
[arXiv] 2026-09-03 | Principia: Relational Physics Tests for Video Models
[arXiv] 2026-09-03 | ESPO: Error-Structured Prompt Optimization via Diagnose, Diversify, and Stabilize
[arXiv] 2026-09-03 | Atmospheric neutrino up-scattering explanation of LZ 2026 excess
[arXiv] 2026-09-03 | TeV Higgsino Interpretation of the LZ High-Recoil Event with Intermediate-Scale Electroweak Gauginos
[arXiv] 2026-09-03 | SENTINEL-RL: Offloading Topological Reasoning from LLM Agents in the Security Operations Center
[arXiv] 2026-09-03 | B(E2) Serves as a Robust Signature of N = 32,34 Shell Evolution
[arXiv] 2026-09-03 | Spectral and Eigenvector Crossovers in Random Mixed Graphs
[arXiv] 2026-09-03 | Persistent Identity Preservation in Generative Image Models: A Benchmark and Evaluation System
[arXiv] 2026-09-03 | Terminal-Universe: Turning Agent Trajectories into Scalable Terminal Environments
[arXiv] 2026-09-03 | The Natural Language Interaction Protocol and Standard for AI Agents
[arXiv] 2026-09-03 | The Shape of Time: Video-Token Contrast for Temporal Understanding in VideoLMs
[arXiv] 2026-09-03 | Strengthened Silicate Glasses by Residual Stress: Depth of Compression and Surface Flaws Stability Conditions
[arXiv] 2026-09-03 | Hardware-Aware FP4 FlashAttention-4
[arXiv] 2026-09-03 | Why Gated DeltaNet Survives 4-Bit Quantization: NVFP4 W4A4 for the Recurrent Half of a Hybrid 27B LLM
[arXiv] 2026-09-03 | Adaptive Vision-Language Grasping via Composable Foundation Priors and Generalizable Grasp Synthesis
[arXiv] 2026-09-03 | Effective Hamiltonian description on monitored Majorana chains: correlated power-law hoppings and unconventional entanglement scaling
[arXiv] 2026-09-03 | A Galois connection between subalgebras and tensor subcategories
[arXiv] 2026-09-03 | Positive and Negative Square Energies of $2$-Connected Graphs
[arXiv] 2026-09-03 | Subspace Inference Enables Efficient Active Reward Learning from Preferences
[arXiv] 2026-09-03 | Small-quench Loschmidt dynamics near quantum critical points
[arXiv] 2026-09-03 | Quantum-Enhanced Phase Estimation with Photon-Added Even and Odd Coherent States in an SU(1,1) Interferometer
[arXiv] 2026-09-03 | A simple derivation of the zero-temperature BCS functional from the reduced BCS Hamiltonian
[arXiv] 2026-09-03 | Factor-parity Hall sets and controllability
[arXiv] 2026-09-03 | DSAQuant: Denoising-Stage-Aligned Quantization-Aware Training for Video Generation
[arXiv] 2026-09-03 | Stable and Scalable Bundle Adjustment of Holistic 3D Structures
[arXiv] 2026-09-03 | Instruction Duplication as an Inference-Time Control Primitive
[arXiv] 2026-09-03 | Representational alignment yields generalizable safety in language models
[arXiv] 2026-09-03 | A location-invariant estimator of extremal quantile treatment effects for heavy-tailed distributions
[arXiv] 2026-09-03 | Hierarchical automation of scanning probe microscopy through agentic orchestration and algorithmic control
[arXiv] 2026-09-03 | The Endpoint Fractional Riesz Estimate on the Hamming Cube
[arXiv] 2026-09-03 | Alignment-Free Text-Audiobox for Voice Dubbing and Full-Duplex Dialogue Synthesis
[arXiv] 2026-09-03 | Strongly anisotropic non-Kramers electron spin as a quantum coherence probe of angular fluctuations
[arXiv] 2026-09-03 | Low-Complexity Sequential Detection Framework for Single-Channel Co-Frequency Signal Separation
[arXiv] 2026-09-03 | IchthyoNoma: Nomenclature and Context Sensitivity of Zero-Shot Biological Vision--Language Models for Bangladeshi Freshwater Fish Recognition
[arXiv] 2026-09-03 | The finiteness conjecture for equilibria of electric fields generated by point charges of one sign
[arXiv] 2026-09-03 | On the exponential sum over squarefree integers
[arXiv] 2026-09-03 | How do flapping avian wing exhibit superior aerodynamic performance?
[arXiv] 2026-09-03 | RARF: Region-Aware Rectified Flows for 3D Brain MRI Inpainting
[arXiv] 2026-09-03 | Extrinsic orbital Edelstein effect from asymmetric scattering
[arXiv] 2026-09-03 | Such stuff as magic is made on: compact operator algebra, stabilizer polytope and the structure of reduced density matrices in a Kitaev spin liquid
[arXiv] 2026-09-03 | 3.5-meter Segmented-Mirror Robotic Space Telescope Mission White Paper IV. Key Scientific Mission: Solar-System Small Bodies and Planetary Defense
[arXiv] 2026-09-03 | Magnetic Dipole Hyperfine Constants of 15 Energy Levels in $^{169}$Tm II Determined by Collinear Laser Fluorescence Spectroscopy
[arXiv] 2026-09-03 | Semi-discrete quadratic Wasserstein energy and state-dependent Langevin exploration
[arXiv] 2026-09-03 | Closure complexity of longest-edge bisection for triangular meshes
[arXiv] 2026-09-03 | Taylor Positivity of Ehrhart Polynomials
[arXiv] 2026-09-03 | Log canonical models of a fixed variety with varying boundaries
[arXiv] 2026-09-03 | The conformally invariant metric on CLE$_4$ III: uniqueness
[arXiv] 2026-09-03 | Quantum Query Complexity of Finding a Tarski Fixed Point on a High-Dimensional Grid
[arXiv] 2026-09-03 | WeatherNext 3: Increasing resolution and performance of global weather models with raw observations
[arXiv] 2026-09-03 | Singularity Models of Finite-Time Kähler-Ricci Flows
[arXiv] 2026-09-03 | Stochastic Operator Inference for reduced-order modeling of capillary wave turbulence using experimental measurements
[IEEE] 2026-9-3 | Less Is More: Minimal Components for Contrastive Learning Delivering Superior Accuracy and Efficiency
[IEEE] 2026-9-3 | Secure-Oriented Gain-Scheduling for IT-2 Fuzzy Active Vehicle Suspension Systems Under Malicious Attacks: Polynomial-Driven Relaxation and Experimental Validation
[IEEE] 2026-9-3 | Automated Robotic Vascular Cannulation With Bi-Rotational Insertion and Multimodal Monitoring and Feedback_supp1-3730293.mp4
[IEEE] 2026-9-3 | Transmitter Noise Propagation in Millimeter-Wave and Sub-Terahertz: From Limits to Design Guidelines
[IEEE] 2026-9-3 | Generalizable Multi-Agent Planning From Signal Temporal Logic Specifications Via Diffusion_supp1-3730215.mp4
[IEEE] 2026-9-3 | Member Get-a-Member (MGM) Program
[IEEE] 2026-9-3 | Emotion Induction through AffectMachine: Testing Subjective and Physiological Responses to Generative Music
[IEEE] 2026-9-3 | Technical Program Calender
[IEEE] 2026-9-3 | Bayesian Risk-Based Sequential Detection for Fast Color-Sequence Identification in Optical Camera Communication
[IEEE] 2026-9-3 | Block-Copolymer Compatibilizer-Assisted COC/PP Blending for Enhancing the Dielectric Performance of Polypropylene
[IEEE] 2026-9-3 | Study of Polypropylene with Ethylene Propylene Diene Terpolymer for Recyclable Cable Insulation
[IEEE] 2026-9-3 | Condition Assessment of Discharge Space Based on Transfer Function Estimated from Partial Discharge Waveform
[IEEE] 2026-9-3 | Interface Tracking Characteristics between Epoxy Resin Modified by ZrW
                    <sub>2</sub>
                    O
                    <sub>8</sub>
                    and Silicone Rubber at Low Interface Pressure
[IEEE] 2026-9-3 | A New Way to Benchmark Low-Dimensional Optoelectronic Synapses
[IEEE] 2026-9-3 | Study of the Behavior of Motor Winding Wire Insulation in the Presence of Electrical Discharges and Organic Vapors
[IEEE] 2026-9-3 | Design and Control Methods of TSAW Acoustic Tweezers System for Cellular Sorting
[IEEE] 2026-9-3 | Inception Model for Dielectric Breakdown of Gases
[IEEE] 2026-9-3 | Generator Bearing Condition Interpretation Through Vibration and Temperature Forecasting Using LSTM Priok Power Plants
[IEEE] 2026-9-3 | Enhanced Power Decoupling and Independent MPPT in a Cascaded Boost Three-Leg Inverter PV System: Validation under Resistive and Inductive Loads
[IEEE] 2026-9-3 | Mechanism and Optimization Study of Pulse Voltage Parameters on Acoustic Wave Propagation in the Pulsed Electroacoustic Method
[IEEE] 2026-9-3 | Development of Soft Embedded Electrode Systems for Electrical Treeing Experiments
[IEEE] 2026-9-3 | Ester-Based Impregnates Molecular Gas Absorption and Fluidity Structure-Activity Relationship Models Established Through DFT and Molecular Dynamics
[IEEE] 2026-9-3 | Characterization of Gaseous Helium Discharge in a Non-Uniform Electric Field
[IEEE] 2026-9-3 | Low Frequency Resistance Measurement on HVDC Aeronautical Components for Space Charge Characterization
[IEEE] 2026-9-3 | Thickness-Dependent Radiation Response of PTFE Films under Gamma Irradiation: Structural and Mechanical Analysis
[IEEE] 2026-9-3 | Lifetime Evaluation of SiN
                    <sub>x</sub>
                    Films Under Electrical Aging
[IEEE] 2026-9-3 | Energy Storage in Epoxy Composites Filled with Modified Carbon Nanotubes
[ACM] 2026-9-4 | A Novel Method for Professional Book Recommendation Based on Fusion of Dynamic User Profile and Bert-Faiss
[ACM] 2026-9-4 | Breath-Gaze Coordination for AR Inspection: Reducing False Triggers While Supporting Physiological Regulation
[ACM] 2026-9-4 | Architecture Design of Knowledge Graph for Fault Diagnosis
[ACM] 2026-9-4 | Design Methodology for Immersive Red Culture Experience Based on Multimodal Interaction and the Construction of Emotional Models
[ACM] 2026-9-4 | A Deep Learning-Enabled Framework for Intelligent Identification of Urban Linear Green Space Usage Challenges Using Social Media Data.
[IEEE] 2026-9-3 | Physics-Guided Invariant Causal Representation Learning for Blind Domain Generalization in Bearing Fault Diagnosis
[ACM] 2026-9-4 | AI-Based Mental Health Prediction and Intervention for College Students
[ACM] 2026-9-4 | Research on Retrieval-Augmented Generation (RAG) and Agentic Decision Optimization for Standard Essential Patents (SEPs)
[ACM] 2026-9-4 | Design and Development of Employment Recommendation System Based on Deep Learning Models
[ACM] 2026-9-4 | Personalized Layout Optimization Method for Digital News Interactive Interfaces Based on Multimodal Feature Fusion
[ACM] 2026-9-4 | Intelligent Governance System for PPP Digital Ecology Based on Multimodal Fusion and Metaheuristic Algorithms
[ACM] 2026-9-4 | Aviation English Speaking Training by Combining LSTM-HMM Model and VR Technology
[ACM] 2026-9-4 | International Chinese Writing Explainable Feedback System Based on Large Model: Benchmark Construction and Ablation Analysis
[ACM] 2026-9-4 | A Non-Contact Volume Measurement Method for Ore Based on an Improved Deep Convolutional Feature Extraction Algorithm
[ACM] 2026-9-4 | Design of TextRank-BERT Fusion Model for Multi-source Review Sentiment Analysis and Optimization Decision-making in Grand Canal Tourism
[ACM] 2026-9-4 | Research on Security Governance and Monitoring Technology for API Digital Assets under Microservices Architecture
[ACM] 2026-9-4 | A Dual-Stream Spatiotemporal Attention Hybrid Learning Framework for Construction Cost Prediction
[ACM] 2026-9-4 | Research on Industry-LLM Fault Diagnosis and Decision-Making with Knowledge Augmentation and Multimodal Alignment
[IEEE] 2026-9-4 | Cooperative Communication Task Offloading With Untrustworthy ARIS Swarm Via Federated Security Reinforcement Learning
[IEEE] 2026-9-4 | Table of Contents
[IEEE] 2026-9-4 | Proactive Slip Prevention for Quadruped Robots via Horizon-Aware Slip Prediction and Gait Adaptation
[IEEE] 2026-9-4 | Crop Segmentation for Precision Agriculture from UAV Imagery Using ML and DL with Sparse Annotations
[IEEE] 2026-9-4 | Distributed Learning for Resilient LEO Satellite Access under Adversarial Jamming_supp1-3729981.pdf
[IEEE] 2026-9-4 | Ship Length and Velocity Estimation using Range-Doppler Maps and Neural Networks
[IEEE] 2026-9-4 | Novel Algorithms for Fast and Scalable Evolutionary Clustering Tendency Assessment of Big Data_supp1-3730736.pdf
[IEEE] 2026-9-4 | Physics-Informed Dynamic Maintenance Optimization for Offshore Wind Farms Under Hybrid Uncertainty: A Distributionally Robust Approach
[IEEE] 2026-9-4 | Geometry-Aware Joint Power Statistics and Outage Dynamics of Time-Correlated Shadowed Rician LEO Downlinks
[IEEE] 2026-9-4 | ASCRNet: An Abundance-Guided Spectral-Spatial Collaborative Reconstruction Network for Single Hyperspectral Image Super-Resolution
[IEEE] 2026-9-4 | CAST-Phys: Contactless Affective States Through Physiological Signals Database_supp1-3678698.pdf
[IEEE] 2026-9-4 | Maximilian Naumann [ITS People]
[IEEE] 2026-9-4 | IEEE Computer Society Call for Papers
[IEEE] 2026-9-4 | IEEE App
[IEEE] 2026-9-4 | Graph Neural Network Approach for Boundary Node Detection in Wireless Sensor and IoT Networks Using the LPCN Algorithm
[IEEE] 2026-9-4 | Sidelobe Optimization of Window-Based Nonlinear Frequency-Modulated Waveforms
[IEEE] 2026-9-4 | A Near-Infrared Intensity/Event Dual-Modal PbS CQD Image Sensor With In-Pixel Computation and Background Reduction
[IEEE] 2026-9-4 | Non-Invasive Approaches for Measuring Platelet Count: Progress, Challenges, and Future Prospects
[IEEE] 2026-9-3 | A Two-Stage Hybrid GA-PSO Algorithm for Adaptive Overcurrent Protection in Dynamic Distribution Systems
[IEEE] 2026-9-3 | The Influence of Antioxidants on the Thermooxidative Aging Characteristics of XLPE
[IEEE] 2026-9-3 | Diagnosis Method for Cable Shield Break Defects Based on Combined Phase-to-Ground and Phase-to-phase Frequency Domain Reflectometry
[IEEE] 2026-9-3 | High-Temperature Dielectric and AC Breakdown Properties of Alicyclic Epoxy Resins and Silica-Filled Composites
[IEEE] 2026-9-3 | Analysis of Degraded Features on Silicone Rubber Due to Environmental Factors
[IEEE] 2026-9-3 | Effect of Crystallization Property on Electrical Properties of PP/SEBS Composites as Nuclear Cable Insulation
[IEEE] 2026-9-3 | Electrical Aging Mechanisms of $\text{SiN}_{\mathrm{x}}$ Films Under Bipolar Electric Field Bias
[IEEE] 2026-9-3 | Analysis of the Charge Trap Distribution of Space Used Dielectric Materials
[IEEE] 2026-9-3 | Influence of Short Time Disturbances on PD Characteristics in Hairpin Motor Insulation
[IEEE] 2026-9-3 | Impact of Thermal Aging on the Dielectric Properties and Breakdown Strength of Perfluoroalkoxy (PFA) Insulated High-Voltage Cables for Hybrid/Electric Aircraft
[IEEE] 2026-9-3 | Simulation of a New PEA Cell for Cable Specimens
[IEEE] 2026-9-3 | Computational Investigation of Quantum Memory Logic Implemented with Electron Spins in Silicon Devices
[IEEE] 2026-9-3 | Mixed-Precision Floating-Point Arithmetic for Highly Accurate Artificial Neural Networks
[IEEE] 2026-9-3 | How Geometric and Atomistic Asymmetries Affect Entangled Light Generation in InGaN/GaN Quantum Dots
[IEEE] 2026-9-3 | A Multi-Agent Reinforcement Learning Congestion Control Protocol for Wireless Networks
[IEEE] 2026-9-3 | Instant Response Keyword Spotting via Early Prediction in Streaming Speech
[IEEE] 2026-9-3 | Table of Contents
[IEEE] 2026-9-3 | Robust Classification of Incomplete Industrial Time Series via Game-Routed Dual Evidence Coordination_supp1-3725412.pdf
[IEEE] 2026-9-3 | Index of Authors
[IEEE] 2026-9-3 | Frequency-Dependent Uncertainty Analysis of Bioimpedance in Engineered and Native Muscle
[IEEE] 2026-9-3 | On the In
                    <sub>x</sub>
                    Ga
                    <sub>1−x</sub>
                    As channel noise in InP HEMTs from 4 K to 300 K
[IEEE] 2026-9-3 | Assessing the Feasibility of Insect Density Quantification by Single-Polarization Weather Radar
[IEEE] 2026-9-3 | A Lightweight Authentication and Key Agreement Scheme for PIoT Devices Based on the SM9 Algorithm
[IEEE] 2026-9-3 | Repeat-Free Codes with Local Constraints
[IEEE] 2026-9-3 | Front Cover Page
[IEEE] 2026-9-3 | A Decoupled Dual-teacher Collaborative Semi-supervised Framework for High-resolution Remote Sensing Image Semantic Segmentation
[ACM] 2026-9-3 | Games of Diplomacy: Eliciting Spite Against Automated Opponents Through Structured Game Environments
[ACM] 2026-9-4 | The Impact of Visual Language Strategies in Public Art Creation on Community Spatial Perception and Public Behavior
[ACM] 2026-9-4 | Deep Learning-Based Sentiment Analysis of Fan Communities for Game Realism and Collectible Toys: An Integrated SEM-Machine Learning Pipeline for Brand Loyalty and Engagement Forecasting
[ACM] 2026-9-4 | Development of Python-Based Thermal Analysis and Visualization Software
[ACM] 2026-9-4 | Design Method and Application Research of Mobile Bathing Cabin for Disabled Elderly Based on AHP-QFD-TRIZ Model
[ACM] 2026-9-4 | Research on Optimizing AI-Assisted Film and Television VFX Production
[ACM] 2026-9-4 | Deep Learning-Based Multi-Source Data Fusion Methods for Intelligent Information Processing
[ACM] 2026-9-4 | Transformer and Contrastive Learning Based Cross-Modal Retrieval System Optimization for Rural Intangible Heritage Images and Texts
[ACM] 2026-9-4 | An Interactive Healing Device Based on ASMR Audio
[ACM] 2026-9-4 | Role-Playing Simulation in Epilepsy Education: Multimodal Hybrid Ensemble Analysis of Communication Skills, Self-Efficacy and Knowledge
[ACM] 2026-9-4 | AIGC-Assisted Fashion Content Creation and Communication in New Media
[ACM] 2026-9-4 | Text-to-3D Generative Model-Driven Dynamic Construction of Interactive Forms for VR Installation Art
[ACM] 2026-9-4 | Modeling Analysis and Optimization of Rating and Voting Mechanism of Dance Reality Shows: A Case Study of Dancing with the Stars
[ACM] 2026-9-4 | Generation of Visual Flow Paths for Spatial Arrangement of Paintings in Virtual Exhibition Halls
[ACM] 2026-9-4 | Methods for the Digital Presentation of Fabric Texture in Clothing Based on Virtual Reality
[ACM] 2026-9-4 | Proceedings of the 2026 5th International Conference on Cyber Security, Artificial Intelligence and Digital Economy
[ACM] 2026-9-4 | Terminal Security Protection Method Based on Self-Explanatory Constraint Verification of Terminal Operation
