[2026-03-25 22:37:12] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-03-24
正在获取论文...
[arXiv] 2026-03-24 | First Detection of the Glycine Isomer Glycolamide in Hot Molecular Core
[arXiv] 2026-03-24 | PhySe-RPO: Physics and Semantics Guided Relative Policy Optimization for Diffusion-Based Surgical Smoke Removal
[arXiv] 2026-03-24 | MultiCam: On-the-fly Multi-Camera Pose Estimation Using Spatiotemporal Overlaps of Known Objects
[arXiv] 2026-03-24 | Analysing LLM Persona Generation and Fairness Interpretation in Polarised Geopolitical Contexts
[arXiv] 2026-03-24 | Profound impacts of interlayer interactions in bilayer altermagnetic V2S2O
[arXiv] 2026-03-24 | MVRD-Bench: Multi-View Learning and Benchmarking for Dynamic Remote Photoplethysmography under Occlusion
[arXiv] 2026-03-24 | Empirical Comparison of Agent Communication Protocols for Task Orchestration
[arXiv] 2026-03-24 | Cross-Slice Knowledge Transfer via Masked Multi-Modal Heterogeneous Graph Contrastive Learning for Spatial Gene Expression Inference
[arXiv] 2026-03-24 | Efficient Hallucination Detection: Adaptive Bayesian Estimation of Semantic Entropy with Guided Semantic Exploration
[arXiv] 2026-03-24 | Toward scalable and bias-stable optical phased arrays on lithium tantalate
[arXiv] 2026-03-24 | Murmurations, Periods, and Local Factors
[arXiv] 2026-03-24 | CATNAV: Cached Vision-Language Traversability for Efficient Zero-Shot Robot Navigation
[arXiv] 2026-03-24 | Encoded Quantum Signal Processing for Heisenberg-Limited Metrology
[arXiv] 2026-03-24 | Enhancing cosmological constraints with nonlinear tanh transformations of Hermite-Gaussian Derivative fields
[arXiv] 2026-03-24 | PhotoAgent: A Robotic Photographer with Spatial and Aesthetic Understanding
[arXiv] 2026-03-24 | It Takes Two: A Duet of Periodicity and Directionality for Burst Flicker Removal
[arXiv] 2026-03-24 | Know3D: Prompting 3D Generation with Knowledge from Vision-Language Models
[arXiv] 2026-03-24 | Viewport-based Neural 360° Image Compression
[arXiv] 2026-03-24 | $L^r$-Multipliers on compact $p$-adic Lie groups
[arXiv] 2026-03-24 | Explainable Threat Attribution for IoT Networks Using Conditional SHAP and Flow Behavior Modelling
[arXiv] 2026-03-24 | ENC-Bench: A Benchmark for Evaluating Multimodal Large Language Models in Electronic Navigational Chart Understanding
[arXiv] 2026-03-24 | Human vs. NAO: A Computational-Behavioral Framework for Quantifying Social Orienting in Autism and Typical Development
[arXiv] 2026-03-24 | PRISM: A Dual View of LLM Reasoning through Semantic Flow and Latent Computation
[arXiv] 2026-03-24 | Beyond Binary Correctness: Scaling Evaluation of Long-Horizon Agents on Subjective Enterprise Tasks
[arXiv] 2026-03-24 | Interference-induced state engineering and Hamiltonian control for noisy collective-spin metrology
[arXiv] 2026-03-24 | Fleet-Level Battery-Health-Aware Scheduling for Autonomous Mobile Robots
[arXiv] 2026-03-24 | How Utilitarian Are OpenAI's Models Really? Replicating and Reinterpreting Pfeffer, Krügel, and Uhl (2025)
[arXiv] 2026-03-24 | A Study of Scientific Computational Notebook Quality
[arXiv] 2026-03-24 | Two-dimensional bound excitons in the real space and Landau quantization space: a comparative study
[arXiv] 2026-03-24 | \textit{Ab initio} calculations of first-forbidden $β$ transitions in the reactor antineutrino anomaly
[arXiv] 2026-03-24 | A Slit Mask Integral Field Unit for the Robert Stobie Spectrograph on the Southern African Large Telescope: I. Instrument Development
[arXiv] 2026-03-24 | A Clinically Anchored Radiomics Dictionary for Explainable TI-RADS-Based Thyroid Nodule Classification in Ultrasound; Dictionary Version TU1.0
[arXiv] 2026-03-24 | Rank-Aware Resource Scheduling for Tightly-Coupled MPI Workloads on Kubernetes
[arXiv] 2026-03-24 | GeoTikzBridge: Advancing Multimodal Code Generation for Geometric Perception and Reasoning
[arXiv] 2026-03-24 | Simple but not Simpler: A Surface-Sliding Method for Finding the Minimum Distance between Two Ellipsoids
[arXiv] 2026-03-24 | Anti-concentration of polynomials: $L^{p}$ balls and symmetric measures
[arXiv] 2026-03-24 | Orbital motion detected in gamma Cas Fe K emission lines
[arXiv] 2026-03-24 | Designing a Meta-Reflective Dashboard for Instructor Insight into Student-AI Interactions
[arXiv] 2026-03-24 | RC-HEOM Hybrid Method for Non-Perturbative Open System Dynamics
[arXiv] 2026-03-24 | Is AI Catching Up to Human Expression? Exploring Emotion, Personality, Authorship, and Linguistic Style in English and Arabic with Six Large Language Models
[arXiv] 2026-03-24 | A Learning Method with Gap-Aware Generation for Heterogeneous DAG Scheduling
[arXiv] 2026-03-24 | PERMA: Benchmarking Personalized Memory Agents via Event-Driven Preference and Realistic Task Environments
[arXiv] 2026-03-24 | Efficient Hybrid SE(3)-Equivariant Visuomotor Flow Policy via Spherical Harmonics for Robot Manipulation
[arXiv] 2026-03-24 | Underdetermined Library-aided Impedance Estimation with Terminal Smart Meter Data
[arXiv] 2026-03-24 | Linear spaces in Hessian loci of cubic hypersurfaces
[arXiv] 2026-03-24 | Scalable Impedance Identification of Diverse IBRs via Cluster-Specialized Neural Networks
[arXiv] 2026-03-24 | Sparser, Faster, Lighter Transformer Language Models
[arXiv] 2026-03-24 | GTLR-GS: Geometry-Texture Aware LiDAR-Regularized 3D Gaussian Splatting for Realistic Scene Reconstruction
[arXiv] 2026-03-24 | ImplicitRM: Unbiased Reward Modeling from Implicit Preference Data for LLM alignment
[arXiv] 2026-03-24 | Reasoning over Semantic IDs Enhances Generative Recommendation
[arXiv] 2026-03-24 | Experimental Insights into the Limiting Mechanism of Vacancy Transport in Sodium Metal Anodes for Solid State Batteries
[arXiv] 2026-03-24 | Tightly-Coupled Radar-Visual-Inertial Odometry
[arXiv] 2026-03-24 | Experimental Characterisation of Distributed Reactive Power Sharing under Communication-Induced Stress in Parallel Grid-Forming Inverters
[arXiv] 2026-03-24 | AlphaDiffract: Automated Crystallographic Analysis of Powder X-ray Diffraction Data
[arXiv] 2026-03-24 | Orlov's functors in Macaulay2
[arXiv] 2026-03-24 | MRATTS: An MR-Based Acupoint Therapy Training System with Real-Time Acupoint Detection and Evaluation Standards
[arXiv] 2026-03-24 | Describe-Then-Act: Proactive Agent Steering via Distilled Language-Action World Models
[arXiv] 2026-03-24 | Gravitational Waves from Mergers of Asymmetric Dark Stars
[arXiv] 2026-03-24 | Higher-Order Multivariate Environmental Influences in Structural Health Monitoring
[arXiv] 2026-03-24 | Correlation-driven enhancement of pairing in a nematic Hund's metal
[arXiv] 2026-03-24 | UniDial-EvalKit: A Unified Toolkit for Evaluating Multi-Faceted Conversational Abilities
[arXiv] 2026-03-24 | Dynamics of Aligning Active Matter: Mapping to a Schrödinger Equation and Exact Diagonalization
[arXiv] 2026-03-24 | AuthorMix: Modular Authorship Style Transfer via Layer-wise Adapter Mixing
[arXiv] 2026-03-24 | Hall Viscosity in the Quark-Gluon Plasma
[arXiv] 2026-03-24 | KATRIN Sensitivity to keV Sterile Neutrinos with the TRISTAN Detector Upgrade
[arXiv] 2026-03-24 | Balancing training load, rest and musculoskeletal injury risk: a mathematical modelling study in Thoroughbred racehorses
[arXiv] 2026-03-24 | Ab Initio Simulation of Femtosecond Time-Resolved Multi-Pulse Spectroscopies applied to the Heptazine$\cdots$H$_2$O Complex
[arXiv] 2026-03-24 | Variable-Resolution Virtual Maps for Autonomous Exploration with Unmanned Surface Vehicles (USVs)
[arXiv] 2026-03-24 | Improving LLM Predictions via Inter-Layer Structural Encoders
[arXiv] 2026-03-24 | The Two Component Circumgalactic Medium Emission around z~2 Radio-loud Quasars
[arXiv] 2026-03-24 | CMA-Unfold A Covariance Matrix Adaptation unfolding algorithm for stacked calorimeter detectors
[arXiv] 2026-03-24 | GHz control of THz QCL band structure and gain by standing acoustic strain
[arXiv] 2026-03-24 | The EU AI Act and the Rights-based Approach to Technological Governance
[arXiv] 2026-03-24 | GateSID: Adaptive Gating for Semantic-Collaborative Alignment in Cold-Start Recommendation
[arXiv] 2026-03-24 | Mars excitement in Australian newspapers, 1877-1899: Humour and the public negotiation of astronomical knowledge
[arXiv] 2026-03-24 | Mars in the Australian Press, 1875-1899. 2. Circulation and Attribution
[arXiv] 2026-03-24 | V-shaped transition fronts of monotone bistable reaction-diffusion systems in exterior domains
[arXiv] 2026-03-24 | Transition form factors for $D/B$ to $a_{0}(980)$ from light-cone QCD sum rules
[arXiv] 2026-03-24 | TreeTeaming: Autonomous Red-Teaming of Vision-Language Models via Hierarchical Strategy Exploration
[arXiv] 2026-03-24 | Parametric Modulation of Nonlinear Coupling in the Hénon Heiles System: Resonances, Chaos, and Stabilization
[arXiv] 2026-03-24 | ForeSea: AI Forensic Search with Multi-modal Queries for Video Surveillance
[arXiv] 2026-03-24 | TRINE: A Token-Aware, Runtime-Adaptive FPGA Inference Engine for Multimodal AI
[arXiv] 2026-03-24 | The Evolution of Tool Use in LLM Agents: From Single-Tool Call to Multi-Tool Orchestration
[arXiv] 2026-03-24 | DecompGrind: A Decomposition Framework for Robotic Grinding via Cutting-Surface Planning and Contact-Force Adaptation
[arXiv] 2026-03-24 | TorR: Towards Brain-Inspired Task-Oriented Reasoning via Cache-Oriented Algorithm-Architecture Co-design
[arXiv] 2026-03-24 | CoMaTrack: Competitive Multi-Agent Game-Theoretic Tracking with Vision-Language-Action Models
[arXiv] 2026-03-24 | TDATR: Improving End-to-End Table Recognition via Table Detail-Aware Learning and Cell-Level Visual Alignment
[arXiv] 2026-03-24 | On the Complexity of Secluded Path Problems
[arXiv] 2026-03-24 | "Don't Mess Up My Algorithm": Phatic Communication and Algorithmic Contagion in Meme Sharing
[arXiv] 2026-03-24 | Thermalization of Weakly Nonintegrable FPUT and Toda Dynamics: A Lyapunov Spectrum Perspective
[arXiv] 2026-03-24 | Equivalence of Finite- and Fixed-time Stability to Asymptotic Stability
[arXiv] 2026-03-24 | ABSTRAL: Automatic Design of Multi-Agent Systems Through Iterative Refinement and Topology Optimization
[arXiv] 2026-03-24 | Understanding Bugs in Quantum Simulators: An Empirical Study
[arXiv] 2026-03-24 | Dark energy stars from the modified Chaplygin gas: $C-I-Λ-E_g-f$ universal relations
[arXiv] 2026-03-24 | Characterizing CPU-Induced Slowdowns in Multi-GPU LLM Inference
[arXiv] 2026-03-24 | From Pixels to Semantics: A Multi-Stage AI Framework for Structural Damage Detection in Satellite Imagery
[arXiv] 2026-03-24 | SG-VLA: Learning Spatially-Grounded Vision-Language-Action Models for Mobile Manipulation
[arXiv] 2026-03-24 | Digital Twin Enabled Simultaneous Learning and Modeling for UAV-assisted Secure Communications with Eavesdropping Attacks
[arXiv] 2026-03-24 | Thermodynamic constraints and future singularities in Unimodular Gravity driven by phantom and non-phantom fluids
[arXiv] 2026-03-24 | Experimental investigation of magnetic properties of MnFeCo$_{4}$Si$_{2}$ discovered by GNoME
[arXiv] 2026-03-24 | Pre Seismic Quiescence and Dynamical Regime Transitions in the Japan and Chile Earthquake Catalogs Evidence from KR Critical Slowing Down Indicators
[arXiv] 2026-03-24 | Spiking Personalized Federated Learning for Brain-Computer Interface-Enabled Immersive Communication
[arXiv] 2026-03-24 | Sub-nanometer resolution of the nitrogen-vacancy center by Fourier magnetic imaging
[arXiv] 2026-03-24 | Non-Adversarial Imitation Learning Provably Free of Compounding Errors: The Role of Bellman Constraints
[arXiv] 2026-03-24 | Detecting Non-Membership in LLM Training Data via Rank Correlations
[arXiv] 2026-03-24 | Synthetic or Authentic? Building Mental Patient Simulators from Longitudinal Evidence
[arXiv] 2026-03-24 | TimeWeaver: Age-Consistent Reference-Based Face Restoration with Identity Preservation
[arXiv] 2026-03-24 | Coordinate Encoding on Linear Grids for Physics-Informed Neural Networks
[arXiv] 2026-03-24 | WiFi2Cap: Semantic Action Captioning from Wi-Fi CSI via Limb-Level Semantic Alignment
[arXiv] 2026-03-24 | BlindMarket: Enabling Verifiable, Confidential, and Traceable IP Core Distribution in Zero-Trust Settings
[arXiv] 2026-03-24 | Non-Hermitian Mosaic Maryland model
[arXiv] 2026-03-24 | Unlocking accretion rate diagnostics for high-mass protostars using JWST/MIRI HI lines
[arXiv] 2026-03-24 | A $Γ$-valley Moiré Platform for Tunable Square Lattice Hubbard Model
[arXiv] 2026-03-24 | A Schrödinger Eigenfunction Method for Long-Horizon Stochastic Optimal Control
[arXiv] 2026-03-24 | Long-time error analysis of finite element fully discrete schemes for SPDEs with non-globally Lipschitz coefficients
[arXiv] 2026-03-24 | Dual Contrastive Network for Few-Shot Remote Sensing Image Scene Classification
[arXiv] 2026-03-24 | The universal property of graded $KK^G$-theory
[arXiv] 2026-03-24 | From Quantum Dimers to the $π$-flux Toric Code via Deconfined Multicriticality
[arXiv] 2026-03-24 | VoDaSuRe: A Large-Scale Dataset Revealing Domain Shift in Volumetric Super-Resolution
[arXiv] 2026-03-24 | Unified description of Sivers and Boer-Mulders asymmetries from twist-3 correlations
[arXiv] 2026-03-24 | HGNet: Scalable Foundation Model for Automated Knowledge Graph Generation from Scientific Literature
[arXiv] 2026-03-24 | Fault-Tolerant Design and Multi-Objective Model Checking for Real-Time Deep Reinforcement Learning Systems
[arXiv] 2026-03-24 | Global Koszul Duality: Differential Graded Cocommutative Coalgebras and Curved Lie Algebras
[arXiv] 2026-03-24 | Holography, Brick Wall and a Little Hierarchy Problem
[arXiv] 2026-03-24 | Spatial Analysis on Value-Based Quadtrees of Rasterized Vector Data
[arXiv] 2026-03-24 | Formalizing Pick's Theorem, efficiently
[arXiv] 2026-03-24 | Todorcevic's Problem on Rado's Conjecture
[arXiv] 2026-03-24 | Global well-posedness of solutions for the equations modelling the motion of a rigid body in a bidimensional perfect fluid
[arXiv] 2026-03-24 | MedCausalX: Adaptive Causal Reasoning with Self-Reflection for Trustworthy Medical Vision-Language Models
[arXiv] 2026-03-24 | PolarAPP: Beyond Polarization Demosaicking for Polarimetric Applications
[arXiv] 2026-03-24 | The time-delay model and its applications to galactic archaeology
[arXiv] 2026-03-24 | Basis dependence of eigenstate thermalization
[arXiv] 2026-03-24 | A Practical Framework for Flaky Failure Triage in Distributed Database Continuous Integration
[arXiv] 2026-03-24 | MSR-HuBERT: Self-supervised Pre-training for Adaptation to Multiple Sampling Rates
[arXiv] 2026-03-24 | Convergence analysis of accelerated algorithms via a mixed-order dynamical system for separable nonsmooth convex optimization
[arXiv] 2026-03-24 | Light fermionic dark matter window in the scotogenic inverse seesaw model
[arXiv] 2026-03-24 | YOLOv10 with Kolmogorov-Arnold networks and vision-language foundation models for interpretable object detection and trustworthy multimodal AI in computer vision perception
[arXiv] 2026-03-24 | Revisiting Constraints on Primordial Curvature Power Spectrum from PBH Abundances
[arXiv] 2026-03-24 | Cog3DMap: Multi-View Vision-Language Reasoning with 3D Cognitive Maps
[arXiv] 2026-03-24 | Concept-based explanations of Segmentation and Detection models in Natural Disaster Management
[arXiv] 2026-03-24 | Radial Symmetry of Solutions to Quasilinear Hamilton--Jacobi--Bellman Equations in $\mathbb{R}^N$
[arXiv] 2026-03-24 | Knowledge Access Beats Model Size: Memory Augmented Routing for Persistent AI Agents
[arXiv] 2026-03-24 | Quantum correlations and dissipative blockade of polaritons in a tunable fiber cavity
[arXiv] 2026-03-24 | Genus one Birkhoff sections for geodesic flows on orbifolds
[arXiv] 2026-03-24 | Anisotropic truncation for turbulent transport in the Hasegawa-Wakatani system
[arXiv] 2026-03-24 | Design Guidelines for Nonlinear Kalman Filters via Covariance Compensation
[arXiv] 2026-03-24 | Imprecise quantum steering inequalities in tripartite systems
[arXiv] 2026-03-24 | Linear time single-source shortest path algorithms in Euclidean graph classes
[arXiv] 2026-03-24 | Caption Generation for Dongba Paintings via Prompt Learning and Semantic Fusion
[arXiv] 2026-03-24 | PersonalQ: Select, Quantize, and Serve Personalized Diffusion Models for Efficient Inference
[arXiv] 2026-03-24 | Nonlinear Stability of Taylor-Couette Flows with Heat Buoyancy
[arXiv] 2026-03-24 | On modules over a Hopf brace
[arXiv] 2026-03-24 | Virtual materials testing of ASSB cathodes combining AI-based stochastic 3D modeling and numerical simulations
[arXiv] 2026-03-24 | Gyokuro: Source-assisted Private Membership Testing using Trusted Execution Environments
[arXiv] 2026-03-24 | RF-Zero-Wire: Design and Analysis of Multi-Hop Low-latency Symbol-synchronous RF Communication
[arXiv] 2026-03-24 | A Latency Coding Framework for Deep Spiking Neural Networks with Ultra-Low Latency
[arXiv] 2026-03-24 | PhysSkin: Real-Time and Generalizable Physics-Based Animation via Self-Supervised Neural Skinning
[arXiv] 2026-03-24 | Algorithms and Hardness for Geodetic Set on Tree-like Digraphs
[arXiv] 2026-03-24 | Gaze-Regularized VLMs for Ego-Centric Behavior Understanding
[arXiv] 2026-03-24 | ViKey: Enhancing Temporal Understanding in Videos via Visual Prompting
[arXiv] 2026-03-24 | Sometimes You Just Can't Put a Ring on It: Setting Constraints on Rings around Moons from Magnetic Fields
[arXiv] 2026-03-24 | Active learning-enabled multi-objective design of thermally conductive and mechanically compliant polymers
[arXiv] 2026-03-24 | Tunable Floquet selection rules in a driven Ising chain
[arXiv] 2026-03-24 | AgentRVOS: Reasoning over Object Tracks for Zero-Shot Referring Video Object Segmentation
[arXiv] 2026-03-24 | Solutions of the constraints with controlled decay to Kerr, including Schwartz decay
[arXiv] 2026-03-24 | ReqFusion: A Multi-Provider Framework for Automated PEGS Analysis Across Software Domains
[arXiv] 2026-03-24 | VTAM: Video-Tactile-Action Models for Complex Physical Interaction Beyond VLAs
[arXiv] 2026-03-24 | Thickness effects in the electromechanical stability of charged biological membranes
[arXiv] 2026-03-24 | Statistical Efficiency of Single- and Multi-step Models for Forecasting and Control
[arXiv] 2026-03-24 | SNARE: A TRAP for Rational Players to Solve Byzantine Consensus in the 5f+1 Model
[arXiv] 2026-03-24 | Note on KSW-allowability of Wine-Glass saddles
[arXiv] 2026-03-24 | Mahler series with multiplicative coefficient sequences
[arXiv] 2026-03-24 | Evaluating LLM-Based Test Generation Under Software Evolution
[arXiv] 2026-03-24 | Theta functions in acyclic affine type
[arXiv] 2026-03-24 | Integrating GenAI in Filmmaking: From Co-Creativity to Distributed Creativity
[arXiv] 2026-03-24 | Deformation quantization for systems with second-class constraints in deformed fermionic phase space
[arXiv] 2026-03-24 | A Zero-Bias Superconducting Voltage Amplifier Based on the Bipolar Thermoelectric Effect
[arXiv] 2026-03-24 | Markov State--Space Modeling and Channel Characterization for DNA-Based Molecular Communication
[arXiv] 2026-03-24 | Glassy magnetic freezing of interacting clusters in LK-99-family materials
[arXiv] 2026-03-24 | Natural Language Interfaces for Spatial and Temporal Databases: A Comprehensive Overview of Methods, Taxonomy, and Future Directions
[arXiv] 2026-03-24 | An Opacity-Free Test of the Cosmic Distance Duality Relation Using Strongly Lensed Gravitational Wave Signals with Space-Based Detector Networks
[arXiv] 2026-03-24 | A hypergraph model for the cyclic BV operad and its applications
[arXiv] 2026-03-24 | Contrastive Metric Learning for Point Cloud Segmentation in Highly Granular Detectors
[arXiv] 2026-03-24 | Cambrian lattices are fractionally Calabi-Yau via 2-cluster combinatorics
[arXiv] 2026-03-24 | Multistage spin correlations in the $s$ = 1/2 stuffed hyper-star lattice Li$_{2}$Cu$_{2}$(MoO$_{4}$)$_{3}$
[arXiv] 2026-03-24 | FHAvatar: Fast and High-Fidelity Reconstruction of Face-and-Hair Composable 3D Head Avatar from Few Casual Captures
[arXiv] 2026-03-24 | Edge Radar Material Classification Under Geometry Shifts
[arXiv] 2026-03-24 | Reliable and High Performance IGZO and In2O3 Transistors via Channel Capping
[arXiv] 2026-03-24 | Data-calibrated point spread function prediction: General description of the method and demonstration on MUSE-NFM
[arXiv] 2026-03-24 | Counting points in thin sets: A survey
[arXiv] 2026-03-24 | Strain-Parameterized Coupled Dynamics and Dual-Camera Visual Servoing for Aerial Continuum Manipulators
[arXiv] 2026-03-24 | Exponential Turnpike Theorems for Nonlinear Deterministic Meanfield Optimal Control Problems
[arXiv] 2026-03-24 | Steering LLMs for Culturally Localized Generation
[arXiv] 2026-03-24 | Kruskal-style algorithm for cubic Schrödinger equation molecule reduction
[arXiv] 2026-03-24 | Nonlinear Dynamics and Performance Optimization Based on Primary Resonance of an Electromechanically Coupled Magnetic Levitation Energy Harvester
[arXiv] 2026-03-24 | Upper Limits to Long-Term Variability of Solar-Type Stars from Observations of the Open Cluster M67
[arXiv] 2026-03-24 | Knot-10:A Tightness-Stratified Benchmark for Real-World Knot Classification with Topological Difficulty Analysis
[arXiv] 2026-03-24 | Fermiology, charge transfer energy, and robust paramagnons in high-$T_c$ cuprate superconductors
[arXiv] 2026-03-24 | Comment on 'Observation of Shapiro Steps in the Charge Density Wave State Induced by Strain on a Piezoelectric Substrate'
[arXiv] 2026-03-24 | A Multimodal Framework for Human-Multi-Agent Interaction
[arXiv] 2026-03-24 | Not All Tokens Are Created Equal: Query-Efficient Jailbreak Fuzzing for LLMs
[arXiv] 2026-03-24 | Enclosing minima in nonsmooth optimization via trust regions of higher-order cutting-plane models
[arXiv] 2026-03-24 | Synchronization-dissipation dynamics in the cardiorespiratory system
[arXiv] 2026-03-24 | Byzantine-Robust and Differentially Private Federated Optimization under Weaker Assumptions
[arXiv] 2026-03-24 | The Covariant Riesz Transforms on Riemannian Manifolds
[arXiv] 2026-03-24 | The Ricci-DeTurck flow on complete manifolds
[arXiv] 2026-03-24 | Bell Experiments Revisited: A Numerical Approach Based on De Broglie--Bohm Theory
[arXiv] 2026-03-24 | Existence and nonexistence of infinitely many solutions to elliptic problems with oscillating nonlinearities
[arXiv] 2026-03-24 | Ultrafast near-field imaging of an operating nanolaser using free electrons
[arXiv] 2026-03-24 | Gravity tidings from domain walls: Flavour hierarchies are making waves
[arXiv] 2026-03-24 | RTS-ABAC: Real-Time Server-Aided Attribute-Based Authorization & Access Control for Substation Automation Systems
[arXiv] 2026-03-24 | 3D NLTE Sodium abundances in late-type stars. Abundance corrections and synthetic spectra
[arXiv] 2026-03-24 | A Joint Reinforcement Learning Scheduling and Compression Framework for Teleoperated Driving
[arXiv] 2026-03-24 | Approximating inter-point distances in directed Bernoulli graphs
[arXiv] 2026-03-24 | Three Years with Classroom AI in Introductory Programming: Shifts in Student Awareness, Interaction, and Performance
[arXiv] 2026-03-24 | Granger Causality in Expectiles: an M-vine copula test
[arXiv] 2026-03-24 | Neural ODE and SDE Models for Adaptation and Planning in Model-Based Reinforcement Learning
[arXiv] 2026-03-24 | Gaussian mixtures and non-parametric likelihoods through the lens of statistical mechanics
[IEEE] 2026-3-24 | Steering Committee and Organizing Committee
[IEEE] 2026-3-24 | ICEMD 2025 Cover Page
[IEEE] 2026-3-24 | Incomplete Multimodal Federated Learning via Masking and Contrasting Prototypes_supp1-3658522.pdf
[IEEE] 2026-3-24 | Author Index
[ACM] 2026-3-24 | Visual Privacy: The Impact of Privacy Labels on Privacy Behaviors Online
[ACM] 2026-3-24 | Wi-ProgramIoT: A Scenario-Based Wireless IoT System for Enhancing Computer Programming Labs
[ACM] 2026-3-24 | From Fidgets to Widgets: Hands-On Approach to Exploring How We Learn and Work
[IEEE] 2026-3-24 | Research on Bipolar Short-Circuit Fault Current Clearing Method for T-type DC Transformers
[IEEE] 2026-3-24 | Design, Simulation, and Performance Evaluation of a D77 DC Traction Motor Converted to AC Operation
[IEEE] 2026-3-24 | Research on Intelligent Modeling and Complex Relation Reasoning Algorithm of Large-scale Heterogeneous Data Based on Graph Neural Network
[IEEE] 2026-3-24 | Construction of an Intelligent UAV-Based Non-Contact Check the Electric Path Planning and Recognition Model for High-Voltage Transmission Environments
[IEEE] 2026-3-24 | Prediction Model of Tobacco Purity Combining Hyperspectral Technology and Machine Learning
[IEEE] 2026-3-24 | A Lightweight Attention Dual-Branch Network for Low-Elevation DOA Estimation
[IEEE] 2026-3-24 | Enhanced Deep Learning Framework for Diagnosing Rare Genetic and Dermatological Disorders using Fine-Tuned EfficientNetB1
[IEEE] 2026-3-24 | Real-Time Offline Edge AI Framework for Sensor Integrated Precision Agriculture
[IEEE] 2026-3-24 | Intrusion Detection System To Secure AI-powered E-Learning Platforms Against Various Cyberattacks
[IEEE] 2026-3-24 | Architectural Analysis of a Lightweight Autonomous Vehicle Simulator: A Case Study of gym-donkeycar’s Modularity, Flexibility, and Adaptability for Aerial Robotics
[IEEE] 2026-3-24 | A Review of Medium Access Control Protocols for Wireless Body Area Networks
[IEEE] 2026-3-24 | SLAM Technology Based on Multi-View 3D Reconstruction
[IEEE] 2026-3-24 | Disentangling EV Charging Behavior: An Integrated and Explainable Framework for Predicting Session Duration and Energy
[IEEE] 2026-3-24 | Identification and Early Warning Technology for Price Fluctuation Risk in the Electricity Spot Market
[IEEE] 2026-3-24 | Fast Charging Techniques for Lithium-Ion Batteries: A Comparative Analysis and Algorithmic Innovations for Safety and Degradation Mitigation
[IEEE] 2026-3-24 | Partial offloading algorithm for edge computing based on MAPPO
[IEEE] 2026-3-24 | High-Resolution Processing and Feature Extraction of Logging Curves Based on Wavelet Transform and Principal Component Analysis
[IEEE] 2026-3-24 | XGBoost for Type 2 Diabetes Prediction with Precision-Recall Thresholding
[IEEE] 2026-3-24 | Design of Anomaly Attribution Algorithms for Network Anomalies Under Multi-source Heterogeneous Data Fusion
[IEEE] 2026-3-24 | Multi-Objective Design Optimization of a Flux-Switching Permanent Magnet Motor: A Comparative Study of Metaheuristic Algorithms
[IEEE] 2026-3-24 | A Heterogeneous Easy Ensemble with Soft Voting for Robust Sleep Disorder Classification
[IEEE] 2026-3-24 | Research on Fault Diagnosis and Predictive Maintenance Algorithm of Complex Industrial System Based on Graph Neural Network
[IEEE] 2026-3-24 | Pattern Recognition of Lower Limb EMG Signals Based on Hyperparameter - Optimized Random Forest
[IEEE] 2026-3-24 | Analyzing the Relationship Between Academic Performance and Enrollment Patterns Using Machine Learning
[IEEE] 2026-3-24 | An Auction-based Matching Game for Cognitive Radio Heterogeneous Relay Networks
[IEEE] 2026-3-24 | Distributed Carrier Frequency Offset Compensation for Secure Wireless Communication
[IEEE] 2026-3-24 | Open-set 3D Semantic Segmentation via Transductive Adversarial Prototype Framework
[IEEE] 2026-3-24 | An Adaptive Large-Model Framework for Named Entity Recognition in Knowledge-Sparse Scenarios
[IEEE] 2026-3-24 | Federated Explainable Transformer for Early Cancer Diagnosis using MRI Data
[IEEE] 2026-3-24 | ST-MSHT-Net: A Soft-Thresholding Multi-Stream Hybrid Temporal Network for Automatic Modulation Recognition
[IEEE] 2026-3-24 | Construction and Optimization of Image Recognition Fusion Model for Multi-Device Collaboration
[IEEE] 2026-3-24 | Semantic Resume Screening using Transformer Networks and Learning-to-Rank Models
[IEEE] 2026-3-24 | MetaWeave: Interpretable Fusion of Text and Fraud Detection for E-commerce Review Systems
[IEEE] 2026-3-24 | A Systematic Review of YOLO Architectures for Real-Time Object Detection
[IEEE] 2026-3-24 | The Transformer as a Parametric Filter for Sequence MIMO Equalization
[IEEE] 2026-3-24 | Utilization of Meteorological Data in Site Diversity Technique for Optical Satellite Communications
[IEEE] 2026-3-24 | A Review of IoMT-based Sleep Apnea Monitoring Systems using Wearable Sensors
[IEEE] 2026-3-24 | Impact of Augmented Reality on Retail Shopping
[IEEE] 2026-3-24 | Optimizing Coding Strategies for BB84-Based Quantum Key Distribution
[IEEE] 2026-3-24 | Optimizing System Design Performance and its Accuracy using Feature Importance
[IEEE] 2026-3-24 | Integration of Blockchain Technologies and Artificial Intelligence in Modern Education: Prospects for Digital Transformation of the Learning Process
[IEEE] 2026-3-24 | Soil quality classification using deep learning
[ACM] 2026-3-25 | Towards Space Efficient Two-Point Shortest Path Queries in a Polygonal Domain
[IEEE] 2026-3-25 | A Hybrid GRU-DNN Deep Learning Model for Network Intrusion Detection
[IEEE] 2026-3-24 | Molecular simulation calculation of electrical properties of transformer insulation materials and expansion of cross-scale model application
[IEEE] 2026-3-25 | Research on Defect Location and Quantitative Modeling of Non-destructive Testing of Steel Pipeline Based on Multi-source Data Fusion
