[2026-05-10 22:49:04] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-05-09
正在获取论文...
[ACM] 2026-5-9 | An NRBO-Enhanced CNN-BiLSTM Framework for Multivariate Photovoltaic Power Forecasting
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 46/138 | Neural network-based inversion study of thermal plasma jet characteristic parameters
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 47/138 | Dynamic structural change detection and its effect on dynamic stability in segment synergy during sit-to-stand transition with healthcare robot assistance
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 48/138 | Design and Implementation of an Integrated Communication Diagnostic Software for Modern Vessels Network Communication
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 49/138 | Enhancing Stock Sequence Prediction with Attention Mechanism and Parrot Optimizer Algorithm
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 50/138 | Rover Localization on Extraterrestrial Surfaces Based on Aerial-Ground Obstacle Distribution Pattern Matching
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 51/138 | Two-Stage Cross-Lingual Supervised Transfer for Low-Resource Tibetan Rumor Detection
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 52/138 | Robust Face Anti-Spoofing via Multi-Scale Feature-Guided Wavelet Transform
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 53/138 | Design of Functional Community Intelligent Management System Based on Computer Vision: A Case Study of Binyang Beili Community, Miyun District, Beijing
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 54/138 | Construction and Application of Intelligent Production Line System Based on Digital Twin Technology
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 55/138 | Cosine Oscillation-based Quantum-behaved Particle Swarm Optimization for Path Planning
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 56/138 | Research on Hierarchical Path Planning System for Unmanned Vehicles Based on Depth Vision in Complex Off-Road Scenarios
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 57/138 | High-fidelity model of a permanent magnet synchronous motor via a physics-informed motor fault deep operator network
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 58/138 | A Systematic Framework for Motion Planning and Energy Optimization of Humanoid Robots Based on Analytical Inverse Kinematics
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 59/138 | Intrusion detection method with hybrid attention mechanisms and spatial-temporal feature extraction
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 60/138 | Power Smoothing for New Energy Grids by Large-Capacity Pumped Storage under Multi-Source Input Scenarios
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 61/138 | Research on the Newly Launched Product Multimodal Recommendation Method Based on Model Distillation: Efficiency Optimization and Parameter Tuning
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 62/138 | ST-HPP: A Spatio-Temporal Hybrid Privacy Protection Mechanism for Federated Learning
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 63/138 | The TCN-LSTM Deep Learning Model for Real-Time Prediction of Ship Motions
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 64/138 | ICP Collision Avoidance Optimization Method for Manned and Unmanned Vehicle Mixed Formation for Flight Area Operation Safety
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 65/138 | Hybrid-Metric Clustering for Enhanced Collaborative Filtering
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 66/138 | Design and Experiment of an Intelligent Cooling Tower Based on BLDC
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 67/138 | Steel Surface Defect Detection Algorithm Based on SYNERA-YOLO
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 68/138 | MBFFNet: A Multi-Branch Feature Fusion–Based Method for Classroom Behavior Recognition
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 69/138 | Research on Influencing Factors of Manned-Unmanned Collaborative Logistics and Equipment Support Capability Based on DEMATEL-ISM-MICMAC Method
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 70/138 | MFFENet: Multi-scale Frequency Feature Enhancement Network for Clothing Semantic Segmentation
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 71/138 | Research on Performance Improvement of Remote Sensing Object Detection Based on RTDETR
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 72/138 | Enhanced Cross-Modal Retrieval: Multi-Label Hierarchical Semantic Alignment Using Mamba
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 73/138 | A Robust Adaptive Unscented Kalman Filter Based Method for Real-Time State-of-Health Estimation of Solid Oxide Fuel Cells
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 74/138 | DFAB-Net: A Dynamically Fused Attentional Biomarker Network for EEG-Based Attention Level Classification
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 75/138 | Implementation of an Autonomous Control System for Unmanned Aerial Vehicles Based on Deep Reinforcement Learning
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 76/138 | An Enhanced Object Detection Framework Combining Model Architecture Optimization and Dataset-Specific Augmentation Strategies for Safety-Critical Visual Applications
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 77/138 | Design of Object Detection System for Composite Robots Based on YOLOv5
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 78/138 | Research on Financial Early Warning of Supply Chain Finance Risks Based on Machine Learning
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 79/138 | Research on Energy-saving Control Strategy Optimization of Cabinet-level Refrigeration System in Data Center
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 80/138 | Identification and Information Question-Answering System for Traditional Chinese Medicine Herbs: Construction of an Intelligent Platform Based on Python
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 81/138 | Building The Human Remains Digital Library (HRDL)
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 82/138 | The Implementation of Railway Signal Indication System Based on FPGA
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 83/138 | Federated Generative AI for Privacy-Preserving Industrial Fault Diagnosis An Adaptive Heterogeneity-Aware Framework
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 84/138 | MDFENet: Multi-Decomposition Frequency-Domain Feature Enhancement Network for Skin Lesion Classification
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 85/138 | Surround Vision Autonomous Driving Based on Swin-Transformer and Trajectory Prediction Network
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 86/138 | Design and research of inter station communication device for 64D type semi automatic block system training equipment
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 87/138 | Adaptive Fault-Tolerant Control for Multi-Agent Systems Based on Dynamic Threshold Event-Triggering
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 88/138 | Design of smart farm crop monitoring system with IoT based on STM32
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 89/138 | Escaping the Swamping Zone: Fully Low-Precision Training via Relative ULP Noise Injection
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 90/138 | Proceedings of the 2026 International Conference on Artificial Intelligence and Control
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 91/138 | Pyramid Convolution and Bidirectional Graph Attention for Cyber Threat Detection from Unstructured Text
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 92/138 | Research on Depth Control of Underwater Vehicle in Inverse Velocity Zone Based on Dynamic Equilibrium and Sliding Mode-Predictive Composite Control
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 93/138 | Quality-Guided Sample-Efficient Domain Adaptation for Large Language Models
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 94/138 | Communication Emitter Identification Method Based on Joint Optimization of Deep Clustering and Autoencoder
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 95/138 | A Hybrid Data-Driven Assessment Framework for Industrial Safety Resilience Integrating Panel Econometrics and Machine Learning
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 96/138 | Fuzzy Nonlinear Active Disturbance Rejection Control for Quadrotor UAVs under Extreme Operating Conditions
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 97/138 | Structural Design and Kinematic Simulation Analysis of a Dexterous Hand
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 98/138 | Research on Local Path Planning Method for Unmanned Surface Vehicles Based on Hybrid Optimization Algorithm with Dynamic Time Warping
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 99/138 | Federated Learning-Based Hyper-Heuristic for Distributed Permutation Flow-Shop Scheduling
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 100/138 | Investigation of a Multi-Information Fusion-Based UAV Defense System
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 101/138 | Identifying the Drivers of Energy Intensity for Green Growth: A Dual-Structure Analysis of Economic and Energy Systems
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 102/138 | Integrating Pre-trained Model and Ensemble Learning for Biomedical Multi-label Topic Classification
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 103/138 | Research on Optimized Fuzzy PID Temperature Control Strategy Based on Improved Particle Swarm Optimization
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 104/138 | Research on Motion Control and Terrain Adaptability of Parallel Wheel-Leg Robots
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 105/138 | FDDPNet: Frequency-domain Decoupling Perception Network for UAV Small Target Detection
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 106/138 | Design and Application Research of Deep Learning-Based Visual Recognition Systems for Industrial Robots
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 107/138 | Research on a Control Method for a Push-the-Bit Rotary Steerable Hydraulic System Based on Dynamic Optimization and Fault-Tolerant Regulation
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 108/138 | Review on Non-cooperative Satellite Signal Analysis Methods based on Deep Learning
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 109/138 | A Neural Network PID Control System Based on XGBoost Identifier
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 110/138 | Investigation on Digital Modeling and Dynamic Simulation of a Dexterous Hand
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 111/138 | A Robust Horizontal Federated Learning Framework Based on Trimmed K-Means and Homomorphic Encryption
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 112/138 | Automated Inspection and Imaging Method for Insertion-type Nozzle-to-Shell Fillet Welds Based on Flexible Ultrasonic
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 113/138 | Research on Ship Trajectory Prediction Based on Data Conversion Model and CGO-TCN-LSTM Algorithm
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 114/138 | Design and Implementation of ArUco Marker Recognition Based on OpenCV
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 115/138 | Multi-Objective Ecological Car-Following Strategy for Connected Autonomous Vehicles Based on Improved PPO
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 116/138 | Research on a Wood Defect Detection Model Based on Improved YOLOv8s
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 117/138 | Research on the Error Assessment of Electromagnetic Voltage Transformers Using Robust Principal Component Analysis Considering Harmonic Influence
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 118/138 | Design of experimental system for dismantling waste printed circuit boards based on YOLOv5
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 119/138 | Dual-Policy Actor–Critic for Cost-Aware Cooling Control in Data Centers with Thermal Energy Storage
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 120/138 | Research on Multi-Agent Deep Determination Strategies for Task Computation Offloading in Space-Ground Integrated Networks
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 121/138 | SNEAK: Synonymous Sentences-Aware Adversarial Attack on Natural Language Video Localization
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 122/138 | Research on the full lifecycle management of industrial mother machines empowered by human centered intelligent manufacturing metaverse in the context of Industry 5.0
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 123/138 | Glyph-Conditioned Prototyping Diffusion Model
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 124/138 | AI-Assisted Date Recognition and Correction for WAFS Meteorological Charts
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 125/138 | Automated Pointer Gauge Reading Using an Improved YOLOv11-Pose Model
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 126/138 | A Multi-objective Multiplicity Flexible Job Shop Scheduling Method Considering Due Date Variations
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 127/138 | Test Problem Design for Real-World Engineering
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 128/138 | GPUArmor: A Hardware-Software Co-Design for Efficient and Scalable Memory Safety on GPUs
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 129/138 | Utility-scale Experimental Quantum Computation with Hardware Efficient Ansätze and Calibrated Hamiltonian
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 130/138 | Fed-SU: A Federated Learning Framework Balancing Security and Utility Against Backdoors
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 131/138 | Research and Development of Virtual Reality Technology in the Field of Stroke Rehabilitation
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 132/138 | CHARIOT: A Communication-Aware Exploration Framework for 2.5D/3D Silicon Interposer Design
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 133/138 | A Noise Reduction Method for Partial Discharge Signals Based on CEEMDAN with Added Laplace White Noise and Improved Wavelet Thresholding
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 134/138 | RL-SVP: A Reinforcement Learning Level-based Spherical Vector Particle Swarm Optimization for Safe UAV Path Planning
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 135/138 | Intelligent Conformance Checking Approach for Emergency Process in Coal–Power Integrated Enterprises
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 136/138 | Driver Fatigue Detection by Transformer with Neural Architecture Search via Electroencephalography Signals
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 137/138 | GeminiIE: An end-to-end Multimodal Information Extraction Framework based on Prompt Engineering
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 138/138 | Research on Unmanned Mining Truck Dispatching Algorithm in Open-Pit Mines Based on Divergence-Convergence Learning Particle Swarm Optimization
筛选完成：共 138 篇；Yes = 0 篇；已保存到 papers/select_paper2026-05-09.json。
邮件发送成功！
[2026-05-10 23:03:22] 任务执行成功！
