[2026-03-12 09:31:13] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-03-11
正在获取论文...
[arXiv] 2026-03-11 | Effective Dataset Distillation for Spatio-Temporal Forecasting with Bi-dimensional Compression
[arXiv] 2026-03-11 | Regularizing INR with diffusion prior self-supervised 3D reconstruction of neutron computed tomography data
[arXiv] 2026-03-11 | Incompressible Euler Blowup at the $C^{1,\frac{1}{3}}$ Threshold
[arXiv] 2026-03-11 | Covariate-adjusted statistical dependence representation through partial copulas: bounds and new insights
[arXiv] 2026-03-11 | STADA: Specification-based Testing for Autonomous Driving Agents
[arXiv] 2026-03-11 | Variational Adaptive Gaussian Decomposition: Scalable Quadrature-Free Time-Sliced Thawed Gaussian Dynamics
[arXiv] 2026-03-11 | ECoLAD: Deployment-Oriented Evaluation for Automotive Time-Series Anomaly Detection
[arXiv] 2026-03-11 | Calibrated Bayesian Nonparametric Tolerance Intervals
[arXiv] 2026-03-11 | Systematic exploration of triply heavy tetraquarks: spectroscopic and decay characteristics
[arXiv] 2026-03-11 | Aldous property for full-flag Johnson graphs
[arXiv] 2026-03-11 | Factor Dimensionality and the Bias-Variance Tradeoff in Diffusion Portfolio Models
[arXiv] 2026-03-11 | SiDiaC-v.2.0: Sinhala Diachronic Corpus Version 2.0
[arXiv] 2026-03-11 | Spectral Decomposition Reveals Surface Processes on Europa
[arXiv] 2026-03-11 | Unlearning the Unpromptable: Prompt-free Instance Unlearning in Diffusion Models
[arXiv] 2026-03-11 | MCMC Informed Neural Emulators for Uncertainty Quantification in Dynamical Systems
[arXiv] 2026-03-11 | First measurement of the decay-time-integrated $C\!P$ asymmetry in $B_s^0 \to D_s^- π^+$ decays
[arXiv] 2026-03-11 | Machine learning the arrow of time in solid-state spins
[arXiv] 2026-03-11 | Permutation-invariant codes: a numerical study and qudit constructions
[arXiv] 2026-03-11 | Verbalizing LLM's Higher-order Uncertainty via Imprecise Probabilities
[arXiv] 2026-03-11 | LLM2Vec-Gen: Generative Embeddings from Large Language Models
[arXiv] 2026-03-11 | Fast Programming of In-Plane Hyperbolic Phonon Polariton Optics Through van der Waals Crystals using the Phase-Change Material In3SbTe2
[arXiv] 2026-03-11 | LookaheadKV: Fast and Accurate KV Cache Eviction by Glimpsing into the Future without Generation
[arXiv] 2026-03-11 | Estimands and the Choice of Non-Inferiority Margin under ICH E9(R1)
[arXiv] 2026-03-11 | VoxCare: Studying Natural Communication Behaviors of Hospital Caregivers through Wearable Sensing of Egocentric Audio
[arXiv] 2026-03-11 | The potential and viability of V2G for California BEV drivers
[arXiv] 2026-03-11 | RL-Augmented MPC for Non-Gaited Legged and Hybrid Locomotion
[arXiv] 2026-03-11 | A conformal lower bound of weighted Dirac eigenvalues on manifolds with boundary
[arXiv] 2026-03-11 | X-ray polarization in the soft state of Cyg X-1
[arXiv] 2026-03-11 | Delegated Information Provision
[arXiv] 2026-03-11 | Beyond Reproducible Research: Building a Formal Representation of a Data Analysis
[arXiv] 2026-03-11 | Gap structure and phase diagram of twisted bilayer cuprates from a microscopic perspective
[arXiv] 2026-03-11 | GRACE: A Unified 2D Multi-Robot Path Planning Simulator & Benchmark for Grid, Roadmap, And Continuous Environments
[arXiv] 2026-03-11 | Production of Gravitational Waves in the Early Universe From turbulence triggered by first-order phase transitions
[arXiv] 2026-03-11 | Photonic nanojets as emergent free-space power flux funnels
[arXiv] 2026-03-11 | Bayesian Design and Analysis of Precision Trials with Partial Borrowing
[arXiv] 2026-03-11 | Spatially conditioned dynamics between population and built form
[arXiv] 2026-03-11 | Evaluating randomized smoothing as a defense against adversarial attacks in trajectory prediction
[arXiv] 2026-03-11 | Searches for charged-lepton-flavor violation in $χ_{bJ}(1P)$ decays
[arXiv] 2026-03-11 | Dissipation- versus Chaos-Induced Relaxation in Non-Markovian Quantum Many-Body Systems
[arXiv] 2026-03-11 | Spectral deviation of concentration operators on reproducing kernel Hilbert spaces
[arXiv] 2026-03-11 | Protein Counterfactuals via Diffusion-Guided Latent Optimization
[arXiv] 2026-03-11 | Nurture-First Agent Development: Building Domain-Expert AI Agents Through Conversational Knowledge Crystallization
[arXiv] 2026-03-11 | Risk-Adjusted Harm Scoring for Automated Red Teaming for LLMs in Financial Services
[arXiv] 2026-03-11 | High fidelity photon-photon gates by scattering off a two-level quantum emitter
[arXiv] 2026-03-11 | Polyhomogeneous mapping properties of the Radon transform and backprojection operator on the unit ball
[arXiv] 2026-03-11 | PolGS++: Physically-Guided Polarimetric Gaussian Splatting for Fast Reflective Surface Reconstruction
[arXiv] 2026-03-11 | Denoising diffusion and latent diffusion models for physics field simulations
[arXiv] 2026-03-11 | Engineering Magnetic Anisotropy in Permalloy Films via Atomic Force Nanolithography
[arXiv] 2026-03-11 | Quantum Limits of Passive Optical Surface Metrology and Defect Detection
[arXiv] 2026-03-11 | Measuring neutrino mass in light of ACT DR6 and DESI DR2
[arXiv] 2026-03-11 | The asymptotic behavior for divergence elliptic equations in exterior domains with periodic coefficients
[arXiv] 2026-03-11 | The Quadratic Geometry of Flow Matching: Semantic Granularity Alignment for Text-to-Image Synthesis
[arXiv] 2026-03-11 | Guiding Diffusion Models with Semantically Degraded Conditions
[arXiv] 2026-03-11 | Dynamics-Informed Deep Learning for Predicting Extreme Events
[arXiv] 2026-03-11 | Multiple change-point detection on the circle via isolation using permutation testing
[arXiv] 2026-03-11 | Study of Magnon-Photon Coupling in Ultra-thin Films Using the Derivative-Divide Method
[arXiv] 2026-03-11 | HeartAgent: An Autonomous Agent System for Explainable Differential Diagnosis in Cardiology
[arXiv] 2026-03-11 | A Survey on Algorithmic Interventions in Opinion Dynamics
[arXiv] 2026-03-11 | On the consistency of the Domain of Dependence cut cell stabilization
[arXiv] 2026-03-11 | Universal purification dynamics in real non-unitary quantum processes
[arXiv] 2026-03-11 | Pneuma-Seeker: A Relational Reification Mechanism to Align AI Agents with Human Work over Relational Data
[arXiv] 2026-03-11 | Efficient Fine-Scale Simulation of Nonlinear Hyperelastic Lattice Structures
[arXiv] 2026-03-11 | A Radon-transform-based formula for reconstructing acoustic sources from the scattered fields
[arXiv] 2026-03-11 | Discrete averaging for discrete time dynamical systems
[arXiv] 2026-03-11 | Euclid: The linear-construction covariance and cosmology
[arXiv] 2026-03-11 | Beyond Accuracy: Reliability and Uncertainty Estimation in Convolutional Neural Networks
[arXiv] 2026-03-11 | CacheSolidarity: Preventing Prefix Caching Side Channels in Multi-tenant LLM Serving Systems
[arXiv] 2026-03-11 | MOS-Bias: From Hidden Gender Bias to Gender-Aware Speech Quality Assessment
[arXiv] 2026-03-11 | Pauli-limited upper critical field and anisotropic depairing effect of La2.82Sr0.18Ni2O7 superconducting thin film
[arXiv] 2026-03-11 | Non-Collinear and Non-Coplanar Magnetic Orders in 1/1 Periodic Approximant to the Icosahedral Quasicrystal
[arXiv] 2026-03-11 | UniCom: Unified Multimodal Modeling via Compressed Continuous Semantic Representations
[arXiv] 2026-03-11 | Efficient and accurate two-qubit-gate operation in a high-connectivity transmon lattice utilizing a tunable coupling to a shared mode
[arXiv] 2026-03-11 | Bioinspired CNNs for border completion in occluded images
[arXiv] 2026-03-11 | A Python implementation of some geometric tools on Kendall 3D shape space for practical applications
[arXiv] 2026-03-11 | Investigations of Heterogeneity in Diagnostic Test Accuracy Meta-Analysis: A Methodological Review
[arXiv] 2026-03-11 | A$^2$-Edit: Precise Reference-Guided Image Editing of Arbitrary Objects and Ambiguous Masks
[arXiv] 2026-03-11 | Magnetohydrodynamics in turbulent dynamo regime: the stability problem
[arXiv] 2026-03-11 | Breaking User-Centric Agency: A Tri-Party Framework for Agent-Based Recommendation
[arXiv] 2026-03-11 | Dynamic Modeling and Attitude Control of a Reaction-Wheel-Based Low-Gravity Bipedal Hopper
[arXiv] 2026-03-11 | Emergence of solitary and chimera states in adaptive pendulum networks under diverse learning rules
[arXiv] 2026-03-11 | Frustration-Induced Collective Dynamical States in Pulse-Coupled Adaptive Winfree Networks
[arXiv] 2026-03-11 | STM32-Based Smart Waste Bin for Hygienic Disposal Using Embedded Sensing and Automated Control
[arXiv] 2026-03-11 | Planning for isolation? The role of urban form and function in shaping mobility in Brasília
[arXiv] 2026-03-11 | Distributed State Estimation of Discrete-Time LTI Systems via Jordan Canonical Representation
[arXiv] 2026-03-11 | Intermittent Cauchy walks enable optimal 3D search across target shapes and sizes
[arXiv] 2026-03-11 | Graph Symmetry Organizes Exceptional Dynamics in Open Quantum Systems
[arXiv] 2026-03-11 | Technological Excellence Requires Human and Social Context
[arXiv] 2026-03-11 | Are Video Reasoning Models Ready to Go Outside?
[arXiv] 2026-03-11 | Central limit theorems for high dimensional lattice polytopes: symmetric edge polytopes
[arXiv] 2026-03-11 | Anderson localization of long-range quasi-periodic operators via Dynamical Rigidity
[arXiv] 2026-03-11 | Detecting and Eliminating Neural Network Backdoors Through Active Paths with Application to Intrusion Detection
[arXiv] 2026-03-11 | A Cheng-type Eigenvalue-Comparison Theorem for the Hodge Laplacian
[arXiv] 2026-03-11 | A Hypergraph-Based Framework for Exploratory Business Intelligence
[arXiv] 2026-03-11 | Fundamental Limits of Non-Hermitian Sensing from Quantum Fisher Information
[arXiv] 2026-03-11 | RC-positivity, comparison theorems and prescribed Hermitian-Yang-Mills tensors I
[arXiv] 2026-03-11 | Star formation in the circumgalactic high-velocity cloud Complex H
[arXiv] 2026-03-11 | Formulation of intrinsic nonlinear thermal conductivity for bosonic systems using quantum kinetic equation
[arXiv] 2026-03-11 | Maximum Inverse Sum Indeg Index of Trees and Unicyclic Graphs with Fixed Diameter
[arXiv] 2026-03-11 | Trajectory-Informed Memory Generation for Self-Improving Agent Systems
[arXiv] 2026-03-11 | Self-Scaled Broyden Family of Quasi-Newton Methods in JAX
[arXiv] 2026-03-11 | Strong Gaussian approximation for U-statistics in high dimensions and beyond
[arXiv] 2026-03-11 | Exact Interpolation under Noise: A Reproducible Comparison of Clough-Tocher and Multiquadric RBF Surfaces
[arXiv] 2026-03-11 | Distilling LLM Semantic Priors into Encoder-Only Multi-Talker ASR with Talker-Count Routing
[arXiv] 2026-03-11 | The in-situ growth of stellar-mass "light" seed black holes in nuclear star clusters
[arXiv] 2026-03-11 | The Rayleigh Taylor instability in partially ionized plasmas: ambipolar diffusion effects in the non linear phase
[arXiv] 2026-03-11 | FP-Predictor - False Positive Prediction for Static Analysis Reports
[arXiv] 2026-03-11 | $F$-Contraction with an Auxiliary Function and Its Application to Terrain-Following Airplane Navigation
[arXiv] 2026-03-11 | CD-Raft: Reducing the Latency of Distributed Consensus in Cross-Domain Sites
[arXiv] 2026-03-11 | Neural Differential Equations for the Solar Dynamo
[arXiv] 2026-03-11 | SCORE: Replacing Layer Stacking with Contractive Recurrent Depth
[arXiv] 2026-03-11 | Perturbed saddle-point problems in $\mathbf{L}^p$ with non-regular loads
[arXiv] 2026-03-11 | Analysis of a Biofilm Model in a Continuously Stirred Tank Reactor with Wall Attachment
[arXiv] 2026-03-11 | BinWalker: Development and Field Evaluation of a Quadruped Manipulator Platform for Sustainable Litter Collection
[arXiv] 2026-03-11 | AILS-NTUA at SemEval-2026 Task 8: Evaluating Multi-Turn RAG Conversations
[arXiv] 2026-03-11 | Resource-constrained Amazons chess decision framework integrating large language models and graph attention
[arXiv] 2026-03-11 | Temporal-Mode Engineering for Multiplexed Microwave Photons and Mode-Selective Quantum State Transfer
[arXiv] 2026-03-11 | A New Tensor Network: Tubal Tensor Train and Its Applications
[arXiv] 2026-03-11 | Novae breves from magnetar giant flares: Potential probes of neutron star crusts
[arXiv] 2026-03-11 | Efficiency vs Demand in AI Electricity: Implications for Post-AGI Scaling
[arXiv] 2026-03-11 | Electromagnetic pion mass splitting using PV-regulated photon propagator
[arXiv] 2026-03-11 | A Universal Nearest-Neighbor Estimator for Intrinsic Dimensionality
[arXiv] 2026-03-11 | Human-AI Co-reasoning for Clinical Diagnosis with Evidence-Integrated Language Agent
[arXiv] 2026-03-11 | Remote engineering of particle-like topologies to visualise entanglement dynamics
[arXiv] 2026-03-11 | Persistent short-range charge correlations revealed by ultrafast melting of electronic order in YBa$_2$Cu$_3$O$_{6+x}$
[arXiv] 2026-03-11 | Dual Space Preconditioning for Gradient Descent in the Overparameterized Regime
[arXiv] 2026-03-11 | Learning to Negotiate: Multi-Agent Deliberation for Collective Value Alignment in LLMs
[arXiv] 2026-03-11 | Fighting Hallucinations with Counterfactuals: Diffusion-Guided Perturbations for LVLM Hallucination Suppression
[arXiv] 2026-03-11 | Topological heavy-tailed networks
[arXiv] 2026-03-11 | Arbitrary Polarization Generation in Magneto-optical Metasurfaces Enabled by Bound States in the Continuum
[arXiv] 2026-03-11 | Module control in youth symptom networks across COVID-19
[arXiv] 2026-03-11 | Machinagogy: Experiments in Staging Teaching Dramas with LLMs
[arXiv] 2026-03-11 | DiT4DiT: Jointly Modeling Video Dynamics and Actions for Generalizable Robot Control
[arXiv] 2026-03-11 | SignSparK: Efficient Multilingual Sign Language Production via Sparse Keyframe Learning
[arXiv] 2026-03-11 | AsyncMDE: Real-Time Monocular Depth Estimation via Asynchronous Spatial Memory
[arXiv] 2026-03-11 | Reconstructing Bounded Treelength Graphs with Linearithmic Shortest Path Distance Queries
[arXiv] 2026-03-11 | Uniform discretization of continuous frames
[arXiv] 2026-03-11 | Spyglass: Directional Spectrum Sensing with Single-shot AoA Estimation and Virtual Arrays
[arXiv] 2026-03-11 | Brown-Halmos type theorems for generalized Cauchy singular integral operators and applications
[arXiv] 2026-03-11 | Dressed-State Optomechanics in the Few-Photon Regime
[arXiv] 2026-03-11 | Tight Quantum Speed Limit for Ergotropy Charging in the N-Qubit Dicke Battery
[arXiv] 2026-03-11 | Remarks on the heat flow of harmonic maps into CAT(0)-spaces
[arXiv] 2026-03-11 | Rethinking Gaussian Trajectory Predictors: Calibrated Uncertainty for Safe Planning
[arXiv] 2026-03-11 | Surrogate-Assisted Targeted Learning for Delayed Outcomes under Administrative Censoring
[arXiv] 2026-03-11 | Mixed order conformally invariant system with exponential growth and nonlocal nonlinear terms in critical dimensions
[arXiv] 2026-03-11 | On the Learning Dynamics of Two-layer Linear Networks with Label Noise SGD
[arXiv] 2026-03-11 | ScanDP: Generalizable 3D Scanning with Diffusion Policy
[arXiv] 2026-03-11 | Geometric, algebraic and analytic properties of hyperelliptic $\mathrm{al}_{ab}$ function
[arXiv] 2026-03-11 | Beyond Scalars: Evaluating and Understanding LLM Reasoning via Geometric Progress and Stability
[arXiv] 2026-03-11 | A mapping-based projection of detailed kinetics uncertainty onto reduced manifolds
[arXiv] 2026-03-11 | Few-Shot Adaptation to Non-Stationary Environments via Latent Trend Embedding for Robotics
[arXiv] 2026-03-11 | Information-Theoretic Spectroscopy: Universal Sparsity of Extinction Manifold and Optimal Sensing across Scattering Regimes
[arXiv] 2026-03-11 | Symmetry Breaking and Transition to Robust Excitonic Topological Order in InAs/GaSb Bilayers
[arXiv] 2026-03-11 | Systematic study of superheavy nuclei within a microscopic collective Hamiltonian: Impact of quantum shape fluctuations
[arXiv] 2026-03-11 | On the Existence of Integers with at Most 3 Prime Factors Between Every Pair of Consecutive Squares
[arXiv] 2026-03-11 | StyleGallery: Training-free and Semantic-aware Personalized Style Transfer from Arbitrary Image References
[arXiv] 2026-03-11 | Multi-Modal Intelligent Channel Modeling: From Fine-tuned LLMs to Pre-trained Foundation Models
[arXiv] 2026-03-11 | Federated Active Learning Under Extreme Non-IID and Global Class Imbalance
[arXiv] 2026-03-11 | Second-order Filippov systems: sliding dynamics without sliding regions
[arXiv] 2026-03-11 | Sausage Volume of the Random String and Survival in a medium of Poisson Traps
[arXiv] 2026-03-11 | A variable ADAF disk model for X-ray binary systems
[arXiv] 2026-03-11 | Refinements of Alon-Babai-Suzuki-type intersection theorems via non-shadows and binomial support
[arXiv] 2026-03-11 | The fine dynamics in homologous and recurrent jets induced by persistent rising loops and mini-filaments
[arXiv] 2026-03-11 | SteadyTray: Learning Object Balancing Tasks in Humanoid Tray Transport via Residual Reinforcement Learning
[arXiv] 2026-03-11 | What do near-optimal learning rate schedules look like?
[arXiv] 2026-03-11 | CHSH inequality always holds in bipartite qutrits with spin-1 observables
[arXiv] 2026-03-11 | MultiwayPAM: Multiway Partitioning Around Medoids for LLM-as-a-Judge Score Analysis
[arXiv] 2026-03-11 | COMIC: Agentic Sketch Comedy Generation
[arXiv] 2026-03-11 | Quantum-to-classical correspondence in Krylov complexity
[arXiv] 2026-03-11 | Light-induced nonadiabatic photodissociation of the NaH molecule including electron-rotation coupling
[arXiv] 2026-03-11 | Separating Oblivious and Adaptive Differential Privacy under Continual Observation
[arXiv] 2026-03-11 | LLMGreenRec: LLM-Based Multi-Agent Recommender System for Sustainable E-Commerce
[arXiv] 2026-03-11 | Nondegenerate neck pinches along the mean curvature flow
[arXiv] 2026-03-11 | Task-Aware Delegation Cues for LLM Agents
[arXiv] 2026-03-11 | Searching for Magnetic White Dwarfs in LAMOST DR10
[arXiv] 2026-03-11 | Nucleating an Inflationary Universe: Euclidean Wormholes and their No-Boundary Limit
[arXiv] 2026-03-11 | TreeON: Reconstructing 3D Tree Point Clouds from Orthophotos and Heightmaps
[arXiv] 2026-03-11 | Factorized Neural Implicit DMD for Parametric Dynamics
[arXiv] 2026-03-11 | Artificial Intelligence as a Catalyst for Innovation in Software Engineering
[arXiv] 2026-03-11 | Sharp propagation of chaos for mean field Langevin dynamics, control, and games
[arXiv] 2026-03-11 | PPGuide: Steering Diffusion Policies with Performance Predictive Guidance
[arXiv] 2026-03-11 | FRIEND: Federated Learning for Joint Optimization of multi-RIS Configuration and Eavesdropper Intelligent Detection in B5G Networks
[arXiv] 2026-03-11 | Nontangential Maximal Function estimates for the elliptic Mixed Boundary Value Problem with variable coefficients
[arXiv] 2026-03-11 | Contact Coverage-Guided Exploration for General-Purpose Dexterous Manipulation
[arXiv] 2026-03-11 | Med-DualLoRA: Local Adaptation of Foundation Models for 3D Cardiac MRI
[arXiv] 2026-03-11 | Contrastive learning-based video quality assessment-jointed video vision transformer for video recognition
[arXiv] 2026-03-11 | Holographic dark energy from a new two-parameter entropic functional
[arXiv] 2026-03-11 | Bio-Inspired Self-Supervised Learning for Wrist-worn IMU Signals
[arXiv] 2026-03-11 | Gaia-GIC-1: An Evolving Catastrophic Planetesimal Collision Candidate
[arXiv] 2026-03-11 | On elliptic systems with $k$-wise interactions in the strong competition regime: uniform Hölder bounds and properties of the limiting configurations
[arXiv] 2026-03-11 | Supercurrents in Josephson junctions with chiral molecular potentials
[arXiv] 2026-03-11 | Training-Free Multi-Step Inference for Target Speaker Extraction
[arXiv] 2026-03-11 | Special alternating links of minimal unlinking number
[arXiv] 2026-03-11 | ASTER: Attitude-aware Suspended-payload Quadrotor Traversal via Efficient Reinforcement Learning
[arXiv] 2026-03-11 | PEEM: Prompt Engineering Evaluation Metrics for Interpretable Joint Evaluation of Prompts and Responses
[arXiv] 2026-03-11 | Dzyaloshinskii-Moriya-driven instabilities in square-kagome quantum antiferromagnets
[arXiv] 2026-03-11 | Generalized Einstein Relations between Absorption and Emission Spectra in the Electric-Dipole Approximation
[arXiv] 2026-03-11 | Inverse Learning-Based Output Feedback Control of Nonlinear Systems with Verifiable Guarantees
[arXiv] 2026-03-11 | Effective theory of surface oscillations in self-bound superfluid droplets
[arXiv] 2026-03-11 | Thermodynamically massless Simpson-Visser black holes
[arXiv] 2026-03-11 | Instruction set for the representation of graphs
[arXiv] 2026-03-11 | Practical Methods for Distance-Adaptive Continuous-Variable Quantum Key Distribution
[arXiv] 2026-03-11 | Less is More: Decoder-Free Masked Modeling for Efficient Skeleton Representation Learning
[arXiv] 2026-03-11 | Experimental simulation of non-equilibrium quantum piston on a programmable photonic quantum computer
[arXiv] 2026-03-11 | ESG Reporting Lifecycle Management with Large Language Models and AI Agents
[arXiv] 2026-03-11 | Complexity function and entropy of induced maps on hyperspaces of continua
[arXiv] 2026-03-11 | Realizability-preserving finite element discretizations of the $M_1$ model for dose calculation in proton therapy
[arXiv] 2026-03-11 | High-Throughput-Screening Workflow for Predicting Volume Changes by Ion Intercalation in Battery Materials
[arXiv] 2026-03-11 | Interacting dark sector from intrinsic entropy couplings
[arXiv] 2026-03-11 | Theory of Many-Body Multipole Operators in Single-Centered Electron Systems: Two-Body Toroidal Monopoles in Spinless Orbitals
[arXiv] 2026-03-11 | Topological robustness of orbital angular momentum entanglement in stochastic channels
[arXiv] 2026-03-11 | On the inner radius of the nonvanishing set for eigenfunctions of complex elliptic operators
[arXiv] 2026-03-11 | Layer Consistency Matters: Elegant Latent Transition Discrepancy for Generalizable Synthetic Image Detection
[arXiv] 2026-03-11 | Recover to Predict: Progressive Retrospective Learning for Variable-Length Trajectory Prediction
[arXiv] 2026-03-11 | Monitoring of slopes, rock faces and masonry walls in a 19th century public park: the example of the Buttes Chaumont Park (Paris, France)
[arXiv] 2026-03-11 | Punctually Standard and Nonstandard Models of Natural Numbers
[arXiv] 2026-03-11 | Does LLM Alignment Really Need Diversity? An Empirical Study of Adapting RLVR Methods for Moral Reasoning
[arXiv] 2026-03-11 | R4-CGQA: Retrieval-based Vision Language Models for Computer Graphics Image Quality Assessment
[arXiv] 2026-03-11 | Implicit Statistical Inference in Transformers: Approximating Likelihood-Ratio Tests In-Context
[arXiv] 2026-03-11 | Win-score promotion gates in aggregator-routed RFQ markets: A two-tier stochastic control model
[arXiv] 2026-03-11 | Adaptive RAN Slicing Control via Reward-Free Self-Finetuning Agents
[arXiv] 2026-03-11 | Riemannian Geometry-Preserving Variational Autoencoder for MI-BCI Data Augmentation
[arXiv] 2026-03-11 | Suppressing Acoustomigration and Temperature Rise for High-power Robust Acoustics
[arXiv] 2026-03-11 | Symmetry of fractional Neumann eigenfunctions in the ball
[arXiv] 2026-03-11 | Learning to Score: Tuning Cluster Schedulers through Reinforcement Learning
[arXiv] 2026-03-11 | Prompting with the human-touch: evaluating model-sensitivity of foundation models for musculoskeletal CT segmentation
[arXiv] 2026-03-11 | Almost Kurepa Suslin trees and destructibility of the Guessing Model Property
[arXiv] 2026-03-11 | DSFlash: Comprehensive Panoptic Scene Graph Generation in Realtime
[arXiv] 2026-03-11 | UAV-MARL: Multi-Agent Reinforcement Learning for Time-Critical and Dynamic Medical Supply Delivery
[arXiv] 2026-03-11 | First-Principles Electronegativity Scale from the Atomic Mean Inner Potential
[arXiv] 2026-03-11 | Minimal polynomials, scaled Jordan frames, and Schur-type majorization in hyperbolic systems
[arXiv] 2026-03-11 | IH-Challenge: A Training Dataset to Improve Instruction Hierarchy on Frontier LLMs
[arXiv] 2026-03-11 | Airfoil shape optimization via coherent Ising machine
[arXiv] 2026-03-11 | Estimating the condition number of Chebyshev filtered vectors with application to the ChASE library
[arXiv] 2026-03-11 | A note on higher topological Hochschild homology
[arXiv] 2026-03-11 | IMTBench: A Multi-Scenario Cross-Modal Collaborative Evaluation Benchmark for In-Image Machine Translation
[arXiv] 2026-03-11 | VERI-DPO: Evidence-Aware Alignment for Clinical Summarization via Claim Verification and Direct Preference Optimization
[arXiv] 2026-03-11 | Parabolic-Cylinder Approach to Valley-Polarized Conductance in Tilted Anisotropic Dirac-Weyl Systems
[arXiv] 2026-03-11 | Near Field Refraction Problem With Loss of Energy in Negative Refractive Index Material
[arXiv] 2026-03-11 | Aligning Large Language Models with Searcher Preferences
[arXiv] 2026-03-11 | Modeling Stage-wise Evolution of User Interests for News Recommendation
[arXiv] 2026-03-11 | Beyond geometrical screening in predicting two-dimensional materials
[arXiv] 2026-03-11 | Development of an Extensible Unified Control System Using the STARS Framework and Common Commands for Detector Control
[arXiv] 2026-03-11 | The Curse and Blessing of Mean Bias in FP4-Quantized LLM Training
[arXiv] 2026-03-11 | GGMPs: Generalized Gaussian Mixture Processes
[arXiv] 2026-03-11 | Zeros of complete elliptic integrals and its application to Melnikov functions
[arXiv] 2026-03-11 | Coherence thermometry using multipartite quantum systems
[arXiv] 2026-03-11 | A new lower bound for the kissing number in 19 dimensions
[arXiv] 2026-03-11 | FireRedASR2S: A State-of-the-Art Industrial-Grade All-in-One Automatic Speech Recognition System
[arXiv] 2026-03-11 | Additive Subtraction Games
[arXiv] 2026-03-11 | Enhancing Network Intrusion Detection Systems: A Multi-Layer Ensemble Approach to Mitigate Adversarial Attacks
[arXiv] 2026-03-11 | Differentiable Geometric Indexing for End-to-End Generative Retrieval
[arXiv] 2026-03-11 | Shape Control of a Planar Hyper-Redundant Robot via Hybrid Kinematics-Informed and Learning-based Approach
[arXiv] 2026-03-11 | Robust Updating of a Risk Prediction Model by Integrating External Ranking Information
[arXiv] 2026-03-11 | Silent Subversion: Sensor Spoofing Attacks via Supply Chain Implants in Satellite Systems
[arXiv] 2026-03-11 | Don't Let the Claw Grip Your Hand: A Security Analysis and Defense Framework for OpenClaw
[arXiv] 2026-03-11 | Optimal Expert-Attention Allocation in Mixture-of-Experts: A Scalable Law for Dynamic Model Design
[arXiv] 2026-03-11 | Causal Concept Graphs in LLM Latent Space for Stepwise Reasoning
[arXiv] 2026-03-11 | Kalinin Effectivity and Wonderful Compactifications
[arXiv] 2026-03-11 | GeoSense: Internalizing Geometric Necessity Perception for Multimodal Reasoning
[arXiv] 2026-03-11 | Beyond Interleaving: Causal Attention Reformulations for Generative Recommender Systems
[arXiv] 2026-03-11 | Classification of Poor Manifolds in Low dimensions
[arXiv] 2026-03-11 | UAV-Based 3D Spectrum Sensing: Insights on Altitude, Bandwidth, Trajectory, and Effective Antenna Patterns on REM Reconstruction
[arXiv] 2026-03-11 | S-HPLB: Efficient LLM Attention Serving via Sparsity-Aware Head Parallelism Load Balance
[arXiv] 2026-03-11 | Adaptive Manipulation Potential and Haptic Estimation for Tool-Mediated Interaction
[arXiv] 2026-03-11 | AgentServe: Algorithm-System Co-Design for Efficient Agentic AI Serving on a Consumer-Grade GPU
[arXiv] 2026-03-11 | Overcoming Visual Clutter in Vision Language Action Models via Concept-Gated Visual Distillation
[arXiv] 2026-03-11 | Optimal Spectral Bounds for Antipodal Graphs
[arXiv] 2026-03-11 | Does Reasoning Make Search More Fair? Comparing Fairness in Reasoning and Non-Reasoning Rerankers
[arXiv] 2026-03-11 | FC-4DFS: Frequency-controlled Flexible 4D Facial Expression Synthesizing
[arXiv] 2026-03-11 | NasoVoce: A Nose-Mounted Low-Audibility Speech Interface for Always-Available Speech Interaction
[arXiv] 2026-03-11 | Equilibrium under Time-Inconsistency: A New Existence Theory by Vanishing Entropy Regularization
[arXiv] 2026-03-11 | New classification method for the dynamical state of galaxy clusters with a Gaussian mixture model
[arXiv] 2026-03-11 | Inequalities Involving Core, Corona, and Critical Sets in General Graphs
[arXiv] 2026-03-11 | Large language models can disambiguate opioid slang on social media
[arXiv] 2026-03-11 | Conversational AI-Enhanced Exploration System to Query Large-Scale Digitised Collections of Natural History Museums
[arXiv] 2026-03-11 | Sliding Ferroelectricity Driven Spin-Layertronics in Altermagnetic Multilayers
[arXiv] 2026-03-11 | TOI-4616 b: a benchmark Earth-sized planet transiting a nearby M4 dwarf
[arXiv] 2026-03-11 | Random interlacements on transient weighted graphs: 0-1 laws and FKG inequality
[arXiv] 2026-03-11 | The Chow motive of LSV hyper-Kälher manifolds
[arXiv] 2026-03-11 | Local-in-Time Existence of $L^1$ solutions to the Gravity Water Wave Kinetic Equation
[arXiv] 2026-03-11 | A Physics-Informed, Global-in-Time Neural Particle Method for the Spatially Homogeneous Landau Equation
[arXiv] 2026-03-11 | New Upper Bounds for the Classical Ramsey Numbers $R(4,4,4)$, $R(3,4,5)$ and $R(3,3,6)$
[arXiv] 2026-03-11 | Kinematics of Wolf-Rayet Stars in the LMC: Clues to Subtype Origins
[arXiv] 2026-03-11 | A dataset of medication images with instance segmentation masks for preventing adverse drug events
