[2026-03-24 09:42:22] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-03-23
正在获取论文...
[arXiv] 2026-03-23 | Dark energy and accelerating cosmological evolution in a Universe with a Weylian boundary
[IEEE] 2026-3-23 | How the Properties of Inter-Area Modes of Oscillation Vary with Operating Conditions: A Study in the US Eastern Interconnection
[IEEE] 2026-3-23 | A Novel Control Strategy for Hydrogen Electrolyzer to Ride-Through Coupled Frequency and Voltage Disturbance Events
[IEEE] 2026-3-23 | Enabling Computation and Communication Overlap in PIMs for on-device LLM Inference
[IEEE] 2026-3-23 | Lab characterization of the soft X-ray transition edge spectrometer sensor array for the Advanced Photon Source
[IEEE] 2026-3-23 | Gaussian Mixture Model Based Bayesian Learning for Sparse Channel Estimation in Orthogonal Time Frequency Space Modulated Systems
[IEEE] 2026-3-23 | The Price of Optimal Fleet Selection
[IEEE] 2026-3-23 | Idealization-Oriented Planning for Mixed Traffic at Highway Interchanges: Mitigating HDV-Induced Inefficiencies Under High CAV Penetration
[IEEE] 2026-3-23 | A Video-Based Autism Detection In Children Using MLP Classifier and Computer Vision Technique
[IEEE] 2026-3-23 | A novel modified circular shaped CPW antenna for 5g applications
[IEEE] 2026-3-23 | Design and Implementation of an Automated PII Detection System using DeBERTaV2 and NLP
[IEEE] 2026-3-23 | Incentive-Based Demand Response Strategy Optimization Considering External and Behavioral Uncertainties
[IEEE] 2026-3-23 | Sustainable Energy Generation using Piezoelectric Footstep Mechanism
[IEEE] 2026-3-23 | An Integrated Analysis of Traditional, Hybrid and AI-Driven Localization Strategies in Wireless Sensor Networks
[IEEE] 2026-3-23 | An Efficient Signal Processing using EfficientNetB4-Lite Supported Deepfake Detection in Spectral Sensing TinyML Environment
[IEEE] 2026-3-23 | Rice Leaf Disease Classification using EfficientNet and Transfer Learning
[IEEE] 2026-3-23 | MD-LiViT:Multi-Domain Lightweight Vision Transformer for Assistive Lung Cancer Detection from CT Scans and Histopathological Images
[IEEE] 2026-3-23 | Harnessing Quantum Computing for Precision Medicine: Quantum Approximate Optimization Algorithm (QAOA) for Drug Discovery, Genomic Analysis, and Healthcare Optimization
[IEEE] 2026-3-23 | Multi Perspective Effect Analysis of Quantum Computing in the Rise of Artificial Intelligence
[IEEE] 2026-3-23 | Data-Driven Identification of Electricity Market Supply Curves
[IEEE] 2026-3-23 | A Curriculum-Grounded AI Tutoring System
[IEEE] 2026-3-23 | Cluster-Based Hybrid MAC Protocol for FANET with Massive MIMO in 5G and Beyond
[IEEE] 2026-3-23 | Investment Value Analysis and Strategy Research of New Energy Storage and Virtual Power Plant
[IEEE] 2026-3-23 | Design and Development of Modular Limbs for Reconfigurable Robots on the Moon
[IEEE] 2026-3-23 | NeuroVision : EEG based image reconstruction using Deep-Learning
[IEEE] 2026-3-23 | Enhancing IoT Security Through Deep Learning Based Botnet Detection
[IEEE] 2026-3-23 | Automating P-Card Reconciliation with UiPath and Microsoft Power Automate: A Transformational Approach to Streamlining Financial Operations
[IEEE] 2026-3-23 | Reuse of Retired Wind Generators for Mechanical Inertia Enhancement in Inverter-Based Grids
[IEEE] 2026-3-23 | Analytical analysis of the transient behavior of PLL-VSC converter
[IEEE] 2026-3-23 | Predictive Energy Management of Large Public Buildings Based on Double DQN—Under the Background of Intelligent Health Monitoring
[IEEE] 2026-3-23 | Construction and Analysis of System Operational Flexibility Demand Curves Based on Shadow Pricing Theory with the Participation of Source-Load Entities
[IEEE] 2026-3-23 | A Synergistic Machine Learning Framework for Type 2 Diabetes Prediction using Ancestry-Specific Genomic and Lifestyle Data
[IEEE] 2026-3-23 | Research on Voltage Support Methods for AC-DC Hybrid Distribution Networks Under Voltage Sag Conditions
[IEEE] 2026-3-23 | NODA-MMH: Certified Learning-Aided Nonlinear Control for Magnetically-Actuated Swarm Experiment Toward On-Orbit Proof
[IEEE] 2026-3-23 | Lightweight ECG Diagnosis on IoT Edge with FFT-Driven CNN Acceleration and Sparse Projection Learning
[IEEE] 2026-3-23 | Akshara: Contextual Transliteration of Brahmi Script Using Deep Learning
[IEEE] 2026-3-23 | NeRF-based Visualization of 3D Cues Supporting Data-Driven Spacecraft Pose Estimation
[IEEE] 2026-3-23 | Designing for Distributed Heterogeneous Modularity: On Software Architecture and Deployment of the MoonBots
[IEEE] 2026-3-23 | Active power fluctuation mechanism and support strategy of sending-end system under commutation failure
[IEEE] 2026-3-23 | Quantum Approximate Optimization Algorithm for Reliable Diagnosis of Benign vs. Malignant Breast Tumors
[IEEE] 2026-3-23 | A Fault Diagnosis Method With Temporal Constraints For Power System Based On Intuitionistic Fuzzy Colored Petri nets
[IEEE] 2026-3-23 | Reliability Evaluation of Power Systems Considering State of Safety of Battery Energy Storage
[IEEE] 2026-3-23 | Traffic Sign Detection and Classification using Deep Learning Algorithms with Advanced Preprocessing Techniques
[IEEE] 2026-3-23 | Construction and Practice of a Payment Risk Early Warning System for Power Grid Engineering Based on Process Optimization
[IEEE] 2026-3-23 | Non Invasive Blood Glucose Level Monitoring
[IEEE] 2026-3-23 | Sequence Immittance Modeling and Stability Analysis for Hybrid Renewable Energy Station Consisting of GFL and GFM IBRs
[IEEE] 2026-3-23 | Adaptive Self-Healing Security Framework for DevSecOps using Reinforcement Learning
[IEEE] 2026-3-23 | Voiceprint Fault Identification Method of Transformer in New Energy Station Based on Feature Fusion and Improved Wave Search Algorithm
[IEEE] 2026-3-23 | Comparative Performance Analysis of PI and PID Controllers for Linear and Nonlinear Conical Tank Systems with Enhanced Level Control Using I-PD Strategy
[IEEE] 2026-3-23 | An Optimized Framework for Accurate Skin Cancer Classification
[IEEE] 2026-3-23 | Economic Analysis of Compressed Air Energy Storage Power Plants Based on Electricity Market Mechanisms
[IEEE] 2026-3-23 | Flexible Modeling and Acceleration for Power System Electromechanical Transient Simulation with Renewable Energy Sources and Hybrid HVDC Systems in STEPS
[IEEE] 2026-3-23 | A model for reducing octane loss during gasoline refining process
[IEEE] 2026-3-23 | Coordinated Soft Open Points and Switching Strategy for Enhancing the Dispatchable Region in Resilient Distribution Networks
[IEEE] 2026-3-23 | On the Robust Unit Commitment under Renewable Uncertainty with Pairwise Convex Hull
[IEEE] 2026-3-23 | Detection of Drug Resistant Tuberculosis in Chest Radiographs via Mediastinum Analysis
[IEEE] 2026-3-23 | Research on Three-Phase Power Mutual Assistance Control Strategy for Grid-Connected Converter
[IEEE] 2026-3-23 | Day-ahead Coordinated Interaction Method for Steel Clusters and Renewable Energy
[IEEE] 2026-3-23 | State-space Variation Induced Instability During Mode Switching in Multi-source DC Microgrid
[IEEE] 2026-3-23 | IConSCEPT 2025 TOC
[IEEE] 2026-3-23 | Design of Conformal Reconfigurable Reflectarray Antenna Based on Flexible Material
[IEEE] 2026-3-23 | Robust Seismic Denoising Framework: A GAN-Based Approach with Multi-Scale Feature Fusion and Signal Preservation
[IEEE] 2026-3-23 | Investigating the Dual-Look Capability of WindSat for Passive Microwave Snow Mapping
[IEEE] 2026-3-23 | Design and Optimization of a Compact Metacarpophalangeal Joint Angle Sensor For Robotic Finger
[IEEE] 2026-3-23 | Possible Self-Arresting Screening Current Stress Damage in a REBCO Test Coil at 42.6 T in 31 T Background Field
[IEEE] 2026-3-23 | Coupling Structural Descriptors with a Novel Semantic Graph Matching Approach for LiDAR Loop Detection
[IEEE] 2026-3-23 | Avalanche Failure Mechanisms of 1200-V/40-A 4H-SiC Junction Barrier Schottky Diodes with Various Epilayer Defects
[IEEE] 2026-3-23 | DFS-TSPML: Distribution Feature Screening and Three-Stage Physical Information Meta-Learning for Multi-Condition Tool Wear Monitoring
[IEEE] 2026-3-23 | On the Service Provisioning and Reconfiguration for Asymmetric Traffic in Drop-and-Continue Optical Networks based on P2MP-TRXs
[IEEE] 2026-3-23 | ETEP 2025 Author Information Page
[IEEE] 2026-3-23 | Flexible and Privacy-Preserving Access Control Framework for Decentralized Identity Systems
[IEEE] 2026-3-23 | ETEP 2025 Breaker Page
[IEEE] 2026-3-23 | Effect of Incident Angle on Heavy-Ion Irradiation Damage in p-GaN Gate HEMTs
[IEEE] 2026-3-23 | RIS-Assisted Extremely-High-Frequency Wireless Communication System: Joint Resource Optimization to Enhance Spectral Efficiency
[IEEE] 2026-3-23 | ACSAM: Accuracy-configurable Segmentation-based Approximate Multiplier for Error-resilient Edge-AI Applications
[IEEE] 2026-3-23 | Fractional Range Migration Compensation and Doppler Ambiguity Resolution for Pulse Doppler Radars Using Variable Chirp Rate Signals and Pulse Compression with Partial Reference Signals
[IEEE] 2026-3-23 | ATC-FL: Adaptive Thompson Sampling for Efficient Clustering in Federated Learning
[IEEE] 2026-3-23 | Dynamics and High-Dimensional Chaotic Signal Generation in a Dual-Loop Optoelectronic Oscillator
[IEEE] 2026-3-23 | An Improved Shunt Capacitor-Commutated Converter and Control Methodology for HVDC Transmission System
[IEEE] 2026-3-23 | Detecting Stable Cross-Impact Patterns in Bivariate Time Series
[IEEE] 2026-3-23 | Magnetic Target Positioning Based on Differential Errors Compensation
[IEEE] 2026-3-23 | Countermeasures for Ecological Environment Restoration of Pumped Storage Power Stations in Northern Stone Mountain Areas
[IEEE] 2026-3-23 | A Joint Model-driven and Data-driven Distribution Network Line Fault Prediction Method under Typhoon
[IEEE] 2026-3-23 | Efficient Quantisation with Improved Lightweight YOLO (v3 and v4) - MobileNetv3 Model Channel Pruning for IoT-based Edge Devices
[IEEE] 2026-3-23 | Transient Instability Detection and Control of VSG Integrated Systems Considering Current Limits
[IEEE] 2026-3-23 | Real-Time Security Assessment in Electric Vehicle-Integrated Distribution Networks via Multidimensional Holomorphic Embedding Method
[IEEE] 2026-3-23 | HyFURE - Hybrid Fuzzy Reinforcement for Adaptive Class-based Traffic Control
[IEEE] 2026-3-23 | Reinforcement Learning-Based Expansion Planning for AC/DC Hybrid Power Grids under Extreme Natural Disasters
[IEEE] 2026-3-23 | Transient Performance Enhancement for the ITER Coil Power Supply System
[IEEE] 2026-3-23 | A Hybrid LSTM-GRU-PSO Model for Inertial Energy Prediction in Renewable-Rich Power Systems
[IEEE] 2026-3-23 | Research on Cloud-Edge Collaborative Management Technology for Core DC Setting Parameters of Converter Stations
[IEEE] 2026-3-23 | A Game-Theoretic and Learning-Based Framework for Flexible Virtual Power Plant Operation under Dynamic Electricity Markets
[IEEE] 2026-3-23 | Design of Spiral Slots Loaded Substrate Integrated Waveguide Antenna with Improved Circular Polarization
[IEEE] 2026-3-23 | An Efficient Fog-Based System for Healthcare Data Analytics
[IEEE] 2026-3-23 | Transfer Learning-Based Computer Vision Modeling Framework for Lumbar Vertebrae Localization in Sagittal Radiographs
[IEEE] 2026-3-23 | PLUME: Procedural Layer Underground Modeling Engine
[IEEE] 2026-3-23 | PQD Classification Method based on Iterative Filtering Kaiser Window S-Transform and NRBO-XGBOOST
[IEEE] 2026-3-23 | Real-Time Traffic Violation Detection using YOLOv8 for Helmetless Riding and Overload Riding
[IEEE] 2026-3-23 | Tanimoto Similarity-Based Pilot Protection for Offshore Wind Power AC Collection Lines Integrated with Negative-Sequence Current Injection
[IEEE] 2026-3-23 | Hausdorff-Optimal Zonotope Construction for Characterizing Water-Energy Flexibility of Pelagic Island Micro-Energy Grid
[IEEE] 2026-3-23 | Enhancing Fuel Station Operations: A User-Friendly Mobile-Integrated System for Accurate Dispensing and Payment
[IEEE] 2026-3-23 | A Deep Learning-Based Detection and Severity Grading of Grape Downy Mildew: Architectural Evaluation and Deployment on Mobile Application
[IEEE] 2026-3-23 | Advanced Adaptive Resource Management and Optimization in Smart Grids Through the Integration of 5G Network Slicing and Federated Learning Techniques
[IEEE] 2026-3-23 | Short-Circuit Calculation for Renewable Energy-Integrated Power Systems Employing Wind Farm Equivalence Modeling and Equivalent Aggregation
[IEEE] 2026-3-23 | Fedcure Approach for Secure Access of IoMT Data from Different IoMT Devices
[IEEE] 2026-3-23 | Day-Ahead Multi-Layer Game and Capacity Allocation Optimization for Wind–PV–Storage Coalitions under Electricity Price Uncertainty
[IEEE] 2026-3-23 | Development and Application of Digital Risk Database in Higher Education Institutions
[IEEE] 2026-3-23 | Dynamic Photovoltaic Accommodation Capacity Assessment of Distribution Network Considering the Regulatory of Electric Vehicles
[IEEE] 2026-3-23 | Classification and Detection of Skin Cancer using YOLOv11 and SHAP AI
[IEEE] 2026-3-23 | Poultry Disease Classification Using Transfer Learning for Improved Farm Management
[IEEE] 2026-3-23 | Multi-Type Energy Storage Capacity Optimization for Power Grids Under High-Proportion Renewable Energy Integration
[IEEE] 2026-3-23 | Towards Self-Adaptive Cloud Security: Deep Learning Models for Privilege Escalation Detection
[IEEE] 2026-3-23 | Topological Deep Learning for Hierarchical Asset Manifold Embedding in Non-Euclidean Financial Market
[IEEE] 2026-3-23 | Dispatch-Embedded Long-Term Tail Risk Assessment and Mitigation via CVaR for Renewable Power Systems
[IEEE] 2026-3-23 | Stress Detection Using Physiological Signals with CNN, LSTM and Attention on WESAD Dataset
[IEEE] 2026-3-23 | Short-term power load forecasting model of Power stations based on federated learning
[IEEE] 2026-3-23 | Transitioning from a Single-Model Baseline to a Multi-Stage Deep Learning Pipeline: A Head-to-Head Evaluation for Tooth Numbering in Intraoral Photographs
[IEEE] 2026-3-23 | Reliability Analysis and Optimal Redundancy Configuration Scheme of All-DC Offshore Wind Power Centralized Booster Station
[IEEE] 2026-3-23 | Design and Development of a Magnetorheological (MR) Damper for Smart Resistance Training Equipment
[IEEE] 2026-3-23 | Voltage and Frequency Analysis of Offshore Wind Farms Following MMC DC-side Fault
[IEEE] 2026-3-23 | Enhancing On-Board Orbit Prediction with Machine Learning
[IEEE] 2026-3-23 | A Siamese Network-based Approach for Robust Offline Signature Verification Under Data Security
[IEEE] 2026-3-23 | A Machine Learning-based System for Predicting Monogenic Genetic Disorders
[IEEE] 2026-3-23 | Schema-Agnostic Fraud Detection System Using LLM-Based Schema Alignment and Explainability
[IEEE] 2026-3-23 | Semantic Segmentation of Dog Hearts Using Vision Transformers for Accurate Vertebral Heart Score Computation
[IEEE] 2026-3-23 | Monitoring algorithm of dust movement in valve hall based on improved particle swarm optimization
[IEEE] 2026-3-23 | Integration Strategy of Sensorless and Current Reconstruction for PMSG in Offshore Wind Power Field
[IEEE] 2026-3-23 | Forecasting Urban Cellular Traffic with Higher-Order Convolutional Neural Networks
[IEEE] 2026-3-23 | An Integrated Identification–Analysis Workflow for Ultra-Low Frequency Oscillation Mechanism Elucidation in Power Systems
[IEEE] 2026-3-23 | PQD Recording Triggered by the Composite Criterion
[IEEE] 2026-3-23 | Performance Evaluation of Jakarta EE-Based Applications in Containerized Environments
[ACM] 2026-3-23 | On Inductive Characterization for Divergence-sensitive Probabilistic Branching Bisimilarity
[IEEE] 2026-3-23 | Efficient Hardware Realization of Distributed Arithmetic-Based LMS Adaptive Filters Using VLSI Techniques
[IEEE] 2026-3-23 | Instance Prompt Meets Dynamic Adapter: Continual Test-Time Adaptation for Urban Scene Images Segmentation
[IEEE] 2026-3-23 | Mapping Present-Day Vertical Land Motion in the Alpine–Apennine System from GNSS Time Series: Uncertainty Reduction Using Hydrological Loading Corrections
[IEEE] 2026-3-23 | SSFDiffusion: A Degradation-Aware Diffusion Model for Ocean Sound Speed Field Super-Resolution
[IEEE] 2026-3-23 | Aggregating DER Uncertainty: Minkowski Sum Under Joint Chance Constraints
[IEEE] 2026-3-23 | One-Step Image-Function Generation via Consistency Training_supp1-3676205.pdf
[IEEE] 2026-3-23 | Improving Transferability of Data-Free Universal Adversarial Perturbations via Auxiliary Ensembles
[IEEE] 2026-3-23 | BASL-IoD:A Blockchain-Assisted Secure and Lightweight Authentication Scheme for Internet of Drone
[IEEE] 2026-3-23 | A Parasitic-Tolerated Design of Compact Inverse Class-F GaN HEMT Power Amplifier With Integrated Matching Network
[IEEE] 2026-3-23 | Adaptive Cooperative Intra–Inter Domain Adversarial Network With Stage Division for RUL Prediction of Ship Electric Propulsion System
[IEEE] 2026-3-23 | 2026 6th International Conference on Image Processing and Capsule Networks (ICIPCN)
[IEEE] 2026-3-23 | ICAIQSA 2025 Preface
[IEEE] 2026-3-23 | A Simple Analytical Design Approach for Small-Frequency-Ratio Dual-Band Rat-Race Couplers
[IEEE] 2026-3-23 | Exploiting GANs Against IDSs: A Systematic Review, Meta-Analysis, and Case Study Evaluation
[IEEE] 2026-3-23 | A Two-Stage Data-Driven Topology Identification in Three-Phase Distribution Networks
[IEEE] 2026-3-23 | Research on Failure Determination of Switching Devices Coupling Indicators Based on Vibration Parameters and ESNIM
[IEEE] 2026-3-23 | Robust Generalized Partial-to-Full Point Set Registration with Overlap-Guided Bidirectional Hybrid Mixture Models for Computer-Assisted Orthopedic Surgery
[IEEE] 2026-3-23 | Adaptive Token Merging for Efficient Transformer Semantic Communication at the Edge
[IEEE] 2026-3-23 | Hierarchical Federated Learning in Device-to-Device Networks with Learning-Topology Co-Optimization_supp1-3673393.pdf
[IEEE] 2026-3-23 | Benchmarking the Time Cost of Adversarial Attacks on GANs
[IEEE] 2026-3-23 | Knowledge Graph for Assessing Flooding Risks to Electricity Distribution Substations
[IEEE] 2026-3-23 | Smart-Edge RF Harvesting and Reconfigurable Antenna Array for Sustainable IoT Communication
[IEEE] 2026-3-23 | Research on Dynamic Regulation and Control Methods of Energy-Saving Speed Control Technology for Pumping Units During High Water Cut Period
[IEEE] 2026-3-23 | An Explainable Deep Learning Framework for Breast Cancer Diagnosis using GAN-based Augmentation
[IEEE] 2026-3-23 | Voltage Control Based on Load Partitioning and Virtual Active Power Injection in Low-Voltage Distribution Network
[IEEE] 2026-3-23 | Multi-Disease AI-Bridging Diagnostics, Doctors, and Donors
[IEEE] 2026-3-23 | LunaPolaris: A stereo camera, point cloud and IMU dataset for future lunar exploration in polar regions
[IEEE] 2026-3-23 | A Transformer-Enhanced Neural Network for Multimodal Feature Fusion in AC Fault Line Selection
[IEEE] 2026-3-23 | Two-layer Reactive Power Optimization Scheme for Power Grids Considering Reactive Potential of Wind Cluster
[IEEE] 2026-3-23 | Automating P-Card Reconciliation with UiPath and Microsoft Power Automate: A Transformational Approach to Streamlining Financial Operations
[IEEE] 2026-3-23 | Semi-Automatic Solar Panels Cleaning Rover
[IEEE] 2026-3-23 | Deep Learning-Based Classroom Distraction Detection and Monitoring System
[IEEE] 2026-3-23 | Stability Analysis and Suppression Strategy of Grid-Forming MMC-HVDC Systems with Dual-Loop Vector Voltage and Current Control
[IEEE] 2026-3-23 | Quantitative Synthesis of Large Language Model Performance in Medical Reasoning Tasks
[IEEE] 2026-3-23 | Histology-Aware Texture Encoding with Multi-Scale Attention for Uvular SCC and Dysplasia Classification
[IEEE] 2026-3-23 | A Raspberry Pi-based Intelligent System for Detecting Vitamin Deficiencies using Image Analysis and Lightweight Deep Learning Models
[IEEE] 2026-3-23 | A Deep Neural Network Based Filtered BiFPN object Detector using Scale Integrated Channel Attention
[IEEE] 2026-3-23 | Improving Elbow Movements in Spinal Cord Injury Patients using Functional Electrical Stimulation (FES) Through Deep Reinforcement Learning Control
[IEEE] 2026-3-23 | Exploring Asymmetrical Relationships in Predicting Postpartum Depression Using Theil's-U
[IEEE] 2026-3-23 | Semi-Automated Brain Tumor Segmentation Using Thresholding and Morphological Processing with Real-Time OpenCV GUI Control
[IEEE] 2026-3-23 | A Wearable Maternal Monitoring System for Fetal Kick Detection and Abdominal Temperature Tracking Using Accelerometer and Thermal Sensor
[IEEE] 2026-3-23 | RICEVISION: An AI-Enabled Visual Intelligence-Driven Classification for Rice Varieties using Deep Learning and Computer Vision Approach
[IEEE] 2026-3-23 | Real-Time Sky Image-Based Solar Power Forecasting for Ramp Rate Control in Solar Farms
[IEEE] 2026-3-23 | Influence of Electric Vehicle's Participation in Power Grid Peak Regulation on Battery Health
[IEEE] 2026-3-23 | Adaptive Hyper-Heuristic Svm Optimization for Scalable Intrusion Detection in Big Data
[IEEE] 2026-3-23 | Enhancing Federated Learning Efficiency Through Minimal-Cluster Kubernetes Orchestration
[IEEE] 2026-3-23 | Hybrid LLM-Vision Pipeline for Detection of Malicious QR Codes in Social Engineering Attacks
[IEEE] 2026-3-23 | A GAN-Augmented Multi-Scale Feature Fusion Framework for Explainable Crop Disease Detection
[IEEE] 2026-3-23 | A Deep Learning based Medical Image Analysis Framework for AIDS/HIV Prevention and Clinical Decision Support
[IEEE] 2026-3-23 | Research on the Prediction of Separation and Purification Performance of Differential Pressure Thermally Coupled Distillation Process Based on LSTM-DQN Hybrid Model
[IEEE] 2026-3-23 | Adaptive Speech Transcription for Medical Environments using Deep Neural Networks
[IEEE] 2026-3-23 | Hybrid Machine Learning Models for Student-Centric Course Recommendations
[IEEE] 2026-3-23 | Overcoming Barriers to Health Informatics Adoption: A Systematic Literature Review of Resistance and Integration in Telemedicine
[IEEE] 2026-3-23 | Parameter Identification Method of Grid-Forming Wind Turbine for Wideband Oscillation Analysis
[IEEE] 2026-3-23 | LightAttention-UNet: A Lightweight Model for Efficient Brain Tumor Segmentation on the BraTS 2024 Dataset
[IEEE] 2026-3-23 | ForensicFaceGen: AI-Powered Suspect Sketch Generation Using Stable Diffusion for Criminal Investigations
[ACM] 2026-3-23 | See Where You Read: Reading Tracking via Eye Gaze Tracking and Large Language Model
[IEEE] 2026-3-23 | Centralized Control for Paralleled VSCs with Grid-forming and Oscillation Suppression Capability
[IEEE] 2026-3-23 | Prioritizing Gradient Sign Over Modulus: An Importance-Aware Framework for Wireless Federated Learning
[IEEE] 2026-3-23 | Boosting Spectral Efficiency via Spatial Path Index Modulation in RIS-Aided mMIMO
[IEEE] 2026-3-23 | Diffractive Neural Network-Based Intelligent Multiband Metasurface Antennas for Gain-Bandwidth Synthesis
[IEEE] 2026-3-23 | Contact Plan Design for Cross-Linked GNSSs: An ILP Approach for Extended Applications
[IEEE] 2026-3-23 | Hybrid Model Predictive Control with Adaptive Modulation for Voltage Balancing in Three-Phase Three-Level NPC Rectifiers for Green Hydrogen Production
[IEEE] 2026-3-23 | Event-Triggered Platooning Control for Nonlinear Vehicles With Switching Communication Topologies and External Disturbances
[IEEE] 2026-3-23 | Wavelength-tunable all-PM all-fiber femtosecond laser based on intracavity loss tuning
[IEEE] 2026-3-23 | Search Multilayer Perceptron-Based Fusion for Efficient and Accurate Siamese Tracking
[IEEE] 2026-3-23 | Variance-Corrected Wavelet Diffusion for Industrial Sensor Signal Augmentation and Denoising
[IEEE] 2026-3-23 | Markov Chain-Driven Asymmetric Dual-Beta Region Reconstruction Random SVPWM for High-Frequency Sideband Harmonic Suppression and Peak Frequency Band Control in PMSM Systems
[IEEE] 2026-3-23 | Iterative Learning Security Control under Bit-Rate Constraints and Attacks
[IEEE] 2026-3-23 | SS-CoSaMP-Based Channel Estimation for RIS-Assisted Multi-User Systems with Multi-Region User Distribution
[IEEE] 2026-3-23 | Unsupervised Incremental Class Discovery Via Exploring Self-Distillation Reciprocity Knowledge
[IEEE] 2026-3-23 | IEEECONF 2026 Author Index
[IEEE] 2026-3-23 | An improved Preisach-based Hysteresis Modeling of the Temperature Dependence for Soft Magnetic Materials
[IEEE] 2026-3-23 | 2026 International Workshop on Systems Engineering Research
[IEEE] 2026-3-23 | Automated spatiotemporal response identification and separation for averaged and single-trial EEG and MEG data_supp1-3676122.pdf
[IEEE] 2026-3-23 | Multi-UAV Cooperative Trajectory Planning with Dynamic Programming
[IEEE] 2026-3-23 | Superconducting Through-Silicon Coplanar Waveguide Interconnects for High-Bandwidth Three-Dimensional Integration
[IEEE] 2026-3-23 | Monocular Ground Normal Prediction for the Road Ahead
[IEEE] 2026-3-23 | FedDOT: Defending Federated Learning Against Overwhelming Targeted Attacks
[IEEE] 2026-3-23 | Comparison of Event-Driven and Batch Processing Architectures for Fraud Detection and User Profiling in Banking
[IEEE] 2026-3-23 | Comparative Analysis of Deep Learning Architectures for Image Classification
[IEEE] 2026-3-23 | A Development of Clustered Edge Subjected Trust Assessment in Federated Learning (FL) Assisted Digital Twin based Internet of Things Environment
[IEEE] 2026-3-23 | Cuffless Multi-Parameter Cardiac Monitoring: A Portable ECG-PPG-SpO2 Integration System
[IEEE] 2026-3-23 | Voltage Optimization Control in Distribution Networks via Graph Attention Reinforcement Learning with Coordinated Inverter and Energy Storage Systems
[IEEE] 2026-3-23 | Charging Infrastructure Planning for Promoting Vehicle to Grid: A Two-Stage Framework Considering Willingness of Electric Vehicle Owners
[IEEE] 2026-3-23 | A Machine Learning Framework for Tiered Cyberbullying Severity Assessment and Escalation
[IEEE] 2026-3-23 | Improving Epileptic Seizure Recognition with GAN-Augmented Spectrograms and Hybrid AI Models
[IEEE] 2026-3-23 | Intrusion Detection in Cloud Systems Using a Deep Attention Pyramid Network
[IEEE] 2026-3-23 | A Multi-Terminal Hybrid DC System for Offshore Wind Power Transmission with Auxiliary Contact Line
[IEEE] 2026-3-23 | An Interpretable Machine Learning Framework for ICU Mortality Risk Prediction in COVID-19 Patients
[IEEE] 2026-3-23 | Efficient Secure Aggregation in Federated Learning for Edge Computing
[IEEE] 2026-3-23 | AI-Powered Lung Cancer Screening: A Vision Transformer Optimization Approach
[IEEE] 2026-3-23 | An Evolutionary Deep Learning Framework for Early Liver Cancer Detection via Genetic Algorithm–Driven Feature and Hyperparameter Optimization
[IEEE] 2026-3-23 | Graph Neural Networks for Real-Time Misinformation Detection in Social IoT
[IEEE] 2026-3-23 | Real-Time Cyber Threat Prediction for Supply Chain Security: A Machine Learning-Based Framework
[IEEE] 2026-3-23 | Correction of the Eyring Reverberation Time Formula Using an Artificial Neural Network: A One-Solution Approach
[IEEE] 2026-3-23 | Diffusion-Augmented Medical Image Interpreters for Clinical Reliability
[IEEE] 2026-3-23 | Model-Free Learning Compensation of Robotic Arm Manoeuvres for a Free-Flying Base*
[IEEE] 2026-3-23 | Quantum-Classical Weighted Clique Detection for Microservice Deployment in Cloud Systems
[IEEE] 2026-3-23 | Explaining User Intentions to Use AI-Generated Image Tools Through Trust, Risk, and Service Quality
[IEEE] 2026-3-23 | A Hybrid Adaptive Visual Servoing Approach for Robust Robotic Manipulation in Space
[IEEE] 2026-3-23 | Cloud Detection in Remote Sensing Images Using Deep Learning Models: GAN, FCN, and CloudFormer
[IEEE] 2026-3-23 | Transforming Agricultural Market Access Through Predictive Intelligence And Multimodal Voice Interaction
[IEEE] 2026-3-23 | Efficient Decomposition Algorithm for Coordinated Component Repair and Load Restoration under Multiple Failures in Distribution Systems
[IEEE] 2026-3-23 | FreshNet: A Lightweight Computer Vision System for Real-Time Freshness Assessment of Vegetables
[IEEE] 2026-3-23 | An AI-Driven Real-Time Toxicity Detection System for Voice Chat in Online Gaming Environments
[IEEE] 2026-3-23 | AI-Driven Micro-Doppler Classification: Inverted Residual Network with Linear Bottlenecks for Small Unmanned Aerial Vehicles
[IEEE] 2026-3-23 | Contextual Cyberbullying Detection Using Emotion Enhanced Bystander Modeling
[IEEE] 2026-3-23 | Optimizing Feeder Selection Across Underfrequency Load Shedding Scheme Steps
[IEEE] 2026-3-23 | NeuroASD-Net: A Computationally Efficient 2D CNN Framework for Autism Spectrum Disorder Classification from Structural MRI Slices
[IEEE] 2026-3-23 | Complementarity Analysis of Hydro-Wind-Photovoltaic Hybrid Systems and Research on the Optimal Installed Capacity Ratio
[IEEE] 2026-3-23 | Optimizing Artificial Pollination in Indian Agriculture through Multi-Agent Reinforcement Learning and Generative AI for Precision Pollen Distribution
[IEEE] 2026-3-23 | A Reliability Optimization Method for Medium-Voltage Distribution Network Structure Based on SAIDI Data and Load Moment Analysis
[IEEE] 2026-3-23 | Early Detection and Categorization of Cervical Cancer Cells Using Deep Learning Technique
[IEEE] 2026-3-23 | Optimal Capacity Mix to Meet Incremental Peak including Green Data Center Loads
[IEEE] 2026-3-23 | A Survey on Platform-Level Data Quality: From Visibility to Controllability
