[2026-04-17 22:39:34] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-04-16
正在获取论文...
[arXiv] 2026-04-16 | Singly periodic maximal graphs with isolated singularities in Lorentz-Minkowski 3-space
[IEEE] 2026-4-16 | Smart Contract Implementation in Web-Based E-Voting Systems: Blockchain Security and Transparency Analysis
[IEEE] 2026-4-16 | A Comparative Study of YOLOv8, Faster R-CNN, and SSD for Real-Time Object Detection
[IEEE] 2026-4-16 | A Novel AI-Powered Ensemble Model for Effective Malware Classification in Android Security
[IEEE] 2026-4-16 | Research on Cross-Domain Gesture Recognition Method Based on Prototype Networks
[IEEE] 2026-4-16 | Progress in the Detection of Mesosphere and Lower Thermosphere Temperatures Based on the O
                    <sub>2</sub>
                    A-Band Airglow
[IEEE] 2026-4-16 | When Agents React: Synthetic Social Resonance for VR Communication Training
[IEEE] 2026-4-16 | Small Models, Significant Risks: Jailbreaking Attacks on Lightweight LLMs
[IEEE] 2026-4-16 | Process Control Block Designs in Embedded Operating Systems: A Comparative Review
[IEEE] 2026-4-16 | Physiological Stress Detection and Artificial Intelligence: A Survey
[IEEE] 2026-4-16 | A 0.5 V 2.4 GHz Digital PLL with a Sub-Feedback Loop Technique
[IEEE] 2026-4-16 | Dynamic Parameter Extraction for Battery Discharge Characteristics Using Intelligent Algorithms Under Real Measurement
[IEEE] 2026-4-16 | Integrating Generative AI Into Total Quality Management for Public Health Improvement
[IEEE] 2026-4-16 | Lightning AutoML Agent: An Offline Framework for Automated Machine Learning
[IEEE] 2026-4-16 | Review of Person Identification Techniques Using Bronchial Sound
[IEEE] 2026-4-16 | Bluetooth Controlled Robot with Real-Time Obstacle Detection and Live Video Feedback
[IEEE] 2026-4-16 | Time-Frequency Domain Based Glaucoma Detection Using Electroretinography
[IEEE] 2026-4-16 | Towards Autonomous Spectral Mapping for Soil Analysis: Development and Validation of a Robot-Deployable DIY Spectrophotometer
[IEEE] 2026-4-16 | Usage of Hashed Time-Frequency Constellation Analysis in Real-Time Network Traffic Fingerprinting for Anomaly Detection
[IEEE] 2026-4-16 | Distributional Information Embedding: A Framework for Multi-Bit Watermarking
[IEEE] 2026-4-16 | Automatic Detection of Central Serous Retinopathy Using Faster R-CNN
[IEEE] 2026-4-16 | Bi-Fluid Synergy: Unlocking Unprecedented Efficiency in Hybrid Photovoltaic/Thermal Collectors via Numerical Simulation
[IEEE] 2026-4-16 | Forecasting Regional Oil-Hazardous Waste Generation in the Philippines Through Arima Modeling
[IEEE] 2026-4-16 | Assessing Vulnerability of Deepfake Detection Models to Noise-Masked Attacks
[IEEE] 2026-4-16 | Deep Segmentation of Retinal Layers and Fluid in Diabetic Retinopathy OCT with UU-MAMBA
[IEEE] 2026-4-16 | Development and Testing of an RFID-Based Library Circulation System Using ESP32 and MySQL
[IEEE] 2026-4-16 | Head Reconstruction Using 3D Keypoint Constraints
[IEEE] 2026-4-16 | Enhancing AI Chatbot Responsiveness Through Design of a Multimodal Emotion Detection
[IEEE] 2026-4-16 | Artificial Intelligence and Leadership in Small Businesses: A Hawaiˋi-Based Perspective with Broader Implications
[IEEE] 2026-4-16 | A New Scheme for Continuous and Discrete States Estimation Under MDADT Constraints
[IEEE] 2026-4-16 | MelSpectrogram-Based Voice Disorder Classification Using Bayesian-Optimised Convolutional Neural Networks
[IEEE] 2026-4-16 | Hybrid Machine Learning Based Model for Early Parkinson's Disease Detection
[IEEE] 2026-4-16 | EV Charging Scheduling Optimization Using PSO Algorithm for Cost Efficiency and Network Load Management
[IEEE] 2026-4-16 | Multivariate Spatial Modelling of Tree Species Distribution Using Adaptive Sparse Group Lasso: Case Study in Barro Colorado Island Plot
[IEEE] 2026-4-16 | Power Factor Correction in Low Voltage Distribution System Using Capacitor Bank in Educational Facilities
[IEEE] 2026-4-16 | SDFUECR: Software-Defined and Fuzzy-Based Unequal Clustering Energy-Efficient Cluster Routing
[IEEE] 2026-4-16 | Optimized IIR Filter Design Using Genetic Algorithm and Theoretical Methods with Symmetric Coefficients
[IEEE] 2026-4-16 | AI Tutor Study: Linking Student Questioning Patterns to Learning Gains Through Bloom's Taxonomy and Intent Analysis
[IEEE] 2026-4-16 | Unraveling Parkinson's Progression with AI: Multi-Model Predictive Analysis and Explainable Diagnostic Biomarker Insight
[IEEE] 2026-4-16 | Ghost-YOLOv8-S: A Lightweight Network Design for Real-Time Traffic Light Detection
[IEEE] 2026-4-16 | Experimental Study of QoS Parameters in CasaOS and Nextcloud on Ubuntu 22.04
[IEEE] 2026-4-16 | Decentralized Energy Management in Residential Microgrids: Simulation and Optimization for Homes Grouped by Proximity
[IEEE] 2026-4-16 | Real-Time and Energy-Efficient VLC Indoor Localization Using Dimming-Aware Modulation and Lightweight Machine Learning
[IEEE] 2026-4-16 | Predictive Modeling of Groundwater Depletion Using Ensemble Machine Learning and Geospatial Data
[IEEE] 2026-4-16 | Real-Time Markerless Hand and Object Tracking with Occlusion Awareness for Augmented Reality
[ACM] 2026-4-16 | Adversarial Multitask Learning for Accurate Change Detection in Multi-Temporal Satellite Images
[IEEE] 2026-4-16 | Staged Training for Robust Crop and Weed Detection Under Temporal Domain Shift Using YOLO26
[IEEE] 2026-4-16 | Modeling and Optimizing Dynamic Coalitions in Energy Markets Using Game Theory
[IEEE] 2026-4-16 | Implementation of Sharding to Improve the Performance of Blockchain
[IEEE] 2026-4-16 | Research on Confirmation Mechanisms in Spatial Links
[IEEE] 2026-4-16 | A Multiple-Decomposed Recursive Generalized Extended Least Squares Algorithm for High-Order MISO CARARMA Systems
[IEEE] 2026-4-17 | Enhancing Access to Urban Primary Health Care Through Digital General Practitioner Model: An Initiative for Women Health Inclusion Towards Achieving SDG
[IEEE] 2026-4-17 | Saukhyam: A Sustainable Solution to the Sanitary Napkin Menace
[IEEE] 2026-4-17 | Residual-Attention CNN for Dysgraphia Detection Using Synthesized Offline Handwriting from Online Traces
[IEEE] 2026-4-17 | Socio-Economic Impacts of Clean Energy Transition in Bangladesh
[IEEE] 2026-4-17 | Software Diversity in Resource-Constrained Embedded Systems
[IEEE] 2026-4-17 | Embedded Tutorial: Design for EMC and Trust in Integrated Systems – Combining Robustness, Innocuity and Security Concerns
[IEEE] 2026-4-17 | Enhancing the Lifetime of STT-MRAM in IoT Applications by Current Balancing
[IEEE] 2026-4-17 | Assessment of 5G Performance in Philippines Using Mobility Tests
[IEEE] 2026-4-17 | Downscaling Method for Ground Flash Density in Transmission Line Corridors Considering Terrain Effects
[IEEE] 2026-4-16 | Improving Out-of-Distribution Generalization on Point Clouds with Cross-Domain Adversarial Distillation
[IEEE] 2026-4-17 | HSD: Hough-Based Structure-Aware Detection of B-Lines in Lung Ultrasound
[IEEE] 2026-4-17 | AttriReBoost: A Gradient-Free Propagation Optimization Method for Cold-Start Mitigation in Attribute Missing Graphs_supp1-3681613.pdf
[IEEE] 2026-4-17 | A Review of Active Thermal Control for Power Devices: Advances, Challenges, and Applicability in Intelligent Power Modules
[IEEE] 2026-4-16 | Practical and Robust Privacy-Preserving K-Means Clustering Protocols With GPU Acceleration
[IEEE] 2026-4-16 | Economic Impacts and Mitigation for the Grid Connected Electric Vehicle Charging: A Technical and Operational Overview
[IEEE] 2026-4-17 | Leveraging Graph Attention Embedding and Mutual Prompting for CSI Drift Suppression Localization
[IEEE] 2026-4-17 | Battery-Assisted Backscatter Devices: Energy Management and Outage Performance Analysis
[IEEE] 2026-4-16 | An Enhanced Elliptically-Deformed Folded Waveguide for E-Band Traveling Wave Tubes with Hot-Test Validation
[IEEE] 2026-4-16 | A Communication Failure and Cyber-Attack Resilient Wide-Area Out-of-Step Prediction Scheme Using Dynamic State Estimation
[IEEE] 2026-4-16 | Subarray-based Phase-less Angular Parameter Estimation for an Incoherently Distributed Source
[IEEE] 2026-4-16 | Vulnerabilities in AI-Generated Image Detection: The Challenge of Adversarial Attacks
[IEEE] 2026-4-17 | Vulnerabilities in AI-Generated Image Detection: The Challenge of Adversarial Attacks_supp1-3682154.pdf
[IEEE] 2026-4-17 | Surface Water Mapping and Flood Dynamics Monitoring Using CYGNSS and Deep Learning
[IEEE] 2026-4-17 | Nodal Frequency Nadir Chance-Constrained Economic Dispatch Considering Contingency Frequency Service from Hydrogen Electrolysis
[IEEE] 2026-4-16 | SwarmRouter: Obstacle-Avoiding Routing for Droplet Swarms on Active-Matrix Digital Microfluidic Biochips
[IEEE] 2026-4-16 | Development of an SRAM Neutron Detector for Pulsed Fusion Experiments
[IEEE] 2026-4-16 | An Enhanced Multiple Intrusion Event Localization Algorithm Based on Dual MZ-Sagnac Optical Fiber Sensing Perimeter Security System
[IEEE] 2026-4-17 | Contrastive Feature Reasoning for EEG Classification in Asynchronous BCI-Controlled Humanoid Robot
[IEEE] 2026-4-16 | Learning to Generate Preferences for Multiobjective Deep Learning
[IEEE] 2026-4-17 | Reverberation-based Features for Sound Event Localization and Detection with Distance Estimation
[IEEE] 2026-4-17 | Autonomous Design of Micro-Calorimetric Flow Sensors: A Bayesian-Optimized Machine Learning Framework_supp1-3680338.pdf
[IEEE] 2026-4-16 | Hybrid Noise and Jamming Modulation: An Efficient Anti-Jamming Perspective
[IEEE] 2026-4-17 | A Compact Via-Assisted Dual-Band Circularly Polarized Antenna With Dual-Mode Radiation for Health Monitoring Devices
[IEEE] 2026-4-16 | Efficient Incremental Updates for Encrypted Mobile Apps
[IEEE] 2026-4-16 | Differential Performance and Contextual Integrity in Speech Privacy
[IEEE] 2026-4-17 | IEEE Photonics Technology Letters publication information
[IEEE] 2026-4-17 | Table of Contents
[IEEE] 2026-4-17 | Dual-Probability-Frequency Fast Successive Cancellation (DPF-FSC) decoding of non-binary polar code
[IEEE] 2026-4-17 | Design and ATEX-Aware Kinematic Analysis of a Multi-Body Robot for Gas Pipeline Inspection
[IEEE] 2026-4-16 | Confidence-Aware Test-Time Adaptation for Fault-Resilient Sound Source Localization Guided by Lightweight Diagnosis
[IEEE] 2026-4-16 | Evaluating the Impact of Jitter on Collaborative High-Speed Aerial and Railway Networks
[IEEE] 2026-4-17 | Binaural Beat Stimulation for Cognitive and Psychological Enhancement in Alzheimer's Disease: A Pilot Study
[IEEE] 2026-4-17 | Transformer-Based Context Informed Incremental Learning with sDTW Alignment Unlocks Fast and Precise Regression-Based Myoelectric Control
[IEEE] 2026-4-16 | A Method for Slip Angle Estimation of Intelligent Tire System Based on Hierarchical Temporal Fusion Network
[IEEE] 2026-4-16 | Bayesian Deep-Learning Processor for Real-Time Bio-Applications With Structured Monte Carlo Dropout for High-Volume Sample Generation
[IEEE] 2026-4-16 | Building Better Community One Gelato at a Time
[IEEE] 2026-4-16 | IEEE Computer Society Information
[IEEE] 2026-4-16 | SHIELD: Blockchain-Enabled Lightweight Authentication Framework for Secure Wearable Health Monitoring in IoMT Environments
[IEEE] 2026-4-16 | IEEE Systems, Man, and Cybernetics Society Information
[IEEE] 2026-4-16 | Relevance Structures are a Necessary Prerequisite for Artificial Metacognition
[IEEE] 2026-4-16 | Environmentally Responsive Ag/BaTiO
                    <sub>3</sub>
                    /TiO
                    <sub>2</sub>
                    Nanocomposite for Selective Gas Sensing and Advanced Piezo-Photocatalysis
[IEEE] 2026-4-16 | MuDPK: Knowledge Distillation with Multi-Granularity and Dynamic Priors for Graph Classification
[IEEE] 2026-4-16 | Cover Page
[IEEE] 2026-4-16 | Cover Page
[IEEE] 2026-4-16 | Author Index
[ACM] 2026-4-16 | Future-Proofing Deepfake Detection by Integrating Audio, Video, and Text
[ACM] 2026-4-17 | Modelling and Solving Problems in Communications and Network Security Elegantly Using a Unified Framework for Intelligence and Intelligent Systems
[IEEE] 2026-4-16 | An Active Ankle–Foot Orthosis with IMU-Based Gait Detection for Foot Drop Assistance
[IEEE] 2026-4-16 | Improving Thermal Comfort by Integrating Phase Change Materials into a Hollow Brick: Numerical Study
[IEEE] 2026-4-16 | AI-Driven Glaucoma Detection with Visual Explanations Using CNN and Grad-CAM
[IEEE] 2026-4-16 | Design and Implementation of a Smart Monitoring and Control System for Drying Machine Using IoT Technology
[IEEE] 2026-4-16 | Support System for the Recruitment and Selection Process Using the Sbert Model
[IEEE] 2026-4-16 | Enhanced Security and Efficiency in IoT Authentication: A PUF-Based Protocol with Dynamic Response Mechanisms and Lightweight Blockchain Integration
[IEEE] 2026-4-16 | A Time-Optimal Trajectory Planning Method Based on Improved Particle Swarm Algorithm
[IEEE] 2026-4-16 | Ensemble Learning for Air Quality Forecasting: A Comparative Analysis of Random Forest, XGBoost, and LightGBM for PSI Prediction in Singapore
[IEEE] 2026-4-16 | Empirical Validation of Cyber Defence Effectiveness Using Statistical Analysis Across Attack Categories
[IEEE] 2026-4-16 | Grey Wolf Optimization for Service Life Maximization of Natural Fiber-Reinforced Transtibial Prosthetic Sockets
[IEEE] 2026-4-16 | Why is it Difficult to Fit CPD Tensor Model to 3GPP 38.901 MIMO OFDM Channels?
[IEEE] 2026-4-16 | LeatherVision: Pre-Trained Transformer Models for Automated Leather Species Identification
[IEEE] 2026-4-16 | Evaluating LLM-Induced Investment Biases via Persona Design and Prompt Analysis: A Quantitative Study of Post-Retirement Asset Depletion Risk Through Social Simulation
[IEEE] 2026-4-16 | Bayesian Approach for Change-Point Detection in Z Control Charts
[IEEE] 2026-4-16 | Secure and Scalable IoT-Based Smart Door Lock with Multi-Authentication Mechanisms
[IEEE] 2026-4-16 | The Impact of Sojourn Time Distributions on the Price of Anarchy
[IEEE] 2026-4-16 | Comparative Analysis of Transformer Based Models for Automated Utterance Classification in Motivational Interviewing
[IEEE] 2026-4-16 | UPI Sentinel: Anomaly-Aware Fraud Detection Using Hybrid ML Models
[IEEE] 2026-4-16 | Relative Navigation and Tracking Correction for Underwater Vehicle Swarms Using Dead Reckoning
[IEEE] 2026-4-16 | Robust Fault Estimation for Linear Neutral Time-Delay Systems
[IEEE] 2026-4-16 | Optimizing Machine Learning Inference Serving Systems: A Survey
[IEEE] 2026-4-16 | An Exploration of Lightweight BERT-Based Models for Emotion Classification in Indonesian Social Media Texts
[IEEE] 2026-4-16 | Explainable Reinforcement-Inspired Transformer Model for EEG Signal Denoising
[IEEE] 2026-4-16 | Pre-Processing Framework for Solar IOT Measurements Big-Data Using a Correction and Imputation Techniques
[IEEE] 2026-4-16 | PCB Defect Localization and Classification Using Deep Learning
[IEEE] 2026-4-16 | Automated Detection of Knee Osteoarthritis Using an Enhanced AlexNet with Attention and Grad-CAM Visualization
[IEEE] 2026-4-16 | Adaptive and Fine-Grained Power Gating Techniques for Leakage-Aware VLSI Design
[IEEE] 2026-4-16 | UAV Path Planning Based on Multi-Objective Grey Wolf Optimization
[IEEE] 2026-4-16 | Enhancing Academic Support with AI: A Case Study of Chatbot Integration Using Microsoft Copilot Studio at Jazan University
[IEEE] 2026-4-16 | Machine Learning-Driven EEG Signal Analysis for Neurological Diagnostics
[IEEE] 2026-4-16 | Voice and Text-Based AI Chatbot for Trauma Identification and Real-Time Doctor-Linkage
[IEEE] 2026-4-16 | Temporal Simulation of Tumor Progression in Breast Imaging Using Conditional GANs
[IEEE] 2026-4-16 | Biomedical Engineering: Designing Systems That Cooperate with Biological Functions
[IEEE] 2026-4-16 | Extrusion Process Anomaly Detection via Batchnorm-Based Weakly Supervised Video Anomaly Detection
[IEEE] 2026-4-16 | Joint Task Allocation and Offloading Decision for Multi-UAV-Assisted MEC Oriented Towards Emergency Tasks
[IEEE] 2026-4-16 | A Machine Learning Based Model for Exhaustion Attacks in Wireless Sensor Networks
[IEEE] 2026-4-16 | OPC UA-Based Embedded Gateway for PV Inverter Interoperability in Smart Grids
[IEEE] 2026-4-16 | A Decision Support Framework for Blockchain Pattern Selection Based on Soft Goals
[IEEE] 2026-4-16 | Meta-Learning for Underwater Diver Gesture Classification
[IEEE] 2026-4-16 | The Effect of MCUs and Single-Word MBUs on the ECC Failures of a Radiation Hardened Microcontroller
[IEEE] 2026-4-16 | A Hybrid Graph Neural Network and Multilingual BERT Approach for Content Virality Prediction on Twitter
[IEEE] 2026-4-16 | Anomaly Detection in Satellite Attitude and Orbit Control Via Multivariate LSTM Networks
[IEEE] 2026-4-16 | A Survey of AI-Based Detection Techniques for Intracranial Aneurysms
[IEEE] 2026-4-16 | Comparing Genetic Algorithms for a Personalized Maternal Nutrition Recommendation System
[IEEE] 2026-4-16 | AI Approach for Ultrasound Image Nerve Segmentation
[IEEE] 2026-4-16 | LSTM-Based Hourly Sales Forecasting in SME Food and Beverage Retail
[IEEE] 2026-4-16 | Trustworthy Multimodal Fraud Detection with Federated Learning and Computer Vision
[IEEE] 2026-4-17 | Cloud Computing Resource Load Prediction Model Based on TCN-PatchTST
[IEEE] 2026-4-17 | Design and Simulation of Printed Force Sensitive Resistor for Wearable Electronics
[IEEE] 2026-4-17 | Table of Contents
[IEEE] 2026-4-16 | M2Net: Multimodal Multitask Mutual Learning for Anti-VEGF Efficacy Prediction
[IEEE] 2026-4-17 | Iterative Complex-Valued Quadratic-Cone Programming for Implementing Phase Equalizers
[IEEE] 2026-4-17 | Enhancing Fault Tolerance in Microblaze V Soft-Core Processors: Performance and Reliability Assessment with ESA Benchmark Applications
[IEEE] 2026-4-17 | A Deep Learning Lora-Based Indoor Localization Technique
[IEEE] 2026-4-17 | Social Media Analysis Using LSTM and Bi-LSTM for Automated Identification of Depression Cancer Patients
[IEEE] 2026-4-17 | Guaranteed Payoffs Resource Allocation Problem with Application to Countering Reinforced Eavesdropping
[IEEE] 2026-4-16 | EDGE-ASSISTED COOPERATIVE PERCEPTION IN VEHICULAR NETWORKS: Proposing a New System
[IEEE] 2026-4-16 | RF PA Optimization Utilizing a Particle Swarm and Bayesian Collaborative Algorithm
[IEEE] 2026-4-17 | Monolithic Integrated GaN Complementary Logic Circuits Using AlON/Al
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    Bilayer Gate Dielectric
[IEEE] 2026-4-16 | Multiwall Carbon Nanotubes-Integrated Fiber Microsphere Probe Light Intensity Sensor with Harmonic Vernier Effect
[IEEE] 2026-4-16 | A Novel Prescribed-Time Control Approach Under Unknown Control Gain and Mismatched Disturbance
[IEEE] 2026-4-17 | Development of a Realistic physical Phantom for laparoscopic and robotic Assisted Sacrocolpopexy Training and Associated_supp1-3684747.pdf
[IEEE] 2026-4-17 | Directivity Enhancement of Movable Antenna Arrays with Mutual Coupling
[IEEE] 2026-4-17 | The AI Research Assistant: Promise, Peril, and a Proof of Concept_supp1-3683758.pdf
[IEEE] 2026-4-17 | Energy-Efficient Air-Ground Cooperative Detection for UAV-Enabled ISAC Systems
[IEEE] 2026-4-17 | Stress Field Engineering for Ultra-Low Birefringence in Trench-Assisted Multi-Core Fibers
[IEEE] 2026-4-16 | GranSSG: Correlating Volumetric Granularities for 3D Semantic Scene Graph Prediction
[IEEE] 2026-4-16 | AdaptiController: VR-Enhanced Fine Motor Assistance Through Finger Pressure Modulation
[IEEE] 2026-4-17 | HiPo-Gait: Hierarchical Pose model decoupling for Gait Recognition
[IEEE] 2026-4-17 | TechRxiv: Share Your Preprint Research with the World!
[IEEE] 2026-4-16 | Control-Aware Two-Stage Collision Screening for Real-Time Path Planning via MPC-Based Pose Correction and Certified Tube Inflation
[IEEE] 2026-4-16 | On Maximum Correntropy GM-PHD Filtering
[IEEE] 2026-4-16 | Impact of Electromagnetic Interference From Consumer Electronics and Bluetooth Crowding on GNSS-Based Performance in Mobile Devices
[IEEE] 2026-4-17 | TacMan-Turbo: Proactive Tactile Control for Robust and Efficient Articulated Object Manipulation_supp6-3683863.mp4
[IEEE] 2026-4-17 | Dynamic Event-Triggered Target Encirclement Control for Heterogeneous UAV/UGV Swarm Based on Finite-Time Distributed Target Observation
[IEEE] 2026-4-16 | Verification of Resilient Current-State Opacity Against Dynamic Sensor Enabling Attacks
[IEEE] 2026-4-17 | Multi-Taper FFT-based Full-Spectrum Phase Demodulation for High-Precision GaAs F-P Temperature Sensors
[IEEE] 2026-4-17 | Frequency-Guided Lightweight Network for Unsupervised Spectral Demosaicing
[IEEE] 2026-4-17 | Existence of asynchronous and synchronous behaviour in a neuromorphic Josephson Junction network
[IEEE] 2026-4-16 | An Enhanced High-Gain Cubic Step-Up DC-DC Converter With Low Voltage Stress and Continuous Input Current for DC Microgrid Applications
[IEEE] 2026-4-16 | 2025 International Conference on Artificial Intelligence, Blockchain, Cloud Computing, and Data Analytics (ICoABCD)
[IEEE] 2026-4-16 | Technical Program Committee
[IEEE] 2026-4-16 | IEEE Computer Society Call for Articles
[IEEE] 2026-4-16 | Gaze Authentication: Factors Influencing Authentication Performance
[IEEE] 2026-4-16 | Table of Contents
[IEEE] 2026-4-16 | Environmentally Responsive Ag/BaTiO/TiO Nanocomposite for Selective Gas Sensing and Advanced Piezo-Photocatalysis_supp1-3678665.docx
[IEEE] 2026-4-16 | Committees
[IEEE] 2026-4-16 | Table of Contents
[IEEE] 2026-4-16 | Topological Data Analysis for Breast Pathology Classification
[IEEE] 2026-4-16 | Improving Sentiment Classification of Product Reviews in Bahasa Indonesia Using Kernel-Based SVM
[IEEE] 2026-4-16 | Coal-Gangue Recognition Technology Based on Bimodal Data Fusion
[IEEE] 2026-4-16 | ARDUINO Based Smart Water Quality Monitoring System
[IEEE] 2026-4-16 | Blockchain Technologies for Traceability and Efficiency in Service-Sector Supply Chains
[IEEE] 2026-4-16 | Standardized Communication Protocols for Digital Twin Integration in Discrete Manufacturing: From Machine to Plant
[IEEE] 2026-4-16 | Anti-Cheating Online Exam Through Hand Gesture Answering Using Webrtc
[IEEE] 2026-4-16 | Agro E-Commerce Platform with AI-Based Disease Outbreak Prediction
[IEEE] 2026-4-16 | Probabilistic Virtual Sensor Modeling for Building Digital Twins Using Generative Inverse Models
[IEEE] 2026-4-16 | DLR: A Unified Framework for Semi-Supervised Learning with Large Language Models
[IEEE] 2026-4-16 | Big Data of TikTok Shop Consumer Reviews for Mapping Service Quality Dissatisfaction Aspect Using ABSA Method
[IEEE] 2026-4-16 | Brain Tumor MRI Interpretation and Classification using Swin Transformer Framework with Multi-Method Explainable AI
[IEEE] 2026-4-16 | High-Performance Activated Carbon Derived from Palm Petiole Using Microwave-Assisted H
                    <sub>3</sub>
                    P O
                    <sub>4</sub>
                    Activation for Methylene Blue Adsorption
[IEEE] 2026-4-16 | XGBoost-Based Web Application for Optimizing Credit Evaluation in Peruvian Loan Fintechs
[IEEE] 2026-4-16 | Transforming MRI Data Into Latent Space Embeddings Using Multi-Head Learning to Understand Alzheimer's Progression
[IEEE] 2026-4-16 | LockEase- Smart Door Security System
[IEEE] 2026-4-16 | Prediction Comparison in Educational Data using Hybrid Time Series SARIMA-XGBoost Model
[IEEE] 2026-4-16 | ML-Based Analysis of Crop Recommended System
[IEEE] 2026-4-16 | Performance Analysis of OFDM, OTFS, and AFDM Modulation Over Doubly Selective Channels
[IEEE] 2026-4-16 | Edge-Efficient Crop Health Monitoring using Selfsupervised Shufflenet and Attention-Based Multimodal Fusion
[IEEE] 2026-4-16 | A Deep Federated Learning Approach for Secure Malware Detection in Cloud Computing
[IEEE] 2026-4-16 | Command-Based Speech Recognition with LSTM for Visually Impaired Users
[IEEE] 2026-4-16 | Design and Construction of ELCB Practical Equipment as Touch Voltage Protection
[IEEE] 2026-4-16 | Advanced IOT-Based Real-Time Fire Detection and Smart Home Environmental Monitoring System
[IEEE] 2026-4-16 | A Smart Electricity Meter Using IoT for Real-Time Monitoring and Remote Control
[IEEE] 2026-4-16 | Hybrid Blockchain-Based Presidential Election System to Increase Vote Efficiency and Security
[IEEE] 2026-4-16 | Ml and Sentinel-2 Data for Crop Prediction: RF and KNN Performances
[IEEE] 2026-4-16 | An Improved MPPT Performance Using Horse Herd Optimization Algorithm for PV-Battery Charge Controller Application
[IEEE] 2026-4-16 | Emotion Recognition in Programming Learning Contexts Using Physiological Data
[IEEE] 2026-4-16 | LSTM Networks for Thermal Management in Power Converters of Electric Vehicles
[IEEE] 2026-4-16 | Edge Embedded Deep Learning Intelligent Electronic Nose for Real-Time Gas Detection
[IEEE] 2026-4-16 | AI Enhanced Intrusion Detection with Facial Biometrics
[IEEE] 2026-4-16 | Optimizing Block Size and Memory Usage for Image Processing on GPU Using CUDA
[IEEE] 2026-4-16 | Heart Disease Prediction Using Scaled Conjugate Gradient and Resilient Backpropagation Neural Network Models
[IEEE] 2026-4-16 | Compensation for Residual Artifacts in Image Restoration for Robust Face Recognition
[IEEE] 2026-4-16 | Analysis of Few-Shot Transfer Learning for Image Classification on Spacecraft
[IEEE] 2026-4-16 | 3D Body Silhouette Modeling System for Morphological Analysis: Proof of Concept
[IEEE] 2026-4-16 | Novel Fault Indicator for Voltage Imbalance Detection and Localization in Asymmetrical Dual Three-Phase Induction Motor
[IEEE] 2026-4-16 | Performance Evaluation of a Solar Panel Under Different Types of Surface Contamination
[IEEE] 2026-4-16 | Domain-Adaptive and Multifactor Invariant Diagnosis of Inter-Turn Short Circuits in Permanent Magnet Synchronous Motors
[IEEE] 2026-4-16 | Volumetric Dam Seepage Modelling Using Soil Moisture Data from Sentinel Satellite Imagery
[IEEE] 2026-4-16 | Multi-Stage Framework for Robust Drone Face Detection and Recognition
[ACM] 2026-4-17 | Dataset Ownership Protection Method Based on Maximizing Distribution Discrepancy
[IEEE] 2026-4-16 | Real-Time Multi-Modal Risk Assessment in Public Spaces Using Vision
[IEEE] 2026-4-16 | Evaluating Code Readability in Java-to-Kotlin Migration Using Large Language Models and Static Analysis
[IEEE] 2026-4-16 | Design and Implementation of Multi-Characteristic Overcurrent Relay for Protection Systems Using DFRduino Microcontroller
[IEEE] 2026-4-16 | Underwater Image Stitching Based on Image Enhancement Methods
[IEEE] 2026-4-16 | Sharp RéNyi-Entropic Isoperimetric Inequalities with Applications to RéNyi-Entropy Power Inequalities
[IEEE] 2026-4-16 | EDGChain-E: A Decentralized Git-Based Framework for Versioning Encrypted Energy Data
[IEEE] 2026-4-17 | Case Study: The High-Level Synthesis-Based Firmware Upgrade for the Digital Trigger Back-End System of the ATLAS Liquid Argon Calorimeter
[IEEE] 2026-4-17 | Lightweight TinyML NIDS For IoT Devices
[IEEE] 2026-4-17 | Case Study: A Uniform Benchmarking of RISC-V Cores on FPGA — Performance, Power, and Area Analysis
[IEEE] 2026-4-17 | Rotation-symmetric bent functions outside the completed Maiorana-McFarland class
[IEEE] 2026-4-16 | High-Resolution Fast Neutron Imaging using Layered CsI:Tl/Polymer Scintillators
[IEEE] 2026-4-17 | Design and Implementation of a Lightweight Simulation Testing Tool for Automatic Train Supervision (ATS) Systems in Intelligent Transportation Systems
[IEEE] 2026-4-17 | Effects of Rain Rate With Various Integration Times on ITU-R P530-18 Attenuation Prediction
[IEEE] 2026-4-16 | Air-Friction Loss Characteristics and Thermal Analysis of MW-Class Permanent Magnet Synchronous Motor with Active Magnetic Bearings
[IEEE] 2026-4-17 | Scatter Search, Ejection Chains, and Filter-and-Fan for Vehicle Routing: A Unified Framework
[IEEE] 2026-4-17 | IEEE Photonics Technology Letters publication information
[IEEE] 2026-4-17 | Kinetic Energy Based Power Smoothing Method for High-Inertia Wind Turbines Using ESO-MFPCC
[IEEE] 2026-4-16 | RSMA-Enhanced Secure Transmission Scheme for Active STAR-RIS-Aided Networks
[IEEE] 2026-4-16 | Disentangled Generative Graph Representation Learning
[IEEE] 2026-4-16 | Analysis of Surface Coverage Loss Caused by Sensor Misplacement in 3D Triangulation Systems
[IEEE] 2026-4-16 | Design and Control of an Electromechanical Human-Robotic Manipulator’s Interface for Upper-Limb Rehabilitation
[IEEE] 2026-4-17 | A Dual-Event-Driven Fusion Estimation Method for Road Friction Coefficient Based on Image and Vehicle Dynamics
[IEEE] 2026-4-17 | Improved Prediction of Secondary Flows in a Square Duct for Blanket First Wall Using a Nonlinear Eddy-Viscosity Model
