[2026-03-13 09:27:22] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-03-12
正在获取论文...
[arXiv] 2026-03-12 | Rediscussion of eclipsing binaries. Paper XXIX. The F-type twin system BS Draconis
[arXiv] 2026-03-12 | An error control framework for computing the exponential of matrices arising from the finite element discretization
[arXiv] 2026-03-12 | Derain-Agent: A Plug-and-Play Agent Framework for Rainy Image Restoration
[arXiv] 2026-03-12 | Generalisation of Farkas' lemma beyond closedness: a constructive approach via Fenchel-Rockafellar duality
[arXiv] 2026-03-12 | Real-time Tomography-based Bayesian Inference from TCV Bolometry Data
[arXiv] 2026-03-12 | OpenClaw PRISM: A Zero-Fork, Defense-in-Depth Runtime Security Layer for Tool-Augmented LLM Agents
[arXiv] 2026-03-12 | Deep Learning-based Assessment of the Relation Between the Third Molar and Mandibular Canal on Panoramic Radiographs using Local, Centralized, and Federated Learning
[arXiv] 2026-03-12 | Design and characterization of a simple polarization grating-based polarimeter
[arXiv] 2026-03-12 | DatedGPT: Preventing Lookahead Bias in Large Language Models with Time-Aware Pretraining
[arXiv] 2026-03-12 | Hybrid Human-Agent Social Dilemmas in Energy Markets
[arXiv] 2026-03-12 | Multimodal classification of Radiation-Induced Contrast Enhancements and tumor recurrence using deep learning
[arXiv] 2026-03-12 | Badly approximable points on non-linear carpets
[arXiv] 2026-03-12 | Stuck on Suggestions: Automation Bias, the Anchoring Effect, and the Factors That Shape Them in Computational Pathology
[arXiv] 2026-03-12 | Bathymetry reconstruction via optimal control in well-balanced finite element methods for the shallow water equations
[arXiv] 2026-03-12 | Binary disruption during the early phase of open clusters
[arXiv] 2026-03-12 | On the structure and classification of solutions to certain nonlinear differential equations
[arXiv] 2026-03-12 | Intrinsic Concept Extraction Based on Compositional Interpretability
[arXiv] 2026-03-12 | Disentangled Representation Learning through Unsupervised Symmetry Group Discovery
[arXiv] 2026-03-12 | Continuum Reverberation in Bright Quasars Using NASA/ATLAS
[arXiv] 2026-03-12 | HELM: Hierarchical and Explicit Label Modeling with Graph Learning for Multi-Label Image Classification
[arXiv] 2026-03-12 | Large Language Models for Biomedical Article Classification
[arXiv] 2026-03-12 | Approximate Dynamic Nearest Neighbor Searching in a Polygonal Domain
[arXiv] 2026-03-12 | An Automatic Text Classification Method Based on Hierarchical Taxonomies, Neural Networks and Document Embedding: The NETHIC Tool
[arXiv] 2026-03-12 | ChemFit: A concurrent framework for model parametrization
[arXiv] 2026-03-12 | Controllable Egocentric Video Generation via Occlusion-Aware Sparse 3D Hand Joints
[arXiv] 2026-03-12 | Self-consistent-field method for triaxial differentiated bodies in hydrostatic equilibrium
[arXiv] 2026-03-12 | On the Distribution of Matched Filtering with Continuous Aperture Arrays
[arXiv] 2026-03-12 | Designing A Buildable Optimized Stellarator to Confine Electron-Positron Plasmas
[arXiv] 2026-03-12 | Second order classification for singular Liouville equations with a coefficient function
[arXiv] 2026-03-12 | A Semiparametric Nonlinear Mixed Effects Model with Penalized Splines Using Automatic Differentiation
[arXiv] 2026-03-12 | Melting of thin silicon films: a molecular dynamics study with two machine learning potentials
[arXiv] 2026-03-12 | Linearised versus Nonlinear Estimates of Uncertainty in Full Waveform Inversion
[arXiv] 2026-03-12 | Energy-momentum tensor form factors and spin density distribution in the nucleon calculated in a quantized Skyrme model with vector mesons
[arXiv] 2026-03-12 | In the LLM era, Word Sense Induction remains unsolved
[arXiv] 2026-03-12 | Scalable DNA Ternary Full Adder Enabled by a Competitive Blocking Circuit
[arXiv] 2026-03-12 | RAF: Relativistic Adversarial Feedback For Universal Speech Synthesis
[arXiv] 2026-03-12 | Context-dependent manifold learning: A neuromodulated constrained autoencoder approach
[arXiv] 2026-03-12 | Hankel Determinants from Quadratic Orthogonal Pairs for Hyperelliptic Functions and Their Applications
[arXiv] 2026-03-12 | A technology-oriented mapping of the language and translation industry: Analysing stakeholder values and their potential implication for translation pedagogy
[arXiv] 2026-03-12 | Coupling Tensor Trains with Graph of Convex Sets: Effective Compression, Exploration, and Planning in the C-Space
[arXiv] 2026-03-12 | Non-volatile Multistate Magnetic Switching via Spin-orbit Torque and Intrinsic Anisotropy
[arXiv] 2026-03-12 | Concurrent Prehensile and Nonprehensile Manipulation: A Practical Approach to Multi-Stage Dexterous Tasks
[arXiv] 2026-03-12 | Diversity You Can Actually Measure: A Fast, Model-Free Diversity Metric for Robotics Datasets
[arXiv] 2026-03-12 | MV-SAM3D: Adaptive Multi-View Fusion for Layout-Aware 3D Generation
[arXiv] 2026-03-12 | The magmatic universe revisited: we define ordered pairs, relations, numbers and a special form of Separation
[arXiv] 2026-03-12 | EVATok: Adaptive Length Video Tokenization for Efficient Visual Autoregressive Generation
[arXiv] 2026-03-12 | MM-CondChain: A Programmatically Verified Benchmark for Visually Grounded Deep Compositional Reasoning
[arXiv] 2026-03-12 | OmniStream: Mastering Perception, Reconstruction and Action in Continuous Streams
[arXiv] 2026-03-12 | Video Streaming Thinking: VideoLLMs Can Watch and Think Simultaneously
[arXiv] 2026-03-12 | Quantum Inductance as a Phase-Sensitive Probe of Fermion Parity Switching in Majorana Nanowires
[arXiv] 2026-03-12 | Trust Your Critic: Robust Reward Modeling and Reinforcement Learning for Faithful Image Editing and Generation
[arXiv] 2026-03-12 | Thermalisation as Diffusion in Hilbert Space
[arXiv] 2026-03-12 | Interpreting Contrastive Embeddings in Specific Domains with Fuzzy Rules
[arXiv] 2026-03-12 | HiAP: A Multi-Granular Stochastic Auto-Pruning Framework for Vision Transformers
[arXiv] 2026-03-12 | UniMotion: Self-Supervised Learning for Cross-Domain IMU Motion Recognition
[arXiv] 2026-03-12 | Comparing the $M_{gas}-N_{yso}$ Relation inside a Giant Molecular Cloud
[arXiv] 2026-03-12 | X-ray evidence from NuSTAR for a Mach 3 shock in Merging Galaxy Cluster ZWCL 1856.8
[arXiv] 2026-03-12 | Hawking Radiation from Tunneling in Black Hole Quantum Mechanics
[arXiv] 2026-03-12 | Compiling Temporal Numeric Planning into Discrete PDDL+: Extended Version
[arXiv] 2026-03-12 | Strategic Navigation or Stochastic Search? How Agents and Humans Reason Over Document Collections
[arXiv] 2026-03-12 | BehaviorVLM: Unified Finetuning-Free Behavioral Understanding with Vision-Language Reasoning
[arXiv] 2026-03-12 | Varieties of De Morgan bisemilattices
[arXiv] 2026-03-12 | Simultaneous Multi-Modal Covert Communications: Analysis and Optimization
[arXiv] 2026-03-12 | When do modal definability and preservation theorems transfer to the finite?
[arXiv] 2026-03-12 | Frequency Comb Behavior of Time Crystals in an RF-Driven Dissipative Rydberg System
[arXiv] 2026-03-12 | Observation of Iso-Symmetric Structural and Lifshitz Transitions in Quasi-one-dimensional CrNbSe$_5$
[arXiv] 2026-03-12 | Quantum lower bounds for simulating fluid dynamics
[arXiv] 2026-03-12 | LifeSim: Long-Horizon User Life Simulator for Personalized Assistant Evaluation
[arXiv] 2026-03-12 | Automatic Generation of High-Performance RL Environments
[arXiv] 2026-03-12 | Understanding Disclosure Risk in Differential Privacy with Applications to Noise Calibration and Auditing (Extended Version)
[arXiv] 2026-03-12 | HATS: Hardness-Aware Trajectory Synthesis for GUI Agents
[arXiv] 2026-03-12 | Note on a rigorous derivation of self-consistent double-hybrid functional theory via generalized Kohn-Sham theory and cumulant approximation
[arXiv] 2026-03-12 | Matching Features, Not Tokens: Energy-Based Fine-Tuning of Language Models
[arXiv] 2026-03-12 | CrossEarth-SAR: A SAR-Centric and Billion-Scale Geospatial Foundation Model for Domain Generalizable Semantic Segmentation
[arXiv] 2026-03-12 | Follow the Saliency: Supervised Saliency for Retrieval-augmented Dense Video Captioning
[arXiv] 2026-03-12 | Fractional $p$-caloric functions are Lipschitz
[arXiv] 2026-03-12 | InSpatio-WorldFM: An Open-Source Real-Time Generative Frame Model
[arXiv] 2026-03-12 | INFACT: A Diagnostic Benchmark for Induced Faithfulness and Factuality Hallucinations in Video-LLMs
[arXiv] 2026-03-12 | On the structure of the sandpile identity element on Sierpinski gasket graphs
[arXiv] 2026-03-12 | LaMoGen: Language to Motion Generation Through LLM-Guided Symbolic Inference
[arXiv] 2026-03-12 | An Evolutionary Algorithm with Probabilistic Annealing for Large-scale Sparse Multi-objective Optimization
[IEEE] 2026-3-12 | An Adaptive Method Integrating Land Cover for Homogeneous Pixel Identification: alphaHTCI_supp1-3672127.pdf
[IEEE] 2026-3-12 | Copyright Page
[IEEE] 2026-3-12 | SCC 2025 Copyright Page
[IEEE] 2026-3-12 | SCC 2025 Copyright Page
[IEEE] 2026-3-12 | SCC 2025 Copyright Page
[IEEE] 2026-3-12 | PGA Scheme for MAR Maximization in IRS-assisted UAV NOMA Communication Systems
[IEEE] 2026-3-12 | An RSU-Assisted Trusted and Efficient Task Offloading Strategy for Vehicular Edge Computing
[IEEE] 2026-3-12 | Over-the-Air Transmission Aided Distributed Resource Block Allocation for Wideband Cell-Free Systems
[ACM] 2026-3-12 | Cultivating Connection: A Feasibility Study of Robot-Mediated Plant Care and Emotional Support for Older Adults
[ACM] 2026-3-12 | Understanding the Formation of Human-Robot Rapport to Facilitate Positive Long-Term Human-Robot Interaction
[ACM] 2026-3-12 | Do We Really Need a Robot Here? Exploring Stakeholders’ Voices in Human-Robot Interaction
[ACM] 2026-3-12 | Co-designing a Social Robot for Newcomer Children’s Cultural and Language Learning
[ACM] 2026-3-12 | Ghost in the Machine: Exploring Designed Fear in HRI
[ACM] 2026-3-12 | RelOrb: Relative Orbiting for Teleoperation
[ACM] 2026-3-12 | iSense Beyond: Multi-modal Haptic Guidance and Sensor Fusion for Enhanced Accessibility
[IEEE] 2026-3-12 | Automatic Mapping of AutomationML Files to Ontologies for Graph Queries and Validation
[IEEE] 2026-3-12 | A 6-DOF 3D-Printed Intelligent Robotic Manipulator for Automated Material Sorting (Feb 2026)
[IEEE] 2026-3-12 | An Improved Graph Kolmogorov Arnold Network based on Mixture of Experts and its application in the key variable Prediction of aero-engine casing manufacturing process
[IEEE] 2026-3-12 | AI-Enabled Human Activity Recognition: Bridging Contact-Based and RF-Based Contactless Sensing Paradigms — A Review
[IEEE] 2026-3-12 | Uncertainty-Aware Multimodal Anomaly Detection for Microservice Systems with Active Learning
[IEEE] 2026-3-12 | IEEE Security and Privacy Subscription
[IEEE] 2026-3-12 | SEFANet: Spectrum-Enhanced Feature Aggregation Network for Salient Object Detection in Hyperspectral Images
[IEEE] 2026-3-12 | FEMS-DETR: A Frequency-Enhanced Transformer for Object Detection in Remote Sensing Images
[IEEE] 2026-3-12 | Global Modeling Matters: A Fast, Lightweight and Effective Baseline for Efficient Image Restoration
[IEEE] 2026-3-12 | LearnMat: Semantic-Aware Self-Supervision Fine-Grained Visual Recognition
[IEEE] 2026-3-12 | Revisiting the Adversarial Transferability: Towards a Perspective of Semantic Preservation
[IEEE] 2026-3-12 | <i>Tiga:</i>
                    Autonomous Hybrid Active-Passive Communication for Ambient IoT System
[IEEE] 2026-3-12 | VR-Based Teleoperation Framework: Integration of Haptic Feedback and Singularity Management
[IEEE] 2026-3-12 | On the Efficiency of a Misspecified Contaminated Nonlinear Regression Model: Application to Time-Delay and Doppler Estimation
[IEEE] 2026-3-12 | Control of artificial ecosystems: A model for environment-entity regulation
[IEEE] 2026-3-12 | Real-Time Behavioral and Physiological Monitoring via mmWave Radar
[IEEE] 2026-3-12 | Green Clean Software Sustainability
[IEEE] 2026-3-12 | Tradeoffs in Energy Efficiency for Safety Supervisors for Adaptive Cruise Controllers
[IEEE] 2026-3-12 | A Comparative Finite Element Analysis of Lightweight Sandwich Structures for Packaging Applications
[IEEE] 2026-3-12 | Artificial Intelligence In Cognitive Impairment:Research Landscape and Emerging Fronts in Early Detection and Diagnosis
[IEEE] 2026-3-12 | Ensembled Deep Learning (DL) Methods for Detecting Skin Cancer Using CNN Algorithm with Multi Model
[IEEE] 2026-3-12 | Graph Your Way to Inspiration: Integrating Co-Author Graphs with Retrieval-Augmented Generation for Large Language Model Based Scientific Idea Generation
[IEEE] 2026-3-12 | Enhancing STEM Education Through an Augmented Reality-Integrated Hybrid Learning Model and Learning Management Systems
[IEEE] 2026-3-12 | An Idle-Stroke Underactuated Gripper with Independent Double-Parallelogram Linkages for Pinching and Adaptive Grasping*
[IEEE] 2026-3-12 | Design and Optimization of Multi-Stage WiFi Antenna Arrays at 2.45 GHz: A Comparative Study of Electrical and Radiation Performance
[IEEE] 2026-3-12 | Environment-Aware Channel Measurement and Modeling for Terahertz Monostatic Sensing
[IEEE] 2026-3-12 | A Preconditioned Hessian-Like Proximal Gradient Algorithm for Sparse ML-DOA Estimation
[IEEE] 2026-3-12 | Can Agentic AI Match the Performance of Human Data Scientists?
[IEEE] 2026-3-12 | CAGNet: HVI-based Dual-Path Underwater Image Enhancement
[IEEE] 2026-3-12 | Accelerating Machine Learning using RISC-V Vector Extension in a Manycore Platform
[IEEE] 2026-3-12 | LiC: Low-Cost Cache Replacement Algorithm for All Cache Levels
[IEEE] 2026-3-12 | Air Quality Prediction with Bi-Directional Gated Recurrent Unit (Bi-GRU)
[IEEE] 2026-3-12 | Multi-Rail Flyback Auxiliary Power Supply with 9–70V Input for Bidirectional DC-DC Converter Control
[IEEE] 2026-3-12 | Multi-Modal Latent Diffusion using Information Disentangling Autoencoders
[IEEE] 2026-3-12 | Bipolar Joint Energy: Energy-Based Multi-Label OOD Detection with Bipolar Networks
[IEEE] 2026-3-12 | Variable-Gain RISE Control for Human Upper-Limb Exoskeleton in Passive Rehabilitation
[IEEE] 2026-3-12 | Design and Validation of an Autonomous IoT Collar for Bovine Monitoring in the Bolivian Altiplano
[IEEE] 2026-3-12 | Mapping Research Trends in Extended Reality for Dementia and Cognitive Impairment
[ACM] 2026-3-12 | Towards a Child-Appropriate LLM for Child–Robot Conversation
[ACM] 2026-3-12 | How Neurotypical and Autistic Children Interact Nonverbally with Anthropomorphic Agents in Open-Ended Tasks
[ACM] 2026-3-12 | Designing Intuitive Human–Drone Interfaces for Post‑disaster Response
[IEEE] 2026-3-12 | Cover Page
[IEEE] 2026-3-12 | SCC 2025 Copyright Page
[IEEE] 2026-3-12 | A DC–65-GHz Modulator Driver With 4-V
                    <sub>ppd</sub>
                    Linear Output Swing for 112-GBaud Optical Transceivers in 180-nm SiGe BiCMOS
[IEEE] 2026-3-12 | A 4-Port 1×8 MIMO Antenna Array for 24 GHz Radars with Enhanced Gain and Isolation Using a Decoupling Metamaterial
[IEEE] 2026-3-12 | Phase Drifts and Signal Dispersion in Coaxial Cables
[IEEE] 2026-3-12 | Unlock the Potential of Large Language Models for Predictive Tabular Tasks in Data Science With Table-Specific Pretraining
[IEEE] 2026-3-12 | Optimization Design of Bearing Insulation for Traction Motors of High-Speed Trains under Overvoltage Impulses
[IEEE] 2026-3-12 | ICRNet: Semantic Segmentation of Remote Sensing Images Based on Integrating Global and Local Class Representations
[IEEE] 2026-3-12 | A Multi-Band Spectral Information and Multi-Scale Center-Guided Spatial Information Learning Framework for HSI Few-Shot Classification
[ACM] 2026-3-12 | Operationalizing Meaningful Human Control for Human-Robot Interface Design
[ACM] 2026-3-12 | LLM-Glasses: GenAI-Driven Glasses with Haptic Feedback for Navigation of Visually Impaired People
[ACM] 2026-3-12 | Conversational AI without the Cloud: A Lightweight, Local Dialogue Pipeline for Non-commercial Social Robots
[ACM] 2026-3-12 | Towards Understanding and Optimizing Social Comfort in Human-Robot Navigation
[ACM] 2026-3-12 | Goobo: A Multimodal, Context-Aware Dialogue Platform for Personalized Embodied Character Interaction
[ACM] 2026-3-12 | RBTLR: A Framework for Safe Social Robot Navigation in Novel Human-Centric Environments
[ACM] 2026-3-12 | Show Your Work: Mechanistic Transparency in LLM-Powered Human-Robot Interaction
[ACM] 2026-3-12 | A User Study on the Suitability of Teleoperation Interfaces for Primitive Manipulation Tasks
[ACM] 2026-3-12 | Bad Idea or Good Prediction? Comparing VLM and Human Anticipatory Judgment
[ACM] 2026-3-12 | Beyond the Novelty Effect: Mathematical Frameworks for Sustainable Robot-Assisted Habit Formation
[ACM] 2026-3-12 | A Comparative Assessment of the Social Robots Blossom and Miroka using ASAQ and ASOR
[IEEE] 2026-3-12 | SCC 2025 Copyright Page
[IEEE] 2026-3-12 | SCC 2025 Copyright Page
[IEEE] 2026-3-12 | SCC 2025 Copyright Page
[IEEE] 2026-3-12 | Thermal Dispersive Variation in Quality Factor of Resonances for Broad and Multiband THz Absorber
[IEEE] 2026-3-12 | Redistribution Layer Routing for Fan-Out Wafer-Level Packaging Considering Multiple Advanced Design Rules
[IEEE] 2026-3-12 | Saliency-Aware Adversarial Attacks on Visual Trackers
[IEEE] 2026-3-12 | Surface Stress Characterization and Trends in Thermally Strengthened Photovoltaic Module Glass
[IEEE] 2026-3-12 | DynNet: A Lightweight Distributed Framework for Topology Obfuscation in Dynamic Networks
[IEEE] 2026-3-12 | Energy Management Strategy for Fuel Cell Hybrid Electric Vehicle Based on Driving Pattern Recognition with Fuzzy C-means Clustering
[IEEE] 2026-3-12 | A 134-MHz UGB Capacitorless GaN-Based LDO With Wide Load Range and High-Temperature Stability
[IEEE] 2026-3-12 | A comparative study of low-level jets in different climate regions in China using multi-site Doppler wind lidar observations_supp1-3672972.docx
[IEEE] 2026-3-12 | The True Cost of AI Assistance to Programming of Software
[IEEE] 2026-3-12 | Path Departure Risk Assessment and Hierarchical Longitudinal Control for Autonomous Mining Trucks
[IEEE] 2026-3-12 | Optimizing EEG Signal Quality and Streaming Performance in BCIs Using ADS1299EEG-FE
[IEEE] 2026-3-12 | Credit Risk early warning Research based on Multisource Heterogeneous Data
[IEEE] 2026-3-12 | Evaluating Urban Livability through Aesthetic and Environmental Index: A Spatial Framework for Bandung City
[IEEE] 2026-3-12 | A Comparative Study on Deep Learning Models for Facial Expression Recognition
[IEEE] 2026-3-12 | Financial Transmission Rights–Based Economic Instruments for Congestion Management in Electricity Markets
[IEEE] 2026-3-12 | FairSCOSCA: Fairness At Arterial Signals — Just Around The Corner
[IEEE] 2026-3-12 | Deep Learning-Based Estimation of Li-Ion Battery State of Charge: Comparative Analysis of CNN, LSTM, and GRU Approaches
[IEEE] 2026-3-12 | A Systematic Classification Study for Single-trial EEG-based Target Detection during RSVP Task
[IEEE] 2026-3-12 | AI Enhanced Data Privacy in Retail CRM Systems
[IEEE] 2026-3-12 | Inter-chip Clock Network Synthesis on Passive Interposer of 2.5D Chiplet Considering Transmission Line Effect
[IEEE] 2026-3-12 | IoT and AI-Based Approach for Smart Hydroponic pH Control and Lettuce Disease Detection
[IEEE] 2026-3-12 | Identification and Tracking of Multiple Objects on a Peristaltic Conveyor System
[IEEE] 2026-3-12 | Tree-Structured Parzen Estimator-Based Optimization in Stacking Ensemble Learning with Neural Network Meta-Learner for Heart Disease Prediction
[IEEE] 2026-3-12 | Importance Of Gap Analysis: A Case Study of Webtrust Audit In Government Body Certificate Authority
[IEEE] 2026-3-12 | Strategies for Enhancing the Work Experience of the New Generation Workforce from the Perspective of Positive Psychology
[IEEE] 2026-3-12 | Multimodal Visual and X-Ray Machine Learning Features for Art Authentication - A Case Study in the Analysis of Paintings by Goya
[IEEE] 2026-3-12 | Design and Development of In-Situ Microwave Curing Technology for Construction 3D Printer
[IEEE] 2026-3-12 | Sequential Rotation Feeding Networks for Circularly Polarized Patch Antenna Arrays in the ISM Band
[IEEE] 2026-3-12 | Synchrophasor-Based Monitoring System for Ramp Detection in Photovoltaic Plants
[IEEE] 2026-3-12 | The Impact of Digital Intelligence Technology Application on Online Consumption Behavior of Elderly Consumers in China
[IEEE] 2026-3-12 | UAV-to-Ground Communication Channel Characterization with Frequency Dependency in Built-Up Environments
[IEEE] 2026-3-12 | Outsourcing Selection Optimization Through Neuro-Symbolic AI Approach: Learning Integration and Reasoning for Fair and Efficient Recruitment
[IEEE] 2026-3-12 | Hydraulic Soft Gripper for Human-Safe Manipulation: Design, Modeling, and Validation
[IEEE] 2026-3-12 | Enhancing Robustness of Transformer Networks for Complete Road Geometry Detection under Adverse Conditions
[IEEE] 2026-3-12 | Implementation of a 16:1 Multiplexer and 1:16 Demultiplexer on a Single Chip Using Sky130 PDK and Open-Source EDA Tools for Silicluster
[IEEE] 2026-3-12 | CAMSAP 2025 TOC
[IEEE] 2026-3-12 | ICEET 2025 TOC
[IEEE] 2026-3-12 | SCC 2025 Copyright Page
[IEEE] 2026-3-12 | SCC 2025 Copyright Page
[IEEE] 2026-3-12 | Adversarial Semantic and Label Perturbation Attack for Pedestrian Attribute Recognition
[IEEE] 2026-3-12 | Semi-Negative Contrastive Subclass Discriminative Network for Compositional Zero-shot Learning
[IEEE] 2026-3-12 | Analytical Model of Charge Transfer Potential Barrier Based on Doping Distribution in Pinned Photodiode CMOS Image Sensors
[IEEE] 2026-3-12 | Lag-Llama-based Remaining Useful Life Prediction for Lithium-ion Batteries of Electric Vehicles with Auto-Correlation Analysis
[IEEE] 2026-3-12 | Recurrent Neural Network Based on DNA Strand Displacement Circuits and Its Application in Location Prediction
[IEEE] 2026-3-12 | Signal Compression for Wireless Communication and Sensing: A General Approach Utilizing Pretrained Wireless Foundation Models
[IEEE] 2026-3-12 | Target-Heading-Coordinate-Frame Formation Tracking Control for Fixed-Wing UAVs in 3D Space Under Asymmetric Constraints
[IEEE] 2026-3-12 | Differential Evolution-Based Event-Triggered Observer Design for Adaptive Control of Markov Jump Systems Via Sliding Mode Technique
[IEEE] 2026-3-12 | Synergistic Enhancement of Mechanical and DC Electrical Properties of mPE/IPC HVDC Cable Materials via Dual-Phase Grafting Modification
[IEEE] 2026-3-12 | SCC 2025 Copyright Page
[IEEE] 2026-3-12 | CAIT 2025 TOC
[IEEE] 2026-3-12 | Overdispersion Parameter Estimation For Negative Binomial Optimization For Low-Photon Imaging
[IEEE] 2026-3-12 | Searching Positive-Incentive Noise from Optimal Consensus in Continuous Action Iterated Dilemma
[IEEE] 2026-3-12 | Free-Space Optical Communication With Optical Intelligent Reflecting Surfaces Under Phase Errors
[IEEE] 2026-3-12 | Fractional Parameter-Varying Nonlinear Systems Identification
[IEEE] 2026-3-12 | Partitioned EEG Model for Emotion Recognition and Lightweight Deployment
[IEEE] 2026-3-12 | Single-Operator Cancer Vision Goggles for Quantitative Near-Infrared Fluorescence-Guided Oncologic Surgery
[ACM] 2026-3-12 | Recognizing Robot Readiness: First Encounter Dynamics in Public Saudi Cultural Events
[ACM] 2026-3-12 | Personalizing Robot Delivered Cognitive Neurorehabilitation
[ACM] 2026-3-12 | Charting the Growth of Social-Physical HRI (spHRI): A Systematic Review Pipeline Augmented by Small Language Models
[ACM] 2026-3-12 | The Awareness Attribution Scale: An Italian Validation Study
[ACM] 2026-3-12 | Toward Collaborative Navigation: A Voice-Based Interface for Quadruped Guide Robots
[ACM] 2026-3-12 | Collaborating with Conversational Agents: Perspective Taking, Partner Modelling and the Division of Communicative Labour (Keynote)
[ACM] 2026-3-12 | CLIO: Coordinate User Visual Attention with Audio Narratives for Enhanced Engagement
[ACM] 2026-3-12 | Intent-Aware LSTM-Based Adaptive Guidance for Human–Robot Collaboration
[IEEE] 2026-3-12 | GALC: Guided Amplified Learning With Lipschitz Constraint for Robust Trajectory Generation
[IEEE] 2026-3-12 | Leads-Adaptive Fetal Electrocardiogram Extraction Using Attention-Based BiLSTM_supp1-3672909.xlsx
[IEEE] 2026-3-12 | Wireless AI Evolution: From Statistical Learners to Electromagnetic-Guided Foundation Models
[IEEE] 2026-3-12 | A Zero-overhead Flow for Security Closure
[IEEE] 2026-3-12 | AnalogCoder-Pro: Unifying Analog Circuit Generation and Optimization via Multi-modal LLMs
[IEEE] 2026-3-12 | Reflectance Consistency between MERSI-II and MODIS in Northeast China under varying Conditions
[IEEE] 2026-3-12 | IEEE Journal on Emerging and Selected Topics in Circuits and Systems Publication Information
[IEEE] 2026-3-12 | Cross-Modality Feature Fusion for Forward-Looking Sonar Image Segmentation in Complex Underwater Environments
[IEEE] 2026-3-12 | Scene Graph Knowledge Enhanced Hashing with Contrastive Learning for Image-Text Retrieval
[IEEE] 2026-3-12 | PhET Interactive Simulations Significantly Improve Student Learning Outcomes in Physics Education
[IEEE] 2026-3-12 | Towards Modelling Military Disadvantage in Military Operations
[IEEE] 2026-3-12 | LPGE:Learning Private Graph Embedding by Extracting Sensitive Information
[IEEE] 2026-3-12 | Real-Time Implementation of a Deep Learning-Based System for Road Sign Detection and Classification on Edge Devices
[IEEE] 2026-3-12 | A Near-Infrared Face Liveness Detection Algorithm Fusing Multi-Task Learning and Dual-Scale Models
[IEEE] 2026-3-12 | Conceptualization and Validation of Parent-Child Tourism Motivations in School-Age Children Families: From Education to Nurturance
[IEEE] 2026-3-12 | LiteFL: A Lightweight Privacy-Preserving Federated Learning Framework for Non-IID Distributed Wearable IoT Devices
[IEEE] 2026-3-12 | A Modified U-Net Based Approach for Human Contour Extraction and its Hardware Realization
[IEEE] 2026-3-12 | Optimization of Ciliary Magnetic-Driven Soft Robot Based on Gradient Magnetization
[IEEE] 2026-3-12 | An AI-driven Framework for Screening and Severity Stratification of Obstructive Sleep Apnea from Non-Respiratory Features
[IEEE] 2026-3-12 | Trojan Attacks on Graph Convolution Neural Networks for Circuit Analysis
[IEEE] 2026-3-12 | Management Strategies in Media Communication for Happiness: Exploring the Effects of Audience Interaction, Message Framing, Emotional Conditions, and Emoji Visuals
[IEEE] 2026-3-12 | A Study on the Coupling Coordination Degree of Cultural and Tourism Integration in Jiaxing
[IEEE] 2026-3-12 | Adaptive Cluster-Based Rate Control for Opportunistic Routing in Wireless Mesh Networks
[IEEE] 2026-3-12 | An Edge-Cloud Collaborative Anomaly Detection Method for Rotating Machinery Based on Perceptual Vibration Hashing and Autoencoder
[IEEE] 2026-3-12 | Optimization of Temporal Convolutional Networks Using Harris Hawks Algorithm for Efficient Embedded Speech Recognition
[ACM] 2026-3-12 | Task Domain and Sociability Influence Anthropomorphic Design Preference and Gender Attribution in Robots
[ACM] 2026-3-12 | Neurosymbolic Explanation Selection in Robotics: Combining the Strengths of Planning and Foundation Models for XAI
[ACM] 2026-3-12 | Robots for Communities
[ACM] 2026-3-12 | Nose Knows: A Human-Centered Robotic Air Quality Monitor
[ACM] 2026-3-12 | Methods for Communicating Robot Capabilities and Limitations
[ACM] 2026-3-12 | HighLight: The Pick-Me Robot for Easing Social Awkwardness in Shared Spaces
[ACM] 2026-3-12 | Solution-Focused Embodied Conversational Agent for Older Adults
[ACM] 2026-3-12 | Conversational Force Adaptation for Robotic Massage using Recipient Speech
[ACM] 2026-3-12 | HumanoidVLM: Vision-Language-Guided Impedance Control for Contact-Rich Humanoid Manipulation
[ACM] 2026-3-12 | Engagement Annotation in Human-Robot Dialogue across Audio and Visual Modalities
[ACM] 2026-3-12 | Benchmarking fault-tolerant quantum computing hardware via QLOPS
[IEEE] 2026-3-12 | A Unified Framework for Absolute and Relative Pose Estimation of Spherical Cameras
[IEEE] 2026-3-12 | Adaptive Interference Mitigation in FMCW Radars using 2D AR
[IEEE] 2026-3-12 | From Radar Cardiography to Electrocardiograms: Conditional Diffusion Model Enabled Contactless ECG Monitoring Using mmWave Radar
[IEEE] 2026-3-12 | SoK: Software Defined Networks Security with Machine Learning
[IEEE] 2026-3-12 | A Dynamic Gradient Modulated Barrier Neural Network for Collision Avoidance of Mobile Dual-Manipulator Humanoid Robot
[IEEE] 2026-3-12 | Blockchain-Mediated Forensic Control Plane for Secure Isolation and Investigation of Malware-Infected Devices
[IEEE] 2026-3-12 | Layout-Based Design Approach for Sub-6 GHz RF-SOI LNAs with Enhanced Matching and Noise Performance
[IEEE] 2026-3-12 | Online Convex Optimization-Based Resource Allocation in Dynamic Edge Computing-Enabled Networks with Time-Varying Cost and Constraints
[IEEE] 2026-3-12 | A Fault-Tolerant Strategy for Parallel Inverters in Grid-Connected Power Conversion System
