[2026-05-18 23:01:48] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-05-17
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202605170000+TO+202605172359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ResponseError('too many 503 error responses'))
[ACM] 2026-5-18 | Measuring the Compliance Costs of Exchanging Part 2 Healthcare Claims Data Through Blockchain
[IEEE] 2026-5-18 | Exp-ToolPlan: Contrastive Experience Learning for Similar Tool Selection
[IEEE] 2026-5-18 | Partitioning Areal Density Gain of Shingled Magnetic Recording
[IEEE] 2026-5-18 | Design and Implementation of a Fault Tolerant Self-Healing Multi Train Reservation System
[IEEE] 2026-5-18 | A Review of Integrating AI-driven Optimization Methods with Internet of Things for Improving System Performance: Research Challenges and Future Directions
[IEEE] 2026-5-18 | Generalized
                    <i>H</i>
                    matrix stability for power systems
[IEEE] 2026-5-18 | A Systematic Review of Deep Learning Approaches in Multimodal Emotion Recognition
[IEEE] 2026-5-18 | A Multi-modal Imbalance-Aware Method for Microservice Anomaly Detection
[IEEE] 2026-5-18 | Review for "A Random Forest-based Approach for Estimating Full-band Solar-induced Chlorophyll Fluorescence from Photosystem II in Crops"
[ACM] 2026-5-18 | DeepEye-SQL: A Software-Engineering-Inspired Text-to-SQL Framework
[ACM] 2026-5-18 | Mathematical Foundations of Poisoning Attacks on Linear Regression over Cumulative Distribution Functions
[IEEE] 2026-5-18 | Traffic Congestion Level Prediction using Temporal, Weather, and Event based Features
[IEEE] 2026-5-18 | Adaptive Reinforcment based Edge Federated Learning Framework for Energy-Efficient Smart Buildings
[IEEE] 2026-5-18 | A Generative AI Framework for Privacy-Aware Audience Perception Analysis: Leveraging Large Language Models for Comment Understanding and Content Profiling
[IEEE] 2026-5-18 | CNN Architectures for Osteosarcoma Detection: A Systematic Review and Comparative Performance Analysis
[IEEE] 2026-5-18 | Beyond Sentiment: A Dual-Channel Approach to Emotion and Review Summarization for Recommendation
[IEEE] 2026-5-18 | Device-aware Optimization of Energy-efficient Deep Learning for Edge Deployment
[IEEE] 2026-5-18 | Hybrid Thermal Network Optimization for Sensorless Temperature Monitoring of a PMSM Considering Speed-Dependent Cooling Effects Performable on Digital Signal Processors
[IEEE] 2026-5-18 | Effect of Welding Methods and Electrode Types on Microstructure and Mechanical Properties of AISI 1045 Steel Joint
[IEEE] 2026-5-18 | Hybrid Intrusion Detection System Integrating Decision Tree and Convolutional Neural Network with Adaptive Dynamic Loss Balancing
[IEEE] 2026-5-18 | GAIIS 2026 TOC
[IEEE] 2026-5-18 | Exploiting Formal Verification for the Systematic Discovery of Corner Cases in a Behavior Planner for Automated Driving
[IEEE] 2026-5-18 | Toward AI-Empowered Wireless Position Sensing: An Integrated Framework of Perception, Cognition, Decision, and Learning
[IEEE] 2026-5-18 | Multiclass Sleep Disorder Prediction using Ensemble Learning with Integrated SHAP and Partial Dependence Analysis
[IEEE] 2026-5-18 | A Systematic Review of Brain Tumour Categorization and Severity Identification
[IEEE] 2026-5-18 | Tiny-Dataset Scale-Consistent Diffusion Framework for Single SAR Image Building Height Estimation_supp1-3693803.pdf
[IEEE] 2026-5-18 | Autonomous Pipeline Inspection Using Lightweight Vision-Based UAV Tracking_supp3-3693978.mp4
[IEEE] 2026-5-18 | CLARE: Continual Learning for Vision-Language-Action Models via Autonomous Adapter Routing and Expansion_supp1-3693992.mp4
[IEEE] 2026-5-18 | BurnDC: A Progressive Propagation Framework for Low Coverage Depth Completion_supp1-3693984.mp4
[IEEE] 2026-5-18 | Decentralized Secure Cloud Storage using Blockchain Technology
[IEEE] 2026-5-18 | UAdapt: Uncertainty-Aware Adaptive Graph Node Classification
[IEEE] 2026-5-18 | Research on Real-Time Speech Recognition Model for Aircraft Cockpit Audio
[IEEE] 2026-5-18 | HITL-GAN-RF: A Human-in-the-Loop Data Pipeline for Adaptive Financial Fraud Detection
[IEEE] 2026-5-18 | FDH-CR: Adaptive Feature Purification and Dual-Branch Hierarchical Discriminator for Multitemporal Multi-scale Cloud Removal
[IEEE] 2026-5-18 | TemLo: Temporal-Local Synergy Enhanced RWKV for Audio-Visual Segmentation
[IEEE] 2026-5-18 | HoStB-DVGNN: A Flotation Fault Recognition Method Using Higher Order Spatial–Temporal Block and Dual-Stream Variational GNN
[IEEE] 2026-5-18 | Table of Contents
[IEEE] 2026-5-18 | A Systematic Study of CSI Fingerprint Feature Representations and Deep Learning Models for Indoor Localization
[IEEE] 2026-5-18 | A Partitioned Stator Flux Switching PM Machine with Strongly Coupled Flux Reversal Effect
[IEEE] 2026-5-18 | Proximal Policy Optimization with Predictive and Memory-Aware Battery Management for BEVs Using Hybrid Energy Storage and Battery Health-Oriented Rewards
[IEEE] 2026-5-18 | Accuracy and congestion Improvement in Intelligent Traffic signal Control using YOLOv10-Based object Detection and Q-Learning Compared with Fixed-Time Traffic Light
[IEEE] 2026-5-18 | ParaVul: A Parallel Large Language Model and Retrieval-Augmented Framework for Smart Contract Vulnerability Detection
[ACM] 2026-5-18 | Integrating Bayesian Reasoning and Evolutionary Search for Knowledge-Driven Team Formation
[ACM] 2026-5-18 | Practical LLM-Based Function-Level Automated Program Repair: How Far Are We?
[ACM] 2026-5-18 | GPM: The Gaussian Pancake Mechanism for Planting Undetectable Backdoors in Differential Privacy
[ACM] 2026-5-18 | Dynamic Flat Filter: A Unified Framework for Scalable and Stable Fingerprint-Based Filters
[ACM] 2026-5-18 | Fast Estimation of Pairwise Biharmonic Distance on Graphs
[ACM] 2026-5-18 | ASSS : Adaptive Stratified Sampling for Shapley-like Values
[ACM] 2026-5-18 | Balancing Global and Local: Representative Sampling for Large?Scale Vector Data
[ACM] 2026-5-18 | VecBench: A Controllable Benchmark for Filtered Vector Search: [Experiments &amp; Analysis]
[IEEE] 2026-5-18 | Optimized Green Intelligent Transportation System Using Edge Computing with Multi-objective Metaheuristic Algorithm
[IEEE] 2026-5-18 | P
                    <sup>2</sup>
                    LACBC: Parallel Per-Level Attention with Cross-Branch Consistency for Remote Sensing Object Detection
[IEEE] 2026-5-18 | Two-Stage Multi-Drone Multi-Target Association: Laplacian-Guided Feature Enhancement and SGMM-Based Error Filtering Approach
[IEEE] 2026-5-18 | Learning-Based Hybrid Neural Receiver for 6G-V2X Communications
[IEEE] 2026-5-18 | EffortNet: A Deep Learning Framework for Objective Assessment of Speech Enhancement Technologies Using EEG-Based Alpha Oscillations
[IEEE] 2026-5-18 | Welcome Speech by The Telkom University Purwokerto Campus Director
[IEEE] 2026-5-18 | RCAlign: Revisiting Radar Camera Alignment by Contrastive Learning for 3D Object Detection
[IEEE] 2026-5-18 | Advanced Multi-Scale Vision Transformer with Neural Architecture Search for Thyroid Cancer Diagnosis Using Ultrasound Images
[IEEE] 2026-5-18 | A Systematic Literature Review of Machine Learning Methods to Forecast Chlorophyll-a in Lakes_supp1-3693980.xlsx
[IEEE] 2026-5-18 | ICSEDIS 2026 TOC
[IEEE] 2026-5-18 | Recent Trends in Deep Learning-Driven Tomato Leaf Disease Detection and Severity Analysis
[IEEE] 2026-5-18 | One-Sample-per-Symbol Non-Linear Equalization of Directly Modulated Lasers
[IEEE] 2026-5-18 | Environmental Assessment of Ultralightweight DC-DC Converters for Future eVTOL Aircraft with Hybrid Power Supply
[IEEE] 2026-5-18 | DiffLabel: Robust Pseudo Label Generation for Semi-Supervised Temporal Language Grounding
[IEEE] 2026-5-18 | Learning Multi-Agent Cooperation Via Future Observations Guided Communication Graph
[IEEE] 2026-5-18 | Hyperspectral Image Mixed Noise Removal Based on Sparsity Constraint and Low-Rank Approximation
[IEEE] 2026-5-18 | A Transformer-based Intelligent Framework for Post-Crisis Relief Coordination and Priority-Aware Resource Allocation
[IEEE] 2026-5-18 | Automated Modeling from Medical Guidelines to BPMN Based on Large Language Models
[IEEE] 2026-5-18 | Code-Collaborative Intelligent Query Generation Technology for Complex Relational Data
[IEEE] 2026-5-18 | Design and Implementation of a Hybrid Real-Time File Integrity Monitoring System using Event-Driven Detection and Hash Verification
[IEEE] 2026-5-18 | Towards More Practical Label Inference Attacks against Graph-based Vertical Federated Learning
[IEEE] 2026-5-18 | Memory-Aware External Facelist Calculation: A Data-Parallel Atomic Hash Counting Approach
[IEEE] 2026-5-18 | Corrective Distillation: Mitigating Catastrophic Forgetting in LLM Fine-Tuning via External Correction of Self-Generated Errors
[IEEE] 2026-5-18 | SpoofBuster: Adaptive Attention Transformer for Anti-Spoofing Face Recognition
[IEEE] 2026-5-18 | RTC-DDPM: A Physical-Feature-Guided Radar Tide Data Augmentation Model
[IEEE] 2026-5-18 | QPPG: Quantum-Preconditioned Policy Gradient for Link Adaptation in Rayleigh Fading Channels
[IEEE] 2026-5-18 | ML-based Self-Healing Battery Management System for Smart Rural Renewable Energy Systems
[IEEE] 2026-5-18 | Rule Driven Computational Framework For 3D Printed Multi Drug Polypills
[IEEE] 2026-5-18 | A Real-time Digital Active EMI Filter IC with Functionalities for Both Monitoring and Cancelling Conducted Emissions
[IEEE] 2026-5-18 | Deep Fracture Recognition: Applying VGG-16 on Bone X-Rays
[IEEE] 2026-5-18 | RENI++: A Rotation-Equivariant, Scale-Invariant, Natural Illumination Prior
[IEEE] 2026-5-18 | Decomposed Multi-Modality Fusion: Integrating Frames and Events for Efficient Visuomotor Policies
[IEEE] 2026-5-18 | 2026 International Conference on Generative Artificial Intelligence and Information Security (GAIIS)
[IEEE] 2026-5-18 | Multi-View Graph-Based Code Representation Learning for Vulnerability Detection
[IEEE] 2026-5-18 | Routing and Scheduling of Hybrid Traffic for URLLC Industrial Network Under Timing Analysis_supp1-3691880.pdf
[IEEE] 2026-5-18 | OETIC 2025 Cover Page
[IEEE] 2026-5-18 | Robust Machine Learning Driven Phase Prediction in Novel Refractory High-Entropy Alloys_supp1-3693781.docx
[IEEE] 2026-5-18 | Toward Automatic GI Tract Intervention With a Novel Shape-Aware Robotic Endoscope
[IEEE] 2026-5-18 | Boundary-Aware Multi-Task Lightweight Framework for Automated Kidney Stone Segmentation and Classification in CT Images
[IEEE] 2026-5-18 | GSEA-UAD: A Geometric Subspace–Enhanced Autoencoder for Unknown Sensor Attack Detection in Autonomous Unmanned Vehicles
[IEEE] 2026-5-18 | Loss-Tolerant RDMA Network over Commodity Devices
[IEEE] 2026-5-18 | Classroom Behavior Detection Method Based on KMU-YOLO11n
[IEEE] 2026-5-18 | Adaptive Reinforcement Learning Framework for Multi-Level Crowd Density Classification in Pedestrian Surveillance Datasets
[IEEE] 2026-5-18 | Copyright and Reprint Permission
[IEEE] 2026-5-18 | Secure and Efficient Data Synchronization for Digital Cousins in Edge–Cloud Environments
[IEEE] 2026-5-18 | Speed-Robust Feature Learning and Minor-Class Generation for Imbalanced Variable-Speed Bearing Fault Diagnosis
[IEEE] 2026-5-18 | ShelfNet: Dynamic Shelf-Life Modeling for Fruits and Vegetables using LSTM and IoT Sensors
[IEEE] 2026-5-18 | Lightweight YOLOv5 with Wavelet Convolution and Attention for Waste Detection
[IEEE] 2026-5-18 | Deep Residual Multiscale Hyper-Node Graph Networks for Adaptive IoT Cybersecurity
[IEEE] 2026-5-18 | Design of Permanent Magnet Linear Synchronous Motor With PCB Windings
[IEEE] 2026-5-18 | E-Navi: Environmental-Adaptive Navigation for UAVs on Resource-Constrained Platforms
[IEEE] 2026-5-18 | Energy Efficiency AI Models Through Quantization and Lightweight Architecture Design
[IEEE] 2026-5-18 | Adaptive Rhythm Control Optimization via Multi-Source Keyboard Performance Data Fusion for Intelligent Music Production
[ACM] 2026-5-18 | Detecting Join Bugs in Database Engines via Join Implication Reasoning
[ACM] 2026-5-18 | BEACON: Budget-Aware Entity Matching Across Domains
[ACM] 2026-5-18 | LSHAlign: All-Pair Near-Duplicate Text Alignment via Locality-Sensitive Hashing
[ACM] 2026-5-18 | <scp>SmartRabbit</scp>
                    : An Interactive Query Processor
[ACM] 2026-5-18 | L3: A GPU-Native Co-Designed Data Format for Learned Lossless Lightweight Compression
[IEEE] 2026-5-18 | Harmonic Electromagnetic Neural Networks for Task-Oriented Semantic Communications
[IEEE] 2026-5-18 | Dynamic Model of Intentional Topic Propagation Control Based on Micro-Emotion Guidance
[IEEE] 2026-5-18 | Unbalanced Ternary Full Adder Architecture in CNTFET Technology: Design and Application
[IEEE] 2026-5-18 | SEED: Structure-Entropy and DCT Enhanced Descriptor for Robust 4D Radar Place Recognition_supp1-3693934.mp4
[IEEE] 2026-5-18 | Enhancing Rotated Object Detection in Remote Sensing with a Parallel Hybrid Attention Mechanism
[IEEE] 2026-5-18 | DeepVault: An NTRU-Based Data Hiding Scheme for Securing Underwater Acoustic Sensor Networks
[IEEE] 2026-5-18 | Benchmarking Lightweight YOLO Architectures for Real-Time Eggshell Defect Detection Toward Augmented-Reality Inspection in Poultry Supply Chains
[ACM] 2026-5-18 | Serving Hybrid LLM Loads with SLO Guarantees Using CPU-GPU Attention Piggybacking
[ACM] 2026-5-18 | GoodTP: An Effective Data Selection Framework for Enhancing Trajectory Similarity Learning via Monte Carlo Tree Search
[ACM] 2026-5-18 | Finding Missed Optimizations in DBMSs through Unbalanced Short-circuit Query Construction
[ACM] 2026-5-18 | Sublime: Sublinear Error &amp; Space for Unbounded Skewed Streams
[IEEE] 2026-5-18 | Cryptography of Radiology Images for PACS system using DWT and Advanced Encryption standard with Swarm Intelligence based Optimization
[IEEE] 2026-5-18 | Timely reliability evaluation and optimization of wireless sensor networks considering channel capacity randomness and energy depletion
[IEEE] 2026-5-18 | Numerical investigation of plated and disc blower performance and its optimization for portable computing device applications
[IEEE] 2026-5-18 | DFF-Net: A Dual-Branch Feature Fusion Network for River Ice Mapping via the Fusion of Microwave and Optical Imagery
[IEEE] 2026-5-18 | Augmenting Human Dance Performance With a Robot Arm: An Incremental Dynamic Mapping Method
[IEEE] 2026-5-18 | MigrRDMA: Enabling RDMA Live Migration in the Software
[IEEE] 2026-5-18 | Using the Schur Product to Solve the Code Equivalence Problem
[IEEE] 2026-5-18 | Lightweight Neural Network Implementation for Vehicle Detection
[IEEE] 2026-5-18 | HandInsight: Reinforcement Learning for Generative Hand Anomaly Localization
[IEEE] 2026-5-18 | Application Research of Machine Learning and Deep Learning
[IEEE] 2026-5-18 | A Comprehensive Review of Graph-based Hybrid Deep Learning Methods for Robust Epileptic Seizure Detection
[IEEE] 2026-5-18 | Transformer-based Multimodal Framework for Real-Time Disaster Tweet Classification and Misinformation Detection
[IEEE] 2026-5-18 | Preliminary Study on 3D Visualization of Marine Parcels for Marine Cadastre Implementation in Sarawak
[IEEE] 2026-5-18 | Attendance Management using Deep Face Detection and Recognition
[IEEE] 2026-5-18 | Statistical-mechanical analysis of adaptive filter with dead-zone nonlinearity
[IEEE] 2026-5-18 | Phase Noise Impact Analysis on Sub-THz 6G Integrated Sensing and Communication (ISAC) Systems at 240 GHz
[IEEE] 2026-5-18 | Design and Implementation of an AI-Powered Smart Railway Gate Control System using Image Processing
[IEEE] 2026-5-18 | Speed Sensor-based Predictive and Fast Secondary Control for Stable Dynamic Wireless Power Transfer in EV Charging Systems
[IEEE] 2026-5-18 | Adaptive Micro-sleep Scheduling for Battery less IoT Sensors using Energy-Harvesting-Aware Reinforcement Learning
[ACM] 2026-5-18 | HotHash: Hotness-Aware Consistent Hashing for Cloud Databases
[ACM] 2026-5-18 | An Efficient Streaming Algorithm for Approximating Graphlet Distributions
[ACM] 2026-5-18 | PJsim: Towards Precise and Scalable Graph Similarity
[ACM] 2026-5-18 | CoDec: Prefix-Shared Decoding Kernel for LLMs
[IEEE] 2026-5-18 | Towards an Intelligent Terminology Assistant: A Framework Integrating Small Language Model with Graph RAG
[IEEE] 2026-5-18 | AI-Driven Continuous Authentication for Strengthening Security and Scalable Analytics in IoT-based Digital Institutions
[IEEE] 2026-5-18 | Lightweight and Hybrid CNNs for Effective Cloud Detection from Satellite Images
[IEEE] 2026-5-18 | Configuration-Aware Automated Design of Single-Stage BJT Amplifiers using Supervised Regression
[IEEE] 2026-5-18 | Deep Learning-based Framework for Social Media Mining and Sentiment Analysis
[IEEE] 2026-5-18 | Hand2Voice: Increasing Human Interaction using Gesture and Voice Translation
[IEEE] 2026-5-18 | DiffHash: Text-Guided Targeted Attack via Diffusion Models against Deep Hashing Image Retrieval
[IEEE] 2026-5-18 | NB-IoT based Real-Time Manhole Monitoring System with Trash Removal and Automatic Gas Exhaust Mechanism
[IEEE] 2026-5-18 | A Time-Decay-Based Recommendation Algorithm for Vulnerability Fixers
[IEEE] 2026-5-18 | ML-based Abstract Power Modeling for Embedded System Processors
[IEEE] 2026-5-18 | Learning Distributional Differences in High-Dimensional Seismic Data using Modified Variational Autoencoders
[IEEE] 2026-5-18 | Prior Based Latent Denoising Diffusion Learning for Weak Seismic Signal Reconstruction
[IEEE] 2026-5-18 | Hybrid Frame-Enhanced LiDAR/GNSS/IMU Fusion for Accurate and Robust Mapping in Mixed Traffic Environments
[IEEE] 2026-5-18 | Influence of &amp;#x03BC;m-level profile slopes on vacuum DC flashover: a model guided design optimization_supp1-3691149.docx
[IEEE] 2026-5-18 | RAGExplorer: A Visual Analytics System for the Comparative Diagnosis of RAG Systems
[IEEE] 2026-5-18 | Conference Committees
[IEEE] 2026-5-18 | DCHPC 2026 Cover Page
[IEEE] 2026-5-18 | Camera-Radar Data Based Vision Language Model for Automotive Driving Scene Description
[IEEE] 2026-5-18 | Design and Control of Centimeter-Scale Reconfigurable Aquatic Modular Robots_supp1-3693985.mp4
[IEEE] 2026-5-18 | Low-speed Sensorless Control Strategy for Switched Reluctance Motors Based on Reluctance Characteristic Position Detection
[IEEE] 2026-5-18 | Resonance based Object Sensing System for Soft Robotic Skin in Human Cooperative Robots
[ACM] 2026-5-18 | Acyclic Graph Pattern Counting under Local Differential Privacy
[ACM] 2026-5-18 | EPSC: Testing Database Management Systems via Equivalent Prepared Statement Construction
[ACM] 2026-5-18 | FLEA: Frequency-based Lossless Encoding Algorithm for Periodic Time Series
[ACM] 2026-5-18 | CoShap: A Scalable Coalition Growth Approach to Shapley Value Approximation
[IEEE] 2026-5-18 | Response Analysis of the Darlington Transistor Amplification Mode under Transient Electrical Stress
[IEEE] 2026-5-18 | Adaptive Channel-Shuffled Deep Learning for Hormone-Conditioned Ovarian Ultrasound Analysis
[IEEE] 2026-5-18 | Global vs. Regional: A Comparative Measurement of Token Efficiency in State-of-the-Art Large Language Models
[IEEE] 2026-5-18 | Watermarking Deep Neural Networks with Invisible Trigger Pattern and Low-weight Masking Strategy
[IEEE] 2026-5-18 | CAFF-Net: A Cross-Attention Feature Fusion Network for Robust Multi-Type Brain Tumor Classification
[IEEE] 2026-5-18 | Channels with Input-Correlated Synchronization Errors
[IEEE] 2026-5-18 | An Adaptive Hybrid Framework for Complex Indoor Scene Analysis and Object Recognition
[IEEE] 2026-5-18 | GAIIS 2026 Content Announcement Page
[IEEE] 2026-5-18 | IoT Enabled Solar Powered Smart Watercraft for Automated River Waste Collection and Sustainable Transportation
[IEEE] 2026-5-18 | Performance Evaluation of High-Voltage Pulsed Power Modulator for Variable Pressure and Gap of DBD Plasma Load
[IEEE] 2026-5-18 | CFD-Based Analysis of Submarine Drag with Vertical Foreplane Placement Variation
[IEEE] 2026-5-18 | Welcome Remark by Chair of OESTEMS Joint Chapter
[IEEE] 2026-5-18 | TensExaMig: A Topology- and Interaction-Aware Framework for Scalable Process Migration in Distributed Exascale Computing Systems
[IEEE] 2026-5-18 | Autonomous Weed Detection and Removal System using CNN and Python-Controlled Embedded Platform
[IEEE] 2026-5-18 | DSLA: An Energy-Efficient Dual-Sparsity LLM Accelerator With HiMix-BFP
[IEEE] 2026-5-18 | Reconstruction Codes for Deletions and Insertions: Connection, Distinction, and Construction
[IEEE] 2026-5-18 | General method for the ultralow-loss and compact adiabatic mode evolutions on photonic chips
[IEEE] 2026-5-18 | Uncertainty-Aware Fraud Detection Using Hybrid Transformer with Gated Token Mixing and Conformal Risk Control
[IEEE] 2026-5-18 | Real-Time Multimodal AI-Based Human Detection and Localization for Maritime Search and Rescue Using LiDAR and Thermal Imaging
[IEEE] 2026-5-18 | Deep Semantic Segmentation with Combined Focal-Dice Loss for Multi-Class Land Cover Classification: A Comprehensive U-Net Evaluation
[IEEE] 2026-5-18 | How2AIHeap: Construct An Agent to Analyze Heap Exploit and Recognize Exploit Pattern
[IEEE] 2026-5-18 | Perfect Privacy for Discriminator-Based Byzantine-Resilient Federated Learning
[IEEE] 2026-5-18 | SPA: Stable and Precise Alignment for Efficient Cross-Domain Palmprint Recognition
[IEEE] 2026-5-18 | DGC-TAMNet: A Dynamic Graph-Convolutional Transformer Framework for Imbalanced Network Traffic Anomaly Detection
[IEEE] 2026-5-18 | Multilayered Magnetic Recording Media by Flip-Disk Bonding
[IEEE] 2026-5-18 | An Intelligent Time-Series Forecasting Approach for Power Consumption using ML and DL Techniques
[IEEE] 2026-5-18 | Intelligent IoT-Enabled Battery Management System for Electric Vehicles
[IEEE] 2026-5-18 | A High-Linearity Shunt-Based In-Line Current Sensor With Self-Heating Compensation and 14.4 V 2 MHz PWM Rejection
[ACM] 2026-5-18 | Explorative Curriculum Learning for Strongly Correlated Electron Systems
[ACM] 2026-5-18 | A Survey of the First TinyML@ICCAD Contest for Ventricular Arrhythmia Detection by Artificial Intelligence on Low-power Microprocessor
[ACM] 2026-5-18 | Interpretable Attribute Discretization
[ACM] 2026-5-18 | Towards Selecting Informative Alternative Relational Query Plans for Database Education
[ACM] 2026-5-18 | GPS: Revisiting the Data Layout for Disk-based High-Dimensional Vector Search
[ACM] 2026-5-18 | Automating Database-Native Function Code Synthesis with LLMs
[IEEE] 2026-5-18 | AI-Enabled Vocabulary Learning with Adaptive Scheduling and Chatbot Practice: toward Lexical Network Aware Modeling
[IEEE] 2026-5-18 | Towards Trustworthy Digital Twins: Verifiable Simulation via Recursive Zero-Knowledge Proofs
[IEEE] 2026-5-18 | Carelink-A: A Transformer-based Intelligent Assistive Communication and Safety Framework for Differently Abled Individuals
[IEEE] 2026-5-18 | Power Quality Assessment of Microgrid using Shunt Active Power Filter
[IEEE] 2026-5-18 | AI-Enabled Skin Lesion Recognition for Multi-Insect Bite Diagnosis with Integrated Severity Analysis and First-Aid Guidance
[IEEE] 2026-5-18 | Author Index
[IEEE] 2026-5-18 | Circularly Polarized Wearable IIoT Antenna for ISM Band
[IEEE] 2026-5-18 | Autonomous Pipeline Inspection Using Lightweight Vision-Based UAV Tracking_supp1-3693978.mp4
[IEEE] 2026-5-18 | Axial-Relation Guided Fusion State Space Model for Optical-Elevation Sensing Image Segmentation
[IEEE] 2026-5-18 | Vision based Road Damage and Speed Breaker Detection for Municipal Complaint System
[IEEE] 2026-5-18 | Text Mining and Machine Learning for Workplace Accident Severity Classification in Industry 4.0
[IEEE] 2026-5-18 | A Lightweight Face Detection Framework Based on ShuffleNet and Coordinate Attention
[IEEE] 2026-5-18 | A multi-agent collaboration framework for scene understanding and work order generation in smart farms
[IEEE] 2026-5-18 | Hierarchical Deformation Planning and Neural Tracking for DLOs in Constrained Environments_supp1-3688805.mp4
[IEEE] 2026-5-18 | SF-QC: Explore the Selection Bias of Large Language Models in Zero-Shot Out-of-Distribution Intent Detection
[IEEE] 2026-5-18 | Unified Semantic Alignment and Cross-Graph Fusion Model for Multimodal Named Entity Recognition in Social Media
[IEEE] 2026-5-18 | LSTM-based Event-Driven Cyber Threat Detection Networks Deep Learning with CICIDS 2018
[IEEE] 2026-5-18 | Megahertz Soft-Switching Wireless Power Transfer for Capsule Robots Under Dynamic Position and Orientation Variations_supp1-3693630.avi
[IEEE] 2026-5-18 | Propelling DNA-Based Archival Storage with an Algorithmic Mindset
[IEEE] 2026-5-18 | Micromagnetic Simulation Method Incorporating Scaled Magnetostatic Structures: A Case Study on Demagnetization Behavior in Halbach Arrays
[IEEE] 2026-5-18 | Stateless packet ordering function with end-to-end delay guarantee and jitter control for deterministic networking
[IEEE] 2026-5-18 | Welcome Speech by Conference Chair
[IEEE] 2026-5-18 | AdaS-Net: Adaptive Structure-aware Network for Camouflaged Object Detection
[IEEE] 2026-5-18 | Accurate Impairment Modeling and PCS-Based Cross-Layer Optimization for Throughput Enhancement in C+L-Band Optical Networks
[IEEE] 2026-5-18 | Quantum Clock Synchronization Networks: A Survey
[ACM] 2026-5-18 | Shielding PII to Prevent Re-identification and Preserve Utility
[ACM] 2026-5-18 | Prism: Private Relational Data Synthesis with Language Models
[ACM] 2026-5-18 | Poisson Sampling over Acyclic Joins
[IEEE] 2026-5-18 | Evaluating the Impact of Active Wire Fence Placement on Remote Power Side-Channel Attacks in Multi-Tenant FPGAs
[IEEE] 2026-5-18 | Voice-Controlled Robotic Arm for a Physically Challenged Person
[IEEE] 2026-5-18 | Battery Energy Storage Based Wide Area Damping Controller to Mitigate Small Signal Oscillations
[IEEE] 2026-5-18 | Interference Management in ISAC: A Synergistic TSTAR-RIS and RSMA Co-Design
[IEEE] 2026-5-18 | SFID: An Azimuthal Structure-Guided Robust and Adaptive Interference Detector for SAR Imagery
[IEEE] 2026-5-18 | Subarray-Based Victim-Centric Per-Row Counting for Mitigating RowHammer
[IEEE] 2026-5-18 | Real-Time Machine Learning Framework for Predicting Urban Air Quality using Multi-Source Environmental Sensor Data
[IEEE] 2026-5-18 | Research on Automatic Generation of Ophthalmic Medical Records Based on Large Language Models
[IEEE] 2026-5-18 | Physics-guided Latent Diffusion Model for Intensity- and Extremity-aware VIL Nowcasting
[IEEE] 2026-5-18 | Deep Learning–based Intelligent Traffic and Road Safety Monitoring System
[IEEE] 2026-5-18 | Machine Learning Enabled Movement Pattern Recognition and Monitoring Using a Pomegranate Membrane Based Sensor
[IEEE] 2026-5-18 | Learning One-Step Inverse for Performance Improvement of Nonlinear Control Systems: Application to Quadrotor Control
[IEEE] 2026-5-18 | Lateral and Longitudinal Position Estimation and Control for Dynamic WPT Using Receiver Current and Vehicle Dynamics Information
[IEEE] 2026-5-18 | Event-Driven Restoration of Interconnected Distribution Systems with R-SOPs Adapting to Continuous Disasters and Uncertainties
[IEEE] 2026-5-18 | Characterization of Sub-Wavelength Spherical Particles by Electromagnetic Scattering
[IEEE] 2026-5-18 | Multi-label classification of medical images based on multi-scale feature fusion
[IEEE] 2026-5-18 | Blockchain-driven Freshness-keeping Efforts in Community Group-buying Platforms
[IEEE] 2026-5-18 | Insider Log Poisoning Attack on Enterprise SIEM Pipeline via Compromised Aggregation Database
[IEEE] 2026-5-18 | Personalized Sleep Pattern AI Coach: IoT Enabled
[IEEE] 2026-5-18 | Static Label Graph Augmented Multi-modal Multi-label Tabular Classification Method
[IEEE] 2026-5-18 | A CNN-based Path Loss Prediction Scheme Assisted by Satellite Imagery
[IEEE] 2026-5-18 | Complex Task Planning for Large Language Models via Text-Code Collaborative Reasoning
[IEEE] 2026-5-18 | AQUO Feature-Driven Machine Learning Prediction for Far-Field Ship Radiated Noise
[IEEE] 2026-5-18 | Implement Digital Longitudinal Monitoring for Intelligent Optical Networks
[IEEE] 2026-5-18 | Research on a Lightweight Key Management Mechanism for ADS B Systems
[IEEE] 2026-5-18 | UG-HDR: Uncertainty-Guided HDR Imaging under Large Motion and Extreme Exposure
[IEEE] 2026-5-18 | Gridless DoA Estimation in Semi-Passive IRS-Assisted Sensing via Atomic Norm Minimization and an Accelerated Proximal Gradient Method
[IEEE] 2026-5-18 | An Electromagnetic Coupling Model of Faraday Shields in High-Frequency Transformers
[IEEE] 2026-5-18 | A Novel Dual-Module Iterative Residual Decision Detection for MIMO-OTFS Systems
[IEEE] 2026-5-18 | IDGM-DD: Interactive Decision-Making Model for Autonomous Vehicles Integrating Dynamic Game Theory and Driving Tendency
