[2026-09-01 23:49:28] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-08-31
正在获取论文...
[arXiv] 2026-08-31 | MURANO: Design, Run, and Reproduce Mechanistic Interpretability Experiments as Composable Pipelines
[arXiv] 2026-08-31 | Controlling Refusal Behavior of LLMs via Stiefel-Constrained Rotation Steering
[arXiv] 2026-08-31 | Autonomously Acquiring Robot Manipulation Skills with Language-Driven Quality-Diversity
[arXiv] 2026-08-31 | Particle-Mediated Tuning of Defect Stability in Lamellar Block Copolymer Systems
[arXiv] 2026-08-31 | Sparse Competition during Training For the Emergence of Specialized Modules
[arXiv] 2026-08-31 | CoJEPA: Combining Contrastive Learning and JEPA for Global-Local Music Representations
[arXiv] 2026-08-31 | B-Frames, B-Riesz basis, and Their tensor products
[arXiv] 2026-08-31 | Higher genus Cherry flows and full families of GIETs
[arXiv] 2026-08-31 | LOCI: A Locator-Critic with Refinement Loop
[arXiv] 2026-08-31 | Viable Pool Sizing for On-Chain FX Liquidity: Amplification, Capital, and Resilience
[arXiv] 2026-08-31 | One Policy Is Enough: Single-Agent Reinforcement Learning Outperforms Tree Search for Chemistry Tool Learning
[arXiv] 2026-08-31 | Audio-Driven Adversarial Defense for 3D Talking Face Generation with totally Visual Fidelity Preservation
[arXiv] 2026-08-31 | Finite Element Model Updating-based Load Rating of Bridges with Incomplete As-Built Information
[arXiv] 2026-08-31 | Evidence, Logic, and Compliance: Multi-Agent Structured Graph Reasoning with Expert Arbitration for Medical Referral
[arXiv] 2026-08-31 | Medium effect on spin alignment of strange and charm vector mesons
[arXiv] 2026-08-31 | Counting solutions to quadratic forms in eight prime variables of off-diagonal rank $3$
[arXiv] 2026-08-31 | Quantum Dot Colloidosomes as Triggerable Microlasers
[arXiv] 2026-08-31 | Test or Run? Scheduling Jobs of Unknown Length
[arXiv] 2026-08-31 | ECGQuest: Benchmarking and Fine-Tuning Language Models for Electrocardiography
[arXiv] 2026-08-31 | Evaluating and Mitigating Anti-LGBTQ Biases in German and Multilingual Language Models
[arXiv] 2026-08-31 | VCAR: Training-Free 3DGS Segmentation via View Completeness and Axis-Aware Boundary Refinement
[arXiv] 2026-08-31 | Predicting Residential Rents in Dakar Using Machine Learning
[arXiv] 2026-08-31 | TAMI: Temporally Aligned, Missingness-Aware, and Interpretable Multimodal Fusion for Mental Health Assessment in Older Adults with Mild Cognitive Impairment
[arXiv] 2026-08-31 | An Almgren-type formula for planar $p$-harmonic functions
[arXiv] 2026-08-31 | Thesis Proposal: Toward a Human-Centered and Perspective-Aware Framework for Reproducible ML Evaluation and AI Alignment
[arXiv] 2026-08-31 | HSRM: Hidden-State Reward Models for Test-Time Verification
[arXiv] 2026-08-31 | Physical Adversarial Examples for Person Detectors in Thermal Images Based on 3D Modeling
[arXiv] 2026-08-31 | Vocal Music under Phoneme-Conditional Analysis
[arXiv] 2026-08-31 | Computing Equilibria in Simulation-Based Insurance Markets with Discontinuous Demand
[arXiv] 2026-08-31 | Uncertainty-Aware End-to-End AI Weather Forecasting: Disentangling Observation and Model Contributions
[arXiv] 2026-08-31 | Ancient cylindrical flows with fast or slow convergence
[arXiv] 2026-08-31 | SkillZip Pro: Execution-Aware Dynamic Compression of Progressively Loaded Skills for Self-Evolving Agents
[arXiv] 2026-08-31 | Radio measurements of air showers with the IceCube-Gen2 surface prototype station at the Pierre Auger Observatory
[arXiv] 2026-08-31 | Inhomogeneous nonlinear Schrödinger equation in Fourier-Lebesgue and modulation spaces
[arXiv] 2026-08-31 | Learning to infer and manipulate through distributed whole-arm interaction in a soft robot
[arXiv] 2026-08-31 | A consistent, physical, and analytical model for CMB observables of reionisation I. Derivation, constraining power, and detectability of the auto-spectra
[arXiv] 2026-08-31 | TDDM-Melatt: A Decoupled Memory and Diffusion Framework for Generalizable Encrypted Traffic Classification
[arXiv] 2026-08-31 | Dimensions of surface repellers and attractors of non-linear planar IFSs
[arXiv] 2026-08-31 | Functional Degeneracy in Neural Networks: Measurement and Pruning
[arXiv] 2026-08-31 | Endpoint Energy Atoms Force Local Pressure Concentration in Three-Dimensional Navier-Stokes Flow
[arXiv] 2026-08-31 | A Phased Workflow for Operating LLM-Based Coding Agents
[arXiv] 2026-08-31 | Learning Dynamics of Logits Debiasing for Long-Tailed Semi-Supervised Learning
[arXiv] 2026-08-31 | Liquid Gated Attention
[arXiv] 2026-08-31 | Inferring Value Criteria from Ordinal Preferences: An Iterative In-Context Learning Framework for Music Generation
[arXiv] 2026-08-31 | Efficient primal--dual splitting methods for a Poisson-constrained JKO scheme for Poisson-Nernst-Planck models
[arXiv] 2026-08-31 | Can Video World Models Track Unobserved World States?
[arXiv] 2026-08-31 | CANVAS: Consistency-Aware Navigation via Visual Adaptive Sampling for Long-Context Text-to-SVG Generation
[arXiv] 2026-08-31 | Small-x TMD distributions: JIMWLK evolution and the Gaussian truncation
[arXiv] 2026-08-31 | Learning Materials Properties from Scarce Labels and Unlabeled Crystals
[arXiv] 2026-08-31 | CoMPASS: Collaborative Molecular Property Prediction via Adaptive Small-Large Model Synergy
[arXiv] 2026-08-31 | Deterministic Minimum-Output-Entropy Nonadditivity via Haagerup's Inequality and Near-Free Permutation Representations
[arXiv] 2026-08-31 | Selection-Aware Stress Testing for Interactive Agents
[arXiv] 2026-08-31 | Coexisting chaos and order in micro-textured elastic flows
[arXiv] 2026-08-31 | Modular-Annihilator Parent Hamiltonians for Purified Gibbs States: Spectral Design and Controlled Approximation
[arXiv] 2026-08-31 | When Models Hear What They Expect: Diagnosing Prosodic Heuristics in Multimodal Sarcasm Detection
[arXiv] 2026-08-31 | Cycle-Structure Generating Functions for Special Breakpoint Graphs
[arXiv] 2026-08-31 | Cosmic variance and ergodicity in finite systems with correlations
[arXiv] 2026-08-31 | Real-space overlap is not enough: ambiguity in nanobeam iterative ptychography
[arXiv] 2026-08-31 | Metrological quantum-to-classical crossover in the volume of a noisy quasiperiodic lattice
[arXiv] 2026-08-31 | TSExplorer: An interactive data annotation and exploration tool for time-series data
[arXiv] 2026-08-31 | Generalised Symmetries, Anomalies, and Maximal Branches of 3d Chern-Simons Matter Theories
[arXiv] 2026-08-31 | Degenerations of elliptic quartics and K-moduli of Fano threefolds
[arXiv] 2026-08-31 | Chiral Color Ice: Exact Local Handedness Constraints and Möbius Zero Modes in Frustrated Magnets
[arXiv] 2026-08-31 | Entanglement-enabled Criticality in One-dimensional Quantum Contact Process
[arXiv] 2026-08-31 | Towards Operator-Empowered Vulnerability Hotfixing for 5G Radio Access Networks
[arXiv] 2026-08-31 | Obstructions to the full Hao-Ng isomorphism
[arXiv] 2026-08-31 | Developer Attitudes and Practices Towards Optimizing Software Energy Consumption
[arXiv] 2026-08-31 | FaceSnap: Real-Time Personalized Lightstage Facial Performance Capture
[arXiv] 2026-08-31 | Size-Independent Robustness in Multipartite Bell Self-Testing
[arXiv] 2026-08-31 | Conservation Laws with Discontinuous Flux: A First Application to Traffic Flow
[arXiv] 2026-08-31 | Mass-gap functional determinant approach for mobile Fermi polarons
[arXiv] 2026-08-31 | Feasibility of Capillary-Driven Orbital Liquid Mirror Telescopes
[arXiv] 2026-08-31 | First-principle predictions of fragmentation functions via quantum computing
[arXiv] 2026-08-31 | SpiderLS: Leveraging Full ZX Reduction for Lattice Surgery Compilation
[arXiv] 2026-08-31 | OpenMUSTANC (MUltiple Scattering Theory At Nanoplasmonic Cavities): A MATLAB toolbox for the simulation of Plasmonic Sphere Aggregates
[arXiv] 2026-08-31 | Personas Differ from Native-Language Generation: Language Pathways Shape LLM Interpersonal Advice
[arXiv] 2026-08-31 | Quantum Block Turbo Codes
[arXiv] 2026-08-31 | DP-VOXLET: Provable Speaker Anonymization for Disentangled Speech Representations
[arXiv] 2026-08-31 | InfraOcc: An Infrastructure Occupancy Benchmark with Static-to-Dynamic Reasoning
[arXiv] 2026-08-31 | APT: Anchor-aligned Perturbations for Tamper Localization in Fully Regenerated Images
[arXiv] 2026-08-31 | Dimensionality-induced critical phase transition in stochastic Lotka-Volterra equation: From statistical averaging to systemic tipping point
[arXiv] 2026-08-31 | PyKEEN-NSX: A Modular Framework for Static, Dynamic and Schema-Aware Negative Sampling in PyKEEN
[arXiv] 2026-08-31 | Emergence and suppression of phonon vortices in two-dimensional crystals: Interplay of lattice symmetry, heavy impurities, and shear
[arXiv] 2026-08-31 | Predictive wavelength tailoring of uniform GaSb-based quantum dots for emission at 1.55 um
[arXiv] 2026-08-31 | Revisiting Fazly-Wei-Xu pointwise estimates for the fourth-order Hénon equation via Bernstein's technique
[arXiv] 2026-08-31 | Hidden Threat in Synthetic Data: Covert Targeted Bias Injection through Benign Text
[arXiv] 2026-08-31 | AQ3D: Adaptive Query Transformer for 3D Instance Segmentation
[arXiv] 2026-08-31 | TaxCE : A Framework for Automated Taxonomy Construction and Evaluation at Scale
[arXiv] 2026-08-31 | A method for global minimization of nonconvex quadratic functions
[arXiv] 2026-08-31 | Universal ordinary differential equations and the parameterization of warm-rain processes
[arXiv] 2026-08-31 | Hadron interactions in the U-70 energy range: results and problems
[arXiv] 2026-08-31 | DiffSAC: Diffusion-guided Sampling for Consensus-based Robust Estimation
[arXiv] 2026-08-31 | Schwarzian norm estimates for some classes of analytic and harmonic mappings
[arXiv] 2026-08-31 | Learning Radio Astronomical Representations with LeJEPA and Very Small Models
[arXiv] 2026-08-31 | Machine learning reveals common features of unconventional superconductors with high transition temperatures
[arXiv] 2026-08-31 | Learning Compositional Spatio-Temporal Video Grounding with Synthetic Curriculum
[arXiv] 2026-08-31 | Language Proficiency Assessment from Eye Movements in Naturalistic Passage Reading
[arXiv] 2026-08-31 | Practical Implementation Report on Introducing Spec-Driven Development Using AI Agents in Software Development PBL
[arXiv] 2026-08-31 | A Bernstein type theorem for a two dimensional translating soliton in ${\mathbb R}^4$ with finite total curvature
[arXiv] 2026-08-31 | TuringLLM: Efficiently Scaling Foundation Models Toward Physical AI
[arXiv] 2026-08-31 | A closed-form theory of charge-regulated electrostatic interactions between anisotropically charged spheres
[arXiv] 2026-08-31 | Second Order Zarankiewicz Number
[arXiv] 2026-08-31 | Heterogeneous ferroelectricity and conductivity of oxidized BaTiO$_3$ crystals: the role of nanoscale phase segregation in the surface region
[arXiv] 2026-08-31 | GarmentWeaver: Schema-Aware Structured Synthesis for Multimodal Sewing Patterns
[arXiv] 2026-08-31 | Evolution of inertial particle clustering in decaying turbulence
[arXiv] 2026-08-31 | First measurement of the ratio of $ψ(2S)$-to-$J/ψ$ inclusive production in $p\mathrm{Ar}$ and $pp$ collisions at $\sqrt{s_{\mathrm{NN}}} =113\,\mathrm{GeV}$ with SMOG2
[arXiv] 2026-08-31 | Equilibrium \(\mathrm{H}_2^+/\mathrm{H}^-\) Abundance Ratios in MARCS Atmosphere Models
[arXiv] 2026-08-31 | PAC: Progress-Augmented Advantage Curriculum for Multi-Task Reinforcement Learning of LLMs
[arXiv] 2026-08-31 | Tariff Threats, Macroeconomic Expectations, and Policy Communication Strategies: Experiments Based on a Multi-Agent System
[arXiv] 2026-08-31 | MEOM: Multi-View Expected-OKS Maximization for Human Pose Triangulation
[arXiv] 2026-08-31 | Learning-Assisted Congestion-Aware Route Scheduling for Semiconductor Fab Material Control Systems
[arXiv] 2026-08-31 | Authority-Inference Separation in Agentic Finance: First-Line Control, Blockchain Enforcement, and Replayable Assurance
[arXiv] 2026-08-31 | ScienceArena: Benchmarking LLMs on Latest Scientific Olympiad Competitions
[arXiv] 2026-08-31 | Exploring possible $^3_{Λ_c}\text{H}$ bound states through $pΛ_c$ femtoscopic correlations
[arXiv] 2026-08-31 | Brieskorn spheres bound orbit spaces of torus manifolds
[arXiv] 2026-08-31 | Cross-Spectral Reservoir Correlations as a Resource for Finite-Time Quantum Otto Engines
[arXiv] 2026-08-31 | Approximating DVRs by elements of bounded ramification
[arXiv] 2026-08-31 | Accelerated Quantum-Assisted Selected Configuration Interaction via Fast-Annealing-Based Determinant Selection
[arXiv] 2026-08-31 | The Multicolour Size--Ramsey Number of an Even Cycle
[arXiv] 2026-08-31 | Hi-Q: Hierarchical Evidence-guided Query Refinement for Multi-Hop Question Answering
[arXiv] 2026-08-31 | Ghost infrared spectroscopy with bright twin beams
[arXiv] 2026-08-31 | Broad-band host measurements of little red dots and similar compact nuclei require source-conditioned polychromatic PSFs
[arXiv] 2026-08-31 | Structure of the Riemann tensor in higher-dimensional Kerr-NUT-(A)dS spaces
[arXiv] 2026-08-31 | Confounding Masquerading as Improvement: A Systematic Evaluation of Offline Reinforcement Learning for Stroke Antithrombotic Treatment in a 129,000-Patient Registry
[arXiv] 2026-08-31 | Event-Driven Language Models with Sparse Neural Activity for Neuromorphic Hardware
[arXiv] 2026-08-31 | Scalable AXI4 Transaction Monitoring for Mixed-Criticality SoCs: From Phase-Level Precision to ID-Level Efficiency
[arXiv] 2026-08-31 | EvoSkill Injection: Red-Teaming Autonomous Skill Generation and Evolution in Self-Evolving Agents
[arXiv] 2026-08-31 | From Metaheuristics to Exact Methods: A CP-SAT Approach for Multi-Objective Healthcare Workforce Scheduling
[arXiv] 2026-08-31 | CARVE: Verified Expansion for Variable-Length Generation in Diffusion Language Models
[arXiv] 2026-08-31 | Intrinsic Scatterer Representation for Forward Scattering Modeling of Complex Radar Targets
[arXiv] 2026-08-31 | Decoupled Latent Flow Matching for Few-Step Joint Vocal-Accompaniment Separation
[arXiv] 2026-08-31 | Fine-Tuning Low-Bit Models with Gradient in Quantized Code Space
[arXiv] 2026-08-31 | The pure infiniteness transfer problem
[arXiv] 2026-08-31 | MMDS-Bench: Benchmarking Multimodal Large Language Models on Dynamic Stance in Social Media Interactions
[arXiv] 2026-08-31 | Uncertainty-Aware Trajectory Forecasting from Imperfect Tracking
[arXiv] 2026-08-31 | CAER: Causal Action Effect Reweighting for World Model Training
[arXiv] 2026-08-31 | Rad-R: A Raw-ADC Radar Dataset and Capture-Invariant SSM for Hardware-Fault Diagnosis
[arXiv] 2026-08-31 | Safety Screening for Voltage Control in Active Distribution Grids via Distributionally Robust Conformal Screening
[arXiv] 2026-08-31 | SleepWalking: Privileged Representation Shaping for End-to-End Blind Locomotion in Legged Robots
[arXiv] 2026-08-31 | Quasi-isometries between graphs of totally disconnected locally compact groups
[arXiv] 2026-08-31 | Extremes of solar spectral irradiance in the SORCE/XPS record
[arXiv] 2026-08-31 | Deploying DeepSeek 175B Locally on a Single Consumer-Grade RTX 4060 Laptop with 32GB RAM for 200k-Scale Protein-Ligand Virtual Screening
[arXiv] 2026-08-31 | GAFT: Geo-Anchored Fine-Tuning for Hazard Identification from Rare Failures
[arXiv] 2026-08-31 | Pretrained, Curriculum-Tuned, and Ensembled: A Tracer-Aware Interactive Segmentation Pipeline for AutoPET V
[arXiv] 2026-08-31 | On the real angular stability radius for sectorial matrices
[arXiv] 2026-08-31 | Real Schur Flow Acoustic Directivity and Helicity Effects within
[arXiv] 2026-08-31 | Channel Gains to Captions: Task-Unified Multi-Level RF Sensing with Vision-Language Models
[arXiv] 2026-08-31 | Whole-Body MRI Classification via Prompt-Based Clinical Conditioning
[arXiv] 2026-08-31 | An Explicit Belyi Map for the Wiman Sextic and Cusp Forms for a Noncongruence Subgroup
[arXiv] 2026-08-31 | Shifted Macdonald Polynomials and the $(q,t)$-Deformed Goulden--Jackson Product
[arXiv] 2026-08-31 | Neutral atom quantum computing
[arXiv] 2026-08-31 | Some uniform estimates for Kähler--Ricci Shrinkers
[arXiv] 2026-08-31 | Likelihood-Constrained Acoustic Reranking for Training-Free Hallucination Mitigation in LLM-Based ASR
[arXiv] 2026-08-31 | PauLie: Fast Classification of Pauli Dynamical Lie Algebras
[arXiv] 2026-08-31 | TrainSDC: Characterizing and Mitigating Silent Data Corruption in Large Language Model Training
[arXiv] 2026-08-31 | Fundamental groups of asymptotic cones of Lie groups with the SOL obstruction
[arXiv] 2026-08-31 | Ultracontractivity of heat semigroups with non-local Robin boundary conditions via two-sided bounds for a positive eigenfunction
[arXiv] 2026-08-31 | External magnetic-field effects on dipolar-particle orbits and critical collisions in Kerr--Bertotti--Robinson spacetime
[arXiv] 2026-08-31 | Autoregressive Mosaics: Probing 2D Spatial Reasoning in Text-Only Language Models
[arXiv] 2026-08-31 | Towards Balanced Spectral Reconstruction: Spectrally Adaptive Loss for Streaming Speech Enhancement
[arXiv] 2026-08-31 | Not All Fallbacks Are Failures: Understanding and Recovering from Fallbacks in Mobile Voice Assistants
[arXiv] 2026-08-31 | Stability results for distribution-dependent stochastic Volterra equations
[arXiv] 2026-08-31 | Bounds on Shaping Partially Coherent Microwaves with Programmable Scattering Systems
[arXiv] 2026-08-31 | On the maximum weight convex problem for some geometric graph-convexities
[arXiv] 2026-08-31 | Eigenvalue Asymptotics in High-Contrast Media
[arXiv] 2026-08-31 | Tracing distinguishability through transformer processing with stochastic LayerNorm
[arXiv] 2026-08-31 | Mind the Gap: Theory-of-Mind-Grounded Friction for Epistemic Alignment
[arXiv] 2026-08-31 | An Optical Pathway to Movable Rydberg Atomic Quantum Receivers
[arXiv] 2026-08-31 | SocialReasonBench: A Video-QA Benchmark for Social Reasoning with Counterfactual Narrative Videos
[arXiv] 2026-08-31 | RailSyn: Diagnosis-Guided Image Generation for Traceable Data Completion in Railway Foreign Object Detection
[arXiv] 2026-08-31 | The umbrella effect: Magnetic canopy topology modulates spatially averaged chromospheric three-minute power
[arXiv] 2026-08-31 | TUE-Detector: A Tool-Using Expert MLLM-Based Detector for AI-Generated Videos
[arXiv] 2026-08-31 | SingProbe Technical Report
[arXiv] 2026-08-31 | Flatness-Preserving Operations
[arXiv] 2026-08-31 | Coexistence of polariton bound states in the continuum and 2D radiative excitons
[arXiv] 2026-08-31 | MedAgent-R1: Faithfulness-Aware Reinforcement Learning for Evidence-Grounded Medical Reasoning
[arXiv] 2026-08-31 | Spatially or temporally resolved phase-based optoretinography with actively-tracked point-scanning optical coherence tomography
[arXiv] 2026-08-31 | SePArate: Segmenting Patterns from Defects in Wafer Manufacturing Using Weak Supervision
[arXiv] 2026-08-31 | Gradient estimates and volume doubling for locally finite weighted graphs with $CDψ(n,-K)$ condition
[arXiv] 2026-08-31 | TopGQ: Fast GNN Post-Training Quantization Leveraging Topology Information
[arXiv] 2026-08-31 | Quantitative Evidence Mining for Plausibility-Aware Biomedical AI
[arXiv] 2026-08-31 | Uncertainty of Vision Medical Foundation Models
[arXiv] 2026-08-31 | Convergence rates for the RMSprop optimizer with full control of the hyperparameters
[arXiv] 2026-08-31 | PAVE: Predictive Alignment and Value-Guided Evolution for World-Action Policies
[arXiv] 2026-08-31 | Mode Connectivity Beyond Classifiers: Evidence from Generative and Contrastive Models
[arXiv] 2026-08-31 | Continuity of the magnitude for finite metric spaces with nonnegative weightings
[arXiv] 2026-08-31 | Quantum information in neutron-proton scattering from the $M$ matrix
[arXiv] 2026-08-31 | An Improved Bound for Smith's Longest Cycles Conjecture via a Forbidden Subdivision
[arXiv] 2026-08-31 | Co-Annotator: Expert-Distilled ViT and VLM for Visual and Documentation Guidance in Age-Related Macular Degeneration
[arXiv] 2026-08-31 | Perceptually Better, Semantically Worse: Measuring Speech Enhancement Impact on LLM-Based Voice Systems
[arXiv] 2026-08-31 | Exact quantum splitting and the structure of finite algebras
[arXiv] 2026-08-31 | Pointwise convergence of noncommutative ergodic averages along the primes
[arXiv] 2026-08-31 | Parallel Time-Band Mixing with Learned Observation-Adding for Robust ASR Front-Ends
[arXiv] 2026-08-31 | Scalar Spin Chirality from Dissipative Pumping and Lamb Shift Precession
[arXiv] 2026-08-31 | Knowing Beyond the Known: Reinforced Knowledge Specification for Multi-Label Class-Incremental Learning
[arXiv] 2026-08-31 | Testing SALT Approximations with Numerical Radiative Transfer Code. II. Thermal and Microturbulent Line Broadening
[arXiv] 2026-08-31 | Tail-Replay: Escaping the Curse of Linear Attention in Prefix Caching for Hybrid LLMs
[arXiv] 2026-08-31 | ScenePilot: Grow-and-Repair Policy for Text-Driven 3D Indoor Scene Generation
[arXiv] 2026-08-31 | Singlet-doublet transitions and Josephson currents in a superconducting ring with a quantum dot
[arXiv] 2026-08-31 | AIA$^{2}$: Attribute-Agnostic Imbalance Augmentation for Subgroup Robustness
[arXiv] 2026-08-31 | CateKV: On Sequential Consistency for Long-Context LLM Inference Acceleration
[arXiv] 2026-08-31 | Thresholds of singularities in characteristic zero
[arXiv] 2026-08-31 | The specular ellipse method for scalar ordinary differential equations: exactness and accuracy up to fourth order
[arXiv] 2026-08-31 | SimCRAFT: Distilling Remote Sensing Agents via Synthetic Trajectories and Contextual Retrieval-Augmented Fine-Tuning
[arXiv] 2026-08-31 | Read the Room, Read the Image: Understanding Indirect Speech Acts in Multimodal Visual Contexts
[arXiv] 2026-08-31 | Multivariate Scientific Data Compression with Learned Cross-Variable Latent Decorrelation and Autoregressive Entropy Modeling
[arXiv] 2026-08-31 | Residual Maximin Share: Exact Finite-Agent Frontier, Sparse Extremizers, and Threshold Cuts
[arXiv] 2026-08-31 | The Grassmannian of indefinite subspaces
[arXiv] 2026-08-31 | OPUS: A Simple yet Effective Unified Framework for Open-Vocabulary Detection
[arXiv] 2026-08-31 | Systematic and Statistical Properties of Prominence Eruptions on the M-dwarf YZ CMi
[arXiv] 2026-08-31 | CanonNav: Disentangling Navigation Behavior from Camera Geometry in Cross-Platform Visual Navigation
[arXiv] 2026-08-31 | LLM-Based Knowledge Graph Completion Combining Discrete Structural Coding with Similar Entity Information
[arXiv] 2026-08-31 | CoLa-ICD: A Knowledge-Enhanced Framework for Long-Tail Automated Medical Coding
[arXiv] 2026-08-31 | Strong Unique Continuation for Fractional Schrödinger Operators
[arXiv] 2026-08-31 | Parameter-uniform Robin uniqueness on large dilations
[arXiv] 2026-08-31 | Rival-Injective Allocations: Support-List Structure and Maximum-Anchor EFX$_0$ Certificates
[arXiv] 2026-08-31 | A High-Resolution Synthetic EV Charging Dataset for Cold-Climate Distribution Grid Impact Analysis: Trondheim, Norway (2020-2030)
[arXiv] 2026-08-31 | Robust Semi-passive Velocity Field Control with Boundedness Guarantees for Safe Interaction between Mechanical Systems and Physical Environment
[arXiv] 2026-08-31 | Lattice KP type equations arising from eigenfunctions and Dbar problem
[arXiv] 2026-08-31 | Open-Source Autonomous Driving System Analysis and Multi-Disciplinary Hardware-in-the-Loop Research Paradigm with Reinforcement-Learning Testing and Large Language Models
[arXiv] 2026-08-31 | Benchmarking Peptide-Protein Affinity Prediction Across Peptide and Target Shifts
[arXiv] 2026-08-31 | Square Functions and Rectifiability under Monotone Transformations of the Density
[arXiv] 2026-08-31 | Science sandboxes measure the scientific capability of AI agents
[arXiv] 2026-08-31 | Reactivating Test-Time Scaling for Plane Geometry Problem Solving
[arXiv] 2026-08-31 | Universal tuning of Förster resonance energy transfer in gate-programmable conductor-dielectric-conductor heterostructures
[arXiv] 2026-08-31 | LandmarkLens: Predicting and Presenting Effective Landmarks for Mixed-Reality Urban Exploration
[arXiv] 2026-08-31 | Empirical Constraints on the CO Snowline Transition in HD 163296: The Local CO Column and $^{13}$C$^{18}$O Optical Depth
[arXiv] 2026-08-31 | Attosecond Reconstruction of Strain Tensors via Electronic Fingerprints
[arXiv] 2026-08-31 | Drishti: AI-Led Human-Directed Vulnerability Auditing for 5G Cores
[arXiv] 2026-08-31 | Learning Proportional Committees from Violation Feedback
[arXiv] 2026-08-31 | CIG-RL: Curiosity-Driven Information-Guided Reinforcement Learning for Source Term Estimation in Uncertain Environments
[arXiv] 2026-08-31 | Terahertz Control of Optical Second-Harmonic Generation in Displacive Ferroelectrics: Electronic Bloch-State Reconstruction
[arXiv] 2026-08-31 | Simplicity and pure infiniteness for $\text{C}^*$-algebras associated with stabilizers of boundary actions
[arXiv] 2026-08-31 | SUN: Persistent Programs For Language-Grounded Control-to-Learning-to-Real Policies
[arXiv] 2026-08-31 | Bosonic codes from compact phase spaces
[arXiv] 2026-08-31 | The symbolic and divisorial analytic spreads are finite
[arXiv] 2026-08-31 | The large $N$ vector model with angular velocity
[arXiv] 2026-08-31 | The Analysis, not the Aperture: End-to-End Transformer Reconstruction for Imaging Atmospheric Cherenkov Telescopes
[arXiv] 2026-08-31 | The impact of hot mode accretion and angular momentum conservation on metallicity gradients of galactic discs
[arXiv] 2026-08-31 | FPGA-based TDC for SiPM Timing and Amplitude Measurements
[arXiv] 2026-08-31 | DIASENTINEL: An Auditable Multi-Agent System for Guideline-Grounded Diabetes Risk Screening
[arXiv] 2026-08-31 | VeriCam: A Verification Baseline for the Classification of Unknown Data
[arXiv] 2026-08-31 | Finitely generated positive cones in $F_n \times \mathbb{Z}$
[arXiv] 2026-08-31 | LLM Post-Training as Brownfield Maintenance: An Industrial Perspective on Dataware Engineering
[arXiv] 2026-08-31 | Tunable Exceptional Points for Quantum Sensing in a Spin--Orbit-Angular-Momentum Coupled BEC
[arXiv] 2026-08-31 | Robust retinal biometrics for patient identity verification and retrieval across age and imaging devices
[arXiv] 2026-08-31 | Minimax bounds for watermarked and masked recursive discrete distribution estimation
[arXiv] 2026-08-31 | Scaling Large Reasoning Models beyond Human Supervision: A Path toward Superintelligence
[arXiv] 2026-08-31 | Real-Time Video Anomaly Detection Using YOLO Pose Estimation and CLIP-Based Semantic Scoring
[arXiv] 2026-08-31 | LISynSeg: Data-Centric Label-to-Image Synthesis for Cross-Modality Whole-Heart Segmentation
[arXiv] 2026-08-31 | Multimodal Shared Latent Representation of Narration, Microscope and iOCT Images for Phase Recognition in Vitreoretinal Surgery
[arXiv] 2026-08-31 | Measure Before You Manage: Evaluating Agent Working Memory in Coding Agents
[arXiv] 2026-08-31 | Identity-Conditioned Latent Consistency Distillation for Face Synthesis
[arXiv] 2026-08-31 | Sharp constants for weak estimates of Riesz Potentials when $0<s<\min\{n,2\}$
[arXiv] 2026-08-31 | Damping Oscillations in a Spherical Pendulum Inclinometer Using Vector-Based Control
[arXiv] 2026-08-31 | GRBench: A Comprehensive Benchmark Evaluation for Graph-relational Data Management
[arXiv] 2026-08-31 | Toric Constructions via Integral Transversality
[arXiv] 2026-08-31 | Growth of helicity in salt-finger convection in the two-dimensional three-component limit
[arXiv] 2026-08-31 | Metaorder modelling and identification from public data
[arXiv] 2026-08-31 | Commutator identities, Lie product identities, and Multiplicative Lie algebras
[arXiv] 2026-08-31 | Multi-View Reflective Surface Inspection via Semantic-Saliency Cross-Verification
[arXiv] 2026-08-31 | METIS high-contrast imaging simulations: From instrument modelling to science readiness
[arXiv] 2026-08-31 | A Human-in-the-Loop Autonomous Agent for Industry Time Series Forecasting
[arXiv] 2026-08-31 | Vision Models Predict Urban Scene Appraisal with Limited Neural Alignment
[arXiv] 2026-08-31 | A Universal Context-Reuse Layer for Cross-Model KV Sharing
[arXiv] 2026-08-31 | From spectroscopic abundances to evolutionary [$α$/Fe] in stellar models
[arXiv] 2026-08-31 | Clock-Gating Insertion Strategies on an Open-Source MSP430 Core: A Reproducible PPA Study and a Gate-Level Simulation Caveat
[arXiv] 2026-08-31 | Exact Factorizations of Rank-One Pointed Hopf Algebras in Positive Characteristic, I
[arXiv] 2026-08-31 | Compensation in continuous symmetric trilayered planar ferrimagnet
[arXiv] 2026-08-31 | Annotated Surrogate Retrieval for Polish Statutory Law
[arXiv] 2026-08-31 | L-space surgeries on (1,1)-knots in $S^1\times S^2$
[arXiv] 2026-08-31 | Unconditional Certified Randomness without Structure
[arXiv] 2026-08-31 | sbom-unifier: Integration Framework for Heterogeneous SBOMs
[arXiv] 2026-08-31 | Most properties are undecidable even in $\mathop{\mathsf{NExt}} \mathsf{Grz}_t$
[arXiv] 2026-08-31 | Universal unconventional responses controlled by ferroaxial order
[arXiv] 2026-08-31 | Learning to Reason and Use Tools through Unsupervised Fine-Tuning in Task-Oriented Dialog Systems
