[2026-04-14 22:46:16] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-04-13
正在获取论文...
[arXiv] 2026-04-13 | CDPR: Cross-modal Diffusion with Polarization for Reliable Monocular Depth Estimation
[ACM] 2026-4-13 | EmotiV: Exploring Automatic Emotion Sharing through Facial Expression Recognition (FER) for Online Co-Watching
[ACM] 2026-4-13 | Privy: Envisioning and Mitigating Privacy Risks for Consumer-facing AI Product Concepts
[ACM] 2026-4-13 | AI in Webtoon Creation: Challenges, Perceptions, and Design Implications
[ACM] 2026-4-13 | Balancing Accuracy and Embodiment: A Hybrid Perspective for Complex Visuomotor Tasks in VR
[ACM] 2026-4-13 | EmoFlow: From Tracking to Sense-Making of Emotions Through Creative Drawing
[IEEE] 2026-4-14 | Label Hierarchy Transition: Delving into Class Hierarchies to Enhance Deep Classifiers
[IEEE] 2026-4-13 | Fault Detection of Coil Misalignment in Multi-Receiver Wireless Power Transfer Systems With the Estimated Mutual Inductance
[ACM] 2026-4-13 | MagHeart: Exploring Playful Avatar Co-Creation and Shared Heartbeats for Icebreaking in Hybrid Meetings
[ACM] 2026-4-13 | Human-Centered Explainable AI for Brain-Computer Interface-driven Rehabilitation
[ACM] 2026-4-13 | HCI-TERRA: HCI Towards EnviRonmentally Responsible AI
[ACM] 2026-4-13 | Probing More-Than-Human Representation in Crisis Resilience Planning: An HCI Researcher Perspective
[ACM] 2026-4-13 | Embodied Encounters in the Forest: Human Interpretations and Sense Making of Robot Presence and Behavior
[ACM] 2026-4-13 | Quantifying Co-writing with AI across Datasets from the HCI Community
[ACM] 2026-4-13 | I Felt Like I Need to Fit in Someone Else's Body - Understanding Body-Centered UX Design for Online Fashion Shopping
[ACM] 2026-4-13 | Noise Pilot: Enabling Artistic Workflow Composition with Diffusion-Based Image Generation
[ACM] 2026-4-13 | Investigating the Effects of LLM Use on Critical Thinking Under Time Constraints: Access Timing and Time Availability
[ACM] 2026-4-13 | Mirror of the Dividual: A Public-Space Multimodal Interactive System for Making Understanding Perceivable
[ACM] 2026-4-13 | "Chat, Should I Leave Him?" Risks, Rewards, and Roles for AI in Relationship Advice
[ACM] 2026-4-13 | “I Wanted Them to Think That I Wrote That”: AI-Generated Self-Presentation on Dating Apps and Implications of Non-Disclosure on Informed Consent
[ACM] 2026-4-13 | Accounting for (Dis)advantages in Capability Sensitive Design for Marginalized Communities
[ACM] 2026-4-13 | LL.me: Supporting Identity Work through Human-AI Alignment
[ACM] 2026-4-13 | AmIWrite: Exploring Scalable One-on-One Handwriting-Based Tutoring for Mathematical Problem-Solving with an LLM-Powered AI Tutor
[ACM] 2026-4-13 | Session Summary Podcast: Session 178: Reading and Writing Accessibility
[ACM] 2026-4-13 | Session Summary Podcast: Session 210: Tangible Interfaces for Electronics, PCBs, and Physical Computing
[ACM] 2026-4-13 | Session Summary Podcast: Session 143: Mental Wellbeing
[ACM] 2026-4-13 | Session Summary Podcast: Session 11: AI Tutors and Learning Support Systems
[ACM] 2026-4-13 | Sensemaking in User-Driven Algorithm Auditing: A Case Study on Gender Bias in an Image Captioning Model
[ACM] 2026-4-13 | Designing Cognitive Mini-Games for Computational Thinking and Executive Functions (Work in Progress)
[ACM] 2026-4-13 | "Google Maps can say a lot of things, but it cannot guide us properly": Exploring Technology Inaccessibility for People with Visual Impairments in Bangladesh
[ACM] 2026-4-13 | Qualitative Coding Analysis through Open-Source Large Language Models: A User Study and Design Recommendations
[ACM] 2026-4-13 | Making Emergency Care Interpretable: Journey-Level Information Breakdowns from Patient and Caregiver Perspectives
[ACM] 2026-4-13 | Simulation of Human Survey Responses for Market Research: The Role of Contextualization in LLM-Based Agents
[ACM] 2026-4-13 | Dasdaq: Reimagining Dreams as Creative Assets in Human–AI Systems
[ACM] 2026-4-13 | VLM-driven Risk-Adaptive HUD Interactions for Trust Calibration in Automated Driving
[ACM] 2026-4-13 | The Spoonful Workday: Investigating Smartwatch-Supported Energy Management and Its Reflections on Break Behavior
[ACM] 2026-4-13 | Enhancing Social Connection in Shared Audiovisual Experiences via Collective Heartbeat Haptic Feedback
[ACM] 2026-4-13 | The Multilingual Safety Divide: Cross-Lingual Disparities in LLM Climate Misinformation Detection
[ACM] 2026-4-13 | ParSCo: Performance-Driven
                    <u>Par</u>
                    titioning and
                    <u>S</u>
                    cheduling
                    <u>Co</u>
                    -optimization Framework for Processor-based Emulation
[ACM] 2026-4-13 | AI Agents and the Future of Deliberation: Designing Human–AI Collaboration for Democratic Dialogue
[ACM] 2026-4-13 | Session Summary Podcast: Session 118: Human-Robot Interaction &amp; Embodied Sensing
[ACM] 2026-4-13 | Session Summary Podcast: Session 221: Trust and Perception in AI Systems
[ACM] 2026-4-13 | Out of Emergency: How Doctors Navigate Jurisdictional Seams in Emergency Care Referrals
[ACM] 2026-4-13 | Session Summary Podcast: Session 131: LLM Interactions and Generative AI Mechanics
[ACM] 2026-4-13 | Session Summary Podcast: Session 39: Child-Computer Interaction
[ACM] 2026-4-13 | BiasViz: A Project-Based, Narrative-Centered Learning Tool for Engaging Middle School Students in Critical Thinking about AI Biases
[ACM] 2026-4-13 | Idea11y: Enhancing Accessibility in Collaborative Ideation for Blind or Low Vision Screen Reader Users
[ACM] 2026-4-13 | DoubleMe: Local Blending in Multi-Display Environments with Augmented Reality to Facilitate Co-Located Collaboration
[ACM] 2026-4-13 | Risk, Data, Alignment: Making Credit Scoring Work in Kenya
[ACM] 2026-4-13 | RAG Without the Lag: Enabling "What-If" Analysis for Retrieval-Augmented Generation Pipelines
[ACM] 2026-4-13 | Rethinking External Communication of Autonomous Vehicles: Is the Field Converging, Diverging, or Stalling?
[ACM] 2026-4-13 | Inclusive Mobile Learning: How Technology-Enabled Language Choice Supports Multilingual Students
[ACM] 2026-4-13 | Improving Low-Vision Chart Accessibility via On-Cursor Visual Context
[ACM] 2026-4-13 | From Clicks to Consensus: Collective Consent Assemblies for Data Governance
[ACM] 2026-4-13 | Balancing Efficiency and Empathy: Healthcare Providers' Perspectives on AI-Supported Workflows for Serious Illness Conversations in the Emergency Department
[ACM] 2026-4-13 | The Role of Personality of Conversational Virtual Avatars on Proxemic Behaviour during Indoor Navigation
[ACM] 2026-4-13 | Trust Formation in AI Delegation: The Interplay of Explainability and Anthropomorphism
[ACM] 2026-4-13 | Building Care That Fits Its People: Insights from Social Media–Enabled Community-Based Rehabilitation in Thailand
[ACM] 2026-4-13 | "Chasing Shadows": Understanding Personal Data Externalization and Self-Tracking for Neurodivergent Individuals
[ACM] 2026-4-13 | Sketching vs. AI Prompt Based Design Intent Evolution in Undergraduate Students: an Exploratory Study
[ACM] 2026-4-13 | Req2CAD: bridging functional requirements and parametric CAD models to support conceptual 3D design
[IEEE] 2026-4-13 | Active RIS-Enabled Joint 6D UE Localization and Environment Mapping in mmWave MIMO Systems
[IEEE] 2026-4-13 | Manufacturing, Sensing, and Applications of Data Gloves: A Review
[IEEE] 2026-4-13 | Translating Music to Touch: Exploring Tactile Perception of Pitch, Roughness, and Pleasantness
[IEEE] 2026-4-13 | IQCM-Net: Cross-Modal Fusion with Multi-Window STFT via SNR Partitioning for Robust Modulation Recognition
[IEEE] 2026-4-13 | The Integration of Interactive Psychoeducation and Virtual Agent Embodiment in Virtual Reality Training: An Evaluation on Breathing Techniques
[IEEE] 2026-4-13 | Template Method for Microstrip Antenna Fabrication_supp2-3681778.xlsx
[ACM] 2026-4-13 | JourneyVR: Designing for Continuous Workflow Experience in Virtual Reality
[ACM] 2026-4-13 | "AI does not understand the real world.": AI Augmented Software Development
[ACM] 2026-4-13 | Me²: Co-Designing Deepfake Encounters With One's Child Self in XR
[ACM] 2026-4-13 | "It Helps Me Start": How ADHD Users Adapt AI Tools in Everyday Life
[ACM] 2026-4-13 | Looks Good, But Is It Usable? Evaluating Usability in AI-Generated Mobile User Interfaces
[ACM] 2026-4-13 | StreAM: An LLM-Based System for Stress-Adaptive Meditation at Work
[ACM] 2026-4-13 | "Figma Is a Big Black Box:" The Mismatch Between the Interface and Its Underlying Structure
[ACM] 2026-4-13 | Augmented Reality for Tabletop and In-Situ Visualization of Road Construction Drawings to Support Engineers
[ACM] 2026-4-13 | MnemoMaker: Creator, Curator, or Something Else? Exploring Human-AI Mnemonic Co-Creation
[ACM] 2026-4-13 | If I Change Your Eyes, Are You Still You? Identity Thresholds in Deepfake Perception
[ACM] 2026-4-13 | Break the Window: Exploring Spatial Decomposition of Webpages in XR
[ACM] 2026-4-13 | The Sound of Silencing: Identities and Ideologies in Commercial Text-To-Speech
[ACM] 2026-4-13 | User-Centered Design Principles for Decentralized Identity in Banking KYC
[ACM] 2026-4-13 | Wind-OI: A Real-Time CFD-Driven Olfactory Interface with Wind Stimulus for Virtual Dynamic Odor Environments
[ACM] 2026-4-13 | Keeping Community-in-the-Loop: A Novel Methodology for UX Research
[ACM] 2026-4-13 | Sticky and Magnetic: Evaluating Error Correction and User Adaptation in Gaze and Pinch Interaction
[ACM] 2026-4-13 | Breaking News or Breaking Trust? Exploring Challenges and a Design Space for Trustworthy LLM Integration in Journalism
[ACM] 2026-4-13 | Bonsai: Intentional and Personalized Social Media Feeds
[ACM] 2026-4-13 | Exploring Citizens’ Perceptions of Urban Well-Being Through a Card-Based Game
[ACM] 2026-4-13 | The Three Praxes Framework - A Thematic Review and Map of Social Accessibility Research
[ACM] 2026-4-13 | An Expert Schema for Evaluating Large Language Model Errors in Scholarly Question-Answering Systems
[ACM] 2026-4-13 | Linting Style and Substance in READMEs
[ACM] 2026-4-13 | SemTabla: A Human-in-the-Loop Framework for Semantic Enrichment and Validation of Data Tables
[ACM] 2026-4-13 | Feeling with Many: Rethinking Emotion Regulation with Swarm User Interfaces
[ACM] 2026-4-13 | VisiPrint: Previewing 3D-Print Appearance from Real Material Samples
[ACM] 2026-4-13 | Sensing Your Vocals: Exploring the Activity of Vocal Cord Muscles for Pitch Assessment Using Electromyography and Ultrasonography
[ACM] 2026-4-13 | MlondaCam: Designing Context-Aware Smart Cameras for Supporting Domestic Security and Privacy in Malawian Homes
[ACM] 2026-4-13 | Designing AI-Mediated Digital Rituals through the Translation of Wabi-Sabi Aesthetics
[IEEE] 2026-4-14 | Unleashing the Potential of Skyrmion Racetrack Memory as Energy-Efficient On-Chip Memory
[IEEE] 2026-4-13 | Artificial Intelligence for Green Industry: Pathways to Sustainable Economic Growth
[IEEE] 2026-4-13 | Research on Series-Parallel Hybrid Compensation Equipment for High Voltage Problem Management and Fault Ride-Through Capability Enhancement in Photovoltaic Access to Distribution Network
[IEEE] 2026-4-13 | Resilient Multi-Modal IoT Crowd Monitoring System with Self-Healing Sensor Architecture and Intelligent Alert Prioritization
[IEEE] 2026-4-13 | Fault Diagnosis of Secondary System of Intelligent Substation Based on Knowledge Graph
[IEEE] 2026-4-13 | Multi-Objective Energy Management Strategy for Fuel Cell Trucks Using DP-Pretrained SAC
[IEEE] 2026-4-13 | An Active-Clamped Phase-Shifted Full-Bridge Converter
[IEEE] 2026-4-13 | Design and Comparison of New Bio-Inspired Antenna-Sensors for Dielectric Characterization
[IEEE] 2026-4-13 | Adaptive Cryptographic Confidential Computing Framework for Continuous Cloud Data Protection
[IEEE] 2026-4-13 | An Explainable Hybrid CNN–Transformer Framework for Detection of AI-Generated Images and Videos
[IEEE] 2026-4-13 | INNOVITALS- a Healthcare Application Using Random Forest Algorithm
[IEEE] 2026-4-13 | Deep Learning-Based Ensemble Approach for Sugarcane Leaf Disease Detection
[IEEE] 2026-4-13 | Multifunctional Reconfigurable Millimeter Wave Dielectric Resonator Antenna
[IEEE] 2026-4-13 | Synchronous Switching Scheme - Bringing Modular Fault Tolerance to Power Converters
[IEEE] 2026-4-13 | A Survey on Coded Matrix Computations and Gradient Coding
[ACM] 2026-4-13 | Interaction Through Instruments: Extending Surgical Instruments as Interaction Devices
[ACM] 2026-4-13 | The Dominance Effect: How Verbal and Nonverbal Cues of Virtual Agents Influence Decision-Making in VR
[IEEE] 2026-4-13 | Optimizing Mission Abort Policy with Threshold Voting of Imperfect Shock Detectors
[IEEE] 2026-4-13 | Investigation of Post-Demagnetization Back-EMF in Modular Multi-Three-Phase Permanent Magnet Synchronous Machines
[IEEE] 2026-4-13 | Optimizing Inter-RAT Energy Efficiency in NR-NTNs Using Licensed and Unlicensed Spectrums via Cooperative DQN
[IEEE] 2026-4-13 | PhysicsHap: A Modular Haptic Interaction Framework for Enhancing Student Learning in Immersive Virtual Physics Experiments_supp1-3679917.pdf
[IEEE] 2026-4-13 | PhysicsHap: A Modular Haptic Interaction Framework for Enhancing Student Learning in Immersive Virtual Physics Experiments_supp3-3679917.pdf
[IEEE] 2026-4-13 | VRN-Back: an Immersive Music Rhythm Game for Working Memory Training in Virtual Reality_supp2-3680633.mp4
[IEEE] 2026-4-13 | Mining Association Patterns From Neighborhood Insight
[IEEE] 2026-4-13 | Shadowless Projection Mapping for Tabletop Workspaces with Synthetic Aperture Projector_supp2-3679111.mp4
[IEEE] 2026-4-13 | The dimension and Bose distance of some BCH codes of length
                    <i>
                      q
                      <sup>m</sup>
                    </i>
                    −1/λ
[IEEE] 2026-4-13 | Autonomous OCT-Guided Robotic System for Vertical Needle Insertion and Big-Bubble Dissection in Corneal Transplantation_supp5-3681869.docx
[ACM] 2026-4-13 | Rhetoric vs Responsibility: How Tech Companies Shape AI for Accessibility
[ACM] 2026-4-13 | Same Patient, Same Space, Divergent Needs: Revealing Gaps and Design Opportunities in Surgeon–Anesthesiologist Collaboration
[ACM] 2026-4-13 | From Touch to Change: Understanding Public Engagement in Data Physicalization for Social Good
[ACM] 2026-4-13 | Disqualified by Disability: The Exclusion of Disabled Workers by Digitized Hiring Assessments
[ACM] 2026-4-13 | Chasing Meaning and/or Insight? A Survey on Evaluation Practices at the Intersection of Visualization and the Humanities
[ACM] 2026-4-13 | Challenges in Synchronous &amp; Remote Collaboration Around Visualization
[ACM] 2026-4-13 | AI-generated AR Reassembly Guidance from Disassembly Videos to Scaffold Everyday Repair
[ACM] 2026-4-13 | Desirable Unfamiliarity: Insights from Eye Movements on Engagement and Readability of Dictation Interfaces
[IEEE] 2026-4-13 | Experimental Verification on LoS-MIMO Transmission in 300-GHz Band
[ACM] 2026-4-14 | A milling stability prediction method considering the vibration displacement
[ACM] 2026-4-14 | Analysis of buoyancy resistance of built-in plastic formwork in Cast-in-Situ Concrete Hollow Floor Construction
[IEEE] 2026-4-13 | Design of a Circularly Polarized Omni-Directional Antenna with Frequency Reconfiguration Capability
[IEEE] 2026-4-13 | Real Time Detection Sureveillance
[IEEE] 2026-4-13 | A Joint Quotation and Clearing Model for Energy Storage Stations to Participate in Electricity Spot Market and Deep Peak Shaving Ancillary Service Under the New-Type Power System
[ACM] 2026-4-14 | Parameter Inversion and LSTM-Based Prediction of Tunnel Deformation
[IEEE] 2026-4-13 | Model Predictive Control of Ironless Axial Flux Permanent Magnet Motor
[IEEE] 2026-4-13 | Multimodal Machine Learning Framework for Quantifying Mental Stress From Wearable Biosensors
[IEEE] 2026-4-13 | Intrusion Detection System Based on Multi-Level Feature Extraction Using FCN Transformer Graph SAGE, GAT and Inductive Network
[IEEE] 2026-4-13 | Rose Leaves Diseases Prediction Using Machine Learning Technique
[ACM] 2026-4-14 | Design and Simulation Verification of Cooperative Guidance Law for Flying Robots Based on Time Constraints and Yaw Angle Constraints
[IEEE] 2026-4-13 | Audit Risk Profiling of Corporate Executives: An Intelligent Model and Effectiveness Evaluation
[IEEE] 2026-4-13 | AI Tool Adoption and Employee Performance in the Education Sector: An HR Analytics Study
[IEEE] 2026-4-13 | Distributed-Caustic Synthesis for Near-Field Beam Radiation at Microwaves and Millimeter Waves
[IEEE] 2026-4-13 | Time Division Coexistence of Wireless Communication and Wireless Power Transfer
[IEEE] 2026-4-13 | Explainable Symptom-Based Chronic Disease Assessment Using Hybrid Rule-Based and Machine Learning Techniques
[IEEE] 2026-4-13 | Optimizing Hospital Appointments: Integrating Genetic Algorithms and Constraint Programming
[ACM] 2026-4-14 | Performance Study and Structural Optimization of Ball Valve Based on BESO Algorithm
[ACM] 2026-4-14 | Numerical simulation study on cutoff device of reverse initiation series structure
[IEEE] 2026-4-13 | Predictive AI-Driven Firewall Architecture Using Proactive Xfusion Framework for Proactive and Explainable Threat Detection
[IEEE] 2026-4-13 | A Novel Compact Microstrip Patch Antenna Using Bending Lines for Multi-Band 5G mm-Wave Applications
[ACM] 2026-4-14 | “UrdiSynth42” e a tecelagem figital
[ACM] 2026-4-14 | Proceedings of the 2025 12th International Conference on Digital and Interactive Arts: Media Art Cultures, Communities &amp; Territories
[IEEE] 2026-4-13 | Advanced Wave Manipulation Through Optically Transparent EMSs for O2I Communications
[ACM] 2026-4-14 | Physics-Informed Modeling and Explainable Machine Learning for Thermal Conductive Materials under Multi-Operating Heat-Transfer Conditions
[IEEE] 2026-4-13 | Bibliometric Analysis of Artificial Intelligence (AI) Applications in the Food Supply Chain Management (FSCM)
[IEEE] 2026-4-13 | Design and Optimization of a Column-Wise Reconfigurable Reflective Metasurface Using Varactor Based Unit Cells
[ACM] 2026-4-14 | Bag Filter Tube Sheet Multi-objective Optimization
[IEEE] 2026-4-13 | IDCP-NET: An Improved Dark Channel Prior Network with Multi-Constraint Transmission Refinement for Image Dehazing
[IEEE] 2026-4-13 | Stroller with Integrated Sensor System and Biofeedback for Children with Disabilities
[IEEE] 2026-4-14 | Channel Modeling of Satellite-to-Underwater Laser Communication Links: An Analytical-Monte Carlo Hybrid Approach
[ACM] 2026-4-14 | Proceedings of the 2nd International Workshop on Systems and Methods for Sustainable Large-Scale AI (GreenSys)
[IEEE] 2026-4-14 | 2025 9th International Conference on Electrical, Mechanical and Computer Engineering (ICEMCE)
[IEEE] 2026-4-14 | BIMM: Brain Inspired Masked Modeling for Video Representation Learning
[IEEE] 2026-4-14 | 2025 International Conference on Electrical, Communication, and Computing Technologies (iCONECCT)
[IEEE] 2026-4-14 | From IFC to GeoBIM Web Based CesiumJS Integration for Irrigation Asset Management
[ACM] 2026-4-13 | AI at your Fingertips: Wearable Ring as a Low-Friction Interface for Agentic AI
[ACM] 2026-4-13 | Why Don't People Follow Robot Leaders? Understanding the Effects of Power Legitimacy on Compliance with Agents
[ACM] 2026-4-13 | Behind The Paper: A Workflow for Supporting Personal Research Reflection
[ACM] 2026-4-13 | Visualizing Eye-Tracking Dynamics for Predicting Human Error in Virtual Reality
[ACM] 2026-4-13 | AI-Driven Co-Construction of Synthetic Personas for Early-Stage B2B User Research: An Exploratory Study
[ACM] 2026-4-13 | Reshaping The Narrative: Linguistic Evolution And Reception In Online Storytelling Communities
[ACM] 2026-4-13 | InterYard: Investigating E-Plants as Mediators for Attuning Human to Biorhythms in Future Cities
[ACM] 2026-4-13 | A Systematic Literature Review of Generative AI Risks and Harms for Youth
[ACM] 2026-4-13 | Smells Like Fire: Exploring the Impact of Olfactory Cues in VR Wildfire Evacuation Training
[ACM] 2026-4-13 | What Makes a Meme Relieving?: Analyzing the Efficacy of Design Elements of Internet Memes on Exam Stress Relief for University Students
[ACM] 2026-4-13 | Immediate Auditory Feedback Speeds Visuomotor Delay Adaptation in Video Games
[ACM] 2026-4-13 | SOAR: A Modular Soft Robotic Ceiling Element for Multifunctional Acoustic Adaptivity
[ACM] 2026-4-13 | Feeds Don't Tell the Whole Story: Measuring Online-Offline Emotion Alignment
[ACM] 2026-4-13 | MultiBand: Adding Multi-Touch to the Smartwatch Wristband for Extended Interaction
[ACM] 2026-4-13 | "I store some passwords in WhatsApp": Understanding User Experiences and Usability Challenges of Password Managers in Virtual Reality
[ACM] 2026-4-13 | Sign-Up on Deaf Technologies: Reframing Access, Interaction, and Design
[ACM] 2026-4-13 | Knots &amp; Flows: An Engagement Design Meet-Up
[ACM] 2026-4-13 | Bridging Factions: A Meet-up Connecting Diverse Perspectives in Human–Computer Interaction
[ACM] 2026-4-13 | Do We Know What They Know We Know? Calibrating Student Trust in AI and Human Responses through Mutual Theory of Mind
[ACM] 2026-4-13 | Designing for 'Last-Mile' Climate Resilience with Communities
[ACM] 2026-4-13 | From Uncertainty to Possibility: Early Computing Experiences for Rural Girls
[ACM] 2026-4-13 | A Systematic Review of User Experiments on the Effects of Dark Patterns
[ACM] 2026-4-13 | Sensing and Modulating the Feel of a Drink: A Personalized Approach via Laryngeal Thermal Feedback
[ACM] 2026-4-13 | Characterising Gaming Group Experiences
[ACM] 2026-4-13 | Clarifying or Complicating?: Understanding Older Adults' Engagement with Real-World XAI in E-Commerce
[IEEE] 2026-4-13 | A
                    <i>D</i>
                    -Band GaN Power Amplifier With 28-dBm
                    <i>P</i>
                    <sub>sat</sub>
                    , a Power Density of 0.2 W/mm
                    <sup>2</sup>
                    , and Loss-Optimized Matching Networks
[IEEE] 2026-4-13 | Quantum compressed sensing tomographic reconstruction algorithm_supp1-3681530.pdf
[IEEE] 2026-4-13 | EFL-ITS: An Energy-Efficient Learning Framework for Load Balancing in SDN-Enabled Intelligent Transportation Systems
[IEEE] 2026-4-13 | Mode-Classified Data-Based Sliding Mode Security Control for Unknown Markov Jump Systems
[IEEE] 2026-4-13 | Enhancing Terminal Missile Capturability via Progressive Training and Deep Deterministic Policy Gradient-Based Reinforcement Learning
[IEEE] 2026-4-13 | DreamAssemble: Complex Multi-object Text-to-3D Generation via Multi-Density Neural Fields_supp1-3676627.pdf
[IEEE] 2026-4-13 | Monkey See, Monkey Break? Study of Rule-Breaking Imitation in Virtual Crowds_supp2-3679141.pdf
[ACM] 2026-4-13 | Care-in-Retrograde: Designing for Reproductive Health in the Aftermath of Roe.
[ACM] 2026-4-13 | High Accuracy and Hidden Disparities: Investigating Foundation Model Performance in Clinical Cognitive Assessment
[ACM] 2026-4-13 | Vidmento: Creating Video Stories through Context-Aware Expansion with Generative Video
[ACM] 2026-4-13 | Sustainable Human-AI Collaboration in Creative Contexts: An Integrated Approach of CASA, UTAUT, Psychological Ownership, and Self-Determination Theory
[ACM] 2026-4-13 | Debugging Defective Visualizations: Empirical Insights Informing a Human-AI Co‑Debugging System
[ACM] 2026-4-13 | Sensemaking in Multi-Agent LLM Interfaces: How Users Interpret Transparency and Trustworthiness Cues
[ACM] 2026-4-13 | "It just requires so much more creativity": Barriers and Workarounds to Gathering Information for AI Contestation
[ACM] 2026-4-13 | When Help Hurts: Verification Load and Fatigue with AI Coding Assistants
[ACM] 2026-4-13 | From Sleep Scores to Self-Knowledge: Older Adults’ Experiences with Tracking Sleep Using the Oura Ring
[ACM] 2026-4-13 | When Seconds Count: Designing Real-Time VR Interventions for Stress Inoculation Training in Novice Physicians
[ACM] 2026-4-13 | PASTA: A Scalable Framework for Multi-Policy AI Compliance Evaluation
[ACM] 2026-4-13 | Bodyfulness VR: Exploring Virtual Reality as a Medium for Somatic Meditative Practices
[ACM] 2026-4-13 | Diffusing Social Boundaries through Virtual Bodies: How Mixed Reality Embodied Experiences Can Foster Social Connection.
[ACM] 2026-4-13 | Somatic Drawing Tool: 3D Body Sheet as Material for Articulating Synaesthetic Experiences
[IEEE] 2026-4-13 | Cover Page
[IEEE] 2026-4-13 | Balancing Wireless Sensing Performance and Privacy Protection with Multi-Antenna Systems
[ACM] 2026-4-13 | Navigating Safety and Technology: The Everyday Safety Labor of Transgender Black, Indigenous, and People of Color in the United States
[ACM] 2026-4-13 | Does Longer Phone Use Always Feel Worse? Examining How Intention and Duration Shape Evaluations of Time Use
[ACM] 2026-4-13 | Touching a Cat Without Touch: Does Mid-Air Ultrasound Haptic Feedback Promote Relaxation in Virtual Cat Interaction?
[IEEE] 2026-4-13 | Information-Theoretic Optimization for Task-Adapted Compressed Sensing Magnetic Resonance Imaging
[IEEE] 2026-4-13 | Harnessing Meta-Learning for Controllable Full-Frame Video Stabilization_supp1-3679401.pdf
[IEEE] 2026-4-13 | Stability of nonlinear systems under self-triggered delayed impulsive control
[IEEE] 2026-4-13 | Unsupervised Diffusion-Guided LSTM for Anomaly Detection in Water Distribution Networks
[IEEE] 2026-4-13 | BMT_EEG: A Novel EEG Dataset for Evaluating the Effects of New Protocols on Biometric Authentication Systems_supp5-3678803.mp4
[IEEE] 2026-4-13 | Demonstration of 2-Channel Mid-Infrared Mode-Division Multiplexing Using a Single Wavelength Converter for IM/DD and Coherent Free-Space Optical Communication
[IEEE] 2026-4-13 | Fault-Tolerant Control Method of Current Source Inverter-Fed Five-Phase PMSM under Winding Open-Circuit Faults
[ACM] 2026-4-13 | Homeroom: A Value-Aligned and Community-Centered Homeschooling Platform
[ACM] 2026-4-13 | Session Summary Podcast: Session 84: Environment and Sustainability
[ACM] 2026-4-13 | LyreFlute: Sensor-Based Musical Experience for COPD Rehabilitation
[ACM] 2026-4-13 | Craft-Based Data Physicalization: Opportunities and Challenges
[ACM] 2026-4-13 | See What I See: An Attention-Guiding eHMI Approach for Autonomous Vehicles
[ACM] 2026-4-13 | Participatory Data Governance in Practice
[ACM] 2026-4-13 | Play Attention: Using VR Games to Reveal Biomarkers of ADHD Symptoms in Motion Data
[ACM] 2026-4-13 | Direct Interaction with a Reach-through Volumetric Display that uses an Elastic Diffuser
[ACM] 2026-4-13 | Session Summary Podcast: Session 107: Haptic, Touch, and Physical Display
[ACM] 2026-4-13 | Session Summary Podcast: Session 231: XR and Environmental Adaptation/Integration
[ACM] 2026-4-13 | HyperMOOC: Augmenting MOOC Videos with Concept-based Embedded Visualizations
[ACM] 2026-4-13 | Session Summary Podcast: Session 74: Eating Behaviors and Food-Related Technologies
[ACM] 2026-4-13 | A Tale of Many Futures: Children in Finland and India Envision the Future of Education
[ACM] 2026-4-13 | GroundLink: Exploring How Contextual Meeting Snippets Can Close Common Ground Gaps in Editing 3D Scenes for Virtual Production
[ACM] 2026-4-13 | Session Summary Podcast: Session 163: Optimizing Interactive Systems
[ACM] 2026-4-13 | CAPilot: A High-Performance and High-Reliability Communication Middleware for Autonomous Driving
[ACM] 2026-4-13 | Session Summary Podcast: Session 154: Multi-Agent Reasoning Systems for Sensemaking and Planning
[ACM] 2026-4-13 | The Invisible Mentor: Inferring User Actions from Screen Recordings to Recommend Better Workflows
[ACM] 2026-4-13 | CollaDrum: Designing a Tangible Interactive Sonic System to Foster Collaboration in Children with Autism Spectrum Disorder
[ACM] 2026-4-13 | HygroFold: Milli-scale Shape-changing Interfaces via Toner-Transfer Patterning on Cellophane Film
[ACM] 2026-4-13 | How and Who Should Refuse Harmful Requests in Voice Interaction? Identifying AI Refusal Strategies by Focusing on Shifts in Source and Modality
[ACM] 2026-4-13 | MRDrive: An Open Source Mixed Reality Driving Simulator for Automotive User Research
[ACM] 2026-4-13 | Assessing Adaptive Behavior in Individuals with Intellectual Disability through Head Movement Analysis in Virtual Reality
[ACM] 2026-4-13 | Prompt Coaching for Inclusiveness: A Media Literacy Approach to Increase Users’ Awareness of Algorithmic Bias and Prompting Efficacy
[ACM] 2026-4-13 | Session Summary Podcast: Session 150: Modeling Spatial, Linguistic, and Sensory Errors
[ACM] 2026-4-13 | Interaction as Intelligence: A Transparent, Fine-Grained Multi-Agent Deep Research System for Human-Agent Collaboration
[ACM] 2026-4-13 | Collaborative AI Scaffolding for Structured Drawing in Dementia Care: A Feasibility Study
[ACM] 2026-4-13 | India's AI Governance Landscape: Insights from Elite Stakeholder Interviews
[ACM] 2026-4-13 | From Needs to Design: Bridging Intimate Gaps with LLM-Augmented Nonviolent Communication
[IEEE] 2026-4-13 | Sustainable Technology Management in Industry 4.0: An EFA-CFA and SEM-Based Assessment of Green Manufacturing Performance
[ACM] 2026-4-14 | Mechanism Analysis and Life Prediction of External Corrosion of Buried Metal Pipelines in Oilfields Based on Deep Learning
[IEEE] 2026-4-13 | Transformer Based Brain to Text Communication System for Locked-In Syndrome Patients
