[2026-05-15 22:54:27] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-05-14
正在获取论文...
[arXiv] 2026-05-14 | Aligning Latent Geometry for Spherical Flow Matching in Image Generation
[arXiv] 2026-05-14 | MahaVar: OOD Detection via Class-wise Mahalanobis Distance Variance under Neural Collapse
[arXiv] 2026-05-14 | Dyonic black holes supporting nearly-black self-gravitating thin shells
[arXiv] 2026-05-14 | On the Nature of Regularity Assumptions in Bilevel Optimization with Constrained Lower-level Problem
[arXiv] 2026-05-14 | DermAgent: A Self-Reflective Agentic System for Dermatological Image Analysis with Multi-Tool Reasoning and Traceable Decision-Making
[arXiv] 2026-05-14 | Partial Identification of the Valuation Distribution in Sequential English Auctions
[arXiv] 2026-05-14 | Systematic Discovery of Semantic Attacks in Online Map Construction through Conditional Diffusion
[arXiv] 2026-05-14 | Cosmological Realization of Baryon Asymmetry in f(R, G_{μν}T^{μν}) Gravity
[arXiv] 2026-05-14 | Semi-Synchronous Exploration in Dynamic Graphs
[arXiv] 2026-05-14 | MoRe: Modular Representations for Principled Continual Representation Learning on Squantial Data
[arXiv] 2026-05-14 | Correctness-Aware Repository Filtering Under Maximum Effective Context Window Constraints
[arXiv] 2026-05-14 | ACE-LoRA: Adaptive Orthogonal Decoupling for Continual Image Editing
[arXiv] 2026-05-14 | Relaxation of Projected Prior with Continuous Gap Shrinkage
[arXiv] 2026-05-14 | Learning with Shallow Neural Networks on Cluster-Structured Features
[arXiv] 2026-05-14 | DREAMS. JWST Spectroscopy of a $z=8.3$ Galaxy with an ALMA Dust Continuum Detection: Early Dust, Very High $T_{\rm dust}$, and a Multi-wavelength [OIII] Ratio Discrepancy
[arXiv] 2026-05-14 | Transmit Beamforming for High-Rate Underwater Acoustic Communications
[arXiv] 2026-05-14 | COREKG: Coreset-Guided Personalized Summarization of Knowledge Graphs
[arXiv] 2026-05-14 | SEDiT: Mask-Free Video Subtitle Erasure via One-step Diffusion Transformer
[arXiv] 2026-05-14 | Masked Next-Scale Prediction for Self-supervised Scene Text Recognition
[arXiv] 2026-05-14 | Unified study of scalar, vector and tensor two-meson form factors in $U(3)$ resonance chiral theory
[arXiv] 2026-05-14 | Few-Attosecond electron pulse trains with tunable periods produced by two counter-propagating lasers
[arXiv] 2026-05-14 | On the catastrophe time of fluids under the action of a gravitational field
[arXiv] 2026-05-14 | Spherical Twists for Gorenstein Orders and $G$-Hilb
[arXiv] 2026-05-14 | Embedded Made Easy -- Rethinking Embedded + Cloud Software Development (WIP)
[arXiv] 2026-05-14 | Mixed-State Long-Range Entanglement from Dimensional Constraints
[arXiv] 2026-05-14 | Translation symmetry-enforced long-range entanglement in mixed states
[arXiv] 2026-05-14 | ATLAS: Agentic or Latent Visual Reasoning? One Word is Enough for Both
[arXiv] 2026-05-14 | Isocurvature-Free QCD Axion Dark Matter from Inflaton-Driven Early QCD: the Necessity of Inflationary Plateaus
[arXiv] 2026-05-14 | Warp-as-History: Generalizable Camera-Controlled Video Generation from One Training Video
[arXiv] 2026-05-14 | OpenDeepThink: Parallel Reasoning via Bradley--Terry Aggregation
[arXiv] 2026-05-14 | The Role of Formation Location in Shaping Sulfur-, Nitrogen-, and Carbon-Bearing Species in Super-Earth and Sub-Neptune Atmospheres
[arXiv] 2026-05-14 | Text Knows What, Tables Know When: Clinical Timeline Reconstruction via Retrieval-Augmented Multimodal Alignment
[arXiv] 2026-05-14 | Position: Behavioural Assurance Cannot Verify the Safety Claims Governance Now Demands
[arXiv] 2026-05-14 | N-body next-to-leading order gravitational spin-orbit interaction via effective field theory
[arXiv] 2026-05-14 | Multiscale order, flocking and phenotypic hysteresis in the cellular Potts model of epithelia
[arXiv] 2026-05-14 | Hand-in-the-Loop: Improving Dexterous VLA via Seamless Interventional Correction
[arXiv] 2026-05-14 | Self-Distilled Agentic Reinforcement Learning
[arXiv] 2026-05-14 | Eclipses of Nearby Radio-Loud Galactic Nuclei by Stars in Nuclear Star Clusters
[arXiv] 2026-05-14 | Forgetting That Sticks: Quantization-Permanent Unlearning via Circuit Attribution
[arXiv] 2026-05-14 | Deep Mixture of Experts Network for Resource Optimization in Aerial-Terrestrial CF-mMIMO Systems under URLLC
[arXiv] 2026-05-14 | Training ML Models with Predictable Failures
[arXiv] 2026-05-14 | Analysing the highly irregular boundaries of solar pores
[arXiv] 2026-05-14 | Oscillatory photoresistance on the high field side of the cyclotron resonance
[arXiv] 2026-05-14 | Investigating the Suitability of Delay Tolerant Networks for Broadcasting Tsunami Warnings in Palu, Indonesia
[arXiv] 2026-05-14 | The Emergence of Photonic Crystalline Order and Time-Series Dynamics in NaCl Droplet Deposition
[arXiv] 2026-05-14 | Veritas: A Semantically Grounded Agentic Framework for Memory Corruption Vulnerability Detection in Binaries
[arXiv] 2026-05-14 | Mazur manifolds and symplectic structures
[arXiv] 2026-05-14 | Novel Dynamic Batch-Sensitive Adam Optimiser for Vehicular Accident Injury Severity Prediction
[arXiv] 2026-05-14 | Eliminating reversals from cubical type theories
[arXiv] 2026-05-14 | Probing the IMF in the Early Universe -- Direct measurements in the Boötes I UFD with JWST/NIRCam
[arXiv] 2026-05-14 | After the Interface: Relocating Human Agency in the Age of Conversational AI
[arXiv] 2026-05-14 | Dynamical scaling near the pseudogap quantum critical point of the two-dimensional Hubbard model
[arXiv] 2026-05-14 | TFGN: Task-Free, Replay-Free Continual Pre-Training Without Catastrophic Forgetting at LLM Scale
[arXiv] 2026-05-14 | Separating Intrinsic Ambiguity from Estimation Uncertainty in Deep Generative Models for Linear Inverse Problems
[arXiv] 2026-05-14 | A Prototyping Framework for Distributed Control of Multi-Robot Systems
[arXiv] 2026-05-14 | EverAnimate: Minute-Scale Human Animation via Latent Flow Restoration
[arXiv] 2026-05-14 | Case-Based Calibration of Adaptive Reasoning and Execution for LLM Tool Use
[arXiv] 2026-05-14 | Multi-Agentic Approach for History Matching of Oil Reservoirs
[arXiv] 2026-05-14 | Local maximum of inducibility profiles
[arXiv] 2026-05-14 | Boosting Reinforcement Learning with Verifiable Rewards via Randomly Selected Few-Shot Guidance
[arXiv] 2026-05-14 | DeepTokenEEG Enhancing Mild Cognitive Impairment and Alzheimers Classification via Tokenized EEG Features
[arXiv] 2026-05-14 | Weak Solutions and Inertial Limits for Quasi-static Filtrations
[arXiv] 2026-05-14 | Distance-Matrix Wasserstein Statistics for Scalable Gromov--Wasserstein Learning
[arXiv] 2026-05-14 | On the Ricci symmetries of a Kähler manifold
[arXiv] 2026-05-14 | InfoSFT: Learn More and Forget Less with Information-Aware Token Weighting
[arXiv] 2026-05-14 | Patterns on elliptic curves beyond Bremner's conjecture
[arXiv] 2026-05-14 | A developmental switch from capillary rectification to elastic catapult enables honeydew ejection in the spotted lanternfly
[arXiv] 2026-05-14 | Crys-JEPA: Accelerating Crystal Discovery via Embedding Screening and Generative Refinement
[arXiv] 2026-05-14 | EARL: Towards a Unified Analysis-Guided Reinforcement Learning Framework for Egocentric Interaction Reasoning and Pixel Grounding
[arXiv] 2026-05-14 | Invertible positive maps that are not automorphism
[arXiv] 2026-05-14 | TAPIOCA: Why Task- Aware Pruning Improves OOD model Capability
[arXiv] 2026-05-14 | IsoNet: Spatially-aware audio-visual target speech extraction in complex acoustic environments
[arXiv] 2026-05-14 | CHASM: Cross-frequency Harmonized Axis-Separable Mixing for Spectral Token Operators
[arXiv] 2026-05-14 | Agentifying Patient Dynamics within LLMs through Interacting with Clinical World Model
[arXiv] 2026-05-14 | A Toolbox to Understand the Physics of Quantum Data Management
[arXiv] 2026-05-14 | Towards Label-Free Single-Cell Phenotyping Using Multi-Task Learning
[arXiv] 2026-05-14 | Flexibility-Aware Framework for Efficient Planner-Initiated Siting of Data Center
[arXiv] 2026-05-14 | Towards Continuous Sign Language Conversation from Isolated Signs
[arXiv] 2026-05-14 | SceneFunRI: Reasoning the Invisible for Task-Driven Functional Object Localization
[arXiv] 2026-05-14 | Bilinear embedding for divergence-form operators with first-order terms and negative potentials
[arXiv] 2026-05-14 | Dynamic Event-Triggered Control of Discrete-Time Nonlinear Systems based on Difference-Algebraic Representations
[arXiv] 2026-05-14 | Spontaneous symmetry breaking and Goldstone modes for deep information propagation
[arXiv] 2026-05-14 | QCD axion from broken scale symmetry
[arXiv] 2026-05-14 | SeaVis: Modeling and Control of a Remotely Operated Towed Vehicle for Seabed Visualization and Mapping
[arXiv] 2026-05-14 | Fourth order correlation of baryon number and electric charge as a better magnetometer of QCD
[arXiv] 2026-05-14 | How Sensitive Are Radiomic AI Models to Acquisition Parameters?
[arXiv] 2026-05-14 | N-Graphdiyne as a Tunable Platform for Stabilizing Light Metals toward High-Capacity Reversible Hydrogen Storage
[arXiv] 2026-05-14 | MultiEmo-Bench: Multi-label Visual Emotion Analysis for Multi-modal Large Language Models
[arXiv] 2026-05-14 | UniTriGen: Unified Triplet Generation of Aligned Visible-Infrared-Label for Few-Shot RGB-T Semantic Segmentation
[arXiv] 2026-05-14 | Munarini graphs: a generalization of Fibonacci cubes and Pell graphs. Part I
[arXiv] 2026-05-14 | Exploitation of Hidden Context in Dynamic Movement Forecasting: A Neural Network Journey from Recurrent to Graph Neural Networks and General Purpose Transformers
[arXiv] 2026-05-14 | First Mathematical Runtime Analyses of Multi-Objective Evolutionary Algorithms for Multi-Valued Decision Variables
[arXiv] 2026-05-14 | Uptake of stratospheric species on minerals proposed for stratospheric aerosol injection
[arXiv] 2026-05-14 | Skyrme SV density-functional analysis of the $2νββ$ decay in $^{76}$Ge
[arXiv] 2026-05-14 | Tidal coplanarization of circumbinary planetary systems through stellar Cassini states
[arXiv] 2026-05-14 | CaMeRL: Collision-Aware and Memory-Enhanced Reinforcement Learning for UAV Navigation in Multi-Scale Obstacle Environments
[arXiv] 2026-05-14 | Learning Cross-Coupled and Regime Dependent Dynamics for Aerial Manipulation
[arXiv] 2026-05-14 | Avoiding Bias in Clipped SGD for Overparameterized Models under Generalized Smoothness
[arXiv] 2026-05-14 | Can Visual Mamba Improve AI-Generated Image Detection? An In-Depth Investigation
[arXiv] 2026-05-14 | COAL: Counterfactual and Observation-Enhanced Alignment Learning for Discriminative Referring Multi-Object Tracking
[arXiv] 2026-05-14 | An Algebraic Resolution of the Firewall Paradox
[arXiv] 2026-05-14 | Thermal expansion of FeWO$_4$ (Ferberite) and FeWO$_4$:Fe$_2$WO$_6$ (7:1): a comparative X-ray and neutron diffraction study
[arXiv] 2026-05-14 | Evolution of lean hydrogen-air premixed flames under high-frequency acoustic forcing: flame morphology and displacement speed
[arXiv] 2026-05-14 | Hybrid Metaheuristic Optimization of Distributed Control System Hardware Architecture with Model-Based Verification
[arXiv] 2026-05-14 | Known By Their Actions: Fingerprinting LLM Browser Agents via UI Traces
[arXiv] 2026-05-14 | Persistent Homology of Biquandle Coloring Quivers
[arXiv] 2026-05-14 | Programmable cavity-enhanced telecom quantum memory in thin-film lithium niobate
[arXiv] 2026-05-14 | The sharp refined Bohr inequalities for a subclass of close-to-convex harmonic mappings
[arXiv] 2026-05-14 | A Least-Squares Weak Galerkin Finite Element Scheme for Cauchy Problems in Convection--Diffusion
[arXiv] 2026-05-14 | Composable Crystals: Controllable Materials Discovery via Concept Learning
[arXiv] 2026-05-14 | Streaming Speech-to-Text Translation with a SpeechLLM
[arXiv] 2026-05-14 | Nonembeddings of Combinatory Algebras
[arXiv] 2026-05-14 | Integrated photonic computing: towards high-dimensional information processing
[arXiv] 2026-05-14 | Some lifting and approximation properties for maps in $W^{1,2}(\mathbb{B}^3;\mathbb{S}^2)$
[arXiv] 2026-05-14 | Slot-MPC: Goal-Conditioned Model Predictive Control with Object-Centric Representations
[arXiv] 2026-05-14 | Quantum Criticality in Monolayer Amorphous Carbon
[arXiv] 2026-05-14 | The DESIRED electron temperature relations in star-forming regions of the local Universe
[arXiv] 2026-05-14 | Are cortical microcircuits optimized for information flux? -- A simulation-based reverse engineering study
[arXiv] 2026-05-14 | Single-Device VOC Fingerprinting via Polarization-Selective Anisotropic BeS-Clad Silicon Microring Resonator
[arXiv] 2026-05-14 | Nonexistence results of generalized bent functions from $\mathbb{Z}_3^n$ to $ \mathbb{Z}_m$
[arXiv] 2026-05-14 | Graphs of Research: Citation Evolution Graphs as Supervision for Research Idea Generation
[arXiv] 2026-05-14 | Geometric construction of superintegrable Poisson projection chains via Poisson centralizers
[arXiv] 2026-05-14 | A Practical Guide to Instrumental Variables Methods with Heterogeneous Treatment Effects
[arXiv] 2026-05-14 | Optimal Bounds for the k-Disjoint Paths Problem
[arXiv] 2026-05-14 | Wide parameter-space O3 search for continuous gravitational waves from unknown neutron stars in binary systems
[arXiv] 2026-05-14 | Uncovering latent consensus in heterogeneous populations: The Mixture Linear Ordering Problem
[arXiv] 2026-05-14 | SuperADD: Training-free Class-agnostic Anomaly Segmentation -- CVPR 2026 VAND 4.0 Workshop Challenge Industrial Track
[arXiv] 2026-05-14 | Generalized Priority-Aware Shapley Value
[arXiv] 2026-05-14 | Blind Quantum Computation on a Modular Superconducting Processor
[arXiv] 2026-05-14 | Primordial Black Hole from Tensor-induced Density Fluctuation: First-order Phase Transitions and Domain Walls
[arXiv] 2026-05-14 | TopoPrimer: The Missing Topological Context in Forecasting Models
[arXiv] 2026-05-14 | On equidistribution theorem for plane partitions
[arXiv] 2026-05-14 | On the Burden of Achieving Fairness in Conformal Prediction
[arXiv] 2026-05-14 | Universal quantum resource distillation via composite generalised quantum Stein's lemma
[arXiv] 2026-05-14 | Functional and Density-Driven Errors in Density Functional Theory: Quantum Monte Carlo Benchmarks for Solids
[arXiv] 2026-05-14 | ForcingDAS: Unified and Robust Data Assimilation via Diffusion Forcing
[arXiv] 2026-05-14 | Telecom-Wavelength-Compatible Quantum Information Transcription Using Nitrogen-Vacancy Centers
[arXiv] 2026-05-14 | Language-Induced Priors for Domain Adaptation
[arXiv] 2026-05-14 | MetaBackdoor: Exploiting Positional Encoding as a Backdoor Attack Surface in LLMs
[arXiv] 2026-05-14 | When Are Two Networks the Same? Tensor Similarity for Mechanistic Interpretability
[arXiv] 2026-05-14 | Methane hydrate nucleation frustration and dimensional reduction of structural order under nanoconfinement
[arXiv] 2026-05-14 | Efficient Multi-objective Prompt Optimization via Pure-exploration Bandits
[ACM] 2026-5-14 | Current State-of-the-Art in Artificial Intelligence - December 2025
[ACM] 2026-5-14 | Acyclic Conjunctive Regular Path Queries are no Harder than Corresponding Conjunctive Queries
[ACM] 2026-5-14 | A Logical View of GNN-Style Computation and the Role of Activation Functions
[ACM] 2026-5-14 | Frequency Moments in Noisy Streaming and Distributed Data under Mismatch Ambiguity
[IEEE] 2026-5-15 | Bio-Inspired Hybrid Antenna Synthesis for Optimizing 5G Network Slicing in Tripoli’s mmWave HetNet
[IEEE] 2026-5-15 | Flow-Guided ConvLSTM with Quality-Aware Reconstruction for Learned Video Compression
[IEEE] 2026-5-15 | P-MEE: A Prompt-Guided Multimodal Dynamic Early Exiting Method for Intent Recognition
[IEEE] 2026-5-15 | Trend-Aware Time Series Forecasting via Frequency-Enhanced Inverted Architecture
[IEEE] 2026-5-15 | The Optimal Solution of the Economic Load Dispatch Problem Using an Improved Gradient-Based Optimization Algorithm
[IEEE] 2026-5-15 | Personnel Intelligent Control in Pumped Storage Power Station Construction Based on Digital Twin Technology
[IEEE] 2026-5-15 | Litchi-PestDet: An Efficient Litchi Disease and Pest Detection Algorithm Based on Deep Learning
[IEEE] 2026-5-15 | Synergistic Copper Sequestration by SA/PEI/GO Hydrogels: Chemisorption-Driven Langmuir Kinetics
[IEEE] 2026-5-15 | Design and Implementation of Cloud-Ground-End Collaborative Zero-Trust Security Architecture for Industrial Drones
[IEEE] 2026-5-15 | IoT-Integrated Smart Monitoring of Buck-Boost Converter Performance in Multi-Voltage Battery Systems
[IEEE] 2026-5-15 | Design of a Compact Diamond-Shaped MIMO Antenna with Enhanced Isolation Characteristics Using Hybrid DGS and EBG Techniques
[IEEE] 2026-5-15 | Research on Pipeline Risk Event Recognition Algorithm Based on CNN-Swin Transformer
[IEEE] 2026-5-15 | Indian Currency Recognition with Audio Feedback for Visually Impaired People Using YOLOv5
[IEEE] 2026-5-15 | AI Based Irrigation and Weather Forecasting System Using Lorawan
[IEEE] 2026-5-15 | Fault Diagnosis of TRD Machine Based on TimeGAN-LSTM-LightGBM
[IEEE] 2026-5-15 | An Improved DEIM-Based Algorithm for X-Ray Prohibited Item Detection
[IEEE] 2026-5-15 | Robust Trajectory Tracking Control for Quadrotor UAV Based on Adaptive Dynamic Programming and Finite-Time Observer
[IEEE] 2026-5-15 | CNC-MIND: An Explainable Multi-Task Digital Twin for CNC Machining
[IEEE] 2026-5-15 | A Framework for Deep Reinforcement Learning-Based Assembly Sequence Planning of Aircraft Tube
[IEEE] 2026-5-15 | A Highly Sensitive and Robust Electrochemical Biosensor with Anti-Adhesion Property for BK Virus Detection
[IEEE] 2026-5-15 | Objective No-Reference Error Estimation at the Macroblock Level for Compressed Videos
[IEEE] 2026-5-15 | Aphrophoridae Foam Detection using YOLOv11 for Sustainable Management of Xylella Fastidiosa Vectors
[IEEE] 2026-5-15 | Multi-Index Vegetation Monitoring and Stress Detection for Smallholder Rice Farms in Telangana Using Sentinel-2
[IEEE] 2026-5-15 | Non-Invasive Thermal Monitoring of Dairy Cows’ Core Body Temperature with Multi-Modal Sensing
[IEEE] 2026-5-15 | Synergistic Component Engineering and Surface Modification to Regulate the Crystallization Kinetics and Photovoltaic Performance of Perovskite Materials
[IEEE] 2026-5-15 | Lab-on-Chip Acoustic Detection Platform: Design, Fabrication and Performance Evaluation
[IEEE] 2026-5-15 | A Data-Driven Clustering Analysis of Multi-Energy Load Profiles for Typical Scenario Extraction in Renewable Energy Systems
[IEEE] 2026-5-15 | Indoor Temperature Prediction Model Based on SVMD-CNN- Informer
[IEEE] 2026-5-15 | Research on Control Method of Ship Integrated Power System Based on Load Current Feedforward
[IEEE] 2026-5-15 | Rapid and Accurate Estimation of Acoustic Coupling in MUT Devices Using finite Element Modeling
[IEEE] 2026-5-15 | Research on Multi-Sensor Array Detection Methods for Verifying GC-IMS Analysis of Neuraminidase-Metabolized Gases
[IEEE] 2026-5-15 | Pushing Bit-Width Limits in LLM Quantization with Saliency-Guided Mix-Precision Allocation and Learnable Affine Transformation
[IEEE] 2026-5-15 | Sparse2Dense: A Keypoint-Driven Generative Framework for Human Video Compression and Vertex Prediction
[IEEE] 2026-5-15 | A 28nm 11.2-to-20-GHz PLL-based 16-Phase Clock Generator with High-Order-Mode Ring Oscillator Achieving 24.3-fs Jitter for 320-Gsps-Sample-Rate Data Converter
[IEEE] 2026-5-15 | Analyzing Performance–Memory–Security Trade-Offs of Convolutions for DNN Inference on Homomorphically Encrypted Data
[IEEE] 2026-5-15 | Distance Enhancement and Misalignment Robustness in WPT System Employing Higher Order Compensation Topology and ZVS
[IEEE] 2026-5-15 | A 500kHz 600V Capacitive Isolated SiC Converter with Switching-On Transition Detection for Hard-Switching Fault Prognosis Achieving 58ns Short-Circuit Protection
[IEEE] 2026-5-15 | TOKCIM: A 65nm All-Digital Compute-in-Memory Transformer Accelerator with Advanced Weight Sparsity Handling and SoftMax Acceleration
[IEEE] 2026-5-15 | A 10-bit 20-GS/s 4-Channel Time-Interleaved DAC Employing Hybrid-Segmentation in 28-nm CMOS
[IEEE] 2026-5-15 | THReaD: A 22.8 Mbps/node Two-dimensional Hierarchical Reconfigurable and Distributed Network for E-textiles with Fault Tolerance and Cooperative Power Management
[IEEE] 2026-5-15 | Hybrid RL-PID for Intelligent Lighting Control in Container-based Indoor Farming
[IEEE] 2026-5-15 | Towards Efficient 3D Gaussian Human Avatar Compression: A Prior-Guided Framework
[IEEE] 2026-5-15 | TCROC–Markov: A Two-Stage Framework for Economic Regime Analysis
[IEEE] 2026-5-15 | Comparative Security Analysis of Cross-Chain Protocols: An Empirical and Metrics-Based Approach
[IEEE] 2026-5-15 | MI-STA 2026 Conference Proceedings
[IEEE] 2026-5-15 | Rapid Diagnosis of Foot-and-Mouth Disease in Livestock Using Supervised Machine Learning Algorithms
[IEEE] 2026-5-15 | ASIM 2025 Cover Page
[IEEE] 2026-5-15 | EWA-DA: An EWA-Learning-Based Double Auction Mechanism for Multi-Agent Task Allocation
[IEEE] 2026-5-15 | Investigation of Dynamic Testing Methods for Composite Thermoelectric Devices under Multi-Condition Loading
[IEEE] 2026-5-15 | Research on Multi-target Detection Method of Transmission Line Based on YOLOv5
[IEEE] 2026-5-15 | A Plug-And-Play Deep Unrolling Method for Brain Source Imaging
[IEEE] 2026-5-15 | Imbalanced Fault Diagnosis of Rolling Bearings Fusing WGAN-GP and Self-Attention Mechanism
[IEEE] 2026-5-15 | Verification of the Mold Material Model Through Simulation Studies at the Product Level
[IEEE] 2026-5-15 | Ensemble ConvNeXt-LSTM Framework for Smart Surface Defect Detection in Hot-Rolled Steel Strips
[IEEE] 2026-5-15 | IoT-Enabled EV Battery Monitoring System With Machine Learning-Based Predictive Analysis
[IEEE] 2026-5-15 | EEG-Based Early Detection System for Alzheimer's and Parkinson's Disease
[IEEE] 2026-5-15 | HRM Practices in Small-sized Institutes within the Education Industry: Evidence from Qualitative Case Studies
[IEEE] 2026-5-15 | Detection and Classification of Abnormal Human Actions for Video Surveillance on Edge Devices
[IEEE] 2026-5-15 | ICST 2025 TOC
[IEEE] 2026-5-15 | ICISES 2025 Copyright Page
[IEEE] 2026-5-15 | Research on Sample Imbalanced Fault Diagnosis of Ship Water Pump Bearing Dataset Based on HCAB-SMOTE
[IEEE] 2026-5-15 | Comparative Analysis of RF, SVM and XGBoost for High-Accuracy Crop Recommendation
[IEEE] 2026-5-15 | Digital Implementation of Cordic-Based Fitzhugh Nagumo Neuron Models on FPGAs
[IEEE] 2026-5-15 | ECOTRACK: An AI-Based Carbon Emission Tracking and Prediction System
[IEEE] 2026-5-15 | Imbalanced Bearing Fault Diagnosis Using WGAN-GP With Cascaded SIMAM-GAM Attention
[IEEE] 2026-5-15 | Lung Cancer Diagnosis: Visualizing Deep Learning Decision Pathways Using Yolov8
[IEEE] 2026-5-15 | A Hybrid DeBERTa-BiLSTM Framework with Attention for Context-Aware Fake News Detection
[IEEE] 2026-5-15 | Post-COVID Cardiovascular Risk Stratification Using Independent Machine Learning and Deep Learning Pipelines
[IEEE] 2026-5-15 | A Hybrid Multi-Objective Optimization Framework for Energy-Aware UAV Swarm Coordination in Dynamic Environments
[IEEE] 2026-5-15 | Performance Evaluation of BCH, LDPC, and Turbo Codes in LTE-Based MIMO-OFDM Systems Using 64-QAM
[IEEE] 2026-5-15 | Performance-Driven Hybrid Scheduling Mechanism Using Nature-Inspired Algorithms for Mobile Edge Cloud Resource Management
[IEEE] 2026-5-15 | Intelligent Cluster Maintenance and Hybrid Routing Optimization for High-Mobility MANET Environments
[IEEE] 2026-5-15 | A Comparative Analysis of Decentralized Control Techniques for Grid-Forming Inverters Using Finite Control Set Model Predictive Control
[IEEE] 2026-5-15 | Latency-Bound Online Consistency Verification for Always-on Financial Databases
[IEEE] 2026-5-14 | GNSS-Spoofing Detection via Machine Learning with In-Domain and Cross-Domain Testing and Open-Access I/Q Data
[IEEE] 2026-5-14 | Robust Adversarial Defense for Deep Learning-Based Beamforming in Next-Generation Wireless Networks: Knowledge Distillation Meets TRADES
[IEEE] 2026-5-14 | Cross-Frequency Feature Learning for Dual-Band Radar HRRP Target Recognition
[IEEE] 2026-5-14 | Effect of Insertion Parameters on Insertion Force and Tissue Damage During Rigid Neural Probe Implantation_supp2-3691664.mp4
[IEEE] 2026-5-14 | Hierarchical Path Planning and Task Offloading for UAV-Assisted MEC Systems
[IEEE] 2026-5-14 | Direct Estimation of P- and S-Wave Impedance Parameters based on Pre-stack Reflection Coefficients
[IEEE] 2026-5-14 | Overcoming Resistance to Change for Sustainable ICT Integration in Logistics: From Case Studies to Best Practices_supp1-3693049.docx
[IEEE] 2026-5-14 | Learning Spatiotemporal Dependencies for Tropical Cyclone Intensity Forecasting with Multi-Source Data
[IEEE] 2026-5-14 | An Intelligent Inversion Method to Identify Railway Ballast Gradation Parameters Using Electromagnetic Wave Reflection
[IEEE] 2026-5-14 | Cover Page
[ACM] 2026-5-14 | Deep Learning-Based Crop Disease Phenotypic Recognition and Resistant Variety Screening Method
[IEEE] 2026-5-15 | IEEE Annals of the History of Computing
[IEEE] 2026-5-14 | Analysis of Digital Self-Interference Cancellation for Digital Modulation Formats
[IEEE] 2026-5-14 | A Multi-Motor dq-Axis Model Incorporating Winding Harmonics in Electric Machines
[IEEE] 2026-5-14 | GenAI in Financial Services: A Quantitative Study on Customer Demand for Virtual Assistants
[IEEE] 2026-5-14 | A Study on Clutter Rejection in Monochromatic Radar-based Breathing Activity Detection with Finite Difference Time Domain Simulations
[IEEE] 2026-5-14 | SecurePayChain-AI: Smart-Contract-Verified Secure Payments with DID-Assisted Hybrid Fraud Mining
[ACM] 2026-5-15 | An Empirical Study on the Integration of Information-based Education and Artificial Intelligence Driven by AI-TPACK Model
[ACM] 2026-5-15 | Floating-Point Expression Precision Optimization Method Based on Genetic Algorithms and Expression Rewriting
[ACM] 2026-5-15 | Cross-View Consistency Checking for Multimodal Web Agents under Adversarial UI Perturbations
[ACM] 2026-5-15 | Generative AI-Driven Design Framework for Intangible Cultural Heritage Cultural and Creative Products A Case Study of the Miao “Water Dragon God”
[ACM] 2026-5-15 | LBCA: A Lightweight Self-Learned Bayesian Clock Alignment Approach for Industrial Digital Twin Systems
[ACM] 2026-5-15 | Control System Design for Multi-Terrain Agricultural Transportation: Integrating Cableway and Adaptive Height Adjustment
[ACM] 2026-5-15 | Influence of temporal environment on building settlement
[ACM] 2026-5-15 | Artificial Protozoa Optimizer for Multi-Objective Economic Load Dispatch
[ACM] 2026-5-15 | Theoretical Framework for the Integration and Development of Digital Economy and Traditional Industries
[ACM] 2026-5-15 | An Adversarial Knowledge-Enhanced Approach for Stock Prediction
[ACM] 2026-5-15 | Research on Application of Large Language Model (LLM) in Macroeconomic Forecasting
[ACM] 2026-5-15 | Research on e-commerce risk prediction scheme based on Transformer-BiLSTM-SVM
[ACM] 2026-5-15 | Research on the Relationship Between Corporate Digital Transformation and Financial Performance from the Perspective of Dynamic Capabilities: An Empirical Analysis Based on the Case of Company H and Multiple Linear Regression &amp; Random Forest Algorithms
[ACM] 2026-5-15 | Mechanism of Managers' AI Cognition Driving Enterprise Digital Transformation
[ACM] 2026-5-15 | Research on the impact of intellectual property protection on foreign trade under the background of big data
[ACM] 2026-5-15 | Spatio-Temporal Evolution and Optimisation Strategies for China's Agricultural Product Export Trade
[IEEE] 2026-5-15 | Portable Electrochemical Platform for Point-of-Care Bilirubin Sensing for Liver Diagnostics_supp2-3693203.mp4
[IEEE] 2026-5-15 | Analysis and Mitigation of Power System Harmonics in Industrial Vfd Applications Using Passive Filter Configurations
[IEEE] 2026-5-15 | Short-Circuit Blackbox Modeling of Inverter-Based Resources: Development, Validation and Key Insights
[IEEE] 2026-5-15 | Self-Healing of Microgrids or Distribution Systems Using Radio Pulse Injected on a Neutral Wire
[IEEE] 2026-5-14 | Diffusion Bridge-Based Joint Estimation and Detection Design for Superimposed-Pilot OFDM Receiver
[IEEE] 2026-5-15 | Impact of Geographically Dispersed Solar Farms on System Reliability
[IEEE] 2026-5-15 | Resource Adequacy in United States Power Markets During the Digital Era: A Comparative Review of Principles and Current Practices
[IEEE] 2026-5-14 | Efficient Ambiguity Resolution for BDS-3/INS positioning with Multi-frequency Measurements
[IEEE] 2026-5-15 | Secure Data Aggregation for Oilfield Transport and Inspection Vehicles Using Onion-Routed Federated Learning
[IEEE] 2026-5-15 | RadioYNet: Efficient 3D Path Loss Map Prediction with Height-Aware Feature Fusion
