[2026-05-27 23:17:41] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-05-26
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202605260000+TO+202605262359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ResponseError('too many 429 error responses'))
[ACM] 2026-5-26 | Nash Equilibria in Uniform Price Auctions: Theory, Computation, and Market Insights
[IEEE] 2026-5-26 | Short-Term Wind Power Forecasting Based on Joint Optimization of VMD and HHO-LSTM
[IEEE] 2026-5-26 | The Design of a Race-To-Sleep State Based Onboard Computer for a 1P Cube Satellite
[IEEE] 2026-5-26 | Heavy Ions Single Event Latchup Test Results for the NA2200 Analog Front-End
[IEEE] 2026-5-26 | Redefining Intrusion Detection with CNN and the Law of Unity and Struggle of Opposites
[IEEE] 2026-5-26 | An Attention-Enhanced Deep Learning Model for Robust Identification of Atypical Mitotic Figures
[IEEE] 2026-5-26 | Autonomous Neural Vector Control for Hybrid AC/DC Microgrids
[IEEE] 2026-5-26 | Condition Monitoring of Synchronous Reluctance Motors Using Random Forest Classification
[IEEE] 2026-5-26 | EMCA: Embedded Multi-scale Causal Attention for Glioma Classification and Interpretation
[IEEE] 2026-5-26 | Efficient Skin Disease Detection Using HGAN Augmentation and CQPSO-SVM Classification
[IEEE] 2026-5-26 | Spectrum Sharing in PD-SCMA Cognitive Radio Networks
[IEEE] 2026-5-26 | Repositioning Terahertz Wireless: Compact Beamforming for Medium-Range Mobile Connectivity
[IEEE] 2026-5-26 | Recent Advances in Charge Amplifiers for Particle Detection
[IEEE] 2026-5-26 | Secure and Resource Utilization-Aware Workflow Scheduler for Heterogenous Cloud Computing Platform
[IEEE] 2026-5-26 | Overhead Perching Strategy on Arbitrary Branches for Nano UAVs
[IEEE] 2026-5-26 | Research on Knowledge Mining and Intelligent Diagnostic Decision-Making for Electric Drive System Failures in New Energy Vehicles
[IEEE] 2026-5-26 | Research on Intelligent Diagnosis of Crop Leaf Diseases and Interpretable Report Generation Based on Multi-Task Collaborative Learning
[IEEE] 2026-5-26 | Secure and Scalable Blockchain Architecture for Food Safety and Traceability of Supply Chain
[IEEE] 2026-5-26 | DRAM Evolution and Challenges in Cloud Era
[IEEE] 2026-5-26 | Real-Time Collusion Detection in Multi-Agent Systems Via Interpretable Learning Models
[IEEE] 2026-5-26 | Aptamer-Mediated Inhibition of von Willebrand Factor (vWF) to Prevent Platelet Overactivation in Myocardial Ischemia-Reperfusion Injury: An in Silico Study
[IEEE] 2026-5-26 | RIS-Assisted Millimetre Wave MIMO Channel Estimation
[IEEE] 2026-5-26 | AI-Driven Sequential-Contextual Anomaly Detection Engine Based Improved Archimedes Optimization Algorithm for Data Quality Validation in Regulatory Filings
[IEEE] 2026-5-26 | Challenges and Innovations in High-Bandwidth DRAM: The Case for Z Angle Memory
[ACM] 2026-5-26 | Moltbook and Artificial (Proto) Life
[ACM] 2026-5-26 | The Price of Strategic Information: Degree-Based Bounds on Inefficiency in Distributed Learning Games
[ACM] 2026-5-26 | Cross-Chain Arbitrage: The Next Frontier of MEV in Decentralized Finance
[ACM] 2026-5-26 | SageServe: Optimizing LLM Serving on Cloud Data Centers with Forecast Aware Auto-Scaling
[ACM] 2026-5-26 | The End of the Digital Age
[ACM] 2026-5-26 | cuPTW: Leveraging Idle Compute Units for Massively Parallel GPU Page Table Walks
[IEEE] 2026-5-27 | An Optimized Deep Learning Model for Sleep Apnea Detection
[IEEE] 2026-5-27 | Transparent OCR Pipeline for Single-Word Recognition with Hierarchical Segmentation, Deskewing, and OCR-Aware Spell Correction
[IEEE] 2026-5-27 | −188.4-dBc/Hz FoM Complementary VCO Employing Current Harmonic Cancellation Achieving 5-dB Phase Noise Reduction at 1/
                    <i>f</i>
                    <sup>3</sup>
                    Region
[IEEE] 2026-5-27 | Unified Geometry and Color Compression Framework for Point Clouds via Generative Diffusion Priors
[IEEE] 2026-5-27 | Joint Deployment, User Association, and Power Allocation for Data Collection in UAV-Assisted Wireless Sensor Networks
[IEEE] 2026-5-27 | CALSI: Context-Aware Layer Skipping Inference for On-Device LLM Serving
[IEEE] 2026-5-27 | A Real-Time Sign Language Translator on Jetson Nano Using Mediapipe, MobileNet-V2 and LSTM
[IEEE] 2026-5-27 | An Advanced Kronecker Product-Based Time-Delay Neural Network for Radio Frequency Power Amplifier Digital Predistortion
[IEEE] 2026-5-26 | EdgeCaps: Pruned Capsule Networks for RF Vital Sign Measurement in Real-time
[IEEE] 2026-5-27 | Comparative Study of Parkinson's Disease Detection from Hand-Drawn Patterns Using Dual-Input Efficientnet and Custom CNN
[IEEE] 2026-5-27 | Recognizing Excellence at Society Conferences [From the Editor’s Desk]
[IEEE] 2026-5-26 | Federated Temporal Collaborative GAN for Electricity Theft Detection with Imbalanced Data
[IEEE] 2026-5-26 | Combating Visual Misinformation: Automated Detection of Deceptive Chart Design Using Vision Transformers
[IEEE] 2026-5-26 | Investigation on the Equilibrium Law and Equilibrium Coefficient Model of Methanol in Oil-Paper Insulation of Transformer
[IEEE] 2026-5-27 | Noninvasive Voltage Measurement for Transmission Lines and Substations Using Lightweight Monitoring Devices Based on Torsion-Mirror Electric-Field Sensors
[IEEE] 2026-5-27 | LLM-Meta-SR: In-Context Learning for Evolving Selection Operators in Symbolic Regression_supp1-3696253.pdf
[IEEE] 2026-5-27 | Recognize Excellence: Computer Science &amp; Engineering Awards
[IEEE] 2026-5-27 | Universal Analytical Framework for the Secrecy Performance Evaluation of Multi-Carrier Systems Under Practical Rate-Adaptation Constraints
[IEEE] 2026-5-26 | Dynamic Event-Triggered Quantized Control for Positive Markov Jump Systems Under DoS Attacks_supp1-3693759.pdf
[IEEE] 2026-5-27 | Generating Textual Descriptions for Remote Sensing Images
[IEEE] 2026-5-27 | Electromagnetic Vibration Characteristics Analysis of Dual Three-phase Permanent Magnet Synchronous Linear Motor Considering High-Frequency Current Harmonics
[IEEE] 2026-5-27 | Vehicle Theft Detection and Prevention System in Challenging Environment Using Deep Learning
[IEEE] 2026-5-27 | MENACOMM 2026 Authors Index
[IEEE] 2026-5-26 | Probabilistic Lifetime Estimation of IGBT Power Modules Under Mission Profiles: Supporting Predictive Maintenance and Functional Safety
[IEEE] 2026-5-27 | Coordinated Voltage Support Control Scheme for Islanded Sending-End MMC-Wind Turbine System During Asymmetric Faults Considering Weak Grid Characteristic
[IEEE] 2026-5-27 | Learning Compact 3D Gaussians via Feed-Forward Point Fusion
[IEEE] 2026-5-26 | A QGI-ESO-Based Disturbance Torque Current Compensation Scheme for Electromechanical Resonance Suppression
[IEEE] 2026-5-27 | Turbo Equalization for High-Speed Passive Optical Networks
[IEEE] 2026-5-27 | Force Control of an Underactuated Tendon-Driven Manipulator_supp1-3688030.mp4
[IEEE] 2026-5-27 | Multi-AUV Underwater Cooperative Target Encirclement via Quantum-Assisted Software-Defined MARL
[IEEE] 2026-5-26 | Pushing physical limits and uncovering motion templates of spine-based quadruped locomotion via reinforcement learning
[IEEE] 2026-5-27 | Pattern Recognition of Cardiovascular Arrhythmia from ECG Signals using LabVIEW and Artificial Neural Network
[IEEE] 2026-5-26 | A Safety-Oriented Self-Learning Algorithm for Autonomous Driving: Evolution Starting From a Basic Model
[IEEE] 2026-5-27 | Performance Evaluation of a Hybrid Passive-Active Wristband for Efficient Parkinsonian Tremor Reduction
[IEEE] 2026-5-26 | A Scalable and Latency-aware HBF Precoding Design for LEO Satellite Communications
[IEEE] 2026-5-27 | A Ka-Band Eight-Stream Phased-Array MIMO Receiver With Time-Hopping Blocker Rejection for 6G
[IEEE] 2026-5-27 | Enhancing 3D Object Tracking via Dual-Context Propagation and Temporal Context Fusion
[IEEE] 2026-5-27 | Parametric Gaussian Human Model: Generalizable Prior for Efficient and Realistic Human Avatar Modeling
[IEEE] 2026-5-27 | DINO in the Room: Leveraging 2D Foundation Models for 3D Segmentation
[IEEE] 2026-5-27 | Robotic Welding with AI in the Loop
[IEEE] 2026-5-27 | Hierarchical Scene Fusion for Trajectory Prediction in Autonomous Driving
[IEEE] 2026-5-27 | Evaluating Temporal Fusion Transformers for Short-Horizon Urban Traffic Forecasting Under Real-World Deployment Constraints
[IEEE] 2026-5-27 | Classical Trajectory Planning for Dual-Camera Visual Servoing on Edge Systems
[ACM] 2026-5-26 | Enhancing Human Mobility Prediction with Spatially Aware LLM-based Multi-Agent Systems
[ACM] 2026-5-26 | Towards More Realistic Natural Language Queries in Text-to-SQL Benchmarks
[ACM] 2026-5-26 | Shedding Light on Shadows: Automatically Tracing Illicit Money Flows on EVM-Compatible Blockchains
[ACM] 2026-5-26 | ResBench: A Comprehensive Framework for Evaluating Database Resilience
[IEEE] 2026-5-26 | Organizing Committee
[IEEE] 2026-5-26 | MoS
                    <sub>2</sub>
                    and WSe
                    <sub>2</sub>
                    Transistors for Next-Generation Electronics
[IEEE] 2026-5-26 | Next Generation Electronics Enabled by Growth-based Monolithic Integration of 2D Materials
[IEEE] 2026-5-26 | An AI/ML Framework for Proactive Cyber Threat Detection in Uncrewed Aerial Vehicles
[IEEE] 2026-5-26 | Vision-Energy Coupled Robotic Dry Ice Cleaning with Adaptive Trajectory Planning for Runway Prism Lights
[IEEE] 2026-5-26 | Human-in-the-Loop Neural Architectures for Collaborative Autonomous Intelligence
[IEEE] 2026-5-26 | DeepLymphNet: A Deep Learning and approach for Acute Lymphoblastic Leukemia Detection
[IEEE] 2026-5-26 | HOTP - High-conf Only Taken Predictor for Efficient Superscalar Multi-level Branch Predictor
[IEEE] 2026-5-26 | Tracked Unmanned Ground Vehicle Navigation Based on A* Algorithm
[IEEE] 2026-5-26 | Enhanced Accuracy in Residential Security Using AI-Driven Multi-Model Face Recognition
[IEEE] 2026-5-26 | Energy Efficient Navigation of Autonomous Mobile Robots Using Euler Spiral Based Trajectories
[IEEE] 2026-5-26 | Robust Stabilization for Nonlinear Networked Control Systems with Intelligent Estimator
[IEEE] 2026-5-26 | A Single-Motor Vibration-Driven Microrobot with Terrain Adaptability for Robust Cross-Material Locomotion
[IEEE] 2026-5-26 | Symptom-Based Disease Prediction Using Machine Learning and Chatbot Interface
[IEEE] 2026-5-26 | Total Dose and Single-Event Effects Testing of the ISL75054 Ultra-Low Noise LDO
[IEEE] 2026-5-26 | Crop and Weed Detection in Agricultural Fields Using Few-Shot Object Detection
[IEEE] 2026-5-26 | End-to-End Causal Inference with LLM Agents via a Structured Framework
[IEEE] 2026-5-26 | The Aerospace Corporation's Compendium of Recent Radiation Testing Results
[IEEE] 2026-5-26 | TruthLens: A ResNet CNN Approach for Detecting Manipulated Media
[IEEE] 2026-5-26 | Simulating Survival in Glioblastoma: Clinical Decision Tool Based on MGMT and IDH1 Biomarkers
[IEEE] 2026-5-26 | Strain Engineering for Next-Generation FDSOI MOSFET, Probing CESL Relaxation with Xe, Ar, and Ge Ion Implantation
[IEEE] 2026-5-26 | Total Ionizing Dose Effects on 28nm Microchip RT Polarfire
                    <sup>®</sup>
                    FPGA SRAM Physical Unclonable Functions
[IEEE] 2026-5-26 | A Low-Cost PWM-Controlled Driver Circuit for Bioelectronic Medicine
[IEEE] 2026-5-26 | TensorDynamic: Bridging Application- and Instruction-Level Fault Injection for DNN Tensor Core Execution
[IEEE] 2026-5-26 | Implementation of a Lightweight Compression Architecture for Real-Time UHD Video Integration on FPGA
[IEEE] 2026-5-26 | Dynamic Optimal Power Flow for an Isolated Microgrid Using a Cheetah Optimizer
[IEEE] 2026-5-26 | Seed Classification Using Deep Learning and Image Processing
[IEEE] 2026-5-26 | A Hybrid Approach for Stock Market Sentiment and Price Movement Analysis Using Machine Learning
[IEEE] 2026-5-26 | Array Scale Evaluations of High-k Inside Memory Hole (HIM) Structure for Advanced Z-scaling of 3D Flash Memory
[IEEE] 2026-5-26 | Financial Benefit of Interchangeability of Power Transformers on the Eskom Standard Plinth
[IEEE] 2026-5-26 | AI-Based Risk Assessment of Alzheimer's Conversion Using Brain Age Prediction Models
[IEEE] 2026-5-26 | Co-Design of Dynamic Decoupling and Robust Control for High-Speed Magnetic Bearing Systems
[IEEE] 2026-5-26 | TID Induced Parametric Degradation of Commercial-Off-the-Shelf Electronics and their SEE Responses
[IEEE] 2026-5-26 | Interlayer and Band-Engineered Charge Trap Flash Enabling Low Voltage and Reliable Quad Level Operation
[IEEE] 2026-5-26 | IoT-Based Adaptive Low-Power Microgrid for Villages with Ring Main Theorem
[IEEE] 2026-5-26 | BidHub: A Flask-MongoDB based Real-Time Auction Platform
[IEEE] 2026-5-26 | LATTA: Langevin-Anchored Test-Time Adaptation for Enhanced Robustness and Stability
[IEEE] 2026-5-26 | &gt; 60 GHz Antenna-in-Package with Integrated Lead-Frame Thermal Path and Low-Dk/Df Molding for Multi-Chip Systems
[IEEE] 2026-5-26 | $\text{IMA}_{i}\text{Gen}$: A Cross-Modal Image-to-Music Generation with a Non-Deep Learning Core
[IEEE] 2026-5-26 | Automated Framework for Intelligent Interview Preparation and Evaluation
[IEEE] 2026-5-26 | Materials to Systems Co-Optimization (MSCO) Modeling Platform for PPA projections from Novel Material and Process Innovations Targeting Next Generation DRAM Technologies
[IEEE] 2026-5-26 | High-Efficiency Stratospheric Aerosol: Radiative Modeling of Silver-Doped Titania Nanoparticles for Solar Radiation Management
[IEEE] 2026-5-26 | A Near Zero-DC Readout Circuit for CMOS Image Sensors
[IEEE] 2026-5-26 | Machine Learning-Based Real-Time Cardiovascular Risk Assessment for Spaceflight: A Multi-Biomarker Approach Using Inspiration4 Mission Data
[IEEE] 2026-5-26 | Numerical Simulation of the Three-Phase Flow Characteristics of Solid-Liquid-Gas in the Filling Valve Based on CFD-DEM
[IEEE] 2026-5-26 | Characterization of SEEs on Gemini APU In-Memory Processors Under Heavy Ion Radiation
[IEEE] 2026-5-26 | GAN-Based Detection of Synthetically Generated Satellite Imagery
[IEEE] 2026-5-27 | Current-Sensor Fault-Tolerant Control for PMSM Drives via Offset-Free Phase Extended Generalized Integrator
[IEEE] 2026-5-27 | A New SCAN Method for Unsupervised Learning: Developing an Auto-Labeling Framework in Semiconductor Manufacturing_supp1-3692570.pdf
[IEEE] 2026-5-26 | A Novel Method to Evaluate Interfacial Pressure in Cable Joints using Dynamic Mechanical Analysis
[IEEE] 2026-5-27 | A Highly Integrated Primary-Side Zero-Voltage Switching Active Clamp Flyback Control IC for a 5-cm
                    <sup>3</sup>
                    5-V/1-A AC–DC Converter With Adaptive Frequency and Deadtime Control
[IEEE] 2026-5-26 | Ultrasound Slice-to-Volume Registration via Artifact-Suppressed Ultra-Feature Learning
[IEEE] 2026-5-27 | Learning-Assisted Proactive Reattachment in Tree-Structured VLC-VANETs
[IEEE] 2026-5-27 | A Low-Cost, Ultra Low-Power, and Scalable LoRa-Based Weather Balloon for Atmospheric Monitoring: A Bangladesh Perspective
[IEEE] 2026-5-26 | Self-SIDNet: A Self-supervised Network for Winter Arctic Sea Ice Drift Extraction from AMSR2 Passive Microwave Data
[IEEE] 2026-5-26 | Broad-Band Nolen Beamforming Matrix Inspired by Groove Gap Waveguide Technology for Multi-Beam Antenna Arrays in mmWave Satellite-Oriented Space Multiplexing Systems
[IEEE] 2026-5-27 | Finite Element Framework for Electrostatics and Optical Simulations in IGZO TFTs—Part 2: Application
[IEEE] 2026-5-26 | Robust Model Predictive Control of a Four-Switch Buck-Boost Converter for Fast Dynamic Response with Guaranteed ZVS
[IEEE] 2026-5-26 | From Keystrokes to Semantics: Acoustic Side-Channel Attacks on Typed Text Using Deep Neural Networks and Large Language Models
[IEEE] 2026-5-27 | Frequency Diversity 3D Printed DRA for Wireless Applications
[IEEE] 2026-5-27 | Integrative Analysis of Shared Molecular Signatures in Temporal Lobe Epilepsy and Alzheimer's Disease with Ligands Discovery Targeting SOD1
[IEEE] 2026-5-27 | EgoMDM: Diffusion-Based Human Motion Synthesis from Sparse Egocentric Sensors
[IEEE] 2026-5-27 | Machine Learning-Based Classification of Phishing Websites: Leveraging Website Behavior and Structure Features
[IEEE] 2026-5-26 | Scattering Aware Episodic Adaptation for Few-Shot HRRP ATR Using Large Language Models
[IEEE] 2026-5-27 | Neural Wave Propagation for Surgical Video Action Recognition: A New Dataset and Baseline
[IEEE] 2026-5-26 | Information of Opportunity-aided VI-SLAM for Enhancing Accuracy in Perpetual GNSS-Denied Environments Without Loop Closure
[IEEE] 2026-5-27 | MINE 2025–2026: Strong Global Engagement in Phase 1 and Exciting Opportunities Ahead [Education News]
[IEEE] 2026-5-27 | The First Desktop Computer: The History of the Olivetti Programma 101 [History]
[IEEE] 2026-5-27 | Frequency Domain Mixing and Boundary Modulation Network for SAR Small Target Detection
[IEEE] 2026-5-27 | Self-Reconfiguration of Modular Robotic Systems and Programmable Matter Using Reinforcement Learning
[IEEE] 2026-5-27 | Modeling and Verification of Reconfigurable Distributed Control Systems
[IEEE] 2026-5-27 | Would Learning Help? Adaptive CRC-QC-LDPC Selection for Integrity in 5G-NR V2X
[IEEE] 2026-5-27 | Direct Cardiac T1 Mapping with Subspace Modeling and Free-breathing Data Acquisition_supp1-3696845.pdf
[IEEE] 2026-5-27 | Anchor-Driven Compact Gaussian Splatting for Dynamic Scene Reconstruction_supp2-3695021.mp4
[IEEE] 2026-5-27 | Proposal and Experimental Evaluation of a Wire-Driven Flap-Type Non-Return Valve for Sampling in Small Lunar and Planetary Rovers
[IEEE] 2026-5-27 | Shape Classification of Consecutive Obstacles for Water-Driven Soft Robot Using Reservoir Computing
[IEEE] 2026-5-27 | Tunable Optical and Electronic Properties of Ca-Doped $\varepsilon$ - $\text{Ga}_{2} \mathrm{O}_{3}$: A First-Principles Study Toward Achieving $p$-Type Transparent Oxide Semiconductors
[IEEE] 2026-5-27 | Reflect3r: Single-View 3D Stereo Reconstruction Aided by Mirror Reflections
[IEEE] 2026-5-27 | Diffusion Feature Completion–Driven Textual Dual Distillation for Multi-modal Remote Sensing Classification with Missing Modality
[IEEE] 2026-5-27 | NOVA: A Self-Supervised Graph Framework for Real-Time Anomaly Detection in Internet of Vehicles_supp1-3696324.docx
[IEEE] 2026-5-27 | Quantum Depth-First Search-Based Reliability Assessment of Composite Generation and Transmission Systems
[IEEE] 2026-5-27 | RGS-DR: Deferred Reflections and Residual Shading in 2D Gaussian Splatting
[IEEE] 2026-5-27 | LegacyAvatars: Volumetric Face Avatars for Traditional Graphics Pipelines
[IEEE] 2026-5-26 | Continuous-Time Opinion Dynamics on Heterogeneous Multiple Interdependent Topics
[IEEE] 2026-5-26 | A Non-Contact Volume Measurement System using a RGB-D Camera
[IEEE] 2026-5-26 | Secure-BSM: Blockchain-Assisted Collaborative Misbehavior Detection in Vehicular Networks
[IEEE] 2026-5-26 | Predicting Student Performance in Architectural Visualization: A Random Forest Comparison of Core and Elective Student Groups
[IEEE] 2026-5-26 | Moodify AI: An Intelligent Air-Drumming System Using Computer Vision and Artificial Intelligence for Real-Time Musical Interaction
[IEEE] 2026-5-26 | Fake Review Detection Based on LOFD-EGCNN Model
[IEEE] 2026-5-26 | AgroSSL-Net: A Self-Supervised Deep Learning Framework for Crop Health Monitoring
[IEEE] 2026-5-26 | Enhanced Methane Production and Real-Time Nutrient Assessment in Automated Biogas Systems
[IEEE] 2026-5-26 | Uplink User Association and Resource Allocation in Integrated Terrestrial and Non-Terrestrial Networks
[IEEE] 2026-5-26 | A Multimodal Deep Learning Approach for Emotion-Aware Speech Recognition
[IEEE] 2026-5-26 | Structural Damage Assessment and Repair Estimation Using Convolutional Neural Networks
[IEEE] 2026-5-26 | Characterization and Compensation of Deadband Nonlinearities in a Scaled Hydraulic Excavator for Human-Machine Interface Research
[IEEE] 2026-5-26 | Research on Gear Deviation Patterns Based on Rolling Inspection Technology
[IEEE] 2026-5-26 | An Ultra-Fast 3P0V Multi-Level Cell Programming Algorithm for Inference Context Memory Storage (ICMS)
[IEEE] 2026-5-26 | A Study on Digital Twin-Driven Predictive Maintenance Methods for High-Speed Winding and Baling Equipment
[IEEE] 2026-5-26 | ADD-Net-MRI: An Explainable Deep Learning Approach for Early Alzheimer’s Detection
[IEEE] 2026-5-26 | Macro Block Optimization Floor Plan and Placement at Advanced 7nm Node Using Synopsys ICC2
[IEEE] 2026-5-26 | FindTogether: AI-Powered Missing Person Detection and Collaboration System with Social Dashboard
[IEEE] 2026-5-26 | How State Space Machines can help African Speech Language Identification
[IEEE] 2026-5-26 | Deep Learning for Soil Type Detection: A CNN Approach to Agricultural Insights
[IEEE] 2026-5-26 | Degradation State Assessment of Rolling Bearings by Integrating Mechanism Knowledge with Multi-Scale Temporal Convolutional Networks
[IEEE] 2026-5-26 | Solar-Powered Blackspot Alert System
[IEEE] 2026-5-26 | AI-Powered Cyber Defense Desktop Application with Real-Time Behavioral Analysis, Threat Intelligence
[ACM] 2026-5-26 | CloudJump III: Optimizing Cloud Databases for Tiered Storage
[ACM] 2026-5-26 | CLAPS: A Load-Aware Proxy Resource Pooling System for Reducing Resource Redundancy in Large-Scale Cloud Storage
[ACM] 2026-5-26 | SAGE: Explainable Semantic-Aware Graph-Based Entity Integration for Heterogeneous Data Sources
[ACM] 2026-5-26 | Clinical XAI: A Tutorial on Concepts, Methods, and Modalities from Linear Models to LLMs
[IEEE] 2026-5-26 | Heavy Ion-Induced Single-Event Effects in eGaN HEMTS
[IEEE] 2026-5-26 | Resource Allocation for Multi-Domain Network Slicing: A Transfer Learning Approach
[IEEE] 2026-5-26 | An Effective Classification of Potato Leaf Diseases Using Hybrid Deep Learning Schemes
[IEEE] 2026-5-26 | Advancements in Brain Tumor Analysis and Early Detection through MRI Imaging and Explainable AI Techniques
[IEEE] 2026-5-26 | An Effective CNN Multiresolution Framework for Covid-19 Diagnosis using Chest X-RAY
[IEEE] 2026-5-26 | Brain Tumor Detection and Classification from MRI Scans Using Deep Learning
[IEEE] 2026-5-26 | PCB Board Defect Sorting System Based on Improved Detection Algorithm
[IEEE] 2026-5-26 | Computation–Accuracy Trade-Off in Service-Oriented Model-Based Control
[IEEE] 2026-5-26 | Hybrid CNN–XGBoost Model for Endometrial Cancer Detection from Histopathological Images
[IEEE] 2026-5-26 | Adaptive Event-Driven Regime Modelling of Non-Stationary Rainfall Under Climate Variability
[IEEE] 2026-5-26 | Comprehensive Voice-Based Pain Level Classification Utilizing Convolutional Neural Networks (CNNs)
[IEEE] 2026-5-26 | Smart Farming: Eggplant Leaf Disease Detection through Fine-Tuned DenseNet201 Deep Learning Model
[IEEE] 2026-5-26 | Revolutionizing Cloud Security through Federated Learning for Next-Gen Healthcare Systems in South Africa
[IEEE] 2026-5-26 | Physics-Informed Neural Networks for Aerodynamic Shape Optimization: A Machine Learning Approach to Accelerating Aircraft Design
[IEEE] 2026-5-26 | Modelling Predictive Uncertainty for Reliable Traffic Flow Forecasting Using UA-STTFF Framework
[IEEE] 2026-5-26 | Research Review on UAV-Based Air-Ground Small Target Detection and Tracking
[IEEE] 2026-5-26 | The On-Robot Computing Needs of Embodied AI
[ACM] 2026-5-27 | Interpretable Cross-Corner Timing Prediction Based on XGBoost-SHAP Solution
[ACM] 2026-5-27 | Random Dense Knowledge Distillation for Continual Learning
[IEEE] 2026-5-27 | Compensation of Frequency Shift Induced by the Electron Layer in Relativistic Magnetron
[IEEE] 2026-5-27 | Conference Calendar
[IEEE] 2026-5-27 | Shadow Distance Analysis of Agrivoltaic System in Bangladesh: From Geometry to Simulation
[IEEE] 2026-5-27 | Adaptive IR-HARQ System With Deep Learning-Based Early Prediction for URLLC Service
[IEEE] 2026-5-26 | PreSFC: Predictive SFC Migration via Multi-slot Mobility Forecasting in MEC Networks
[IEEE] 2026-5-27 | Enhanced Circle Method for Discriminating Incipient Faults in Power Transformers Using Dissolved Gas Analysis
[IEEE] 2026-5-27 | Reconstruction of curing temperature field evolution in epoxy composite insulators based on sparse monitoring data and reduced order modeling_supp1-3696940.docx
[IEEE] 2026-5-27 | Dynamic Escaping Population Driven Evolutionary Algorithm for Multi-objective Optimization Problems with Deceptive Constraints
[IEEE] 2026-5-27 | Towards a Data-Driven Approach for Early Identification of at-Risk Students in Higher Education
[IEEE] 2026-5-27 | Knee Point-Guided Online Cooperative Path Planning for UAVs in Dynamic Multi-Objective Environments_supp1-3694877.pdf
[IEEE] 2026-5-27 | Communication-Constrained Remote Power Grid Resilience Enhancement: Coordinated Planning of Unmanned Aerial Vehicles and Mobile Energy Storage Vehicles
[IEEE] 2026-5-27 | A Compact Design of Branch-Line Coupler Based Reactively Compensated Parallel Coupled-Lines
[IEEE] 2026-5-26 | Temperature-Insensitive Pressure Sensor Based on Bending-Induced Strain Gradient in Fiber Bragg Gratings
[IEEE] 2026-5-27 | Integrating Pathway Enrichment with Graph Attention Networks for Pan-Cancer Classification
[IEEE] 2026-5-27 | Genetic Algorithm with Optimised Extra Tree Ensemble for Enhanced Intrusion Detection in IoMT Networks
[IEEE] 2026-5-26 | Enhancing Drug-Induced Liver Injury Prediction via Multi-Representation Molecular Images with Grad-CAM Explainability and Functional Group Attribution
[IEEE] 2026-5-27 | Accelerating Time-Evolving Multiphysics Uncertainty Quantification of Millimeter Wave Components Using Reusable Preconditioning
[IEEE] 2026-5-27 | Analysis and Optimization of Fluid Antenna-Aided Cell-Free Massive MIMO With Imperfect CSI
[IEEE] 2026-5-26 | Resolving the Buildup Dynamics of Noise-like Pulse in Mamyshev Oscillator
[IEEE] 2026-5-27 | Event-Triggered Impulsive Control for Nonlinear Systems: A Q-Learning-Enhanced Memory-Based Method
[IEEE] 2026-5-26 | Personalized Lattice Influence Maximization: Approximation Guarantees and Robustness
[IEEE] 2026-5-26 | VTMedSeg: Geometry-guided Vision-Text Model with Concept-aware Fusion for Medical Ultrasound Image Segmentation
[IEEE] 2026-5-26 | Probabilistic Sparse Attention and Adaptive Domain Modeling for External Defect Detection in Transformers
[IEEE] 2026-5-27 | Modular Synthesis of Coupled-Resonator Filters Using Divide-and-Conquer Paradigms
[IEEE] 2026-5-27 | Design and Characterization of a Tendon-Driven Soft Robotic Gripper for Lightweight Manipulation
[IEEE] 2026-5-27 | A Vision-Based Four-Cable-Driven Positioning System with Cascade Control: Experimental Evaluation
[IEEE] 2026-5-27 | Stomata-Inspired Reconfigurable Square Ring Slot Antennas for 5G Applications
[IEEE] 2026-5-26 | Dynamic Beam Position Partitioning and Layout Adjustment in LEO Beam Hopping Systems
[IEEE] 2026-5-27 | DDoS Attack Detection in Cloud Systems Using a Hybrid Stacked Ensemble
[IEEE] 2026-5-27 | Pixels to Pursuit: Reinforcement Learning-Based Control Strategies for UAV-AGV Collaborative Systems
[IEEE] 2026-5-27 | Adaptive First-Person Shooter: Real-Time Game Difficulty Adjustment Based on Player Stress Levels
[IEEE] 2026-5-27 | A Hyper-Heuristic Framework for Human-In-The-Loop Combinatorial Optimization
[IEEE] 2026-5-27 | Machine Learning Approaches for RADAR-Based Warhead Target Classification Under Clutter Conditions
[IEEE] 2026-5-27 | SCIGaussian-D: Dynamic Scene Reconstruction from a Single Snapshot Compressive Image
[IEEE] 2026-5-27 | 2026 International Conference on 3D Vision (3DV)
[IEEE] 2026-5-27 | GALA: Guided Attention with Language Alignment for Open Vocabulary Gaussian Splatting
[IEEE] 2026-5-27 | MawaNet: A Custom Deep Classifier for Credit Card Fraud Detection
[ACM] 2026-5-26 | Optimizing Dropout in LLM Training: Performance Comparison of Fusion and Overlap
[ACM] 2026-5-26 | Offline Local Search for Online Stochastic Bandits
[IEEE] 2026-5-26 | Copyright and Reprint Permission
[IEEE] 2026-5-26 | Fault Analysis and Improvement of the Load Reducer for Bolter Miner
[IEEE] 2026-5-26 | Defect Detection of Photovoltaic Cells Based on Improved YOLO11n
