[2025-12-23 09:14:39] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-22
正在获取论文...
[arXiv] 2025-12-22 | Fourier dimension of imaginary Gaussian multiplicative chaos
[arXiv] 2025-12-22 | A Quantitative Entropy Power Inequality for Dependent Random Vectors
[arXiv] 2025-12-22 | Trigonometric continuous-variable gates and hybrid quantum simulations
[arXiv] 2025-12-22 | Convergence analysis for non-iterative sequential schemes for Biot's model
[arXiv] 2025-12-22 | Parameter estimation for the GWTC-4.0 catalog with phenomenological waveform models that include orbital eccentricity and an updated description of spin precession
[arXiv] 2025-12-22 | Finite-sample guarantees for data-driven forward-backward operator methods
[arXiv] 2025-12-22 | Validating the CROCODILE model within the AGORA galaxy simulation framework
[arXiv] 2025-12-22 | Non-Inductive Current Start-Up Using Multi-Harmonic Electron Cyclotron Wave and Current Ramp-Up Through Combined Electron Cyclotron Wave and Ohmic Heating in EXL-50U Spherical Torus
[arXiv] 2025-12-22 | FASTRIC: Prompt Specification Language for Verifiable LLM Interactions
[arXiv] 2025-12-22 | Point What You Mean: Visually Grounded Instruction Policy
[arXiv] 2025-12-22 | DPSR: Differentially Private Sparse Reconstruction via Multi-Stage Denoising for Recommender Systems
[arXiv] 2025-12-22 | GALATEA: The 15-m Galactic Archaeology Spectroscopic Surveyor
[arXiv] 2025-12-22 | Ultra-high precision high voltage system for PTOLEMY
[arXiv] 2025-12-22 | dMLLM-TTS: Self-Verified and Efficient Test-Time Scaling for Diffusion Multi-Modal Large Language Models
[arXiv] 2025-12-22 | Semileptonic neutral currents decays of $Ξ_b$ with dileptons or dineutrinos in the final state
[arXiv] 2025-12-22 | BV-BRST Noether theorem
[arXiv] 2025-12-22 | From Retrieval to Reasoning: A Framework for Cyber Threat Intelligence NER with Explicit and Adaptive Instructions
[arXiv] 2025-12-22 | Sculpting ultrafast mid-infrared light for solid-state high harmonic generation
[arXiv] 2025-12-22 | Mixed formulation and structure-preserving discretization of Cosserat rod dynamics in a port-Hamiltonian framework
[arXiv] 2025-12-22 | A Cartesian Cut-Cell Two-Fluid Method for Two-Phase Diffusion Problems
[arXiv] 2025-12-22 | Diagnosing the AGN population origin of TeV neutrinos with their spatial correlation
[arXiv] 2025-12-22 | Power feedback strategy based on efficiency trajectory analysis for HCPV sun tracking
[arXiv] 2025-12-22 | Asymptotic and monodromy problems for higher-order Painlevé III equations
[arXiv] 2025-12-22 | Sprecher Networks: A Parameter-Efficient Kolmogorov-Arnold Architecture
[arXiv] 2025-12-22 | ForeSpeed: A real-world video dataset of CCTV cameras with different settings for vehicle speed estimation
[arXiv] 2025-12-22 | The Semiclassical Limit of the 2D Dirac--Hartree Equation with Periodic Potentials
[arXiv] 2025-12-22 | Generative vector search to improve pathology foundation models across multimodal vision-language tasks
[arXiv] 2025-12-22 | First-Order Representation Languages for Goal-Conditioned RL
[arXiv] 2025-12-22 | Results on cubic bent and weakly regular bent $p$-ary functions leading to a class of cubic ternary non-weakly regular bent functions
[arXiv] 2025-12-22 | Simple Cubic Variance Functions on $\R^n$, Part one
[arXiv] 2025-12-22 | Search for Axion-Like Particles from Nearby Pre-Supernova Stars
[arXiv] 2025-12-22 | Causal-Guided Detoxify Backdoor Attack of Open-Weight LoRA Models
[arXiv] 2025-12-22 | Almost split sequences in abelian categories
[arXiv] 2025-12-22 | On a finite quasi birth-death process with catastrophes and its diffusion approximation
[arXiv] 2025-12-22 | Vibe Reasoning: Eliciting Frontier AI Mathematical Capabilities -- A Case Study on IMO 2025 Problem 6
[arXiv] 2025-12-22 | Local Topological Constraints on Berry Curvature in Spin--Orbit Coupled BECs
[arXiv] 2025-12-22 | On the large time behavior of the 2D inhomogeneous incompressible viscous flows
[arXiv] 2025-12-22 | Digital Twin-Driven Zero-Shot Fault Diagnosis of Axial Piston Pumps Using Fluid-Borne Noise Signals
[arXiv] 2025-12-22 | Laplacian Network Optimization via Information Functions
[arXiv] 2025-12-22 | 3SGen: Unified Subject, Style, and Structure-Driven Image Generation with Adaptive Task-specific Memory
[arXiv] 2025-12-22 | Precise control of high-frequency ultrasounds in thin crystals for the development of tunable narrowband and directional gamma-ray sources
[arXiv] 2025-12-22 | CO2-induced Rejuvenation in Polyetherimide: a New Key to Understand the Brittle-to-Ductile Transition in Mechanical Behavior of Nanocellular Polymers
[arXiv] 2025-12-22 | Comparison of the mixed-fermion-action Effects using different fermion and gauge actions with 2+1 and 2+1+1 flavors
[arXiv] 2025-12-22 | Anti-Malicious ISAC: How to Jointly Monitor and Disrupt Your Foes?
[arXiv] 2025-12-22 | Limitations of Entangled Two-Photon Absorption detection
[arXiv] 2025-12-22 | Optical parametric free-electron--photon quantum interaction
[arXiv] 2025-12-22 | Probing the delicate balance of the spontaneous fission instability in sub-μs superheavy nucleus 252Rf
[arXiv] 2025-12-22 | Obstacle problems for the fractional $p$-Laplacian on fractal domains: well-posedness and asymptotics
[arXiv] 2025-12-22 | Institutional Backing and Crypto Volatility: A Hybrid Framework for DeFi Stabilization
[arXiv] 2025-12-22 | Lagrangian fibrations on Nikulin-type orbifolds
[arXiv] 2025-12-22 | Formation of external particle jets on a spherical particle bed subjected to strong explosive loading
[arXiv] 2025-12-22 | ChemATP: A Training-Free Chemical Reasoning Framework for Large Language Models
[arXiv] 2025-12-22 | Identifying Features Associated with Bias Against 93 Stigmatized Groups in Language Models and Guardrail Model Safety Mitigation
[arXiv] 2025-12-22 | InvCoSS: Inversion-driven Continual Self-supervised Learning in Medical Multi-modal Image Pre-training
[arXiv] 2025-12-22 | MixKVQ: Query-Aware Mixed-Precision KV Cache Quantization for Long-Context Reasoning
[arXiv] 2025-12-22 | Self-Consistent Probability Flow for High-Dimensional Fokker-Planck Equations
[arXiv] 2025-12-22 | Configuration Work: Four Consequences of LLMs-in-use
[arXiv] 2025-12-22 | Smoothed Quantile Estimation: A Unified Framework Interpolating to the Mean
[arXiv] 2025-12-22 | ALMA Observations of Cold Methanol Gas in the Large Magellanic Cloud (LMC): N79 South GMC
[arXiv] 2025-12-22 | Raman Spectroscopy of Salt Deposits from the Simulated Subsurface Ocean of Enceladus
[arXiv] 2025-12-22 | Photonic Spiking Graph Neural Network for Energy-Efficient Structured Data Processing
[arXiv] 2025-12-22 | Learning Hamiltonians for $O(1)$ Oracle-Query Quantum State Preparation
[arXiv] 2025-12-22 | Practical Quantum-Classical Feature Fusion for complex data Classification
[arXiv] 2025-12-22 | L4: Low-Latency and Load-Balanced LLM Serving via Length-Aware Scheduling
[arXiv] 2025-12-22 | Vision-Language-Policy Model for Dynamic Robot Task Planning
[arXiv] 2025-12-22 | Localization and persistent currents in a quasiperiodic disordered helical lattice
[arXiv] 2025-12-22 | Probing quantum anomaly corrections on black hole physics through chaos
[arXiv] 2025-12-22 | Quantum decay of magnons in the unfrustrated honeycomb Heisenberg model
[arXiv] 2025-12-22 | Can We Test Consciousness Theories on AI? Ablations, Markers, and Robustness
[arXiv] 2025-12-22 | Beyond Sliding Windows: Learning to Manage Memory in Non-Markovian Environments
[arXiv] 2025-12-22 | A Flexible Field-Based Policy Learning Framework for Diverse Robotic Systems and Sensors
[arXiv] 2025-12-22 | Aerogel RICH Counter at the Belle II Detector
[arXiv] 2025-12-22 | A Convex Loss Function for Set Prediction with Optimal Trade-offs Between Size and Conditional Coverage
[arXiv] 2025-12-22 | Solving Stengle's Example in Rational Arithmetic: Exact Values of the Moment-SOS Relaxations
[arXiv] 2025-12-22 | Understanding Chain-of-Thought in Large Language Models via Topological Data Analysis
[arXiv] 2025-12-22 | WorldRFT: Latent World Model Planning with Reinforcement Fine-Tuning for Autonomous Driving
[arXiv] 2025-12-22 | Narrowband Frequency-Entangled Photon Source for Hong-Ou-Mandel Interferometry
[arXiv] 2025-12-22 | Specific Multi-emitter Identification: Theoretical Limits and Low-complexity Design
[arXiv] 2025-12-22 | AWPO: Enhancing Tool-Use of Large Language Models through Explicit Integration of Reasoning Rewards
[arXiv] 2025-12-22 | SAP: Syntactic Attention Pruning for Transformer-based Language Models
[arXiv] 2025-12-22 | Intelligent Sky Mirrors: SAC-Driven MF-RIS Optimization for Secure NOMA in Low-Altitude Economy
[arXiv] 2025-12-22 | On large queue lengths in generalised Jackson networks
[arXiv] 2025-12-22 | Conditioning Accept-Desirability models in the context of AGM-like belief change
[arXiv] 2025-12-22 | Unraveling time-varying causal effects of multiple exposures: integrating Functional Data Analysis with Multivariable Mendelian Randomization
[arXiv] 2025-12-22 | Sharp Decoupling Inequalities for the Variances and Second Moments of Sums of Dependent Random Variables
[arXiv] 2025-12-22 | AI-Driven Subcarrier-Level CQI Feedback
[arXiv] 2025-12-22 | Decoupled Generative Modeling for Human-Object Interaction Synthesis
[arXiv] 2025-12-22 | Advancing Accessibility: Augmented Reality Solutions for the Blind and Disabled in Bangladesh
[arXiv] 2025-12-22 | Classical double Grothendieck transitions
[arXiv] 2025-12-22 | Bose-Einstein Condensate dark matter with logarithmic nonlinearity
[arXiv] 2025-12-22 | Hydrodynamic Short-Range Correlations from Boltzmann-Langevin Equation
[arXiv] 2025-12-22 | A Surrogate-Augmented Symbolic CFD-Driven Training Framework for Accelerating Multi-objective Physical Model Development
[arXiv] 2025-12-22 | Finer-Personalization Rank: Fine-Grained Retrieval Examines Identity Preservation for Personalized Generation
[arXiv] 2025-12-22 | The Erasure Illusion: Stress-Testing the Generalization of LLM Forgetting Evaluation
[arXiv] 2025-12-22 | Operator Tail Densities of Multivariate Copulas
[arXiv] 2025-12-22 | PEAK: A Performance Engineering AI-Assistant for GPU Kernels Powered by Natural Language Transformations
[arXiv] 2025-12-22 | On finding formal power-logarithmic expansions of solutions to $q$-difference equations
[arXiv] 2025-12-22 | ORPR: An OR-Guided Pretrain-then-Reinforce Learning Model for Inventory Management
[arXiv] 2025-12-22 | A Universal Framework for Factorial Matched Observational Studies with General Treatment Types: Design, Analysis, and Applications
[arXiv] 2025-12-22 | Global strong solutions and asymptotic behavior for arbitrarily large initial data of the 2D compressible Navier-Stokes equations with transport entropy
[arXiv] 2025-12-22 | On Conditional Stochastic Interpolation for Generative Nonlinear Sufficient Dimension Reduction
[arXiv] 2025-12-22 | Superconductivity in multi-Weyl semimetals: Conditions for the coexistence of topological and conventional phases
[arXiv] 2025-12-22 | Training Multimodal Large Reasoning Models Needs Better Thoughts: A Three-Stage Framework for Long Chain-of-Thought Synthesis and Selection
[arXiv] 2025-12-22 | VOIC: Visible-Occluded Decoupling for Monocular 3D Semantic Scene Completion
[arXiv] 2025-12-22 | The Prism Hypothesis: Harmonizing Semantic and Pixel Representations via Unified Autoencoding
[arXiv] 2025-12-22 | From Indoor to Open World: Revealing the Spatial Reasoning Gap in MLLMs
[arXiv] 2025-12-22 | Efficient Vision Mamba for MRI Super-Resolution via Hybrid Selective Scanning
[arXiv] 2025-12-22 | A cosmologist's take on Little Red Dots
[arXiv] 2025-12-22 | A genus-zero surface with bounded curvature enclosing less volume than the unit sphere
[arXiv] 2025-12-22 | High-Precision Differential Radial Velocities of C3PO Wide Binaries: A Test of Modified Newtonian Dynamics (MOND)
[arXiv] 2025-12-22 | Escape from heterogeneous diffusion
[arXiv] 2025-12-22 | Rank-metric separation in irreducible representations of finite groups
[arXiv] 2025-12-22 | Influence of Magnetic Order on Proximity-Induced Superconductivity in Mn Layers on Nb(110) from First Principles
[arXiv] 2025-12-22 | InterACTing dark radiation models after ACT
[arXiv] 2025-12-22 | Ant Colony Optimisation applied to the Travelling Santa Problem
[arXiv] 2025-12-22 | Counterexamples for FX Options Interpolations -- Part II
[arXiv] 2025-12-22 | MauBERT: Universal Phonetic Inductive Biases for Few-Shot Acoustic Units Discovery
[arXiv] 2025-12-22 | Higher lattice gauge theory from representations of 2-groups and 3+1D topological phases
[arXiv] 2025-12-22 | The monodromy of cyclic Pryms
[arXiv] 2025-12-22 | Impact of Galaxy Cluster Environment on the Stellar Mass Function of Galaxies
[arXiv] 2025-12-22 | Towards a universal phase diagram of planar chiral magnets
[arXiv] 2025-12-22 | A Complete Characterization of Pythagorean Hodograph Preserving Mappings
[arXiv] 2025-12-22 | Geometric Progressions meet Zeckendorf Representations
[arXiv] 2025-12-22 | Patlak Parametric Image Estimation from Dynamic PET Using Diffusion Model Prior
[arXiv] 2025-12-22 | Universal BPS Structure of Scalar Kinks in Static Geometries
[arXiv] 2025-12-22 | The Schwarz-Pick Lemma as a Consequence of the Ahlfors-Schwarz-Pick Lemma
[arXiv] 2025-12-22 | Monoidal Ringel duality and monoidal highest weight envelopes
[arXiv] 2025-12-22 | Yang-Mills energy quantization over non-collapsed degenerating Einstein manifolds and applications
[arXiv] 2025-12-22 | Slip- and Twinning-Related Dissipation in AZ31B Magnesium Alloy
[arXiv] 2025-12-22 | The large deviation principle for the stochastic 3D primitive equations with transport noise
[arXiv] 2025-12-22 | Active Convolved Illumination with Deep Transfer Learning for Complex Beam Transmission through Atmospheric Turbulence
[arXiv] 2025-12-22 | A massively parallel non-overlapping Schwarz preconditioner for PolyDG methods in brain electrophysiology
[arXiv] 2025-12-22 | On the radii of Voronoi cells of rings of integers
[arXiv] 2025-12-22 | Residential structure survivability to large wildfires in the United States
[arXiv] 2025-12-22 | Anatomy-R1: Enhancing Anatomy Reasoning in Multimodal Large Language Models via Anatomical Similarity Curriculum and Group Diversity Augmentation
[arXiv] 2025-12-22 | Finite groups and complex projective surfaces
[arXiv] 2025-12-22 | Harnessing non-Hermiticity for efficient quantum state transfer
[arXiv] 2025-12-22 | Lightweight Intrusion Detection in IoT via SHAP-Guided Feature Pruning and Knowledge-Distilled Kronecker Networks
[arXiv] 2025-12-22 | Open Quantum Systems as Regular Holonomic $\mathcal{D}$-Modules: The Mixed Hodge Structure of Spectral Singularities
[arXiv] 2025-12-22 | Gold-polymer hybrid metasurface for polarization-independent enhanced third harmonic generation in the ultraviolet
[arXiv] 2025-12-22 | Emotion-Director: Bridging Affective Shortcut in Emotion-Oriented Image Generation
[arXiv] 2025-12-22 | MRI Simulation and Reconstruction Framework for Magnetic Vector Fields
[arXiv] 2025-12-22 | Pattern Avoiding Permutations as Walks
[arXiv] 2025-12-22 | Secondary cohomology operations and sectional category
[arXiv] 2025-12-22 | Sign Language Recognition using Parallel Bidirectional Reservoir Computing
[arXiv] 2025-12-22 | Holographic Tensor Networks as Tessellations of Geometry
[arXiv] 2025-12-22 | JEPA-Reasoner: Decoupling Latent Reasoning from Token Generation
[arXiv] 2025-12-22 | StoryMem: Multi-shot Long Video Storytelling with Memory
[arXiv] 2025-12-22 | Anomalous lattice specific heat and rattling phonon modes in quadruple perovskites
[arXiv] 2025-12-22 | Relative Bruhat decomposition of wonderful compactification
[arXiv] 2025-12-22 | Collective dynamics of higher-order Vicsek model emerging from local conformity interactions
[arXiv] 2025-12-22 | The Perspectives of Non-Ideal Quantum Reference Frames
[arXiv] 2025-12-22 | Constraints on Solar Reflected Dark Matter from a combined analysis of XENON1T and XENONnT data
[arXiv] 2025-12-22 | The asymptotic distribution of the likelihood ratio test statistic in two-peak discovery experiments
[arXiv] 2025-12-22 | A Unified Framework and Comparative Study of Decentralized Finance Derivatives Protocols
[IEEE] 2025-12-22 | Consistent Fully Automatic Image Colorization due to Bridging Fully Automatic and Point Interactive Models
[IEEE] 2025-12-22 | SWL-YOLO: A Synergistic Feature Fusion Strategy for Small Object Detection in Remote Sensing Images Based on YOLOv11
[IEEE] 2025-12-22 | Nonauditory Schemes for Universal Information Access: Translating Braille into Vibrotactile Cues for the Blind
[IEEE] 2025-12-22 | Enhancing Telemedicine Security In Advanced Methods For Tamper Detection And Recovery In Colour Medical Imaging
[IEEE] 2025-12-22 | Investigation on Electrical–Thermal-Stress Failure of GaN HEMTs Under High-Power Microwave-Induced Pulse Injection
[IEEE] 2025-12-22 | Unlock your Potential
[IEEE] 2025-12-22 | Scalable Multi-Site Test Architecture for Chiplet-based Systems on ATE Platforms
[IEEE] 2025-12-22 | Masthead
[IEEE] 2025-12-22 | Detecting Timestamp Anomalies in Network Ranging
[IEEE] 2025-12-22 | High-Precision Vehicle Positioning Fusion Method Using 5 G and GNSS in Urban Environments
[IEEE] 2025-12-22 | Dynamic Power Capping for Latency-Sensitive Cloud Applications: A Prediction-based Power Efficiency Approach
[IEEE] 2025-12-22 | IEEE Power Electronics Society Information
[IEEE] 2025-12-22 | IEEE Journal on Translational Engineering in Medicine and Biology publication information
[IEEE] 2025-12-22 | Half Title Page
[IEEE] 2025-12-22 | IC2ECT 2025 Copyright Page
[IEEE] 2025-12-22 | Author Index
[IEEE] 2025-12-22 | ICVTTS 2025 Abstract Page
[IEEE] 2025-12-22 | Cover Page
[IEEE] 2025-12-22 | Technical Program Committee
[IEEE] 2025-12-22 | Scaling Law Tradeoff Between Throughput and Sensing Distance in Large ISAC Networks
[IEEE] 2025-12-22 | Semantic Communications With Computer Vision Sensing for Edge Video Transmission
[IEEE] 2025-12-22 | Digital Twin for Capacity Estimation of Lithium-Ion Batteries with Large Language Models_supp1-3645866.pdf
[IEEE] 2025-12-22 | Co-located auto-fluorescence guided submicron infrared analysis of challenging sample geometry
[IEEE] 2025-12-22 | List of Committee
[IEEE] 2025-12-22 | A Refined Multi-Scale Reserve Capacity Configuration Method Based on Empirical Mode Decomposition and Kernel Density Estimation
[IEEE] 2025-12-22 | Design of a Miniaturized TR Module with Low RF Interference in K-band
[IEEE] 2025-12-22 | Design and Application of a Window-Based Fixture for Shielding Effectiveness Measurement
[IEEE] 2025-12-22 | Privacy-Preserving LLM Inference in Intelligent Enterprises: Threats, Defenses, and Research Frontiers
[IEEE] 2025-12-22 | A Literature Review on the Intelligent Pheromone Update Mechanism for ANT Colony Optimization in Metaheuristics
[IEEE] 2025-12-22 | MAVRIC: Enabling Vertical Link Misalignment Tolerance in 2.5D Photonic Interposer Networks
[IEEE] 2025-12-22 | Design and Application of Microwave 3dB Couplers
[IEEE] 2025-12-22 | Compact Broadband Discone Antenna for Electric Field Generators in EMC Testing
[IEEE] 2025-12-22 | Single-Branch Detection of Carrier-Envelope Offset and Beat Note for Strontium Optical Lattice Clocks Network Using a Dual-Pitch Waveguide
[IEEE] 2025-12-22 | FDTD Algorithm for Magneto-thermal Coupling Analysis
[IEEE] 2025-12-22 | Polarization Transformations and Compressed Sensing from Solution-processed, Meso-ordered, Metaphotonic Films
[IEEE] 2025-12-22 | Efficient Analysis of EM Scattering from Conducting Objects with Thin Lossy Coatings
[IEEE] 2025-12-22 | Driving Sustainable Development Through Data: A Looker Studio Dashboard for Philippine HEIs
[IEEE] 2025-12-22 | Ultra-Short Bessel Beam Enables High-Resolution Two-Photon Microscopic Imaging
[IEEE] 2025-12-22 | A Method for Rapid Calculation of Shielding Effectiveness of Irregular Cavities with Apertures
[IEEE] 2025-12-22 | Blockchain Framework for Shared Real Estate Ownership Certification Using Fractional NFTs
[IEEE] 2025-12-22 | Compact Design of Low-Loss Optical Vias for 3D Silicon Photonic Integrated Circuits
[IEEE] 2025-12-22 | Bionic Tactile Sensing with IPMC-Based Stacked Ion Sensor for Fingertip Applications
[IEEE] 2025-12-22 | BIC Driven Chirality in Triple-Notch Bianisotropic Dielectric Metasurfaces
[IEEE] 2025-12-22 | Convergence of Beam Propagation Through Turbulent Air Modelling Using Full-3D Statistics
[IEEE] 2025-12-22 | 3D Reprojection-Driven Robot Navigation Improves Depth Sensing
[IEEE] 2025-12-22 | Multimodal Approach for Depression Detection on Social Media: A Systematic Literature Review
[IEEE] 2025-12-22 | Development of an Automatic Trash Sorting System Using Vision Transformer (ViT) Model
[IEEE] 2025-12-22 | Is Viral Content Superman or Iron Man? the Factors Behind Successful Digital Content
[IEEE] 2025-12-22 | Assessing m-Government Service Quality: A Transformer-Based Sentiment and Topic Modeling Analysis of Indonesia's Police Super App
[IEEE] 2025-12-22 | Complementary Transmission in a Racetrack Resonator With Dual-Bus Waveguides
[IEEE] 2025-12-22 | Octave-Spanning Supercontinua Generation from a Sub-Millimeter-Length Gallium Phosphide Waveguide
[IEEE] 2025-12-22 | A Dual-Polarized and Double-Slot Vivaldi Antenna with Low Cross Polarization
[IEEE] 2025-12-22 | Design and Integration of a Range Extension Device Based on Wind-Solar Hybrid Power Generation for Electric Tricycles
[IEEE] 2025-12-22 | Direct Emission of Vector Vortex Beam (VVB) from Buried Heterostructure (BH) Laser
[IEEE] 2025-12-22 | Advanced Model Predictive Direct Torque Control with Space Vector PWM for Permanent Magnet Synchronous Motors
[IEEE] 2025-12-22 | CTC_STN: A Connectionist Temporal Classification Model for Industrial Text Recognition
[IEEE] 2025-12-22 | Cyber Hygiene Awareness and Practices Among Saudi Micro and Small Enterprises
[IEEE] 2025-12-22 | LLM-MVs: An LLM-Enhanced Materialized Views-Based Query Rewriting System
[IEEE] 2025-12-22 | Maneuvering Autonomous Vehicles in Urban Environments
[IEEE] 2025-12-22 | A thermal protection method of transmitter based on thermal monitoring mechanism
[IEEE] 2025-12-22 | Design of Multi Level H-Bridge Inverter for Single Phase AC Loads
[IEEE] 2025-12-22 | Research on the Suppression Function of Reactive Power Compensation Device Based on Harmonic Source Detection
[IEEE] 2025-12-22 | CSGAN: A Conditional Semi-Supervised Adversarial Learning Framework for Haptic Texture Recognition
[IEEE] 2025-12-22 | MSNR-Based Blind Source Separation for Mainlobe Jamming Suppression in Sum-Difference Four-Channel Systems
[ACM] 2025-12-22 | Leadfield Correction within a Two-Stage Champagne Framework for Head Motion Artifact Suppression in MEG
[IEEE] 2025-12-22 | MVP: A Multi-Sensor Vehicle-Mounted Positioning Framework for Autonomous Driving
[IEEE] 2025-12-22 | Geometric Insight in Solving Optimal Control Problems and the Emergence of Generalized Functions.
[IEEE] 2025-12-22 | Endmember Extraction from Hyperspectral Images Using Self-Dictionary Approach with Linear Programming_supp1-3624413.pdf
[IEEE] 2025-12-22 | TG-FCM: A Prediction Model of Transformer and GRU Fusion Based on Improved Fuzzy C-Mean_supp1-3646225.pdf
[IEEE] 2025-12-22 | Quadratic Equality Constrained Least Squares: Low-complexity ADMM for Global Optimality_supp1-3646132.pdf
[IEEE] 2025-12-22 | PriDFL: Computation-optimized Secure Aggregation with Byzantine-resilient in Decentralized Federated Learning
[IEEE] 2025-12-22 | Integrating Fault Diagnosis into Prognostics for Fuzzy Stochastic Distribution Control Systems: An Optimization-Based Online Approach
[IEEE] 2025-12-22 | ICORIS 2025 TOC
[IEEE] 2025-12-22 | 2025 7th International Conference on Cybernetics and Intelligent System (ICORIS)
[IEEE] 2025-12-22 | ICVTTS 2025 Contributor Page
[IEEE] 2025-12-22 | Cover Page
[IEEE] 2025-12-22 | Speech2Blend: A Hybrid Network for Speech-Driven 3-D Facial Animation by Learning Blendshape
[IEEE] 2025-12-22 | Distributed Secondary Control Based on Proportional-Integral Observers for Microgrids under DoS Attacks and Encoding Mechanisms
[IEEE] 2025-12-22 | LLM-Driven Design for Fluid Antenna Systems
[IEEE] 2025-12-22 | Table of Contents
[IEEE] 2025-12-22 | IEEE Computer Society Grants for Emerging Technology Activities
[IEEE] 2025-12-22 | A Representation Learning Approach to Feature Drift Detection in Wireless Networks
[IEEE] 2025-12-22 | Energy-Efficient Speed Planning for Automated Truck Platoon With Uncertainty-Aware Trajectory Prediction
[IEEE] 2025-12-22 | Federated Chain Context Optimization for Long-Tailed Multi-Label Image Classification
[IEEE] 2025-12-22 | IEEE Power Electronics Society Publication Information
[ACM] 2025-12-23 | Research on Orbit Routing of Satellites Based on Graph Reinforcement Learning
[ACM] 2025-12-23 | Optimization of Regional-Level Network Fault Tolerance Strategy for CDN Networks
[IEEE] 2025-12-22 | Coffee Bean Quality Classification Using the Variational Autoencoder and Support Vector Machine Algorithms
[IEEE] 2025-12-22 | A High-power microwave field-line coupling analysis method based on the antenna reciprocity theorem
[IEEE] 2025-12-22 | A Metasurface-Based Circularly Polarized Magneto-Electric Dipole Antenna With Wide Bandwidth for Ku Band
[IEEE] 2025-12-22 | Comparison Between Support Vector Machine, Naïve Bayes, and Long Short-Term Memory Methods on Sentiment Analysis Performance
[IEEE] 2025-12-22 | Automatic Pill Dispenser to Improve Medication Adherence in Elderly and Chronic Disease Patients
[IEEE] 2025-12-22 | Mediating Roles of AI-Driven Adoption in IT Agility Drivers on Digital Transformation
[IEEE] 2025-12-22 | Research and Application of Differential Mode Interference Monitoring Technology for MVB (Multifunction Vehicle Bus) Train Control Bus
[IEEE] 2025-12-22 | Research on Radar Signal Recognition Based on Deep Learning
[IEEE] 2025-12-22 | Smart Anti-Snoring Pillow with Rotating Disc: A Novel Design for Medical Robots in Sleep Caregiving Field
[IEEE] 2025-12-22 | Development of IoT-Enabled BLDC Motor Control System Integrated with Battery Management
[IEEE] 2025-12-22 | Focus-TimesNet: An Attention-Guided Deformable Network for Detecting Anomalies in Steel Manufacturing Processes
[IEEE] 2025-12-22 | Research on Amplitude Statistics from Composite Rough Surface with Vegetated Sub-Regions Based on the SBR-VRT Hybrid Method
[IEEE] 2025-12-22 | Talk-To-Your-Data: Bridging Human Language and SQL with AI
[IEEE] 2025-12-22 | Deflicker-Awared Foggy Video Generation for UAV Defogging
[IEEE] 2025-12-22 | Improving Medical Image Segmentation Using Gaze Guidance from Non-Professionals
[IEEE] 2025-12-22 | Model-Based Investigation of Regenerative Braking Impact on Electric Vehicle Battery Performance Under Indian Driving Conditions
[IEEE] 2025-12-22 | Progress in Chip-Based Quantum Key Distribution
[IEEE] 2025-12-22 | Evaluation of Healthcare Professionals' Satisfaction with the Use of AI in Supporting Clinical Diagnosis
[IEEE] 2025-12-22 | Enhanced Flood Rescue Operations with Vision-based Object Detection and Recognition
[IEEE] 2025-12-22 | Voltage Inversion based on Three-dimensional Simulated Charge Method with Improved Genetic Algorithm
[IEEE] 2025-12-22 | A SBR Algorithm for Near-field RCS Simulation of Targets
[IEEE] 2025-12-22 | A Comprehensive Photon Detection Probability Model for CMOS Single-Photon Avalanche Diodes
[IEEE] 2025-12-22 | Heart Disease Prediction Using Random Forest in Machine Learning Using The Concepts of Data Mining
[IEEE] 2025-12-22 | Implementation of Pre-Trained Model Wav2Vec2 XLS-R for Reciting of Quran Verses Accuracy Detection
[IEEE] 2025-12-22 | A New Platform for Investigation of Electrode Moving Speed Effect and Characteristics in Small-gap Electrostatic Discharge
[IEEE] 2025-12-22 | Evaluating Communication Performance in Private 5G Smart Factory Deployments
[IEEE] 2025-12-22 | An Improved Diagnosis System with Dynamic Weight Learning and Trustworthy Evaluation
[IEEE] 2025-12-22 | Power Consumption Forecasting Method Based on Multi-Model Fusion
[IEEE] 2025-12-22 | Non-Hermitian Time Topology from Complex Momentum Bands
[IEEE] 2025-12-22 | Research on Security-Constrained Economic Dispatch for Power Systems Based on Broad-Deep Fusion Learning
[ACM] 2025-12-22 | From Thousands to a Handful: Streamlining Breast Cancer Pathway Enrichment with LLMs
[ACM] 2025-12-22 | Gene Regulatory Network Inference from Pseudotime-Ordered scRNA-seq Data via Time-Lagged Divergence Measures
[IEEE] 2025-12-22 | Front Matter
[IEEE] 2025-12-22 | IC2ECT 2025 TOC
[IEEE] 2025-12-22 | ICVTTS 2025 TOC
[IEEE] 2025-12-22 | Cross-Modal Meta-Generalization for Silent Speech Recognition via Ultrasound Tongue Images
[IEEE] 2025-12-22 | Towards a Framework of Innovation Ecosystem Performance: A Case Study
[IEEE] 2025-12-22 | Table of Contents
[IEEE] 2025-12-22 | Robot-Assisted Surgery: A Comprehensive Review of Literature, Challenges, Ethical Considerations, and Current Trends
[IEEE] 2025-12-22 | FAS-LLM: Large Language Model–Based Channel Prediction for OTFS-Enabled Satellite–FAS Links
[IEEE] 2025-12-22 | How Does Firms' Artificial Intelligence Adoption Affect Different Stakeholders? A Systematic Review and the AIMS Framework_supp1-3646221.docx
[IEEE] 2025-12-22 | IEEE Transactions on Networking Society Information
