[2026-05-26 23:10:01] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-05-25
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202605250000+TO+202605252359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ResponseError('too many 429 error responses'))
[IEEE] 2026-5-25 | Nezha-FX: A Morphing HAUV Designed Based on Balanced Cross-Domain Performance Optimization
[IEEE] 2026-5-26 | 2026 International VLSI Symposium on Technology, Systems and Applications (VLSI TSA)
[IEEE] 2026-5-26 | A Novel Deep Learning Ensemble for Cross-Protocol DeFi Risk Management: Liquidity-Aware Triangulation and Anomaly Detection using Attention-Weighted LSTM Autoencoder and Isolation Forest
[IEEE] 2026-5-26 | Progressive U-NET with Soft-Gated Piecewise Polynomial Activation for Retinal Vessel Segmentation
[IEEE] 2026-5-25 | Variable-Temperature Magnetic Properties Measurement and Improved Temperature-coupled Bertotti Core-Loss Modeling of Fe-Based Amorphous Alloy
[IEEE] 2026-5-26 | A Scalable and Latency-aware HBF Precoding Design for LEO Satellite Communications
[IEEE] 2026-5-26 | Health Assistant for Disease Prediction Using Hetero-associative Memory and Large Language Models
[IEEE] 2026-5-26 | A Safety-Oriented Self-Learning Algorithm for Autonomous Driving: Evolution Starting From a Basic Model
[ACM] 2026-5-26 | Moltbook and Artificial (Proto) Life
[IEEE] 2026-5-25 | Analysis of a UHV Converter Transformer Electrostatic Ring Discharge Failure
[IEEE] 2026-5-25 | Research on Multi Factor Coupling Modeling and Prediction Optimization Method for Distributed Photovoltaic Power Station Generation Power
[IEEE] 2026-5-25 | A Two-Layer Architecture of BiLSTM Prediction and Nonlinear MPC for Coordinated Multi-Unit PEMWE Hydrogen Production
[IEEE] 2026-5-25 | Lightweight Power Quality Disturbance Recognition for Edge Monitoring in Distribution Networks
[IEEE] 2026-5-25 | Analysis and Damping Control of Low-Frequency Oscillations in Renewable-Integrated Power Systems: A Brief Review
[IEEE] 2026-5-25 | Multi-Source Spatio-Temporal Prediction of EV Charging Demand Based on Spatial Behavior Clustering
[ACM] 2026-5-26 | The Price of Strategic Information: Degree-Based Bounds on Inefficiency in Distributed Learning Games
[ACM] 2026-5-26 | Cross-Chain Arbitrage: The Next Frontier of MEV in Decentralized Finance
[ACM] 2026-5-26 | SageServe: Optimizing LLM Serving on Cloud Data Centers with Forecast Aware Auto-Scaling
[ACM] 2026-5-26 | The End of the Digital Age
[ACM] 2026-5-26 | cuPTW: Leveraging Idle Compute Units for Massively Parallel GPU Page Table Walks
[IEEE] 2026-5-25 | A Study on the Mechanism and Coordinated Control of the Conflict Between Excessive Short-Circuit Current and Insufficient Short-Circuit Ratio at the “Desert, Gobi, and Wasteland” New Energy Base
[IEEE] 2026-5-26 | Pushing physical limits and uncovering motion templates of spine-based quadruped locomotion via reinforcement learning
[IEEE] 2026-5-26 | EdgeCaps: Pruned Capsule Networks for RF Vital Sign Measurement in Real-time
[IEEE] 2026-5-26 | Investigation on the Equilibrium Law and Equilibrium Coefficient Model of Methanol in Oil-Paper Insulation of Transformer
[IEEE] 2026-5-25 | Hypersharpening Using Inter-cluster Sample Equalization and Intra-cluster Low-rank Constraints
[IEEE] 2026-5-25 | A High-Gain Loop-Shaping-Based Real-Time Iterative Compensation Control Applied to Ultraprecision Wafer Stages
[IEEE] 2026-5-25 | Fractional and Fractal Theory for Progressively Scaled Pharmacokinetic Compartment Models with Anomalous Diffusion
[IEEE] 2026-5-25 | Orchestrating Data Collection and Computation in Green IoT Networks
[IEEE] 2026-5-25 | Critically Damped Output-Feedback Positioning System for PMSM Servo Drives With Model-Independent Observer and Disturbance Observer via Pole-Zero Cancellation
[IEEE] 2026-5-25 | Fast Robust Dual Dynamic Programming for Multi-Stage Robust Intra-Day Microgrid Scheduling
[IEEE] 2026-5-25 | Research on Transmission Line Image Monitoring Technology Based on Ultra-High-Pixel Imaging
[IEEE] 2026-5-25 | Proactive Rolling Optimization-Based Scheduling Method for Off-Grid Flexible Synthetic Ammonia System
[IEEE] 2026-5-25 | Power Optimization Allocation Strategy for Wind-Storage Frequency Regulation Considering Stability and Economic Efficiency
[IEEE] 2026-5-25 | Hierarchical Coordinated Control of Source-Grid-Load-Storage in Highly Resilient Power Grids
[IEEE] 2026-5-25 | A Continuous Wavelet Transform Framework with Frequency-Enhanced Convolutional Attention for Bearing Fault Classification
[ACM] 2026-5-26 | Enhancing Human Mobility Prediction with Spatially Aware LLM-based Multi-Agent Systems
[ACM] 2026-5-26 | Towards More Realistic Natural Language Queries in Text-to-SQL Benchmarks
[ACM] 2026-5-26 | Shedding Light on Shadows: Automatically Tracing Illicit Money Flows on EVM-Compatible Blockchains
[IEEE] 2026-5-26 | BidHub: A Flask-MongoDB based Real-Time Auction Platform
[IEEE] 2026-5-26 | Vision-Energy Coupled Robotic Dry Ice Cleaning with Adaptive Trajectory Planning for Runway Prism Lights
[IEEE] 2026-5-26 | HOTP - High-conf Only Taken Predictor for Efficient Superscalar Multi-level Branch Predictor
[IEEE] 2026-5-26 | Organizing Committee
[ACM] 2026-5-26 | ResBench: A Comprehensive Framework for Evaluating Database Resilience
[IEEE] 2026-5-26 | Broad-Band Nolen Beamforming Matrix Inspired by Groove Gap Waveguide Technology for Multi-Beam Antenna Arrays in mmWave Satellite-Oriented Space Multiplexing Systems
[IEEE] 2026-5-26 | A Novel Method to Evaluate Interfacial Pressure in Cable Joints using Dynamic Mechanical Analysis
[IEEE] 2026-5-25 | Automated Refactoring for Conditional Branching
[IEEE] 2026-5-26 | Information of Opportunity-aided VI-SLAM for Enhancing Accuracy in Perpetual GNSS-Denied Environments Without Loop Closure
[IEEE] 2026-5-26 | Self-SIDNet: A Self-supervised Network for Winter Arctic Sea Ice Drift Extraction from AMSR2 Passive Microwave Data
[IEEE] 2026-5-26 | Ultrasound Slice-to-Volume Registration via Artifact-Suppressed Ultra-Feature Learning
[IEEE] 2026-5-26 | Robust Model Predictive Control of a Four-Switch Buck-Boost Converter for Fast Dynamic Response with Guaranteed ZVS
[IEEE] 2026-5-25 | Transition-Region Co-Optimization for Enhanced
                    <i>dV/dt</i>
                    Ruggedness in 4H-SiC MOSFETs
[IEEE] 2026-5-25 | Transformer-Enhanced Machine Learning Framework for Advanced Palm Biometric Recognition
[IEEE] 2026-5-25 | CMPCC: Cross-modal Point Cloud Completion Model Fusing Single-view Images and Partial Point Clouds
[IEEE] 2026-5-26 | Continuous-Time Opinion Dynamics on Heterogeneous Multiple Interdependent Topics
[IEEE] 2026-5-25 | LMFF-Net: Lightweight Multi-Scale Feature Fusion Object Detection for Underwater IoT Networks
[IEEE] 2026-5-26 | From Keystrokes to Semantics: Acoustic Side-Channel Attacks on Typed Text Using Deep Neural Networks and Large Language Models
[IEEE] 2026-5-25 | Communication-Efficient Dual-Branch Transmission with Semantic Masks and Quantized Features for V2X Cooperative Perception
[IEEE] 2026-5-25 | Detection Method for Mechanical Deformation of Autotransformer Winding Based on Frequency Response and DATN Algorithm
[IEEE] 2026-5-26 | Scattering Aware Episodic Adaptation for Few-Shot HRRP ATR Using Large Language Models
[IEEE] 2026-5-26 | A Single-Motor Vibration-Driven Microrobot with Terrain Adaptability for Robust Cross-Material Locomotion
[IEEE] 2026-5-26 | Crop and Weed Detection in Agricultural Fields Using Few-Shot Object Detection
[IEEE] 2026-5-26 | Interlayer and Band-Engineered Charge Trap Flash Enabling Low Voltage and Reliable Quad Level Operation
[IEEE] 2026-5-26 | Strain Engineering for Next-Generation FDSOI MOSFET, Probing CESL Relaxation with Xe, Ar, and Ge Ion Implantation
[IEEE] 2026-5-26 | A Near Zero-DC Readout Circuit for CMOS Image Sensors
[IEEE] 2026-5-26 | Implementation of a Lightweight Compression Architecture for Real-Time UHD Video Integration on FPGA
[IEEE] 2026-5-26 | Next Generation Electronics Enabled by Growth-based Monolithic Integration of 2D Materials
[IEEE] 2026-5-26 | MoS
                    <sub>2</sub>
                    and WSe
                    <sub>2</sub>
                    Transistors for Next-Generation Electronics
[IEEE] 2026-5-26 | &gt; 60 GHz Antenna-in-Package with Integrated Lead-Frame Thermal Path and Low-Dk/Df Molding for Multi-Chip Systems
[IEEE] 2026-5-26 | Symptom-Based Disease Prediction Using Machine Learning and Chatbot Interface
[IEEE] 2026-5-26 | Tracked Unmanned Ground Vehicle Navigation Based on A* Algorithm
[IEEE] 2026-5-26 | Robust Stabilization for Nonlinear Networked Control Systems with Intelligent Estimator
[IEEE] 2026-5-26 | Co-Design of Dynamic Decoupling and Robust Control for High-Speed Magnetic Bearing Systems
[IEEE] 2026-5-26 | Energy Efficient Navigation of Autonomous Mobile Robots Using Euler Spiral Based Trajectories
[IEEE] 2026-5-26 | Total Ionizing Dose Effects on 28nm Microchip RT Polarfire
                    <sup>®</sup>
                    FPGA SRAM Physical Unclonable Functions
[IEEE] 2026-5-26 | Characterization of SEEs on Gemini APU In-Memory Processors Under Heavy Ion Radiation
[IEEE] 2026-5-26 | TID Induced Parametric Degradation of Commercial-Off-the-Shelf Electronics and their SEE Responses
[IEEE] 2026-5-26 | Total Dose and Single-Event Effects Testing of the ISL75054 Ultra-Low Noise LDO
[IEEE] 2026-5-26 | Dynamic Optimal Power Flow for an Isolated Microgrid Using a Cheetah Optimizer
[IEEE] 2026-5-26 | The Aerospace Corporation's Compendium of Recent Radiation Testing Results
[IEEE] 2026-5-26 | Seed Classification Using Deep Learning and Image Processing
[IEEE] 2026-5-26 | High-Efficiency Stratospheric Aerosol: Radiative Modeling of Silver-Doped Titania Nanoparticles for Solar Radiation Management
[IEEE] 2026-5-26 | End-to-End Causal Inference with LLM Agents via a Structured Framework
[IEEE] 2026-5-26 | $\text{IMA}_{i}\text{Gen}$: A Cross-Modal Image-to-Music Generation with a Non-Deep Learning Core
[IEEE] 2026-5-26 | Financial Benefit of Interchangeability of Power Transformers on the Eskom Standard Plinth
[IEEE] 2026-5-26 | An AI/ML Framework for Proactive Cyber Threat Detection in Uncrewed Aerial Vehicles
[IEEE] 2026-5-26 | GAN-Based Detection of Synthetically Generated Satellite Imagery
[IEEE] 2026-5-26 | Machine Learning-Based Real-Time Cardiovascular Risk Assessment for Spaceflight: A Multi-Biomarker Approach Using Inspiration4 Mission Data
[IEEE] 2026-5-26 | Automated Framework for Intelligent Interview Preparation and Evaluation
[IEEE] 2026-5-26 | Simulating Survival in Glioblastoma: Clinical Decision Tool Based on MGMT and IDH1 Biomarkers
[IEEE] 2026-5-26 | A Low-Cost PWM-Controlled Driver Circuit for Bioelectronic Medicine
[IEEE] 2026-5-26 | LATTA: Langevin-Anchored Test-Time Adaptation for Enhanced Robustness and Stability
[IEEE] 2026-5-26 | Enhanced Accuracy in Residential Security Using AI-Driven Multi-Model Face Recognition
[IEEE] 2026-5-26 | TruthLens: A ResNet CNN Approach for Detecting Manipulated Media
[IEEE] 2026-5-26 | DeepLymphNet: A Deep Learning and approach for Acute Lymphoblastic Leukemia Detection
[IEEE] 2026-5-25 | Learning for Statistical Channel Fingerprint-Based Positioning in Massive MIMO System: Static Mapping and Dynamic Tracking
[IEEE] 2026-5-25 | Robust Target-Sensitive Region Segmentation via Adaptive Frequency Fusion and Dynamic Optimization
[IEEE] 2026-5-25 | Uncertainty Modeling for Domain Generalization in Cross-Scene Hyperspectral Image Classification
[IEEE] 2026-5-26 | IoT-Based Adaptive Low-Power Microgrid for Villages with Ring Main Theorem
[IEEE] 2026-5-26 | Array Scale Evaluations of High-k Inside Memory Hole (HIM) Structure for Advanced Z-scaling of 3D Flash Memory
[IEEE] 2026-5-26 | Materials to Systems Co-Optimization (MSCO) Modeling Platform for PPA projections from Novel Material and Process Innovations Targeting Next Generation DRAM Technologies
[IEEE] 2026-5-26 | Numerical Simulation of the Three-Phase Flow Characteristics of Solid-Liquid-Gas in the Filling Valve Based on CFD-DEM
[IEEE] 2026-5-26 | TensorDynamic: Bridging Application- and Instruction-Level Fault Injection for DNN Tensor Core Execution
[IEEE] 2026-5-26 | A Hybrid Approach for Stock Market Sentiment and Price Movement Analysis Using Machine Learning
[IEEE] 2026-5-26 | Human-in-the-Loop Neural Architectures for Collaborative Autonomous Intelligence
[IEEE] 2026-5-26 | AI-Based Risk Assessment of Alzheimer's Conversion Using Brain Age Prediction Models
[IEEE] 2026-5-25 | Research on Dual-Frequency Penetrating Radio Wave Detection Method and Application in Fault Structures of Coal Seam Working Face
[IEEE] 2026-5-25 | Refined State-error-based Model Predictive Control and Flight Testing of Eagle of Taihu 10: A Canard-Configured Tail-Sitter Technology Demonstrator
[IEEE] 2026-5-25 | Design and Analysis of a High Torque Density FSPM Machine with Enhanced Low Pole-Pair Working Magnetic Field
[IEEE] 2026-5-25 | Full-period one-shot prediction of Li-ion battery aging trajectories via multi-view encoding
[IEEE] 2026-5-25 | OMARF: An Orchestrated Multi-Agent Resilience Framework for Autonomic Software-Defined Offshore Wind Industrial Networks
[IEEE] 2026-5-25 | End-to-End Through-Wall Respiratory Waveform Reconstruction for 60-GHz MIMO FMCW Radar
[IEEE] 2026-5-25 | Energy-aware Adaptive Topology Control for UOWSNs_supp1-3693790.pdf
[IEEE] 2026-5-25 | Sensor Data Quality Scoring for MEMS Accelerometers Via Spectral Anomaly Detection
[IEEE] 2026-5-25 | Cross-Center Surgical Step Recognition in Standardized Training Tasks: Dataset, Baselines, and Transfer Analysis
[IEEE] 2026-5-25 | Large Deviation Analysis for the Reverse Shannon Theorem
[IEEE] 2026-5-25 | Truncated Sparse Regularization Adjustment Method for Radar Forward-Looking Azimuth Super-Resolution Imaging
[IEEE] 2026-5-25 | Quantum Hardware-in-The-Loop for Optimal Power Flow in Renewable-Integrated Power Systems
[IEEE] 2026-5-25 | Metasurface-Assisted Ultra-Wideband Radar for High-Sensitivity Non-Contact Respiratory Detection
[IEEE] 2026-5-25 | A Lithium-Ion Battery SOC Estimation Method Based on an Attention-Residual Bidirectional LSTM Network
[IEEE] 2026-5-25 | An Improved Affine Optimization Method for Lowcarbon Dispatch in Multi-Energy Microgrids Considering Source-Load Correlation
[IEEE] 2026-5-25 | Physics-Informed BiLSTM with Adaptive Gated Fusion for Lithium-Ion Battery State-of-Health Estimation
[IEEE] 2026-5-25 | Finite Element Simulation Analysis of Tritium Transport in Lithium-Lead Droplets Inside Vacuum Sieve Tray
[IEEE] 2026-5-25 | Wasserstein Distributionally Robust Optimization for Park-Level Integrated Energy Systems
[ACM] 2026-5-26 | Clinical XAI: A Tutorial on Concepts, Methods, and Modalities from Linear Models to LLMs
[IEEE] 2026-5-26 | Computation–Accuracy Trade-Off in Service-Oriented Model-Based Control
[IEEE] 2026-5-26 | Brain Tumor Detection and Classification from MRI Scans Using Deep Learning
[IEEE] 2026-5-26 | Secure-BSM: Blockchain-Assisted Collaborative Misbehavior Detection in Vehicular Networks
[IEEE] 2026-5-26 | Research Review on UAV-Based Air-Ground Small Target Detection and Tracking
[IEEE] 2026-5-26 | The On-Robot Computing Needs of Embodied AI
[IEEE] 2026-5-26 | Enhanced Methane Production and Real-Time Nutrient Assessment in Automated Biogas Systems
[ACM] 2026-5-26 | CloudJump III: Optimizing Cloud Databases for Tiered Storage
[ACM] 2026-5-26 | CLAPS: A Load-Aware Proxy Resource Pooling System for Reducing Resource Redundancy in Large-Scale Cloud Storage
[ACM] 2026-5-26 | SAGE: Explainable Semantic-Aware Graph-Based Entity Integration for Heterogeneous Data Sources
[IEEE] 2026-5-26 | Modelling Predictive Uncertainty for Reliable Traffic Flow Forecasting Using UA-STTFF Framework
[IEEE] 2026-5-26 | FindTogether: AI-Powered Missing Person Detection and Collaboration System with Social Dashboard
[IEEE] 2026-5-26 | Dynamic Beam Position Partitioning and Layout Adjustment in LEO Beam Hopping Systems
[IEEE] 2026-5-25 | From Dual-Stream Manifold-Aligned Tokenizer to Latent Sensor-Invariant Consistency Model: Rapid Generative Super-Resolution for Cross-Sensor Remote Sensing Imagery
[IEEE] 2026-5-26 | Resolving the Buildup Dynamics of Noise-like Pulse in Mamyshev Oscillator
[IEEE] 2026-5-25 | A Novel INFORM Strategy Based on Bidirectional Voltage-Vector Injection for Low-Speed Sensorless PMSM Control Considering Armature Reaction
[IEEE] 2026-5-26 | Personalized Lattice Influence Maximization: Approximation Guarantees and Robustness
[IEEE] 2026-5-25 | Few-Shot Cross-Domain Indoor Localization via Multi-Modal Feature Refinement
[IEEE] 2026-5-26 | Temperature-Insensitive Pressure Sensor Based on Bending-Induced Strain Gradient in Fiber Bragg Gratings
[IEEE] 2026-5-26 | Enhancing Drug-Induced Liver Injury Prediction via Multi-Representation Molecular Images with Grad-CAM Explainability and Functional Group Attribution
[IEEE] 2026-5-26 | Predicting Student Performance in Architectural Visualization: A Random Forest Comparison of Core and Elective Student Groups
[IEEE] 2026-5-26 | ADD-Net-MRI: An Explainable Deep Learning Approach for Early Alzheimer’s Detection
[IEEE] 2026-5-26 | Uplink User Association and Resource Allocation in Integrated Terrestrial and Non-Terrestrial Networks
[IEEE] 2026-5-26 | Structural Damage Assessment and Repair Estimation Using Convolutional Neural Networks
[IEEE] 2026-5-26 | Characterization and Compensation of Deadband Nonlinearities in a Scaled Hydraulic Excavator for Human-Machine Interface Research
[IEEE] 2026-5-25 | Federated Contrastive Diffusion Prototypes for Robust Private Learning
[IEEE] 2026-5-25 | User-Guided Visual Analytics of Genome-wide DNA Methylation Data Based on Self-Organizing Maps
[IEEE] 2026-5-26 | Physics-Informed Neural Networks for Aerodynamic Shape Optimization: A Machine Learning Approach to Accelerating Aircraft Design
[IEEE] 2026-5-26 | Solar-Powered Blackspot Alert System
[IEEE] 2026-5-26 | An Effective Classification of Potato Leaf Diseases Using Hybrid Deep Learning Schemes
[IEEE] 2026-5-26 | PCB Board Defect Sorting System Based on Improved Detection Algorithm
[IEEE] 2026-5-26 | A Study on Digital Twin-Driven Predictive Maintenance Methods for High-Speed Winding and Baling Equipment
[IEEE] 2026-5-26 | Hybrid CNN–XGBoost Model for Endometrial Cancer Detection from Histopathological Images
[IEEE] 2026-5-26 | Adaptive Event-Driven Regime Modelling of Non-Stationary Rainfall Under Climate Variability
[IEEE] 2026-5-26 | An Ultra-Fast 3P0V Multi-Level Cell Programming Algorithm for Inference Context Memory Storage (ICMS)
[IEEE] 2026-5-26 | Degradation State Assessment of Rolling Bearings by Integrating Mechanism Knowledge with Multi-Scale Temporal Convolutional Networks
[IEEE] 2026-5-26 | AgroSSL-Net: A Self-Supervised Deep Learning Framework for Crop Health Monitoring
[IEEE] 2026-5-26 | An Effective CNN Multiresolution Framework for Covid-19 Diagnosis using Chest X-RAY
[IEEE] 2026-5-26 | Macro Block Optimization Floor Plan and Placement at Advanced 7nm Node Using Synopsys ICC2
[IEEE] 2026-5-26 | Resource Allocation for Multi-Domain Network Slicing: A Transfer Learning Approach
[IEEE] 2026-5-26 | Research on Gear Deviation Patterns Based on Rolling Inspection Technology
[IEEE] 2026-5-26 | Fake Review Detection Based on LOFD-EGCNN Model
[IEEE] 2026-5-25 | A Unified Perceptual-Physical Framework for Real-Time Underwater Motion Simulation of Immersive Agents and Large-Scale Crowds
[IEEE] 2026-5-25 | False Alarm Rate-Controllable Maritime Target Detection Via Cross-Attention Transformer Network
[IEEE] 2026-5-26 | PreSFC: Predictive SFC Migration via Multi-slot Mobility Forecasting in MEC Networks
[IEEE] 2026-5-26 | Probabilistic Sparse Attention and Adaptive Domain Modeling for External Defect Detection in Transformers
[IEEE] 2026-5-26 | Smart Farming: Eggplant Leaf Disease Detection through Fine-Tuned DenseNet201 Deep Learning Model
[IEEE] 2026-5-26 | A Non-Contact Volume Measurement System using a RGB-D Camera
[IEEE] 2026-5-26 | Heavy Ion-Induced Single-Event Effects in eGaN HEMTS
[IEEE] 2026-5-26 | A Multimodal Deep Learning Approach for Emotion-Aware Speech Recognition
[IEEE] 2026-5-26 | Deep Learning for Soil Type Detection: A CNN Approach to Agricultural Insights
[IEEE] 2026-5-26 | AI-Powered Cyber Defense Desktop Application with Real-Time Behavioral Analysis, Threat Intelligence
[IEEE] 2026-5-26 | How State Space Machines can help African Speech Language Identification
[IEEE] 2026-5-26 | Advancements in Brain Tumor Analysis and Early Detection through MRI Imaging and Explainable AI Techniques
[IEEE] 2026-5-26 | Comprehensive Voice-Based Pain Level Classification Utilizing Convolutional Neural Networks (CNNs)
[IEEE] 2026-5-26 | Moodify AI: An Intelligent Air-Drumming System Using Computer Vision and Artificial Intelligence for Real-Time Musical Interaction
[IEEE] 2026-5-26 | Revolutionizing Cloud Security through Federated Learning for Next-Gen Healthcare Systems in South Africa
[IEEE] 2026-5-26 | VTMedSeg: Geometry-guided Vision-Text Model with Concept-aware Fusion for Medical Ultrasound Image Segmentation
[ACM] 2026-5-25 | Hearing Materials, Feeling Participation, Caring for Personhood: Situated Lessons from Participatory Design with Nonverbal Participants
[ACM] 2026-5-25 | Enacting Utopias: A Participatory Design Approach to AI
[ACM] 2026-5-25 | Participatory Design through the Lenses of Women Architects and Designers
[IEEE] 2026-5-25 | FedGDD: Defending Federated Learning Against Targeted Model Poisoning Sybil Attacks Based on Gradient Drift Detection
[IEEE] 2026-5-25 | Implicit Continuous Full-spectrum Response Network for Visible-to-Infrared Image Translation
[IEEE] 2026-5-25 | Integrated UAV and Satellite Observations for Antarctic Melt Pond Monitoring: Assessing the Melt-induced Risk for Transportation on Landfast Ice_supp1-3695914.docx
[IEEE] 2026-5-25 | An Accelerated Vectorized Discrete Ordinate Method With Forward and Jacobian Modules Developed Toward Advanced Satellite Data Assimilation
[IEEE] 2026-5-25 | Disk-Integrated Lunar Phase Curves from FY-4B/AGRI: Hapke Photometric Modeling from 470 nm to 2230 nm
[IEEE] 2026-5-25 | Point-RMAE: Reinforcement Masked Autoencoder for 3D Representation Learning_supp1-3694193.pdf
[IEEE] 2026-5-25 | High-Speed CMOS ADCs for 5G New Radio and AI-Edge Systems: Design Trends and Trade-Offs
[IEEE] 2026-5-25 | S-Edge: A Multi-Region Edge Computing Framework with Adaptive Data Compression and Dynamic Load Balancing
[IEEE] 2026-5-25 | Quantum Key Distribution For Optical Satellite Communications: An Engineering-Oriented Review
[IEEE] 2026-5-25 | Enhanced Sensing in Large-Scale Array PMCW Systems by Range-Angle Decoupling
[IEEE] 2026-5-25 | AC Power Flow-Based Demand Response for Multi-Energy Three-Phase Distribution Systems
[ACM] 2026-5-26 | Optimizing Dropout in LLM Training: Performance Comparison of Fusion and Overlap
[ACM] 2026-5-26 | Offline Local Search for Online Stochastic Bandits
[IEEE] 2026-5-26 | Multimodal Knowledge Distillation on MRI-based Alzheimer’s Disease Detection with Clinical-Guided Teacher Learning
[IEEE] 2026-5-26 | Linguistic Biomarkers for Dementia Detection: A Comparative Study of Machine Learning Models
[IEEE] 2026-5-26 | ChaosRetina: Chaos-theory Based Feature Extraction for Multi-Label Retinal Disease Classification
[IEEE] 2026-5-26 | AI in the Antenna Design Life Cycle: An AI-Assisted Systematic Review
[IEEE] 2026-5-26 | Design of Radix-4 Booth (Radix 256 booth encoding) Multiplication Algorithm
[IEEE] 2026-5-26 | Traffic Sign Detection Using CNN in Adverse Imaging Environments
[IEEE] 2026-5-26 | Descriptor:
                    <i>University of Rhode Island Photovoltaic Battery Energy Storage SOC Tracking Dataset</i>
                    (URI-PBEST)
[IEEE] 2026-5-26 | Hybrid CNN Architectures for Bengali Pitha Recognition: A Deep Learning Approach
[IEEE] 2026-5-26 | Hybrid Transformer Models for Multimodal Brain Tumor Detection and Grading
[IEEE] 2026-5-26 | AI-Vision: Deep Learning Based Facial Recognition System
[IEEE] 2026-5-25 | A Bandwidth-Enhanced Metasurface-Based RF Energy Harvester With Wide-Angle Reception
[IEEE] 2026-5-26 | Oil Temperature Estimation for Preheating Optimization in Air Conditioner Compressor Drives
[IEEE] 2026-5-26 | Heart Disease Prediction Using Hybrid Quantum-Classical Machine Learning Models
[IEEE] 2026-5-26 | Service Orchestration in the Computing Continuum: Structural Challenges and Vision
[IEEE] 2026-5-26 | Scene-adaptive Camera Network Construction for Efficient Nap-of-the-Object Photogrammetry
[IEEE] 2026-5-25 | Stochastic Computing Circuits for Nonlinear Functions Based on Multiplexers
[IEEE] 2026-5-25 | A High-Power
                    <i>Ku</i>
                    -Band PA Using Multi-Combiner Architecture
[IEEE] 2026-5-25 | A Bad Data Identification Method Based on Optimal Weight-Tuning for Power System State Estimation
[IEEE] 2026-5-26 | Research on the application of prior state vector and covariance matrix in GPS PPP time comparison
[IEEE] 2026-5-25 | Physics-Informed Prostate MR–US Registration by Biomechanical Fields Prediction Network
[IEEE] 2026-5-25 | Consistency-based Semi-supervised Evidential Active Learning Framework for Robust Classification of Radiology Images
[IEEE] 2026-5-26 | Development of a Novel Bistable Self-Holding Electromagnetic Actuator with Low Power Consumption for Electric Directional Valves
[IEEE] 2026-5-26 | Remaining Useful Life Prediction of Turbo Engine base on CNN-BiLSTM Model with Feature Enhancement Approaches
[IEEE] 2026-5-25 | Enhanced Traction Control on Irregular Roads through Preview-based Nonlinear Model Predictive Control
[IEEE] 2026-5-26 | Integrating Sentiment Analysis with Machine Learning for Cyberbullying Detection
[IEEE] 2026-5-26 | NeuroDL-Net: A Unified Deep Learning Framework for Multi-Disease Neurodegenerative Detection Using EEG Signals
[IEEE] 2026-5-26 | A Multi-Level Debiasing Framework for Mitigating Cultural Bias in Reviews Sentiment Analysis
[IEEE] 2026-5-26 | Intelligent IoT-Driven Predictive Indoor Air Quality Management Framework for Educational Environments using Multi-Sensor Integration and Cloud-based Machine Learning Analytics
[IEEE] 2026-5-26 | Sentinel: A Human-in-the-loop AI Framework for Electoral De-Duplication
[IEEE] 2026-5-26 | MechGNN: A Graph Neural Network Framework for Learning Nanoparticle-Tumor Mechanical Interactions in Targeted Drug Delivery
[IEEE] 2026-5-26 | Performance Evaluation of Reliability Indices in Islanded Microgrids Under Renewable Uncertainty
[IEEE] 2026-5-26 | AI -Driven Cloud Storage Latency Reduction
[IEEE] 2026-5-26 | Evaluating the Risk of Storing and Transporting the Hydrogen Energy in Oman Using Multi-Criteria Decision Making
[IEEE] 2026-5-26 | A Topology-Oriented Review of GaN-Based High-Frequency DC-DC Converters
[IEEE] 2026-5-26 | Ranking of Electrical Substation Sites using Simple Multi-Attribute Rating Technique (SMART)
[IEEE] 2026-5-26 | Novel Insights into the Role of Turbulent Fluxes and Diabatic Heating in Shaping the Spatiotemporal Structure of the Hadley Cell
[IEEE] 2026-5-26 | Improving Brain State Classification using Physics-Informed Convolutional Neural Networks
[IEEE] 2026-5-26 | Empowering Ambient IoT with Agentic UAVs: Reasoning, Learning, and Cooperation
[IEEE] 2026-5-25 | Cognitive GenAI-as-a-Service Orchestration in Edge Networks: A Value-Adaptive Multi-Agent Learning Framework
[IEEE] 2026-5-26 | Left2Right: Self-Supervised Training Framework for Low-Dose Computed Tomography Imaging
[IEEE] 2026-5-26 | Robust Filtering for Multi-Object Tracking Against Stealthy Measurement-Oriented Adversarial Attacks
[IEEE] 2026-5-25 | Global Localization of the Perseverance Rover via Orbiter–UAV–Rover Collaborative Matching
[IEEE] 2026-5-26 | Globally Consistent RGB-D SLAM with 2D Gaussian Splatting
[IEEE] 2026-5-26 | Author Index
[IEEE] 2026-5-26 | LightAD: A Lightweight Vision-Based Autonomous Driving System
[IEEE] 2026-5-26 | Exploratory Data Analysis(EDA) and Air Quality Forecasting for a City Using Random Forest
[IEEE] 2026-5-26 | Fault Analysis and Improvement of the Load Reducer for Bolter Miner
[IEEE] 2026-5-26 | An Intelligent and Efficient Framework for Brain Tumor Detection and Classification Leveraging Swin Vision Transformer and Quantum-Inspired Support Vector Machine
[IEEE] 2026-5-26 | Feature-guided non-normalized transformer optical image fusion
