[2026-02-11 09:40:09] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-02-10
正在获取论文...
[arXiv] 2026-02-10 | Hecke curves in Frobenius strata of moduli space of rank 2 vector bundles
[arXiv] 2026-02-10 | Camel: Frame-Level Bandwidth Estimation for Low-Latency Live Streaming under Video Bitrate Undershooting
[arXiv] 2026-02-10 | Jokeasy: Exploring Human-AI Collaboration in Thematic Joke Generation
[arXiv] 2026-02-10 | A Combinatorial Proof of Cayley's Formula via Degree Sequences
[arXiv] 2026-02-10 | Listen to the Layers: Mitigating Hallucinations with Inter-Layer Disagreement
[arXiv] 2026-02-10 | AlgoVeri: An Aligned Benchmark for Verified Code Generation on Classical Algorithms
[arXiv] 2026-02-10 | Enhancing Affine Maximizer Auctions with Correlation-Aware Payment
[arXiv] 2026-02-10 | Pseudo-isotopies of 3-manifolds with infinite fundamental groups
[arXiv] 2026-02-10 | Orthogonal Circular Polarized Transmitter and Receiver Antennas for Mitigation of Mutual Coupling in Monostatic Radars
[arXiv] 2026-02-10 | Evaluating Social Bias in RAG Systems: When External Context Helps and Reasoning Hurts
[arXiv] 2026-02-10 | Breaking the Pre-Sampling Barrier: Activation-Informed Difficulty-Aware Self-Consistency
[arXiv] 2026-02-10 | A Behavioral Fingerprint for Large Language Models: Provenance Tracking via Refusal Vectors
[arXiv] 2026-02-10 | q-Rationals, link invariants and webs
[arXiv] 2026-02-10 | A Small Patch Hypothesis in Cosmology
[arXiv] 2026-02-10 | On the Subpacketization Level of the Banawan-Ulukus Multi-Message PIR Scheme
[arXiv] 2026-02-10 | SARM: LLM-Augmented Semantic Anchor for End-to-End Live-Streaming Ranking
[arXiv] 2026-02-10 | The Critical Horizon: Inspection Design Principles for Multi-Stage Operations and Deep Reasoning
[arXiv] 2026-02-10 | Effective vocabulary expanding of multilingual language models for extremely low-resource languages
[arXiv] 2026-02-10 | Query-Mixed Interest Extraction and Heterogeneous Interaction: A Scalable CTR Model for Industrial Recommender Systems
[arXiv] 2026-02-10 | AfriNLLB: Efficient Translation Models for African Languages
[arXiv] 2026-02-10 | Phase-Aware Policy Learning for Skateboard Riding of Quadruped Robots via Feature-wise Linear Modulation
[arXiv] 2026-02-10 | Certified Gradient-Based Contact-Rich Manipulation via Smoothing-Error Reachable Tubes
[arXiv] 2026-02-10 | CAPER: Constrained and Procedural Reasoning for Robotic Scientific Experiments
[arXiv] 2026-02-10 | A narrow-linewidth Brillouin laser for a two-photon rubidium frequency standard
[arXiv] 2026-02-10 | Surface-State-Driven Anomalous Hall Effect in Altermagnetic MnTe Films
[arXiv] 2026-02-10 | Behavioral Economics of AI: LLM Biases and Corrections
[arXiv] 2026-02-10 | Understanding Remote Mental Health Supporters' Help-Seeking in Online Communities
[arXiv] 2026-02-10 | Total positivity in twisted flag varieties
[arXiv] 2026-02-10 | Large Language Models for Designing Participatory Budgeting Rules
[arXiv] 2026-02-10 | Deep Modeling and Interpretation for Bladder Cancer Classification
[arXiv] 2026-02-10 | Don't Shoot The Breeze: Topic Continuity Model Using Nonlinear Naive Bayes With Attention
[arXiv] 2026-02-10 | BrainTAP: Brain Disorder Prediction with Adaptive Distill and Selective Prior Integration
[arXiv] 2026-02-10 | SAGE: Scalable Agentic 3D Scene Generation for Embodied AI
[arXiv] 2026-02-10 | Decoupled MPPI-Based Multi-Arm Motion Planning
[arXiv] 2026-02-10 | Topologically Protected Surface Altermagnetism on Antiferromagnets
[arXiv] 2026-02-10 | EgoHumanoid: Unlocking In-the-Wild Loco-Manipulation with Robot-Free Egocentric Demonstration
[arXiv] 2026-02-10 | DexImit: Learning Bimanual Dexterous Manipulation from Monocular Human Videos
[arXiv] 2026-02-10 | VLA-JEPA: Enhancing Vision-Language-Action Model with Latent World Model
[arXiv] 2026-02-10 | Step-resolved data attribution for looped transformers
[arXiv] 2026-02-10 | Simplicity of confinement in SU(3) Yang-Mills theory
[arXiv] 2026-02-10 | Tensor states $ΥB_{c}^{\ast -}$ and $J/ψB_{c}^{\ast +}$
[arXiv] 2026-02-10 | SDSS-V Local Volume Mapper (LVM): Helix Nebula public data, Data Analysis Pipeline data products
[arXiv] 2026-02-10 | Gaia white dwarfs with infrared excess I. The 100 pc catalogue
[arXiv] 2026-02-10 | Humanoid Factors: Design Principles for AI Humanoids in Human Worlds
[arXiv] 2026-02-10 | Programmable and nonvolatile computing with composition tuning in thin film lithium niobate
[arXiv] 2026-02-10 | Evaluating Disentangled Representations for Controllable Music Generation
[arXiv] 2026-02-10 | WildCat: Near-Linear Attention in Theory and Practice
[arXiv] 2026-02-10 | The weak law of large numbers for the friendship paradox index
[arXiv] 2026-02-10 | Spatio-Temporal Attention for Consistent Video Semantic Segmentation in Automated Driving
[arXiv] 2026-02-10 | Preventing Barren Plateaus in Continuous Quantum Generative Models
[arXiv] 2026-02-10 | Budgeting Discretion: Theory and Evidence on Street-Level Decision-Making
[arXiv] 2026-02-10 | Nonreciprocal lensing and backscattering suppression via magneto-optical nonlocality
[arXiv] 2026-02-10 | Multiscale Modeling of Metal/Oxide/Metal Conductive Bridging Random Access Memory Cells: from Ab Initio to Finite Element Calculations
[arXiv] 2026-02-10 | RIS-Assisted Rank Enhancement With Commodity WiFi Transceivers: Real-World Experiments
[arXiv] 2026-02-10 | Decoupled Reasoning with Implicit Fact Tokens (DRIFT): A Dual-Model Framework for Efficient Long-Context Inference
[arXiv] 2026-02-10 | Magneto-optical study of Nb thin films for superconducting qubits
[arXiv] 2026-02-10 | Ground-state phases of $S = 1/2$ Heisenberg models on the body-centered cubic lattice
[arXiv] 2026-02-10 | Systematic Enumeration of Fundamental Quantities Involving Runs in Binary Strings
[arXiv] 2026-02-10 | Non-isomorphism of reduced free group $C^\ast$-algebras
[arXiv] 2026-02-10 | Wiman-Valiron method for fractional derivatives and sharp growth estimates of $α$-analytic solutions for linear fractional differential equations
[arXiv] 2026-02-10 | Efficient Special Stain Classification
[arXiv] 2026-02-10 | Kelly Betting as Bayesian Model Evaluation: A Framework for Time-Updating Probabilistic Forecasts
[arXiv] 2026-02-10 | Relativistic Effects in LaBi$_2$ Thin Films
[arXiv] 2026-02-10 | Profinite Cosheaves Valued in Pro-regular Categories
[arXiv] 2026-02-10 | SCOPE: A Training-Free Online 3D Deployment for UAV-BSs with Theoretical Analysis and Comparative Study
[arXiv] 2026-02-10 | Causal Identification in Multi-Task Demand Learning with Confounding
[arXiv] 2026-02-10 | Cavity Quantum Electrodynamics Ring Coupled Cluster and the Random Phase Approximation
[arXiv] 2026-02-10 | Drug Release Modeling using Physics-Informed Neural Networks
[arXiv] 2026-02-10 | Cosmological signature and light Dark Matter in Dirac $L_μ-L_τ$ model
[arXiv] 2026-02-10 | HAPS-RIS and UAV Integrated Networks: A Unified Joint Multi-objective Framework
[arXiv] 2026-02-10 | L'Hopital rules for complex-valued functions in higher dimensions
[arXiv] 2026-02-10 | Deflation Techniques for Stellarator Equilibrium and Optimization
[arXiv] 2026-02-10 | Quantitative estimates for the forced Navier-Stokes equations and applications
[arXiv] 2026-02-10 | Environment-in-the-Loop: Rethinking Code Migration with LLM-based Agents
[arXiv] 2026-02-10 | QEMI: A Quantum Software Stacks Testing Framework via Equivalence Modulo Inputs
[arXiv] 2026-02-10 | Probing Internal Dynamics of Spatiotemporal Optical Vortex Strings: Spatiotemporal Attraction and Filament Stretching
[arXiv] 2026-02-10 | Homological properties of rings defined by $n+1$ general quadrics in $n$ variables
[arXiv] 2026-02-10 | GeoFormer: A Swin Transformer-Based Framework for Scene-Level Building Height and Footprint Estimation from Sentinel Imagery
[arXiv] 2026-02-10 | Linear Stability and Structural Sensitivity of a Swirling Jet in a Francis Turbine Draft Tube
[arXiv] 2026-02-10 | Stochastic Volterra equations with random functional coefficients in Banach spaces
[arXiv] 2026-02-10 | AmharicIR+Instr: A Two-Dataset Resource for Neural Retrieval and Instruction Tuning
[arXiv] 2026-02-10 | QP-OneModel: A Unified Generative LLM for Multi-Task Query Understanding in Xiaohongshu Search
[arXiv] 2026-02-10 | $p$-adic symplectic geometry of integrable systems and Weierstrass-Williamson theory II
[arXiv] 2026-02-10 | Immersion in the GitHub Universe: Scaling Coding Agents to Mastery
[arXiv] 2026-02-10 | Partially Active Automated Market Makers
[arXiv] 2026-02-10 | Modeling and dynamics of axisymmetric thin liquid film flow along a conical surface
[arXiv] 2026-02-10 | Imaging two-body correlations in atomic nuclei via low- and high-energy processes
[arXiv] 2026-02-10 | RoboSubtaskNet: Temporal Sub-task Segmentation for Human-to-Robot Skill Transfer in Real-World Environments
[arXiv] 2026-02-10 | Toeplitz Based Spectral Methods for Data-driven Dynamical Systems
[arXiv] 2026-02-10 | Anyon Permutations in Quantum Double Models through Constant-depth Circuits
[arXiv] 2026-02-10 | NOWJ @BioCreative IX ToxHabits: An Ensemble Deep Learning Approach for Detecting Substance Use and Contextual Information in Clinical Texts
[arXiv] 2026-02-10 | Are Language Models Sensitive to Morally Irrelevant Distractors?
[arXiv] 2026-02-10 | Training deep physical neural networks with local physical information bottleneck
[arXiv] 2026-02-10 | TAROT: Towards Optimization-Driven Adaptive FEC Parameter Tuning for Video Streaming
[arXiv] 2026-02-10 | MVISTA-4D: View-Consistent 4D World Model with Test-Time Action Inference for Robotic Manipulation
[arXiv] 2026-02-10 | The Devil Behind Moltbook: Anthropic Safety is Always Vanishing in Self-Evolving AI Societies
[arXiv] 2026-02-10 | Geometric eigenvalue estimates of Kuttler-Sigillito type on differential forms
[arXiv] 2026-02-10 | Steer2Edit: From Activation Steering to Component-Level Editing
[arXiv] 2026-02-10 | A comparison of G-band brightness as a proxy-magnetometer in various magnetic configurations
[arXiv] 2026-02-10 | $D\bar{D}$ interactions are weak near threshold in QCD
[arXiv] 2026-02-10 | $k$-Positivity and high-dimensional bound entanglement under symplectic group symmetry
[arXiv] 2026-02-10 | Asymptotic error distribution for tamed Euler method with coupled monotonicity condition
[arXiv] 2026-02-10 | Stabilized Maximum-Likelihood Iterative Quantum Amplitude Estimation for Structural CVaR under Correlated Random Fields
[arXiv] 2026-02-10 | Generative AI Adoption in an Energy Company: Exploring Challenges and Use Cases
[arXiv] 2026-02-10 | Hybrid Responsible AI-Stochastic Approach for SLA Compliance in Multivendor 6G Networks
[arXiv] 2026-02-10 | Density estimation from batched broken random samples
[arXiv] 2026-02-10 | Covo-Audio Technical Report
[arXiv] 2026-02-10 | From Multi-sig to DLCs: Modern Oracle Designs on Bitcoin
[arXiv] 2026-02-10 | AnalyticsGPT: An LLM Workflow for Scientometric Question Answering
[arXiv] 2026-02-10 | Convergence to pushed fronts and the behavior of level sets in monostable reaction-diffusion equations
[arXiv] 2026-02-10 | Decomposing Reasoning Efficiency in Large Language Models
[arXiv] 2026-02-10 | The $N$-dimensional gravity driven Muskat problem
[arXiv] 2026-02-10 | Thermodynamic Complex Phase Diagram for the Born-Infeld AdS Black Holes with Reentrant Phase Transition
[arXiv] 2026-02-10 | NavDreamer: Video Models as Zero-Shot 3D Navigators
[arXiv] 2026-02-10 | An Unsupervised Normalizing Flow-Based Neyman-Pearson Detector for Covert Communications in the Presence of Disco Reconfigurable Intelligent Surfaces
[arXiv] 2026-02-10 | Towards Poisoning Robustness Certification for Natural Language Generation
[arXiv] 2026-02-10 | Beyond Sparsity: Quantum Block Encoding for Dense Matrices via Hierarchically Low Rank Compression
[arXiv] 2026-02-10 | One-Sided and Parabolic BLO Spaces with Time Lag and Their Applications to Muckenhoupt $A_1$ Weights and Doubly Nonlinear Parabolic Equations
[arXiv] 2026-02-10 | Bayesian identification of early warning signals for long-range dependent climatic time series
[arXiv] 2026-02-10 | Competitive Credit and Present Bias: A Stochastic Discounting Approach
[arXiv] 2026-02-10 | Pressure dependent topological, superconducting, optoelectronic and thermophysical properties of Ta2Se chalcogenide: Theoretical insights
[arXiv] 2026-02-10 | Efficient Remote Prefix Fetching with GPU-native Media ASICs
[arXiv] 2026-02-10 | SAQNN: Spectral Adaptive Quantum Neural Network as a Universal Approximator
[arXiv] 2026-02-10 | Topology and higher-order global synchronization on directed and hollow simplicial and cell complexes
[arXiv] 2026-02-10 | Microstructural origin of the simultaneous enhancements in strength and ductility of a nitrogen-doped high-entropy alloy
[arXiv] 2026-02-10 | Semi-supervised Liver Segmentation and Patch-based Fibrosis Staging with Registration-aided Multi-parametric MRI
[arXiv] 2026-02-10 | The S-wave topped meson
[arXiv] 2026-02-10 | Exact analysis of transient behavior of finite-capacity MAP-driven queues
[arXiv] 2026-02-10 | Constraints on invisible $B^{+}\to K^{+} X$ decays from the Belle II $B^{+} \to K^{+} ν\barν$ measurement
[arXiv] 2026-02-10 | Direct Visualization of Room-temperature Stair-stepped Quantum Spin Hall States in Bi4Br4
[arXiv] 2026-02-10 | AutoFly: Vision-Language-Action Model for UAV Autonomous Navigation in the Wild
[arXiv] 2026-02-10 | The Entropic Signature of Class Speciation in Diffusion Models
[arXiv] 2026-02-10 | Differential Complexes in Time-Periodic Gelfand-Shilov Spaces
[arXiv] 2026-02-10 | VideoAfford: Grounding 3D Affordance from Human-Object-Interaction Videos via Multimodal Large Language Model
[arXiv] 2026-02-10 | Towards Training-free Multimodal Hate Localisation with Large Language Models
[arXiv] 2026-02-10 | Trade-Offs in Deploying Legal AI: Insights from a Public Opinion Study to Guide AI Risk Management
[arXiv] 2026-02-10 | ISO FastLane: Faster ISO 11783 with Dual Stack Approach as a Short Term Solution
[arXiv] 2026-02-10 | Macroscopic Spin-Orbit Interaction through Strong-Field Pumping of Inhomogeneously Aligned Molecular Ensemble
[arXiv] 2026-02-10 | Inter-Electrode Pulse Wave Velocity: A Direct Method for Maternal Arterial Stiffness Assessment During Pregnancy Using Multi-Channel ECG
[arXiv] 2026-02-10 | FLINGO -- Instilling ASP Expressiveness into Linear Integer Constraints
[arXiv] 2026-02-10 | Discrete-time, discrete-state multistate Markov models from the perspective of algebraic statistics
[arXiv] 2026-02-10 | Collaborative Spectrum Sensing in Cognitive and Intelligent Wireless Networks: An Artificial Intelligence Perspective
[arXiv] 2026-02-10 | Dynamic Bidirectional Coupling of Membrane Morphology and Rod Organization in Flexible Vesicles
[arXiv] 2026-02-10 | Tele-Omni: a Unified Multimodal Framework for Video Generation and Editing
[arXiv] 2026-02-10 | Designing a Token Economy: Incentives, Governance, and Tokenomics
[arXiv] 2026-02-10 | A mirror theorem for partial flag bundles
[arXiv] 2026-02-10 | Detecting radar targets swarms in range profiles with a partially complex-valued neural network
[arXiv] 2026-02-10 | Delving into Spectral Clustering with Vision-Language Representations
[arXiv] 2026-02-10 | Homogenization of nonlocal equations in randomly evolving media. Diffusion approximation
[arXiv] 2026-02-10 | Computational Explorations on Semifields
[arXiv] 2026-02-10 | Fidelity-Age-Aware Scheduling in Quantum Repeater Networks
[arXiv] 2026-02-10 | Fréchet Distance in the Imbalanced Case
[arXiv] 2026-02-10 | From Search to GenAI Queries: Global Trends in Physics Information-Seeking Across Topics and Regions
[arXiv] 2026-02-10 | SWE-Bench Mobile: Can Large Language Model Agents Develop Industry-Level Mobile Applications?
[arXiv] 2026-02-10 | AUHead: Realistic Emotional Talking Head Generation via Action Units Control
[arXiv] 2026-02-10 | RAD: Retrieval-Augmented Monocular Metric Depth Estimation for Underrepresented Classes
[arXiv] 2026-02-10 | DR.Experts: Differential Refinement of Distortion-Aware Experts for Blind Image Quality Assessment
[arXiv] 2026-02-10 | Rashomon Sets and Model Multiplicity in Federated Learning
[arXiv] 2026-02-10 | Knowledge Integration Decay in Search-Augmented Reasoning of Large Language Models
[arXiv] 2026-02-10 | A new strategy for achieving multiple continuous cooling stages in an adiabatic demagnetization refrigerator
[arXiv] 2026-02-10 | Robust Depth Super-Resolution via Adaptive Diffusion Sampling
[arXiv] 2026-02-10 | Towards Uniformity and Alignment for Multimodal Representation Learning
[arXiv] 2026-02-10 | Adaptive recurrent flow map operator learning for reaction diffusion dynamics
[arXiv] 2026-02-10 | Bridging Efficiency and Transparency: Explainable CoT Compression in Multimodal Large Reasoning Models
[arXiv] 2026-02-10 | Beyond Next-Token Alignment: Distilling Multimodal Large Language Models via Token Interactions
[arXiv] 2026-02-10 | Three-Body Barrier Dynamics of Double-Alpha Decay in Heavy Nuclei
[arXiv] 2026-02-10 | A deep MeerKAT view of associated HI absorption in radio AGNs at intermediate redshift: Role of absorber geometry and conditions of the gas
[arXiv] 2026-02-10 | Weakly Supervised Contrastive Learning for Histopathology Patch Embeddings
[arXiv] 2026-02-10 | Field-Dependent Qubit Flux Noise Simulated from Materials-Specific Disordered Exchange Interactions Between Paramagnetic Adsorbates
[arXiv] 2026-02-10 | It's not a lie if you don't get caught: simplifying reconfiguration in SMR through dirty logs
[arXiv] 2026-02-10 | Autonomous Action Runtime Management(AARM):A System Specification for Securing AI-Driven Actions at Runtime
[arXiv] 2026-02-10 | Reward-Guided Discrete Diffusion via Clean-Sample Markov Chain for Molecule and Biological Sequence Design
[arXiv] 2026-02-10 | The compositions of the HR 8799 planets reflect accretion of both solids and metal-enriched gas
[arXiv] 2026-02-10 | When Movable Antennas Meet RSMA and RIS: Robust Beamforming Design With Channel Uncertainty
[arXiv] 2026-02-10 | Ward-Takahashi Identity in Denominator Regularization at One Loop
[arXiv] 2026-02-10 | A theoretical one-dimensional model for variable-density Rayleigh-Taylor turbulence
[arXiv] 2026-02-10 | Optically locked low-noise photonic microwave oscillator
[arXiv] 2026-02-10 | Squeezing More from the Stream : Learning Representation Online for Streaming Reinforcement Learning
[arXiv] 2026-02-10 | SMES: Towards Scalable Multi-Task Recommendation via Expert Sparsity
[arXiv] 2026-02-10 | Surrogate-Guided Quantum Discovery in Black-Box Landscapes with Latent-Quadratic Interaction Embedding Transformers
[arXiv] 2026-02-10 | Unsupervised Cross-Lingual Part-of-Speech Tagging with Monolingual Corpora Only
[arXiv] 2026-02-10 | Compressing Quantum Fisher Information
[arXiv] 2026-02-10 | Impact of domain adaptation in deep learning for medical image classifications
[arXiv] 2026-02-10 | Hadronic decay branching ratio measurements of the Higgs boson at future colliders using the Holistic Approach
[arXiv] 2026-02-10 | Image Quality in the Era of Artificial Intelligence
[arXiv] 2026-02-10 | Auditing Multi-Agent LLM Reasoning Trees Outperforms Majority Vote and LLM-as-Judge
[arXiv] 2026-02-10 | Understanding Risk and Dependency in AI Chatbot Use from User Discourse
[arXiv] 2026-02-10 | In-Hospital Stroke Prediction from PPG-Derived Hemodynamic Features
[arXiv] 2026-02-10 | Priority-Aware Shapley Value
[arXiv] 2026-02-10 | A Deep Multi-Modal Method for Patient Wound Healing Assessment
[arXiv] 2026-02-10 | Impossible by Degrees: Cohomology & Bistable Visual Paradox
[arXiv] 2026-02-10 | A11y-CUA Dataset: Characterizing the Accessibility Gap in Computer Use Agents
[arXiv] 2026-02-10 | Selecting Post-Starburst Galaxies Based on Star Formation History
[arXiv] 2026-02-10 | Risk-sensitive reinforcement learning using expectiles, shortfall risk and optimized certainty equivalent risk
[arXiv] 2026-02-10 | Ions-electrons-states for the two-component Vlasov-Poisson equation
[arXiv] 2026-02-10 | Triggered: A Statistical Analysis of Environmental Influences on Extremist Groups
[arXiv] 2026-02-10 | Causality in Video Diffusers is Separable from Denoising
[arXiv] 2026-02-10 | 4RC: 4D Reconstruction via Conditional Querying Anytime and Anywhere
[arXiv] 2026-02-10 | Narrow absorption lines from intervening material in supernovae. IV. Type Ia supernovae: Na I D line strength relating to external material and intrinsic properties
[arXiv] 2026-02-10 | Orbital piezomagnetic polarizability of pure insulating altermagnets in two dimensions
[arXiv] 2026-02-10 | Features as Rewards: Scalable Supervision for Open-Ended Tasks via Interpretability
[arXiv] 2026-02-10 | AIDED: Augmenting Interior Design with Human Experience Data for Designer-AI Co-Design
[arXiv] 2026-02-10 | A lower bound for the Milnor number of vector fields
[arXiv] 2026-02-10 | Automata on Graph Alphabets
[arXiv] 2026-02-10 | Perception with Guarantees: Certified Pose Estimation via Reachability Analysis
[arXiv] 2026-02-10 | On the generalization of $g$-circulant MDS matrices
[arXiv] 2026-02-10 | SCORE: Specificity, Context Utilization, Robustness, and Relevance for Reference-Free LLM Evaluation
[arXiv] 2026-02-10 | Towards a topological view of blood pressure regulation
[arXiv] 2026-02-10 | Human-AI Synergy Supports Collective Creative Search
[arXiv] 2026-02-10 | Virtual double categories of split two-sided 2-fibrations
[arXiv] 2026-02-10 | Stability and bifurcation analysis in a mechanochemical model of pattern formation
[arXiv] 2026-02-10 | Information Theory of Action : Reconstructing Quantum Dynamics from Inference over Action Space
[arXiv] 2026-02-10 | Learning to Detect Baked Goods with Limited Supervision
[arXiv] 2026-02-10 | Corrigendum to "Higher Lorentzian polynomials,...in codimension two" [International Mathematics Research Notices, Volume 2025, Issue 13, July 2025, arXiv:2208.05653]
[arXiv] 2026-02-10 | RoboInter: A Holistic Intermediate Representation Suite Towards Robotic Manipulation
[arXiv] 2026-02-10 | ViMultiChoice: Toward a Method That Gives Explanation for Multiple-Choice Reading Comprehension in Vietnamese
[arXiv] 2026-02-10 | Physical properties of circumnuclear ionising clusters. IV. NGC 1097
[arXiv] 2026-02-10 | Non-Additive Discrepancy: Coverage Functions in a Beck-Fiala Setting
[arXiv] 2026-02-10 | Trustworthy Agentic AI Requires Deterministic Architectural Boundaries
[arXiv] 2026-02-10 | A Viscosity Framework for Dynamic Programming Principles and Applications
[arXiv] 2026-02-10 | Chromospheric Flashes in a Solar Pore: Insights from Multi-line Spectropolarimetric Diagnostics
[arXiv] 2026-02-10 | Long-Range Machine Learning of Electron Density for Twisted Bilayer Moiré Materials
[arXiv] 2026-02-10 | Efficient Learning of Sparse Representations from Interactions
[arXiv] 2026-02-10 | Unbalanced optimal transport for robust longitudinal lesion evolution with registration-aware and appearance-guided priors
[arXiv] 2026-02-10 | LLMs Encode Their Failures: Predicting Success from Pre-Generation Activations
[arXiv] 2026-02-10 | A polynomial upper bound on Reidemeister moves for each link type
[arXiv] 2026-02-10 | The chiral random walk: A quantum-inspired framework for odd diffusion
[arXiv] 2026-02-10 | Reference File Updates Following the Application of New Geometric Distortion and Walk Corrections I: Overview
[arXiv] 2026-02-10 | Liquid-gas phase transition of nuclear matter
[arXiv] 2026-02-10 | The Johnson homomorphism, embedding calculus and graph complexes
[arXiv] 2026-02-10 | Doubly Robust Machine Learning for Population Size Estimation with Missing Covariates: Application to Gaza Conflict Mortality
[arXiv] 2026-02-10 | Regularity for Doubly Nonlinear Equations in the Mixed Regime
[arXiv] 2026-02-10 | The Need for Standardized Evidence Sampling in CMMC Assessments: A Survey-Based Analysis of Assessor Practices
[arXiv] 2026-02-10 | Routing, Cascades, and User Choice for LLMs
[arXiv] 2026-02-10 | Gravitationally-induced Conversion of Local Coherence to Entanglement
[arXiv] 2026-02-10 | Logarithmically slow heat propagation in a clean Josephson-junction chain
[arXiv] 2026-02-10 | Spinel: A Post-Quantum Signature Scheme Based on SLn(Fp) Hashing
[arXiv] 2026-02-10 | Non-minimally Coupled Running Curvaton: A Unified Approach to Early-Universe Inflation and Phantom Dark Energy
[arXiv] 2026-02-10 | Conceptual Design of a Novel Highly Granular Crystal Electromagnetic Calorimeter for Future Higgs Factories
[arXiv] 2026-02-10 | Modeling bacterial flow field with regularized singularities
[arXiv] 2026-02-10 | Design and Evaluation of an Assisted Programming Interface for Behavior Trees in Robotics
[arXiv] 2026-02-10 | A Unified Assessment of the Poverty of the Stimulus Argument for Neural Language Models
[arXiv] 2026-02-10 | Learning to Discover Iterative Spectral Algorithms
[arXiv] 2026-02-10 | Separating Quantum and Classical Advice with Good Codes
[arXiv] 2026-02-10 | Error-mitigated quantum state tomography using neural networks
[IEEE] 2026-2-10 | Design of a Linear Optimal Controller for Mobile Robots Using Distance Normalization Factor
[IEEE] 2026-2-10 | Collaborative Control of Four-Level Hybrid Clamped Converter With CMV Suppression and Capacitor Voltage Fluctuation Reduction
[IEEE] 2026-2-10 | Early Fire-Warning Strategy for High Voltage Cables Based on Pyrolysis Characteristics of PE Outer Sheath at Different Temperatures
[IEEE] 2026-2-10 | Evanescent Mode Waveguide Resonator for High-Sensitive Nondestructive Testing Application
[IEEE] 2026-2-10 | Balancing Safety and Learning in IoT: A Risk-Aware Reinforcement Learning Approach
[IEEE] 2026-2-10 | Low complexity probability shaping scheme based on energy-tier template insertion
[IEEE] 2026-2-10 | Ninth IEEE RADIO International Conference, 27–30 October 2025, Mauritius [AP-S Committees &amp; Activities]_supp1-3638524.pdf
[IEEE] 2026-2-10 | Security-Based Practical Fixed-Time Adaptive Control for High-Power Nonlinear Cyber-Physical Systems
[IEEE] 2026-2-10 | A Stochastic Time-Dependent Optimization for Sustainable E-Grocery Chain with Cold-Storage Hubs and Perishability Constraints
[IEEE] 2026-2-10 | Evaluating airborne LiDAR data-Derived canopy geometry for 3D radiative transfer simulations_supp1-3662359.docx
[IEEE] 2026-2-10 | A DTC-based Snapshot ADPLL with Feedforward Fractional Spur Cancellation and Asynchronous Duty-Modulation Dithering DCO Achieving -71.6 dBc Fractional Spur in 65-nm CMOS Process
[IEEE] 2026-2-10 | Bayesian Tensor Interpolative Decomposition for IoT-based Healthcare Data Multi-way Analytics
[IEEE] 2026-2-10 | Sequential Hybrid Synthesis for Thinned Prephased Electronically Steered Phased Array Using Low-Resolution Phase Shifters and RF Switches
[IEEE] 2026-2-10 | A 4.25–8.45-GHz 67% Chirp-Fractional Bandwidth −121.5-dBc/Hz PN at 1-MHz 88-fs Jitter FMCW Synthesizer With Fractional-Bandwidth-Boosting and Phase-Noise-Cancellation Techniques
[IEEE] 2026-2-10 | Throughput Optimization of Receiver-limited Optical Wireless Communication System
[IEEE] 2026-2-10 | Applications of glutathione-capped gold nanoclusters in heterogeneous catalytic reduction of 4- nitrophenol and fluorescent sensing of mercury ions
[IEEE] 2026-2-10 | ESAChain: A Blockchain-Based Efficient Service Authentication Framework for Secure Metaverse Service Interactions
[IEEE] 2026-2-10 | Structure-Preserving EEG Augmentation via Riemannian Conditional Generative Adversarial Networks
[IEEE] 2026-2-10 | AquaticCLIP: A Vision-Language Foundation Model and Dataset for Underwater Scene Analysis_supp1-3657138.pdf
[IEEE] 2026-2-10 | Visibility of Domain Elements in the Elicitation Process Interviews: A Family of Empirical Studies
[IEEE] 2026-2-10 | Meta Guided-Graph Lightweight TimesNet for Traffic Prediction in the Internet of Vehicles
[IEEE] 2026-2-10 | Error Reconstruction Based Prescribed-Time Fault-Tolerant Control for QUAV
[IEEE] 2026-2-10 | VIS 2025 Conference Committee
[IEEE] 2026-2-10 | Dry Noncontact Microwave Breast Imaging Based on Variational ModeDecomposition
[IEEE] 2026-2-10 | User Intent Guided Query Reasoning over Knowledge Graph
[IEEE] 2026-2-10 | Underwater Acoustic Target Classification using Hybrid Temporal-Spectral Feature Learning Network
[IEEE] 2026-2-10 | A Novel Self-Activated Gate-Clamping SiC MOSFET Enhancing Short Circuit Capability With Merit of Multicell Combination
[IEEE] 2026-2-10 | A Vision-Based Framework for Safe Landing Zone Mapping of UAVs in Dynamic Environments
[IEEE] 2026-2-10 | Cryogenic Superconducting Current-Source Inverters Enabled Through
                    <i>J$_{c}$$(B)$</i>
                    Switches
[IEEE] 2026-2-10 | BiCaution: Bridging Forward&amp;#x2013;Backward Interventional and Counterfactual Causal Establishment for Event Graph-Based Abductive&amp;#x00A0;Reasoning_supp1-3656122.pdf
[IEEE] 2026-2-10 | Resource-Efficient Adaptive Tracking for Uncertain Multi-Agent Networks via Layered Event-Driven Architecture
[ACM] 2026-2-10 | Kolmogorov Complexity Characterizes Statistical Zero Knowledge
[IEEE] 2026-2-10 | ZeroBot: Learning from Scratch in Minutes with Generative Real2Sim_supp1-3662595.mp4
[IEEE] 2026-2-10 | Stress Detection Using Heart Rate Variability and Respiratory Signals Derived From a Single-Lead ECG
