[2026-04-07 22:38:51] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-04-06
正在获取论文...
[arXiv] 2026-04-06 | Strongly Correlated Superconductivity in Twisted Bilayer Graphene: A Gutzwiller Study
[IEEE] 2026-4-7 | Enhancing Agricultural Productivity with Machine Learning: A Crop and Fertilizer Recommendation System
[IEEE] 2026-4-7 | Deep Feature Fusion: A Hybrid Lightweight CNN and Transfer Learning for Micro-Expression Detection
[IEEE] 2026-4-7 | Design and Development of an Arduino-based Automated Wire Cutting System for Enhanced Industrial Efficiency
[IEEE] 2026-4-7 | Noise-Resilient Microwave Skin Tumor Localization Using Hybrid Compressed Sensing and Self-Organizing Maps
[IEEE] 2026-4-7 | Dual-robot Engine Assembly via Sim-to-Real Reinforcement Learning
[IEEE] 2026-4-7 | Evaluating the Impact of Compression Techniques on the Robustness of CNNs under Natural Corruptions
[IEEE] 2026-4-7 | An Intelligent Ultrasound System using YOLO Baby for Real-Time Fetal Growth and Anomaly Detection
[IEEE] 2026-4-7 | A Knowledge Graph and Credibility Assessment-Based Intelligent Question Answering System for Power Grid Applications
[IEEE] 2026-4-7 | Smart Notice Board with Proximity and Cloud Synchronization
[IEEE] 2026-4-7 | Network Attack Sample Generation and Detection Based on Generative Adversarial Networks
[IEEE] 2026-4-7 | Enhancing Secure Data Transmission in IoT-Cloud Systems using Deep Belief Networks
[IEEE] 2026-4-7 | Multi-Channel Dynamic Convolutional Network for Knowledge Graph Completion
[IEEE] 2026-4-7 | Redefining Systolic Efficiency with Pipelining ML Acceleration for High-Throughput AI Inference
[IEEE] 2026-4-7 | Microwave Characterization of Cork as a Sustainable Substrate for Antenna and Sensor Applications
[IEEE] 2026-4-7 | Design and Evaluation of a Millimeter-Wave MIMO Antenna at 39 GHz for On-Body 5G (n260) Band
[IEEE] 2026-4-7 | AI-Powered Cybersecurity Models for Fraud Detection in IoT-Enabled Smart Healthcare Devices
[IEEE] 2026-4-7 | Anatomy-Aware Deep Learning Approach for Schizophrenia Diagnosis Using Structural MRI
[IEEE] 2026-4-7 | Research on the Performance of Wireless Optical Networks Using System DWDM
[IEEE] 2026-4-7 | Improving Robustness of Large Language Models Used in Healthcare Through Prompt Engineering
[IEEE] 2026-4-7 | Multi-Modal Agricultural Perception: Fusing Deep Optical Networks with Software-Defined Acoustic Sensing
[IEEE] 2026-4-7 | Problem of Machine-Generated Texts in the Academic Environment of Students
[IEEE] 2026-4-6 | IEEE Computational Intelligence Society
[IEEE] 2026-4-6 | IEEE Journal of Biomedical and Health Informatics Information for Authors
[IEEE] 2026-4-6 | Hybrid Anomaly-Based Intrusion Detection System for SDN-Enabled IoT Networks
[IEEE] 2026-4-6 | Wearable Antenna Design for Medical WBAN Applications Supporting Next-Generation Wireless Systems (5G/6G)
[IEEE] 2026-4-6 | Method of Preventing Human Operator Errors Using Technology for Identifying Possible Problem Situations during Operation of ERP Systems
[IEEE] 2026-4-6 | Enhancement of User Query Processing in Distributed Databases
[IEEE] 2026-4-6 | A Canvas Framework for Participatory Design of Cultural Products Using Generative AI
[ACM] 2026-4-6 | NILO: Nested Iterative Optimization for Video Bitrate Ladder Construction
[ACM] 2026-4-6 | A
                    <scp>tom</scp>
                    : Efficient On-Device Video-Language Pipelines Through Modular Reuse
[IEEE] 2026-4-6 | Retraction Notice: Spatio Temporal Feature-based Weapon and Violence Detection from Video Surveillance using Deep Learning
[IEEE] 2026-4-6 | Retraction Notice: An IoT Based Electromyography Signal Transmission from sEMG Electrodes to Client's Server with ICT Infrastructure
[IEEE] 2026-4-6 | Retraction Notice: Nature Inspired Meta-heuristic Optimization Algorithms Capitalized
[IEEE] 2026-4-6 | Retraction Notice: To Discovery The Cloud Services Authentication An Expert Based System Using Multi-Factor Authentication
[IEEE] 2026-4-6 | Retraction Notice: An Efficient Approach for Secured Data Aggregation Against Security Attacks in WSN
[IEEE] 2026-4-6 | Retraction Notice: MAGRISYS: A SMART AND UBIQUITOUS CONTROLLED – ENVIRONMENT AGRICULTURE SYSTEM
[IEEE] 2026-4-6 | Retraction Notice: Monitoring System In Industry Using IoT
[IEEE] 2026-4-6 | Reviewer List
[IEEE] 2026-4-6 | Retraction Notice: Smart Access Control System For Covid Safety Smart Access Control System during Covid
[ACM] 2026-4-6 | Validation of a High-Sensitivity Identification Algorithm for Cerebral Hemorrhage Cases Using Machine Learning Models in MID-NET
                    <sup>®</sup>
[ACM] 2026-4-7 | Who’s Who? LLM-assisted Software Traceability with Architecture Entity Recognition
[IEEE] 2026-4-7 | Junctionless FinFET-based Hydrogen Gas Sensors: A Comprehensive Review of Design, Performance, and Reliability
[IEEE] 2026-4-7 | Audio Feature Based Rotation Speed Extraction of Washing Machine's Dehydration Stage
[IEEE] 2026-4-7 | Quadrifilar Helix Antenna Satellite Receiver Antenna
[IEEE] 2026-4-7 | Deep Learning for Automated Lung Nodule Detection in Low-Dose CT Scans
[IEEE] 2026-4-7 | Context-Aligned Large Language Models for Situational Awareness in Critical Grid Events
[IEEE] 2026-4-7 | AI-Enabled Innovation Management
[IEEE] 2026-4-7 | Design and calculation of LLC resonant converter
[IEEE] 2026-4-7 | Artificial Intelligence and Unemployment in Indonesia with a Panel Data Approach
[IEEE] 2026-4-7 | An Information System Analysis and Design of Private Tutoring at PT eBdesk Teknologi
[IEEE] 2026-4-7 | Physics-Based AR Framework for Realistic and Interactive Home Furnishing Visualization
[IEEE] 2026-4-7 | Efficient Visual Cyberbullying Detection via Knowledge Distillation from EfficientNet to Lightweight CNNs
[IEEE] 2026-4-7 | Effective Cleaning Process of Water Heat Exchangers and Water Jackets of Motors and Generators
[IEEE] 2026-4-7 | DeepTime: Meta-Learning Temporal Dynamics for Salesforce Opportunity Forecasting
[IEEE] 2026-4-7 | BRAIN-Net: CNN-based Brain Stroke Detection for Improved Diagnosis
[IEEE] 2026-4-7 | Design and Validation of Low Power High Efficient CMOS Ring Oscillator using CMOS Technology
[IEEE] 2026-4-7 | A Bipolar Stochastic Bitstream Generator Based on Linear Feedback Shift Register
[IEEE] 2026-4-7 | Advanced Synergetic and Lyapunov based nonlinear control for PEM Fuel Cell System
[IEEE] 2026-4-7 | Digital Pose Trainer for Posture Correction and Rehabilitation in Physiotherapy
[IEEE] 2026-4-7 | Deep Hybrid Vision System for Automated Clinical Grading of Diabetic Retinopathy
[IEEE] 2026-4-7 | Post-training Quantization without BN Statistics: A Data Free Approach
[IEEE] 2026-4-7 | Crop Pest and Disease Detection Based on a Multi-Dimensional Improvement of the YOLOv11 Model
[IEEE] 2026-4-7 | NNICE 2026 TOC
[IEEE] 2026-4-7 | Collaborative Opportunistic Maintenance Scheduling for Offshore Wind Farms Considering Cognitive Correction
[IEEE] 2026-4-7 | A Comprehensive Analysis of ML-Based Approaches for IC Yield Prediction
[IEEE] 2026-4-7 | AgroBots: Revolutionizing Irrigation with Intelligence
[IEEE] 2026-4-7 | Applying LLMs to the Classification of Cybersecurity Incident Tickets in a Few-Shot Scenario
[IEEE] 2026-4-7 | GAIN-Trans: A Hybrid GAN-Transformer Framework for Robust Missing Data Imputation in Stock Market Time Series
[IEEE] 2026-4-7 | Neural Network–Based Temporal Alignment of Heterogeneous Multisensor Signals
[IEEE] 2026-4-7 | Automated Fruits and Vegetables Detection: Enhancing Food Quality and Supply Chain Monitoring
[ACM] 2026-4-7 | SQLBarber: A System Leveraging Large Language Models to Generate Customized and Realistic SQL Workloads
[IEEE] 2026-4-7 | MCP-AI: Protocol-Driven Intelligence Framework for Autonomous Reasoning in Healthcare
[IEEE] 2026-4-7 | On the Task of Detecting Defects in External Structures of Telecommunications Facilities
[IEEE] 2026-4-7 | GDFP-Net: A Parallel Feature Fusion-Based Network For Automatic Vessels Segmentation From Fundus Images
[IEEE] 2026-4-7 | A Data-Driven Approach for Sleep Stage Detection Using Machine Learning and Feature Selection Algorithms
[IEEE] 2026-4-7 | Auto Bore Cast – A RNN Driven Intelligent Borewell Drill Estimator
[IEEE] 2026-4-7 | Human Pose Recognition Algorithm Based on Radar-Visual Data Fusion
[IEEE] 2026-4-6 | Recent Advancements in Course Recommendation Systems in the Era of Large Language Models (2022–2025)
[IEEE] 2026-4-7 | Self-Supervised Multisensory Pretraining for Contact-Rich Robot Reinforcement Learning_supp1-3681156.mp4
[IEEE] 2026-4-6 | <i>FlockCounter:</i>
                    Automated Counting for Large-Scale Bird Flocks
[IEEE] 2026-4-7 | On Weighted Optimality of Excitation Trajectory for Inertial Parameter Identification With Hierarchical Importance
[IEEE] 2026-4-7 | Distributed Resource Allocation for Interference Mitigation in Heterogeneous WBANs: a Health-Adaptive Nonuniform Coloring Strategy
[IEEE] 2026-4-6 | GOF-Based DMI Integrated Solution to Seamless Navigation for Autonomous Vehicles During GNSS Outages
[IEEE] 2026-4-6 | Evolutionary Stackelberg Routing for Social Cost Reduction in Traffic Networks
[IEEE] 2026-4-7 | Model-predictive Vibration Reduction of a Suspended Cable-Driven Parallel Robot_supp1-3681158.mp4
[IEEE] 2026-4-6 | AdaSch: Load-Adaptive Scheduling for Accelerating Real-Time Edge Video Analysis With Diverse Inference Modes
[IEEE] 2026-4-6 | FedSecureFormer: A Fast, Federated and Secure Transformer Framework for Lightweight Intrusion Detection in Connected and Autonomous Vehicles
[IEEE] 2026-4-7 | Rateless Deep Joint Source-Channel Coding for Task-Oriented Image Communications
[IEEE] 2026-4-6 | High Input Impedance Chopper-stabilized Analog Front-end Based on Variable-capacitor Calibration for Bio-consumer Electronics
[IEEE] 2026-4-6 | Embedded Vibration Monitoring and Robust Closed-Loop Current Demodulation Using an Eight-State Square-Wave Scheme in Spun QWP-Based Reflective FOCS
[IEEE] 2026-4-6 | IPM-Net: An Interpretable Partial-level Matching Network for Few-shot Fine-grained Classification in Optical Remote Sensing Images
[IEEE] 2026-4-7 | Nonlinear Correction Method for Radiometric Consistency in Remote Sensing Images Based on Global Optimisation
[IEEE] 2026-4-6 | DPMVectorNet: End-to-End Ship Detection, Heading, and Velocity Estimation via Dual-Point Motion Vectors in Satellite Imagery
[IEEE] 2026-4-7 | Fault Isolation in Multi-Cell Series Battery System with Continuous Power Delivery
[IEEE] 2026-4-7 | An Imbalance-Aware Machine Learning Approach to Credit Card Fraud Detection Using SMOTE &amp; AdaBoost
[IEEE] 2026-4-7 | Revolutionizing Accessibility with Multi-Modal Text-to-Speech Conversion
[IEEE] 2026-4-7 | Traffic Signal Control Using Reinforcement Learning
[IEEE] 2026-4-7 | Swin Transformer with Bert Bi-Directional Co-Attention Framework for Visual Question Answering
[IEEE] 2026-4-6 | Joint Degradation-Aware Arbitrary-Scale Super-Resolution for Variable-Rate Extreme Image Compression
[IEEE] 2026-4-7 | Hybrid Deep Learning based Architecture for Cattle Disease Classification
[IEEE] 2026-4-7 | Bio-Inspired Variance Control: Decoupling Signaling Mode from Power Constraints in Neuromorphic Systems
[IEEE] 2026-4-7 | Fake Currency Detection using Image Processing and Machine Learning
[IEEE] 2026-4-7 | A Reconfigurable Metasurface for Real-Time Dynamic Control of EM Wave in Microwave Systems
[IEEE] 2026-4-6 | Zero-Shot Low-Light Enhancement via Coupled Retinex-Scattering Frequency Flows
[ACM] 2026-4-7 | Efficient Influential Community Search over Dynamic Graphs
[IEEE] 2026-4-6 | CarbonWise CX: An Agentic AI Framework for Carbon-Aware Customer Support Analytics Using RAG and LLM-Based Code Generation
[IEEE] 2026-4-6 | EAP-LSTM: A Bi-LSTM-based Deep Learning Framework for Quantitatively Predicting Enhancer Activity in Drosophila and Human Cell Lines_supp1-3620986.pdf
[IEEE] 2026-4-6 | AquaFed: Ascending Quantized Federated Learning on Heterogeneous Devices
[IEEE] 2026-4-7 | Torque Analysis and Optimization Procedure of Spoke-Array PM Vernier Machines Considering Flux Density Harmonic Contributions
[IEEE] 2026-4-6 | Dual-Attention Weighting for Multi-Agent Collaborative Perception
[IEEE] 2026-4-7 | Allocation and Sizing of Distributed Energy Resources and Capacitor Banks Considering Network Reconfiguration through Multi-objective Optimization Algorithms
[IEEE] 2026-4-6 | Reduced On-Resistance and Jitter of GaAs PCSS with Low Optical Energy in Quasi-Linear Mode
[IEEE] 2026-4-6 | Design of a Physics-Informed Neural Network for PCF-Based Multi-Analyte Biosensors
[IEEE] 2026-4-6 | 2026 IEEE 18th International Conference on Advanced Trends in Radioelectronics, Telecommunications and Computer Engineering (TCSET)
[IEEE] 2026-4-6 | Retraction Notice: An Effective and Efficient Heart Disease Prediction Model Using Distributed High Performance Light GBM
[IEEE] 2026-4-6 | Retraction Notice: Enhanced DDOS Attack Detection Algorithm to Increase Network Lifetime in Cloud Environment
[IEEE] 2026-4-6 | Retraction Notice: Artifact Removal using Elliptic Filter and Classification using 1D-CNN for EEG signals
[ACM] 2026-4-6 | Passing on Passwords
[ACM] 2026-4-6 | Cross-Locomotion Task Generalization in sEMG-Based Gait Phase Prediction Using Artificial Neural Networks
[ACM] 2026-4-6 | Reconstruct Then Match: An End-to-End Generative Match Framework for Efficient Semantic Relation Understanding
[ACM] 2026-4-6 | Study on MPC Control Strategy of Autonomous Driving Semi-trailer Truck Fleet
[IEEE] 2026-4-6 | Retraction Notice: Enhancing Deaf Driver Safety: An IOT-Based Vehicle Sensing System
[IEEE] 2026-4-6 | The Ga-Scso Algorithm Approach for Breast Cancer Classification
[IEEE] 2026-4-6 | Development of a Smart Warehouse Logistics Virtual Reality (VR) Simulator for Experiential Learning in Logistics Education
[IEEE] 2026-4-6 | Mapping Digital Public Opinion on Prabowo Subianto's Un Speech: a Computational Analysis of Sentiment and Political Discourse
[IEEE] 2026-4-6 | Enhancing Security of QUIC Protocol and IoT
[IEEE] 2026-4-6 | SqueezeNet-Based Extraction of Compact Feature Vectors from Inspection Video Streams
[IEEE] 2026-4-6 | Recall-First Temporal Routing for Low-Base-Rate IDS: Debuggable Unified Preprocessing and Low-Base FPR Evaluation Protocol
[IEEE] 2026-4-6 | Port-Hamiltonian Modeling and Control Design for Single-Phase Pwm Rectifiers
[IEEE] 2026-4-6 | RectLU: A Novel Activation Function Based on a Rectangle
[IEEE] 2026-4-6 | Assessing Image Similarity with Color Histograms to Reveal Security-Related Distortions
[ACM] 2026-4-6 | Unified Compression of Point Cloud Geometry and Attributes through Variable-Rate Conditioning
[ACM] 2026-4-7 | RadixGraph: A Fast, Space-Optimized Data Structure for Dynamic Graph Storage
[IEEE] 2026-4-7 | Uncertainty-Aware Federated Learning for UAV Predictive Maintenance: Confidence-Based Aggregation and Risk-Aware Scheduling
[IEEE] 2026-4-7 | Adversary-Aware Synchronization Framework for Entanglement-Assisted QKD: Models, Taxonomy, and Adaptive Windowing
[IEEE] 2026-4-7 | Synthetic Lipid Liquid Coolant Ratio Algorithm based on Multi-Objective Optimization and its Application in GPU Cluster Cooling
[IEEE] 2026-4-7 | Calibration of a Six-Axis Force Sensor Based on a Bayesian Neural Network
[IEEE] 2026-4-7 | Data Imputation and Performance Prediction of xEV Batteries Integrated with DC Microgrids
[IEEE] 2026-4-7 | Lithium-Ion Battery Degradation in Coastal Climates
[IEEE] 2026-4-7 | DuET-Shape: A Dual-Stream Evolutionary Topology Framework with Native Shapelets for Time Series Clustering
[IEEE] 2026-4-7 | Superior Safety Helmet using a Standard Wearing Behaviour Detection Model based on Enhanced YOLOv5
[IEEE] 2026-4-7 | Tuning of Integrated Terahertz Disk Resonators via Contactless Evanescent Loading
[IEEE] 2026-4-7 | Closed Form Expressions for 2D Localization Problem in Electromagnetic Near-Field
[IEEE] 2026-4-7 | A Hybrid AI-Powered Framework for Accurate Urban Flood Prediction and Real-Time Early Warning Systems
[IEEE] 2026-4-7 | Enhancing Crop Disease Identification Using an Ensemble of Pretrained CNN Feature and SVM
[IEEE] 2026-4-7 | A-MARL: Attention-Enabled Multi-Agent Reinforcement Learning For Scalable Cloud Load Balancing
[IEEE] 2026-4-7 | AI-Enhanced Soil Microbial Diversity Analysis for Sustainable Agriculture Practices
[IEEE] 2026-4-6 | Deploying Large AI Models on Resource-Limited Devices With Split Federated Learning
[IEEE] 2026-4-6 | High-Sensitivity Dual-CSRR-Loaded SIW Sensor for Solid and Liquid Material Characterization at X-Band
[IEEE] 2026-4-7 | DI3CL: Contrastive Learning With Dynamic Instances and Contour Consistency for SAR Land-Cover Classification Foundation Model_supp1-3678005.pdf
[IEEE] 2026-4-6 | Modeling of Coupled Input-Force-Displacement Hysteresis in Pneumatic Artificial Muscles
[IEEE] 2026-4-6 | Design and Experiments of Magnetic-Driven Drug Delivery Capsule Robot based on Magnetic Spring Mechanism
[IEEE] 2026-4-6 | A Lightweight RAW Video Denoiser with Coarse Alignment and Imbalanced Noise Pre-training
[IEEE] 2026-4-7 | A Machine Learning Framework for Identifying and Modeling Speed Governing Deficiencies in Hydropower Units
[IEEE] 2026-4-7 | iDiffODE: Learning Continuous-Time Latent Dynamics for Generative Spatiotemporal Modeling
[IEEE] 2026-4-7 | YOLOv8-Nano Driven Foot Stampede Prediction with Homography Mapping
[IEEE] 2026-4-7 | WindFLOW: A Wind Foundation Model for Generative Temporal Super-Resolution
[IEEE] 2026-4-7 | Semantic Segmentation of Drone Orthophoto Images
[IEEE] 2026-4-7 | A Novel Metamaterial- Integrated Compact Multiband Antenna with Wideband Characteristics Using Intelligent Optimization Technique
[IEEE] 2026-4-7 | Evaluation of Companding Technique for Signal Integrity
[IEEE] 2026-4-7 | Examining Source Credibility and Parasocial Interaction as Drivers of Purchase Intention in Beauty Vlogger Content
[IEEE] 2026-4-7 | Optimized Framework for Merging Navigable Small-World Graphs: Balancing Efficiency and Search Performance
[IEEE] 2026-4-7 | A Distributed Matching Framework for Low-Latency Cooperative Data Uploading in Smart Construction Sites
[IEEE] 2026-4-7 | YOLO-FM: A Method for Detecting Pine Wilt Disease Infected Timber Based on Optimized YOLOv11
[IEEE] 2026-4-7 | Knowledge-Injected Optimization Framework for Heavily-Constrained SPMT Layout of Offshore Decks
[IEEE] 2026-4-7 | A Streamlined Deep Learning Framework for Vineyard Yield Estimation
[IEEE] 2026-4-7 | A Wavelet-Enhanced Convolutional TimesNet for Interval Forecasting of Thermal Power Generation
[IEEE] 2026-4-7 | A Correlation-Aware and Dynamic Multi-Level Fusion Approach for Multimodal Relation Extraction
[IEEE] 2026-4-7 | Contextualizing Decisions in the Monarchy of Healthcare through Traceable Patient-Level Evidence
[IEEE] 2026-4-7 | Design and Implementation of a Hybrid IoT-Enabled Solar-Powered Wheelchair and Patient Monitoring System for Physically Challenged Individuals
[IEEE] 2026-4-7 | VehicleTracker: A Real-Time ALPR System for Multi-Point Vehicle Tracking
[IEEE] 2026-4-7 | Confusion and Diffusion Reinforced Image Encryption with Henon-Osprey Optimization
[IEEE] 2026-4-7 | Low-Latency Network Task Scheduling via Graph-Aware Reinforcement Learning
[IEEE] 2026-4-7 | AI is a Memory Hog: Its Demand Threatens Whole Categories of Electronics
[IEEE] 2026-4-7 | News
[IEEE] 2026-4-7 | Exploring the Viability of Space on Wheels: Trends, Preferences, and Market Factors Shaping Mobile Science Education
[IEEE] 2026-4-7 | Research on Indoor Obstacle Avoidance Method of UAV Based on Reinforcement Learning
[IEEE] 2026-4-7 | A Bidirectional Integrated Equalizer Based on CLLLC Converter for Series-Connected Supercapacitor String
[IEEE] 2026-4-6 | GHz Rate, Watt-Level Femtosecond All-Fiber MOPA System based on Optoacoustically Mode-locked Soliton Fiber Laser with Apodization Filtering
[IEEE] 2026-4-6 | Fine Imaging Method of THz-ViSAR on Sub-aperture Range Migration Algorithm and Distinctive-point Map Drift Algorithm
[IEEE] 2026-4-6 | High-temperature performance of all-diamond solar-blind UV photodetector with BDD electrodes
[IEEE] 2026-4-7 | Post Fault Stability Assessment in Distribution System Using Sliding RMS and Phase Angle Methods
[IEEE] 2026-4-7 | Miniaturized Wide Band Dual L-Slot on-Chip Antenna with Enhanced Gain for 5G Applications
[IEEE] 2026-4-7 | The Effect of Depth of E-Commerce Reviews on Trust through Utilitarian and Hedonic Values
[IEEE] 2026-4-7 | Scalar Precoding for Topological Interference Management with Heterogeneous Erasures
[IEEE] 2026-4-6 | Phased UAV Swarm Mission Reliability Assessment Considering Cascading Failures
[IEEE] 2026-4-6 | Unraveling the Degradation Mechanisms of AlGaN-Based UVC-LEDs: A Comprehensive Analysis
[IEEE] 2026-4-7 | RSMA-Enhanced Robust Weighted Secrecy Rate for HRIS-aided Near-Field Communications
[IEEE] 2026-4-7 | Adaptive Multi-Kernel Attention Framework for Multimodal Healthcare Data Integration and Disease Classification
[IEEE] 2026-4-7 | Modeling the Changes in the Current–Voltage Characteristics of Vertical GaN-on-GaN p-i-n Diodes Under Electrical Stress
[IEEE] 2026-4-7 | Intent-Driven 6G Communication Framework for RIS and Spectrum Leasing
[IEEE] 2026-4-7 | Hardware-Friendly Algorithm Optimization and Acceleration for 8K UHD Image and Video Broadcasting
[IEEE] 2026-4-7 | Path Planning Considering Artificial Potential Fields Based on Trajectory Prediction
[IEEE] 2026-4-7 | ExplainChain-SE: A Lightweight Benchmark for Explainable Debugging with Reasoning-to-Repair Alignment
[IEEE] 2026-4-6 | Endogenous Interface Pricing for Consistent Transmission–Distribution Co-Optimization with Discrete Distribution Controls
[IEEE] 2026-4-6 | Adaptable Variational Information Bottleneck for Task-Oriented Edge Inference
[IEEE] 2026-4-6 | A Survey on Interaction-Aware Decision-Making for Autonomous Driving: Challenges, Solutions, and Perspectives
[ACM] 2026-4-6 | VSR-Bench: An Open-Source Platform for Browser-Native Real-Time VSR Evaluation in WebRTC
[IEEE] 2026-4-6 | Retraction Notice: Sensors Systems for Traffic Congestion Reduction Methodologies
[IEEE] 2026-4-6 | Retraction Notice: Solar Powered Automatic Irrigation Monitoring System
[IEEE] 2026-4-6 | Retraction Notice: An Effecient Model for Plant Disease Identification
[IEEE] 2026-4-6 | Fault Analysis and Pilot Protection Scheme for Various Single-Phase Line Breaks in Resonant Grounding Systems
[IEEE] 2026-4-6 | Table of Contents
[IEEE] 2026-4-6 | Retraction Notice: Automatic Detecftion of White Blood Cancer From Blood Cells Using Novel Machine Lerning Techniques
[IEEE] 2026-4-6 | Call for Special Issues/Sections
[ACM] 2026-4-6 | Explainable Multi-Stage Self-Supervised Learning Framework for Intelligent Fault Diagnosis
[IEEE] 2026-4-6 | Exploring Tourist Behavior and Usability Improvement for Smart Tourism in Secondary Cities: A Case Study of Lamphun Province
[IEEE] 2026-4-6 | Slice-and-Align for Clothes-Irrelevant Features: A Clothes-Changing Person Re-Identification Approach Without Additional Input
[IEEE] 2026-4-6 | Enhancing Recruitment Efficiency through a Performance-Driven AI Agent Workflow for Automated Resume Screening
[IEEE] 2026-4-6 | Surveillance Data Processing in a Multi-Radar Localization System
[ACM] 2026-4-7 | Revisiting Vulnerability Patch Identification on Data in the Wild
[IEEE] 2026-4-6 | Doppler-Domain Warping and Resampling for Semi-Static Human Occupancy Detection Using Low-Resolution SIMO FMCW Radar
[IEEE] 2026-4-7 | Methodological Aspects of Financial Competence Formation in the Structure of Supra-Professional Skills of Engineering Personnel
[IEEE] 2026-4-7 | Object Identification Under Known Dynamics: A PIRNN Approach for UAV Classification
[IEEE] 2026-4-7 | Design of an on-Chip Microring Resonator Based Silicon Photonic Sensor
[IEEE] 2026-4-7 | Single Event Upset Characterization in the Control Path of RISC-V Processor Core
[ACM] 2026-4-7 | Scalable Clustering Over High Dimensional Vector Streams
[IEEE] 2026-4-7 | Boosting Fine-Grained Aircraft Detection with Fine-Grained Language Knowledge
[IEEE] 2026-4-7 | Copyright Page
[IEEE] 2026-4-7 | An Autoencoder-based Feature Selection with Optimized Reconstruction Loss and Feature Scoring
[IEEE] 2026-4-7 | DL-TPS: Fast Invertible 3D Thin-Plate Spline Deformation Method Based on Deep Learning
[IEEE] 2026-4-7 | Adaptive Robust GNSS/INS Tightly-Coupled Navigation and Positioning for Off-Road Hovercrafts Using Extended Kalman Filtering
[IEEE] 2026-4-7 | NLD-LLM: A systematic framework for evaluating small language transformer models on natural language description
[IEEE] 2026-4-7 | Evaluating Machine Learning and Deep Learning Approaches for Binary Sentiment Classification
[IEEE] 2026-4-7 | A YOLO and Transformer-based Smart Scan Framework for Lung Disease Identification in Radiographic Imaging
[IEEE] 2026-4-7 | Deep Learning-Enhanced Edge-AI Architecture for Autonomous Drone-based Traffic Flow Prediction and Congestion Management
[IEEE] 2026-4-7 | Research on Bill Image Text Detection Based on Adaptive Scale Fusion and Feature Enhancement
[IEEE] 2026-4-7 | Deep Learning for Third Molar Segmentation: An Empirical Analysis on Dental Radiographs
[IEEE] 2026-4-7 | Towards Interpretable Monitoring in Agriculture: a Multi-Task Collaborative Deep Network for Crop Disease Diagnosis
[IEEE] 2026-4-7 | Patron
[IEEE] 2026-4-7 | Cervical Cancer Prediction using Deep Learning Algorithms
[IEEE] 2026-4-7 | A Hybrid GWO-CatBoost Model for Predicting Electricity Consumption in Commercial and Residential Buildings
[IEEE] 2026-4-7 | Influence of Stratified Variable Encoding on Quality of Mortality Prediction in Systolic Heart Failure
[IEEE] 2026-4-7 | An Attention-Guided RFCN Framework for False Positive Reduction in Lung Nodule Detection
[IEEE] 2026-4-7 | Comparative Study of Tree-Based Ensembles, CNN–LSTM, and State Space Model for Photovoltaic Power Forecasting
[IEEE] 2026-4-7 | A Multi-Layer Blockchain Architecture with Diffie-Hellman Key Exchange for Secured IoT Communication
[IEEE] 2026-4-7 | Proactive Make-Before-Break Handover Using Signal Degradation Prediction for Robust Urban Mobile Sensing Systems
[IEEE] 2026-4-7 | Enhancing Smart Grid Observability through Optimal PMU Placement using Nonlinear Programming
[IEEE] 2026-4-7 | Deep Learning based HAR for Monitoring Physical Activity of Patients
[IEEE] 2026-4-7 | IPD-YOLO: Resource-Efficient Real-Time Detection Framework for Cotton Pest Management
[IEEE] 2026-4-7 | SHAP-Optimized Explainable Computational Intelligence Models for Interpretable Chemotherapy Adverse Event Prediction
[ACM] 2026-4-7 | SchemaRAG: A Schema-aware Retrieval-Augmented Generation Framework for Text-to-SQL
[IEEE] 2026-4-7 | FractureNet: Hybrid YOLOv11 and Vision Transformer Framework for Micro-Fracture Detection
[IEEE] 2026-4-7 | Adaptive Clustering and Cluster Head Selection in VANETs Using Semantic Embeddings and Weighted CRITIC
[ACM] 2026-4-7 | Scalable Privacy-Preserving Shortest Path Distance Computation via 2-Hop Labeling in MPC
[IEEE] 2026-4-7 | Impact of Deep-Level Traps on Carrier Mobility in
                    <i>β</i>
                    -Ga
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    MOSFETs
[IEEE] 2026-4-7 | Non-Dominated Sorting Dynamic Programming-Based Multi-Objective Driving Path Planning in Closed Parks
[IEEE] 2026-4-7 | A 22.7–30.6/35.8–43.2GHz Linear Power Amplifier With Transformer-Based Band-Selective Network
[IEEE] 2026-4-6 | Sliding Finite Window Codes: Near-Optimality and Q-Learning for Zero-Delay Coding
[IEEE] 2026-4-6 | Balancing Accuracy-Latency Tradeoff in Hybrid Approximate-Delayed Computing Systems
[IEEE] 2026-4-6 | Patient-Specific In-vivo Dynamic Motion of Ascending Thoracic Aortic Aneurysms from Cine CTA
[IEEE] 2026-4-6 | Drift-Resilient Hybrid Feature Learning Framework for Accurate Mixed Industrial Gas Classification Using Chemical Sensor Arrays
[ACM] 2026-4-7 | SWMT: A Sliding Window Merkle Tree with Delayed Writes for Scalable Blockchain State Management
[IEEE] 2026-4-6 | Regulatory Contextual Integrity: Adaptively Regulating Privacy as Contextual Integrity
[IEEE] 2026-4-6 | Automated Human Activity Recognition Using Multiple Contactless Ultra-Wideband Radar Signals and Time–Frequency Representations
[IEEE] 2026-4-6 | Unsupervised False-Alarm-Controllable Change Detection in Heterogeneous Remote Sensing Images Based on Copula Theory
