[2026-06-23 23:08:45] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-22
正在获取论文...
[arXiv] 2026-06-22 | Lift4D: Harmonizing Single-View 3D Estimation for 4D Reconstruction In-the-Wild
[arXiv] 2026-06-22 | ScalingAttention: Discovering Intrinsic Sparse Attention Topology for Video Diffusion Transformers
[arXiv] 2026-06-22 | Scalable Online Flight Trajectory Optimization via Sequential Quadratic Programming for Urban Air Mobility in Ultra Low-Altitude Airspace
[arXiv] 2026-06-22 | From Point Estimates to Distributions: GMM Pooling for MIL in Preterm Birth Prediction
[arXiv] 2026-06-22 | Machine Translation and Post-Editing: Comparative Evaluation of Different MT Systems and Post-Editor Groups in Specialised Translation
[arXiv] 2026-06-22 | Diffusions with resetting boundaries: ergodic control and renewal optimization
[arXiv] 2026-06-22 | Subject-Level Unknown-Identity Identification from Leap Motion Controller 2 Hand Landmarks
[arXiv] 2026-06-22 | Learning the distance for ABC and localized neural posterior estimation
[arXiv] 2026-06-22 | Understanding Parallel Samplers in Masked Diffusion via Random Walks on Graphs
[arXiv] 2026-06-22 | TaLK: Text-attributed Graph Dataset Distillation via Coupling Language Model with Graph-Aware Kernel
[arXiv] 2026-06-22 | MOCAP: Wafer-Scale-Chip-Oriented Memory-Orchestrated Chunked Pipelining Framework for Prefill-Only LLM Inference
[arXiv] 2026-06-22 | Attacking the Trusted Imagination: Oracle-Level Integrity Attacks on Imagine-then-Act World Models
[arXiv] 2026-06-22 | LLM-as-a-Judge for Reliable and Explainable Offline Evaluation in Top-K Recommendation
[arXiv] 2026-06-22 | PG-MAP: Joint MAP Optimization for Inference-Time Alignment of Diffusion and Flow-Matching Models
[arXiv] 2026-06-22 | Affine Rota-Baxter groups and affine skew braces
[arXiv] 2026-06-22 | Domain-incremental audio classification using domain-specific experts and prototype classifier
[arXiv] 2026-06-22 | The kurtosis of normal variance-mean mixtures
[arXiv] 2026-06-22 | CoorDex: Coordinating Body and Hand Priors for Continuous Dexterous Humanoid Loco-Manipulation
[arXiv] 2026-06-22 | Open Problem: Is AdamW Effective Under Heavy-Tailed Noise?
[arXiv] 2026-06-22 | Teaching LLMs String Matching, Backtracking, and Error Recovery to Deduce Bases and Truth Tables for the Combinatorially Exploding Bit Manipulation Puzzles
[arXiv] 2026-06-22 | GeoFidelity-Bench: Evaluating Segment-Level Geographic Fidelity in Text-to-Image Street-View Generation
[arXiv] 2026-06-22 | Action-BED: Task-Driven Bayesian Experimental Design with Singly Intractable Objectives
[arXiv] 2026-06-22 | Position-Space Renormalization and Half-Space Truncations in $φ^4_4$
[arXiv] 2026-06-22 | The EDGE-CALIFA Survey: Star Formation Efficiency and Galaxy Quenching across 62 Main Sequence, Green Valley, and Red Galaxies
[arXiv] 2026-06-22 | TailorMind: Towards Preference-Aligned Multimodal Content Generation
[arXiv] 2026-06-22 | Convolution Operators on Weighted Hahn Spaces
[arXiv] 2026-06-22 | Interfacial-melt stability as a thermodynamic prerequisite for solid-state synthesis
[arXiv] 2026-06-22 | Isometrization of Tensor Network States via Gauge Propagation
[arXiv] 2026-06-22 | Gaussian Process Differential Ensembles for Joint Inference on Curves, Derivatives, and Integrals
[arXiv] 2026-06-22 | MotionHalluc: Diagnosing Kinematic Hallucinations in Fine-Grained Motion Reasoning
[arXiv] 2026-06-22 | A Bayesian Phase I/II basket design with robust information borrowing to identify subtrial-specific optimal biological doses
[arXiv] 2026-06-22 | Free-running single-cavity dual combs with Hz-level relative linewidth
[arXiv] 2026-06-22 | On the construction and representation of social welfare orders satisfying consequentialist equity axioms
[arXiv] 2026-06-22 | Binary binomial equivalence via hyperplane arrangements
[arXiv] 2026-06-22 | Flowing With Purpose: Latent Action Guided Flow Matching Policies For Robotic Manipulation
[arXiv] 2026-06-22 | Signatures of unconventional magnetism in the layered metallic ferromagnet LaCrSb$_3$ from ferromagnetic resonance spectroscopy
[arXiv] 2026-06-22 | ReasoningLens: Hierarchical Visualization and Diagnostic Auditing for Large Reasoning Models
[arXiv] 2026-06-22 | Distribution-Aware Diffusion-LLM for Robust Ultra-Long-Term Time Series Forecasting
[arXiv] 2026-06-22 | Scattered wave functions and worldline instantons for particle production in curved spacetime
[arXiv] 2026-06-22 | Energy-Based Transformers as Predictors of Reading Difficulty
[arXiv] 2026-06-22 | A Note on Quaternions over Commutative Rings
[arXiv] 2026-06-22 | Exact and Fast Subset Selection Algorithms for the Bi-objective Integral R2 Indicator
[arXiv] 2026-06-22 | TooBad: Backdoor Diffusion Models with Ultra-Low Poison Rate and Imperceptible Trigger
[arXiv] 2026-06-22 | The fractional Porous Medium Equation on graphs
[arXiv] 2026-06-22 | Dissociation of NaCl in supercritical aqueous fluids of moderate and high concentrations: A molecular dynamics study
[arXiv] 2026-06-22 | Abstract representational geometry supports inference in large language models
[arXiv] 2026-06-22 | Don't Listen to Me: A Lightweight, Low-Latency Model for Own-Voice Cancellation in Far-Field Speech Enhancement
[arXiv] 2026-06-22 | VideoAgent: All-in-One Framework for Video Understanding and Editing
[arXiv] 2026-06-22 | Online forecast reconciliation using linear models
[arXiv] 2026-06-22 | A sharp product bound for non-trivial cross-intersecting families
[arXiv] 2026-06-22 | A Compact Two-Stage Fourth-Order Two-Derivative IMEX Method with Mixed Compatibility, High Implicit-Solve Efficiency,and Enhanced Stiff Decay
[arXiv] 2026-06-22 | Test-Driven, AI-Assisted Learning: Replacing Lectures with Weekly Closed-Book Tests
[arXiv] 2026-06-22 | The Barnard's Star Planetary System: Stability, Composition, and Evolution of Four Sub-Earth Exoplanets
[arXiv] 2026-06-22 | Structured Real Snaith Equivalences
[arXiv] 2026-06-22 | Kohn-Luttinger like superconductivity in twisted bilayer graphene at large twist angles
[arXiv] 2026-06-22 | When the black holes align: a subpopulation of aligned massive binary black holes observed via gravitational waves
[arXiv] 2026-06-22 | GRIMIP: A General Framework for Instance-Specific Configuration of MIP Solvers Using LLMs
[arXiv] 2026-06-22 | Infinite $τ$-tilting theory
[arXiv] 2026-06-22 | IOI: Decoupling Kinematics and Physics for Interactive World Models
[arXiv] 2026-06-22 | A Set-Theoretic Approach to Detecting Logic Bugs in DBMS Inner Join Optimizations
[arXiv] 2026-06-22 | Flow6D: Discrete-to-Continuous Flow Matching for Efficient and Accurate Category-Level 6D Pose Estimation
[arXiv] 2026-06-22 | Towards a Bathroom-Centered Human-Building Digital Twin Framework for Indoor Safety Analysis
[arXiv] 2026-06-22 | Identifying vulnerable nodes for hypergraph dismantling via higher-order competition dynamics
[arXiv] 2026-06-22 | Transfer learning-based method for automated ewaste recycling in smart cities
[arXiv] 2026-06-22 | Dark matter from the quadratic spinor Lagrangian II: A spin-3/2 no-go and the uniqueness of the spin-1/2 candidate
[arXiv] 2026-06-22 | Ranking Companion: A Visual Analytics Approach to Item-Based Ranking with Hybrid Item Selection
[arXiv] 2026-06-22 | Dynamic multi-agent deep reinforcement learning-based pricing and incentivization approach in multimodal transportation networks
[arXiv] 2026-06-22 | P-JEPA: Procedural Video Representation Learning via Joint Embedding Predictive Architecture
[arXiv] 2026-06-22 | LP-NavOA: Integrated Local Navigation and Obstacle Avoidance for Humanoid Robots under Limited Perception
[arXiv] 2026-06-22 | A conjecture on the action of Hecke operators
[arXiv] 2026-06-22 | Quantum Key Distribution Without Shared Reference Frame Under Unital Noise
[arXiv] 2026-06-22 | HOLMES: Evaluating Higher-Order Logical Reasoning in LLMs
[arXiv] 2026-06-22 | A Hybrid Intrusion Detection System for Electric Vehicle Charging Infrastructure
[arXiv] 2026-06-22 | Wess-Zumino terms in 0+1 SU(N) superspin systems
[arXiv] 2026-06-22 | Multi-objective Bayesian optimisation of a double-layer target for quasi-monoenergetic TNSA protons
[arXiv] 2026-06-22 | An Acoustic Landmark Database of the English Lexicon via Articulatory Synthesis
[arXiv] 2026-06-22 | Path-following Control of a Quadrotor using Quasi-Static Transverse Feedback Linearization
[arXiv] 2026-06-22 | Coupling Heterarchical Granular Dynamics and Computational Fluid Dynamics
[arXiv] 2026-06-22 | NGPS: Structure-Preserving Self-Supervised Denoising via Neighbor-Guided Patch Sampling
[arXiv] 2026-06-22 | Tackling "AI against sustainability"
[arXiv] 2026-06-22 | FlowTTS-GRPO: Online Reinforcement Learning with Multi-Objective Reward Optimization for Flow-Matching Based Text-to-Speech
[arXiv] 2026-06-22 | Private Information Retrieval from Joint Systematic MDS-Coded with Non-Colluding Servers: Bounds and Constructions
[arXiv] 2026-06-22 | UniFS: Unified Fast-to-Slow Hierarchical Architecture for Vision-Language-Action Models
[arXiv] 2026-06-22 | DE-FIVE: Detecting Malicious Image Prompts via Fourier Features and Image Vector Embeddings
[arXiv] 2026-06-22 | GeoRouteNet: Geometry-Enhanced Non-Autoregressive Neural Solver for the Traveling Salesman Problem
[arXiv] 2026-06-22 | LoCC: Detection and Localization of Lip-Syncing Deepfakes via Counterfactual Frame Consistency
[arXiv] 2026-06-22 | Noise is Signal: Density-Based Outliers as Leading Indicators of Occupational Emergence in Labor Market Text
[arXiv] 2026-06-22 | Highly filamentary H{\,\small I} gas in the circumgalactic medium and intragalactic medium around NGC 4631
[arXiv] 2026-06-22 | Measurement of Born cross sections for $e^+e^-\to p\bar p$ at $\sqrt{s} =3.510-4.946$ GeV
[arXiv] 2026-06-22 | Observation of $ψ(3770)\to p\bar p$ and Measurement of Electromagnetic Form Factors of Proton at $\sqrt{s} = 3.510-4.946$ GeV
[arXiv] 2026-06-22 | Development of a Neural Network-Based Background Suppression Technique for $ΣN$ Cusp Spectroscopy at J-PARC
[arXiv] 2026-06-22 | Factored Sparse Approximate Inverse Preconditioning via Spectral Optimization
[arXiv] 2026-06-22 | Temporal Logic Guidance for Action-Only Diffusion Policies with World Models
[arXiv] 2026-06-22 | AutoDex: An Automated Real-World System for Dexterous Grasping Data Collection
[arXiv] 2026-06-22 | Semantic Browsing: Controllable Diversity for Image Generation
[arXiv] 2026-06-22 | PsyBridge: A Hybrid Intelligent Framework for Multi-Dimensional Mental Health Assessment and Decision Support
[arXiv] 2026-06-22 | The Dataset Friction Framework: measuring user-facing friction as a complement to FAIR
[arXiv] 2026-06-22 | EnterpriseClawBench: Benchmarking Agents from Real Workplace Sessions
[arXiv] 2026-06-22 | Revisiting the 'Lensing is Low' Problem with UNIONS
[arXiv] 2026-06-22 | Genuine certification of incompatible quantum instruments through sequential communication tasks
[arXiv] 2026-06-22 | Semiclassical decay of de Sitter space into black holes with vortex-deformed horizons
[arXiv] 2026-06-22 | dVLA-RL: Reinforcement Learning over Denoising Trajectories for Discrete Diffusion Vision-Language-Action Models
[arXiv] 2026-06-22 | Observables and conformal properties of dark matter admixed isentropic neutron stars
[arXiv] 2026-06-22 | Nonarchimedean groups and the axiom of choice
[arXiv] 2026-06-22 | One country, multiple portraits: representativeness in GPS-based mobility data is source-specific and spatially dependent
[arXiv] 2026-06-22 | Polycepta: Object-Centric Appearance Estimation for Multi-Object Tracking
[arXiv] 2026-06-22 | Data analysis methods for powder x-ray diffraction intensity under laser-driven dynamic compression at Omega and NIF laser facilities
[arXiv] 2026-06-22 | Helical Domain-Wall-Ring Networks Reshape Superconducting Correlations
[arXiv] 2026-06-22 | Against Proxy Optimization
[arXiv] 2026-06-22 | Random dimension reduction and learning symmetric properties of quantum states
[arXiv] 2026-06-22 | Corotating Interaction Regions (CIRs): evolution over a solar lifetime
[arXiv] 2026-06-22 | A Watermark for Vision-Language-Action and World Action Models
[arXiv] 2026-06-22 | SVD-Surgeon: Optimal Singular-Value Surgery for Large Language Model Compression
[arXiv] 2026-06-22 | LangMAP: A Language-Adaptive Approach to Tokenization
[arXiv] 2026-06-22 | Digital Twins Need Feedback
[arXiv] 2026-06-22 | Observing a 542-day transiting giant with large TTVs: The 2025 transit of HIP 41378 f and new constraints on the outer system
[arXiv] 2026-06-22 | The Energy Consumption of Transformer Fine-Tuning: A Roofline-Inspired Scaling Model
[arXiv] 2026-06-22 | Direct and Indirect Influence on Likes in Social Media
[arXiv] 2026-06-22 | Riemannian Positive Mass Theorem in All Dimensions in the Presence of Low-Codimension Singularities
[arXiv] 2026-06-22 | Scaling patch analysis of turbulent kinetic energy budget equation in wall-bounded flows
[arXiv] 2026-06-22 | Collapsed Effective Operators for Higher-order Structures
[arXiv] 2026-06-22 | Hollow-Core Fiber in Direct-Detection Optical Networks: Technology Readiness, Deployment Drivers, and Adoption Outlook
[arXiv] 2026-06-22 | DVL-DeepONet: A Physics-Guided Operator Learning for Resilient Underwater Navigation
[arXiv] 2026-06-22 | Geometric and Statistical Thermo Field Dynamics in de Sitter Spacetime
[arXiv] 2026-06-22 | Sublinearly Structured Deep Neural Networks Achieve Feature Learning Consistency for Compositional Functions
[arXiv] 2026-06-22 | Tighter Bounds for Algorithmic Complexity Estimation Using a Reusable Code-Based Block Decomposition Method
[arXiv] 2026-06-22 | From Lab to Landscape: Assessing the Impact of Pesticides on Pollinator Populations Based on Laboratory Data by Combining ALMaSS and BufferGUTS
[arXiv] 2026-06-22 | Prethermal rotating-frame solid echo in a dipolar nuclear-spin network
[arXiv] 2026-06-22 | Neutron Star Mass-Radius Constraints for EXO 0748$-$676 from 2008-2025 Quiescent X-ray Spectra
[arXiv] 2026-06-22 | TriggerBench: Investigating Prospective Memory for Large Language Models
[arXiv] 2026-06-22 | Dark matter from the quadratic spinor Lagrangian I: Geometric mass for a gravitationally produced spin-1/2 fermion
[arXiv] 2026-06-22 | A Bias-Corrected Two-Stage Approach for Joint Modelling of Multidimensional Longitudinal HRQoL and Survival Data
[arXiv] 2026-06-22 | Weighted Score-Oriented Losses for Temporally Localized Event Prediction
[arXiv] 2026-06-22 | Reduced-Order Modelling of Defect Transport using Surrogate Kinetics: Application to U$_x$Pu$_ {1-x}$N
[arXiv] 2026-06-22 | Technical Report for the ICRA 2026 GOOSE 2D Fine-Grained Semantic Segmentation Challenge: Pretraining-Diverse Ensemble of Foundation Vision Encoders for Robust Outdoor Scene Understanding
[arXiv] 2026-06-22 | Fault Inception Detection in Real-World Disturbance Data for Power System Protection
[arXiv] 2026-06-22 | Observation of stopping power reduction at strong ion-plasma coupling
[arXiv] 2026-06-22 | ReNIO: Reweighting Negative Trajectory Importance for LLM On-Policy Distillation
[arXiv] 2026-06-22 | Minimax Quantile Lower Bounds for Interactive Statistical Decision Making with Privacy
[arXiv] 2026-06-22 | FlowTrain: Flow-Based Decoupled Training for Industrial-Grade Vision-Language Models
[arXiv] 2026-06-22 | A Systematic Survey on Event Camera Representation Learning
[arXiv] 2026-06-22 | Conformal blocks, parenthesized braid operad, and $c=1/2$ Virasoro vertex operator algebra
[arXiv] 2026-06-22 | Safety in Self-Evolving LLM Agent Systems: Threats, Amplification, and Case Studies
[arXiv] 2026-06-22 | Estimating common synaptic inputs to spinal motor neurons from motor unit spike trains using openhdemg
[arXiv] 2026-06-22 | STAR-VAE: Structured Topology-Aware Regularization for Audio Reconstruction and Generation
[arXiv] 2026-06-22 | VolHuMe: a High-Resolution Large Scale Dataset of Volumetric Human Meshes
[arXiv] 2026-06-22 | Three-Step Hierarchical Transformer for Multi-Pedestrian Trajectory Prediction
[arXiv] 2026-06-22 | Who Owns the AI Recommendation? A Multi-Industry Empirical Map of Brand Category Ownership Across Large Language Models
[arXiv] 2026-06-22 | Tomography of Transport Pathways in Selective-Area-Grown Nanowires Using Angle-Resolved Conductance Fluctuations
[arXiv] 2026-06-22 | Unlimited OCR Works
[arXiv] 2026-06-22 | Domain Adaptation Under Wireless Network Constraints: When Does It Become Green?
[arXiv] 2026-06-22 | MaxWave Signal: Rapid, coherent maximum likelihood wavelet reconstruction of transient signals in gravitational wave data
[arXiv] 2026-06-22 | Have You Ever Seen Them? Entity-level Membership Inference through Interrogating Large Language Models
[arXiv] 2026-06-22 | Standard Polynomials for Principal Subalgebras $\mathbb{K}Q_{\geq 1}$ of Path Algebras
[arXiv] 2026-06-22 | Sidorenko Inequalities for Two-Sided Group Correlation Kernels
[arXiv] 2026-06-22 | Transverse Emittance and Emittance Measurements
[arXiv] 2026-06-22 | Optimisation of tipping pathways in a spatially heterogeneous world
[arXiv] 2026-06-22 | Black-Box Continual Learning for Vision-Language Models
[arXiv] 2026-06-22 | Large-Area Patternable Solar-Powered Bistable Organic Film for Nonlinear Optical Communication
[arXiv] 2026-06-22 | StatABench: Dataset and Framework for Evaluating Statistical Analysis Capabilities of LLMs
[arXiv] 2026-06-22 | When Preferences Fail to Become Incentives: A Utility-Behavior Gap in Large Language Models
[arXiv] 2026-06-22 | Broadcasting on Random Trees: Martingale Methods and Error Bounds
[arXiv] 2026-06-22 | On the automorphism group of direct product of digraphs
[arXiv] 2026-06-22 | Prescribed Initial Behavior of $μ(I^k)$
[arXiv] 2026-06-22 | FORGE: Fused On-Register Gradient Elimination for Memory-Efficient LLM Training
[arXiv] 2026-06-22 | Reaction-Network-Level Discovery of Ammonia Synthesis Catalysts via Ten-Million-Scale Generative Exploration
[arXiv] 2026-06-22 | Each Judge Its Own Yardstick: Discovering Per-VLM Taxonomies for Physical Video Evaluation
[arXiv] 2026-06-22 | ThermoLLM: Thermodynamics-Aware HVAC Control with Spatial-Semantic Knowledge Graph
[arXiv] 2026-06-22 | Improving Robotic Imitation Learning via Trajectory Standardization
[arXiv] 2026-06-22 | Radio Resource Allocation for Beam Hopping Scheduling in LEO Satellite Communications: A Spatio-Temporal Perspective
[arXiv] 2026-06-22 | SingGuard: A Policy-Adaptive Multimodal LLM Guardrail with Dynamic Reasoning
[arXiv] 2026-06-22 | MSU-Bench: Towards Speaker-Centric Understanding in Conversational Multi-Speaker Scenarios
[arXiv] 2026-06-22 | Discovering Crystal Structure Prediction Algorithms with an AI Co-Scientist
[arXiv] 2026-06-22 | Free-Running Waveguide-Integrated Single-Photon Avalanche Detectors for Visible Light
[arXiv] 2026-06-22 | Chains That See, Answers That Don't: A Multi-Aspect Evaluation Recipe for Forced Chain-of-Thought on Video-MME
[arXiv] 2026-06-22 | Thermal Transport in SiC with Intrinsic Defects and Mg Transmutation Products
[arXiv] 2026-06-22 | RaMem: Contextual Reinstatement for Long-term Agentic Memory
[arXiv] 2026-06-22 | When the Learning With Errors Problem Meets the Coherent Ising Machine: A Penalty-Free Algorithm-Hardware Co-Design
[arXiv] 2026-06-22 | IndicGuard: A Multilingual Safety Guard Model and Dataset for Indic Languages
[arXiv] 2026-06-22 | FPAS: Frontier-Based Path Planning with Adaptive Sampling for Large-Scale Unknown Environments
[arXiv] 2026-06-22 | CLIP-guided Diffusion Model for Backdoor Generation in Sensor-based Human Activity Recognition
[arXiv] 2026-06-22 | Linear optical Bell state measurement for rotation-symmetric cat codes
[arXiv] 2026-06-22 | Learning-Augmented Algorithms for Online Vertex Cover
[arXiv] 2026-06-22 | What You See Is Not What You Execute: Memory-Based Runtime SBOM Generation for Supply Chain Security
[arXiv] 2026-06-22 | BranchShine: Compact Raw-Audio-to-IPA Transcription with a RoPE E-Branchformer Encoder
[arXiv] 2026-06-22 | A Linearized Obstruction to the Supersymmetric Extension of Conformal Boundary Conditions in Euclidean Gravity
[arXiv] 2026-06-22 | KaLM-Reranker-V1: Fast but Not Late Interaction for Compressed Document Reranking
[arXiv] 2026-06-22 | Smooth Solutions to Systems of Linear Inequalities on $\mathbb{R}$
[arXiv] 2026-06-22 | CoVStream: Edge-Cloud Collaboration for Understanding of Long Video Streams
[arXiv] 2026-06-22 | Capable but Careless: Do Computer-Use Agents Follow Contextual Integrity?
[arXiv] 2026-06-22 | A Rank-Preserving Locality Theorem
[arXiv] 2026-06-22 | A Benchmark of (MRI-) Foundation Models to Predict IDH Mutational Status in Glioma
[arXiv] 2026-06-22 | Single Particle Excitations, Band Structures and Octupole Correlation in $^{65}$Zn
[arXiv] 2026-06-22 | Anisotropic 2D FUP and quantum open baker's map
[arXiv] 2026-06-22 | Bridging Semantics and Kinematics: A Modular Framework for Zero-Shot Robotic Manipulation
[arXiv] 2026-06-22 | On the gain of entrainment in stable linear control systems with a nonlinear output
[arXiv] 2026-06-22 | Orientation matters: Consequences for gravitational-wave background detectability
[arXiv] 2026-06-22 | When Distortion Helps: Secure GNN Precoding with Nonlinear Power Amplifiers
[arXiv] 2026-06-22 | Statistical Proof as a Window into Human-AI Collaboration: Practical Insights and a Community Agenda
[arXiv] 2026-06-22 | Imaging aerosolized viruses with an X-ray free-electron laser using single-particle rotational invariants
[arXiv] 2026-06-22 | Changing Modalities: Adapting Remote Sensing Models to New Satellites and Sensors
[arXiv] 2026-06-22 | Optimal Small Set Expanders and Their Codes
[arXiv] 2026-06-22 | UniverSat: Resolution- and Modality-Agnostic Transformers for Earth Observation
[arXiv] 2026-06-22 | On Generalized Milnor Manifolds and Their Topological Complexity
[arXiv] 2026-06-22 | An \Al clock with $1.6\times10^{-18}$ systematic uncertainty and its frequency ratios
[arXiv] 2026-06-22 | Cost of one-relator groups
[arXiv] 2026-06-22 | Scalable Physics-Inspired Transformers for Spin Glasses
[arXiv] 2026-06-22 | Level Totients for Integer Mosaics
[arXiv] 2026-06-22 | Sharp Inequalities for Products of Principal Minors of Positive Definite Matrices
[arXiv] 2026-06-22 | Closed and broken electromagnetic orbits in Kerr--Newman spacetime
[arXiv] 2026-06-22 | Irreversibility Enhances Quantum-Enhanced Markov-Chain Monte Carlo
[arXiv] 2026-06-22 | The hidden variability of the torus in local Active Galactic Nuclei: 20 years of Chandra, XMM-Newton, and NuSTAR observations
[arXiv] 2026-06-22 | FedOT: Ownership Verification and Leakage Tracing via Watermarks for Federated LDMs
[arXiv] 2026-06-22 | A modified Riemannian Levenberg-Marquardt Algorithm for robust or constraint optimization on manifolds
[arXiv] 2026-06-22 | Next-to-next-to-leading-order QCD corrections to ${}^3S_1^{(8)}$ gluon fragmentation function for quarkonium
[arXiv] 2026-06-22 | Variations of Helly's theorem for convex splinters
[arXiv] 2026-06-22 | Bunny Codes: Broadening Superconducting Quantum Error Correction Capability through Advanced Control Engineering
[arXiv] 2026-06-22 | Approximating velocity fields with planted attractors via Neural-ODEs for classification purposes
[arXiv] 2026-06-22 | Koshur Pixel: a large-scale synthetic ocr dataset for kashmiri
[arXiv] 2026-06-22 | Rethinking Molecular Graph Backdoors under Chemistry-aware Admission
[arXiv] 2026-06-22 | PIVOTSBench: Evaluating Fine-Grained Interpersonal Relationship Reasoning in Multimodal Large Language Models
[arXiv] 2026-06-22 | Universal Value-at-Risk superadditivity
[arXiv] 2026-06-22 | AI Exposure Scores: what they measure, what they miss, and what comes next
[arXiv] 2026-06-22 | Efficient Energy-Constrained Semi-Device-Independent QRNG with an Integrated Heterodyne Receiver
[arXiv] 2026-06-22 | Ensuring Open Source Integrity: The Intersection of Copy-Based Reuse and License Compliance
[arXiv] 2026-06-22 | The Prevalence and Impact of Licenses in Open Software Projects
[arXiv] 2026-06-22 | Influence of Harris disorder on quantum-critical superconductivity
[arXiv] 2026-06-22 | Are most detected tidal disruption events partial?
[ACM] 2026-6-23 | Rethinking Prototype Fidelity in the Age of Generative AI: When High-Fidelity Becomes Cheap, It's Time to Revisit Our Foundational Design Wisdom
[ACM] 2026-6-23 | Like It or Not — Recommender Systems Lack a Coherent Normative Foundation
[ACM] 2026-6-23 | BengaliMoralBench: A Benchmark for Auditing Moral Reasoning in Large Language Models within Bengali Language and Culture
[ACM] 2026-6-23 | Reproducibility Report for the Paper: “Mathematical Modeling Framework for Comparison of Vaccination Strategies for Different Diseases”
[IEEE] 2026-6-22 | Velocity-Dependent Doppler–Beam Correlation in Millimeter-Wave V2V Communications: Characterization and Implications
[IEEE] 2026-6-22 | An Integrated Multi-Level Data Quality Control Strategy for Low-Cost GNSS Receivers in Urban Environments
[IEEE] 2026-6-22 | NanoVerse-TSR: Contrastive Learning-Driven Traffic Sign Recognition
[IEEE] 2026-6-22 | Verifiable Error Bounds for Physics-Informed Neural KKL Observers
[IEEE] 2026-6-22 | Generating Black-Box Adversarial Examples for Industrial Control Systems via Immune Co-Evolution
[IEEE] 2026-6-22 | Real-World Gaps in AI Governance Research
[IEEE] 2026-6-22 | ISSCC 2026 Circuit Insights: From Device Physics to Practical Analog Design—A Student’s Perspective [Conference Reports]
[IEEE] 2026-6-22 | Solid-State Circuits Take Root in Colombia: The UIS SSCS Student Chapter [Chapters]
[IEEE] 2026-6-22 | Noise Analysis of Global Continuous GPS Horizontal Position Time Series in IGS20 Solutions
[IEEE] 2026-6-22 | Predictive Analysis of Car Price of Oman Automobile Industry using Comparative ML Models
[IEEE] 2026-6-22 | 9.55 nV/√Hz Low-Noise Chopper Operational Amplifier Based on Auto-Correction Feedback
[IEEE] 2026-6-22 | NEUKRAG: Neuromorphic KG-RAG with Small LLMS for Hardware-Algorithm Co-Design
[IEEE] 2026-6-22 | Additional Reviewers
[IEEE] 2026-6-22 | A Survey of Image Watermarking Methods With AI and Chaos Theory Integration
[IEEE] 2026-6-22 | Smart Signboard for Accident Prevention on Ghat Roads
[IEEE] 2026-6-22 | Towards a Sustainable Future in Oman: Utilizing Associated Gas for Power Generation to Eliminate Gas Flaring in the Oil Industry
[IEEE] 2026-6-22 | Temperature Prediction of a Photovoltaic Panel Integrated with Phase Change Material Using Machine Learning
[IEEE] 2026-6-22 | Hybrid Variational Autoencoder and Graph Neural Network Framework for Personalized Drug Recommendation
[IEEE] 2026-6-22 | Domain-Guided Operator-in-the-Loop Neural Simulation for Gas Turbine Optimization
[IEEE] 2026-6-22 | A Wide-Temperature-Range Relaxation Oscillator with Voltage Feedforward Compensation and Trimmable Capacitors
[IEEE] 2026-6-22 | FRENS: A YOLO-Based Traffic and Flood Monitoring System with Integrated Chatbot and Voice Assistance
[IEEE] 2026-6-22 | Correcting One Deletion and One Substitution with a Constant Number of Reads
[IEEE] 2026-6-22 | An Efficient Virtual Gradient-Based Adaptive Delta Maximum Power Point Tracking Algorithm for PV Systems
[IEEE] 2026-6-22 | Precise Torque Estimation and Control for Induction Motors Considering Iron Loss
[IEEE] 2026-6-22 | Learning-Based Radio Resource Management and Bitrate Adaptation for Multi-UAV Video Surveillance over Low-Altitude Wireless Networks
[IEEE] 2026-6-22 | BridgeSafe: An Event-Driven IoT Architecture for Real-Time Overheight Vehicle Detection and Alerting
[IEEE] 2026-6-22 | Finite-State Markov Modeling of Quorum-Sensing Relay Channels for Molecular Communication
[IEEE] 2026-6-22 | Japanese Text Detection with Romaji Transcription
[IEEE] 2026-6-22 | An Integrated GoogLeNet and U-Net Architecture for Accurate Plant Leaf Disease Analysis
[IEEE] 2026-6-22 | A Real-Time Wearable Virtual Keyboard Based on Inertial Finger Gesture Recognition
[IEEE] 2026-6-22 | Developing a Dual-Motor Wind-Turbine
[IEEE] 2026-6-22 | Analysis of Emerging Research Frontiers in Philippine Materials Science Research
[IEEE] 2026-6-22 | Lightweight CNN with Channel Pruning and Efficient Channel Attention for Hazardous Audio Event Detection on Edge Devices
[IEEE] 2026-6-22 | Author Index
[IEEE] 2026-6-22 | Design Optimization of a Direct Contact Liquid Cooling System Through Multi-Material Printing Using Material Jetting
[IEEE] 2026-6-22 | Mamdani Fuzzy Logic-Based Ergonomic Evaluation of Public and Private Animal Shelters and Pounds Across Urban Segments Using Kruskal-Wallis Analysis
[IEEE] 2026-6-22 | Workplace Policies for Preventing Health-Related Issues From Long Time of Stagnation to Modern Employees
[IEEE] 2026-6-22 | Experimental Study and Validation of Heavy-Ion Single-Event Effects in a Baseband Processing SoC
[IEEE] 2026-6-22 | A Literature Review of Predictive Weather Forecasting in the Philippines
[IEEE] 2026-6-22 | Senyasikel: Smart Bike using Helmet Detection System and Signal Light
[IEEE] 2026-6-22 | Development of a PID Control System for Microalgae Cultivation Using Arduino Microcontrollers
[IEEE] 2026-6-22 | Segmentation and Classification of Brain Tumor Testing Using Deep Learning Algorithm
