[2026-04-03 22:34:19] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-04-02
正在获取论文...
[arXiv] 2026-04-02 | Sensitivity analysis for stopping criteria with application to organ transplantations
[IEEE] 2026-4-2 | A MADRL Driven Optimization Framework for Grid Node Inertia and Grid-Forming Converter Damping Characteristics in Microgrids
[IEEE] 2026-4-3 | In silico inhibitor analysis of ran binding protein 9 (RanBPM) in non-small cell lung cancer (NSCLC)
[IEEE] 2026-4-2 | Spectral-Spatial Enhanced Local Contrast Strategy for Hyperspectral Small Air Target Detection
[IEEE] 2026-4-2 | A Miniaturized, Self-Packaged Dual-Band Bandpass Filter Based on SIW Mixed-Mode Cavities
[IEEE] 2026-4-2 | PRFCM: Poisson-Specific Residual-Driven Fuzzy $C$-Means Clustering for Image Segmentation
[IEEE] 2026-4-2 | A Hybrid Long Short-Term Memory and Kalman Filter Model for MIMU Inertial Data Fusion
[IEEE] 2026-4-2 | Improving the Retrieval Accuracy of Spaceborne GNSS-R Ocean Surface Altimetry Based on Novel Attention Mechanism Model
[IEEE] 2026-4-2 | A Comparative Assessment of Power Converter Control Strategies: From Linear Control to Machine Learning Approaches
[IEEE] 2026-4-2 | Leading Through Partnership: Translating Strategic Vision Into Operational Excellence
[IEEE] 2026-4-3 | Clinical Metadata Guided Limited-Angle CT Image Reconstruction_supp1-3677586.pdf
[IEEE] 2026-4-3 | DyCITO+: Scalable Deep Reinforcement Learning for Generating Class Integration Test Orders of Java Programs
[IEEE] 2026-4-2 | Table of Contents
[IEEE] 2026-4-2 | A Look Back
[IEEE] 2026-4-2 | CFP: Quantum-Enabled AI for Future Communications
[IEEE] 2026-4-3 | High Color Rendering Index Solution-Processed White OLEDs Based on Novel Exciplexes_supp1-3678242.docx
[IEEE] 2026-4-3 | Carbon Footprint Reduction for Product Returns: Impacts of Return Freight Insurance_supp1-3680225.pdf
[IEEE] 2026-4-3 | Generative AI-Enabled Transmission and Computing Integration for Cloud-Edge Collaborative IoT
[IEEE] 2026-4-3 | Joint Tailoring of Electromagnetic Radiated Emission and Susceptibility Limits for Coexistence of Multiple Radio-Frequency Devices
[IEEE] 2026-4-2 | Generative AI-Native Edge Sensors: Collaborative Data Reconstruction via Lightweight Federated Learning
[IEEE] 2026-4-2 | RW-Net: Enhancing Few-Shot Point Cloud Classification With a Wavelet Transform Projection-Based Network
[IEEE] 2026-4-3 | Image Captioning via Compact Bidirectional Architecture
[IEEE] 2026-4-2 | PureRx: A Non-Fungible Token-Based Prescription Management for Efficient and Secure Healthcare System
[IEEE] 2026-4-3 | Hybrid Late-Fusion Approach for Intelligent Fault Identification under Cross-Load Operating Conditions
[IEEE] 2026-4-2 | Improved row hammer and passing gate effect properties with impurity reduction of TiN single metal word-line in modern DRAM
[IEEE] 2026-4-2 | A Unified Trapezoidal Current Mode for Symmetric Three-Level Buck-Boost Converters Without Mode Switching
[IEEE] 2026-4-2 | An Analytical Model of the SiC MOSFET Body Diode Over a Wide Range of Operating Conditions
[IEEE] 2026-4-3 | GhostBackdoor: A Resistant Backdoor Attack
[IEEE] 2026-4-2 | Robust Transducer-Reflector Distance Control in Acoustic Levitation
[IEEE] 2026-4-2 | Title Page i
[IEEE] 2026-4-2 | An Embedded Resolver-to-Digital Conversion Method Using Resonant Excitation and Quality-Driven Autotuning
[IEEE] 2026-4-2 | CON-FC: A Channel Occupancy Notification-Based Fair Coexistence Method for NR-U and WiFi
[IEEE] 2026-4-2 | On the Difficulty of Token-Level Modeling of Dysfluency and Fluency Shaping Artifacts
[IEEE] 2026-4-2 | CLAIR
                    <sub>A</sub>
                    : Leveraging Large Language Models to Judge Audio Captions
[IEEE] 2026-4-2 | SLM-S2ST: A multimodal language model for direct speech-to-speech translation
[IEEE] 2026-4-2 | Joint Multimodal Contrastive Learning for Robust Spoken Term Detection and Keyword Spotting
[IEEE] 2026-4-2 | Finite-element methods for noncollinear magnetism and spin-orbit coupling in real-space pseudopotential density functional theory
[IEEE] 2026-4-2 | Bottleneck Transformer-Based Approach for Improved Automatic STOI Score Prediction
[IEEE] 2026-4-2 | Communication-Centric UALink and NVLink Comparison for Large Scale AI Training
[IEEE] 2026-4-2 | Finger Vein Spoof GANs: Are they really useful to enhance PAD training?
[IEEE] 2026-4-2 | CLIP Feature Selection Mechanism via Sparse Autoencoder for Generalized Deepfake Detection
[IEEE] 2026-4-2 | A Self-Refining Framework for Enhancing ASR Using TTS-Synthesized Data
[IEEE] 2026-4-2 | R2H: Rowhammer attack in presence of randomized LLC
[IEEE] 2026-4-2 | A correlation-permutation approach for speech-music encoders model merging
[IEEE] 2026-4-2 | Detection of Out-of-Distribution Power Quality Disturbance using Dual-Channel Gramian Angular Field with Enhanced Mahalanobis Distance
[IEEE] 2026-4-3 | USCNet: Transformer-Based Multimodal Fusion with Segmentation Guidance for Urolithiasis Classification
[IEEE] 2026-4-3 | Low-cost Testing of 2.4GHz Receiver on Standard Digital ATE: Practical Implementation
[IEEE] 2026-4-3 | Design of a Scalable Modular Bias Voltage Supply with Reduced Noise for Multi-Channel SiPM Readout
[IEEE] 2026-4-3 | Scheduling Schemes for Mission-Critical IoT Healthcare Applications: A Systematic Review
[IEEE] 2026-4-2 | Research on Fault Diagnosis Method Based on ERPM and the Sparse Dictionary Learning with Label Constrain Associated Fisher Criterion
[IEEE] 2026-4-2 | Machine Learning to Secure Wheels: A Survey of Misbehaviour Detection for the Next Generation of Connected and Autonomous Vehicles
[IEEE] 2026-4-3 | Use Case Matters: Comparing the User Experience and Task Performance across Tasks for Embodied Interaction in VR
[IEEE] 2026-4-3 | Graph Neural Network-Based Hybrid Precoding for Intelligent Integrated mmWave MIMO Systems
[IEEE] 2026-4-2 | Risk-Aware AIoT-Based Fault Detection for Power Line Monitoring in Consumer Energy Systems
[IEEE] 2026-4-3 | Mirror Descent Safe Policy Optimization for Reinforcement Learning Agents_supp1-3674995.pdf
[IEEE] 2026-4-2 | Cover 4
[IEEE] 2026-4-3 | Toward Sustainable 6G: A Holistic View of Trade-Offs and Enablers
[IEEE] 2026-4-2 | A Novel Measurement Method for GIS Mechanical Fault Diagnosis via Physics-Informed Inversion of Feature Vectors and Attention-Enhanced Shallow Neural Networks
[IEEE] 2026-4-2 | Point Cloud Perception in Human-to-Robot Handover based on Semantic Segmentation and Shape Completion
[IEEE] 2026-4-3 | Review of Superconducting Qubit Devices and Their Large-Scale Integration
[IEEE] 2026-4-3 | Professors' Impact on Cybersecurity Students' Learning
[IEEE] 2026-4-3 | NeuroViT-Net: A Study on Performance Improvement of a Transformer-Based Brain Tumor Classification Model
[IEEE] 2026-4-2 | IEEE VR 2026 Sponsors
[IEEE] 2026-4-2 | Table of Contents
[IEEE] 2026-4-2 | Attribute-Guided Semantic Alignment With Pre-Trained Foundation Models for Vehicle Detection_supp1-3678244.pdf
[IEEE] 2026-4-2 | Integrated Multi-Layer Security Framework for Water Distribution Digital Twins
[IEEE] 2026-4-2 | Remote Sensing–Based Multi-Scale Analysis of Lake Cooling Drivers on the Mid-Elevation Yunnan Plateau
[IEEE] 2026-4-2 | Relaxation-Free Pulse Dynamics in Self-Starting Fiber Lasers Enabled by a Hybrid All-Fiber Saturable Absorber
[IEEE] 2026-4-2 | Efficient Generation of Mid-infrared Single Fundamental Solitons in ZBLAN Fibers Using a 2 μm Few-Cycle All-Fiber Pumping Mechanism
[IEEE] 2026-4-2 | Author Index
[IEEE] 2026-4-2 | Int3DNet: Scene-Motion Cross Attention Network for 3D Intention Prediction in Mixed Reality_supp1-3679899.mp4
[IEEE] 2026-4-2 | In-Situ Suppression of Thermal-Magnetic Coupling Noise in Atomic Sensors
[IEEE] 2026-4-2 | Neural Architecture Search based Global-local Vision Mamba for Palm-Vein Recognition
[IEEE] 2026-4-2 | REF-VC: Robust, Expressive and Fast Zero-Shot Voice Conversion with Diffusion Transformers
[IEEE] 2026-4-2 | Group Relative Policy Optimization for Speech Recognition
[IEEE] 2026-4-2 | Efficient Scaling for LLM-based ASR
[IEEE] 2026-4-2 | Image Patch-Question feature fusion model for HPC based Visual Question and Answering
[IEEE] 2026-4-2 | Disentangling Moiré and Texture: Towards Robust Display-Recapture Detection for Document Images
[IEEE] 2026-4-2 | Benchmarking WebAssembly on Edge Devices
[IEEE] 2026-4-2 | A Robust Course Recommendation Model with Adversarial Training of Factorization Machines
[IEEE] 2026-4-2 | Personalized Dance Synthesis Based on Physical and Cognitive Intensities
[IEEE] 2026-4-3 | Seamless Dual Mode Control Strategy for Wide Soft Switching Range in Consumer-Centric Dual Active Bridge Converters
[IEEE] 2026-4-3 | How Can State Space Models Enhance Machine Learning on Graphs?
[IEEE] 2026-4-3 | Amyloid-Beta and RAGE Interactions in Alzheimer's Disease
[IEEE] 2026-4-3 | Predicting Student Dropout: Evaluating Genetic Algorithm Optimization of Support Vector Machine Under Various Normalization Techniques
[IEEE] 2026-4-2 | Machine Learning for Edge-Centric Indoor Visible Light Positioning: A Comprehensive Survey and Future Directions
[IEEE] 2026-4-2 | TechRxiv
[IEEE] 2026-4-3 | Optimized Non-Uniform Pilot Pattern for OFDM Sensing
[IEEE] 2026-4-3 | SemiPoint: Generalizing Cross-Scene Point Cloud Video Streaming With Semi-Supervised Learning and Residual-Aware Adaptation
[IEEE] 2026-4-3 | Dynamic Optimization Framework for Intelligent Maintenance of Offshore Wind Turbines with Competing Failure Modes
[IEEE] 2026-4-2 | Society Members Named to IEEE Fellow Grade
[IEEE] 2026-4-3 | Table of Contents
[IEEE] 2026-4-3 | Optimal Dual-Polarized Signal Fusion for Remote Sensing of Space Targets with Passive Radar
[IEEE] 2026-4-3 | GNSS Jamming and Spoofing Threats in UAV Navigation: Countermeasure Status and Challenges
[ACM] 2026-4-2 | Facilitating Non-Verbal Communication for People with Intellectual Disability through Intent Interpretation in Image-Based Interaction
[IEEE] 2026-4-2 | Efficient Densest Flow Queries in Transaction Flow Networks
[IEEE] 2026-4-2 | A Multimodal Deep Reinforcement Learning Framework for Dynamic Pricing Optimisation in E-Commerce
[IEEE] 2026-4-2 | Dynamic Data Scheduling and Precoding for Heterogeneous GEO-LEO Satellite Communication Networks
[IEEE] 2026-4-2 | Multimodal Zero-Shot Industrial Defect Segmentation via Visual-Textual-Geometry Fusion
[IEEE] 2026-4-2 | Interactive CAD Reverse Modeling via Variational Curve Approximation_supp1-3679473.pdf
[IEEE] 2026-4-2 | SPLOCIS – Extending SPLOMs to a Scatterplot Cube with Interactable Shadows for Immersive Analysis in Virtual Reality
[IEEE] 2026-4-2 | Design and Validation of a Multimodal Immersive Virtual Environment for Cognitive Intervention in Patients with Alzheimer’s Disease
[IEEE] 2026-4-2 | PointShopVR: Immersive Authoring of Large Point Clouds in Virtual Reality
[IEEE] 2026-4-2 | Vision-Text Interactive Hybrid Granularity Proxy Representation Learning for AI-Generated Image Detection
[IEEE] 2026-4-2 | Density–Hierarchical Clustering with PRI Transform for Robust Radar Signal Deinterleaving
[IEEE] 2026-4-2 | Towards an Agentic AI Design across Edge and Cloud
[IEEE] 2026-4-2 | PARISCV: A RISC-V Profiler for Application-Specific Hardware Optimization
[IEEE] 2026-4-2 | Llasa+: Free Lunch for Accelerated and Streaming Llama-Based Speech Synthesis
[IEEE] 2026-4-2 | Lightweight Prompt Biasing for Contextualized End-to-End ASR Systems
[IEEE] 2026-4-2 | Robust Training of Singing Voice Synthesis Using Prior and Posterior Uncertainty
[IEEE] 2026-4-2 | LCS-CTC: Leveraging Soft Alignments to Enhance Phonetic Transcription Robustness
[IEEE] 2026-4-3 | ‘Impact of Consumer Analytics and AI on Inventory Management in UAE with reference to UN SDG 12: Sustainable Consumption and Production patterns" and SDG 2 Zero Hunger in UAE"
[IEEE] 2026-4-3 | Design Method of Pixelated Electron Gun Based on CNN Model
[IEEE] 2026-4-3 | Monodisperse CoFe2O4 Nanocubes: Influence of Particle Size on the Magnetic Properties
[IEEE] 2026-4-3 | Homogenization of the Eddy Current Problem in Laminated Open-Type Cores Accounting for Perpendicular Flux
[IEEE] 2026-4-2 | Quantitative Magneto-Acousto-Electric Computed Tomography (qMAE-CT): Imaging of Tissue Conductivity Distributions With High-Resolution
[IEEE] 2026-4-3 | IEEE Transactions on Industrial Electronics Information for Authors
[IEEE] 2026-4-3 | Modality-Mix Learning: Promoting Multimodal Learning Through Multilabel Objective
[IEEE] 2026-4-3 | Table of Contents
[IEEE] 2026-4-3 | Distribution-Aware Infrared Small Target Detection Based on Multi-Scale Convolutional Decoder and Hypergraph Attention
[IEEE] 2026-4-2 | Unveiling the Multifaceted Landscape of Biohacking: Insights from a Machine Learning-Driven Systematic Review
[IEEE] 2026-4-3 | MilleniaGuard: An Event-Driven Edge-AI and AIGC-Based IoT System for Ancient Mural Monitoring and Restoration
[IEEE] 2026-4-3 | Heterogeneous Hypergraph Multi-Agent Learning for UAV Collaboration in Disaster Scenarios
[IEEE] 2026-4-3 | DAC-MR: Data Augmentation Consistency Based Meta-Regularization for Meta-Learning
[IEEE] 2026-4-3 | Sparse Grassmannian Design for Noncoherent Codes via Schubert Cell Decomposition
[IEEE] 2026-4-3 | 6G-Bench: An Open Benchmark for Semantic Communication and Network-Level Reasoning with Foundation Models in AI-Native 6G Networks
[IEEE] 2026-4-3 | Semi-amortized Encoder-Decoder Network for Beamforming over Sparse Large-Scale MIMO Channels
[IEEE] 2026-4-3 | Fine-Tuning Lightweight LLM for Enhanced Network Understanding: A Rephrase and Contrast Approach
[IEEE] 2026-4-2 | A 54.1–387.5-
                    <i>μ</i>
                    W 65-nm Multimodal SoC Integrating a Custom CISC Core for Edge IoT Applications
[ACM] 2026-4-2 | Towards AI-Mediated Bidirectional Communication Support for Cross-Neurotype Interactions
[IEEE] 2026-4-3 | Optically-Transparent mmWave Metasurface Reflector with a Honeycomb-Meshed Ground Plane
[IEEE] 2026-4-3 | Enhancing Seasonal Arctic Sea Ice Prediction for Late Summer by Transfer Learning of PIOMAS and CryoSat-2-Observed Sea Ice Thickness Data
[IEEE] 2026-4-3 | Estimating the accuracy of NmF2 at low latitudes from COSMIC2, ionosonde and a neural network-based model by three-corner-hat method
[IEEE] 2026-4-2 | Heavy-Duty Gas Turbine Compressor Health Monitoring by Improved Closed-Form Continuous-Time Neural Network
[IEEE] 2026-4-2 | Acoustic Signal-Based Smart Attendance System for Preventing Fraudulent Attendees
[IEEE] 2026-4-2 | An 8-bit 4.8-GS/s Four-Channel Time-Interleaved SAR ADC With Ping-Pong Comparators Using Global-Dither-Based Timing-Skew Calibration and Bit-Distribution-Based Offset Calibration
[IEEE] 2026-4-2 | Training-Free Ultra Small Model for Universal Sparse Reconstruction in Compressed Sensing
[IEEE] 2026-4-2 | DSP-Based Capacitor Voltage Estimation for Flying Capacitor Multilevel Inverters
[IEEE] 2026-4-2 | Deep Spectral Feature Learning With Evolutionary Band Selection for Environmental Monitoring of Plastic Debris
[IEEE] 2026-4-2 | Analysis of acoustic vibrational modes in Germanium quantum dot in Silicon systems for light-harvesting applications
[IEEE] 2026-4-2 | Decoupled Measurement Method of Windage and Bearing Losses in High-Speed Electric Machines for Heavy-Duty Automotive Applications
[IEEE] 2026-4-2 | Scalable machine learning-based approaches for energy saving in densely deployed Open RAN
[IEEE] 2026-4-2 | Author Index
[IEEE] 2026-4-2 | scMSAC Assigns Single-Cell Multi-Omics Data At the Multi-Modal Cluster Via Subgraph Attention Autoencoder
[IEEE] 2026-4-2 | Introduction to the 1st International Workshop on RISC-V for HPC (RISCV-HPC)
[IEEE] 2026-4-2 | Evaluating the Viability of Additive Models to Predict Task Completion Time for 3D Interactions in Augmented Reality
[IEEE] 2026-4-2 | A Unified Hand and Gesture Tracking via Offloading Framework for Object-mediated Interaction in Wearable AR
[IEEE] 2026-4-2 | Evaluation of Visual Feedback Techniques for Mid-Air Teleportation in an Immersive Environment
[IEEE] 2026-4-2 | Protecting Personal Space in Social Virtual Worlds: The Impact of Proximity-Control Features on Adoption Intention
[IEEE] 2026-4-2 | Unifying Diarization, Separation, and ASR with Multi-Speaker Encoder
[IEEE] 2026-4-2 | Efficient Deployment of Large Speech Recognition Models on GPU
[IEEE] 2026-4-2 | Hardware-Software Co-Design of Post-Quantum FALCON Digital Signature Scheme with RISC-V
[IEEE] 2026-4-2 | Performance Evaluation of AI Inference on the Tenstorrent Wormhole RISC-V Accelerator
[IEEE] 2026-4-2 | Integrating Research into High Performance Computing Education via Particle-in-Cell Simulations
[IEEE] 2026-4-2 | FlexCTC: GPU-powered CTC Beam Decoding With Advanced Contextual Abilities
[IEEE] 2026-4-2 | AdaBit-TasNet: Speech Separation with Inference Adaptable Precision
[IEEE] 2026-4-2 | Non-Autoregressive Multi-Speaker ASR with Decoupled Speaker Change Detection
[IEEE] 2026-4-2 | Speech in-context learning of paralinguistic tasks
[IEEE] 2026-4-2 | Towards Efficient Speech-Text Jointly Decoding within One Speech Language Model
[IEEE] 2026-4-2 | Multi-Distillation from Speech and Music Representation Models
[IEEE] 2026-4-3 | Fault Diagnosis of Multi-loop Pneumatic Control Valve Systems Based on 1DCNN-BiLSTM Model
[IEEE] 2026-4-2 | Contact Resistance Measurements in Two-Layer Spiral-Coated-Conductor Cable
[IEEE] 2026-4-2 | SuperLink 150 m Demo and Large-Scale Perspective
[IEEE] 2026-4-2 | VRCL-MSVFF: An Accurate Multi-Source Visual Feature Fusion-Based Vehicle–Road Collaborative Localization Method for Indoor Testing Scenarios
[IEEE] 2026-4-3 | Privacy Decentralized Online Federated Learning for Smart Healthcare Service Systems_supp1-3680310.pdf
[IEEE] 2026-4-2 | Thermal Modeling and Analysis of Cryogenic Nitrogen Flow Boiling through Micro-Pin Fin Channels
[IEEE] 2026-4-3 | MHPF-HSI: A Multimodal Framework for Hepatocellular Carcinoma Prognosis Prediction Integrating Microscopic Hyperspectral Imaging
[IEEE] 2026-4-3 | Evolutionary Hyper-Transformation for Multi-AAV Path Planning to Visit Moving Targets
[IEEE] 2026-4-2 | EasyVoid: A Handheld Coandă Effect Uroflowmeter for Accurate and Portable Measurement of Urinary Flow Dynamics
[IEEE] 2026-4-3 | A Hybrid Active Switched LC and Passive Capacitor Quadratic-Based High-Gain DC–DC Converter with Common Ground and Reduced Device Stress
[IEEE] 2026-4-3 | Multi-Static Reluctance Network with Constant Topology and Fixed Air gap Parameters Applied to PMSG
[IEEE] 2026-4-3 | Kinematic-Aware Robust LIO-W: A Tightly-Coupled Framework with Trajectory-Based Asynchronous Compensation for Degraded Environments
[IEEE] 2026-4-3 | Design and Implementation of Fast Transient Overvoltage Protection Systems for SPIDER Power Supplies
[IEEE] 2026-4-3 | Automata Learning versus Process Mining: The Case for User Journeys
[IEEE] 2026-4-3 | Path Planning for Petrochemical Plant Inspection Robots Based on an Enhanced Black-Wing Kite Algorithm
[IEEE] 2026-4-3 | Guest Editorial for the 21th Asia Pacific Bioinformatics Conference
[IEEE] 2026-4-2 | Multilevel, High Resistance Switching in AlO/TiO Bilayer RRAM Devices_supp1-3674821.docx
[IEEE] 2026-4-2 | Scalable Collocated Multi-User VR through Virtual Environment User Spatial Coherence_supp1-3679887.mp4
[IEEE] 2026-4-2 | Predefined-time Tracking Consensus Control of Cyber-physical Multi-Agent System under DoS/Deception Attacks using Event-Triggered Switching Topology
[IEEE] 2026-4-2 | Quantification and Correction of SMAP Soil Moisture Retrieval Biases Induced by Subpixel Moisture and Texture Heterogeneity over China_supp1-3679771.docx
[IEEE] 2026-4-2 | AGHE: Generating Enhanced Node Embeddings in Heterogeneous Graphs - Design and Semantic Embedding Compositions
[IEEE] 2026-4-2 | Compact Biconnected Components on GPUs
[IEEE] 2026-4-2 | Drone Detection on Wi-Fi Channels Using Radio Frequency Signal Power Variation Properties
[IEEE] 2026-4-2 | Can Treadmill Walking Replicate Natural Walking? Optimizing Speed, Platform Tilt, and Training Duration on a Cyberith Virtualizer Elite 2
[IEEE] 2026-4-2 | Improving Resource-Efficient Speech Enhancement via Neural Differentiable DSP Vocoder Refinement
[IEEE] 2026-4-2 | More Similar than Dissimilar: Modeling Annotators for Cross-Corpus Speech Emotion Recognition
[IEEE] 2026-4-2 | MADASR 2.0: Multi-Lingual Multi-Dialect ASR Challenge in 8 Indian Languages
[IEEE] 2026-4-2 | On the Use of Self-Supervised Representation Learning for Speaker Diarization and Separation
[ACM] 2026-4-3 | Reliable Batch-Sequential Model Editing via Enhanced Editing Anchor Compression
[IEEE] 2026-4-2 | Pedagogy Meets AI &amp; Systems: Towards Orchestrating Tutor Agents in Moodle using FaaS
[IEEE] 2026-4-3 | Social Media for Whom? The Absence of Guideline Adherence in Social Platforms
[IEEE] 2026-4-3 | Efficient Selection of Decoding Order for Rate Maximization in Uplink RSMA
[IEEE] 2026-4-3 | 2DAM-SC: Two-Dimensional-Adaptive Modulation for Semantic Communications under Shadowed Fading Channels
[IEEE] 2026-4-2 | Photovoltaic Defect Image Generator With Boundary Alignment Smoothing Constraint for Domain Shift Mitigation
[IEEE] 2026-4-2 | IEEE App
[IEEE] 2026-4-3 | Balancing the Virtual Path: Influence of Amplitude, Frequency, and Input Method on VR Locomotion
[IEEE] 2026-4-2 | Energy Storage Units Optimal Operation Strategy with Efficiency Improvement and State of Charge Balance
[IEEE] 2026-4-3 | Classifying Drones and Birds from Images using Deep Neural Networks
[IEEE] 2026-4-3 | Material sensing using arrays of open dipole RAIN RFID tags
[IEEE] 2026-4-2 | Grid-Constrained Planning for Scalable Hydrogen Production and Refueling at Transit Bus Depots
[IEEE] 2026-4-3 | SymptoMatch: Improving Clinical Symptom Recognition via Bidirectional Learning from Layman Expression
[IEEE] 2026-4-3 | Enhancing URLLC Performance in Teleoperation Systems through Dual Prediction and Resource Optimization
[IEEE] 2026-4-3 | A Triaxial MEMS Capacitive Accelerometer With Efficient Temperature Hysteresis Compensation Based on a Modified Prandtl–Ishlinskii Model
[IEEE] 2026-4-2 | FPGA-Based Handwritten Digit Recognition Using 3-D Hop Net and Equilibrium Optimization
[IEEE] 2026-4-3 | A 20–500 MHz, 250 WAdaptive-Supply Balanced GaN Power Amplifier With Inherent Resilience to Antenna VSWR
[IEEE] 2026-4-2 | Closed-loop feedback scheme for resonant fiber optic current sensor based on AOM
[IEEE] 2026-4-2 | A Trust Model for Human-Machine Interaction in Virtual Reality_supp1-3679898.pdf
[IEEE] 2026-4-2 | IEEE VR 2026 Steering Committee Message
[IEEE] 2026-4-2 | MIMO Channel Estimation using Transformer-Based Generative Diffusion Models
[IEEE] 2026-4-2 | LLMs and IoT: A Comprehensive Survey on Large Language Models and the Internet of Things
[IEEE] 2026-4-2 | A Statistical Abstraction Framework for Integrating Heterogeneous VR Datasets in Ordinal Cybersickness Prediction
[IEEE] 2026-4-2 | Training and Inference Efficiency of Encoder-Decoder Speech Models
[IEEE] 2026-4-2 | Transcribe, Translate, or Transliterate: An Investigation of Intermediate Representations in Spoken Language Models
[IEEE] 2026-4-2 | PARCO: Phoneme-Augmented Robust Contextual ASR via Contrastive Entity Disambiguation
[IEEE] 2026-4-2 | Intermediate-Selective Feature Enhancement for Speech Emotion Recognition
[IEEE] 2026-4-2 | GAFIN: Gradient Direction-Agnostic Differential Privacy Control for Federated Learning via Nussbaum-Enhanced PID Tracking
[IEEE] 2026-4-2 | STAR-RIS Aided Covert Communication with Symbiotic Backscatter
[IEEE] 2026-4-2 | ADD: An Automated Neural Architecture Search Baseline for Deepfake Detection
[IEEE] 2026-4-2 | MATANALYZE - A Custom Accelerator Generator for Sparse × Dense and Dense × Sparse Matrix Multiplication
[ACM] 2026-4-2 | Measuring Student Performance and Readiness in Algorithms and Data Structures Courses
[IEEE] 2026-4-2 | MoLEx: Mixture of LoRA Experts in Speech Self-Supervised Models for Audio Deepfake Detection
[IEEE] 2026-4-2 | Granite-speech: open-source speech-aware LLMs with strong English ASR capabilities
[IEEE] 2026-4-3 | Analysis of Gate Leakage Mechanism in AlGaN/GaN HEMTs With PECVD and ICPCVD/PECVD SiN Passivation Considering the Varying Electric Field in GaN Cap Layer
[IEEE] 2026-4-3 | Unification of Closed-Open Industrial Detection Scenarios: New Large-Scale Benchmarks, Challenges and Baselines
[IEEE] 2026-4-3 | FanType: Intention-Inferring Fan-shaped Thumb Interface for Text Entry on Small XR Keyboards
[IEEE] 2026-4-3 | Personalized NextGen Product Design with GenAI
[IEEE] 2026-4-2 | Electric Vehicle Fast Charging Technologies and Grid Integration—A Comprehensive Review
[IEEE] 2026-4-2 | Graph Neural Networks for Graphs With Heterophily: A Survey
[IEEE] 2026-4-3 | IEEE Journal of Emerging and Selected Topics in Power Electronics Publication Information
[IEEE] 2026-4-3 | Glow plug Integrated Solar Heater for Reducing Initial Waiting Period of Evaporation Lag and Improve Thermal Efficiency in Solar Still Desalination
[IEEE] 2026-4-3 | Physical Layer Security for NOMA-OFDM Using Power Hopping
[IEEE] 2026-4-3 | Investigation of Thermal Distribution in Cryogenically Cooled Inverter for HTS Motor
[IEEE] 2026-4-3 | WeakTr: Exploring Plain Vision Transformer for Weakly-supervised Semantic Segmentation_supp1-3678362.pdf
[IEEE] 2026-4-2 | Precise Near-Field Beam Training With DFT Codebook Based on Amplitude-Only Measurement
[IEEE] 2026-4-3 | Frequency-Dimension Virtual Array Expansion in MIMO Radars for Improved Angular Resolution
[IEEE] 2026-4-3 | CSNR and JMIM Based Spectral Band Selection for Reducing Metamerism in Urban Driving
[IEEE] 2026-4-2 | AsyncVoice Agent: Real-Time Explanation for LLM Planning and Reasoning
[IEEE] 2026-4-2 | Serialized Output Prompting for Large Language Model-based Multi-Talker Speech Recognition
[IEEE] 2026-4-2 | CentGNN: A Centrality-Driven Scheme for High-Performance Graph Neural Networks
[IEEE] 2026-4-2 | A Targeted Attack against Certifiably Robust Smoothed Classifiers
[IEEE] 2026-4-2 | Sharing The Load: Influence of Cognitive Load Visualization on Social Presence in Collaborative Virtual Reality
[IEEE] 2026-4-2 | A 0.53-pJ/bit 5 × 10 Gb/s/pin Single-Ended Transceiver With Reconfigurable 4-Aggressor Crosstalk Cancellation for HBM Interfaces
[IEEE] 2026-4-2 | PF-MSAS: Multi-Split Address Scheme based LSTM Prefetcher with DoA filtering
[IEEE] 2026-4-2 | Maestro-EVC: Controllable Emotional Voice Conversion Guided by References and Explicit Prosody
[IEEE] 2026-4-2 | ASR for Affective Speech: Investigating Impact of Emotion and Speech Generative Strategy
[IEEE] 2026-4-2 | Conference Organization
[IEEE] 2026-4-2 | Introduction to the 2nd Workshop on High Performance Fabrics (FABRICS 2025)
[IEEE] 2026-4-2 | Distributed Composite Regularization via Dual-Layer Consensus Optimization
[IEEE] 2026-4-2 | Quantum Intuition XR: Tangible Quantum Mechanics Using Interactive XR Experience_supp1-3679913.pdf
[IEEE] 2026-4-2 | Together in Sync: Assessing Prosocial Behavior with a Full-Body Interactive Mixed Reality Experience_supp1-3679116.mp4
[IEEE] 2026-4-2 | Deep Reinforcement Learning-based Cluster Selection for Network-layer Performance Guarantee in Federated Learning
[IEEE] 2026-4-2 | Large Language Models for Malware Detection: A Systematic Review, Taxonomy, and Open Challenges
[IEEE] 2026-4-2 | A Joint Learning Framework for Document-Level Event Extraction
[IEEE] 2026-4-2 | Auto-Topology Particle Swarm Optimization for Multimodal Multiobjective Problems
[IEEE] 2026-4-3 | Adaptive Gossip-Enhanced SIR Models for Real-Time Routing Optimization and Fault Tolerance in Distributed Networks
[IEEE] 2026-4-3 | qfusion-opt: Profile-Informed Gate Scheduling and Fusion Optimization for Accelerating Quantum Circuit Simulation
[IEEE] 2026-4-3 | OptMRT: Near-Optimal Partitioning for Mixed Real-Time Tasks on Heterogeneous Architectures_supp1-3677772.pdf
[IEEE] 2026-4-2 | Scalable Modeling Approach to Zero-shot High-Capacity and High-Speed Machinery Fault Diagnosis
