[2026-06-13 23:04:29] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-12
正在获取论文...
[ACM] 2026-6-12 | On the Node-Averaged Complexity of Locally Checkable Problems on Trees
[ACM] 2026-6-13 | Turn on the Flashlight: Revealing a Full Picture of Modified Tricycles in Food   Streets
[ACM] 2026-6-13 | Becoming a Tree: Digital-Avatar VR Body Scan for the Menopausal Transition
[ACM] 2026-6-13 | RecallMe: Designing a Rotary Phone Artifact for Immersive Reflection with the Past Self
[ACM] 2026-6-13 | Designing Sound Interactions in Spaces
[IEEE] 2026-6-12 | Experimental and Simulation Investigation of Heat Transfer of Large-scale Mini-channel Printed Circuit Heat Exchanger
[IEEE] 2026-6-12 | An Intelligent Blockchain Consensus Enhancement Framework Using DAG and the PHANTOM Protocol
[IEEE] 2026-6-12 | RIS-Assisted 6G Link Adaptation with Robust Beamforming Under Channel Uncertainty
[IEEE] 2026-6-12 | An Ethical AI Model for Bias Detection and Fair Decision-Making in Machine Learning Systems
[IEEE] 2026-6-12 | Microwave Filter Digital Twin Development
[IEEE] 2026-6-12 | Identifying Comorbid Mental Disorders via Causal Multi-Label KNN
[IEEE] 2026-6-12 | Group Priority Indexing Assisted Power Allocation in MIMO-UFMC Systems
[IEEE] 2026-6-12 | A Blockchain-based Framework for CTI Sharing in Healthcare
[IEEE] 2026-6-12 | Comparative Implementation and Evaluation of Deep Learning Models for Ultrasound Image Analysis
[IEEE] 2026-6-12 | GaN HEMT Transistors Application Features in Outphasing Transmitters
[IEEE] 2026-6-12 | Approaches to the Formation and Management of Individual Educational Trajectories of Students in a Higher Educational Institution Using Temporal Neuro-Fuzzy Petri Networks
[IEEE] 2026-6-12 | Early Detection of Heart Disease from Cardiology Reports using Hybrid TF-IDF and BERT Features: an NLP Driven Approach
[IEEE] 2026-6-12 | The Use of a Scintillation Detector in Equipment for Static Probing During Gamma Logging Tests of Soils
[IEEE] 2026-6-12 | Spectral Graph Theory: The mathematics of self-supervised learning [Special Issue on the Mathematics of Deep Learning]
[IEEE] 2026-6-12 | Early Diagnosis of the Risk of Schizophrenia using Hybrid Machine Learning
[IEEE] 2026-6-12 | Machine Learning-based Beam Association for Massive MIMO in Dense Distributed Renewable Energy Networks
[IEEE] 2026-6-12 | Edge-AI based Intelligent Road Monitoring System using YOLOv8 for Real-Time Traffic Analysis and Road Damage Detection
[IEEE] 2026-6-12 | Investigation of Sensor Installation Methods for Acoustic Tomography in Standing Trees
[IEEE] 2026-6-12 | Drinking Water Requirement Prediction Using AI Techniques
[IEEE] 2026-6-12 | An Intelligent Gesture-Based Assistive Framework for Smart Presentations and Human-Computer Interaction
[IEEE] 2026-6-12 | Envelope Elimination and Restoration Power Amplifier High-Frequency Path Computer Model Development
[IEEE] 2026-6-12 | Digital Leadership and Smart Governance: An AI-Driven Analysis of Leadership Competencies and Strategic Challenges
[IEEE] 2026-6-12 | Multimodal Causal Fusion Network for Robust Imaging-Genomic Colorectal Cancer Survival Prediction with Counterfactual Regularization
[IEEE] 2026-6-12 | STEAM Technologies in Computational Geometry
[ACM] 2026-6-13 | When Drawing Is Not Enough: Exploring Spontaneous Speech with Sketch for Intent Alignment in Multimodal LLMs
[ACM] 2026-6-13 | The Whispering Interface: Intuition as a Resonance Space Between Human and World – A Speculative Critique of Contemporary Interface Paradigms
[IEEE] 2026-6-12 | AI-Driven Fault Diagnosis of Induction Motors: A Fault-Type-Based Comparative Review
[IEEE] 2026-6-12 | Hybrid Satellite–Wi-Fi 8 Architecture for Nationwide High-Speed Broadband Connectivity
[IEEE] 2026-6-12 | Deep Learning Ensemble Harnessing Optimization: An Intelligent and Adaptive Framework of Intrusion Detection
[IEEE] 2026-6-12 | Using Large Language Models for Continuous Assessment in STEM-education
[IEEE] 2026-6-12 | Real-Time Posture Correction using MediaPipe
[IEEE] 2026-6-12 | Enhancing Data Integrity and Authenticity for Blockchain Powered Online Healthcare Services
[IEEE] 2026-6-12 | Skill Development Platform with Voice Integration System
[IEEE] 2026-6-12 | PDF Knowledge Extraction System with RAG and CAG Models
[ACM] 2026-6-13 | "Like a shadow": Deconstructing How Anti-TFSV Activists in South Korea Fill Data Stewardship Gaps through Emotional Labor
[ACM] 2026-6-13 | Acts of Configuration: Rethinking Provenance, Temporality and Legitimacy in Post-Mortem Agents
[ACM] 2026-6-13 | Reimagining Digital Grievance Redressal Systems for Better Participatory Governance In India
[ACM] 2026-6-13 | Dream Brush: Generative Painting with Chinese Calligraphy
[ACM] 2026-6-13 | AttentionGo: Designing Tangible Neurofeedback Tools for Children with ADHD through a Holistic Well-being Lens
[IEEE] 2026-6-12 | Satellite-Enhanced Deep Learning for Agricultural and Hydrological Drought Forecasting in Data-Scarce Indian Regions
[IEEE] 2026-6-12 | A Survey of Structural MRI-based Classification of Alzheimer's Disease: Traditional Machine Learning to Deep Neural Architectures
[IEEE] 2026-6-12 | Carbon Tax and Willingness to Pay: Evidence From High-Pollution Industries in Indonesia
[IEEE] 2026-6-12 | An Empirical Comparison of Dense, Hybrid, and Reranked Retrieval under Monolingual and Multilingual Embeddings for Indic Languages
[IEEE] 2026-6-12 | Trajectory Planning for Formation Reconfiguration near Sun-Earth L2 Libration Point Based on Convex Optimization Method
[IEEE] 2026-6-12 | An Enhanced Lung Cancer Detection in CT Scans using SE-Modified DenseNet121 with FPN and Focal Loss
[IEEE] 2026-6-12 | Chronos-2 Inspired Cold-Start Weather Forecasting: A Transformer-based Approach for Limited Historical Data Scenarios
[IEEE] 2026-6-12 | Handy Mouse Cursor Control using Hand Gesture in Deep Learning
[IEEE] 2026-6-12 | A Neural Network Approach to the Detection and Classification of Road Infrastructure Objects in Intelligent Transport Systems
[IEEE] 2026-6-12 | MIMO-NOMA Technology: Technical Limits and Application Areas
[IEEE] 2026-6-12 | Meta-Learning Enhanced Transformer Networks with Adaptive Swarm Intelligence Optimization for Stock Market Trend Forecasting
[IEEE] 2026-6-12 | Simulation of an Electromagnetic Frequency Multiplier for an Induction-Resistive Heating System
[IEEE] 2026-6-12 | A Graph-Probabilistic Model of Inter-Camera Association of Vehicles in Distributed Road Video Surveillance Systems
[IEEE] 2026-6-12 | An Intelligent Public Safety Threat Prediction Framework Using Deep Q-Learning and Agent-Based Simulation
[IEEE] 2026-6-12 | Deterministic Temporal Abstraction for Quadrupedal Backflip: A Time-Scheduled Phase Decomposition Approach
[IEEE] 2026-6-12 | Blockchain-based Smart Contract Frameworks for Secure AI Healthcare Systems: A Systematic Review of Privacy-Preserving Methodologies
[IEEE] 2026-6-12 | GPS-Aided Attitude and Position Estimation for Aircraft Stability and Control Systems: A Comprehensive Survey
[IEEE] 2026-6-12 | Deep Learning and Partially-Observed Boundary Conditions for Reaction-Diffusion Equations: Numerical Experiments With Pollution Data
[IEEE] 2026-6-12 | Entropy-Aware Temporal Behavioral Modeling for Early-Stage Ransomware Detection using System-Level Telemetry and Sliding Window Analytics
[IEEE] 2026-6-12 | MORL: An Intelligent Cost and Reliability-Aware Task Scheduling in Multi-Cloud Data Centers
[IEEE] 2026-6-12 | Interpretable Vision Transformer–based Retinal Disease Detection using HOG Features and Guided Graph Segmentation
[IEEE] 2026-6-12 | Deep Learning Approaches for Detection and Classification of Tomato Leaf Diseases: A Comparative Analysis
[IEEE] 2026-6-12 | Radio Frequency Spectrum Optimizing for Multicast Data Transming in 4G and 5G Multi-Zoned Networks
[IEEE] 2026-6-12 | Distributed Ledger Fintech Systems for Improving Financial Transparency and Trust in Supply Chain Finance
[IEEE] 2026-6-12 | Computational Image–based Identification of Monkeypox Infection
[IEEE] 2026-6-12 | An End-to-End Layout-Aware System for Intelligent Form Understanding
[IEEE] 2026-6-12 | Freeze–Release: A Transient Supervisory Control Layer for Mixed-Criticality Traffic Under Overload
[IEEE] 2026-6-12 | An IoT based Voice-Activated Wheelchair for Healthcare and Mobility Assistance
[IEEE] 2026-6-12 | E-Learning and Its Role in Building Cross-Border Capacities in the Era of Global Governance
[IEEE] 2026-6-12 | The Influence of Using Large Language Models in the Educational Process: Trends, Challenges and Recommendations
[IEEE] 2026-6-12 | Large Language Model-Supported Label Expansion for Multi-Label Classification of Turkish E-Commerce Reviews
[IEEE] 2026-6-12 | Feature Fusion–based Glaucoma Detection through Deep Learning using Handcrafted and Deep Representations
[IEEE] 2026-6-12 | Implementation of a Two-Level Transport System Model Using Remote Agglomerations of Large Cities as an Example
[IEEE] 2026-6-12 | A Trust-Aware Hybrid Intelligence Platform for Explainable Cyber Threat Analysis and Proactive Defence in Next-Generation Internet of Vehicles Infrastructure
[IEEE] 2026-6-12 | Research on Compatibility Analysis Methods between Mega Constellations and Geostationary Satellites
[ACM] 2026-6-12 | Translating Card Play to Tangible Tabletops: Opportunities and Challenges in Intergenerational Museum Play
[ACM] 2026-6-12 | Ethereal Virtual Touch for Embodied Telepresent Connection: Applying Pseudo-haptics in Social Virtual Reality
[ACM] 2026-6-12 | DataSway: Vivifying Metaphoric Visualization with Animation Clip Generation and Coordination
[ACM] 2026-6-12 | The Cat Fiction: Orchestrating Situated AI-Enabled Storytelling for Multispecies Sense-Making
[ACM] 2026-6-12 | Who Gets to Interpret the Workout? User Tensions With AI-Generated Fitness Feedback
[ACM] 2026-6-12 | When Do Users (Not) Want Explanations? Understanding Explanation Demand in Human-AI Interaction
[ACM] 2026-6-12 | E.A.T.: Towards Understanding the Design of Social XR Restaurant Experiences for Diners With and Without Headsets
[ACM] 2026-6-12 | AnimationDiff: A Visual Comparison Tool for Generated 3D Character Animations
[IEEE] 2026-6-12 | Frequency-Guided Multi-Perspective Prompt Learning for Visible-Infrared Person Re-identification
[IEEE] 2026-6-12 | Quantitative Time-Resolved Imaging of Surface Acoustic Waves by Dual-Comb Interferometry with a Fiber-Based Sagnac Interferometer_supp1-3701200.mp4
[IEEE] 2026-6-12 | HiSDevRec: Hybrid Interaction and Semantic-Aware Software Developer Recommendation
[IEEE] 2026-6-12 | Cross-Modal Fusion with UVI Enhancement for Salient Object Detection in Low-Light ORSI Images
[IEEE] 2026-6-12 | A Ruthenium-Coated Low-Adhesion Nanogap MEMS Switch with 2.5-V Actuation, 27-ns Switching, and Ω-Level Contact Resistance
[IEEE] 2026-6-12 | Ionic Field-Effect Transistor Achieving Large Memory Window and Enhanced Retention via Ultrathin Ozone-Oxidized Barrier Layer
[IEEE] 2026-6-12 | SPS Advance Your Career
[IEEE] 2026-6-12 | Conference Calendar
[IEEE] 2026-6-12 | Comparative Analysis of High-Torque-Density Stator-Dual-Set Permanent Magnet Machines for Electric Power Steering System
[IEEE] 2026-6-12 | Energy-to-Peak Output Feedback Control of Discrete-Time Markov Jump Linear Systems
[IEEE] 2026-6-12 | A Wearable Sensor-Driven Monitoring Framework for Hypoxic Respiratory Key Parameters Using Sensitivity-Based Estimation
[IEEE] 2026-6-12 | A Physics-Guided LSTM-TL Based Thermal Neural Network for Temperature Prediction in IGBT Modules
[ACM] 2026-6-12 | Co-Creating Educational Futures: How Speculative Prompting Shapes AI-Generated Design Fiction
[ACM] 2026-6-13 | Intelligent Detection and Response System for Attacks on Unmanned Aerial Vehicles Based on Hybrid AI Models
[ACM] 2026-6-13 | A Proposal of a Two-Part Lead Sentence Generation Method for Manuals Using Large Language Models
[ACM] 2026-6-13 | High Awareness, Persistent Vulnerability: Youth Cybersecurity Risk Perception and Behavior
[ACM] 2026-6-13 | Beyond Recognition: A Hybrid Semantic-Vision Framework for Intent-Aware Gesture Recognition on Pepper in Dementia Care
[ACM] 2026-6-13 | Trust Deviation Metrics (TDM) for AI-Driven Cloud Orchestration
[IEEE] 2026-6-12 | ICCSSE 2025 Cover Page
[IEEE] 2026-6-12 | Chain Reaction: A Triple-Chain Architecture for Sensitive Thumbnail-Preserving Image Encryption
[IEEE] 2026-6-12 | 2026 35th Wireless and Optical Communications Conference (WOCC)
[IEEE] 2026-6-12 | MC-DT: Mechanism Compensation-Digital Twin Based Zero-Shot Diagnostic Scheme
[IEEE] 2026-6-12 | Massive MIMO-DFRC System With 1-Bit ADCs/DACs
[IEEE] 2026-6-12 | Prediction of Articular Cartilage Markers with Multispectral Imaging
[IEEE] 2026-6-12 | Whole-Body Motion Planning With Active Visual Gaze Control for Mobile Manipulators
[IEEE] 2026-6-12 | A Novel Deep Learning Approach for Interferometric Phase Linking in Distributed Scatterer Interferometry
[IEEE] 2026-6-12 | Hyperbolic Prototype Guidance for Incremental SAR ATR
[IEEE] 2026-6-12 | Journal of Lightwave Technology Information for Authors
[IEEE] 2026-6-12 | Blank Page
[IEEE] 2026-6-12 | PROBE: Probabilistic Occupancy BEV Encoding with Analytical Translation Robustness for 3D Place Recognition
[IEEE] 2026-6-12 | Human-Structure-Aware Token Position Embedding for Tokenized Pose Estimation_supp1-3700936.pdf
[IEEE] 2026-6-12 | IEEE Transactions on Emerging Topics in Computing Publication Information
[IEEE] 2026-6-12 | Spatially-Constrained Unsupervised Anomaly Detection
[IEEE] 2026-6-12 | Churnnet: An Intelligent Machine Learning Framework for Sustainable Customer Retention in Telecommunication Systems
[IEEE] 2026-6-12 | Modification of the XGBoost Machine Learning Algorithm for Sales Forecasting
[IEEE] 2026-6-12 | Aegis-ASD: A Forensic Honeypot Framework for Impersonation Detection using ArcFace
[IEEE] 2026-6-12 | Digital Transformation of Higher Education: Comparative Analysis of International EdTech Implementation Models and Their Economic Effectiveness
[IEEE] 2026-6-12 | Time-Series Classification Using AI Models for Digital Twin Applications
[IEEE] 2026-6-12 | Integrating Digital Technologies and Sustainability in Logistics Monitoring Systems: A Systematic Review of Subsidized Commodity Distribution
[IEEE] 2026-6-12 | Smart Technology, Law, and Sustainable Development: Building Integrated Regulatory Frameworks for the Digital Era
[IEEE] 2026-6-12 | Research Noise Immunity of Message Reception in Radio Engineering Systems
[IEEE] 2026-6-12 | Deep Learning Enhanced Detection of Multiple Sclerosis
[IEEE] 2026-6-12 | AI-Driven Anomaly Detection for Industrial Control Systems: A Comparative Study
[IEEE] 2026-6-12 | Online Detection of Droplet Transfer Modes in CuCrZr Alloy WAAM Based on CNN-LSTM
[IEEE] 2026-6-12 | AI-Integrated Digital Twin Framework for Quality and Performance Management in Sustainable Buildings
[IEEE] 2026-6-12 | Water-Content-Aware Machine Learning for Screening Multiphysics Tissue Property Tables
[IEEE] 2026-6-12 | Design Features and Practical Implementation of Class-AB Differential Stages in High-Speed Gallium Arsenide Operational Amplifiers
[IEEE] 2026-6-12 | RIS-Assisted UAV Networks with Energy Harvesting and Data Collection
[IEEE] 2026-6-12 | A Systematic Review of AI in Leadership, Sales, and Management: Techniques, Use Cases, and Future Directions
[IEEE] 2026-6-12 | Intelligent Scheduling of Sensor Nodes Using Machine Learning Techniques in Wireless Sensor Networks
[IEEE] 2026-6-12 | Local Minima of Error Function in Neural Networks
[IEEE] 2026-6-12 | GridHarmony: Hybrid Metaheuristic-Driven Secondary Distributed Control for Stable and Optimal Power Sharing in DC Microgrids
[IEEE] 2026-6-12 | Optimized FPGA Architecture for DCT-based Harmonic Wavelet Transform with Reduced Latency and Power
[IEEE] 2026-6-12 | AI-Driven Smart EVM using GAN and Reinforcement Learning
[ACM] 2026-6-12 | Does Anonymity Love the Chat Groups?
[ACM] 2026-6-12 | SecRL-Prune: Structured Reinforcement Learning–Based Pruning of CodeLLMs for Preserving Adversarial Code Mutation
[ACM] 2026-6-13 | AID: Lightweight Disassembly via Learning-Superset-Learning-Recursive Algorithm
[ACM] 2026-6-13 | AR-FedKD: A Robust Federated Knowledge Distillation Framework with Performance-Aware Adaptive Differential Privacy
[ACM] 2026-6-13 | Global and Local Attention Fusion Transformer for Robust Human Pose Estimation
[ACM] 2026-6-13 | Fine-Tuning Effects of Low-Cost Object Detection Models for SNS Plush Toy Detection
[ACM] 2026-6-13 | Adaptive Risk Classification in Microservice Architectures: A GMM-Based Approach with Historical Data Normalization
[ACM] 2026-6-13 | A Survey of Threats and Defense Mechanisms in the Control Plane of Polymorphic Smart Network
[ACM] 2026-6-12 | Ambient Material-Embodied Sensing: A Theoretical Framework for Interaction Design
[ACM] 2026-6-12 | The Ambivalent Experience of Eye Contact for People with Visual Impairments: Mechanisms and Design Challenges
[ACM] 2026-6-12 | Beyond Font: Dyslexic Writers Navigating the Dense Visual Landscape of LaTeX
[ACM] 2026-6-13 | Advancing Arabic Reverse Dictionary Systems: A Transformer-Based Approach with Novel Dataset Construction
[ACM] 2026-6-12 | Can Language Models Go Beyond Coding? Assessing the Capability of Language Models to Build Real-World Systems
[ACM] 2026-6-12 | calBERT: Securing Routers Serving IoT Networks using Contrastive Augmented Learning
[IEEE] 2026-6-12 | Room-temperature Ferromagnetism and Magnetocaloric effect in Intermetallic compound TbNi
                    <sub>1.5</sub>
                    Fe
                    <sub>0.5</sub>
                    : Bulk magnetization and Neutron diffraction studies
[IEEE] 2026-6-12 | CURA: Size Isn’t All You Need – A Compact Underlying Architecture for On-Device Intelligence
[IEEE] 2026-6-12 | Causal Prior–Driven Visual Grounding for Remote Sensing
[IEEE] 2026-6-12 | Full-Trajectory Reconstruction for UHR-SAR Large-Scene Imaging via Joint Residual Motion Errors and Dominant Target Positions Estimation
[IEEE] 2026-6-12 | Evaluating Image Forgery Detection and Propaganda in Manipulated Images of the Russian Trolls Campaign_supp1-3702065.pdf
[IEEE] 2026-6-12 | Dual-Resonant Electromagnetic Reshaping for Wireless Charging of Drones
[IEEE] 2026-6-12 | Design and Evaluation of a Dual-HSA Compliant Wrist Module for Prosthetic Applications_supp1-3691678.mp4
[IEEE] 2026-6-12 | Impulsive-Noise-Aware EP Detector for Massive MIMO under a Bernoulli-Gaussian Model
[IEEE] 2026-6-12 | Calendar
[IEEE] 2026-6-12 | Photonic Spiking Graph Neural Network for Energy-Efficient Structured Data Processing
[IEEE] 2026-6-12 | Taming Generative Synthetic Data for X-ray Prohibited Item Detection
[IEEE] 2026-6-12 | NDPool: Correctness-Preserving Shared Execution for Efficient LLM Inference on CXL-NDP Systems
[IEEE] 2026-6-12 | ICICV 2026 Committees
[IEEE] 2026-6-12 | Table of Contents
[IEEE] 2026-6-12 | Front Cover
[IEEE] 2026-6-12 | A Transfer Learning-Based Framework for Real-Time Driver Distraction Detection on Edge Devices
[IEEE] 2026-6-12 | A Resonant DC-Link Converter with Wide-Range Soft-Switching and Enhanced Voltage Utilization for Wireless Power Transfer Applications
[IEEE] 2026-6-12 | Thermal and Electrical Stress Differences of SiC MOSFET Under Active/Reactive Loads in AC Power Cycling Test
[IEEE] 2026-6-12 | Semantic Optimization of Digital Service Delay and Response Speed in Edge Computing for 6G Networks
[IEEE] 2026-6-12 | FZKP: Alleviating Dataflow Complexity to Exploit Fine-Grained Parallelism for ZKP Acceleration
[IEEE] 2026-6-12 | Practical Multi-Model Dynamic Matrix Control for Power Plant Superheated Steam Temperature
[IEEE] 2026-6-12 | Masthead
[IEEE] 2026-6-12 | SAS: Semantic-aware Sampling for Generative Dataset Distillation
[ACM] 2026-6-13 | Multispecies Response-ability in More-than-human Design Practice: Fabulation with Tides
[IEEE] 2026-6-12 | A Novel Healthcare Records Privacy-Preserving and Dynamic Error-Free Communication Medium based on Blockchain enabled IoT Technology
[IEEE] 2026-6-12 | Deep Learning-Based Protein Structure Pattern Recognition for Intelligent Cervical Cancer Diagnosisanalytics
[IEEE] 2026-6-12 | Productivity Improvement Analysis Using FlexSim Simulation: A Case Study at Electronics Company
[ACM] 2026-6-13 | TeaRAG: A Token-Efficient Agentic Retrieval-Augmented Generation Framework
[ACM] 2026-6-13 | Metaverse-Enabled Collaborative Platforms for Palm Oil Industry Stakeholders: A Review of Interdisciplinary Innovation and Challenges
[ACM] 2026-6-13 | Potato Late Blight Disease Segmentation Based on Salient Object Detection
[IEEE] 2026-6-12 | Measuring Perceived Pedagogical Intelligence as a Predictor of ROI in AI-Enabled Distance Learning: A UTAUT Outcome Model
[IEEE] 2026-6-12 | The Influence of Artificial Intelligence on Management Effectiveness Through Transformational Leaders' Decision-Making
[IEEE] 2026-6-12 | NMPC-Based Optimal Momentum Distribution for Post-Capture Detumbling Control of Cable-Driven Space Robot
[IEEE] 2026-6-12 | Quantum Key Distribution Communication Channel with Unmanned Vehicles Under Various Atmosferic Conditions
[IEEE] 2026-6-12 | AMAC: An Adaptive Multimodal Framework for Dysarthric Speech Recognition and Interactive Rehabilitation
[IEEE] 2026-6-12 | High Power Supply and Control Management Technology Based on SiC Devices
[IEEE] 2026-6-12 | Hybrid User Profiling with TF-IDF and Cosine Similarity for Personalized Academic Book Recommendation
[IEEE] 2026-6-12 | Application of the Modified Prony Method to the Problem of Identification of a Noisy Signal
[IEEE] 2026-6-12 | A Real-Time Fire Detection System in Automobile Tunnels Based on the YOLO Architecture
[IEEE] 2026-6-12 | AIF-MFF: Adaptive Inference Framework for Multi-Focus Image Fusion Via Dynamic Receptive Field Modulation and Cross-Scale Contrastive Alignment
[IEEE] 2026-6-12 | The Impact of Influencer Marketing on Product Perception and Its Effect on Purchase Intention in Indonesia's Beauty Industry
[IEEE] 2026-6-12 | Comparative Analysis of Russian-Developed CAD Software in Engineering Education
[IEEE] 2026-6-12 | Forecasting Power Consumption By Extracting Features From A Time Series
[IEEE] 2026-6-12 | Lung Disease Detection with Hybrid CNN Models using only Chest X-Ray Images on the Basis of Deep Learning
[IEEE] 2026-6-12 | Smart Gloves for Sign Language Translation and Gesture Bot Control
[IEEE] 2026-6-12 | Optimal Orientation Design of Heat Flux Under Power Constraint During the Transfer Orbit
[IEEE] 2026-6-12 | AFSA: Autonomous Few-Shot Prototype Adaptation for Open-Set Deepfake Detection
[IEEE] 2026-6-12 | Experience in Implementing the SimInTech Dynamic Simulation Environment in Electrical Power Engineering Disciplines
[IEEE] 2026-6-12 | Fixed-Time Lag Formation Control for Second-Order Nonlinear Multiagent Systems With External Disturbances
[IEEE] 2026-6-12 | Laser Communication System with Adaptive Optics Implementation
[ACM] 2026-6-12 | Puppet Prototyping: Exploring Puppetry as a Design Method for Relational Robots
[ACM] 2026-6-12 | Making Sense of the Felt Experience of Controlling Autonomous Systems
[ACM] 2026-6-12 | ElderPlay: Supporting Age-Inclusive Gameplay for Older Adults via Real-Time Gesture-to-Controller Translation
[ACM] 2026-6-12 | MIRA: A Human-AI Co-Creation Agent for Self-reflection through Squiggle Game
[ACM] 2026-6-12 | Compass vs Railway Tracks: Unpacking User Mental Models for Communicating Long-Horizon Work to Humans vs. AI
[ACM] 2026-6-12 | Designing Character-Bound In-Public Companions: Interactional Insights from ACG Practices
[ACM] 2026-6-12 | Who Owns the Robot Matters: How Robot Ownership Shapes Belonging and Social Roles in Human Groups
[ACM] 2026-6-12 | DietCoach: Design, Development and Evaluation of a Dietitian Decision Support System with Patient Loyalty Card Data
[ACM] 2026-6-12 | Co-designing Haptics for Deaf and Hard-of-Hearing Music Education with a Reconfigurable Prototyping System
[ACM] 2026-6-12 | Designing with Tensions: Older Adults' Emotional Support-Seeking Under System-Level Constraints in Conversational AI
[ACM] 2026-6-12 | Designing Worker-Led Documentation Practices: How Unionized Cleaners Articulate Harm Beyond Reporting
[ACM] 2026-6-12 | Stepping Into the Black Box: Opening Up LLMs to Public Exploration Through Discursive Design
[IEEE] 2026-6-12 | Green Economy as a Strategic Direction to Support Economic and Ecological Transformation in MENA Region
[IEEE] 2026-6-12 | Acoustic Beam Structure Impact on Quasicollinear Acousto-Optic Cell Transmission Functions
[IEEE] 2026-6-12 | A Large Language Model Framework for Automatic PLC Control Logic Generation from Natural Language
[IEEE] 2026-6-12 | Modern Challenges of Integrating Artificial Intelligence into Educational Processes
[IEEE] 2026-6-12 | Parameter Optimization and Multi-Scheme Comparison of a Lunar Lifting Platform
[IEEE] 2026-6-12 | Development of the Hardware and Software Complex "Assistant Speech Therapist"
[IEEE] 2026-6-12 | Inverse design photonic couplers with machine learning tools
[IEEE] 2026-6-12 | Mapping Halal Integrity Risks in Halal Fashion Supply Chains: A Risk-Based Resilience Framework
[IEEE] 2026-6-12 | Virtual Reality (VR) Integration in Teaching English to Technical University Students
[IEEE] 2026-6-12 | Gated Cross-Attention Fusion: An Interpretable Multi-Modal Framework for Intelligent Healthcare Diagnostics
[IEEE] 2026-6-12 | EdgeFishCam: An Edge AI-based Fish Detection Through YOLO and Image Enhancement Techniques
[IEEE] 2026-6-12 | Voice-based Early Parkinson’s Disease Prediction using Multi-Modal Wavelet–Deep Learning Fusion
[IEEE] 2026-6-12 | Digital Transformation of Engineering Education as a Driver of the Regional Innovation System
[IEEE] 2026-6-12 | Deep Learning Framework for Predictive Smart Tourism Management with Multi-Stakeholder Decision Support
[IEEE] 2026-6-12 | Development of an Intelligent Robotic System for Automatic Assembly of Composite Structures within the Framework of Industry 4.0
[IEEE] 2026-6-12 | The Role of Augmented Reality in Fostering E-Buying Decision of Fashion Products of Gen Z in Vietnam
[IEEE] 2026-6-12 | Negation-Aware Test-Time Adaptation for Vision-Language Models
[IEEE] 2026-6-12 | Active Magnetic Bearing PID Implicit-Model Optimization Approach Based on a Biobjective UCB-Controlled Heuristic Algorithm
[IEEE] 2026-6-12 | ST-HMR: A Robust Collision Detection Framework for Collaborative Robots Based on Dual-Domain Interaction and Manifold Regularization
[IEEE] 2026-6-12 | SP-FSOD: Semantic-Visual Purification Guided Few-shot Object Detection on Remote Sensing Images
[IEEE] 2026-6-12 | Knowledge-Grounded Nut Inspection and Report Generation via Two-Stage Retrieval-Augmented Language Models
[IEEE] 2026-6-12 | Symbolic Formal Analysis of Quantum-Resistant Messaging Protocols Based on the Split KEM Mechanism
[IEEE] 2026-6-12 | Unnoticeable Community Deception Based on Comprehensive Modularity
[IEEE] 2026-6-12 | Edge-VisForeCast: Energy-Efficient Predictive Autoscaling for Containerized Crowd Analytics on Constrained IoT Edge Clusters
[IEEE] 2026-6-12 | A Multifunctional Grid Connected Electric Vehicle Charging Station with Photovoltaic System Support
[IEEE] 2026-6-12 | NormalMVS: Learning Efficient Geometry-Aware Multiview Stereo with Surface Normal Priors
[IEEE] 2026-6-12 | An Electromagnetic-Thermal Collaborative Design Framework for Patch Antennas
[IEEE] 2026-6-12 | Expanding Intra-modal and Compressing Inter-modal Embedding Space for Incomplete Multimodal Emotion Recognition
[IEEE] 2026-6-12 | Federated Unlearning Activated Backdoor Attacks
[IEEE] 2026-6-12 | Differential Random Fault Attack of Ultra-Lightweight Cipher ANU for Industrial Internet
[IEEE] 2026-6-12 | IEEE Standard for Local and Metropolitan Area Networks--Timing and Synchronization for Time-Sensitive Applications Amendment 2: Support for the IEEE Std 802.3 Clause 4 Media Access Control (MAC) operating in half-duplex
[IEEE] 2026-6-12 | PurifyFD: Mining Latent Domains for Trustworthy Single-Domain Fault Diagnosis Under Open-World Shifts
[ACM] 2026-6-12 | Myths and Ironies of AI-Assisted Design
[ACM] 2026-6-12 | Composing Informational Atmospheres: A Research-Through-Design Method Using Reduced Perceptual Cues
[ACM] 2026-6-12 | Speculating the Impacts of Mediated Social Touch Technology
[ACM] 2026-6-12 | Bridging Trans Community Knowledge with Verified Information: Design Considerations for Patient-Surgeon Digital Communication Platforms for Gender-Affirming Surgery
[ACM] 2026-6-12 | "I Don’t Need to Know Everything—Just Tell Me What Happened": Perceived Quality and Reader Expectations for LLM-Generated News Event Digests
[ACM] 2026-6-12 | Analyzing Adoption Factors for Humanoid Robot Communication Features in Industry Contexts
[ACM] 2026-6-12 | Situating the Development of Conversational Artificial Intelligence in the Social and Structural Contexts of People with Visual Impairments
[ACM] 2026-6-12 | Explainability-Driven Image Anonymization in Latent Space (EDIALS)
[ACM] 2026-6-12 | AUTOMal: An LLM-Based Automated Feature Engineering Framework for Efficient Malware Detection at the Edge
[ACM] 2026-6-13 | Tangible Co-Ideation: Designing Embodied Prompting for Creative Thinking with Large Language Models
