[2026-09-12 23:46:39] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-09-11
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202609110000+TO+202609112359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ResponseError('too many 429 error responses'))
[ACM] 2026-9-11 | Distance-Guided Search in Program Synthesis with Imperfect LLM Solutions
[IEEE] 2026-9-11 | Capacitive Vs. Galvanic HBC for Consumer Electronics
[IEEE] 2026-9-11 | Adaptive Photoreceptor for False Event Suppression of Event-Based Sensors
[IEEE] 2026-9-11 | Benchmarking MultiGLODS Optimization for Electromagnetics Applications
[IEEE] 2026-9-11 | Artificial Magnetic Conductor Frame to Improve Impedance Matching and Radiation Symmetry in $2 \times 2$ Array for 6G Applications
[IEEE] 2026-9-11 | Controlled Crystalline Orientation of BAMAPbI Low-n 2-D Perovskite for Self-Powered Photodetectors With High On/Off Ratio_supp1-3725196.docx
[IEEE] 2026-9-11 | Particle Transformer: A Physics-Informed Transformer for Real-Time Fluid-Structure Interaction Simulation
[IEEE] 2026-9-11 | A Two-DOF Untethered Self-Moving Piezoelectric Actuator With High Carrying/Positioning Capability by Actively Adjusting Acoustic Power Flow_supp1-3725388.mp4
[ACM] 2026-9-11 | Typed Edits, Reviewable Models: Toward LLM-Supported Blended Co-Modeling
[ACM] 2026-9-11 | Understanding Modelling Assistance in Low-Code/No-Code Tools: An Empirical Study and the AssiStarMe Framework
[ACM] 2026-9-11 | Lost in Code Generation: Reimagining the Role of Software Models in AI-driven Software Engineering
[ACM] 2026-9-11 | LLM-Based Instance Model Generation via Code Synthesis
[ACM] 2026-9-11 | Testora: Using Natural Language Intent to Detect Behavioral Regressions
[ACM] 2026-9-11 | PromiseTune: Unveiling Causally Promising and Explainable Configuration Tuning
[IEEE] 2026-9-11 | Deconstructing Floating-Point Compute-in-Memory: A Systematic Review of Circuit Slices and Dataflow Architectures for XR Systems
[IEEE] 2026-9-11 | Wideband RF Spectrum Monitoring and Signal Localization via Networked 3D-Printed Luneburg Lens Sensors
[IEEE] 2026-9-11 | Continual Learning Via Gradient-Regularized Based Dynamic Expansion Model
[IEEE] 2026-9-11 | Intersection Traffic Flow Estimation Using Distributed Acoustic Sensing on Buried Road-Crossing Telecommunication Fibers
[IEEE] 2026-9-11 | ARGUS: Budgeted Vehicular Intrusion Prevention via Calibrated Uncertainty and Conformal Risk Control
[IEEE] 2026-9-11 | Dual-Mode Adaptive Control Strategy for Modulation Frequency Drift Compensation in Field Mill Sensors
[IEEE] 2026-9-11 | Welcome Page
[IEEE] 2026-9-11 | Author Index
[IEEE] 2026-9-11 | USIT 2026 Cover Page
[IEEE] 2026-9-11 | FluidTac: A Vision-Based Arrayed Artificial Lateral Line Sensor for Underwater Ego-Motion Estimation_supp1-3732929.mp4
[IEEE] 2026-9-11 | Sponsors
[IEEE] 2026-9-11 | Rethinking Omni Spatial-Frequency Representation for Efficient Face Super-Resolution
[IEEE] 2026-9-11 | MoST-SAM: A Multimodal Self-Training Framework for Annotation-Efficient Basal Cell Carcinoma Segmentation in Reflectance Confocal Microscopy
[IEEE] 2026-9-11 | A Few-Shot Fault Diagnosis Method for PMSM Based on Multi-Source Information Fusion and Unrelated Information Suppression
[IEEE] 2026-9-11 | Acoustic Emission-Based Measurement and Weak Fault Identification of Hydro-Turbine Runners Using a CNN-GRU Framework
[ACM] 2026-9-11 | Cobblestone: A Divide-and-Conquer Approach for Automating Formal Verification
[ACM] 2026-9-11 | Issue2Test: Generating Reproducing Test Cases from Issue Reports
[ACM] 2026-9-11 | OntoSTL: Canonical Knowledge Graph Representation of Signal Temporal Logic Requirements
[IEEE] 2026-9-11 | Buck-boost-based DC-DC Converters, A Comprehensive Review on Topologies, Control Strategies, Performance Evaluations, and Emerging Utilizations in Last Decade
[IEEE] 2026-9-11 | Doppler Multivariate Variational Mode Decomposition for Waveform Separation in DDMA-MIMO Systems
[IEEE] 2026-9-11 | Keynote Speakers
[ACM] 2026-9-11 | Automatic Dockerfile Generation with Large Language Models
[ACM] 2026-9-11 | Inside Out: Uncovering How Comment Internalization Steers LLMs for Better or Worse
[ACM] 2026-9-11 | Context-Free Grammar Inference for Complex Programming Languages in Black Box Settings
[ACM] 2026-9-11 | Test Flimsiness: Characterizing Flakiness Induced by Mutation to the Code Under Test
[ACM] 2026-9-11 | DNN Modularization via Activation-Driven Training
[ACM] 2026-9-11 | A Semantic-based Optimization Approach for Repairing LLMs: Case Study on Code Generation
[ACM] 2026-9-11 | Practitioner Views on Mobile App Accessibility: Practices and Challenges
[IEEE] 2026-9-11 | Micro-Topography Semantics-Based Hybrid Non-Stationary Channel Modeling for Supersonic Ground-to-Air Communications
[IEEE] 2026-9-11 | STCAMI-NCM: Secure Triggered Cryptographic Algorithm for Medical Images using Novel Chaotic Map with FPGA Implementation
[IEEE] 2026-9-11 | K-Band Low-Noise Amplifier With Double-Ended Wideband Quasi-Reflectionless Characteristics
[IEEE] 2026-9-11 | Towards Agentic Intelligence in Digital Twins: Advances, Use Cases and Challenges
[IEEE] 2026-9-11 | Variable-structure Soft Actuator for Multi-mode Grasping_supp3-3732887.mp4
[IEEE] 2026-9-11 | Variable-structure Soft Actuator for Multi-mode Grasping_supp1-3732887.mp4
[IEEE] 2026-9-11 | Liquid Metal-Based Reconfigurable Yagi-Uda Fluid Antenna System With Full-Azimuth Coverage
[IEEE] 2026-9-11 | Big Data Meets Large Language Models: A Knowledge Graph and Evolutionary Analysis
[IEEE] 2026-9-11 | A Study on Short-Term Aircraft Trajectory Prediction Based on the IGWO-TCN Model
[IEEE] 2026-9-11 | High-Frequency Preconditioners for Electromagnetic Integral Equations Based on Helmholtz Regularizations
[IEEE] 2026-9-11 | Stochastic-Based Optical Line-of-Sight Probability Model for UAV-Assisted Communication Systems
[IEEE] 2026-9-11 | Beam Steering Using Field Programmable Microwave Substrate
[IEEE] 2026-9-11 | Fabrication and Characterization of an Nb/Al/AlO
                    <sub>x</sub>
                    /Al/Nb Superconducting Tunnel Junction Detector
[IEEE] 2026-9-11 | Design of a Follow-Flight Test Method for Ground-to-Air Radar Systems
[IEEE] 2026-9-11 | MPHASeg: A Lightweight NAS-Inspired Multi-Path Heterogeneous Architecture for Medical Image Segmentation
[IEEE] 2026-9-11 | End-to-End Autonomous Driving Trajectory Planning with Diffusion Transformer
[IEEE] 2026-9-11 | Scope-Enhanced Double-View Graph Transformer via Contrastive Learning for Aspect-Based Sentiment Analysis
[IEEE] 2026-9-11 | Sparse Image Recovery under Non-convex ℓ
                    <sub>p</sub>
                    /ℓ
                    <sub>q</sub>
                    Ratio Regularisation
[IEEE] 2026-9-11 | A Low-Cost Wideband Dual-Polarized ME-Dipole Antenna for Early-6G Distributed Systems
[IEEE] 2026-9-11 | A 2.4 GHz &amp; 5 GHz Non-Isolating Dual-Band Antenna for Switched Mode Outphasing Amplifiers
[IEEE] 2026-9-11 | Detecting Modern Phishing Via Large Language Model-Based Cross-Modal Consistency Reasoning
[IEEE] 2026-9-11 | Evaluation of CMOS Compatible Chaos based Analog Encryption Architectures
[IEEE] 2026-9-11 | Measurement-Based Small-Scale Channel Modeling and Cluster Analysis in Mountainous Forest Areas
[IEEE] 2026-9-11 | SOC-Based Simulation of non-WSSUS Vehicle-to-Vehicle Channels
[IEEE] 2026-9-11 | Dual-Mode Multi-Band Active Polarization Control Metasurface for Linear and Circular Polarization Conversion
[IEEE] 2026-9-11 | Machine Learning Circuit Optimization Models for RF Energy Harvesting
[IEEE] 2026-9-11 | A Dielectric Resonator Antenna Equipped with a Wideband Linear-to-Circular Polarization Converter for Wireless Communications and Satellite Applications
[IEEE] 2026-9-11 | Smart Solar Surplus Energy Management System-AI: A Microcontroller-Based AI System for Surplus Solar Energy Management
[IEEE] 2026-9-11 | A Study and Field Evaluation of the Vertical-Plane Directivity of Transmit Array Antennas for Outdoor Mmwave Band Base Stations
[IEEE] 2026-9-11 | Adaptive Channel Weighting Forest for EEG-Based Epileptic Seizure Classification
[IEEE] 2026-9-11 | MXene/O-MXene Composite Gel Device for High Absorption Electromagnetic Shielding
[IEEE] 2026-9-11 | Reflective Metasurface Based Broadside and Deflected OAM Beam Generation for mm-Wave Applications
[IEEE] 2026-9-11 | Physics-Informed AI Techniques for Power Electronic Converter Reliability Assessment
[IEEE] 2026-9-11 | An OpenWiFi-Based Single-Station Integrated Sensing and Communication System for Respiration Detection
[IEEE] 2026-9-11 | ADC-Free Current-Domain Compute-In-Memory Processors for Intelligent Image Sensing
[IEEE] 2026-9-11 | A Recognition Algorithm of Ciphertext Based on Entropy
[IEEE] 2026-9-11 | Development and Systematic Management of Information Software Complex in the Electric Power Industry
[IEEE] 2026-9-11 | A 10T2R Low-Power Data Update nvSRAM Supporting In-Memory Computing
[IEEE] 2026-9-11 | Research on Economic Torque Allocation Strategy for Distributed Virtual Track Train
[IEEE] 2026-9-11 | HARC: Hotness-Aware Replicated Consistent Hashing for Load Balancing in Skewed and Dynamic Workloads
[IEEE] 2026-9-11 | A Practical Design Process for Additively Manufactured Metallic Metasurface Antennas
[IEEE] 2026-9-11 | Authoring Co-Located Multi-user Augmented Reality Experiences for Exhibitions: A Review
[IEEE] 2026-9-11 | Sparsifying Planar Arrays with Element Spacing Constraints Using Minimal-Perturbation Method
[IEEE] 2026-9-11 | Antenna Metrology at the NASA Glenn Research Center: Advancements in Antenna Characterization and Communications Systems Testing
[IEEE] 2026-9-11 | Distill-and-Rank: Evaluating Fast Transformer Models for Keyless PQC Side-Channel Recovery
[IEEE] 2026-9-11 | A High-Cutoff-Frequency Phase-Change RF Switch Based on In
                    <sub>3</sub>
                    SbTe
                    <sub>2</sub>
[IEEE] 2026-9-11 | A Systematic Evaluation of LLM Security in Cloud Environments: Failure Modes in Malicious URL and Jailbreak Detection
[IEEE] 2026-9-11 | Embedded-Oriented Reformulation of a Noise-Aware DIBS Excitation Optimization Workflow for Fast PEMFC EIS
[IEEE] 2026-9-11 | A Digitally Controlled Solid-State Transformer Architecture for Smart Grid-Oriented Low-Voltage DC Distribution Systems
[IEEE] 2026-9-11 | Shaped Truncation Noise from Cascaded Integrator Comb Structures
[IEEE] 2026-9-11 | Concept Level Techno Operational Assessment of a Grid Connected Rooftop PV BESS Inverter System for a 60 Office Building in South England
[IEEE] 2026-9-11 | Adaptive Thresholding Technique for Motion-Tracking DVS &amp; DNF Systems
[IEEE] 2026-9-11 | High-Isolation in-Band Full-Duplex Antenna Array with Reflector-Integrated All-Metal Decoupling Structure
[IEEE] 2026-9-11 | Fiberglass Laminated Embedded Conductive Fabric-Based Tunable Antenna for DAM Applications
[IEEE] 2026-9-11 | Experimental Analysis of RIS Angular Response in Corridor and Underground Mine NLOS Environments at 3.5 GHz
[IEEE] 2026-9-11 | An SIE-GSTC Solver for Arbitrarily Shaped Biisotropic Composite Metasurfaces
[IEEE] 2026-9-11 | A Hysteresis-Controlled Digital LDO with Binary-Weighted PMOS Array for Ripple-Free Regulation and Fine-Grained Current Sensing
[IEEE] 2026-9-11 | Double Decaying PML Technique in FDTD Method of Maxwell's and LLG Equations
[IEEE] 2026-9-11 | A Wideband Tightly Coupled Dipole Array Covering 7-24 GHz for 5G/6G FR3 Applications
[IEEE] 2026-9-11 | DG-SConv-LKRF: A Retinal Vessel Segmentation Method for Connectivity Modeling of Elongated Structures
[IEEE] 2026-9-11 | Multimodal Audiovisual Signal Analysis for Instrumental Performance Assessment: The Impact of Family Music Education Investment
[IEEE] 2026-9-11 | A Low-Latency Lightweight Neuromorphic Spiking Neural Network for Affective Computing on Edge AI Systems
[IEEE] 2026-9-11 | Experimental Characterization of Ground Plane Effects on Polarization Response of a V2X Antenna Array
[IEEE] 2026-9-11 | A Reconfigurable FMCW LiDAR Platform for Laser and Detector Performance Evaluation
[IEEE] 2026-9-11 | Multi-Temporal-Scale Event Progressive Calibration for Object Detection
[IEEE] 2026-9-11 | Polarization-Multiplexed Star-Ris Isac: +8.5 Db Communication Beamforming Gain and 3.7° Fourier-Domain Sensing Resolution
[IEEE] 2026-9-11 | Smart Grid Key Products Core Services, Main Functionalities and Key Capabilities
[IEEE] 2026-9-11 | From Image to Experience: Rethinking Photography through Extended Reality with Reference to Mauritius
[IEEE] 2026-9-11 | Physics-Driven Graph Attention Network for Microgrids AC-OPF Considering Distributed Generator Availability
[ACM] 2026-9-11 | SpecOps: A Fully Automated AI Agent Testing Framework in Real-World GUI Environments
[ACM] 2026-9-11 | PyXray: Practical Cross-Language Call Graph Construction through Object Layout Analysis
[ACM] 2026-9-11 | Evaluating Generated Commit Messages with Large Language Models
[ACM] 2026-9-11 | Beyond Final Code: A Process-Oriented Error Analysis of Software Development Agents in Real-World GitHub Scenarios
[ACM] 2026-9-11 | Securing the AI Supply Chain: What Can We Learn From Developer-Reported Security Issues and Solutions of AI Projects?
[ACM] 2026-9-11 | EmbedAgent: Benchmarking Large Language Models in Embedded System Development
[ACM] 2026-9-11 | Perspective-Taking in Software Engineering: A Study on its Relationship to Team Performance
[ACM] 2026-9-11 | MaCTG: Multi-Agent Collaborative Thought Graph for Automatic Programming
[ACM] 2026-9-11 | Testing Deep Learning Libraries via Neurosymbolic Constraint Learning
[IEEE] 2026-9-11 | Design and Implementation of Incoming Semiconductor Chip Defect Detection
[IEEE] 2026-9-11 | 3D All-Metal Broadband Frequency-Selective Surface with High Power-Handling Capacity
[IEEE] 2026-9-11 | Channel Coding Optimization for LoRa Systems with DFT-Output-Based LLR Extraction
[IEEE] 2026-9-11 | Flight Turbulence and Icing Risk Identification with a Multiscale Transformer
[IEEE] 2026-9-11 | An Overview of Operation and Design Considerations of Hybrid RISs
[IEEE] 2026-9-11 | LoRA-Driven Fine-Tuning of VLM for Multi-Class Classification and Text Description Generation on Histopathology Images
[IEEE] 2026-9-11 | Feasibility Study of Fresnel-Zone-Focused Wireless Power Transfer to a Hovering Drone
[IEEE] 2026-9-11 | Visualization of Medical Data Management Trends in the Big Data Era
[IEEE] 2026-9-11 | Ferroelectric Memristor-CMOS Crossbar Engine for Sobel Edge Detection
[IEEE] 2026-9-11 | An Open Hardware Platform for Continuous-Time Digital Signal Processing on FPGAs
[IEEE] 2026-9-11 | Experimental Study of ILS Recovery Under Propeller Modulation Using a Reference Tone
[IEEE] 2026-9-11 | Novel Ferroelectric Synapses Co-Designed for Time-Domain Neuromorphic Computing Primitives
[IEEE] 2026-9-11 | Unsupervised Anomaly Detection in Network Traffic: A Comparative Study
[IEEE] 2026-9-11 | IEEE Transportation Electrification Council Student Design Competition: Empowering the next generation [TEC Students Competitions Column]
[IEEE] 2026-9-11 | A Hybrid Statistical Framework for Detecting Data Drift and Transactional Fraud in Financial Systems
[IEEE] 2026-9-11 | A FeCAP–VO
                    <sub>2</sub>
                    Current-Filtering FeRAM-CIM Macro for Linearized Current-Domain MAC Operations
[IEEE] 2026-9-11 | Direct Time-of-Flight Measurement Accuracy Improvement With Perimeter-Gated SPADs
[IEEE] 2026-9-11 | Design of a Low-Temperature-Drift and Low-EMI RC Relaxation Oscillator for Switching Power Supplies
[IEEE] 2026-9-11 | Dielectric Resonator Antenna Research Inspired by Professor Stuart A. Long
[IEEE] 2026-9-11 | A Sub-THz 32 Gb/s 16-QAM Short-Range Communication Link Using 16nm FinFET Transmitter and Circular Hollow Plastic Waveguide
[IEEE] 2026-9-11 | A Compact Multilayer Superstrate for Gain Enhancement of Dual-Band Sub-Thz Antenna Array
[IEEE] 2026-9-11 | Bilateral Far-Field Chipless RFID Tag with Resonant Extinction Mode for ISAC in 6G
[IEEE] 2026-9-11 | Combined Power-Power Spiral Antenna for Spectrum Monitoring
[IEEE] 2026-9-11 | A Wideband Bidirectional Parametric Mixer for Nonreciprocal Radiation
[IEEE] 2026-9-11 | Characterization of Magnetic Nanowire Array Materials Using a Scalable Electromagnetic Model
[IEEE] 2026-9-11 | A Novel Ka-Band 3-Layer Flat Antenna Capable of Radiating in Forward, Backward and Simultaneous Modes Using Thin Kapton Membranes
[IEEE] 2026-9-11 | Electrochemical Performance Prediction in Lithium-Ion Batteries Using Physics-Informed Features and Ensemble Learning
[IEEE] 2026-9-11 | Fabrication of Undersea Normal-Mode Helical Antenna Working at 1 MHz
[IEEE] 2026-9-11 | Rotation-Based Photonic Insulators for Mechanically Reconfigurable SPDT Waveguide Switches
[IEEE] 2026-9-11 | Design Automation and Optimization of Current-Source Digital-to-Analog Converters
[IEEE] 2026-9-11 | Applications of FEM to Antennas – Early Days
[IEEE] 2026-9-11 | Handling Uncertainty, Imprecision, and Risk in Decision Support Systems: A Review of Machine Learning Approaches
[IEEE] 2026-9-11 | CAT-LDP: Cloud-Edge Adaptive Taxonomy Under Local Differential Privacy
[IEEE] 2026-9-11 | An AI-Driven Metaverse Learning Framework for Personalized Learning: A Learning Analytics Approach in Higher Education
[IEEE] 2026-9-11 | Research on the Anti-UAV Technical System Construction and System Design
[IEEE] 2026-9-11 | Dual Polarized Waveguide-Fed 1-Bit Dynamic Metasurface Antenna
[IEEE] 2026-9-11 | Surrogate-Assisted Sizing of CMOS Translinear Circuits for Full-Range Operation
[IEEE] 2026-9-11 | Frequency Selective Rasorber with Two Transmission Windows and Wide Absorption Band
[IEEE] 2026-9-11 | An Ultra-Low-Power Synthesizable Asynchronous AER Encoder for Neuromorphic Edge Devices
[IEEE] 2026-9-11 | Functional Block-Term Decomposition for Multi-Dimensional Time-Series Signal Recovery_supp1-3732864.pdf
[IEEE] 2026-9-11 | Design and Control of 2-DOF Differential Joint Driven by Soft Pneumatic Actuator for Versatile Soft Robotic Manipulator
[IEEE] 2026-9-11 | Feather: A Two-Phase Propose-and-Endorse Consensus Protocol for Asynchronous Blockchains
[IEEE] 2026-9-11 | A Low-Complexity Joint Fractional Delay and Doppler Frequency Estimator for AFDM-Enabled Vehicular LEO-ICAN Systems_supp1-3732687.pdf
[IEEE] 2026-9-11 | Microwave Heating System Using 2.5D Time-Frequency-Space Domain Synthesis Modulation
[ACM] 2026-9-11 | Software Development using Low-Code Platforms or AI-Assistants: A Case Study-based Comparison
[IEEE] 2026-9-11 | Pulse-Based Electrochemical Impedance Spectroscopy: Analytical Noise Characterization, Simulation, and Benchmarking
[IEEE] 2026-9-11 | Committees
[IEEE] 2026-9-11 | Conference Speakers
[IEEE] 2026-9-11 | Vision-Based Tactile Sensing for the Perception of the Object's Compliance and Hardness_supp1-3732888.mp4
[IEEE] 2026-9-11 | Seamless Daily XCO Mapping across China from OCO-3 Observations via a Hybrid Framework of Transformer and Geo Implicit Neural Representation_supp1-3732466.docx
[IEEE] 2026-9-11 | Frequency-Guided Diffusion Model with Perturbation Training for Skeleton-Based Video Anomaly Detection
[IEEE] 2026-9-11 | TACoS:A Threshold‑Activated Compensation Scheme for Privacy‑Auditable IoT-Driven Smart Insurance_supp1-3732371.pdf
[IEEE] 2026-9-11 | A Novel Power Pylon Truss Modeler for LoD3 Reconstruction From ULS Data: Bridging the Gap Between Visualization and Simulation_supp1-3724516.docx
[IEEE] 2026-9-11 | Brillouin Frequency Shift Demodulation Algorithm for Concrete Microcracks Identification Based on Frequency Domain Sliding Window Accumulation
[IEEE] 2026-9-11 | Low-Loss Reflection-Type Phase Shifter Design Based on the Load Reflection Coefficient Theoretical Formulation
[IEEE] 2026-9-11 | Deep Bayesian Optimization for Constraint-Aware Multi-Objective Antenna Design
[IEEE] 2026-9-11 | From Phase Transition to Systemic Failure: A Decoupled Analytics Framework for GNN Robustness
[IEEE] 2026-9-11 | Transmitting Beyond Bode-Fano Limit Through Directly Modulating Ferromagnetic Resonance of Electrically Small E-Spin Patch Antenna
[IEEE] 2026-9-11 | Suppression of Surface-Wave Interference in Vehicle-Integrated V2X Antenna-on-Glass Using Mode-Symmetry Technique
[IEEE] 2026-9-11 | A 5.82μJ/Classification Shallow Neural Network SoC with Digital-DSL AFE for Wearable Stress and Anxiety Monitoring
[IEEE] 2026-9-11 | PDM-YOLO: A Human Fall Detection Algorithm Based on Improved YOLOv11n
[IEEE] 2026-9-11 | Analysis of Choked Horn Ridged Waveguide Apertures for LEO Ka-Band Satellite Downlink
[IEEE] 2026-9-11 | Reviewing digital twins coupled with generative AI to simplify human-computer interactions in complex environments
[IEEE] 2026-9-11 | High-Accuracy Frequency Estimation for Distributed Phased Array Coordination Using a Dual-Pulse Waveform
[IEEE] 2026-9-11 | A Reconfigurable CMOS Mixer with Adaptive Gain and Linearity for Native-AI RF Systems
[IEEE] 2026-9-11 | Modular Electronically Reconfigurable Pinching Antenna
[IEEE] 2026-9-11 | Approaches in Smart Grid Integration of Renewable Energy Resources
[IEEE] 2026-9-11 | Detectability of Tumor Locations in Breast Phantoms Using SSTDR Microwave Measurements
[IEEE] 2026-9-11 | Pentafilar Helix Design for Wideband Spectrum Sensing Applications
[IEEE] 2026-9-11 | An Efficient Parallel Schur Complement Preconditioner for the Self-Dual Integral Equations of Scattering from IBC Objects
[IEEE] 2026-9-11 | Accurate Solution of Volume-Surface Integral Equations Based on MoM-Nyström Hybrid Scheme
[IEEE] 2026-9-11 | Attention-Guided Phased Reinforcement Learning for High-Precision Dual-Arm Collaborative Manipulation
[IEEE] 2026-9-11 | Noninvasive Bone Fracture Diagnosis Using a Compact Vivaldi Antenna
[IEEE] 2026-9-11 | Performance of a Baud-Rate Clock Data Recovery with Analog Time Encoding
[IEEE] 2026-9-11 | A Wideband True-Time-Delay Network Using SIW-to-SIW Linear Tapered Transition
[IEEE] 2026-9-11 | Design of an FPGA and ARM Heterogeneous Collaborative Processing and AI Acceleration System for Multi-Channel Vision
[IEEE] 2026-9-11 | Mitigating Negative Transfer in Composite Bearing Fault Diagnosis Under Few-Shot Conditions: A Class-Aware Balanced Mix Strategy
[IEEE] 2026-9-11 | Biologically Realistic Dynamics for Nonlinear Classification in CMOS+X Neurons
[IEEE] 2026-9-11 | Reconfigurable EBG-Loaded Wideband Printed Monopole Antenna for Mutual Coupling Control
[IEEE] 2026-9-11 | Copula-Accelerated ADMM Consensus for Distributed Stochastic Microgrid Dispatch
[IEEE] 2026-9-11 | Double-Trench Superjunction IGBT with Asymmetric Gate
[IEEE] 2026-9-11 | Enabling Limited Null Formation Through the Use of an Actuated Cassegrain Antenna Sub-Reflector
[IEEE] 2026-9-11 | Poetry Generation System Based on Retrieval-Augmented Generation and Fact-Enhanced Decoding: Addressing Imagery-Emotion Hallucination
[IEEE] 2026-9-11 | A Differentiable Ray-Tracing Algorithm for Inhomogenous Unixial Anisotropic Lenses
[IEEE] 2026-9-11 | High-Sigma Read Current Estimation for 8T SRAM Based on a Stacked Model and Large-Scale Statistical Samples
[IEEE] 2026-9-11 | Compact Microstrip Patch Antenna for 60GHz Short Range Wireless Applications
[IEEE] 2026-9-11 | Stuart Long's Advocacy and Support of Women in Engineering: A 50-Year Legacy
[IEEE] 2026-9-11 | Tpc-Ad: Iot Time Series Anomaly Detection Via Prototype Memory and Contrastive Learning
[IEEE] 2026-9-11 | Functional Safety Redundant Monitoring Design Method for Automotive-Grade Brake Control Chip
[IEEE] 2026-9-11 | Automated AI-Driven Reduced-Latency Fraud Detection for Secure Smart Metering and Energy Billing Systems
[IEEE] 2026-9-11 | Rapid Inverse Design of Microstrip Antennas Via Physics-Driven Curriculum Learning and Closed-Loop Anchor Optimization
[IEEE] 2026-9-11 | High-Permittivity 3D Printing Filaments: Electromagnetic Behavior and Application in GRIN Lens Fabrication
[IEEE] 2026-9-11 | An Historical Overview of Microstrip and Dielectric Resonator Antennas: A Tribute to Stuart A. Long
[IEEE] 2026-9-11 | Multi-Scale Analysis of the Spatio-Temporal Complementarity of Solar and Wind Resources in West Africa: The Case of Guinea
[IEEE] 2026-9-11 | Wi-Fi 7 Full-Band-Coverage Under-Display MNZ Antenna for Full-Metal-Housing Mobile Devices
[IEEE] 2026-9-11 | Sensing-Assisted Reception for DCO-OFDM Based ISAC over Composite FSO Channels
[IEEE] 2026-9-11 | An Ultra-Wideband Reflective Metasurface for Cross-Polarization Conversion in X, Ku, and Lower-K Frequency Bands
[IEEE] 2026-9-11 | Antidote Reconstitution in Exceptional Health Situation: a pilot study of the contribution of Mixed-Reality training
[IEEE] 2026-9-11 | Solution of 2x2 Matrix Equation on NISQ Computer with QW-HHL Algorithm
[IEEE] 2026-9-11 | In-Context User Testing in Virtual Reality: Which Interaction Modality?
[IEEE] 2026-9-11 | Software-Defined Notch Bands Agility in DGS Based Microstrip-Line Via Manual Control of Pin Diode Matrix for Reconfigurable UWB Antennas
[IEEE] 2026-9-11 | SAR Disksat in Very Low Earth Orbit
[IEEE] 2026-9-11 | Optimization of Battery Energy Storage System Capacity for Peak Load Shaving in Distribution Networks Based on Real Data
[IEEE] 2026-9-11 | Long-term trend forecasting via adaptive multiple-time-step decomposition and ensemble
[ACM] 2026-9-11 | CodeMapper: A Language-Agnostic Approach to Mapping Code Regions Across Commits
[ACM] 2026-9-11 | Context-Free Property Oriented Fuzzing
[ACM] 2026-9-11 | Depradar: Agentic Coordination for Context-Aware Defect Impact Analysis in Deep Learning Libraries
[ACM] 2026-9-11 | Attention Pruning: Automated Fairness Repair of Language Models via Surrogate Simulated Annealing
[ACM] 2026-9-11 | On Redundancy in Alloy Models
[ACM] 2026-9-11 | From Unfinished to Done: Bridging the MDE Implementation Gap with Constrained LLMs
[ACM] 2026-9-11 | Measure What Survives: When Model Vocabulary Outlives Generated Code
[IEEE] 2026-9-11 | Deeply Integrated Co-Creation in the Semiconductor Ecosystem: Strategic Symbiosis between NVIDIA and TSMC
[IEEE] 2026-9-11 | Analytical Modeling of On-Load Magnetic Fields in High-Speed SPM Machines Considering PM Overhang and Stator Saturation
[IEEE] 2026-9-11 | IPMML 2026 Cover Page
[IEEE] 2026-9-11 | Towards an Innovative User Experience Evaluation of Augmented Reality Applications: Validating the UXARclass Taxonomy based on an Experimental Study Approach
[ACM] 2026-9-11 | Generating Energy-Efficient Code via Large-Language Models - Where are we now?
[ACM] 2026-9-11 | FORGE: An LLM-driven Framework for Large-Scale Smart Contract Vulnerability Dataset Construction
[ACM] 2026-9-11 | An Empirical Study on Static Application Security Testing (SAST) Tools for Python
[ACM] 2026-9-11 | The Cost vs the Benefit of Adding an Extra Code Reviewer to Mitigate Developer Turnover through Reviewer Recommenders
[IEEE] 2026-9-11 | LMIAT 2026 Content Announcement Page
[IEEE] 2026-9-11 | 2026 IEEE 69th International Midwest Symposium on Circuits and Systems (MWSCAS)
[IEEE] 2026-9-11 | ICVARS 2026 Cover Page
[IEEE] 2026-9-11 | USIT 2026 Content Announcement Page
[IEEE] 2026-9-11 | 2026 5th International Joint Conference on Information and Communication Engineering (JCICE)
[IEEE] 2026-9-11 | A Decade of Hourly Electricity Generation in Türkiye (2016–2025): Separating Demand Inertia from Structural Correlates via Dual-Model XGBoost–SHAP
[IEEE] 2026-9-11 | Table of Contents
[IEEE] 2026-9-11 | Exactly or Approximately Wasserstein Distributionally Robust Estimation According to Wasserstein Radii Being Small or Large_supp1-3728071.pdf
[ACM] 2026-9-11 | A Model-Driven Approach for Developing Families of Reinforcement Learning Environments
[ACM] 2026-9-11 | Fuzzing Java Optimizing Compilers with Complex Inter-Class Structures Guided by Heterogeneous Program Graphs
[ACM] 2026-9-11 | Learning without Forgetting: Towards Continual learning of Fault Localization Models in Industrial Software Systems
[IEEE] 2026-9-11 | Commission Mode vs. Data Monetization Mode: Choices of Online Competing Sellers_supp1-3732972.docx
[IEEE] 2026-9-11 | Motion Planning for Dual-Robot Coordination Based on Deep Reinforcement Learning_supp1-3730152.mp4
[IEEE] 2026-9-11 | A Coastal Power Grid Fog Discrimination Model Based on the VM-Unet++
