[2026-04-18 22:36:07] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-04-17
正在获取论文...
[ACM] 2026-4-17 | A Hybrid Chebyshev Chaotic Map-based Authentication Protocol for Industrial Internet of Things
[IEEE] 2026-4-17 | Multiple Depot Split Delivery Vehicle Routing Problem with Separate Backhaul and Linehaul Customers
[IEEE] 2026-4-17 | Power to Women: Leveraging Blockchain Technology for Sustainable Livelihood Enhancements in Fishing Communities
[IEEE] 2026-4-17 | Barriers to Meta AI Adoption Among Gen Z Women: A Study Based on Innovation Resistance Theory
[IEEE] 2026-4-17 | Revolutionizing Women's Healthcare: Early UTI Prediction Using Machine Learning
[IEEE] 2026-4-17 | Case Study: RISC-V Cores for Resource-Constrained Computing Systems Facing Neutrons
[IEEE] 2026-4-17 | Explainable AI for Autonomous Systems: A Framework for Trustworthy Decision-Making
[IEEE] 2026-4-17 | A Hybrid Deep Learning Framework for IoT Network Attack Classification Using Multi-Head CNN and GNN
[ACM] 2026-4-17 | Fault Prediction for Power Information Systems Based on Hierarchical Vertical Federated Contrastive Learning
[IEEE] 2026-4-17 | Symptom-Aware Adaptation of CLIP for Few-Shot Medical Image Classification
[IEEE] 2026-4-17 | A Study on Improving Superconducting Machine Performance by Focusing on End Windings
[IEEE] 2026-4-17 | Boosting Instance Awareness Via Cross-View Correlation With 4D Radar and Camera for 3D Object Detection
[IEEE] 2026-4-17 | A Radially Outward Extended Permanent Magnet Overhang Technique for Electromagnetic Performance Enhancement in Permanent Magnet Machines
[IEEE] 2026-4-17 | Optimization-Based Robust Control for Momentum Wheel Systems Subject to Large-Scale Power Supply Fluctuations
[IEEE] 2026-4-17 | Holo-Code: A Robust and Statistically Lossless Holographic Watermarking Framework for AIGC in Cloud-Edge IoT
[IEEE] 2026-4-17 | From Uncertainty to Decision: An Intelligent Predictive Maintenance Approach Leveraging Fuzzy Bayesian Networks for Critical IT Components
[IEEE] 2026-4-17 | Energy- and Area-Efficient MTJ-Based Nonvolatile Register with a Differential Information Storing Scheme
[IEEE] 2026-4-17 | Statistical Diagnostics and Forecast Accuracy: Comparing Time-Series, Machine-Learning, and Hybrid Models for Drug Sales
[IEEE] 2026-4-17 | Ensemble Image and Text for Unsupervised Domain Adaptation Using Vision Language Models
[IEEE] 2026-4-17 | A Novel Doppler Resilient Waveform Design for MIMO Radar Based on Complete Complementary Codes and Zero Correlation Zone Sequence Sets
[IEEE] 2026-4-17 | Linear-Exponential Decay Frequency Curve for Unit-Specific Response in Frequency-Constrained Unit Commitment
[IEEE] 2026-4-17 | Fast Algorithm for Zernike Moments Invariants in Scene Matching
[IEEE] 2026-4-17 | Hidden-Uncertainty Assessment via Non-Verbalized Signatures for LLM Medical QA_supp1-3682338.mp4
[IEEE] 2026-4-17 | An Analysis of Time-Domain Period Jitter due to Random Telegraph Noise in Phase-Locked Loops
[IEEE] 2026-4-17 | A Systematic Literature Review on Digital Activism: Empowering Women Through Technology in Developing Countries
[IEEE] 2026-4-17 | Trade-Space Exploration Analysis for a System Incorporating Parametric Cost Mathematical Models: A Case Study of Satellite Anomalies
[IEEE] 2026-4-17 | Empowering Women Entrepreneurs Through Blockchain-Enabled Credit Guarantee Schemes: A Bibliometric Analysis
[IEEE] 2026-4-17 | MicroMaps: Ontology-Driven Semantic Geospatial Data Fusion Approach for IoT Integration and Decision Making in Smart
[IEEE] 2026-4-17 | Handover Algorithm for UAV-BS 5G Network
[IEEE] 2026-4-17 | Towards Smart Farming an IoT Based Optimized Agriculture System
[IEEE] 2026-4-17 | Evaluating an Analog Test Pattern Generation Tool by Means of Hardware-Emulated Fault Injection
[IEEE] 2026-4-17 | Case Study: A Robust Bootloader System with Support for Over-the-Air Firmware Updates in CubeSat Payloads
[IEEE] 2026-4-17 | Hypothesis Testing on the 3D-DFT of Backward Compatible FMCW-OFDM for V2X ISAC
[IEEE] 2026-4-17 | Phase Laser Ranging Radar Based on IoT Communication
[IEEE] 2026-4-17 | SDN Based Firewall Using RYU Controller
[IEEE] 2026-4-17 | Digital Conservation and Gender Dynamics: Exploring Technological Interventions in the Preservation of Paraya Art-Form 'Karinkali'
[IEEE] 2026-4-17 | AI-Based TEL Tools in Classroom: Exploring Challenges of Secondary School Teachers
[ACM] 2026-4-17 | LHR-SN: A SuperNet-Aware Layered Hybrid Routing Protocol with Bordercasting
[ACM] 2026-4-17 | A Mobile Crowdsourced Perception Method for Dynamic User Selection Based on UKF- LSTM Parallel Fusion
[IEEE] 2026-4-17 | 2025 IEEE 14th International Workshop on Computational Intelligence and Applications (IWCIA)
[IEEE] 2026-4-17 | Enhancing Project Portfolio Risk Response Decision: A Distributed Approach Considering Inter-Project Failure Correlation_supp1-3684828.docx
[IEEE] 2026-4-17 | A Compact PCB-Integrated Inductive Six-Axis Force/Torque Sensor
[IEEE] 2026-4-17 | Biogenic synthesis of Ag/AgCl nanoparticles from Schinus molle ethanolic extracts: evaluation of their antibacterial and antifungal activity against broccoli pathogens
[IEEE] 2026-4-17 | Front Cover Page
[ACM] 2026-4-17 | The New Era of Sensory Augmentation
[IEEE] 2026-4-17 | Functional Integration of Power Electronics and Electric Machines Enabling High-Power Density Electric Drives
[IEEE] 2026-4-17 | SUA-YOLO: A Novel YOLO-based Algorithm for Detecting Dense Small Objects from a Low-altitude UAV Perspective
[IEEE] 2026-4-17 | On Graph Design for GNN-based Network Anomaly Detection
[IEEE] 2026-4-17 | Quantifying Power Disturbance Tolerance to Guarantee Voltage Security in DC Microgrids
[ACM] 2026-4-18 | RWKV4Rec: RWKV-Based Personalized Sequential Recommendation Model
[ACM] 2026-4-18 | Ideology-Based LLMs for Content Moderation
[ACM] 2026-4-17 | Guidestar-Free Adaptive Optics with Asymmetric Apertures
[IEEE] 2026-4-17 | Dispersion Compensated and Multimode Dielectric Waveguide Interconnects
[IEEE] 2026-4-17 | QFL-SecEdge: A Quantum Federated Learning Framework with Post-Quantum Cryptographic Task Distribution for Ultra-Reliable Mission-Critical 6G-IoT Networks
[IEEE] 2026-4-17 | TechRxiv: Share Your Preprint Research with the World!
[IEEE] 2026-4-17 | IEEE Collabratec
[IEEE] 2026-4-17 | Experimental Topological Analysis in Next-Generation Data Center Networks: STRAT and Clos Topologies
[IEEE] 2026-4-17 | Characterization of a Fault-Tolerant RISC-V SoC in an SRAM-based FPGA Under Proton Irradiation
[IEEE] 2026-4-17 | Towards Reliable and Scalable Firmware Testing in Communication-Constrained Environments
[IEEE] 2026-4-17 | Reinforced Learning Algorithm for Efficient Energy Tracking in Peer-to-Peer Energy Trading
[IEEE] 2026-4-17 | Developing SMARThealth Pregnancy (SHP)GPT: Addressing Gender Bias in LLM for Community Health Workers in Rural India
[IEEE] 2026-4-17 | AI-Enabled Applications for Disaster Management: Revisiting the Social Construction of Gender Norms in Disasters
[IEEE] 2026-4-17 | Ethical Implications of Technology: Gender and AI use in Brazilian Education
[IEEE] 2026-4-17 | A Semi-Markov Decision Process Approach to American Option Pricing with Sojourn Time Dependence
[IEEE] 2026-4-17 | Preventive Maintenance Policies for Linear Connected-(1,2)-or-(2,1)-out-of-(n
                    <sub>1</sub>
                    , n
                    <sub>2</sub>
                    : F Systems
[IEEE] 2026-4-17 | Performance Analysis of PIN and APD Photodetectors in an Optical Communication System under Adverse Conditions
[IEEE] 2026-4-17 | A Critical Study of Soft Pseudo-Labels for Semi-Supervised Medical Image Segmentation
[ACM] 2026-4-17 | System Construction of Application-Layer Defense and Risk Traceability Driven by RASP
[IEEE] 2026-4-17 | Deepfake Face Image Detection With Enhanced Generalization: An Optimized VGG16 Approach Using Diverse Datasets
[IEEE] 2026-4-17 | Low-Cost Solar PV Data Logger for Off-Grid Monocrystalline Panels: Design and Performance Analysis
[IEEE] 2026-4-17 | PID-Controlled Temperature System Using Arduino for Portable Virus Detection Application
[IEEE] 2026-4-17 | Optimization of Tactical Microgrid via Integrated LSTM-Q-Learning Models
[ACM] 2026-4-17 | The Classroom Mob Programming Game
[IEEE] 2026-4-17 | An Integrated Control Framework for Chemically Coupled HR Neural Network and Its Application
[IEEE] 2026-4-17 | Hidden-Uncertainty Assessment via Non-Verbalized Signatures for LLM Medical QA_supp2-3682338.pdf
[IEEE] 2026-4-17 | A Multi-Sensor Fusion System for Rail Side Detection Using LiDAR , Inertial Measurement Unit and GPS Data based on Two-Stage Machine Learning Framework
[IEEE] 2026-4-17 | Density-Based Adaptive Protection for HVDC Transmission Lines Using Statistical Learning and Proactive Control
[IEEE] 2026-4-17 | Topological Prior-Embedded Spatial-Temporal Tensor Approximation Model for Infrared Small-Target Detection
[IEEE] 2026-4-17 | Orthogonal Time-Frequency Space Modulation with DFT Precoded Filter Bank Multicarrier
[IEEE] 2026-4-17 | ESCM: A Toolkit for Efficient and Secure Outsourced Computation with Multiple Keys
[ACM] 2026-4-17 | A Quantum-Resistant Authentication and Key Agreement Protocol for UAV Networks
[ACM] 2026-4-17 | Load Balancing Routing Technique for LEO Satellite Networks Based on Regional Partitioning
[ACM] 2026-4-17 | Testing Cluster Structure of Graphs
[IEEE] 2026-4-17 | Temporal Data and Short-Time Averages Improve Multiphase Mass Flow Metering
[IEEE] 2026-4-17 | CGFMamba-PCR: Color-Geometric Fusion Mamba based Color Point Cloud Registration
[IEEE] 2026-4-17 | Multi-Port Thévenin–Norton Equivalents With Internal Complex Power: A Circuit-Theoretic Framework
[IEEE] 2026-4-17 | Integrated Fault-Tolerant Strategy of Brushless Doubly-Fed Induction Generator-DC System Under Control Winding Open-Phase Fault
[IEEE] 2026-4-17 | An Efficient
                    <i>K</i>
                    -way Constrained Normalized Cut and its Connection to Algebraic Multigrid Method
[ACM] 2026-4-17 | Teaching software testing with role-play games
[IEEE] 2026-4-17 | Descriptor: Parasitoid Wasps and Associated Hymenoptera Dataset (DAPWH)
[IEEE] 2026-4-17 | Completely Split-KalmanNet: A Novel Hybrid Model-Based and Data-Driven Method for GNSS/IMU Integration
[IEEE] 2026-4-17 | GPU-accelerated high-resolution geostationary-satellite-based atmospheric motion vector retrieval
[IEEE] 2026-4-17 | Bootstrap Wayfinding Questions to Elicit Emotion Shift Reasoning with Large Language Models_supp1-3684445.pdf
[IEEE] 2026-4-17 | Addressing the Gender Digital Divide to Improve Income Generation in Ransai Village, Maharashtra
[IEEE] 2026-4-17 | Heartbeat Sound Analysis for Heart Disease Diagnosis Using Long Short-Term Memory Networks
[IEEE] 2026-4-17 | AI-Empowered mm-Wave Antenna Design
[IEEE] 2026-4-17 | Blockchain-Enabled Cybersecurity Framework for Industrial Supply Chains Using Machine Learning
[IEEE] 2026-4-17 | The Future of Gender Data: Navigating Ethical Frontiers in the Age of AI and Big Data
[IEEE] 2026-4-17 | Deep Learning-Based Power Side-Channel Evaluation from RTL Switching-Activity Proxies
[IEEE] 2026-4-17 | Forgery-Resistant Range Queries via Multi-Client Order-Revealing Encryption
[IEEE] 2026-4-17 | AEGIS: Throughput-Guaranteed Resilient Routing via a Conditional Value-at-Risk Approach_supp1-3684425.pdf
[IEEE] 2026-4-17 | A Proof-of-Concept Autoencoding Pixelated SiPM Detector Constructed with Analog Neural Network Front-End Circuits for High-Speed Continuous X-ray Imaging
[IEEE] 2026-4-17 | Estimation of surface upwelling longwave radiation under cloudy sky conditions using a physical algorithm
[IEEE] 2026-4-17 | IEEE/ASME Transactions on Mechatronics Information for Authors
[IEEE] 2026-4-17 | Author Index
[IEEE] 2026-4-17 | Proceedings
[IEEE] 2026-4-17 | Track Statistics
[IEEE] 2026-4-17 | Design and Development of PIN Diode-Based Switchable Metamaterial Absorber in S Band
[IEEE] 2026-4-17 | TacMan-Turbo: Proactive Tactile Control for Robust and Efficient Articulated Object Manipulation
[IEEE] 2026-4-17 | A Unified Perspective for Learning Graph Representations across Multi-Level Abstractions_supp1-3681811.pdf
[IEEE] 2026-4-17 | Sec-GNN-Driven Joint Multidimensional Anti-Eavesdropping Optimization for Secure UAV-Satellite Communications
[IEEE] 2026-4-17 | Humidity Sensing in a Flexible SnO
                    <sub>2</sub>
                    /MWCNT/PVP Nanocomposite for Wearable Devices
[IEEE] 2026-4-17 | Modeling of Far-Field Quantum Coherence by Dielectric Bodies Based on the Volume Integral Equation Method
[IEEE] 2026-4-17 | Inclusive Digital Health Solution for Ensuring Employee Well-Being, Women's Health, and Workplace Rights
[IEEE] 2026-4-17 | Enhancing Cloud Resource Utilization with Predictive Autoscaling Using Transformer Models
[IEEE] 2026-4-17 | Routing Dynamics in Distributed Quantum Networks: Trading-Off Computational Efficiency and Quantum Coherence
[IEEE] 2026-4-17 | Examination on the Moderation Effect of Gender on AI Literacy and Use of AI Tools in Education
[ACM] 2026-4-18 | Investigating Self-Body Perception and its Effect on Affordance in Augmented Reality
[ACM] 2026-4-17 | Fault-Tolerant Design and Multi-Objective Model Checking for Real-Time Deep Reinforcement Learning Systems
[IEEE] 2026-4-17 | Low-Overhead Passive Resilience Monitoring for AIoT Gateways: End-to-End Anomaly Detection via eBPF Timing Traces and Autoencoders
[IEEE] 2026-4-17 | Impact of AC Voltage Control and Reactive Power Control on Transient Stability of Grid-forming Converters with Current Saturation under Phase to Ground Faults and Phase Jumps
[IEEE] 2026-4-17 | TKS-TDM: A Temporal Key Point Selection Model for Efficient Fault Diagnosis of ZDJ9-RTA Using Multi-Sensor Signals
[IEEE] 2026-4-17 | IEEE Photonics Technology Letters publication information
[IEEE] 2026-4-17 | A New Framework for Guaranteed Click Ad Allocation in Mobile Location-Based Advertising Networks
[IEEE] 2026-4-17 | Blank Page
[IEEE] 2026-4-17 | Reconfigurable Bio-Plausible Spiking Neurons Based on Antiferromagnetic Skyrmions Utilizing Anisotropy Gradient
[IEEE] 2026-4-17 | On the Design Techniques of High Gain Packaged Printed Circuit Board (PCB) Based Antennas for Sensing and Internet of Things (IoT) Millimeter Wave Applications: Challenges and Analysis
[IEEE] 2026-4-17 | A Survey of Trust Chain in Secure Embedded Systems: From Secure Boot to TEE Applications
[IEEE] 2026-4-17 | Passive RIS Is Not Silent: Revisiting Performance Limits Under Thermal Noise
[IEEE] 2026-4-17 | Secondary constructions of plateaued Boolean functions through addition of indicators
[IEEE] 2026-4-17 | Miniaturized SIW Single-Branch Diplexer Based on Novel Mixed-Mode Cavities
[IEEE] 2026-4-17 | Randomization Effect for Enhanced IoT-Network Intrusion Detection Systems
[IEEE] 2026-4-17 | Inventory Prediction Using ABC Analysis and Decision Tree Algorithm
[IEEE] 2026-4-17 | Proposal for a Tidal Barrage Power Plant on the Sandwip Channel
[IEEE] 2026-4-17 | Minimizing EV Battery Degradation in V2G Systems via XGBoost-Guided Particle Swarm Optimization
[IEEE] 2026-4-17 | Cyclic Delay-Doppler Shift: A Simple Transmit Diversity Technique for Ultra-Reliable Communications in Doubly-Selective Channels
[IEEE] 2026-4-17 | Adoption and Usage of ChatGPT Among Women Educators in Higher Education- A Study Based on UTAUT 2 Model
[ACM] 2026-4-17 | An Integrated CL-PKC and PUF-Based Authentication and Key Agreement Protocol for Cross-Domain UAVs
[IEEE] 2026-4-17 | ARIS-Aided Multipath Suppression for Enhanced Wireless Localization
[IEEE] 2026-4-17 | K/Ka-Band Wideband LNAs With Pole-Converging Gain Flattening and Triple-Resonance Input Matching
[IEEE] 2026-4-17 | HSSCOA: Constant-Round Secure Collaborative Analytics on Secret-Shared Database
[IEEE] 2026-4-17 | Dual-Teacher Prototype Consistency for Unsupervised Domain Adaptive Object Detection in Remote Sensing Images
[IEEE] 2026-4-17 | From Image to Pixels: towards Fine-Grained Medical Vision-Language Models_supp1-3682684.pdf
[IEEE] 2026-4-17 | Design of Multi-Band Dual-Polarized AFSS With Flexibly Controllable Passbands for Wireless Systems
[IEEE] 2026-4-17 | Channel Estimation for Rydberg Atomic Quantum Receivers: Unrolled Phase Retrieval from Holographic Snapshots
[IEEE] 2026-4-17 | Blank Page
[IEEE] 2026-4-17 | ISAR Sparse Imaging Method Based on Block-Coupled Structure Under One-Dimensional Basis Mismatch
[ACM] 2026-4-17 | Exploring The Potential of Large Language Models for Assisting with Mental Health Diagnostic Assessments
[IEEE] 2026-4-17 | Fault-Tolerance in FINN-Based CNN Accelerator for In-Orbit Land Cover Classification
[IEEE] 2026-4-17 | SPIM: Split-Packet Interference Management for Uplink RSMA in Next-Generation Wireless Networks
[IEEE] 2026-4-17 | The Influence of Chatbot Implementation on Consumer Purchase Intention on Platforms That Use Live Streaming Shopping
[IEEE] 2026-4-17 | FLAM: Federated Learning Based on Asynchronous Model Distillation
[IEEE] 2026-4-17 | Radiation Robustness Assessment of StrongARM Comparators in 130nm, 65nm and 45nm Technologies
[IEEE] 2026-4-17 | Digital Empowerment: A Participatory Framework for Rural Women's Economic Upliftment
[ACM] 2026-4-17 | Design and Analysis of Fiber Optic Sensor System for Monitoring Leakage Parameters in Apron Pipeline Network
[ACM] 2026-4-17 | Certificateless Signcryption Scheme for Emergency Communication
[IEEE] 2026-4-17 | Session Chairs
[IEEE] 2026-4-17 | Towards adaptive optimal personalization control of robotic hip exoskeleton assistance for individuals with paretic stroke
[IEEE] 2026-4-17 | Blank Page
[IEEE] 2026-4-17 | IEEE Geoscience and Remote Sensing Society Publication Information
[IEEE] 2026-4-17 | Mathematical Analysis of the Physical Properties of High- and Low-Frequency Capacitively Coupled Plasma
[IEEE] 2026-4-17 | Pathology-Aligned Contrastive Representation Learning for Gleason Grading
[IEEE] 2026-4-17 | Leveraging Contrastive Vision-Language Pretraining for Zero-Shot Open Learning Behavior Detection in Smart Education
[IEEE] 2026-4-17 | An Intelligent Data-Model Fusion Method for Predicting VHF and UHF Propagation Loss
[IEEE] 2026-4-17 | Blank Page
[IEEE] 2026-4-17 | Blank Page
[IEEE] 2026-4-17 | Pulse Shaping to Mitigate the Impact of Device Imperfections in Field-Free Switching Using Combined Spin-Orbit and Spin-Transfer Torques
[IEEE] 2026-4-17 | Physics-Informed Deep Reinforcement Learning for Inter-Area Oscillation Damping via Shapley-based Generator Selection_supp1-3684848.pdf
[IEEE] 2026-4-17 | profitAware: a Cost Effective Service Placement Technique for Multi-access Edge Clouds
[IEEE] 2026-4-17 | AI-Driven Employee Performance Prediction in the Public Sector with GAs and SHAP Interpretability
[IEEE] 2026-4-17 | Driving Behavior Classification From Smartphone Sensor Data Using Graph Attention Network
[IEEE] 2026-4-17 | Comparative Performance Analysis in Melanoma Detection with DeepLabV3+ Segmentation
[ACM] 2026-4-17 | High-Accuracy Data Aggregation via Personalized Local Differential Privacy in Smart Grid
[IEEE] 2026-4-17 | Particle Filter-Based Fault Diagnosis With Hidden Markov Models for Nonlinear and Uncertain Dynamical Systems
[IEEE] 2026-4-17 | Fuzzy Logic Control System Assisted Operator Selection for Constrained Multi-Objective Optimization
[IEEE] 2026-4-17 | CIP-BaseX: A Lightweight RFC 4648-Compatible Obfuscation Layer Against IoT Payload Fingerprinting
[IEEE] 2026-4-17 | Analysis of Collaborative Data Privacy Leakage: A Macro-Level Perspective
[IEEE] 2026-4-17 | Power-efficient retrospective transmit beamforming in range-Doppler frequency domain
[IEEE] 2026-4-17 | IEEE/ASME Transactions on Mechatronics Publication Information
[IEEE] 2026-4-17 | Representative Spectral Correlation Network for Multi-source Remote Sensing Image Classification
[IEEE] 2026-4-17 | Analytical Computation and Experimental Validation of Self-Inductance for High-Voltage Pulse Capacitors
[IEEE] 2026-4-17 | A Novel Quasi-Constant Current Output LCCL Resonant Converter with Transformer Parasitic Capacitance Impact for HVCC
[IEEE] 2026-4-17 | Table of Contents
[IEEE] 2026-4-17 | GRotate: Drum-Type Hydroponic System for Plant Growth using NDVI Monitoring
[IEEE] 2026-4-17 | Validating Statistical Delay Test Generation Under Timing Variations via SAT-Based ATPG
[IEEE] 2026-4-17 | Generating Adversarial Examples of Time Series Data for Time Series Classification Using Differential Evolution
[IEEE] 2026-4-17 | Case Study: Neutron-Induced SEE Evaluation in a Mixed-Signal Programmable SoC
[IEEE] 2026-4-17 | PowerCourt: Formally Judging Benign-Looking Circuits in Multi-Tenant FPGA Environments
[IEEE] 2026-4-17 | Exploring AI-Driven Personalized Fashion: A Survey on Styling Preferences, Challenges, and Privacy Concerns
[ACM] 2026-4-17 | A Systematic Review of Narrative Game-based Interventions for Mental Health
[ACM] 2026-4-17 | Bytecode Obfuscation for Smart Contracts via Structural and Semantic Perturbation
[IEEE] 2026-4-17 | Automated Construction of a Knowledge Graph of Nuclear Fusion Energy for Effective Elicitation and Retrieval of Information
[IEEE] 2026-4-17 | Lightweight Privacy-Preserving Mobile Sensing Framework via Additive Secret Sharing for Integrated Sensing Communication Computing Systems
[IEEE] 2026-4-17 | Rate-Adaptive Generalized Space Shift Keying Modulation Over Time-Varying Channels
[IEEE] 2026-4-17 | Evaluating the errors of Oceansat-3 winds over the Indian Ocean
[IEEE] 2026-4-17 | Organizing Committee
[IEEE] 2026-4-17 | 2025 9th International Conference on Cloud and Big Data Computing (ICCBDC)
[IEEE] 2026-4-17 | 2025 Gender and Technology Conference (GTC)
[IEEE] 2026-4-17 | Reinforcement Learning-Driven Honeypots: Tactic-Based Defense for Industrial Control Systems
[IEEE] 2026-4-17 | A Hybrid FeedForward Neural Network-Genetic Algorithm Approach for Beam Selection Optimization in 5G Massive MIMO Systems
[IEEE] 2026-4-17 | Exploring Interlinkages Between Assistive Technology and Individuals with Disabilities in India
[IEEE] 2026-4-17 | Exploring the Role of Technology, Gender and their Relationship between Self-Efficacy &amp; Academic Performance
[IEEE] 2026-4-17 | Sparing User Time With a Socially Aware Independent Metaverse Avatar
[IEEE] 2026-4-17 | Measurements of water quality and growth metrics in freshwater aquaculture: Dataset and technical challenges
[IEEE] 2026-4-17 | Multi-Fidelity Dynamic Line Rating Fusion for System Load Margin Enhancement with Large-Scale Offshore Wind Generations
[IEEE] 2026-4-17 | Hybrid machine learning pipeline for predicting and segmenting academic performance at a Mexican public university
[IEEE] 2026-4-17 | Observer-Based Adaptive Practical Fixed-Time Event-Triggered Fault-Tolerant Control for Nonlinear Systems With Sensor Faults
[IEEE] 2026-4-17 | Visual and Text Prompt Segmentation: A Novel Multi-Model Framework for Remote Sensing
[IEEE] 2026-4-17 | Advanced Input Shaping Control Based on Reinforcement Learning for SCARA Robot
[IEEE] 2026-4-17 | Front Cover
[IEEE] 2026-4-17 | Byzantine-Resilient Distributed Economic Dispatch for Interconnected Microgrids: A Trusted Agent-Based Method
[IEEE] 2026-4-17 | Doubly-Dispersive Continuous MIMO Systems: Channel Modeling and Beamforming Design
[IEEE] 2026-4-17 | An interval discrete wavelet neural network for rolling bearing fault diagnosis with uncertain information
[IEEE] 2026-4-17 | Rotation-Based Complex Permittivity Characterization of Low-Loss Slabs by Free-Space Reflection Measurements At Terahertz
[IEEE] 2026-4-17 | Wideband Single Conductive Layer Glass Picture Frame Electromagnetic Skin for 6G Upper-Mid Band Indoor Communication
[ACM] 2026-4-17 | LRASGen: LLM-based RESTful API Specification Generation
[ACM] 2026-4-17 | GateFormer-CS: Enhancing Dynamic Malware Detection through Channel-Sequence Gating and Multi-Scale Expansion Fusion
[ACM] 2026-4-17 | Design and Adversarial Robustness Verification of Network Intrusion Detection Model for Raw Traffic
[IEEE] 2026-4-17 | Proceedings
[IEEE] 2026-4-17 | Keynote Speaker: “Conjuga Molecule Design and Synthesis for Advanced Organic and Perovskite Photovoltaics”
[IEEE] 2026-4-17 | LiFeChain: Lightweight Blockchain for Secure and Efficient Federated Lifelong Learning in IoT
[IEEE] 2026-4-17 | Machine Learning-Enhanced Power Allocation for mMIMO-NOMA Systems in 6G Networks
[IEEE] 2026-4-17 | HopeAI: A Chatbot Framework to Support Survivors of Sex and Labor Trafficking
[IEEE] 2026-4-17 | Gender Equality in a Digital Science Research Laboratory
[IEEE] 2026-4-17 | Enhancing the Scope of Social Work Interventions for Women Substance Users Through Technology and Digital Innovations in India
[IEEE] 2026-4-17 | Advanced Uses of Generative Adversarial Networks (GANs) for Class Imbalance in Machine Learning
[IEEE] 2026-4-17 | Research on Optimization of Multi-Modal Transportation System Network Considering Transfer Relationships
[IEEE] 2026-4-17 | Improving Multi-Label Classification Accuracy for High School Mathematics Problems Using LLM Re-Ranking
[IEEE] 2026-4-17 | Case Study: Integrating RISC-V Zicfiss Shadow Stack Support for Control-Flow Integrity on the CVA6 Processor
[IEEE] 2026-4-17 | AI-Assisted Complementary Negative Capacitance Tunnel FETs: A Path Toward Superior Circuit Performance
[IEEE] 2026-4-17 | EXACT: An Explainable Anomaly Classification Tool
[IEEE] 2026-4-17 | Front Cover
[IEEE] 2026-4-17 | Dynamic Event-Triggered Data-Driven Hierarchical Control for Networked MASs Against Byzantine Attacks
[IEEE] 2026-4-17 | Spectral-Efficient LoRa with Low Complexity Detection
[IEEE] 2026-4-17 | Table of Contents
[IEEE] 2026-4-17 | Higher-Order Difference Phase Unwrapping for Microwave-based Vibration Measurements
[IEEE] 2026-4-17 | TechRxiv: Share Your Preprint Research with the World!
[IEEE] 2026-4-17 | Low-Level CDM Radiated ESD Event Detection and Classification Using a CMOS Logarithmic SoC
[IEEE] 2026-4-17 | Concurrent Dual-Band Continuous Class-F Power Amplifier: From Theory to Practice
[IEEE] 2026-4-17 | Imaging Results from a Direct Conversion X-ray Detector with TlBr and CMOS Pixel Array
[IEEE] 2026-4-17 | Pump Flow Compensation and Variable-Gain Sliding Mode Control for Mitigating Temperature-Induced Degradation in Servo Pump-Controlled Systems
[IEEE] 2026-4-17 | A Novel Dynamic Sparse Convolution Residual Network for Incipient ITSC Fault Diagnosis of Electric Machines
[IEEE] 2026-4-17 | HRIS-Assisted Communications: Trade-off between Combination and Separation
[IEEE] 2026-4-17 | Analysis and Design of IRS-Assisted NOMA for Vehicular Visible Light Communication Systems
[IEEE] 2026-4-17 | Index Author
[IEEE] 2026-4-17 | Bayesian Calibration for High-dimensional Parameter Identification in Transformer Winding Diagnostics via FRA-derived Modal Features
[IEEE] 2026-4-17 | Learning to Evade: Adaptive and Stealthy Attack on Reputation-Based Federated Learning
[IEEE] 2026-4-17 | CONV_GBERT: Leveraging BERT-GPT Fusion and IMP-FGSM for Adversarially Robust Sentiment Classification
[IEEE] 2026-4-17 | IEEE Photonics Technology Letters Information for Authors
[IEEE] 2026-4-17 | Analysis of Accuracy, Area, Latency, and Energy Consumption of Gas-sensing-based In-sensor Neuromorphic Computing
[IEEE] 2026-4-17 | A Novel Approach with Channel Reduction Scheme for Depression Symptom Identification based on Resting-State EEG_supp1-3679027.docx
[IEEE] 2026-4-17 | A Transformer-based probabilistic deep learning framework for uncertainty-aware long-range flood forecasting using satellite-derived mesoscale inputs_supp1-3681213.pdf
[IEEE] 2026-4-17 | Multi-Sensor Multi-Source Localization under Clutter and Uncertainty
[IEEE] 2026-4-17 | Dual 1-Bit Quantization for Conformer-CTC: A Decomposition-Based Mixed Precision Approach
[IEEE] 2026-4-17 | Inclusive Learning Model for Technology-Enhanced Vocational Education Through Culturally Responsive Pedagogy
[IEEE] 2026-4-17 | The Impact of Privacy and Security on E-Commerce Adoption: A Cross-Country Analysis
[IEEE] 2026-4-17 | Bending Loss Phenomenon in Optical Signal Evaluation on Single-Mode Fiber
[IEEE] 2026-4-17 | EdgeGuard: Blockchain-Enhanced Secure Data Circulation via Aggregatable Distributed Key Generation_supp1-3679770.pdf
[IEEE] 2026-4-17 | ZSS/Certificateless Signature-based Hierarchical Verification Scheme for IIoT Hot/Cold Data
[IEEE] 2026-4-17 | Life-Cycle-Oriented Based Design and Optimization of LLC Resonant Converters for Light-EV Charging
[IEEE] 2026-4-17 | Uncooled Poisson Bolometer for High-Speed Event-Based Long-wave Thermal Imaging_supp1-3682677.pdf
[IEEE] 2026-4-17 | Adaptive Neural Boundary Control of a Rotating Flexible Beam with Input Dead-Zone and Output Constraint
