[2026-03-03 09:29:17] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-03-02
正在获取论文...
[arXiv] 2026-03-02 | Bimanual XR Specification of Relative and Absolute Assembly Hierarchies for Teleoperation
[arXiv] 2026-03-02 | High-Performance Quantum Frequency Conversion from Ultraviolet to Telecom Band
[arXiv] 2026-03-02 | Action-Guided Attention for Video Action Anticipation
[arXiv] 2026-03-02 | Quasi-Hermitian Varieties and Their Barlotti--Cofman Representation
[arXiv] 2026-03-02 | The Expurgated Error Exponent is Not Universally Achievable
[arXiv] 2026-03-02 | Multi-patient Inverse Estimation of Effective Membrane Diffusion Coefficients in Calcium-Citrate Hemodialysis
[arXiv] 2026-03-02 | Localizing acoustic and electromagnetic waves in space and time
[arXiv] 2026-03-02 | The Galaxy Stellar Mass-SFR-Size Relation in EAGLE, TNG100, and Observations
[arXiv] 2026-03-02 | FT-Dojo: Towards Autonomous LLM Fine-Tuning with Language Agents
[arXiv] 2026-03-02 | A unified framework of energy-stable splitting exponential integrators for damped Hamiltonian systems
[arXiv] 2026-03-02 | Symmetry-Induced Logarithmic Relaxation in the Quantum Kicked Rotor
[arXiv] 2026-03-02 | TacMamba: A Tactile History Compression Adapter Bridging Fast Reflexes and Slow VLA Reasoning
[arXiv] 2026-03-02 | Cross-modal Identity Mapping: Minimizing Information Loss in Modality Conversion via Reinforcement Learning
[arXiv] 2026-03-02 | Streaming Continual Learning for Unified Adaptive Intelligence in Dynamic Environments
[arXiv] 2026-03-02 | Predictive Importance Sampling Based Coverage Verification for Multi-UAV Trajectory Planning
[arXiv] 2026-03-02 | FastLightGen: Fast and Light Video Generation with Fewer Steps and Parameters
[arXiv] 2026-03-02 | A Dynamical Fekete-Szegő Theorem
[arXiv] 2026-03-02 | Spin-liquid-like ground states in the double hydroxyperovskites CuSn(OD)6 and MnSn(OD)6 evidenced by μSR spectroscopy
[arXiv] 2026-03-02 | Extremely weak electron-phonon coupling in Josephson junctions built on InAs on Insulator
[arXiv] 2026-03-02 | Statistical Consistency of Discrete-to-Continuous Limits of Determinantal Point Processes
[arXiv] 2026-03-02 | Quantizing Geodesics in Kähler and Sasaki Geometry
[arXiv] 2026-03-02 | Schwinger--Keldysh formulation of electromagnetic leptogenesis in an EFT framework
[arXiv] 2026-03-02 | Prolongation rigidity of sub-free Lie algebras
[arXiv] 2026-03-02 | MSP-ReID: Hairstyle-Robust Cloth-Changing Person Re-Identification
[arXiv] 2026-03-02 | Learning Thermal-Aware Locomotion Policies for an Electrically-Actuated Quadruped Robot
[arXiv] 2026-03-02 | On a theorem of Schmidt's subspace theory with moving targets
[arXiv] 2026-03-02 | Adaptive Spectral Feature Forecasting for Diffusion Sampling Acceleration
[arXiv] 2026-03-02 | More Data, Fewer Diacritics: Scaling Arabic TTS
[arXiv] 2026-03-02 | A Multiplicative-Noise Mechanism for Variability Amplification under Radiative Forcing in an Arctic Energy-Balance Model
[arXiv] 2026-03-02 | Random operators, spectral measures, and local empirical convergence in sofic groups
[arXiv] 2026-03-02 | Doubly resonant nonlinear metasurfaces enabling NIR-to-UV upconversion for reconfigurable Fourier optical processing
[arXiv] 2026-03-02 | Evaluating and Understanding Scheming Propensity in LLM Agents
[arXiv] 2026-03-02 | A Block Least Mean Square Method for Fiber Longitudinal Power Profile Monitoring
[arXiv] 2026-03-02 | Sparse View Distractor-Free Gaussian Splatting
[arXiv] 2026-03-02 | Dehallu3D: Hallucination-Mitigated 3D Generation from Single Image via Cyclic View Consistency Refinement
[arXiv] 2026-03-02 | Analysis of Robin-boundary control for the Boussinesq equations
[arXiv] 2026-03-02 | SafeSci: Safety Evaluation of Large Language Models in Science Domains and Beyond
[arXiv] 2026-03-02 | Jump Like A Squirrel: Optimized Execution Step Order for Anytime Random Forest Inference
[arXiv] 2026-03-02 | Battery Discharge Modeling for Electric Vehicles: A Hybrid Physics-based Residual Learning Approach
[arXiv] 2026-03-02 | Meson spectrum and low-energy constants in large-$N$ QCD
[arXiv] 2026-03-02 | SkeleGuide: Explicit Skeleton Reasoning for Context-Aware Human-in-Place Image Synthesis
[arXiv] 2026-03-02 | QuMeld: A Modular Framework for Benchmarking Qubit Mapping Algorithms
[arXiv] 2026-03-02 | A unified calculation for Gromov norm of Kähler calss of bounded symmetric domains
[arXiv] 2026-03-02 | Adversarial Query Synthesis via Bayesian Optimization
[arXiv] 2026-03-02 | Lattice QCD study on nucleon-$Ω_{\rm ccc}$ interaction at the physical point
[arXiv] 2026-03-02 | LFPO: Likelihood-Free Policy Optimization for Masked Diffusion Models
[arXiv] 2026-03-02 | RubricBench: Aligning Model-Generated Rubrics with Human Standards
[arXiv] 2026-03-02 | (hu)Man vs. Machine: In the Future of Motorsport, can Autonomous Vehicles Compete?
[arXiv] 2026-03-02 | ICSE 2022 Sustainability Report
[arXiv] 2026-03-02 | Modelling the long-term impacts of artificial warming on the Martian water cycle and surface ice distribution
[arXiv] 2026-03-02 | CosmicWeb-21cm array: A New Radio Observation Array Design for 21cm Cosmology
[arXiv] 2026-03-02 | On the robustness of pullback attractors for a nonlocal reaction-diffusion equation under perturbation
[arXiv] 2026-03-02 | Scalable Multi-Task Low-Rank Model Adaptation
[arXiv] 2026-03-02 | Theory of anomalous Landau-Zener tunneling induced by nonlinear coupling
[arXiv] 2026-03-02 | RoboGPU: Accelerating GPU Collision Detection for Robotics
[arXiv] 2026-03-02 | Magneto-Acousto-Electric Tomography with Magnetic Field Measurements: Modeling, Inversion and Stability
[arXiv] 2026-03-02 | The Sentience Readiness Index: Measuring National Preparedness for the Possibility of Artificial Sentience
[arXiv] 2026-03-02 | Anisotropic matter and nonlinear electromagnetics black holes
[arXiv] 2026-03-02 | An extended Lagrange FEM for the Maxwell eigenvalue problem
[arXiv] 2026-03-02 | Edge-controlled non-Hermitian skin effect in the modified Haldane model
[arXiv] 2026-03-02 | Keyword-based Community Search in Bipartite Spatial-Social Networks (Technical Report)
[arXiv] 2026-03-02 | LCEz4-M1: A Lyman Continuum Emitter Candidate at z = 4.444 in the MUSE Hubble Ultra Deep Field
[arXiv] 2026-03-02 | Harmonizing Dense and Sparse Signals in Multi-turn RL: Dual-Horizon Credit Assignment for Industrial Sales Agents
[arXiv] 2026-03-02 | Regularized Diffusion-based Contract Model for Covert Semantic Entropy Control in LAENets
[arXiv] 2026-03-02 | WildCross: A Cross-Modal Large Scale Benchmark for Place Recognition and Metric Depth Estimation in Natural Environments
[arXiv] 2026-03-02 | Local Analogs of Little Red Dots: Optical Variability and Evidence for an AGN Origin
[arXiv] 2026-03-02 | Reconstructing Content via Collaborative Attention to Improve Multimodal Embedding Quality
[arXiv] 2026-03-02 | Violation of Quantum Bilocal Inequalities on Mutually-Commuting von Neumann Algebra Models
[arXiv] 2026-03-02 | Implementing Dependent Type Theory Inhabitation and Unification
[arXiv] 2026-03-02 | Deepfake Forensics Adapter: A Dual-Stream Network for Generalizable Deepfake Detection
[arXiv] 2026-03-02 | A Cascaded Graph Neural Network for Joint Root Cause Localization and Analysis in Edge Computing Environments
[arXiv] 2026-03-02 | A Laplace-based perspective on conditional mean risk sharing
[arXiv] 2026-03-02 | A Hybrid Particle Gaussian Mixture Filtering Method for Cislunar Orbit Determination Under Extreme Uncertainty
[arXiv] 2026-03-02 | Quantifying Conversational Reliability of Large Language Models under Multi-Turn Interaction
[arXiv] 2026-03-02 | Deep Learning-Based $^{14}$C Pile-Up Identification in the JUNO Experiment
[arXiv] 2026-03-02 | The Observer-Situation Lattice: A Unified Formal Basis for Perspective-Aware Cognition
[arXiv] 2026-03-02 | Wrapped flat-top kernel density estimation with circular data
[arXiv] 2026-03-02 | Exploration enhances cooperation in the multi-agent communication system
[arXiv] 2026-03-02 | Continuous Exposure-Time Modeling for Realistic Atmospheric Turbulence Synthesis
[arXiv] 2026-03-02 | Surfaces with parallel mean curvature in warped product spaces
[arXiv] 2026-03-02 | From Bifurcations to State-Variable Statistics in Isotropic Turbulence: Internal Structure, Intermittency, and Kolmogorov Scaling via Non-Observable Quasi-PDFs
[arXiv] 2026-03-02 | Duflo-Serganova functors and Brundan-Goodwin's parabolic inductions
[arXiv] 2026-03-02 | Self-sustained Molecular Rectification without External Driving or Information
[arXiv] 2026-03-02 | End-to-End Simultaneous Dysarthric Speech Reconstruction with Frame-Level Adaptor and Multiple Wait-k Knowledge Distillation
[arXiv] 2026-03-02 | DUEL: Exact Likelihood for Masked Diffusion via Deterministic Unmasking
[arXiv] 2026-03-02 | NM-DEKL$^3_\infty$: A Three-Layer Non-Monotone Evolving Dependent Type Logic
[arXiv] 2026-03-02 | Probing Coordination Environments in Buried Oxides of Aluminum Josephson Junctions by Resonant X-ray Reflectivity
[arXiv] 2026-03-02 | Asymptotic long-time behavior of Darcy--Boussinesq convection in layered porous media with narrow transition zones
[arXiv] 2026-03-02 | MixerCSeg: An Efficient Mixer Architecture for Crack Segmentation via Decoupled Mamba Attention
[arXiv] 2026-03-02 | Operational Modal Analysis of Aeronautical Structures via Tangential Interpolation
[arXiv] 2026-03-02 | Learning-Performance Evaluation of a Physical Reservoir Based on a Vortex Spin-Torque Oscillator with a Modified Free Layer
[arXiv] 2026-03-02 | PymooLab: An Open-Source Visual Analytics Framework for Multi-Objective Optimization using LLM-Based Code Generation and MCDM
[arXiv] 2026-03-02 | PanCanBench: A Comprehensive Benchmark for Evaluating Large Language Models in Pancreatic Oncology
[arXiv] 2026-03-02 | Perspective-Equivariant Fine-tuning for Multispectral Demosaicing without Ground Truth
[arXiv] 2026-03-02 | Single-photon emitters and spin-photon interfaces in silicon
[arXiv] 2026-03-02 | Adaptive Confidence Regularization for Multimodal Failure Detection
[arXiv] 2026-03-02 | From Leaderboard to Deployment: Code Quality Challenges in AV Perception Repositories
[arXiv] 2026-03-02 | Cuboids are canonically Ramsey
[arXiv] 2026-03-02 | Does the Market Anticipate? Can it? Should it?
[arXiv] 2026-03-02 | Perfect discrete Morse functions on Stratifoldds
[arXiv] 2026-03-02 | Quasiparticle level alignment in anthracene-MoS2 heterostructures
[arXiv] 2026-03-02 | Link between bipartite and general unicellular toroidal maps via slit--slide--sew bijections
[arXiv] 2026-03-02 | Reservoir Subspace Injection for Online ICA under Top-n Whitening
[arXiv] 2026-03-02 | Organizing, Orchestrating, and Benchmarking Agent Skills at Ecosystem Scale
[arXiv] 2026-03-02 | Controlling Terahertz Spintronic Photocurrents in 2D-Semiconductor|Ferromagnet Heterostructures through a Functional Hybrid Interface
[arXiv] 2026-03-02 | Kinetic energy fluctuations and specific heat in generalized ensembles
[arXiv] 2026-03-02 | Line Defects in Liouville Conformal Field Theory: Localized Cosmological Constants and Decohered Hyperbolic Geometries
[arXiv] 2026-03-02 | Investigating the short-term effects of particulate matter (PM) chemical components on mortality and the potential modifying effect of extreme temperature: A time-series analysis in London
[arXiv] 2026-03-02 | Boltzmann-based Exploration for Robust Decentralized Multi-Agent Planning
[arXiv] 2026-03-02 | 3D Field of Junctions: A Noise-Robust, Training-Free Structural Prior for Volumetric Inverse Problems
[arXiv] 2026-03-02 | Anisotropic Diffusion in Lyotropic Chromonic Liquid Crystal using Fluorescence Recovery After Photobleaching
[arXiv] 2026-03-02 | Machine Learning (ML) library in Linux kernel
[arXiv] 2026-03-02 | Turbulence generation and data assimilation in wall-bounded flows with a latent diffusion model
[arXiv] 2026-03-02 | LLMs as Strategic Actors: Behavioral Alignment, Risk Calibration, and Argumentation Framing in Geopolitical Simulations
[arXiv] 2026-03-02 | Nano-EmoX: Unifying Multimodal Emotional Intelligence from Perception to Empathy
[arXiv] 2026-03-02 | Low-$T/|W|$ instabilities in differentially rotating neutron stars resembling merger remnants
[arXiv] 2026-03-02 | Orchestrating Multimodal DNN Workloads in Wireless Neural Processing
[arXiv] 2026-03-02 | Milliscale: Fast Commit on Low-Latency Object Storage
[arXiv] 2026-03-02 | Generalization of the catenary in the dual plane
[arXiv] 2026-03-02 | Sampling from the antiferromagnetic Ising model on bipartite, regular expander graphs
[arXiv] 2026-03-02 | MMNavAgent: Multi-Magnification WSI Navigation Agent for Clinically Consistent Whole-Slide Analysis
[arXiv] 2026-03-02 | Levitated Ferromagnetic Torsional Oscillators for High-Precision Magnetometry and Probing Exotic Interactions
[arXiv] 2026-03-02 | Cognitive Prosthetic: An AI-Enabled Multimodal System for Episodic Recall in Knowledge Work
[arXiv] 2026-03-02 | Subcubic Coin Tossing in Asynchrony without Setup
[arXiv] 2026-03-02 | Scaling Laws of SignSGD in Linear Regression: When Does It Outperform SGD?
[arXiv] 2026-03-02 | Hilbert--Schmidt stability for graph products
[arXiv] 2026-03-02 | MetaRCA: A Generalizable Root Cause Analysis Framework for Cloud-Native Systems Powered by Meta Causal Knowledge
[arXiv] 2026-03-02 | Characterization of Blind Code Rate Recovery in Linear Block Codes
[arXiv] 2026-03-02 | Explicit asymptotics of coupling matrix elements for central potentials in the hyperspherical harmonics expansion method
[arXiv] 2026-03-02 | Functional countability and exponential separability of product spaces and subspaces
[arXiv] 2026-03-02 | CausalWrap: Model-Agnostic Causal Constraint Wrappers for Tabular Synthetic Data
[arXiv] 2026-03-02 | Noise-Calibrated Inference from Differentially Private Sufficient Statistics in Exponential Families
[arXiv] 2026-03-02 | A theoretical model for quantifying the imprinting sensitivity of direct-drive inertial confinement fusion implosions
[arXiv] 2026-03-02 | Mitigating topology biases in Graph Diffusion via Counterfactual Intervention
[arXiv] 2026-03-02 | According to Me: Long-Term Personalized Referential Memory QA
[arXiv] 2026-03-02 | Liftings of Sobolev maps into closed Riemannian manifolds via double coverings and minimal connections relative to planar sets, with an application to ferronematics
[arXiv] 2026-03-02 | Quantum Network Simulation and Emulation: A Roadmap for Quantum Internet Design
[arXiv] 2026-03-02 | Robust White Blood Cell Classification with Stain-Normalized Decoupled Learning and Ensembling
[arXiv] 2026-03-02 | Density-Matrix Spectral Embeddings for Categorical Data: Operator Structure and Stability
[arXiv] 2026-03-02 | CharacterFlywheel: Scaling Iterative Improvement of Engaging and Steerable LLMs in Production
[arXiv] 2026-03-02 | A System-of-Systems Convergence Paradigm for Societal Challenges of the Anthropocene
[arXiv] 2026-03-02 | The Chebyshev Polynomial Series Frequency Modulation Model for Waveform Design and Analysis
[arXiv] 2026-03-02 | Assessing Hemodynamic Impact of Tissue-Engineered Vascular Graft Displacement: Combining Postoperative in vivo Results and Computational Modeling to Improve Surgical Planning
[arXiv] 2026-03-02 | Some properties of minimally nonperfectly divisible graphs
[arXiv] 2026-03-02 | AMemGym: Interactive Memory Benchmarking for Assistants in Long-Horizon Conversations
[arXiv] 2026-03-02 | CoVAE: correlated multimodal generative modeling
[arXiv] 2026-03-02 | SoK: Is Sustainable the New Usable? Debunking The Myth of Fundamental Incompatibility Between Security and Sustainability
[arXiv] 2026-03-02 | The Poincaré polynomial of the type B analogue of $\overline{\mathcal{M}}_{0,n+1}$
[arXiv] 2026-03-02 | Semantic Similarity is a Spurious Measure of Comic Understanding: Lessons Learned from Hallucinations in a Benchmarking Experiment
[arXiv] 2026-03-02 | When Numbers Tell Half the Story: Human-Metric Alignment in Topic Model Evaluation
[arXiv] 2026-03-02 | Hadronic description of nuclear matter and neutron star properties
[arXiv] 2026-03-02 | BAWSeg: A UAV Multispectral Benchmark for Barley Weed Segmentation
[arXiv] 2026-03-02 | A Hetero-functional Graph State Estimator for Watershed Systems: Application to the Chesapeake Bay
[arXiv] 2026-03-02 | Bound Propagation meets Constraint Simplification: Improving Logic-based XAI for Neural Networks
[arXiv] 2026-03-02 | PAC Finite-Time Safety Guarantees for Stochastic Systems with Unknown Disturbance Distributions
[arXiv] 2026-03-02 | Existence and uniqueness of time-periodic solutions of the 2D and 3D convective Brinkman-Forchheimer extended Darcy equations
[arXiv] 2026-03-02 | Performance comparison of Python, MATLAB and R for numerical solutions of SI and SIR epidemiological models
[arXiv] 2026-03-02 | FLANS at SemEval-2026 Task 7: RAG with Open-Sourced Smaller LLMs for Everyday Knowledge Across Diverse Languages and Cultures
[arXiv] 2026-03-02 | Normal approximation for partial sums: general convex costs
[arXiv] 2026-03-02 | Two characters on one punctured Riemann surface
[arXiv] 2026-03-02 | B-fields And dust in interstelLar fiLAments using Dust POLarization (BALLAD-POL): VI. Grain alignment mechanisms in the massive quiescent filament G16.96+0.27 using dust polarization observations from JCMT/POL-2
[arXiv] 2026-03-02 | VietSuperSpeech: A Large-Scale Vietnamese Conversational Speech Dataset for ASR Fine-Tuning in Chatbot, Customer Support, and Call Center Applications
[arXiv] 2026-03-02 | Generative Visual Chain-of-Thought for Image Editing
[arXiv] 2026-03-02 | Empirical Impact of Dimensionality on Random Geometric SAT
[arXiv] 2026-03-02 | SEAR: Sample Efficient Action Chunking Reinforcement Learning
[arXiv] 2026-03-02 | A Relationship between the Molecular Parity-Violation Energy and the Electronic Chirality Measure
[arXiv] 2026-03-02 | Systematic Survey on Privacy-Preserving Architectures for IoT and Vehicular Data Sharing: Techniques, Challenges, and Future Directions
[arXiv] 2026-03-02 | Absolute scintillator light yield correction for SiPIN readout via Transfer Matrix Method and Geant4 optical simulation
[arXiv] 2026-03-02 | Rupture-Repair Cycles in Regenerating Hydra Tissues
[arXiv] 2026-03-02 | Characterization of the novel transposon Tn7722 harboring bla NDM-1 : Insights into the evolutionary dynamics of resistance in Klebsiella pneumoniae
[arXiv] 2026-03-02 | Uniform-in-time concentration in two-layer neural networks via transportation inequalities
[arXiv] 2026-03-02 | FireRed-OCR Technical Report
[arXiv] 2026-03-02 | Affine Correspondences in Stereo Vision: Theory, Practice, and Limitations
[arXiv] 2026-03-02 | Beyond the Big Jump: A Perturbative Approach to Stretched-Exponential Processes
[arXiv] 2026-03-02 | Time-dependent adiabatic elimination in matter-wave optics
[arXiv] 2026-03-02 | OpenAutoNLU: Open Source AutoML Library for NLU
[arXiv] 2026-03-02 | Deep Learning for Financial Time Series: A Large-Scale Benchmark of Risk-Adjusted Performance
[arXiv] 2026-03-02 | Recent developments and applications of the relativistic chiral nuclear force
[arXiv] 2026-03-02 | Orbital-Dependent Dimensional Crossover of a $p$-Wave Feshbach Resonance
[arXiv] 2026-03-02 | Nature abhors macroscopic superpositions
[arXiv] 2026-03-02 | GCTAM: Global and Contextual Truncated Affinity Combined Maximization Model For Unsupervised Graph Anomaly Detection
[arXiv] 2026-03-02 | Localized Curvature Domination and Rigidity of Harmonic Maps
[arXiv] 2026-03-02 | Tokens All the Way Down: A Money View of Decentralized Finance
[arXiv] 2026-03-02 | Incremental, inconsistency-resilient reasoning over Description Logic Abox streams
[arXiv] 2026-03-02 | Sensitivity of Isotopic Fission Yields in Actinides to the Macroscopic Liquid-Drop Model: LSD vs ISOLDA
[arXiv] 2026-03-02 | ALTER: Asymmetric LoRA for Token-Entropy-Guided Unlearning of LLMs
[arXiv] 2026-03-02 | Co-Evolutionary Multi-Modal Alignment via Structured Adversarial Evolution
[arXiv] 2026-03-02 | Disk-Resident Graph ANN Search: An Experimental Evaluation
[arXiv] 2026-03-02 | AnnoABSA: A Web-Based Annotation Tool for Aspect-Based Sentiment Analysis with Retrieval-Augmented Suggestions
[arXiv] 2026-03-02 | CHLU: The Causal Hamiltonian Learning Unit as a Symplectic Primitive for Deep Learning
[arXiv] 2026-03-02 | DGNet: Discrete Green Networks for Data-Efficient Learning of Spatiotemporal PDEs
[arXiv] 2026-03-02 | Meta-Learning Hyperparameters for Parameter Efficient Fine-Tuning
[arXiv] 2026-03-02 | Unifying Heterogeneous Multi-Modal Remote Sensing Detection Via Language-Pivoted Pretraining
[arXiv] 2026-03-02 | Spatially inhomogeneous confinement-deconfinement phase transition in accelerated gluodynamics
[arXiv] 2026-03-02 | Some criteria for Gorensteinness via Gorenstein projective cotorsion pairs
[arXiv] 2026-03-02 | Leveraging Model Soups to Classify Intangible Cultural Heritage Images from the Mekong Delta
[arXiv] 2026-03-02 | Temporal Representations for Exploration: Learning Complex Exploratory Behavior without Extrinsic Rewards
[arXiv] 2026-03-02 | Growth factor in teleparallel Gauss-Bonnet gravity
[arXiv] 2026-03-02 | On-surface synthesis and aromaticity of large cyclocarbons
[arXiv] 2026-03-02 | Efficient RLVR Training via Weighted Mutual Information Data Selection
[arXiv] 2026-03-02 | On the expected value of energy in groups
[arXiv] 2026-03-02 | An Investigation of the Relation Between Immersion and Learning Across Three Domains
[arXiv] 2026-03-02 | Assessing Crime Disclosure Patterns in a Large-Scale Cybercrime Forum
[arXiv] 2026-03-02 | On the Stability Connection Between Discrete-Time Algorithms and Their Resolution ODEs: Applications to Min-Max Optimisation
[ACM] 2026-3-2 | A Systematic Literature Review on Large Language Models for Automated Program Repair
[IEEE] 2026-3-2 | CMA-AutoFusion: Cross-Modal Attention with Auto-Fusion for EEG–fNIRS Motor-Imagery Decoding
[IEEE] 2026-3-2 | Analysis of Global Rise of AI in Multi-domain Military Operations
[IEEE] 2026-3-2 | Controller Deadlocks in AMSs with Various Resource Utilization Maximally Permissive
[IEEE] 2026-3-2 | Optimizing YOLOv8 for Small Object Detection in UAV Imagery: A Knowledge Distillation Approach
[IEEE] 2026-3-2 | A Collaborative Initiative to Empower and Inspire Young Women in STEM through Emerging Technologies Education focussing on Innovation, Knowledge Sharing and Practical Exposure
[IEEE] 2026-3-2 | Dynamic Route Planning Method for Emergency Material Transportation Based on Vehicle-Road-Cloud Collaboration
[IEEE] 2026-3-2 | Ontology-Based Integration and Analysis of NoSQL and RDF Data for IoT-Driven Healthcare Systems
[IEEE] 2026-3-2 | Effects of Athletic Status on Plantar Pressure Distribution and Biomechanical Foot Health in Children and Adolescents
[IEEE] 2026-3-2 | Automated Parkinson's Disease Identification and Diagnosis Via an Advanced Deep Learning Framework
[IEEE] 2026-3-2 | A Modular Triggering Method for Traditional Sensors Based on GreenPAK SLG46110V
[IEEE] 2026-3-2 | GTR-SQL: Graph Pruning, Tournament Selection, and Taxonomy Repair for Text-to-SQL
[IEEE] 2026-3-2 | Changes Using Machine Learning on Nasa Multi-Omics Data
[IEEE] 2026-3-2 | Multi-Level Driver Fatigue Detection Using EEG Signals with CNN—LSTM Models in a Compressed Sensing Framework
[IEEE] 2026-3-2 | A NeRF-Transformer Hybrid Framework for High-Quality 3D Scene Reconstruction and Contextual Interpretation
[IEEE] 2026-3-2 | A Wideband Differential 300 GHz SPDT Switch with Low Insertion Loss in SiGe 130 nm BiCMOS Technology
[IEEE] 2026-3-2 | Incremental Rough-PCA Integrated Framework for Adaptive Malware Detection and Classification
[IEEE] 2026-3-2 | An Automatic Knowledge Extraction Method for Penetration Testing Based on Transfer Learning
[IEEE] 2026-3-2 | FCMF-UNetFormer: A Full-Connected Multi-Scale Fused UNetFormer for Urban Scene Parsing
[IEEE] 2026-3-2 | vPID: An Enhanced PID Controller with Variation Model Filter for Robust Motion System Control
[IEEE] 2026-3-2 | Analyzing Gender Disparities in STEM Leadership: An Analytical Study of Engineering Institutions in Delhi
[IEEE] 2026-3-2 | Bridging the Patch Gap: Analyzing Ransomware Exploitation Tactics Over Extended Vulnerability Dwell Times
[IEEE] 2026-3-2 | Miniaturized 47 GHz Antenna Design for Emerging Millimeter-Wave Technologies
[IEEE] 2026-3-2 | Short-Term Gains vs. Long-Term Success: Reward Strategy Design for Reinforcement Learning in Football
[IEEE] 2026-3-2 | Enhanced Software Fault Prediction Using Machine Learning
[IEEE] 2026-3-2 | A Machine Learning Framework for Detecting Phishing Websites Through URL Feature Analysis and API Integration
[IEEE] 2026-3-2 | Real-Time Cross-Project Software Fault Prediction using Transfer Learning, Online Learning and Auto ML
[IEEE] 2026-3-2 | Comparative Assessment of U-Net and Pix2Pix for Applying Direct Attenuation Correction in the Image Domain in ${ }^{68}$ Ga-PSMA PET/CT Imaging
[IEEE] 2026-3-2 | Playmaking: A Task-fMRI Study
[IEEE] 2026-3-2 | SignSpeak: AI-Powered Real-Time Sign Language Interpretation with Deep Learning and Speech Synthesis
[IEEE] 2026-3-2 | Target Probability-guided Multi-UAV Cooperative Search and Mission Planning
[IEEE] 2026-3-2 | Predicting Sleep Efficiency and Apnea Index Using ECG-Derived and Sleep Quality Features: A Machine Learning Approach
[IEEE] 2026-3-2 | Capacitance to Digital Converter Using MASH Sigma-Delta ADC Architecture for IoT Sensor Applications
[IEEE] 2026-3-2 | Performance Trade-offs of MIMO Communication Systems: Alamouti versus Zero-Forcing
[IEEE] 2026-3-2 | Power-Area Efficient Hardware Architecture Design of 2D FIR Filter using CSD
[IEEE] 2026-3-2 | Optimization Convolutional Neural Networks using Particle Swarm Optimization for Malaria Disease Cell Classification
[IEEE] 2026-3-2 | Performance Evaluation of Advanced Control Strategies for Microgrids Using ANOVA-Based Statistical Analysis
[IEEE] 2026-3-2 | Motor-Imagery Electroencephalography signal decoding Using ICA and Machine Learning for Prosthetic Control
[IEEE] 2026-3-2 | Identification of Chinese Internet neologism and Implicit Sentiment Analysis Based on COT
[IEEE] 2026-3-2 | Wavelet-Fusion WMD-Net for Detecting Multi-Scale Ships in Complex SAR Scenes
[IEEE] 2026-3-2 | Deep Learning for Drylands: Intelligent Sensing to Transform Agriculture in Arid Regions
[IEEE] 2026-3-2 | Derivation of the Benchmark Models of Gyroscope and 3-DoF Robotic Arm via Euler-Lagrange Equation
[ACM] 2026-3-2 | Privacy-Aware Sharing of Raw Spatial Sensor Data for Cooperative Perception
[ACM] 2026-3-2 | mmRidge: Revealing Emergent Crowd Flow Structures with mmWave MIMO Radar
[IEEE] 2026-3-2 | Analysis and Optimization of Multi-Active RIS Assisted Cell-Free Massive MIMO
[IEEE] 2026-3-2 | Torque Ripple Suppression for High-speed Slotless PMSM Considering Unbalanced Back-EMF and Dead-time Effect
[IEEE] 2026-3-2 | Transformer-Driven Multi-Center Manifold Modeling Deep SVDD for Anomaly Detection in IIoT Networks
[IEEE] 2026-3-2 | Fast-Tactical Diffusion for On-Board UAV Spectrum-Level Signal Deception
[IEEE] 2026-3-2 | A Low-Capacitance Long-Strip Electrode Design for Fast-Switching Vertical SiC PCSS
[IEEE] 2026-3-2 | <i>K</i>
                    -means and DDPG Based Access Point Deployment Strategy in Cell-Free Massive MIMO Systems with Hybrid Energy Supply
[IEEE] 2026-3-2 | Editorial Board
[IEEE] 2026-3-2 | 2026 IEEE-IAS/ACA Cement Conference
[IEEE] 2026-3-2 | UDFStudio: A Unified Framework of Datasets, Benchmarks and Generative Models for Unsigned Distance Functions_supp1-3668763.pdf
[IEEE] 2026-3-2 | LED Lighting Influence on the Radiation Response of Erbium-Doped Fiber Amplifiers
[IEEE] 2026-3-2 | Fully Cooperative MADRL for Energy Efficient Resource Allocation in D2D Communications
[IEEE] 2026-3-2 | Learn Geospatial Correlations for Remote Sensing Image Change Detection
[IEEE] 2026-3-2 | Neutral-Point Potential Oscillation Suppression and Common-Mode Voltage Elimination in Three-Level Inverter-Fed Dual Three-Phase PMSM Drives
[IEEE] 2026-3-2 | Fuzzy Rule-guided Multi-view Differentiable Representation Learning with Dual-Space Information Extraction
[IEEE] 2026-3-2 | Open-Set Deepfake Detection: A Parameter-Efficient Adaptation Method with Forgery Style Mixture
[IEEE] 2026-3-2 | Sparse Representation Methods for Effective Data Recovery in Wireless Sensor Networks: A Review
[IEEE] 2026-3-2 | A Laser Scanning Device for Cryogenic Beam Steering At 20 Millikelvin
[IEEE] 2026-3-2 | Welcome Messages
[IEEE] 2026-3-2 | ACAI 2025 Cover Page
[IEEE] 2026-3-2 | Author Index
[IEEE] 2026-3-2 | Self-Adaptive Density Peak Clustering through Aggregation of Multiple Similarity Matrices in Heterogeneous Information Networks
[IEEE] 2026-3-2 | Authenticity, Aesthetic Quality, and Audience Engagement in AI-Generated Virtual Performance: A Structural Equation Modeling Approach
[IEEE] 2026-3-2 | Construction and Dynamic Evolution of an Urban Renewal Policy Knowledge Graph Integrating Multi-Source Data
