[2026-06-26 23:06:21] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-25
正在获取论文...
[arXiv] 2026-06-25 | CLIR: Liveness-Driven and Structure-Aware Fuzzing for the Cranelift Compiler
[arXiv] 2026-06-25 | DKVE: Decentralized Key Validation for End-to-End Encrypted Messaging
[arXiv] 2026-06-25 | Learning Probabilistic Filters with Strictly Proper Scoring Rules
[arXiv] 2026-06-25 | Broad-band Spectral Modeling of Large-Scale X-ray Jets in High-Redshift Quasars: An MHD-Informed Approach
[arXiv] 2026-06-25 | Graph Structures for Local Distinguishability of Quantum Product States
[arXiv] 2026-06-25 | An algebraic study of ideals of weak graph homomorphisms
[arXiv] 2026-06-25 | Generating Special Triangulations with Transformers
[arXiv] 2026-06-25 | The Shift to Agentic AI: Evidence from Codex
[arXiv] 2026-06-25 | RG Running of Multiple Neutrino Mixing Parameters at Oscillation Experiments
[arXiv] 2026-06-25 | Detectors for CLASS-W2: The second 90 GHz telescope of the Cosmology Large Angular Scale Surveyor
[arXiv] 2026-06-25 | Semimartingale Optimal Transport with Jumps: A General Framework and Equivalent Formulations
[arXiv] 2026-06-25 | Almost EFX in Hypergraphs
[arXiv] 2026-06-25 | Semiparametric Inference for Half-Trek Estimators in Linear Structural Equation Models
[arXiv] 2026-06-25 | Homogeneity actions, N-manifolds, and the Frobenius theorem
[arXiv] 2026-06-25 | Finding Stationary Points by Comparisons
[arXiv] 2026-06-25 | On categories of monads and comonads in double categories
[arXiv] 2026-06-25 | Complementing Emerson-Lei Elevator Automata (Technical Report)
[arXiv] 2026-06-25 | Dust Formation in Common Envelope Binary Interactions -- III. Lightcurves
[arXiv] 2026-06-25 | Average Distortion of Commensurators of Hyperbolic Groups
[arXiv] 2026-06-25 | On the parabolic Hausdorff dimension of orthogonal projections
[arXiv] 2026-06-25 | Unveiling the roles of thermal and nonthermal processes in the ISM & IGM structure formation and evolution of galaxies with SKAO
[arXiv] 2026-06-25 | Cleaning Logs for Downstream Tasks (Registered Report)
[arXiv] 2026-06-25 | Quantum statistics on atom-ion Feshbach resonances
[arXiv] 2026-06-25 | The Model Checking Problem for Distributed Knowing How is $Δ^p_2$-Complete
[arXiv] 2026-06-25 | Almost Optimal Multiple Source Shortest Paths and Reachability
[arXiv] 2026-06-25 | Witness expansion: A unified framework for analytical and measurable mixed-state resource detection
[arXiv] 2026-06-25 | CHIA: An open-source framework for principled, agentic AI-driven hardware/software co-design research
[IEEE] 2026-6-25 | Message from the General Co-Chairs
[IEEE] 2026-6-25 | Poster Abstract: HiSim — Sensor-Stream Cosine Health Index for Early-Stage Monitoring
[IEEE] 2026-6-25 | Demo Abstract: An On-Device Mobile GUI Agent System with Online Exploration
[IEEE] 2026-6-25 | A Semi-Parametric Ridge-Stabilized Regression Framework Using Natural Cubic Splines
[IEEE] 2026-6-25 | Photovoltaic Output Prediction Method Based on Time-Frequency Clustering Optimization
[ACM] 2026-6-26 | VFDelta: A Framework for Detecting Silent Vulnerability Fixes by Enhancing Code Change Learning
[ACM] 2026-6-26 | Cross-platform GPU Implementation of OpenFOAM Using Only ISO C++ standard parallelism.
[IEEE] 2026-6-26 | Digital Twin Model of Smart Transportation and Maritime Systems for Resource Efficiency and Operational Optimization
[IEEE] 2026-6-26 | Thermodynamic Model to Evaluate the Efficiency and Economic Benefit of a Two Spool Engine: Integration of AI and Smart Data for Sustainable Engineering Systems and Comparison to GE CF34
[IEEE] 2026-6-26 | Explainable Denoising Networks: Interpretable Noise Reduction in Digital Images via Pixel-Level
[IEEE] 2026-6-26 | Real-Time Cognitive Control Architecture for Predictive Web Performance Governance in LargeScale Distributed Cloud Systems
[IEEE] 2026-6-26 | IEEE Reliability Magazine Publication Information
[IEEE] 2026-6-26 | Integrating AI-Powered Communication Strategies for Sustainable Leadership and Innovation Development
[IEEE] 2026-6-25 | Ellipsoid Control: A White-list Jailbreak Defense via Benign Latent Modeling
[IEEE] 2026-6-25 | EGGNet: Learning Temporal Boundaries of Glottal Cycles from Electroglottography
[IEEE] 2026-6-26 | AI-Based Optimization of Energy Conversion and Resource Utilization in Smart Industrial and Maritime Systems Using Data-Driven Approaches
[IEEE] 2026-6-26 | CHIEF Optimizes System Diagnosis and Predicts Network Health through AI Analytics
[IEEE] 2026-6-25 | PlagiAct: Measurement Instrument of STEM Student Attitudes Toward Academic Dishonesty in the AI Era
[IEEE] 2026-6-25 | TID-Tolerant StrongARM Comparator and Sampling Network for Satellite Application High-Voltage ADCs
[IEEE] 2026-6-26 | Phase transitions and magnetocaloric effect study on
                    <i>
                      Co
                      <sub>2</sub>
                      NiGa
                    </i>
                    glass-coated Heusler microwire
[IEEE] 2026-6-25 | Multi-Period Dynamic Optimization Framework for Manufacturers' Green Strategy Under Carbon Policies
[IEEE] 2026-6-26 | Consumer Choice of AI Assisted Traceable Sustainable Food Products in the Vietnamese Market: The Roles of Data Transparency and Information Trust
[IEEE] 2026-6-26 | LHGLink: LLM—Enhanced Heterogeneous Graph Learning for Issue–Issue Link Prediction
[IEEE] 2026-6-26 | Generalizable Deep Learning for Aerosol and Cloud Segmentation in Ground-Based and Spaceborne Lidar Observations
[IEEE] 2026-6-25 | Adaptive Radar Detection in joint Range-Azimuth Space based on the Hierarchical Latent Variable Model
[IEEE] 2026-6-26 | Hybrid Biometric System Using Eyewitness Testimonies and Face Profile Images
[IEEE] 2026-6-26 | Low-Sidelobe Fixed-Frequency Leaky-Wave Antenna Using Amplitude-Phase Control and Decoupling Structure
[IEEE] 2026-6-25 | Distributed Interference Avoidance in LoRaWAN via Spectral Features and Decision Tree
[IEEE] 2026-6-25 | FCRL-Net: Identity-Invariant Forgery-Centric Representation Learning for Generalizable and Audio Deepfake Detection
[IEEE] 2026-6-26 | EDRCT: An Enhanced Dual-Response Collision Tree Anti-collision Protocol for High-Density Mobile RFID Tags Identification_supp1-3705422.pdf
[IEEE] 2026-6-25 | Spiking Neural Networks for Log-Based Anomaly Detection: A Survey, Taxonomy, and Roadmap on Energy-Efficient Neuromorphic Log Analysis
[IEEE] 2026-6-25 | Hierarchical Gated Transformer with Visual Saliency for No-Reference Image Quality Assessment
[IEEE] 2026-6-26 | Mitigation of Dopant Deactivation in Heavily Phosphorus-doped Silicon via Nitrogen Co-implantation
[IEEE] 2026-6-25 | Dual-Galvanometer-Based Active Stereo Vision for Large-FOV High-Precision 3D Reconstruction of Moving Objects
[IEEE] 2026-6-26 | Carbon Electrodes Coupled with Paper-Based Microfluidics for Simultaneous Electrochemical Detection of Cadmium and Lead
[IEEE] 2026-6-25 | Safe Learning Control with Optimality and Stability Guarantees
[IEEE] 2026-6-25 | A New RNN Model for Digital Predistortion: Unlocking Low Complexity and Exponential Activation
[ACM] 2026-6-25 | A Theory of Probabilistic Contracts
[IEEE] 2026-6-25 | Poster: AoA-Based Bluetooth System for Precise Indoor Localization
[IEEE] 2026-6-25 | Demo Abstract: Hierarchical Hexagonal Spatial Data Representation in Sparse Sensor Networks: A Case Study in Regional Forest Fire Prediction
[IEEE] 2026-6-25 | Poster Abstract: High-Altitude Vision-Based Stabilization with Tracking-Assisted Perception and Safety-Aware Reinforcement Learning
[IEEE] 2026-6-25 | Enhancing Sentiment Analysis with Emojis: A Comprehensive Survey of Methods, Applications, and Future Directions
[IEEE] 2026-6-25 | Reference-Free Manga Colorization Via Semanticguided Latent Diffusion Models
[IEEE] 2026-6-25 | Prediction of Neutron Flux in Lead-Based Reactors Based on an Improved Random Forest Model
[ACM] 2026-6-25 | L-SCALE: Locality-Sensitive Coverage for Automata LEarning
[ACM] 2026-6-25 | HYDRA: A Hybrid Heuristic-Guided Deep Representation Architecture for Predicting Latent Zero-Day Vulnerabilities in Patched Functions
[IEEE] 2026-6-25 | A Material-Embedded Physics-Informed Neural Network for Interior SAR Evaluation From Sparse Boundary Samplings_supp1-3706354.docx
[ACM] 2026-6-25 | Machine Unlearning with Minimal Gradient Dependence for High Unlearning Ratios
[ACM] 2026-6-26 | The Memory Scaling of Reverse-Mode Differentiation in Particle Accelerator Simulations with Space Charge
[ACM] 2026-6-26 | Multi-Tiered Microbenchmark Regression Detection in a Production Database CI Pipeline
[IEEE] 2026-6-25 | Exploring Factors Influencing Human-Autonomy Teams in Automated Driving System Operations
[IEEE] 2026-6-26 | Improved IGBT Aging Diagnosis for Three-Phase Inverters via Phase-Angle Feature Redesign and Kernel SHAP Analysis
[IEEE] 2026-6-26 | Active Power Backflow Suppression Strategy for Hybrid Cascaded H-Bridge PV Grid-Connected Inverters under Inter-Phase Short-Circuit Faults
[IEEE] 2026-6-26 | Resource Efficient Edge Wake-Up: A Blind Vibration Metric for Battery Powered Industrial IoT
[IEEE] 2026-6-26 | Improved EAC Method for Transient Synchronization Stability Analysis of Grid-following VSC systems
[IEEE] 2026-6-26 | Low-Energy Battery State Estimation for EVs Using Hybrid SNN-LSTM for Heterogeneous System-on-Chip Architectures
[IEEE] 2026-6-25 | Resilient Consensus for Networked Systems with Hidden Nodes and Edges: Detection, Isolation, and Control
[IEEE] 2026-6-26 | IEEE Robotics and Automation Society Publication Information
[IEEE] 2026-6-25 | Mobile Pedipulation for Object Sliding Via Hierarchical Control on a Wheeled Bipedal Robot
[IEEE] 2026-6-25 | Infrared Small Target Detection via Structure-Aware Weighted Improved Ring Local Contrast Measure
[IEEE] 2026-6-25 | Efficient Classification of Brain Tumor Using a Self-Attention and Skip Connections Based Deep Network
[IEEE] 2026-6-25 | GNSS-A Ranging Model With Acoustic Delay Corrections Achieving Centimeter-Level-Precision Positioning
[IEEE] 2026-6-26 | Hadamard-Based Recursive Aperture Decoded Ultrasound Imaging (READI) With Estimated Motion-Compensated Compounding ( EMC ) Using Top-Orthogonal to Bottom Electrode (TOBE) Arrays_supp1-3704971.pdf
[IEEE] 2026-6-26 | FinTech Adoption in the Digital Age: A Holistic Framework Addressing Trust, Culture, and Technological Factors
[IEEE] 2026-6-26 | Energy Efficiency and Spectral Efficiency Tradeoff in RIS-Aided Cell-Free Massive MIMO Network
[IEEE] 2026-6-26 | SoDa
                    <sup>2</sup>
                    : Single-Stage Open-Set Domain Adaptation via Decoupled Alignment for Cross-Scene Hyperspectral Image Classification
[IEEE] 2026-6-26 | EEG-Based Mental Arithmetic Classification for Cognitive Workload Estimation
[IEEE] 2026-6-26 | The Impact of AI DNA Marketing on Corporate Efficiency
[IEEE] 2026-6-26 | Thermodynamical Valorisation of Palm Oil Biomass: A Review of Pyrolysis, Gasification, and Biochar Production Pathways
[IEEE] 2026-6-25 | Backdoor Sample Detection through Progressive Perturbation and Loss Trajectory Analysis
[IEEE] 2026-6-26 | Crop row segmentation using deep learning for autonomous agricultural robots in precision farming
[IEEE] 2026-6-25 | TransCNN-MLDFN: A Multi-level Dynamic Fusion Framework for Incomplete Palmprint and Palm Vein Recognition
[IEEE] 2026-6-25 | Extending the MPIE Galerkin MoM Thin Wire Formulation to Include Arbitrarily Oriented or Curvilinear Wires with Finite Conductivity
[IEEE] 2026-6-26 | Extended Multi-Branch Basis Functions for the Method of Moments Analysis of Nonconformal Problems
[IEEE] 2026-6-25 | Upper Bounding the Capacity of Bandlimited AWGN Channels with Peak-Amplitude-Limited Inputs
[IEEE] 2026-6-26 | Data-driven and Learning-based Control of Autonomous Systems
[IEEE] 2026-6-25 | Small-Perturbation Adversarial Example Detection via Proactive Decision Boundary Bending
[IEEE] 2026-6-26 | Unimodular Waveform Design for Blanket Jamming Suppression via Manifold Optimization
[IEEE] 2026-6-26 | A Software Component for Real-Time Automotive Communications Over Ethernet 10BASE-T1S
[IEEE] 2026-6-26 | Thermal Performance Analysis of Retrofilled Power Transformers
[IEEE] 2026-6-26 | Trend-Constrained Physics-Guided Neural Network With Prior-Embedded Slow Feature Analysis for Latent-Variable-Driven Industrial Soft Sensing
[IEEE] 2026-6-25 | Covert Capacity-Key Tradeoff over Discrete Memoryless Networks_supp1-3696919.pdf
[ACM] 2026-6-25 | A Six-Year Journey of Data Collecting, Reviewing, and Reporting for the TaihuLight Supercomputer
[ACM] 2026-6-26 | Proceedings of the 1st International Workshop on Dark Software Engineering
[IEEE] 2026-6-25 | Poster Abstract: HydroTrack: Non-Contact Hydration Sensing with Event-Triggered Multimodal Gating
[IEEE] 2026-6-25 | Poster Abstract: Hydro-Meteorological Edge Network for Inflow Monitoring Forecasting
[IEEE] 2026-6-25 | Poster Abstract: Q-Count, Single-Link Wifi CSI People Counting in Quasi-Static Offices
[IEEE] 2026-6-25 | Poster Abstract: Preliminary Investigation of Synthetic IMU Data Augmentation for Smartwatch-Based Human Tracking
[IEEE] 2026-6-25 | Demo Abstract: An Interactive Framework for Interpretable Fault Diagnosis with Graph Neural Networks
[IEEE] 2026-6-25 | Faster Sampling via a Conjugate Gradient Stochastic Gradient Sampler
[IEEE] 2026-6-25 | Reinforcement Learning-Based Identification of Transfer Functions from Frequency Response in Analog Small-Signal Circuits
[IEEE] 2026-6-25 | Evaluation of Machine Learning and Deep Learning Approaches for Latin Script Recognition Using Electromyographic Signals
[ACM] 2026-6-26 | SGAP: A Scatter-Gather Processing-in-Memory Architecture with Fixed-Point Reconfiguration for Energy-Efficient DNNs
[IEEE] 2026-6-26 | Convergence and Visual Interpretation Analysis of ViT and CNN on High Similarity and Imbalance Buddhist Heritage Sites Dataset
[IEEE] 2026-6-26 | Student Startup Success Prediction Using Support Vector Machines and Neural Networks
[IEEE] 2026-6-26 | The Role of Artificial Intelligence in Financial Technology
[IEEE] 2026-6-26 | The Role of Generative Artificial Intelligence in Increasing the Productivity of Audit Firms
[IEEE] 2026-6-26 | Ethical Oversight and Governance in AI-Driven Digital Auditing: Toward Sustainable Innovation
[IEEE] 2026-6-25 | Reinvestigation on Subthreshold Swing of Gate-All-Around Nanosheet FETs in Quantum Limit for Voltage Scaling
[IEEE] 2026-6-25 | Hybrid Model–Data Fault Diagnosis for Wafer Handler Robots: Tilt and Broken Belt Cases
[IEEE] 2026-6-25 | Mobility-Aware Fog-Aided Mobile Crowdsensing: From Spatiotemporal and Continuous-Time Perspective
[IEEE] 2026-6-25 | High-Rate Quantized Matrix Multiplication I
[IEEE] 2026-6-26 | Optimal Joint Energy and Flexibility Market Clearing Considering Uncertain Renewable Resources Using Information Gap Decision Theory
[IEEE] 2026-6-25 | Attention-Based Deep Reinforcement Learning for Logistics and Data Collection in AoI-Aware UAV Networks
[IEEE] 2026-6-26 | Incorporating Realistic Margin Constraints: A Data-Driven Deep Reinforcement Learning Framework for Advanced Portfolio Management
[IEEE] 2026-6-26 | CENav: Complexity-Aware Adaptive Navigation for Quadrotors in Cluttered Environments_supp1-3707349.mp4
[IEEE] 2026-6-25 | A Page–Sector Joint Degradation-Reliability Error Analysis Model for High-Density NAND Flash
[IEEE] 2026-6-25 | Unsupervised Domain Adaptation for SAR Target Classification Based on the SAR-ATR-X Foundation Model
[IEEE] 2026-6-25 | Global gross primary production data fusion by Triple Collocation Analysis from 1992 to 2018
[IEEE] 2026-6-25 | High-Uniformity Wafer-Level Porous TiO
                    <sub>2</sub>
                    -WO
                    <sub>3</sub>
                    Heterojunction Sensor Chips for Highly-Sensitive Ethanol Detection
[IEEE] 2026-6-26 | Design and Implementation of a Novel Olfactory-Enhanced Cardiac Sensing System for Psychological Stress Assessment
[IEEE] 2026-6-25 | PD-RPEB: Heterogeneous Static-Graph Risk Propagation Evaluation and Blocking for Power Distribution Operations
[IEEE] 2026-6-26 | A High-efficiency 500-kW Active-neutral-point-clamped Three-level $LLC$ Converter Based on Loss Reconfiguration Strategy and Nonlinear Loss Effect
[IEEE] 2026-6-25 | Leveraging Multimodal Artificial Intelligence for Occupational Health and Safety: A Deep Learning Approach for Work at Heights
[ACM] 2026-6-26 | Scalable Agentic Reasoning for Designing Biologics Targeting Intrinsically Disordered Proteins
[ACM] 2026-6-26 | QG-STR: Training-Time Optimized Question-Guided Scene Text Recognition via Visual Question Answering
[IEEE] 2026-6-25 | FIRE-Grasp: Failure-Informed Regrasping with multimodal Evidence_supp1-3706934.mp4
[IEEE] 2026-6-25 | Technical Committee: CCAT 2025
[IEEE] 2026-6-25 | Table of Contents
[IEEE] 2026-6-25 | Nonlinear Distortions Equalization in Continuous Time Stretched Photonic ADC using Machine Learning_supp1-3707017.pdf
[IEEE] 2026-6-25 | Copyright Page
[ACM] 2026-6-26 | Patrones Oscuros: a Browser Extension for detecting Dark Patterns in Spanish
[IEEE] 2026-6-25 | Comparative Mathematical Study of Manifold Learning Algorithms with Emphasis on Riemannian Manifold Learning
[IEEE] 2026-6-25 | Poster Abstract: Enhancing PUF Phenotype Authentication with Margin-Based Learning
[IEEE] 2026-6-26 | Predictive Maintenance in Healthcare IoT Infrastructure a Systematic Review
[IEEE] 2026-6-26 | How Artificial Intelligence Strengthens Brand Loyalty: The Mediating Role of Mental Image
[IEEE] 2026-6-26 | The Role of Digital Transformation in Improving Organizational Performance: The Mediating Role of Knowledge Generation
[IEEE] 2026-6-26 | Automated Oral Cancer Image Classification Using MobileNetV2 for Histopathological Analysis
[IEEE] 2026-6-26 | Data-Driven Fault Diagnosis Algorithms for Intelligent Monitoring of Industrial Rotating Machinery
[IEEE] 2026-6-26 | Artificial Intelligence for Tire Tread Inspection in Smart Manufacturing: A Literature Review
[IEEE] 2026-6-26 | The Effect of Financing on Small and Medium Enterprises Performance: A Case Study in Jordanian Banks
[IEEE] 2026-6-26 | Reinforcement learning-based optimization of fertigation scheduling in smart greenhouses for tomato cultivation
[IEEE] 2026-6-26 | GIS Based Optimization of Municipal Solid Waste Collection under Capacity Constraints Using AI in Amman Jordan
[IEEE] 2026-6-26 | Intelligent Sensor Data Processing Methods for Real-Time Control of Mechatronic Manufacturing Systems
[IEEE] 2026-6-26 | The Influence of Perceived Health Benefits, Tourism Transportation, Mental Health, and Motivation on the Development of Wellness Tourism
[IEEE] 2026-6-26 | Whispering Secrets in a Crowd: Leveraging Non-Covert Users for Covert Communications
[IEEE] 2026-6-26 | A Digital Twin of the Air: Singapore’s Hybrid AI Wind Map and the Politics of Urban Space
[IEEE] 2026-6-26 | A Multimodal Self-Supervised Learning Framework for Scene Understanding in Autonomous Driving Systems
[IEEE] 2026-6-25 | Critical-Node-Based Attack Strategy and Resilient Cooperative Control Design for Train Autonomous Circumambulation Systems
[IEEE] 2026-6-25 | Knowledge Graph-Empowered AI Digital Twin Networks
[IEEE] 2026-6-25 | Adaptive Constructive Fuzzy System With Spectral-Bounded Regularization and Dual Rule Selection
[IEEE] 2026-6-26 | Privacy-preserving distributed learning: Techniques, applications, and future challenges
[IEEE] 2026-6-25 | Dynamic capture and evaluation of coastal dune evolution by integrating InSAR and ORS
[IEEE] 2026-6-26 | TED: Towards Explainable and Holistically Aligned Empathetic Dialogue Generation_supp1-3707410.pdf
[IEEE] 2026-6-26 | Fleet-Size Scaling of AUVs: Revisiting the Range Equation
[IEEE] 2026-6-25 | CCCSIN: Color Compensation and Cross-Scale Semantic Information-Guided Network for Underwater Image Enhancement
[IEEE] 2026-6-26 | SA-MPC: Situational Awareness-Driven Model Predictive Control via Vision-SBES Fusion for Robust Underwater Obstacle Avoidance
[IEEE] 2026-6-25 | Halogen substitution in Lead-Free Double Perovskites toward Ultralow-Dose X-ray Detection and Signal Decoding
[IEEE] 2026-6-26 | A Geometric Control Framework for Three-Phase Inverters in Grid-tied Systems
[IEEE] 2026-6-25 | Decentralized Intrusion Detection and Prevention Leveraging Lightweight ML Model for Securing IoMT Networks
[IEEE] 2026-6-26 | A Bilevel Consensus Model Based on Network Game for Maximizing Satisfaction and Minimizing Cost
[IEEE] 2026-6-26 | Toward LLM Democratization: When LLM Meets P2P Network
[IEEE] 2026-6-25 | An Overmodulation Strategy With Dual-Modulation-Index Dynamic Interaction-Based Fundamental Voltage Equivalence Method of Electrolytic Capacitorless PMSM Drives
[IEEE] 2026-6-25 | Learning-based Acoustic Field Focal Point Control for Mid-Air Haptic Rendering
[IEEE] 2026-6-25 | A Ground-Centric UAV-UGV Cooperative System for Autonomous Launch and Recovery
[IEEE] 2026-6-25 | Vision-Assisted Bipedal Locomotion on Challenging Terrains Via Terrain-Related Adversarial Motion Priors
[IEEE] 2026-6-26 | ReaDy-Go: Real-to-Sim Dynamic 3D Gaussian Splatting Simulation for Environment-Specific Visual Navigation with Moving Obstacles_supp1-3707355.mp4
[IEEE] 2026-6-26 | Autonomous Artificial Egg for Natural Incubation Mimicry and Monitoring in_supp3-3704053.mp4
[IEEE] 2026-6-26 | Two-Scale Controllability of a Parameterised BSP Dungeon Generator for Player Flow Optimisation_supp1-3702534.pdf
[ACM] 2026-6-25 | Rude Humans and Vengeful Robots: Examining Human Perceptions of Robot Retaliatory Intentions in Professional Settings
[ACM] 2026-6-25 | Proceedings of the 7th ACM/IEEE International Conference on Automation of Software Test
[ACM] 2026-6-25 | Erratum: Knowledge Graphs vs. Large Language Models: Competitors or Partners in Supporting Virtual Museums
[IEEE] 2026-6-25 | TypiCD: Cognitive Diagnosis via Problem-Type-Guided Bias Correction_supp1-3704627.pdf
[IEEE] 2026-6-25 | Latency Minimization for URLLC in MEC-Enabled IoT Networks With Multi-Connectivity_supp1-3704560.pdf
[IEEE] 2026-6-25 | IEEE Foundation
[IEEE] 2026-6-25 | Recognize Excellence: Computer Science &amp; Engineering Awards
[IEEE] 2026-6-25 | Impacts of SMAP Antenna Pattern on 1413 and 1227 MHz Measurements
[IEEE] 2026-6-25 | IEEE Feedback
[IEEE] 2026-6-25 | Rethinking the Global Knowledge of CLIP in Training-Free Open-Vocabulary Semantic Segmentation_supp1-3699037.pdf
[IEEE] 2026-6-25 | SenSys 2026 Poster and Demo Program Committee
[IEEE] 2026-6-25 | Development and Interpretation of Machine Learning Models for Predicting Low Birth Weight Using Explainable Artificial Intelligence (XAI) Methods
[IEEE] 2026-6-25 | Ageing-Associated Gene Discovery in Human Lung Tissue Through Fully Connected Neural Network (FCNN)
[IEEE] 2026-6-25 | Resting-State EO/EC Discrimination via Alpha–Gamma Permutation Entropy: Sensitivity to Two Quality-Control Levels
[IEEE] 2026-6-25 | Poster Abstract: Privacy-Generalisation Trade-Offs in Federated Learning for Cross-Room Wi-Fi Sensing
[IEEE] 2026-6-25 | Demo Abstract: Envelope-Based 5G mmWave CTC Downlink Communication Protocol for IoT Devices
[IEEE] 2026-6-25 | Poster Abstract: Freehand Computed Tomography on Portable Edge Computing Systems
[IEEE] 2026-6-25 | Demo Abstract: Eventradar: Wide-Area Kilometric UAV Detection Via Propeller-Aware Sensing
[ACM] 2026-6-26 | Serverless Computing for Life-Critical Science: Design Patterns and Co-Design Insights from a Real-Time Earthquake Loss Alert System
[IEEE] 2026-6-25 | Improving Energy Efficiency in Federated Learning Through the Optimization of Communication Resources Scheduling of Wireless IoT Networks
[IEEE] 2026-6-25 | Filters With Gamma Kernel Impulse Response: Realization and Application in Auditory Systems
[IEEE] 2026-6-26 | Towards a High-Throughput Automated Materials Experimentation Platform: Hybrid-Automata-Inspired Modeling and Equipment Configuration Optimization_supp2-3702087.pdf
[IEEE] 2026-6-26 | Guest Editorial: Energy Transition Analysis and Technologies with Hydrogen Solutions and Accessories
[IEEE] 2026-6-25 | Fuzzy Critic Learning for Enhanced Fine-Tuning Policy Optimization
[IEEE] 2026-6-25 | DVSH-GS: Dense-Voxel and Spherical Harmonics Guided Gaussian Splatting for Sparse View Rendering
[IEEE] 2026-6-26 | High Impedance Fault Mathematical Models: A Review
[IEEE] 2026-6-25 | Deep Learning Library Performance Characterization and Optimization for Edge-AI on Mobile GPUs
[IEEE] 2026-6-25 | A Hybrid Edge-Cloud IoT Healthcare System Using ESP32: HIL Validation and SVM-Based Risk Prediction
[IEEE] 2026-6-26 | Iterative Diffusion-Refined Neural Attenuation Fields for Multi-Source Stationary CT Reconstruction: NAF Meets Diffusion Model
[IEEE] 2026-6-26 | MixVIO: Selective Visual-Inertial Odometry Via Phase-Aware Attention and Hybrid Kernel Modeling_supp1-3707325.mp4
[IEEE] 2026-6-25 | Learning Category-level Last-meter Navigation from RGB Demonstrations of a Single-instance
[IEEE] 2026-6-26 | Quantifying the dynamics that link leg tendon vibration to induced periodic postural oscillations in young subjects Differential effects of light touch on the induced sway_supp1-3707473.pdf
[IEEE] 2026-6-25 | Label-Guided Masking and Imputation Network for Incomplete Multi-View Multi-Label Classification
[IEEE] 2026-6-26 | Contrastive Learning for Φ-OTDR Vibration Signal Recognition Based on a Joint Optimization Framework
[IEEE] 2026-6-26 | Snap-Snap: Taking Two Images to Reconstruct 3D Human Gaussians in Milliseconds_supp3-3701298.mp4
[IEEE] 2026-6-25 | A Data-Driven Framework for Power Consumption Forecasting in Disaggregated O-RAN Architectures
[IEEE] 2026-6-25 | A Stackelberg Framework for Product Upgrade Strategies With Forward-Looking Consumers
[IEEE] 2026-6-26 | SSA-CNN-LSTM Based Methods for Evaporation Duct Height Forecasting from Multi-Frequency Reception Signals
[IEEE] 2026-6-25 | A Prefabricated Programmable Metasurface Reverberation Chamber
[IEEE] 2026-6-25 | Hiding in Plain Sight: Camouflaging Real-world Objects
[IEEE] 2026-6-26 | Synthesis and Multi-Technique Characterization of an MnFe
                    <sub>2</sub>
                    O
                    <sub>4</sub>
                    -Loaded Nano-Kaolin Composite
[IEEE] 2026-6-26 | A Bilingual Multimodal System for Intelligent Recipe Recommendation
[IEEE] 2026-6-26 | Front Cover
[IEEE] 2026-6-26 | Effect of Augmented Reality Experiences on Fashion E-purchase Intention of Gen Z in Mekong Delta, Vietnam
[IEEE] 2026-6-26 | Artificial Intelligence in Medical Science as a Therapeutic Factor: A Theoretical and Methodological Analysis
[IEEE] 2026-6-26 | Self-Supervised Learning for Fault Detection in Industrial Sensor Networks
[IEEE] 2026-6-26 | A Robust and Fast InSAR Phase Denoising Algorithm Based on Coarse-to-Fine Adaptive Residual Iteration
[IEEE] 2026-6-25 | Exploring the flexibility of twin-basin tidal range power plants through optimal control
[IEEE] 2026-6-25 | Evaluating Machine Learning Emulators for Atmospheric Radiative Transfer: The Atmospheric Machine Learning Emulation Challenge
[IEEE] 2026-6-26 | Investigation of Inverter Transformer Thermal Modelling Under Supra-Harmonics and Wind Dynamics
[IEEE] 2026-6-25 | GAN-based Replay Data Augmentation for V2N Virtual Driving Testing
[IEEE] 2026-6-26 | A Secure DID/VC Access Control Framework for Named Data Networking
[ACM] 2026-6-25 | Understanding on the Edge: LLM-generated Boundary Test Explanations
[IEEE] 2026-6-25 | In-situ Trainable Non-volatile Photonic Neural Network_supp1-3706955.docx
[IEEE] 2026-6-25 | Apple Point Cloud Fitting Reconstruction Based on FPS and RANSAC Algorithm
[IEEE] 2026-6-25 | Poster Abstract: Towards Quieter Drones – Acoustic Properties of Generatively Designed Propellers
[IEEE] 2026-6-25 | Poster Abstract: Hybrid Post-Quantum TLS on Resource-Constrained UAV Platforms
[IEEE] 2026-6-25 | Poster Abstract: On-Device Spectral Learning for EV Battery Capacity Estimation from Charging Telemetry
[IEEE] 2026-6-25 | A Noise-Robust Global Aggregation CNN for Fault Diagnosis of Rotating Machinery
[IEEE] 2026-6-25 | Robust Seat Belt Detection Under Variable Lighting Using YOLOv8 on Iranian CCTV Dataset
[IEEE] 2026-6-25 | Hybrid Emotion Recognition System Based on Facial Recognition and EEG Signals with Deep Learning
[IEEE] 2026-6-25 | Poster Abstract: System-Level Compensation of Ultra-Low-Resolution Infrared Sensing at the Edge
[IEEE] 2026-6-25 | Quantum Squeeze-and-Excitation Networks: Harnessing Quantum Noise for Robust Attention Mechanisms in Hybrid Architectures
[IEEE] 2026-6-26 | Adaptive Constructive Fuzzy System With Spectral-Bounded Regularization and Dual Rule Selection_supp1-3707159.pdf
[IEEE] 2026-6-26 | A High-Fidelity All-Atom Model for HVDC Oil-Paper Insulation Based on Material Characterization and Experimental Validation
