[2026-04-02 22:32:24] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-04-01
正在获取论文...
[arXiv] 2026-04-01 | Grothendieck's Equality vs Voevodsky's Equality
[arXiv] 2026-04-01 | Nonreciprocal spin waves of helical magnetization states in CoFeB/NiFe bilayers
[arXiv] 2026-04-01 | Parisian ruin of locally self-similar Gaussian processes
[arXiv] 2026-04-01 | Quantum walk on a random comb
[arXiv] 2026-04-01 | Cryogenic stabilization of molecular hydrogen in dense cubic ice
[arXiv] 2026-04-01 | Fatigue-Aware Learning to Defer via Constrained Optimisation
[arXiv] 2026-04-01 | Design of a double breast gradient coil with controlled anterior posterior gradient variation for diffusion weighted imaging
[arXiv] 2026-04-01 | When Users Change Their Mind: Evaluating Interruptible Agents in Long-Horizon Web Navigation
[arXiv] 2026-04-01 | Beyond Symbolic Solving: Multi Chain-of-Thought Voting for Geometric Reasoning in Large Language Models
[arXiv] 2026-04-01 | Analytical characterisation of the Mi- and To-phases in HeMiTo dynamics: exponential growth and logistic saturation of toxic prion-like proteins
[arXiv] 2026-04-01 | Accurate and Scalable Matrix Mechanisms via Divide and Conquer
[arXiv] 2026-04-01 | Error Estimates for Nitsche's Method on Approximate Domains
[arXiv] 2026-04-01 | Sensitivity study of $\bar{K}_1(1270)$ decay dynamics using four $D\to \bar{K}_1(1270)(\to \bar Kππ)e^+ν$ decay channels
[arXiv] 2026-04-01 | Evaluating the Feasibility of Augmented Reality to Support Communication Access for Deaf Students in Experiential Higher Education Contexts
[arXiv] 2026-04-01 | Thermodynamics-Informed Accurate pKa Prediction and Protonation State Generation in PlayMolecule AI
[arXiv] 2026-04-01 | Agentic Tool Use in Large Language Models
[arXiv] 2026-04-01 | Double-Freeform Lens Design for Angular-Spatial Control of Light Fields
[arXiv] 2026-04-01 | LinguDistill: Recovering Linguistic Ability in Vision- Language Models via Selective Cross-Modal Distillation
[arXiv] 2026-04-01 | Video Patch Pruning: Efficient Video Instance Segmentation via Early Token Reduction
[arXiv] 2026-04-01 | Novel Single Clad Ho-doped Fiber with High Slope Efficiency and Low Ion Pairing
[arXiv] 2026-04-01 | Optimal Brain Decomposition for Accurate LLM Low-Rank Approximation
[arXiv] 2026-04-01 | Emotion Entanglement and Bayesian Inference for Multi-Dimensional Emotion Understanding
[arXiv] 2026-04-01 | Misconception Acquisition Dynamics in Large Language Models
[arXiv] 2026-04-01 | Multicentric thrombus segmentation using an attention-based recurrent network with gradual modality dropout
[arXiv] 2026-04-01 | DVGT-2: Vision-Geometry-Action Model for Autonomous Driving at Scale
[arXiv] 2026-04-01 | A novel three-step approach to forecast firm-specific technology convergence opportunity via multi-dimensional feature fusion
[arXiv] 2026-04-01 | Routing-Free Mixture-of-Experts
[arXiv] 2026-04-01 | From Early Encoding to Late Suppression: Interpreting LLMs on Character Counting Tasks
[arXiv] 2026-04-01 | ActivityNarrated: An Open-Ended Narrative Paradigm for Wearable Human Activity Understanding
[arXiv] 2026-04-01 | Charged current induced electron-proton scattering and the axial vector form factor
[arXiv] 2026-04-01 | Non-ignorable fuzziness in granular counts: the case of RNA-seq data
[arXiv] 2026-04-01 | Inverse-designed non-volatile phase change varifocal metalens at the edge of the visible spectrum
[arXiv] 2026-04-01 | A remark on an error analysis for classical and learned Tikhonov regularization schemes
[arXiv] 2026-04-01 | Translating With Feeling: Centering Translator Perspectives within Translation Technologies
[arXiv] 2026-04-01 | Truncated Grassmannians, blow-ups along Schubert varieties and collineations
[arXiv] 2026-04-01 | Tropical matroid Schubert varieties and the graded Möbius algebra
[arXiv] 2026-04-01 | How to Train your Tactile Model: Tactile Perception with Multi-fingered Robot Hands
[arXiv] 2026-04-01 | The structure of the lightest positive-parity charmed mesons from LQCD
[arXiv] 2026-04-01 | BioCOMPASS: Integrating Biomarkers into Transformer-Based Immunotherapy Response Prediction
[arXiv] 2026-04-01 | A column generation algorithm for finding co-3-plexes in chordal graphs
[arXiv] 2026-04-01 | Well-Posedness of the Helmholtz Equation with Rough Coefficients
[arXiv] 2026-04-01 | Signal Constellations with Enhanced Energy Efficiency for High-Speed Communication Systems
[arXiv] 2026-04-01 | SCPatcher: Automated Smart Contract Code Repair via Retrieval-Augmented Generation and Knowledge Graph
[arXiv] 2026-04-01 | Convergence of projected stochastic natural gradient variational inference for various step size and sample or batch size schedules
[arXiv] 2026-04-01 | Weak-Strong Uniqueness for Second-Order Mean-Field Games
[arXiv] 2026-04-01 | Procela: Epistemic Governance in Mechanistic Simulations Under Structural Uncertainty
[arXiv] 2026-04-01 | TRIMS: Trajectory-Ranked Instruction Masked Supervision for Diffusion Language Models
[arXiv] 2026-04-01 | LibScan: Smart Contract Library Misuse Detection with Iterative Feedback and Static Verification
[arXiv] 2026-04-01 | The complex dependencies of Wolf-Rayet winds -- Insights from detailed radiative transfer models
[arXiv] 2026-04-01 | Baryogenesis in $SU(2)_{L}$ multiplet models
[arXiv] 2026-04-01 | On Minimum Distances for Error Correction and Detection of Generalized Network Code
[arXiv] 2026-04-01 | On rankings in multiplayer games with an application to the game of Whist
[arXiv] 2026-04-01 | Existence of extremal functions in higher-order affine Sobolev inequalities
[arXiv] 2026-04-01 | Cyclic reformation of subcritical perpendicular fast magnetosonic shocks due to oblique Whistler waves
[arXiv] 2026-04-01 | Strain-tunable multipiezo effects in Janus monolayer Cr2SSe: Selective reversal of valley polarization and single-spin-channel anomalous valley Hall effect
[arXiv] 2026-04-01 | When Safe Models Merge into Danger: Exploiting Latent Vulnerabilities in LLM Fusion
[arXiv] 2026-04-01 | KG-CMI: Knowledge graph enhanced cross-Mamba interaction for medical visual question answering
[arXiv] 2026-04-01 | MPI-Q: A Message Communication Library for Large-Scale Classical-Quantum Heterogeneous Hybrid Distributed Computing
[arXiv] 2026-04-01 | Predicting Dynamics of Ultra-Large Complex Systems by Inferring Governing Equations
[arXiv] 2026-04-01 | Towards Viewpoint-Robust End-to-End Autonomous Driving with 3D Foundation Model Priors
[arXiv] 2026-04-01 | A Geometric Theory of Cosmological Structure via Entropic Curvature in Wasserstein Space
[arXiv] 2026-04-01 | Commissioning and clinical outcome assessment of a novel surface-guided radiation therapy (SGRT) system at a C-Arm linear accelerator
[arXiv] 2026-04-01 | Empirical tail dependence functions in high dimensions: uniform linearizations and inference
[arXiv] 2026-04-01 | An Accelerated Proximal Bundle Method with Momentum
[arXiv] 2026-04-01 | A Japanese Benchmark for Evaluating Social Bias in Reasoning Based on Attribution Theory
[arXiv] 2026-04-01 | Quantum-Safe Code Auditing: LLM-Assisted Static Analysis and Quantum-Aware Risk Scoring for Post-Quantum Cryptography Migration
[arXiv] 2026-04-01 | LLM-supported document separation for printed reviews from zbMATH Open
[arXiv] 2026-04-01 | BloClaw: An Omniscient, Multi-Modal Agentic Workspace for Next-Generation Scientific Discovery
[arXiv] 2026-04-01 | Optimsyn: Influence-Guided Rubrics Optimization for Synthetic Data Generation
[arXiv] 2026-04-01 | Learning from Many and Adapting to the Unknown in Open-set Test Streams
[arXiv] 2026-04-01 | Learning Shared Representations for Multi-Task Linear Bandits
[arXiv] 2026-04-01 | BLISS: Global Blind Identification of Linear Systems with Sparse Inputs
[arXiv] 2026-04-01 | The semiregularity theorem for equivariant noncommutative varieties
[arXiv] 2026-04-01 | Adaptive Parallel Monte Carlo Tree Search for Efficient Test-time Compute Scaling
[arXiv] 2026-04-01 | Ultra-high precision speckle spectrometer enabling radio-frequency scale resolution of atomic spectra
[arXiv] 2026-04-01 | PET-DINO: Unifying Visual Cues into Grounding DINO with Prompt-Enriched Training
[arXiv] 2026-04-01 | Scheduling LLM Inference with Uncertainty-Aware Output Length Predictions
[arXiv] 2026-04-01 | The Recipe Matters More Than the Kitchen:Mathematical Foundations of the AI Weather Prediction Pipeline
[arXiv] 2026-04-01 | Collaborative Task and Path Planning for Heterogeneous Robotic Teams using Multi-Agent PPO
[arXiv] 2026-04-01 | Programmable Signal Design for Quantum Phase Estimation via Quantum Signal Processing
[arXiv] 2026-04-01 | A high-order, structure preserving scheme for the stochastic Galerkin shallow water equations -- unification and two-dimensional extension
[arXiv] 2026-04-01 | Delayed Radio Flares in Neutrino-associated Blazars: The Case of TXS 0506+056
[arXiv] 2026-04-01 | ORBIT: Scalable and Verifiable Data Generation for Search Agents on a Tight Budget
[arXiv] 2026-04-01 | Analytic nuclear gradients including oriented external electric fields in a molecule-fixed frame
[arXiv] 2026-04-01 | Digital nanophotonic biosensing empowered by silicon Mie voids
[arXiv] 2026-04-01 | True (VIS) Lies: Analyzing How Generative AI Recognizes Intentionality, Rhetoric, and Misleadingness in Visualization Lies
[arXiv] 2026-04-01 | Moving rectangular sofas in planar and spatial corridors
[arXiv] 2026-04-01 | AdaLoRA-QAT: Adaptive Low-Rank and Quantization-Aware Segmentation
[arXiv] 2026-04-01 | Markov chain Monte Carlo for Bayesian inference of the non-conducting region in intra-atrial reentrant tachycardia
[arXiv] 2026-04-01 | Blow-up analysis and extremal functions for nonlocal interaction functionals in dimension $N$
[arXiv] 2026-04-01 | Brainstacks: Cross-Domain Cognitive Capabilities via Frozen MoE-LoRA Stacks for Continual LLM Learning
[arXiv] 2026-04-01 | FerBo: a noise resilient qubit hybridizing Andreev and fluxonium states
[arXiv] 2026-04-01 | Ultrafast Kilowatt-Range Microwave Pulsing for Enhanced CO2 Conversion in Atmospheric-Pressure Plasmas
[arXiv] 2026-04-01 | Leveraging Commit Size Context and Hyper Co-Change Graph Centralities for Defect Prediction
[arXiv] 2026-04-01 | Quaternion-Based Predictive Framework for Scapulohumeral Coordination
[arXiv] 2026-04-01 | Adversarial Moral Stress Testing of Large Language Models
[arXiv] 2026-04-01 | Approximate Energy-Integration Method for Identifying Collisional Neutrino Flavor Instabilities
[arXiv] 2026-04-01 | ALMA Band 2 line survey of a $z = 3.44$ clumpy strongly-lensed submillimetre galaxy
[arXiv] 2026-04-01 | Curvature-induced electroweak symmetry breaking and phase transition of a Higgs-portal dark scalar field
[arXiv] 2026-04-01 | ReMoGen: Real-time Human Interaction-to-Reaction Generation via Modular Learning from Diverse Data
[arXiv] 2026-04-01 | Automated Generation of Cybersecurity Exercise Scenarios
[arXiv] 2026-04-01 | Blobel's Regularized Unfolding: Eigenmode Decomposition and Automatic Smoothing for Inverse Problems in Particle Physics
[arXiv] 2026-04-01 | Extensions of Erdős's 1962 theorem on non-Hamiltonian graphs
[arXiv] 2026-04-01 | Tsim: Fast Universal Simulator for Quantum Error Correction
[arXiv] 2026-04-01 | Mass Hierarchies Without Mixing: Abelian Froggatt-Nielsen Models with Uncharged Left-Handed Doublets
[arXiv] 2026-04-01 | Cappell-Shaneson knot pairs with the same Alexander polynomial
[arXiv] 2026-04-01 | Aligning Recommendations with User Popularity Preferences
[arXiv] 2026-04-01 | Detecting pairing symmetry of bilayer nickelates using electronic Raman scattering
[arXiv] 2026-04-01 | A Bilevel Integer Programming Approach for the Synchronous Attractor Control Problem
[arXiv] 2026-04-01 | A residually finite analogue of Kegel's theorem on splitting automorphisms
[arXiv] 2026-04-01 | Soft vector spins with dimensional annealing for combinatorial optimization
[arXiv] 2026-04-01 | A General Framework for Computational Lower Bounds in Nontrivial Norm Approximation
[arXiv] 2026-04-01 | Quantum machine learning for the quantum lattice Boltzmann method: Trainability of variational quantum circuits for the nonlinear collision operator across multiple time steps
[arXiv] 2026-04-01 | Triaxial shapes and the angular structure of nuclear three-body correlations
[arXiv] 2026-04-01 | HarassGuard: Detecting Harassment Behaviors in Social Virtual Reality with Vision-Language Models
[arXiv] 2026-04-01 | $\texttt{YC-Bench}$: Benchmarking AI Agents for Long-Term Planning and Consistent Execution
[arXiv] 2026-04-01 | Star-Tracker-Constrained Attitude MPC for CubeSats
[arXiv] 2026-04-01 | Focal plane wavefront control with model-based reinforcement learning
[arXiv] 2026-04-01 | Information content of JWST transmission spectroscopy of the exoplanet HAT-P-12b from the optical to the mid-infrared
[arXiv] 2026-04-01 | Safe learning-based control via function-based uncertainty quantification
[arXiv] 2026-04-01 | Inverse Design of Optical Multilayer Thin Films using Robust Masked Diffusion Models
[arXiv] 2026-04-01 | Optimal Sampling and Actuation Policies of a Markov Source over a Wireless Channel
[arXiv] 2026-04-01 | Full-Gradient Successor Feature Representations
[arXiv] 2026-04-01 | Nodal-Line Semimetals: Emerging Opportunities for Topological Electronics and Beyond
[arXiv] 2026-04-01 | Universal $T$-matrices for quantum Poincaré groups: contractions and quantum reference frames
[arXiv] 2026-04-01 | Harnessing Hype to Teach Empirical Thinking: An Experience With AI Coding Assistants
[arXiv] 2026-04-01 | On fixed points and equalizers of injective endomorphisms of the free group at infinity
[arXiv] 2026-04-01 | GPT-NL Public Corpus: A Permissively Licensed, Dutch-First Dataset for LLM Pre-training
[arXiv] 2026-04-01 | Executing as You Generate: Hiding Execution Latency in LLM Code Generation
[arXiv] 2026-04-01 | The Rashomon Effect for Visualizing High-Dimensional Data
[arXiv] 2026-04-01 | Tucker Diffusion Model for High-dimensional Tensor Generation
[arXiv] 2026-04-01 | Trap behaviors for Brownian motions
[arXiv] 2026-04-01 | LDMDroid: Leveraging LLMs for Detecting Data Manipulation Errors in Android Apps
[arXiv] 2026-04-01 | CASCADE: Cascaded Scoped Communication for Multi-Agent Re-planning in Disrupted Industrial Environments
[arXiv] 2026-04-01 | Point modules over the universal enveloping algebras of color Lie algebras and overlapping normal elements
[arXiv] 2026-04-01 | Convergence of Byzantine-Resilient Gradient Tracking via Probabilistic Edge Dropout
[arXiv] 2026-04-01 | Improvement of entanglement generation rate in frequency-multiplexed quantum repeaters using cavity-enhanced SPDC source
[arXiv] 2026-04-01 | Secure Forgetting: A Framework for Privacy-Driven Unlearning in Large Language Model (LLM)-Based Agents
[arXiv] 2026-04-01 | Effective attractive and repulsive interactions behind lift synchronization
[arXiv] 2026-04-01 | Shapley-Guided Neural Repair Approach via Derivative-Free Optimization
[arXiv] 2026-04-01 | Self-Routing: Parameter-Free Expert Routing from Hidden States
[arXiv] 2026-04-01 | Sampling-based Task and Kinodynamic Motion Planning under Semantic Uncertainty
[arXiv] 2026-04-01 | RFSS: A Multi-Standard RF Signal Source Separation Dataset with 3GPP-Standardized Channel and Hardware Impairments
[arXiv] 2026-04-01 | Deep Networks Favor Simple Data
[arXiv] 2026-04-01 | Causal Inference for Unobservable Multivariate Outcomes, with Applications to Brain Effective Connectivity
[arXiv] 2026-04-01 | UCMNet: Uncertainty-Aware Context Memory Network for Under-Display Camera Image Restoration
[arXiv] 2026-04-01 | High-Efficiency Acousto-Optic Modulation on Non-Suspended Thin-Film Lithium Tantalate
[arXiv] 2026-04-01 | QCD in strong magnetic fields: fluctuations of conserved charges and equation of state
[arXiv] 2026-04-01 | TENT: A Declarative Slice Spraying Engine for Performant and Resilient Data Movement in Disaggregated LLM Serving
[arXiv] 2026-04-01 | A Dual-Stream Transformer Architecture for Illumination-Invariant TIR-LiDAR Person Tracking
[arXiv] 2026-04-01 | Willems' Fundamental Lemma with Large Noisy Fragmented Dataset
[arXiv] 2026-04-01 | A Unified Framework for Analysis of Randomized Greedy Matching Algorithms
[arXiv] 2026-04-01 | Quantum effects on neutrino parameters from a flavored gauge boson
[arXiv] 2026-04-01 | Car Dependency in Urban Accessibility
[arXiv] 2026-04-01 | Online Reasoning Calibration: Test-Time Training Enables Generalizable Conformal LLM Reasoning
[IEEE] 2026-4-1 | ElCon-CP 2026 Cover Page
[ACM] 2026-4-1 | Can Young Children Make Sense of their Own Data through Constructive Physicalization? A Qualitative Study
[ACM] 2026-4-1 | Interaction Techniques for Stacked-Dimension Visualizations
[ACM] 2026-4-1 | Fusing Semantic Indicator Standardization and Multiple Regression for NPS Root Cause Analysis in EV Charging Networks
[ACM] 2026-4-1 | Research and Development of Urban Construction Project Archives Management System Based on Feature Learning and Cross-Modal Hash Retrieval
[ACM] 2026-4-1 | A Practical Study on Artificial Intelligence-Driven Shooting Instruction
[ACM] 2026-4-1 | Explainable Machine Learning for Employee Promotion Prediction: A SHAP-Based Framework for Strategic Human Resource Management
[ACM] 2026-4-1 | Research on the Design of Psychological Resilience Assessment and Intervention Platform for Youth Ice and Snow Sports Based on Artificial Intelligence
[ACM] 2026-4-1 | Exploring Deep Learning-Powered Decision Paths for High-Quality HR Management in Private Enterprises
[IEEE] 2026-4-1 | Novel Energy-Centric Fossa Optimization-Based Energy-Aware Clustering and Routing in IoTenabled Wireless Sensor Networks
[ACM] 2026-4-2 | A Dream Come True: Deletable Content in Immutable Storage.
[IEEE] 2026-4-1 | Image-Based Anomaly Detection for Industrial Applications
[IEEE] 2026-4-1 | Prediction of Human Animal Conflict Through Machine Learning Based HAR Algorithm
[IEEE] 2026-4-1 | Dual-Discriminator Adversarial Learning for 2D-to-3D Motion Style Transfer with Remote Information Sharing and Collaboration
[IEEE] 2026-4-1 | Multi-Temporal Machine Learning-Based Land Use and Land Cover Change Analysis Using Landsat Imagery (1994-2024)
[IEEE] 2026-4-1 | Balancing Transparency and Privacy with Explainable AI and Federated Learning in Fraud Detection
[IEEE] 2026-4-1 | Design and Simulation of the Metamaterial Based Antenna Array to Reduce Mutual Coupling
[IEEE] 2026-4-1 | LFRNet: A Large Language Model-guided Feature Reweighting Network for Lightweight Intrusion Detection
[IEEE] 2026-4-1 | Evolutionary AI-Driven Android Malware Detection Using Genetic Algorithm-Optimized Feature Selection and Hybrid Machine Learning
[IEEE] 2026-4-1 | Calibration of an Omnidirectional Vision System and Obstacle Distance Measurements
[ACM] 2026-4-2 | Mindful Eating Aspects as Bridging Concepts Represented through the MEDEC Cards: Towards a Design Framework for Mindful Eating Technologies
[IEEE] 2026-4-1 | EdgeGuard: Blockchain-Enhanced Secure Data Circulation via Aggregatable Distributed Key Generation
[IEEE] 2026-4-2 | Depth Perception Cues in VR Under Sleep Deprivation
[IEEE] 2026-4-2 | ASRU 2025 Author Index
[IEEE] 2026-4-2 | CIM-NET: A Video Denoising Deep Neural Network Model Optimized for Computing-in-Memory Architectures
[IEEE] 2026-4-2 | A Compact Reconfigurable Integrated Coupler/ Power Divider With Shared Through Port
[IEEE] 2026-4-2 | Safe Event-triggered Gaussian Process Learning for Barrier-Constrained Control
[IEEE] 2026-4-2 | Enhancing the Insulating and Thermal Reliability of Synthetic Ester Insulating Fluids Using SiC Nanoparticles
[IEEE] 2026-4-2 | Feature Disentanglement-Based Source-Free State-Of-Health Estimation of Lithium-Ion Batteries
[IEEE] 2026-4-2 | Systematic Design and Validation Framework for Main Circuit Parameters of Gigawatt MMC–HVDC Considering Operating Boundary
[IEEE] 2026-4-2 | ImmersiveDMT: A VR System for Expressive Body Movement and Stress Reduction through Dance Movement Therapy
[IEEE] 2026-4-2 | NinjaPort: A Multi-Hand Approach for VR Teleportation
[IEEE] 2026-4-2 | Synchronizing with Attentional Sampling: Modality-Specific Flicker Guidance for Gaze and Hand-Eye Interaction in VR
[IEEE] 2026-4-2 | AgriLens: Semantic Retrieval in Agricultural Texts Using Topic Modeling and Language Models
[IEEE] 2026-4-2 | Reducing Object Hallucination in Large Audio-Language Models via Audio-Aware Decoding
[IEEE] 2026-4-2 | DyMEvalNet: Dynamic Text-Audio-Personalization Fusion for Multimodal Music Quality Assessment
[IEEE] 2026-4-2 | AGENT-DIFF-X: A Consumer-Adaptive Agentic Framework for Efficient and Explainable 3D Breast Tumor Segmentation on Edge Devices
[IEEE] 2026-4-2 | Supporting Bi-Directional Collaboration with Unmodified Immersive Applications Using AccompliceVR_supp1-3679102.pdf
[IEEE] 2026-4-2 | Modality Equilibrium Matters: Minor-Modality-Aware Adaptive Alternating for Cross-Modal Memory Enhancement_supp1-3676535.pdf
[IEEE] 2026-4-1 | Open-Circuit Fault Diagnosis for Power Converters Under Variable Operational Conditions: From a Source-Free Domain Adaptation Perspective
[IEEE] 2026-4-2 | Dual-Foot Inertial Pedestrian Navigation with Graduated Non-Convexity Factor Graph Optimization
[IEEE] 2026-4-2 | Rotating Savitzky-Golay Filter Based on BP Neural Network: Enabling High-Accuracy Temperature and Pressure Retrieval via Rayleigh-Brillouin Spectrum Processing
[IEEE] 2026-4-1 | Fluid Aerial Networks: UAV Rotation for Inter-Cell Interference Mitigation
[IEEE] 2026-4-2 | Innovative IFC Classification in BIM Models Ready to be Converted Into Digital Twins
[IEEE] 2026-4-1 | Silicon Controlled Rectifier (SCR)-Embedded Identification of Field Winding, Damper Bar, and Eccentricity Faults in Wound Field Synchronous Machines
[IEEE] 2026-4-2 | Dimensioning of Surge Protective Devices Installed to Home Electric Vehicle Chargers Against Direct Lightning Strikes
[IEEE] 2026-4-2 | A 60-V High-Side / In-Line Instrumentation Amplifier With 54-V/
                    <i>μ</i>
                    s CM Transient Tolerance and 115-dB Dynamic Range
[IEEE] 2026-4-1 | IEEE Dataport
[IEEE] 2026-4-2 | Beyond Predefined Clusters: A Comprehensive Review of Clustering Methods for Unknown Cluster Numbers
[IEEE] 2026-4-2 | Enhancing Pedestrian Safety Through Automated Emergency Steering: Design and Experimental Validation of a Risk-Based Architecture
[IEEE] 2026-4-1 | Focus on Finding Deepfakes: A Robust Proactive Detection Method Based on Orthogonal Moment Watermarking
[IEEE] 2026-4-2 | In Situ Grown MoS&amp;#x2082; on FTO: A Scalable and Biocompatible Platform for Selective Detection of Dopamine_supp1-3668254.docx
[IEEE] 2026-4-1 | Reflections on the 25th Anniversary of the IEEE Circuits and Systems Magazine [Editorial]
[IEEE] 2026-4-1 | Development and Modeling of a Soft Array Actuator for Elderly Assistive Robotic Exoskeleton
[ACM] 2026-4-1 | Power System Image Encryption Scheme Based on Two-Step Phase-Shifting Digital Holography and Human Biometric Key
[ACM] 2026-4-1 | Research and Implementation of a Home Electrical Safety Management System: Integrating BiLSTM and LoRa in an IoT Architecture
[ACM] 2026-4-1 | Multi-Genre Sports Dance Action Recognition and Skill Assessment Using CNN-BiLSTM-Attention Model
[ACM] 2026-4-1 | Research on the Digital Interaction of Cultural Heritage Game Driven by UE5 and IoT Technologies: A Case Study of Pitch-pot
[ACM] 2026-4-1 | Multi-Task Learning Framework Integrating LightGBM and SHAP for Rural Entrepreneurship Behavior Prediction Among College Students
[ACM] 2026-4-1 | Research on the integration mode of big data and enterprise human resources shared service center under the background of digital transformation
[ACM] 2026-4-1 | Integrating LDA Topic Modeling and Sentiment Analysis: An Empirical Study of User Comments on CHAGEE Short Video Advertisements
[ACM] 2026-4-1 | Code-Switching as a Verbal Impoliteness Strategy in Conflictive Film Dialogues: A Study Based on Python Visualization
[ACM] 2026-4-1 | Calculation and Assessment of Technology Integration Effectiveness in Digital Exhibitions Based on Multi-Source Data and a TOPSIS-Entropy Weight Integrated Model
[ACM] 2026-4-1 | Intelligent evaluation method for college students' practical training ability based on Analytic Hierarchy Process and Extenics theory
[ACM] 2026-4-1 | Mechanism Study on the Effects of Narrative Rhythm in Micro-Short Dramas on Audience Cognitive Load and Emotional Experience Based on Computational Communication Models
[ACM] 2026-4-1 | A Study on College Students' Legal Aid Demands and Expectations Based on Regression Model
[IEEE] 2026-4-1 | Industry 4.0 Design Principles in Continuous Production Processes: A Case Study
[IEEE] 2026-4-1 | Deep Reinforcement Learning Enabled Joint Task Offloading and Trajectory Optimization in Multi-UAV Systems
[IEEE] 2026-4-1 | Section 3. Components, Circuits, Devices &amp; Systems
[IEEE] 2026-4-1 | CRESS 2025 Content Announcement Page
[IEEE] 2026-4-1 | Integrated On-Board Chargers for Electric Vehicles: Topologies, Control Strategies, Challenges, and Future Research Directions
[IEEE] 2026-4-1 | A Quantum Internet Protocol Suite Beyond Layering
[IEEE] 2026-4-1 | Dynamic Spatiotemporal Measurement Uncertainty-Aware Detection for Robust Power System State Estimation Against Stealthy FDIA
[IEEE] 2026-4-1 | BCEDAS: A Blockchain and Chameleon Hash-Based Efficient Decentralized Authentication Scheme for Internet of Vehicles With Multi-Scenario_supp1-3670901.pdf
[IEEE] 2026-4-1 | Machine Learning Adversarial Attacks using Partial Sinkhorn Optimization
[IEEE] 2026-4-1 | The Role of AI in Climate Change Prediction: Analysing Machine Learning Models for Extreme Weather Forecasting
[IEEE] 2026-4-1 | Four Families of Binary Sequences with Low Ambiguity Function Properties
[IEEE] 2026-4-1 | A Resilient LLM-driven Agent Framework for Multi-UAV Mission Planning and Control
[IEEE] 2026-4-1 | Accident Prone Hotspot Detection Using YOLOv8 Integrated with HDFS
[IEEE] 2026-4-1 | Modeling of Ventilation and Air Conditioning Control Systems for Processing Plants
[IEEE] 2026-4-1 | TransGate-RiceNet: Attention-Fused Transformer-Convolutional Model for Early and High-Precision Detection of Rice Leaf Pathologies
[ACM] 2026-4-2 | Designing Inclusive Voice-Based Conversational Agents for Individuals with Intellectual Disabilities
[IEEE] 2026-4-2 | Dual-Security-Assured Computation Offloading for ISCC LEO Satellite-Enabled Space-Air-Ground Networks
[IEEE] 2026-4-2 | Wavelength-Multiplexed Operation of Phosphorescent White-LED Data Emitters
[IEEE] 2026-4-2 | Position Sensorless and Fault-Tolerance Control of Medium Speed SRMs via Self-Correcting Inductance-Based Observer
[IEEE] 2026-4-1 | IEEE Feedback
[IEEE] 2026-4-2 | Physics-Constrained Spatio-Temporal Attention FusionGAN: End-to-End Gridded Sea Surface Wind Fusion over China Seas from Multi-Mission GNSS-R Observations
[IEEE] 2026-4-2 | FFDMamba: Feature Frequency Decoupling Mamba for High-Resolution Remote Sensing Semantic Segmentation
[IEEE] 2026-4-2 | AnchorNet: Adaptive Anchor Token Enhancement in Video-grounded Dialogue Generation
[IEEE] 2026-4-2 | A Data-Driven ANN-Based Model for FeCAP &amp; FeFET: Orienting to SPICE and Circuit Design
[IEEE] 2026-4-2 | Robust and Lightweight 3D Reconstruction of Buried Threats Using Multi-view GPR Data
[IEEE] 2026-4-2 | RSCAAT: A Recursive Mechanism to Mitigate Cache Side Channel Attacks
[IEEE] 2026-4-1 | Monocular Optical-Flow Method for Gait Event Detection and Foot-Strike pattern Evaluation in Parkinsonian Gait
[IEEE] 2026-4-1 | Simultaneous Localization and Synchronization in Distributed MIMO-OFDM Systems
[IEEE] 2026-4-2 | Smarttendance: A BLE-Based Mobile Application for Real-Time Session Attendance Tracking
[IEEE] 2026-4-2 | Translational Drift in Formation Control Under Infeasible Configurations
[IEEE] 2026-4-2 | Policy Iteration with Non-Asymptotic Convergence for Systems with Random Parameters
[IEEE] 2026-4-2 | Adaptive Super-Twisting Kernel Dynamic Programming: Energy Optimal and Robust Theory Application for Pursuit-Evasion Game System
[IEEE] 2026-4-1 | MicroSDF: Microfacet-Driven Hybrid Neural SDFs for Mixed-Reflectance Surface Reconstruction
[IEEE] 2026-4-1 | FD-SCU: Frequency Decomposition-based Spectrum Collaborative Upsampling for Point Cloud Color Attribute
[IEEE] 2026-4-1 | Score-Based Conditional Flow Models for MIMO Receiver Design with Superimposed Pilots
[IEEE] 2026-4-2 | Fundamental Bounds and Exact Formulation for the Level Crossing Rate of Product Ratio Fading Processes
[IEEE] 2026-4-2 | Whisper Has an Internal Word Aligner
[IEEE] 2026-4-2 | An Efficient and Well-Benchmarked Multi-Orbital Impurity Solver for Predictive Investigations of Correlated Materials
[IEEE] 2026-4-2 | Privacy-Preserving State Estimation with Crowd Sensors: An Information-Theoretic Respective
[IEEE] 2026-4-2 | Evaluating Self-Supervised Speech Models Via Text-Based LLMs
[IEEE] 2026-4-2 | Improving Perceptual Audio Aesthetic Assessment via Triplet Loss and Self-Supervised Embeddings
[IEEE] 2026-4-2 | IEEE VR 2026 VGTC Virtual Reality Significant New Researcher Award
[IEEE] 2026-4-2 | SpeechLess: Micro-utterance with Personalized Spatial Memory-aware Assistant in Everyday Augmented Reality
[IEEE] 2026-4-2 | AniXDim: Integrating Cross-Dimensional Interaction into Desktop Character Animation Workflows
[IEEE] 2026-4-2 | Performance Analysis of Compiler Code Generation for HPC and AI Kernels on RISC-V
