[2026-03-05 09:30:38] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-03-04
正在获取论文...
[arXiv] 2026-03-04 | Strong Approximation for the Character Variety of the Four-Times Punctured Sphere
[arXiv] 2026-03-04 | PROSPECT: Unified Streaming Vision-Language Navigation via Semantic--Spatial Fusion and Latent Predictive Representation
[arXiv] 2026-03-04 | X-Loco: Towards Generalist Humanoid Locomotion Control via Synergetic Policy Distillation
[arXiv] 2026-03-04 | Timing-Aware Satellite Association for Multi-LEO Direct-to-Handset Communications
[arXiv] 2026-03-04 | Understanding Parents' Desires in Moderating Children's Interactions with GenAI Chatbots through LLM-Generated Probes
[arXiv] 2026-03-04 | Polynomially many surfaces of fixed Euler characteristic in a hyperbolic 3-manifold
[arXiv] 2026-03-04 | MPFlow: Multi-modal Posterior-Guided Flow Matching for Zero-Shot MRI Reconstruction
[arXiv] 2026-03-04 | Multimode cavity magnonics in mumax+: from coherent to dissipative coupling in ferromagnets and antiferromagnets
[arXiv] 2026-03-04 | A Photonic Tautochrone
[arXiv] 2026-03-04 | Parton physics from a heavy-quark operator product expansion: Dynamical lattice QCD calculation of moments of the pion and kaon light-cone distribution amplitudes
[arXiv] 2026-03-04 | Nonvolatile Control of Nonlinear Hall and Circular Photogalvanic Effects via Berry Curvature Dipole in Multiferroic Monolayer CrNBr2
[arXiv] 2026-03-04 | On non-uniqueness of mild solutions and stationary singular solutions to the Navier-Stokes equations
[arXiv] 2026-03-04 | Continuous-time multi-armed bandits under random intervention times
[arXiv] 2026-03-04 | Reckless Designs and Broken Promises: Privacy Implications of Targeted Interactive Advertisements on Social Media Platforms
[arXiv] 2026-03-04 | InEdit-Bench: Benchmarking Intermediate Logical Pathways for Intelligent Image Editing Models
[arXiv] 2026-03-04 | Field imaging framework for morphological characterization of aggregates with computer vision: Algorithms and applications
[arXiv] 2026-03-04 | Long-term activity cycles in planetary M stars observed with SOPHIE
[arXiv] 2026-03-04 | Cohomological Chow Groups of codimension one of varieties with isolated singularities
[arXiv] 2026-03-04 | Flavor in Ninths and a Discrete Gauge Origin of the QCD Axion
[arXiv] 2026-03-04 | Well-posedness and mean-field limit of discontinuous weighted dynamics via the relative entropy method
[arXiv] 2026-03-04 | CoRe-BT: A Multimodal Radiology-Pathology-Text Benchmark for Robust Brain Tumor Typing
[arXiv] 2026-03-04 | Why Are Linear RNNs More Parallelizable?
[arXiv] 2026-03-04 | Riemannian Optimization in Modular Systems
[arXiv] 2026-03-04 | Impact of the out-of-plane conductivity on spin transport evaluation in a van der Waals material
[arXiv] 2026-03-04 | Toward Native ISAC Support in O-RAN Architectures for 6G
[arXiv] 2026-03-04 | Logical aspects of isomorphism of controllable graphs and cospectrality of distance-regularized graphs
[arXiv] 2026-03-04 | Emergent dimensional reduction in a distorted kagome magnet $\mathrm{YCa_3(CrO)_3(BO_3)_4}$ driven by exchange hierarchy
[arXiv] 2026-03-04 | A criterion for modules over Gorenstein local rings to have rational Poincaré series
[arXiv] 2026-03-04 | Semantic Bridging Domains: Pseudo-Source as Test-Time Connector
[arXiv] 2026-03-04 | SaFeR: Safety-Critical Scenario Generation for Autonomous Driving Test via Feasibility-Constrained Token Resampling
[arXiv] 2026-03-04 | Implicit-Explicit Trust Region Method for Computing Second-Order Stationary Points of A Class of Landau Models
[arXiv] 2026-03-04 | 2-Coloring Cycles in One Round
[arXiv] 2026-03-04 | Gravitational confinement of ghost scalar fields in neutron stars
[arXiv] 2026-03-04 | Ab initio study of saddle-point excitons in monolayer SnS2
[arXiv] 2026-03-04 | Bayesian Adversarial Privacy
[arXiv] 2026-03-04 | Traces of Social Competence in Large Language Models
[arXiv] 2026-03-04 | To trace or not to trace: analytical insights from network-based contact-tracing models
[arXiv] 2026-03-04 | Explicit p-adic Hodge theory for elliptic curves and non-split Cartan images
[arXiv] 2026-03-04 | Invariance-Based Dynamic Regret Minimization
[ACM] 2026-3-4 | LLM-Based Long-Term Life Task Planning to Reduce Human Uncertainty
[IEEE] 2026-3-4 | A 3D-Printing Wideband Circumferentially Foldable Dual-Polarized Spherical Luneburg Lens Antenna
[IEEE] 2026-3-4 | E-YOLO to OMOD: An Enhanced YOLO Framework for Small Moving Object Detection in Omnidirectional Videos
[IEEE] 2026-3-4 | Neighborhood-Aware Fuzzy Graph Convolutional Networks for Improved Information Fusion
[IEEE] 2026-3-4 | APCIT 2025 Contributor Page
[IEEE] 2026-3-4 | End-to-End Multimedia Protection for Consumer-Centric Digital Twins via Blockchain and Hardware-Rooted Trust
[IEEE] 2026-3-4 | Accurate Soft Switching Technique for Wireless Power Transfer System Based on State Trajectory Analysis
[IEEE] 2026-3-4 | Symmetric Phase-Engineered Hf₁₋ₓZrₓO₂ Enabling Reliable Non-Destructive Memory Readout
[IEEE] 2026-3-4 | Dual-Branch Token Selection Fusion Network for Hyperspectral Image Classification with Few Labeled Samples
[IEEE] 2026-3-4 | Overengineering BRC: Distributed-System Solution for Automating Compute-Heavy Data-Processing Competitions
[IEEE] 2026-3-4 | Optimization of Electric Bus Depot Operations through Multi-Objective Approach for Cost Minimization and Energy Efficiency
[IEEE] 2026-3-4 | Phishing Website Detection Using a Hybrid CNN–CapsNet–XGBoost–Random Forest Model for Cross-Platform Security
[IEEE] 2026-3-4 | Distributed Linear Model Predictive Control in a Multi-Agent System with Faults
[IEEE] 2026-3-4 | Automated Sleep Disorder Detection Using Machine Learning and Deep Learning Model
[IEEE] 2026-3-4 | FlashFuser: Expanding the Scale of Kernel Fusion for Compute-Intensive Operators via Inter-Core Connection
[IEEE] 2026-3-4 | CLINE: Improving Control Flow Compilation of Quantum Programs with Control Line Encoding
[IEEE] 2026-3-4 | Performance Analysis of Adaptive Sweep MPPT Algorithm for Partially Shaded PV Systems
[IEEE] 2026-3-4 | Constructing Quantum Resistant Arguments for Emerging Communication Systems over Novel Cybersecurity Risks: Applying Deep Learning with Quantum Cryptography
[IEEE] 2026-3-4 | Analysis of Trends and Innovations in Spam Comment Detection Using AI
[IEEE] 2026-3-4 | Water Quality Classification Using LightGBM: A Machine Learning Approach on a Large-Scale Dataset
[IEEE] 2026-3-4 | Recognition of Parkinson's Disease Utilizing Machine Learning
[IEEE] 2026-3-4 | Development of IoT Enabled Early Warning and Disaster Safety Management Systems
[IEEE] 2026-3-4 | Automated Gear Inspection Using Artificial Intelligence
[IEEE] 2026-3-4 | E-TradeSecure: A Hybrid ResNet-BERT Model for Detecting Intellectual Property Violations in E-Commerce Transactions
[IEEE] 2026-3-4 | An Analytical Study on Central Bank Digital Currencies (CBDCs) and Their Disruptive Effects on Traditional Financial Infrastructures
[IEEE] 2026-3-4 | Method Noise Filter based Multi Focus Image Fusion Using CNN
[IEEE] 2026-3-4 | Resilient Two Degree-of-Freedom IMC for Time Delay Attack Mitigation of Interconnected Power System
[IEEE] 2026-3-4 | FootTrack: Real-Time Player Speed and Possession Analytics in Football Using YOLOv8
[IEEE] 2026-3-4 | Two-Stage Clustering-Based Optimization for Large-Scale PV-BESS-Hydrogen Systems
[IEEE] 2026-3-4 | Design and Analysis of PCB and 3D-Printed Stators for Ironless Double-Sided Axial Flux PM Machines
[IEEE] 2026-3-4 | A Scalable IoMT Platform for Unified Medical Device Monitoring in Resource-Constrained Environments
[IEEE] 2026-3-4 | LowCarb: Carbon-Aware Scheduling of Serverless Functions
[IEEE] 2026-3-4 | "Human-Centric SAR Image Colorization for Intuitive Geospatial Decision-Making"
[IEEE] 2026-3-4 | Framework for Gym Posture Estimation Using MediaPipe and OpenCV
[IEEE] 2026-3-4 | Resilient Zero-Emission Energy Hubs: a Multi-Layer Control Approach
[IEEE] 2026-3-4 | Intelligent SDN Traffic Engineering with MADRL
[IEEE] 2026-3-4 | Intelligent Fundus Image Analysis for Early Detection and Classification of Diabetic Retinopathy
[IEEE] 2026-3-4 | Adaptive Fuzzy-Tuned Series Resistor for Fault Ride-Through in DFIG-Based Wind Turbines
[IEEE] 2026-3-4 | Scalable Tea Leaf Disease Detection Using a Fine-Tuned EfficientNetV2B3 Model
[IEEE] 2026-3-4 | PokeClinicX: Enhancing Recruitment Rate in Clinical Trials through Predictive Modeling
[IEEE] 2026-3-4 | Predicting Heart Attack Risk From Retinal Fundus Images by Using the EfficientNet-B0 Model
[IEEE] 2026-3-4 | Performance Analysis of Low RCS Structures Based on Dielectric Patterning for Radar Stealth Applications
[IEEE] 2026-3-4 | IoT-Enabled Accident Prevention System: Real-Time Detection of Sleep Deprivation, Alcohol Influence, and Heart Attack Symptoms
[IEEE] 2026-3-4 | Evaluating CNN and Transfer Learning Models for Handwritten Odia Character Recognition
[IEEE] 2026-3-4 | CityGuard: A Forensic Investigation Framework for Smart Cities
[IEEE] 2026-3-4 | Optimized ADMET-Driven Molecular Design Using GRU-GCN Architecture with Multi-Objective Optimization
[IEEE] 2026-3-4 | Task-Specific Resource Orchestration for Effective Concurrent Heterogeneous Task Completion in ISCC Systems
[IEEE] 2026-3-4 | Low Energy Building Management Using Arduino Microcontroller
[IEEE] 2026-3-4 | Two-Stage Coordinated Fault Recovery in Active Distribution Networks with Energy Storage and Controllable Loads
[IEEE] 2026-3-4 | Integrating Machine Learning and Statistical Methods: A Hybrid SVM-KNN Model for Rainfall Prediction
[IEEE] 2026-3-4 | Evolution of English Literature in the Age of Artificial Intelligence: challenges and Opportunities with socio-cultural conflicts
[IEEE] 2026-3-4 | Cambricon-GS: An Accelerator for 3D Gaussian Splatting Training With Gaussian-Pixel Hybrid Parallelism
[IEEE] 2026-3-4 | Thyroid Disease Identification via EfficientNetB2: Leveraging Deep Neural Networks for Early Detection
[IEEE] 2026-3-4 | Performance of Fast Electric Vehicle Charging Stations by Energy Storage Devices based Grid Connected Hybrid Renewable Energy Sources
[IEEE] 2026-3-4 | Two-Stage Critical Contingency Assessment for Power System Security Enhancement
[IEEE] 2026-3-4 | Hybrid Particle Swarm and Gravitational Search Optimization for Intelligent Battery Health Estimation
[IEEE] 2026-3-4 | Smart Farming Assistant: A Multilingual AI-Powered Crop Recommendation System Using Real-Time Weather and Soil Data
[IEEE] 2026-3-4 | Resilient Power Distribution Systems Through Risk-Informed Metrics and Strategic Sectionalizing Switching
[IEEE] 2026-3-4 | V-Rex: Real-Time Streaming Video LLM Acceleration via Dynamic KV Cache Retrieval
[IEEE] 2026-3-4 | Energy Management System Using AWS IoT
[IEEE] 2026-3-4 | Enhancing Short-Term Photovoltaic Cluster Power Forecasting via Spatiotemporal Generalized Weather Patterns Recognition and Dynamic Graph Convolutional Neural Networks
[IEEE] 2026-3-4 | AI-Driven Safety Monitoring for Industrial Boilers: Early Fault Detection with Contrastive Learning
[IEEE] 2026-3-4 | Split Federated Learning-Enabled Deep Q-Networks for Generalized Path Planning in Distributed IoT Edge Platform
[IEEE] 2026-3-4 | mCardiacDx: Radar-Driven Contactless Monitoring and Diagnosis of Atrial Fibrillation
[IEEE] 2026-3-4 | Board-Level Reliability Evaluation and Optimization of Power MOSFET Module Under Thermal Cycling Conditions
[IEEE] 2026-3-4 | Error Correction Aware Dependent Task Offloading in Satellite Edge Computing
[IEEE] 2026-3-4 | Distributed Finite-Time SoC Estimation for Lithium-Ion Battery Packs
[IEEE] 2026-3-4 | Current Trends in Ultrasound Wearables: Spotlight on System Architecture_supp1-3664011.pdf
[IEEE] 2026-3-4 | Integration—A Major Driver of Power Electronics Innovation
[IEEE] 2026-3-4 | Explanation-Guided Adversarial Training for Robust and Interpretable Models
[IEEE] 2026-3-4 | HURC-MM: Holistic Uncertainty-Responsive Control for Mobile Manipulator Grasping_supp1-3669764.mp4
[IEEE] 2026-3-4 | Electrothermal Design of Silicon-Doped Microheaters for Optical Phase Change Memory
[IEEE] 2026-3-4 | Nearly tight bounds for testing tree tensor network states
[IEEE] 2026-3-4 | Multi-domain Fusion Based Fatigued Driving Detection using Frequency-Modulated Continuous Wave radar
[IEEE] 2026-3-4 | Performance analysis of multi-user task offloading in mobile edge computing networks: A hierarchical modeling approach
[IEEE] 2026-3-4 | Enhanced Multi-Target Detection with Optimal Sparse MIMO Radar Architecture by Polynomial Interpolation Method
[IEEE] 2026-3-4 | Dynamic distribution entropy analysis via ultrafast intracardiac echocardiography for monitoring of cardiac radiofrequency ablation_supp1-3669561.docx
[IEEE] 2026-3-4 | Deployment and Beamforming Design for RIS-assisted Indoor Wireless Communication in Smart Home
[IEEE] 2026-3-4 | Ensemble Learning for Large Language Models in Text and Code Generation: A Survey
[IEEE] 2026-3-4 | A 28-nm 9-kb SRAM Computing-in-Memory Macro With Segmented Charge Sharing for Multimode MAC Operations
[IEEE] 2026-3-4 | “X of Information” Continuum: A Survey on AI-Driven Multi-dimensional Metrics for Next-Generation Networked Systems
[IEEE] 2026-3-4 | HF-DETR: High-Frequency Feature Enhancement for Small Object Detection
[IEEE] 2026-3-4 | Supervised Anomaly Detection for Generalized Deepfake Detection_supp1-3669841.pdf
[IEEE] 2026-3-4 | Single and Multiple Open-Switch Fault Diagnosis in Electric Drives via Zero-Current Interval Analysis
[IEEE] 2026-3-4 | 6G-Enabled Digital Twin Frameworks for Real-Time Financial Risk Prediction and Strategic Management
[IEEE] 2026-3-4 | Combined AES-256 Encryption with MATLAB and Verilog HDL Biometric Authentication
[IEEE] 2026-3-4 | AI-Based Phishing Attack Simulation Using Deep Learning Techniques and Cloud-Enabled Email Spoofing Detection
[IEEE] 2026-3-4 | Advancement in Ransomware Detection Using Deep Learning
[IEEE] 2026-3-4 | A Unified AI-Powered Resume Generation and ML-Based Candidate Filtering Framework for Smart Campus Recruitment
[IEEE] 2026-3-4 | RidgeWalker: Perfectly Pipelined Graph Random Walks on FPGAs
[IEEE] 2026-3-4 | MSF-Net:Multi-Sector Fuzzy Network For Interpretable Eye Disease Classification From Low-Quality Fundus Images
[IEEE] 2026-3-4 | A New Method for Virtual Inertia Control in Wind Turbines with Doubly-Fed Induction Generators
[IEEE] 2026-3-4 | Cell-Free Massive MIMO-Assisted SWIPT Using Stacked Intelligent Metasurfaces
[IEEE] 2026-3-4 | Fed-MA Driven Multi-Modal Data Fusion Framework with Autoencoders for Scalable and Privacy-Preserving Edge Intelligence
[IEEE] 2026-3-4 | Enhancing Charging Stations Planning via Multi-Agent System and Multi-Objective Evolutionary Optimization
[IEEE] 2026-3-4 | Progressive Incentive Scheduling Strategy Considering Virtual Power Plant Response Sensitivity
[IEEE] 2026-3-4 | A Comprehensive Analysis, Design and Implementation of Optimized Current Control for Enhanced Dynamic Performance and Stability in Single Inductor-Dual Output DC-DC Buck Converter
[IEEE] 2026-3-4 | Optimal Fast-Acting Frequency Containment for Modern Power Systems with Variable Inertia
[IEEE] 2026-3-4 | Techno-Economic Optimisation of Large-Scale Electrolyser System for Green Hydrogen Grid Integration
[IEEE] 2026-3-4 | Estimation of State of Charge of Electric Vehicle Battery for Transportation Using Extended Kalman Filter Method
[IEEE] 2026-3-4 | A DenseNet-Based Deep Learning Approach for Accurate Classification and Interpretability in the Diagnosis of Acute Lymphoblastic Leukemia
[IEEE] 2026-3-4 | Fine-Tuned Xception Model for Automated Classification of Indian Rock Reptiles: A Deep Learning Approach to Python and Russell's Viper Identification
[IEEE] 2026-3-4 | Levelling Up for Nature: Pathways of Engagement with Green Messages in Games
[IEEE] 2026-3-4 | The Power of Trust in Recommender Systems: Improving Outcomes and Reducing Noise
[IEEE] 2026-3-4 | An Adaptive Reinforcement Learning Based Control Strategy for Inverter-Based Resources-Dominated Power Grids
[IEEE] 2026-3-4 | Underwater Data Sensing Methods: A Review of Sensors, Compressed Sensing and Imaging, Sparse Recovery Algorithms, and Future Directions
[IEEE] 2026-3-4 | FPGA-Based Real-Time Quality Analysis Framework for Photoplethysmogram Signals
[IEEE] 2026-3-4 | Scenario-Based Financial Evaluation of Battery Sizing Strategies for DC Fast Charging Sites
[IEEE] 2026-3-4 | Revolutionizing Image Processing with Quantum Algorithms: Encoding, Enhancement and Recognition
[IEEE] 2026-3-4 | PEB-Net: Deep Local Patch Enhancement for Low-Light Image Restoration
[IEEE] 2026-3-4 | Renewable Energy Opportunities for Green Ammonia Storage: Challenges and Opportunities
[ACM] 2026-3-5 | Health Degree Prediction of DCS Equipment Based on WOA-BP Neural Network
[IEEE] 2026-3-4 | FACE: Fully Overlapped PD Scheduling and Multi-Level Architecture Co-Exploration on Wafer
[IEEE] 2026-3-4 | SAGe: A Lightweight Algorithm-Architecture Co-Design for Mitigating the Data Preparation Bottleneck in Large-Scale Genome Sequence Analysis
[IEEE] 2026-3-4 | Artificial Intelligence and Machine Learning Approaches for Healthcare Fraud Detection: A Review, Case Study, and Framework
[IEEE] 2026-3-4 | Default Loan Prediction Using Machine Learning
[IEEE] 2026-3-4 | Stage-Wise Power Loss Dissection of Totem-Pole Bridgeless PFC: From Simulation to Real-Time HIL Validation
[IEEE] 2026-3-4 | A Hybrid Sensor–Image Framework for Smart Farming Using Deep and Ensemble Learning
[ACM] 2026-3-5 | DyVertexGAT: A Novel GNN-based Target Assignment Policy for Multi-Aircraft Combat Decision
[IEEE] 2026-3-4 | A Dynamic Average Consensus-Based Distributed Control for DC Microgrids Using Virtual Power Tracking
[IEEE] 2026-3-4 | ML-Driven Prediction of Invasive Mechanical Ventilation in Sepsis: Insights from a tertiary care hospital in India
[IEEE] 2026-3-4 | Detection and Classification of Microbial Quality for Milk Products based on Deep Learning Techniques
[IEEE] 2026-3-4 | Modelling the Impact of ESG-Bond Issuance on Corporate Credit Ratings and Cost of Capital Using Econometric and Machine-Learning Approaches
[IEEE] 2026-3-4 | Fish Farm Water Quality Monitoring System Using IoT
[IEEE] 2026-3-4 | A Data-Driven Hybrid Model for Reliable Detection of Diabetic Retinopathy
[IEEE] 2026-3-4 | An Explainable AI Approach to Alzheimer’s Prediction using Ensemble Methods on Imbalanced Data
[IEEE] 2026-3-4 | A Novel Multilevel Transformerless Grid Integrated PV Inverter for Reduced Common-mode Current
[IEEE] 2026-3-4 | MEDICARE-AI Integrated Learning Approach for Tumour Detection and Prediction
[IEEE] 2026-3-4 | Reliability of Renewable Integrated Systems Considering Demand Response
[IEEE] 2026-3-4 | State of Health Estimation of Lithium-Ion Batteries Based on Parallel LSTM—Attention Transformer
[IEEE] 2026-3-4 | Trustworthy and Explainable Brain Tumor Segmentation: A Multi-Dimensional Survey of Classical and Deep Learning Approaches
[IEEE] 2026-3-4 | Dual-Band Miniaturized DGS Patch Antenna for High-Efficiency Sub-6 GHz 5G Systems
[IEEE] 2026-3-4 | Practical Implementation of GPU-Based Computing at the Grid Edge for Resilience Scenarios
[IEEE] 2026-3-4 | Comparative Evaluation of Handcrafted Image Descriptors with IBK Classifier for Automated Skin Disease Classification
[IEEE] 2026-3-4 | An Integrated Approach to Green Cloud Solutions for Energy-Efficient Sustainable IT and Carbon Footprint Reduction
[IEEE] 2026-3-4 | Tab-Transformer Based Deep Learning Framework for Electricity Theft Detection in Smart Grids
[IEEE] 2026-3-4 | Data-Driven Outlier Processing of Net Demand Time Series for Power System Reliability Evaluation
[IEEE] 2026-3-4 | Spatiotemporal Anomaly Detection in Smart Grids Using Latent Representation Learning and Bidirectional LSTM
[IEEE] 2026-3-4 | An IoT-Driven Cardiovascular Disease Detection Model Optimized Using Genetic Algorithm and SVM
[IEEE] 2026-3-4 | Innovation Strategies and Commercial Viability of Electric Vehicle Battery Management Systems
[IEEE] 2026-3-4 | Insulation Resistance Estimation Method Using Multi-Switching in Low-Voltage DC IT Systems Based on an Open-Type Midpoint Grounding Configuration
[IEEE] 2026-3-4 | Hybrid Deep Learning Model Fusion for Enhanced Cervical Cancer Identification and Classification
[IEEE] 2026-3-4 | Review of the Modern Passive Cell Balancing Techniques Implemented to the Batteries of EVs
[IEEE] 2026-3-4 | Explainable AI for Early Diagnosis of Alzheimer’s Disease: A Transparent Deep Learning Approach
[IEEE] 2026-3-4 | Analysis of a Hybrid Solar-Biogas Energy System with Energy Storage for Stable Power Grid Using Machine Learning-Based Forecasting
[IEEE] 2026-3-4 | Front Cover
[IEEE] 2026-3-4 | GaitStruct: Enhanced Human Recognition Through Edge Structure Detection in Visual Gait Analysis
[IEEE] 2026-3-4 | ICPEE 2025 TOC
[IEEE] 2026-3-4 | Optimal Traffic-Informed Design and Operation of EV Charging Stations in Power Distribution Grids
[IEEE] 2026-3-4 | A Deterministic Real-Time System for Monocular Depth Estimation on a Low-Cost Edge AI Platform: From Kernel to Inference
[IEEE] 2026-3-4 | A Novel Deep Learning Technique to Model and Predict the Spread of Cybersecurity Threats
[IEEE] 2026-3-4 | A Lightweight Real-Time Disaster Assessment Semantic Segmentation Model for Autonomous Aerial Vehicles Remote Sensing
[IEEE] 2026-3-4 | HCPMR: A Hierarchically Coordinated Proximal Multi-Hop Routing Scheme for FANETs in Mission-Critical Environments
[IEEE] 2026-3-4 | Byzantine-Resilient Federated Learning with Trust-Aware Task Scheduling for Heterogeneous UAV Swarms
[IEEE] 2026-3-4 | A Dual-mode FSK Wireless Power and Data Transfer System with 1.1 Mbps Data Rate and Rectifier Output Power of 148 mW for Implantable Medical Applications
[IEEE] 2026-3-4 | Deep Learning-Based Joint Activity Detection and Channel Estimation for Cell-Free Massive MIMO
[IEEE] 2026-3-4 | A Dual Hybrid Data-Driven Strategy for Soft Measurement of Dioxins Emission
[IEEE] 2026-3-4 | XNet: Enhancing Physical Activity Intensity Assessment With Attentional Multidomain Fusion and Visual Analytics_supp1-3666726.pdf
[IEEE] 2026-3-4 | Accelerated Iterative Learning Control Using Fractional High-Order Update Rule for LTI Systems
[IEEE] 2026-3-4 | Secure Data Sharing Framework with Fine-grained Access Control and Privacy Protection for IoT Data Marketplace
[IEEE] 2026-3-4 | Real-Time Frequency Characterization of Chirped Lasers via Finite-Difference Phase Measurements
[IEEE] 2026-3-4 | Distributed Task Planning Method for Synchronous Execution of Heterogeneous Tasks in Uncertain Environments_supp1-3670128.mp4
[IEEE] 2026-3-4 | DSHD-CAM: High-Throughput RRAM CAM Leveraging Dynamic Shifted Hamming Distance for Genome Analysis
[IEEE] 2026-3-4 | Dual Function Metasurface: mm-Wave Radiator and Gain Enhancement Surface for Antenna-on-Chip
[IEEE] 2026-3-4 | Simultaneous High-Sensitivity and Rapid-Response Acetylene Detection Using a 3D-Printed Single-Fiber Photoacoustic Probe
[IEEE] 2026-3-4 | Transmission Delay Minimization for NOMA-Based F-RANs
[IEEE] 2026-3-4 | Harmonic Quality Enhancement of Single-Phase 7Level CHB-Multilevel Inverter Using TriplenHarmonic Elimination and Unequal DC-Link Based SHM-PAM Schemes: A Comparative Study
[IEEE] 2026-3-4 | Advanced MPPT Controllers for Hydrogen Vehicle Systems: A Critical Simulative Analysis
[IEEE] 2026-3-4 | Dynamic State Estimation-Based Attack Detection Scheme to Supervise Line Current Differential Relays
[IEEE] 2026-3-4 | Early Detection of Cucumber Leaf Diseases with VGG16 for Smart Agricultural Monitoring
[IEEE] 2026-3-4 | SAMAGRA AI-Driven Unified Citizen Welfare Scheme Portal
[IEEE] 2026-3-4 | Deep Learning for Coffee Leaf Disease Detection: Convolutional Neural Networks in Agricultural Applications
[ACM] 2026-3-5 | Differentiated Task Design and Feedback of SOLO Classification Method Based on Large Language Model-A Case Study of Parabola Teaching in High School
[IEEE] 2026-3-4 | PS-Informer: An Informer-Based Wave Forecasting Model for Wave Energy Converter Applications
[IEEE] 2026-3-4 | Swift: High-Performance Sparse-Dense Matrix Multiplication on GPUs
[IEEE] 2026-3-4 | Leveraging ASIC AI Chips for Homomorphic Encryption
[IEEE] 2026-3-4 | SARRA: A Secure Adaptive and Resilient Routing Framework of FANETs with Hybrid Blockchain and Deep Q-Network Intelligence
[IEEE] 2026-3-4 | Deep Spectrogram-Based EEG Decoding of Visual Stimuli Using a Novel CNN Architecture
[IEEE] 2026-3-4 | Transformer Lifespan Estimation Using Advanced Machine Learning and Condition Monitoring Data
[IEEE] 2026-3-4 | FlexTrail: Human-in-the-Loop Simulation for Real-Time Exploration of HVAC Demand Flexibility
[IEEE] 2026-3-4 | Duty Ratio Modulated MTPA Control for Sensorless Induction Motor Drives in Off-Grid Solar Water Pumping System
[IEEE] 2026-3-4 | Multi-Lingual Contextual Audio Transcription and Translation to Selected Native Languages
[IEEE] 2026-3-4 | NextGen IoT Security: A Decentralized Model for Data Integrity and Access Control
[IEEE] 2026-3-4 | Modeling and Simulation of a Dual-Battery System for Thermal Runaway Prevention in Electric Vehicles
[IEEE] 2026-3-4 | A Symmetric Bipolar Isolated Combined Cuk-SEPIC Converter Using Single Switch
[IEEE] 2026-3-4 | Renewable Energy and Loads Uncertainty Modeling for Power System Planning
[IEEE] 2026-3-4 | Resilience Enhancement of the ITER Pulsed Power Electrical Network Using Grid-Forming STATCOM
[IEEE] 2026-3-4 | Conduit: Programmer-Transparent Near-Data Processing Using Multiple Compute-Capable Resources in Solid State Drives
[IEEE] 2026-3-4 | Design of Machine Learning Methodology for Cardiovascular Disease Classification and Early Prediction based on Big Data
[IEEE] 2026-3-4 | SSSM-Based Data-Driven Real-Time Wind Power Forecasting for Inertia Support Scenario
[IEEE] 2026-3-4 | A Double Deep Q-Learning Based Real-Time Energy Management Optimization for Microgrids
[IEEE] 2026-3-4 | Ultra-Short-Term Reginal Photovoltaic Power Forecasting Based on Satellite Cloud Images and Graph Convolutional Neural Networks
[IEEE] 2026-3-4 | Dynamic Mode Identification and Frequency Stability Enhancement for Grid-Forming Converters
[IEEE] 2026-3-4 | Cooperative Game-Theoretic Inverse Reinforcement Learning for Smart Grid Scheduling
[IEEE] 2026-3-4 | A Comprehensive Review of Modern Therapeutic and Wearable Technologies in Rehabilitation
[IEEE] 2026-3-4 | Classifying Telugu Sentiments Using Transformed-Based Methods
[IEEE] 2026-3-4 | Survey and Design of Optimized Network-On-Chip Router
[IEEE] 2026-3-4 | Financial Institution Customer Segmentation Using Unsupervised Learning – A Data-Driven Approach to Customer Profiling
[IEEE] 2026-3-4 | Real time Traffic Prediction and Management Using Reinforcement Learning Algorithm
[IEEE] 2026-3-4 | A Novel High Gain Boost Common-Ground Inverter Without Shoot-Through Issue
[IEEE] 2026-3-4 | A Federated Privatized Generative System for Smarter Image Integrity and Context-Tuned Tamper
[IEEE] 2026-3-4 | Transferring Packetized Energy Across Cells with Asynchronous Forwarding
[IEEE] 2026-3-4 | A Web-Based Smart Farming System with Voice Control and Multilingual Assistance
[IEEE] 2026-3-4 | A Fixed Frequency LLC Converter with Phase Shift Controlled Semi Active Rectifier for PV Applications
[IEEE] 2026-3-4 | Fine-Tuning BERT Models for Conversational Question Answering on the CoQA Dataset
[IEEE] 2026-3-4 | Context Aware Real Time Data Processing Algorithms for Enhanced Performance in Edge Computing Networks
[IEEE] 2026-3-4 | EmpaAI: Intelligent Query-Based Mental Health Assistance
[IEEE] 2026-3-4 | EfficientNetB3 for the Early Detection of Alzheimer’s Disease
[IEEE] 2026-3-4 | CNN-Based Thoracic Imaging Analysis for Pneumonia Detection using Chest Radiographs
[IEEE] 2026-3-4 | Comparative Review of Advanced Bidirectional DC-DC Converters for EV Charging Applications
[IEEE] 2026-3-4 | Threat Modeling and Mitigation of Social Engineering Attacks in Information Security Domains
[IEEE] 2026-3-4 | Characteristic Investigation of Active Distribution Networks Considering Demand-Side Response
[IEEE] 2026-3-4 | Harnessing the Sun: A Comprehensive Review of Solar Panel Applications in Industrial and Domestic Environments
[IEEE] 2026-3-4 | An Innovative Cloud-Edge Computing Disaster Management Infrastructure with Blockchain Inclusion: Promoting Safe and Open Emergency Response Across Dispersed Networks
[IEEE] 2026-3-4 | Air Quality Forecasting Using Machine Learning Techniques
[IEEE] 2026-3-4 | Dynamic Reference Anchor Selection for Enhanced TDoA-Based UWB Localization in Complex Scenarios
