[2026-02-21 09:18:24] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-02-20
正在获取论文...
[ACM] 2026-2-20 | Wildfire@Home: Personalized Immersive Training for Household Situation Awareness
[IEEE] 2026-2-20 | Optimized Ensembled Model for Water Toxicity Prediction Using Machine Learning Approach
[IEEE] 2026-2-20 | A Fuzzy-Based Clustering and Routing Protocol for Enhancing the Lifetime of Wireless Sensor Networks
[IEEE] 2026-2-20 | Structured Controller Design in Grid Following Converters for Guaranteed Performance and Robustness Against Weak Grids. An LMI Approach
[IEEE] 2026-2-20 | EV Charging Infrastructure Development in Smart Grids
[IEEE] 2026-2-20 | Imbalanced Data Handling for Stroke Prediction Using Oversampling and Cost-Sensitive Learning
[IEEE] 2026-2-20 | Electric Field Emissions from Laptop Computers: A Quantitative Study of User Exposure During Charging and Non-Charging Operations
[IEEE] 2026-2-20 | Methodology for an Analysis of Influencing Factors on 3D Object Detection Performance
[IEEE] 2026-2-20 | Term Deposit Customer Prediction: Leveraging Explainable Boosting Machine (EBM) with Bank Marketing Data
[IEEE] 2026-2-20 | SYMPOL 2025 TOC
[IEEE] 2026-2-20 | Optimization and Integration of Low-Area Low-Energy and High-SQNR FFT Accelerators in ULP MCUs
[IEEE] 2026-2-20 | Table of Contents
[IEEE] 2026-2-20 | Consistent Soil Moisture and Vegetation Optical Depth from Relatively Calibrated SMOS Brightness Temperatures with SMAP
[IEEE] 2026-2-20 | Getting Acquainted with Your LLMs: Are They Aware of Smelly Code?
[IEEE] 2026-2-20 | Single-Step Hardware-Aware Neural Network Quantization with Mixed Precision
[IEEE] 2026-2-20 | Enhancing Adversarial Transferability with Cost-efficient Landscape Flattening_supp1-3664421.pdf
[IEEE] 2026-2-20 | Masthead
[IEEE] 2026-2-20 | ICMLANT 2025 Opinion
[IEEE] 2026-2-20 | Human or Machine? A Survey on Machine-Generated Text Detection
[IEEE] 2026-2-20 | Retraction Notice: Traffic Flow Prediction Based on Dynamic Environment-Aware and Adaptive Multi-Scale Feature Extraction
[IEEE] 2026-2-20 | IoT-Enabled Hierarchical Energy Trading for Multi-Community Sharing in the Internet of Energy
[IEEE] 2026-2-20 | Joint Semantic Compression and Massive MIMO Transmission for Edge Video Analytics
[IEEE] 2026-2-20 | A Multi-World Synthetic Benchmark for Evaluating RSCE in Clinical Machine Learning
[IEEE] 2026-2-20 | Chair's Message
[ACM] 2026-2-20 | Bridging the Gap: Multi-Level Governance of Open Science in the Republic of Moldova amidst EU Accession
[ACM] 2026-2-20 | Enhancing Dialectal Arabic Sentiment Analysis Using Deep Learning
[IEEE] 2026-2-20 | Fashion Recommendation System Using Vision Transformers (ViT) and Graph Neural Networks (GNN)
[IEEE] 2026-2-20 | Scaling MADDPG for Enhanced Multi-Agent Reinforcement Learning
[IEEE] 2026-2-20 | Blocking Analysis in Multi-Server Queues for Computer Network Performance
[IEEE] 2026-2-20 | Attention-Based Deep Learning for Retail Sales Forecasting: A TabNet Framework with Store-Level Clustering
[IEEE] 2026-2-20 | Enhancing Cloud Computing Load Balancing: A Review of Machine Learning Approaches, Open Challenges, and Proposed Architecture
[IEEE] 2026-2-20 | Machine Learning and NLP-Enabled Talent Recruitment and Retention Framework for Financial HR Optimization
[IEEE] 2026-2-20 | Student Grades Prediction and Forecast Using the Linear Regression
[IEEE] 2026-2-20 | Sentiment Analysis of Movie Reviews Using DistilBERT
[IEEE] 2026-2-20 | NLP and Explainable AI for Clinical Decision Support: A Comprehensive Review with Emerging Quantum Perspectives
[IEEE] 2026-2-20 | A Hierarchical DWD-PLRM Framework for Real-Time Autonomous Navigation in Dynamic Environments
[IEEE] 2026-2-20 | Smart Logistics Management for Electric Motorcycles
[IEEE] 2026-2-20 | Stability Assessment of HVDC Transmission System Utilizing Hybrid DR-MMC Converter in Sending-Terminal
[IEEE] 2026-2-20 | Counterfactual Adversarial Learning for Fair LLM Recommenders
[IEEE] 2026-2-20 | The Dual-System Hierarchical Architecture: A Future Paradigm for Vision-Language-Action Models
[IEEE] 2026-2-20 | FDTD Electromagnetic Simulation of Electrically Steerable Phased Patch Antenna Array
[IEEE] 2026-2-20 | Explainable Machine Learning for Preoperative Prediction of Tumor Focality in Thyroid Cancer Using Lifestyle and Clinical Examination Data
[IEEE] 2026-2-20 | Lifetime Prediction of Proton Exchange Membrane Fuel Cell System Under Integration of Gaussian Process Regression with Bayesian Optimization
[IEEE] 2026-2-20 | Controlling the Attenuation Slope in a Rectangular Waveguide Partially Filled with an Absorber: Application to the Design of Attenuators
[IEEE] 2026-2-20 | AI-powered Muscle Tracking Genie
[IEEE] 2026-2-20 | AI-Powered Data Analytics for IoT Systems: A Review on Efficient Processing at the Edge and Beyond
[IEEE] 2026-2-20 | Autonomous Security Orchestration for Cloud-Native Environments Using Multi-Agent Systems
[IEEE] 2026-2-20 | Design and Implementation of an AI-Based Automatic Plastic Waste Sorting System
[IEEE] 2026-2-20 | Toward Emotion-Aware and Personality-Driven Mental Health Chatbots Using Large Language Models
[IEEE] 2026-2-20 | Four Spiral Resonator Compact Diplexer with Improved Out-of-Band Rejection for the Coexistence of 5G Applications
[IEEE] 2026-2-20 | Deep Learning-Based Sign Language Communication System with Multi-Language Support
[IEEE] 2026-2-20 | Benefit Allocation Method for Integrated Energy System Alliances Based on Alternating Bidding Game
[IEEE] 2026-2-20 | InterQ: a Job Interview Training Platform Using Facial Expression Detection and Answer Scoring
[IEEE] 2026-2-20 | Active Probe Based NTP Vulnerability Detection
[IEEE] 2026-2-20 | Heart Attack and Cardiac Arrest Predictor: Data-Driven Approach
[IEEE] 2026-2-20 | Solving Optimal Power Flow Using Enhanced Dung Beetle Optimization Algorithm
[IEEE] 2026-2-20 | Automated Preprocessing and Deep Learning for Non-Invasive Anemia Estimation Using Conjunctival Images
[IEEE] 2026-2-20 | Enhancing Autonomous Vehicle Security: An Adaptive CAN Bus Testbed Architecture
[IEEE] 2026-2-20 | Accelerating Arithmetic: A Novel Approach to Ladner-Fischer Adder Design
[IEEE] 2026-2-20 | Hybrid Pinching Antenna Systems: Architecture and Beamforming Design
[IEEE] 2026-2-20 | A Systematic Analysis of Object Detection Approaches in Images: A Comprehensive Review
[IEEE] 2026-2-20 | A Novel Multifunctional Filtering Leaky Wave Antenna in Substrate Integrated Waveguide Technology
[IEEE] 2026-2-20 | Cross-Modal Mixup Enhance Foundation Model Adaptation for Few-Shot Learning
[IEEE] 2026-2-20 | A Power System Operating State Prediction Model Integrating Big Data Analytics
[IEEE] 2026-2-20 | Enhancing Wind Speed and Power Forecasting Accuracy Using Machine Learning Techniques: A Case Study of Jaisalmer Wind Park, India
[IEEE] 2026-2-20 | Comparative Analysis of Energy Storage Revenues in Provincial and Regional Electricity Markets
[IEEE] 2026-2-20 | Comparative Analysis of Single Nucleotide Polymorphism Processing Methods for Eye Color Prediction
[IEEE] 2026-2-20 | Transaction fraud detection algorithm based on graph neural network and user behavior
[IEEE] 2026-2-20 | Deep Reinforcement Learning Scheduling Method for Power Systems Considering Transmission Limits and Transient Security Constraints
[IEEE] 2026-2-20 | Performance Evaluation of PSO-Based MPPT Algorithm for PV Systems Under Partial Shading
[IEEE] 2026-2-20 | Advancing Multivariate Time Series Forecasting with the HybridTST-Transformer Model
[IEEE] 2026-2-20 | Hybrid CNN-Transformer Model for Scalable and Robust Phishing URL Detection
[IEEE] 2026-2-20 | Kullback–Leibler Divergence–Driven Cooperative Asynchronous Compressive Spectrum Sensing for Cognitive Radio Networks
[IEEE] 2026-2-20 | Computing the Load Margin of Power Systems Using Birds of Prey-Based Optimization Algorithm
[IEEE] 2026-2-20 | Multi-Model Disagreement Active Learning for N-1 Stability Constraint Construction in Optimal Power Flow
[IEEE] 2026-2-20 | Low-Frequency NILM via Deep Dictionary Learning and Compressed Sensing
[IEEE] 2026-2-20 | Research on Early Insulation Fault Detection and Location in Distribution Power Cables
[IEEE] 2026-2-20 | Examining Opportunities, Challenges, and Strategic Integration in AI-Driven Corporate Communication
[IEEE] 2026-2-20 | Compact Dual Band Substrate Integrated Waveguide Cavity Backed Patch Antenna with Hybrid Pattern
[IEEE] 2026-2-20 | MediAid: Automated Healthcare and Smart Medicine Dispenser
[IEEE] 2026-2-20 | Median Frequency Inflation Rate (MFIR): A Novel Time–Frequency Method for Rapid P and S–Wave Detection in EEW Systems
[IEEE] 2026-2-20 | Research On Temperature Error Compensation Technology of Pillar Optical Fiber Current Transformer
[IEEE] 2026-2-20 | Research and Application of Regulatory Safety Management Underthe New Situation
[IEEE] 2026-2-20 | Motorcycle Exhaust Gas Emission and Noise Measurement and Classification System Using ESP32 and IoT Sensor
[IEEE] 2026-2-20 | A Rule-based Energy Management System for a Marine Electric Propulsion System
[IEEE] 2026-2-20 | Dual-layer Integrated MPC and SMC-based Energy Management Strategies for Hybrid Electric Vehicles
[IEEE] 2026-2-20 | Innovative Charging and Discharging Policies for EV Battery Management: Leveraging Reinforcement Learning for Elongation and Efficiency
[IEEE] 2026-2-20 | Predicting the Clear-Sky and Clearness Indices for GHI Estimation Under Two Algerian Climate
[IEEE] 2026-2-20 | Interpretable Healthcare Cost Prediction Using XGBoost with Dual Explainable AI Framework
[IEEE] 2026-2-20 | Design of Dynamic Prediction System for Electricity Heterogeneous Data Based on Deep Neural Network
[IEEE] 2026-2-20 | Comparative Analysis of Clustering Algorithms for Identifying Wind Turbine Operating Regimes from SCADA Data
[IEEE] 2026-2-20 | A Method for Locating High-Resistance Ground Faults in Low-Resistance Grounded Systems Based on Zero-Sequence Current-Voltage Characteristics and Matrix Algorithms
[IEEE] 2026-2-20 | Analysis of a Variable Region Size in Regional Voting
[IEEE] 2026-2-20 | Real-Time Educational Personalization Using Fine-Tuned LLMs and Learner Behavior Analytics
[IEEE] 2026-2-20 | Comparative Study of Circular and Rectangular MPA Using HFSS Tool (Wi-Fi Applications)
[IEEE] 2026-2-20 | Research on Switching-Period-Based Loss Balancing Technology for All-SiC Active NPC Inverters
[IEEE] 2026-2-20 | AZTEM: A Self-Evolving Zero-Trust Model for Adaptive Cloud Security Using AI-Driven Threat Mitigation and Quantum-Resilient Encryption
[IEEE] 2026-2-20 | A Method for Enhanced Depth Detection in Underwater Navigation: Implementation and Comparative Study
[IEEE] 2026-2-20 | Logic Functional Scaling in the Angstrom Era: From Generic CMOS to Function-Specific Optimization
[ACM] 2026-2-20 | Bridging the Digital Divide: A Comparative Analysis of Digital Maturity in Private and Public Sector Organizations
[ACM] 2026-2-20 | Graph Augmentation for Intersectional Unfairness Mitigation: A Study across Dataset Scales and Interaction Densities
[IEEE] 2026-2-20 | Preface
[ACM] 2026-2-20 | Prompting the Future: AI-Guided Episodic Thinking to Support Long-Term Goals
[ACM] 2026-2-20 | DigitalOmmie: Adapting Calm Design from Social Robots to Digital Replicas to Reduce Momentary Anxiety
[IEEE] 2026-2-20 | Table of Contents
[IEEE] 2026-2-20 | A Low-Latency Post-Quantum Group Authentication Framework for VANETs
[IEEE] 2026-2-20 | Revolutionizing Turn-by-Turn Navigation With Cloud-Edge Deep Learning
[IEEE] 2026-2-20 | Detecting inline code comment smells leveraging CodeBERT Model
[IEEE] 2026-2-20 | IEEE Women in Engineering Membership Benefits
[IEEE] 2026-2-20 | Gain Self-Adjustment Observation and Guaranteed Performance for Faulty Industrial Process System: A Performance Self-Recovery Approach
[IEEE] 2026-2-20 | Health Monitoring of Inductor Based on the Thermal Time Constant
[IEEE] 2026-2-20 | IEEE Journal of Photovoltaics Information for Authors
[IEEE] 2026-2-20 | ATC 2025 Organizing Committee
[IEEE] 2026-2-20 | Copyright Page
[IEEE] 2026-2-20 | DigitalTwin 2025 Program Committee
[IEEE] 2026-2-20 | Title Page i
[IEEE] 2026-2-20 | SYMPOL 2025 Cover Page
[IEEE] 2026-2-20 | Edge-Optimized Agentic AI for Stochastic Communication Modeling in Digital Systems
[IEEE] 2026-2-20 | A Low-Pass Filtering Wilkinson Power Divider with Wide Harmonic Suppression
[IEEE] 2026-2-20 | DPCC for Winding Segmented Permanent Magnet Linear Synchronous Motor with Sliding Mode Disturbance Observer
[IEEE] 2026-2-20 | Solving Inverse Kinematics for Quantised Joint Manipulators Using Metaheuristics and Discrete Gradient Descent
[IEEE] 2026-2-20 | Breakdown Characteristics of Fluorocarbon Dielectric for HV High Power Electronic Device Phase Change Cooling System
[IEEE] 2026-2-20 | Solar Photovoltaic Panels Tilt Angle Optimization using Artificial Neural Networks
[IEEE] 2026-2-20 | Design and Implementation of a Smart Contract Integrity Verification Framework for API
[IEEE] 2026-2-20 | Analysis of Electromagnetic Characteristics of Magnetic - Latching Relays and Optimization Design Based on Multiple Factors
[IEEE] 2026-2-20 | Multi-View Feature Fusion with Cross-Attention for Robust Leukemia Detection in Microscopic Imaging
[IEEE] 2026-2-20 | Performance Analysis of UAV Communication Using Scaled Selection Combining
[IEEE] 2026-2-20 | YOLO-PetX: Enhanced YOLO-Based Recognition of Abnormal Dog Behaviors in Intelligent Pet Care Applications
[IEEE] 2026-2-20 | A Knowledge Graph Approach with Graph Data Science and Hybrid Filtering for Personalized Learning Recommendation System
[IEEE] 2026-2-20 | Graph partitioning for accuracy and scalability in training GNN-based traffic prediction models for Intelligent Transportation Systems
[IEEE] 2026-2-20 | Secure Fog-Edge and 5G-Enabled Architecture for AI-Driven Mobility, Real-Time Traffic Analytics, and Accessibility in Aging-Focused Intelligent Transportation Systems
[IEEE] 2026-2-20 | Practical Visualization of Learning and Teaching Behaviour Patterns Using Moodle Blocks
[IEEE] 2026-2-20 | 5G-Enabled Edge Intelligence for Hybrid Inverters with Smart Solar Battery Charging
[IEEE] 2026-2-20 | Improving Stock Price Prediction Utilizing Anomaly Detection and Handling for Top 3 LQ45 Financial Company in Indonesia
[IEEE] 2026-2-20 | Empirical Analysis of AI Methods of Forecasting financial Times Series: A Research on LSTM and ML models in Indian Stock, Commodity and Energy Prices
[IEEE] 2026-2-20 | Gain-Scheduled-PID Controller design for Anti-Lock Braking System of Automobile
[IEEE] 2026-2-20 | Cross-Market Collaborative Trading Strategy for Virtual Power Plants: A Hierarchical Multi-Agent Deep Reinforcement Learning Approach
[IEEE] 2026-2-20 | Research on Short-term Line Loss Rate Prediction Method of Distribution Network Based on RF-CNN-SVM
[IEEE] 2026-2-20 | The Deepfake Governance Gap: Navigating Global Regulation in an Age of Synthetic Realitiess
[IEEE] 2026-2-20 | Assistive Wearable for Real-Time Posture Monitoring and Correction in Elderly Using Using Inertial Sensing
[IEEE] 2026-2-20 | Machine Learning-Assisted Screening of Pyrimidine-Pyrazole Derivatives as Steel Corrosion Inhibitors in Hydrochloric Solution
[IEEE] 2026-2-20 | Impact of Meta-Heuristic Hyper-Parameter Tuning in AI Based Fault Classification in a Grid Connected PV System
[IEEE] 2026-2-20 | AI-Powered Glasses for Visually Impaired
[IEEE] 2026-2-20 | Magnetic Transmission Performance Evaluation of Magnetic Gear and Magnetic Lead Screw
[IEEE] 2026-2-20 | Bio-Inspired Optimization for Channel Equalization: A Study on the African Vultures Algorithm
[IEEE] 2026-2-20 | Sequence-Domain Impedance Model of Grid-Following VSCs with DC-Side Impedance Coupling
[IEEE] 2026-2-20 | IndoBERT and IndoBERT-Lite Models in YouTube Comment Sentiment Analysis to Assess All-Age Viewing Suitability
[IEEE] 2026-2-20 | Impact of Mesh Density and Time-Step Variation on Losses and Torque Characteristics in 3D and 2D FEM Models of an Axial Flux Machine
[IEEE] 2026-2-20 | Vision-Based Adaptive Signal Control: A Comparative Study of YOLOv9, SSD, and Faster R-CNN
[IEEE] 2026-2-20 | A Privacy-Preserving AI-Blockchain Framework for End-to-End Supply Chain Traceability
[IEEE] 2026-2-20 | Karana: A Post-Quantum Secure AI Surveillance System for Autonomous Multimodal Threat Detection
[IEEE] 2026-2-20 | Digital Twin and Machine Learning-Enabled Reliability Assessment for Distribution Networks: a Hybrid Framework
[IEEE] 2026-2-20 | Thermal Compatibility of Immersion Phase Change Cooling System Medium with High Power IGBT Material
[IEEE] 2026-2-20 | A Cost-Aware Retraining Recalibration Strategy in Communication Network
[IEEE] 2026-2-20 | Design and Simulation of Software Defined Radar
[IEEE] 2026-2-20 | A Gated Fusion Framework for Multimodal Urdu Named Entity Recognition
[IEEE] 2026-2-20 | Enhancing Industrial Productivity through Integrated Automation Control Systems Using Edge-Based Smart Digitization Techniques
[IEEE] 2026-2-20 | Neuromorphic Architectures for Real-Time Speech Processing in Noisy Environments
[IEEE] 2026-2-20 | Low-Cost Portable Digital Shadow for Radiative WPT Systems
[IEEE] 2026-2-20 | Resilient-Sustainable Winner Determination for Raw Material Procurement Auctions of Electric Vehicle Batteries
[IEEE] 2026-2-20 | Information Extraction and Standardization from Scanned Medical Reports using Vision Language Models
[IEEE] 2026-2-20 | Temperature Field Characteristic Analysis Based on Dynamometer Measurements of a Permanent Magnet Synchronous Motor
[IEEE] 2026-2-20 | Continuous Power Flow-Based Cooperative Optimization of Multiple SVGs in a Looped Power Network in Xinjiang
[IEEE] 2026-2-20 | Potato Leaf Disease Classification Using Vision Transformers
[IEEE] 2026-2-20 | AquaFed: Leveraging Federated Learning for Real-Time Schistosomiasis Prevention Through Water Quality Monitoring
[IEEE] 2026-2-20 | A Systematic Review of Flood and Landslide Prediction Using Deep Learning
[IEEE] 2026-2-20 | Review of Indian and Global Electric Vehicle Charging Standards: Opportunities and Challenges for Emerging Economies
[IEEE] 2026-2-20 | Deep Learning Framework for Secure and Revocable Face Template Protection
[IEEE] 2026-2-20 | Model-Free Adaptive Predictive Speed Control for PMSM Based on Dynamic Linearization
[IEEE] 2026-2-20 | IoT-Enabled Nanogrid System for Real-Time Energy Data Monitoring and Analysis
[IEEE] 2026-2-20 | Dialogue Policy Learning: Reinforcement Learning Strategies for Task-Oriented Dialogue Systems in Customer Service
[IEEE] 2026-2-20 | Detecting and Counting Human Presence using Device Free Wi-Fi Channel State Information
[IEEE] 2026-2-20 | Iterative Learning Robust Security Predictive Control for Batch Process Subject to Deception Attacks
[IEEE] 2026-2-20 | Sepsis Risk Prediction Using Temporal Convolutional Networks Applied to Time-Series Health Monitoring Data
[IEEE] 2026-2-20 | Telemedicine Access for Rural Healthcare in Nabha
[IEEE] 2026-2-20 | Autonomous Vehicle For A Smart And Safer Mobility
[ACM] 2026-2-20 | Requirements Coverage-Guided Minimization for Natural Language Test Cases
[ACM] 2026-2-20 | From Plans to Perceptions: Transferability of Urban Development Strategies into Real-Life Outcomes
[ACM] 2026-2-20 | Beyond Technology: Uncovering Social Engineering Vulnerabilities Through Integrated Phishing Simulation and Physical Security Audit
[IEEE] 2026-2-20 | <i>Computer</i>
                    Highlights Society Magazines
[IEEE] 2026-2-20 | 2025 Index IEEE Journal of Selected Topics in Signal Processing Vol. 19
[IEEE] 2026-2-20 | GAN-Empowered Parasitic Covert Communication: Data Privacy in Next-Generation Networks
[IEEE] 2026-2-20 | Dual-Transduction MEMS Gas Sensor for H and CO Identification Across Humidity_supp1-3660610.docx
[IEEE] 2026-2-20 | Defending Backdoor Attacks in Task-Oriented Multi-User Semantic Communication: A Contrastive Training Approach
[IEEE] 2026-2-20 | Simplified Ultra-Wideband Tightly Coupled Antenna (SUTCA) Array with Improved Bandwidth and Superior Performance
[IEEE] 2026-2-20 | From Prediction to Prescription: A Causal-AI for Personalized Learning Path Optimization in MOOCs
[IEEE] 2026-2-20 | ISRITI 2025 Breaker Page
[IEEE] 2026-2-20 | A Microgrid-Based Self-Healing Control Strategy for Active Distribution Networks
[IEEE] 2026-2-20 | TRAIL-D: Ternary Restoring Array Integrated Logic – Division
[IEEE] 2026-2-20 | DynPrice-MG: Trajectory Privacy Protection Based on Dynamic Pricing with Mamba-GAN
[IEEE] 2026-2-20 | A Comprehensive Evaluation of State-of-the-Art Deep Learning Object Detection Frameworks for Crown-of-Thorns Starfish in Coral Reef Monitoring
[IEEE] 2026-2-20 | Point-of-Care Breast Cancer-on-Chip Diagnosis Using Linear SVM Model
[IEEE] 2026-2-20 | Impact Analysis and Settlement Mechanism Effect Evaluation for the Full Market Integration of New Energy in Anhui's Electricity Trading Market
[IEEE] 2026-2-20 | High-Performance Network Virtualization with Safety for Automotive Virtualization OS
[IEEE] 2026-2-20 | Human-Centered Building Energy Modeling and Simulation for Retrofit
[IEEE] 2026-2-20 | Reconfigurable FPGA-Based Framework for Power-Efficient Signal Processing in AI-Assisted IoT Gateways
[IEEE] 2026-2-20 | Hybrid Quantum Key Distribution for Secure Open Banking Platforms
[IEEE] 2026-2-20 | Research on Current Limiting Characteristics of Shipboard Low-Voltage Hybrid DC Current Limiter
[IEEE] 2026-2-20 | Conversion-Invariant and Quantum-Secure Image Steganography Using YCgCo-R Transformation and DWT-Based Hybrid Encryption
[IEEE] 2026-2-20 | Co-Regulating Intelligence: Designing Emotionally-Responsive Human-AI Collaboration Models for K-12 Classrooms
[IEEE] 2026-2-20 | Synergistic Multi-Station PV Generation Forecasting with Correlation Orthogonalization
[IEEE] 2026-2-20 | Smart Energy Monitoring &amp; Appliance Level Power Consumption Analysis: An Integrated Approach for Residential Energy Efficiency
[IEEE] 2026-2-20 | A Study on the Economic Benefits of Energy-Efficient Retrofitting of Building Envelopes in Existing Residential Buildings in Severe Cold Regions
[IEEE] 2026-2-20 | A New Space Distribution Method for Autonomous Vehicles at Lane-Drop Bottlenecks on Multi-Lane Freeways
[IEEE] 2026-2-20 | Physics-Constrained CNN-GNN Framework for Power System Transient Stability Assessment with Causal Interpretability
[IEEE] 2026-2-20 | Integration of AI and ML for Anomaly Detection in SSD Validation Logs
[IEEE] 2026-2-20 | Development and Simulation of a 5-Stage Constant Current Control Battery Management System
[IEEE] 2026-2-20 | On the Derivation of the Globally Optimal Efficiency Maps in Hybrid and Full Electric Vehicles
[IEEE] 2026-2-20 | Modeling and Control of a CLLLC Resonant Converter for a Battery Charger
[IEEE] 2026-2-20 | Stress Analysis and Long-Term Performance of Vacuum Tube Operating Mechanism in Power Equipment
[IEEE] 2026-2-20 | Designing Resilient Integrated Systems Engineering Architectures for Robust Cybersecurity Against Emerging Threats
[IEEE] 2026-2-20 | FPGA Based Neural Networks for Ultrasound Muscle Pathology Classification
[IEEE] 2026-2-20 | Performance Analysis of Li-Fi Under Cryogenic Temperature Conditions
[IEEE] 2026-2-20 | A Carbon Emission Estimation Method Based on Convolutional Neural Networks and Lightweight Gradient Boosting Trees
[IEEE] 2026-2-20 | Efficient and Representative Mission profiles generation from Historical Field Data
[IEEE] 2026-2-20 | Additively Manufactured Millimeter-Wave Waveguides with Optimized RF Choke Structures for Screwless Split-Block Integration
[IEEE] 2026-2-20 | Sparse Design of Navigation Conformal Array and Its Beamforming
[IEEE] 2026-2-20 | Multi-Channel 1D-CNN Architecture for Drone vs Bird Classification Using mmWave Radar ADC Data
[IEEE] 2026-2-20 | Sustainable Nanocomposites for Energy Storage and Intelligent Computing in Eco-Efficient Systems
[IEEE] 2026-2-20 | AI-Powered Handwritten Signature Verification Using Siamese Neural Networks for Forgery Detection
[IEEE] 2026-2-20 | Operation Optimization Strategy for User Flexible Load Participation in Demand Response Based on Naive Bayes Classification Algorithm
[IEEE] 2026-2-20 | Efficient Three-Level CLLC Converter for DC Microgrid-Based EV Charging
[IEEE] 2026-2-20 | Statistical Validation of Metaheuristic-Guided Multi-Backbone Fusion: A Comprehensive Analysis for Rice Leaf Disease Detection
[IEEE] 2026-2-20 | A Hybrid Approch for Accurate SoC Estimation of Li-ion Battery by Using CCM and CC, CV Control of EV Applications
[IEEE] 2026-2-20 | Milk Product Recommendation through CatBoostRanker on Tesseract OCR(Optical Character Recognition)-Extracted Nutrition Facts
[IEEE] 2026-2-20 | Multi-Class Sentiment Analysis with Fine-Tuned Transformer Models
[IEEE] 2026-2-20 | A Hybrid Model for Detecting Lung Cancer
[IEEE] 2026-2-20 | A Transformer-Based Intrusion Detection System with Attention-Driven Feature Selection for Network Traffic Classification
[IEEE] 2026-2-20 | Can LLMs Aid Expert Elicitation for Causal Modeling?
[IEEE] 2026-2-20 | From Mental Models to Data-Enriched Knowledge Graphs as a Basis for Operator Assistance
[IEEE] 2026-2-20 | Leveraging Machine Learning Techniques for Intrusion Detection System Using UNSW-NB15 Dataset
[IEEE] 2026-2-20 | Deep Learning-Based Classification of Diabetic Retinopathy Using Fundus Images and Transfer Learning
[IEEE] 2026-2-20 | CNN-Based Feature Learning and Logistic Regression for 5-Level Car Dent Categorization
[IEEE] 2026-2-20 | Fully Unrolled Two-Stage Pipelined AES-128 Hardware IP for High-Speed Encryption/Decryption on FPGA
[IEEE] 2026-2-20 | Research on Electric Vehicle Charging Simultaneity Factor Prediction Algorithm Integrating Multi-Source Features and Federated Learning
[IEEE] 2026-2-20 | Live Workplace Mirror: Seamless XR-Driven Soft Skills Development in the Flow of Work
[IEEE] 2026-2-20 | An Approach for Testing Rural LOS V2X Minimum Communication Processing Distance
[IEEE] 2026-2-20 | 5G-Enabled IoT with Machine Learning Approach for Predictive Surface Mining and Environmental Safety
[IEEE] 2026-2-20 | Smarter Healthcare: Assessing Nurse Workload using Wearable Sensors and Machine Learning
[IEEE] 2026-2-20 | MDFL: A Machine Decision Method for Intelligent Manufacturing Based on Vertical Federated Learning
[IEEE] 2026-2-20 | Cognitive-Inspired Lightweight Semantic Mapping in Weak Texture Environments
[ACM] 2026-2-20 | Digital Civil Servants: The Integration of Artificial Intelligence into Government Workflows
[ACM] 2026-2-20 | Public Service in the Age of AI: Institutional Strategies for Future-Ready Skill Development
[IEEE] 2026-2-20 | SYMPOL 2025 Cover Page
[IEEE] 2026-2-20 | Learning a Unified Risk Map for Autonomous Driving in Partially Observable Environments_supp1-3666393.mp4
[IEEE] 2026-2-20 | OFDR Machine Learning Approach with Principal Components Analysis and AutoGluon AutoML Framework for High-Precision Distributed Strain Sensing
[IEEE] 2026-2-20 | Machine-Learning Classification of Reactive Power Capability Compliance in Wind Power Plants
[IEEE] 2026-2-20 | ECGNextFormer: A Lightweight, Scalable, and Explainable Architecture for Estimating Cardiovascular Well-being from Electrocardiograms._supp1-3656125.pdf
[IEEE] 2026-2-20 | Metaverse 2025 Organizing Committee
[IEEE] 2026-2-20 | Partially Supervised Compositional Zero-Shot Learning by Class-Balanced Distribution Alignment
[IEEE] 2026-2-20 | IEEE Internet of Things Journal Publication Information
[IEEE] 2026-2-20 | A Snapback-Free MOS-Triggered Thyristor with Modulated Thyristor Ratio for Ultra-High Pulsed Current Capability
[IEEE] 2026-2-20 | Hybrid Active-Passive RIS-Enhanced Physical Layer Security for MIMO Communications
[IEEE] 2026-2-20 | Degradation Mechanism in Aged SiC MOSFETs Under Repetitive Short-Circuit
[IEEE] 2026-2-20 | PLNK: Prompt Learning with Neutral Knowledge for Few-Shot Out-of-Distribution Detection
[IEEE] 2026-2-20 | Pandora: A Large Language Model-Driven Self-Evolving Agent for On-Campus Task Execution
[IEEE] 2026-2-20 | RailDefect-MPL: Multimodal Prompt Learning for Railway Defect Detection
[IEEE] 2026-2-20 | GPT-Based Conversational Agents for L2 Speaking Development: A Feedback-Optimized Task Design Framework
[IEEE] 2026-2-20 | Bi-Level Optimal Scheduling of Multi-Regional Integrated Energy Systems Considering Integrated Demand Response and Carbon Emission
[IEEE] 2026-2-20 | Neuromorphic Spiking Neural Network-Based Explainable AI for Energy-Efficient, Quantum-Resistant Dynamic Access Control Systems with Temporal Causal Traceability
[IEEE] 2026-2-20 | Blockchain-Driven Mitigation of Security Vulnerabilities in Software-Defined Networks Through a Systematic Review
[IEEE] 2026-2-20 | Comparative Analysis of Vgg19 and Efficientnet-B3 for Automated Bird Species Classification Using Deep Learning
[IEEE] 2026-2-20 | A Buck Power Factor Corrector Circuit with Reduced DC Bus Capacitor
[IEEE] 2026-2-20 | AUDRON: A Deep Learning Framework with Fused Acoustic Signatures for Drone Type Recognition
