[2026-08-10 22:36:55] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-08-09
正在获取论文...
[IEEE] 2026-8-10 | 190VPP High-Voltage Capacitive Piezoelectric Ceramic Drive Circuit Design
[IEEE] 2026-8-10 | Rapid Design Method for Cislunar Transfer Trajectories via Deep Learning Technologies
[IEEE] 2026-8-10 | A Dual-Polarized High-Gain Endfire Antenna With Enhanced Bandwidth By Employing Symmetric Meander-Line Radiators
[IEEE] 2026-8-10 | Elastic Grid-Based Unified Representation for Urban Low-Altitude Airspace A Multi-Dimensional Spatio-Temporal Framework for High-Density UAV Operations
[IEEE] 2026-8-10 | Multi-Modal Fusion and Explainable AI for Sleep Apnea Event Detection
[IEEE] 2026-8-10 | Boost Power Converter Meets LED Lighting: Analysis and Experimental Validation of a Double-Loop PI-like Controller
[IEEE] 2026-8-10 | Spatial-Prior and Shape-Regularized U-Net Variants for Spinal Cord MRI Segmentation
[IEEE] 2026-8-10 | Low-Latency Embedded Driver Monitoring System with a Multi-Task Neural Network
[IEEE] 2026-8-10 | THYROID-NET: A Knowledge-Augmented Hybrid AI Framework for Multi-Disease Thyroid Prediction
[IEEE] 2026-8-10 | A Hybrid Passive Voltage Balancing Method for Series-Connected SiC MOSFETs and Demonstration on a Custom Medium Voltage Power Module
[IEEE] 2026-8-10 | Station Keeping Control Method of Stratospheric Airships Based on TD-MPC in Complex Meteorological Environments
[IEEE] 2026-8-10 | Multi-Resource Coordinated Optimization for Transient Angle Stability Enhancement of Offshore Wind Power Transmission Systems with Energy Storage Participation
[IEEE] 2026-8-10 | Extracting the Topology of a Hardware Platform Using Hardware Event
[IEEE] 2026-8-10 | Table of Contents
[IEEE] 2026-8-10 | Compatibility Analysis Between Spaceborne SAR and Ground-Based Weather Radars in the 9300–9500 MHz Band
[IEEE] 2026-8-10 | Optimization of k-Anonymization Using Clustering and Machine Learning: A Comparative Study with NCP-Based Evaluation
[IEEE] 2026-8-10 | Multimodal Image and Biomedical Signal Processing Framework for Intelligent Healthcare Diagnostics Using GAA-FET AI Accelerators
[IEEE] 2026-8-10 | A Novel Modulation Strategy for the Hybrid 2L/3L VSI OEW-PMSM Drive: ZSC Suppression, NPV Balance and Switching Actions Reduction
[IEEE] 2026-8-10 | IEEE Photonics Technology Letters publication information
[IEEE] 2026-8-10 | AD-YOLO: A YOLOv13 Algorithm with Multi-Strategy Integrated Improvements for Autonomous Driving Object Detection
[IEEE] 2026-8-10 | Invasive Hybrid Recommendation-Based Scheduling with Pomodoro and Genetic Algorithm for Improving Office Worker Productivity
[IEEE] 2026-8-10 | Fault Diagnosis Method for Power Transformers Based on Knowledge Graph and Hierarchical Multi-Agent Architecture
[IEEE] 2026-8-10 | SynergyNet: A Personalized Multimodal and Edge-Enabled System for Home-Based Sleep Apnea Screening
[IEEE] 2026-8-10 | Eco-Friendly Crafted Paper Cups for Sustainable Development in the Food Packaging Systems
[IEEE] 2026-8-10 | Design and Optimization of a Three-Camera Localization System with Adaptive Baseline Switching
[IEEE] 2026-8-10 | Efficient Memory-Aware Scheduling with Dynamic Programming for Neural Architecture Search Networks
[IEEE] 2026-8-10 | Research on RFID Anti-collision Algorithm Based on Collision Bit
[IEEE] 2026-8-10 | Demystifying the Black Box: An Explainable AI Framework for Transparent Detection of Engine Assistance in Chess
[ACM] 2026-8-10 | Sector-wise Investigation of CAPTCHAs on South Asian Websites
[IEEE] 2026-8-10 | Machine Vision Defect Detection and Analysis in a Flexible Assembly System
[IEEE] 2026-8-10 | Fe-Doped Ni–Co–Mn Spinel Ceramics for Miniaturized Temperature Sensor with Tailored Temperature Characteristic and High Stability
[IEEE] 2026-8-10 | A Conceptual Proposal for an Open-Source Methodology for Ansys ACT: A Preliminary Piezoresistive Study
[ACM] 2026-8-10 | Dataflow-Preserving, Overhead-Free Weight Remapping for Fault-Tolerant ReRAM-Based In-Memory Computing
[IEEE] 2026-8-10 | Multi-time-scale coordinated frequency-support strategy for battery energy storage systems in low-inertia power grids
[IEEE] 2026-8-10 | PlatoNT: Learning a Platonic Representation for Unified Network Tomography_supp1-3721803.pdf
[IEEE] 2026-8-10 | SESG 2026 TOC
[IEEE] 2026-8-10 | 2026 11th International Symposium on Advances in Electrical, Electronics and Computer Engineering (ISAEECE)
[IEEE] 2026-8-10 | Fine-grained Parallel Implementation of Post-quantum HQC Key Encapsulation Mechanism on GPUs
[IEEE] 2026-8-10 | Modelling and Solving Problems in Big Data and Cloud Computing Elegantly with COH/GISMOL
[IEEE] 2026-8-10 | Sentinel-Agent: Autonomous Cognitive Modeling and Utility-Aware Optimization for Legacy Precision Forming Systems
[IEEE] 2026-8-10 | A Monocular X-Ray–Based Visual Force Sensing System for Cerebrovascular Guidewires with Multi-Stage Geometric Compensation
[IEEE] 2026-8-10 | On the Electromagnetic Compatibility of Discrete Variable-Switching-Frequency Inverters
[IEEE] 2026-8-10 | IEEE Engineering in Medicine and Biology Society Publication Information
[IEEE] 2026-8-10 | Heuristic Computing-Aware Routing for LEO SatNets: A State Expanded Graph Based Approach
[IEEE] 2026-8-10 | A Robustness-Driven Intelligent Machine Learning Framework for Chemotherapy Side Effect Prediction in Uncertain Feature Manifolds Under Asymmetric Class Distributions
[IEEE] 2026-8-10 | Enhancing Retinal Vessel Segmentation via UNet-Based Multi-Model Fusion
[IEEE] 2026-8-10 | Design of Secure and Controllable Architecture for ERP Systems
[IEEE] 2026-8-10 | IEEE Photonics Technology Letters publication information
[IEEE] 2026-8-10 | Aging Aware Test Sets based on Launch-on-Capture Test Cubes that are Likely to Appear during Functional Operation
[IEEE] 2026-8-10 | CGenMARL: Constraint-Aware Generative Multiagent Reinforcement Learning for Power Distribution System Restoration
[IEEE] 2026-8-10 | Learning to Walk with Less: a Dyna-Style Approach to Quadrupedal Locomotion
[IEEE] 2026-8-10 | Industrial Screw Picking via YOLO26 Parallel PSPE
[IEEE] 2026-8-10 | Practical Research on PLC Technology in Electrical Engineering Automation Control System
[IEEE] 2026-8-10 | Intelligent connected vehicle multi-entity data flow anomaly detection technology
[IEEE] 2026-8-10 | Predictive torque control based on the PMSM model with dynamic asymmetric Nash bargaining
[IEEE] 2026-8-10 | An 18-Bit 1-MS/s Pipelined SAR ADC With Unified Calibration for CDAC Mismatch and inter-stage Gain Error
[IEEE] 2026-8-10 | Research on Aero-Engine Multi-Component Coupling Fault Diagnosis Based on Graph Neural Networks and Sensor Data
[IEEE] 2026-8-10 | A Modular and Model-Agnostic LLM Framework for PHP Webshell Detection
[IEEE] 2026-8-10 | Numerical Accuracy of Agentic FinSearch: An Empirical Evaluation
[IEEE] 2026-8-10 | Privacy by Design vs. Engineering Rules in AI Regulation: A Comparative Framework for Auditable Implementation
[IEEE] 2026-8-10 | Illumination-Aware and Geometry-Aligned Fusion DETR for Multispectral Object Detection
[ACM] 2026-8-10 | Proceedings of the 1st Workshop on Security and Privacy for Asian Internet Communities
[IEEE] 2026-8-10 | Intention Recognition Method of High Orbit Spatial Targets Based on Large Language Model Agents
[IEEE] 2026-8-10 | AFCANet for Cross-Domain Plant Disease Recognition with DCT-Guided Adaptive Frequency-Channel Activation
[IEEE] 2026-8-10 | Extended Reality Learning Modules for Teaching Robotics
[IEEE] 2026-8-10 | A Dynamic Mutation-Based Genetic Algorithm for Edge Computing Offloading Scenarios
[IEEE] 2026-8-10 | ARP-YOLO11: An ARConv-Enhanced YOLOv11 for PCB Defect Detection
[IEEE] 2026-8-10 | A Fixed-Point FPGA-based Accelerator for Log-Mel Feature Extraction in Edge Speech Processing
[IEEE] 2026-8-10 | Multi-Aspect Performance Optimization of Permanent Magnet Machines Using Grouped Tooth-Tip Offset
[IEEE] 2026-8-10 | Exact Tracking Under Unknown Switching Control Directions and Input Delay: A Predefined-Time Control Approach for Multiagent Systems
[IEEE] 2026-8-10 | Spatial Isolation Enhancement for Integrated Sensing and Communications Based on Sensing-Data
[IEEE] 2026-8-10 | Numerical Simulation and Experimental Validation of a Large-Capacity Puffer Circuit Breaker
[IEEE] 2026-8-10 | Learning-Aided Joint Optimization of Join Operators and Execution Parameters for Relational Query Processing
[IEEE] 2026-8-10 | IoT-based Automated Fog Removal, Air Quality Monitoring, and RSSI-based Human Detection System
[IEEE] 2026-8-10 | Impact Assessment of Missing Harmonic Measurements on Power Quality Limit-Judgment Reliability in 10 kV Distribution Transformer Areas
[IEEE] 2026-8-10 | A BI-APF-RRT and Affine Transformation Framework for Multi-UAV Adaptive Formation and Obstacle Avoidance
[IEEE] 2026-8-10 | Assistive Functions in Robot-Assisted Vitreoretinal Surgery: A User Study from Phantom to In Vivo
[ACM] 2026-8-10 | F
                    <scp>usion</scp>
                    S
                    <scp>ense</scp>
                    : Tri-Stage Near-Sensor Learning for Runtime-Adaptive Multimodal Edge Intelligence
[ACM] 2026-8-10 | H3-Attn:
                    <u>Att</u>
                    entio
                    <u>n</u>
                    -Efficient 3D DRAM PNM Processor with
                    <u>H</u>
                    ybrid
                    <u>H</u>
                    ead Parallelism and
                    <u>H</u>
                    ierarchical SFU
[ACM] 2026-8-10 | Evaluating LLM-Generated Contextualized Algorithm Design Problems
[IEEE] 2026-8-10 | Circuit Design of High-Speed Analog Input Module Based on VPX Bus
[IEEE] 2026-8-10 | Safe UAV Navigation via Critical Obstacle Selection and Control Barrier Functions
[IEEE] 2026-8-10 | A Lightweight Small Object Detection Algorithm for UAV Imagery Based on Improved YOLOv11
[IEEE] 2026-8-10 | NEADS - an Improved Neuro-Evolution Method for Self-perfecting Modeling
[IEEE] 2026-8-10 | Enhancing OCT Retinal Disease Classification Using SRAD-GAN Denoising
[IEEE] 2026-8-10 | Research on the Bird Activity Monitoring Method for Overhead Transmission Lines Based on DAS
[IEEE] 2026-8-10 | An LLM-Driven Multi-Agent Framework for Adaptive Decision-Making in Fashion Retail Supply Chains
[IEEE] 2026-8-10 | Cyber Task Automation with Knowledge-Infused Reinforcement Learning and LLM-Guided Policies
[IEEE] 2026-8-10 | Blockchain-Empowered Dynamic Trust Management: A Risk-Adaptive Access Control Framework for Medical Data
[ACM] 2026-8-10 | Proceedings of the ACM/IEEE International Symposium on Low Power Electronics and Design
[IEEE] 2026-8-10 | Bag of Tricks for the Stability of Vehicle Semantic Segmentation Model with Noisy Labels
[ACM] 2026-8-10 | A Top-Down Design Methodology for Accuracy-to-Noise Mapping in Analog Compute-in-Memory Systems: Evaluation on Mamba
[IEEE] 2026-8-10 | Message from the General Chairs
[IEEE] 2026-8-10 | Research on Neural Network algorithm Applicable to NMR Time-Domain Signal Inversion of Low Signal-to-Noise Ratio
[IEEE] 2026-8-10 | Intelligent perception of illegal behavior risk of power climbing operators
[IEEE] 2026-8-10 | Deployment and Optimization of an Event-Driven Lightweight Object Detection System on RV1126
[IEEE] 2026-8-10 | Research on bearing fault diagnosis based on Transformer-KAN-TCN
[IEEE] 2026-8-10 | Deep-sea Active Sonar Reverberation Simulation Method Based on Vertical Directivity Compensation
[IEEE] 2026-8-10 | Runtime Protection Practice for LLM Agent Security: An On-Demand Behavioral Sandbox Approach
[IEEE] 2026-8-10 | Data-Driven MR+VR Safety Training System with Dynamic Integration of Trainee Profiles
[IEEE] 2026-8-10 | An Automated EEG-Based Neuromarketing Platform for Attention and Memory Analysis of TV Advertisements
[IEEE] 2026-8-10 | Agrimate: Solar-Powered System for Optimized Soil Nutrients Management and Smart Irrigation for Enhanced Crop Yield
[IEEE] 2026-8-10 | Real-Time Motion Sickness Prediction on an Embedded System with Limited Resources
[IEEE] 2026-8-10 | HiHPO: Multimodal Hierarchical Graph Learning for Predicting Missing Protein-Phenotype Associations
[IEEE] 2026-8-10 | Optimal Reconstruction of Graph Evolution History Under Preferential Attachment Model
[IEEE] 2026-8-10 | Smart Identification of Motorcycle Traffic Violation in Low Light Scenarios Using Adaptive YOLO-TVT Structure
[IEEE] 2026-8-10 | The Socratic M365 Copilot: A No-Code Intelligent Tutoring System for Human-Centered Adaptive Learning
[IEEE] 2026-8-10 | A Dual-Stream Hybrid Network for Joint Fetal Brain MRI Segmentation and Gestational Age Estimation
[IEEE] 2026-8-10 | Design and Experimental Evaluation of a Bypass Thermal Gas Flowmeter
[IEEE] 2026-8-10 | CurateDistill: Efficient Data Selection via Active Data Curation and Dataset Distillation
[IEEE] 2026-8-10 | PSMamba: Conditional Multi-Scale Mamba for Remote Sensing Image Pan-Sharpening
[IEEE] 2026-8-10 | Weight-Decomposed Low-Rank Adaptation of YOLOv12 for Lightweight Multi-State Tomato Perception
[IEEE] 2026-8-10 | EC-SQL: A Text-to-SQL Framework for Time-series Semantic Alignment In the Energy and Carbon Domain
[IEEE] 2026-8-10 | A Lightweight Reliability-Aware Visible–Infrared Decision-Level Fusion Framework for Spotted Seal Monitoring in Complex Marine Environments
[IEEE] 2026-8-10 | ABF-Net: An Asymmetric Bidirectional Fusion Network for Lightweight Oriented Ship Detection in SAR Imagery
[IEEE] 2026-8-10 | Entity-Anchored Multi-Document Poisoning Attacks on RAG Systems
[IEEE] 2026-8-10 | Large Language Model-driven 5G Network Optimization Assistant: A Practical Perspective
[IEEE] 2026-8-10 | Impact of Buffer Layer on Trench-Gate n-SiC IGBT Characteristics for HVDC Applications
[IEEE] 2026-8-10 | A Low-Complexity Wideband Multi-Beamforming Architecture Using Multirate Variable Fractional Delay Filters
[IEEE] 2026-8-10 | <i>P</i>
                    <sup>2</sup>
                    INNs: Physio-Psychiatry Informed Neural Networks for Depression Risk Prediction
[IEEE] 2026-8-10 | GLAMS: A Local-Global Collaborative Graph Learning Framework for Alleviating Over-Smoothing in Node Classification
[IEEE] 2026-8-10 | A Retrieval-Augmented Log-Metric-Trace Twin for Backend Failure Diagnosis
[IEEE] 2026-8-10 | A Segmented Space Mapping Method for Microwave Filter Optimization
[IEEE] 2026-8-10 | GDPR-Compliant Pseudonymization Architecture for Multi-Source Healthcare Data: A Hardware-Secured Approach for Disease Registry Construction
[IEEE] 2026-8-10 | ICARAI 2026 Cover Page
[IEEE] 2026-8-10 | Hierarchical Temporal Modeling for Unsupervised Video Object Segmentation
[IEEE] 2026-8-10 | Multiphase Thermophysical Parameters for C
                    <sub>4</sub>
                    F
                    <sub>7</sub>
                    N High-Voltage Circuit Breaker Simulation
[IEEE] 2026-8-10 | ISAEECE 2026 TOC
[IEEE] 2026-8-10 | Deep Learning–Based Unripe Grape Bunch Detection and Counting: A Case Study of Vitis vinifera cv. Cabernet Sauvignon in South Africa
[IEEE] 2026-8-10 | Ultra-Reliable High-Capacity Wireless Backhaul
[IEEE] 2026-8-10 | Index-State Uncertainty Quantification for Trustworthy Retrieval-Augmented Generation in Distributed Enterprise Search
[IEEE] 2026-8-10 | SmoC-Track: Smoothing Observation Noise and Feature Degradation for Robust Multi-Object Tracking
[IEEE] 2026-8-10 | Dual-Constraint MaxEnt for Interpretable Ensemble Classification on Edge Devices
[IEEE] 2026-8-10 | Fault Detection, Classification and Kilometer-Based Localization Using a Sequential Dual Stage Framework Integrating Random Forest and ANN
[IEEE] 2026-8-10 | Intelligent Monitoring and Allocation System for Organ Transplantation and Blood Availability
[IEEE] 2026-8-10 | Edge-Guardian for Offline-Resilient Edge Control and Evolutionary Sensor Placement in Chinese Smart Greenhouses
[IEEE] 2026-8-10 | Firmvenom: Peripheral Semantics-Aware Firmware Fuzzing
[IEEE] 2026-8-10 | ISAEECE 2026 Copyright Page
[IEEE] 2026-8-10 | HDMixer: Enhanced Long-Term Time Series Forecasting Based on Hierarchical Decoupling
[IEEE] 2026-8-10 | Counterfactual and Time-Aware Explainable Hybrid Modeling for Early Diabetes Progression Prediction Using Longitudinal Health Records
[IEEE] 2026-8-10 | Context Freshness-Aware Query Serving in MCP-Enabled Distributed Enterprise Search Systems
[IEEE] 2026-8-10 | High-Reliability LLM Summarization through Causal Cue Modeling and Factual Correction
[IEEE] 2026-8-10 | Research on Rolling Bearing Composite Fault Diagnosis Based on GWO-FMD
[ACM] 2026-8-10 | PALUTE: Processing-In-Memory Acceleration via Lookup Table for Edge LLM Inference
[ACM] 2026-8-10 | Tris-GCN: A 3D NAND Flash-based In-Storage Processing Architecture for GCN Acceleration
[IEEE] 2026-8-10 | Research on the Power Regulation and Control of Induction Heating Power Supply
[IEEE] 2026-8-10 | Harness Engineering for AI Coding Agents: Emerging Practices and Principles
[IEEE] 2026-8-10 | ICBDSE 2026 Cover Page
[IEEE] 2026-8-10 | A Risk-Aware Executive-Control-Enhanced SAC Method for Autonomous Driving
[IEEE] 2026-8-10 | Research of Multi-Sensor Fusion Strategies for LMB Filtering in Limited Fields of View
[IEEE] 2026-8-10 | Polyphase Parallel Source Layer Architecture for Low Rate Encoding
[IEEE] 2026-8-10 | Impact of Weather Condition and Non-Driving Related Task Type on Emergency Take-Over Performance: A Simulator Study
[IEEE] 2026-8-10 | 2026 Aerospace &amp; Electronic Systems Society: Organization and Representatives
[IEEE] 2026-8-10 | IEEE Aerospace and Electronic Systems Magazine Back Cover Art
[IEEE] 2026-8-10 | TechRxiv: Share Your Preprint Research with the World!
[IEEE] 2026-8-10 | 3D Gait Network Analysis of Ground Reaction Forces: A Case Study of Lower Limb Disorders and Walking Speeds_supp1-3721665.pdf
[IEEE] 2026-8-10 | Quantum Computing Software in the NISQ Era: Architectural Evolution, Framework Benchmarking, and Software-Hardware Co-design
[IEEE] 2026-8-10 | Audio Active Learning with Noisy Labels_supp1-3717236.pdf
[IEEE] 2026-8-10 | Multimodal Navigation Assistance for Older Adults: Combining Generative AI and Augmented Reality in a Robotic Walker
[IEEE] 2026-8-10 | Real-Time Monitoring and Efficient Waste Collection System Using IoT for Sustainable Development
[IEEE] 2026-8-10 | Causal Discovery Framework for Large Language Models
[IEEE] 2026-8-10 | A Low-Power Active Harmonic Tag for Maritime Search and Rescue
[IEEE] 2026-8-10 | Hierarchical Layout Optimization Algorithm for Power Dispatching Networks Based on Louvain Community Detection
[IEEE] 2026-8-10 | Maize Yield Prediction Model Based on Multi-Scale Time Encoder and Multi-Source Data
[IEEE] 2026-8-10 | ICBDSE 2026 Cover Page
[IEEE] 2026-8-10 | Error Propagation Mechanism and Correction Method for Travel Distance Measurement Using Discrete Differential GNSS Measurement Points
[IEEE] 2026-8-10 | Requirement-Aware LLM Testing for Backend REST APIs
[IEEE] 2026-8-10 | Design of Clustered Satellite Test Autonomous Health Management System and Application Research of LSTM Fault Diagnosis Algorithm
[IEEE] 2026-8-10 | Resilience- and Uncertainty-Aware Optimization Framework for Vehicle-to-Home-Enabled Smart Residential Energy Systems Using a Quantum-Inspired Gradient-Based Optimizer
[IEEE] 2026-8-10 | Development Overview of Heterogeneous AI-Chips in Cross-Regional Computing
[IEEE] 2026-8-10 | SACM-Net: A Semantic-Aware Cross-Modal Framework for Indoor 3D Object Detection
[IEEE] 2026-8-10 | CrossGuard: A GNN-Based Framework for Cross-Cloud Intrusion Detection with Subgraph-Level Explainability
[ACM] 2026-8-10 | Efficient On-Device Estimation of Transcutaneous Oxygen Using Machine Learning for Photoluminescence-Based Wearables
[ACM] 2026-8-10 | How Many Shots Does It Take? A Noise-Aware Quantum Resource Allocation Framework
[IEEE] 2026-8-10 | Enhancing Magnetic Pose Tracking Accuracy in Continuum Robots through Physically Constrained Neural Modeling
[IEEE] 2026-8-10 | ASCAT2SMAP-V2: Deriving L-band-like Soil Moisture and Vegetation Optical Depth from C-band Satellite Observations
[IEEE] 2026-8-10 | Technical Program Committee
[IEEE] 2026-8-10 | ML methods and Deep Neural Networks for Early Diabetes Detection: A Web-Based Prototype of the DiagnoDoc System
[IEEE] 2026-8-10 | Wavelet-Attentive BiLSTM: A Time-Frequency Deep Learning Framework for Interpretable Non-Stationary Biosignal Classification
[IEEE] 2026-8-10 | An In-band White Noise Cancellation Method Based on a Diffusion Model
[IEEE] 2026-8-10 | Control Barrier Function-Based Hierarchical Distributed Inverse Optimal Safety Consensus for Multi-Robot Systems
[IEEE] 2026-8-10 | A DRL-Based Multi-Model Adaptive Inference Framework With Model Switching Overhead
[IEEE] 2026-8-10 | A 500-nm CMOS Rail-to-Rail Comparator with Low Hysteresis and 30-ns Propagation Delay for 5-V Sensor Interface Applications
[IEEE] 2026-8-10 | A Cost-Aware Multi-Cloud Orchestration and Techno-Economic Optimization Model for Emerging Market Telecommunications Networks
[IEEE] 2026-8-10 | A Graph Convolutional Network–Based Semantic SEO Architecture for High-Precision Healthcare Information Retrieval
[IEEE] 2026-8-10 | Exploring Food Preferences in Elderly Using Virtual Reality
[IEEE] 2026-8-10 | 72.7-nm-Thick, Low-Leakage-Current, and Low-Voltage Conformal Organic Transistor Array Based on Crosslinked Poly (Amic Acid) Dielectric
[IEEE] 2026-8-10 | ML-Based Hierarchical Prediction for Practical Energy Scheduling in Dynamic NTN-WPT Systems
[IEEE] 2026-8-10 | A Method for Identifying Multidimensional Correlations in Multimodal Interaction Data for AI Training Partners Using Deep Learning
[IEEE] 2026-8-10 | Machine Learning-Based DDoS Detection by Anomaly and Cryptographic Enhancement and Statistical Authentication
[IEEE] 2026-8-10 | Copyright Page
[IEEE] 2026-8-10 | ICARAI 2026 Content Announcement Page
[IEEE] 2026-8-10 | Chatbots in Agriculture: A Literature Review_supp2-3721509.pdf
[IEEE] 2026-8-10 | Research on Improving the Application of Bat Algorithms in Task Scheduling for Wireless Sensor Networks
[IEEE] 2026-8-10 | Two-stage robust optimization scheduling of integrated energy systems considering the carbon trading mechanism
[IEEE] 2026-8-10 | Fault Diagnosis of LSTM-Based Electromagnetic Catapult PFN Power Supplies
[IEEE] 2026-8-10 | BRAINHash: Brain-inspired Region-Aligned Interaction Network for unsupervised cross-modal hashing
[IEEE] 2026-8-10 | AESS Scholarship Program
[IEEE] 2026-8-10 | IEEE Collabratec
[IEEE] 2026-8-10 | GEM-Distill: Graph Ensemble Multi-Level Distillation for MLP-Based Graph Classification
[IEEE] 2026-8-10 | A Hybrid Bipolar-Output Isolated Gate Driver Power Supply With Primary-Side Regulation and Switched-Capacitor for SiC Power Devices
[IEEE] 2026-8-10 | Preventive Supply-Security Zoning of Active Distribution Networks Considering Dynamic Frequency Security Constraints
[IEEE] 2026-8-10 | Coordinated Scheduling of Virtual Power Plants with EV Aggregation and Microgrid Flexibility
[IEEE] 2026-8-10 | Sensor Technologies for Arc Fault Detection in Naval Ship Power Systems: Applications, Challenges, and Future Prospects – A Review
[ACM] 2026-8-10 | Area-Efficient FHE Acceleration via Ciphertext-Level Parallelism and Shared-Key Reuse
[IEEE] 2026-8-10 | AEP-Based Reference-Predistorted Virtual Phase Coding With Peak-Pointing Greedy Search for High-Precision Fine-Step Beam Steering of Conformal Phased Arrays
[IEEE] 2026-8-10 | A Big Data-Driven NeuroMHE Framework for Quadrotor Disturbance Estimation in Complex Wind Fields
[IEEE] 2026-8-10 | PACCD: Patch-based Attention with Cross-Channel Decoding for Multivariate Time Series Forecasting
[IEEE] 2026-8-10 | EduBot-LLM: An LLM-Driven Educational Robot Agent with Unified Dialogue and Action Planning
[IEEE] 2026-8-10 | An Improved YOLO11-Based Method for Restaurant Ingredient Detection
[IEEE] 2026-8-10 | Identifying Targeted Digital Skills for Business Students: Methodology and the First Iteration of a Targeted Skills Framework
[IEEE] 2026-8-10 | Author Index
[IEEE] 2026-8-10 | Background-Leakage-Resolved Dead-Time-Corrected Maximum-Likelihood Timing Synchronization for Photon-Counting PPM Communications
[IEEE] 2026-8-10 | Detection and Mechanism of Composite Insulation Defects in High-Voltage Cable Accessories Based on Ultrasonic Characteristics
[IEEE] 2026-8-10 | Differential Privacy Aware Insurance Pricing for Personal Data Trading Market
[IEEE] 2026-8-10 | A Study on Dynamic Load Coordination Control in Smart Grids Based on Deep Learning-Driven Load Forecasting
[IEEE] 2026-8-10 | Study on Anti-icing Performance of a Novel Conductor Under Natural Icing Environment
[IEEE] 2026-8-10 | Monitoring of biofilm development in bee hemolymph through in-fiber interferometers
[IEEE] 2026-8-10 | A Study on Blueberry Object Detection and Feature Interpretation Using YOLOv11 and Grad-CAM Visualization
[IEEE] 2026-8-10 | Design of a Single-Chip MEMS Three-Dimensional Electric Field Sensor with Bottom-Electrode Electrostatic Actuation
[IEEE] 2026-8-10 | Auto insurance fraud detection through uncertain reasoning and data-based inferential modelling
[IEEE] 2026-8-10 | Data-Driven Robust Hovering Control for Quadrotor UAVs Under Combined Wind Disturbance and Observation Fault
[IEEE] 2026-8-10 | Sentiment Analysis of Online Education Feedback Using Transformer-Based Language Models
[IEEE] 2026-8-10 | A High-Efficiency Low-Power Textile Rectenna with a GaN Diode Rectifier
[IEEE] 2026-8-10 | Multi-Objective Optimized Control and Coupling Relationship Analysis of Dual Active Bridge Converter Based on Extended Phase Shift
[IEEE] 2026-8-10 | Vibrotactile interface for combined normal and shear force feedback for hand prostheses
[IEEE] 2026-8-10 | A Time-Modulated Dual-Mode Patch Antenna for Digitally Programmable Null Steering
[IEEE] 2026-8-10 | Scene-Aware Anomaly Scoring: Road Mask Gating for Highway Debris OOD Detection
[IEEE] 2026-8-10 | A MEMS-Compatible Miniaturized Broadband Programmable RF Signal Generation System with Coordinated Frequency–Power Regulation
[IEEE] 2026-8-10 | Voice Cloning: A Survey of Zero-Shot and Controllable Speech Synthesis
[IEEE] 2026-8-10 | An Explainable Machine Learning and Ensemble Voting Classifier for Cyber Attack Detection in Highly Imbalanced IoT Networks
[IEEE] 2026-8-10 | A Beam and Polarization Switchable All-Dielectric Transmitarray Antenna Enabled by Lego-type Reassemblable Modular Unit
[IEEE] 2026-8-10 | Physically Enhanced Neural Network-Based Phase Retrieval with Phaseless Near-field Data
[IEEE] 2026-8-10 | A Dual-Circularly-Polarized Gain-Filtering Reflectarray Antenna
[IEEE] 2026-8-10 | Random Sparse Networks Training with Sharpness-Aware Regularization
[IEEE] 2026-8-10 | The use of a simple and wireless Lenz lens for in ovo MR imaging at ultra-high field
[IEEE] 2026-8-10 | Towards Embedded-Intelligent Cyber Defense: An MDP-Structured Reinforcement Learning Framework for IoT and CPS
[IEEE] 2026-8-10 | AI-Driven Chiplet-First Network-on-Chip and Network-on-Interposer Co-Design for Universal Chiplet Interconnect Express-Based 2.5D Edge Artificial Intelligence Accelerators
[IEEE] 2026-8-10 | Research on damage location of aviation cable insulation layer based on broadband impedance spectrum method
[IEEE] 2026-8-10 | IEEE Open Access Publishing
[IEEE] 2026-8-10 | IEEE Transactions on Biomedical Engineering Handling Editors Information
[IEEE] 2026-8-10 | CVRankify: Automating Pre-Interview Resume Screening for Remote Software Engineers with Generative Pre-Trained Model
[IEEE] 2026-8-10 | A Single RGB LED as Photoplethysmography Sensor
[ACM] 2026-8-10 | Designing Desired Support for Learning Programming with Minoritized Women Students in Computing
[ACM] 2026-8-10 | Proceedings of the 2026 ACM Conference on International Computing Education Research Vol. 1
[IEEE] 2026-8-10 | Blockchain Adoption to Combat Counterfeits in Tourist Attractions Considering Spillover Effects
[IEEE] 2026-8-10 | Beampattern Synthesis with Minimum Phase Quantization Bits via Kronecker Decomposition
[ACM] 2026-8-10 | Codebook-Based Acceleration for Ternary Language Model Inference
[ACM] 2026-8-10 | MECA-CiM: A Shared-MicroExponent-aware Configurable Analog Compute-in-Memory Macro for Efficient Inference
[ACM] 2026-8-10 | Unethical Ways to Manage Technical Debt
[ACM] 2026-8-10 | MITRA: Reconfigurable, Low-Latency, and Power-Efficient In-Memory Stochastic Architecture for Transcendental Functions
[IEEE] 2026-8-10 | End-to-end Deep Reconstruction and Clustering of Satellite Image Time Series for Crop Group Mapping
[IEEE] 2026-8-10 | Secure Orchestration and Low-Latency of Agentic Digital Twins for Industrial Intelligent Reality
[IEEE] 2026-8-10 | Infrared Image Super-Resolution Reconstruction of Power Equipment Based on Degradation-Aware and Edge-Enhanced Attention
