[2026-07-11 22:48:19] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-10
正在获取论文...
[ACM] 2026-7-10 | Privacy-Preserving GAN for Synthetic Data against Membership Inference Attack
[IEEE] 2026-7-10 | Experimental Comparative Analysis of EMI Suppression Methods Between SMA-OIS Actuator and CMOS Image Sensor
[IEEE] 2026-7-10 | Comparative Analysis of MIMO and SISO System Performance Based on Indoor Measurements Using USRP B210
[IEEE] 2026-7-10 | Navigating Authority Having Jurisdiction (AHJ) Compliance: Field Evaluations of Industrial, Non-Listed Equipment
[IEEE] 2026-7-10 | Is flexibility just a form of energy?
[IEEE] 2026-7-10 | Minimum Current Stress Optimization Control Method for Dual Active Bridge DC-DC Converter under Dual Phase Shift Modulation
[IEEE] 2026-7-10 | Adaptive Fault Interruption Coordination in DC Microgrids Based on Current Rise Rate
[IEEE] 2026-7-10 | Developing the Global Oil and Gas Market Model: assessing global oil and gas market implications of methane emission reduction policies
[IEEE] 2026-7-10 | Market-Responsive Deep Reinforcement Learning for Resource Sharing in Energy Communities
[IEEE] 2026-7-10 | Perceived Difficulty of Household Energy-Conservation and Scheduling Behaviours
[IEEE] 2026-7-10 | Performance Evaluation of Chaos-Optimized XGBoost on Heterogeneous Datasets
[IEEE] 2026-7-10 | A Scalable IoT and Sensor Network Architecture for Smart Agricultural Monitoring and Adaptive Control
[ACM] 2026-7-10 | Let the Hardware do it: Fast Graph Query processing through FPGA-accelerated Late Materialization and Decompression
[ACM] 2026-7-10 | From Tokens to Concepts: Leveraging SAE for SPLADE
[ACM] 2026-7-10 | Understanding DNNs in Feature Interaction Models: A Dimensional Collapse Perspective
[ACM] 2026-7-10 | Building Foundations for Information Retrieval in Extremely Low-Resource Ethnic Languages: Evidence from Tanzania
[ACM] 2026-7-10 | LLM-UP: SIGIR 2026 Workshop on LLM-powered User Profiling for Search and Recommendation
[ACM] 2026-7-10 | Towards Knowledgeable Deep Research: Framework and Benchmark
[ACM] 2026-7-10 | ARHN: Answer-Centric Relabeling of Hard Negatives with Open-Source LLMs for Dense Retrieval
[ACM] 2026-7-10 | Workshop on Computational User Models for Work
[ACM] 2026-7-10 | Toward an automatic formal verification of Cairo v0 programs
[ACM] 2026-7-10 | Spectabular: Interactive Tabular Requirements Specifications
[ACM] 2026-7-11 | Utilizing LLMs for Industrial Process Automation: A Case Study on Modifying RAPID Programs
[ACM] 2026-7-11 | ViTAL: LLM-Powered Taint Analysis for GUI Field Visualization Auditing in Android
[IEEE] 2026-7-10 | Outage and Error Performance Analysis of Partially Illuminated IRS-Assisted Underwater Optical Wireless Systems
[ACM] 2026-7-10 | CRN2DB: Chemical Reaction Networks to Database Matching via Dynamic Programming in ChemComp
[ACM] 2026-7-10 | SATUQ: Quantum-Ready Cybersecurity for Integrated Space–Aerial–Terrestrial Networks
[ACM] 2026-7-10 | Evaluating the benefits of Argument Fusion: Optimizing host-device communication
[ACM] 2026-7-10 | Co-design of an Accessible Avatar for Deaf Users: A Participatory Methodology in Practice
[ACM] 2026-7-10 | TimelyAI: When Should Generative AI Assistants Intervene?
[IEEE] 2026-7-10 | Zonal vs. Nodal Pricing: An Analysis of Different Pricing Rules in the German Day-Ahead Market
[IEEE] 2026-7-10 | Development of a Big Data-Driven Algorithm for Precise Calculation of Exercise Energy Consumption and Personalized Health Management
[IEEE] 2026-7-10 | Modular Architectural Framework for Interoperable and Secure Vehicle-to-Grid (V2G) Integration
[IEEE] 2026-7-10 | An Ultra-Wideband Microstrip MIMO Antenna with EBG Loading for WLAN and Sub-6G Applications
[ACM] 2026-7-11 | Cremes: Cost-Efficient and Reliable Microservice Execution on Spot Instances
[ACM] 2026-7-11 | Performance Evaluation of Approximate Nearest Neighbor Search on NVIDIA BlueField-3 DPU
[ACM] 2026-7-11 | Endeavor: Efficient PairHMM for Detection of DNA Variants in Genome-Scale Datasets
[IEEE] 2026-7-10 | Hydrogen Procurement for the German Pulp and Paper Industry: A Techno-Economic Comparison of Decentralized Electrolysis and Backbone Supply
[IEEE] 2026-7-10 | Analysis of the Impact of Negative Body Bias on the ESD Behavior of RF Switches
[IEEE] 2026-7-10 | Pumped Hydropower Storage for Balancing High Shares of Variable Renewable Generation in Europe Under High Gas and Carbon Prices
[IEEE] 2026-7-10 | Netverse: A Game-Based Learning Environment for Introductory Computer Networking
[IEEE] 2026-7-10 | AI-Generated Content on Social Media: Correlations with Persuasion and Disinformation
[IEEE] 2026-7-10 | Linearization Technology and Efficiency Optimization of Mobile Communication Radio Frequency Power Amplifiers Based on Model Predictive Control Algorithm
[IEEE] 2026-7-10 | Analyzing Social and Environmental Considerations in Past Onshore Wind Infrastructure Siting Decisions
[IEEE] 2026-7-10 | Prototype Development and Performance Analysis of Novel Electromagnetic Interference Filtering Inductors with Flexible PCB Winding
[IEEE] 2026-7-10 | Optimization of Physical Fitness Detection Algorithms for Different Sports Scenarios Based on Transfer Learning
[IEEE] 2026-7-10 | A Multi-Stage Hybrid Gap-Filling Framework for Sparse PM
                    <sub>2.5</sub>
                    Monitoring Stations in Northern Thailand
[IEEE] 2026-7-10 | Piece-Wise State-Space Modeling of Active Discharge Protection Circuits for Solid-State Circuit Breakers in Vehicular Power Supply Systems
[IEEE] 2026-7-10 | Performance Analysis of Hybrid 5G-FSO Communications in UAV Swarms
[IEEE] 2026-7-10 | Analysis of FoF Gasket Parameters on SE: Flexible Use of H-t &amp; SAE ARP 6248 Stripline Methods
[IEEE] 2026-7-10 | Integrator-Aided Minimization of Capacitor-Voltage-Ripple Disparity in Cascaded H-Bridge Energy Systems via Reactive Power Distribution
[IEEE] 2026-7-10 | Radar Target Simulation and EMC Evaluation Framework for Automotive ADAS Systems
[IEEE] 2026-7-10 | Mission-Ready 5G: Secure Core Architecture with Real-Time Tactical Alert Orchestration
[IEEE] 2026-7-10 | A Comparison of Stability Assessment Approaches for Public DC Electric Distribution Grids
[IEEE] 2026-7-10 | Financing: Non-Monetary Barriers and Opportunities for Energy Transition Investments in Germany
[IEEE] 2026-7-10 | Age-Friendly Renovation Path of Healing Landscapes Supported by Computer Big Data and Intelligent Algorithms
[IEEE] 2026-7-10 | Compact Cavity-Backed Slot Antenna with Filtering Response and Circuit-Noise Suppression
[IEEE] 2026-7-10 | Tech-Enabled Blood Donation: Incorporating AI Matching, Donor Monitoring, and Ride-Sharing for Enhanced Lifesaving Efficiency
[IEEE] 2026-7-10 | Analysis of Intelligent Safety Protection Measures for Substation Robots Based on IPSO-LSSVR Algorithm
[IEEE] 2026-7-10 | CLC-GAN: Confidence-Weighted Multimodal Image Fusion for Autonomous Systems
[IEEE] 2026-7-10 | Finite-/Fixed-Time Synchronization of Dynamic Memristor Cellular Neural Networks: A Method Based on Event-Dependent Intermittent Control
[IEEE] 2026-7-10 | VerifiED: Blockchain for Academic Credential Verification System
[IEEE] 2026-7-10 | A proposal of peer-to-peer trading market in energy communities in the Italian scenario
[IEEE] 2026-7-10 | Application of Large Language Models for Aspect-Based Sentiment Analysis on Social Media Data: A Case Study of the Thai Telecommunications Industry
[ACM] 2026-7-11 | Deterministic and Efficient Low Rank Approximation on GPUs
[ACM] 2026-7-10 | From Six to Two: SLIM-DUO, a Simplified Extension of SLIM-GSGP
[ACM] 2026-7-10 | Quantum-Behaved PSO-DE for Ubiquitous Connectivity in Space-Terrestrial Cell-Free Massive MIMO Systems
[ACM] 2026-7-10 | Dynamic Descriptor Mutations Improve Automated Quality-Diversity
[ACM] 2026-7-10 | Using GenAI Scenarios to Talk about Academic Integrity across Cultures
[ACM] 2026-7-10 | Emergence Of Internal State-Modulated Swarming In Multi-Agent Patch Foraging System
[ACM] 2026-7-10 | A Generic Framework for Optimisation under Uncertainty with Recourse: Theory and Examples
[IEEE] 2026-7-10 | Probabilistic Computing with Neuromorphic Elements
[IEEE] 2026-7-10 | IEEE Foundation
[IEEE] 2026-7-10 | JCSSE 2026 Message General
[IEEE] 2026-7-10 | Energy and Economic Assessment of Renewable Hybrid Systems in Residential Buildings with Integration of Demand-Side Flexibility
[IEEE] 2026-7-10 | JCSSE 2026 Content Announcement Page
[IEEE] 2026-7-10 | Two Heads Are Not Better Than One: Continual Learning from Multiple Models for Encrypted Traffic Analysis
[IEEE] 2026-7-10 | Understanding Field-Cycling-Dependent Evolution of Polarization Dynamics in Nonvolatile Anti-Ferroelectric Hf
                    <sub>x</sub>
                    Zr
                    <sub>1–x</sub>
                    O
                    <sub>2</sub>
                    Capacitors
[IEEE] 2026-7-10 | Copyright Page
[IEEE] 2026-7-10 | Cover Page
[IEEE] 2026-7-10 | JCSSE 2026 Content Announcement Page
[IEEE] 2026-7-10 | Development of MPI/Hybrid Parallelized 2-D PIC/MCC Code for Kinetic Instabilities in Hall Thruster Devices
[IEEE] 2026-7-10 | Design and Experimental Evaluation of a Bidirectional Magnetic Soft Diaphragm Pump_supp6-3703007.mp4
[IEEE] 2026-7-10 | Movable-Reconfigurable Intelligent Surface Assisted Visible Light Communications Systems
[IEEE] 2026-7-10 | sEMG-Based Force Estimation with Channel Reduction for Human-Robot Interaction in Forearm Rehabilitation: Online Experimental Validation
[IEEE] 2026-7-10 | ORDER: Generative Models for Increasing Robustness in Crop Recognition via Anomaly Detection
[ACM] 2026-7-10 | Analytical Search
[ACM] 2026-7-10 | Unified Supervision for Walmart's Sponsored Search Retrieval via Joint Semantic Relevance and Behavioral Engagement Modeling
[ACM] 2026-7-10 | Verbalizing LightGCN: Direct Learning of Textual Representations from User-Item Interaction Graph via LLMs
[ACM] 2026-7-10 | Well Begun is Half Done: Training-Free and Model-Agnostic Semantically Guaranteed User Representation Initialization for Multimodal Recommendation
[ACM] 2026-7-10 | H-MAPS: Hierarchical Memory-Augmented Proactive Search Assistant for Scientific Literature
[ACM] 2026-7-10 | R
                    <sup>3</sup>
                    Check: Reinforcement Learning for Iterative Retrieval and Structured Reasoning in Complex Fact Checking
[ACM] 2026-7-10 | An Asymmetric-difference based Document Exact Similarity Search Algorithm
[ACM] 2026-7-10 | LLM-Informed Bayesian Content Exploration in Ultra-Recency Recommendation
[ACM] 2026-7-10 | Speak Beyond English: Multilingual Prompts Improve Query Classification in Small Language Models
[ACM] 2026-7-10 | CS3: Efficient Online Capability Synergy for Two-Tower Recommendation
[ACM] 2026-7-10 | Financial Transaction Retrieval and Contextual Evidence for Knowledge-Grounded Reasoning
[ACM] 2026-7-10 | SurGE: A Benchmark and Evaluation Framework for Scientific Survey Generation
[ACM] 2026-7-10 | Generative Bid Shading in Real-Time Bidding Advertising
[ACM] 2026-7-10 | Fourier Kolmogorov-Arnold Network and Hypergraph Enhanced Contrastive Learning for Recommendation
[ACM] 2026-7-11 | TypeJinja: Static Type Checking of Jinja Templates at dbt Labs
[ACM] 2026-7-11 | Enabling Black-box RPC-API Testing with Multi-Agent Reinforcement Learning and LLMs: An Industry Case Study
[ACM] 2026-7-11 | TerraFormer: Automated Infrastructure-as-Code with LLMs Fine-Tuned via Policy-Guided Verifier Feedback
[IEEE] 2026-7-10 | Performance Analysis of Multiwavelength IRS-Assisted Underwater Optical Wireless Communication Systems
[ACM] 2026-7-10 | LLMSGHD: Co-Designing Large Language Model Software and Hardware for Efficient Inference
[ACM] 2026-7-10 | Bounded Synthesis of Synchronized Distributed Models from Lightweight Specifications
[ACM] 2026-7-10 | TensorEgg: Formally Verifying Rewrite Rules and Applying Them to Tensor Programs
[ACM] 2026-7-10 | Gesture Clustering for Real-Time User Disentanglement in Shared-Account Recommendation
[ACM] 2026-7-10 | Better than Dense? Investigating the Natural Backward Compatibility of Learned Sparse Representations
[ACM] 2026-7-10 | Reconstructing Content with Collaborative Attention for Universal Multimodal Representation Learning
[ACM] 2026-7-10 | Towards Building a Standard Benchmark for Low-Resource Nepali Information Retrieval
[ACM] 2026-7-10 | Beyond the Single Path: Divergent Reasoning for LLM-based Recommendation
[ACM] 2026-7-10 | Simulating the Lateral Reader for News Trustworthiness Reports with an Iterative Multi-Agent RAG System
[ACM] 2026-7-10 | Detectability and Evaluation Risks of LLM-Generated Answers in Low-Resource Swahili Agricultural Information Retrieval
[ACM] 2026-7-10 | Unified Semantic Modeling Framework for Large-Scale Job Understanding at LinkedIn
[ACM] 2026-7-10 | Verifiable User Simulation for Search and Recommendation Systems
[ACM] 2026-7-10 | Sparse Contrastive Learning for Content-Based Cold Item Recommendation
[ACM] 2026-7-10 | Balanced Frequency Decoupling: Energy-Aware Multi-Scale Preference Modeling for Sequential Recommendation
[ACM] 2026-7-10 | Formalized Information Needs Improve Large-Language-Model Relevance Judgments
[ACM] 2026-7-10 | DeepResearch-9K: A Challenging Benchmark Dataset of Deep-Research Agent
[ACM] 2026-7-10 | Mitigating Structural Overfitting: A Distribution-Aware Rectification Framework for Missing Feature Imputation
[ACM] 2026-7-11 | Automated Bug Frame Retrieval from Gameplay Videos Using Multimodal Large Language Models
[ACM] 2026-7-11 | Technical Credit: Industry Views on Benefits and Barriers
[ACM] 2026-7-11 | From Rules to LLM-Enhanced Templates: A Hybrid ALPG Code Generation System
[ACM] 2026-7-11 | CAST: Automated Resilience Testing for Production Cloud Service Systems
[ACM] 2026-7-11 | Delta Debugging for LLM-integrated Systems
[ACM] 2026-7-11 | An Ontology-Based Approach to Security Risk Identification for Container Deployments in OT Contexts
[IEEE] 2026-7-10 | Oil Spill Detection in SAR Images using Transformer-based Architectures
[IEEE] 2026-7-10 | Cycling Constraints Matter: Modelling Operational Limits of Underground Hydrogen Storage
[IEEE] 2026-7-10 | Self-Distillation of XLM-RoBERTa for Multilingual Sentiment Analysis on Imbalanced Data: A Case Study on Malagasy Mobile Application Reviews
[IEEE] 2026-7-10 | The Impact of Cutting the Peak Power of Individual Customers on the Total Peak Power of the Customer Group
[IEEE] 2026-7-10 | Design and Evaluation of RF Communication for a Custom UAV System
[IEEE] 2026-7-10 | Machine Learning–Accelerated Carrier and Phase Tracking for SDR-Based UAV Links
[IEEE] 2026-7-10 | Multi-Layer Hybrid Bi-Directional Encoder Architecture for Social Media Bullying Detection
[IEEE] 2026-7-10 | Deep Learning Based Short Term Solar Power Forecasting: Integrating Day Ahead and Real Time Nowcasting Models
[IEEE] 2026-7-10 | An Adaptive Smart Parking System Using Digital Twin Simulation with Edge–Dew Collaborative Computing
[IEEE] 2026-7-10 | FMCW LiDAR Data Generation in Obscurants via Hybrid Semi-Analytical Monte Carlo Simulation
[IEEE] 2026-7-10 | Exploiting Storage Advantages in the Italian Day-Ahead Market Time Granularity Change
[IEEE] 2026-7-10 | Modular Agentic AI Ecosystem for Real-Time Circular Supply Chain Optimization in Oceania's Resource Sector
[IEEE] 2026-7-10 | Source Reconstruction Inside Shielding Enclosures and its Generality Validation
[IEEE] 2026-7-10 | Blockchain-Enabled Automated Rating Valuation System for Enhanced Efficiency &amp; Accuracy: An AI-Based Study in Sri Jayewardenepura Kotte
[IEEE] 2026-7-10 | The Purrfect Comm: An Interactive Game for Learning Data Communication
[IEEE] 2026-7-10 | Modeling of Radiated EMI Due to Unbalanced Directivity Characteristic for Input and Output Cables in High Power Density GaN LLC Converter
[IEEE] 2026-7-10 | A Multi-Criteria Assessment and Ranking of Hydrogen Applications with Expert Surveys: the case of Norway
[IEEE] 2026-7-10 | Discovering Unknown Wafermap Patterns Using Cluster-Graph-Based Analytics
[IEEE] 2026-7-10 | A Robust Visual Cryptography Driven Authentication Framework for Secure Image Transmission
[IEEE] 2026-7-10 | A Comprehensive Framework for Developing a Formal Ontology for Organizational Values Using Semantic Web Technologies
[IEEE] 2026-7-10 | Optimizing Industrial Microgrid Operation in Flexibility Markets: The Role of BESS and V2G
[ACM] 2026-7-10 | A Hybrid GA–PSO with Collective Learning for Obstacle-Aware Sensor Node Deployment in IoT-Enabled Networks
[ACM] 2026-7-10 | A Bi-Criteria Selection Framework for Incorporating Preference Information into Evolutionary Multi-objective Optimization
[ACM] 2026-7-10 | Prior-Informed Symbolic Regression for Multiview Scientific Discovery
[ACM] 2026-7-10 | Adaptive Ensemble Multi-Objective Differential Evolution for High-Dimensional Gene Selection
[ACM] 2026-7-10 | Evolutionary Multitask Optimization for Coupled Continuous Decision Spaces: A GPU-Accelerated Pre-optimization for Movable-Antenna-and-RIS-aided Systems
[IEEE] 2026-7-10 | ETS 2026 Awards Page
[IEEE] 2026-7-10 | Study on Time and Frequency Domain Dielectric Properties of the Stator Insulation System
[IEEE] 2026-7-10 | A Graph-Based Concept Drift Detection Method for Semi-Supervised Data Stream Classification
[IEEE] 2026-7-10 | An Ultrawideband Symmetrical Dual-Directional Coupler With High-Order Synthesis and Accurate Dimension Mapping Based on PCB Technology
[IEEE] 2026-7-10 | Impact of Nonlinear Effects and PMD on a Comb-Based ELS in a Polarization Compensator
[IEEE] 2026-7-10 | Semantic Communication for Task Execution and Data Reconstruction in Multi-View Scenarios
[IEEE] 2026-7-10 | Self-Attention–Based Xception Convolutional Neural Network for Keratoconus Stage Classification Using 2D RGB Corneal Images
[IEEE] 2026-7-10 | A Physics-Based Simulation Framework for Robust Deep Learning-based HBM Defect Detection
[IEEE] 2026-7-10 | A Tutorial on Future Vehicular Communications: From Performance Metrics to Open Research Directions
[IEEE] 2026-7-10 | Floor Identification with Segmented Wi-Fi Signal Strengths
[IEEE] 2026-7-10 | Study on Field Distribution Characterization Techniques for a Cabin in the Undermoded
[IEEE] 2026-7-10 | A Single-Stage Modular Multilevel Reconfigurable Battery for Both AC and DC Microgrids
[IEEE] 2026-7-10 | Estimation of the Distribution Density of the Directivity of Unintentional Radiators
[IEEE] 2026-7-10 | Optimal Participation of Virtual Power Plants in Energy Markets Considering Battery Degradation
[IEEE] 2026-7-10 | Economic Viability of Hybrid Energy Storage System: Deploying a Prefeasibility Tool for Value Assessment
[IEEE] 2026-7-10 | Innovative Design and Performance Assessment of a Broadband Archimedean Spiral Antenna
[IEEE] 2026-7-10 | Machine-Learning-Based Classification of CO-$\text{NO}_{2}$ Gas Mixtures Using Dynamic Thermal Signatures from a Single MOS Sensor Channel
[IEEE] 2026-7-10 | Impact of the electrical vehicles into the Italian energy market
[IEEE] 2026-7-10 | SWIFT-Net: Slot-Guided Wavelet Interaction Fusion for Trajectories
[IEEE] 2026-7-10 | A Reliable and Explainable CNN Ensemble Benchmark for Multi-Class Brain Tumor MRI Classification
[ACM] 2026-7-11 | SRAP: Sender-side Receiver-Aware Port Selection for Deterministic Flow-to-Core Mapping in Hash-Based Flow Steering
[IEEE] 2026-7-10 | Multilingual Financial Fraud Detection Using Machine Learning and Transformer Models: A Bangla-English Study
[IEEE] 2026-7-10 | Evaluating Parameter-Efficient Fine-Tuning of Open-Weight LLMs for Medical Question Answering
[IEEE] 2026-7-10 | Antenna's Performance in Microwave Imaging of Stratified Media
[ACM] 2026-7-10 | Fragment: Efficient DNN Checkpoint with Relaxed Model Consistency
[ACM] 2026-7-10 | Hierarchical Denoising Entire Space Multi-Task Model for Post-Click Conversion Rate Prediction with Noisy Labels
[ACM] 2026-7-10 | Is It Novel and Why? Fine-Grained Patent Novelty Prediction Based on Passage Retrieval
[ACM] 2026-7-10 | Adaptive Personalisation for Effective Conversational Search Systems
[ACM] 2026-7-10 | Towards Efficient and Generalizable Retrieval: Adaptive Semantic Quantization and Residual Knowledge Transfer
[ACM] 2026-7-10 | Deep Reinforcement Learning Based Environmental and Mating Selection for Evolutionary Multi-objective Optimization
[ACM] 2026-7-10 | Dominance-Boundary-Based Reference Point Generation for Indicator-Based Multiobjective Optimization
[ACM] 2026-7-10 | Particle Swarm Optimization with Population Dynamics - Artificial Splitting, Extinction, and Migration
[ACM] 2026-7-10 | Mortar: Evolving Mechanics for Automatic Game Design
[ACM] 2026-7-10 | Evolution With Purpose: Hierarchy-Informed Optimization of Whole-Brain Models
[ACM] 2026-7-10 | ROIDS: Robust Outlier-Aware Informed Down-Sampling
[ACM] 2026-7-10 | VeriROS: Verifiable ROS2 Navigation Execution Framework
[ACM] 2026-7-10 | Model-Driven Assurance for Robotic Controllers: A Subterranean Tunnel Inspection Case Study
[ACM] 2026-7-10 | Ethics and Social Responsibility in AI-Assisted Interviewing: An LLM-in-the-Loop Study of AI-Generated Follow-Up Questions
[IEEE] 2026-7-10 | How Perceived AI Enabled Service Features Shape User Trust in Mobile Network Services
[IEEE] 2026-7-10 | 3-D Trajectory Optimization for Robust Direction Sensing in Movable Antenna Systems
[IEEE] 2026-7-10 | An Implementation-Informed Edge-IoT ALPR Prototype for Thai Vehicle Access Control Using Dual YOLO Models and OCR on Raspberry Pi
[IEEE] 2026-7-10 | Active Directory Security: A Proactive Approach to Threats Detection and Mitigation with AI-Driven Anomaly Detection and Predictive Analytics
[IEEE] 2026-7-10 | Decision Robustness Under Information Noise: A Machine Learning Perspective on Managerial Decision Systems
[IEEE] 2026-7-10 | Exploring Generative AI Factors and Their Impact on Software Development Effort Estimation
[IEEE] 2026-7-10 | The social contract of energy sharing communities: ensuring fairness through allocation rule design
[IEEE] 2026-7-10 | Three-Phase Resonant CLLC Current-Source Converter for Low-Voltage High-Current Applications
[IEEE] 2026-7-10 | A Metasurface-Enabled TEMPEST Countermeasure Based on Amplitude and Phase Joint Modulation
[IEEE] 2026-7-10 | A Scalable Blockchain-Based Approach for Secure Financial Transactions in Modern Digital Banking Systems
[IEEE] 2026-7-10 | A Novel Method for Antenna Radiation Efficiency Measurement Based on Signal Correlation Coefficients
[IEEE] 2026-7-10 | On the Implementation of Burst Mode in Modular Active Cell Controlled Energy Routers
[IEEE] 2026-7-10 | Reconfigurable DC-DC Converter with Ultra-Wide Gain and Voltage/Current Stress Management
[IEEE] 2026-7-10 | Dual-Use Solar Strategies: Modelling LandConstrained PV Deployment in Europe
[IEEE] 2026-7-10 | Assessing the Market Value of Power Forecasting of Hybrid Power Plants in the Iberian Electricity Market
[IEEE] 2026-7-10 | Role of flexible demand and battery energy storage in spot price formation in future energy markets
[IEEE] 2026-7-10 | Real-Time Food Monitoring and Nutrient Tracking for the Elderly at Home Using YOLO
[IEEE] 2026-7-10 | Time-Domain Modelling of EMI Receiver Responses to Pulsed Signals in Reverberation Chambers
[IEEE] 2026-7-10 | Impact of 15-Minute Peak-Shaving on Aggregated Demand in Residential Customer Groups
[IEEE] 2026-7-10 | Investigation into the Effects of Task Allocation on Loneliness via Minecraft-based Group Activities
[IEEE] 2026-7-10 | Vector Control of Current Source Inverter for PMSM Based on Virtual Impedance
[IEEE] 2026-7-10 | On Evaluating the Security of TRNG-driven SRAM Scrambling Architecture
[ACM] 2026-7-11 | Thermal-Aware Scheduling for DNN Inference on 3D Logic-to-DRAM Process-Near-Memory Architecture
[ACM] 2026-7-11 | Distributed Scheduling for Modular Quantum Computing in Cloud
[IEEE] 2026-7-10 | Structural Vibration Assessment of Microduct Fiber-Optic Tubing using Fiber Bragg Grating Sensing and Portable Optical Interrogation
[IEEE] 2026-7-10 | Concept for exchanging small-scale decentralized flexibilities in the German electricity market using data spaces
[ACM] 2026-7-11 | Scheduling Optimization of Distributed LLM Inference
[ACM] 2026-7-11 | When RDMA Goes Long-Haul: Characterization, Modeling, and Verbs-Level Emulation with Implications for Federated Learning
[ACM] 2026-7-11 | CXLMemSim: Practical Performance Simulation and Characterization of CXL 3.0 Memory Systems
[ACM] 2026-7-11 | NCCLZ: Compression-Enabled GPU Collectives with Decoupled Quantization and Entropy Coding
[IEEE] 2026-7-10 | COMM 2026 TOC
[IEEE] 2026-7-10 | ETS 2026 Blank Page
[IEEE] 2026-7-10 | Conference Committee
[IEEE] 2026-7-10 | Thallium Bromide-Based Multilayer Surface Plasmon Resonance Biosensor for the Detection of Brain Tissue Abnormalities Using Graphene-Derived Oxide Layer
[IEEE] 2026-7-10 | FunHOI: Annotation-Free 3D Hand-Object Interaction Generation via Functional Text Guidance
[IEEE] 2026-7-10 | Opportunities and Credibility Challenges of Generative AI-Enhanced Digital Twins Across Science and Engineering
[IEEE] 2026-7-10 | See Better While Driving: Sense-Act Cooperative Attention With Asymmetric Soft Actor-Critic for Autonomous Driving
[IEEE] 2026-7-10 | Radar Anti-Jamming Area Coverage Using Multi-Agent Reinforcement Learning
[IEEE] 2026-7-10 | Shared Trajectory Based Multi-Policy Decision-Making for Socially Compliant Robot Navigation in Dense Crowds_supp1-3711907.mp4
[IEEE] 2026-7-10 | Lightweight Anonymous Authentication and Key Agreement With Dynamic Batch Verification for Edge-Intelligent AIoT
[IEEE] 2026-7-10 | Transformer-Based EEG Decoding: A Survey_supp1-3681097.pdf
[ACM] 2026-7-10 | OntoEL: Neuro-Symbolic Biomedical Entity Linking with Differentiable Fuzzy EL
                    <sub>⊥</sub>
                    Reasoning
[ACM] 2026-7-10 | From Doxa to Logos in Scientific Peer Review
[ACM] 2026-7-10 | Compression-Aware LIKE: Matching Patterns in the FSST Domain
[ACM] 2026-7-10 | Efficient Query Region Expansion and Decomposition based Spatial Range Query Algorithm
[ACM] 2026-7-10 | FEDIN: Frequency-Enhanced Deep Interest Network for Click-Through Rate Prediction
[ACM] 2026-7-10 | Diagnosing and Mitigating Mid-Sequence Degradation in Recommender Systems
[ACM] 2026-7-10 | Learning Evidence of Depression Symptoms via Prompt Induction
[ACM] 2026-7-10 | Evaluation Validity in Information Retrieval
[ACM] 2026-7-10 | GIGP
                    <sup>+</sup>
                    : A CPU-GPU Co-Processing Engine for Multi-Vector Retrieval
[IEEE] 2026-7-10 | A Soft-Switching Single-Stage Isolated AC-DC Converter Using GaN Monolithic Integrated Bidirectional Switch
[IEEE] 2026-7-10 | Trust-Driven Risk-Adaptive Post-Quantum Authentication for Resource-Constrained IoT Systems
[IEEE] 2026-7-10 | Quantum Guided Discovery of Hidden Venous Micro Dynamics in Multimodal Imaging
[IEEE] 2026-7-10 | Investigation on the Susceptibility of Operational Amplifiers to Switching Noise
[IEEE] 2026-7-10 | Integrated Multimodal Analysis of Dental Lesions Using Clinical Images and SEM-EDX with Deep Neural Networks
[IEEE] 2026-7-10 | Enabling Sustainable Supply Chains via Digitalization: Leveraging Efficiency and Technological Readiness
[IEEE] 2026-7-10 | Aviation DC Series Arc Fault Detection Method Based on Dual-Perspective Multidimensional Feature Fusion and Statistical Evidence
[ACM] 2026-7-11 | Principles and Practices of Large-Scale Code Analysis at Ant Group: A Data- and Logic-Oriented Approach
[ACM] 2026-7-11 | Green Software Engineering in Practice: Quantifying the Impact of Carbon Reduction Strategies in Enterprise Software
[ACM] 2026-7-11 | Deploying SafeKAN for Anomaly Detection in Safety-Critical Satellite Operations: An Industry-Guided Study
[ACM] 2026-7-10 | All LCA models are wrong. Are some of them useful? Towards open computational LCA in ICT
[ACM] 2026-7-10 | Reliability Analysis of TMR Configurations in SRAM-Based FPGAs Using Static Evaluation
[ACM] 2026-7-10 | Unifying User Satisfaction and Creator Incentive: A Constrained Optimization Framework for Short-Video Recommendation
[ACM] 2026-7-10 | Policy-Guided RAG: Enforcing Verbatim and Controlled Synthesis
[ACM] 2026-7-10 | From Lab to Reality: An Eye-tracking Study of How Users are Influenced to Search in the Era of GenAI
[ACM] 2026-7-10 | Large-Scale Online Learning for Generative List Recommendation in E-commerce: An Environment Policy Optimization Approach
[ACM] 2026-7-10 | Learning Decomposed Contextual Token Representations from Pretrained and Collaborative Signals for Generative Recommendation
[ACM] 2026-7-10 | How Should Multimodal Information Be Chunked for Complex Question Answering?
[ACM] 2026-7-10 | Question-Adaptive Graph Learning for Multi-hop Retrieval Augmented Generation
[ACM] 2026-7-10 | Sparton: Fast and Memory-Efficient Triton Kernel for Learned Sparse Retrieval
[ACM] 2026-7-10 | Constructing Hard-Positive Query–Document Pairs for Dense Retrieval via Phrase Representativeness
[ACM] 2026-7-10 | Characterising the Effects of Social Conformity on Information Seeking in Mixed Human-AI Environments
[ACM] 2026-7-10 | LLM-Enhanced Topical Trend Detection at Snapchat
