[2026-02-19 09:33:06] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-02-18
正在获取论文...
[arXiv] 2026-02-18 | Measuring Mid-2025 LLM-Assistance on Novice Performance in Biology
[IEEE] 2026-2-18 | Effects of Programming-Pulse Frequency on Synaptic Characteristics of Amorphous IGZO Thin-Film Transistors with Defective Gate Oxides_supp1-3665692.pdf
[IEEE] 2026-2-18 | Walking Behavior-Based Positioning Strategy for Dockless Shared Mobility Systems
[IEEE] 2026-2-18 | Green AI or Overlooked Software Costs? Quantifying the Real Impact of Software Stacks on Scientific ML Emissions
[IEEE] 2026-2-18 | Anti-Unwinding Time-Varying Sliding Mode Control With Arbitrary Convergence Time for Rigid Spacecraft
[IEEE] 2026-2-18 | Hybrid Diffusion for Simultaneous Symbolic and Continuous Planning_supp1-3664616.mp4
[IEEE] 2026-2-18 | SpaceNet: A Resource-Efficient Simulation Testbed for LEO Mega-Constellation Networks
[IEEE] 2026-2-18 | BMchain: Design of an Account-Driven and Regulatory-Friendly Stateless Layer-2 Blockchain
[IEEE] 2026-2-18 | Energy-Efficient Aerial IRS Configuration and Resource Allocation in AoI-Aware MEC
[IEEE] 2026-2-18 | Bayesian Probabilistic Knowledge from Diameter Prior for Decision Fusion to Detect Lung Nodule Heterogeneity
[IEEE] 2026-2-18 | VLSI Architecture for an Adaptive Transmission Estimation-Based Video Dehazing Method
[IEEE] 2026-2-18 | MPCF: Multi-Phase Consolidated Fusion for Multi-Modal 3D Object Detection with Pseudo Point Cloud
[IEEE] 2026-2-18 | High-Fidelity Seismic Super-Resolution Using Prior-Informed Deep Learning with 3D Awareness
[IEEE] 2026-2-18 | GAN-Based Rare Disease Image Synthesis: A Solution for Data Scarcity and Privacy-Aware Learning
[IEEE] 2026-2-18 | An Innovative Electric Vehicle Charging System Using Game-Theoretic Optimization Model and Pre-Connection SOC Modeling
[IEEE] 2026-2-18 | TBNet-Lite: A Lightweight Artificial Learning System for Automatic TB Detection
[IEEE] 2026-2-18 | Graph Neural Networks-Mapped Code Optimization System for Software Performance
[IEEE] 2026-2-18 | Analysis of Lightning Electromagnetic Field Propagation Characteristics Considering the Topography and Geomorphology of Guangdong Province
[IEEE] 2026-2-18 | Predicting Hourly Electricity Demand Using Fuzzy Logic: Integrating Environmental Factors for Accurate Forecasting
[IEEE] 2026-2-18 | MIRA: A 5T1C Flash Cell-based Mixed-Signal InMemory Readout Architecture Achieving Highly Accurate VMM Computation
[IEEE] 2026-2-18 | Bidirectional Converter for Electric Vehicles based on Matrix-Type Rectifier and Interleaved CLLLC
[IEEE] 2026-2-18 | Design of a 40-110 GHz Ultra-Wideband Wilkinson Power Divider with Low Insertion Loss
[IEEE] 2026-2-18 | Machine Learning Driven Dynamic Pricing System for E-Commerce Revenue Optimization
[IEEE] 2026-2-18 | AI-Integrated Drone Swarm Coordination Using Deep Q-Networks for Disaster Response
[IEEE] 2026-2-18 | EEG-Based Classification of Abnormal Epileptiform Patterns
[IEEE] 2026-2-18 | Ka-Band Omnidirectional Circularly Polarized Waveguide Slot Antenna for Low-Altitude UAV Applications
[IEEE] 2026-2-18 | Data-Driven Approach for Dynamic Comparator in Analog-to-Digital Conversion
[IEEE] 2026-2-18 | AAP2-YOLO: A Model Improvement about Counter-UAV Detection
[IEEE] 2026-2-18 | Deep Learning Based Modulation Parameters Extraction of Non-Reciprocal Bandpass Filter
[IEEE] 2026-2-18 | Examining Blockchain-Based AI-Based Predictive Analytics for Effective Resource Management and Supply Chain Transaction Optimization
[IEEE] 2026-2-18 | Weigh&amp;Pay: Semi-Automated Self-Checkout and Pricing for Non-Barcoded Items Using AI Vision
[IEEE] 2026-2-18 | Research on the Stability of Multi-Machine System of Grid-type Converter
[IEEE] 2026-2-18 | Analysis of Probe Coupling for Channel Property Optimization in an HVAC Duct
[IEEE] 2026-2-18 | Neuro-Swarm Diffusion Reinforcement with Probabilistic Eco-Adaptive Modeling for Coastal Flood Risk Management
[IEEE] 2026-2-18 | Automatic Extraction of Ground Target Features from High-Resolution Remote Sensing Images Based on the TransU-Net Model
[IEEE] 2026-2-18 | RCS Measurement and Modeling of Manned Electric Bicycle in the 77-81 GHz Band
[IEEE] 2026-2-18 | Ferrite-Free High-Power Balun for Differential Push-Pull Amplifiers in MRI/NMR Applications
[IEEE] 2026-2-18 | Indoor Localization Using Extended Kalman Filter with Time-of-Arrival Measurements
[IEEE] 2026-2-18 | An X-band GaAs Low Noise Amplifier
[IEEE] 2026-2-18 | Innovative Pedagogical Strategies in Science Education: Leveraging Artificial Intelligence for Enhanced Digital Literacy
[IEEE] 2026-2-18 | DMAS-KEP: Identifying Key Events and Critical Paths in Dynamic Multi-Agent Systems via Complex Networks
[IEEE] 2026-2-18 | Load-Aware and QoS-Constrained Task Scheduling Method for Edge Computing in Power Systems
[IEEE] 2026-2-18 | Optimal Scheduling of Virtual Power Plant Based on Humpback Whale Migration Algorithm
[IEEE] 2026-2-18 | Deep-Learning-Based X-Band Waveguide Permittivity Measurement Method for Dielectric Materials with Air Gaps
[IEEE] 2026-2-18 | WasteNet: A Structured-Pruned and EMA-Augmented RepVGG Framework for Real-Time Trash Classification
[IEEE] 2026-2-18 | An Integrated Shield Flip-Chip Mounting MIC Bandpass Filter in Q-Band
[IEEE] 2026-2-18 | AI-Based Fault Diagnosis and Prediction of Power Switches
[IEEE] 2026-2-18 | A Frequency-Reconfigurable Multi-Band 4-Channel Beamforming IC for Millimeter-Wave 5G Communication
[IEEE] 2026-2-18 | A Multimodal Dynamic Interaction-Based Method for Indoor Scene Recognition
[IEEE] 2026-2-18 | Employing Neural Networks to Predict Coronary Heart Disease Based on Physiological Parameters
[IEEE] 2026-2-18 | Multimodal Learning for Predicting Fat Component Shifts in Kyrgyz Women across Different Ages
[IEEE] 2026-2-18 | Context-Aware Transfer Adaptation for Trajectory Prediction in Autonomous Driving
[IEEE] 2026-2-18 | Integration of AI-Driven Power Management in Aerospace Electrical Systems
[IEEE] 2026-2-18 | 2025 Asia-Pacific Microwave Conference (APMC)
[IEEE] 2026-2-18 | Lightweight IoT Intrusion Detection via Feature and Sample Reduction with Multi-Client Ensemble for Zero-Day Attacks
[IEEE] 2026-2-18 | Cross-Modality Object-Level Knowledge Distillation for Enhanced Underwater Sonar Object Detection
[IEEE] 2026-2-18 | An Improved 3D U-Net Hybrid Network for High-Precision Soybean Mapping from Multi-temporal Sentinel-2 Imagery
[IEEE] 2026-2-18 | Distributed Adaptive Dynamic Programming for Optimal Cluster Synchronization of Multicluster Games Against Unknown Perturbation
[IEEE] 2026-2-18 | IEEE Proceedings
[IEEE] 2026-2-18 | A Rolling Bearing Fault Diagnosis Model Integrating Adaptive Distribution-Aware Discriminative Loss Function
[IEEE] 2026-2-18 | Analysis and Design of a Wide-Load-Range Microwave Rectifier With DC–DC Converter
[IEEE] 2026-2-18 | Sub-THz and THz CMOS Electronics for Sensing and Communication Applications
[IEEE] 2026-2-18 | Deep Learning based Tree Counting Method for Various Plant Density in UAV-Captured Palm Oil Plantation Images
[IEEE] 2026-2-18 | The Effect of Carrier Aggregation of Sub6 and Millimeter Wave on Video and Audio Transmission QoE in 5G Environment
[IEEE] 2026-2-18 | Toward Automated Quantum Machine Learning: A Review of Principles, Status, Advances, and A Pathway to AutoQML
[IEEE] 2026-2-18 | Is Beijing Mandarin Stress-Timed? Examining Rhythmic Patterns in Spontaneous and Read Speech
[IEEE] 2026-2-18 | Dynamic Obstacle Avoidance for Micro-Drones Based on Monocular Depth Estimation and Model Predictive Control
[IEEE] 2026-2-18 | APMC 2025 Cover Page
[IEEE] 2026-2-18 | BigDIA 2025 Conference Organization
[IEEE] 2026-2-18 | Fed-GTopK: Expediting In-Network Federated Learning by Transmitting Global Top Model Updates
[IEEE] 2026-2-18 | Deep_TPPred: Improved prediction of protein toxicity using feature fusion and hybrid neural network approach_supp1-3656227.pdf
[IEEE] 2026-2-18 | Stability in Electroluminescence from Ag-NSi Schottky Junction LED: Role of Ambient Oxidation
[IEEE] 2026-2-18 | A Miniaturized Two-Electrode H
                    <sub>2</sub>
                    S Sensor on FPCB with A Reduction-Bias Cleaning Scheme
[IEEE] 2026-2-18 | An Input-Output Linearization-Based Robust Controller for Single-Track Models With Steering Actuator Delays
[IEEE] 2026-2-18 | Integrated Perception, Communication, and Computation for Autonomous Vehicle and Road Infrastructure Network_supp1-3665193.pdf
[IEEE] 2026-2-18 | SPS Social Media
[IEEE] 2026-2-18 | Ensemble-Based Methodology for Breast Cancer Detection
[IEEE] 2026-2-18 | Design and Implementation of an Intelligent Enhancement System for Fundus Image Quality
[IEEE] 2026-2-18 | HifiDiff: Two Stream Diffusion Models for High Fidelity Speech Generation of Unseen Languages
[IEEE] 2026-2-18 | Stage-Wise Acoustic-Linguistic Fine-Tuning for Overlapped Speech Recognition: Does Ordering Matter?
[IEEE] 2026-2-18 | Machine Learning based Energy Selective Surface Design Excluding Contradictory Structure
[IEEE] 2026-2-18 | Tissue-Specific Modelling Reveals Metabolic Shifts in Metformin-Treated T2D Blood Cells
[IEEE] 2026-2-18 | A Trust-Based Blockchain Framework for Mitigating Smartphone Theft Incidents
[IEEE] 2026-2-18 | Design of L-band Radar Module Assembly
[IEEE] 2026-2-18 | Enhancing Thermal Imaging Accuracy for Power System Maintenance
[IEEE] 2026-2-18 | CoT-Driven Knowledge Distillation for Fault Diagnosis in Mineral Processing Equipment
[IEEE] 2026-2-18 | Automatic Examination of Satellite Collected Environmental Data with Deep Transfer Learning
[IEEE] 2026-2-18 | A Dual-Band Dual-Polarized Meta-Lens Antenna for Sub-6-GHz Wireless Communications
[IEEE] 2026-2-18 | Deepfake Detection Using ResNet50V2 with Machine Unlearning Integration
[IEEE] 2026-2-18 | Water Quality Prediction Using Ensemble Learning for Sustainable Resource Management
[IEEE] 2026-2-18 | ZK-Rollups and State Channels Comparison for Healthcare Data Privacy and Scalability
[IEEE] 2026-2-18 | AI-Powered Cervical Cancer Assistant for Personalized Test Recommendations
[IEEE] 2026-2-18 | Cross-Domain Effects on Syntactic Ambiguity Processing by Chinesemandarin Speaking Children
[IEEE] 2026-2-18 | Mobile-Oriented Fusion of Inertial Neural Networks and Visual Localization
[IEEE] 2026-2-18 | Hi-CLIP: Fine-Grained Alignment with Hierarchical Semantic Pyramids
[IEEE] 2026-2-18 | Splitting strategy based optimization algorithm for solving robots cell cycle scheduling problem
[IEEE] 2026-2-18 | U6G IBFD Antenna with Digital-Assisted Cancellation
[IEEE] 2026-2-18 | ClassiED: Improving Zero-Shot Event Detection by Reducing LLM Hallucination
[IEEE] 2026-2-18 | Forecasting Air Quality Index Using an Enhanced Extreme Learning Machine Based on Genetic Algorithms
[IEEE] 2026-2-18 | Integrating FDES-DPSIR Framework for Evidence-Based Climate Risk Assessment and Causal Modeling in Indonesia
[IEEE] 2026-2-18 | Advanced Three-Axis Shake Table System for Comprehensive Earthquake Simulation and Structural Dynamics Research
[IEEE] 2026-2-18 | Blockchain Hash Pattern Behaviour Analysis for Malicious Detection in Vehicular File Sharing
[IEEE] 2026-2-18 | Energy-Conscious Edge-Assisted IOT Communication Framework Leveraging 5G and AI Technologies
[IEEE] 2026-2-18 | LTE Bands for Human Presence Detection Using Software-Defined Radio
[IEEE] 2026-2-18 | Medium-Power Amplifier for the 17-22 GHz Band Designed for High oIP
                    <sub>3</sub>
[IEEE] 2026-2-18 | Wrist-Worn Frequency-Modulated Continuous Wave (FMCW) Radar for Respiration Monitoring
[IEEE] 2026-2-18 | Preserving and Disseminating Architectural Knowledge: An Immersive Virtual Learning Hub for Thai Vernacular Houses
[IEEE] 2026-2-18 | Deep Neural Networks-Optimized Risk Forecasting Unit for Dynamic Management Planning
[IEEE] 2026-2-18 | High Flame Retardant and High Mechanical Strength Epoxy Insulation Composites Based on Cross-scale Compounding
[IEEE] 2026-2-18 | PID Control Method for Coal Feed Rate under Variable Load Conditions Based on an Improved Gray Wolf Optimization Algorithm
[IEEE] 2026-2-18 | Air Quality Prediction System in Lima Using Long Short Term Memory
[IEEE] 2026-2-18 | Robust Quantum-Enhanced Hybrid Approach Design to Accelerate Deep Learning Models Performance and Stability
[IEEE] 2026-2-18 | A Taxonomy of Electromagnetic Information Leakage Threats Focusing on Emission Process
[IEEE] 2026-2-18 | Millimeter Wave Communication and Sensing for ITS
[IEEE] 2026-2-18 | Research on the Application of XGBoost Model Fused with Multiple Features in Load Forecasting of Charging Stations at Highway Service Areas
[IEEE] 2026-2-18 | Multidomain HRV Features for the Smart Diagnosis of ADHD Using ML Models
[IEEE] 2026-2-18 | Preliminary Design of a Modified Birdcage Receiver RF Coil for
                    <sup>23</sup>
                    Na Breast MRI at 7T
[IEEE] 2026-2-18 | Vision-Based Quality Assessment Method for Adhesive Application in Screw Installation
[IEEE] 2026-2-18 | Energy Efficient Routing Protocol Based on Fuzzy Optimized Self Schedule Routing for Lifetime Improvement in WSN
[IEEE] 2026-2-18 | A 300-GHz Voltage-Controlled Oscillator Using a Coupled-Line Resonator with 177.6-dBc/Hz FoM and 5.6-dBm Peak Output Power
[IEEE] 2026-2-18 | Handover Strategy Design for CF-MIMO Systems Based on UKF Prediction
[IEEE] 2026-2-18 | SpectralFusionNet: Enhanced Satellite Image Scene Classification Through Hybrid Deep Learning Architecture and Intelligent Data Augmentation
[IEEE] 2026-2-18 | Model-Free Robust Control of Current-Speed for Marine Propulsion Six-Phase PMSM Based on Composite Virtual Vectors
[IEEE] 2026-2-18 | iSSSC 2025 Cover Page
[IEEE] 2026-2-18 | 2026 International Conference on Electronics, Information, and Communication (ICEIC)
[IEEE] 2026-2-18 | ICCBD+AI 2025 Cover Page
[IEEE] 2026-2-18 | Advancing Autism Spectrum Disorder Diagnosis with Multimodal Data: A Survey
[IEEE] 2026-2-18 | A Real-Time Orbit Correction Method for LEO Satellites using Signals of Opportunity from Multiple Stations
[IEEE] 2026-2-18 | Microbubble cantilever Fabry-Perot interferometer (FPI) sensor with ultra-high strain sensitivity under the Vernier effect
[IEEE] 2026-2-18 | Physics-Guided Posterior Sampling for Diffusion-Based Real-World Dehazing and Image Enhancement_supp1-3662772.pdf
[IEEE] 2026-2-18 | An Energy-Efficient and High-Accuracy Dual-ModeECG AI Processor via Deep-Fold and Zero-Free Fine-Grained Quantization
[IEEE] 2026-2-18 | A Carrier-Based DPWM Method With Integrated Reactive Power Compensation Capability for Vienna Rectifier
[IEEE] 2026-2-18 | Research on the Frequency Spectrum Fluctuation of Radar Signal Under Plasma Sheath
[IEEE] 2026-2-18 | A Millimeter-Wave Two-Way Series-Doherty Power Amplifier With Transformer-Based Second-Order Output Network
[IEEE] 2026-2-18 | Cover Page
[IEEE] 2026-2-18 | Res-SH: Unbiased Residual Learning for Self-Healing Interface Toughness Prediction with Limited Data
[IEEE] 2026-2-18 | A Secure and Efficient LLM-Based System for Natural Language Query-to-SQL Translation in IoT Data Management
[IEEE] 2026-2-18 | Dual-Teacher and Dual-Prompt Pool for Few-Shot Dialog State Tracking
[IEEE] 2026-2-18 | Practical Fixed-Time Control of Switched Neutral Filippov Systems on Networks
[IEEE] 2026-2-18 | IEEE Computer Society Info
[IEEE] 2026-2-18 | Mesh Stability of Uncertain Platoon Vehicles with Cornering Maneuver Using Relative Posture Error Information
[IEEE] 2026-2-18 | A Novel Benchmark for Domain Generalization in Zero-Target-Sample Capsule Detection
[IEEE] 2026-2-18 | Fostering Student Responsibility and Sustainability Literacy Through AI-Based Learning Tools
[IEEE] 2026-2-18 | Design of Optimal Reflection Coefficients and Low-Complexity Equalizer for IRS-OTFS System
[IEEE] 2026-2-18 | Real-Time Attack Surface Reduction in Cloud Infrastructures Using Reinforcement Learning-Driven Cyber Deception Strategies
[IEEE] 2026-2-18 | Hybrid Deep Learning and Ensemble Model for Accurate Detection and Classification of Bone Cancer
[IEEE] 2026-2-18 | Logarithmic Hyperbolic Cosine Adaptive Filter with Variable Center Based Channel Estimation Under Non-Zero-Mean Non-Gaussian Noise
[IEEE] 2026-2-18 | Transient waveform recording FDTW decomposition for early insulation fault DTU terminal sensing of distribution lines
[IEEE] 2026-2-18 | Adaptive Recommendation Engines for Sparse Interaction Data
[IEEE] 2026-2-18 | Charging Load Forecasting based on LSTM Neural Network
[IEEE] 2026-2-18 | Consensus Control of Multiagent Systems Based on Event-Triggered Reinforcement Learning
[IEEE] 2026-2-18 | Millimeter-Wave Miniaturized Antenna and Its Wide-Angle Scanning Array for 5G Mobile Communication
[IEEE] 2026-2-18 | Electricity Price Forecasting Based on Similarity-Based Date Selection and VMD-CNN-LSTM
[ACM] 2026-2-18 | AI Assisted AR Assembly: Object Recognition and Computer Vision for Augmented Reality Assisted Assembly
[IEEE] 2026-2-18 | Automated Satellite Image Segmentation Using Kapur's Entropy Through Black-Winged Kite Algorithm
[IEEE] 2026-2-18 | Smart Voice Commands Control and E-Braking for Safety in Intelligent Transfer Devices
[IEEE] 2026-2-18 | Graph Neural Networks for Mapping Intertextual References and Thematic Networks in Large–Scale English Poetry Collections
[IEEE] 2026-2-18 | Speech Input Interface for Electronic Medical Record Supporting Automatic Soap Generation Using Large Language Models
[IEEE] 2026-2-18 | Precision Watering: Enhancing Crop Yield with IoT-Integrated Irrigation
[IEEE] 2026-2-18 | Research on the surface flashover characteristics and failure mechanism of oil-impregnated pressboard containing thermally induced bubbles under power frequency voltage
[IEEE] 2026-2-18 | Research on Charging Strategies for Multiple Battery Swapping Stations Considering Demand Response
[IEEE] 2026-2-18 | Estimating Obstacle Position for Ensuring Safety of Elderly Powered Wheelchair Users
[IEEE] 2026-2-18 | Research and Implementation of a Flink-Based E-Commerce Order Processing and High-Value User Identification System for Real-Time Data Scenarios
[IEEE] 2026-2-18 | GM (1,1) perception method for intelligent situation of SCADA in distribution network based on multi-source data fusion
[IEEE] 2026-2-18 | Predictive System to Avoid Passenger Saturation on the Lima BRT using Neural Networks
[IEEE] 2026-2-18 | Miniaturized Millimeter-Wave Co-Linearly Polarized Patch Antenna with Dual Fence-Strip Resonators for In-Band Full-Duplex Applications
[IEEE] 2026-2-18 | Balancing Innovation and Regulation: Integrating Blockchain into the European Digital Identity Framework
[IEEE] 2026-2-18 | Dynamic Electrocardiogram Encryption for Enhanced Security and Privacy in E-Gate Facial Recognition Technology
[IEEE] 2026-2-18 | AI-Driven Document Intelligence: A Survey on Preprocessing, Detection and Recognition
[IEEE] 2026-2-18 | Development of Coaxial Differential Dual-Beam Interferometer
[IEEE] 2026-2-18 | AI-Based Fraud Detection System for Online Transactions with Real-Time Alerts
[IEEE] 2026-2-18 | AI-Driven System for Assessing Age-Related Changes in Physical Status of Kyrgyz Women
[IEEE] 2026-2-18 | Focusing System with Multiple Dielectric Lenses for mmWave OAM Waves Generated by Loop Antenna Array
[IEEE] 2026-2-18 | LSST: Lightweight Spectral–Spatial Transformer Network for Efficient Hyperspectral Image Analysis
[IEEE] 2026-2-18 | A 127-GHz High-Efficiency Push-Push Oscillator Using Harmonic-Decoupling Bypass-Stub in 100-nm InP HEMT Technology
[IEEE] 2026-2-18 | Experimental Design of Wind Speed Analytics Prediction Methodology Using Modified Deep Learning Principle
[IEEE] 2026-2-18 | AI-Driven Garbage Truck Monitoring &amp; Smart Waste Management System
[IEEE] 2026-2-18 | Impedance Estimation of Internal Nodes of RF Devices based on Measurement Cable De-Embedding Enabled by Transmission Line Model Fitting
[IEEE] 2026-2-18 | Machine Learning Driven Energy Optimization for Ultra-Reliable Low-Latency IoT Communications in 5G Networks
[IEEE] 2026-2-18 | Real-Time Vision Inspection with AI-Based Edge Processor for Printed Circuit Board Assembly Quality Control
[IEEE] 2026-2-18 | Intelligent Flood Sensing (IFS): Real-Time Flood Monitoring and Alert System for Farmers
[IEEE] 2026-2-18 | Reduction of Sidelobe Level in Reflectarray Antennas Using LCMV Algorithm
[IEEE] 2026-2-18 | Boundary-Aware Concept Drift Detection for Automated Industrial Systems with Limited Supervision
[IEEE] 2026-2-18 | A Comparative Study on Event Extraction from Open-Source Military News
[IEEE] 2026-2-18 | Predicting ADHD Diagnosis Using Anxiety and ASRS Features
[IEEE] 2026-2-18 | Accurate House Price Prediction using Ensemble Machine Learning Model
[IEEE] 2026-2-18 | Low Earth Orbit Satellite Range Scheduling Using Advantage Actor Critic and Large Neighborhood Search
[IEEE] 2026-2-18 | GNN-Assisted LLMs for Configurable Service Function Chaining Orchestration in IoT Services
[IEEE] 2026-2-18 | Skin Cancer Classification using Deep Learning and Explainable AI Techniques
[IEEE] 2026-2-18 | Cooperative Control of Multiple Motor Movers Based on Model Predictive Control
[IEEE] 2026-2-18 | Comparison of Deep Learning and Statistical Methods for EV Charging Demand Forecasting
[IEEE] 2026-2-18 | Compact Ultra-Wideband Antenna for SFCW GPR-Based Concrete Scanning
[IEEE] 2026-2-18 | Identifying Technology Evolution Pathways Using Patent Citation and Multidimensional Scaling
[IEEE] 2026-2-18 | Wideband Endfire Magnetoelectric Dipole Antenna Array Based on Micro-Metal Additive Manufacturing
[IEEE] 2026-2-18 | Advanced 3D Path Planning for Robotic Calligraphy Based on LLM-Driven Text Prompts
[IEEE] 2026-2-18 | Unsupervised Brain Abnormality Detection and Segmentation Method Based on Improved Diffusion Model Block
[IEEE] 2026-2-18 | A Novel Missing Data Imputation for Early Chronic Kidney Disease Diagnosis Using ANFIS System and Machine Learning Models
[IEEE] 2026-2-18 | Focus, Attend, Extract: LLM-Guided Prompt Refinement for Event Argument Extraction
[IEEE] 2026-2-18 | Towards Sustainable Smart Cities: IoT and Big Data-Driven Anomaly Detection in Building Management
[IEEE] 2026-2-18 | Multi-View and Multi-Kernel Crack Segmentation Network Based on Visual State Space
[IEEE] 2026-2-18 | BLSQ: AI-Enhanced Performance Framework for Wireless Multihop Networks
[IEEE] 2026-2-18 | Real-Time Instance Segmentation for Object Scale Diversity
[IEEE] 2026-2-18 | Prediction of Insulating Oil Breakdown Voltage Based on Ultrasonic Characteristics and Generalised Regression Neural Networks
[IEEE] 2026-2-18 | Energy-Efficient Multiply-Accumulate Architecture Using Compressor Logic for FPGA-Based Systems
[IEEE] 2026-2-18 | Enhancing Reinforcement Learning Agent with Multimodal Large Model Perception
[IEEE] 2026-2-18 | Surface EMG – Based Quantitative Assessment of Muscle Coordination and Complexity in Post-Anterior Cruciate Ligament Injury Individuals
[IEEE] 2026-2-18 | Evaluation of Ku-Band Geostationary Satellite Link Latency Under Tropical Rainfall
[IEEE] 2026-2-18 | Semantic Log Aggregation for a Machine Readable Knowledge Base of Incident Response Activities
[IEEE] 2026-2-18 | CDFFCIL: Comprehensive Framework for Data-Free Federated Class-Incremental Learning
[IEEE] 2026-2-18 | Self Supervised Learning for Structural Integrity Assessment of UAVs in Extended Missions
[IEEE] 2026-2-18 | Acoustic Differences Between Coronal Nasal /n/ and Lateral /l/ in Standard Chinese
[IEEE] 2026-2-18 | Silkworm Grasserie Disease Detection Using Electronic Nose Technology
[IEEE] 2026-2-18 | Application of mmWave FMCW Radar to Measure Thickness of Materials and 3D Imaging
[IEEE] 2026-2-18 | Blockchain-Driven Evolution of Cloud Service Architectures
[IEEE] 2026-2-18 | Table of Contents
[IEEE] 2026-2-18 | Cooperative Target Detection in Dual-Base Station Enabled ISAC Systems
[IEEE] 2026-2-18 | Real-Time State-Constrained Power Management Based on Pontryagin’s Minimum Principle: Application to Fuel Cell Vehicles
[ACM] 2026-2-18 | Demonstration of MechStyle: Augmenting Generative AI with Mechanical Simulation to Create Stylized and Structurally Viable 3D Models
[ACM] 2026-2-18 | Demonstration for Computational Design and Single-Wire Sensing of 3D Printed Objects with Integrated Capacitive Touchpoints
[IEEE] 2026-2-18 | Blank Page
[IEEE] 2026-2-18 | Accurate and Computationally Efficient Aggregated Modelling of Offshore Wind Farms for Grid Compliance
[IEEE] 2026-2-18 | Improving Energy Efficiency in Post-Disaster Networks: Multi-agent Deep Reinforcement Learning for Enhancing Local Contributions
[IEEE] 2026-2-18 | Evaluating the Accuracy of Fabric Mechanical Digitization Methods_supp1-3665029.pdf
[ACM] 2026-2-18 | ACM TechBrief: Buy versus Build an LLM
[IEEE] 2026-2-18 | A Momentum‑GS‑ Based Large-Scale 3D Reconstruction Algorithm for Bridge Piers Using a Climbing Robotic Platform
[IEEE] 2026-2-18 | Towards Intelligent Agriculture: ML Algorithm Analysis in IoT-Based Smart Irrigation Systems
[IEEE] 2026-2-18 | A Comprehensive Node Threat Assessment Algorithm for Combat System Network
[IEEE] 2026-2-18 | Optimizing Restaurant Billing through Intelligent Systems for Enhanced Customer Satisfaction using Machine Learning
[IEEE] 2026-2-18 | RainGAN-Kathmandu: A Generative Adversarial Framework for Synthetic Rainfall Augmentation in Urban Road Scene Datasets
[IEEE] 2026-2-18 | An Ensemble Clustering Approach to Recognize Flight State in Pilot Training
[IEEE] 2026-2-18 | Zero Trust Architecture for Secure Smart City Infrastructure Using AI-Powered Authentication
[IEEE] 2026-2-18 | AI for Sustainable Learning Student-Centered Approaches to Eco-Digital Education
[IEEE] 2026-2-18 | Learning Disentangled Representation for Multi-Modal Fusion in Resume-Job Matching
[IEEE] 2026-2-18 | A Corpus-Based Investigation of Acoustic Features Influencing Intelligibility of Super-Elderly Japanese Speech
[IEEE] 2026-2-18 | Design of a Wideband SIW Bandpass Filter Using Resonator Spacing for Improved Coupling
[IEEE] 2026-2-18 | AI-Powered Sentiment Analysis for Early Detection of Mental Health Disorders in Social Media Communications
[IEEE] 2026-2-18 | AI-Enhanced Learning for Engineering Community of Practice
[IEEE] 2026-2-18 | Enhancing Power Quality in Distribution Systems: Marine Gravitational Search Optimization for UPQC Sizing and Placement
[IEEE] 2026-2-18 | HumidiTech: An Autonomous IoT-Enabled Dehumidification Robot for Smart Indoor Climate Control
[IEEE] 2026-2-18 | J-Double DQN: Jolt Discount meets Double Estimation for Stable and Fast Deep Reinforcement Learning
[IEEE] 2026-2-18 | Nonzero-Sum Game-Based Approximate Optimal Control of Reconfigurable Manipulator System Identified by RNN
[IEEE] 2026-2-18 | Physics-Informed BiLSTM for Predicting Battery Remaining Useful Life: A Hybrid Deep Learning Framework
[IEEE] 2026-2-18 | Four-Port Probe Stations and SOLR Calibration Standard Design up to 125 GHz on 28 nm CMOS
[IEEE] 2026-2-18 | Structure-Aware GNN-Transformer for Content Prediction and Caching in Vehicular Networks
[IEEE] 2026-2-18 | High-gain conical beam coverage realized by using switchable tilted patch array elements for satellite broadcasting reception
[IEEE] 2026-2-18 | Enhanced Parkinson’s Disease Diagnosis via Ensemble Learning on the NewHandPD Dataset
[IEEE] 2026-2-18 | Machine Learning-Driven Predictive Diagnostics Framework for Fault Detection in Industrial IoT Systems
[IEEE] 2026-2-18 | Affordable Non-Contact Respiration Monitoring Using Wi-Fi CSI and Doppler Radar: A Performance-Cost Trade-Off for Resource-Limited Settings
[IEEE] 2026-2-18 | Solar Global Tilted Irradiance Prediction for PV-Optimized Microgrids: A Machine Learning Perspective
[IEEE] 2026-2-18 | A Q-Band -4 dBm Output Power Passive Frequency Tripler Using Stacked APDNP
[IEEE] 2026-2-18 | KKL Observer-Based Control for Piezoelectric Actuators with Bouc-Wen Hysteresis Compensation
[IEEE] 2026-2-18 | EEG based Motor Imagery of Hands Classification using Modified Sub-Band Common Spatial Pattern
[IEEE] 2026-2-18 | Edible Oil Purity Check with a Sensor Based on Microwave Metasurface
[IEEE] 2026-2-18 | Data-driven profits prediction and its application mechanism for intelligent satellites task planning
[IEEE] 2026-2-18 | A Single-stage Interpretable Vision Transformer Model Via Granular-ball Computing
[IEEE] 2026-2-18 | FilterNet: A Filtered Gait Motion Fusion Network for Classifying Adult Spinal Deformity
[IEEE] 2026-2-18 | Design of an Intelligent LED Plant Lighting System Based on Greedy Algorithm
