[2026-08-13 22:40:55] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-08-12
正在获取论文...
[arXiv] 2026-08-12 | Direct Acceleration of Stochastic Root-Finding Without Variance Reduction and Regularization
[arXiv] 2026-08-12 | Effective Dynamics of Disclination Pairs
[arXiv] 2026-08-12 | Going in Circles: Collaborative Multi-Robot Treasure Hunting
[arXiv] 2026-08-12 | RA-ClipScore: Making Generative Model Evaluation More Interpretable
[arXiv] 2026-08-12 | Hybrid STAR-RIS Architecture for Joint Localization, Communication, and Power Transfer
[arXiv] 2026-08-12 | Conifold Gap Theorem for Topological Recursion
[arXiv] 2026-08-12 | An Efficient Near-Optimal Algorithm for Adversarial $m$-Set Bandits
[arXiv] 2026-08-12 | Faster Exponential Algorithms for Multi-Machine Scheduling Problems
[arXiv] 2026-08-12 | Contact variation of almost contact pseudo-metric structures
[arXiv] 2026-08-12 | Induction and the rule of succession through a possibilistic inferential model lens
[arXiv] 2026-08-12 | Lightweight Single-Antenna Direction-of-Arrival Estimation for Curvilinear Trajectories in Mobile Embedded Systems
[IEEE] 2026-8-12 | Experimental Evaluation of Parallel Rendezvous for Fast Node Association in Wi-SUN FAN
[IEEE] 2026-8-12 | LBBB and RBBB For Stress-Enhanced Prediction of Fusion Beats in ECGs Using CEEDMEN-S-G-LSTM
[IEEE] 2026-8-12 | Comparative Analysis of Large Language Model Chatbots in Assessing Student Writing Using the SOLO Taxonomy
[IEEE] 2026-8-12 | Quantifying Metaverse Participant-Pedestrian Discrepancies and Proposing Realistic Player Control
[IEEE] 2026-8-12 | Design and Additive Manufacturing of a Flat GRIN Lens for X-Band
[IEEE] 2026-8-12 | Sustaining Digital Lending Adoption: Empirical Evidence from Indonesian State-Owned Bank
[IEEE] 2026-8-12 | A Comparative Study of Cyanide and Sulfite—Thiosulfate Gold Electrolytes for Au/n-GaAs Schottky Diode Fabrication
[IEEE] 2026-8-12 | IoT Network Cyberattack Detection Performance Using Ensemble Machine Learning Based Intrusion Detection System
[IEEE] 2026-8-12 | Security Acceptance Criteria for FPGA Device Adoption in Nuclear Safety-Critical Systems
[IEEE] 2026-8-12 | Home Energy Management Systems: Architectures, AI-Enabled Services and Open Challenges
[IEEE] 2026-8-12 | Strengthening Crisis Management Through Human-AI Collaboration in Incident Response
[IEEE] 2026-8-12 | Sinhala-English Multilingual AI Call Center Bot with Sentiment-Aware Dialogue and Multimodal CSAT Prediction
[IEEE] 2026-8-12 | Comparative Analysis of Context-Extension and Question-Matching RAG Architectures: A Case Study on German Regulatory Documentation
[IEEE] 2026-8-12 | Implicit Framing in Obstetric Counseling Notes: A Grounded LLM Pipeline on a VBAC-Eligible Cohort
[IEEE] 2026-8-12 | Definite Integral Area Problems in Mathematics as A(GA)A-Type Graphical Problems with AI
[IEEE] 2026-8-12 | Prompt-Guided Community Search Under Extreme Few-Shot Supervision
[IEEE] 2026-8-12 | Ontology-Based Integration and Structural Design of Heterogeneous Data Warehouses for Power Equipment Diagnostics
[IEEE] 2026-8-12 | Knapsack Optimization-Based Schema Linking for LLM-Based Text-to-SQL Generation
[IEEE] 2026-8-12 | Enhanced Academic Certificate Management System Using Steganography and Dual Blockchain
[IEEE] 2026-8-12 | Design Research on Generating a Sense of Life and Emotion in Robots Through Application of Bunraku Puppet Structures
[IEEE] 2026-8-12 | Approximate Butterfly Counting in Sublinear Time
[IEEE] 2026-8-12 | GalaxyRAG: Graph Retrieval-Augmented Generation for Enterprise Knowledge Systems
[IEEE] 2026-8-12 | F5: A Robust SIMD-Accelerated MSD Radix Sort
[IEEE] 2026-8-12 | More Than Pivot for Maximal Clique Enumeration
[IEEE] 2026-8-12 | The Impact of the Intention to Use E-Payment on E-Wallet Applications in Vietnam: A Case Study of Vinh Long Province
[IEEE] 2026-8-12 | YAGIT: An Eco-Dystopian Motion Comic as Supplementary Material for Earth and Life Science Course
[IEEE] 2026-8-12 | Performance Benchmarking of YOLOV26 and YOLOv8 (n/s) Across Raspberry Pi Generations
[IEEE] 2026-8-12 | RaSE-KGC: A Relation-Aware Segment Encoding Approach for Knowledge Graph Completion
[IEEE] 2026-8-12 | TORepair: Diffusion-Based Task-Oriented Error Repair Via Differentiable Bi-Level Optimization
[IEEE] 2026-8-12 | High-Bandwidth Interconnects Fabricated by Electrohydrodynamic Printing on Glass
[IEEE] 2026-8-12 | Implementation of a Gamified Web-Based One-to- One Mathematics E-Learning Platform for High School Students
[IEEE] 2026-8-12 | Hybrid PMI Selection for Codebook-Based MIMO in 5G NR Under CSI Feedback Delay and High Mobility
[IEEE] 2026-8-12 | Design of Highly Selective Hairpin Filter on Al
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    Substrate for Ku-band Applications
[IEEE] 2026-8-12 | Video Brightness-Aware Encoding to Optimize Energy Consumption in HTTP Adaptive Streaming
[IEEE] 2026-8-12 | Research Methodology for Analyzing Fluid Flow Parameters in Electric Boiler Heat Exchangers within Heating Systems
[IEEE] 2026-8-12 | Power efficient Flash ADC using optimized dynamic comparator
[IEEE] 2026-8-12 | A Trustworthy Adaptive $h$-Refinement Method for High-Resolution Scattering Centers Imaging
[IEEE] 2026-8-12 | Solving Electromagnetic Scattering Problem of Multi Targets by MoM and Vector Spherical Wave Transition Matrix
[IEEE] 2026-8-12 | Review of the Challenges with High Solar Photovoltaic Penetration in Power System
[IEEE] 2026-8-12 | A Hybrid Human–AI Assessment Pipeline for Proof-Based Mathematics Courses: A Cross-Domain Design in Real Analysis, Abstract Algebra, and Number Theory
[IEEE] 2026-8-12 | A Passive Vector Modulator for 28-Ghz Applications
[IEEE] 2026-8-12 | Low-Noise Microwave Amplifier Design Using Ideal Matching Two-Ports
[IEEE] 2026-8-12 | Developing an Immersive Application of Therapeutic Art for Emotional Regulation
[IEEE] 2026-8-12 | An AI-Enhanced Extended Reality Framework for Probabilistic Thermal Comfort Assessment in Sustainable Building Design
[IEEE] 2026-8-12 | Semantic Node Similarity in Graphs Using Transformer-Based Embeddings
[IEEE] 2026-8-12 | Development and Analysis of a Parser for Program Models in the SimInTech PL Language
[IEEE] 2026-8-12 | Unified Heterogeneous Event Sequence Modeling for Remission-Stage Risk Prediction among Cancer Survivors with Multiple Chronic Conditions
[IEEE] 2026-8-12 | Simulation-Based Evaluation of Thermal Image Degradation Techniques for Power Substation Diagnostics
[IEEE] 2026-8-12 | Soft Wireless Wearable Bioelectronics for Continuous Monitoring of Brain Water Dynamics Across Sleep Stages
[IEEE] 2026-8-12 | Flexible multimodal sensor-integrated upper-limb prostheses simulator to monitor functional engagement
[IEEE] 2026-8-12 | Immersive Environments in Medical Education: A Virtual Reality Approach to Angioplasty Training
[IEEE] 2026-8-12 | Configuration and Testing of a Feeder Protection-Based Power Redirection Technique with IEC 61850 Standard GOOSE Control Model Using Hardware-in-the-Loop for an Electrical Distribution System
[IEEE] 2026-8-12 | MOR-GPCCA for Clinically Anchored Longitudinal MRI Biomarkers and SuStaIn Subtype–Stage Modeling in Alzheimer’s Disease
[IEEE] 2026-8-12 | Implementation of a Powered Visual Perception System for Real-Time Obstacle Classification and Spatial Navigation for People with Visual Impairments
[IEEE] 2026-8-12 | Techno-Economic Assessment of Green Hydrogen Production via Grid-Connected Electrolysis in Uruguay
[IEEE] 2026-8-12 | Research on Characteristic Mode Analysis Method Based on Partially Overlapping Basis Functions
[IEEE] 2026-8-12 | Beyond Accuracy: A Cost Aware Evaluation of Mobile Typing-Based Authentication
[IEEE] 2026-8-12 | Assessing Audit-Readiness in IDS and SIEM Alert Triage via Semantic Evidence Hooks
[IEEE] 2026-8-12 | Temperature-Tunable Microwave Absorption in Bamboo-Derived Porous Carbon: A Physics-Based Parametric Framework
[IEEE] 2026-8-12 | Effect of the SiO
                    <sub>2</sub>
                    Layer on the Diffusion of Al Atoms from the Sapphire Substrate into the Ga
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    Thin Film Used as a Lambda-Probe
[ACM] 2026-8-13 | SmartFuse-LLM: Fusing Computation into Collectives for Efficient Tensor-Parallel LLM Systems
[IEEE] 2026-8-12 | YOPOv2-Tracker: An End-to-End Agile Tracking and Navigation Framework_supp1-3721689.mp4
[IEEE] 2026-8-12 | Enhancing Remote Sensing Semantic Change Detection via Transferring and Adapting Binary Change Detection Strategies_supp1-3722510.pdf
[ACM] 2026-8-13 | An Effective Ensemble Algorithm with Improved DLinear Model for Power Generation Prediction
[IEEE] 2026-8-13 | Forecasting Distribution Transformer Parameters Using Machine Learning Algorithm and Advanced Metering Infrastructure (AMI) Data
[IEEE] 2026-8-13 | Analytical Investigation of the Humidity Effects on Repetitive Partial Discharge Inception Voltage in Inverter-Fed Motor Windings
[IEEE] 2026-8-13 | REC-RL: Referring Expression Counting via Gaussian and Range-Based Reward Optimization
[IEEE] 2026-8-13 | HQFL-Net: A Hybrid Quantum-Classical Federated Learning Framework for Explainable Cardiovascular Disease Prediction on Edge Devices
[IEEE] 2026-8-13 | GPT-2 Pre-trained Model and Prompt Learning Based Zero-shot Opinion Classification for Modern Chinese Newspapers
[IEEE] 2026-8-13 | A Time-Domain Approach with Adaptive Parameter Identification
[IEEE] 2026-8-13 | Analysis and Evaluation of Endodontic Instrument Wear
[IEEE] 2026-8-13 | Pixel to Geocoordinate Mapping in Oblique and Nadir UAV Imagery
[IEEE] 2026-8-13 | An Adaptive Distance-Velocity Weighted Force Field for Real Time Obstacle Avoidance in Unmanned Ground Vehicles
[IEEE] 2026-8-13 | Optimization of Queue Management to Improve Patient Wait Times at the HRDCQ DAC-Huancayo Outpatient Clinic
[IEEE] 2026-8-13 | Design and Experimental Validation of an Integrated Electronic Control System for Nuclear Magnetic Resonance Gyroscope
[IEEE] 2026-8-13 | LMI-Driven $\mathcal{L}_{2}$-Robust Design for State-Space Takagi-Sugeno Fuzzy Systems
[IEEE] 2026-8-13 | Topology-Prompted Spatio-Temporal Transunet: A Geometry-Aware Framework for Consistent Dental Plaque Assessment
[IEEE] 2026-8-13 | Design, Analysis, and Simulation of a Modular Frame-Based Gravity Energy Storage Test Platform
[IEEE] 2026-8-13 | Multi-Task Transformer-Based Surrogate Modeling for Torque Performance Prediction in IPM Machines
[IEEE] 2026-8-13 | HMS-BERT: Hybrid Multi-Task Self-Training for Multilingual and Multi-Label Cyberbullying Detection
[IEEE] 2026-8-13 | How to Train Your Generative Diffusion Model, When all Training Images are Degraded, to Model a Distribution on High-Quality Images
[IEEE] 2026-8-13 | Index
[IEEE] 2026-8-13 | Stiffness Analysis of a Cable-Driven Compliant Leg with Rolling Contact Joints
[IEEE] 2026-8-13 | Predictive Handover Control with Mobility and Future Signal Quality Awareness for 5G Vehicular Networks
[IEEE] 2026-8-13 | Evaluation of Transformer and Gradient Boosting Models for Indonesian Mental Health Text Classification
[IEEE] 2026-8-12 | Distribution Operating Security Space-based Power Decoupling Mechanism of Multiple Virtual Power Plants
[IEEE] 2026-8-13 | Development of a Visual-Based Medication Packaging Recognition System Supported by Generative AI for the Visually Impaired
[IEEE] 2026-8-13 | SCIPS: Single-Shot Photometric Stereo from a Snapshot Compressed Multispectral Image
[IEEE] 2026-8-13 | Dual-Level Scheduling Optimization of Micro-Grid with Electric Vehicles
[IEEE] 2026-8-13 | On the Feasibility of Passive Bistatic ISAC Based on Unmodified Lora
[IEEE] 2026-8-13 | Least Significant Bit Steganography Detection and Analysis Using Large Language Models for Digital Forensics
[IEEE] 2026-8-13 | Test-Time Image Adaptation for Semantic Segmentation from Noisy Images Via Logit Refinement and Region-Constrained Activation Maximization
[IEEE] 2026-8-13 | TSD-NMT: A Three-Stage Decoding Neural Model for Machine Translation
[IEEE] 2026-8-13 | Implicit Subblock Transform for Versatile Video Coding
[IEEE] 2026-8-13 | Improving Similarity-Based Knowledge Transfer Using Prototype Representations
[IEEE] 2026-8-13 | Table of Contents
[IEEE] 2026-8-13 | Depth from Defocus via Direct Optimization
[IEEE] 2026-8-13 | Design of a Composite Phase-Locked Loop System Based on Cascaded Adaptive Notching and Dynamic Decoupling
[IEEE] 2026-8-13 | MoE-Driven Modality-Invariant Feature Learning for Visible-Infrared Person Re-Identification
[IEEE] 2026-8-13 | Social Group Activity Recognition from Still Images Using Conditional Token Sequence Generation
[IEEE] 2026-8-13 | Sensorless Control of Permanent Magnet Synchronous Motor Based on Adaptive-Bandwidth Linear Active Disturbance Rejection Controller
[IEEE] 2026-8-13 | Coated Measuring Artefact for Measurement Noise Metrological Characteristic Determination
[IEEE] 2026-8-13 | Uncertainty-Aware DualU-Net: Integrating Calibration and Uncertainty Fusion from Dual Decoders for Cell Analysis
[IEEE] 2026-8-13 | GeoScaffold: Implicit Geometric Scaffolding and Directional Distillation for Missing-Modality Multi-Modal MRI Segmentation
[IEEE] 2026-8-13 | Time-Reversal-Based Iterative Identification of Chipless Tags Using a Multi-Antenna Reader
[IEEE] 2026-8-13 | Technical Program Committee
[IEEE] 2026-8-13 | A KG-LLM Pipeline for Automated Regulatory Alignment in CPS-IoT Systems
[IEEE] 2026-8-13 | Performance Evaluation of API Gateways in Microservices System: No Gateway, Kong, and Native
[IEEE] 2026-8-13 | AI Agent-Driven Personalized Health Management Using Wearable Devices
[IEEE] 2026-8-13 | Non-Contact Partial Discharge Localization in Aged Epoxy-Molded Busbars Using Multi-Loop Magnetic Sensors
[IEEE] 2026-8-13 | Enhancing Transformer Protection Coordination Using IEC 61850 GOOSE-Based Non-Cascade Scheme Under Breaker Failure Conditions
[IEEE] 2026-8-13 | Learning Dual-Attribute Prompts with Progressive Tuning for AI-Generated Image Quality Assessment
[IEEE] 2026-8-13 | Deep Reinforcement Learning for Dynamic Resource Allocation in Contested Electro-Optic Warfare
[IEEE] 2026-8-13 | Hierarchical Integrated Sliding Mode Control for Civil Aircraft Wiper Synchronization Under Compound Disturbances
[IEEE] 2026-8-13 | FORGE-3R: Inference-Time State Management for Long-Sequence 3D Reconstruction
[IEEE] 2026-8-13 | An Overview of Screen-Content Coding Tools in AV2
[IEEE] 2026-8-13 | A Network-Aware Multi-Agent System for Intelligent ADR Detection Using Pagerank-Based Agent Ranking
[IEEE] 2026-8-13 | A Robust Multi-Metric Approach for Social Assistance Targeting Using Machine Learning Techniques
[IEEE] 2026-8-12 | Use of Electrical Capacitance Tomography in Robot Embedded Sensing
[IEEE] 2026-8-12 | Foldable Pouch Motor for Wearable Upper Limb Assistance and Rehabilitation
[IEEE] 2026-8-12 | Characterization of Compound Conditional Diagnosability for Interconnection Networks
[IEEE] 2026-8-12 | An LLM Based Framework for Automated MILP Modeling in Dynamic Multi-Robot Task Scheduling
[IEEE] 2026-8-13 | Multi-State Recognition Method for Coal Mine Ventilation Systems via Abductive Learning
[IEEE] 2026-8-13 | Leveraging Enhanced Cardiopulmonary Coupling in a Multi-Stream Deep Learning Framework to Improve Obstructive Sleep Apnea Detection
[IEEE] 2026-8-12 | Treat LLM-Generated Terraform as Untrusted: An Exploratory Security Study and a Practitioner’s Verification Workflow
[IEEE] 2026-8-13 | Accelerating Deep Learning for Medical Image Analysis: A GPU Approach Integrating Mixed Precision, Data Pipelining and XLA Compilation
[IEEE] 2026-8-12 | Uncrewed Aerial Vehicle Remote Sensing for Meteorology: A review of current status, applications, and opportunities
[IEEE] 2026-8-13 | Heterogeneous Graph Attention Network Assisted Bi-Population Co-Evolution for Networked Cloud Manufacturing Scheduling
[IEEE] 2026-8-13 | Large-Scale Crowd Counting by Hierarchical Context Guided Aggregation Network
[IEEE] 2026-8-13 | An Asynchronous Gradient Fusion Framework for Distributed Deep Learning in Tuberculosis Chest X-ray Diagnosis
[IEEE] 2026-8-12 | A Compact Low-Power D-Band Receiver With Integrated LO Generation and Phase Shifting for Beamforming Applications
[IEEE] 2026-8-12 | Understanding and Addressing Reliability Challenges in MoS₂-Based Circuits Under Static and Transient Stress Conditions
[IEEE] 2026-8-13 | Joint Pulse-Amplitude and Transmission-Instant Optimization in Non-Uniform PRF Radar for Moving Target Detection
[IEEE] 2026-8-12 | Anatomical Prior-Guided Black-Box Attack Optimization for Prostate Tumor mpMRI Classification Models
[IEEE] 2026-8-13 | MobileBiHap: Real-time Bi-manual Interaction and Haptic Feedback Using Smartphones and Unity3D
[IEEE] 2026-8-12 | Sustainable Collaborative Computing Empowered by the Synergy of Mobile Vehicles and UAV
[IEEE] 2026-8-13 | Drift-Robust Differential Processing for Improved Measurement Fidelity and Stability in Distributed Acoustic Sensing_supp1-3720467.docx
[ACM] 2026-8-13 | Quantum Optimized Crossover for the Travelling Salesman and Minimization of Makespan with Setup Times
[ACM] 2026-8-13 | Constraint-Handling Techniques used with Evolutionary Algorithms
[ACM] 2026-8-13 | Beyond a Single Plan: Genetic Algorithms for Flexible Maritime Search and Rescue
[ACM] 2026-8-13 | Self-Evolving Graph Neural Network Design Inspired by Neural Cellular Automata
[ACM] 2026-8-13 | Associative Constructive Evolution: Enhancing Metaheuristics through Hebbian-Learned Generative Guidance
[ACM] 2026-8-13 | Optimizing Appliance Scheduling for Solar Energy Management Using Metaheuristic Algorithms
[ACM] 2026-8-13 | Evolutionary Algorithm For Reservoir Learning And Yielding
[ACM] 2026-8-13 | Web Meta-ERM: An Application to Compare Optimization Algorithms in Smart Grid Environments
[IEEE] 2026-8-12 | TopFGL: A Topology-Aware and Distributionagnostic Federated Learning Framework Tackling Topological Heterogeneity on Graph Data
[IEEE] 2026-8-12 | Security-Aware Geometrically Robust 3D Watermarking: Threat Models, Games, and Evaluation Protocols
[IEEE] 2026-8-12 | Study on Uncertainty of Electromagnetic Scattering from Dusty Plasma Based on S-FDTD Method
[IEEE] 2026-8-12 | A Set-Theoretic Approach to Detecting Logic Bugs in DBMS Inner Join Optimizations
[IEEE] 2026-8-12 | [Experiment, Analysis, and Benchmark] Systematic Evaluation of Plan-Based Adaptive Query Processing
[IEEE] 2026-8-12 | Reconfiguring Scalable Hashing with Persistent CPU Caches
[IEEE] 2026-8-12 | CADMAS: Development of a Centralized Academic Data Management and Analytics System for Data- Driven Education
[IEEE] 2026-8-12 | Non-toxic Screen Printed Supercapacitors
[IEEE] 2026-8-12 | OEPO: Online Experience-based Preference Optimization for CTR Prediction
[IEEE] 2026-8-12 | Real-Time Solar Power Forecasting for Off-Grid PV Systems Using CNN
[IEEE] 2026-8-12 | Parameter Identification of Lithium-Ion Battery Thevenin Model via PSO, HHO, and GA Optimization
[IEEE] 2026-8-12 | DBdoctor: A Fine-Grained and Non-Intrusive Performance Diagnosis Platform for Databases
[IEEE] 2026-8-12 | Text2sql-Flow: a Robust Sql-Aware Data Augmentation Framework for Text-To-Sql
[IEEE] 2026-8-12 | Pre-Service Teachers' Integration of Gender and Development Concepts in the Hybrid Classroom
[IEEE] 2026-8-12 | Explainable Kidney Stone Detection and Localization in CT with U-Net, EfficientNet, and Multi-Method XAI
[IEEE] 2026-8-12 | Real-Time Wind Speed Interpolation for Optimized Irrigation and Crop Yield Prediction in Smart Farming
[IEEE] 2026-8-12 | IOT Based smart parking system solution for detection of random Located spaces in parking area
[IEEE] 2026-8-12 | The Surface Current Reconstruction Method Based on EFIO and Multibranch RWG Basis Function
[IEEE] 2026-8-12 | Effectiveness of 5E's E-Workbook in the Conceptual Comprehension Skills in Thermodynamics for Marine Biology Freshmen Students
[IEEE] 2026-8-12 | An Intelligent Multi-Factor Student Attendance Management System
[IEEE] 2026-8-12 | Polymer Ferroelectric-Based Active Element for Needle Hydrophones
[IEEE] 2026-8-12 | High-Stakes AI Chatbot Systems in Mental Health Care: A Systematic Literature Review from a Critical Safety Perspective
[IEEE] 2026-8-12 | Ontology-Driven Identification of SNOMED CT Relations for Clinical Terms
[IEEE] 2026-8-12 | Investigation of the Electrochemical Deposition of a Copper-Germanium Alloy from a Cyanide Electrolyte
[IEEE] 2026-8-12 | Incremental GNN Embedding Computation on Streaming Graphs
[IEEE] 2026-8-12 | Early Anomaly Detection in Second-Life Battery Modules via Contextual–Temporal Local Outlier Factor (CT–LOF)
[IEEE] 2026-8-12 | Charge-storage evolution of TiO
                    <sub>2</sub>
                    ALD-coated AC flexible supercapacitors over long-term cycling
[IEEE] 2026-8-12 | Reliability, MTTF and Sensitivity Analysis of a Non-Repairable Series-Parallel System via Continuous-Time Markov Modeling
[IEEE] 2026-8-12 | Human-AI Collaborative Modeling for Healthcare Prediction Tasks in AgentDS
[IEEE] 2026-8-12 | Agent-Based Clinical AI System for Personalized Survival Risk Prediction
[IEEE] 2026-8-12 | Integration of UAV-Enabled Surveillance and GEOINT Fusion for Military Decision Support
[IEEE] 2026-8-12 | Energy Consumption Modeling of Heterogeneous Multicore Processor Systems under Diverse Workload Scenarios
[IEEE] 2026-8-12 | Performance Evaluation of Machine Learning Approaches for Automated Osteoporosis Detection
[IEEE] 2026-8-12 | Software Automation and Integration for a Synchrotron Radiation Beamline: From the “Technological Station” at VEPP-4M to Station 1-7 at SKIF
[IEEE] 2026-8-12 | On the Development of Collaborative Turtlebots
[IEEE] 2026-8-12 | Voices from Reddit: Users’ Experiences and Opinions with Generative AI for Health Problems
[IEEE] 2026-8-12 | Coarse-to-Fine Reconstruction for Tunnel Propagation via Axial Recurrent Upsampling
[IEEE] 2026-8-12 | Implicit-Explicit Wave Equation-Based Hybrid Element-Level and Subdomain-Level DGTD Method
[IEEE] 2026-8-12 | A Framework for Stakeholder Complaint Analysis in Higher Education Using Data Analytics and Natural Language Processing: Design and Ethical Considerations
[IEEE] 2026-8-12 | A Dovetail-Based Reinforcement Learning Architecture for Energy-Efficient and Fault-Tolerant Kubernetes Clusters
[IEEE] 2026-8-12 | Representative Functional Dependencies
[IEEE] 2026-8-12 | PURmgmt: A Culturally Tailored Digital Intervention for High-Purine Diet Management in China
[IEEE] 2026-8-12 | Formation of Hexagonal Pedestals in Si-doped GaN Layers Grown on AlN/Si(111) Templates
[IEEE] 2026-8-12 | Experimental Characterization of Minimal-Setup UWB Ranging for Tracking-Oriented Applications
[IEEE] 2026-8-12 | Utility-Maximizing Control of Battery Thermal Management Systems in Electric Vehicles Based on Actuarial Expected Loss: Gradient-Ascent Optimization with a Degradation-Hazard Sigmoid Risk Model
[IEEE] 2026-8-12 | Mechanically Resilient 3D-Microdome Electrode Array Based on Liquid Metal for Stable Signal Acquisition under Dynamic Deformation
[IEEE] 2026-8-12 | Patient Portal Enrollment Before and During the COVID-19 Pandemic
[IEEE] 2026-8-12 | E-Presence and Pilgrimage: the Influence of Digital Engagement on Tourist Motivation and Behavioral Intention in Visiting Religious Tourism Destinations
[IEEE] 2026-8-12 | A Stellar Oscillation Optimizer–Based Global MPPT Method for PV Systems Under Partial Shading
[IEEE] 2026-8-12 | Greenhouse Environment and Plant Monitoring
[IEEE] 2026-8-12 | Comparative Analysis of Transforming SAR GrayScale Images into Colorized Visuals Using Deep Learning Techniques
[IEEE] 2026-8-12 | Public Perception and Sentiment toward Rupiah Redenomination on Social Media Using IndoBERT
[IEEE] 2026-8-12 | Emotion Recognition Using CNN with Context Aware Music Recommendation
[IEEE] 2026-8-12 | DJGen: Data &amp; Conjunctive Join Plan Generator
[IEEE] 2026-8-12 | An Amortized O(1) Lower Bound for Dynamic Time Warping in Motif Discovery (Extended Abstract)
[IEEE] 2026-8-12 | Mobile Robot Path Planning Based on the Hesitant Neutrosophic Set
[IEEE] 2026-8-12 | ADS-B Signals as a Tool for Characterization of Tropospheric Propagation Effects in the UHF Band
[IEEE] 2026-8-12 | The Initial Stage of the Method and the Software Package for Synchronous Interaction of Robots When Solving Problems Using UML
[IEEE] 2026-8-12 | A Higher-Order CNTD-SGBC Method for Accurate Simulation of Dispersive Thin Layers
[IEEE] 2026-8-12 | LAMP: A Dual-Mode Framework for Database Workload Memory Prediction
[IEEE] 2026-8-12 | Transient Electromagnetic-Thermal Coupling Analysis for Eddy Current Thermal Effect
[IEEE] 2026-8-12 | When Stress Meets System: A Preliminary PLS SEM Validation of Technostress Integration into IS Success Model in SAP ERP Environments
[IEEE] 2026-8-12 | Augmenting College Students' Experience in Reading Philippine Literature Using Generative AI: A Quantitative Analysis of Attitudes and Intentions
[IEEE] 2026-8-12 | SMQTT: An End-to-End Security Framework for MQTT-Based Industrial IoT Communications
[IEEE] 2026-8-12 | Localized Strain Isolation for Rigid Component Integration in Stretchable Liquid-Metal Circuits
[IEEE] 2026-8-12 | Development of a Geometric and Mathematical Model of The Cardiac Vascular System Based on Fractal Analysis
[IEEE] 2026-8-12 | Evaluating Customer Experience on Digital Banking Loan Platforms: The Case of the Joint Stock Commercial Bank for Investment and Development of Vietnam
[ACM] 2026-8-13 | Fluid Simulation with the Lattice Boltzmann Method
[ACM] 2026-8-13 | Dreaming in 4 dimensions: generating media with Gemini, Genie, and Veo
[ACM] 2026-8-13 | Systematic Function Approximation on FPGAs to Address Accuracy and Throughput Issues in oneAPI and Vitis HLS Math Libraries
[IEEE] 2026-8-12 | 2026 6th International Conference on Electrical, Computer and Energy Technologies (ICECET)
[IEEE] 2026-8-12 | ICSETI 2026 TOC
[IEEE] 2026-8-12 | Continuous Monitoring in Implantable Cardiac Devices: Electro-Quasistatic Human Body Communication– Challenges and Opportunities_supp1-3722470.pdf
[IEEE] 2026-8-12 | A Quaternion Rotation-Enhanced Differential Privacy Framework for Image Privacy Protection_supp1-3707866.pdf
[IEEE] 2026-8-12 | AI-Driven Synthesis of Training Environments for Scalable Reinforcement Learning
[IEEE] 2026-8-13 | Template-dependent textural and magnetic properties of mesoporous silica-coated iron oxide nanoparticles_supp1-3723006.pdf
[IEEE] 2026-8-13 | Real-Time Dual-Array Differential Magnetic Tracking for Active Capsule Robots
[IEEE] 2026-8-12 | Drift-Diffusion Based Numerical Investigation of Two-Photon Absorption in Broad-Area High-Power Diode Lasers
[IEEE] 2026-8-13 | Multireceiver SAS Image Improvement Using Refined Omega-k Algorithm
[IEEE] 2026-8-13 | Interleaved Transceiver Design for a Continuous-Transmission MIMO-OFDM ISAC System_supp1-3722759.pdf
[IEEE] 2026-8-13 | PlanGuard: Planning-Feasible Graph Diffusion with Goal Guidance for Multi-Objective Geospatial Planning
[IEEE] 2026-8-12 | Impact of Electrode Material on Transient Current and Conduction Mechanisms in Oil Impregnated Pressboard Insulation
[IEEE] 2026-8-12 | GNSS precise point positioning enhanced mobile laser scanning railway point cloud registration
[IEEE] 2026-8-13 | IEEE CTSoc Technical Activities and Technical Committees
[IEEE] 2026-8-13 | Good Begets Good: ESG Diffusion in a Supply Chain_supp1-3722908.docx
[IEEE] 2026-8-12 | QuikDel: A Scalable Hierarchical Multi-agent System for Urban Delivery Using Q-Learning
[IEEE] 2026-8-12 | FER20E: An Extended Facial Expression Recognition Dataset with 20 Discrete Emotions
[IEEE] 2026-8-13 | Airborne Hyperspectral Lidar Detection of Clear Air Turbulence Via Fabry–Perot Etalon Four-Edge Frequency Discrimination: Method and Simulation-Based Performance
[IEEE] 2026-8-12 | Modal-based Prediction of Power System Frequency Response and Frequency Nadir
[IEEE] 2026-8-13 | A Singularity-Free Vector-Field-Based Framework for Safe Distributed Motion Coordination of Multi-Robot Systems_supp2-3723179.mp4
[IEEE] 2026-8-13 | Modulating Multimodal Emotional and Social Perception of Huggable Robot Expressions Through Chest Haptics
[IEEE] 2026-8-12 | DiEL: Disentangled Evolutionary Learning for Identity-Preserving Face Enhancement and Recognition
[IEEE] 2026-8-12 | Ultrathin Transmissive Silicon Photodiodes for Beam Position and Monitor Applications
[IEEE] 2026-8-12 | Adaptive Vibration and Consensus Control for Networked Mobile Vehicle-Mounted Manipulator With Actuator Faults and Output Constraints
[IEEE] 2026-8-13 | Tensile Properties of an Aramid Insulating Paper
[IEEE] 2026-8-13 | Objective Quality Assessment of Point Clouds Using Multi-scale Implicit Structural Similarity
[IEEE] 2026-8-13 | PeCE: A Visual Analytics Paradigm for Enhancing Counterfactual Explanations_supp2-3722507.pdf
