[2026-06-09 23:17:23] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-08
正在获取论文...
[arXiv] 2026-06-08 | ContextShift: A Controlled Benchmark for Context Dependence in Object Detection
[ACM] 2026-6-8 | A Sneak Peek into AI-Generated 3D Immersive Memories
[ACM] 2026-6-8 | Investigating Quality of Experience and Performance in AR-Based Skill Training for Gaelic Football
[ACM] 2026-6-8 | From Talking Heads to Moving Bodies: Understanding Video-Mediated Dance Instruction
[IEEE] 2026-6-8 | The Design and Fabrication of a Compact Band-Stop Filter Based on Bulk Acoustic Resonator
[ACM] 2026-6-8 | Bridging Coverage and Confidence: Reliable Static False Alarm Elimination via Input-Agnosticity
[ACM] 2026-6-8 | SAQR-QC: A Logic for Scalable but Approximate Quantitative Reasoning about Quantum Circuits
[ACM] 2026-6-8 | Editorial Message
[IEEE] 2026-6-8 | Table of Contents
[IEEE] 2026-6-8 | ACT-Net: Adaptive Compensation Transformer Network for Real-Time Detection in Remote Sensing Multimodal Imagery
[IEEE] 2026-6-8 | IEEE Foundation
[IEEE] 2026-6-8 | Icarus: High-Altitude Platform Station Navigation with LEO Satellites
[IEEE] 2026-6-8 | Congruent kinesthetic and tactile haptic rendering accelerates the learning of highly dynamic virtual sensorimotor tasks_supp2-3698607.mp4
[IEEE] 2026-6-8 | A 144-
                    <i>μW</i>
                    Phase-Interval Balanced RVCO With 142% Tuning Range and 218.2-dBc/Hz FoM
                    <sub>
                      <i>TA</i>
                    </sub>
[IEEE] 2026-6-8 | FedTransformer-Edge: A Unified Framework for Resource-Adaptive Federated Transformer Learning with Cross-Modal Attention in Heterogeneous IIoT Networks
[IEEE] 2026-6-8 | Pretrained Model Recommendation for Downstream Fine-tuning
[IEEE] 2026-6-8 | A Soft Worm Robot for Sub-Centimeter Scale Pipeline Inspection_supp1-3699247.mp4
[IEEE] 2026-6-8 | An Actively Controlled Quasi-Resonant Excitation Topology for High-Resolution Transient Electromagnetic Sensors
[IEEE] 2026-6-8 | CuDi: Curve Distillation for Efficient and Controllable Exposure Adjustment
[IEEE] 2026-6-8 | Energy-Efficient UAV Delivery Optimization via Clustering and Layered Path Planning
[IEEE] 2026-6-8 | RHLMA: A Role-Hierarchical LLM Multi-Agent Framework for Airborne Software Requirement Review
[IEEE] 2026-6-8 | RZSL-PSR: Noise-Disentangled Retinex Zero-Shot Framework for Lunar PSR Image Enhancement
[IEEE] 2026-6-8 | Real-Time Tea Leaf Disease Detection Using Attention-Driven YOLO Framework for Precision Plantation Management
[IEEE] 2026-6-8 | The Use of Artificial Intelligence in The Visual Exploration Stage of Children’s Book Character Design
[IEEE] 2026-6-8 | A Context-Aware Heuristic for Meal Planning: Aggregation-Driven Filtering and Dynamic Weighted Sampling
[IEEE] 2026-6-8 | Design of a retributive optimal cooperative energy trading and its blockchain-based implementation
[IEEE] 2026-6-8 | Bridging Knowledge and Reasoning: The Role of Large Language Models in AI Evolution
[IEEE] 2026-6-8 | Research on Adaptive Topology Optimization for Power Communication Networks Based on an Improved Genetic Algorithm
[IEEE] 2026-6-8 | Evaluation and improvement of the thermal performance of power modules using the Finite-Element-Method (FEM) and Multi-Material Additive Manufacturing (MMAM)
[IEEE] 2026-6-8 | Monkeypox Diagnosis Using Transfer Learning via Skin Lesion Images
[IEEE] 2026-6-8 | Context-Aware Pervasive Computing Framework for Intelligent Smart Space Environments
[IEEE] 2026-6-8 | Adaptive Optimization of Circular Economy Strategies Under Uncertainty
[IEEE] 2026-6-8 | From Black-Box to Explainable Clinical Support: Benchmarking ConvNeXt and Swin Transformer on the Class-Imbalanced OCTDL Dataset
[IEEE] 2026-6-8 | Improved Yolov8 for Monitoring of Coconut Trees Before and After the Typhoon
[IEEE] 2026-6-8 | Moringa Leaf Quality Grading Prediction using Deep Learning
[IEEE] 2026-6-8 | Finite Element Analysis and Design Optimization of an Electric Vehicle Chassis
[IEEE] 2026-6-8 | Beamforming Enhancement Using Unipolar Directivity of Pressure-Gradient Vector Hydrophone
[IEEE] 2026-6-8 | Random Forest based Predictive Vehicle Breakdown Management System for Intelligent Roadside Assistance
[IEEE] 2026-6-8 | LLM-Assisted Carbon-Aware Coordinated EV Charging for Decarbonization
[IEEE] 2026-6-8 | From Static Surveys to Adaptive Questionnaires: A Systematic Review of Generative AI–Driven Personalization in Education
[IEEE] 2026-6-8 | Extractive Summarization using TextRank with FastText Word Embedding and Cosine Similarity for News Summarization
[IEEE] 2026-6-8 | Explainable Employee Attrition Prediction using PCA-Optimized Random Forest and SHAP
[IEEE] 2026-6-8 | Does Bullying Harm Academic Achievement? Causal Machine Learning Evidence from Moroccan Students
[IEEE] 2026-6-8 | EEG-based Machine and Deep Learning Approaches for Alzheimer’s and Frontotemporal Dementia: A Systematic Review of the OpenNeuro ds004504 Dataset
[IEEE] 2026-6-8 | Preliminary assessment of how land cover changes can affect temperature in urban areas
[IEEE] 2026-6-8 | QUBO: A New Framework for Traffic Control in Metropolitan Cities Using Quantum Optimization Technique
[IEEE] 2026-6-8 | Enhancing EEG Data Quality with Explainable AI-Based Artifact Detection Models
[IEEE] 2026-6-8 | Metaheuristic Optimization for Pavement Deformation Prediction: A Comparative Study of PSO, FA and AFSA
[IEEE] 2026-6-8 | A Predictive Machine Learning Framework for Crane Component Fatigue Under Cyclic Loads
[IEEE] 2026-6-8 | Buckling Detection of Truss Members in Steel Bridges using Photogrammetric Principle with Computer Vision Technique
[IEEE] 2026-6-8 | Optimized Cluster Head Selection with Enhanced Energy Efficiency
[IEEE] 2026-6-8 | A Comprehensive Comparison of Vanilla GAN, WGAN, and DCGAN Variations
[IEEE] 2026-6-8 | How Social Media Algorithms and Financial Influencer Reach Effect on Investment Decisions of Gen Z
[IEEE] 2026-6-8 | Analysis of HEXAD player types and GUESS user experience in FPS game case studies: Valorant, Counter Strike 2, and Rainbow Six Siege
[IEEE] 2026-6-8 | A Multi-Dimensional Framework for Adaptive Scaffolding in Large Language Model
[IEEE] 2026-6-8 | Design of an Intelligent Information System for Spaceborne Remote Sensing Data Processing
[IEEE] 2026-6-8 | Evaluating the Generalization Ability of an Ensemble-Based Fake News Detection Model across Multiple Domains
[IEEE] 2026-6-8 | Multi-Path Parallel Quantum Convolutional Neural Network
[IEEE] 2026-6-8 | Effect of Surface Shape on Electric Contact Resistance for High-Current Copper Conductors
[IEEE] 2026-6-8 | Autonomous Multi-Agent Cyber Defense for Mitigating AI-Generated Threats
[IEEE] 2026-6-8 | Emergence of artificial intelligence in electroencephalogram analysis
[IEEE] 2026-6-8 | A numerical study of thermoelectric coupling in a photovoltaic-thermal system with a new heat exchanger compared to a photovoltaic module
[IEEE] 2026-6-8 | Vision Transformer-Based Deepfake Detection: A Comprehensive Approach for Identifying Manipulated Video Content
[IEEE] 2026-6-8 | Offline Photo-Shield Automatic System for Finding and Redacting Privacy-Sensitive Information in Images
[IEEE] 2026-6-8 | Bridge Structural Health Monitoring Using Vision Transformers and Graph Neural Networks
[IEEE] 2026-6-8 | Multi Level Functional Connectivity Fusion Classification Framework for Brain Disease Diagnosis
[IEEE] 2026-6-8 | Hybrid Wind-Solar Grid Integrated Energy System Simulation with MPPT Control In Matlab/Simulink
[IEEE] 2026-6-8 | Lightweight Machine Learning for Intrusion Detection in Zero-Trust Systems
[IEEE] 2026-6-8 | Advancing FCEVs/FCHEVs: Overcoming Challenges for Scalable Zero-Emission Transport
[IEEE] 2026-6-8 | Secure Edge–Fog Architecture for Social IoT and Opportunistic Network Applications
[IEEE] 2026-6-8 | Unveiling the Drivers of E-Grocery Usage Behaviour in Urban Areas
[IEEE] 2026-6-8 | Analysis of Digital Twin Ecosystem for the Renal System: Improving Patient Outcomes in Chronic Renal Disease and Dialysis Need Prediction
[IEEE] 2026-6-8 | Quantum-Enhanced Hybrid Variational Neural Network for IoT Intrusion Detection
[IEEE] 2026-6-8 | LS-Interpret: A Multi-Algorithm Gradient Boosting Framework with Three-Tier SHAP Explainability for Geospatial Landslide Susceptibility Prediction
[IEEE] 2026-6-8 | Rethinking AI Ethics in Education: From Restrictive Policies to Learning-Oriented Design
[IEEE] 2026-6-8 | Multi-Modal Perception for Intelligent Robotic Systems
[ACM] 2026-6-9 | Enhancing Secondary Use of Health Data in Finland – Environments, Costs, and Potential EHDS Implementation Challenges
[ACM] 2026-6-9 | IoT Participants Clustering to Reduce Heterogeneity and Accelerate Federated Learning
[ACM] 2026-6-9 | Digital Twin-Based Motor Speed Ripple Control System with AI-Driven Virtual Sensing and Reinforcement Learning
[ACM] 2026-6-9 | A Multi-Agent LLM Framework for Design Space Exploration in Autonomous Driving Systems
[ACM] 2026-6-9 | From Solo Issuing to an Orchestra: Design and Seamless Augmentation of Self-Sovereign Identity for Multi-Signature Verifiable Credentials
[ACM] 2026-6-9 | Approximating Gains-from-Trade in Matching Markets
[ACM] 2026-6-9 | Lower Estimates for L₁-Distortion of Transportation Cost Spaces
[ACM] 2026-6-9 | Monotone Circuit Complexity of Matching
[ACM] 2026-6-9 | Near Optimal Hardness of Approximating 𝑘-CSP
[IEEE] 2026-6-9 | Control-Integrated Pipeline for Diseasome Analysis: A Case Study on Hypertension Comorbidities in U.S. Veterans_supp5-3698948.csv
[IEEE] 2026-6-9 | Direct Multi-Source AoA Tracking for Passive UAV Surveillance Under Heterogeneous Signal Conditions
[IEEE] 2026-6-8 | Reconstructing Temporal Heterogeneity: A Multi-domain Collaborative Analysis Framework for Robust Time-Series Forecasting
[IEEE] 2026-6-8 | Robust Rigid Body Pose Estimation for Sparse Point Sets Under Heteroscedastic Noise
[IEEE] 2026-6-9 | Multi-Modal Fine-grained Discriminative Cues Transfer for Efficient Person Re-Identification
[IEEE] 2026-6-9 | Optical Multi-STAR-IRS Assisted Underwater Wireless Communication System
[IEEE] 2026-6-9 | Towards Next-Generation SLAM: A Survey on 3DGS-SLAM Focusing on Performance, Robustness, and Future Directions
[IEEE] 2026-6-8 | LCSM: A Local Chart-based Statistical Model for Femoral Shape Analysis
[IEEE] 2026-6-9 | Geometry-Dependent PCRLB for Target Tracking in Clutter With Radar Measurement Uncertainty
[IEEE] 2026-6-9 | Diffusion-based Data Augmentation and Knowledge Distillation with Generated Soft Labels for Oil Spill Segmentation Learning on Satellite SAR Images
[IEEE] 2026-6-9 | Lightweight Steganalysis with Low Distortion for Countering Robust Image Steganography
[IEEE] 2026-6-9 | Mechanistic Enhancement of Electrical Performance in PEEK Insulation via Surface Gas-Phase Fluorination
[IEEE] 2026-6-9 | Geometry-Prior Guided Coarse-to-Fine Stabilization of Full-Disk Solar EUV Image Sequences
[IEEE] 2026-6-9 | LAWNs Meet SWIPT: Beamforming and Power Splitting Optimization for Predictive Control
[IEEE] 2026-6-9 | Hybrid-CMLP: Hybrid CNN-MLP Networks for Low-to-standard-dose PET Synthesis
[IEEE] 2026-6-8 | Passivity-Based Pinning Synchronization Control of Switched Directed Networks With Improved Switching Strategy
[IEEE] 2026-6-8 | Hierarchical Multi-Terminal DC System for Large-Scale Renewable Integration: Topology and Coordinated Control
[IEEE] 2026-6-8 | Wholesale Market Participation via Competitive DER Aggregation
[IEEE] 2026-6-8 | Coupled Half-Bridge LLC Resonant Converter With Reduced Switches and Current Sharing Ability
[IEEE] 2026-6-8 | Distributed Fixed-Time Control With Adaptive Barrier Function in AC Microgrid Under Dynamic Event-Triggered Mechanism
[IEEE] 2026-6-8 | Modeling, Simulation, and Prototype Fabrication of a Saturable-Core Reactor
[IEEE] 2026-6-9 | Control-Integrated Pipeline for Diseasome Analysis: A Case Study on Hypertension Comorbidities in U.S. Veterans_supp2-3698948.csv
[IEEE] 2026-6-9 | DyGIN: Modality-Unified Dynamic Graph Inception Network for Context-Aware Emotion Recognition
[IEEE] 2026-6-8 | Pulse Repetition Frequency Tuned Low-Intensity Focused Ultrasound Neuromodulation for Tibial Nerve Targeted Bladder Function Modulation
[IEEE] 2026-6-8 | Variational Enhancement of Coded Fringes via Bi-directional Coded Content Similarity for Structured-light 3D Measurement
[IEEE] 2026-6-9 | Mechanisms of Central Erosion on the Contact Interface With Convex Rail Structure
[IEEE] 2026-6-9 | Analysis and Optimization Framework for STAR-RIS-aided Short-Packet Systems with Covert Rate-Splitting Signaling
[IEEE] 2026-6-9 | Signal-Compensated PI Control Based on Concurrent-Learning-Driven Optimal Tuning Parameters for Complex Ore Feeding Processes
[IEEE] 2026-6-9 | AI-Driven Marketing Transformation: Insights from Bibliometric Mapping and Network Analysis
[IEEE] 2026-6-9 | Self-Supervised Anomaly Detection Models for Continuous Data Quality Monitoring in Enterprise Platforms
[IEEE] 2026-6-9 | Sophisticated Geolocation Based Attendance Tracking Mobile Application
[IEEE] 2026-6-9 | Momentum-Based Cryptocurrency Trading Strategy : Data Synthesis and Machine Learning for Predictive Signal Classification
[IEEE] 2026-6-9 | Fixed-Time Synchronization of Delayed Chaotic Memristive Neural Networks Modeling in Terms of Voltage-Charge-Time
[IEEE] 2026-6-9 | Machine Learning for Clinical Text Classification in Electronic Medical Records: A Review
[IEEE] 2026-6-9 | Dynamic Neuro-Fuzzy Fusion with Attention-Aware Learning for Robust Cardiovascular Disease Prediction
[IEEE] 2026-6-9 | Quantum Safe AI Pipelines Securing Next Generation Data Flows Against Post Quantum Threats
[IEEE] 2026-6-9 | The Autonomous Battlefield: AI Arms Race in Cybersecurity, Offensive Tactics, and the Need for a Global Framework
[IEEE] 2026-6-9 | Autonomous Edge AI Solution for Post-Harvest Mango Tommy Classification
[IEEE] 2026-6-9 | Comparative Analysis of Supervised Machine Learning Techniques for Predicting Student Academic Performance
[IEEE] 2026-6-9 | Reassessing Venture Capital’s Role in IPO Outcomes: A Hybrid Machine Learning and Analytical Framework Using Evidence from India
[IEEE] 2026-6-9 | ANN–GA–PSO Hybrid Optimization for Enhanced DV-HOP Localization in Wireless Sensor Networks
[IEEE] 2026-6-9 | Omni-Tracker: An IoT-Based AI Companion for Emergency Alert and Geo-Localization System
[IEEE] 2026-6-9 | Advancing Eigenvalue Computation: Numerical Techniques and Cross-Disciplinary Applications
[IEEE] 2026-6-9 | Multimodal Transformer-Based Framework for Predicting Student Engagement, Achievement and Creativity
[IEEE] 2026-6-9 | Decoding Automation Narratives in Heritage Education and Tourism: A Google Trends Inquiry into Optimization Dynamics
[IEEE] 2026-6-9 | AI-Powered Personalization for Enhancing Student Engagement in E-Learning
[IEEE] 2026-6-9 | Impact of Service Efficiency Factors on Buying Behaviour and Satisfaction on Digital Platform
[IEEE] 2026-6-9 | Activity concentration measurements of radon gas in indoor environment of Benevento city, Campania region - South Italy
[IEEE] 2026-6-9 | Optimization and Simulation of a High-Speed Data and Power Transmission System Based on Partial Coil Coupling and DQPSK
[IEEE] 2026-6-9 | Dynamic Topology Control Strategies for Enhanced Connectivity in Mobile Wireless Sensor Networks
[IEEE] 2026-6-9 | A Transfer Learning Approach for Detecting Buds of Posterior Teeth
[IEEE] 2026-6-9 | Prediction of Underwater Sound Speed Distribution Based on Liquid Neural Networks
[IEEE] 2026-6-9 | Next-Generation Network Architectures: Exploring 6G, VANETs, and Heterogeneous Communication Systems
[IEEE] 2026-6-9 | Transport Protocol Switching Mechanism for Throughput Optimization in Ad Hoc Networks
[IEEE] 2026-6-9 | MIGformer: A Multivariate Time Series Forecasting Model Based on Multi-scale Interaction and Gating Mechanism
[IEEE] 2026-6-9 | Machine learning potential and applications in manufacturing sectors
[IEEE] 2026-6-9 | Design and Implementation of Energy-Efficient Protocols for Underwater Wireless Sensor Networks
[IEEE] 2026-6-9 | Structural damage identification through PCA and subspace comparison
[IEEE] 2026-6-9 | A Practical Methodology for Implementing and Tuning Analog PID-Based PWM Controllers
[IEEE] 2026-6-9 | Mechanism and Suppression of Low-Frequency Oscillations in Lightly Loaded V/f-Controlled Induction Motors
[IEEE] 2026-6-9 | Real-Time Analytics and Scalable Orchestration for Multi-Tenant Personalization Systems
[IEEE] 2026-6-9 | A Novel LLM-RAG Approach for Risk-Aware Anti-Money Laundering Compliance
[IEEE] 2026-6-9 | DEFI 2025 Cover Page
[IEEE] 2026-6-9 | CloudChain: Decentralized Marketplace for AI Compute Resources
[IEEE] 2026-6-9 | Signal Time-Advance Measurement with LP-NGD Circuit
[IEEE] 2026-6-9 | Modular Robot-Assisted Haptic Simulation of a Shoulder Exoskeleton
[IEEE] 2026-6-9 | Neural Network-Based Black Box Modelling for Real-Time Super Capacitor Health Monitoring
[IEEE] 2026-6-9 | How Does the Decoy Effect Enhance Consumers' Purchasing Decisions?
[IEEE] 2026-6-9 | The Impact of Short Video Content on TikTok on Gen Z's Purchasing Behavior
[IEEE] 2026-6-9 | MERIT: Multimodal Enhanced Retrieval through Instruction-level Transformer-based Chunking in Product Manuals
[IEEE] 2026-6-9 | Role of AI in Refugees Status Determination with Challenges of Human Dignity
[IEEE] 2026-6-9 | State-Aware Multi-Service Scheduling for VLC/WiFi Heterogeneous Networks Based on Reinforcement Learning(SAMSS-QL)
[IEEE] 2026-6-9 | Lung Nodule Detection and Segmentation using Linear Karnal SVM
[IEEE] 2026-6-9 | AI-Driven Security In Cloud Networks
[IEEE] 2026-6-9 | Early Warning System for Systemic Financial Risk in Indian Financial Markets Using Artificial Neural Networks
[IEEE] 2026-6-9 | Leveraging NLP and AI for Optimizing Energy Efficiency in Smart Cities: A Green Technology Perspective
[IEEE] 2026-6-9 | AI-Powered Analysis of Machine Learning Techniques for Fake News Classification
[IEEE] 2026-6-9 | 2025 International Conference on Intelligent &amp;amp; Innovative Practices in Engineering &amp;amp; Management (IIPEM)
[IEEE] 2026-6-9 | A Hybrid ML Framework Integrating CAI and EFRI Metrics for Smart Predictive Maintenance of Power Transformers
[IEEE] 2026-6-9 | Detection of Credit Card Fraud: An Analytical Accounting Perspective Using Classification Algorithms
[IEEE] 2026-6-9 | Corporate Governance’s Impact on Financial Performance of Banks
[IEEE] 2026-6-9 | Resilient Smart Grids: Digital Twin-Driven Predictive Control for Renewable Energy Integration
[IEEE] 2026-6-9 | Physics-Informed Neural and Graph Learning Framework for Operational Amplifier Performance Prediction and Sizing
[IEEE] 2026-6-9 | An Improved Multi-Target Tracking Algorithm for Intelligent Transportation Perception Based on Adaptive Association and Trajectory Smoothing
[IEEE] 2026-6-9 | Explainable AI Engine for Cross-Platform Transaction Trust Evaluation
[IEEE] 2026-6-9 | A Bias-Resistant Framework for Misinformation Detection in Code-Mixed Telugu Using Semantic Graph Neural Networks
[IEEE] 2026-6-9 | Memristor-Based Spiking Neural Network Accelerator for Bio-Inspired Interception Task
[IEEE] 2026-6-9 | SYNE: A Biologically-Inspired Decision Neural Network via Stochastic Delay Differential Equations
[IEEE] 2026-6-9 | Cloud-Driven Deep Learning Applications in Smart Cities
[IEEE] 2026-6-9 | An Ensemble Machine Learning Model for Thwarting Impact of Vampire Nodes in WSNs
[IEEE] 2026-6-9 | Cloud-Enabled Chatbots and Virtual Assistants: Redefining Digital Marketing Strategies
[IEEE] 2026-6-9 | The Role of Time-Sensitive Networking in Enhancing Real-Time Clock Synchronization for Power Monitoring Devices
[IEEE] 2026-6-9 | A Temperature Compensation Method for MSR Monitoring under In-Service Condition using EMAT
[IEEE] 2026-6-9 | Toxicological Impact of Heavy Metals During Sustainable Brick Production from Bagasse, Fly Ash, and Cement
[IEEE] 2026-6-9 | Collaborative Optimal Scheduling Method for Microgrid Clusters Based on Multi-Agent Deep Deterministic Policy Gradient
[IEEE] 2026-6-9 | Trajectory Tracking Control for Inspection Robots via Tube-Based Linear Model Predictive Control
[IEEE] 2026-6-9 | Explainable Deep Learning Pipeline for Multimodal Biomedical Signal Interpretation
[IEEE] 2026-6-9 | Ensemble-Based Learning Algorithm for Multi-Morbidity Prediction
[IEEE] 2026-6-9 | Integrated Digital Advisory System for Real-Time Agricultural Decision Support in Rural India
[IEEE] 2026-6-9 | Two-Stage Variable-Decoupling Framework for Trajectory Optimization of Industrial Manipulators
[IEEE] 2026-6-9 | The CRISP Framework: Enhancing AI Explainability Through Context-Aware Prompts for Clearer and More Interpretable Responses
[IEEE] 2026-6-9 | Coordinated Optimization Strategy for Distributed PV Distribution Networks Based on Hierarchical Power Allocation
[IEEE] 2026-6-9 | Data-Driven Modeling of Soil Moisture in Irrigated Fields
[ACM] 2026-6-9 | A Fine Balance: Understanding Anti-Technosolutionist Strategies of Environmental Justice Advocates
[ACM] 2026-6-9 | PredComp: Predicting Compiler Optimization Options with Multi-stage Learning
[IEEE] 2026-6-8 | HBA-VIO: High-Precision Direct Sparse Monocular Visual-Inertial Odometry via Hybrid Bundle Adjustment
[IEEE] 2026-6-8 | IEEE Collabratec
[IEEE] 2026-6-8 | What + IF = IEEE
[IEEE] 2026-6-8 | AI-Augmented Healthcare Communication: A Review of Large Language Model Healthcare Agents and Generative AI in EHR Integration
[IEEE] 2026-6-8 | Comprehensive Analysis of Induction Motor Harmonics for Sensorless Speed Estimation in its Application to MCSA
[IEEE] 2026-6-8 | 2026 6th International Conference on Pervasive Computing and Social Networking (ICPCSN)
[IEEE] 2026-6-8 | Maximum Entropy Inverse RL for Cyber Attack Detection in IoT Networks
[IEEE] 2026-6-8 | Performance, Adaptability, and Security in AI-Driven IIoT: A Survey
[IEEE] 2026-6-8 | A Soft Worm Robot for Sub-Centimeter Scale Pipeline Inspection_supp8-3699247.mp4
[IEEE] 2026-6-8 | Cross-Behavior Learning with Object Flow Prediction for Robotic Manipulation
[IEEE] 2026-6-8 | Online Coreset Selection for Learning Dynamic Systems
[IEEE] 2026-6-8 | IoT-Enabled SnO₂-Based Humidity Sensor for Real-Time Monitoring in Neonatal Incubators
[IEEE] 2026-6-8 | A Continuous Finite-Time Tracking Controller for Nonholonomic-Unicycle Vehicles
[IEEE] 2026-6-8 | Wavelength Dependence and Transient Photoresponse Mechanisms in Aerosol-Jet Printed ZnO Nanowire Ultraviolet Photodetectors
[IEEE] 2026-6-8 | Motion analysis of a multi-stiffness concentric tube magnetic continuum robot and its remote constraint application for minimally invasive surgical operations_supp2-3699226.mp4
[IEEE] 2026-6-8 | Trans-Intestinal Port for Periodic Drug Refilling: Bridging Ingestible Capsules and Implantable Devices_supp7-3699210.mp4
[IEEE] 2026-6-8 | Differentiated Warning Method for Wildfires in Transmission Corridors Based on Multi-Dimensional Visual Features
[IEEE] 2026-6-8 | Real-Time MPPT Optimization for PV-Battery Hybrid Systems in EV Fast Charging Infrastructure
[IEEE] 2026-6-8 | EchoGuard: Biometric Voice-based Audio Watermarking with Blockchain-Enabled Ownership Verification
[IEEE] 2026-6-8 | Optimizing Linux Kernel Scheduler Parameters Using Reinforcement Learning
[IEEE] 2026-6-8 | Effect of Dipole Length on the Design and Performance of High Permittivity Materials in 7 T MRI
[IEEE] 2026-6-8 | Toward Portable and Energy-Efficient Home Hemodialysis: Clinical, Economic, and Technical Review with Engineering Perspectives
[IEEE] 2026-6-8 | Optimal Control for Managing the Dynamics of Two Computer Virus Co-Infection
[IEEE] 2026-6-8 | Influence of Electric Field Strength on the Dielectric Response of Epoxy Resin foe Electrical Insulation
[IEEE] 2026-6-8 | Learning-Driven Job Recommendation Systems: A Comprehensive Review of Deep Semantic, Transformer-Enhanced, Ontology-based and NLP-Bidirectional Approaches
[IEEE] 2026-6-8 | A Coefficient Feature Matching–Based Method for Single-Phase-to-Ground Fault Location in Active Distribution Networks
[IEEE] 2026-6-8 | Data-driven Prediction of California Bearing Ratio Using Fuzzy C-Means Clustering
[IEEE] 2026-6-8 | Comparative Analysis of Enhanced Weighted A* and Theta* Search Algorithms on Pacman Mazes
[IEEE] 2026-6-8 | Intelligent Diagnosis of Transformer Partial Discharge Based on ALEF-SSG Signal Enhancement and Multi-Domain Feature Fusion
[IEEE] 2026-6-8 | Ontology-Enriched Abstract Topic Modelling for Biomedical Trend Discovery: A MeSH-based LDA Framework with BI Visual Analytics
[IEEE] 2026-6-8 | A Method for Elevation Calculation of Offshore Islands and Reefs Far from the Mainland Based on Water Level Derivation Technology
[IEEE] 2026-6-8 | Robust Speed Regulation of BLDC Motors through a Buck Boost Assisted Super Twisting SMC
[IEEE] 2026-6-8 | Utilizing Academic Analytic Dashboards in Improving Student Graduation Rates
[IEEE] 2026-6-8 | Optimization potential in the production and end-of-life-management of electric drive units to increase resource efficiency
[IEEE] 2026-6-8 | A Sustainable Approach to Climate Change Mitigation and Energy Security Enhancement Through Biofuels Integrated with IoT
[IEEE] 2026-6-8 | Comparative Analysis of Machine Learning Models for Large-Scale Water Quality Assessment
[IEEE] 2026-6-8 | From Data to Value: Assessing the Role of Digital Approaches in Enhancing Battery Cell Manufacturing through Expert Perspectives
[IEEE] 2026-6-8 | A Critical Comparative Survey of ML/DL Approaches for Late Blight Detection and Prediction for Guinean Agriculture
[IEEE] 2026-6-8 | Enhancing Small and Medium Sized Enterprises Sustainability: Material Flow Cost Accounting as an Enabler for Circular Economy Thinking
[IEEE] 2026-6-8 | Revisiting Deepfake Image Detection: An Analysis of Cross-Dataset Generalization Limits
[IEEE] 2026-6-8 | The effects of climate change on the spread of the common bean diseases
[IEEE] 2026-6-8 | Digital Transformation Readiness and SME Performance: An Information Systems Model Using TOE and Social Media Adoption
[IEEE] 2026-6-8 | A Multi-LLM Ensemble Approach for Evaluating Software Development Technologies
[IEEE] 2026-6-8 | Early Detection of Hypokinetic Rigid Syndrome Through Vocal Biomarker Analysis Using Convolutional Neural Networks
