[2026-06-03 23:43:56] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-02
正在获取论文...
[arXiv] 2026-06-02 | Wave-mean decomposition of scale-dependent kinetic energy from surface drifters
[arXiv] 2026-06-02 | Systematic Gray-Box Identification Methodology for Voltage Source Converters
[arXiv] 2026-06-02 | Reversible Superdense Ordering of Tetragonal Lithium in a Layered Material
[arXiv] 2026-06-02 | Partially Observable Adversarial Patch Attacks on Vision-Language-Action Models in Robotics
[arXiv] 2026-06-02 | Boundedness of Left Half-Plane Eigenvalues for Non-Selfadjoint Indefinite Sturm--Liouville Problems with Applications to Fourier Modal Methods
[arXiv] 2026-06-02 | Bionic Human-Motion Style Transfer for Physically Executable Whole-Body Control of Humanoid Robots
[arXiv] 2026-06-02 | Voxel-CKM: Voxelized Radio Frequency Radiance Fields for Fast and Few-Shot CKM Construction
[arXiv] 2026-06-02 | Relation between E2 transitions in even--even and odd-mass nuclei
[arXiv] 2026-06-02 | Scalable On-Hardware Training of Quantum Neural Networks and Application to Clinical Data Imputation
[arXiv] 2026-06-02 | EvoMemNav: Efficient Self-Evolving Fine-Grained Memory for Zero-Shot Embodied Navigation
[arXiv] 2026-06-02 | HiSE: A Lightweight Hierarchical Semantic Explainer for Heterogeneous Graph Neural Networks
[arXiv] 2026-06-02 | Renormalization aspects of the Yang-Mills theory with a cutoff
[arXiv] 2026-06-02 | Learn from Your Mistakes: Tree-like Self-Play for Secure Code LLMs
[arXiv] 2026-06-02 | Signatures of Ultralight Dark Matter in Space-Based Laser Interferometers
[arXiv] 2026-06-02 | Mixed-Modality Dual Face-Hair Retrieval
[arXiv] 2026-06-02 | On the Charged Fragments Tagging in the ATLAS Detector during the 2025 Oxygen Campaign
[arXiv] 2026-06-02 | Rethinking the Role of Tensor Decompositions in Post-Training LLM Compression
[arXiv] 2026-06-02 | DMF: A Deterministic Memory Framework for Conversational AI Agents
[arXiv] 2026-06-02 | Topology-Aware Gaussian Graph Repair for Robust Graph Neural Networks
[arXiv] 2026-06-02 | Hybrid News Sentiment Engine: Real-Time Market Analysis via Adaptive Ensemble Learning on News-Price Pairs
[arXiv] 2026-06-02 | Microscopic derivation of the microstretch theory for carbon nanotubes
[arXiv] 2026-06-02 | Magnetic field effects on spin-split band and magnon transport in altermagnets and emergent compensated ferrimagnets
[arXiv] 2026-06-02 | PerchRL: Vision-Based Agile Perching on Inclined Platforms under Rapid and Irregular Motion
[arXiv] 2026-06-02 | Amplituhedra and origami, II: loop level
[arXiv] 2026-06-02 | Large Language Models Are Overconfident in Their Own Responses
[arXiv] 2026-06-02 | PrimeSVT: An Automated Memory-aware Pruning Framework with Prioritized Compression Policy for Spiking Vision Transformers
[arXiv] 2026-06-02 | Sharp hypercontractivity for free group von Neumann algebras
[arXiv] 2026-06-02 | Optimizing Explicit Unit-Distance Lower-Bound Certificates
[arXiv] 2026-06-02 | Enginuity: A Dataset and Benchmark for Vision-Language Understanding of Engineering Diagrams
[arXiv] 2026-06-02 | A toy model for understanding the space-point resolution of silicon pixel detectors with digital readout
[arXiv] 2026-06-02 | Flicker-DDPM: Accelerating Denoising Diffusion via 1/f Colored Noise Injection
[arXiv] 2026-06-02 | Evolution as a Process of Causal Inference
[arXiv] 2026-06-02 | Little Red Dot progenitors from Compact Starbursts: A Natural Path to Early AGN Formation
[arXiv] 2026-06-02 | Classical Symmetry TFTs for Continuous Symmetries via Higher Symplectic Geometry
[arXiv] 2026-06-02 | Mitigating False Credit Propagation: Probabilistic Graphical Reward Aggregation for Rubric-Based Reinforcement Learning
[arXiv] 2026-06-02 | The Unsampled Truth: Psychometrics in SLMs Measure Prompt Artifacts, Not Psychological Constructs
[arXiv] 2026-06-02 | In vivo measurements of fascia lata effective mechanics combined to a memory fiber recruitment viscoelastic modeling approach
[arXiv] 2026-06-02 | AlgoTouch: An Execution-Centered Approach to Incremental Construction of Imperative Programs
[arXiv] 2026-06-02 | Model-Independent Search Discards Faint Lensed-Pairs of Gravitational Wave Events in the Sub-Threshold Candidates of GWTC-4
[arXiv] 2026-06-02 | Observation of residual entanglement in chip-based entanglement purification
[arXiv] 2026-06-02 | Node-Oriented Proactive Spectral Modulation: A Unified Fractional Framework for Graph Signal Denoising
[arXiv] 2026-06-02 | Spin-wave phase modulation using magnetic domain walls in dipolarly coupled structures for non-volatile magnonic computation
[arXiv] 2026-06-02 | Lingo_Research_Group at SemEval-2026 Task 9: Evaluating Prompt Variants for Polarization Detection
[arXiv] 2026-06-02 | Tailoring Strictly Proper Scoring Rules for Downstream Tasks: An Application to Causal Inference
[arXiv] 2026-06-02 | Role of Characteristic Length Scale in Interface Graphitization-Induced Wear Resistance of Diamond and Amorphous Carbon
[arXiv] 2026-06-02 | Subgroup bounds for abelian $p$-groups with applications
[arXiv] 2026-06-02 | Beyond Ideal Instruction: A Comprehensive Framework for Evaluating LLMs in Realistic Interactions
[arXiv] 2026-06-02 | Unconventional crystallization pathway bypassing the intermediate cubic phase in phase-change superlattices
[arXiv] 2026-06-02 | Generalizing Graph Foundation Models via Hyperbolic Retrieval-Augmented Generation
[arXiv] 2026-06-02 | LEAP: Supercharging LLMs for Formal Mathematics with Agentic Frameworks
[arXiv] 2026-06-02 | Deterministic generation of cat states with more than $100$ photons under dissipation
[arXiv] 2026-06-02 | Combining Statistical Features and Deep Encodings for Rehearsal-Based Class-Incremental Time Series Classification
[arXiv] 2026-06-02 | Spatially Uniform and Defect-Tolerant Plasmonic Responses in 3D printed Gold Nanoparticle Assemblies
[arXiv] 2026-06-02 | Linear maps in $\mathcal{L}(\ell_{\MakeLowercase{p}},\mathcal{Y}) $ preserving parallel and TEA pairs
[arXiv] 2026-06-02 | A Negative Result on Cross-Model Activation Transfer in a Pythia Multi-Hop Setting
[arXiv] 2026-06-02 | PaddleOCR-VL-1.6: Expanding the Frontier of Document Parsing with Under-Optimized Region Refinement and Progressive Post-Training
[arXiv] 2026-06-02 | Do Real-World Datasets Contain Natural Experiments? An Empirical Study Using Causal Feature Selection
[arXiv] 2026-06-02 | The Word and the Way: Strategies for Domain-Specific BERT Pre-Training in German Medical NLP
[arXiv] 2026-06-02 | ARBOR: Online Process Rewards via a Reusable Rubric Buffer for Search Agents
[arXiv] 2026-06-02 | When RLHF Fails: A Mechanistic Taxonomy of Reward Hacking, Collapse, and Evaluator Gaming
[arXiv] 2026-06-02 | Perceive Before Reasoning: A Pre-Reasoning Perception Framework for Efficient and Reliable Proactive Mobile Agents
[arXiv] 2026-06-02 | The Role of Domain-Specific Features in Malware Detection: A macOS Case Study
[arXiv] 2026-06-02 | Effect of Demographic Bias on Skin Lesion Classification
[arXiv] 2026-06-02 | Passive repetition-rate stabilization for a mode-locked fiber laser by electro-optic modulation
[arXiv] 2026-06-02 | Reinforcement Learning from Cross-domain Videos with Video Prediction Model
[arXiv] 2026-06-02 | Heavy quark distributions from the Color Dipole Picture
[arXiv] 2026-06-02 | OpenAgenet/OAN: Open Infrastructure for Trusted Agent Interconnection
[arXiv] 2026-06-02 | Efficient Federated Estimation and Inference for High-Dimensional Tail Index Regression
[arXiv] 2026-06-02 | Singular limit of lattice graphs
[arXiv] 2026-06-02 | Uncertainty-Aware Clarification in LLM Agents with Information Gain
[arXiv] 2026-06-02 | DMT-CBT: Longitudinal Therapeutic State Modeling for CBT Counseling
[arXiv] 2026-06-02 | HARVE: Hacking-Aware Reward-Head Vector Editing for Robust Reward Models
[arXiv] 2026-06-02 | Decoupled Smart Contract Audits: Lightweight LLM Framework via Distillation and Aggregation
[arXiv] 2026-06-02 | TTT-VLA: Test-Time Latent Prompt Optimization for Vision-Language-Action Models
[arXiv] 2026-06-02 | Dynamics of the Thermomagnetic Pendulum
[arXiv] 2026-06-02 | Many-Body Non-Hermitian Physics in the Generalized Brillouin Zone
[arXiv] 2026-06-02 | Experience-Driven Dynamic Exits for LLMs with Reinforcement Learning
[arXiv] 2026-06-02 | Impedance Modeling and Stability Analysis of Droop-Controlled Inverter Under Unbalanced Power Grid Operating Conditions
[arXiv] 2026-06-02 | Can Factual Opinions Be Edited (Manipulated) in Large Language Models?
[arXiv] 2026-06-02 | FGRPO: Federated GRPO with Adaptive Aggregation on Non-IID Data
[arXiv] 2026-06-02 | Decomposing how prompting steers behavior
[arXiv] 2026-06-02 | "**Important** You should give me full credits!": Exploring Prompt Injection Attacks on LLM-Based Automatic Grading Systems
[arXiv] 2026-06-02 | Efficient Hyperparameter Optimization for LLM Reinforcement Learning
[arXiv] 2026-06-02 | ASymPO: Asymmetric-Scale Policy Optimization for Asynchronous LLM Post-Training Without Behavior Information
[arXiv] 2026-06-02 | Learn When and Where to Connect: Adaptive Virtual Nodes for Dynamic Message Passing on Graphs
[arXiv] 2026-06-02 | CORE: Conflict-Oriented Reasoning for General Multimodal Manipulation Detection
[arXiv] 2026-06-02 | On $\mathbb J$-strata with Parahoric Stabilizers in Affine Deligne-Lusztig Varieties
[arXiv] 2026-06-02 | Brief Announcement: Generative Markov Model for Distributed Computing Systems
[arXiv] 2026-06-02 | Off-shell Hessian thermodynamic stability of higher-curvature black holes
[arXiv] 2026-06-02 | Local and Global Contraction Principles for MCMC Mixing
[arXiv] 2026-06-02 | Do Matching Mechanisms Work with LLM Agents?
[arXiv] 2026-06-02 | Conditional Hypothesis Generation for LLM-Based Text Analysis with Researcher-Specified Covariates
[arXiv] 2026-06-02 | SEA-Embedding: Open and Reproducible Text Embeddings for Southeast Asia
[arXiv] 2026-06-02 | Powerful Switchback Experiments -- Or Not?
[arXiv] 2026-06-02 | Secure AltDA Integration for Ethereum L2s: An End-to-End Validation Framework
[arXiv] 2026-06-02 | Kinematical correlations via $κ$-Poincaré coproducts
[arXiv] 2026-06-02 | MARIO: Motion-Augmented Real-Time Multi-Sensor Inertial Odometry
[arXiv] 2026-06-02 | Scattering and Bound States of Two Heteronuclear Ultracold Atoms in a Quasi-Two-Dimensional Confinement
[arXiv] 2026-06-02 | DriftSched: Adaptive QoS-Aware Scheduling under Runtime Token Drift for Multi-Tenant GPU Inference
[arXiv] 2026-06-02 | On the BNSR invariants of link groups
[arXiv] 2026-06-02 | Fractional Sobolev embeddings on noncommutative torus
[arXiv] 2026-06-02 | Inference-Time Scaling for Joint Audio-Video Generation
[arXiv] 2026-06-02 | Auditing Engagement Incentives in the Kidfluencer Ecosystem: A Multimodal Weak Supervision Approach
[arXiv] 2026-06-02 | Recurrence and coefficient inequality for the partial Petrial polynomial of graphs
[arXiv] 2026-06-02 | Fully Automated Identification of Lexical Alignment and Preference-Stage Shifts in Large Language Models
[arXiv] 2026-06-02 | Proof-Refactor: Refactoring Generated Formal Proofs into Modular Artifacts
[arXiv] 2026-06-02 | Hybrid Free-space-optics and Millimetre-wave D-band Trans-mitter enabled by Optically Harmonically Locked Lasers
[arXiv] 2026-06-02 | Mott transition of photons: quantum Monte Carlo study of Gross-Neveu criticality in a cavity
[arXiv] 2026-06-02 | Re-Ranking Through an Attribution Lens for Citation Quality in Legal QA
[arXiv] 2026-06-02 | Admittance Sensitivity-Informed Modular GP for Scalable Topology-Adaptive Power-Flow Learning
[arXiv] 2026-06-02 | Don't Trust Us: A privacy-by-design android malware detection pipeline
[arXiv] 2026-06-02 | Dynamic Objective Selection with Safeguards and LLM Oversight for Financial Decision-Making
[arXiv] 2026-06-02 | On Secure EKF-enhanced UAV-ISAC Systems
[arXiv] 2026-06-02 | $\boldsymbol{2}$-Neighbor Bootstrap Percolation on Odd Graphs
[arXiv] 2026-06-02 | GN0: Toward a Unified Paradigm for Generation, Evaluation, and Policy Learning in Visual-Language Navigation
[arXiv] 2026-06-02 | EvoDrive: Pareto Evolution for Safety-Critical Autonomous Driving via Self-Improving LLM Agents
[arXiv] 2026-06-02 | The Abel--Jacobi map over the twistor-$\mathbb{P}^1$ and real local class field theory
[arXiv] 2026-06-02 | Neural Networks Provably Learn Spectral Representations for Group Composition
[arXiv] 2026-06-02 | Positive resolution of Bartnik's cosmological splitting conjecture
[arXiv] 2026-06-02 | World Models Meet Language Models: On the Complementarity of Concrete and Abstract Reasoning
[arXiv] 2026-06-02 | Mean Field Limits for Stochastic, Underdamped Reactive Langevin Dynamics Models
[arXiv] 2026-06-02 | $D^0$-$D_s^+$ Elliptic-Flow Splitting under Event-Shape Engineering: A Probe of Sequential Charm Hadronization
[arXiv] 2026-06-02 | GeoSem-WAM: Geometry- and Semantic-Aware World Action Models
[arXiv] 2026-06-02 | A topos for étale-finite Heyting algebras
[arXiv] 2026-06-02 | Certifying coherence in quantum devices under classical control
[arXiv] 2026-06-02 | Velocity space origins of pressure-strain interaction in multi-population distributions and its application to magnetic reconnection
[arXiv] 2026-06-02 | Full Extractors for Logical Processing in Hypergraph Product Codes
[arXiv] 2026-06-02 | The bulk spectral gap is semi-decidable: a convergent family of certified upper bounds
[arXiv] 2026-06-02 | Composition of bispans of $G$-sets and plethysm
[arXiv] 2026-06-02 | Post-Selection Free Generation of Multi-Photon Added Coherent States
[arXiv] 2026-06-02 | 20 ps Non-Destructive Read and 1 ns Write Operations at <5 V in Ferroelectric HfO2/ZrO2 Non-Volatile Memories
[arXiv] 2026-06-02 | Projection Diagnostics for Directional Asymmetry and Tail-Ratio Departure in Multivariate Data
[arXiv] 2026-06-02 | Holographic reconstruction for defect CFTs from $\mathrm{AdS}_p \times S^q$ spacetimes
[arXiv] 2026-06-02 | Worth Remembering: Surprise-Gated Robot Episodic Memory
[arXiv] 2026-06-02 | Safety Measurements for Fine-tuned LLMs Should be Grounded in Capability
[arXiv] 2026-06-02 | Operator spreading in random circuits with orthogonal or symplectic symmetry
[arXiv] 2026-06-02 | The VMC survey -- LV. The coherent expansion of the SMC
[arXiv] 2026-06-02 | Convergence of an algorithm for constructing Lyapunov functions for switched systems using meshfree collocation
[arXiv] 2026-06-02 | Molecular neutron spectroscopy techniques applied to ceramics $α$-SiC and $β$-Ga$_2$O$_3$
[arXiv] 2026-06-02 | From Prompt to Service: An SLM-Based Agent Orchestration Gateway for AI-Driven Virtual Worlds
[arXiv] 2026-06-02 | AvatarMix: Identity-Preserving Cross-Avatar Composition for Outfit Personalization
[arXiv] 2026-06-02 | Compress then Merge: From Multiple LoRAs into One Low-Rank Adapter
[arXiv] 2026-06-02 | An analysis of the Type Ia SN 2024gy and a comparison of different host extinction estimation techniques
[arXiv] 2026-06-02 | dstack-capsule: Pod-Level Remote Attestation for Confidential Workloads on Kubernetes
[arXiv] 2026-06-02 | KVarN: Variance-Normalized KV-Cache Quantization Mitigates Error Accumulation in Reasoning Tasks
[arXiv] 2026-06-02 | Making Embodied AI Reliable: A Community Agenda from Testing to Formal Verification
[arXiv] 2026-06-02 | On the local equivalence of trapped-ion two-qudit gates
[arXiv] 2026-06-02 | Knowledge Editing in Masked Diffusion Language Models
[arXiv] 2026-06-02 | 20 Second Parity Lifetime in an InAs--Pb Tetron Device
[arXiv] 2026-06-02 | On dynamic multi-agent pathfinding methods: review, simulations and modifications
[arXiv] 2026-06-02 | In-the-Loop Training of Deep Feedback Cancellation for Hearing Aids
[arXiv] 2026-06-02 | Constraints on long-range neutrino interactions from a variety of $U(1)^\prime$ symmetries using atmospheric neutrinos at IceCube DeepCore
[arXiv] 2026-06-02 | GTBench: A Curriculum-Grounded Benchmark for Evaluating LLMs as Mathematical Research Assistants in Graph Theory
[arXiv] 2026-06-02 | Holographic complexity of de-Sitter black holes
[arXiv] 2026-06-02 | Embedded Trefftz DG method for reaction-diffusion problems on anisotropic meshes
[arXiv] 2026-06-02 | Deterministic Distance Approximation in MPC via Improved Hitting Sets
[arXiv] 2026-06-02 | Evaluating LLMs' Effectiveness on Real-World Consumer Device Repair Questions
[arXiv] 2026-06-02 | Longest cycles and Dirac-type results in highly connected graphs
[arXiv] 2026-06-02 | RobotValues: Evaluating Household Robots When Human Values Conflict
[arXiv] 2026-06-02 | Predicting the conditions for observing the Mpemba effect
[arXiv] 2026-06-02 | Flat from AdS: in any dimension and for any spin
[arXiv] 2026-06-02 | A Comparison of Multirate Co-Simulation Techniques for Field-Circuit Coupled Problems
[arXiv] 2026-06-02 | Two-Action Apple Tasting with Switching Costs
[arXiv] 2026-06-02 | Varstrometry for Off-nucleus and Dual sub-Kpc AGN (VODKA): Radio Classification of High-Redshift Dual AGN Candidates with the Very Large Array
[arXiv] 2026-06-02 | NeuroSymbolic Robustness Analysis for Discrete Systems with Respect to Transition Deviations
[arXiv] 2026-06-02 | Speedrunning Tabular Foundation Model Pretraining
[arXiv] 2026-06-02 | The Grothendieck Constant is Less Than $\fracπ{2 \log (1+ \sqrt{2})} - 10^{-5}$
[arXiv] 2026-06-02 | Attribution via Distributional Paths for Information Revelation
[arXiv] 2026-06-02 | An Asymptotic Theory of Chain-of-Thought in In-Context Learning
[arXiv] 2026-06-02 | Trading Human Curation for Synthetic Augmentation in RLVR
[arXiv] 2026-06-02 | A Plunge into the Chasm: Surviving Tidal Effects in Kerr Spacetime
[arXiv] 2026-06-02 | Surrogate Modeling of Interconnector Flows: A Machine Learning Alternative to Full-Scale Power System Simulations with Application to Cross-Border Electricity Exchange
[arXiv] 2026-06-02 | KRONOS I: The $1{-}2.8μ$m JWST Transmission Spectrum of the 23 Myr V1298 Tau c
[arXiv] 2026-06-02 | Entropy Gate: Entropy Quenching for Near-Lossless Token Compression in LLM Pipelines
[arXiv] 2026-06-02 | Resource-Constrained Adaptive Inference for Sequential Pricing
[arXiv] 2026-06-02 | Unveiling the Structure of Do-Calculus Reasoning via Derivation Graphs
[arXiv] 2026-06-02 | Mechanochemical Nano-Writing of an Atomically Thin Metal
[arXiv] 2026-06-02 | Astrophysical Constraints on Color-Superconducting Gap and N$^{3}$LO Perturbative-QCD Constant $c_0$
[arXiv] 2026-06-02 | Dynamic Mini Max Design and Sequential HB Inference for Repeated Surveys
[arXiv] 2026-06-02 | Multi$^2$: Hierarchical Multi-Agent Decision-Making with LLM-Based Agents in Interactive Environments
[arXiv] 2026-06-02 | Staying Alive: Uncensored Survival Analysis with Tabular Foundation Models
[arXiv] 2026-06-02 | The quantum-gravitational imitation game
[arXiv] 2026-06-02 | Bistability of cellular traction on strain-stiffening substrates
[arXiv] 2026-06-02 | Constraining AGN accretion physics with black hole mass-luminosity scaling relations
[arXiv] 2026-06-02 | Beta-weighted non-local differential operators and related stochastic processes
[arXiv] 2026-06-02 | SimuScene: Simulation-Ready Compositional 3D Scene Reconstruction from a Single Image
[arXiv] 2026-06-02 | Neuron Populations Exhibit Divergent Selectivity with Scale
[arXiv] 2026-06-02 | Language Models Need Sleep: Learning to Self-Modify and Consolidate Memories
[arXiv] 2026-06-02 | Pure states for subregions in gravity and their entanglement entropy
[arXiv] 2026-06-02 | Ranked MSO-enumeration over compressed words
[arXiv] 2026-06-02 | PointAction: 3D Points as Universal Action Representations for Robot Control
[arXiv] 2026-06-02 | Multi-Robot Bearing-only Pose Estimation via Angle Rigidity
[arXiv] 2026-06-02 | Primitive Positive Constructions Among Finite Permutation Groups
[arXiv] 2026-06-02 | Fast single-atom preparation in optical tweezers via Rydberg blockade
[arXiv] 2026-06-02 | PatchScene: Patch-based Voxel Diffusion for Large-Scale Scene Completion
[arXiv] 2026-06-02 | Sparse Activation for Sustainable Cell-Free Massive MIMO Networks: Less is More
[arXiv] 2026-06-02 | Electromagnetic Navigation for Femoral Osteotomy Using High-Accuracy X-ray-to-CT Registration
[arXiv] 2026-06-02 | Efficient Quantum Error Mitigation for Unitary k-Designs
[arXiv] 2026-06-02 | Reasoning Structure of Large Language Models
[arXiv] 2026-06-02 | Suppressed diffusion and gamma-ray emission from the Cygnus Bubble
[arXiv] 2026-06-02 | Privacy-Robust Incrementality Measurement for Advertising Systems under Signal Loss
[arXiv] 2026-06-02 | MLP Splatting: Object-Centric Neural Fields
[arXiv] 2026-06-02 | DyaPlex: Full-Duplex Speech-Motion Model for Dyadic Interaction
[arXiv] 2026-06-02 | Explainable Forecasting of Scientific Breakthroughs from Concept Network Dynamics
[arXiv] 2026-06-02 | Variational Loop Vertex Expansion for Cumulants
[arXiv] 2026-06-02 | Approximation by short exponential sums with geometric error decay based on Gauss quadrature
[arXiv] 2026-06-02 | CLI-Anything: Towards Agent-Native Computer Use
[arXiv] 2026-06-02 | A Previously Underexplored Regime in TESS: Minute-Scale Eclipses Reveal Ten White Dwarf-Cool M-Dwarf Binaries
[arXiv] 2026-06-02 | Denoising Tells When to Replan: Denoising-Variance Adaptive Chunking for Flow-Based Robot Policies
[arXiv] 2026-06-02 | Quantitative Detection of Molecular Oxygen in the Gas Phase with Fluorescent Nanodiamonds
[arXiv] 2026-06-02 | Re-Evaluating Continual Learning with Few-Shot Adaptation
[arXiv] 2026-06-02 | Scattering and Hawking Radiation from Einstein--Euler--Heisenberg--de Sitter Black Holes
[arXiv] 2026-06-02 | On a system of semilinear damped $σ$-evolution equations with different damping types in the critical case
[arXiv] 2026-06-02 | Text-attributed Graph Condensation via Text Selection and Attribute Matching
[arXiv] 2026-06-02 | Revealing the $D_0^*(2300)$ two-pole structure from lattice data and the SU(3) limit
[arXiv] 2026-06-02 | Finding Needles in the Haystack: Transductive Active Labeling in Ecology
[arXiv] 2026-06-02 | Learning finite viscoelasticity with DAVIS: A supervised framework for generalized standard materials
[arXiv] 2026-06-02 | AI Agents Enable Adaptive Computer Worms
[arXiv] 2026-06-02 | Regularization in Paired Comparison Models via Pseudo-Games and Phantom Players
[arXiv] 2026-06-02 | Easy-to-Use Shielding for Reinforcement Learning
[arXiv] 2026-06-02 | Limit Analysis of Graph Neural Networks with Wireless Conflict Graphs
[arXiv] 2026-06-02 | Exploring Adversarial Robustness and Safety Alignment in Multilingual Multi-Modal Large Language Models
[arXiv] 2026-06-02 | Reasoning over Grammar: Can Synthetic Linguistic Reasoning Traces Enhance Low-Resource Machine Translation?
[arXiv] 2026-06-02 | The Fontaine operator at cusps of modular curves at infinite level
[arXiv] 2026-06-02 | $π$Creds: Privately Inferred Credentials
[arXiv] 2026-06-02 | E2LLM: Towards Efficient LLM Serving in Heterogeneous Edge/Fog Environments
[arXiv] 2026-06-02 | Merit or networks? What decides where research is published
[arXiv] 2026-06-02 | Revisiting neutron-skin thickness and dipole polarizability constraints on the symmetry energy in Antisymmetrized Molecular Dynamics
[arXiv] 2026-06-02 | On cellularity of Hecke Algebras for Wreath Products
[arXiv] 2026-06-02 | Continuous limit of a discrete stochastic model of cell migration
[arXiv] 2026-06-02 | Extending TCLUST to higher dimensions
[arXiv] 2026-06-02 | Stable Hybrid Cross-Attention Fusion for Audio-Visual Event Recognition
[arXiv] 2026-06-02 | Diagnosing Knowledge Gaps in LLM Tool Use: An Agentic Benchmark for Novel API Acquisition
[arXiv] 2026-06-02 | Beyond Point Estimates: Reliable Evaluation of Prediction Performance Metrics under Clustered Data
[arXiv] 2026-06-02 | Chirality-resolved spectroscopy of Caroli-de Gennes-Matricon states in multiband FeTe$_{1-x}$Se$_{x}$ superconductors
[arXiv] 2026-06-02 | Causal Mirage Equilibrium in Agentic Machine Intelligence
[arXiv] 2026-06-02 | AnchorMoE: Interpretable Time Series Classification via Anchor-Routed MoE
[arXiv] 2026-06-02 | Two-mode collapse and revival of quantum coherent state in a tilted optical lattice
[arXiv] 2026-06-02 | Building Reliable Long-Form Generation via Hallucination Rejection Sampling
[arXiv] 2026-06-02 | Exploiting Verification-Generation Gap: Test-Time Reinforcement Learning with Confidence-Conditioned Verification
[arXiv] 2026-06-02 | An Efficient Parity-Blocked Method for Band-Structure Computation of 3D Anisotropic Phononic Crystals
[arXiv] 2026-06-02 | Semidefinite Programming Certificates for Synchronization of Kuramoto Oscillators on Arcs
[arXiv] 2026-06-02 | A note on the independence of the injective pigeonhole principle from the uniform counting principle
[arXiv] 2026-06-02 | UnsOcc: 3D Semantic Occupancy Prediction in Unstructured Scene via Rendering Fusion
[arXiv] 2026-06-02 | Eliciting Complex Spatial Reasoning in MLLMs through Wide-Baseline Matching
[arXiv] 2026-06-02 | Magnet-Free Proton Therapy with 4D Pencil Beam Delivery Optimisation
[arXiv] 2026-06-02 | On the saturated cases of the distillability conjecture
[arXiv] 2026-06-02 | The Comparative Trap: How Social Comparison Orientation Drives Problematic Generative AI (GenAI) Use
[arXiv] 2026-06-02 | Taxonomy of High Mass X-ray binaries from a historical perspective
[arXiv] 2026-06-02 | Cost of Manipulation in AMM-Based Oracles
[arXiv] 2026-06-02 | Temperature-programmed desorption of SO2 from water ice surfaces: Adsorption energy distributions
[arXiv] 2026-06-02 | Construction and simulation of a path-valued model of dendrite development
[arXiv] 2026-06-02 | Recursive Learning of Feedforward and Compliance Compensation Parameters for Precision Motion Systems
[arXiv] 2026-06-02 | Competitive Information Design in Sequential Search
[arXiv] 2026-06-02 | On Quasi-Nil Clean Rings
[arXiv] 2026-06-02 | Kinetics of Droplet Cloaking and Wetting Ridge Growth on Lubricated Polymer Brushes
[arXiv] 2026-06-02 | High-Precision APT Malware Attribution with Out-of-Scope Resilience
[arXiv] 2026-06-02 | The UV Side of Little Red Dots: Red, Compact, and Iron-Enhanced Rest-UV Emission with a Strong Downturn around Ly$α$
[arXiv] 2026-06-02 | Overlaying Governance: A Compositional Authorization Framework for Delegation and Scope in Agentic AI
[arXiv] 2026-06-02 | Linear Convergence of Parareal Algorithm for Semilinear Parabolic Equations
[arXiv] 2026-06-02 | A Voxel-Based Quantum Computing Method (VBQC) for Solid Mechanics Problem
[arXiv] 2026-06-02 | Unstable Poles Arising in AC Power Grid Subsystem Representations
[arXiv] 2026-06-02 | Weakly uniserial dimension of modules
[arXiv] 2026-06-02 | FPGA Based Feedforward System for Photonic Quantum Computing Applications
[arXiv] 2026-06-02 | Piston control in a two-ion quantum device
[arXiv] 2026-06-02 | Optimizing Proof-Search via Linearization for Gödel-Löb Logic with Tree-Hypersequents
[arXiv] 2026-06-02 | Analyzing Stream Collapse in Hyper-Connections: From Diagnosis to Mitigation
[arXiv] 2026-06-02 | Majorization and Gaussian-Mass Maximality for Construction-A Lattices from Binary Self-Dual Codes
[arXiv] 2026-06-02 | Short-Term Synaptic Plasticity Stabilizes Goal-Conditioned Dynamics in a PFC-Inspired Reservoir Model for Multistep Goal-Directed Action Planning
[arXiv] 2026-06-02 | Surrogate-assisted optimal sampling for risk prediction under measurement constraints
[arXiv] 2026-06-02 | A comprehensive Rossiter-Mclaughlin Modelling Framework in TLCM: Application to HD 2685 $=$ TOI-135 system
[arXiv] 2026-06-02 | FORGE: Multi-Agent Graduated Exploitation and Detection Engineering
[arXiv] 2026-06-02 | A complete description of solvable symplectic Lie algebras
[arXiv] 2026-06-02 | Experimental test of symmetron-field based dark energy model using neutron interferometry
[arXiv] 2026-06-02 | Populating topologically protected edge states of a Chern insulator with the cold-atom elevator scheme and measurements
[arXiv] 2026-06-02 | Epitaxial $\mathrm{Co_2MnSi}$ with intrinsic magnetocrystalline anisotropy as a route to bias-field-free nonlinear half-metal magnonics at the nanoscale
[arXiv] 2026-06-02 | Multi-Modal Assessment of Road Roughness Using Smartphone Applications, Acceleration, and Passenger Ratings
[arXiv] 2026-06-02 | Reliability-Guided Depth Fusion for Glare-Resilient Navigation Costmaps
[arXiv] 2026-06-02 | Hidden-sector accretion and warped black-string seeds for high-redshift supermassive black holes
[arXiv] 2026-06-02 | Lexicons and grammars for language processing: industrial or handcrafted products?
[arXiv] 2026-06-02 | SAMatcher: Co-Visibility Modeling with Segment Anything for Robust Feature Matching
[arXiv] 2026-06-02 | Quantum annealing for materials
[arXiv] 2026-06-02 | Monadic and cylindric expansions of bounded implication algebras
[arXiv] 2026-06-02 | Shedding Stray Light on Decaying Light Dark Matter: Constraints from NuSTAR X-ray Observations
[arXiv] 2026-06-02 | Self-interacting neutrinos in cosmological perturbation theory -- integrating the collision kernel
