[2026-09-23 00:02:09] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-09-22
正在获取论文...
[ACM] 2026-9-22 | I/O-Cool: Using I/Os for Temperature Regulation When Training on the Edge
[IEEE] 2026-9-22 | Built-in Self-Test and Calibration for Electrostatic MEMS Gyroscope Based-on Voltage Controlled Oscillator
[IEEE] 2026-9-22 | Unmasking Composite Adversaries: A New Threat Model for Federated Learning
[IEEE] 2026-9-22 | Challenges and Technological Development Prospects for the Environmental Adaptability of Industrial and Commercial Power Systems in Plateau Regions
[IEEE] 2026-9-22 | Diagnosis of Lithium-Ion Battery Cycle Aging Based on Half-Battery Model
[IEEE] 2026-9-22 | 5G LAN for Optimized Air Conditioning Load Management in Power Systems
[IEEE] 2026-9-22 | Fine-Grained Temporal Learning Analytics for Behavioral Profiling and Anomaly Detection in Online Assessments
[IEEE] 2026-9-22 | Multiclass Emotional Behavior Analysis in Autism Spectrum Disorder Using Artificial Intelligence
[IEEE] 2026-9-22 | BeDaSH+: A Comprehensive Framework for Blockchain-Enabled Data-Driven Telehealth Security With Federated Learning, TinyML, and GDPR Compliance
[IEEE] 2026-9-22 | Behavioral Featurization for Data of Unknown or Volatile Dimensionality
[IEEE] 2026-9-22 | Release-Aware Prior-Guided Regex Planning for Token-Bounded Log Retrieval in AIOps
[IEEE] 2026-9-22 | Ultra-Short-Term Photovoltaic Power Forecasting Based on the Moirai Time Series Foundation Model
[IEEE] 2026-9-22 | Data-Driven Metrics for Quantifying Social Impact of Technology-Enabled Social Entrepreneurship Models
[IEEE] 2026-9-22 | Research on a Decentralized Federated Learning Framework Based on Multi-Population Genetic Algorithm for Low-Voltage Distributed Photovoltaic Systems
[IEEE] 2026-9-22 | Ship Target Detection in SAR Images with Vision Foundation Models
[IEEE] 2026-9-22 | Exploring Coupled Inductors for T-LCL Immittance Converters in Resonant Wireless Power Transfer Systems
[IEEE] 2026-9-22 | Sequential Reconfiguration of Distribution Networks Based on Sequence Masking and SAC
[IEEE] 2026-9-22 | Evaluating Black-Box Vulnerabilities with Wasserstein-Constrained Data Perturbations
[IEEE] 2026-9-22 | Velocity Field-based Tooth Alignment Network with Interactive Guidance via Dental Arch Curves and Clinical Text Prompts
[IEEE] 2026-9-22 | An End-to-End Software Architecture Integrating Natural Language Mission Planning and Behavior Trees for Precision Agriculture
[IEEE] 2026-9-22 | A Single-Stage Current-Source DC Power Flow Controller: Application and Validation in LVDC
[IEEE] 2026-9-22 | An RBFNN-Based Online Learning Control Method for PEMFCs in DC Microgrids
[IEEE] 2026-9-22 | Magnetic Materials for Wireless EV Charging: A Quantitative Review
[IEEE] 2026-9-22 | LEO-PNT as a Spoofing Monitor: Doppler-Based Cross-Layer Detection for GNSS Resilience
[IEEE] 2026-9-22 | Transient Parameter Identification of Synchronous Generator Using State-Feedback-Compensated Pinn
[IEEE] 2026-9-22 | One RNG to Rule Them All: How Randomness Becomes an Attack Vector in Machine Learning
[IEEE] 2026-9-22 | Junction Temperature Distribution Reconstruction of IGBT Devices Based on POD
[IEEE] 2026-9-22 | Design of Sensorless Control System for PMSM Based on Adaptive Boundary Layer Sliding Mode Observer
[ACM] 2026-9-22 | Zero-Waiting Load Balancing with Heterogeneous Servers in Heavy Traffic
[ACM] 2026-9-22 | Technical Report Column
[ACM] 2026-9-22 | EvoInfer: A Self-Evolution and ML-Driven Approach for Optimizing LLM Performance on Mobiles
[IEEE] 2026-9-22 | Lightweight CP-ABE Scheme for Secure Communication in WDM-PON Systems
[IEEE] 2026-9-22 | TSN-IoT: A Two-Stage NOMA-Enabled Framework for Prioritized Traffic Handling in Dense IoT Networks
[IEEE] 2026-9-22 | FourASR: Exploiting Fourier Frequency Information for Efficient Light Field Angular Super-Resolution
[IEEE] 2026-9-22 | Cover Page
[IEEE] 2026-9-22 | Vision-Guided UAV Inspection and Repair Crew Dispatch for Post-Disaster Distribution Grid Restoration
[IEEE] 2026-9-22 | 2026 International Conference on Computing, Intelligence, and Applications (CIACON)
[IEEE] 2026-9-22 | Linear and Non-Linear Chirp Interference Mitigation Technique using the Fractional Fourier Transform in GNSS Snapshot receivers
[IEEE] 2026-9-22 | Consensus-Based Distributed Secondary Cooperative Control Strategy for Islanded Microgrids
[IEEE] 2026-9-22 | Wind-PV-Storage-Grid Synchronous Configuration Calculation Module: A Two-Tier Optimization Approach
[IEEE] 2026-9-22 | Data Privacy and Security in the Quantum Era: A Comparative Evaluation between Classical and Post-Quantum Cryptography
[IEEE] 2026-9-22 | Design and Optimization of a Compact Pixelated Filtering Antenna for 5G Communication
[IEEE] 2026-9-22 | Federated Contrastive Learning for Platform-Agnostic Malware Detection in Heterogeneous IoT Networks
[IEEE] 2026-9-22 | Research on Multi-Energy Complementation Collaborative Optimization and Stability Improvement Technology for Mountainous Area Microgrids
[IEEE] 2026-9-22 | Research on Physical Models Lightweighting Technology for Aero-engine
[IEEE] 2026-9-22 | High-Sensitivity Partial Discharge Detection in Cable Joints Over Long Distances Based on Chirped Phase-Sensitive Optical Time-Domain Reflectometry
[IEEE] 2026-9-22 | Joint Energy Efficiency and Fairness Optimization for D2D Communications in Aerial-Ground Integrated Heterogeneous Networks
[IEEE] 2026-9-22 | Analysis of the Impact of a Shielding Metasurface on the Energy Transfer Efficiency of a Low-frequency Wireless Power Transfer System
[IEEE] 2026-9-22 | Geometric Characterization of Equilibrium Manifolds and Stability Boundaries in Heterogeneous GFL/GFM/SG Power Systems
[IEEE] 2026-9-22 | Research on Automatic Construction Method of College Course Content Based on Multimodal Generative Model
[IEEE] 2026-9-22 | Incremental Memory-Enhanced LSTM for Multi-Output Prediction of Electromechanical Compound Transmission Systems
[IEEE] 2026-9-22 | Safety Assessment of Magnetic Field Exposure from a Wireless Power Transfer System for Charging EVs
[IEEE] 2026-9-22 | Layout Optimization of Thermoelectric Generator Array Based on Artificial Bee Colony Algorithm Under Non-Uniform Heat Source Field
[IEEE] 2026-9-22 | Coordinated Scheduling of Internet Data Center Under Renewable Energy Uncertainty: A Flexibility Aggregation Model Considering Task Dependencies
[IEEE] 2026-9-22 | Agent-Based Strategy Analysis for Energy Storage in the Intraday Market
[IEEE] 2026-9-22 | Multi-Class ECG Arrhythmia Detection Using a Wavelet-Enhanced Temporal Attention Network
[IEEE] 2026-9-22 | A Genetic Algorithm-Optimized Googlenet Framework for Multidisease Prediction in Distributed Hospital Management Systems
[IEEE] 2026-9-22 | Power System Operational Mode Analysis with Kolmogorov-Arnold Attention GNN
[IEEE] 2026-9-22 | SMGNet: A Lightweight Spectral-Mamba-Guided Network for Hyperspectral Image Classification
[IEEE] 2026-9-22 | Kernel Entropy Slow Feature Statistical Difference Quotient for Process Monitoring of Polyethylene Production
[IEEE] 2026-9-22 | Architectural Backdoors for Within-Batch Data Stealing and Model Inference Manipulation
[IEEE] 2026-9-22 | Intelligent Pressure Control in Natural Gas Transmission Networks Using Adaptive Fuzzy Sliding Mode Control with Valve Switching Strategy
[IEEE] 2026-9-22 | Adaptive Parameter Optimization of PID Controller for Pumped Storage Units Based on Physics-Informed Neural Networks and Soft Actor-Critic
[ACM] 2026-9-22 | GENDIRECT: a GENeralized DIRECT-type algorithmic framework for derivative-free global optimization
[ACM] 2026-9-22 | Parallel-Aware Early-Stopping Metrics for Hyperparameter Optimization
[ACM] 2026-9-22 | CXL Memory for LLM Inference Staging via an On-Device DMA Controller
[IEEE] 2026-9-22 | RadOpt-Qwen: A Large Vision-Language Model-Driven Framework for Optical-Radar Fusion in Space Target Recognition
[IEEE] 2026-9-22 | MAFRL: A Multi-Agent Flow-Balance Reinforcement Learning Framework for Resource Allocation in LEO Satellite Systems
[IEEE] 2026-9-22 | An Intelligent Physics-Informed Hybrid Machine Learning Framework for Soil Water Content Prediction in Smart Agriculture
[IEEE] 2026-9-22 | NAS-BEV: An Adaptive Pooling and Detection Head Search Framework for Dense Micro-Targets in Infrastructure-Side Perception
[IEEE] 2026-9-22 | Ultra-Low-Power RF Reflection Switch for 920 MHz Microwave Power Transfer
[IEEE] 2026-9-22 | Fault Restoration of AC/DC Hybrid Distribution Networks Considering Electric Taxis and Network Reconfiguration
[IEEE] 2026-9-22 | Improving Financial Sentiment Classification With LLM-Generated Synthetic Training Data
[IEEE] 2026-9-22 | Islanding Support Method under Emergency Conditions by Mobile Energy Storage with Grid-Forming Control
[IEEE] 2026-9-22 | Cyber-Physical Microgrids Under False Data Injection, Denial-of-Service, and Replay Attacks: A Systematic Review
[IEEE] 2026-9-22 | Leveraging Artificial Intelligence and Machine Learning for Robust Intrusion Detection in Software-Defined Networks
[IEEE] 2026-9-22 | BiLSTM with Transfer Learning for Detection of Alzheimer's Disease from Brain MRI
[IEEE] 2026-9-22 | A Meta-Learning-Based Clustering Algorithm Recommendation Method
[IEEE] 2026-9-22 | Anomaly Detection of Power Grid Measurement Data Based on Feature Fusion and Lof
[IEEE] 2026-9-22 | A Novel Single-Ended Protection Based on the Difference of Current Mode Component for DC Lines in MMC-MTDC System
[IEEE] 2026-9-22 | An Intelligent ETL–NLP Framework for Automated Node-to-Node Business Analytics and Decision Support
[IEEE] 2026-9-22 | Gen-ACSAC: A Maneuver Control Strategy via Generative Automatic Curriculum Reinforcement Learning
[IEEE] 2026-9-22 | SoK: On the Survivability of Backdoor Attacks on Unconstrained Face Recognition Systems
[IEEE] 2026-9-22 | Research on SOH Estimation Method for Lithium Batteries Based on Charging Characteristics and TMR Algorithm
[IEEE] 2026-9-22 | Safety-Aware Multi-Objective Motion Control with Online Hand-Eye Coordination for Robotic Laser Manipulation in Laparoscopic Surgery
[IEEE] 2026-9-22 | Design of a Cylindrical Linear Generator Based on PWM-Segmented Magnets
[IEEE] 2026-9-22 | LLM-Based NPCs in Video Games: A Systematic Mapping Study
[IEEE] 2026-9-22 | Power Prediction-Based Intelligent Health Assessment for Wind Turbines Using SCADA Data: A Case Study of a Wind Farm in Guangxi
[IEEE] 2026-9-22 | Comparison of Different Winding Configurations for Dual Three-Phase Winding Permanent Magnet Synchronous Machine
[IEEE] 2026-9-22 | Enhancing Lunar Landing PVT Performance using LCNS Signals and Vision-Based Navigation
[IEEE] 2026-9-22 | A Novel Design of a Triaxial Electrostatic-capacitive MEMS Force Sensor with In-plane Differential Readout
[IEEE] 2026-9-22 | Quantum Walk-Based Sliding Window Image Edge Detection Framework
[IEEE] 2026-9-22 | An Optic-Acoustic Fusion Method Based on Directional Angle for Underwater 3-D Reconstruction
[IEEE] 2026-9-22 | Message from the Program Chairs
[IEEE] 2026-9-22 | Cooperative Scheduling and Benefit Settlement of a Data Center and an Electricity Aggregator Under Time-Of-Use Pricing
[IEEE] 2026-9-22 | A Voltage-Coupling Partition-Based Configuration Strategy of Grid-Forming Energy Storage for Power System Strength Enhancement
[IEEE] 2026-9-22 | Position-Robust 2-D Waveguide Power Transfer Using a Passive Reflection Coil
[IEEE] 2026-9-22 | Research and Application of Key Technologies for Mine Tunnel Flame Recognition
[IEEE] 2026-9-22 | Real-Time Temperature Estimation of a PMSM Using ANN-Assisted Transient Low-Order LPTN Model
[IEEE] 2026-9-22 | Damping Analysis of Ultra-Low Frequency Oscillation in Hydropower-Dominated Complementary Systems with Wind Power and Energy Storage Integration
[IEEE] 2026-9-22 | Tibetan Medicine Named Entity Recognition Combining Domain Dictionaries and Multi-Granularity Representations
[IEEE] 2026-9-22 | MiTHras: Task-specific Hierarchical Semi-supervised Contrastive Masked Autoencoder for Mitotic Figure Analysis
[IEEE] 2026-9-22 | Automatic Visual Measurement of Small Apertures in Woven-Wire Test Sieves Using Periodic Topology Constraints and Robust Subpixel Boundary Extraction
[IEEE] 2026-9-22 | Automated Terminal-to-Housing Assembly System for Flat Ribbon Cable Harness
[IEEE] 2026-9-22 | TrajGuard: A Synthetic Trajectory Privacy Protection Method for Sensitive Locations
[IEEE] 2026-9-22 | Efficient and Effective Federated Unlearning via Adaptive Data Partitioning
[IEEE] 2026-9-22 | Compensation Effect Amplification Control (CEAC): A movement-based approach for coordinated position and velocity control of the elbow of upper-limb prostheses_supp1-3735419.mp4
[IEEE] 2026-9-22 | Multi-Objective Optimization of Electro-Hydrogen-Ammonia Systems for PV Accommodation and Carbon Reduction in Zero-Carbon Parks
[IEEE] 2026-9-22 | Interpolation-Free Multi-PRF Spectral Uniformization for Spaceborne SAR Terrain Matching Curved Imaging
[IEEE] 2026-9-22 | Neural Motion Blur Rendering with Deformable Kernel Prediction_supp1-3735888.mp4
[IEEE] 2026-9-22 | MIMIC: Motion-Imitating Marionette Interactive Controller
[IEEE] 2026-9-22 | Memory-efficient High-ratio Model Compression for Image Super-resolution via Hybrid Hashing
[IEEE] 2026-9-22 | A Stage-Adaptive Evaluation and Screening Method for Technical Solutions in New-Type Power Systems
[IEEE] 2026-9-22 | Advanced Energy Optimization in Photovoltaic Systems Using Max-Gain Converter and RNN Based MPPT for Smart Grid Applications
[IEEE] 2026-9-22 | TOMIRQA: Tomato Image Recognition and Quality Assessment Using MobileNetV2
[IEEE] 2026-9-22 | Preface
[ACM] 2026-9-22 | Carbon Footprint Context Cards: A Metadata Framework for Software Carbon Accounting
[ACM] 2026-9-22 | io.stream: cgroup-Granular FDP for Unmodified Workloads
[IEEE] 2026-9-22 | Hybrid Tree Based Models for GNSS Position Error Estimation
[IEEE] 2026-9-22 | Capacity Planning of a Wind-PV-Battery-Hydrogen Supplementary Backup System for Long-Duration Loop Support in Nuclear Power Plants
[IEEE] 2026-9-22 | Instruction-Tuned LLMs via Bayesian Mixture Model Preference Priors
[IEEE] 2026-9-22 | Foliease-Detective: A ResNet-50 Inspired Deep Learning Framework Integrated System for Plant Disease Identification with Personalized Care Recommendation
[IEEE] 2026-9-22 | Automated Terminal-to-Housing Assembly System for Flat Ribbon Cable Harness_supp1-3735421.mp4
[IEEE] 2026-9-22 | GDPR and Asset Management: Governance, Compliance, and Strategic Implications
[IEEE] 2026-9-22 | Deep Learning-Based Legal Contract Summarization and Risk Detection Using NLP and Domain-Specific Transformers
[IEEE] 2026-9-22 | Miniaturized Magnetoelectric Antennas for Efficient Wireless Power Transfer to Implantable Medical Devices
[IEEE] 2026-9-22 | Overhead Millimeter-Wave Single-Antenna Architecture for Wireless VR/AR Head-Mounted Display Tethering
[IEEE] 2026-9-22 | Table of Contents
[IEEE] 2026-9-22 | Large-Swing Modeling and RF Characterization of High-Voltage AlGaN/GaN Schottky Diode Toward Wireless Power Transfer Applications
[IEEE] 2026-9-22 | Multi-Objective Cooperative Control Method for Energy Storage Systems Based on Deep Reinforcement Learning
[IEEE] 2026-9-22 | Sonomyography-Based Decoding of Attempted Hand Movements in Individuals with Spinal Cord Injury
[IEEE] 2026-9-22 | Analytical Kernel Kalman Filter with RKHS-Based Measurement Model Approximation
[IEEE] 2026-9-22 | Object-Oriented Design for C++ Algorithm Visualization Teaching Tool
[IEEE] 2026-9-22 | Chance-Constrained Multi-Timescale Voltage Control in Active Distribution Networks Using DNN-Enhanced Surrogate Control
[IEEE] 2026-9-22 | 2026 IEEE/IAS Industrial and Commercial Power System Asia (I&amp;CPS Asia)
[IEEE] 2026-9-22 | Attn-LoadNet: A Spatio-Temporal Attention Network for Multivariate Electricity Load Forecasting
[IEEE] 2026-9-22 | DGGM: Statistical Quality Assessment for Surveillance Camera Sensors
[IEEE] 2026-9-22 | Design of Electric Vehicle Wireless Charging System Based on Magnetic Coupling Resonance
[IEEE] 2026-9-22 | Lightweight Pilot Estimation on LEO Satellite Signals for Enhanced SOP Navigation
[IEEE] 2026-9-22 | GNSS Synthetic Aperture for Direction-Finding of Signal Sources in a Jamming Scenario
[IEEE] 2026-9-22 | Flared-Shape Omnidirectional Antenna for 5G ORAN Indoor Communication Systems
[IEEE] 2026-9-22 | An AI-Driven Dialogue System for Ideological and Moral Education in Higher Education
[IEEE] 2026-9-22 | Stability Margin Quantification and Optimal Configuration of Hybrid GFL and GFM DFIG Systems
[IEEE] 2026-9-22 | Integrating EEG Signal Analysis, Machine Learning, and Traditional Chinese Medicine: A Novel Approach for PD-Associated Anxiety Diagnosis and Brain Network Modulation
[IEEE] 2026-9-22 | Design of a Three-Phase Wireless Power Transfer System for Electric Vehicles Based on Hybrid Models
[IEEE] 2026-9-22 | dBBR: Enhance BBR Performance with Delay Information
[IEEE] 2026-9-22 | Agentic FinOps: An Autonomous Framework for Real-Time Cost Governance in AI-Infused Cloud Architectures
[IEEE] 2026-9-22 | IIR-Net: Illumination Inconsistency Representation with Relighting-Guided Enhancement for Generalizable Deepfake Detection
[IEEE] 2026-9-22 | Causal Regularization AMLSTM Based Remaining Useful Lifetime Prediction Model for IGBT Modules in Maglev Train Levitation Choppers
[IEEE] 2026-9-22 | Adaptive Robust Fractional-Order Graph Attention Network Based Noise Prediction for Train Traction Motor*
[IEEE] 2026-9-22 | Grid-Forming Converter Control Architectures, Stability Mechanisms, and Grid-Integration Requirements: A Critical Review With Unified Benchmark Validation Toward a Technology Roadmap for High-Renewable Power Systems
[IEEE] 2026-9-22 | CIML 2026 Copyright Page
[IEEE] 2026-9-22 | Green MEC-Enabled Cell-Free Massive MIMO: Co-Design of Power Allocation, Computation Offloading, and NOMA User Clustering
[IEEE] 2026-9-22 | Multi-Task Multi-Emotion Joint Representation and LLM-Based Posterior Calibration for Mental Health Risk Assessment
[IEEE] 2026-9-22 | RobustBlack: Challenging Black-Box Adversarial Attacks on State-of-the-Art Defenses
[IEEE] 2026-9-22 | Research On Airport Runway Damage Assessment Method Based On CPSO-BP Neural Network Model
[IEEE] 2026-9-22 | Homophily-aware Supervised Contrastive Counterfactual Augmented Fair Graph Neural Network
[IEEE] 2026-9-22 | Depth Operator Identification and Low-Rank Dynamic Pattern Mining of Time-Varying Hysteresis Effect of Thermal Inertia in Heating System Under Variable Working Conditions
[IEEE] 2026-9-22 | Research and Practice of Psychological Assessment System Based on AI Large Models
[IEEE] 2026-9-22 | Voltage-Security-Constrained Demand Response at DC Fast-Charging Stations: Separating Deferral Value from Storage Value
[IEEE] 2026-9-22 | Graph-Based Anomaly Detection in LTE Networks: Effects of Temporal Aggregation and Window Alignment
[IEEE] 2026-9-22 | A CubeSat-Compatible Optothermal Sensing Platform for Biofilm Fluorescence Monitoring
[IEEE] 2026-9-22 | Multi-Scale Feature Fusion SNN with Temporal Self Attention for UAV RF Signal Classification
[IEEE] 2026-9-22 | YOND: Practical Blind Raw Image Denoising Free from Camera-Specific Data Dependency
[IEEE] 2026-9-22 | An Enhanced l
                    <sub>q</sub>
                    Iterative Reweighted Norm for MIMO Radar DOA Estimation
[IEEE] 2026-9-22 | Mechanism Analysis of Cross-Time-Scale Oscillations in Grid-Forming Converters Based on Interaction Energy Elements
[IEEE] 2026-9-22 | Bilevel Multiobjective Learning Model for Kolmogorov-Arnold Networks
[IEEE] 2026-9-22 | Privacy Risks in Time Series Forecasting: User- and Record-Level Membership Inference
[IEEE] 2026-9-22 | Important Dates
[ACM] 2026-9-22 | Health-Aware Optimal Power Flow
[ACM] 2026-9-22 | CARINA: Carbon-Aware Execution of Recurrent Industrial Analytics
[ACM] 2026-9-22 | Characterizing Communication Compression on NVIDIA BlueField-3 DPU for Distributed Training
[ACM] 2026-9-22 | Investigating the Effects of Different Levels of User Control in an Interactive Educational Recommender System
[IEEE] 2026-9-22 | Deep Learning Enabled Fruit Quality Assessment With Spatial-Spectral Feature Fusion
[IEEE] 2026-9-22 | Configuration of Distributed Synchronous Condensers for Suppressing Transient Overvoltage in Low-SCR UHVDC Sending-End Grids
[IEEE] 2026-9-22 | Simulation Optimization on Epitaxial Structure of 940 NM Edge-emitting Laser for HVDC Thyristor Valve Light-Triggered Driving
[IEEE] 2026-9-22 | Conference Committee
[IEEE] 2026-9-22 | Evaluation of HTS-YBCO Coils for Efficient HighFrequency Wireless Power Transfer
[IEEE] 2026-9-22 | IEEE Vehicular Technology Society Information
[IEEE] 2026-9-22 | Optimal Capacity Configuration of Electricity-Hydrogen Microgrids Considering Extreme-Week Off-Grid Reliability Validation
[IEEE] 2026-9-22 | A Fully Integrated 2-bit CMOS RF Transceiver for Multi-Band Wireless Communication Applications
[IEEE] 2026-9-22 | A Fractional-Order Model for Lithium-Ion Batteries Based on Multi-Source Data Fusion
[IEEE] 2026-9-22 | Efficient Numerical Approach and Experimental Validation for MAPOD in Eddy Current Nondestructive Testing
[IEEE] 2026-9-22 | Research on Temperature Decoupling for Adjacent Temperature Regions Based on Feature Combination with RDTS System
[IEEE] 2026-9-22 | Static and Dynamic Electric Vehicle Charging Scheduling Based on Multi-Source Human–Vehicle–Charger–Grid Data Fusion
[IEEE] 2026-9-22 | Maneuver-Attitude-Occlusion Coupled Modeling and LCR Analysis for UAV-to-UAV Channels
[IEEE] 2026-9-22 | Multi-Source Forward-Transmission Vibration Sensing With Simultaneous Communication Using Modified DUET
[IEEE] 2026-9-22 | Tibetan Handwritten Digit Recognition via Weighted Temperature Softmax with Class-Balanced Cross-Entropy
[IEEE] 2026-9-22 | A Delay-Insensitive ZVS Monitoring Method for 13.56 MHz WPT Systems Based on the Peak-toAverage Current Ratio
[IEEE] 2026-9-22 | YOLOv7-Based Monocular Indoor Planar Localization for Intelligent Mobile Robots
[IEEE] 2026-9-22 | Collision-Free Channel Access Using Transmission Queues with Fast Queue Joining
[IEEE] 2026-9-22 | Design of Improved Ant Colony Optimization Algorithm for Agricultural UAV Path Planning and Energy Consumption Optimization
[IEEE] 2026-9-22 | Author Index
[IEEE] 2026-9-22 | Coordinated Control Method for Renewable Energy Power Systems in Smart Grid Environments
[IEEE] 2026-9-22 | Autonomous Financial Close Systems Using Intent-Based AI Orchestration
[IEEE] 2026-9-22 | Load-Normalized Transient Features for Bipolar DC Line Fault Diagnosis
[IEEE] 2026-9-22 | Histopathology Nuclei Segmentation Using Fuzzy Logic-Based Preprocessing
[IEEE] 2026-9-22 | Preface
[IEEE] 2026-9-22 | Enhancing Collaborative Filtering With Large Language Model Embeddings for User Cold-Start Recommendation
[IEEE] 2026-9-22 | Design of a Passive, Reactively Loaded Coil Array for Inductive WPT Range Extension
[IEEE] 2026-9-22 | Covertness-Oriented Water-to-Air Optical Wireless Semantic Communications
[IEEE] 2026-9-22 | ICSSIP 2025 Copyright Page
[IEEE] 2026-9-22 | A Fuzzy Neural Network Model With Histogram-Based Fuzzification for Crop Recommendation
[IEEE] 2026-9-22 | Application and Optimization of Electric Vehicle Energy Storage Synergy in Joint Microscopic Simulation of Transportation and Distribution Networks
[IEEE] 2026-9-22 | Gated Graph Convolution-Integrated Topic-Aware Model for Cyberbullying Identification
[IEEE] 2026-9-22 | Reinforcement Learning empowered Dynamic Task Scheduling in UAV Networks
[IEEE] 2026-9-22 | TSOR-Constrained Coordinated Voltage Control for Active Distribution Networks Considering Transformer Aging Under Bidirectional Power Flow
[IEEE] 2026-9-22 | Two-Stage Stochastic Capacity Configuration of Integrated Energy Production Unit Considering Ladder-Type Carbon Trading
[IEEE] 2026-9-22 | Power Forecasting for Multi-Source Energy Systems of Ocean Buoys Based on a VMD Hybrid Model
[IEEE] 2026-9-22 | LLM-Inspired Fine-Grained Financial Sentiment for Short-Term Stock Prediction
[IEEE] 2026-9-22 | Optimal Economic Scheduling for Industrial Park Integrated Energy Systems Incorporating Electric Vehicles and Flexible Loads
[IEEE] 2026-9-22 | Drive Cycle Loss Reduction of an Inductive Excitation System for an Electrically Excited Synchronous Machine by a Multi-Inverter Topology
[IEEE] 2026-9-22 | MI-GridNet Model for Myocardial Infarction Detection from ECG Signal: A Deep Learning Approach
[IEEE] 2026-9-22 | Research on Photovoltaic Access Traction Power Supply System Based on Single-Phase to Three-Phase Topology
[IEEE] 2026-9-22 | Transparent Internet Protocol Communication Over X-Band/S-Band Links for High-Altitude Platforms
[IEEE] 2026-9-22 | Super-Twisting Sliding Mode Control Based Split-Phase Power Regulation of the Three-Phase Voltage Source Converter
[IEEE] 2026-9-22 | BGTH-ADRLS: A Blockchain-Enabled Deep Reinforcement Learning for Cloud Resource Allocation and Adaptive Task Scheduling
[ACM] 2026-9-22 | The Book Review Column
[ACM] 2026-9-22 | Product Forms in Closed Order Independent Queues
[ACM] 2026-9-22 | Deep Learning Method for Stationary Distribution of RBM
[ACM] 2026-9-22 | Disaggregated LLM KV-Cache Storage Requires Coordination-Free Consistency Abstractions
[ACM] 2026-9-22 | The Multimodal Agent Interfaces Paradigm Shift
[IEEE] 2026-9-22 | Coordinated Control Strategy of Forward Active Power Transmission for VSC-HVDC Offshore Wind Farms Under AC Collection Line Faults
[IEEE] 2026-9-22 | Policy-Guided Retrieval-Augmented Generation for Low-Carbon Dispatch of Park-Level Source-Grid-Load-Storage Integrated Regions
[IEEE] 2026-9-22 | A Fully Distributed Cooperative Control Strategy for AC Microgrid Clusters in Peer-to-Peer Based Flexible Multi-Terminal DC Interconnection
[IEEE] 2026-9-22 | New Synthesized Electric Field Focusing Technique for TMS by Two Differential O-O Coils
[IEEE] 2026-9-22 | Balancing Detection Efficacy and Robustness: A Weighted Sign-Energy Detector for Spectrum Sensing
[IEEE] 2026-9-22 | Chance-Constrained Bi-Level Look-Ahead Dispatch Model Considering Photovoltaic Uncertainty
[IEEE] 2026-9-22 | TSAE-MCS:A Data Quality Assurance Framework Based on Trustworthy Seed Guidance and Adaptive Exploration
[IEEE] 2026-9-22 | Comparative Energy Efficiency Analysis of Advanced OFDM-IM Schemes for 6G IoT
[IEEE] 2026-9-22 | Energy Harvesting from Low-Voltage and Low-Current Mains Power Lines for IoT
[IEEE] 2026-9-22 | A Multi-Device Coordinated Voltage Control Method Considering the Characteristics of Dynamic and Static Reactive Power Resources
[IEEE] 2026-9-22 | Graph Neural Networks for Groundwater Storage Prediction: A Comparative Analysis of Spatio-Temporal Modeling Approaches
[IEEE] 2026-9-22 | Lessons Learned from Campus Microgrids in the World
[IEEE] 2026-9-22 | Tibetan-English Neural Machine Translation Method Based on Ner Tags
[IEEE] 2026-9-22 | Predefined-Time Barrier Function Super-Twisting SMC with Extended State Observer for Performance Enhancement of Grid-Connected PV-ESS Systems
[IEEE] 2026-9-22 | A Fundamental Study on Leakage Magnetic Field Reduction Using Adjacent Coils in Dynamic Wireless Power Transfer
[IEEE] 2026-9-22 | Misalignment Robustness in Industrial Inductive Charging Systems
[IEEE] 2026-9-22 | Automatic Construction and Recognition of an International Phonetic Alphabet Image Dataset from Linguistic Documents
[IEEE] 2026-9-22 | Study of Thermal Effects in a 4H-SiC Laser Power Converter Aimed for Space Applications
[IEEE] 2026-9-22 | Title Page
[IEEE] 2026-9-22 | A Gradient-Free Approximate Posterior Inference Framework Based on Simplified Swarm Optimization for Bearing Remaining Useful Life Prediction With Uncertainty Quantification
[IEEE] 2026-9-22 | Multi-Flow Cross-Seasonal Optimal Scheduling of Coal Mine Integrated Energy System Under Carbon Constraints
[IEEE] 2026-9-22 | Explainable Attention-Based Deep Learning Model for Pneumonia Detection from Chest X-Ray Images
[IEEE] 2026-9-22 | Accurate Traffic Load Properties Verification in Data Center Networks
[IEEE] 2026-9-22 | Optimal Configuration of Energy Storage in Township Distribution Networks Considering Renewable Energy Accommodation and Supply Reliability
[IEEE] 2026-9-22 | AI-Assisted Cost Project Screening and Budget Allocation for High-Quality Development of Power Grid Enterprises
[IEEE] 2026-9-22 | Application Status, Core Challenges, and Future Trends of Artificial Intelligence in River and Lake Health Monitoring
[IEEE] 2026-9-22 | From Scroll to Evidence: An Android Forensics Investigation of UpScrolled App
[IEEE] 2026-9-22 | Tracking of ground jammers from Low Earth Orbit: experimental results from cubesat OPS-SAT PRETTY during Jammertest 2025
[IEEE] 2026-9-22 | A Dynamic Fine-Tuning Framework with Unbounded Data Augmentation for Probabilistic Net-Load Forecasting Under Extreme Weather
[IEEE] 2026-9-22 | Impedance Modeling and Stability Assessment of Magnet Power Supplies in Fusion Devices Under Weak Grid
