[2026-02-18 09:33:59] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-02-17
正在获取论文...
[arXiv] 2026-02-17 | A Content-Based Framework for Cybersecurity Refusal Decisions in Large Language Models
[arXiv] 2026-02-17 | Conjugacy classes of regular integer matrices
[arXiv] 2026-02-17 | Effect of flexibility on the pitch-heave flutter instability of a flexible foil elastically supported on its leading edge
[arXiv] 2026-02-17 | Singular value decomposition to describe bound states in the continuum in periodic metasurfaces
[arXiv] 2026-02-17 | SVD Incidence Centrality: A Unified Spectral Framework for Node and Edge Analysis in Directed Networks and Hypergraphs
[arXiv] 2026-02-17 | Spanning the Visual Analogy Space with a Weight Basis of LoRAs
[arXiv] 2026-02-17 | Pricing Discrete and Nonlinear Markets With Semidefinite Relaxations
[arXiv] 2026-02-17 | Criteria-first, semantics-later: reproducible structure discovery in image-based sciences
[arXiv] 2026-02-17 | Meta-Learning for GPU-Accelerated Quantum Many-Body Problems
[arXiv] 2026-02-17 | Understanding Classical Decomposability of Inequality Measures: A Graphical Analysis
[arXiv] 2026-02-17 | The Montreal Open Clusters and Associations (MOCA) Database: A Census of Nearby Associations, Open Clusters, and Young Substellar Objects within 500 pc of the Sun
[arXiv] 2026-02-17 | Detecting the neutrino mass via the cross-correlation between matter tracers and the ISWRS effect?
[arXiv] 2026-02-17 | Fair Correlation Clustering Meets Graph Parameters
[arXiv] 2026-02-17 | CAMEL: An ECG Language Model for Forecasting Cardiac Events
[arXiv] 2026-02-17 | Relative Geometry of Neural Forecasters: Linking Accuracy and Alignment in Learned Latent Geometry
[arXiv] 2026-02-17 | PERSONA: Dynamic and Compositional Inference-Time Personality Control via Activation Vector Algebra
[arXiv] 2026-02-17 | Bayesian Optimization for Design Parameters of 3D Image Data Analysis
[arXiv] 2026-02-17 | Zombie Agents: Persistent Control of Self-Evolving LLM Agents via Self-Reinforcing Injections
[arXiv] 2026-02-17 | CARE Drive A Framework for Evaluating Reason-Responsiveness of Vision Language Models in Automated Driving
[arXiv] 2026-02-17 | On inferring cumulative constraints
[arXiv] 2026-02-17 | Inclusive Flavour Tagging at LHCb
[arXiv] 2026-02-17 | Passive Imaging with Ambient Noise Under Wave Speed Mismatch: Mathematical Analysis and Wave Speed Estimation
[arXiv] 2026-02-17 | Completeness theorems on the boundary for a parabolic equation
[arXiv] 2026-02-17 | Nonlinear Phase Gates Beyond the Lamb-Dicke Regime
[arXiv] 2026-02-17 | Physics-Informed Anomaly Detection of Terrain Material Change in Radar Imagery
[arXiv] 2026-02-17 | Onto-DP: Constructing Neighborhoods for Differential Privacy on Ontological Databases
[arXiv] 2026-02-17 | Symbolic recovery of PDEs from measurement data
[arXiv] 2026-02-17 | Certified Per-Instance Unlearning Using Individual Sensitivity Bounds
[arXiv] 2026-02-17 | Stability of Bose-Fermi mixtures in two dimensions: a lowest-order constrained variational approach
[arXiv] 2026-02-17 | BORWin: Exact algorithm based on a Bi-Objective Relaxation for Window-constrained problems
[arXiv] 2026-02-17 | A unified theory of feature learning in RNNs and DNNs
[arXiv] 2026-02-17 | How Vision Becomes Language: A Layer-wise Information-Theoretic Analysis of Multimodal Reasoning
[arXiv] 2026-02-17 | Topological Scaling of Nonlinear Injection current and the Quantized Circular Photogalvanic Effect (CPGE)in tilted multi Weyl semimetals(mWSMs)
[arXiv] 2026-02-17 | ModMax-AdS Black Hole with Global Monopole as Source in Kalb-Ramond Gravity
[arXiv] 2026-02-17 | Constraining Streaming Flow Models for Adapting Learned Robot Trajectory Distributions
[arXiv] 2026-02-17 | 1-Bit Wonder: Improving QAT Performance in the Low-Bit Regime through K-Means Quantization
[arXiv] 2026-02-17 | Inference of horizontal velocity fields from the induction equation in the solar atmosphere. I. Analytical and numerical solutions in 2D
[arXiv] 2026-02-17 | Bridging Scales in Black Hole Accretion and Feedback: Subgrid Prescription from First Principles
[arXiv] 2026-02-17 | An observational test of the plasma lensing effect using QSOs with and without MgII absorption
[arXiv] 2026-02-17 | Stochastic Games on Large Sparse Graphs
[arXiv] 2026-02-17 | Some phenomenological aspects of a quantum-corrected Reissner-Nordström black hole: quasi-periodic oscillations, scalar perturbations and thermal fluctuations
[arXiv] 2026-02-17 | Selective Perception for Robot: Task-Aware Attention in Multimodal VLA
[arXiv] 2026-02-17 | A lower bound for a variation norm operator associated with circular means
[arXiv] 2026-02-17 | Cosmic topology. Part IIc. Detectability with non-standard primordial power spectrum
[arXiv] 2026-02-17 | DependencyAI: Detecting AI Generated Text through Dependency Parsing
[arXiv] 2026-02-17 | Fine-Refine: Iterative Fine-grained Refinement for Mitigating Dialogue Hallucination
[arXiv] 2026-02-17 | Eco-Amazon: Enriching E-commerce Datasets with Product Carbon Footprint for Sustainable Recommendations
[arXiv] 2026-02-17 | Towards Expectation Detection in Language: A Case Study on Treatment Expectations in Reddit
[arXiv] 2026-02-17 | Precise measurement of WASP-31 b's Rossiter-McLaughlin effect and characterization of the planet transmission spectra
[arXiv] 2026-02-17 | ExLipBaB: Exact Lipschitz Constant Computation for Piecewise Linear Neural Networks
[arXiv] 2026-02-17 | Ising Model with Power Law Resetting
[arXiv] 2026-02-17 | Description of nucleon elastic scattering off $^6$Li with the four-body continuum-discretized coupled-channels method
[arXiv] 2026-02-17 | On the Limitations of Karmarkar's Condition in Static, Conformally Flat Spacetimes
[arXiv] 2026-02-17 | Exploring VASS Parameterised by Geometric Dimension
[arXiv] 2026-02-17 | LLM-as-Judge on a Budget
[arXiv] 2026-02-17 | A Phase Transition For Repeated K-Averages
[arXiv] 2026-02-17 | TAROT: Test-driven and Capability-adaptive Curriculum Reinforcement Fine-tuning for Code Generation with Large Language Models
[arXiv] 2026-02-17 | On the origin of in-gap states in amorphous Ge$_2$Sb$_2$Te$_5$
[arXiv] 2026-02-17 | Virtual ultrasound machine operating in a GHz to MHz frequency range for particle-based biomedical simulations
[arXiv] 2026-02-17 | Algorithmic Approaches to Opinion Selection for Online Deliberation: A Comparative Study
[arXiv] 2026-02-17 | An Inequality Comparing the Dirichlet Energy and the Bienergy of Maps Between Riemannian Manifolds
[arXiv] 2026-02-17 | Flux pumping and bifurcated relaxations of helical core in 3D magnetohydrodynamic modelling of ASDEX Upgrade plasmas
[arXiv] 2026-02-17 | What makes an Expert? Comparing Problem-solving Practices in Data Science Notebooks
[arXiv] 2026-02-17 | Calibrating the Tip of the Red Giant Branch and measuring Magellanic Cloud distances to 2% exclusively with Gaia
[arXiv] 2026-02-17 | Effects of quenched disorder in three-dimensional lattice ${\mathbb Z}_2$ gauge Higgs models
[arXiv] 2026-02-17 | StatCounter: A Longitudinal Study of a Portable Scholarly Metric Display
[arXiv] 2026-02-17 | On the dynamics, thermodynamics and fine structure of virtual erupting filaments
[arXiv] 2026-02-17 | FlashMem: Supporting Modern DNN Workloads on Mobile with GPU Memory Hierarchy Optimizations
[arXiv] 2026-02-17 | A Unified Evaluation of Learning-Based Similarity Techniques for Malware Detection
[arXiv] 2026-02-17 | Entropy Has No Direction: A Mirror-State Paradox Against Universal Monotonic Entropy Increase and a First-Principles Proof that Constraints Reshape the Entropy Distribution
[arXiv] 2026-02-17 | GMAIL: Generative Modality Alignment for generated Image Learning
[arXiv] 2026-02-17 | Optofluidic light routing via analytically configuring streamlines of micro-flow
[arXiv] 2026-02-17 | New Insights from Revisiting the Rotation Period of the Strongly Magnetic O Star, NGC 1624-2
[arXiv] 2026-02-17 | On the Entropy of General Mixture Distributions
[arXiv] 2026-02-17 | Clifford spectrum of three 2 by 2 matrices
[arXiv] 2026-02-17 | The Information Geometry of Softmax: Probing and Steering
[arXiv] 2026-02-17 | Consistency-Preserving Diverse Video Generation
[arXiv] 2026-02-17 | FrameRef: A Framing Dataset and Simulation Testbed for Modeling Bounded Rational Information Health
[arXiv] 2026-02-17 | A Patankar predictor-corrector approach for positivity-preserving time integration
[arXiv] 2026-02-17 | NeuroSymActive: Differentiable Neural-Symbolic Reasoning with Active Exploration for Knowledge Graph Question Answering
[arXiv] 2026-02-17 | Fine-Tuning LLMs to Generate Economical and Reliable Actions for the Power Grid
[arXiv] 2026-02-17 | Testing Monotonicity of Real-Valued Functions on DAGs
[arXiv] 2026-02-17 | FedPSA: Modeling Behavioral Staleness in Asynchronous Federated Learning
[arXiv] 2026-02-17 | Directional Reasoning Trajectory Change (DRTC): Identifying Critical Trace Segments in Reasoning Models
[arXiv] 2026-02-17 | Uniqueness and Zeroth-Order Analysis of Weak Solutions to the Non-cutoff Boltzmann equation
[arXiv] 2026-02-17 | Fluids You Can Trust: Property-Preserving Operator Learning for Incompressible Flows
[arXiv] 2026-02-17 | Theory of temporal three-photon interference
[arXiv] 2026-02-17 | Mutation of torsion pairs for finite-dimensional algebras
[arXiv] 2026-02-17 | Solving Dirichlet problem on unbounded uniform domains by using sphericalization techniques
[arXiv] 2026-02-17 | Quantitative enstrophy bounds for measure vorticities
[arXiv] 2026-02-17 | Hot subdwarf stars from the Hamburg Quasar Survey
[IEEE] 2026-2-17 | About Swami Vivekanand Shikshan Sanstha
[IEEE] 2026-2-17 | Copyright Page
[IEEE] 2026-2-17 | GenSTEG: A Light and Scalable Trinary-Based Encryption with Multimodal Generative Steganography
[IEEE] 2026-2-17 | Table of Contents
[IEEE] 2026-2-17 | 2025 5th International Conference on Power System and Energy Internet (PoSEI)
[IEEE] 2026-2-17 | 2025 International Conference on Intelligent Control and Computing Science (ICICCS)
[IEEE] 2026-2-17 | Table of Contents
[IEEE] 2026-2-17 | ICIPW 2025 Committees
[IEEE] 2026-2-17 | LLM and AI Agents for Autonomous Systems: A Survey of Applications, Datasets, and Security Challenges
[IEEE] 2026-2-17 | Strategies for decentralised UAV-based collisions monitoring in rugby
[IEEE] 2026-2-17 | EW2A: Evolutionary Window Attention Adaptation for Medical Image Segmentation
[IEEE] 2026-2-17 | Three-level noise-tolerance granular-ball distinguishing measures and feature subset selection
[IEEE] 2026-2-17 | Copyright Page
[IEEE] 2026-2-17 | CCPQT 2025 Cover Page
[IEEE] 2026-2-17 | Domain-Adapted Video Frame Interpolation for Atmospheric Satellite Imagery
[IEEE] 2026-2-17 | The Personalization-Privacy Paradox in AI-Driven E-Commerce: A Consumer Trust Perspective
[IEEE] 2026-2-17 | Generative Adversarial Networks(GANs) for AI-Based Wireless Security Detection in Cloud Environments
[IEEE] 2026-2-17 | A Reinforcement Learning Method for Cyber Range Cloud Resource Scheduling
[IEEE] 2026-2-17 | SiC-Enabled DAB Converter for Battery Pack Active Balancing: Extensible Energy Management Framework for Electric Vehicles
[IEEE] 2026-2-17 | Expert Operational Gans: Towards Real-Color Underwater Image Restoration
[IEEE] 2026-2-17 | Early Detection of Apraxia of Speech in Children using MATLAB
[IEEE] 2026-2-17 | Learning Single-Image Super-Resolution In The Jpeg Compressed Domain
[IEEE] 2026-2-17 | ASCID-Net: A Unified Framework for Joint Imputation and Classification with Few Labels
[IEEE] 2026-2-17 | CAN Data-Processing, Diagnosis and Firmware Flashing Application Implementation using Python
[IEEE] 2026-2-17 | Design of Arbitrary-Ratio Microwave Power Divider Based on Artificial Neural Network
[IEEE] 2026-2-17 | A Study on the Application of YOLOPose in the Policing Psychological Training in Combat Situations
[IEEE] 2026-2-17 | Green Bond Default Risk Prediction Based on LSTM-Adaboost Classification Algorithm
[IEEE] 2026-2-17 | A Trajectory Planning and Control Method for Multi-Axis Synchronous Motion Scanning Mechanism
[IEEE] 2026-2-17 | Secure Healthcare Predictions via Homomorphic Encryption: A Privacy-Centric Framework
[IEEE] 2026-2-17 | Variational Bayesian Dehazing With Atmospheric Scattering Model for Synthetic-to-Real Generalization
[IEEE] 2026-2-17 | Historical Frame and Motion Guided Diffusion Model for Video Anomaly Detection
[IEEE] 2026-2-17 | Design and Development of a RAG-Supported Chatbot Enhanced with RGC Prompt Method for Competency Assessment in Maritime Education
[IEEE] 2026-2-17 | Comparative Study on Aeroelastic Control Laws for NACA 0012 and NACA 64A010
[IEEE] 2026-2-17 | Deep Features Based on Contrastive Fusion of Transformer and CNN for Semantic Segmentation
[IEEE] 2026-2-17 | Reinforcement Learning -Based Dynamic Pricing Framework for E-Commerce Revenue Growth
[IEEE] 2026-2-17 | Enhanced Underwater Image Visibility Using Adaptive Fusion Integrated with Local Intensity Filter
[IEEE] 2026-2-17 | Multiple Treatments Causal Effects in Mathematics Education
[IEEE] 2026-2-17 | Graph Neural Network Based Escalation Detection in Grievance Network
[IEEE] 2026-2-17 | Optimal Tracking Control of Switched Nonlinear Systems Based on Prescribed Performance
[IEEE] 2026-2-17 | Vision Transformers-Enhanced Signal Denoising System for Robust 6G Communication
[IEEE] 2026-2-17 | Behind the Words: Unmasking Bias Lurking in LLMs and Data
[IEEE] 2026-2-17 | A Multi-Dimensional Extended TOF Material Classification Technique Based on Deep Convolutional Networks
[IEEE] 2026-2-17 | Harnessing Transformers for Accurate Tea Leaf Disease Detection in Precision Agriculture
[IEEE] 2026-2-17 | AI-Driven Framework for Automated On-Tree Orange Sizing
[IEEE] 2026-2-17 | Net-Zero Pathways and the Future of GB Electricity Transmission Networks
[IEEE] 2026-2-17 | Site Selection and Capacity Allocation Strategy for Mobile Photovoltaic Charging Stations
[IEEE] 2026-2-17 | Fusing Binocular Stereo Matching and Object Detection for Substation Safety Distance Monitoring
[IEEE] 2026-2-17 | A Development of Integrated Offshore Floating Photovoltaic System with Wind-Solar Farm Designs Using Green Hydrogen and Electricity
[IEEE] 2026-2-17 | A Hybrid ConvNeXt-ViT Framework for Fine-Grained Grape Leaf Disease Classification
[IEEE] 2026-2-17 | Touch-Based Hybrid Authentication with Accurate Feature Extraction and Hyperparameter Tuning for Biometric Applications
[IEEE] 2026-2-17 | Spectrum Sensing and Channel State Prediction for Cognitive Visible Light Communication Based on Deep Neural Network
[IEEE] 2026-2-17 | Emotion-Based Email Notification System Using AI and Google Oauth2
[IEEE] 2026-2-17 | A Comprehensive Battery Management System for Lithium Batteries with Active Balancing and a Novel Lead-Acid Battery Capacity Test Meter
[IEEE] 2026-2-17 | Evaluating Static Time-of-Use Tariffs for an Interconnected Mini-grid in Nigeria
[IEEE] 2026-2-17 | To Analyse Synthetic Pomegranate Disease Images Using Dual GAN-Diffusion Based Learning for Efficient Disease Detection
[IEEE] 2026-2-17 | Evaluating the Performance of AI Text Detectors, Few-Shot and Chain-of-Thought Prompting Using DeepSeek-Generated Text
[IEEE] 2026-2-17 | Athletes’ Perceptions and Intentions to Use ChatGPT for Workout Plans
[IEEE] 2026-2-17 | Smart Learning Environment Design: AI Enhanced Drone Photogrammetry Systems for Participatory Architectural Education
[IEEE] 2026-2-17 | Confidential Data Aggregation in IoT Systems: Ensuring Privacy Without Compromising Utility
[IEEE] 2026-2-17 | Performance Benchmarking of Machine Learning, Deep Learning, and Transformer Models for Context-Aware Sentiment Analysis on Informal Social Media Text
[IEEE] 2026-2-17 | Advancements in Ovarian Cancer Subtype Classification and Outlier Detection: A Comprehensive Survey of Machine Learning Approaches and Clinical Applications
[IEEE] 2026-2-17 | Unmasking the Masked: A Classical Machine Learning Pipeline for Detecting Forged Receipts
[IEEE] 2026-2-17 | Performance Evaluation of an Optimised Aluminum–Copper Busbar Design for LV Distribution Panels
[IEEE] 2026-2-17 | Curriculum Learning in Medical Image Analysis
[IEEE] 2026-2-17 | Design and Implementation of a Conversational AI Platform for Medical Appointment Management
[IEEE] 2026-2-17 | A Population-Based Computational Framework for Analyzing and Mitigating Project Management Delays in Smart Grid Development
[IEEE] 2026-2-17 | A Scalable Hybrid LES-ANN Framework for Wake Prediction in Yawed Wind Turbine Arrays
[IEEE] 2026-2-17 | Architectural Design of an Asymmetric Wargaming System Based on Intelligent Blue Force
[IEEE] 2026-2-17 | Cross-Domain Computational Model: Joint Wavelet Subspace and Dual-Attention Mechanism for Hyperspectral Image Denoising
[IEEE] 2026-2-17 | Multifunctional Landscapes and AI Validation as a Strategy to Enhance Creative Place-Making in Urban Voids
[IEEE] 2026-2-17 | A Hybrid Explainable Deep Learning Model for Chronic Disease Risk Stratification using Multivariate Electronic Health Records
[IEEE] 2026-2-17 | Emergency Communication Command and Dispatch Method Based on AI Agent
[IEEE] 2026-2-17 | Sparse Matrix Factorization for Scalable Machine Learning in Cloud Environments
[IEEE] 2026-2-17 | Enhance Tool Invocation with Large Language Models through Cluster-Augmented Demonstration Sampling
[IEEE] 2026-2-17 | Design and Analysis of SRAM Circuits at 45nm Technology Using Sleeper Cells
[IEEE] 2026-2-17 | Intelligent Three-Phase Imbalance Optimization Considering Participation Willingness of Flexible Resources: A Deep Learning Approach
[IEEE] 2026-2-17 | AI-Driven Cybersecurity: Predictive Insights Into Attack Patterns and Effective Preventive Strategies
[IEEE] 2026-2-17 | Comparative Analysis of Fault Detection Techniques for Edge Enabled Smart Power Grids
[IEEE] 2026-2-17 | Anomaly-Oriented Multi-Class Intrusion Detection Using Machine Learning and Ensemble Methods
[IEEE] 2026-2-17 | A Lightweight Real-Time Dual-Metric System for Bicep Curl Form Correction
[IEEE] 2026-2-17 | Face Clustering Based on Local Identity Relation Estimation and Conservative Edge Expansion
[IEEE] 2026-2-17 | Unlocked Learning: How Educators Navigate AI in Open Education Spaces
[IEEE] 2026-2-17 | Intelligent Route Optimization Framework with IoT Integration for Efficient Waste Collection Trucks
[IEEE] 2026-2-17 | Location-Supported Lesions Representation with Potato Leaf Blight Disease Detection Using Dual-Head Convolutional Neural Network
[IEEE] 2026-2-17 | Cognitive Cyber Armor: AI-Driven Resilience against Intelligent Threat Actors
[IEEE] 2026-2-17 | Analysis of Kannada Tweets for Depression using Machine Learning Models
[IEEE] 2026-2-17 | Speed Control of DC Motor with Microcontroller Using Hand Gestures
[IEEE] 2026-2-17 | “CryptoKalp”: A Tool for Cryptocurrency Investigation
[IEEE] 2026-2-17 | AI based Assistive Device For Aphasia Elderly Patients
[ACM] 2026-2-17 | Corrigendum: The Last Mile in Remote Sensing Poverty Prediction
[IEEE] 2026-2-17 | Message by Guest of Honour
[IEEE] 2026-2-17 | WAIE 2025 TOC
[IEEE] 2026-2-17 | ICECMSN 2025 Committees
[IEEE] 2026-2-17 | ICICCS 2025 Content Announcement Page
[IEEE] 2026-2-17 | PoSEI 2025 Copyright Page
[IEEE] 2026-2-17 | SIGNAL: Stereo Image Neural Learner for Continuous Super-Resolution
[IEEE] 2026-2-17 | Enabling “see-and-Point” Communication Between Robots
[IEEE] 2026-2-17 | Enhancing UAV Intrusion Detection Against Adversarial Samples Based on AdvGAN and Decision Boundary Reconstruction
[IEEE] 2026-2-17 | CAMAv2: A Vision-Centric Approach for Static Map Element Annotation_supp1-3662336.mp4
[IEEE] 2026-2-17 | Physics-Guided Deep Learning for Battery Future Capacity and Remaining Useful Life Predictions
[IEEE] 2026-2-17 | Path Planning for End-Effector-Guided Motion of Tapered Cable-Driven Hyper-Redundant Manipulators_supp1-3658150.pdf
[IEEE] 2026-2-17 | Controller Reliability Assessment Model (CRAM): A Novel Framework for Reliability Evaluation of Attitude Control Subsystems in LEO Space Missions
[IEEE] 2026-2-17 | Addressing Data Imbalance in the Prediction of Protein Binding Pocket Similarity
[IEEE] 2026-2-17 | Modeling of a Three-Winding Transformer for Resonance Prediction in Flyback Converters
[IEEE] 2026-2-17 | TrueSightQ: A Multimodal Framework for Detecting AI-Generated Content Using Quantum Techniques and Web3 Integration
[IEEE] 2026-2-17 | Applications of Artificial and Computational Intelligence in Women’s Healthcare
[IEEE] 2026-2-17 | Graph Convolutional Networks for Individual and Group Activity Recognition in Sports Videos
[IEEE] 2026-2-17 | From Cyberbullying to Doxing: Privacy, Law, and Challenges in Online Harms
[IEEE] 2026-2-17 | Knee osteoporosis detection from Deep learning stacking ensemble model on Preprocessed X rays Images
[IEEE] 2026-2-17 | Design of a 24-Bit High Precision SAR ADC with Random Forest-based Error Correction for IoT Edge Devices
[IEEE] 2026-2-17 | Layer 2 Trade-Offs: Evaluating Privacy, Security, and Decentralization in Ethereum Scaling
[IEEE] 2026-2-17 | Unified Collaboration: Leveraging AI-Augmented Teams and Voice Platforms
[IEEE] 2026-2-17 | AI-Powered Voice Assistants for Accessible E-Commerce: A Review of ASR, RAG, LLMs and TTS
[IEEE] 2026-2-17 | Optimizing Renewable Energy Forecasting Using Heterogeneity-Aware Federated Learning
[IEEE] 2026-2-17 | A Fair Review of Legal AI Applications and Challenges
[IEEE] 2026-2-17 | Estimation of a Prolonged Release NPK Fertilizer with Humic Acid and Zeolite for Optimizing Nutrient Retention for Yield in Vegetative Crops
[IEEE] 2026-2-17 | Instance Segmentation Approach for Detecting NonHypertrophic Synovium Knee Osteoarthritis
[IEEE] 2026-2-17 | Bayesian Network-Based Anomaly Detection for SQL Injection Attacks in HTTP Payloads
[IEEE] 2026-2-17 | GANs for Pandemic Preparedness: A Systematic Review and Performance Benchmark for Pandemic Detection and Data Augmentation
[IEEE] 2026-2-17 | Adaptive Improvements and Experimental Analysis of YOLOv8 in Dynamic Digital Recognition on a Comprehensive Test Bench
[IEEE] 2026-2-17 | Multi-Objective Optimization for QoS-Aware Wireless Sensor Networks
[IEEE] 2026-2-17 | Innovative Embedded System Architecture for Secure Voting Machines Built on the Blockchain: Capabilities for Real-Time Verification and Difficulty Detection
[IEEE] 2026-2-17 | Deep Learning-Based LIS Reflection Matrix Design: Impact of Optimizer Selection
[IEEE] 2026-2-17 | A Novel Hybrid Ensemble Machine Learning Framework for Inference Score Prediction in Rheumatoid Arthritis
[IEEE] 2026-2-17 | Harnessing Ensemble Learning with Stacking to Enhance Diabetes Risk Prediction Using PIMA Indian Dataset
[IEEE] 2026-2-17 | Multilingual and Severity-Aware Cyberbullying Detection with Emotion Fusion and Transformer Models
[IEEE] 2026-2-17 | Single-Shot Transient Imaging Via Compressed Time-Of-Flight Imaging And Dictionary Learning
[IEEE] 2026-2-17 | Rapid and Automated Flood Segmentation through Landsat with Google Earth Engine Using Deep Learning Architecture
[IEEE] 2026-2-17 | Cognitive Load-Aware AI Model for Optimizing English Reading Comprehension in Adaptive Learning Platforms
[IEEE] 2026-2-17 | Explaining BiLSTM-based Fiber Optic Prediction Based on Integrated Gradients
[IEEE] 2026-2-17 | A Visual Composer for Quantum Circuits
[IEEE] 2026-2-17 | A Hierarchical Address Decomposition Method for Multidimensional Array Access Optimization
[IEEE] 2026-2-17 | Two-Wheeler Safety and Theft Prevention System using Facial Recognition, Helmet Detection, and Motion-based Alerts
[IEEE] 2026-2-17 | Impact of Poor PCB Layout on EMC Performance and Proposed Solutions using 3D Simulation
[IEEE] 2026-2-17 | Avya: The Smart Echo of Plant Wellness
[IEEE] 2026-2-17 | Impact of Optimization Algorithms and Regularization Techniques on Neural Network Performance for Binary Classification
[IEEE] 2026-2-17 | An Enhanced Approach of Empowering Social Interaction Among Students with ASD
[IEEE] 2026-2-17 | IoT-Integrated Real-Time Cargo Monitoring and Security System for Logistic Management
[IEEE] 2026-2-17 | Federated Learning and Blockchain Integrated Frame-work for Energy Management
[IEEE] 2026-2-17 | Progressive Dual Branches Guidance Network for Single Image Deraining
[IEEE] 2026-2-17 | Graph Convolutional Networks for Spatiotemporal Activity Recognition in Smart City
[IEEE] 2026-2-17 | A Privacy Preserving Federated Learning Framework for Skin Disease Prediction
[IEEE] 2026-2-17 | Vision Transformers-Based Structural Health Monitoring System for Bridge Safety
[IEEE] 2026-2-17 | Impact of AI and Machine Learning on Regulatory Compliance in Financial Services
[IEEE] 2026-2-17 | Exploration of Individualized Learning Models and Their Implementation in Vocational Colleges: Adapting to the Challenges of the Digital Intelligence Era
[IEEE] 2026-2-17 | Generative AI-Enhanced Deep Learning for Glaucoma: A Framework for Early Detection and Progression Forecasting
[IEEE] 2026-2-17 | AI Powered Honeypots for Advanced Threat Detection and Analysis
[IEEE] 2026-2-17 | Smart Sensor Network for Privacy Preserving Surveillance System
[IEEE] 2026-2-17 | Icing State Identification for Wind Turbines Based on Wind Speed-Temperature Coupling Features and Ensemble Learning
[IEEE] 2026-2-17 | NLP and Reinforcement Learning-Based Chatbots for Efficient Public Service Delivery in Smart Cities
[IEEE] 2026-2-17 | DRL-FedProto: Adaptive Hyperparameter Tuning for Federated Prototype Learning Using Deep Reinforcement Learning
[IEEE] 2026-2-17 | OSPP-RT-YOLO:A Multi-Scale Detector for Aluminum Surface Defects
[IEEE] 2026-2-17 | Frequency Stability and System Resilience of Grid Forming and Grid Following Inverters with a Partial Power Boost Converter under Grid Strength Variation in Distribution Networks
[IEEE] 2026-2-17 | Mineuron: Minimal Neuron Realization For Fast Fpga Snn Inference Using Logic Optimization
[IEEE] 2026-2-17 | Case Study: Optimizing Energy Consumption in Robotics Using Linear Regression for Control Parameter Prediction
[IEEE] 2026-2-17 | Optimization Scheduling Strategy for Microgrid Based on Credit Score Demand Response
[IEEE] 2026-2-17 | Detection Of Generated Obscured Images Protecting Confidential Image Content
[IEEE] 2026-2-17 | Image segmentation Method based on the Improved Falcon Optimization
[IEEE] 2026-2-17 | Dual-Attention GAN for Multi-Disease Detection in Noisy Chest X-ray Images
[IEEE] 2026-2-17 | A Sparse algorithm of Intelligent Reflecting Surface for Physical Layer Secure Communication
[IEEE] 2026-2-17 | Lightweight YOLOv7 Architecture for Obstacle Recognition and Depth Mapping in Assistive Walking Systems
[IEEE] 2026-2-17 | YOLO-CFD: An Enhanced Deep Learning Framework with Bi-Level Routing Attention and Spatial Pyramid Pooling for Precise Brain Tumor Detection in MRI Images
[IEEE] 2026-2-17 | Deep Learning for Stock Market Prediction: A Comparative Study of LSTM and Transformer-Based Models
[IEEE] 2026-2-17 | Attention-Augmented Generative AdversarialNetworks (GANs) for Synthetic Data Augmentationin Prostate Cancer MRI-Bases Segmentation Tasks
[IEEE] 2026-2-17 | E-Commerce IP Shield: A CNN-RNN Ensemble Framework for Predicting Trademark Infringements on Online Platforms
[IEEE] 2026-2-17 | Intelligent IoT Framework for Real-Time BLDC Drive Fault notification using PID and Neural Network Optimization
[IEEE] 2026-2-17 | Design of the UNet and Spatial-Time Augmentation Method with Feature Fusion for Soybean Diseases and Yield Prediction
[IEEE] 2026-2-17 | Large Parallax Image Stitching Based on Spatial Distance-Residual Constrained Warping
[IEEE] 2026-2-17 | AI-Driven Transparent Trend Analysis of Inflation and its Macroeconomic Implications
[IEEE] 2026-2-17 | Next-Gen Battery Management Systems for Optimized Electric Vehicle Performance
[IEEE] 2026-2-17 | Optimal V2G Scheduling of Electric Buses to Mitigate Grid Constraints and Absorb PV Surplus Power
[IEEE] 2026-2-17 | ICECT 2025 Cover Page
[IEEE] 2026-2-17 | Conference Committee
[IEEE] 2026-2-17 | COSMIC 2025 Author Index
[IEEE] 2026-2-17 | Prompt-Based Jailbreaking of Leading LLM Chatbots: A Survey of Attacks and Defenses
[IEEE] 2026-2-17 | Handover Optimization Using a Dynamic $\epsilon$-Greedy Based Q-Learning and a Hybrid MCDM Approach in Heterogeneous Networks
[IEEE] 2026-2-17 | Stable and Durable BTOnws&amp;#x2013;PVDF Triboelectric Nanogenerator for Self-Powered energy supply and Real-Time Impact Monitoring_supp3-3663008.mp4
[IEEE] 2026-2-17 | Design of Three-Stage Twisted and Folded Clos Network Based on Necessary and Sufficient Condition for Strict-Sense Non-Blocking
[IEEE] 2026-2-17 | Rethinking Graph Contrastive Learning for Heterophilic Graphs: An Effective Method for Heterophilic GCL Methods With Regularization and Stabilization Techniques Enhanced High-Pass Filter
[IEEE] 2026-2-17 | Refining Clear-sky AI Radiative Transfer Model Forward Predictions and Jacobian Accuracy for ATMS Using a ResNet and Physical Constraints
[IEEE] 2026-2-17 | Sub-connected Active RIS Assisted Secrecy Communications
[IEEE] 2026-2-17 | LCTNet: Lightweight Convolution-Transformer Network for Hyperspectral Image Classification
[IEEE] 2026-2-17 | Design and Control of a Compact Series Elastic Actuator Module for Robots in MRI Scanners
