[2026-08-23 10:21:41] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-08-22
正在获取论文...
[ACM] 2026-8-22 | MASH-Net: A Multi-Scale Adaptive Shuffle Hybrid Network for Medical Image Segmentation
[NO] 64/184 | Construction of a Postoperative Recurrence Prediction Model for Thyroid Cancer Using Interpretable Machine Learning and Counterfactual Inference
[NO] 65/184 | A Cost-Aware Probability Monad for Liquid Haskell
[NO] 66/184 | Refining Gelfond’s Rationality Principle: Towards More Comprehensive Foundational Principles for Answer Set Semantics
[NO] 67/184 | Study on a PCA-Based Identification Method for Bioaerosols Using Fluorescence Spectroscopy
[NO] 68/184 | TCBASyn: a framework predicting synergistic drug combinations based on the Transformer and CNN-BiLSTM-Attention hybrid models
[NO] 69/184 | Structure-Aware Inexact Entropic Proximal Gradient Method for Binary Linear Systems
[NO] 70/184 | Research on a mobile real-time detection system for rice pests and diseases based on ShuffleNetV2 optimized YOLOv5
[NO] 71/184 | Cerebral Stroke Medical Image Classification System
[NO] 72/184 | A Grape Leaf Disease Detection Method Based on Improved YOLOv10n
[NO] 73/184 | A New Beginning of Rational Design in the Age of Large Language Models of Synthetic Biology
[NO] 74/184 | Ask, Then Perceive: Question-Guided Cross-Modal Perception for Audio-Visual Question Answering
[NO] 75/184 | Imaging-guided radiotherapy with precise regulation based on radiobiological molecular characteristics
[NO] 76/184 | Predicting the Adhesion Properties of Short Peptides on Different Surfaces Using Machine Learning and Umbrella Sampling
[NO] 77/184 | Multi-Center Medical Data Collaborative Analysis Framework Based on Vertical Federated Learning and Differential Privacy Protection
[NO] 78/184 | Enhancing Mirror-Image Peptide Bond Cleavage Prediction via Attention-Based Feature Fusion
[NO] 79/184 | Research on an Artificial Intelligence-Based Auscultation System for Early Screening of Congenital Heart Disease in the Lishui Region
[NO] 80/184 | ShapeLib: Designing a library of programmatic 3D shape abstractions with Large Language Models
[NO] 81/184 | Lessons from a Culturally Sustaining and Revitalizing Computer Science Research–Practice Partnership for Teachers Across Disciplines in Indigenous-Serving Schools
[NO] 82/184 | Interval Scheduling Games with Color-Based Concurrent Jobs
[NO] 83/184 | A Survey on Centrality and Importance Measures in Hypergraphs: Categorization and Empirical Insights
[YES] 84/184 | Multi-Bin Batching for Increasing LLM Inference Throughput
[NO] 85/184 | Computational Neural Decoding of Auditory Spatial Decisions Using Choice Probability and Machine Learning
[NO] 86/184 | SnakeMamba: A Lightweight CNN-Mamba Model for Interventional Device Segmentation in X-ray Fluoroscopy
[NO] 87/184 | Machine Learning-Enabled Personalized Stroke Risk Estimation with Visual Interpretation for Middle-Aged and Older Adults in China
[NO] 88/184 | A Survey on Human-AI Collaboration with Large Foundation Models
[NO] 89/184 | Proximal Policy Optimization for Latency-Aware Service Function Chain Placement in Edge-Enabled Networks
[NO] 90/184 | Bioinformatics in Viral Genome Research -- A Case Study of the Novel Coronavirus (SARS-CoV-2)
[NO] 91/184 | BCellCLIP: Cross-modal representation learning of B cell receptor repertoires and single-cell transcriptomes
[NO] 92/184 | A Simple SimNIBS-Compatible Mouse Head Model Construction Method and Its Application in TMS Simulation
[NO] 93/184 | Multi-scale Dilated Contrastive Feature Fusion Learning Based on Graph and Image Convolutions for Spatial Domain Identification in Spatial Transcriptomics (MFF)
[NO] 94/184 | YOLOv9-Based Anomaly Detection for Student Health-Related Behaviors Using Heterogeneous Campus Data
[NO] 95/184 | Deep Learning-Assisted Identification of Post-Translational Modification Regulatory Networks in Myocardial Fibrosis
[NO] 96/184 | Research on stem cell-like embryonic models based on artificial intelligence: technical approach, applications and prospects
[YES] 97/184 | HGFuzzer: Directed Greybox Fuzzing via Large Language Model
[NO] 98/184 | Objective Major Depressive Disorder Classification from Multi-site Resting-State fMRI Using a Signed Dual-Branch Graph Convolutional Network
[NO] 99/184 | Subtype-Specific Causal Brain Network Mechanisms in ADHD Using Directed Visibility Graphs
[NO] 100/184 | Evidence-Based Study on Low-Burden Digital Phenotyping for Precision Screening of Oral Anti-Obesity Drug Efficacy
[NO] 101/184 | Intelligent Computing-Based Prediction of Anatomy Course Learning Performance and Personalized Teaching
[NO] 102/184 | Edge-Enhanced Graph Attention Networks for Interpretable Molecular Toxicity Prediction
[NO] 103/184 | A Survey on Clustered Federated Learning: Taxonomy, Analysis and Applications
[NO] 104/184 | UMM: A Universal Medical Image Segmentation and Classification Model Integrating Spatial-Frequency Consistency Inpainting and Cross-Branch Feature Fusion
[NO] 105/184 | A Visual Analysis of Research Trends and a Comparative Review of Algae Removal Methods
[NO] 106/184 | Proceedings of the 19th ACM SIGPLAN International Haskell Symposium
[YES] 107/184 | Toward Explaining Large Language Models in Software Engineering Tasks
[NO] 108/184 | Pre-Exposure Prophylaxis Access Navigator: Creating a Comprehensive 'Application Cheat Sheet' for the Trillium Drug Program
[NO] 109/184 | Automatic Sleep Staging Method Based on Cardiopulmonary Features
[NO] 110/184 | Cooperation Regulation in Coupled Populations via Dynamic Aspiration and Justice Strategy
[NO] 111/184 | Visualization Analysis of Research Hotspots and Trends of TCM Constitution in Diabetic Patients Based on Clustering Algorithm
[NO] 112/184 | Compliance Challenges in International Medical Data Collaboration Projects: Focusing on US-EU-China Standard Differences
[NO] 113/184 | Research on Gallstone Prediction and Management System Based on Explainable Machine Learning and Counterfactual Inference
[NO] 114/184 | DEM Simulation of Carrier Particle Delivery and Deposition in the Respiratory Tract
[NO] 115/184 | A Data-Driven Computational Framework for Multi-Target Mechanism Discovery of the Xiakucao-Zhebeimu-Sanqi Herb Pair in Hyperthyroidism
[NO] 116/184 | MPSAM: A Cardiac Ultrasound Four-Chamber Segmentation Model Based on the Fusion of MedSAM2 and Path Aggregation Network
[NO] 117/184 | Effects of Different Treatments with Ganoderma lucidum and Rhodococcus glutinis on the Fermentation of Stems: A PCA- and Clustering-Based Multivariate Analysis
[NO] 118/184 | Protein Language Models for Synthetic Biology: Transformer Paradigms and DBTL-Oriented Engineering Workflows
[NO] 119/184 | Clinical Prediction of Digestive System Diseases using Large Language Model Instruction Tuning
[NO] 120/184 | Coercive Subtyping for Implicit Functorial Programming
[NO] 121/184 | What Needs Attention? Prioritizing Drivers of Developers’ Trust and Adoption of Generative AI
[NO] 122/184 | The Next 700 Block-Based Editors (Keynote)
[NO] 123/184 | A Cache Modeling Framework for Accelerator Systems
[NO] 124/184 | Structure-Based Optimization Strategies for Enhancing Targeting Specificity of Small-Molecule Immunomodulators
[NO] 125/184 | TransE-MDTI: A Few-Shot Transfer Learning Framework for Mutation-Sensitive Drug-Target Interaction Prediction
[NO] 126/184 | Construction of an Exploratory Diagnostic Model for Long COVID Based on Single-cell Transcriptomics and Machine Learning
[NO] 127/184 | Decoupling Spatial Appearance and Temporal Physiological Dynamics for Remote Photoplethysmography
[NO] 128/184 | ProtMS: Multi-level Structural Representation Learning for Protein Inverse Folding via Selective Space Graph Networks
[NO] 129/184 | Dynamic study of plant community adaptation to drought under nonlinear programming model
[NO] 130/184 | Automatic Epileptic Seizure Detection Using a Non-overlapping Dilated Attention-based 1D Convolutional Neural Network
[NO] 131/184 | Feature Generation and In-Context Learning for Incomplete Multimodal Survival Analysis
[NO] 132/184 | CloudMicroHaskell
[NO] 133/184 | AutoTRIBE: the integrated software for analysis of RNA edits
[NO] 134/184 | DNA Logic Gates Based on the Strategy of Assembling DNAzyme Catalytic Core
[NO] 135/184 | Unveiling the Link: A Comprehensive Bioinformatics Analysis of Shared Pathogenic Genes and Mechanisms Between Periodontitis and Depression
[NO] 136/184 | A Study on Prognostic Evaluation Methods for Severe Pediatric Pneumonia Based on Retrospective Data Analysis
[NO] 137/184 | Transformer Model-Driven Targeted Sequencing Data Mining for Pathogens in Childhood Community-Acquired Pneumonia (CAP)
[NO] 138/184 | Comorbidity Recognition Research Based on Feature Selection
[NO] 139/184 | Facing Yourself: A Proxemic Approach to Self-Dyadic Interactions in VR
[YES] 140/184 | LAMDA: Leveraging Large Language Models for Better API Misuse Detection via Multi-Agent Collaboration
[NO] 141/184 | What Have We Learned about Dependently Typed Programming from Haskell? (Keynote)
[NO] 142/184 | Design of an Early Warning Model for Severe Sepsis Based on Temporal Feature Mining
[NO] 143/184 | Unveiling the Landscape of Biobank Usage in Academic research: A Comprehensive Text Analysis
[NO] 144/184 | Optimizing the Timing of NIPT and Fetal Abnormality Assessment Based on Statistical Models
[NO] 145/184 | SGL-UNet: Pushing the Boundary of Extreme Lightweight Segmentation for Point-of-Care Biliary Atresia Screening
[YES] 146/184 | Cross-Model Collaboration for Enhancing LLM-Based Code Generation
[NO] 147/184 | From Explanations to Architecture: Explainability-Driven CNN Refinement for Brain Tumor Classification in MRI
[NO] 148/184 | Site Selection for High-Grade Glioma Clinical Drug Trials Using Multi-Criteria Decision Analysis
[NO] 149/184 | Quantifying and Filtering MDA-Introduced Chimeric Artifacts to Improve Structural Variation Detection in Single-Cell Genomics
[NO] 150/184 | Transcriptomic and Immune Infiltration Analysis Reveals the Role of SPI1/CTSS Co-activation in Defining a Myeloid Inflammatory State and Its Associated IFN-γ-related Immune Modules in Lower-Grade Glioma
[NO] 151/184 | A Genome-Wide Association Analysis of Resistant Starch and Related Traits in 383 Populations of Wheat (Triticum aestivum L.) from China and Pakistan
[NO] 152/184 | CEQ-IVA-Based Method for Artifact Suppression in Deep Sleep Stage EEG
[NO] 153/184 | Design and Application of an Intelligent Integrated Management Platform for Operating Rooms in Smart Hospitals
[NO] 154/184 | Tri-Modal Transformer Network with Clinical-Guided Multi-Scale Fusion for Alzheimer' s Disease Classification
[NO] 155/184 | Investigating the Specificity of Acupuncture on Jianshi and Zhigou: Evidence from a Resting-State fMRI Study on Functional Connectivity
[NO] 156/184 | Memory-Safe Hierarchical Planning for Hybrid-Parallel Transformer Training
[NO] 157/184 | Evaluation of Feature Selection Methods for High-Dimensional Gene Expression Data with Small Sample Sizes
[NO] 158/184 | A Study on the Impact of Continuous Nursing Intervention Based on Risk Stratification Algorithm on Self-Care Ability of Stoma Patients
[NO] 159/184 | Research of Electromyographic Signal Features during Upper Limb Movement in Post-Stroke Patients
[NO] 160/184 | ZC3HAV1 as a Novel Prognostic Biomarker and Potential Therapeutic Target for Esophageal Cancer
[NO] 161/184 | Single-Cell Transcriptomic Profiling Reveals Systemic Immune Dysregulation in Peripheral Blood Mononuclear Cells of Pancreatic Ductal Adenocarcinoma Patients
[NO] 162/184 | A Reproducible R Pipeline for Traumatic Brain Injury Burden Analytics in China Using GBD 1990-2021
[NO] 163/184 | Simulation of Neuronal Spiking Models in the Primary Auditory Cortex
[NO] 164/184 | A Matrix-Addressable Microneedle System for Controlled Drug Release
[NO] 165/184 | An Oral Microbiome Antimicrobial Peptide Resource via Large-Scale Genome Mining and Multi-Property Screening
[NO] 166/184 | Lightweight Single-Channel EEG Sleep Stage Classification Based on the Mamba Module and Bidirectional RNN
[NO] 167/184 | Exploration of Medication Regularities of Patented Chinese Medicinal Compound Prescriptions Containing Thorowax Root for Depression
[NO] 168/184 | MultiGAI: Global Attention-Based Integration of Single-Cell Multi-Omics with Batch-Effects Correction
[NO] 169/184 | A Survey on Cybersecurity Threats in Industrial and Information Technology Environments: Advancements and Resilience Through Network Steganographic Techniques
[NO] 170/184 | Research on Dynamic Regulation of T Cell Immune Signaling Pathways Based on Deep Reinforcement Learning
[NO] 171/184 | Exploring the Impact of MDA-Introduced Chimeras on Structural Variation Detection in Single-Cell Long-Read Sequencing
[NO] 172/184 | A Coarse-to-Fine SFF-Transformer 3D Registration Algorithm for Intraoperative Image Navigation in Spine Surgery
[NO] 173/184 | A CiteSpace-Based Visual Analysis on Traditional Chinese Medicine Regulating Gut Microbiota for Disease Treatment
[NO] 174/184 | Design of Intelligent Medical Laboratory Data Management System Based on IoT
[NO] 175/184 | State-Aware Dynamic Graph Learning with Mamba-Based Temporal Modeling for ASD Classification
[NO] 176/184 | A Prediction Model for Optimal Sampling Timing in Male Fetal NIPT Integrating Dual-Feature K-Means Clustering and CNN-LSTM Time Series Modeling
[NO] 177/184 | In Silico Discovery of Novel SARS-CoV-2 Mpro Inhibitors through Virtual Screening
[NO] 178/184 | Multi-scale Teacher Distillation for Ultra-lightweight Skin Lesion Segmentation in Mobile Scenarios
[NO] 179/184 | TEFNet: Texture-Edge-Frequency Guided Lightweight Network for Medical Image Classification
[NO] 180/184 | DGRNA: a long-context RNA foundation model with bidirectional attention Mamba2
[NO] 181/184 | Designing for Nature, Time and History: Novel Locative Technologies for Multilayered Heritage
[NO] 182/184 | Structure-Derived Bottleneck-Aware Scheduling for Multitasking MCM-GPUs
[NO] 183/184 | Pain-Adapter: A Parameter-Efficient Adaptation Network for Facial Video-based Pain Assessment
[NO] 184/184 | Research on AI-based Clinical Decision Support System for TCM Diagnosis and Treatment of Diabetic Kidney Disease (DKD)
筛选完成：共 184 篇；Yes = 5 篇；已保存到 papers/select_paper2026-08-22.json。
邮件发送成功！
[2026-08-23 11:40:31] 任务执行成功！
