[2026-01-16 09:15:31] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-01-15
正在获取论文...
[arXiv] 2026-01-15 | Are Language Models Models?
[arXiv] 2026-01-15 | Noise-Resilient Quantum Evolution in Open Systems through Error-Correcting Frameworks
[arXiv] 2026-01-15 | Topology-Aware Block Coordinate Descent for Qubit Frequency Calibration of Superconducting Quantum Processors
[arXiv] 2026-01-15 | Graph Regularized PCA
[arXiv] 2026-01-15 | GFM4GA: Graph Foundation Model for Group Anomaly Detection
[arXiv] 2026-01-15 | Reinforcement Learning to Discover a NorthEast Monsoon Index for Monthly Rainfall Prediction in Thailand
[arXiv] 2026-01-15 | A Neuroevolution Potential for Gallium Oxide: Accurate and Efficient Modeling of Polymorphism and Swift Heavy-Ion Irradiation
[arXiv] 2026-01-15 | Alterbute: Editing Intrinsic Attributes of Objects in Images
[arXiv] 2026-01-15 | MatchTIR: Fine-Grained Supervision for Tool-Integrated Reasoning via Bipartite Matching
[arXiv] 2026-01-15 | Scalable Spin Squeezing in Power-Law Interacting XXZ Models with Disorder
[arXiv] 2026-01-15 | Grounding Agent Memory in Contextual Intent
[arXiv] 2026-01-15 | Late-time acceleration without a vacuum term in ${f(R,L_m)}$ gravity: scaling deSitter dynamics and parameter constraints
[arXiv] 2026-01-15 | The Impact of Generative AI on Architectural Conceptual Design: Performance, Creative Self-Efficacy and Cognitive Load
[arXiv] 2026-01-15 | Increasing the opening speed of the plasma opening switch on an direct action accelerator with an inductive energy storage device
[arXiv] 2026-01-15 | Measuring Affinity between Attention-Head Weight Subspaces via the Projection Kernel
[arXiv] 2026-01-15 | Combined analysis of the singly-Cabbibo-suppressed decays of $D^{0} \to VP$
[arXiv] 2026-01-15 | The Spatial Blindspot of Vision-Language Models
[arXiv] 2026-01-15 | Algebraic Properties of PAC Codes
[arXiv] 2026-01-15 | UEOF: A Benchmark Dataset for Underwater Event-Based Optical Flow
[arXiv] 2026-01-15 | Representation-Aware Unlearning via Activation Signatures: From Suppression to Knowledge-Signature Erasure
[arXiv] 2026-01-15 | Shifted bilinear sums of Salié sums and the distribution of modular square roots of shifted primes
[arXiv] 2026-01-15 | On Quaternionic Fock Spaces: Kernel-induced Integral Operators, Berezin Transforms and Toeplitz Operators
[arXiv] 2026-01-15 | Fano threefolds of genus 12 with large automorphism group in positive and mixed characteristic
[arXiv] 2026-01-15 | Systemically Designed Degrees for Real-World Challenges: A case study on Physics curriculum design at Loughborough University
[arXiv] 2026-01-15 | On Necessary and Sufficient Conditions for Fixed Point Convergence: A Contractive Iteration Principle
[arXiv] 2026-01-15 | Detecting Winning Arguments with Large Language Models and Persuasion Strategies
[arXiv] 2026-01-15 | Counterdiabatic driving for random-gap Landau-Zener transitions
[arXiv] 2026-01-15 | Influential Training Data Retrieval for Explaining Verbalized Confidence of LLMs
[arXiv] 2026-01-15 | Cosmoglobe DR2. VI. Disentangling hot and cold thermal dust emission with Planck HFI
[arXiv] 2026-01-15 | STEM: Scaling Transformers with Embedding Modules
[arXiv] 2026-01-15 | On subradically sifted sums related to Alladi's higher order duality between prime factors
[arXiv] 2026-01-15 | Classification Imbalance as Transfer Learning
[arXiv] 2026-01-15 | Basis-Spline Assisted Coded Computing: Strategies and Error Bounds
[arXiv] 2026-01-15 | Malcev classification for the variety of left-symmetric algebras
[arXiv] 2026-01-15 | Fundamental Limits of Multi-User Distributed Computing of Linearly Separable Functions
[arXiv] 2026-01-15 | Institutional AI: A Governance Framework for Distributional AGI Safety
[arXiv] 2026-01-15 | Search for sub-GeV dark particles in $η\toπ^0+\rm{invisible}$ decay
[arXiv] 2026-01-15 | Improving Database Performance by Application-side Transaction Merging
[arXiv] 2026-01-15 | From aggressive to conservative early stopping in Bayesian group sequential designs
[arXiv] 2026-01-15 | Searching for Quantum Effects in the Brain: A Bell-Type Test for Nonclassical Latent Representations in Autoencoders
[arXiv] 2026-01-15 | Adversarial Evasion Attacks on Computer Vision using SHAP Values
[arXiv] 2026-01-15 | Comparison of viscosity solutions for a class of non-linear PDEs on the space of finite nonnegative measures
[arXiv] 2026-01-15 | Canceling Effects of Conjunctions Render Higher Order Mean Motion Resonances Weak
[arXiv] 2026-01-15 | On Zalcman's and Bieberbach conjectures
[arXiv] 2026-01-15 | From Single to Multi-Agent Reasoning: Advancing GeneGPT for Genomics QA
[arXiv] 2026-01-15 | Electro-optic frequency comb Doppler thermometry
[arXiv] 2026-01-15 | Kolmogorov Arnold Networks and Multi-Layer Perceptrons: A Paradigm Shift in Neural Modelling
[arXiv] 2026-01-15 | SDN-Driven Innovations in MANETs and IoT: A Path to Smarter Networks
[arXiv] 2026-01-15 | Hybrid Encryption with Certified Deletion in Preprocessing Model
[arXiv] 2026-01-15 | Diagnosing Generalization Failures in Fine-Tuned LLMs: A Cross-Architectural Study on Phishing Detection
[arXiv] 2026-01-15 | Some Eigenvalue Inequalities for the Schrödinger Operator on Integer Lattices
[arXiv] 2026-01-15 | Nested hyperedges promote the onset of collective transitions but suppress explosive behavior
[arXiv] 2026-01-15 | Reply to "Comment on Nuclear Fusion 66, 016012 (2026) by Richard Fitzpatrick, A Simple Model of Current Ramp-Up and Ramp-Down in Tokamaks" by A.H. Boozer
[arXiv] 2026-01-15 | Comprehensive parameter and electrochemical dataset for a 1 Ah graphite/LNMO battery cell for physical modelling as a blueprint for data reporting in battery research
[arXiv] 2026-01-15 | DR-Arena: an Automated Evaluation Framework for Deep Research Agents
[arXiv] 2026-01-15 | Semiparametric inference for inequality measures under nonignorable nonresponse using callback data
[arXiv] 2026-01-15 | Model See, Model Do? Exposure-Aware Evaluation of Bug-vs-Fix Preference in Code LLMs
[arXiv] 2026-01-15 | Optimized readout strategies for neutral atom quantum processors
[arXiv] 2026-01-15 | Malliavin Calculus for the stochastic Cahn-Hilliard equation driven by fractional noise
[arXiv] 2026-01-15 | Analysis and Experimental Demonstration of Amplitude Amplification for Combinatorial Optimization
[arXiv] 2026-01-15 | DeFlow: Decoupling Manifold Modeling and Value Maximization for Offline Policy Extraction
[arXiv] 2026-01-15 | Charged Simpson-Visser AdS Black Holes: Geodesic Structure and Thermodynamic Properties
[arXiv] 2026-01-15 | AI Sycophancy: How Users Flag and Respond
[arXiv] 2026-01-15 | Architectural Classification of XR Workloads: Cross-Layer Archetypes and Implications
[arXiv] 2026-01-15 | ChartComplete: A Taxonomy-based Inclusive Chart Dataset
[arXiv] 2026-01-15 | Erasure conversion for singlet-triplet spin qubits enables high-performance shuttling-based quantum error correction
[arXiv] 2026-01-15 | NSR-Boost: A Neuro-Symbolic Residual Boosting Framework for Industrial Legacy Models
[arXiv] 2026-01-15 | Alertissimo -- a tool for orchestration of LSST broker streams
[arXiv] 2026-01-15 | The SpinPulse library for transpilation and noise-accurate simulation of spin qubit quantum computers
[arXiv] 2026-01-15 | The transformation mechanisms among cuboctahedra, Ino's decahedra and icosahedra structures of magic-size gold nanoclusters
[arXiv] 2026-01-15 | Spinodal decomposition in filled polymer blends exhibiting upper critical solution temperature behavior
[arXiv] 2026-01-15 | The eigenvalues and eigenvectors of finite-rank normal perturbations of large rotationally invariant non-Hermitian matrices
[arXiv] 2026-01-15 | Reinforcement Learning with Multi-Step Lookahead Information Via Adaptive Batching
[arXiv] 2026-01-15 | LLMdoctor: Token-Level Flow-Guided Preference Optimization for Efficient Test-Time Alignment of Large Language Models
[arXiv] 2026-01-15 | An effective interactive brain cytoarchitectonic parcellation framework using pretrained foundation model
[arXiv] 2026-01-15 | A proof of Alexander's conjecture on an inequality of Cassels
[arXiv] 2026-01-15 | Toward Ultra-Long-Horizon Agentic Science: Cognitive Accumulation for Machine Learning Engineering
[arXiv] 2026-01-15 | Scale Collapse of Vortices at Porous-Fluid Interfaces
[arXiv] 2026-01-15 | Multiaccess Coded Caching with Heterogeneous Retrieval Costs
[arXiv] 2026-01-15 | Handling Missing Modalities in Multimodal Survival Prediction for Non-Small Cell Lung Cancer
[arXiv] 2026-01-15 | RSA-Bench: Benchmarking Audio Large Models in Real-World Acoustic Scenarios
[arXiv] 2026-01-15 | Advanced Manufacturing with Renewable and Bio-based Materials: AI/ML workflows and Process Optimization
[arXiv] 2026-01-15 | Online identification of nonlinear time-varying systems with uncertain information
[arXiv] 2026-01-15 | Towards Efficient Low-rate Image Compression with Frequency-aware Diffusion Prior Refinement
[arXiv] 2026-01-15 | Fine-Grained Human Pose Editing Assessment via Layer-Selective MLLMs
[arXiv] 2026-01-15 | Inverse Learning in $2\times2$ Games: From Synthetic Interactions to Traffic Simulation
[arXiv] 2026-01-15 | Capillary Slinky: Equilibrium and Dynamics of Droplets in a Soft Spring
[arXiv] 2026-01-15 | A compact Optical Liquid Argon Facility at Roma Tre
[arXiv] 2026-01-15 | An Itô Formula via Predictable Projection for Non-Semimartingale Processes
[arXiv] 2026-01-15 | Joint Bayesian inference of Earth's magnetic field and core surface flow on millennial timescales
[arXiv] 2026-01-15 | Agent Skills in the Wild: An Empirical Study of Security Vulnerabilities at Scale
[arXiv] 2026-01-15 | An analytic theory of convolutional neural network inverse problems solvers
[arXiv] 2026-01-15 | Computer Generation of Disordered Networks with Targeted Structural Properties
[arXiv] 2026-01-15 | On the characterization of geometric distance-regular graphs
[arXiv] 2026-01-15 | On the Capacity of Noisy Frequency-based Channels
[arXiv] 2026-01-15 | SRAW-Attack: Space-Reweighted Adversarial Warping Attack for SAR Target Recognition
[arXiv] 2026-01-15 | Boundary-Aware NL2SQL: Integrating Reliability through Hybrid Reward and Data Synthesis
[arXiv] 2026-01-15 | On Force Interactions for Electrodynamics-Like Theories
[arXiv] 2026-01-15 | Single-Feed Circularly Polarized Super Realized Gain Antenna
[arXiv] 2026-01-15 | New Upper Bounds on the Ribbonlength of Alternating Links with Bipartite Dual Graphs
[arXiv] 2026-01-15 | Physics with next generation neutrino experiments: ESSnuSB
[arXiv] 2026-01-15 | Three-dimensional compact Heterotic solitons with parallel torsion
[arXiv] 2026-01-15 | Pulse thermal imaging of FUHAO bronze artifact
[arXiv] 2026-01-15 | XuanJia: A Comprehensive Virtualization-Based Code Obfuscator for Binary Protection
[arXiv] 2026-01-15 | Controllability score for linear time-invariant systems on an infinite time horizon
[arXiv] 2026-01-15 | X-SAM: Boosting Sharpness-Aware Minimization with Dominant-Eigenvector Gradient Correction
[arXiv] 2026-01-15 | Cell Behavior Video Classification Challenge, a benchmark for computer vision methods in time-lapse microscopy
[arXiv] 2026-01-15 | Attend to what I say: Highlighting relevant content on slides
[arXiv] 2026-01-15 | Unrefinable Partitions into Distinct Parts and Numerical Semigroups
[arXiv] 2026-01-15 | STEAMROLLER: A Multi-Agent System for Inclusive Automatic Speech Recognition for People who Stutter
[arXiv] 2026-01-15 | Introduction to optimization methods for training SciML models
[arXiv] 2026-01-15 | Power and Control in Complex Networks: A Taxonomy and Critical Review
[arXiv] 2026-01-15 | Entanglement in $\text{T}\bar{\text{T}}$ and root-$\text{T}\bar{\text{T}}$ deformed AdS$_3$/CFT$_2$
[arXiv] 2026-01-15 | One Instruction Does Not Fit All: How Well Do Embeddings Align Personas and Instructions in Low-Resource Indian Languages?
[arXiv] 2026-01-15 | On the average-case complexity of learning states from the circular and Gaussian ensembles
[arXiv] 2026-01-15 | Model Predictive Control of Thermo-Hydraulic Systems Using Primal Decomposition
[arXiv] 2026-01-15 | Comprehensive Molecular-level Understanding of MgO Hydration through Computational Chemistry
[arXiv] 2026-01-15 | Characteristics of drift effects in the quasi-geostrophic equation arising from nonlinear symmetry
[arXiv] 2026-01-15 | Discrete versus continuous -- lattice models and their exact continuous counterparts
[arXiv] 2026-01-15 | HyMGP: A Customized MILP-Based Tool for Techno-Economic Planning of Islanded Microgrids
[arXiv] 2026-01-15 | What Gets Activated: Uncovering Domain and Driver Experts in MoE Language Models
[arXiv] 2026-01-15 | ToolSafe: Enhancing Tool Invocation Safety of LLM-based agents via Proactive Step-level Guardrail and Feedback
[arXiv] 2026-01-15 | Fluctuation-induced quenching of chaos in quantum optics
[arXiv] 2026-01-15 | Understanding and Preserving Safety in Fine-Tuned LLMs
[arXiv] 2026-01-15 | Density of States of Ru3 and Pt3 Clusters Supported on Sputter-Deposited TiO2
[arXiv] 2026-01-15 | VQ-Seg: Vector-Quantized Token Perturbation for Semi-Supervised Medical Image Segmentation
[arXiv] 2026-01-15 | Direct Detection of Type II-P Supernova Progenitors with the Euclid and CSST Surveys
[arXiv] 2026-01-15 | Advanced Encryption Technique for Multimedia Data Using Sudoku-Based Algorithms for Enhanced Security
[arXiv] 2026-01-15 | Skill-Aware Data Selection and Fine-Tuning for Data-Efficient Reasoning Distillation
[arXiv] 2026-01-15 | Fuzzychain-edge: A novel Fuzzy logic-based adaptive Access control model for Blockchain in Edge Computing
[arXiv] 2026-01-15 | Using rapid rotators as tracers of multiplicity statistics as a function of stellar density
[arXiv] 2026-01-15 | Multilingual-To-Multimodal (M2M): Unlocking New Languages with Monolingual Text
[arXiv] 2026-01-15 | V-Zero: Self-Improving Multimodal Reasoning with Zero Annotation
[arXiv] 2026-01-15 | Difficulty-guided Sampling: Bridging the Target Gap between Dataset Distillation and Downstream Tasks
[arXiv] 2026-01-15 | Is MT Ready for the Next Crisis or Pandemic?
[arXiv] 2026-01-15 | Electroluminescence in dopant-free GaAs/AlGaAs single heterojunctions: 2D free excitons, H-band, and the tidal effect
[arXiv] 2026-01-15 | Nearest Kronecker Product Decomposition Based Subband Adaptive Filter: Algorithms and Applications
[arXiv] 2026-01-15 | ReaMIL: Reasoning- and Evidence-Aware Multiple Instance Learning for Whole-Slide Histopathology
[arXiv] 2026-01-15 | S$^2$F: Principled Hybrid Testing With Fuzzing, Symbolic Execution, and Sampling
[arXiv] 2026-01-15 | Geometric Criteria for Complete Mode Conversion in Detuned Systems via Piecewise-Coherent Modulation
[arXiv] 2026-01-15 | Long-Chain Reasoning Distillation via Adaptive Prefix Alignment
[arXiv] 2026-01-15 | A Compute and Communication Runtime Model for Loihi 2
[arXiv] 2026-01-15 | Macroscopic dynamics of quadratic integrate-and-fire neurons subject to correlated noise
[arXiv] 2026-01-15 | EHRNavigator: A Multi-Agent System for Patient-Level Clinical Question Answering over Heterogeneous Electronic Health Records
[arXiv] 2026-01-15 | Weyl magnetoplasma waves in magnetic Weyl semimetals
[arXiv] 2026-01-15 | Clustering-Based User Selection in Federated Learning: Metadata Exploitation for 3GPP Networks
[arXiv] 2026-01-15 | Memo-SQL: Structured Decomposition and Experience-Driven Self-Correction for Training-Free NL2SQL
[arXiv] 2026-01-15 | SoK: Privacy-aware LLM in Healthcare: Threat Model, Privacy Techniques, Challenges and Recommendations
[arXiv] 2026-01-15 | Extremum Seeking Nonovershooting Control of Strict-Feedback Systems Under Unknown Control Direction
[arXiv] 2026-01-15 | Towards Native Intelligence: 6G-LLM Trained with Reinforcement Learning from NDT Feedback
[arXiv] 2026-01-15 | In-the-Wild Compliant Manipulation with UMI-FT
[arXiv] 2026-01-15 | Stochastic Calculus for Rough Fractional Brownian Motion via Operator Factorization
[arXiv] 2026-01-15 | aiPlato: A Novel AI Tutoring and Step-wise Feedback System for Physics Homework
[arXiv] 2026-01-15 | Three Months in the Life of Cloud Quantum Computing
[arXiv] 2026-01-15 | Emergence and transition of incompressible phases in decorated Landau levels
[arXiv] 2026-01-15 | WildRayZer: Self-supervised Large View Synthesis in Dynamic Environments
[arXiv] 2026-01-15 | Euclid preparation. 3D reconstruction of the cosmic web with simulated Euclid Deep spectroscopic samples
[arXiv] 2026-01-15 | See Less, Drive Better: Generalizable End-to-End Autonomous Driving via Foundation Models Stochastic Patch Selection
[arXiv] 2026-01-15 | Madelung hydrodynamics of spin-orbit coupling: action principles, currents, and correlations
[arXiv] 2026-01-15 | Constant-Depth Unitary Preparation of Dicke States
[arXiv] 2026-01-15 | Improved Constructions of Reed-Solomon Codes with Optimal Repair Bandwidth
[arXiv] 2026-01-15 | Synchronizing Probabilities in Model-Driven Lossless Compression
[arXiv] 2026-01-15 | A Mirror-Descent Algorithm for Computing the Petz-Rényi Capacity of Classical-Quantum Channels
[arXiv] 2026-01-15 | Nonlinear quantum Kibble-Zurek ramps in open systems at finite temperature
[arXiv] 2026-01-15 | The hidden structure of innovation networks
[arXiv] 2026-01-15 | Synchronization with Annealed Disorder and Higher-Harmonic Interactions in Arbitrary Dimensions: When Two Dimensions Are Special
[arXiv] 2026-01-15 | Optimal lower bound for quantum channel tomography in away-from-boundary regime
[arXiv] 2026-01-15 | Breaking Up with Normatively Monolithic Agency with GRACE: A Reason-Based Neuro-Symbolic Architecture for Safe and Ethical AI Alignment
[arXiv] 2026-01-15 | Random matrix theory universality of current operators in spin-$S$ Heisenberg chains
[arXiv] 2026-01-15 | CURVE: A Benchmark for Cultural and Multilingual Long Video Reasoning
[arXiv] 2026-01-15 | Risk and Monotone Comparative Statics without Independence
[arXiv] 2026-01-15 | Geometric Aspects of Entanglement Generating Hamiltonian Evolutions
[arXiv] 2026-01-15 | Transforming Crises into Opportunities: From Chaos to Urban Antifragility
[arXiv] 2026-01-15 | Multi-Property Synthesis
[arXiv] 2026-01-15 | RoutIR: Fast Serving of Retrieval Pipelines for Retrieval-Augmented Generation
[arXiv] 2026-01-15 | HII regions in NGC 628: the view of two catalogs
[arXiv] 2026-01-15 | Measuring the Coronal Magnetic Field with 2D Coronal Seismology: A Forward-Modeling Validation
[arXiv] 2026-01-15 | WEAVE imaging spectroscopy of NGC 6720: an iron bar in the Ring
[arXiv] 2026-01-15 | Molecularly Thin Polyaramid Nanomechanical Resonators
[arXiv] 2026-01-15 | Differentially Private Inference for Longitudinal Linear Regression
[arXiv] 2026-01-15 | Beyond Hubbard: the role of correlated hopping interaction in superconductors and quantum dot devices
[arXiv] 2026-01-15 | A universal Bochner formula for scalar curvature
[arXiv] 2026-01-15 | Quantitative surgery and total mean curvature
[arXiv] 2026-01-15 | On the geometry of aggregate snowflakes
[arXiv] 2026-01-15 | RSATalker: Realistic Socially-Aware Talking Head Generation for Multi-Turn Conversation
[arXiv] 2026-01-15 | Translating database mathematical schemes into relational database software applications with MatBase
[arXiv] 2026-01-15 | High-fidelity stellar extinction with Gaia and APOGEE -- I. The method and a new extinction curve
[arXiv] 2026-01-15 | Mind the gap: A real-valued distance on combinatorial games
[arXiv] 2026-01-15 | Canonical Vorticity Perspective on Magnetogenesis: Unifying Weibel, Biermann, and Beyond
[arXiv] 2026-01-15 | Process-Guided Concept Bottleneck Model
[arXiv] 2026-01-15 | Learning Latency-Aware Orchestration for Parallel Multi-Agent Systems
[arXiv] 2026-01-15 | Chebyshev Accelerated Subspsace Eigensolver for Pseudo-hermitian Hamiltonians
[arXiv] 2026-01-15 | causalfe: Causal Forests with Fixed Effects in Python
[arXiv] 2026-01-15 | DeepUrban: Interaction-Aware Trajectory Prediction and Planning for Automated Driving by Aerial Imagery
[arXiv] 2026-01-15 | Numerical simulations of oscillating and differentially rotating neutron stars
[arXiv] 2026-01-15 | Linear independence properties of the signature components of time-augmented stochastic processes
[arXiv] 2026-01-15 | Defending Large Language Models Against Jailbreak Attacks via In-Decoding Safety-Awareness Probing
[arXiv] 2026-01-15 | Mixtures of Transparent Local Models
[arXiv] 2026-01-15 | Error-Correcting Codes for Two Bursts of t1-Deletion-t2-Insertion with Low Computational Complexity
[arXiv] 2026-01-15 | Smoothness of martingale observables and generalized Feynman-Kac formulas
[arXiv] 2026-01-15 | Network Integrated Sensing and Communication
[arXiv] 2026-01-15 | Topologically switchable transport in a bundled cable of wires
[arXiv] 2026-01-15 | Three realization problems about univariate polynomials
[arXiv] 2026-01-15 | A Safety Report on GPT-5.2, Gemini 3 Pro, Qwen3-VL, Doubao 1.8, Grok 4.1 Fast, Nano Banana Pro, and Seedream 4.5
[arXiv] 2026-01-15 | Transformer-Based Cognitive Radio: Adaptive Modulation Strategies Using Transformer Models
[arXiv] 2026-01-15 | Emergence of unconventional magnetic order in strain-engineered RuO2/TiO2 superlattices
[arXiv] 2026-01-15 | Incipient modulated phase in Sr$_{1-x}$Ca$_{x}$TiO$_3$
[arXiv] 2026-01-15 | Testing three models of cognitive stress effects: A psychopharmacological randomized controlled trial of acute stress and stress hormones across visual perception, response inhibition and cognitive flexibility
[arXiv] 2026-01-15 | AEQ-Bench: Measuring Empathy of Omni-Modal Large Models
[arXiv] 2026-01-15 | SatMap: Revisiting Satellite Maps as Prior for Online HD Map Construction
[arXiv] 2026-01-15 | A New Construction Structure on Coded Caching with Linear Subpacketization: Non-Half-Sum Latin Rectangle
[arXiv] 2026-01-15 | Coded Caching for Combinatorial Multi-Access Hotplug Networks from $t$-Designs
[arXiv] 2026-01-15 | Projected Microbatch Accumulation yields reference-free proximal policy updates for reinforcement learning
[arXiv] 2026-01-15 | Magnetic field-induced phases in a model S=1 Haldane chain system
[arXiv] 2026-01-15 | High-Dimensional Analysis of Gradient Flow for Extensive-Width Quadratic Neural Networks
[arXiv] 2026-01-15 | From Weibel seeds to collisionless dynamos beyond pair-plasmas
[arXiv] 2026-01-15 | Joint Source-Channel Coding for ISAC: Distortion Tradeoffs and Separation Theorems
[arXiv] 2026-01-15 | Localization Landscape in Non-Hermitian and Floquet quantum systems
[arXiv] 2026-01-15 | Subjective evaluation of UHD video coded using VVC with LCEVC and ML-VVC
[arXiv] 2026-01-15 | Modeling mental health trajectories during the COVID-19 pandemic using UK-wide data in the presence of sociodemographic variables
[arXiv] 2026-01-15 | Umbral theory and the algebra of formal power series
[arXiv] 2026-01-15 | Non-Intrusive Hyperreduction by a Physics-Augmented Neural Network with Second-Order Sobolev Training
[arXiv] 2026-01-15 | Observation of Light-Driven Levitation Near Epsilon-Near-Zero Surfaces
[arXiv] 2026-01-15 | LADFA: A Framework of Using Large Language Models and Retrieval-Augmented Generation for Personal Data Flow Analysis in Privacy Policies
[arXiv] 2026-01-15 | Tight bounds on recurrence time in closed quantum systems
[arXiv] 2026-01-15 | Spectroscopic follow-up of Gaia alerted Young Stellar Object variables: the Large Binocular Telescope view
[arXiv] 2026-01-15 | Discrete Feynman-Kac Correctors
[arXiv] 2026-01-15 | A Geometric Multigrid Preconditioner for Shifted Boundary Method
[arXiv] 2026-01-15 | Algebraic Farkas Lemma and Strong Duality for Perturbed Conic Linear Programming
[arXiv] 2026-01-15 | Learning Hamiltonians in the Heisenberg limit with static single-qubit fields
[arXiv] 2026-01-15 | Global Context Compression with Interleaved Vision-Text Transformation
[arXiv] 2026-01-15 | Active Galactic Nuclei and STaR fOrmation in Nearby Galaxies (AGNSTRONG). II: Results for Jetted Type-I AGNs with Strong Ionized Gas Outflows
[arXiv] 2026-01-15 | Topology-Directed Silicide Formation: An Explanation for the Growth of C49-TiSi$_2$ on the Si(100) Surface
[arXiv] 2026-01-15 | FastStair: Learning to Run Up Stairs with Humanoid Robots
[arXiv] 2026-01-15 | On UC-multipliers for multiple trigonometric systems
[arXiv] 2026-01-15 | PLGC: Pseudo-Labeled Graph Condensation
[arXiv] 2026-01-15 | Model-Agnostic and Uncertainty-Aware Dimensionality Reduction in Supervised Learning
[arXiv] 2026-01-15 | Realistic prospects for testing a relativistic local quantum measurement inequality
[arXiv] 2026-01-15 | Como medir o invisível? Guerras, pizzarias do Pentágono e o uso de variáveis proxy em econometria
[arXiv] 2026-01-15 | Waring's problem for pseudo-polynomials
[arXiv] 2026-01-15 | Nonsingular Cosmologies in Presence of String Cloud
[arXiv] 2026-01-15 | SuS: Strategy-aware Surprise for Intrinsic Exploration
[arXiv] 2026-01-15 | Training-Trajectory-Aware Token Selection
[arXiv] 2026-01-15 | On gradient stability in nonlinear PDE models and inference in interacting particle systems
[arXiv] 2026-01-15 | Conjugate Gradient Methods are Not Efficient: Experimental Study of the Locality Limitation
[arXiv] 2026-01-15 | Flavour hierarchies from radiative corrections in latticed theory space
[arXiv] 2026-01-15 | Evidence-Augmented Policy Optimization with Reward Co-Evolution for Long-Context Reasoning
[arXiv] 2026-01-15 | Effect of Primordial Black Holes on the global 21-cm signal
[arXiv] 2026-01-15 | Multipath Routing for Multi-Hop UAV Networks
[arXiv] 2026-01-15 | Reasoning Hijacking: Subverting LLM Classification via Decision-Criteria Injection
[arXiv] 2026-01-15 | Quantum bianisotropy in light-matter interaction
[arXiv] 2026-01-15 | On holonomy groups of K-contact sub-pseudo-Riemannian manifolds
[arXiv] 2026-01-15 | How disc initial conditions sculpt the atmospheric composition of giant planets
[arXiv] 2026-01-15 | SCRamble: Adaptive Decentralized Overlay Construction for Blockchain Networks
[arXiv] 2026-01-15 | MoST: Mixing Speech and Text with Modality-Aware Mixture of Experts
[arXiv] 2026-01-15 | Sim2Real Deep Transfer for Per-Device CFO Calibration
[arXiv] 2026-01-15 | Error-Correcting Codes for the Sum Channel
[arXiv] 2026-01-15 | Developer Interaction Patterns with Proactive AI: A Five-Day Field Study
[arXiv] 2026-01-15 | Critical time of the almost 2-regular random degree constrained process
[arXiv] 2026-01-15 | Restoring similarity in randomized Krylov methods with applications to eigenvalue problems and matrix functions
[arXiv] 2026-01-15 | coTherapist: A Behavior-Aligned Small Language Model to Support Mental Healthcare Experts
[arXiv] 2026-01-15 | Loop as a Bridge: Can Looped Transformers Truly Link Representation Space and Natural Language Outputs?
[arXiv] 2026-01-15 | Who Owns the Text? Design Patterns for Preserving Authorship in AI-Assisted Writing
[arXiv] 2026-01-15 | Synchronization and Hopf Bifurcation in Stuart--Landau Networks
[arXiv] 2026-01-15 | Tables or Sankey Diagrams? Investigating User Interaction with Different Representations of Simulation Parameters
[arXiv] 2026-01-15 | Optimizing Multimodal LLMs for Egocentric Video Understanding: A Solution for the HD-EPIC VQA Challenge
[arXiv] 2026-01-15 | Integral Variable Range Hopping for Modeling Electrical Transport in Disordered Systems
[arXiv] 2026-01-15 | Robust and Generalizable Atrial Fibrillation Detection from ECG Using Time-Frequency Fusion and Supervised Contrastive Learning
[arXiv] 2026-01-15 | PRL: Process Reward Learning Improves LLMs' Reasoning Ability and Broadens the Reasoning Boundary
[arXiv] 2026-01-15 | Exponential Analysis for Entanglement Distillation
[arXiv] 2026-01-15 | A Highly Magnetic Ultra Massive White Dwarf with a 23-minute Rotation Period
[arXiv] 2026-01-15 | Classification and design of two-dimensional altermagnets
[arXiv] 2026-01-15 | CC-OR-Net: A Unified Framework for LTV Prediction through Structural Decoupling
[arXiv] 2026-01-15 | Quadrupole transitions of $^{10}$C and their isospin symmetry with $^{10}$Be
[arXiv] 2026-01-15 | Towards Online Malware Detection using Process Resource Utilization Metrics
[arXiv] 2026-01-15 | AWED-FiNER: Agents, Web applications, and Expert Detectors for Fine-grained Named Entity Recognition across 36 Languages for 6.6 Billion Speakers
[arXiv] 2026-01-15 | MHub.ai: A Simple, Standardized, and Reproducible Platform for AI Models in Medical Imaging
[arXiv] 2026-01-15 | Leveraging Digital Twin Technologies: All-Photonics Networks-as-a-Service for Data Center Xchange in the Era of AI [Invited Tutorial]
[arXiv] 2026-01-15 | Microwave Kerr/Faraday Resonance in Two-dimensional Chiral Superconductors
[arXiv] 2026-01-15 | New Second-order Convergent Schemes for Solving decoupled FBSDEs
[arXiv] 2026-01-15 | Comparison of SCAN+U and r2SCAN+U for Charge Density Wave Instability and Lattice Dynamics in CuTe
[arXiv] 2026-01-15 | History Is Not Enough: An Adaptive Dataflow System for Financial Time-Series Synthesis
[arXiv] 2026-01-15 | A new contraction principle on the perimeters of triangles and related results
[arXiv] 2026-01-15 | Step-by-Step Causality: Transparent Causal Discovery with Multi-Agent Tree-Query and Adversarial Confidence Estimation
[arXiv] 2026-01-15 | A volume penalization method for solving conjugate scalar transport with interfacial jump conditions
[arXiv] 2026-01-15 | Redundancy-Driven Top-$k$ Functional Dependency Discovery
[arXiv] 2026-01-15 | TopoDIM: One-shot Topology Generation of Diverse Interaction Modes for Multi-Agent Systems
