[2026-07-21 22:56:55] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-20
正在获取论文...
[arXiv] 2026-07-20 | On the Impact of Stability and the Helly Property on the Dominating Set Problem
[arXiv] 2026-07-20 | A Predict-then-Schedule framework for Power Distribution Networks with AI Data Centers
[arXiv] 2026-07-20 | Maximal Eventually Different Families of Computable Functions
[arXiv] 2026-07-20 | Fractal Turán-Nazarov Inequality and Observability for Schrödinger Equations
[arXiv] 2026-07-20 | Pailitao-MMSearch: Building Native E-Commerce Multimodal Search Foundation
[arXiv] 2026-07-20 | LLM-Driven Cross-Paradigm Design for Quantum Optimal Control
[arXiv] 2026-07-20 | A Serre-type criterion for $n$-Gorenstein rings and its application to Nakayama algebras
[arXiv] 2026-07-20 | Linear Probing with Non-Greedy Insertions
[arXiv] 2026-07-20 | The intersection of two linear sets of rank 3 in PG(1,q^3)
[arXiv] 2026-07-20 | Supply Chain Networks
[arXiv] 2026-07-20 | Evidence for elemental diffusion in the eclipsing binary star AI Phoenicis
[arXiv] 2026-07-20 | Receiver-Centered Robot-to-Human Handover with Grasp-Aware Object Orientation
[arXiv] 2026-07-20 | Faster and simpler traversal of 0/1-polytopes
[arXiv] 2026-07-20 | ClouDens: Operational Context-Aware Anomaly Detection for Large-scale Cloud System Monitoring
[arXiv] 2026-07-20 | Topological Signatures of Context-Level Reliability in TabPFN
[arXiv] 2026-07-20 | OR Else: A Differentiable Trust Region for Policy Optimization
[arXiv] 2026-07-20 | Intracluster light and dark matter halo shapes reflect common assembly, not mutual coupling: shape correspondence in CDM but not SIDM
[ACM] 2026-7-20 | Reasoning About Hidden Hybrid Assumptions in Assured Temporal Missions
[IEEE] 2026-7-20 | Local and Distant Frame Context Aggregation Network for Video inpainting with application to Object Removal
[IEEE] 2026-7-20 | Compensation for Deep Learning Latency in UAV Vision-Based Control using Analytical Tuning
[IEEE] 2026-7-20 | SAR Active Jamming Evaluation Based on YOLOv13
[IEEE] 2026-7-20 | Sensitivity Analysis of Transmission Tower-Line Systems Under Tornado
[IEEE] 2026-7-20 | Reconciling Between Presumption of Innocence and Reverse Burden of Proof in Cyber Crime Cases: Role of AI and Blockchain Evidence
[IEEE] 2026-7-20 | Research on the Situation Awareness and Potential Evaluation Method of New Distribution Network Secondary Operation Based on Artificial Intelligence
[IEEE] 2026-7-20 | Detecting Fake News with Machine Learning: A Comparative Study of Classification Algorithms
[IEEE] 2026-7-20 | Deep Learning Based Forest Fire prediction from Images Using Transfer Learning Models
[IEEE] 2026-7-20 | Research on Day-ahead Assessment Method for Reactive Power Support Capacity in Active Distribution Networks
[IEEE] 2026-7-20 | Explainable Sentence-Level Self-Correction for Hallucination Mitigation in Medical Question Answering Using Large Language Models
[IEEE] 2026-7-20 | Design of Smart Pod for Enhancing Infant Comfort in Aircraft Cabins
[IEEE] 2026-7-20 | Comprehensive demand response strategy for low-carbon buildings for Low-Carbon economy operation
[IEEE] 2026-7-20 | The Weighted Information Storage Bit-Flipping Decoder for Generalized LDPC Codes
[IEEE] 2026-7-20 | Accelerating Large Language Models: A Hardware Perspective
[IEEE] 2026-7-20 | Spatiotemporal Graph Learning for Active Constraint Identification in Transmission-Constrained Unit Commitment
[IEEE] 2026-7-20 | Segmentation-Constrained Geometric Picking (SCGP): A Two-Stage Hybrid Method for Cucumber Harvesting Point Localization
[IEEE] 2026-7-20 | Standardized construction of smart construction sites for power transmission line projects based on dynamic data aggregation and AIoT collaboration
[IEEE] 2026-7-20 | Governed Negotiation for Human-Centric Disruption-Aware Railway Dispatching in Flatland: Methodology and Pilot Validation
[IEEE] 2026-7-20 | Measurement of the Rat Brain Magnetic Field Signals with a SERF Atomic Magnetometer
[IEEE] 2026-7-20 | Nondestructive evaluation method for transformer insulation paper aging based on frequency domain dielectric spectroscopy
[IEEE] 2026-7-20 | Field-Circuit Coupled Analysis of Grounding Grid Corrosion Considering Nonlinear Polarization
[IEEE] 2026-7-20 | Privacy-Conscious WiFi Traffic Classification Using non-DPI Features
[IEEE] 2026-7-20 | A Finite Element Simulation-Based Thermal Reliability Analysis Methodology for High-Density Au Bump Flip-Chip Interconnected RF Microsystems
[IEEE] 2026-7-20 | Robust Direction-of-Arrival Estimation Based on Vision Transformer
[IEEE] 2026-7-20 | Research on Flexible Resource Integration in Medium- and Low-Voltage Distribution Networks
[IEEE] 2026-7-20 | Research on Sun Avoidance Strategies for Remote Sensing Satellites with Oblique-cut Baffles in Highly Elliptical Orbit
[IEEE] 2026-7-20 | Research on Evolutionary Game and Revenue Optimization of Free-riding Behavior for Distributed Tasks in Consortium Blockchains
[IEEE] 2026-7-20 | Towards an Integrated CRC Risk Prediction using Machine Learning - Driven Digital Twin Framework
[ACM] 2026-7-21 | Reflex: A Bi-Modal Failure Recovery Mechanism for Clusters under Control-Plane Degradation
[ACM] 2026-7-21 | HyLink: Harnessing PCIe and Dedicated Interconnects for Efficient Collective Communication
[ACM] 2026-7-21 | Does Humanizing Chatbots Promote or Hinder Voice Shopping?
[ACM] 2026-7-21 | Untangling Graphs on Surfaces
[ACM] 2026-7-21 | Multivariate Exploration of Metric Dilation
[ACM] 2026-7-21 | The Default Speaker: Why Neutral Conversational AI is a Myth Worth Retiring
[ACM] 2026-7-20 | QUIC as Multiplexing Layer in WebRTC
[IEEE] 2026-7-20 | Enhanced One-Dimensional Space Vector Modulation (OD-SVM) for Cascaded H-Bridge Multilevel Inverters Under Unequal DC Sources
[IEEE] 2026-7-20 | Realistic Multi-Step Counterfactual Explanations for Learning-Based 2D LiDAR Robot Control
[IEEE] 2026-7-20 | A Dual-Core Decoupling Phase Shifting Transformer with Near-Ideal Regulation Region
[IEEE] 2026-7-20 | Optimization of 3D-DRAM Architecture with Oxide-Semiconductor Channel through Process and Device Simulation
[IEEE] 2026-7-20 | 2026 1st International Conference on Human Centric Artificial Intelligence (ICHCAI)
[IEEE] 2026-7-20 | A sample selecting reinforcement learning domain adaptation framework for train bogie fault diagnosis under data quality fluctuation
[IEEE] 2026-7-20 | Optimal Distributed Formation-Containment Control of Air-Ground Systems Using A Dual-Policy Iteration Switching Mechanism
[IEEE] 2026-7-20 | Engineering a TM-MSB With Built-In TE Suppression Mechanism for Polarization Selective Sensing Applications.
[IEEE] 2026-7-20 | Leaky-Mode Generation by Means of All-Metal Corrugated Slotted Parallel-Plate Waveguides
[IEEE] 2026-7-20 | ICEI 2025 Cover Page
[IEEE] 2026-7-20 | Applied Category Theory for Formalizing Architecture, Behavior and Design of Complex Systems: A Survey
[ACM] 2026-7-21 | Visual Loop: Bridging the Cognitive Gap in Software Development Through Visual-AI Collaboration
[IEEE] 2026-7-21 | MVRL: A Multi-stage Training Framework for Value Alignment and Hallucination Suppression in Large Language Models
[IEEE] 2026-7-21 | BlueMesh — Optimized Sensor Network For Reliable Pipeline Fault Detection
[IEEE] 2026-7-21 | A Robust Control Framework for Smooth Operation of PV-Integrated Weak Grids
[IEEE] 2026-7-21 | Sparsity-Aware Fault Tolerance for Reliable CNN Inference on GPUs
[IEEE] 2026-7-21 | Localized DBR-Based Transparent Green Micro-LEDs on Polished Sapphire
[IEEE] 2026-7-20 | Cross-modal Semantic Relevance is An Efficient Gatekeeper for Audio-Visual Video Parsing
[IEEE] 2026-7-20 | ORDR-DETR: Objectness-Guided Query Ranking and Detail Refinement for Fine-Grained Object Detection
[IEEE] 2026-7-21 | Static Compliance Analysis and Control for Tendon-Pneumatic Hybrid-Driven Soft Actuators
[IEEE] 2026-7-21 | Health-Aware Joint Optimization of Lithium-Ion Battery Dispatch, PV Reactive Power Control, and Distribution Network Reconfiguration
[IEEE] 2026-7-21 | BioFast: An Efficient Privacy-Preserving Face Verification Protocol from FHE and Cryptographic Hash Functions
[IEEE] 2026-7-21 | Guest Editorial
[IEEE] 2026-7-21 | When Data Trading Meets Secure Computation
[IEEE] 2026-7-21 | A Machine Learning Based Approach for Fast Demand Characterization of Digraph Tasks
[IEEE] 2026-7-21 | A Cross-lingual Topic–Sentiment Modeling Framework for Multilingual Short Text Analysis
[IEEE] 2026-7-21 | Torque Ripple Reduction for High-Power PMSG Based on Non-Uniform Air-gap and Magnetic Slot Wedges
[IEEE] 2026-7-21 | Discrete-Time Stochastic Feedback Stabilization in Distribution for Hybrid Systems
[IEEE] 2026-7-21 | LesionTrack: Interpretable Longitudinal Lesion Progression Modeling
[IEEE] 2026-7-21 | PRMVAI 2026 Cover Page
[IEEE] 2026-7-20 | In-Context Model Predictive Generation: Open-Vocabulary Motion Synthesis from Language Models to Physics
[IEEE] 2026-7-21 | Auction-Based SLA-Aware Task Offloading in Fog-Cloud Systems: A Trace-Driven Queueing Study
[IEEE] 2026-7-21 | A Scalable IoT- Digital Twin Framework for Sustainable Smart City Water Distribution
[IEEE] 2026-7-21 | Botnet Communication Pattern Detection in IoT Environments Using Transformer-Based Autoencoders
[IEEE] 2026-7-21 | A Task-Driven Multimodal Joint Denoising Purification Network for Robust UAV Individual Identification
[IEEE] 2026-7-21 | A Cross-Modal 3D Reconstruction Method for Port Bulk Cargo Based on Semantic Mask and LiDAR Point Cloud Filtering
[IEEE] 2026-7-21 | Electromagnetic-Induction-Based Breakpoint Sensing in Two-Mesh Grounding Grid Model via Faulty Mesh Self-Resonance
[IEEE] 2026-7-21 | Early Stabilization of Model Performance Ranking in CNNs and Optimal Epoch Determination
[IEEE] 2026-7-21 | RGB-T Semantic Segmentation with Cross-Modal Feature Fusion Based on the Segment Anything Model
[IEEE] 2026-7-21 | Machine Learning-Assisted Evolutionary Model Predictive Control for Nonlinear Systems
[IEEE] 2026-7-21 | ICIPAI 2026 Cover Page
[IEEE] 2026-7-21 | Human Action Recognition Algorithm Based on YOLO and Convolutional Neural Networks
[IEEE] 2026-7-21 | Porosity Analysis of PA6/CA Nanofiber Membranes for Filtration Applications: A Comparative Study of Experimental and Image Processing-Based Automated Image Segmentation Methods
[IEEE] 2026-7-21 | An IoT-Enabled Intelligent Hoarding Detection Framework for Real-Time Prevention of Artificial Price Inflation in Supply Chains
[IEEE] 2026-7-21 | Graph Neural Network with LCMV-Constrained Optimization for Lesion-Level Tumor Classification from MR Images
[IEEE] 2026-7-21 | Uncertainty Quantification for Robotic Visual Perception: A Focused Review
[IEEE] 2026-7-20 | IEEE Guide for Stray Current Corrosion Mitigation for DC Rail Transit Systems
[IEEE] 2026-7-21 | ASENS 2026 TOC
[IEEE] 2026-7-21 | Research on Objective Sound Quality Parameters of Noise for IPMSMs in New Energy Vehicles
[IEEE] 2026-7-21 | PainOS: A Theoretical Framework for Integrated Closed-Loop Pain Management Combining PainOme Sweat Biomarker Analysis, NociMap-AI Nociceptive Mapping, and Adaptive TENS
[IEEE] 2026-7-21 | Frugal Cardiopulmonary Sensor Fusion: Algorithmic Evaluation of SpO2 and ECG for Edge-Based Sleep Apnea Triage
[IEEE] 2026-7-21 | Short-Term Power Load Forecasting Based on SSA and Adaboost-Enhanced TCN-GRU
[IEEE] 2026-7-21 | Multi-Prototype Face and Body Integration for Automated Attendance Tracking in Educational Settings
[IEEE] 2026-7-21 | ANPC Three-Level Traction Inverter Loss Analysis
[IEEE] 2026-7-21 | A Feature-Enhanced Weak Object Detection Algorithm for UAV Imagery
[IEEE] 2026-7-21 | Modeling the Impact of Multisensory Stimulation on Human Emotional and Cognitive Responses under an Artificial Intelligence Framework
[IEEE] 2026-7-21 | Cellular Automata Based Hardware Efficient Spiking Neural Network Architecture
[IEEE] 2026-7-21 | Trust-Adaptive Byzantine Consensus in Dynamic Vehicular Networks
[IEEE] 2026-7-20 | A Low-Profile and High-Efficiency GRIN Lens Antenna for Wide-Angle Multi-Beam Radiation
[IEEE] 2026-7-21 | Fine-Grained Underwater Visual Search Using a Hybrid-Driven Robotic Fish With Ultrawide FoV Vision
[IEEE] 2026-7-21 | Beyond the Limit: A Transformer-Based Approach to Analyze Wide and Non-Sparse Wireless Signals
[IEEE] 2026-7-20 | Flying over Dynamism: Predictive Intelligence and Evolutionary Optimization for Multi-UAV Crowdsensing
[IEEE] 2026-7-20 | SEGFLOW: High-Performance Routing in Payment Channel Networks via Network Partitioning
[IEEE] 2026-7-20 | Heterogeneity-agnostic AI/ML-assisted beam selection for multi-panel arrays
[IEEE] 2026-7-20 | mmFallBbox: An Effective and Efficient Fall Detection Framework with a Comprehensive Benchmark
[IEEE] 2026-7-20 | Programmable Bidirectional Visible-to-SWIR Photoresponse in a Dual-Gate Ferroelectric WSe
                    <sub>2</sub>
                    Homojunction Phototransistor
[IEEE] 2026-7-20 | Hybrid CNN–BiLSTM Framework with Quantum-Inspired Attention Mechanism for Underwater Acoustic Signal Classification
[IEEE] 2026-7-20 | Rate Optimization for Integrated Energy-Harvesting, Sensing and Covert Communication Systems
[IEEE] 2026-7-20 | Multimodal Optical–SEM Image Retrieval for Defect Root Cause Analysis in Semiconductor
[IEEE] 2026-7-20 | Physically Interpretable Three-Phase Jump Planning and Experimental Validation for a 200 kg-Class Wheel-Legged Robot
[ACM] 2026-7-20 | Multiplexing Synchronized Media and Interactive Feeds over MOQ Transport: a Dual-Pipe Approach
[IEEE] 2026-7-20 | Intelligent Detection Plan Generation via Integrated Imitation and Reinforcement Learning
[IEEE] 2026-7-20 | Reclosing Decision Method Based on Voltage Response Characteristics and Bayesian Optimized Random Foreste
[IEEE] 2026-7-20 | Probabilistic optimal scheduling of community integrated energy systems based on interval linear stochastic chance-constrained programming
[IEEE] 2026-7-20 | Competing Electroforming-Based Memristor Array Physical Unclonable Function for Image Encryption
[IEEE] 2026-7-20 | Design Analysis of an Online Monitoring System for Generator Slip Ring Carbon Brush Condition
[IEEE] 2026-7-20 | An Efficient LLR Update Module for Layered QC-LDPC Decoding in 5G RedCap
[IEEE] 2026-7-20 | Off-grid dual-axis photovoltaic system design for residential load
[IEEE] 2026-7-20 | Constant-Envelope Phase Embedding for Radar-First Dual-Function Systems
[IEEE] 2026-7-20 | Privacy-Preserving Edge AI Framework for Real-Time Student Engagement in Virtual Learning Environments
[IEEE] 2026-7-20 | Design, Modeling, and Simulation of a Lower-Limb Bipedal Robot with Four-Bar Knee Mechanism
[IEEE] 2026-7-20 | A Consumer Decision Modeling Framework for Influence Marketing of Lifestyle Products
[IEEE] 2026-7-20 | Explainable Fake News Detection via Transformers and SHAP for Media Literacy
[IEEE] 2026-7-20 | A Cross-Chain Blockchain Framework for Distributed Energy Coordination
[IEEE] 2026-7-20 | Self-Destructing IoT Data Using Time-Locked Encryption and Machine Learning–Based Access Control
[IEEE] 2026-7-20 | Explainability-Oriented Semantic Validation for Digital Product Passports in Industrial Systems
[IEEE] 2026-7-20 | Wavelet-Based Timing Synchronization for Frequency-Hopping MIMO Radar-Based Communications
[IEEE] 2026-7-20 | Multi-Condition Prediction of Pumped-Storage Transformer Winding Temperature Based on PSO-Optimized SA-LSTM Network
[IEEE] 2026-7-20 | Lightweight Integrity Auditing for IoT Cloud Data Based on Lattice Hash and Smart Contract
[IEEE] 2026-7-20 | Adsorption Evolution of Asphaltenes at the Oil– Water Interface and Water-Chain Bridging under a High-Voltage Electric Field: A Molecular Dynamics Study
[IEEE] 2026-7-20 | A Comprehensive Analysis of Parametric Approaches to DOA Estimation for Robotics
[IEEE] 2026-7-20 | Motion Visual Multimodal Video Forgery Classification and Localization
[IEEE] 2026-7-20 | Structuring Clinical Heart Failure Data with Locally Deployed OpenSource LLMs
[IEEE] 2026-7-20 | GSPA-3D: Geometric-Semantic Prototype Augmentation for 3D FSCIL
[IEEE] 2026-7-20 | Memristor-based Low-Power Intelligent Recognition System for Chinese Herbal Medicine
[IEEE] 2026-7-20 | Machine Learning Framework for Product Rating and Price Prediction on a Flipkart Retail Product
[IEEE] 2026-7-20 | Subcarrier-Level OFDM Waveform Optimization for Integrated Sensing and Communications
[IEEE] 2026-7-20 | Implications of Incumbent Radar Operations on 5G-NR Link Integrity: An Experimental Analysis in the Citizens Broadband Radio Service Band
[IEEE] 2026-7-20 | Coexistence of Wi-Fi 6E and 5G NR-U: Experimental Performance Analysis and Novel Interference Detection Model
[IEEE] 2026-7-20 | Neural Network and Disturbance Observer Based Backstepping Control for Disturbance Suppression of Permanent Magnet Linear Synchronous Motor
[IEEE] 2026-7-20 | Opportunistic Environmental Sensing via 5G ISAC in Emerging Networks: A Framework for Resource-Constrained Urban Deployments
[IEEE] 2026-7-20 | A Quantitative Methodology for Real-Time Measurement of Human-AI Shared Situation Awareness
[ACM] 2026-7-21 | COOPASY: Cooperative Asynchronous Rate-Redundancy Control for Video Conferencing over High-RTT Weak Networks
[ACM] 2026-7-21 | Enabling Efficient All-Dimension Top-k Sparsification for High-Performance Distributed DNN Training Systems
[ACM] 2026-7-21 | Towards Pedagogy-Grounded Conversational AI Tutors for Interest-Based Learning
[ACM] 2026-7-21 | On the Complexity of Establishing Hereditary Graph Properties via Vertex Splitting
[ACM] 2026-7-21 | Whose Values? Demographic Influences on Perceptions of Conversational AI Value Alignment
[ACM] 2026-7-21 | Innovation and Practice of the “Three-Semester System” Reform in Universities Based on Data Platforms and Big Data Analytics: A Case Study of Wuhan University of Technology's “Summer Excellence Academy”
[ACM] 2026-7-21 | GNN-Enhanced Affective Computing Algorithm for Therapeutic Space Layout Optimization in Waterfront Communities
[ACM] 2026-7-21 | Deconstructing the “Depth Trap” of RTAs: A Computational Analysis Approach
[IEEE] 2026-7-21 | A Security Authentication Scheme for 5G Railway Mobile Edge Computing Network Based on NTRU Lattice Theory
[IEEE] 2026-7-21 | SwinR-UNet: A Hybrid Architecture for High-Precision Recognition and Width Calculation of Rural Highways
[IEEE] 2026-7-21 | Securing Union-Based Type Punning in C-to-Rust Translation
[IEEE] 2026-7-20 | Comprehensive Evaluation of the CYGNSS V3.2 Soil Moisture Product
[IEEE] 2026-7-21 | Safety in Controls [President’s Message]
[IEEE] 2026-7-21 | Laboratory Investigation of SAR and Interferometric SAR Responses to Soil Moisture Dynamics
[IEEE] 2026-7-20 | Towards an Asymptotic Efficiency Theory on Regular Parameter Manifolds
[IEEE] 2026-7-21 | SplitNN-FL: A Privacy-Preserving Hybrid Framework for Distributed Medical Diagnosis
[IEEE] 2026-7-21 | Design of a City-Level MSME Product Website as a Medium for Promotion and Competitiveness Enhancement
[IEEE] 2026-7-21 | MIRA-Care: Multi-modal Intent Reasoning and Adaptive Control in Smart Healthcare via Distributed Multi-Agent Reinforcement Learning
[IEEE] 2026-7-21 | Epilepsy Identification using SVM, CNN- based Machine Learning Approach
[IEEE] 2026-7-21 | U-Net-Driven Sky Segmentation from Fisheye Images for Satellite State Characterization
[IEEE] 2026-7-21 | Artificial Intelligence–Driven Hospital Supply Chain Optimization: A Systematic Review
[IEEE] 2026-7-21 | NET-LC 2026 Cover Page
[IEEE] 2026-7-21 | A Machine Learning Framework for Constitutional Delay Prediction and Governance Analytics
[IEEE] 2026-7-21 | Performance Evaluation of Hypervisors: A Comprehensive Benchmarking Study on VMware, Xen, and KVM
[IEEE] 2026-7-21 | Convolutional Neural Networks for Skin Disease Analysis and Treatment Decision Support System
[IEEE] 2026-7-21 | A Hybrid Intelligence Framework for Cyber Threat Classification Forecasting and Scenario Generation
[IEEE] 2026-7-21 | Predicting Electric Vehicle Energy Consumption Using Machine Learning: A Comparative Study of Regression and Neural Network Approaches on Large-Scale Real-World Data
[IEEE] 2026-7-21 | Cross-Attention Hybrid CNN–Transformer for Robust Multi-Magnification Breast Cancer Histopathology Classification
[IEEE] 2026-7-21 | Navigating the Ethics: First-Year Students' Perspectives on AI Use in Higher Education
[IEEE] 2026-7-21 | Security of Medical Image Transmission in the Internet of Medical Things: Cryptographic Challenges and Solutions
[IEEE] 2026-7-21 | Addressing Dynamic and Socio-Technical Privacy Risks: A Position Paper on System Dynamics for Privacy-Risk Assessment
[IEEE] 2026-7-21 | Designing an Integrated Audit Work Program Based on Zero Trust Architecture: A Conceptual Framework for the Aerospace Industry
[IEEE] 2026-7-21 | Detection of Industrial Process Anomalies Using Isolation Forest and DBSCAN in a Real Manufacturing Environment
[IEEE] 2026-7-21 | Enhanced Garbage Detection Using CNN with EfficientViT and Hybrid Feature Fusion
[IEEE] 2026-7-21 | Courtroom AI: An Intelligent Lie Detection System using Facial Micro-Expressions and Voice Stress
[IEEE] 2026-7-21 | Corporate Case Study: Evaluation of ML and LLM-Based Approaches
[IEEE] 2026-7-21 | Controlled Analysis of Modality-Specific Robustness in Multimodal Visual Question Answering
[IEEE] 2026-7-21 | Interpretable Voltage Event Classification from Cycle-by-Cycle IEEE 1159 State Sequences in Substation Oscillograms
[IEEE] 2026-7-21 | Data-Driven Word-of-Mouth Optimization on Social Platforms: Multimodal Mining, User Segmentation, and Strategy Recommendation
[IEEE] 2026-7-21 | Collaborative Navigation for USVs: An Evolutionary-Reinforcement Approach with On-Demand Visual Intervention
[IEEE] 2026-7-21 | Quantum-Inspired Algorithms Enhancing Scalability and Accuracy in Large-Scale Predictive Big Data Analytics Systems
[IEEE] 2026-7-21 | P-APED: Prompt-Based Arabic Phishing Email Dataset
[IEEE] 2026-7-21 | BDPC 2026 Content Announcement Page
[IEEE] 2026-7-21 | A Study on Driver Facial Expression Recognition Method Based on a Lightweight Model
[IEEE] 2026-7-21 | HDE-CR: A Hybrid Deep Ensemble Framework for Explainable Crop Recommendation
[IEEE] 2026-7-21 | Security Architecture and Vulnerabilities of NFC Applications for Mobile Devices
[IEEE] 2026-7-21 | Density peak clustering-based multimodal multi-objective optimization for optimal reactive power dispatch
[IEEE] 2026-7-21 | Explainable Intrusion Detection Using SHAP- Driven Machine Learning: Toward Transparent Cyber Threat Classification
[IEEE] 2026-7-21 | GReaT: Gated Re-Aggregation Transformers for Fine-Grained Visual Recognition
[IEEE] 2026-7-21 | Hybrid Adaptive Quantum Particle Swarm Optimization for High-Resolution 2D DOA Estimation Under Adverse Conditions
[IEEE] 2026-7-21 | Response Surface Methodology (RSM) for Optimizing the Drying Process of Rengginang Products Using a Microcontroller-Based Dryer
[IEEE] 2026-7-21 | Efficient Multimodal Aneurysm Detection using 3-View MIPs and Present-Label Loss Upweighting
[IEEE] 2026-7-21 | Lagrangian Trajectory-Based Diagnosis Framework for Huang-Huai Cyclone Heavy Snowfall Classification and Forecasting
[IEEE] 2026-7-21 | Robotic Grasping Method Based on Rgb-D Visual Localization and Damped Pseudoinverse Motion Control
[IEEE] 2026-7-20 | Rigid and Dynamic Formation Tracking under Sensing Constraints
[IEEE] 2026-7-21 | Leakage-Aware Hybrid Machine Learning and Metaheuristic Optimization for Drug Addiction Relapse Prediction Using Iraqi Clinical Records
[IEEE] 2026-7-21 | ICCMT 2026 TOC
[ACM] 2026-7-20 | BoostState: Low-Latency State Transfer in Edge Cloud Using Programmable Data Planes
[IEEE] 2026-7-20 | Practical Consequences of FID–CLIP Disagreement in Low-Data Diffusion Model Fine-Tuning
[IEEE] 2026-7-20 | EyePreserve: Identity-Preserving Iris Synthesis
[IEEE] 2026-7-20 | Automated Parallel Test Forms Assembly using Integer Programming with Logistic Item Exposure Penalties to Balance the Number of Test Forms while Minimizing Item Exposure Bias
[IEEE] 2026-7-20 | Low-Cost SDR-Based FMCW Ground Penetrating Radar at 572 MHz Using a Reflector-Backed Bowtie Antenna for Subsurface Object Detection
[IEEE] 2026-7-20 | AI-Driven Virtual Planner for Project Management using RAG and Autonomous Agents
[IEEE] 2026-7-20 | A YOLOv8-Based Adaptive Threshold Segmentation and Context-Enhanced Detection Method for Foggy Traffic Scenarios
[IEEE] 2026-7-20 | RFLAM: Generative Modeling of Time-Varying Massive MIMO Channels for Factory-of-the-Future Environments
[IEEE] 2026-7-20 | Simulation Analysis of Energy Efficiency and Temperature Control Performance for Multiple Control Algorithms in Power Battery Thermal Management
[IEEE] 2026-7-20 | Research on Automatic Generation Method of Electrical Operation Tickets Based on Multi-Agent Collaboration
[IEEE] 2026-7-20 | Computational Modelling and Analysis of Foundation Flexibility on the Structural Response of Gravity Dams under Static Loads
[IEEE] 2026-7-20 | Optimal Configuration of Electric/Thermal Hybrid Energy Storage in Integrated Energy Systems Considering Carbon Emissions
[IEEE] 2026-7-20 | Hybrid Synchronization Control for Oscillation Damping and Stability Enhancement in Both Stiff and Weak Grids
[IEEE] 2026-7-20 | Variable-Length Sequence Learning with Difference Feature Augmentation for Cross-Owner EV Battery Fault Diagnosis
[IEEE] 2026-7-20 | A CycleGAN-Based Method for Generating Images of Snow Accretion on Transmission Lines
[IEEE] 2026-7-20 | A Comprehensive State-of-the-Art Review on Solving Flexible Job-Shop Scheduling using Deep Reinforcement Learning and Particle Swarm Optimization
[IEEE] 2026-7-20 | Dual-Branch Low-Light Image Enhancement Method Guided by Pixel-Level Estimated Illumination Maps
[IEEE] 2026-7-20 | Ensuring Human Safety and Accountability Through Data Management in Automated Driving
[IEEE] 2026-7-20 | A Spatially Constrained Graph Convolution Fusion Network for Hyperspectral Water Quality Inversion
[IEEE] 2026-7-20 | QL-STCG: A Q-Learning-Based Spatio-Temporal Conflict Graph MAC Protocol for UWSN
[IEEE] 2026-7-20 | A 35-75 GHz Flat Gain Power Amplifier in GaAs pHEMT Technology
[IEEE] 2026-7-20 | Machine Learning-Based Prediction of Covalent Organic Frameworks for Quasi-Solid-State Electrolytes in Lithium-Ion Batteries
[IEEE] 2026-7-20 | Impedance Modeling and Stability Analysis of Grid-Forming Doubly-Fed Induction Generators Based on Multi-Control Loop Structure
[IEEE] 2026-7-20 | A Task Repository for Inducing Errors in Mathematical Reasoning and a Reasoning Chain Attribution Platform
[IEEE] 2026-7-20 | Operation Strategy for Internet Data Centers Participating in Electricity Energy and Peak Regulation Market
[IEEE] 2026-7-20 | Reliability Allocation and Analysis of Electric Power System of Low Earth Orbit Microsatellite
[IEEE] 2026-7-20 | EfficientNet-B9-Based Deep Learning Framework for Accurate Prostate Cancer Detection Using mpMRI and Ultrasound Images
[IEEE] 2026-7-20 | From Lab to Clinic: An Industry Ready Hybrid Radiomics Framework for Alzheimer’s Detection
[IEEE] 2026-7-20 | Research on Performance Testing and Vector Control Model Optimization of Variable stroke Linear Compressor
[IEEE] 2026-7-20 | FPGA-based Musical Note Generator using a Single Rotary Encoder
[IEEE] 2026-7-20 | Responsible AI Sovereignty Model
[IEEE] 2026-7-20 | A Condition-Aware Hybrid Framework for Traffic Sign Recognition in Challenging Environments
[IEEE] 2026-7-20 | Vision-Based Global Localization for UAVs Using Deep Convolutional Neural Networks
[IEEE] 2026-7-20 | Decoding Deepfakes: Classification of Facial Manipulations and Emerging Generation Tools
[IEEE] 2026-7-20 | MS-ST-LiteFormer: A Spatio-Temporal Lightweight Network for Transformer Bolt Loosening Diagnosis via Visual Vibration
[IEEE] 2026-7-20 | Hybrid Evolutionary Algorithm Coupling a Greedy Algorithm with VNS for Solving a Rich VRP with Dynamic Demands and Vehicle Breakdowns
[ACM] 2026-7-21 | Sycophantic Metacognition: Investigating the Dunning-Kruger Effect in Large Language Model Self-Assessment
[ACM] 2026-7-21 | Context-Sensitive Conversational AI for Visually Impaired Adolescents: Scenarios from a Multi-Stakeholder Interview Study
[ACM] 2026-7-21 | Information systems applicationsIntegration of Grid Portrait, GIS Technology, and Machine Learning for Intelligent Tobacco Market Management
[ACM] 2026-7-21 | Research on Evaluating China's Low-Carbon Economic Development Level Based on Data Mining
[IEEE] 2026-7-20 | Understanding Police Officers’ Intentions to Adopt GenAI-Assisted Law Enforcement Tools: Extending the Theory of Planned Behavior and the Technology Acceptance Model
[IEEE] 2026-7-20 | LIBRAS-EQT-UECE: A Dataset for Isolated and Continuous Brazilian Sign Language Recognition and Translation
[IEEE] 2026-7-20 | IPCS 2026 TOC
[IEEE] 2026-7-20 | Input Sampling Delay Analysis and Optimization of Event-Triggered Chains with Data Refreshing
