[2026-09-18 23:54:09] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-09-17
正在获取论文...
[arXiv] 2026-09-17 | Converging Naming Styles, Persistent Network Locality: GitHub in the LLM Era
[IEEE] 2026-9-17 | Experimental Validation of Combined Imaging and Vibration Mitigation for High-Altitude Platforms
[IEEE] 2026-9-17 | Predictive Intelligence for Future Networks: The Promise of World Models for 6G
[IEEE] 2026-9-17 | ARM-SSM: Atrous Radio Map State Space Models for High-Resolution Wireless Environment Reconstruction
[IEEE] 2026-9-17 | TransNav: Transformer-Based End-to-End Navigation Method for Static and Dynamic Quadrotor Obstacle Avoidance_supp1-3734893.mp4
[IEEE] 2026-9-17 | A 9.75-Gb/s Matrix-Assisted Anchor-Decoding TPC Decoder for NAND Flash Memories
[ACM] 2026-9-17 | Training Machine Learning Models at the Edge: A Survey
[IEEE] 2026-9-17 | Comparative Evaluation of Advanced RAG Architectures for Medical Question Answering
[IEEE] 2026-9-17 | Design and Power Optimization of Array Multiplier using Brent-Kung Architecture
[IEEE] 2026-9-17 | Rover System for Casualty Assessment and Rescue Decision Support in Battlefield Environments
[IEEE] 2026-9-17 | AGSSA: Agentic Guardian System for SOC Analysts
[IEEE] 2026-9-17 | EfficientNet-B4 and Temporal Transformer Framework for Real-Time Wildlife Activity Recognition and Automated Alert Generation
[IEEE] 2026-9-17 | Implementing Vanadium Redox Flow Batteries for Industrial Energy Storage Applications
[IEEE] 2026-9-17 | Temporal Analysis and Prediction of Soil Surface Temperature using Infrared Biological Temperature Data
[IEEE] 2026-9-17 | LoRa-based Real-Time Industrial Safety Monitoring and Adaptive Emergency Control System for Smart Dewatering Systems
[IEEE] 2026-9-17 | TerraShield: Smart Underground Transmission Tower Corrosion Detection using TFR &amp; ERT
[IEEE] 2026-9-17 | Extending ViT-MADv2 for Diabetic Retinopathy vs Non-Diabetic Retinopathy Classification using Similarity-Guided Feature Fusion on Fundus Images
[IEEE] 2026-9-17 | A Hybrid CNN–BiLSTM Framework for Intelligent Animal Detection with Simulated IoT Alert Generation
[IEEE] 2026-9-17 | Design And Implementation of An Autonomous Distributed Crop Defense Alert System
[IEEE] 2026-9-17 | Activation Steering for Smart Contract Vulnerability Detection: A Calibration Mechanism Bounded by Pre-Training Knowledge
[IEEE] 2026-9-17 | Digital Twin of the Black Sea with an Integrated Hydrodynamic Model for Monitoring and Forecasting the Spread of Oil Spills
[ACM] 2026-9-18 | Research and Application of Rapid Recognition Technology for Tobacco Leaf Posture Based on YOLOv8
[ACM] 2026-9-18 | Multimodal TCM Seven-Emotion Recognition: A Three-Modality Joint Consultation Framework Based on LLMs and Cross-Attention Fusion
[ACM] 2026-9-18 | Research on the DRPW-GA Hybrid Algorithm for the Type II Assembly Line Balancing Problem in Aircraft Pulsating Assembly Lines
[ACM] 2026-9-18 | Research on Network Security Vulnerability Management Technology
[ACM] 2026-9-18 | Improving Infinitely Deep Bayesian Neural Networks with Nesterov's Accelerated Gradient Method
[ACM] 2026-9-18 | Layup Optimization and Torsional Stiffness Analysis of Carbon Fiber Monocoque Structure Based on NSGA-II
[ACM] 2026-9-18 | Learning Incentive Mechanisms in Multi-Sender Signaling Games
[ACM] 2026-9-18 | Design and Experimental Research on an Intelligent English Writing Evaluation Model Fusing Domain-Adaptive Topic Mining and Deep Neural Networks
[ACM] 2026-9-18 | A YOLO–VLM collaborative method for construction safety risk identification with quadruped robots
[ACM] 2026-9-18 | Hybrid CNN–LSTM Network for Fault Diagnosis of Rotating Machinery under Complex Operating Conditions
[IEEE] 2026-9-17 | Sustainable Green AI Architecture for Real-Time Tuberculosis Detection using Hybrid Deep Learning Models
[IEEE] 2026-9-17 | An AI-Assisted Adaptive Learning System with Real-Time Formative Adaptation for Enhanced Teaching and Learning
[IEEE] 2026-9-17 | Simulation of Processes in Synchronous Generator Loaded with an Asymmetrical Load
[IEEE] 2026-9-17 | Physical Layer Security Performance Analysis of MIMOME Systems Over Keyhole Channels
[ACM] 2026-9-18 | On the Role of Relay Cells in Information Propagation Speed for Dictyostelium Chemotaxis: An Agent-Based Modeling Study
[IEEE] 2026-9-18 | Research on IGDT-Based Trading Strategy Model for Independent Energy Storage Participating in Electricity Spot Market
[IEEE] 2026-9-18 | Shift-Based Augmented Coprime Array with Reduced Mutual Coupling Effect
[IEEE] 2026-9-17 | AR-Enhanced Navigation With Marker-Based Respiratory Gating for Percutaneous Thoracoabdominal Intervention
[IEEE] 2026-9-18 | A Scalable Deep Learning Framework for City-Scale Street Light Inventory Generation Using Google Street View
[IEEE] 2026-9-18 | Learning-Aided Privacy-Utility-Oriented Adaptive Rate Vector Quantization
[IEEE] 2026-9-18 | Decentralized Machine Learning for Healthcare: Survey on Disease Prognosis and Secure Communication Frameworks
[IEEE] 2026-9-18 | Warehouse Management Optimization Using a Multi-Objective Slotting Approach for Sustainable Operations
[IEEE] 2026-9-18 | Three-Dimensional Crosslinked PEG-Based Composite Phase Change Material for Enhanced Thermal Management in Electronic Packaging
[IEEE] 2026-9-18 | Computationally Driven Scheduling and Intervention Optimization for Smart Classrooms Using Causal Inference (CI) and Knowledge Graph Fusion (KGF)
[IEEE] 2026-9-18 | Green Generative Artificial Intelligence Driven Sustainable Engineering for Industry 4.0: Architectures, Applications, and Environmental Impact Assessment
[IEEE] 2026-9-18 | Automatic Built-Up Area Extraction Using Machine Learning Models in Google Earth Engine for Urban Growth Analysis
[IEEE] 2026-9-18 | Tunable Kirigami Condensers for Atmospheric Water Generation
[IEEE] 2026-9-18 | Innovative Vehicle Location Tracking and Traffic Analysis using Aerial Imagery Combined with Finite Basis Physics-Informed Neural Networks for Enhanced Urban Traffic Management
[IEEE] 2026-9-18 | Reliability Simulation Analysis of Voltage Reference Chip Under Thermal Cycling Loads
[IEEE] 2026-9-17 | Multi-LLM Ensemble Framework for Quality Assurance in AI-Generated Content: A Design Science Approach
[IEEE] 2026-9-18 | CardioSmart Analyzer: A Machine-Learning-based ECG Diagnostic System for Early Detection and Interpretation of Cardiovascular Disease
[IEEE] 2026-9-18 | An IoT and Time Series Forecasting Model for Sustainable Food Inventory Management
[IEEE] 2026-9-17 | The Effect of Artificial Intelligence on Climate and Environmental Education in UAE Schools
[IEEE] 2026-9-18 | High-Temperature Reliability Characterization and Aging Verification of Silver Sintered Bodies Based on Resistivity-Temperature Response
[IEEE] 2026-9-18 | Explainable AI for Fetal Health Classification Using Cardiotocography and Ultrasound
[IEEE] 2026-9-18 | Self-Supervised Transformer Model for Intelligent Predictive Disaster Risk Maintenance Through Early Alerts
[IEEE] 2026-9-18 | Interfacial Evolution and Electromigration Behavior of Cu–Ni–Cu–Sn Microbumps for Long-term Power Delivery in 3D IC Advanced Packaging
[IEEE] 2026-9-18 | Microstructure and Properties of Carbon/Cu Composites for Thermal Management Applications
[IEEE] 2026-9-18 | Research on PCB Thermal Simulation Model Optimization Based on Parameter Correlation Analysis
[IEEE] 2026-9-18 | Simulation of Laser-Textured Microstructure-Assisted Grinding of Silicon Carbide
[IEEE] 2026-9-18 | Chip-level Silicon Vapor Chamber with MEMS Micropillar Wick for Hotspot Cooling and g-Robust Operation
[IEEE] 2026-9-17 | Designing Sustainable Logistics Systems: Key Factors, Challenges, and Future Directions
[IEEE] 2026-9-18 | Multi-Metric Weighted Ensemble Method for Train Delay Prediction
[IEEE] 2026-9-18 | Industrial Automation Using Internet of Things: A Vision for Smart Industry
[IEEE] 2026-9-18 | Feedback-Optimized SLM Multifocus Arrays for Parallel Laser Microfabrication
[IEEE] 2026-9-18 | Explainable AI for Smart Agriculture: Advances in Field Monitoring, Disease Detection, and Precision Resource Management
[IEEE] 2026-9-18 | Study on the Influence of Different Censored Data Processing Methods on Solder Joint Thermal Fatigue Life Prediction Results
[IEEE] 2026-9-18 | QSAR for Vitamin D Receptor Ligands Prediction Through Machine Learning
[IEEE] 2026-9-18 | Assessment and Prioritization of Green Airport Strategies at Bandaranaike International Airport
[IEEE] 2026-9-18 | Implementation of Bidirectional Converter Fed SRM Drive in a Grid-Tied PV Water Pumping System for Agricultural Applications
[IEEE] 2026-9-18 | Multi-Field Coupled Simulation for Interposer in 2.5D Packaging Considering Field-to-Field Mapping Errors
[IEEE] 2026-9-18 | Investigation of the failure mechanism for delamination in conductive adhesive induced by protective adhesive layer based on simulation and verification
[IEEE] 2026-9-18 | Signal Integrity Characterization of Ultra-Fine Line RDL Interposer via Design, Simulation and Measurement
[IEEE] 2026-9-18 | Beyond the Motion-Lab: Low-Cost Fatigue Monitoring in Cycling via Deep Learning
[IEEE] 2026-9-18 | When Prices Double in a Week: Forecasting of Agricultural Volatility in Import-Isolated Markets
[IEEE] 2026-9-18 | Comparative Analysis of Thresholding Strategies for Contextual Anomaly Detection in Complex Logistics Delivery Processes
[IEEE] 2026-9-18 | Federated Learning-Based Privacy-Preserving Deepfake Detection Using Attention-Enhanced Convolutional Neural Networks
[IEEE] 2026-9-18 | Modulation of Dielectric Properties in Barium Titanate/Epoxy Composites Modified with Different Molecular Architectures
[IEEE] 2026-9-18 | The Study on interfacial reaction of SnBiIn low melting point solder on various substrates
[IEEE] 2026-9-18 | Retreatment of Aged Mineral Oil for Power Transformer Applications
[IEEE] 2026-9-18 | Precise Failure Localization of Integrated Circuits Based on Combined Analysis of EMMI, Mechanical Grinding, and FIB
[IEEE] 2026-9-18 | A Fully Integrated, Bidirectional, Isolated DC–DC Converter With Distributed 5-Level Driver and Multi-Winding Transformer
[IEEE] 2026-9-18 | DIFCVerilog: Decoupling Capabilities and Taints for Fine-Grained Information Flow in Hardware
[IEEE] 2026-9-18 | Fully Dielectric Complex-Weighted Transmit-Reflect-Array Design with a Longitudinally Inhomogeneous Permittivity Profile
[IEEE] 2026-9-18 | Unveiling the Backdoor’s Suppression Effect for Backdoor Defence
[IEEE] 2026-9-18 | Multi-Granularity Text-Guided Semantic Alignment for Visible-Infrared Person Re-Identification
[IEEE] 2026-9-18 | Parametric Noise Coherence Matrix Estimation Through Neural SNR Regression for MVDR Beamforming
[IEEE] 2026-9-18 | Two-Stage Robust Optimization of PV-ESS Capacity Configuration and Operation for Electric Heavy-Duty Truck Energy Replenishment Stations Considering Source-Load Uncertainties
[IEEE] 2026-9-18 | Zone-Adaptive Stacking Ensemble with Spectral-Texture Feature Fusion for Chlorophyll-A Retrieval in Chilika Lake Using Sentinel-2 Imagery
[IEEE] 2026-9-18 | Secrets That Survive Everything: Runtime Credential Exposure in Production Web Applications
[IEEE] 2026-9-18 | A Glass/Silicone-Rubber Vertical Contact–Separation Triboelectric Sensor for Self-Powered Vibration Monitoring: Multiphysics Modeling and Frequency Response
[IEEE] 2026-9-18 | Hierarchical Alignment and Differentiated Prototype Aggregation for Heterogeneous Federated Learning in Industrial Internet of Things_supp1-3725687.pdf
[IEEE] 2026-9-18 | Multi-Model Fusion for Anomaly Detection_supp1-3733759.pdf
[IEEE] 2026-9-18 | Efficient Reconstruction of Masked Image Embeddings for Region-Specific Satellite Image Retrieval
[IEEE] 2026-9-18 | Edge-Accelerated Cooperative Sensing over CAV Networks: A Transformer-Based RL Approach
[IEEE] 2026-9-18 | EM-Aided AMP for Sparse Channel Recovery and Ranging in Nakagami-m Fading
[IEEE] 2026-9-18 | Cover Page
[IEEE] 2026-9-18 | Photovoltaic Anomaly Detection in Electroluminescence Images Using a Transformer-Enhanced YOLO Algorithm
[IEEE] 2026-9-18 | Higher-Order Newton-Like Methods for Power Flow Calculation in Hybrid AC/DC Power Systems
[IEEE] 2026-9-18 | A Short-Term Power Load Forecasting Model for Traditional Power Plants Based on Ceemdan-BiLSTM-Attention
[ACM] 2026-9-18 | Workshop on Redefining the Relationship Between Human Operator and Driver Monitoring System (DMS): From Passive Safety to Active Partnerships
[ACM] 2026-9-18 | A Staged Workflow for Driver Glance and Hand-State Annotation
[ACM] 2026-9-17 | Multi-head Attention and SpatioTemporal network for Protein Complex
[ACM] 2026-9-17 | ECG-QRFGAN: A Quantum Residual Forest Generative Adversarial Network for Electrocardiogram Synthesis
[ACM] 2026-9-17 | Interpretable Machine Learning for Identifying Influencing Factors and Causal Mechanisms of Diabetes Based on SHAP and Transfer Entropy
[ACM] 2026-9-17 | Temporal Decision Optimization of NIPT Detection Based on Multi-model Collaboration: BMI and Gestational Age Driven
[ACM] 2026-9-17 | A Deep-VMamba: A State Space Model for Coronary Artery Segmentation in X-ray Angiography
[IEEE] 2026-9-17 | Multimodel Data-based Parkinson’s Disease Prediction with Severity Level Identification using EAA-CNN Approach
[IEEE] 2026-9-17 | Benchmarking DeiT-III Small for Groundnut Leaf Disease Classification Under Leakage-Safe Evaluation
[IEEE] 2026-9-17 | DeepGuard: Deepfake Face Detection Using Densenet-Based Feature Extraction
[IEEE] 2026-9-17 | Smart Antenna Array Design for Digital Learning Environments Supporting Quality Education
[IEEE] 2026-9-17 | Driver Alertness Monitoring and Detection Using Vision IoT and Machine Learning
[IEEE] 2026-9-17 | Sustainable Autonomous Driving: A Deep Convolutional Network for Real-Time Environmental Perception in Smart Cities
[IEEE] 2026-9-17 | Development and Performance Assessment of a Meander-Line Microstrip Antenna for Dual-Band IoT Applications
[IEEE] 2026-9-17 | Edge-AI based Real-Time Bearing Fault Diagnosis for Industrial Actuators using Lightweight Machine Learning Framework
[IEEE] 2026-9-17 | Performance Analysis of Channel Decomposition Methods for IRS-Aided mmWave Massive MIMO Systems Under Structured Propagation Environments
[IEEE] 2026-9-17 | Modified Variational Approach with Transferring Coefficients for Analysis of Linear Magnetic Circuits
[IEEE] 2026-9-17 | A Hybrid Preprocessing Framework for High-Fidelity Dental X-Ray Image Enhancement Through Advanced Denoising and Adaptive Contrast Optimization
[IEEE] 2026-9-17 | A Lightweight Spatial–Frequency Fusion Framework with Self-Supervised Learning for Image Forgery Detection and Localization
[IEEE] 2026-9-17 | SafeStreets: Deep Learning-Based Real-Time Traffic Violation Detection System
[IEEE] 2026-9-17 | Review for "A Structure-Adaptive Dual-Scale Cascaded Approach to InSAR Phase Unwrapping Based on Local Fringe Frequency Estimation"
[IEEE] 2026-9-17 | Joint Power Control and Retransmission Design for Minimizing Average AoI in HARQ-Based Cell-Free Massive MIMO System
[IEEE] 2026-9-17 | A 0.0047-mm
                    <sup>2</sup>
                    , 5.3-nW Subthreshold-Current-Based CMOS Temperature Sensor Employing Dual-Time-Window Sampling From −40°C to 100°C
[IEEE] 2026-9-17 | Research on Autonomous Ground Vehicle Path Planning in Unstructured Environments
[IEEE] 2026-9-17 | Battery-Free and Gateway-Free Cellular IoT Water Leak Detection System
[IEEE] 2026-9-17 | Learning Trajectory-Attractor Dynamical Systems on $\text{SE}(3)$ With Conditional Diffeomorphisms
[IEEE] 2026-9-17 | HC-GPUCB: Hybrid Concentration-Aware Gaussian Process Upper Confidence Bound for Bayesian Optimization with Tight Regret Guarantees
[IEEE] 2026-9-17 | SPAR-EEG: Selective Pass-Wise Artifact Reduction for Wearable Single-Channel EEG Denoising_supp1-3734253.pdf
[IEEE] 2026-9-17 | Drawing Predictability and Legibility Toward Human-Robot Collaborative Calligraphy_supp1-3734890.mp4
[IEEE] 2026-9-17 | SC-DRA: Smart Contract-based Data Rights Agreement Scheme for Personal Data Processing under GDPR
[IEEE] 2026-9-17 | A Modular Untethered Payload-Carrying Walking Robot Powered by Electrical Linear Soft Actuators
[IEEE] 2026-9-17 | Securing Autonomous Large Language Model Agents: Lessons From OpenClaw
[IEEE] 2026-9-17 | PointSenseNet: A Hierarchical Point-Cloud-Based Reconstruction Framework with Application to Localized Inverse Electrocardiographic Mapping
[IEEE] 2026-9-17 | SARL: A Scalable Attribute-Informed Representation Learning Framework for Bipartite Graphs
[IEEE] 2026-9-17 | Contact Pressure-based Modeling and Experimental Force Characterization of Twisted Elastic Actuators (TEAs)
[IEEE] 2026-9-17 | StyleSmith: A Signature Style Transfer Framework with Parametric and Temporal Attention
[IEEE] 2026-9-17 | LST-A2C: A Surface Radiation Balance–Constrained Analytical Framework for All-Sky Land Surface Temperature Reconstruction
[ACM] 2026-9-18 | Multi-Step Natural Language Instruction Understanding and Generation of Small Language Models in UAV Control
[ACM] 2026-9-18 | Research on Computer-Fitted Calculation Formulas for Blended Coal in Coal-Fired Power Plants
[ACM] 2026-9-18 | Bibliometric Analysis of Research Status and Hotspot Trends of Optical Nanosensors Based on CiteSpace and VOSviewer
[ACM] 2026-9-18 | A Multi-Sensor UAV Inspection Framework for Bridge Infrastructure: 3D Path Planning and Multi-Modal Defect Detection
[ACM] 2026-9-18 | Event Classification Network Based on Audio-visual Modal Information Fusion
[ACM] 2026-9-18 | MCFS: LLM Reasoning Method Based on Multi-Level Constraints and Multi-Source Fusion Beam Search
[ACM] 2026-9-18 | Can Software-based Transport Perform Like RDMA?
[IEEE] 2026-9-18 | Process Optimization and Reliability Assessment of Indium-Based Solid-State Bonding for Superconducting Quantum Chip Interconnections
[IEEE] 2026-9-18 | An IoT-Based Offline Emergency Alert System for Personal Safety with Automated Distress Detection
[IEEE] 2026-9-18 | 3D On-chip Integrated Capacitors with Self-inductance Cancellation for Wideband RF Application
[IEEE] 2026-9-18 | A Highly Efficient Cross-Matching Scheme Using Learned Index Structure
[IEEE] 2026-9-18 | An Advanced Framework for the Early Detection of Neurodegenerative Disorders Using a Latent Encoder Coupled Generative Adversarial Network Optimized
[IEEE] 2026-9-17 | Beyond Heuristics: Parameter Identification of the METANET Traffic Model via Differentiable Programming
[IEEE] 2026-9-18 | OLS, RF and SVM Regressor Models for Temporal Change Detection: A SAR Data-Based Exploratory Study
[IEEE] 2026-9-18 | A Variational Quantum Neural Network Framework for Learning Asymmetric Patterns and Anomaly Detection in High-Frequency Financial and Economic Systems
[IEEE] 2026-9-18 | Global Predefined-Time Neural Network-Based Performance Control for UAV Safe Formation With Input Saturation and Disturbance Estimation
[IEEE] 2026-9-18 | The Effect of Solder Die Attach Voids on the Junction-to-case Thermal Resistance of MOSFET Packages
[IEEE] 2026-9-18 | XRoadNet: An Explainable Multi-Scale YOLOv11-Attention Fusion Framework for Real-Time Road Damage Detection and Severity Assessment
[IEEE] 2026-9-18 | Deep Learning Based End-to-End Nonlinear Space-Time Adaptive Processing
[IEEE] 2026-9-18 | Personalized Federated Learning with Transparent Inter-client Contribution_supp1-3731148.pdf
[IEEE] 2026-9-18 | Process-Aware Feature Decomposition-Based Incipient Fault Detection in Industrial Processes
[IEEE] 2026-9-18 | CareLink: An AI-Driven Integrated Healthcare-HR Platform for Coordinated Management of Learning Disorders and Workplace Support
[IEEE] 2026-9-18 | LMSpell: Spell Correction with Pre-Trained Language Models
[IEEE] 2026-9-18 | One-Pot Aqueous-Synthesized Submicron Cu Particles Enabling Air-Sinterable Paste for Wide-Bandgap Die Attachment
[IEEE] 2026-9-18 | CAPTR: A Context-Aware Personalized Travel Place Recommendation System Using Heterogeneous Graph Transformers
[IEEE] 2026-9-18 | An Examination of the Effect of Enduro Motor Service Strategy Implementation and Service Quality on Customer Satisfaction and Loyalty: A Case Study of Pertamina in Timor Leste
[IEEE] 2026-9-18 | Dynamic Spatiotemporal Graph Neural Networks for Modeling the Propagation of Nosocomial Infections and Antimicrobial Resistance in Hospital Contact Networks
[IEEE] 2026-9-18 | Transient thermal–mechanical coupling simulation of IC product resistance soldering and its influence on the fatigue life of the wire bond during temperature cycling test
[IEEE] 2026-9-18 | Quantum Reinforcement Learning Agent for Adaptive Firewall Rule Optimization Under Dynamic Attacks
[IEEE] 2026-9-18 | Explainable AI-Based Employee Attrition Prediction and Workforce Analytics System
[IEEE] 2026-9-18 | Effects of Different Underfilling Methods on the Reliability of CBGA Packages
[IEEE] 2026-9-17 | Prospects and Challenges of Agroforestry on Oil Palm Plantation
[IEEE] 2026-9-18 | Assessment and Optimal Operation Strategy for Voltage Support Capability in Power Systems Dominated by Renewable Energy
[IEEE] 2026-9-18 | UTU-House Dataset: transfer learning with augmentation for Indonesian socioeconomic house classification
[IEEE] 2026-9-18 | Adaptive Feature Optimization for Machine Learning-Based Malware Family Classification
[IEEE] 2026-9-18 | A Data-Driven Framework for Classification and Retrieval of Inorganic Materials Synthesis Recipes
[IEEE] 2026-9-18 | Evaluating Quantum Machine Learning Models for Patient Flow, Energy Demand Estimation, and Predictive Maintenance
[IEEE] 2026-9-18 | DiffSSR+: Optimized Progressive Diffusion with Stereo- Consistent Sampling for Stereo Super-Resolution_supp1-3730265.pdf
[IEEE] 2026-9-18 | Model Predictive Control for Grid-Forming VSG Dual-Machine Parallel Systems Based on Online RBF Parameter Identification
[IEEE] 2026-9-18 | An Automated Framework for Pose-Sequence Analysis of Spontaneous Movements in Preterm Infants
[IEEE] 2026-9-18 | DDPG-Enabled Accumulate-Then-Transmit Protocol for Interference-Assisted D2D-WPC Network Under Imperfect CSI
[IEEE] 2026-9-18 | PARMA: A Pose-Aware Risk Mitigation Approach for End-Effector Execution in Vision-Language-Action Models_supp1-3734926.mp4
[IEEE] 2026-9-18 | Attention-Augmented YOLO with Statistical Validation for Robust Multi-Class Solid Waste Detection
[IEEE] 2026-9-18 | Binary and Multi-Label Ocular Disease Detection from Retinal Fundus Images Using Mobilenetv2 and Resnet50 with Grad-CAM Interpretability and Clinical Web Deployment
[IEEE] 2026-9-18 | A Multimodal Earth Digital Twin Framework with Causal AI for Autonomous Climate Intervention Planning
[IEEE] 2026-9-18 | Local Geometric Optimization of Top Microchannel Cold Plates for 2.5D GPU Systems
[IEEE] 2026-9-18 | SAVE-ME: Sparsity-Aware Variable Ensemble and Model Explanation for Data Analysis in Healthcare and Life Sciences
[IEEE] 2026-9-18 | A Graph Neural Network (GNN) for Genomic Data Modeling to Predict Antidepressant Drug Efficacy Among MDD Patients
[IEEE] 2026-9-18 | CdSe/ZnS QD Color Converter Photoaging Under High-Brightness 450/460 nm: KWW Kinetics
[IEEE] 2026-9-18 | Control of Pedestrian Force Manipulation in Electric Vehicles Using Road Gradient Resistance Isolation Without Exteroceptive Sensors
[IEEE] 2026-9-17 | Generalization of Trajectories and Variable Impedance Control via Human Skill Learning for Robotic Assembly
[IEEE] 2026-9-18 | A Two-Stage Robust Optimization Approach for Microgrid Dispatch with Demand Response
[IEEE] 2026-9-18 | SHAP-based study: XAI Guided Optimisation of Spatial-Temporal Bio-Neuro Marker EEG for Depression Classification
[IEEE] 2026-9-18 | Corrections to “Evaluation of Sustainable Potential Bearing Capacity of Tourism Environment Under Uncertainty: A Multiphase Intuitionistic Fuzzy EDAS Technique Based on Hamming Distance and Logarithmic Distance Measures”
[IEEE] 2026-9-18 | Anti-Oscillation Global MPPT Method for Microinverters Based on Reward-Reshaped DDQN
[IEEE] 2026-9-18 | Enso-Modulated Cyclone Ecological Responses in Chilika Lake: A SHAP, Isolation Forest, and Causal Discovery Approach Using Multi-Sensor Remote Sensing
[IEEE] 2026-9-18 | SAMNet: Recognition and Mitigation of Interference Signals
[IEEE] 2026-9-18 | From Laboratory to Field Scale: Performance of Cement–RHA Stabilised DSM Columns in Peat
[IEEE] 2026-9-18 | Multi-Agent Reinforcement Learning for Dynamic Satellite Constellation Management
[IEEE] 2026-9-18 | Water-Repellent Performance of a Natural Oil-Based Wood Coating Using Dehydrated Castor Oil and Beeswax
[IEEE] 2026-9-18 | Towards Accessible Legal AI: A Hierarchical Transformer-Based Approach for Summarizing Long Indian Legal and Policy Documents
[IEEE] 2026-9-18 | Study on the Mechanism of Void-Free Nano-Through Silicon Via(TSV) Filling
[IEEE] 2026-9-18 | GASZO: Geometry-Aware Subspace Zero-Order Optimization
[IEEE] 2026-9-18 | MQTCyber: An Explainable Stacked Ensemble Framework for Intrusion Detection in MQTT-Based IoT Networks
[IEEE] 2026-9-18 | 2026 IEEE 14th Sensor Array and Multichannel Signal Processing Workshop (SAM)
[IEEE] 2026-9-18 | Embedded Chip Packaging (ECP) Solution for an Ultra-Compact Real-Time Clock (RTC) with Built-in Crystal
[IEEE] 2026-9-18 | Synergistic Additive Formulation and Electrochemical Analysis for Copper Grain Refinement in Advanced Semiconductor Packaging
[IEEE] 2026-9-18 | A Fuzzy-Evolutionary Decision Support System for Agricultural Farming Under Uncertainties
[IEEE] 2026-9-18 | A Novel Hermetic 3D Stacked Packaging Structure Based on Kovar-Pillar Arrays for Spaceborne Electronics
[IEEE] 2026-9-18 | Phosphor-converted white LD with high luminous efficacy through sapphire lens based PiGF
[IEEE] 2026-9-18 | Design of N77 Band IPD Filter Based on Silicon Carbide Substrate
[ACM] 2026-9-18 | Path Weavers: Making Road Infrastructure Legible for an Autonomous Future Through Gamified Immersion in a CAVE Installation
[ACM] 2026-9-18 | Student Research Track: How Distance Display Designs Influence Driver Attention in Forward Collision Warnings: An Eye-Tracking Study
[ACM] 2026-9-18 | Love In Traffic: Physical and Digital Design Against Consensual Sexual Activity Inside Public and Shared Automated Vehicles
[ACM] 2026-9-17 | Zeineb Sassi
[IEEE] 2026-9-17 | A Multilocomotion Tensegrity Mobile Robot With Discrete Nodes_supp1-3727762.mp4
[IEEE] 2026-9-17 | HC-GPUCB: Hybrid Concentration-Aware Gaussian Process Upper Confidence Bound for Bayesian Optimization with Tight Regret Guarantees_supp1-3734017.pdf
[IEEE] 2026-9-17 | Physics-Guided Conditional Diffusion Model for Cross-Condition SOH Degradation Data Generation of Lithium-Ion Batteries_supp1-3734367.pdf
[IEEE] 2026-9-17 | ICESC 2026 TOC
[ACM] 2026-9-17 | Hierarchical Knowledge Distillation with Missing-Aware Attention for Incomplete Multimodal Brain Tumor Segmentation
[ACM] 2026-9-17 | The Role of Task Frequency and Complexity in Remote Assistance for Highly Automated Vehicles: Assessing Mental Load based on Eyetracking and Physiology
[IEEE] 2026-9-17 | IDSS 2026 Copyrights Page
[ACM] 2026-9-17 | Guiding AI to Fix Its Own Flaws: An Empirical Study on LLM-Driven Secure Code Generation
[ACM] 2026-9-17 | Too Fast Blocks, Too Furious Adjustments: The Satoshi Drift Level-Out
[IEEE] 2026-9-17 | MedFusion-AttnBioGPT: An Explainable Multimodal Vision-Language Model for Brain MRI Radiology Report Generation
[ACM] 2026-9-17 | AHP-Based Design Research on Smart Fitness Monitoring Devices
[ACM] 2026-9-17 | Proceedings of the 2026 6th International Conference on Biomedicine and Bioinformatics Engineering
[ACM] 2026-9-17 | CURE: Causal Unified Representation Enhancement for Deconfounded Biostatistical Learning from Heterogeneous Clinical-Molecular Data
[ACM] 2026-9-17 | Interactive Virtual Restoration of Cultural Artifacts: A Method Based on Lightweight Multi-Scale Attention Networks in Mixed Reality
[IEEE] 2026-9-17 | Multi-Scale Graph Neural Networks for Telecom Traffic Prediction in Smart Communication Networks
[ACM] 2026-9-18 | A Real-Time Graph Neural Network Simulation Model for Blast Damage in Sandy Soil
[ACM] 2026-9-18 | Research on Stability Assessment of Transmission Tower Foundation Based on Fuzzy Clustering and Decision Tree
[ACM] 2026-9-18 | MBAGFN: A Federated Graph Neural Network for Recommendation via Multidimensional Bipolar Attention
[ACM] 2026-9-18 | Temporally-Weighted ConvLSTM for Radar-Based Precipitation Nowcasting
[ACM] 2026-9-18 | Elevation-Dependent Response Mechanism of Snow Cover Phenology to Climate Change in the Altai Mountains
[IEEE] 2026-9-17 | Analytical Modeling and Experimental Evaluation of GNSS-Driven Semantic IoT using Android Smartphones
[IEEE] 2026-9-17 | Anomaly-Based Detection of Insider Threats Using Network Traffic Behaviour
[IEEE] 2026-9-17 | A Dual-Modality Framework Fusing Wearable Physiological Signals and Platform Behavioral Logs for Fatigue and Burnout Risk Estimation in On-Demand Delivery Work
[IEEE] 2026-9-17 | Adaptive UAV-Assisted Wireless Sensor Networks for Precision Agriculture using Reinforcement Learning and AOI-Aware Scheduling
[IEEE] 2026-9-17 | A Generalized Net Model for Predictive Risk Management of Oil Spills and Diffuse Pollution in the Danube-Black Sea Region
