[2026-02-14 09:19:06] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-02-13
正在获取论文...
[ACM] 2026-2-13 | Gender Differences in Class Participation in Online versus In-Person Core CS Courses
[IEEE] 2026-2-13 | An Intelligent College Enquiry Chatbot for Automated Information Retrieval using NLP
[IEEE] 2026-2-13 | Prediction and Analysis of Water Quality Index using Machine Learning Approaches
[IEEE] 2026-2-13 | Review of Phasor Estimation Algorithms and Applications of Phasor Measurement Units
[IEEE] 2026-2-13 | A Compact Robotic System for Passive Ankle Therapy and Venous Health Monitoring
[IEEE] 2026-2-13 | A Connected Ambulance System Leveraging IoT for Real Time Navigation and Automated Emergency Procedures
[IEEE] 2026-2-13 | Modeling of Memoryless Power Amplifiers and Implementation Scheme of Adaptive Predistortion in Wireless Communications
[IEEE] 2026-2-13 | A Hybrid Approach to Customer Loyalty Prediction
[IEEE] 2026-2-13 | A Path Planning Method for UAV Transportation Based on PSO
[IEEE] 2026-2-13 | AI-Powered Enhanced Medical QA Chatbot System with Sentiment Analysis Mood Tracking and Personalized Mental Health Recommendations
[IEEE] 2026-2-13 | Integrated Deep Learning Models of Residual Attention Network with Recurrent Neural Network for Accurate Facial Recognition and Emotional Detection
[ACM] 2026-2-13 | Testing Uniform Random Samplers: Methods, Datasets and Protocols
[ACM] 2026-2-13 | Detecting AI-Generated Code in Introductory Programming Courses
[ACM] 2026-2-13 | AI in Orbit: Intelligent Classification of Space Weather Events with Machine Learning
[ACM] 2026-2-13 | LLMTutorBench: A Benchmark for University-level TCS AI Tutoring Systems
[ACM] 2026-2-13 | When AI Meets the Clock: Rethinking Learning and Assessment in Large-Scale Computing Courses
[ACM] 2026-2-13 | CS Transfer Guidelines for Two-Year Programs: A Curricular Model Integrating AI, Cybersecurity, Ethics, and the Profession
[ACM] 2026-2-13 | Collaborative Learning for Computer Science Courses: An Initial Literature Survey
[ACM] 2026-2-13 | Words Matter: Integrating Adaptive Cybersecurity Phraseology in K-12 Education Subjects to Improve Cyber Hygiene
[ACM] 2026-2-13 | Equity in Intro Computing: Understanding First-Generation Student Outcomes Across Ethnicity and Access
[ACM] 2026-2-13 | Implications of Large Language Models in Database Management System Course
[ACM] 2026-2-13 | Evaluating the Impact of Active Learning Modes (iClickers vs. Worksheets) on Student Engagement in a CS2 Course
[ACM] 2026-2-13 | Introduction to Concurrent Programming in C: An Open Course Book With Program Visualizations
[ACM] 2026-2-13 | Exploring Generative AI for Learning Experiences and Instructional Practices in Software Engineering Education
[ACM] 2026-2-13 | Evaluating the Role of Ethics Education in Shaping College Students' Ethical Engagement in Computing Technology
[ACM] 2026-2-13 | Informal Learning in Computer Science
[ACM] 2026-2-13 | Blended Student Exchange Between the USA and EU: A Practical Approach to CS Education and Physical Computing
[ACM] 2026-2-13 | INSIGHT: An Explainable, Instructor-Guided AI Assistant for Active Learning in CS1
[ACM] 2026-2-13 | Enlightening Pathways into Computing: Broadening Computing Skills in Higher Education
[ACM] 2026-2-13 | Codeless Modules for Parallel and Distributed Computing in Early Computing Curriculum
[ACM] 2026-2-13 | Teach2Learn: Assessing the Learning among CS1 Students on How Well They Can Teach LLM-Simulated Students
[IEEE] 2026-2-13 | High-Frequency Resonance Suppression of MMC-HVDC Based on the Coordination of Voltage Feedforward Filtering and Passive Damping
[IEEE] 2026-2-13 | On the Scalability of Access and Mobility Management Function: the Localization Management Function Use Case
[IEEE] 2026-2-13 | SGA-Seq: Station-aware Graph Attention Sequence Network for Cellular Traffic Prediction
[IEEE] 2026-2-13 | Development of a phase transient test bench to optimize a cold-atom microwave clock
[IEEE] 2026-2-13 | A 3-D Analytical Modeling of High-
                    <i>k</i>
                    MOSFETs Using Conformal Mapping: A Cell Topology Perspective
[IEEE] 2026-2-13 | Spatial Correlation of Routing and Platooning for Detecting Arbitrary BH Attacks in CAV Platoons
[IEEE] 2026-2-13 | WCNIoT 2025 TOC
[IEEE] 2026-2-13 | Joint Optimization of Federated Continual Learning and Inference in IoT Towards Intelligence: A Multi-Objective SAC with Hybrid Action Space
[IEEE] 2026-2-13 | IEEE Transactions on Computational Social Systems Publication Information
[IEEE] 2026-2-13 | Task-Oriented Integrated Sensing and Communication for Multidevice Cooperative Motion Recognition
[IEEE] 2026-2-13 | Miniaturized Si₃N₄ Resonator with a High Polarization Extinction Ratio and Quality Factor for Improving the Sensitivity of Resonant Integrated Optical Gyroscope
[IEEE] 2026-2-13 | Terahertz Waveguide Probe Loaded with Complementary Split-Ring Resonator for Crack Detection in Metallic Surface
[ACM] 2026-2-13 | When a Man-in-the-Middle tries crashing the live stream party, the C2PA bouncer steps in
[ACM] 2026-2-13 | Removing Browser Multimedia Format Limitations through Standardized Filter Pipelines
[IEEE] 2026-2-13 | A Comprehensive Review of Deep Learning Approaches for Proactive Pneumonia Detection using Chest Radiographs
[IEEE] 2026-2-13 | Using Machine Learning to Detect Deepfake Videos on Social Sites
[IEEE] 2026-2-13 | Privacy-Aware Federated Learning Framework for Secure and Efficient Smart City Services
[IEEE] 2026-2-13 | Artificial Intelligence in Ear Disease Detection and Classification: Current Trends and Future Prospects
[IEEE] 2026-2-13 | State Transition Graph-Based Pipelined Sequential Multiplier
[IEEE] 2026-2-13 | Integrating Baudot Encoding and Chaotic Maps with Symmetric Cryptography
[IEEE] 2026-2-13 | Quantum Tensor Network Neural Architecture: Exploiting Partially Symmetric Tensors in Quantum-Limited Neural Networks
[IEEE] 2026-2-13 | Comparative Study of Multi-Objective Evolutionary Algorithms for Constrained Financial Portfolio Optimization
[IEEE] 2026-2-13 | Optimizing Cloud Resource Allocation using Reinforcement Learning
[IEEE] 2026-2-13 | Near-Resonant Frequency Detection of LLC Converters Based on Quality Factor Design
[IEEE] 2026-2-13 | A Comprehensive Study on Plant Disease Detection using Deep Learning Models
[IEEE] 2026-2-13 | A Smart IoT based Home Automation System for Controlling and Monitoring Home Appliances and Security
[IEEE] 2026-2-13 | Synthetic Data for Health Risk Prediction: An Evaluation using Machine Learning
[IEEE] 2026-2-13 | Post-Graduation Admission Prediction using Deep Belief Networks and Active Voting Method
[IEEE] 2026-2-13 | Drone Quidditch: Aerial Manipulation and Human–Robot Collaboration in a Novel Drone
[IEEE] 2026-2-13 | PromptFixer: An AI-based System for Improving and Structuring User Prompts for Language Model
[IEEE] 2026-2-13 | Hybrid Metaheuristic Feature Selection for Microring Resonator Gas Sensing in Consumer IoT
[IEEE] 2026-2-13 | Design and Performance Analysis of a Single Inductor Continuous Input Current Buck-Boost Converter for Photovoltaic Applications
[IEEE] 2026-2-13 | Recent Trends in Alzheimer’s Disease Detection using Deep Learning Models
[IEEE] 2026-2-13 | Improving EV Charger Resiliency for MW Charging Systems
[IEEE] 2026-2-13 | Cityscape AI: Smart Resilient City Platform
[IEEE] 2026-2-13 | AI-based Predictive Model for Binary and Multiclass Heart Disease Classification in IoMT
[IEEE] 2026-2-13 | Content based Image Retrieval and Disease Prediction using Deep Learning Algorithms
[IEEE] 2026-2-13 | A Scalable DC Coupled MW-Class Power Electronics-Based Energy System for Off-Grid Hydrogen Production From Hybrid AC/DC Sources
[ACM] 2026-2-13 | Efficient Hash-free Mobile Cloud Backup via Operation-Log Versioning
[ACM] 2026-2-13 | Framing Discussions of AI Policy Implications in Computing Courses
[ACM] 2026-2-13 | Integrating Critical Pedagogy into Undergraduate Software Design
[ACM] 2026-2-13 | Adaptive Skill-Mastery Feedback Loops in AI-Generated Courses
[ACM] 2026-2-13 | To Tell or to Ask? Comparing the Effects of Targeted vs. Socratic AI Hints
[ACM] 2026-2-13 | Exploring Bilingual Coding for Inclusive Computer Science Learning
[ACM] 2026-2-13 | Quander: Student Conceptions of Quantum Concepts from a Gameworld
[ACM] 2026-2-13 | Teachers as Learners, Teachers as Teachers: Culturally Relevant Computational Thinking Professional Development for K-12 In-Service Teachers
[ACM] 2026-2-13 | Designing CS Education Research to Meet Your Needs
[ACM] 2026-2-13 | A Hands-on and Interactive Introduction to the Fundamentals of Artificial Intelligence using Snap!
[ACM] 2026-2-13 | Teaching Probabilistic Machine Learning in the Liberal Arts: Empowering Socially
                    <i>and</i>
                    Mathematically Informed AI Discourse
[ACM] 2026-2-13 | Adoption of Alternative Grading Practices in CS Classrooms
[ACM] 2026-2-13 | From Fear to Practice: Integrating Quantum Computing into CS Courses
[ACM] 2026-2-13 | The Impostor Phenomenon and the Confidence Gap
[ACM] 2026-2-13 | Aligning Student and Educator Mental Models of Generative AI Use for Productive Teaching and Learning
[ACM] 2026-2-13 | Scaffolding genAI for Critical Reflection: A Transformative Approach to Diverging Assessments in IT Forensics
[ACM] 2026-2-13 | The Efficacy of One Computer Science Course's Approach to Address the Ethical Dilemmas Surrounding Women in Computer Science
[ACM] 2026-2-13 | What Happens When Students Leave Office Hours? Measuring Post-Interaction Code Progress in CS2 Projects
[IEEE] 2026-2-13 | Multi-UAV Path Planning for Mobile Edge Computing With High-Density Mobile Devices
[IEEE] 2026-2-13 | Towards Practical Headphones Eavesdropping Leveraging COTS Mmwave Radar
[IEEE] 2026-2-13 | A Rotational Motion Parameter Estimation Method for Slow-Spinning Space Targets Utilizing Similarity Analysis of Sequential ISAR Images
[IEEE] 2026-2-13 | An Adaptive Multiparameter Penalty Selection Method for Multiconstraint and Multiblock ADMM
[IEEE] 2026-2-13 | Robust 2.5D Feature Matching in Light Fields via A Learnable Parameterized Depth-Degraded Projection
[IEEE] 2026-2-13 | A 0.3-V Compact VCO With Tail Filtering Using Double-8-Shaped Inductors in 65-nm CMOS
[IEEE] 2026-2-13 | Cooperative Control of Mobile Autonomous Agents via Communication Routing
[IEEE] 2026-2-13 | Security Region of DC-GIL Insulator Considering Electro-Mechanical Breakdown
[IEEE] 2026-2-13 | Requirements Driven Explainable Artificial Intelligence Framework for Secure and Transparent Clinical Decision Support Systems
[IEEE] 2026-2-13 | HR-HEC: Heuristic-to-Refined Hand-Eye Calibration via Congruent Matching Sets
[IEEE] 2026-2-13 | Blendshape-Based Facial Animation Using OPF and Random Forest
[IEEE] 2026-2-13 | A Comparative Study of Bio Inspired Optimization Algorithms for Enhanced PID Control of BLDC Motor Speed
[IEEE] 2026-2-13 | Parameterized Grinding Planning of Robotic Arms based on Optimization Experiences Generalization for Tubular Workpieces
[IEEE] 2026-2-13 | Biomimetic Compliant Manipulator for Vascular Guidewire and Catheter Operations
[IEEE] 2026-2-13 | Efficient GaSb/GaInAsSb/InAsSb triple-junction thermophotovoltaic cells
[IEEE] 2026-2-13 | A Robotic Emulator for User-Driven Design of Multi-DOF Transradial Prostheses
[IEEE] 2026-2-13 | Low-Frequency Amplitude-Modulated Ultrasound Stimulation Drives Hippocampal Oscillations and Enhances Memory in Mice
[IEEE] 2026-2-13 | From Raw to Synthetic: Evaluating LLM-Based Data Augmentation for Sentiment Analysis
[IEEE] 2026-2-13 | High-Voltage Square-Wave Pulse Generator Based on LC-Marx Topology with a Common-Source Common-Gate JFET Solid-State Switch and Asynchronous Timing Synthesis Strategy
[IEEE] 2026-2-13 | Micro-Transfer Printing of SiGe BiCMOS Electronic Chiplets on Silicon
[IEEE] 2026-2-13 | An Adaptive Non-Probabilistic Convex Modeling Method Based on Cluster Analysis
[IEEE] 2026-2-13 | A Hierarchical Time-Scaled Framework for Resilient Fusion of PC/INS Navigation Systems
[IEEE] 2026-2-13 | Controllable Pulse Conversion and Buildup Dynamics in a 2-$\mu$m Fiber Laser
[ACM] 2026-2-13 | Learned Image and Video Compression: Foundations, Algorithms, and Open Challenges
[IEEE] 2026-2-13 | An Advanced Drug Mechanism of Action (MoA) Prediction Approach from Gene Expression using Transformers and XAI
[IEEE] 2026-2-13 | Protein Structure and Mutation Analysis for Predicting Pathogenic Variants
[IEEE] 2026-2-13 | Edge AI Driven Real Time Voice Controlled System for Sustainable Water Management
[IEEE] 2026-2-13 | Unipolar/Bipolar 0-1 MHz Arbitrary Pulse Generator Using an Ultrafast Series-Stacked 20 kV MOSFET Module
[IEEE] 2026-2-13 | A Novel 22 kW Bidirectional All-GaN Integrated Onboard Charger Using a 3L-NPC and Interleaved Dual-Buck With Low Common Mode Voltage
[IEEE] 2026-2-13 | A 2kW, 100V Gan-Based Half-Bridge Power Module Using an Optimized PCB-Ceramic Stack-Up for High Efficiency and Power Density
[IEEE] 2026-2-13 | Miller Charge Control for Voltage-Balancing of Series-Parallel Connected Gan HEMT Switch Cells
[IEEE] 2026-2-13 | Evolution of a Bidirectional Low Frequency Trapezoidal Electromagnet Current Source
[IEEE] 2026-2-13 | ReasonLite: A Unified Framework for Distilling Reasoning into Small Language Models
[IEEE] 2026-2-13 | Critique Connect: Augmenting Human Creativity through AI-Driven Semantic Analysis and Adaptive Feedback Synthesis-A Review
[IEEE] 2026-2-13 | IoT-Enabled Battlefield Surveillance Robot with Metal Detection and Real-Time Alerts
[IEEE] 2026-2-13 | Comprehensive Heuristic Resource Scheduling Method Based on Virtualized Clusters
[IEEE] 2026-2-13 | Synthetic Aperture Radar Image Segmentation using a Convolutional Neural Network-based U Net
[IEEE] 2026-2-13 | Synthetic Data Augmentation with General Adversarial Networks for Improving Rare Cancer Detection in Histopathology Images
[IEEE] 2026-2-13 | Parameter Identification and Adaptive Control of a High Power Medium Voltage Dual Active Bridge
[IEEE] 2026-2-13 | Hybrid Wrapper-based Feature Selection Framework for Sentiment Analysis using Machine Learning and Ensemble Models
[IEEE] 2026-2-13 | MATLAB Simulation of Echo and Delay in Audio Signals using Z-Transform
[IEEE] 2026-2-13 | Automated Blood Group Identification using Biometrics
[IEEE] 2026-2-13 | Visual-based Sentiment Analysis Chatbot
[IEEE] 2026-2-13 | Exploring the Diagnostic Potential of Histopathological Images in AI-based Breast Cancer Detection
[IEEE] 2026-2-13 | Unified Data Management: A Comparative Study of Multi-Model vs Single-Model Database Architectures
[ACM] 2026-2-13 | A New Model for Educational Program Assessments Using Automated Collective Concept Maps
[ACM] 2026-2-13 | Developing Problem-Solving Competency in Data Science: Exploring A Case-Based Approach
[ACM] 2026-2-13 | Password Security
[ACM] 2026-2-13 | Benchmarking AI Tools for Software Engineering Education: Insights into Design, Implementation, and Testing
[ACM] 2026-2-13 | Deriving Instructional Insights from Human-LLM Co-Evaluation of Student Collaboration in Data-Centric Programming
[ACM] 2026-2-13 | Behind the Scenes of Delivering a Large Computing Course: The Experience of a TA Managing Logistics
[ACM] 2026-2-13 | Improving Privilege Levels and Memory Protection for Teaching in Embedded Xinu
[ACM] 2026-2-13 | It Seemed Like a Good Idea at the Time ('No, Not Like That!' edition)
[ACM] 2026-2-13 | Encouraging Student Use of AI in CS1: Rethinking Content, Delivery and Assessment
[ACM] 2026-2-13 | Including Accessibility in Your Computer Science Course
[ACM] 2026-2-13 | Large Language Model Tools for Enhancing Student Learning Processes in Computing Education
[ACM] 2026-2-13 | How Retrieval Augmented Generation Can Assist Secondary Computer Science Educators - Research Description
[ACM] 2026-2-13 | Coding Twice: Integrating Independent and AI-Assisted Programming Assignments in CS Education
[ACM] 2026-2-13 | Students' Understanding of (Delimited) Continuations
[ACM] 2026-2-13 | Investigating Student Belonging, Engagement, and Self-Efficacy in Online and In-Person Learning Environments
[IEEE] 2026-2-13 | Decision letter for "Descriptor: A Brazilian roadkill animals for object detection GAN-augmented dataset (BRAGAN)"
[IEEE] 2026-2-13 | Time-Stretched Optical Frequency Comb Dispersive Fourier Transformation for Rapid Measurement of 3D Morphology of Solar Cells
[IEEE] 2026-2-13 | Cracking Analysis and Optimized Design of Integrated Planar Transformer for High-Power Density LLC Converter
[IEEE] 2026-2-13 | Adversarial Attacks Resilient Machine Learning-Enabled Access Control Scheme for Consumer Electronics in IoT-Based Applications_supp1-3662480.pdf
[IEEE] 2026-2-13 | Soft Label Pruning and Quantization for Large-Scale Dataset Distillation
[IEEE] 2026-2-13 | Effect of Ice-Bridging Degree on AC Flashover of 110 kV Composite Insulators under Natural Icing
[IEEE] 2026-2-13 | Robust FMCW Radar Clutter Suppression for UAV detection via learning Physics-Informed Priors
[IEEE] 2026-2-13 | Data-Driven Optimal Bidding Strategy in Day-Ahead Electricity Markets Using Deep Reinforcement Learning
[IEEE] 2026-2-13 | Two-Stage Inversion Based on PDFNO and FDFD for Logging-While-Drilling Electromagnetic Ultra-Deep Detection
[IEEE] 2026-2-13 | An Ultra-Compact and Fully Integrated Tunable IR-UWB Transmitter in 28-nm CMOS for High-Density Neural Implants
[ACM] 2026-2-13 | Cost-Optimal Satellite-Assisted Video Delivery
[ACM] 2026-2-13 | Ultra-low latency software (HEVC and VVC) encoding: capabilities and applications
[IEEE] 2026-2-13 | Guest Editorial: Special Issue on Intelligence of Social Things-Enabled Cooperative Learning for Behavioral-Cultural Modeling
[IEEE] 2026-2-13 | Visual Proprioception and Contact Prediction for Soft Robotic Arms Using Onboard Sensing and Generative Models
[IEEE] 2026-2-13 | Generative AI Sensor Fusion for Secure Digital Twin Ecosystems: A Standardization-Aligned Framework for Cyber-Physical Systems
[IEEE] 2026-2-13 | Resource Optimization for Semantic Communication in 6G Networks: A Survey
[IEEE] 2026-2-13 | MSVM-UNet: Multi-Scale Spatial Attention Enhanced Vision Mamba U-Net for Agricultural Disease Segmentation
[IEEE] 2026-2-13 | Adaptive Iterative Learning Reliable Control of Nonrepetitive Systems With Multiple Iteration-Varying Parametric Uncertainties
[IEEE] 2026-2-13 | AttnMPNet: An Attention-Based Message Passing Network for MIMO Detection
[IEEE] 2026-2-13 | X-IoMT: A Cross-Layer IoMT Dataset for Anomaly Detection with FGSM and PGD-Based Adversarial Augmentation
[IEEE] 2026-2-13 | A Hardware-Efficient Approximate Booth Multiplier for Error-Tolerant Applications
[IEEE] 2026-2-13 | Enhancing IoT Healthcare Security with Optimized Edge Computing and Micro-Segmentation using KSEPA and T3FENN
[IEEE] 2026-2-13 | Criminal Identification using Residual Densenet with Particle Swarm Optimization for Facial Attribute Prediction
[IEEE] 2026-2-13 | Temporal Fusion Transformer Forecasting and MILP Prescriptive Optimization for Hospital Pharmacy Supply Chain Orchestration
[IEEE] 2026-2-13 | Enhancing Big Data Forecasting with Gradient Boosting Machine Learning Framework
[IEEE] 2026-2-13 | Satellite Imagery based Deep Learning for Environmental Monitoring in India’s Ecologically Sensitive Regions
[IEEE] 2026-2-13 | Dew-Enabled Edge Intelligence: A Hybrid Framework for Offline Crowd Computing
[IEEE] 2026-2-13 | Proactive Financial Stream Mining with Reinforcement Learning for Dynamic Concept Drift Adaptation
[IEEE] 2026-2-13 | Next-Gen Service Robotics: The Rise of SYNTELIX
[IEEE] 2026-2-13 | Hardware Design and Experimental Validation of a 30 kW, 800 V Three-Phase Three-Level ANPC Converter with 99% Efficiency
[IEEE] 2026-2-13 | MRI Image-based Artificial Intelligence Deep Learning Method for Brain Tumour Identification
[IEEE] 2026-2-13 | Assessment of Artificial Intelligence in Hybrid Cloud Security Service and Future Industry
[IEEE] 2026-2-13 | Comparative Analysis of Modular Hybrid Adders in Radix-4 Booth Multiplier Architectures
[IEEE] 2026-2-13 | Edge Computing based Cubic Gradient Deep Multilayer Perceptron for Global Warming Prediction on Crop Yield
[IEEE] 2026-2-13 | A Bidirectional Sign Language Interaction System using Multimodal Deep Learning
[ACM] 2026-2-13 | Blast from The Past: MOQ Live Streaming with AI-Generated Event Timeline
[ACM] 2026-2-13 | An Introduction to the Joint Taskforce on Undergraduate Data Science Curriculum
[ACM] 2026-2-13 | Collapsing Qubits: A Quantum Themed Card Game
[ACM] 2026-2-13 | Pedagogical Process Models of Undergraduate Computing Tutors
[ACM] 2026-2-13 | Extracurricular Activities Predict CS Internship Attainment
[ACM] 2026-2-13 | POGIL in Computer Science for Beginners and Experts
[ACM] 2026-2-13 | Students' Evaluation of a Free and a Paid Interactive eTextbook for Computing Education
[ACM] 2026-2-13 | Improving Professional Dispositions in Computing Curriculum Using Sequential Peer Assessment
[ACM] 2026-2-13 | Code &amp; Concept: Exploring Teacher Perspectives on CS Conceptual Pattern Extraction
[ACM] 2026-2-13 | Using a Language Model to Map Syllabi to Core Competencies
[ACM] 2026-2-13 | Defining Gaps in Student Affect Research for Computer Science
[ACM] 2026-2-13 | Programming Success: How External Encouragement Shapes Confidence in Tech and Coding
[ACM] 2026-2-13 | Automated Program Repair of Uncompilable Student Code
[ACM] 2026-2-13 | Large Language Models for Automated Web-Form-Test Generation: An Empirical Study — RCR Report
[ACM] 2026-2-13 | Detecting Inconsistency between Network Design and Current State Based on Network Ontology Bonsai
[IEEE] 2026-2-13 | A Reading Automaticity Assessment Algorithm and a Personalized Homework Framework for ESL Education
[IEEE] 2026-2-13 | Energy Management Strategy with Partial Photovoltaic Curve Scanning for Reduced Energy Storage Utilization in DC Microgridsgobble
[IEEE] 2026-2-13 | Generating Rainy Scenarios with LiDAR for Autonomous Driving
[IEEE] 2026-2-13 | SSDC-Grasp: A Joint Semantic Segmentation and Depth Completion Approach for Robotic Grasping of Transparent Objects
[IEEE] 2026-2-13 | Resilient Control of Fixed-Wing UAVs under DoS Attacks and Actuator Faults via Intelligent Prediction Compensation
[IEEE] 2026-2-13 | DeepGSR: Deep group-based sparse representation network for solving image inverse problems
[IEEE] 2026-2-13 | Anomaly Detection for Generic Failure Monitoring in Robotic Assembly, Screwing and Manipulation
[IEEE] 2026-2-13 | Time-division multiplexing switching transients and bandwidth effects on the X-ray Integral Field Unit readout performance
[IEEE] 2026-2-13 | Smart Multi-Scenario Task Deployment for AUV Cluster Network: a Large Language Model-Driven Exploration-Enhanced MARL Approach
[IEEE] 2026-2-13 | Automated Quantification of Trophectoderm Morphology in Human Blastocysts via Instance Segmentation
[IEEE] 2026-2-13 | Hydrophobicity Classification of Composite Insulators Using Multi-scale Water Droplet Detection and Feature Fusion
[IEEE] 2026-2-13 | Prescribed Performance Control of Deformable Object Manipulation in Spatial Latent Space
[IEEE] 2026-2-13 | Blockchain-Enabled Cyber-Physical Systems using Security and Encryption Schemes for Student Credential Management
[IEEE] 2026-2-13 | VLSI Design based Smart Traffic Signal Control
[IEEE] 2026-2-13 | Design of Electronic Circuits for Electrical Ground Support Equipment of Spacecraft Propulsion System
[IEEE] 2026-2-13 | Charging Electric Vehicles with Energy From Solar, Wind, and Hybrid Energy Storage Systems
[IEEE] 2026-2-13 | Power-Efficient Instruction-Aware Clock Gating for RISC-V Based PicoSoC Design
[IEEE] 2026-2-13 | Logistic Regression of Customer Perceptions on NFC Mobile Payment Future Pathways
[IEEE] 2026-2-13 | Reinforcement Learning-and Proximal Policy Optimization Framework for Adaptive Feeding and Health Management in Dairy Cattle
[IEEE] 2026-2-13 | Distributed Music Signal Acquisition in Complex Acoustic Scenarios: A Hardware Algorithm Framework with Multimodal Denoising and Adaptive Collaborative Optimization
[IEEE] 2026-2-13 | A Blockchain and IPFS-based Framework for Secure and Verifiable E-Learning Certificates using Ethereum Smart Contracts
[IEEE] 2026-2-13 | ML-based Fuzzing for Vulnerability Detection: Methods, Benchmarks, and Open Challenges-A Review
[IEEE] 2026-2-13 | Leveraging ML for Enhanced User Experience in Web Applications
[IEEE] 2026-2-13 | A Bidirectional Transformerless Voltage Regulator for Single/Three Phase Applications Based on Direct AC-AC Converter
[IEEE] 2026-2-13 | AI-Driven Resource Optimization in Cloud and Edge Environments for Sustainable Ubiquitous Computing
[IEEE] 2026-2-13 | Power-Synchronization Loop in Grid-Forming Inverters Considering Power Limitation
[IEEE] 2026-2-13 | Implementing Zero Trust Architecture For Enhanced Security in Cloud - based Systems
[IEEE] 2026-2-13 | Autism Spectrum Disorder Prediction using Machine Learning
[IEEE] 2026-2-13 | A Framework for Secure and Scalable API Management in the Cloud
[IEEE] 2026-2-13 | CAN Network Intrusion Detection Model Based on Differential Privacy
[IEEE] 2026-2-13 | An Improved Hash Time-Locked Cross-Chain Asset Transfer Mechanism
[IEEE] 2026-2-13 | CNN-Dependent Detection of Poisoning Threats in Internet of Things (IoT) Framework
[IEEE] 2026-2-13 | LightGBM Based Framework for Interpretable Genomic Variant Prioritization
[IEEE] 2026-2-13 | Improving the Reliability of a CubeSat Power System by Combining Small-Sized Monocrystalline Cells with Triple-Junction Solar Cells
[IEEE] 2026-2-13 | Hybrid Cooling System with Water Plates and Potting for Outer-Rotor Low-Speed High-Torque PMSMs in Mining Belt Conveyors
[IEEE] 2026-2-13 | Design of a capacitive probe for laboratory analysis of dry and wet soil electrical properties
[IEEE] 2026-2-13 | Automatic Model Extraction of the Match Standard in Symmetric–Reciprocal–Match Calibration
[IEEE] 2026-2-13 | Improved Maize Mapping Through Optimizing Spatio-Temporal Feature Selection
[IEEE] 2026-2-13 | Nonlocal Deep Unfolding Pansharpening Method Based on Dynamic Kernel Prior
[IEEE] 2026-2-13 | Spatio-Temporal Dual Priors Guided Diffusion for Remote Sensing Spatio-temporal Fusion
[IEEE] 2026-2-13 | A Loss-Aware Element Selection Framework for Unit-cell splitting in Energy Harvesting Reconfigurable Intelligent Surfaces
[IEEE] 2026-2-13 | Recursive MVDR Algorithms for Reconfigurable Arrays
[IEEE] 2026-2-13 | Waveform Design for Partial-Time Superimposed ISAC Systems
[IEEE] 2026-2-13 | An Aging-Robust 32MHz RC Frequency Reference With 0.4ppm Allan Deviation and ±1550ppm Inaccuracy From -40
                    <sup>∘</sup>
                    C to 125
                    <sup>∘</sup>
                    C After a 1-Point Trim
[IEEE] 2026-2-13 | Distributed Fixed-Time Resilient Consensus Control of Nonlinear Uncertain Multiagent Systems Under Sign-Switching Deception Attacks
[IEEE] 2026-2-13 | Trapezoidal Wave Operation of T-type DC/DC Converter for High-Power Applications
[IEEE] 2026-2-13 | Forward Secure Identity-Based Encryption With Equality Test for Privacy-Preserving Friendship Recommendation on Social Platforms
[IEEE] 2026-2-13 | CT-FLO: Simple Yet Effective FMCW LiDAR Odometry Using an Linear Continuous-Time Trajectory
[IEEE] 2026-2-13 | Dual Adaptive Disentangled Representation Learning with Multimodal Data for Disease Diagnosis_supp1-3664047.pdf
[IEEE] 2026-2-13 | Increasing Participant Quality of Experience in an Olfaction-Enhanced Live Educational Play
[IEEE] 2026-2-13 | 2025 5th International Conference on Wireless Communication, Networking and Internet of Things (WCNIoT)
[ACM] 2026-2-13 | Transforming Confusion into Diffusion: Advancing Machine Learning Education via Bottom-Up Instruction
[ACM] 2026-2-13 | Teaching Tips We Would Tell Our Younger Selves
[ACM] 2026-2-13 | Image Compression / Decompression (The OK Text Image Format)
[ACM] 2026-2-13 | Classmoji: A GitHub-Native LMS for Flexible CS Education
[ACM] 2026-2-13 | Incorporating Fabrication into Computer Science Courses for Broadening Participation
[ACM] 2026-2-13 | Examining Technologies to Reduce Response Time in Hands-on Exercise Environment Over Widely Distributed Computer Network Utilizing RENs
[ACM] 2026-2-13 | Why Do Some US States Offer More Computer Science Courses Than Others? A Mixed-Methods Analysis of Access Gaps
[ACM] 2026-2-13 | How's the GenAI Infusion Going? Lessons from Integrating AI Tools in Cybersecurity Focused Computer Science Curricula at Two- and Four-Year Colleges
[ACM] 2026-2-13 | Auto-X: An Automatic Explainer for CS Theory Concepts
[ACM] 2026-2-13 | Anchoring Computing in Social Studies Through Co-Designed Objects-to-Think-With
[ACM] 2026-2-13 | Aligning Small Language Models for Programming Feedback: Towards Scalable Coding Support in a Massive Global Course
[ACM] 2026-2-13 | Experience Report: Teaching Computer Science Ethics using Science Fiction Across Multiple Institutions and Course Types
[ACM] 2026-2-13 | Examining Inclusive Computing Education for Blind Students in India
[ACM] 2026-2-13 | Scaling Engagement: Leveraging Social Annotation and AI for Collaborative Code Review in Large CS Courses
[ACM] 2026-2-13 | Fostering Accessible Design Skills with AI-Agents and Experiential Learning in Software Engineering Education
[ACM] 2026-2-13 | A 'watch your replay videos' Reflection Assignment on Comparing Programming without versus with Generative AI: Learning about Programming, Critical AI Use and Limitations, and Reflection
