[2026-08-12 22:40:02] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-08-11
正在获取论文...
[arXiv] 2026-08-11 | Stay or Stray - A Dynamical Systems Viewpoint of Popularity Bias
[arXiv] 2026-08-11 | Generating GKP states using quantum dots inside a strongly coupled cavity
[arXiv] 2026-08-11 | BooST: Bridging Semantics and Motions for Efficient Skill Transfer
[arXiv] 2026-08-11 | FaCTz: Fast Critical-Point and Topology-Aware GPU Compression for Scientific Vector Fields
[arXiv] 2026-08-11 | HexEval: An Evidence-Driven Hexagonal Framework for Multidimensional Scholar Assessment
[arXiv] 2026-08-11 | Weak Bisimulation Finiteness of Pushdown Systems With Deterministic $\varepsilon$-Transitions Is 2-ExpTime-Complete
[arXiv] 2026-08-11 | Probing Gluon Linear Polarization with Dihadron Fragmentation in $χ_b$ Decays
[arXiv] 2026-08-11 | Gabor Frames for Rational Windows with Symmetric Poles
[arXiv] 2026-08-11 | DashArena: Benchmarking LLMs on Interactive Analytic Dashboard Generation
[arXiv] 2026-08-11 | MARCO: Click-Intent Decomposition for Calibrated Ads Conversion Prediction
[arXiv] 2026-08-11 | Homotopical Robustness of Isometries on the Cayley Plane
[arXiv] 2026-08-11 | Sensing in Low-altitude Wireless Networks: Systems, Techniques, and Developments
[arXiv] 2026-08-11 | Mutation-preserving generalized cluster algebras and Laurent mutation invariants
[arXiv] 2026-08-11 | Reinforcement Learning-Based Laser Cutting Machine Parameter Optimization
[arXiv] 2026-08-11 | Role of Goldstone mode in nonequilibrium insulator under DC electric field
[arXiv] 2026-08-11 | SKILLER: Language-Level Reinforcement Learning for Reusable Skill Extraction in Small Language Models
[arXiv] 2026-08-11 | On Understanding, Identifying, and Mitigating Vulnerabilities in Agentic Large Language Models
[arXiv] 2026-08-11 | Construction of 3D-Ferroelectric Polarization Microstructure and Detection of Polarization Invariants under Induced Flexoelectric Strains
[arXiv] 2026-08-11 | Curvature at Infinity Governs the Topology of Complete Non-Compact Surfaces Admitting Schrödinger Operators of Finite Index
[arXiv] 2026-08-11 | From Faulty Memories to Corrected Actions: Dependency-Guided Rollback Repair for Memory-Augmented Agents
[arXiv] 2026-08-11 | DSAR: Dual-Stream Autoregressive Modeling of Temporal Cloth Dynamics for Photorealistic Animatable Avatars
[arXiv] 2026-08-11 | Exploration-Driven Personalized Federated Reinforcement Learning via Intrinsic Motivation
[arXiv] 2026-08-11 | Low-dimensional structure and online tracking of POD subspaces on the Grassmann manifold: application to flow around an airfoil
[arXiv] 2026-08-11 | Event-by-event analysis of chiral charge separation in $p^{\uparrow}+$Au collisions within an improved AMPT model
[arXiv] 2026-08-11 | The generalized second law as a thermodynamic selection criterion for dynamical dark energy
[arXiv] 2026-08-11 | INSIDE the Student's Mind: Jointly Modeling Latent Reasoning and Action in LLM Student Simulators
[arXiv] 2026-08-11 | Can LLMs be Used to Simplify Algorithms? Simpler Algorithms for Vertex Coloring and Edge Connectivity
[arXiv] 2026-08-11 | No extremal square-free words over alphabets of size at least 5
[arXiv] 2026-08-11 | Higher-Order Topological States with Cleavage-Dependent Dirac Mass
[arXiv] 2026-08-11 | A Sharp Local-Question Threshold for GHZ-Equatorial Completeness in Four-Player XOR Games
[arXiv] 2026-08-11 | A Dynamical Mechanism for Irreversibility in Cyclically Driven Amorphous Solids
[arXiv] 2026-08-11 | Media-over-Multipath-QUIC for Realtime Video Applications
[arXiv] 2026-08-11 | A fifth-order divergence-free finite difference Hermite WENO scheme for ideal magnetohydrodynamics
[arXiv] 2026-08-11 | Towards Color-Faithful Low-Light Image Enhancement via Adaptive Color Debiasing and Saturation Rectification
[arXiv] 2026-08-11 | Capacity regimes for Boolean function computation via channels
[arXiv] 2026-08-11 | Optimal fidelity estimation when one state is pure via algorithmic Uhlmann transform
[arXiv] 2026-08-11 | A second-order theory of texture for depth from focus
[arXiv] 2026-08-11 | Persona Conditioning as an Assessor-Sensitivity Probe for LLM-Based IR Evaluation
[arXiv] 2026-08-11 | Sum rules and density-wave modes in spin-singlet fractional quantum Hall fluids
[arXiv] 2026-08-11 | Longitudinal Evidence That General-Purpose Chatbots Actively Foster Relational Engagement
[arXiv] 2026-08-11 | VoxSumm: A Multilingual Corpus of Long-Form Spoken News for Joint Summarization and Translation
[arXiv] 2026-08-11 | Multi-Rate Distributed Unscented Kalman Filtering Under Collective Detectability
[arXiv] 2026-08-11 | Gravitational Faraday rotation, gravitational spin Hall effect, and spin-refined causality analysis from Magnusian matrix in effective field theories of gravity
[arXiv] 2026-08-11 | Multiway $f$-Cut is fixed-parameter tractable
[arXiv] 2026-08-11 | First measurement of kaonic deuterium X-ray transitions
[arXiv] 2026-08-11 | Composite-Boson Ansatz for Fractional Quantum Hall Manifolds of Lattice Bosons at Generic Fillings $ν<1/2$
[arXiv] 2026-08-11 | Hochschild Cohomology, Modular Tensor Categories, and Mapping Class Groups II
[arXiv] 2026-08-11 | T1, T2, and complex permittivities of hydrogels, paramagnetic salt solutions, and oils at 0.35, 1.5, and 3 Tesla
[arXiv] 2026-08-11 | MoE Proxy Models for Low-Cost Failure Reproduction and Diagnosis in LLM RL Post-Training
[IEEE] 2026-8-11 | Reducing the Price of Robustness: An Effective Uncertainty Set for Two-Stage Adaptive Robust Economic Dispatch of Smart Grids
[IEEE] 2026-8-11 | Neural Operators for Modeling of Neuronal Electrophysiological Dynamics under Complex Stimulation
[IEEE] 2026-8-11 | AI-Driven Smart Governance and Religious Values: Implications for Crisis Management and Institutional Stability in Indonesia
[IEEE] 2026-8-11 | Design of a Novel Skin Disease Classification Model Using GA-CNN Hybrid Model
[IEEE] 2026-8-11 | SRBH-DiffFuse: SRBH-Guided Diffusion for Infrared-Visible Image Fusion
[IEEE] 2026-8-11 | Optimizing Raw Material Storage: A Case Study in the Rubber Wheel Manufacturing Industry
[IEEE] 2026-8-11 | Mental Health Disorder Detection in a Low-Resource Language: A Case Study on Turkish Social Media Text
[IEEE] 2026-8-11 | Shielded Constrained Multi-Agent Reinforcement Learning for Risk-Aware Three-Dimensional Route Generation
[IEEE] 2026-8-11 | A Small Sample Load Forecasting Method Based on Hierarchical Data Ensemble Transfer Learning
[IEEE] 2026-8-11 | Research on Vehicle Trajectory Tracking Anti- Disturbance Control Based on Model Predictive Control
[IEEE] 2026-8-11 | Detection of Malicious HTTP Traffic Using Large Language Models
[IEEE] 2026-8-11 | Fluid-Dynamic Optimization of Vertical Roller Mills
[IEEE] 2026-8-11 | Detecting Unusual Behaviour in Wireless Networks Using Artificial Intelligence: A Comparative Study on the AWID3 Dataset
[IEEE] 2026-8-11 | Flexural Behavior of Reinforced Concrete Beams Incorporating Recycled Concrete Aggregate
[IEEE] 2026-8-11 | Bridging the Pension Knowledge-Action Gap: Behavioral Analytics and Workforce Resilience
[IEEE] 2026-8-11 | Optimal Neural Network Hyperparameter Consideration through Digital Predistortion in RF Power Amplifiers
[IEEE] 2026-8-11 | Integrated PCA and Random Forest Modelling for Understanding SHG Governance and Empowerment
[IEEE] 2026-8-11 | PMKS: Co-Designing Distributed Networking and Multi-Tier Storage for Ultra-Long Context LLM Inference
[IEEE] 2026-8-11 | Optimization Study of Temperature Rise in Heavy-Duty Truck Start-Stop Batteries Under Extreme Cold Conditions Based on Thermal Simulation
[IEEE] 2026-8-11 | Geometry-Consistent Content-Aware Fusion for Lightweight Small-Object Detection in UAV Imagery
[IEEE] 2026-8-11 | A CMC-Na/PAAm/MWCNT Flexible Piezoresistive Conductive Hydrogel Sensor for Steering-Wheel Grip-Behavior Monitoring
[IEEE] 2026-8-11 | LGF-RTDETR: A Lightweight Local-Global Fusion Framework with Real-Time Transformer to Detect Small Objects in Remote Sensing
[IEEE] 2026-8-11 | Modeling Tailed Dependencies in Driving Scenarios with Student's t Mixture Copula
[IEEE] 2026-8-11 | PEDETR: Scale-Aware Small Object Detection for Remote Sensing Images
[IEEE] 2026-8-11 | HMM-Based Framework for Proactive Web Application Vulnerability Detection
[IEEE] 2026-8-11 | Wind–Solar–Load Scenario Generation Based on Cross-Variable Attention and LLM-Based Operational Logic Verification
[IEEE] 2026-8-11 | Blow-up of solutions of the porous medium equation with reactions and its control implications
[IEEE] 2026-8-11 | AI-Driven Structural Health Monitoring of Reinforced Concrete Using Multimodal Sensor Fusion
[IEEE] 2026-8-11 | A Spatio-Temporal Multimodal Framework for Fine-Grained Tor Entry Traffic Identification
[IEEE] 2026-8-11 | Real-World Masked Face Authentication Based on an Occlusion-Aware Template-Query Matching Network
[ACM] 2026-8-11 | DWasm: Portable Debugging for the Web
[ACM] 2026-8-11 | VL-DNA: Enhance DNA Storage Capacity with Variable Payload/Strand Lengths
[ACM] 2026-8-11 | Poster: One-Prompt Censorship Evasion via Generative Diffusion Models
[ACM] 2026-8-11 | Prefetching for Short Video Streaming: Experiences from a Longitudinal Evolution at Planetary Scale
[ACM] 2026-8-11 | Explainable Network Verification via Localized Subspecification
[ACM] 2026-8-11 | From Nimitz to NetPila: The Evolution of Production-Scale Container Network
[IEEE] 2026-8-11 | Multi-Label Disease Detection in Chest X-Ray Images Using CheXFound: Loss Function Analysis
[IEEE] 2026-8-11 | Sample-Efficient Autonomous Surface Vehicle Navigation with Enhanced Experience Replay
[IEEE] 2026-8-11 | Deep Learning Approaches for Bearing Fault Diagnosis Using Motor Current Signals
[IEEE] 2026-8-11 | Efficient Optic Disc and Cup Segmentation for Glaucoma Assessment
[IEEE] 2026-8-11 | HAPS for Maritime Communications: Performance Comparison of Relaying Techniques
[IEEE] 2026-8-11 | Low-Cost Integrated Sensing and Communication System Design with Ultrasonic Sound Waves
[IEEE] 2026-8-11 | Comparative Analysis of 700 MHz and 2600 MHz Frequency Bands in Mobile Private LTE Networks in Terms of Performance Parameters
[IEEE] 2026-8-11 | Learning Discrete Relational Symbols for Compound Object Affordances
[IEEE] 2026-8-11 | Instruction-Tuned Translation Language Model Focused On Turkish
[IEEE] 2026-8-11 | Spatio-Temporal Time Series Forecasting with Graph-Enhanced Embeddings
[IEEE] 2026-8-11 | Retraction Notice: Database Training: Requirement to Exploitation in Hyperspectral Imagery
[IEEE] 2026-8-11 | Retraction Notice: EPNet: Efficient Patch-based Deep Network for Real-Time Semantic Segmentation
[IEEE] 2026-8-11 | Retraction Notice: Diagnosis of Alzheimer Disease using Classification Algorithms
[IEEE] 2026-8-11 | Multinomial Logistic Regression for Interpretable Multiclass Decision Systems: A Systematic Review and Integrated Research Framework_supp1-3721823.xlsx
[IEEE] 2026-8-11 | Label Distribution Enhancement-Based Label Completion for High-Noise-Ratio Crowdsourcing
[IEEE] 2026-8-11 | Performance Evaluation of Different FDA-MIMO Radar Systems in terms of Multi-Target Separation Capability
[IEEE] 2026-8-11 | Epileptic Seizure Detection via Dynamic Graph Learning in EEG Signals
[IEEE] 2026-8-11 | Preventive Maintenance Diagnostics of Fabric Filters for Better Emissions Compliance in Cement Manufacturing
[IEEE] 2026-8-11 | Artificial Intelligence for Multi-Hazard Disaster Preparedness and Response
[IEEE] 2026-8-11 | SIU 2026 Author Index
[IEEE] 2026-8-11 | Performance Analysis of Different Channel Coding Techniques Under Turbidity Effects in Underwater Optical Channels
[IEEE] 2026-8-11 | Low Earth Orbit-Supported Non-Terrestrial Networks in 6G: Challenges and Future Research Directions
[IEEE] 2026-8-11 | Feature Interaction-Based Blood Cell Classification: A Comparative Study of Machine Learning and Ensemble Methods
[IEEE] 2026-8-11 | Contrastive Wrong-Label Evaluation of Signal Grounding vs. Template Parroting in LLM-Based Bearing Fault Explainers
[IEEE] 2026-8-11 | An Efficient Technique for Low Rank and Sparse Decomposition of Matrices
[IEEE] 2026-8-11 | GWO-Based Hybrid Precoding Optimization for Indoor THz-RSMA Systems Under Practical Impairments
[IEEE] 2026-8-11 | H-2-D-Fossilize: A Project Concept for a Total De-Fossilization of Clinker Production Process of a Cement Plant
[IEEE] 2026-8-11 | Author Index
[IEEE] 2026-8-11 | Geometry-Consistent Safety Shaping for PPO-Based Multi-UAV Formation Assembly
[IEEE] 2026-8-11 | Self-Supervised Poisson Denoising in Biomedical Imaging: Edge-AI Verification of Deep Unrolling Architectures
[ACM] 2026-8-11 | End-User Programming Literacy in the Generative AI Age
[IEEE] 2026-8-12 | The Impact of the Intention to Use E-Payment on E-Wallet Applications in Vietnam: A Case Study of Vinh Long Province
[IEEE] 2026-8-11 | A Fine-grained Data Reconstruction Framework for Sparsely Sampled Industrial Time-Series
[IEEE] 2026-8-12 | Development and Analysis of a Parser for Program Models in the SimInTech PL Language
[IEEE] 2026-8-12 | Review of the Challenges with High Solar Photovoltaic Penetration in Power System
[IEEE] 2026-8-11 | Bottom Door State Estimation for Coal Hopper Wagons: A Recursive Kalman Filtering Algorithm Under Amplify-and-Forward Relays and Deception Attacks
[IEEE] 2026-8-12 | Anatomical Prior-Guided Black-Box Attack Optimization for Prostate Tumor mpMRI Classification Models
[IEEE] 2026-8-12 | Assessing Audit-Readiness in IDS and SIEM Alert Triage via Semantic Evidence Hooks
[IEEE] 2026-8-12 | Home Energy Management Systems: Architectures, AI-Enabled Services and Open Challenges
[IEEE] 2026-8-12 | Unified Heterogeneous Event Sequence Modeling for Remission-Stage Risk Prediction among Cancer Survivors with Multiple Chronic Conditions
[IEEE] 2026-8-12 | Solving Electromagnetic Scattering Problem of Multi Targets by MoM and Vector Spherical Wave Transition Matrix
[IEEE] 2026-8-12 | YAGIT: An Eco-Dystopian Motion Comic as Supplementary Material for Earth and Life Science Course
[IEEE] 2026-8-12 | Understanding and Addressing Reliability Challenges in MoS₂-Based Circuits Under Static and Transient Stress Conditions
[IEEE] 2026-8-12 | A Compact Low-Power D-Band Receiver With Integrated LO Generation and Phase Shifting for Beamforming Applications
[IEEE] 2026-8-11 | THz-TSI: A Terahertz Wireless Through-Silicon Interconnect Module for Advanced 3-D Integration Applications
[IEEE] 2026-8-11 | Modulating Retroreflector-Aided UAV-Based FSO/QKD Systems
[IEEE] 2026-8-11 | Beamforming and Irregular Tiled Array Design for LEO Satellite Communications
[IEEE] 2026-8-12 | Use of Electrical Capacitance Tomography in Robot Embedded Sensing
[IEEE] 2026-8-11 | Statistical Channel Fingerprint Construction for Massive MIMO: A Unified Tensor Learning Framework
[IEEE] 2026-8-11 | A SAR Time-to-Digital Converter Embedding Time-Domain Noise-Shaping Self-Calibration
[IEEE] 2026-8-12 | Sustainable Collaborative Computing Empowered by the Synergy of Mobile Vehicles and UAV
[IEEE] 2026-8-12 | YOPOv2-Tracker: An End-to-End Agile Tracking and Navigation Framework_supp1-3721689.mp4
[IEEE] 2026-8-12 | A Comparative Study of Cyanide and Sulfite—Thiosulfate Gold Electrolytes for Au/n-GaAs Schottky Diode Fabrication
[IEEE] 2026-8-12 | Security Acceptance Criteria for FPGA Device Adoption in Nuclear Safety-Critical Systems
[IEEE] 2026-8-12 | More Than Pivot for Maximal Clique Enumeration
[IEEE] 2026-8-12 | GalaxyRAG: Graph Retrieval-Augmented Generation for Enterprise Knowledge Systems
[IEEE] 2026-8-12 | Experimental Evaluation of Parallel Rendezvous for Fast Node Association in Wi-SUN FAN
[IEEE] 2026-8-12 | Performance Benchmarking of YOLOV26 and YOLOv8 (n/s) Across Raspberry Pi Generations
[IEEE] 2026-8-12 | F5: A Robust SIMD-Accelerated MSD Radix Sort
[IEEE] 2026-8-12 | RaSE-KGC: A Relation-Aware Segment Encoding Approach for Knowledge Graph Completion
[IEEE] 2026-8-12 | Ontology-Based Integration and Structural Design of Heterogeneous Data Warehouses for Power Equipment Diagnostics
[IEEE] 2026-8-12 | Quantifying Metaverse Participant-Pedestrian Discrepancies and Proposing Realistic Player Control
[IEEE] 2026-8-12 | Power efficient Flash ADC using optimized dynamic comparator
[IEEE] 2026-8-11 | Design and Analysis of a Dual-Rotor 10-X Double-Sided Axial-Flux Variable-Reluctance Resolver with Robust Performance
[IEEE] 2026-8-12 | Distribution Operating Security Space-based Power Decoupling Mechanism of Multiple Virtual Power Plants
[IEEE] 2026-8-12 | Treat LLM-Generated Terraform as Untrusted: An Exploratory Security Study and a Practitioner’s Verification Workflow
[IEEE] 2026-8-12 | Enhancing Remote Sensing Semantic Change Detection via Transferring and Adapting Binary Change Detection Strategies_supp1-3722510.pdf
[IEEE] 2026-8-12 | Simulation-Based Evaluation of Thermal Image Degradation Techniques for Power Substation Diagnostics
[IEEE] 2026-8-12 | Design Research on Generating a Sense of Life and Emotion in Robots Through Application of Bunraku Puppet Structures
[IEEE] 2026-8-12 | Sustaining Digital Lending Adoption: Empirical Evidence from Indonesian State-Owned Bank
[IEEE] 2026-8-12 | TORepair: Diffusion-Based Task-Oriented Error Repair Via Differentiable Bi-Level Optimization
[IEEE] 2026-8-12 | An LLM Based Framework for Automated MILP Modeling in Dynamic Multi-Robot Task Scheduling
[IEEE] 2026-8-12 | Enhanced Academic Certificate Management System Using Steganography and Dual Blockchain
[IEEE] 2026-8-12 | Temperature-Tunable Microwave Absorption in Bamboo-Derived Porous Carbon: A Physics-Based Parametric Framework
[IEEE] 2026-8-11 | A Hierarchical K-D Tree-Based SBR Method for Fast Prediction of Electromagnetic Scattering From Swarm Targets
[IEEE] 2026-8-11 | An 82-Gb/s/mm Transceiver Using Codebook-Based CNRZ-7 Signaling and CM-to-DM Noise Reduced AFE for High-Density Transmission in 28-nm CMOS
[IEEE] 2026-8-11 | Improving UAV-derived nearshore bathymetry using geospatial machine learning
[IEEE] 2026-8-12 | Characterization of Compound Conditional Diagnosability for Interconnection Networks
[IEEE] 2026-8-11 | A Lumped RC Equivalent Circuit of Head Tissues for Dispersive Neuro-Electromagnetic Modeling
[IEEE] 2026-8-12 | Beyond Accuracy: A Cost Aware Evaluation of Mobile Typing-Based Authentication
[IEEE] 2026-8-12 | Hybrid PMI Selection for Codebook-Based MIMO in 5G NR Under CSI Feedback Delay and High Mobility
[IEEE] 2026-8-12 | Configuration and Testing of a Feeder Protection-Based Power Redirection Technique with IEC 61850 Standard GOOSE Control Model Using Hardware-in-the-Loop for an Electrical Distribution System
[IEEE] 2026-8-12 | Implementation of a Gamified Web-Based One-to- One Mathematics E-Learning Platform for High School Students
[IEEE] 2026-8-12 | A Passive Vector Modulator for 28-Ghz Applications
[IEEE] 2026-8-12 | Research Methodology for Analyzing Fluid Flow Parameters in Electric Boiler Heat Exchangers within Heating Systems
[IEEE] 2026-8-12 | Prompt-Guided Community Search Under Extreme Few-Shot Supervision
[IEEE] 2026-8-12 | Low-Noise Microwave Amplifier Design Using Ideal Matching Two-Ports
[IEEE] 2026-8-12 | Design and Additive Manufacturing of a Flat GRIN Lens for X-Band
[IEEE] 2026-8-12 | Semantic Node Similarity in Graphs Using Transformer-Based Embeddings
[IEEE] 2026-8-12 | Comparative Analysis of Large Language Model Chatbots in Assessing Student Writing Using the SOLO Taxonomy
[IEEE] 2026-8-12 | An AI-Enhanced Extended Reality Framework for Probabilistic Thermal Comfort Assessment in Sustainable Building Design
[IEEE] 2026-8-12 | Sinhala-English Multilingual AI Call Center Bot with Sentiment-Aware Dialogue and Multimodal CSAT Prediction
[IEEE] 2026-8-12 | Soft Wireless Wearable Bioelectronics for Continuous Monitoring of Brain Water Dynamics Across Sleep Stages
[IEEE] 2026-8-12 | Video Brightness-Aware Encoding to Optimize Energy Consumption in HTTP Adaptive Streaming
[IEEE] 2026-8-12 | Strengthening Crisis Management Through Human-AI Collaboration in Incident Response
[IEEE] 2026-8-12 | Research on Characteristic Mode Analysis Method Based on Partially Overlapping Basis Functions
[IEEE] 2026-8-12 | Implementation of a Powered Visual Perception System for Real-Time Obstacle Classification and Spatial Navigation for People with Visual Impairments
[IEEE] 2026-8-12 | Foldable Pouch Motor for Wearable Upper Limb Assistance and Rehabilitation
[IEEE] 2026-8-12 | Implicit Framing in Obstetric Counseling Notes: A Grounded LLM Pipeline on a VBAC-Eligible Cohort
[IEEE] 2026-8-12 | Techno-Economic Assessment of Green Hydrogen Production via Grid-Connected Electrolysis in Uruguay
[IEEE] 2026-8-12 | A Hybrid Human–AI Assessment Pipeline for Proof-Based Mathematics Courses: A Cross-Domain Design in Real Analysis, Abstract Algebra, and Number Theory
[IEEE] 2026-8-12 | Flexible multimodal sensor-integrated upper-limb prostheses simulator to monitor functional engagement
[IEEE] 2026-8-11 | Reduced-Order Extended State Observer Based Adaptive Dynamic Surface Control for Dual-Points Levitation System of High-Speed Maglev
[IEEE] 2026-8-12 | High-Bandwidth Interconnects Fabricated by Electrohydrodynamic Printing on Glass
[IEEE] 2026-8-12 | Comparative Analysis of Context-Extension and Question-Matching RAG Architectures: A Case Study on German Regulatory Documentation
[IEEE] 2026-8-12 | Approximate Butterfly Counting in Sublinear Time
[IEEE] 2026-8-12 | Uncrewed Aerial Vehicle Remote Sensing for Meteorology: A review of current status, applications, and opportunities
[IEEE] 2026-8-12 | Immersive Environments in Medical Education: A Virtual Reality Approach to Angioplasty Training
[IEEE] 2026-8-12 | Developing an Immersive Application of Therapeutic Art for Emotional Regulation
[IEEE] 2026-8-12 | Design of Highly Selective Hairpin Filter on Al
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    Substrate for Ku-band Applications
[IEEE] 2026-8-12 | A Trustworthy Adaptive $h$-Refinement Method for High-Resolution Scattering Centers Imaging
[IEEE] 2026-8-12 | Effect of the SiO
                    <sub>2</sub>
                    Layer on the Diffusion of Al Atoms from the Sapphire Substrate into the Ga
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    Thin Film Used as a Lambda-Probe
[IEEE] 2026-8-12 | Knapsack Optimization-Based Schema Linking for LLM-Based Text-to-SQL Generation
[IEEE] 2026-8-12 | MOR-GPCCA for Clinically Anchored Longitudinal MRI Biomarkers and SuStaIn Subtype–Stage Modeling in Alzheimer’s Disease
[IEEE] 2026-8-12 | IoT Network Cyberattack Detection Performance Using Ensemble Machine Learning Based Intrusion Detection System
[IEEE] 2026-8-12 | LBBB and RBBB For Stress-Enhanced Prediction of Fusion Beats in ECGs Using CEEDMEN-S-G-LSTM
[IEEE] 2026-8-12 | Definite Integral Area Problems in Mathematics as A(GA)A-Type Graphical Problems with AI
[IEEE] 2026-8-11 | Alzheimer-OCT Dataset and Detection of Alzheimer’s Disease using Deep Learning
[IEEE] 2026-8-11 | Classification Model Selection Using a Mahalanobis Based Multi Criteria Decision Making Metric
[IEEE] 2026-8-11 | Resource and Location Optimization with GA in UAV-Supported Multicellular Networks: A Comparison of Greedy and Local Search
[IEEE] 2026-8-11 | FUSE-RAG: A Unified Architecture for Retrieval-Augmented Generation
[IEEE] 2026-8-11 | Automated Medical Information Retrieval via Agentic Filter-and-Refine Pipeline
[IEEE] 2026-8-11 | Assessing the Impact of Foundation Model Features and MIL Aggregators for HER2 Status Prediction from Whole-Slide Images
[IEEE] 2026-8-11 | A Residual U-Net GAN Framework for Robust Segmentation of Cardiac MRI
[IEEE] 2026-8-11 | Channel-Aware Lightweight Neumann Unfolding Network for MIMO Detection over Correlated Channels
[IEEE] 2026-8-11 | Public Sentiment of Indonesian Society Toward the Coretax Application
[IEEE] 2026-8-11 | Research on Key Technologies of Large-Capacity Long-Distance Power Transmission
[IEEE] 2026-8-11 | FS-RTDETR: An Enhanced RT-DETR for Infrared LSS Target Detection
[IEEE] 2026-8-11 | Raw-Observation-Based Monitoring and Evaluation of Smartphone GNSS Positioning Performance for Urban Service Domains
[IEEE] 2026-8-11 | Multi-source Remote Sensing Image Classification Based on Differential Feature Extraction and Cross-Attention
[IEEE] 2026-8-11 | Early Fire and Smoke Detection for Small-Scale Objects Using YOLOv8
[IEEE] 2026-8-11 | Design of an Edge-Computing-Based Embedded Real-Time Wireless Signal Processing System
[IEEE] 2026-8-11 | Investigation of Concentrated Power Ultrasonic Transducers' Electro-Mechanical Characteristics with Comsol Multiphysics Software
[IEEE] 2026-8-11 | Prediction Method for Circuit Breaker Contact Ablation State Based on Dynamic Resistance and Arc-Contact Vibration Features
[IEEE] 2026-8-11 | Key Technologies for Anti-icing and De-icing of Transmission Lines
[IEEE] 2026-8-11 | Optimal Iterative Learning Control with Neighboring Correction for Multi-Agent Systems
[IEEE] 2026-8-11 | Soybean Seeds Quality Identification Through Image Classification Using Machine Learning
[IEEE] 2026-8-11 | Robust Trajectory Tracking of an Underwater Robot via Disturbance-Observer-Based Adaptive Sliding Mode Control
[IEEE] 2026-8-11 | Knowledge-Enhanced Graph Neural Network for Traffic Flow Prediction
[IEEE] 2026-8-11 | Data-Driven Governance and Stakeholder Mapping in Edutourism Development: Evidence from Abandoned Oil Wells in Blora
[IEEE] 2026-8-11 | Learning Hierarchies in Robotic Manipulation: Asymmetries in Sequential Pushing and Grasping
[IEEE] 2026-8-11 | An intelligent home drain pipe cleaning system based on MCU STM32
[IEEE] 2026-8-11 | Adoption of Blockchain Technology in Micro, Small, and Medium Enterprises Business Dynamics: A Literature Review
[IEEE] 2026-8-11 | Evolution and Future Prospects of Cloud Computing for Machine Learning: Innovations, Challenges and Emerging Trends
[IEEE] 2026-8-11 | An End-to-End Machine Learning Framework for Credit Card Fraud Detection Using Imbalance Handling and Ensemble Models
[IEEE] 2026-8-11 | Renewable Power Scenario Generation With WGAN-GP and Transformer
[IEEE] 2026-8-11 | Microcarrier Cell Sheets from Decellularized Tissue for Articular Cartilage Regeneration
[IEEE] 2026-8-11 | A Drug-Target Affinity Prediction Model Based on Bayesian Meta-Learning and Uncertainty Fusion
[IEEE] 2026-8-11 | Attention-Guided Deep Learning for Brain Tumor Biopsy
[IEEE] 2026-8-11 | 3D Path Following of Underactuated AUV via Line-of-Sight Guidance and Backstepping Control
[IEEE] 2026-8-11 | Attention Guided Hybrid CNN Transformer Framework for Multi Disease Detection and Severity Stratification
[IEEE] 2026-8-11 | Research on temperature closed-loop control and thermoelectric coupling simulation of hightemperature superconducting cables
[IEEE] 2026-8-11 | An FPGA Accelerator Based on Improved ACO for Real-Time Dispatch of DG-Integrated Networks
[IEEE] 2026-8-11 | A Comparative Study of Embedded and Client- Server DBMS (SQLite, MySQL, and PostgreSQL) in Edge-Cloud Smart City and Digital Twin Systems
[IEEE] 2026-8-11 | Comparison Analysis of Deep Learning, Classical ML and Hybrid Models for American Sign Language Alphabet Recognition
[IEEE] 2026-8-11 | Target Localization for Robotic Arm Grasping Based on Deep Reinforcement Learning
[IEEE] 2026-8-11 | Comparative Performance Analysis of Deep Learning Architectures for Oral Cancer Detection Using Histopathological Images
[IEEE] 2026-8-11 | Zero-Shot versus Few-Shot Prompting for Complex Intent Recognition in E-Commerce Dialogue Systems: An Evaluation on an Adversarial Dataset
[IEEE] 2026-8-11 | Input Quality Validation for Clinical NLP Tradeoffs Between Accuracy and Latency
[IEEE] 2026-8-11 | A Lightweight Hybrid Encryption Architecture for High-Telemetry Constrained IoT Devices
[IEEE] 2026-8-11 | Research, Design, and Fabrication of a Drop-Test Device for Evaluating the Damping Characteristics of Motorcycle Shock Absorbers: A Comparative Study Between Brand-New and 3-Year Service States Under Vietnam's Climatic Conditions
[ACM] 2026-8-11 | LEVELLER: Fair Communication Scheduling via Progress-Rate Awareness in Multi-Tenant Training Clusters
[ACM] 2026-8-11 | Accelerating Resilient Geo-Distributed LLM Training via Photonic-Computing-Assisted Vandermonde-Orthogonal Multiplexing
[IEEE] 2026-8-11 | Relation-aware Domain Alignment and Pseudo-labeling for Cross Domain Object Detection
[IEEE] 2026-8-11 | Reliability and Traffic Aware Resource Allocation for UAV-assisted Vehicular O-RAN
[IEEE] 2026-8-11 | Retraction Notice: A Review on Detection and Analysis of Psychological Disorders Using Machine Learning
[IEEE] 2026-8-11 | Sleep-Enabled LoRaWAN Gateway via Spreading-Factor Clustering
[IEEE] 2026-8-11 | The Effect of Freezing and Thresholding Selection in Transfer Autoencoders on Time Series Anomaly Detection
[IEEE] 2026-8-11 | PPO-Based JPEG Quantization Table Optimization
