[2026-06-16 23:23:55] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-15
正在获取论文...
[arXiv] 2026-06-15 | NeuronFabric: A Software Reference Architecture for On-Chip Transformer Training with Local Adam
[arXiv] 2026-06-15 | The Perron-Bremermann envelope for $q$-plurisubharmonic functions on unbounded domains in $\mathbb{C}^n$
[arXiv] 2026-06-15 | Steering Generative Reinforcement Learning into Stable Robotic Controller
[arXiv] 2026-06-15 | A geometric reformulation and structure-preserving rotational discrete gradient scheme for the full Ericksen-Leslie model
[arXiv] 2026-06-15 | Moiré trapping of quadrupolar excitons in van der Waals trilayers
[arXiv] 2026-06-15 | Complete Classification and Nondegeneracy of $N$-Component Cubic Nonlinear Schrödinger System in ${\mathbb R}$
[arXiv] 2026-06-15 | Decoding while Adapting: Zero-Shot Online Speaker Adaptation via Audio-Textual Prompts for Elderly Speech Recognition
[arXiv] 2026-06-15 | Online Matching with KIID Edge Arrivals
[arXiv] 2026-06-15 | The Narrow-Line Seyfert 1 Phenomenon: Accretion State Versus Host Galaxy Properties
[arXiv] 2026-06-15 | Maximal Ergodic Theorems for Operators with Finite Peripheral Spectrum
[arXiv] 2026-06-15 | Estimating the disjoining pressure of liquid nanofilms from molecular dynamics simulations via implicit treatment of the bulk liquid phase
[arXiv] 2026-06-15 | HATS: A Human-Agent Teleoperation System for Multi-Arm Data Collection
[arXiv] 2026-06-15 | AURA: Active-Response Attribution under Treatment Ambiguity in Bacterial Cytological Profiling
[arXiv] 2026-06-15 | The existence of odd-even factors in 1-binding graphs
[arXiv] 2026-06-15 | Information aging in massive MIMO systems affected by phase noise
[arXiv] 2026-06-15 | Superconducting diode effect via Floquet topological Fulde-Ferrell phase in driven Rashba nanowire
[arXiv] 2026-06-15 | hyreg2: An R package to Estimate Latent Classes on a Mixture of Continuous and Dichotomous Data
[arXiv] 2026-06-15 | Electronic structure trends in La$_{2}R$Ni$_2$O$_7$ ($R=$ Pr, Nd, Sm) from first-principles
[arXiv] 2026-06-15 | Embedded Arena: Iterative Optimization via Hardware Feedback
[arXiv] 2026-06-15 | Curvature at infinity of scalar-flat ALE four-manifolds
[arXiv] 2026-06-15 | A Geometrically Exact Treatment of Percolation Through Voids around Faceted Regular and Structurally Disordered Grains
[arXiv] 2026-06-15 | A comparative and critical study of EEGNet for fNIRS-driven cognitive load classification
[arXiv] 2026-06-15 | PALM: Single-Station Super-Resolved Small-Scale Radio-Map Localization by Path-Atom Matching
[arXiv] 2026-06-15 | A Comprehensive Survey of Medical Image Segmentation: Challenges, Benchmarks, and Beyond
[arXiv] 2026-06-15 | AIA: A 16nm Multicore SoC for Approximate Inference Acceleration Exploiting Non-normalized Knuth-Yao Sampling and Inter-Core Register Sharing
[arXiv] 2026-06-15 | The Computational Complexity of Team Zero-Sum Games
[arXiv] 2026-06-15 | Doppler-shifted X-ray Spectroscopy of Nonradiative Electron Capture in Relativistic Collisions of Xe54+ Ions with Kr and Xe Atoms
[arXiv] 2026-06-15 | Invisible Manipulation Channels in AI-Assisted Financial Advisory: Implications for Market Integrity and Regulatory Design
[arXiv] 2026-06-15 | Scaling Adaptive Depth with Norm-Agnostic Residual Networks
[arXiv] 2026-06-15 | Auditing Machine Unlearning: A Systematic Research on Whether Models Truly Forget
[arXiv] 2026-06-15 | LIGO, LISA and Ultralight Axion-like Dark Matter
[arXiv] 2026-06-15 | Mid-infrared snapshot spectral imaging via nonlinear radial dispersion
[arXiv] 2026-06-15 | Problems related to strong connectivity and strong biconnectivity
[arXiv] 2026-06-15 | Random-Feature Kalman Filtering for Linear PDE Data Assimilation
[arXiv] 2026-06-15 | Tool-IQA: Augmenting Image Quality Assessment with Simple Tools
[arXiv] 2026-06-15 | AME: A Multi-Type Contributor Attribution Framework in Generative AI Markets
[arXiv] 2026-06-15 | Optimal Bounded Thrust Powered Descent with Analytical Ground-Collision Avoidance
[arXiv] 2026-06-15 | Galaxy-cluster-stacked Fermi-LAT, part IV: $\sim70$ GeV WIMP annihilation lines
[arXiv] 2026-06-15 | Distributed Acoustic Sensing for Urban Monitoring: Coverage Thresholds and Percolation
[arXiv] 2026-06-15 | TokenPilot: Cache-Efficient Context Management for LLM Agents
[arXiv] 2026-06-15 | Exploding and vanishing gradients in deep neural networks: the effect of residual connections
[arXiv] 2026-06-15 | From Tokens to Policy: Causal and Interpretable Heterogeneous Treatment Effects Identification
[arXiv] 2026-06-15 | Hadronic tensor in lattice gauge theories by quantum computing
[arXiv] 2026-06-15 | Selection Without Signal, Recovery Through Expression: A Measurement Study of Post-Hoc Falsification Operators for Frozen Small Code Models
[arXiv] 2026-06-15 | Progress toward a better BOCS: Systematic coarse-graining with local density potentials
[arXiv] 2026-06-15 | Stable Menus of Public Goods: AI-Enabled Progress
[arXiv] 2026-06-15 | Deterministic single-photon sources in hexagonal boron nitride with electron-dose-tuned purity and reversible thermal quenching
[arXiv] 2026-06-15 | SidewalkBench: Benchmarking Visual Navigation on Urban Sidewalks
[arXiv] 2026-06-15 | The entropy of black hole under second-order deviation from equilibrium
[arXiv] 2026-06-15 | Learning Policy from a Single Trajectory in Average-Reward Markov Decision Process
[arXiv] 2026-06-15 | Q-READY: Predictive Feasibility Assessment for Hybrid Quantum-Classical Applications
[arXiv] 2026-06-15 | Transferable Self-Evolving Playbooks for Agentic Security Auditing
[arXiv] 2026-06-15 | Evolutionary Bilevel Reward Shaping for Generalization in Reinforcement Learning
[arXiv] 2026-06-15 | Higher cotangent cohomology for Stanley-Reisner rings
[arXiv] 2026-06-15 | On the classification of indecomposable Ekedahl-Oort strata in unitary Shimura varieties, and related Newton polygons
[arXiv] 2026-06-15 | QCD-like theories at next-to-next-to-leading order with $N_F=2$ non-degenerate fermions
[arXiv] 2026-06-15 | Stop the Sampler! Classifier-Based Adaptive Stopping for Sampling Kernels
[arXiv] 2026-06-15 | Self-gravitating electromagnetic waves in the dark bubble model
[arXiv] 2026-06-15 | Can Optimal Dispatch Models Recreate Reality? A Retrospective Analysis of Europe's 2022 Energy Crisis Using PyPSA-Eur
[arXiv] 2026-06-15 | Sustainable Heating with Karma: A Simulation Study of the KTH Live-In Lab
[arXiv] 2026-06-15 | Diffractive structure functions from JIMWLK evolution
[arXiv] 2026-06-15 | P3B3: A Multi-Turn Conversational Benchmark for Measuring European and Brazilian Portuguese Variety Bias in LLMs
[arXiv] 2026-06-15 | The Complexity of Bisimilarity and Model Checking in Finitary Diagrams
[arXiv] 2026-06-15 | Nodal Representations for Kernel-Based Multilevel Interpolation
[arXiv] 2026-06-15 | Elastic ODYN: Differentiable Optimization for Infeasible Control and Learning in Robotics
[arXiv] 2026-06-15 | The integral closedness of lattice simplices with large lattice length
[arXiv] 2026-06-15 | CrossMaps: Confidence-Aware Open-Vocabulary Semantic Mapping for Rover Navigation
[arXiv] 2026-06-15 | Metal Oxide Clusters in Gas Giant Exoplanet Atmospheres
[arXiv] 2026-06-15 | End-to-end meta-imagers: Information-theoretic objectives and generalized focusing optima
[arXiv] 2026-06-15 | The Value Axis: Language Models Encode Whether They're on the Right Track
[arXiv] 2026-06-15 | Simultaneous Tricolor Video Observations of Three Tiny Near-Earth Asteroids with Sub-Minute Rotation Periods
[arXiv] 2026-06-15 | Geometric Action Model for Robot Policy Learning
[arXiv] 2026-06-15 | Hierarchical Advantage Weighting for Online RL Fine-Tuning of VLAs from Sparse Episode Outcomes
[arXiv] 2026-06-15 | Effective Intrinsic Ergodicity for renewal-type potentials on S-gap shifts
[arXiv] 2026-06-15 | Qwen-RobotWorld Technical Report: Unifying Embodied World Modeling through Language-Conditioned Video Generation
[arXiv] 2026-06-15 | DEEPRUBRIC: Evidence-Tree Rubric Supervision for Efficient Reinforcement Learning of Deep Research Agents
[arXiv] 2026-06-15 | Solutions in Liouville theory on dS and AdS backgrounds
[arXiv] 2026-06-15 | ActiveSAM: Image-Conditional Class Pruning for Fast and Accurate Open-Vocabulary Segmentation
[arXiv] 2026-06-15 | DreamX-World 1.0: A General-Purpose Interactive World Model
[arXiv] 2026-06-15 | A Multi-Center Benchmark for Abdominal Disease Diagnosis and Report Generation from Non-Contrast CT
[arXiv] 2026-06-15 | Consensus-based Agentic Large Language Model Framework for Harmonized Tariff Schedule Code Classification
[arXiv] 2026-06-15 | The black hole at the end of the cone: localizing the anomaly polynomial on toric geometries
[arXiv] 2026-06-15 | Electromagnetic Kantowski--Sachs Solutions in Teleparallel $F(T)$ Gravity
[arXiv] 2026-06-15 | Scalable Pairwise Kernel Learning with Stochastic Vec Trick
[arXiv] 2026-06-15 | The embrace of open science: An analysis of a decade of AI research and 56 800 conference papers
[arXiv] 2026-06-15 | Small $q$-kernels in digraphs with minimum in-degree $δ$
[arXiv] 2026-06-15 | Beyond the Smile: A Hybrid Convolutional VAE for Crypto Volatility Surfaces
[arXiv] 2026-06-15 | Diagonal-Budgeted Trotterization for Efficient Quantum Hamiltonian Simulation
[arXiv] 2026-06-15 | Re-Rooting-Based Fault-Tolerant Broadcasting in Dense Gaussian Networks
[arXiv] 2026-06-15 | Nonlinear Dynamical Regimes of Cosmological Frequency Combs
[arXiv] 2026-06-15 | A Low-Regularity Semigroup Sewing Lemma via Quotient Structures
[arXiv] 2026-06-15 | EconCSLib: A Lean Library for Computational Economics and AI-Assisted Research
[arXiv] 2026-06-15 | Attention-Based Prototype Calibration for Multi-Rater Few-Shot Medical Image Segmentation
[arXiv] 2026-06-15 | Free energy of non-convex multi-species spin glasses with centered Ising spins
[arXiv] 2026-06-15 | GRACE: Boosting Video MLLMs with Grounded Action-Centric Evidence for Viewer Sentiment Prediction
[arXiv] 2026-06-15 | Asymptotic stability of Bernstein-Greene-Kruskal (BGK) waves, Landau Damping, and scattering theory
[arXiv] 2026-06-15 | Cascaded Sparse Autoencoders Learn Multi-Level Visual Concepts in Multimodal LLMs
[arXiv] 2026-06-15 | Scalable Malware Family Classification Using Quantum Kernel Based Machine Learning
[arXiv] 2026-06-15 | Learned JPEG Compression for DNN Vision
[arXiv] 2026-06-15 | Closed-Loop Triplet Synergistic Generation for Long-Form Video
[arXiv] 2026-06-15 | Evaluating the Structural Basis for Polar Altermagnet Candidate Ca$_{3}$(Ru,Ti)$_{2}$O$_{7}$
[arXiv] 2026-06-15 | In-Plane Q Anisotropy of Higher-Order XBARs
[arXiv] 2026-06-15 | PAL-Bench: Evidence-Grounded Profile Reconstruction from Longitudinal Personal Albums
[arXiv] 2026-06-15 | AI Pluralism and the Worlds It Misses
[arXiv] 2026-06-15 | The Quality-Utility Paradox: Why High-Reward Data Impairs Small Model Mathematical Reasoning
[arXiv] 2026-06-15 | Spatiotemporally Interleaved Homodyne Photonic Tensor Core
[arXiv] 2026-06-15 | Stitching Molecular Worlds Together with Physics-Coupled Diffusion Models
[arXiv] 2026-06-15 | A priori error analysis of a mass-lumped midpoint finite element method with a structure-preserving solver for the Landau--Lifshitz--Gilbert equation with Dzyaloshinskii--Moriya interaction
[arXiv] 2026-06-15 | Non-uniqueness of weak solutions to the 3-D stationary MHD equations in Besov space with negative regularity index
[arXiv] 2026-06-15 | SwiftCache: Efficient LLM Serving for Multi-turn Conversations with Heterogeneous KV Cache Sharing
[arXiv] 2026-06-15 | Collective relaxation eigenmodes and anisotropic magnon thermal transport in $α$-MnTe
[arXiv] 2026-06-15 | Geospatial sensitivity of transmission-constrained ACOPF to generator retirement
[arXiv] 2026-06-15 | Distributed Safe Consensus Under Asymmetric Input and Time-Varying Output Constraints
[arXiv] 2026-06-15 | RecourseBench: A Modular Framework for Reproducible Algorithmic Recourse Evaluation
[arXiv] 2026-06-15 | Large Independent Sets in Flag Spheres
[arXiv] 2026-06-15 | C^2: Cache-Conscious Succinct Tries with Adaptive Unary Path Compression
[arXiv] 2026-06-15 | GraphStory: Collaborative Story Writing through Event-Based Narrative Editing
[arXiv] 2026-06-15 | Optimization of photonic waveguide bends for low index contrast material platforms
[arXiv] 2026-06-15 | A Hardy space approximation supporting zero-free half-planes for the $ζ$-function
[arXiv] 2026-06-15 | Integrated Terahertz Photonic Receiving Frontend with Link Noise Outperforming Electronics
[arXiv] 2026-06-15 | On reduction and gluing technique of simple-minded systems over self-injective algebras
[arXiv] 2026-06-15 | The Dynamics of Old Inner Galaxy Stars in Milky Way-mass Galaxies Using FIRE-2 Simulations
[arXiv] 2026-06-15 | Phys-JEPA: Physics-Informed Latent World Models for Multivariate Time-Series Forecasting
[arXiv] 2026-06-15 | Simulation-Based Multi-Fillet Evaluation of Woody Breast Poultry Fillets
[arXiv] 2026-06-15 | Polynomial-Time Riesz-Energy Subset Selection for Ordered Point Sets on Lines and $\ell_1$-Staircases
[arXiv] 2026-06-15 | Di5Guise: 5G Privacy with vSIM
[arXiv] 2026-06-15 | Liouville Theorems for the Lane-Emden Equation Involving a Mixed Local-Nonlocal Operator
[arXiv] 2026-06-15 | Exploring Extrinsic and Intrinsic Properties for Effective Reasoning with Code Interpreter
[arXiv] 2026-06-15 | A sharp bound on the integrality gap in the 3-set cover problem
[arXiv] 2026-06-15 | Unified Motion-Action Modeling for Heterogeneous Robot Learning
[arXiv] 2026-06-15 | Speaking the Language of Science: Toward a General-Purpose Generative Foundation Model for the Natural Sciences
[arXiv] 2026-06-15 | Factorized Neural Operators Decompose Dynamic and Persistent Responses
[arXiv] 2026-06-15 | Entire groups generated by fractional powers of operators
[arXiv] 2026-06-15 | Symbolic Informalization: Fluent, Productive, Multilingual
[arXiv] 2026-06-15 | Upper Bounds on the Generalization Error of Deep Learning Models via Local Robustness and Stability
[arXiv] 2026-06-15 | Very stable parabolic $G$-Higgs bundles and affine flag varieties
[arXiv] 2026-06-15 | Integrated Marketing Attribution: A Bayesian Framework for Privacy-Safe Granular Measurement Anchored in MMM
[arXiv] 2026-06-15 | The Grothendieck-Katz Conjecture for privileged local systems
[arXiv] 2026-06-15 | Internal Bass-Serre Theory for Tree Quotients
[arXiv] 2026-06-15 | Redirecting the Flow: Image Customization through Attention Distribution Shift
[arXiv] 2026-06-15 | HawkesNest: A Multi-Axis Synthetic Benchmark for Spatiotemporal Pattern Complexity
[arXiv] 2026-06-15 | Footnote to a theorem of Phagan on actions of a cyclic group
[arXiv] 2026-06-15 | Flux Quantization on 10D Type IIA Superspace via Cyclification from 11D
[arXiv] 2026-06-15 | Exact solution of the Glauber-Ising model on the finite-length semi-open chain
[arXiv] 2026-06-15 | Deep Q-Learning on Hölder Spaces
[arXiv] 2026-06-15 | OneRank: Unified Transformer-Native Ranking Architecture for Multi-Task Recommendation
[arXiv] 2026-06-15 | AI as a Partner in Learning about, Doing, and Engaging with Science: Vigilance as the Key to Productive Augmentation
[arXiv] 2026-06-15 | Understanding the Behaviors of Environment-aware Information Retrieval
[arXiv] 2026-06-15 | LLM-based Visual Code Completion for Aerospace Geometric Design
[arXiv] 2026-06-15 | A Counterexample to the Necessity of the Vanishing Carleson Condition for VMO Poisson Kernels
[arXiv] 2026-06-15 | We Need Explanation Cards to Connect Explanation Algorithms to the Real World
[arXiv] 2026-06-15 | A comparison of human and LLM-simulated participants in a writing style task
[arXiv] 2026-06-15 | GD$^2$PO: Mitigating Multi-Reward Conflicts via Group-Dynamic reward-Decoupled Policy Optimization
[arXiv] 2026-06-15 | Taming Curvature: Architecture Warm-Up for Stable Transformer Training
[arXiv] 2026-06-15 | Deep Projections and the Local Nature of the Cass Criterion
[arXiv] 2026-06-15 | Effective Goldstone dynamics on cosmological space-times
[arXiv] 2026-06-15 | Bootstrap Percolation and Partial Difference Equations
[arXiv] 2026-06-15 | Revealing the nature of double-strangeness pentaquark states via femtoscopic correlation functions
[arXiv] 2026-06-15 | AgentFairBench: Do LLM Agents Discriminate When They Act?
[arXiv] 2026-06-15 | Sensing-Assisted Predictive Beamforming for UAV-Enabled Ocean Monitoring Networks
[arXiv] 2026-06-15 | Low Precision Fortran -- Enabling Low Precision Floating Point Arithmetic in Modern Fortran
[arXiv] 2026-06-15 | User as Code: Executable Memory for Personalized Agents
[arXiv] 2026-06-15 | Activated Migration of Localized Ligand-Field Excitons in Atomically Thin CrCl3
[arXiv] 2026-06-15 | Geometric structure-preserving parametric finite element approximations for the constrained Helfrich flow
[arXiv] 2026-06-15 | Learning Hybrid Biophysical Neuron Models with Neural ODEs
[arXiv] 2026-06-15 | The effect of numerical integration in the FEM for elliptic problems with mixed boundary conditions
[arXiv] 2026-06-15 | Dilating Semigroup Representations to the Boundary Quotient
[arXiv] 2026-06-15 | Random Tensor Estimates and Deterministic Diagonal Resolutions for Mixed Paracontrolled Operators
[arXiv] 2026-06-15 | Distribution Alignment for One-Shot Federated Learning via Optimal Transport
[arXiv] 2026-06-15 | Comparison theorems in centro-affine differential geometry
[arXiv] 2026-06-15 | Non-trivial cross-$t$-intersecting families for vector spaces with the maximum sum of sizes
[arXiv] 2026-06-15 | Quantum enhancement and Doppler suppression of Kasevich-Chu atom interferometer with motional squeezing states
[arXiv] 2026-06-15 | Islamic Large Language Models: From Knowledge Acquisition to Trustworthy and Hallucination-Resistant AI
[arXiv] 2026-06-15 | Using AI in engineering education: a balancing act, driven by clear purpose
[arXiv] 2026-06-15 | Light-front diagnostics in the 't Hooft model: I. Wave functions, EMT trace decomposition, and Coulomb energy
[arXiv] 2026-06-15 | Acoustic, VOC, and Multimodal Stress Source Localization in the Internet of Plants
[arXiv] 2026-06-15 | SUP-MCRL: Subject-aware Unified Pseudo-feature Coded Multimodal Contrastive Representation Learning for EEG Visual Decoding
[arXiv] 2026-06-15 | TCHG: Tri-Trust Conditioned Heterogeneous Graph Learning for Reliable Dynamic Trust Prediction
[arXiv] 2026-06-15 | On stability of outliers from the circular law
[arXiv] 2026-06-15 | Obstructions and kernel transport for Hecke lifts of partition q-brackets
[arXiv] 2026-06-15 | Context-Aware Markov VAE for CSI Compression in Wireless Systems
[arXiv] 2026-06-15 | TreeGRNG: Binary Tree Gaussian Random Number Generator for Efficient Probabilistic AI Hardware
[arXiv] 2026-06-15 | Ultracold atomic lattice systems for simulating topological phases: A review
[arXiv] 2026-06-15 | On the Entropy Formula for Real, Complex, and Quaternionic Deep Linear Networks
[arXiv] 2026-06-15 | Quasi-kernels in Hereditary Classes and Applications to Break
[arXiv] 2026-06-15 | Fast When, Careful Who: Dual-Process Multiparty Turn-Taking with Diffusion Augmentation
[arXiv] 2026-06-15 | Local-GS: Accelerating 3D Gaussian Splatting via Tile-Local Warp Coherence
[arXiv] 2026-06-15 | THz near-field nanoscopy employing coherent synchrotron radiation
[arXiv] 2026-06-15 | $m$-sectorial discrete Laplacians and recurrence of complex-weighted graphs
[arXiv] 2026-06-15 | Simulating winds in the Galactic centre: I. Supernova-driven multiphase outflows and HI cloud acceleration
[arXiv] 2026-06-15 | Lattice Matching Dictates the Growth Mode and Quality of Deuterium Crystallization in Confined Spherical Shells
[arXiv] 2026-06-15 | Confidence Score Guided Incremental and Speaker Adaptive Pseudo-Labeling for Semi-Supervised Elderly Speech Recognition
[arXiv] 2026-06-15 | The Faithfulness Gap: Certifying Semantic Equivalence Between Natural-Language and Formal Mathematical Statements
[arXiv] 2026-06-15 | Lin--Lu--Yau Ricci Curvature of Digraphs via Optimal Transport Couplings
[arXiv] 2026-06-15 | Temporal Faraday effect enabled by Floquet-induced chirality
[arXiv] 2026-06-15 | How Post-Training Shapes Biological Reasoning Models
[arXiv] 2026-06-15 | Continuous-Wave SOFISM with SPAD Array Detection
[arXiv] 2026-06-15 | Deep Learning Segmentation of Spiral Arms and Bars for 600,000 Galaxies in DESI
[arXiv] 2026-06-15 | REFLEX: Reflective Evolution from LLM Experience
[arXiv] 2026-06-15 | Euler Stratifications of Second Hypersimplices via Delta-matroids
[arXiv] 2026-06-15 | HOLO-MPPI: Multi-Scenario Motion Planning via Hierarchical Policy Optimization
[arXiv] 2026-06-15 | Predictive Dynamic Scheduling for Deterministic Communications in Beyond 5G
[arXiv] 2026-06-15 | GreenBox: Prototyping of an Automatic Road Accident Detection System with Real-Time Notification SMS
[arXiv] 2026-06-15 | A Formal Resilience Framework for Cyber-Physical Embodied Systems under Device-Level Cyberattacks
[arXiv] 2026-06-15 | Learning aligned EEG representations with subject-specific encoders
[arXiv] 2026-06-15 | PermaVid: Consistent Video Generation Across Edits via Disentangled Context Memory
[arXiv] 2026-06-15 | Training and Evaluating Diffusion Policies with Long Context Lengths
[arXiv] 2026-06-15 | Boundary value problems for some quasilinear parabolic equations under minimal conditions on the coefficients
[arXiv] 2026-06-15 | Sommerfeld Enhancement in Spin-1 Electroweak Dark Matter
[arXiv] 2026-06-15 | LectūraAgents: A Multi-Agent Framework for Adaptive Personalized AI-Assisted Learning and Embodied Teaching
[arXiv] 2026-06-15 | Performance Analysis of AFDM Under In-Phase and Quadrature Imbalance at Receiver
[arXiv] 2026-06-15 | Edge modes generated by intersection between 3 energy bands
[arXiv] 2026-06-15 | Informative Consumption
[arXiv] 2026-06-15 | Transient-Safe Platooning via Dynamic Headway
[arXiv] 2026-06-15 | Input-Dependent Fisher Information for Local Sensitivity Analysis of Medical Image Classifiers
[arXiv] 2026-06-15 | Communication-Efficient Verifiable Attention for LLM Inference
[arXiv] 2026-06-15 | A Zalcman-Pang type rescaling result for $φ$-normal harmonic mappings and applications
[arXiv] 2026-06-15 | Medical Heuristic Learning: An LLM-Driven Framework for Interpretable and Auditable Clinical Decision Rules
[arXiv] 2026-06-15 | Diffusion Offline Reinforcement Learning for Fair and Energy-Efficient UAV-Assisted Wireless Networks
[arXiv] 2026-06-15 | Exploiting Search in Symbolic Numeric Planning with Patterns
[arXiv] 2026-06-15 | ArtBoost: Synthetic Articulatory Data Augmentation for Acoustic-to-Articulatory Inversion
[arXiv] 2026-06-15 | PaperJury: Due-Process Review for Bounded LaTeX Revision
[arXiv] 2026-06-15 | Is Your Trajectory Displacement Safe in Long-tail?
[arXiv] 2026-06-15 | When do Mixed-Integer Games Admit Rational Equilibria?
[arXiv] 2026-06-15 | Ultraviolet Structure of Real-time Gravitational Wave Linear Response in a Resonant Scalar Field
[arXiv] 2026-06-15 | VisualClaw: A Real-Time, Personalized Agent for the Physical World
[arXiv] 2026-06-15 | Reconstruction of detector error model for quantum error correction
[arXiv] 2026-06-15 | FlowMPC: Improving Flow Matching policies with World Models
[arXiv] 2026-06-15 | Gravitational waveforms from periodic orbits around Gauss-Bonnet black holes
[arXiv] 2026-06-15 | RealityBridge: Bridging Editable 3D Gaussian Splatting Driving Simulations and Real-World Videos
[arXiv] 2026-06-15 | Griffiths and Nakano positivity and Nakano-Nadel vanishing theorems for singular Hermitian metrics on complex spaces
[arXiv] 2026-06-15 | Logarithmic stability for determining the damping coefficient for the time-fractional damped wave equation
[arXiv] 2026-06-15 | Evidence for a $\bar{K}NN$ quasi-bound state in the $γd \to K^0Λp$ reaction
[arXiv] 2026-06-15 | KeepLoRA++: Continual Learning with Layer-Scaled Residual Gradient Adaptation
[arXiv] 2026-06-15 | Data Augmentations for Data-Constrained Language Model Pretraining
[arXiv] 2026-06-15 | Semiparametric Dynamic Logit Model with Endogenous Networks
[arXiv] 2026-06-15 | Synthesizing Best Abstract Transformers via Parallel Bit-Vector Optimization
[arXiv] 2026-06-15 | Latent Thought Flow: Efficient Latent Reasoning in Large Language Models
[arXiv] 2026-06-15 | Rapid Poison: Practical Poisoning Attacks Against the Rapid Response Framework
[arXiv] 2026-06-15 | Quantum Nonlocal Games on Graph Ensembles
[arXiv] 2026-06-15 | Human Universal Grasping
[arXiv] 2026-06-15 | Near-Sun Switchbacks Show Statistical Signatures of Solar Activity
[arXiv] 2026-06-15 | Neuro-Symbolic Software Verification: Hyper-charging Local Language Models with Symbolic Reasoning at Scale
[arXiv] 2026-06-15 | CoffeeBench: Benchmarking Long-Horizon LLM Agents in Heterogeneous Multi-Agent Economies
[arXiv] 2026-06-15 | Quantitative Oppenheim Conjecture for Random Quadratic Forms and Optimal Variance Bounds in Function Fields
[arXiv] 2026-06-15 | Bounds for the ratio between the domination number and the independent domination number
[arXiv] 2026-06-15 | Reference Architecture for Metadata-driven Services to Promote Reusability in Software Systems
[arXiv] 2026-06-15 | Kinetic Theory of Cosmological Magnetogenesis at Second Order: A New Density-Gradient Source and Comparison with the Harrison Mechanism
[arXiv] 2026-06-15 | MMDiff: Extending Diffusion Transformers for Multi-Modal Generation
[arXiv] 2026-06-15 | CraBERT: Efficient Phoneme Encoder Pre-Training via Cascade Fusion of Subword Representations for Text-to-Speech
[arXiv] 2026-06-15 | Look Again Before You Abstain:Budgeted Conformal Evidence Acquisition for Reliable Vision-Language Model
[arXiv] 2026-06-15 | SCAR: Semantic Continuity-Aware Retrieval for Efficient Context Expansion in RAG
[arXiv] 2026-06-15 | Vision-Language Models as Zero-Annotation Oracles in Histopathology
[arXiv] 2026-06-15 | The CREATOR Project: Towards a Computational Electric Machine Laboratory
[arXiv] 2026-06-15 | Mapping the Design Space for Youth Social Media: A Framework Centered on Friendship Building
[arXiv] 2026-06-15 | Understanding Automated Web GUI Testing: An Empirical Study Across Exploration Strategies and State Abstractions
[arXiv] 2026-06-15 | Enhancing Secret Key Generation for UAV Communications via Codeword Reconstruction
[arXiv] 2026-06-15 | Ultrastrongly coupled open systems and fine grained time
[arXiv] 2026-06-15 | XL-ChannelDiff: An Efficient Diffusion-Based Multi-Domain Near-Field Channel Extrapolation Framework for XL-MIMO Systems
[arXiv] 2026-06-15 | Reinforcement Learning with Inner-loop Dynamics Estimator for Aerial Manipulation under Uncertainty
[arXiv] 2026-06-15 | Diffusion Flow Matching: Dimension-Improved KL Bounds and Wasserstein Guarantees
[arXiv] 2026-06-15 | Timekeeping Beyond Human Whim: A Critical Analysis of Strong Conventionalism about Clocks
[arXiv] 2026-06-15 | VeriGraph: Towards Verifiable Data-Analytic Agents
[arXiv] 2026-06-15 | DifferAD-R1: A Difference-Guided IndustrialAnomaly Localization with Multimodal LargeLanguage Models
[arXiv] 2026-06-15 | Interfacial Magnetotransport in a NiI_2/Graphene Heterostructure
[arXiv] 2026-06-15 | Infant Spontaneous Movement Noise Improves Exploration in Deep RL
[arXiv] 2026-06-15 | DRIFT: Risk-Constrained Diffusion with Imitation Priors for Mixed-Autonomy Traffic Generation
[arXiv] 2026-06-15 | Learning Interface Breakup: A Geometry-Conditioned Latent Surrogate for Spray Formation
[arXiv] 2026-06-15 | Permutation orbifolds and simple current extensions
[arXiv] 2026-06-15 | Optimizing Multiple Feature Types for Image Inpainting in the Linear and Nonlinear Setting
[arXiv] 2026-06-15 | Transformation-driven generation of comparable projection images from multimodal anatomical scenes
[arXiv] 2026-06-15 | PROSE: Training-Free Egocentric Scene Registration with Vision-Language Models
[arXiv] 2026-06-15 | Local and global well-posedness in the $L^2$-setting for the Q-tensor model in $\mathbb R^N$ and $\mathbb R^N_+$
[arXiv] 2026-06-15 | Restarted Reflected Halpern Acceleration for Augmented Primal-Dual Methods
[arXiv] 2026-06-15 | Testing the max-flow min-cut property and the replication conjecture
[arXiv] 2026-06-15 | ADAPT: Analytical Disturbance-Aware Policy Training for Humanoid Locomotion
[arXiv] 2026-06-15 | MultiMolecule: a modular ecosystem for biomolecular sequence-model workflows
[arXiv] 2026-06-15 | Generated, Parallel, Scalable? A Study of Agentic AI-Generated Julia Code on Supercomputers
[arXiv] 2026-06-15 | Higher-Order Modes Are More Robust: The Origin of Bending Insensitivity in Multimode Fibers and Its Exploitation for Imaging
[arXiv] 2026-06-15 | Quantization of Contact 3-Manifolds and the Reeb Gravitational Field
[arXiv] 2026-06-15 | Scalable Bayesian data curation for next-generation radio experiments
[arXiv] 2026-06-15 | XP-TEAL: Gaia XP tool for emission and absorption lines. I. Balmer lines in open clusters
[arXiv] 2026-06-15 | Fully Quantum Algorithm for the 1-dimensional linear Lattice Boltzmann Method
