[2026-03-04 09:28:18] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-03-03
正在获取论文...
[arXiv] 2026-03-03 | Odin: Multi-Signal Graph Intelligence for Autonomous Discovery in Knowledge Graphs
[arXiv] 2026-03-03 | Experimental and Computational Analysis of the Hydrodynamics of Droplet Generation in a Cylindrical Microfluidic Device
[arXiv] 2026-03-03 | OmniFashion: Towards Generalist Fashion Intelligence via Multi-Task Vision-Language Learning
[arXiv] 2026-03-03 | Generalized Per-Agent Advantage Estimation for Multi-Agent Policy Optimization
[arXiv] 2026-03-03 | Weinberg Angle, Neutron Abundance in BBN, and Lifetime
[arXiv] 2026-03-03 | cuNRTO: GPU-Accelerated Nonlinear Robust Trajectory Optimization
[arXiv] 2026-03-03 | StitchCUDA: An Automated Multi-Agents End-to-End GPU Programing Framework with Rubric-based Agentic Reinforcement Learning
[arXiv] 2026-03-03 | Undecided State Dynamics with Many Opinions
[arXiv] 2026-03-03 | Towards an Incremental Unified Multimodal Anomaly Detection: Augmenting Multimodal Denoising From an Information Bottleneck Perspective
[arXiv] 2026-03-03 | Topological bounds on the dynamical growth rate of chemical reaction networks
[arXiv] 2026-03-03 | Uni-Skill: Building Self-Evolving Skill Repository for Generalizable Robotic Manipulation
[arXiv] 2026-03-03 | Implicit Bias in Deep Linear Discriminant Analysis
[arXiv] 2026-03-03 | Same Error, Different Function: The Optimizer as an Implicit Prior in Financial Time Series
[arXiv] 2026-03-03 | Heterogeneous Agent Collaborative Reinforcement Learning
[arXiv] 2026-03-03 | $m$-Rigidity and Finite-One Degrees Inside Typical Many-One Degrees
[arXiv] 2026-03-03 | Low-Degree Method Fails to Predict Robust Subspace Recovery
[arXiv] 2026-03-03 | Ulrich Bundles on Jacobian Variety of a Curve
[arXiv] 2026-03-03 | Dinaturality for Double Categories
[arXiv] 2026-03-03 | Molecular Dynamics Simulations Reveal PolyQ-Length-Dependent Conformational Changes in Huntingtin Exon-1: Implications for Environmental Co-Solvent Modulation of Aggregation-Prone States
[arXiv] 2026-03-03 | Modeling double bounded data based on correlated gamma random variables
[arXiv] 2026-03-03 | SOLAR: SVD-Optimized Lifelong Attention for Recommendation
[arXiv] 2026-03-03 | Chiral Polyhedra from AGL(1,q)
[arXiv] 2026-03-03 | ForestPersons: A Large-Scale Dataset for Under-Canopy Missing Person Detection
[arXiv] 2026-03-03 | Exploiting PendingIntent Provenance Confusion to Spoof Android SDK Authentication
[arXiv] 2026-03-03 | PathSpace: Rapid continuous map approximation for efficient SLAM using B-Splines in constrained environments
[arXiv] 2026-03-03 | Understanding the Effects of Interaction on Emotional Experiences in VR
[arXiv] 2026-03-03 | EIMC: Efficient Instance-aware Multi-modal Collaborative Perception
[arXiv] 2026-03-03 | Beyond Anatomy: Explainable ASD Classification from rs-fMRI via Functional Parcellation and Graph Attention Networks
[arXiv] 2026-03-03 | Multiscale Ultrabroadband Polymer Scattering Media with Tailored Emittance for Radiative Thermal Management
[arXiv] 2026-03-03 | Learning Object-Centric Spatial Reasoning for Sequential Manipulation in Cluttered Environments
[arXiv] 2026-03-03 | Semi-partitioned Generalized Method of Moments for Longitudinal Data with Lagged and Feedback Covariates
[arXiv] 2026-03-03 | SGMA: Semantic-Guided Modality-Aware Segmentation for Remote Sensing with Incomplete Multimodal Data
[arXiv] 2026-03-03 | Improving Low-Vision Chart Accessibility via On-Cursor Visual Context
[arXiv] 2026-03-03 | WTHaar-Net: a Hybrid Quantum-Classical Approach
[arXiv] 2026-03-03 | High-Stress Si3N4 Reflective Membranes Monolithically Integrated with Cavity Bragg Mirrors
[arXiv] 2026-03-03 | Geometric structures and deviations on James' symmetric positive-definite matrix bicone domain
[arXiv] 2026-03-03 | Beyond Task Completion: Revealing Corrupt Success in LLM Agents through Procedure-Aware Evaluation
[arXiv] 2026-03-03 | From Complex Dynamics to DynFormer: Rethinking Transformers for PDEs
[arXiv] 2026-03-03 | Robust principal component analysis with rank and cardinality regularization under matrix factorization
[arXiv] 2026-03-03 | Multi-Scale Adaptive Neighborhood Awareness Transformer For Graph Fraud Detection
[arXiv] 2026-03-03 | Kinetic coefficients of two-dimensional electrons with strong Zeeman splitting
[arXiv] 2026-03-03 | KA band mobile antenna for satellite communication
[arXiv] 2026-03-03 | MoECLIP: Patch-Specialized Experts for Zero-shot Anomaly Detection
[arXiv] 2026-03-03 | Using a Stifneck Select Collar$^{\mathrm{TM}}$ for hands-free semiautomatic blood flow measurements: a user study
[arXiv] 2026-03-03 | Beyond Factual Correctness: Mitigating Preference-Inconsistent Explanations in Explainable Recommendation
[arXiv] 2026-03-03 | Nemesis: A Multi-Scale, Multi-Physics Algorithm for Astrophysics
[arXiv] 2026-03-03 | EduVQA: Benchmarking AI-Generated Video Quality Assessment for Education
[arXiv] 2026-03-03 | Hasse-Witt invariants of Calabi-Yau varieties
[arXiv] 2026-03-03 | Effects of isovector spin-orbit interaction on the charge-weak form factor difference in $^{48}$Ca, $^{208}$Pb, $^{90}$Zr and $^{62}$Ni
[arXiv] 2026-03-03 | Step-Level Sparse Autoencoder for Reasoning Process Interpretation
[arXiv] 2026-03-03 | Any Resolution Any Geometry: From Multi-View To Multi-Patch
[arXiv] 2026-03-03 | SEHFS: Structural Entropy-Guided High-Order Correlation Learning for Multi-View Multi-Label Feature Selection
[arXiv] 2026-03-03 | Arithmetic structure of generalized Inoue--Bombieri manifolds
[arXiv] 2026-03-03 | Single-Sample Bilateral Trade with a Broker
[arXiv] 2026-03-03 | Notes on Solid Geometry
[arXiv] 2026-03-03 | A new methodology for direct detection of heavy dark matter at intense particle beam facilities
[arXiv] 2026-03-03 | Susceptible-Infected Epidemics on Evolving Graphs at Critical Infection Rate
[arXiv] 2026-03-03 | Nature of granular drag in microgravity
[arXiv] 2026-03-03 | eTFCE: Exact Threshold-Free Cluster Enhancement via Fast Cluster Retrieval
[arXiv] 2026-03-03 | Anisotropic skyrmion liquid phase
[arXiv] 2026-03-03 | Kitaev model in a magnetic field: stable emergent structure, degenerate classical ground states, and reentrant topology
[arXiv] 2026-03-03 | It's Alive! What a Live Object Environment Changes in Software Engineering Practice
[arXiv] 2026-03-03 | The informational observer in Relational Quantum Mechanics
[arXiv] 2026-03-03 | TagaVLM: Topology-Aware Global Action Reasoning for Vision-Language Navigation
[arXiv] 2026-03-03 | Integrating Homomorphic Encryption and Synthetic Data in FL for Privacy and Learning Quality
[arXiv] 2026-03-03 | Nuclear interference by electronic de-orthogonalisation
[arXiv] 2026-03-03 | Acyclic sets and colorings in digraphs under restrictions on degrees and cycle lengths
[arXiv] 2026-03-03 | Reducing Labeling Effort in Architecture Technical Debt Detection through Active Learning and Explainable AI
[arXiv] 2026-03-03 | TC-Padé: Trajectory-Consistent Padé Approximation for Diffusion Acceleration
[arXiv] 2026-03-03 | New morpho-kinematic classification: The two-dimensional spatial distribution of stellar specific angular momentum in late-type galaxies
[arXiv] 2026-03-03 | Self-supervised Domain Adaptation for Visual 3D Pose Estimation of Nano-drone Racing Gates by Enforcing Geometric Consistency
[arXiv] 2026-03-03 | A signal dedispersion algorithm for imaging-based transient searches
[arXiv] 2026-03-03 | Nonlinear parabolic thin sets and parabolic Wolff inequalities
[arXiv] 2026-03-03 | Interpretable Motion-Attentive Maps: Spatio-Temporally Localizing Concepts in Video Diffusion Transformers
[arXiv] 2026-03-03 | Does Fine-tuning by Reinforcement Learning Improve Generalization in Binary Speech Deepfake Detection?
[arXiv] 2026-03-03 | Learning to Generate and Extract: A Multi-Agent Collaboration Framework For Zero-shot Document-level Event Arguments Extraction
[arXiv] 2026-03-03 | The $1$-parametric $h$-principle for smooth conformal immersions of surfaces
[arXiv] 2026-03-03 | ProGIC: Progressive and Lightweight Generative Image Compression with Residual Vector Quantization
[arXiv] 2026-03-03 | 3D-DRES: Detailed 3D Referring Expression Segmentation
[arXiv] 2026-03-03 | MuxTune: Efficient Multi-Task LLM Fine-Tuning in Multi-Tenant Datacenters via Spatial-Temporal Backbone Multiplexing
[arXiv] 2026-03-03 | Spectrality of the Dirac Operator with Complex-Valued Periodic Coefficients
[arXiv] 2026-03-03 | Disentangling regional impacts of joint teleconnections using causal representation learning
[arXiv] 2026-03-03 | MIBURI: Towards Expressive Interactive Gesture Synthesis
[arXiv] 2026-03-03 | Tether: Autonomous Functional Play with Correspondence-Driven Trajectory Warping
[arXiv] 2026-03-03 | Improvement and assessment of the radiopurity of Micromegas readout planes
[arXiv] 2026-03-03 | Gravity Falls: A Comparative Analysis of Domain-Generation Algorithm (DGA) Detection Methods for Mobile Device Spearphishing
[arXiv] 2026-03-03 | DuoMo: Dual Motion Diffusion for World-Space Human Reconstruction
[arXiv] 2026-03-03 | A fast method to derive relative small-scale magnetic field variations from high resolution spectroscopy
[arXiv] 2026-03-03 | Supercritical sharpness of percolation
[arXiv] 2026-03-03 | Log Log Fluctuations of the Stochastic Heat Flow
[arXiv] 2026-03-03 | Probing Axions with Relativistic Jet Polarimetry
[arXiv] 2026-03-03 | Density-Guided Response Optimization: Community-Grounded Alignment via Implicit Acceptance Signals
[arXiv] 2026-03-03 | COP-GEN: Latent Diffusion Transformer for Copernicus Earth Observation Data -- Generation Stochastic by Design
[arXiv] 2026-03-03 | On Geometry Regularization in Autoencoder Reduced-Order Models with Latent Neural ODE Dynamics
[arXiv] 2026-03-03 | Guiding Sparse Neural Networks with Neurobiological Principles to Elicit Biologically Plausible Representations
[arXiv] 2026-03-03 | Quadratic-Order Geodesics on Meshes
[arXiv] 2026-03-03 | Geodesic flows on a black-hole background
[arXiv] 2026-03-03 | Dynamical magnetic susceptibility of non-collinear magnets: A novel KKR-based ab initio scheme and its application
[arXiv] 2026-03-03 | Dynamic Tracking Error and the Total Portfolio Approach
[arXiv] 2026-03-03 | Shadowing and Lipschitz Shadowing in Symbolic Dynamics: Finite vs. Infinite Alphabets
[arXiv] 2026-03-03 | Infinite dimensional generative sensing
[arXiv] 2026-03-03 | A Covering Framework for Offline POMDPs Learning using Belief Space Metric
[arXiv] 2026-03-03 | Quasinormal modes of four-dimensional regular black holes in quasi-topological gravity: Overtones' outburst via WKB method
[arXiv] 2026-03-03 | The multiloop sunset to all orders
[arXiv] 2026-03-03 | Entanglement-Assisted Codes Outside the Stabilizer Framework
[arXiv] 2026-03-03 | On the biogenic hydrodynamic transport of upward and downward cruising copepods
[arXiv] 2026-03-03 | Neuro-Symbolic Artificial Intelligence: A Task-Directed Survey in the Black-Box Models Era
[arXiv] 2026-03-03 | Schrödinger ultrahyperbolic equations with singular coefficients
[arXiv] 2026-03-03 | Multi-wavelength insights into the pulsar wind nebula candidate near 1LHAASO J0343+5254u: an obscured merging galaxy cluster?
[arXiv] 2026-03-03 | Efficient Image Reconstruction Architecture for Neutral Atom Quantum Computing
[arXiv] 2026-03-03 | How to Model AI Agents as Personas?: Applying the Persona Ecosystem Playground to 41,300 Posts on Moltbook for Behavioral Insights
[arXiv] 2026-03-03 | RL-Based Coverage Path Planning for Deformable Objects on 3D Surfaces
[arXiv] 2026-03-03 | Torus embeddings
[arXiv] 2026-03-03 | Surveillance, Spacing, Screaming and Scabbing: How Digital Technology Facilitates Union Busting
[arXiv] 2026-03-03 | The Science Data Lake: A Unified Open Infrastructure Integrating 293 Million Papers Across Eight Scholarly Sources with Embedding-Based Ontology Alignment
[arXiv] 2026-03-03 | Fingerprint of $T_c$ advancement in Li-doped Bi-2223 superconductors prepared by cationic molecular mixing within Pechini sol-gel synthesis
[arXiv] 2026-03-03 | RippleGUItester: Change-Aware Exploratory Testing
[arXiv] 2026-03-03 | An update on the HVP contribution to $g_μ{-}2$ in isoQCD from ETMC
[arXiv] 2026-03-03 | Nanocrystalline structure and strain in magnesium under extreme dynamic compression
[arXiv] 2026-03-03 | PRISM: Pushing the Frontier of Deep Think via Process Reward Model-Guided Inference
[arXiv] 2026-03-03 | Behavior Change as a Signal for Identifying Social Media Manipulation
[arXiv] 2026-03-03 | Gaussian Width of Convex Sets via Integral Decompositions, Projections, and the Distribution of Intrinsic Volumes
[arXiv] 2026-03-03 | A classification of rotary embeddings of multicycles
[arXiv] 2026-03-03 | Triply polarized $WWW$ at the LHC: first glimpse at LO
[arXiv] 2026-03-03 | Complexity of quantum cohomology
[arXiv] 2026-03-03 | A log prismatic-crystalline comparison theorem
[arXiv] 2026-03-03 | OneRanker: Unified Generation and Ranking with One Model in Industrial Advertising Recommendation
[arXiv] 2026-03-03 | Multiparty Quantum Key Agreement: Architectures, State-of-the-art, and Open Problems
[arXiv] 2026-03-03 | Phase-field investigation of non-isothermal solidification coupled with melt flow dynamics
[arXiv] 2026-03-03 | Anticipated synchronization in systems with distributed delay
[arXiv] 2026-03-03 | A proof for the Riemannian positive mass theorem up to dimension 19
[arXiv] 2026-03-03 | Electroweak Higgs boson pair production: Updated inclusive cross sections
[arXiv] 2026-03-03 | A Neuropsychologically Grounded Evaluation of LLM Cognitive Abilities
[ACM] 2026-3-3 | Filling the Gap: LLMs as Scaffolds for Competency Question Instantiation
[ACM] 2026-3-3 | SSWMNet: Solving the Speech Separation Problem While the Target is Wearing a Mask
[IEEE] 2026-3-3 | Design of Eagle Shaped Microstrip Antenna for Next - Gen Wifi 6E Applications
[IEEE] 2026-3-3 | A Local Voltage Stratified Control Strategy Based on the Selection of Sag Coefficients for Photovoltaic Storage Systems
[IEEE] 2026-3-3 | A mm-Wave Wideband Tunable Electrical Balance Duplexer with an Integrated Low-Noise Amplifier in 22-nm CMOS FDSOI
[IEEE] 2026-3-3 | Impact of Adversarial Examples Generated by Randomized Gradient Direction Perturbations on Image Classification Models
[IEEE] 2026-3-3 | Dark Pattern Detection on Web Page using DistilBERT
[IEEE] 2026-3-3 | BDAMEA 2025 Preface
[IEEE] 2026-3-3 | Document Tampering Location Method Based on Edge Feature Fusion
[IEEE] 2026-3-3 | Staging Vision: Composing Coherent 3D Theater Scenes from Text through Hierarchical Synthesis
[IEEE] 2026-3-3 | Intelligent Attack Detection Method for SoftwareDefined Networking
[IEEE] 2026-3-3 | A Lightweight Orbit Prediction Framework for Satellites Based on Mamba Model and Two Line Elements Data
[IEEE] 2026-3-3 | Research on Ship Energy Consumption and EEOI Optimization Based on a Combined Simulated Annealing and Particle Swarm Algorithm
[IEEE] 2026-3-3 | Efficient Facial Emotion Recognition Using Residual Squeeze-and-Excitation and Enhanced Inception Networks
[IEEE] 2026-3-3 | Investigation of MAC Architectures Using Various Parallel Prefix Adders
[IEEE] 2026-3-3 | IoT-Powered Surveillance: Intelligent Video Processing with Edge and Cloud Synergy
[IEEE] 2026-3-3 | Investigating Physical Consequences of Cyber-Attacks Using a Cyber-Physical Model of a Compressor Station
[IEEE] 2026-3-3 | Table of Contents
[IEEE] 2026-3-3 | Transient Overvoltage Suppression Method Based on Coordinated Reactive Power Control of Multi-type Converters
[IEEE] 2026-3-3 | Secure Edge Based Framework for Health Care Data
[IEEE] 2026-3-3 | Multi-Microgrid Hybrid Game-Based Optimization Scheduling Method Based on an Improved Particle Swarm Algorithm
[IEEE] 2026-3-3 | A Systematic Review of Machine Learning-Based Infant Cry Signal Analysis
[IEEE] 2026-3-3 | Efficient Dynamic Spectrum Management in Cognitive Radio Networks Via Robust Multi Head Probsparse Self Deformed CNN with Snow Ablation Optimization
[IEEE] 2026-3-3 | Surface damage detection for historic timber buildings based on CDAN model
[IEEE] 2026-3-3 | Multi-scale Attention Residual Network for Kidney CT Image Classification
[IEEE] 2026-3-3 | Design and Implementation of a Zynq-7020-Based Solar-Blind Ultraviolet Real-Time Color Image Transmission System
[IEEE] 2026-3-3 | Vectorization and Parallel Computing Optimization for Circular SAR Back Projection Algorithm
[IEEE] 2026-3-3 | 15.6 A 36GB 3.3TB/S HBM4 DRAM with Per-Channel TSV RDQS Auto Calibration and Fully-Programmable MBIST
[IEEE] 2026-3-3 | StyleAug: Style Augmentation for Multi-Agent Reinforcement Learning with Heterogeneous Observations
[IEEE] 2026-3-3 | ISSCC 2026 ITPC AM (Americas) Regional Subcommittee
[IEEE] 2026-3-3 | Attacks and Improvement of Aggregation Service for Federated Learning
[IEEE] 2026-3-3 | DGS based Wideband-Monopole Antenna For Wi-Fi and Sub-6 GHz Band Applications
[IEEE] 2026-3-3 | Multi-Fidelity Aerodynamic Data Fusion by Modeling Generalized Non-Stationary Multi-Output Gaussian Process
[IEEE] 2026-3-3 | Efficient and Lightweight YOLOv8-based Models for Real-Time Building Surface Crack Detection and Segmentation
[IEEE] 2026-3-3 | 8.2 A 32Gb/s 12.35Tb/s/mm
                    <sup>2</sup>
                    0.36pJ/b UCIe-Like Die-to-Die Interface Featuring Edge-Triggered Transceivers in 3nm with Active LSI Packaging
[IEEE] 2026-3-3 | 2025 International Conference on Power Systems, Smart Grid, and Artificial Intelligence (PSGAI)
[IEEE] 2026-3-3 | 20.5 A 24-to-27.5GHz Self-Adaptive Load-Modulated Balanced Amplifier for Integrated Communication, Sensing, and Power Transfer Scenarios
[IEEE] 2026-3-3 | Research on Online Detection Method for Aging Status of Optocouplers on Circuit Boards
[IEEE] 2026-3-3 | MoTeNet: Motion-Temporal Network for Dynamic Hand Gesture Recognition on Point Clouds
[IEEE] 2026-3-3 | Analyzing Capacitive Swipe Gesture towards User Identification
[IEEE] 2026-3-3 | Optimized Handwritten Digit Recognition Using Transfer Learning for Smart License Plate and Text Detection
[IEEE] 2026-3-3 | Fully Integrated Mm-Scale 5G RF MIMO Harvester with −40dBm Sensitivity and Spatial MPPT via Hybrid Transformer-Based Combining/Shifting
[IEEE] 2026-3-3 | A 16.4nJ/Class Patient-Independent Prototype-Based Spatio-Temporal CNN Processor with Forward-Inference-Based Adaptation for Robust and Low-Latency Seizure Detection
[IEEE] 2026-3-3 | A Multi-Objective Optimization-Based Reinforcement Learning Framework for Intelligent Energy Storage System Scheduling
[IEEE] 2026-3-3 | Low-Frequency Electric Field Communication System Based on Optomechanical Levitation
[IEEE] 2026-3-3 | Process Development for Acoustic MEMS Resonator for RF Filter Applications
[IEEE] 2026-3-3 | 12.9 A 10.2-to-16.2GHz Dual-Mode-Transformer-Based Wideband Series-Resonance VCO Achieving &gt;201.1dBc/Hz FoM
                    <sub>T</sub>
                    at a 10MHz Offset
[IEEE] 2026-3-3 | Passivation Layer Thickness-Dependent Thermal Dissipation Properties of Source-Connected Field-Plated AlGaN/GaN HEMT
[IEEE] 2026-3-3 | Detection of Blacktopped Counterfeit ICs Using Surface Texture Analysis
[IEEE] 2026-3-3 | Smart Pillow for Sleep Management
[IEEE] 2026-3-3 | Towards Robust and Efficient Continuous Face Authentication via Disentangled Representation Learning and Adaptive Identity Completion
[IEEE] 2026-3-3 | Robust IoT Botnet Detection via Residual Graph Attention Networks and Gradient Boosting: A Topology-Aware Hybrid Framework
[IEEE] 2026-3-3 | Demonstration of Reliable Operation of GaN-Based UV-A MSM Photodetector at Elevated Temperature
[IEEE] 2026-3-3 | Images in Motion?: A First Look Into Video Leakage in Collaborative Deep Learning
[IEEE] 2026-3-3 | Fault Type Inference for Transmission Lines via Cross-Attention Enhanced Multimodal Data Fusion
[IEEE] 2026-3-3 | Forecasting in Complex Systems Using Causality-Integrated DMD Techniques
[IEEE] 2026-3-3 | Comprehensive Characterization of Inkjet Printer Ag Film on Paper Substrate for Sensor Electrodes
[IEEE] 2026-3-3 | Mixed phase lead-free hybrid halide perovskite-based optoelectronic devices
[IEEE] 2026-3-3 | Session 14 Overview: Unusual Interconnects and Other Uses for Light
[IEEE] 2026-3-3 | CKADisor: Central Kernel-Aligned Distillation for Efficient Event-Driven Object Recognition
[IEEE] 2026-3-3 | Lossless Dynamic Point Cloud Geometry Compression via Rate-Distortion Optimized Motion Estimation
[IEEE] 2026-3-3 | Ambiguity Function Shaping for Weak Target Detection: A Joint Design Approach for Unimodular Waveform and Mismatched Filter
[IEEE] 2026-3-3 | Coded Computing Meets Differential Privacy: Privacy-Preserving and Straggler-Resilient Distributed Machine Learning
[IEEE] 2026-3-3 | BEST: Blockchain-Enabled Sustainable Task Scheduling for Optimizing Large AI Model Workloads at the Edge
[IEEE] 2026-3-3 | IEEE Photonics Technology Letters Information for Authors
[IEEE] 2026-3-3 | IEEE Photonics Technology Letters Information for Authors
[IEEE] 2026-3-3 | IEEE Open Access Publishing
[IEEE] 2026-3-3 | <i>fPIM</i>
                    : A Holistic Design to Optimize PIM Data Flow for High Execution Efficiency
[IEEE] 2026-3-3 | A Valve-Less Electro-Hydrostatic Powered Prosthetic Foot to Improve the Power Efficiency During Walking_supp1-3668985.mp4
[IEEE] 2026-3-3 | Hi-LSplat: Hierarchical 3D Language Gaussian Splatting
[IEEE] 2026-3-3 | A Robustness Indicator-Based Dual-Population Evolutionary Algorithm for Multimodal Multiobjective Optimization
[IEEE] 2026-3-3 | AIRPNet: Adaptive Image Restoration With Privacy Protection in Steganographic Domain
[IEEE] 2026-3-3 | Double-clad Anti-resonant Hollow-core Fiber with Inner Cladding Tube Offset for Mode Tailoring
[IEEE] 2026-3-3 | Design of a 2/6-Pole Combined Pitch Wound Rotor Brushless Doubly-Fed Generator and its Comparative Study with an 8-Pole Doubly-Fed Induction Generator
[IEEE] 2026-3-3 | MVPC-CLIP: Multi-Granularity Visual Prompt Co-Operative for Aerial Video Recognition
[IEEE] 2026-3-3 | Experimental Characterization of SupraHarmonic Emissions in E14 and E27 LED Lamps
[IEEE] 2026-3-3 | An Online Convolutional Neural Network Based Method for Open-Circuit Fault Diagnosis in Three-Phase Inverters Under Extremely Unbalanced Loading Condition
[IEEE] 2026-3-3 | Evolving Intelligent Network Attack Classifier Under Label Distribution Shift
[IEEE] 2026-3-3 | RFID-Powered Smart Cart: Hassle-Free Shopping &amp; Instant Billing
[IEEE] 2026-3-3 | Enhancing Resume Screening with Multimodal Analysis using NLP, BERT and Social Media Sentiment Analysis
[IEEE] 2026-3-3 | LSTM-Potential: An Efficient Reinforcement Learning PTA Step Size Policy for Circuit Simulation
[ACM] 2026-3-3 | Robots for Older Adults: A Scoping Review
[ACM] 2026-3-3 | CodeVoyager: Integrating Interactive Visual Aids with LLMs for Code Comprehension
[ACM] 2026-3-3 | No Code, No Cloud: On-Device Mockup-to-Code with Lightweight Vision-Language AI
[IEEE] 2026-3-3 | AI-Driven Knowledge Graph Denoising and Accuracy Optimization for Regional Sustainable Development Policies
[IEEE] 2026-3-3 | FTCS 2025 Cover Page
[IEEE] 2026-3-3 | Explainable Boosting Regression-Based Approach for Demand Forecasting
[IEEE] 2026-3-3 | Large-scale sparse signal recovery by modified HS conjugate gradient method
[IEEE] 2026-3-3 | Edge-Assisted Topology-Aware TDMA Scheduling for Shipborne Wireless Networks Using Array-Based Cooperative Localization*
[IEEE] 2026-3-3 | WF-PVL Net: A Multi-Scale Recognition Algorithm for Full-Scene Defect Detection in Wind Farms
[IEEE] 2026-3-3 | Design and Evaluation of Novel Flexible Photovoltaic Power Plants in Medium-to-Low Solar Resource Areas
[IEEE] 2026-3-3 | A Developed Multilevel Power Converter with Reduced Switch Count
[IEEE] 2026-3-3 | ISNEET 2025 Cover Page
[IEEE] 2026-3-3 | Design of a Microcontroller-Based Intelligent Detection and Cleaning System
[IEEE] 2026-3-3 | Black Start and Parameter Design for Offshore Wind Power Series Hybrid Transmission Systems
[IEEE] 2026-3-3 | IoT Intelligent Sensor Based Underwater Inspection Robot for Real Time Object Detection and Tracking
[IEEE] 2026-3-3 | Research on Power Grid Technology for Oilfield Electrical Systems
[IEEE] 2026-3-3 | Unified RF Rectifier-Demodulator for Energy Harvesting in Sub-GHz Wireless Implants
[IEEE] 2026-3-3 | Design and Application of Solar-Powered Electric Buses
[IEEE] 2026-3-3 | Low-Light Image Enhancement Based on CrossAttention Mechanism
[IEEE] 2026-3-3 | Feature Extraction of Ship Shaft-Rate Magnetic Field Signals Based on Adaptive Fourier Decomposition
[IEEE] 2026-3-3 | Heterogeneous Graph Modeling Method for APT Attack Detection Based on Multi-Head Attention Mechanism
[IEEE] 2026-3-3 | Human-Aware RT-DETR: Large-Kernel Attention and Gating for Real-Time Human Detection
[IEEE] 2026-3-3 | A Knowledge Distillation Framework for Efficient Models
[IEEE] 2026-3-3 | JEE 360 - Empowering JEE Aspirants Through AI-Driven Personalized Learning and Instant Doubt Resolution
[IEEE] 2026-3-3 | Recognition of Spread Spectrum Signal of Unmanned Aerial Vehicle Based on Adaptive Algorithm
[IEEE] 2026-3-3 | Advanced Vehicular Compliance and Emergency Alert Framework for Regulated Traffic Environments
[IEEE] 2026-3-3 | Efficient Implementation of the Sigmoid Function on FPGA Using Cordic
[IEEE] 2026-3-3 | Supercapacitor and Battery Based Energy Storage for Electric Vehicle
[IEEE] 2026-3-3 | Design and Implementation of a Fully Digital Loitering Munition Simulation Platform Based on Unreal Engine and SiamRPN
[IEEE] 2026-3-3 | A Multi-Timescale Source-Grid-Load-Storage Cooperative Dispatch Strategy Considering Economy and Flexibility
[IEEE] 2026-3-3 | A Study on Magnetic Interference of TEC Cooling System on Diamond Quantum Current Sensor
[IEEE] 2026-3-3 | Identification of Lumbar Muscle Fatigue Status Using a Parallel Fusion Network Based on Time and Frequency Domain Features
[IEEE] 2026-3-3 | Analysis of Optical Parameter Effects on Image Quality in a CMOS-Based Lensless Imaging System for Transformer Oil Inspection
[IEEE] 2026-3-3 | Feature Extraction and Online Identification of Driving Styles During Lane-Changing Maneuversuse
[IEEE] 2026-3-3 | Icing Load Separation and Equivalent Ice-Thickness Estimation for Transmission Lines via MIC-Based Feature Selection and Random Forest Regression
[IEEE] 2026-3-3 | Active Thermal Control of Power Devices through Coordinated Loss Control
[IEEE] 2026-3-3 | Unikernels vs. Containers: A Runtime-Level Performance Comparison for Resource-Constrained Edge Workloads
[IEEE] 2026-3-3 | Enhanced Magneto-Optic Ultraviolet Response in Puckered Graphene Sheets
[IEEE] 2026-3-3 | A 5.88-to-8.69 GHz 252fs
                    <sub>rms</sub>
                    -integrated-jitter Integer-N Phase-Locked Loop for 32Gb/s SerDes Transceiver Clocking in 40-nm CMOS
[IEEE] 2026-3-3 | EEG Emotion Recognition in Brain Computer Interface Through Neural Networks and Adaptive Machine Learning
[IEEE] 2026-3-3 | Research on the Performance Enhancement of the Beam Splitter in Photonics Communication Chips
[IEEE] 2026-3-3 | 2025 6th International Conference on Power Engineering (ICPE)
[IEEE] 2026-3-3 | 3D Dynamic Terrain Rendering Optimization based on C # and DirectX Fusion
[IEEE] 2026-3-3 | Comparison of Consequent-Pole and Single-Stator Single-Rotor Motors for All-Electric Aircraft
[IEEE] 2026-3-3 | "Seeing is not always believing": Exploring Bystanders’ Privacy Concerns on Multifunction IoT Devices in China
[IEEE] 2026-3-3 | A Deep Reinforcement Learning Approach to Battery Optimal Management for Urban EV Charging and Swapping Network with Uncertain Demand
[IEEE] 2026-3-3 | A Physics-Based Simulation Framework for Tower Crane Path Planning
[IEEE] 2026-3-3 | M-GGF: A Multidimensional Graph with Adaptive Graph Gated Fusion for Multimodal Emotion Recognition
[IEEE] 2026-3-3 | ReNN-RV: Run-time PE
                    <u>
                      <b>Re</b>
                    </u>
                    configuration for D
                    <u>
                      <b>NN</b>
                    </u>
                    Inference Acceleration with Custom
                    <u>
                      <b>R</b>
                    </u>
                    ISC-
                    <u>
                      <b>V</b>
                    </u>
                    ISA
[IEEE] 2026-3-3 | Orientation Effect and Enhancement Mechanism of Magnetoelectric Conversion Performance in Multilayer Nanocomposite for Magnetic Field Perception
[IEEE] 2026-3-3 | Tunable Magnetically Actuated Retraction Device for Improved Control During Endoscopic Tissue Manipulation_supp1-3668134.pdf
[IEEE] 2026-3-3 | Optimizing Scalable Storage for Blockchain-Based IoT Cross-Domain Authentication
[IEEE] 2026-3-3 | SEAL: Semantic-Aware Contrastive Learning for scRNA-seq clustering
