[2026-02-28 09:14:59] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-02-27
正在获取论文...
[IEEE] 2026-2-27 | Prediction of the Breast Cancer in Histopathology Images using JAYA-Optimized Deep Network
[IEEE] 2026-2-27 | Nature-Inspired Optimization of Kolmogorov-Arnold Networks: A Comparative Study for Medical Diagnostics
[IEEE] 2026-2-27 | Towards a lightweight ROS–CoppeliaSim simulator for the BEATRIX robotic education platform
[IEEE] 2026-2-27 | Developing a Secure, Scalable MERN Web Platform for Real-Time Food Ordering and Financial Transactions
[IEEE] 2026-2-27 | Developing an Efficient Underwater Object Detection System YOLO
[IEEE] 2026-2-27 | Brain Tumour Detection Using DenseNet121: Exploring the Role of Data Augmentation and Test-Time Augmentation for Improved Accuracy
[IEEE] 2026-2-27 | Detecting Fake Reviews on E-Commerce Platforms Using Nlp and Machine Learning
[IEEE] 2026-2-27 | Enhanced CNN-based DoS Attack detection in WSN and IoT using SMOTE for class imbalance handling
[IEEE] 2026-2-27 | Dead-Time Compensation and Neutral-Point Voltage Control for Three-Level Inverters with Zero Common-Mode Voltage Modulation
[IEEE] 2026-2-27 | Phishing Website Detection Using Deep Learning Based on URL Feature Extraction
[IEEE] 2026-2-27 | System Optimization of Implantable IPT Systems Considering Conduction and Eddy Current Loss
[IEEE] 2026-2-27 | QR or NFC? Understanding Indonesian Mobile Payment Adoption Through UTAUT
[IEEE] 2026-2-27 | PBRS for Sim-to-Real Cyber RL: Training Agents in a High-Fidelity CyberBattleSim
[ACM] 2026-2-27 | 2019 AAAI/ACM SIGAI Dissertation Honorable Mention - Aishwarya Agrawal
[IEEE] 2026-2-27 | Stability Margin Analysis of A Black-Box DC Power Distribution System Over A Wide Operation Range By Current Perturbation Injection
[IEEE] 2026-2-27 | Symmetric uncertainty-based feature selection for high-dimensional data
[IEEE] 2026-2-27 | Optimization of target motion parameter calculation strategy based on DQN
[IEEE] 2026-2-27 | A computationally efficient deep learning model for real-time image dehazing on edge devices
[IEEE] 2026-2-27 | 2025 2nd Asia Pacific Conference on Computing Technologies, Communications and Networking (CTCNet)
[IEEE] 2026-2-27 | Developing Customer Lifetime Value Prediction in the Banking Sector Using LightGBM: A Case Study of Bank XYZ
[IEEE] 2026-2-27 | A digital twin based method for parameters identification of three-phase three-level NPC inverter and sensors
[IEEE] 2026-2-27 | Hierarchical Image-Based Visual-Servoing Control for Stewart Manipulators via Data-Driven Adaptation and Incremental Prediction
[IEEE] 2026-2-27 | Collaborative Feedback Discriminative Propagation for Video Super-Resolution
[IEEE] 2026-2-27 | The DL-DAM-Based Dust Accumulation Detection Model
[IEEE] 2026-2-27 | Weakly Supervised Semantic Segmentation via Complementary Attention Fusion
[IEEE] 2026-2-27 | Integrated Green Facades on Different Residential Buildings Using Clustering Method
[IEEE] 2026-2-27 | Local Velocity Field Control of a Nonholonomic Base for Kinesthetic Interaction with a Collaborative Arm
[IEEE] 2026-2-27 | Research on the Technical Principles and Performance Verification of SoVITS Speech Synthesis Model
[IEEE] 2026-2-27 | Open-Circuit Fault Diagnosis for Neutral Point Clamped Three-Level Grid-Connected Inverters Based on a Gain-Adaptive Super-Twisting Sliding Mode Observer
[IEEE] 2026-2-27 | A Decision-Making Multiple-Scenarios Primary Frequency Regulation Method for Renewable Energy Considering Power Backup
[IEEE] 2026-2-27 | Attentional Event-RGB Sensor Fusion for Fast Drone Detection
[IEEE] 2026-2-27 | Ultra-lightweight Speech Enhancement Model for Voice-Controlled Exoskeletons
[IEEE] 2026-2-27 | Improved YOLOv8-Based Monocular Visual Recognition Method for Pallets
[IEEE] 2026-2-27 | A Capacitor Coupling Method of V2 Adaptive On-time Control for Multi-phase Buck Converter
[IEEE] 2026-2-27 | Non-Invasive Sensor Based Detection of 2-FAL and Moisture in Transformer Oil
[IEEE] 2026-2-27 | Shattered Aspirations in the Age of AI: Investigating the Impact of the Glass Ceiling on the Mental Health of Working Women
[IEEE] 2026-2-27 | A Two-Stage GaN-Based ZVS DC-DC Converter with Wide Input Voltage Range
[IEEE] 2026-2-27 | Autonomous Drainage Control Systems Enabled by AIoT for Improved Building Infrastructure Efficiency
[IEEE] 2026-2-27 | Development of a Compact Collar-Mounted Feeder for Remote Dog Feeding
[IEEE] 2026-2-27 | State-of-Charge Estimation of Lithium-ion Batteries with BiLSTM Architecture
[IEEE] 2026-2-27 | Advanced Cryptographic Solutions for Enhanced Cloud Security, Auditing, and Key Management in 6G Smart Cities
[IEEE] 2026-2-27 | Analysis and Suppression of Voltage Harmonic in Single-Phase Islanded Microgrids Under Nonlinear Load Disturbance
[IEEE] 2026-2-27 | Next-Gen Sports Analytics: Enhancing Player Performance Evaluation with Hybrid RNN-LSTM Models
[IEEE] 2026-2-27 | Ensemble GBM-Based Capsule Networks for Malicious URL Detection
[IEEE] 2026-2-27 | GeoSense: Symbolic Regression based Localization Without Global Positioning System
[IEEE] 2026-2-27 | A Teleoperation Framework for an Articulated Aerial Robot with Full DoF Mapping of Base Pose and Joint Angles
[IEEE] 2026-2-27 | A Double-Side Cooled SiC MOSFET Power Module with Embedded Common-Mode Screen and Integrated Gate Driver
[IEEE] 2026-2-27 | Study on Roller-Walker: Development of Roller-Walker II Using 3D Printed Structural Components
[IEEE] 2026-2-27 | Wavelet-enhanced Convolutional neural network integrated with the Kolmogorov-Arnold Network (WCKAN) for Hyperspectral Imagery
[IEEE] 2026-2-27 | Mobile Robot Motion Planning Based on Time-Delay CNN with Open-Space Image Inputs for Multi-Obstacle Avoidance
[IEEE] 2026-2-27 | The Architecture of AI Agents in Web3: Decentralized Networks to Semi-Autonomous Systems
[IEEE] 2026-2-27 | Motion Capture and Machine Learning-Based Evaluation of Surgical Skills in Laparoscopic Cadaver Training*
[IEEE] 2026-2-27 | Diagnosis of Leaf Disease using Jaya Optimized Convolutional Neural Networks
[IEEE] 2026-2-27 | Machine Learning-Based SVPWM Modulation for T-Type Three-Level Inverters
[IEEE] 2026-2-27 | Hybrid CEEMDAN-BiLSTM-XGBoost Framework for AQI Prediction
[IEEE] 2026-2-27 | Performance Analysis of Traditional and Deep Learning Models for Agricultural Yield Estimation
[IEEE] 2026-2-27 | MedAug-Net Powered Hybrid CNN-SVM: A Robust Model for Capsule Endoscopy Image Classification
[IEEE] 2026-2-27 | A Multivariate Parallel LSTM based Model for Bond Credit Rating Prediction
[IEEE] 2026-2-27 | Physics Parameter-Free Stator Winding Temperature Estimation of PMSM via Black-Box Machine Learning
[IEEE] 2026-2-27 | Automated Bone Fracture Detection and Radiology Report Generation from X-Rays
[IEEE] 2026-2-27 | An Empirical Study Challenging the Ability of Heterogeneous Graph Neural Networks to Effectively Learn Topological Structures
[IEEE] 2026-2-27 | Impedance-based Stability Characterization of Extended Finite Control Set MPC under Realistic Switching Constraints
[IEEE] 2026-2-27 | EETalk: Expression Enhancement in Speech-Driven 3D Facial Animation
[IEEE] 2026-2-27 | Intelligent Airspace Planning via Graph-Based Deep Reinforcement Learning
[IEEE] 2026-2-27 | Fractional-Order Online Policy Iteration-Based Approximate Optimal Control for Fractional-Order Nonlinear Systems
[IEEE] 2026-2-27 | TMM-Enhanced Reliable, Concealed and Secure ISAC Architecture for Smart Grid Networks
[IEEE] 2026-2-27 | Relay Selection in Wireless Networks as Restless Bandits
[IEEE] 2026-2-27 | Compiler-Enhanced Language for Scalable Data Workflows
[IEEE] 2026-2-27 | Rewarding Change Beyond State: Directional VLM Rewards for Sample-Efficient Robot Reinforcement Learning
                    <sup>*</sup>
[IEEE] 2026-2-27 | Explainable AI Techniques on CBCT Image Quality Improvement model for Breast Cancer Surgery Patients
[IEEE] 2026-2-27 | Grid Integration of Machine Learning -Based MPPT Photovoltaic System for Power Quality Improvement
[IEEE] 2026-2-27 | A Comprehensive Review of Microsoft Semantic Kernel: Architecture, Capabilities, and Research Directions
[IEEE] 2026-2-27 | ISED 2025 TOC
[IEEE] 2026-2-27 | Performance Evaluation and Comparison of YOLOv8, MobileNet-SSD, and MTCNN for Face Detection in Smart Attendance System
[IEEE] 2026-2-27 | Enterprise Memory Architecture for Agentic AI (EMA
                    <sub>2</sub>
                    ): A Policy-Aware, Provenance-First, Multi-Tier Memory Stack for Long-Horizon Agents
[IEEE] 2026-2-27 | Approximate Computing-Based VLSI Architecture for Optimized 2D FIR Filter Implementation
[IEEE] 2026-2-27 | Grid Black-start Strategy for Offshore Wind Power and VSC-HVDC Transmission System
[IEEE] 2026-2-27 | A Smooth Switching Strategy Between FOC and DTC for Robotic Joint Motor Based on Predictive PI Control
[IEEE] 2026-2-27 | Integrating AI and Human-in-The-Loop Feedback for Enhanced Cyber Defense and Cryptanalysis
[IEEE] 2026-2-27 | Flexible Power Control of Bidirectional Modular Multilevel Resonant DC-DC Converter for Wide Voltage Range Applications
[IEEE] 2026-2-27 | Design of a High Current Low Voltage 48V-to-PoL DC-DC Converter for Data Center Applications
[IEEE] 2026-2-27 | A Hybrid Predictive Framework for Career Path Recommendation using Ensemble Learning and Fuzzy-Logic Based Plausibility Assessment
[IEEE] 2026-2-27 | Mathematical Modeling and Simulation of Multimodal-Aware Virtual Traffic Lights for Safe and Efficient Urban Intersections
[IEEE] 2026-2-27 | A New Design Methodology for LLC Resonant Converters by Considering both Steady State and Dynamic Performance
[IEEE] 2026-2-27 | Frequency-deviation feedforward-based synchronization enhancement for grid-connected inverters
[IEEE] 2026-2-27 | Compliance-by-Design for IoT Cloud Platforms: A Reference Architecture and Case Study
[IEEE] 2026-2-27 | Fuzzy-Enhanced Deep Learning Model for Robust Cardiac Disease Prediction using CFDLNet Algorithm
[IEEE] 2026-2-27 | AI and Human Collaboration in Media: Preparing Media Professionals for AI-Integrated Workplaces
[IEEE] 2026-2-27 | Motion Planning Leveraging High-Speed Sensors for Conventional Industrial Manipulator
[IEEE] 2026-2-27 | Precision Diagnostics in Prostate Cancer: The Role of AI and Advanced Imaging
[IEEE] 2026-2-27 | SII 2026 Commentary
[IEEE] 2026-2-27 | Impact of Bi
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    Nanoparticle Dispersion on the Electrical Properties of Natural Ester Oils for High Voltage Insulation
[IEEE] 2026-2-27 | Deep Learning Models for Accurate Moisture Deficit Prediction: A Fusion of Weather and Soil Information
[IEEE] 2026-2-27 | Semantic-Guided Channel Denoising for Robust Wireless Image Transmission
[IEEE] 2026-2-27 | Simulation and Analysis of Strong Coupling Effect on the Dynamics of Double-Output Boost Converter
[IEEE] 2026-2-27 | Evaluating the Cloud Access Protocols: The Art of Minimalist Security by Applying the Principle of Least Privileges
[IEEE] 2026-2-27 | LINI: LFM Signal Source Identification Method Based on Non-source Component Suppression and Interpretable Time-frequency Network
[IEEE] 2026-2-27 | Design and Sensitivity Analysis of Strip AT-Cut Quartz Force Sensors for Multi-Axis Robotic Applications
[IEEE] 2026-2-27 | Intelligent Traffic Management System Using AI and DL Opencv to Optimize Traffic Flow and Reduce Congestion in Cities
[IEEE] 2026-2-27 | Passpotron: An Integrated Framework for Real-Time Passport Authentication Using OCR, Facial Biometrics, and Eye-Blink Liveness Validation
[IEEE] 2026-2-27 | A Brief Survey of Persistence Approaches in Real World Malwares
[IEEE] 2026-2-27 | Scalable Deep Reinforcement Learning-based User Pairing for Cell-Free MIMO Network
[IEEE] 2026-2-27 | Stability Assessment of Spire and PlanetiQ Receiver Clocks and Its Implications for GNSS-RO Atmospheric Profiles
[IEEE] 2026-2-27 | Energy-Aware and Loss-Resilient Data Collection for UAV-Assisted Unbalanced IoT Networks
[IEEE] 2026-2-27 | Robust Bidirectional Power Control of Grid-Tied Inverters under Unbalanced Grid Currents Conditions Using a Proportional-Integral-Resonant Controller and Symmetrical Component Extraction Method
[IEEE] 2026-2-27 | LLM with Relation Classifier for Document-Level Relation Extraction
[IEEE] 2026-2-27 | Context-Aware Embodied Question Answering Agent With Large Language Model
[IEEE] 2026-2-27 | Beneficial Noise Learning for Robust Multimodal Fusion
[IEEE] 2026-2-27 | Rendered 2D Semantic and Generative Priors Guided 3D Multi-Object Grounding
[IEEE] 2026-2-27 | LightQANet: Quantized and Adaptive Feature Learning for Low-Light Image Enhancement
[IEEE] 2026-2-27 | Hall-Effect–Sensor–Based Simultaneous Translational and Rotational Position Sensing System
[IEEE] 2026-2-27 | SIM-TRGAN: A Two-stage Text Repair Model based-on Semantic Injection Module
[IEEE] 2026-2-27 | The Anti-Arc Corrosion Performance of CuCr Alloys at Different Micro–Nano Scales Based on Magnetohydrodynamics (MHD) and Equivalent Heat Capacity Method
[IEEE] 2026-2-27 | Benchmarking Dehazing Methods for Traffic Scenes: A Systematic Evaluation Framework
[IEEE] 2026-2-27 | Fine-Grained Image Classification Based on Attention Mechanism and GeM Feature Fusion
[IEEE] 2026-2-27 | Based on Self-Supervised Features and Discriminative Learning for Zero-Shot Voice Cloning
[IEEE] 2026-2-27 | Command and control network fault detection method based on improved LSTM
[IEEE] 2026-2-27 | Fast Prediction of Wave Overtopping Discharge over Mangrove-Lined Seawalls using MLP
[IEEE] 2026-2-27 | Neural Tucker Convolutional Network for Water Quality Analysis
[IEEE] 2026-2-27 | Research on 5G Signal Coverage Optimization Model for Smart Cities
[IEEE] 2026-2-27 | Empirical Evaluation of Service Robot for Library Helpdesk Using Cloud Computing Services with Artificial Intelligence
                    <sup>*</sup>
[IEEE] 2026-2-27 | A Bidirectional Closed-Loop Data Collaboration Method for Multi-Network Integration in Smart Ports
[IEEE] 2026-2-27 | A Novel AI-Enhanced Textile-Embedded Wearable Biosensor for Non-Invasive Vocal-Fold Monitoring_supp1-3667224.mp4
[IEEE] 2026-2-27 | Stability analysis method for grid-forming wind turbine and energy storage interconnected system
[IEEE] 2026-2-27 | ADS: A Math Word Problem Solver Based on LLM Prompt Engineering
[IEEE] 2026-2-27 | A Gate Driver Based on LLC Resonant Converter and Enhanced Insulation Planar Transformer with Overcurrent Protection for 15 kV SiC MOSFETs
[IEEE] 2026-2-27 | Study on the Selection of Periodic Frequency Modulation Parameters Based on Common-Mode Noise Suppression
[IEEE] 2026-2-27 | Advancing Face Recognition Systems for Attendance: Overcoming Lighting and Expression Challenges
[IEEE] 2026-2-27 | A Low-Cost UAV-Based Framework for Post-Seismic Crack Detection with CNN and Gesture Control
[IEEE] 2026-2-27 | Domain-Adaptive One-Shot Target Presence Detection
[IEEE] 2026-2-27 | Accelerating Teleoperation Skill Acquisition through Visuo-Haptic Replay
[IEEE] 2026-2-27 | Evaluating LIME-Based Explainability for Phishing URL Detection Across Multiple Machine Learning Models
[IEEE] 2026-2-27 | Movement-Specific Analysis for FIM Score Classification Using Spatio-Temporal Deep Learning
[IEEE] 2026-2-27 | Optimization of Multi-Network Port and Time Synchronization for the Tunnel ORB-SLAM System
[IEEE] 2026-2-27 | A Bibliometric Study on Unskilled and Reskilled in the Era of Robotics and Automation
[IEEE] 2026-2-27 | Eddy Current Brake Design: An Axial Type Technique
[IEEE] 2026-2-27 | Sectoral Impact Analysis of Trump’s Election and Policies on LQ45 Stock Prices
[IEEE] 2026-2-27 | Solar and Biomass Based Hybrid Power System for Institutions in Delhi-NCR
[IEEE] 2026-2-27 | 3DSPC-ResNet3D: A ResNet-3D Architecture Tuned by 3DSPC for Precise Hyperspectral Classification
[IEEE] 2026-2-27 | Deep Feature Learning and Hybrid Classification for Indian Coin Recognition
[IEEE] 2026-2-27 | A Transparent Deep Learning Model for Detecting Dyslexia Through Handwriting Patterns: Enhancing Interpretability with Grad-CAM
[IEEE] 2026-2-27 | Enhanced Extremum Seeking Control (EESC) for DAHB DC-DC Converters
[IEEE] 2026-2-27 | Problem Solving Lab: An Integrated Platform for Algorithm Visualization and Learning
[IEEE] 2026-2-27 | Hemodynamics of Active Ankle Motion in a Seated Position Using a Soft Robotic Wearable Actuator: A Comparative Study of Exercise Protocols and Cycles
[IEEE] 2026-2-27 | Hybrid Quantum Optimization and Sensing for Real-Time Hospital Operations: OR Scheduling, ICU Staffing, and MRI Throughput
[IEEE] 2026-2-27 | Research on Selective Maintenance Strategy of Equipment Based on Improved Genetic Algorithm
[IEEE] 2026-2-27 | PEAS 2025 Contributor Page
[IEEE] 2026-2-27 | Multi-Mode Extended Phase-Shift Control Strategy for Single-Stage DAB AC-DC Converters Considering Minimum Current Stress
[IEEE] 2026-2-27 | A New Asymmetric Permanent Magnet Variable Flux Memory Machine with Magnetic-Field-Shifting Effect
[IEEE] 2026-2-27 | Digital Health Records and E-Governance: Advancing Age-Friendly Healthcare Systems
[IEEE] 2026-2-27 | Walking Sensation in Low- and High-Viscosity Fluids Using a Lower-Limb Force-Feedback Exoskeleton with MR Fluid Brake –The Effect of Changes in Visual on Users' Subjective Evaluation–
[IEEE] 2026-2-27 | Experimental Evaluation of a 3D-Printed Trochoidal Gear Reducer Using Potassium Titanate Fiber-Reinforced Filament
                    <sup>*</sup>
[IEEE] 2026-2-27 | Design and Posture Regulation of a Wheel-Legged All-Terrain Mobile Robot
[IEEE] 2026-2-27 | SII 2026 Welcome Message
[IEEE] 2026-2-27 | Position Sensorless Control for Doubly Salient Electromagnetic Wind Generator Based on Line-Excited Back-EMF Sliding Mode Observer
[IEEE] 2026-2-27 | Hybrid Modulation and Fault-Tolerant Control for Asymmetric Cascaded H-Bridge Inverter
[IEEE] 2026-2-27 | Integrative Framework for TP53 Mutational Impact Assessment and Drug Repurposing Through Structural Bioinformatics
[IEEE] 2026-2-27 | Deep Hybrid Feature Extraction with Ensemble Strategies for Tweet Sentiment Analysis
[IEEE] 2026-2-27 | Fractional-Order Modeling and Analysis of Switched Boost Converter Based on Equivalent Small Parameter Method
[IEEE] 2026-2-27 | Stability Analysis and Voltage Controller Design for Novel Series-Connected Dc-Link Topology for MVDC Multiphase Drives
[IEEE] 2026-2-27 | OEW-PMSM Fault Diagnosis Method Based on Output Voltage Residual
[IEEE] 2026-2-27 | Context-Aware and Behavior-Driven Authentication System Using AI and Machine Learning
[IEEE] 2026-2-27 | Design and Implementation of a Small-Scale Batch Mixing System using RISC-V Architecture
[IEEE] 2026-2-27 | IoT-enabled Waterlogging Prediction using a YOLO-based Deep Learning Model
[IEEE] 2026-2-27 | PSDR-Based DC Wind Turbine Topology and Control Strategy
[IEEE] 2026-2-27 | Junction temperature prediction of discrete IGBTs based on the case top temperature
[IEEE] 2026-2-27 | Dvice - Dynamic Vehicle Interface Simulator for Checkout Evaluation
[IEEE] 2026-2-27 | MRF-Based Mapping of Fetal and Maternal Deformations for Understanding and Supporting Fetal Movement Perception
[IEEE] 2026-2-27 | A Human Upper-Limb Motion Tracking System for Humanoid Robots
[IEEE] 2026-2-27 | A Lightweight CNN Framework for Multi-Class Cassava Leaf Disease Detection
[IEEE] 2026-2-27 | ISED 2025 Author Index
[IEEE] 2026-2-27 | Integrated ML-Calibrated Sensing with Neural Network Control for Horticultural Lighting
[IEEE] 2026-2-27 | Performance Analysis of Cross-Medium Link for Air-Sea CV-QKD Based on Monte Carlo Simulation
[IEEE] 2026-2-27 | Neural Factorization-based Bearing Fault Diagnosis
[IEEE] 2026-2-27 | Blockchain-Enabled, Machine Learning-Driven Validation of BIM Models in Secure Project Information Management
[IEEE] 2026-2-27 | Blockchain-Driven Traceability and Quality-Assured Procurement for Sustainable Fishery Supply Chains
[IEEE] 2026-2-27 | Novel Bandpass Filter Employing Hybrid Circular and Cambered SIW Resonators
[IEEE] 2026-2-27 | Dual-Method Stability Improvement for Voltage-Controlled DC-DC Converters Interfaced with Constant Power Loads in DC Microgrids
[IEEE] 2026-2-27 | Switched Resonant Branch Self-Balancing DC Transformer with Backflow Power Optimization
[IEEE] 2026-2-27 | Learning Dynamic Non-Prehensile Object Reorientation via Reinforcement Learning
[IEEE] 2026-2-27 | Controller Design for Enhancing Transient Overcurrent Capability in Grid Following Converters via Switching Frequency Adjustment
[IEEE] 2026-2-27 | Sharpness-aware Second-order Latent Factor Model for High-dimensional and Incomplete Data
[IEEE] 2026-2-27 | An Upper-Limb Endpoint Stiffness Estimation Method for High-Load Tasks
[IEEE] 2026-2-27 | 2025 1st International Conference on Emerging Trends in Information Systems and Informatics (ICETISI)
[IEEE] 2026-2-27 | Safe Fairness Guarantees Without Demographics in Classification: Spectral Uncertainty Set Perspective_supp1-3664937.pdf
[IEEE] 2026-2-27 | IEEE Standard for Intelligent Electronic Devices Cybersecurity Capabilities--Corrigendum 1
[IEEE] 2026-2-27 | Toward Following Changes in a Human’s Posture: Stroking Motion Generation Using a Mobile Manipulator and an RGB-D Camera
[IEEE] 2026-2-27 | Hydraulic and Electrical Design for Lightweight Modular Mountain Intelligent Cranes
[IEEE] 2026-2-27 | Feshdock: A Divide-and-Conquer Protein–Protein Complex Conformation Prediction Algorithm
[IEEE] 2026-2-27 | Image Diffusion Models with Multimodal Conditional Control in Zero-shot Semantic Segmentation Synthesis
[IEEE] 2026-2-27 | SLNeRF: Joint Optimization of Structured Light and NeRF
[IEEE] 2026-2-27 | Four-in-Three-Out Coupling Serial Spherical Photoelectric Stabilization Platform and Its Adaptive Antidisturbance Control
[IEEE] 2026-2-27 | Fast Diffusion-Based Camouflaged Object Detection via Asynchronous Denoising and Linear Attention
[IEEE] 2026-2-27 | PEXP: A Scalable Parallel Tree-Based Framework for Interpreting Models on Big Data
[IEEE] 2026-2-27 | Compact In-Band Full-Duplex Antenna for Deeply Implantable Biomedical IoT Applications
[IEEE] 2026-2-27 | O band TO optical switch based on silica platform
[IEEE] 2026-2-27 | Deep Neural Network-Based High-Precision Identification of Weak Stability Boundary Structures
[IEEE] 2026-2-27 | IEEE Transactions on Artificial Intelligence Publication Information
[IEEE] 2026-2-27 | Occlusion-Aware Diffusion Model for Pedestrian Intention Prediction
[ACM] 2026-2-27 | 2019 AAAI/ACM SIGAI Dissertation Award Winner - Jiajun Wu
[ACM] 2026-2-27 | Balancing Global Majority AI Ambitions with Environmental Considerations
[IEEE] 2026-2-27 | A Cloud–Edge Manufacturing Service Combination Collaborative Optimization Method Based on Federated Learning Framework
[IEEE] 2026-2-27 | Design and Evaluation of a Direct-Solar Pumping System for Automatic Drip Irrigation of Gramineous Forages
[IEEE] 2026-2-27 | Transcriptomic Signatures and Pathway Pertubations in Wilson Disease Liver Tissue: an in-Silico Approach
[IEEE] 2026-2-27 | Design and Analysis of a Synchronous Reluctance Motor with Low-Cost Ferrite Magnets for EVs
[IEEE] 2026-2-27 | A SysML v2-Based Framework for Multi-Disciplinary System Virtual Integration
[IEEE] 2026-2-27 | Real-Time Detection of Driver Distraction Due to Alcohol and Fatigue
[IEEE] 2026-2-27 | Deep Learning-Powered Weapon Detection and Classification System using Efficientdet for Public Safety
[IEEE] 2026-2-27 | Real Time Vitals Monitoring Using STM32F429 Microcontroller
[IEEE] 2026-2-27 | Calibration Method for Mixed-mode Return Loss Parameters of Network Cable Analyzer
[IEEE] 2026-2-27 | Deep Learning Approaches for Sentiment Analysis: Comparative Insights into Sequential, Convolutional, and Transformer Architectures
[IEEE] 2026-2-27 | Analysing Social Media as a Digital Tool for Inclusive Higher Education in India
[IEEE] 2026-2-27 | DeepMarineSegNet: A Multi-Scale Attention-Enhanced Network for Underwater Semantic Segmentation
[IEEE] 2026-2-27 | Artificial Intelligence Powered Cyber Threat Detection and Defence Mechanism Using Blockchain Security for Financial Attack Based on Deep Feature Engineering
[IEEE] 2026-2-27 | Evaluation of AC Loss Characteristics of MgB
                    <sub>2</sub>
                    Coil Under Rotating Magnetic Field Generated by PM Rotor
[IEEE] 2026-2-27 | WaterSplat-SLAM: Photorealistic Monocular SLAM in Underwater Environment
[IEEE] 2026-2-27 | Wireless Power Transfer and IoT in EV Charging: Opportunities, Challenges, and Future Directions
[IEEE] 2026-2-27 | IEEE Control Systems Society Publication Information
[IEEE] 2026-2-27 | Hierarchical Trajectory Planning of Floating-Base Multi-Link Robot for Maneuvering in Confined Environments
[IEEE] 2026-2-27 | Context Modeling with Multimodal Prompts for Emotion Recognition in Conversation
[IEEE] 2026-2-27 | A Hybrid Fractional Chebyshev–Legendre Spectral Collocation Method for Hamilton–Jacobi–Bellman Equations
[IEEE] 2026-2-27 | Enhancing Fine-Grained Sketch-based Image Retrieval through Contextual Information
[IEEE] 2026-2-27 | Communication Specific Emitter Identification Based on Deep Convolutional Feature Matching
[IEEE] 2026-2-27 | Modeling, Evaluation, and Comparison of Battery Equalizers Based on the Conservation of Energy
[IEEE] 2026-2-27 | A ROS-Based Hardware Abstraction Layer for Multifunction End-Effector Integration
                    <sup>*</sup>
[IEEE] 2026-2-27 | Design of a Gate Drive Circuit for Thyristor Performance Enhancement
[IEEE] 2026-2-27 | Hybrid Analog-Digital SVPWM Strategy for High-Frequency Three-Phase Buck PFC Converter
[IEEE] 2026-2-27 | Role of AI in Breast Cancer Detection by Using CNN Model
[IEEE] 2026-2-27 | RNA Transcription and Splicing Dysregulation in the Prefrontal Cortex of Huntington’s Disease
[IEEE] 2026-2-27 | A Common Mode Voltage Suppression Method for Five-Level Neutral Point Clamped Inverter Based on Modified Carrier-Overlapped PWM strategy
[IEEE] 2026-2-27 | A Novel Wideband Phase Shifter Based on Pin-Controlling of Gap Waveguide
[IEEE] 2026-2-27 | RGB-D Fusion for Wide Field of View User Feedback in Teleoperation Context
[IEEE] 2026-2-27 | Improved YOLOv10 with ScConv and FLA for Real-Time Cast Pipe Character Detection
[IEEE] 2026-2-27 | FPGA-Based Secure Automated Car Parking System Using FSM and VHDL
[IEEE] 2026-2-27 | Development of Mamdani Fuzzy Rule-Based System Using the Gray Wolf Optimizer (GWO) Algorithm for Maritime Safety Prediction
[IEEE] 2026-2-27 | Handwritten Input Using a Palm as a Writing Medium in MR Environments
[IEEE] 2026-2-27 | Health State Assessment of IGBT Bonding Wires Based on GWO-AAKR Under Varying Operating Conditions
[IEEE] 2026-2-27 | An Edge-Assisted Architecture for Context-Aware Matching in Real-Time Goods Transportation Systems
[IEEE] 2026-2-27 | A CPS-PWM Approach Based on Second-order Voltage Injection for Hybrid Modular Multilevel Converters Under Over-modulation Conditions
[IEEE] 2026-2-27 | Modelling and Current Control of Supercapacitor Controller for Lightweight Robots
[IEEE] 2026-2-27 | Automatic Sewing Pattern Generation from Garment Images Using Segmentation and Conditional GANs
[IEEE] 2026-2-27 | Semantic-Integrated Topological Mapping with Factor Graph Optimization for Small Robots in Unknown Environments
[IEEE] 2026-2-27 | An Object Placement Optimization System for Efficient and Unbiased Imitation Learning Data Collection
[IEEE] 2026-2-27 | Recognition Method Based on Time–Frequency Features of Intermittent Sampling Repeater Jamming
[IEEE] 2026-2-27 | A Wide-Frequency Output Control Strategy for Three-Phase Inverters Based on GaN HEMTs*
[IEEE] 2026-2-27 | A Review on Compact Circular Polarized Microstrip Patch Antenna for 6G Application
[IEEE] 2026-2-27 | Secure Supervisory Control of Discrete Event Systems using Homomorphic Encryption
                    <sup>*</sup>
[IEEE] 2026-2-27 | Optimized Design of Grid-Connected Pre-Synchronization for Virtual Synchronous Generator Based on Adaptive Control
[IEEE] 2026-2-27 | Fake News Detection and Knowledge Verification on Social Media Using Deep Attention Networks
[IEEE] 2026-2-27 | Design of a Communication and Monitoring System for Underwater Acoustic Sensor Networks Based on Multimodal Perception and Deep Reinforcement Learning
[IEEE] 2026-2-27 | Progressive Query Pruning for Object Detection
[IEEE] 2026-2-27 | Balancing Efficiency and Accuracy in Image Classification Using CNNs
[IEEE] 2026-2-27 | Noise-Robust Speech-Based Severity Assessment for Emergency Calls
[IEEE] 2026-2-27 | Three-dimensional Knee Joint Load Estimation System During Walking Using IMU Sensors for the Prevention of Knee Osteoarthritis: A Fundamental Study
[IEEE] 2026-2-27 | A Simplified Time-domain Model Based Feedforward Control Strategy for LLC Resonant Converters with Wide Operation Range
[IEEE] 2026-2-27 | Ultra-Compact KANSpotter with Noise Robustness for Voice-Controlled Exoskeletons
