[2026-02-20 09:29:16] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-02-19
正在获取论文...
[arXiv] 2026-02-19 | BadCLIP++: Stealthy and Persistent Backdoors in Multimodal Contrastive Learning
[arXiv] 2026-02-19 | Modeling of Relativistic Plasmas with a Conservative Discontinuous Galerkin Method
[arXiv] 2026-02-19 | Compiling Quantum Lambda-Terms into Circuits via the Geometry of Interaction
[arXiv] 2026-02-19 | Variational Grey-Box Dynamics Matching
[arXiv] 2026-02-19 | 4D Monocular Surgical Reconstruction under Arbitrary Camera Motions
[arXiv] 2026-02-19 | Construction of two-bubble blow-up solutions for the mass-critical gKdV equations
[arXiv] 2026-02-19 | Multi-Method Li Plating Characterization of a Commercial 26 Ah Li-Ion Pouch-Cell
[arXiv] 2026-02-19 | Dimension of fixed loci of diagonalizable groups via algebraic cobordism
[arXiv] 2026-02-19 | Model bias and parameter optimisation with the example of INCL/ABLA
[arXiv] 2026-02-19 | Delivery of complex organic molecules to the system of Jupiter
[arXiv] 2026-02-19 | Matrix-product operator dualities in integrable lattice models
[arXiv] 2026-02-19 | A $y$-ification of Khovanov homology
[arXiv] 2026-02-19 | EAGLE: Expert-Augmented Attention Guidance for Tuning-Free Industrial Anomaly Detection in Multimodal Large Language Models
[arXiv] 2026-02-19 | Quantum Advantage for Sensing Properties of Classical Fields
[arXiv] 2026-02-19 | Selective Training for Large Vision Language Models via Visual Information Gain
[arXiv] 2026-02-19 | Adam Improves Muon: Adaptive Moment Estimation with Orthogonalized Momentum
[arXiv] 2026-02-19 | Analysis of an exponential integrator for stochastic PDEs driven by Riesz noise
[arXiv] 2026-02-19 | Realization of fractional Fermi seas
[arXiv] 2026-02-19 | Non-equilibrium functional inequalities for finite Markov chains
[arXiv] 2026-02-19 | Hybrid Monte Carlo for Fractional Quantum Hall States
[arXiv] 2026-02-19 | On the Concept of Violence: A Comparative Study of Human and AI Judgments
[arXiv] 2026-02-19 | Fractional $1/3$ quantum vortices in chiral $d+id$ kagome superconductors
[arXiv] 2026-02-19 | Semi-Local Exchange-Correlation Approximations in Density Functional Theory
[arXiv] 2026-02-19 | Vibrational infrared and Raman spectra of the methanol molecule with equivariant neural-network property surfaces
[arXiv] 2026-02-19 | GASS: Geometry-Aware Spherical Sampling for Disentangled Diversity Enhancement in Text-to-Image Generation
[arXiv] 2026-02-19 | Kuiper Belt Formation via Grainy Planetary Migration
[arXiv] 2026-02-19 | A Privacy by Design Framework for Large Language Model-Based Applications for Children
[arXiv] 2026-02-19 | Improving LLM-based Recommendation with Self-Hard Negatives from Intermediate Layers
[arXiv] 2026-02-19 | Wave front set of solutions to the fractional Schrödinger equation
[arXiv] 2026-02-19 | A Contrastive Variational AutoEncoder for NSCLC Survival Prediction with Missing Modalities
[arXiv] 2026-02-19 | On a Quadratic Relation Between Stanley-Wilf Limits and Füredi-Hajnal Limits
[arXiv] 2026-02-19 | A High-Level Survey of Optical Remote Sensing
[arXiv] 2026-02-19 | Voice-Driven Semantic Perception for UAV-Assisted Emergency Networks
[arXiv] 2026-02-19 | Atomic-Scale Surface Imaging of bulk Epitaxial CsPbBr3 Perovskite Single Crystals on Mica using Light Assisted Scanning Tunneling Microscopy at Low-Temperature (80 K)
[arXiv] 2026-02-19 | DRetHTR: Linear-Time Decoder-Only Retentive Network for Handwritten Text Recognition
[arXiv] 2026-02-19 | Quantifying non-Markovianity in magnetization dynamics via entropy production rates
[arXiv] 2026-02-19 | End-to-End Latency Measurement Methodology for Connected and Autonomous Vehicle Teleoperation
[arXiv] 2026-02-19 | The Role of the Availability Heuristic in Multiple-Choice Answering Behaviour
[arXiv] 2026-02-19 | Impacts of Economic Policies on Wealth Distribution in Token Economies
[arXiv] 2026-02-19 | Variance renormalisation in regularity structures -- the case of $2d$ gPAM
[arXiv] 2026-02-19 | Prophet Inequality with Conservative Prediction
[arXiv] 2026-02-19 | Astra: AI Safety, Trust, & Risk Assessment
[arXiv] 2026-02-19 | Frobenius extensions about centralizer matrix algebras
[arXiv] 2026-02-19 | Dissipative charging of tight-binding quantum batteries
[arXiv] 2026-02-19 | The Sound of Death: Deep Learning Reveals Vascular Damage from Carotid Ultrasound
[arXiv] 2026-02-19 | Instability of two-pulse periodic waves with long wavelength in some Hamiltonian PDEs
[arXiv] 2026-02-19 | Flickering Multi-Armed Bandits
[arXiv] 2026-02-19 | Open Datasets in Learning Analytics: Trends, Challenges, and Best PRACTICE
[arXiv] 2026-02-19 | Far-field heat transfer and monochromatic thermal currents in a cylindrical nonreciprocal cavity
[arXiv] 2026-02-19 | LexiSafe: Offline Safe Reinforcement Learning with Lexicographic Safety-Reward Hierarchy
[arXiv] 2026-02-19 | Attachment Anchors: A Novel Framework for Laparoscopic Grasping Point Prediction in Colorectal Surgery
[arXiv] 2026-02-19 | Effect of oxygen content on optical, structural, and dielectric properties of Al$_x$Ta$_y$O$_z$$ thin films
[arXiv] 2026-02-19 | On the complexity of covering points by disjoint segments and by guillotine cuts
[arXiv] 2026-02-19 | Comparing Numbers of Diagonal Subsemigroups and Congruences for Semigroups
[arXiv] 2026-02-19 | Towards Cross-lingual Values Assessment: A Consensus-Pluralism Perspective
[arXiv] 2026-02-19 | Visual Insights into Agentic Optimization of Pervasive Stream Processing Services
[arXiv] 2026-02-19 | Estimating Zero-inflated Negative Binomial GAMLSS via a Balanced Gradient Boosting Approach with an Application to Antenatal Care Data from Nigeria
[arXiv] 2026-02-19 | Selection and Collider Restriction Bias Due to Predictor Availability in Prognostic Models
[arXiv] 2026-02-19 | Inferring Height from Earth Embeddings: First insights using Google AlphaEarth
[arXiv] 2026-02-19 | The optimal hypercontractive constants for $\mathbb{Z}_3$
[arXiv] 2026-02-19 | Tri-Resonant Leptogenesis in a Non-Holomorphic Modular A$_4$ Scotogenic Model
[arXiv] 2026-02-19 | Disjunction Composition of BDD Transition Systems for Model-Based Testing
[arXiv] 2026-02-19 | Wide-Surface Furnace for In Situ X-Ray Diffraction of Combinatorial Samples using a High-Throughput Approach
[arXiv] 2026-02-19 | From Labor to Collaboration: A Methodological Experiment Using AI Agents to Augment Research Perspectives in Taiwan's Humanities and Social Sciences
[arXiv] 2026-02-19 | Extending quantum theory with AI-assisted deterministic game theory
[arXiv] 2026-02-19 | Phonon-enhanced strain sensitivity of quantum dots in two-dimensional semiconductors
[arXiv] 2026-02-19 | Vibrational Instabilities in Charge Transport through Molecular Nanojunctions: The Role of Anharmonic Nuclear Potentials
[arXiv] 2026-02-19 | Deeper detection limits in astronomical imaging using self-supervised spatiotemporal denoising
[arXiv] 2026-02-19 | Algorithmic Collusion at Test Time: A Meta-game Design and Evaluation
[arXiv] 2026-02-19 | A Novel Near-Field Dictionary Design for Hybrid MIMO with Uniform Planar Arrays
[arXiv] 2026-02-19 | Secure Task Offloading and Resource Allocation Design for Multi-Layer Non-Terrestrial Networks
[arXiv] 2026-02-19 | On the Banach-Mazur Ellipse
[arXiv] 2026-02-19 | Polarization measurement of $Λ^+_c$ and $\overlineΛ{}^-_c$ baryons in $p$Ne collisions at $\sqrt{s_{NN}} = 68.6$ GeV
[arXiv] 2026-02-19 | Why are there so few non-altermagnetic antiferromagnets?
[arXiv] 2026-02-19 | Bright Fractional Single and Multi-Solitons in a Prototypical Nonlinear Schr{ö}dinger Paradigm: Existence, Stability and Dynamics
[arXiv] 2026-02-19 | Towards the complete description of stationary states of a Bose-Einstein condensate in a one-dimensional quasiperiodic lattice: A coding approach
[arXiv] 2026-02-19 | In-Context Learning in Linear vs. Quadratic Attention Models: An Empirical Study on Regression Tasks
[arXiv] 2026-02-19 | CLEF HIPE-2026: Evaluating Accurate and Efficient Person-Place Relation Extraction from Multilingual Historical Texts
[arXiv] 2026-02-19 | Benchmarking quantum phase-space methods for near-resonant light propagation
[arXiv] 2026-02-19 | A Chemodynamical Census of the Milky Way's Ultra-Faint Compact Satellites. I. A First Population-Level Look at the Internal Kinematics and Metallicities of 19 Extremely-Low-Mass Halo Stellar Systems
[arXiv] 2026-02-19 | Human-level 3D shape perception emerges from multi-view learning
[arXiv] 2026-02-19 | Multi-Round Human-AI Collaboration with User-Specified Requirements
[arXiv] 2026-02-19 | CORAL: Correspondence Alignment for Improved Virtual Try-On
[arXiv] 2026-02-19 | Catastrophic Forgetting Resilient One-Shot Incremental Federated Learning
[arXiv] 2026-02-19 | Light dark sector via thermal decays of Dark Matter: the case of a 17 MeV particle coupled to electrons
[arXiv] 2026-02-19 | Generically log smooth families via generators and relations
[arXiv] 2026-02-19 | Stable Asynchrony: Variance-Controlled Off-Policy RL for LLMs
[arXiv] 2026-02-19 | Characterization of compressible fluctuations in solar wind streams dominated by balanced and imbalanced turbulence: Parker Solar Probe, Solar Orbiter and Wind observations
[arXiv] 2026-02-19 | Discovery of Polymer Electrolytes with Bayesian Optimization and High-Throughput Molecular Dynamics simulations
[arXiv] 2026-02-19 | AI Gamestore: Scalable, Open-Ended Evaluation of Machine General Intelligence with Human Games
[arXiv] 2026-02-19 | MUSEQuBES: Probing Anisotropies in Gas and Metal Distributions in the Circumgalactic Medium
[arXiv] 2026-02-19 | Optimal control of stochastic Volterra integral equations with completely monotone kernels and stochastic differential equations on Hilbert spaces with unbounded control and diffusion operators
[arXiv] 2026-02-19 | Hybrid System Planning using a Mixed-Integer ADMM Heuristic and Hybrid Zonotopes
[arXiv] 2026-02-19 | Optimal Unconstrained Self-Distillation in Ridge Regression: Strict Improvements, Precise Asymptotics, and One-Shot Tuning
[arXiv] 2026-02-19 | Neural Implicit Representations for 3D Synthetic Aperture Radar Imaging
[arXiv] 2026-02-19 | Scattering in Instanton Backgrounds
[arXiv] 2026-02-19 | IRIS: Learning-Driven Task-Specific Cinema Robot Arm for Visuomotor Motion Control
[arXiv] 2026-02-19 | Toward a Fully Autonomous, AI-Native Particle Accelerator
[arXiv] 2026-02-19 | Inspiral tests of general relativity and waveform geometry
[arXiv] 2026-02-19 | High-precision Penning-trap spectroscopy of the ground-state spin structure of HD+
[arXiv] 2026-02-19 | What Do LLMs Associate with Your Name? A Human-Centered Black-Box Audit of Personal Data
[arXiv] 2026-02-19 | Directed type theory, with a twist
[arXiv] 2026-02-19 | Analytical Derivation of Quantization Error in Threshold Level Quantizers Using Bipolar PFM
[arXiv] 2026-02-19 | Lithium as a probe of stellar and galactic physics
[arXiv] 2026-02-19 | Tolerances to driver-witness misalignment in a quasilinear plasma wakefield accelerator
[arXiv] 2026-02-19 | Terrestrial Analogs to Titan for Geophysical Research
[arXiv] 2026-02-19 | Stimulated interactions of low-energy free-electrons with light
[arXiv] 2026-02-19 | Beyond Pipelines: A Fundamental Study on the Rise of Generative-Retrieval Architectures in Web Research
[arXiv] 2026-02-19 | ACOS: Arrays of Cheap Optical Switches
[arXiv] 2026-02-19 | A variational mean field game of controls with free final time and pairwise interactions
[arXiv] 2026-02-19 | ABCD: All Biases Come Disguised
[arXiv] 2026-02-19 | Banach fixed point and flow approach for rough analysis
[arXiv] 2026-02-19 | Multi-Agent Temporal Logic Planning via Penalty Functions and Block-Coordinate Optimization
[arXiv] 2026-02-19 | The behaviour of quasi-linear maps on $C(K)$-spaces
[arXiv] 2026-02-19 | Mott-insulating phases of the Bose-Hubbard model on quasi-1D ladder lattices
[arXiv] 2026-02-19 | The Runtime Dimension of Ethics in Self-Adaptive Systems
[arXiv] 2026-02-19 | JEPA-DNA: Grounding Genomic Foundation Models through Joint-Embedding Predictive Architectures
[arXiv] 2026-02-19 | Dynamic likelihood hazard rate estimation
[arXiv] 2026-02-19 | Isometric Invariant Quantification of Gaussian Divergence over Poincare Disc
[arXiv] 2026-02-19 | Penetration of impact-induced jets into skin-simulating materials
[arXiv] 2026-02-19 | Assessing Ionospheric Scintillation Risk for Direct-to-Cellular Communications using Frequency-Scaled GNSS Observations
[arXiv] 2026-02-19 | Generating Rely-Guarantee Conditions with the Conditional-Writes Domain
[arXiv] 2026-02-19 | Reverse segregation in dense granular flow through narrow vertical channel
[arXiv] 2026-02-19 | Conversions between kinetic and surface energy in periodically forced multiphase turbulence
[arXiv] 2026-02-19 | Physical Human-Robot Interaction for Grasping in Augmented Reality via Rigid-Soft Robot Synergy
[arXiv] 2026-02-19 | 3D Scene Rendering with Multimodal Gaussian Splatting
[arXiv] 2026-02-19 | Resource Allocation for STAR-RIS-enhanced Metaverse Systems with Augmented Reality
[arXiv] 2026-02-19 | TIFO: Time-Invariant Frequency Operator for Stationarity-Aware Representation Learning in Time Series
[arXiv] 2026-02-19 | A Data-Driven Dynamic Execution Orchestration Architecture
[arXiv] 2026-02-19 | Epistemology of Generative AI: The Geometry of Knowing
[arXiv] 2026-02-19 | Simplify to Amplify: Achieving Information-Theoretic Bounds with Fewer Steps in Spectral Community Detection
[arXiv] 2026-02-19 | Operationalization of Machine Learning with Serverless Architecture: An Industrial Operationalization of Machine Learning with Serverless Architecture: An Industrial Implementation for Harmonized System Code Prediction
[arXiv] 2026-02-19 | Local risk-minimization for exponential additive processes
[arXiv] 2026-02-19 | Synergizing Transport-Based Generative Models and Latent Geometry for Stochastic Closure Modeling
[arXiv] 2026-02-19 | $C(SO_q(2n+1)/SO_q(2n-1))$ as iterated torsioned quantum double suspensions of $C(\mathbb{T})$
[arXiv] 2026-02-19 | BankMathBench: A Benchmark for Numerical Reasoning in Banking Scenarios
[arXiv] 2026-02-19 | On sliding methods for mixed local and nonlocal equations and Gibbons' conjecture
[arXiv] 2026-02-19 | Spatio-temporal dual-stage hypergraph MARL for human-centric multimodal corridor traffic signal control
[arXiv] 2026-02-19 | Evaluating Cross-Lingual Classification Approaches Enabling Topic Discovery for Multilingual Social Media Data
[arXiv] 2026-02-19 | Under Pressure: UV Emission Line Ratios as Barometers of AGN Feedback Mechanisms
[arXiv] 2026-02-19 | PartRAG: Retrieval-Augmented Part-Level 3D Generation and Editing
[arXiv] 2026-02-19 | WS-GRPO: Weakly-Supervised Group-Relative Policy Optimization for Rollout-Efficient Reasoning
[arXiv] 2026-02-19 | Integrated Photonic Polarization Synthesizer and Analyzer
[arXiv] 2026-02-19 | Is there a relationship between Mean Opinion Score (MOS) and Just Noticeable Difference (JND)?
[arXiv] 2026-02-19 | Action-Graph Policies: Learning Action Co-dependencies in Multi-Agent Reinforcement Learning
[arXiv] 2026-02-19 | Archetypes and gender in fiction: A data-driven mapping of gender stereotypes in stories
[arXiv] 2026-02-19 | Power attenuation in millimeter-wave and terahertz superconducting rectangular waveguides: linear response, TLS loss, and Higgs-mode nonlinearity
[arXiv] 2026-02-19 | Varstrometry for Off-nucleus and Dual Subkiloparsec AGN (VODKA): Three Quadruply Lensed Quasars at Cosmic Noon in HST and JWST
[arXiv] 2026-02-19 | WSDM Cup 2026 Multilingual Retrieval: A Low-Cost Multi-Stage Retrieval Pipeline
[arXiv] 2026-02-19 | Functional Analysis and Parallel Domain Decomposition for the TV-Stokes Model
[arXiv] 2026-02-19 | Coin selection by Random Draw according to the Boltzmann distribution
[arXiv] 2026-02-19 | Isoperimetric inequalities for the lowest magnetic Steklov eigenvalue
[arXiv] 2026-02-19 | Non-Pharmaceutical Interventions Reshape Network Immunization Outcomes
[arXiv] 2026-02-19 | Unveiling Photoluminescence Signatures of Magneto-Optical Coupling in Layered Hybrid Manganese Chloride Perovskites
[arXiv] 2026-02-19 | NTLRAG: Narrative Topic Labels derived with Retrieval Augmented Generation
[arXiv] 2026-02-19 | Engineering correlated disorder for exotic light scattering diagrams
[arXiv] 2026-02-19 | HQFS: Hybrid Quantum Classical Financial Security with VQC Forecasting, QUBO Annealing, and Audit-Ready Post-Quantum Signing
[arXiv] 2026-02-19 | Lies, Labels, and Mechanisms
[arXiv] 2026-02-19 | A Unified Framework for Locality in Scalable MARL
[arXiv] 2026-02-19 | Dual-purpose architected materials: Optimizing graded BCC lattices for crashworthiness and heat dissipation
[arXiv] 2026-02-19 | On the local-global principle for twists of abelian varieties
[arXiv] 2026-02-19 | Phase transitions in coupled Ising chains and SO($N$)-symmetric spin chains
[arXiv] 2026-02-19 | Building an AI-native Research Ecosystem for Experimental Particle Physics: A Community Vision
[arXiv] 2026-02-19 | Contour Integral Representations of Finite-part Integrals with Logarithmic Singularities
[arXiv] 2026-02-19 | Multispecies inhomogeneous $t$-PushTASEP with general capacity
[IEEE] 2026-2-19 | 2025 8th International Conference on Emerging Technologies in Computer Engineering: Advances in Computing, Healthcare and Smart Systems (ICETCE)
[IEEE] 2026-2-19 | HDTwin-E5G: AI-Driven Digital Twin and Hybrid Deep Learning Framework for Energy-Efficient 5G Networks
[IEEE] 2026-2-19 | 2025 5th International Conference on Advancement in Electronics &amp;amp; Communication Engineering (AECE)
[IEEE] 2026-2-19 | RSTR: An Efficient Detection Network with Cross-Attention Multiscale Feature Aggregation for Remote Sensing Applications
[IEEE] 2026-2-19 | Chamelion: Reliable Change Detection for Long-Term LiDAR Mapping in Transient Environments_supp1-3665079.mp4
[IEEE] 2026-2-19 | FLLM 2025 Commentary
[IEEE] 2026-2-19 | AECE 2025 Conference Organisation
[IEEE] 2026-2-19 | PP-RCR: A Position-Probability-Resource Cooperative Routing Algorithm for Air-to-Ground Integrated Mobile Ad Hoc Networks in Emergency Rescue Scenarios
[ACM] 2026-2-19 | The Medal Mysteries: Uncovering Olympic Predictions with a Dash of Data
[ACM] 2026-2-19 | Research on Virtual Simulation Application in Well-being Space Design in the Digital Intelligence Era
[ACM] 2026-2-19 | Last Words
[IEEE] 2026-2-19 | Improved Dynamic Range Charge-Sensitive Amplifier
[IEEE] 2026-2-19 | Comparison of Barrett Modular Reduction with Various Multipliers in the Context of BFV/BGV Homomorphic Encryption
[IEEE] 2026-2-19 | Design and Development of a Post-Processing Automation System to Improve Quality Consistency in Additive Manufacturing
[IEEE] 2026-2-19 | Automatic item generation for reading comprehension in Portuguese literature
[IEEE] 2026-2-19 | Deep Learning Based Burned Wound Severity Prediction Multimodal
[IEEE] 2026-2-19 | Secure HAPS Based FSO Communications Using Metamaterials
[IEEE] 2026-2-19 | Opportunistic Resource Scheduling for Multibeam Satellite Communications
[IEEE] 2026-2-19 | Federated Multi-source Domain Adaptation Through Optimal Transport
[IEEE] 2026-2-19 | Multi - Sensor Based Knee Health Monitoring System
[IEEE] 2026-2-19 | A Time-Domain Comparator-Based 10-Bit SAR-ADC Design for Photoplethysmogram Signal Recording using Skywater 130 nm and Open-Source Tools
[IEEE] 2026-2-19 | Adaptive Q-Learning for Robust Navigation in Dynamic 2D Environments for Indian Warehouse Automation
[IEEE] 2026-2-19 | A Capacitor-Less LDO with Enhanced Wide Band Power Supply Rejection for Voltage-Controlled Oscillator
[IEEE] 2026-2-19 | Relevance-Guided Retrieval under Continually Expanding Knowledge Bases
[IEEE] 2026-2-19 | Characterization of a 300 GHz Carrier Wave Using an On-Chip Silicon Electro-Optic-Modulation Comb
[IEEE] 2026-2-19 | Implementation and Analysis of Mandarin Lipreading on Edge Devices
[IEEE] 2026-2-19 | Cuffless Blood Pressure Estimation Using Wearable Devices Based on Attention Mechanisms and Synthetic Data From Generative Models
[IEEE] 2026-2-19 | Channel-adaptive random access for LEO satellite communication
[IEEE] 2026-2-19 | Quantum-Cryptography Embedded Fault-Tolerant Algorithm for High-Performance Cloud Supercomputing Systems
[IEEE] 2026-2-19 | Leveraging Machine Learning for Early Detection of Depression Based on Social Media Behavior
[IEEE] 2026-2-19 | Making Pose Representations More Expressive and Disentangled via Residual Vector Quantization
[IEEE] 2026-2-19 | AI-Driven Simulation and Digital Twin Technologies for Smart Business Planning
[IEEE] 2026-2-19 | A Multi-connectivity Scheme for Service Continuity Between Terrestrial and Non-Terrestrial Networks
[IEEE] 2026-2-19 | Student Engagement Recognition Using a Hyena-Based Vision Transformer
[IEEE] 2026-2-19 | Self Heating Aware Temperature Analysis of Hetero Dielectric Vertically Stacked FeFinFET for Digital Circuit Applications
[IEEE] 2026-2-19 | Exponential Hybrid Gannet Bald Leader Optimization Based LeNet Enabled Human Behavior Analysis with Dermatoglyphics Fingerprint Pattern Classification
[IEEE] 2026-2-19 | Multimodal Knowledge Tracing and Reinforcement Learning for English Learning System
[IEEE] 2026-2-19 | Research on Digital Image Protection and AI-Enabled Living Intangible Cultural Heritage of the Jin-style filigree mosaic art based on Schema Theory
[IEEE] 2026-2-19 | Superimposed Pilot based OTFS Channel Estimation for LEO Satellite Communication System
[IEEE] 2026-2-19 | Robust Equivalent Transmit Beamforming Under Random Element Failures: A Stochastic Geometry Approach
[IEEE] 2026-2-19 | An Area-Time Efficient and Generic Accelerator for the Verification of Hash-Based Signature Schemes
[IEEE] 2026-2-19 | A Wide Bandwidth TIA with Low Power Consumption for PNN Prototyping
[IEEE] 2026-2-19 | AI-Powered Internet of Things (IoT) for Next-Gen Innovations
[IEEE] 2026-2-19 | Integrated Sensing and Communications (ISAC) for 6G: Foundations, Architectures, and Standards-Aligned Prototyping
[IEEE] 2026-2-19 | ProdSI-ML: A Hybrid Data-Driven Framework for Product Sustainability Evaluation and Predictive Modeling in Consumer Electronics
[IEEE] 2026-2-19 | A Ka-Band Variable-Gain Phase Shifter for 6G NTN with LEO Satellites
[IEEE] 2026-2-19 | Multi-modal Causal RAG for Aviation Accident Analysis and Risk Prediction
[IEEE] 2026-2-19 | Multidimensional Model for Measuring Knowledge Generation in Higher Education through Artificial Intelligence and Pedagogical Mediation
[IEEE] 2026-2-19 | Deep Reinforcement Learning for Adaptive Bitrate Streaming over Wireless Networks: Advances, Challenges, and Open-Source Simulation
[IEEE] 2026-2-19 | Research on the Melting Mechanism and Prevention Measures of PT High Voltage Fuses in 10∼35KV Distribution Networks
[IEEE] 2026-2-19 | Integrated RTBH-RBS Model for Illegal Traffic Mitigation in Indonesia's Internet Exchange
[IEEE] 2026-2-19 | A Comparative Study of ETS and ARIMA Algorithms for Forecasting Indonesia's Rice Export and Import
[IEEE] 2026-2-19 | GestOS: Advanced Hand Gesture Interpretation via Large Language Models to control Any Type of Robot
[IEEE] 2026-2-19 | Active RIS-aided NOMA-ISAC Network Architecture for LEO Satellite Communications
[IEEE] 2026-2-19 | Design and Implementation of an Inline Array Architecture for Variational Autoencoders Accelerator
[IEEE] 2026-2-19 | Multi-Objective Optimization of Fractional Order Controllers for Three Area Load Frequency Regulation
[IEEE] 2026-2-19 | Chaotic Enhancement via LE-guided Quantum XYZ Rotational Encoding and Amplitude-Scaled
[IEEE] 2026-2-19 | A Behavior-Aware Identity and Access Monitoring Framework for Securing Outsourced Data in Cloud Environments
[IEEE] 2026-2-19 | LSTM-Based Destination Prediction Method Using Location Information and Temporal Characteristics
[IEEE] 2026-2-19 | Counsel - An Artificial Intelligence Powered SaaS for Legal Professionals
[IEEE] 2026-2-19 | Impact of Metal Oxide Varistor on the Occurrence of Ferroresonance Oscillations in Transformers
[IEEE] 2026-2-19 | Design and Simulation of a Compact UHF Antenna for CubeSat Applications
[IEEE] 2026-2-19 | Energy-Efficient ReRAM-Based In-Memory Computing with Dual SNN/ANN Modes
[IEEE] 2026-2-19 | Energy-Efficient Hybrid Clustering for Wireless Rechargeable Sensor Networks: A Machine Learning Approach Using K-Means and Gaussian Mixture Models
[IEEE] 2026-2-19 | Seeing the Future (Phase I): AI-Based Measurement Prediction for Reliable High-Capacity Vehicular Connectivity in Road-Embedded Mobile Networks
[IEEE] 2026-2-19 | Scaled Reflection Cross-Section/ISAR Measurement using Photonic IC
[IEEE] 2026-2-19 | Comparative Analysis of Different Deepfake Video Detectors
[IEEE] 2026-2-19 | Distance-Aware Single-Stage Detectors: Combining Detection with Object-Specific Distance Estimation
[IEEE] 2026-2-19 | Design and Construction of a Fall-Mitigation Device for the Elderly
[IEEE] 2026-2-19 | Stereo Vision-Based Skeleton Pose Estimation with Proximity Index for Environment
[IEEE] 2026-2-19 | Design and Implementation of a Multi-Sensor MEMS-Based Flight Data Monitoring and Tracking System Using Hybrid Communication Networks
[IEEE] 2026-2-19 | VALID-Mol: A Systematic Framework for Validated LLM-Assisted Molecular Design
[IEEE] 2026-2-19 | Integration of IV Characteristic Spectrum and Infrared Thermal Imaging for Crack Fault Diagnosis in Photovoltaic Modules
[IEEE] 2026-2-19 | Dual Point Control with Virtual Sensing Technique in Active Noise Control
[IEEE] 2026-2-19 | Impact of Rainfall on the Wireless Transmission of Signals
[IEEE] 2026-2-19 | Interpretable Detection of Encrypted Traffic Using SHAP-Based Feature Attribution
[IEEE] 2026-2-19 | Drug Dosage of Immune System Using Reinforcement Learning
[IEEE] 2026-2-19 | Revolutionizing the Electricity Sector with Innovative IoT Solutions
[IEEE] 2026-2-19 | A 65nm 0.0736mm
                    <sup>2</sup>
                    /Pixel Simultaneous Energy-Harvesting-and-Sensing 2-by-2 Self-Powered CMOS Image Sensor Pixel Array Using Self-Oscillating Voltage Doubler for Thermal-Aware Zero-Stand-by-Power Imaging
[IEEE] 2026-2-19 | Single—Channel EEG Signal Based Emotion Recognition System Using Quantum Local Binary Pattern
[IEEE] 2026-2-19 | Research on Power Grid Data Governance Technology Based on Artificial Intelligence Algorithms
[IEEE] 2026-2-19 | Innovative Fusion of Blind Chromophore Separation, Artificial Intelligence and Grabcut Algorithm for Skin Disease prediction
[IEEE] 2026-2-19 | TabBoost: Combining Tree-Based and Attention-Based Models for Lifestyle Prediction
[IEEE] 2026-2-19 | Hierarchical Progressive Fusion: A Complexity-Aware Multimodal Integration Framework for Visual Question Answering
[IEEE] 2026-2-19 | Hydra Radio Access Network (Hydra-RAN): Multi-Functional Communications and Sensing Networks with Hydra Distributed Unit (H-DU) Scalability Optimization
[IEEE] 2026-2-19 | Performance Evaluation and Optimization of the Sampling Process of an Neuropredictive SAR ADC
[IEEE] 2026-2-19 | Embedded System Design for Heart Condition Identification Based on Signal Characteristics
[IEEE] 2026-2-19 | Implementation of Weighted Moving Average Method for Raw Material Forecasting in Cafe Management System
[IEEE] 2026-2-19 | Fast Tunable InP-LNOI DBR Laser at 1550nm
[IEEE] 2026-2-19 | A 0.01 mm
                    <sup>2</sup>
                    RC-Filter-Based Temperature Sensor with Phase-Domain DSM Readout Achieving 232fJ.K
                    <sup>2</sup>
                    Resolution FoM
[IEEE] 2026-2-19 | Vision Transformer for Sequence-to-Action Networks in Autonomous Driving Control
[IEEE] 2026-2-19 | A Privacy-Preserving and Amount-Flexible Multi-Hop Payment Protocol for Autonomous IoT Resource Scheduling
[IEEE] 2026-2-19 | A Low-Power PLL with Supply Noise Insensitive VCO in 65nm CMOS
[IEEE] 2026-2-19 | Enhanced Financial Inclusion with Boosting-Tree Transfer Learning
[IEEE] 2026-2-19 | Towards Accurate Wi-Fi 6E-based Liquid Sensing in a Static Environment
[IEEE] 2026-2-19 | Hybrid Dysgraphia Detection Using Transfer Learning and Handcrafted Features
[IEEE] 2026-2-19 | Cognitive Response Prediction System for Universal XR Metaverse Games
[IEEE] 2026-2-19 | A general model for sustainable vehicle fleets battery capacity optimization: Case study on the Italian Fire and Rescue Service Fleet
[IEEE] 2026-2-19 | A Domain-Specific Framework for Priority-Based Modeling and Optimization of Non-Functional Requirements Beyond Binary Constraints
[IEEE] 2026-2-19 | CRBP: A Benchmark Dataset of Color-Rendered 3-D-to-2.5-D Facial Projections_supp1-3624674.pdf
[IEEE] 2026-2-19 | An Effective Magnetothermal Mitigation Method for High-power Wireless Power Transfer Systems
[ACM] 2026-2-19 | Enabling Green Prosperity via IoT and Big Data: A Multi-Layer Intelligent Computing Architecture for Rural Ecosystem Decoupling
[ACM] 2026-2-19 | Factors Influencing DeepSeek Users' Continued Use Intention: A Structural Equation Modeling Approach
[IEEE] 2026-2-19 | Rethinking Cross-Table Quantization Step Estimation: From Global and Local Perspectives
[IEEE] 2026-2-19 | FLLM 2025 Preface
[IEEE] 2026-2-19 | A Brief Survey of Two Recent Polynomial Commitment Schemes from Lattices
