[2025-12-17 09:16:20] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-16
正在获取论文...
[arXiv] 2025-12-16 | Broadening View Synthesis of Dynamic Scenes from Constrained Monocular Videos
[IEEE] 2025-12-16 | Adaptive Optimal Impedance Control of Reconfigurable Robot System for Human-Robot Interaction
[IEEE] 2025-12-16 | The Design and Implementation of a Mobile Dual-Arm Robot for Smart Kitchen Services
[IEEE] 2025-12-16 | Multi-Level Process Mining Analysis of Congestive Heart Failure
[IEEE] 2025-12-16 | Analysis of Intense Flash Flood Events from a Convective Tropical Thunderstorm
[IEEE] 2025-12-16 | A Multi-Platform System for Monitoring Military Training Cycles
[IEEE] 2025-12-16 | High-Resolution Ultra-Wideband Lightning Observation and Real-Time 3D Imaging Project in Malaysia
[IEEE] 2025-12-16 | An Efficient Finite Element Domain Decomposition Algorithm for Complex Electromagnetic Calculations
[IEEE] 2025-12-16 | A Compact Horizontally Polarized Bidirectional Antenna for Wi-Fi Applications
[IEEE] 2025-12-16 | Development of a Lightweight Spatio-Temporal Attention Network for Visual Speech Recognition
[IEEE] 2025-12-16 | The Effect of Noise Removal on Enhancing Sentiment Analysis Performance Using NaïVe Bayes and SVM Methods
[IEEE] 2025-12-16 | Wideband High Efficiency Extended Continuous Power Amplifier Using a Novel Matching Network
[IEEE] 2025-12-16 | Design of Broadband Backscatter Amplifier for Long-Range Sensor Tag Applications
[ACM] 2025-12-17 | Data Mining-Based Analysis and Visualization of Traditional Chinese Medicine Medication Patterns for Gastralgia
[ACM] 2025-12-17 | Research on Application of Multi-sensor Fusion Based on Deep Learning in Health State Prediction of Main Reduction Gears
[ACM] 2025-12-17 | Adapting PRIMM to a Primary (K-5) Computing Setting
[ACM] 2025-12-17 | Limited Choices, Greater Engagement: Involving Cyber Security Students in Inclusive Assessment Design
[ACM] 2025-12-17 | Numerical simulation study on ground subsidence and structural stress characteristics of open caisson construction
[ACM] 2025-12-16 | The Role of Social Support and Influencers in Content Markets
[ACM] 2025-12-17 | Dynamic Sector Fusion Transformer for Stock Index Prediction
[ACM] 2025-12-17 | A Rapid Assessment Method for Dam Stability Based on Support Vector Machine Algorithm
[ACM] 2025-12-17 | Deep Learning-Based Prediction of Machining Response Embedding Parameters
[ACM] 2025-12-17 | Optimization of UAV Distribution Route under Carbon Tax Constraints--An Empirical Study of Hankou North Based on Improved Grey Wolf Algorithm
[IEEE] 2025-12-16 | Task offloading in UAV-IoT using Multi-Objective Exponential Weighted Olympic Champion Algorithm
[IEEE] 2025-12-16 | A Data-Driven Framework for Disease Detection using Medical Imaging Analysis
[IEEE] 2025-12-16 | Dual Vision Transformer Integration for Race and Gender Recognition Based on Facial Images
[IEEE] 2025-12-16 | Stress Classification using Vanilla Transformer Encoder on Multi-Channel Physiological Sensor Time Series
[IEEE] 2025-12-16 | Intelligent Battery Health Monitoring System for Optimizing Uninterruptible Power Supply
[IEEE] 2025-12-16 | EmotiCare: An Emotion-Aware Conversational Agent for Mental Health Support
[IEEE] 2025-12-16 | ICVEE 2025 Copyright Page
[IEEE] 2025-12-16 | Exploring Ensemble Classifiers and Filter-Based Feature Selection for Predicting On-Time Graduation Using Multidimensional Student Data
[IEEE] 2025-12-16 | Evaluation of Cooperative Cognitive Radio System for White Spectral Space Detection using the Covariance Detector
[IEEE] 2025-12-16 | Hybrid Encryption Algorithm Based on Feistel Network and Vigenère Cipher
[IEEE] 2025-12-16 | Designing and Modeling of Wind Turbine Power Plant Using MATLAB
[IEEE] 2025-12-16 | Designing and Implementing a Trustless E-Commerce System with Blockchain-Integrated NFT for Product Verification
[IEEE] 2025-12-16 | Empowering Data-Driven Decision Making: The Rise of Self-Service Data Wrangling in the Age of Automation
[IEEE] 2025-12-16 | A Deep Learning CNN–BiLSTM Approach for Real-Time Traffic Flow Prediction
[IEEE] 2025-12-16 | RCNN-based Embryo In Vitro Fertilization (IVF) Concept
[IEEE] 2025-12-16 | Research on optimization of potential distribution of 220kV surge arrester based on finite element method
[IEEE] 2025-12-16 | A Machine Learning Model for Evaluating Service Quality and Customer Satisfaction in Insurance Companies
[IEEE] 2025-12-16 | Fuzzy Logic-Integrated BiLSTM Network for Sequence-Based English Translation Pattern Recognition
[IEEE] 2025-12-16 | Hybrid EfficientNet-B0 with CBAM and Focal Loss for Rose Leaf Multi-Class Classification
[IEEE] 2025-12-16 | A Meta Analytic Review of Supervised and Unsupervised Learning Techniques For Real-Time Vehicle Fault Prediction and Safety Enhancement
[IEEE] 2025-12-16 | Research on Two-Stage Day-Ahead Scheduling Optimization of Pumped Storage Based on Adaboost.R2-LSTM-GA-PSO
[IEEE] 2025-12-16 | Adaptive Optimization with Federated Learning for Gait Severity Gradation Based on IMU - FedGait
[IEEE] 2025-12-16 | Low Grid Loss-Oriented Layout and Cluster Control Optimization for Distributed PV Micro-Power Stations
[IEEE] 2025-12-16 | EV Sales Prediction Using Machine Learning
[IEEE] 2025-12-16 | Fault Characterization of 39-Phase Angular Brushless Excitation and Rotating Rectifier Systems in Nuclear Power Plants
[IEEE] 2025-12-16 | Personalized Drug Recommendation using Ensemble Machine Learning: A Predictive Analytics Approach
[IEEE] 2025-12-16 | Graph-based Contextual Reasoning for Small Object Detection and Semantic Mapping in Urban SAR Images
[IEEE] 2025-12-16 | Unraveling Causal Pathways in Heart Failure: A LiNGAM Approach to Understanding Clinical Factors Influencing Patient Outcomes
[IEEE] 2025-12-16 | Comparative Analysis of Machine Learning Classifiers for Premature Atrial Contraction Detection
[IEEE] 2025-12-16 | Densely Packed Dual Port MIMO Antennas Electromagnetic Interference Reduction with EBG Structures
[IEEE] 2025-12-16 | Development of a smart glove based on magnetic-field perception and artificial intelligence for smart healthcare
[IEEE] 2025-12-16 | Ant Colony Clustering Algorithm and Application in the City Classification
[IEEE] 2025-12-16 | Grid Integrated PV Powered EV Charging Station Energy Management with Neural Network Controller
[IEEE] 2025-12-16 | Fake Job Detection using Naive Bayes and TF-IDF in Machine Learning
[IEEE] 2025-12-16 | Hybrid LSTM–CNN Model for Real-Time Anomaly Detection in IoT-Enabled Smart Solar Energy Networks
[IEEE] 2025-12-16 | Real-time Machine Data Monitoring and Alerting System for Controlling Defective Work in The Production Process
[IEEE] 2025-12-16 | From Clicks to Community: Leveraging Social Computing, Data Mining, and Generative AI for Customer Retention and Ecosystem Growth in ECommerce
[IEEE] 2025-12-16 | Automated Forensic Analysis: The use of Robotics in Digital Crime Scene Investigation
[IEEE] 2025-12-16 | Detection of Emotions, Age, Gender in Speech using Deep Learning Models
[IEEE] 2025-12-16 | ICEEMT 2025 TOC
[IEEE] 2025-12-16 | Inclusive Education via Emotion-Aware Tutoring using Real-Time Recognition
[IEEE] 2025-12-16 | A 22-30 GHz GaAs Power Amplifier with 24.1 dBm Peak Output Power and 41.2% Peak PAE
[IEEE] 2025-12-16 | Signal Integrity Analysis of Ramp Interconnects for Packaging
[IEEE] 2025-12-16 | List of Reviewers
[IEEE] 2025-12-16 | Research on Energy Balancing of Sodium-Ion Batteries Based on Adaptive Active–Passive Balancing Circuit and Segmented Balancing Strategy
[IEEE] 2025-12-16 | Robust Electrical Performance of Diamond Schottky Barrier Diodes Post 10 MGy Hard X-ray Exposure
[IEEE] 2025-12-16 | Towards a Framework for Automatic Evaluation of Key Management Schemes in Wireless Ad Hoc Networks
[IEEE] 2025-12-16 | Passive Binary Coding Metamaterial Reconfigurable Intelligent Surfaces (RIS) with Steerable Reflection Beam for Next Generation Communication
[IEEE] 2025-12-16 | The Design Challenges and I/O Performance Tuning Methodology for Advance GPU System Integration
[IEEE] 2025-12-16 | Prototype for Measuring Local Gravitational Acceleration Using the Free-Fall Method for Calibration of Force Measuring Instruments
[IEEE] 2025-12-16 | Energy-Efficient Acceleration of Hash-Based Post-Quantum Cryptographic Schemes on Embedded Spatial Architectures
[IEEE] 2025-12-16 | Charge-Mediated Effects in Dual-Gate Reconfigurable Field-Effect Transistors
[IEEE] 2025-12-16 | 2025 IEEE History of Electrotechnology Conference (HISTELCON)
[IEEE] 2025-12-16 | A Design of 110GHz-150GHz Bandpass Filter Based on Rectangular Waveguide
[IEEE] 2025-12-16 | The Influence of Control Points on Reconstruction Accuracy and Analysis of Surface Point Cloud Deviation
[IEEE] 2025-12-16 | Integrating Supervised and Unsupervised Learning for Prognostic Prediction in Breast Cancer
[IEEE] 2025-12-16 | Design and Implementation of AODV Routing Protocol for IoT Devices Using Raspberry Pi
[IEEE] 2025-12-16 | A Dual Port MIMO Utilizing Perforated DRA Fed with SIW for Enhanced Performance
[IEEE] 2025-12-16 | Multi-Algorithm ML Framework for Intrusion Detection and Resilient Security in Mobile Ad Hoc Networks
[IEEE] 2025-12-16 | MCPNet: A New Maximum Correlation Point Pruning for Few-shot Semantic Segmentation
[IEEE] 2025-12-16 | Structural design and development of cross-legged robot based on STM32
[IEEE] 2025-12-16 | High Response Joint with a Large Range of Variable Stiffness Range and based on Magnetorheological Fluids
[IEEE] 2025-12-16 | A Model Reference Adaptive Control System for Phase-Locked Loop (PLL) in Grid-Connected Power Systems
[IEEE] 2025-12-16 | A Passive X-Band Wide-Angle High-Gain Van Atta Reflector
[IEEE] 2025-12-16 | Symmetrical Orthomode Transducer for Low Cross-Polarization W-Band Horn Antennas
[ACM] 2025-12-16 | Human-AI Collaboration in Search and Recommendation: Navigation, Personalization, and Evaluation of Carousel-Based Interfaces
[ACM] 2025-12-16 | Improvement of underwater waste target detection based on YOLOV10
[ACM] 2025-12-17 | CFD Simulation of Capillary-Driven Sweat Collection in a Microfluidic Chip
[ACM] 2025-12-16 | A Mobile-Based Metaverse for Enhancing Space Visualisation and Decision Making in Traditional Interior Design and Real Estate
[ACM] 2025-12-16 | RRM: A fast edge rewiring algorithm for supply chain resilience
[ACM] 2025-12-16 | Simulation of Supply Chain Equilibrium Optimization Management of Multi-level Logistics Storage Facilities Based on Internet of Things
[ACM] 2025-12-16 | An adaptive machine learning based network traffic anomaly detection system
[ACM] 2025-12-16 | 3OTSO: Three-Objective Task Scheduling Optimization for CPU-GPU Heterogeneous Cloud Environments
[ACM] 2025-12-16 | Intelligent Data Mining Method Based on Adaptive Weighted Clustering and Deep Representation Learning
[ACM] 2025-12-17 | Design and implementation of teacher AI literacy assessment system
[ACM] 2025-12-17 | Fluid Identification in Low-Contrast Tight Sandstone Reservoirs based on Attention-Enhanced Multi-Layer Perceptron
[ACM] 2025-12-17 | Resale House Price Prediction Based on RN-LGBM
[ACM] 2025-12-17 | Research on Intelligent Decision-Making of Green Production Services Driven by Consumer Purchasing Behavior
[IEEE] 2025-12-16 | Empowering Sustainable Education Through Competency Pattern Mining in Instructional Website Design
[IEEE] 2025-12-16 | Comparative Clustering of Earthquake Data in Central Java Using DBSCAN, HDBSCAN, STDBSCAN, and Fuzzy C-Means
[IEEE] 2025-12-16 | A Proposal of SQL Query Description Problem in SQL Programming Learning Assistant System
[IEEE] 2025-12-16 | Hypersensifit: A Mobile-based Application for Hypertension Prediction and Diet Plans using K-Nearest Neighbor Algorithm
[IEEE] 2025-12-16 | Performance Analysis of Aphid Infestation Disease Detection in Plants
[IEEE] 2025-12-16 | Forecasting Stock Prices with Sequential Deep Learning: A Long Short-Term Memory Approach
[IEEE] 2025-12-16 | Real-Time Recognition of ASL Alphabets Using MediaPipe Hand Landmarks on Raspberry Pi 5
[IEEE] 2025-12-16 | Object Identification for Sequence Diagram based on Use Case Scenario using Text Semantic: Case Study of IdVar4CL Artefact
[IEEE] 2025-12-16 | Bridging Clinical Expertise and AI: Deep Learning for Automated Knee Osteoarthritis Diagnosis
[IEEE] 2025-12-16 | Integrated Recurrent Neural Network-Based Model Engineering (RNN-MBE) for Intelligent Systems
[IEEE] 2025-12-16 | Phishing Detection with Adaptive Virus Colony Optimization-based Distributed Bidirectional Long Short-Term Memory enabled Artificial Neural Network
[IEEE] 2025-12-16 | Boosting LLM Performance on Boolean Questions with Cluster-Based Embeddings
[IEEE] 2025-12-16 | AI-Powered Seed Viability Assessment in Hydroponic Systems: A Comparative Review of Computer Vision and Deep Learning Approaches
[IEEE] 2025-12-16 | Robust Adversarial Image Detection using Advanced Deep Learning Techniques: An Ensemble-based Approach
[IEEE] 2025-12-16 | Surface Defect Inspection of Steel based on Improved YOLOv8
[IEEE] 2025-12-16 | Continuous and Accurate Heart Attack Risk Assessment via a Real-Time Data Pipeline with Data Fusion and Spark-based Machine Learning
[IEEE] 2025-12-16 | Research on Adaptive Grid-forming Strategy for Photovoltaic-storage system based on Model Predictive Control
[IEEE] 2025-12-16 | Intelligent diagnosis model for abnormal noise of power transformer based on multi-channel wavelet convolution
[IEEE] 2025-12-16 | Reliability Characterization of Vacuum Printable Compound for SiP Encapsulation in Wireless Connectivity : USI Corporation
[IEEE] 2025-12-16 | Multi-fault diagnosis of lithium batteries based on GAF-CNN-OCSSA-LSSVM
[IEEE] 2025-12-16 | Development of High-temperature Lead-free solders: Zn-Sn-Al-Cu Based Alloy
[IEEE] 2025-12-16 | Cover Page
[IEEE] 2025-12-16 | QA-DETR: Oriented Detection Transformer with Quality-Aligned Optimization
[IEEE] 2025-12-16 | A CNN-Based Approach for Gaussian, Shot and Impulse Noise Cancellation in Communication Systems
[IEEE] 2025-12-16 | Modeling and AC Noise Analysis of Power Distribution Network for System-on-Wafer
[IEEE] 2025-12-16 | Organizing Committee
[IEEE] 2025-12-16 | Machine Learning-based Brain Tumor Classification using ACCF and BPPF Features with Linear Regression, Naïve Bayes, and Additive Regression
[IEEE] 2025-12-16 | Federated DataOps in FinTech and Retail Enabling Privacy-Preserving AI at Scale
[IEEE] 2025-12-16 | Digital Twin of Self-Regulated Learners: Effects of Metacognition, Feedback, and Task Complexity
[IEEE] 2025-12-16 | Weakly-Supervised Chromosome Segmentation via SAM and Uncertainty-Guided Pseudo-Labeling
[IEEE] 2025-12-16 | Real-Time PV Power Forecasting Using LSTM-Attention, Transformer &amp; XGBoost Hybrid Model
[IEEE] 2025-12-16 | A Neural Network-Based Inverse Kinematics Solution for a 6-DoF Industrial Robotic Arm with Spherical Wrist
[IEEE] 2025-12-16 | Wideband Circular Patch Antenna with Double U-Slot Design for Ku-Band Applications
[IEEE] 2025-12-16 | Author's Index
[IEEE] 2025-12-16 | AI-Based Robust Linear Quadratic Regulator Controller for Quadcopter System
[IEEE] 2025-12-16 | Energy Consumption in Computing over the Decades: Trends, Efficiency, and Measurement Challenges
[IEEE] 2025-12-16 | Organizing Committee
[IEEE] 2025-12-16 | State of Charge Estimation for Lithium-ion Batteries Based on IBP Neural Network and Unscented Kalman Filter
[IEEE] 2025-12-16 | Physics-Informed Convolutional Neural Network for Electromagnetic Simulations
[IEEE] 2025-12-16 | A multi-scale fusion-based satellite super-resolution network
[IEEE] 2025-12-16 | Development of Vessel Automatic Weather Station Using Smart Weather Sensor Based on Internet of Things
[IEEE] 2025-12-16 | Table Of Contents
[IEEE] 2025-12-16 | A Tumor Ablation Impedance Measurement Method Based on Center-Driven and Frequency Difference
[IEEE] 2025-12-16 | Copyright Page
[IEEE] 2025-12-16 | Dielectric Properties of Flexible Medical Material as a Potential Substrate for Wearable Application
[IEEE] 2025-12-16 | Vector Sum Phase Shifter Using Mixed-Signal Folding Circuits with Two's Complement Converter
[IEEE] 2025-12-16 | Successful Practices for Avatars in Virtual World Learning: Perspectives from Experienced Educators
[IEEE] 2025-12-16 | A Survey of Multimodal Large Models: Architecture, Technologies, Applications and Suggestions
[IEEE] 2025-12-16 | Integrating RFID and xAPI to Secure Online Laboratory Systems
[IEEE] 2025-12-16 | Research on Text Classification for News Editor's Notes based on Machine Learning
[IEEE] 2025-12-16 | Securing Connected Future Toward 5G-Enabled IoT: A Comprehensive Analysis on 5G-IoT Scenarios
[IEEE] 2025-12-16 | Skin Cancer Detection Using Vision Transformers: An AI-Driven Approach for Precision Dermatology
[IEEE] 2025-12-16 | Fuzzy Logic-Based System for Monitoring and Emergency Level Classification in Fire Alarm Control Panel
[IEEE] 2025-12-16 | Influence of Aluminum Bond Pad Characteristic toward Wire Bond Intermetallic Compound Growth
[IEEE] 2025-12-16 | RI2C 2025 Keynote Speakers
[IEEE] 2025-12-16 | Metaheuristic Optimization for DC Fast Charging Advancing Efficiency with Thunderstorm Algorithm
[IEEE] 2025-12-16 | Fast Near-Field Millimeter Wave Radar Imaging by Compressive Sensing with LSMR-OMP Algorithm
[IEEE] 2025-12-16 | A High-Balance Quadrature Coupler with Nonuniformly Spaced Coil and Defected Ground Shield
[IEEE] 2025-12-16 | A Reconfigurable Beam-Scanning Origami Reflectarray Antenna
[IEEE] 2025-12-16 | A W-Band Bandpass Filter Based on the Microstructure Electrochemical Fabrication Process
[IEEE] 2025-12-16 | A Brief History of the Digital Audio Workstation
[IEEE] 2025-12-16 | Embedded Operation Effort Estimation: A Machine Learning Performance-Efficiency Trade-off Analysis
[IEEE] 2025-12-16 | Towards a Scalable Server-Side Architecture for Real-Time Distributed Image Analysis
[IEEE] 2025-12-16 | NeuroHLS: A Flexible Framework for Accelerating SNNs on FPGAs
[IEEE] 2025-12-16 | Design of a Payload-Level 16-Channel TR Module
[IEEE] 2025-12-16 | 2025 International Conference on Power, Energy and Innovations (ICPEI)
[IEEE] 2025-12-16 | Electricity in the Ottoman Empire
[IEEE] 2025-12-16 | Author Index
[IEEE] 2025-12-16 | Bodies, Knowledge, and Frequencies: A Feminist Reading of Hedy Lamarr's Contributions to Engineering
[IEEE] 2025-12-16 | Multi-Objective Competitive Co-Evolutionary Optimization for Two-Agent Land Battlefield Wargame Strategy
[ACM] 2025-12-17 | Research on clock synchronization evaluation based on improved AHP
[ACM] 2025-12-17 | A study on the speech model of Mandarin spoken in Yongdeng, Gansu, based on natural language flow
[ACM] 2025-12-16 | CNN-based Digital Restoration and Optimization Algorithm for Architectural Style of Ancient Villages
[ACM] 2025-12-16 | Research on the Integration of Automated Loading System and High-bay Warehouse Sorting System
[ACM] 2025-12-16 | Research on Strategies and Pathways for Urban Digital Transformation Based on the CIM Platform
[ACM] 2025-12-16 | Research on Technical Framework and Dynamic Authorization Mechanism for Enterprise-Level Data Security Exchange and Sharing Based on Blockchain
[IEEE] 2025-12-16 | Predicting Graduation Outcomes Using XGBoost: A Case Study of Engineering Undergraduates at KMUTNB
[IEEE] 2025-12-16 | Experimental Study and Efficiency Analysis of a Hybrid Wind Turbine (Savonius-Darrieus) at Varying Heights for Micro-Scale Wind Power Generation
[IEEE] 2025-12-16 | Comprehensive Interface Adhesion Characterization for Advanced Semiconductor Packaging
[IEEE] 2025-12-16 | Truck compartment point cloud segmentation method based on multi-scale geometric feature fusion and density analysis
[IEEE] 2025-12-16 | FMECA for Battery Energy Storage System to Load Backup with Integrated Photovoltaic Rooftop in Industry
[IEEE] 2025-12-16 | Good Reliability FOPLP with Digital Dynamic Correction for die shift compensation
[IEEE] 2025-12-16 | Optimizing Memory Performance: Analyzing Design Influencers on Eye Margin in Advanced Computing Systems (IMPACT 2025)
[IEEE] 2025-12-16 | Stochastic Co-Optimization of EV Charging Station Placement and Scheduling Considering System Load Profile
[IEEE] 2025-12-16 | Sparrow Search Algorithm for PMSM Parameter Identification
[IEEE] 2025-12-16 | Exact Solutions of an Extended Benney-Luke Equations Using (G′/G, 1/G)-method
[IEEE] 2025-12-16 | Deep Q-Network Strategy for Personalized English Learning Path Optimization
[IEEE] 2025-12-16 | Optimizing Frequency Detuning in UHF RFID Tag Through Matching Network
[IEEE] 2025-12-16 | Key Elements and Theoretical Logic of Blended Teaching from the Perspective of Total Quality Management: Integration of Computer Technology and Artificial Intelligence
[IEEE] 2025-12-16 | Development of a Dual-Band Double Spiral Antenna for Medical Hyperthermia Therapy
[IEEE] 2025-12-16 | DEMOcon 2025 TOC
[IEEE] 2025-12-16 | AI Speaks, but does it Feel? Detecting Synthetic Voices with Emotional Cues
[IEEE] 2025-12-16 | Windowed OFDM with Index Modulation
[IEEE] 2025-12-16 | Prediction of Angiotensin-Converting-Enzyme (ACE) Inhibitor Bioactivity as an Antihypertensive Agent Using LSTM Modeling Optimized with Grey Wolf Optimization
[IEEE] 2025-12-16 | 3D Lightning Mapping Using a Two-Station VHF Interferometer System: Preliminary Results
[IEEE] 2025-12-16 | To Enhance and Integrate Agriculture Food Supply Chain Transparency by using Smart Contract and Blockchain Technology
[IEEE] 2025-12-16 | An Improvement of Energy-Aware Routing Protocol With Mobile Sink Optimization For Wireless Sensor Networks
[IEEE] 2025-12-16 | Superposed Transmission of IoT Low-Speed Signal over High-Speed Video Signal with Multilevel Modulations
[IEEE] 2025-12-16 | MDNet: Multi-Scale Detail-aware Network for Low-Light Image Enhancement
[IEEE] 2025-12-16 | An Intelligent Autonomous Robot with Recognition, Depth-Aware Perception, and Manipulation
[IEEE] 2025-12-16 | Real Time Video Segmentation for Object Tracking
[IEEE] 2025-12-16 | Decentralized Social Networking with Artificial Intelligence for Enhanced Connection and Updates
[IEEE] 2025-12-16 | Comparisons Between Open-LLMs For Fake News Detection
[IEEE] 2025-12-16 | Overcoming Legal Barriers to the Safe Use of Agentic Artificial Intelligence in Mediation and Dispute Resolution
[IEEE] 2025-12-16 | Cross-Study Comparability for IDS: A Call for Clarity
[IEEE] 2025-12-16 | BIKES: A Moving Network Instrument for Music and Sound Art
[IEEE] 2025-12-16 | Pipeline for Data Collection and Real-Time Inference for Semantic Segmentation of 3D Point Clouds
[IEEE] 2025-12-16 | The Advanced Arithmetic of Oprema, the Relay Computer of Carl Zeiss Jena
[IEEE] 2025-12-16 | Enhancing Freshwater Lobster Productivity with IoT-Enabled Web Interface for Water Quality Management
[IEEE] 2025-12-16 | Optimal Control Based on Reinforcement Learning for a Class of Nonlinear Singularly Perturbed Systems
[IEEE] 2025-12-16 | Accelerating High-Speed Interconnect Development with a Closed-Loop Design and Validation Framework
[IEEE] 2025-12-16 | Optimization of Dynamic Environment SLAM Algorithm Based on Multi-sensor Fusion
[IEEE] 2025-12-16 | X-Shield: Explainable Credit Card Fraud Detection Using XGBoost and SHAP for Analyst-Centric Triage
[IEEE] 2025-12-16 | A Multi-Touch Web and Android-based E-Restaurant Management System using LabVIEW
[IEEE] 2025-12-16 | Design and Implementation of a 2-DOF Manipulator Based on Inverse Kinematics for Agricultural Robotic Competition
[IEEE] 2025-12-16 | Adaptive Haar Wavelet Based Denoising for Noisy ECG Signal Restoration
[IEEE] 2025-12-16 | Enhancing Deep Learning to Identify Cardiac Hypertrophy in Patients with Diabetes: A Comprehensive Review
[IEEE] 2025-12-16 | Interactive HMI Visualization for a Real-Time Flow Control System Using Variable Speed Drive and Electromagnetic Flowmeter with HART-Based Calibration
[IEEE] 2025-12-16 | Garbage Classification using Deep Learning: A Neural Network Approach for Automated Waste Sorting
[IEEE] 2025-12-16 | Climate Feature Impact on Rainfall Prediction Using Recurrent Neural Networks: Comparative Analysis of AUSMI and ENSO Predictors in Central
[IEEE] 2025-12-16 | Employ the Reinforcement Learning (RL) and Predictive Handover Techniques: Apply Intelligent Mobility Management in 5G Wireless Networks
[IEEE] 2025-12-16 | Impact of Smoking and Lung Capacity on Disease Recovery: A Machine Learning Perspective
[IEEE] 2025-12-16 | Modeling and Control of an Electro-hydraulic Active Suspension System
[IEEE] 2025-12-16 | Analysis Of The Success Factor Of Enterprise Resource Planning (ERP) Oracle Netsuite In Coal Mining Company With The Delone And Mclean ModelL Approach
[IEEE] 2025-12-16 | Artificial Intelligence in Oral Health: A Study for the Detection of Oral Precancerous Conditions
[IEEE] 2025-12-16 | Dual-Layer Cavity Backed Circular SIW Antenna for 5G Smart-Watches
[IEEE] 2025-12-16 | Design of Multi-Logic ALU with 6TSRAM for 2x1 SRAM Memory in SCL 180nm Technology
[IEEE] 2025-12-16 | A Rapid and Accurate Monitoring Method for Birds in Substations Based on the Improved YOLOv11
[IEEE] 2025-12-16 | Real-Time Phishing Domain Generation Detection using BERT and Lexical Analysis
[IEEE] 2025-12-16 | RGCNs: Relational Graph Convolutional Networks for Trust-based Fraud Identification in SIoT
[IEEE] 2025-12-16 | Enhanced Optoelectronic Response in Si/GO/Ag Schottky Photodetector by Drop Casting Thin Film
[IEEE] 2025-12-16 | Efficient Load Balancing in Electric Vehicle Charging Grids Using Reinforcement Learning
[IEEE] 2025-12-16 | Child Safety Net: An IoT-Driven Wearable Solution using Arduino UNO
[IEEE] 2025-12-16 | A Cybersecurity Framework for Non-Invasive Disease Detection and Medical Data Protection
[IEEE] 2025-12-16 | Analysis of Microwave Bond Interconnect with Curve-Fitting Modeling and Neural Network-Based Prediction
[IEEE] 2025-12-16 | A Dual-Mode Broadband Adjustable Energy Selective Surface
[IEEE] 2025-12-16 | Enhancing the Filtering Antenna Performance by Cooperating Characteristic Mode Analysis and Fragment-Type Structure Optimization
[IEEE] 2025-12-16 | A Grating Lobe Suppression Antenna Based on the TM01 and TM02 Modes
[IEEE] 2025-12-16 | Implantable MIMO Antenna for WMTS and ISM Bands in Leadless Cardiac Pacemaker System
[IEEE] 2025-12-16 | Design of an Unequal Power Divider with High-Dividing Ratio on Microstrip
[IEEE] 2025-12-16 | Propagation Characteristics and Eavesdropping Risks of Terahertz Channels Through Indoor Materials
[IEEE] 2025-12-16 | A Polarization-Reconfigurable Metasurface Antenna for 3.4 GHz Bluetooth Applications
[IEEE] 2025-12-16 | Dual-Channel Multiplexing Circularly Polarized Folded Transmitarray for Generating Bessel OAM Vortex Beams
[IEEE] 2025-12-16 | A 72-Channel RF transceiver with High Flatness for Massive MIMO Channel Emulator
[IEEE] 2025-12-16 | A Compact Dual-Polarized ME-Dipole Antenna with Ultra-Wide ARBW and Wide HPBW
[IEEE] 2025-12-16 | Single-Frequency Near-Field Microwave Detection of Subsurface Small-Scale Defects in GFRP
[IEEE] 2025-12-16 | Reduction of Cross-Polarized Radiation of Microstrip Antennas by Incorporating Periodic Structure in DGS
[IEEE] 2025-12-16 | Robust R-Peak Detection in Terahertz Pulse Signals Using Adaptive Thresholding
[ACM] 2025-12-17 | Research on the Application of Cloud Computing in Enterprise Credit Rating System
[ACM] 2025-12-17 | Research on Green Credit Default Prediction Based on LightGBM Model: Empirical Evidence from China's Banking Industry
[ACM] 2025-12-17 | Personal Credit Portfolio Optimization Model Using Deep Reinforcement Learning
[ACM] 2025-12-17 | Identification of Hotspots in China's Power Grid Policy Themes Based on LDA and Social Network Analysis
[ACM] 2025-12-17 | Quantitative Cross-Market Arbitrage for Palm Oil Futures Using Machine Learning
[ACM] 2025-12-17 | Supporting Transfer of Learning from Block to Text Programming using a Hybrid Drag-and-Drop IDE
[ACM] 2025-12-17 | Statistical Modeling Research on Rural Economic Data Driven by SPSS27.0
[ACM] 2025-12-16 | GNN-Transformer: An anomaly detection method for escalator sensor time-series data in metro station
[ACM] 2025-12-16 | Design and Implementation of an IoT-Enabled Intelligent Sleep-Aid Eye Mask Based on STM32 Microcontroller
[ACM] 2025-12-16 | Design and Development of a Responsible Care Evaluation System for Hazardous Chemical Warehousing Enterprises
[ACM] 2025-12-16 | A neural network anomaly detection model based on reconstructed relative pairing loss
[ACM] 2025-12-16 | Towards Intelligent Water Disaster Defense: A Unified Digital Twin Framework Integrating Physics-Informed AI for Flood Prediction, Assessment, and Mitigation
[ACM] 2025-12-16 | An Improved Lightweight YOLO-Based Smart Marine Landslide Monitoring and Early Warning System
[ACM] 2025-12-16 | A Hybrid Matheuristic Combining Cheapest Insertion and Benders Decomposition for VRPTW
[ACM] 2025-12-16 | Methods for Acquiring and Incorporating Knowledge into Stock Price Prediction: A Survey
[ACM] 2025-12-16 | FRD: Feature Reconstruction and Discrimination for Unsupervised Anomaly Localization
[IEEE] 2025-12-16 | IoT-Enabled Automatic Self-Cleaning and Smart Toilet Management System
[IEEE] 2025-12-16 | AI Powered Multimodal Dermatological Chatbot for Skin Disease Diagnosis and Consultation
