[2026-07-17 22:50:52] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-16
正在获取论文...
[arXiv] 2026-07-16 | Expanding the Lexicon of Ge'ez Based African Languages: A Comparative Study of Amharic and Tigrinya
[NO] 230/1846 | Phase coherence control of a programmable high-Tc superconductor created by light
[NO] 231/1846 | Spin-Resolved Decay of Axion-Like Particles into Electron--Positron Pairs in Strong Electromagnetic Fields
[NO] 232/1846 | Features of the distribution of absorbing matter in the local system
[NO] 233/1846 | CASP: Learning-Augmented Offline Approximation with Verifiable Certificates and Bounded-Loss PAC Guarantees
[NO] 234/1846 | Controlled Reformulation Testing for Logical Consistency in Large Language Models
[NO] 235/1846 | Uni-AdaVD: Universal Concept Erasure for Visual Generation via Orthogonal Value Decomposition
[NO] 236/1846 | State-Dependent Metric Projection Neural Network for Variational Inequalities
[NO] 237/1846 | VLT: A Vision-Language-Time Series Multimodal Foundation Model for Industrial Intelligence
[NO] 238/1846 | DRIFT: Drift and Aggregation for Motion Planning
[NO] 239/1846 | Denoising-Autoencoder-Assisted Physical Layer Secret Key Generation
[NO] 240/1846 | SAGA: Schema-Aware Grounding for Agentic Text-to-SPARQL Generation
[NO] 241/1846 | Context Contamination in LLM Analysis of Network Security Logs: Poison with Passive Prompt Injection and Mitigation Evaluation
[NO] 242/1846 | EdgeFaaS: A Function-based Framework for Edge Computing
[NO] 243/1846 | Syndrome-as-Header: A Quantum Label-Switching Architecture via Uncorrectable Error Injection
[NO] 244/1846 | Bergman functions on weakly uniformly perfect domains II
[NO] 245/1846 | From Draft to Draft-Free: One-Step Video Object Removal via Privileged Distillation and Fast Planting
[NO] 246/1846 | CFM-Bench: A Unified Multi-Domain, Multi-Task Benchmark for Channel Foundation Models
[NO] 247/1846 | Stitch-Inferencer: Enhance Endoscopic Video Segmentation and Tracking via Panoramic Reconstruction
[NO] 248/1846 | Contextualized Early Detection of Online Firestorms: A Sequential LLM-Based Approach
[NO] 249/1846 | A Comprehensive History of $μ$CRL and mCRL2
[NO] 250/1846 | A Queueing-Stability Criterion for Causal IPD-QIM Network Flow Watermarking
[NO] 251/1846 | Stochastic process model of rough surface contact
[NO] 252/1846 | A superplethystic formula for superrestriction coefficients
[NO] 253/1846 | A Minimal Interpretable Architecture for Zero-Shot Reconstruction of Dynamical Systems
[NO] 254/1846 | Tomographic flow regime vs even-odd effect for the magnetotransport in the Corbino geometry
[NO] 255/1846 | Coloring Black Holes: Epistemic and Aesthetic Choices in Astronomical Imaging
[NO] 256/1846 | Optimal Design for Generalized Progressive Hybrid Censored Data via Constrained, Unconstrained, Compound, and Minimax Optimization
[NO] 257/1846 | Authoring Narrative Visualization in Motion: Visual Storytelling in Swimming Videos
[NO] 258/1846 | Stochastic ultimatum game: Spite-driven resource feedback fosters fairness
[NO] 259/1846 | Non-Hermitian Interaction between Light and Photonic Time Crystal Beyond the Floquet Quasinormal Mode Approximation
[NO] 260/1846 | Alternating adjacent-sum polytopes: transfer matrices and Ehrhart series
[NO] 261/1846 | Efficient Hamilton covers and linear arboricity of random graphs
[NO] 262/1846 | Rotational Motion-Induced Error Compensation for Phase-Shifting Profilometry-Based Eye Reconstruction
[NO] 263/1846 | Optimization dynamics of Transformer backflow neural quantum states for the two-dimensional Hubbard model
[NO] 264/1846 | Erdős-Ko-Rado-type problem for hypergraph matchings
[NO] 265/1846 | Thermal Masses and Bubble-Wall Friction in Cosmological Phase Transitions
[NO] 266/1846 | A Bogomolov type vanishing theorem
[NO] 267/1846 | RW-Voice-EQ Bench: A Real World Benchmark for Evaluating Voice AI Systems
[NO] 268/1846 | Analytical covariances for catalogue-based pseudo-$C_\ell$s
[NO] 269/1846 | Modular Sign Compensation for MIMO Systems with Unknown Control Direction: An Exact Nominal Recovery Approach
[NO] 270/1846 | Physics-Informed Diffusion for Biomechanically Plausible 3D Sign Language Generation
[NO] 271/1846 | Lossy compression of weighted graph adjacency matrices by transform coding
[NO] 272/1846 | Interventional Causal Circuits for Safe Robot Action Testing and Failure Recovery
[NO] 273/1846 | Multi-Scale Equilibrium under Variable Indicator Dimensionality: Faithful Reduction of Dynamic Attractors in Urban Mobility Systems
[NO] 274/1846 | Track fitting at the full LHC collision rate
[NO] 275/1846 | Curvature-Constrained and Constant-Speed Distributed Simultaneous Arrival Control for Multi-Robot Systems
[NO] 276/1846 | Responses of multiparticle observables to multidimensional nuclear deformation in relativistic heavy-ion collisions
[NO] 277/1846 | Dialogue Summarization with Emotion Dynamics Using Topic- and Participant-Centric Decomposition
[NO] 278/1846 | Random Spherical Codes at High SNR: Error Transitions, Fixed-Error Data Rates, and Converse Gaps
[NO] 279/1846 | Local Variance-Based Calibration of Programmable Photonic Interferometer Meshes
[NO] 280/1846 | The Mysterious Case of Iron in XMPs: Anomalous High log(Fe/O) Observed in Extremely Metal-Poor Galaxies HSCJ1631+4426 and SDSSJ0811+4730
[NO] 281/1846 | Newton-Based Mixed Precision Iterative Refinement for Large-Scale Sparse Continuous-Time Algebraic Riccati Equations
[NO] 282/1846 | A Slow-Fast Stochastic Framework for Zeroth-Order Distributed Time-Varying Optimization
[NO] 283/1846 | GAttNHP: Group Attention Neural Hawkes Process for Extrapolation Reasoning in Temporal Knowledge Graphs
[NO] 284/1846 | Topological reconstruction theorems over uncountable algebraically closed fields
[NO] 285/1846 | Multistate ferroelectricity and switchable layer-locked anomalous valley Hall effects in bilayer ReIrGe2Se6
[NO] 286/1846 | Impact of tensor-rank components of chiral three-nucleon forces on the single-particle structure of calcium isotopes
[NO] 287/1846 | Active Real-World Factor-Based Evaluation for Generalist Robot Policies
[NO] 288/1846 | Compensation Design
[NO] 289/1846 | A Measurement Study of AI-Environment Realism Gaps in Malware-Analysis Sandboxes
[NO] 290/1846 | Dust Growth in Binary Systems: Inhibition of dust settling and growth in circumbinary discs
[NO] 291/1846 | Enabling Cosmic Web Analysis at Gigaparsec Scales: A Multi Block Approach for DisPerSE
[NO] 292/1846 | Revisiting a random model of lateral gene transfer in phylogenetics
[NO] 293/1846 | Implicit differentiation of tensor network algorithms
[NO] 294/1846 | Modified $Q$-Laplacian Problem with Parameter and Exponential Nonlinearity on the Heisenberg Group
[NO] 295/1846 | Project Kaleidoscope: Contextual, Human-Aligned Evaluation for Real-World AI Applications
[NO] 296/1846 | Partition, Prompt, Aggregate: Statistical Self-Consistency in Language Models
[NO] 297/1846 | Tautological systems and local cohomology
[NO] 298/1846 | Intriguing Electronic Structures of C8 and C12 Carbon Rings
[NO] 299/1846 | Cyclotomic polynomials and homological criteria for mapping class types
[NO] 300/1846 | Adaptive Entanglement Management in Quantum Multi-Core Architectures
[NO] 301/1846 | SoftNav: Injecting 3D Scene Tokens into VLMs for Embodied Navigation
[NO] 302/1846 | SUFLECA: Scaling Up Feature Learning for CAD-to-image Alignment
[NO] 303/1846 | A fast summation method for the DFT-D3 dispersion correction
[NO] 304/1846 | Confidence-based Ranking with Adaptive Sampling for Noisy Black-Box Optimisation
[NO] 305/1846 | Steering dynamic network centrality via control theory
[NO] 306/1846 | Backpropagating Pauli Propagation
[NO] 307/1846 | High-Q superconducting microwave resonators using MBE titanium nitride
[NO] 308/1846 | MeanFlowNFT: Bringing Forward-Process RL to Average-Velocity Generators
[NO] 309/1846 | Motion-Conditioned Multi-View Fusion for Myocardial Infarction Localization from Echocardiography
[NO] 310/1846 | Long-range and steady-state entanglement of driven-dissipative nitrogen vacancy centers using microwaves as a drive and synthetic antiferromagnet as a dissipator
[NO] 311/1846 | What does the model actually see? Evaluation protocols and input availability in data-driven prediction of room acoustic parameters
[NO] 312/1846 | TikStance: A Multimodal and Hierarchical Dataset for Multi-target Stance Analysis in TikTok Political Conversations
[NO] 313/1846 | Study of Duffing oscillator using an improved Lindstedt Poincare method and relevant comparisons
[NO] 314/1846 | CRISP: Constrained Refinement via Iterative Squeezing Process for Robust Medical Image Segmentation under Domain Shift
[NO] 315/1846 | Hyperfine driven spin relaxation of charge carriers in metal-halide perovskites
[NO] 316/1846 | Disintegration Temporal Logic for Probabilistic Hyperproperties
[NO] 317/1846 | Statistical Inference for Scenario-Based Dynamic Optimization under Uncertainty
[NO] 318/1846 | Tamed Stochastic Gradient Hamiltonian Monte Carlo
[NO] 319/1846 | The fractional Laplacian in Lipschitz domains: Dahlberg's Theorem and $L^{2}$-solvability
[NO] 320/1846 | Strongly convergent matrix models for $q$-Gaussian algebras
[NO] 321/1846 | An Introduction to Sparse Identification of Nonlinear Dynamics for Engineering Applications
[NO] 322/1846 | Comparative study and optimization of SDHCAL hadronic energy reconstruction methods
[NO] 323/1846 | Synergistic Effects of Phosphorus Doping and Oxygen Vacancies on Formaldehyde Oxidation over CeO$_2$(111): A First Principles Investigation
[NO] 324/1846 | Collective dynamics of harmonically trapped 1D quantum droplets under linear gravitational-like confinement
[NO] 325/1846 | Multi-Axis Max@K Reinforcement Learning for Representative Diversity in Text-to-Image Generation
[NO] 326/1846 | Model-Independent and Data-Driven Extraction of the Photon Distribution Function at the Electron--Ion Collider
[NO] 327/1846 | A Precise Determination of the Shape of the Proton's Gluon Cloud from HERA data
[NO] 328/1846 | Optimal Self-Distillation for Rectified Flow via Linear Probing
[NO] 329/1846 | Testing for correct model specification in copula regression models
[NO] 330/1846 | A Three-Point Continuous-Variable Quantum MacWilliams Identity
[NO] 331/1846 | A C++ implementation of the G-Scheme stiff ODE solver with multi-resolution sparse hash-table kernel lookup
[NO] 332/1846 | Star-triangle duality estimates for triangular and honeycomb permutation models
[NO] 333/1846 | Possible hidden-bottom molecular pentaquarks from $P$-wave $Λ_bB^{(*)}/Σ_b^{(*)}B^{(*)}$ interactions
[NO] 334/1846 | CODA: Algorithm-Hardware Co-design for Edge Video Diffusion via NMP-Enabled Compute-Cache Operator Disaggregation
[NO] 335/1846 | FirmPilot: Evidence-Guided Multi-Agent Environment Recovery for IoT Firmware Rehosting
[NO] 336/1846 | The COLIBRE-SKIRT pipeline: Calibration-free dust radiative transfer postprocessing for cosmological simulations
[YES] 337/1846 | The Distributed Open-Source Vulnerability Ecosystem
[NO] 338/1846 | Innocuous-Seeming Data, Latent Ideology: Ideological Generalisation in Finetuned LLMs
[NO] 339/1846 | Reachability-Aware Pretraining for Efficient Target-Oriented Path Exploration in Temporal Knowledge Graph Reasoning
[NO] 340/1846 | Periplus: A Resilient In-band SDN Control Plane via Embedded Forwarding Graphs
[NO] 341/1846 | Curvature Converts Phonon Hall Viscosity into Phonon Angular Momentum
[NO] 342/1846 | Chaos bound violation by spinning particles in Gauss-Bonnet-AdS black holes
[NO] 343/1846 | Binary Gauss Stabilizers for Abelian Lattice Gauge Theories
[NO] 344/1846 | Ascending chains of irreducible lattices, bi-reversible automata and affine arithmetic groups
[NO] 345/1846 | Subgrid-Scale Parameterization in Burgers' Equation Using Structure-Preserving Neural Networks and Entropy Variables
[NO] 346/1846 | Towards Human-like Physical Intelligence: LifelongVision-Language-Action Learning for Robotic Manipulation
[NO] 347/1846 | Flow-Driven Limb-Asymmetry of Haze Distribution Part I: An Analytical Framework for Predicting the Size Distribution of Photochemical Hazes Across the Two Limbs of hot-Jupiters
[NO] 348/1846 | KineFuse: Kinematic-Aware Haptic Fusion for In-Hand Occluded-Object Pose Tracking
[NO] 349/1846 | Density-driven reentrant polymer transitions via saturable bridging crowders
[NO] 350/1846 | LLM-Based Re-Ranking for Real Estate Search
[NO] 351/1846 | Aggregation Bias in Proxy Measurement: Nighttime Lights and Local Economic Activity
[NO] 352/1846 | The dark side of translation surfaces: It is not all about dynamics
[NO] 353/1846 | Quantum Remote Implementation of Hybrid Operations on Hyperstates Using Hyperentangled States
[NO] 354/1846 | Is External Database Protection Static in Retrieval-Augmented Generation? Rethinking Privacy Preservation under Dynamic Queries
[NO] 355/1846 | An LLM-Based Automatic Sportscast Solution for Robot Soccer Matches
[NO] 356/1846 | An unfitted boundary algebraic equation method with static-dynamic reduction for evolving implicit geometries
[NO] 357/1846 | Unified Evaluation Methodology for AI-Native Integrated Sensing and Communication
[NO] 358/1846 | $c$-axis strain tuning of superconductivity and symmetric elastoresistivity in CsV$_3$Sb$_5$
[NO] 359/1846 | On the degree distribution of large tentacular Bienaymé-Galton-Watson trees
[NO] 360/1846 | Inferring Non-Normal Amplification Geometry from Multivariate Time Series
[NO] 361/1846 | Higher covering spaces in an $\infty$-topos
[NO] 362/1846 | Empirical verification of principal mode orthogonality and relative phase calibration in photonic lanterns
[NO] 363/1846 | Bayesian Basin Tracking: Efficient Global Continuation of Multistable Dynamical Systems
[NO] 364/1846 | Motion-Based Beamshape Recovery Enables Precision Nanoparticle Sizing
[NO] 365/1846 | Clean-Reference Streaming Detection of Lens Occlusion and Photometric Transitions for Camera Tamper Monitoring
[NO] 366/1846 | Polar Form of the Dirac Operator in Low-Dimensional Space-Times
[NO] 367/1846 | Toward Energy-Efficient and Low-Power Arrhythmia Detection for Wearable Devices
[NO] 368/1846 | On the Disagreement in Perturbation-based xAI -- Benchmarking Perturbation Choices for Flood Detection from SAR Images
[NO] 369/1846 | Warped Spacelike Singularities and the $C^0$-Inextendibility of Birmingham-Kottler Spacetimes
[NO] 370/1846 | FoMoVLA: Bridging Visual Foresight and Motion Guidance for Vision-Language-Action Models
[NO] 371/1846 | HJ numbers revisited
[NO] 372/1846 | Assisting Mission-Critical Traffic Flows with Active Queue Management in Industrial Internet of Things
[NO] 373/1846 | A generalized variational quantum linear solver on photonic platform
[NO] 374/1846 | Improving interpretation of latent class models for diagnostic tests by recognizing their measurands via directed acyclic graphs (DAGs)
[NO] 375/1846 | A Validated Data-driven Subject and Vehicle Specific Nonlinear Biodynamic Model for Predicting Upper-Body Response in Vehicle Ride
[NO] 376/1846 | Beyond Generalist LLMs: Specialist Agentic Systems for Structured Code Workflow Execution
[NO] 377/1846 | Motion Planning with Model-Based Diffusion via Constraint Optimization and Adaptive Scheduling
[NO] 378/1846 | Which Green Technology to Subsidize? Evidence from Electric Vehicles in South Korea
[NO] 379/1846 | The analogue of Belinskaya's theorem for measure-preserving flows
[NO] 380/1846 | Not Just Pockets: Understanding Phone-Carrying Behaviors of Wheelchair Users for Mobile Context-Awareness
[NO] 381/1846 | Global drivers and barriers to the public acceptance of autonomous vehicles: Evidence from 17 countries
[NO] 382/1846 | AE-UAV: An Air-to-Air Event-Based UAV Tracking Benchmark and a Real-Time Frequency-Domain Tracker
[NO] 383/1846 | Tunable Magneto-Excitonic Coupling in Alloyed van der Waals Antiferromagnet
[NO] 384/1846 | Gold-Guided Programmatic Distillation for Financial Reasoning over Hybrid Tables and Text
[NO] 385/1846 | Harnessing LLMs for Reliable Academic Supervision: A Comparative Study
[NO] 386/1846 | MESHA: Mechanism-Enforced Sequential Halving for Strategic Linear Bandits
[NO] 387/1846 | Grad2Fair: A Gradient-driven Approach for Graph Fairness without Demographics
[NO] 388/1846 | Efficient Quantum Algorithm for Phase Optimization of 1-Bit RIS-Assisted MIMO Communication System
[NO] 389/1846 | Exact Computation of Non-Gaussian Mismatch Penalties in Wiener-Hermite Cross-Correlation Identification
[NO] 390/1846 | Early Near-Infrared Excess and Rapid Disk-Corona Evolution in the Tidal Disruption Event 2024aepd
[NO] 391/1846 | A low-rank hierarchical framework for the non-Markovian stochastic Schrödinger equation with convergence analysis
[NO] 392/1846 | Operator-Split Bayesian Learning for Elliptic PDEs with Unequal Interior and Boundary Data
[NO] 393/1846 | Vortex-Beam Transient Absorption Microspectroscopy Resolves Ultrafast Free-Exciton and Polaron Diffusion in 2D Perovskites
[NO] 394/1846 | Scalable Training of Continuous-Time Spiking Neural Networks with Differentiable Spike-Time Discretization
[NO] 395/1846 | Optical design of a direct fibre-fed MO-IFS for the NLOT
[NO] 396/1846 | The optimal $χ$-bound for $\{P_6, \text{dart}, K_4\}$-free graphs
[NO] 397/1846 | Rate-Independent Epigenetics: a thermodynamically consistent framework for modelling epigenetic response
[NO] 398/1846 | D-cut: Adaptive Verification Depth Pruning for Batched Speculative Decoding
[NO] 399/1846 | Analytic Abduction: Causal Decomposition and Governed Commitment for Human--AI Coordination
[NO] 400/1846 | Equivariant rational sliceness and Klein amphichirality of odd-stranded Turk's head knots
[NO] 401/1846 | Efficiency of Tidal Dissipation in Convective Flow Under Rapid Tidal Forcing
[NO] 402/1846 | Knowing You at First Glance: Inferring Apparent Personality from Faces
[NO] 403/1846 | Emergence and Recovery of (logical) Kochen-Specker Contextuality via Hamilton Extension
[YES] 404/1846 | Routing Ceilings Are Domain-Independent: Structural Prior Injection in Code Security Vulnerability Detection
[NO] 405/1846 | Random walks around black holes and low-frequency X-ray variability
[NO] 406/1846 | Minimal degree of an isogeny between a supersingular elliptic curve and its conjugate
[NO] 407/1846 | Scalarization of Charged Black Hole in Gauss-Bonnet Extended Starobinsky-Maxwell Gravity
[NO] 408/1846 | Efficient Pattern Matching for Unordered Term Tree Patterns under Generalized Height-Constrained Bindings
[NO] 409/1846 | Gradient-enhanced spline dimensional decomposition for uncertainty quantification with limited training samples
[NO] 410/1846 | Hough-SIFT: Robust Image Registration for Linear Structures via Hough Space
[NO] 411/1846 | Numerical and experimental framework for bending elasticity of highly flexible slender structures
[NO] 412/1846 | Qubes OS Security in the Public Record
[NO] 413/1846 | Skeleton: Visual Authoring of Non-visual Data Experiences
[NO] 414/1846 | Connections on Associative Varieties
[NO] 415/1846 | Collaborative Spatial Learning with Multi-LLM Agents in Networked Social Experiments
[NO] 416/1846 | Breaking the Model Forgetting Cycle in Long-Incremental 3D Object Detection
[NO] 417/1846 | Lyapunov spectrum scaling transition for quasiperiodic nonlinear unitaries
[NO] 418/1846 | HyMobileAgent: Data-Environment Co-Scaling for Efficient GUI Agents
[NO] 419/1846 | AdaTurn: Budget-Aware Test-Time Scaling for Active Visual Perception Agents
[YES] 420/1846 | Are LLM-Generated GPU Kernels Production-Ready? A Trace-Driven Benchmark and Optimization Agent
[NO] 421/1846 | Communication-Efficient Relative Pose Estimation with Vision Foundation Models for Ephemeral Collaborative Perception
[NO] 422/1846 | SwinAD: Multi-stage feature reconstruction for unsupervised industrial anomaly detection
[NO] 423/1846 | xHC: Expanded Hyper-Connections
[NO] 424/1846 | Right Device, Right Place: Variation-Aware Placement and Design Optimization for Robust Photonic Lattice-Filter Demultiplexers
[NO] 425/1846 | Compression of 3D Gaussian Splatting Data Using GPU-friendly Graphics Texture Coding
[NO] 426/1846 | Multi-Scale ViT Inference with Habitat-Fit Priors and kNN Retrieval for Multi-Species Plant Identification
[NO] 427/1846 | Formal Verification for Deep Learning-based Power Control in Massive MIMO
[NO] 428/1846 | Microwave Resonant Discharges for Spatiotemporally Selective Plasma Breakdown Near Surfaces
[NO] 429/1846 | Searching for long-lived ALPs with a laser-assisted optical dump
[NO] 430/1846 | Efficient higher-order local time integration for Friedrichs' systems
[NO] 431/1846 | One more radiative-recoil correction to the Lamb shift in muonium
[NO] 432/1846 | Memory-Exhaustion Attack on the Blocklace Byzantine-Repelling Conflict-Free Replicated Data Type
[NO] 433/1846 | AHEAD: Anticipatory Hand-Driven Teleoperation via Human Intent Prediction
[NO] 434/1846 | Multiscale Mixed-Dimensional Simulation via Domain Decomposition and Non-Intrusive Neural Model Order Reduction
[NO] 435/1846 | Translation of transient acoustic fields
[NO] 436/1846 | Navigating the Socio-Technical Complexity Challenge in Quantum Software Ecosystems
[NO] 437/1846 | Fluidic hysterons and memory in flow networks
[YES] 438/1846 | Automated Template-free Synthesis of Instruction-Centric Leakage Contracts for Black-Box CPUs
[NO] 439/1846 | A Model Predictive Control Framework for Assisted Vehicle Drifting
[NO] 440/1846 | Spin Hall Effect in Collinear Ferromagnets from Spin-Group Symmetry
[NO] 441/1846 | Local magnetic correlations and light-sensitive centers in the Cr2AlC MAX phase
[NO] 442/1846 | Long-Context Fine-Tuning with Limited VRAM
[YES] 443/1846 | Capturing and Exploiting Design Pattern Variability in Mobile Application Generation
[NO] 444/1846 | Isomorphism rigidity of uniform Roe algebras over arbitrary uniformly locally finite coarse spaces
[NO] 445/1846 | An experimental pathway towards an exact theory of strong coupling
[NO] 446/1846 | Split Complex-Valued Physics-Informed Neural Networks for Forward and Inverse Nonlinear PDEs
[NO] 447/1846 | Quantifying Training Membership Information in the Hyperspherical Embedding Geometry of Face Recognition Models
[NO] 448/1846 | Defects extremal surfaces and interface CFTs
[NO] 449/1846 | Mirror symmetry in 3d in 3d mirror symmetry
[YES] 450/1846 | Pattern-Guided Design Space Exploration for FPGA Accelerator Design
[NO] 451/1846 | Interaction energies of H$_2$ and CO on transition-metal surfaces computed by a range-separated hybrid van der Waals density functional
[NO] 452/1846 | Extracting nuclear charge radii from binding energies: a single-parameter empirical formula with structural corrections
[NO] 453/1846 | A novel construction of homotopy 4-spheres and real projective 4-spaces à la Cappell-Shaneson
[NO] 454/1846 | Neural operators solve inverse problems for constitutive model discovery
[NO] 455/1846 | Derivation and application of a general scaling relation between the dc and asymptotic high-frequency optical Hall responses
[NO] 456/1846 | Video = World + Event Stream
[NO] 457/1846 | Recent progress on liquid transport growth of quantum materials
[NO] 458/1846 | PeV extended emission around Galactic PeVatrons and echos of their flares
[NO] 459/1846 | Roman-Type Domination on Convex and Chordal Bipartite Graphs: Algorithms and Hardness
[NO] 460/1846 | Leaf: An Instrumentation-based Dynamic Analysis Framework for Rust
[NO] 461/1846 | High resolution Lyman-α forest constraints on dark matter-neutrino scattering
[NO] 462/1846 | The non-LTE abundances of magnesium and yttrium and asteroseismic ages for the chemical clock calibration
[NO] 463/1846 | Augmenting goodness-of-fit tests with sequentially calibrated secondary statistics
[NO] 464/1846 | Ridge-Spin-Layer Coupling and Emergent Ridgetronics in 2D Altermagnets
[NO] 465/1846 | CosFly-VLA: A Spatially Aware Vision-Language-Action Model for UAV Tracking
[NO] 466/1846 | RoboTTT: Context Scaling for Robot Policies
[NO] 467/1846 | Single-component twisted $\mathbb{Z}_3$ orthogonal metal in an $e/3$-anyon fluid
[NO] 468/1846 | Online Neural Space Time Memory for Dynamic Novel View Synthesis
[NO] 469/1846 | Tunable Mpemba effect in a polymer-bead system with inertia
[NO] 470/1846 | Dynamic Entanglement Distribution for Multi-User and Multi-Protocol Quantum Networking
[NO] 471/1846 | Decoding Market Emotion from Blockchain Activity: A Data-Driven Sentiment Classifier
[NO] 472/1846 | SearchOS-V1: Towards Robust Open-Domain Information-Seeking Agent Collaboration
[NO] 473/1846 | teLLMe Why (Ain't Nothing but a Jam): Exploratory Causal Analysis of Urban Driving Data
[NO] 474/1846 | Beyond the Leaderboard: Design Lessons for Trustworthy Multimodal VQA
[NO] 475/1846 | Cosmic string gravitational wave backgrounds at LISA: II. Reconstruction of conventional signals over astrophysical foregrounds
[NO] 476/1846 | Symbal: Detecting Systematic Misalignments in Model-Generated Captions
[NO] 477/1846 | Stigmergic Graph Memory: An Environment-Aware Approach for Many-to-Many Multi-Agent Pickup and Delivery
[NO] 478/1846 | On the Classification of Stein spaces with Bergman-Einstein metrics
[YES] 479/1846 | A Continuous-Time Reinforcement Learning Framework for Fine-Tuning Discrete Diffusion Models
[NO] 480/1846 | Space-Entropy Lower Bounds for Random Sampling
[NO] 481/1846 | Subjective Risk Decomposition: A New View for Uncertainty Quantification
[NO] 482/1846 | StructureClaw: Traceable LLM Agents and an Executable Benchmark for Structural Engineering Workflows
[NO] 483/1846 | Group Testing with Selectable Thresholds
[NO] 484/1846 | Comonads as spaces
[NO] 485/1846 | Trajectory-Aware Flow Matching for Topology Optimisation
[NO] 486/1846 | A Correlation-Gap Bound for Nonlinear Gaussian PCA
[NO] 487/1846 | Solid-solid phase transitions with space-dependent wells
[NO] 488/1846 | Cosmological Collider Signals at Strong Mixing
[NO] 489/1846 | The Energy Society: A Simulation Environment for Studying Agent Cooperation under Survival Pressure
[NO] 490/1846 | Stellar Multiplicity in Open Clusters: Investigating Binary Fractions and Their Relationship with Cluster Properties
[NO] 491/1846 | Depth-Dependent Hidden-State Collapse in Dynamical System Autoencoders for LiDAR Point-Cloud Classification
[NO] 492/1846 | Millimetre-scale spectrographs for next-generation photonic instrumentation
[NO] 493/1846 | LLM Evaluators are Biased across Languages
[NO] 494/1846 | Interleaved Noise Injection Improves Clean, Corrupted, and OOD Performance
[NO] 495/1846 | Harnessing Machine Learning for Hybrid Constitutive Modelling of Viscoelastic Fluid Flows in Computational Rheology
[NO] 496/1846 | Projections of self-affine sets onto lines
[NO] 497/1846 | Quasilinear Schrödinger Critical Problem on the Heisenberg group \(\mathbb{H}^N\)
[NO] 498/1846 | The divisor of the twisted Selberg zeta function
[NO] 499/1846 | Plover: Steering GUI Agents through Plan-Centric Interaction
[NO] 500/1846 | Bosonic SPT and invertible phases and its relation to Steenrod's problem
[NO] 501/1846 | Campaign Diagrams: Visualizing the March Through the Phases of a Workload
[NO] 502/1846 | Overlapping Network Community Detection Using Sparse Backbones
[NO] 503/1846 | WorkDrive: Roadwork Chain of Causation for Autonomous Driving
[NO] 504/1846 | Class Weighting versus Amount Conditioning in Credit-Card Fraud Detection: A Dollar-Metric Study with a Temporal Explanation Audit
[NO] 505/1846 | Large data global solution of the 3D RVM system with cylindrical symmetry II: Pointwise estimates
[NO] 506/1846 | GlobalForge: Towards Robust AI-Generated Image Detection
[NO] 507/1846 | Stop Thinking, Start Looking: Efficient Post-Training for Multimodal Document Question Answering via Reasoning-Free Alignment
[NO] 508/1846 | ReBind: Multi-Reference Video Editing via Structured Instructions with Explicit Reference Relationships
[NO] 509/1846 | Spin fluctuation-mediated unconventional superconductivity in ThFeAsN from first-principles
[NO] 510/1846 | Stability for boundary actions of cocompact lattices in Euclidean buildings
[NO] 511/1846 | A new strategy for physics-informed neural networks based on hierarchical collocation point refinement
[NO] 512/1846 | SmartRAG: Native Graph-Based RAG for Mobile Device
[NO] 513/1846 | Worst-Case Quantum Algorithm for Optimal Polynomial Intersection Beyond Decoded Quantum Interferometry
[NO] 514/1846 | Large affine spaces of symplectic forms
[NO] 515/1846 | Multiple Clausen values and deformed Apéry-like series
[NO] 516/1846 | MCPEvol-Bench: Benchmarking LLM Agent Performance Across Dynamic Evolutions of MCP Servers
[NO] 517/1846 | Cluster structures on $SL_n/SO_n$
[NO] 518/1846 | Relativistic Tidal Transitions of Saturated Kerr Boson Clouds
[NO] 519/1846 | Observational planning for the 2026 August 5 Falcon 9 Upper Stage lunar impact
[NO] 520/1846 | Multiverse analysis, abdication of responsibility and manufacturing of doubt
[NO] 521/1846 | SportD: Can VLMs Physically Strategize?
[NO] 522/1846 | The First Moment of Dirichlet L-functions over Generators of the Character Group
[NO] 523/1846 | Auditing Fairness-Privacy Trade-offs: Subpopulation-Level Effects of Fairness-Enhancing Algorithms
[YES] 524/1846 | SYNAPSE: A Multi-LLM Orchestrated AI Tutor for Secure Software Development Education with Neurodivergent-First Design
[NO] 525/1846 | Adaptive Score-Based VAMP: Self-Tuning Hyperparameters via Tilted EM
[NO] 526/1846 | How Well Does AI-Generated Feedback Work? Intrinsic and Extrinsic Evaluation across more than 20,000 EFL Essay Drafts
[NO] 527/1846 | Second-Order Optical Nonlinearity of AlScN Films Grown By Molecular Beam Epitaxy
[NO] 528/1846 | Conversational Tactile Data Interfaces: Co-Designing Accessible Data Experiences with Blind Users Using Refreshable Tactile Displays and Conversational AI
[NO] 529/1846 | Governing Artificial Intelligence: Public Preferences and Regulatory Options
[NO] 530/1846 | A Catalog of Compact High-Velocity Clouds from the FAST All-Sky HI Survey (FASHI) DR2
[YES] 531/1846 | Democratizing Agent Deployment Safety: A Structural Monitoring Approach
[NO] 532/1846 | A Modern Multimodal Assistant on a 6 GB 2011 GPU: Stage-Validated, All-GPU CUDA Inference for Fermi
[NO] 533/1846 | Fully Automated End-to-End Adversary Emulation from MITRE ATT\&CK Based Cyber Threat Intelligence Using LLMs
