[2026-03-10 09:31:41] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-03-09
正在获取论文...
[arXiv] 2026-03-09 | GOMA: Geometrically Optimal Mapping via Analytical Modeling for Spatial Accelerators
[arXiv] 2026-03-09 | TA-RNN-Medical-Hybrid: A Time-Aware and Interpretable Framework for Mortality Risk Prediction
[arXiv] 2026-03-09 | How Much Do LLMs Hallucinate in Document Q&A Scenarios? A 172-Billion-Token Study Across Temperatures, Context Lengths, and Hardware Platforms
[arXiv] 2026-03-09 | Less is More: Robust Zero-Communication 3D Pursuit-Evasion via Representational Parsimony
[arXiv] 2026-03-09 | Seed2Scale: A Self-Evolving Data Engine for Embodied AI via Small to Large Model Synergy and Multimodal Evaluation
[arXiv] 2026-03-09 | WaDi: Weight Direction-aware Distillation for One-step Image Synthesis
[arXiv] 2026-03-09 | DynamicVGGT: Learning Dynamic Point Maps for 4D Scene Reconstruction in Autonomous Driving
[arXiv] 2026-03-09 | FedPrism: Adaptive Personalized Federated Learning under Non-IID Data
[arXiv] 2026-03-09 | Not All Queries Need Deep Thought: CoFiCot for Adaptive Coarse-to-fine Stateful Refinement
[arXiv] 2026-03-09 | Transport properties of baryon rich back-reacted thermal plasma with finite 't Hooft coupling correction
[arXiv] 2026-03-09 | Capacity of Non-Separable Networks with Restricted Adversaries
[arXiv] 2026-03-09 | Optimising antibiotic switching via forecasting of patient physiology
[arXiv] 2026-03-09 | Fibration Policy Optimization
[arXiv] 2026-03-09 | Vocabulary, Physical Quantities and Units for the Measurement of Amplitude Noise and Phase Noise
[arXiv] 2026-03-09 | Computationally Efficient Data-Driven Topology Design Independent from High-Infoentropy Initial Dataset
[arXiv] 2026-03-09 | Phase Transitions, Geodesic Structure, and Thermodynamic Properties Measurement of Einstein-Maxwell-Power Yang-Mills Black Hole Models
[arXiv] 2026-03-09 | Extrapolative Quantum Error Mitigation in Continuous-Variable Systems beyond the Training Horizon
[arXiv] 2026-03-09 | HDR-NSFF: High Dynamic Range Neural Scene Flow Fields
[arXiv] 2026-03-09 | Cluster Bootstrap for Cosmological Correlators
[arXiv] 2026-03-09 | Pre-Virialized Assembly at Cosmic Dawn: The Dynamics and Extreme Ionization of Compact Group CGG-z7 at $z\sim7.04$
[arXiv] 2026-03-09 | A Structure-Preserving LOBPCG Algorithm for the Bethe-Salpeter Eigenvalue Problem
[arXiv] 2026-03-09 | A Hodge-Based Framework for Service Operational Analysis in Serverless Platforms
[arXiv] 2026-03-09 | Sequential Service Region Design with Capacity-Constrained Investment and Spillover Effect
[arXiv] 2026-03-09 | TildeOpen LLM: Leveraging Curriculum Learning to Achieve Equitable Language Representation
[arXiv] 2026-03-09 | AutoAdapt: An Automated Domain Adaptation Framework for LLMs
[arXiv] 2026-03-09 | All-in-plane image sensors free from readout integrated circuits
[arXiv] 2026-03-09 | Fat Lie Theory
[arXiv] 2026-03-09 | MERLIN: Building Low-SNR Robust Multimodal LLMs for Electromagnetic Signals
[arXiv] 2026-03-09 | Primitive elements in Ringel-Hall algebras of tame hereditary algebras
[arXiv] 2026-03-09 | An explainable hybrid deep learning-enabled intelligent fault detection and diagnosis approach for automotive software systems validation
[arXiv] 2026-03-09 | Unimode material based low-frequency underwater acoustic isolation
[arXiv] 2026-03-09 | Outlier-robust Autocovariance Least Square Estimation via Iteratively Reweighted Least Square
[arXiv] 2026-03-09 | Soundscapes in Spectrograms: Pioneering Multilabel Classification for South Asian Sounds
[arXiv] 2026-03-09 | Role of photonic interference in exciton-mediated magneto-optic responses
[arXiv] 2026-03-09 | One Hundred Years of Venus Polarimetry: PICSARR Observations of the Phase Curves
[arXiv] 2026-03-09 | Multifingered force-aware control for humanoid robots
[arXiv] 2026-03-09 | Mitigating Homophily Disparity in Graph Anomaly Detection: A Scalable and Adaptive Approach
[arXiv] 2026-03-09 | POIROT: Investigating Direct Tangible vs. Digitally Mediated Interaction and Attitude Moderation in Multi-party Murder Mystery Games
[arXiv] 2026-03-09 | A reverse isoperimetric inequality in three-dimensional space forms
[arXiv] 2026-03-09 | Explainable Condition Monitoring via Probabilistic Anomaly Detection Applied to Helicopter Transmissions
[arXiv] 2026-03-09 | A short remark on the $\ell$-torsion part of class groups
[arXiv] 2026-03-09 | SAMoE-VLA: A Scene Adaptive Mixture-of-Experts Vision-Language-Action Model for Autonomous Driving
[arXiv] 2026-03-09 | Chirp-Based Multi-Device Ambient Backscatter Communication and Sensing Enabled by OFDM-AFDM Symbiotic Radio
[arXiv] 2026-03-09 | Invisible Safety Threat: Malicious Finetuning for LLM via Steganography
[arXiv] 2026-03-09 | An Equivalent form of Twin Prime Conjecture connected with a sequence of arithmetic progressions
[arXiv] 2026-03-09 | Augmented Model Predictive Control: A Balance between Satellite Agility and Computation Complexity
[arXiv] 2026-03-09 | Asymptotic normality for general subtree counts in conditioned Galton--Watson trees
[arXiv] 2026-03-09 | TALON: Test-time Adaptive Learning for On-the-Fly Category Discovery
[arXiv] 2026-03-09 | Practical implementation of arbitrary nonlocal controlled-unitary gate via indefinite causal order
[arXiv] 2026-03-09 | Evaluating Generative Models via One-Dimensional Code Distributions
[arXiv] 2026-03-09 | Speed3R: Sparse Feed-forward 3D Reconstruction Models
[arXiv] 2026-03-09 | Rendering Forces With a Modular Cable System, Motors, and Brakes
[arXiv] 2026-03-09 | Heavy-ion physics at the CERN SPS H2: NA35, NA49 and NA61/SHINE (with personal recollections)
[arXiv] 2026-03-09 | Finite-Horizon Optimal Consumption and Investment with Time-Varying Job-Switching Costs
[arXiv] 2026-03-09 | Percolation on multifractal, scale-free weighted planar stochastic porous lattice
[arXiv] 2026-03-09 | Solution to the 10th ABAW Expression Recognition Challenge: A Robust Multimodal Framework with Safe Cross-Attention and Modality Dropout
[arXiv] 2026-03-09 | FedMomentum: Preserving LoRA Training Momentum in Federated Fine-Tuning
[arXiv] 2026-03-09 | Primitive recursive categoricity spectra of functional structures
[arXiv] 2026-03-09 | Quantum Metric Senses A Persistent Spin Helix
[arXiv] 2026-03-09 | Post-Hoc Large-Sample Statistical Inference
[arXiv] 2026-03-09 | SmartThinker: Progressive Chain-of-Thought Length Calibration for Efficient Large Language Model Reasoning
[arXiv] 2026-03-09 | Dual-Horizon Hybrid Internal Model for Low-Gravity Quadrupedal Jumping with Hardware-in-the-Loop Validation
[arXiv] 2026-03-09 | More to Extract: Discovering MEV by Token Contract Analysis
[arXiv] 2026-03-09 | Homogeneous Anisotropic Black Branes with Bianchi VI$_h$ Symmetry
[arXiv] 2026-03-09 | AutoTraces: Autoregressive Trajectory Forecasting via Multimodal Large Language Models
[arXiv] 2026-03-09 | Energy-Efficient Online Scheduling for Wireless Powered Mobile Edge Computing Networks
[arXiv] 2026-03-09 | Correlation between nuclear isospin asymmetry and $α$-particle preformation probability for superheavy nuclei from a Bayesian inference
[arXiv] 2026-03-09 | ZK-ACE: Identity-Centric Zero-Knowledge Authorization for Post-Quantum Blockchain Systems
[arXiv] 2026-03-09 | Centrifugal-corrected harmonic oscillator model for spherical proton emitters
[arXiv] 2026-03-09 | The Li-Chao Tree: Algorithm Specification and Analysis
[arXiv] 2026-03-09 | ConnChecker: Automated Root-Cause Analysis for Formal Connectivity Check via Graph
[arXiv] 2026-03-09 | Unified Structural-Hydrodynamic Modeling of Underwater Underactuated Mechanisms and Soft Robots
[arXiv] 2026-03-09 | $L^3$:Scene-agnostic Visual Localization in the Wild
[arXiv] 2026-03-09 | Condition-Triggered Cryptographic Asset Control via Dormant Authorization Paths
[arXiv] 2026-03-09 | Quantum information advantage based on Bell inequalities
[arXiv] 2026-03-09 | A Hybrid Vision Transformer Approach for Mathematical Expression Recognition
[arXiv] 2026-03-09 | Semantic Risk Scoring of Aggregated Metrics: An AI-Driven Approach for Healthcare Data Governance
[arXiv] 2026-03-09 | Enhancing Unregistered Hyperspectral Image Super-Resolution via Unmixing-based Abundance Fusion Learning
[arXiv] 2026-03-09 | Ares: Adaptive Reasoning Effort Selection for Efficient LLM Agents
[arXiv] 2026-03-09 | EveryQuery: Zero-Shot Clinical Prediction via Task-Conditioned Pretraining over Electronic Health Records
[arXiv] 2026-03-09 | LeJOT-AutoML: LLM-Driven Feature Engineering for Job Execution Time Prediction in Databricks Cost Optimization
[arXiv] 2026-03-09 | The Consistency Correctness in CoPPar Tree
[arXiv] 2026-03-09 | High-Energy Neutrino Emission in NGC1068 driven by Turbulent Magnetic Reconnection
[arXiv] 2026-03-09 | LegONet: Plug-and-Play Structure-Preserving Neural Operator Blocks for Compositional PDE Learning
[arXiv] 2026-03-09 | A Distributed Method for Cooperative Transaction Cost Mitigation
[arXiv] 2026-03-09 | Symmetry-Protected Momentum Exchange between Dark Matter and Dark Energy
[arXiv] 2026-03-09 | Effective and flexible depth-based inference for functional parameters
[arXiv] 2026-03-09 | Impacts of Jet Stream Structure on Cyclone Merging and Persistent Anticyclones: Insights from Dry Idealized Simulations
[arXiv] 2026-03-09 | Structural aging of a cohesive and amorphous granular solid under cyclic loading
[arXiv] 2026-03-09 | Sliding Cubes in Parallel
[arXiv] 2026-03-09 | Multimessenger Characterization of High-Energy Neutrino Emission from the Brightest Neutrino-Active Galactic Nuclei
[arXiv] 2026-03-09 | The Neural Compass: Probabilistic Relative Feature Fields for Robotic Search
[arXiv] 2026-03-09 | Evolving Symbiosis, from Barricelli's Legacy to Collective Intelligence: a simulated and conceptual approach
[arXiv] 2026-03-09 | ERASE -- A Real-World Aligned Benchmark for Unlearning in Recommender Systems
[arXiv] 2026-03-09 | Prototype-Guided Concept Erasure in Diffusion Models
[arXiv] 2026-03-09 | Construction of a Family of Quantum Codes Using Sub-exceding Functions via the Hypergraph Product and the Generalized Shor Construction
[arXiv] 2026-03-09 | Revisiting Gradient Staleness: Evaluating Distance Metrics for Asynchronous Federated Learning Aggregation
[arXiv] 2026-03-09 | Large differential attosecond delays in solid state photoemission
[arXiv] 2026-03-09 | MM-TS: Multi-Modal Temperature and Margin Schedules for Contrastive Learning with Long-Tail Data
[arXiv] 2026-03-09 | Fusion-Poly: A Polyhedral Framework Based on Spatial-Temporal Fusion for 3D Multi-Object Tracking
[arXiv] 2026-03-09 | E0 transition strengths as a tool to constraint model parameters. Application to even-even Xe isotopes
[arXiv] 2026-03-09 | Algorithm with variable coefficients for computing matrix inverses
[arXiv] 2026-03-09 | WKB-asymptotics for multipoint Virasoro conformal blocks and applications
[arXiv] 2026-03-09 | SERQ: Saliency-Aware Low-Rank Error Reconstruction for LLM Quantization
[arXiv] 2026-03-09 | ALOOD: Exploiting Language Representations for LiDAR-based Out-of-Distribution Object Detection
[arXiv] 2026-03-09 | Privacy-Preserving End-to-End Full-Duplex Speech Dialogue Models
[arXiv] 2026-03-09 | Hydrocarbon complexity and photochemical shielding of prebiotic feedstock molecules in exoplanet atmospheres
[arXiv] 2026-03-09 | The W-footrule coefficient: A copula-based measure of countermonotonicity
[arXiv] 2026-03-09 | Training event-based neural networks with exact gradients via Differentiable ODE Solving in JAX
[arXiv] 2026-03-09 | s-process nucleosynthesis in low-mass AGB stars by the $^{13}$C($α$,n)$^{16}$O neutron source
[arXiv] 2026-03-09 | Towards Human-Like Manipulation through RL-Augmented Teleoperation and Mixture-of-Dexterous-Experts VLA
[arXiv] 2026-03-09 | Probing scale-dependent liveliness with nonequilibrium thermospectroscopy
[arXiv] 2026-03-09 | Permutation Match Puzzles: How Young Tanvi Learned About Computational Complexity
[arXiv] 2026-03-09 | ''I don't want to break it'': An Exploration of Perceived Fragility in Shape-Changing Interfaces
[arXiv] 2026-03-09 | A Semi-Discrete Optimal Transport Scheme for the Semi-Geostrophic Slice Compressible Model
[arXiv] 2026-03-09 | Non-stationary GEV models for estimating design sea-states in a changing climate. Applications to offshore wind farms along the French coasts
[arXiv] 2026-03-09 | TrianguLang: Geometry-Aware Semantic Consensus for Pose-Free 3D Localization
[arXiv] 2026-03-09 | DC-W2S: Dual-Consensus Weak-to-Strong Training for Reliable Process Reward Modeling in Biological Reasoning
[arXiv] 2026-03-09 | Rethinking Charge Transport and Recombination in Donor-diluted Organic Solar Cells
[arXiv] 2026-03-09 | Language-Invariant Multilingual Speaker Verification for the TidyVoice 2026 Challenge
[arXiv] 2026-03-09 | Toward Robust LLM-Based Judges: Taxonomic Bias Evaluation and Debiasing Optimization
[arXiv] 2026-03-09 | Adaptive Vision-Based Control of Redundant Robots with Null-Space Interaction for Human-Robot Collaboration
[arXiv] 2026-03-09 | EAGLE-Pangu: Accelerator-Safe Tree Speculative Decoding on Ascend NPUs
[arXiv] 2026-03-09 | The AI Amplifier Effect: Defining Human-AI Intimacy and Romantic Relationships with Conversational AI
[arXiv] 2026-03-09 | MRDrive: An Open Source Mixed Reality Driving Simulator for Automotive User Research
[arXiv] 2026-03-09 | M-ABD: Scalable, Efficient, and Robust Multi-Affine-Body Dynamics
[arXiv] 2026-03-09 | Synthetic Defect Image Generation for Power Line Insulator Inspection Using Multimodal Large Language Models
[arXiv] 2026-03-09 | In-Context Reinforcement Learning for Tool Use in Large Language Models
[arXiv] 2026-03-09 | The giant anomalous Hall and Nernst effects in Kagome permanent magnets RCo5
[arXiv] 2026-03-09 | Trajectory Tracking Control Design for Autonomous Helicopters with Guaranteed Error Bounds
[arXiv] 2026-03-09 | Step Automata
[arXiv] 2026-03-09 | Distributed Coordination Algorithms with Efficient Communication for Open Multi-Agent Systems with Dynamic Communication Links and Processing Delays
[arXiv] 2026-03-09 | CEMR: An Effective Subgraph Matching Algorithm with Redundant Extension Elimination
[arXiv] 2026-03-09 | AffordGrasp: Cross-Modal Diffusion for Affordance-Aware Grasp Synthesis
[arXiv] 2026-03-09 | Alignment--Process--Outcome: Rethinking How AIs and Humans Collaborate
[arXiv] 2026-03-09 | On Representing Matroids via Modular Independence
[arXiv] 2026-03-09 | Measuring the evolution of stellar bars with the host galaxy's spin
[arXiv] 2026-03-09 | Structure-Preserving Graph Contrastive Learning for Mathematical Information Retrieval
[arXiv] 2026-03-09 | Melting behavior and dynamical properties of Cr2Ge2Te6 phase-change material
[arXiv] 2026-03-09 | SI-ChainFL: Shapley-Incentivized Secure Federated Learning for High-Speed Rail Data Sharing
[arXiv] 2026-03-09 | TeamHOI: Learning a Unified Policy for Cooperative Human-Object Interactions with Any Team Size
[arXiv] 2026-03-09 | OSExpert: Computer-Use Agents Learning Professional Skills via Exploration
[arXiv] 2026-03-09 | Advancing Automated Algorithm Design via Evolutionary Stagewise Design with LLMs
[arXiv] 2026-03-09 | MMS Observations of Kinetic Alfvén Wave Turbulence and Steep Kinetic-Range Spectra in the Outer Plasma Sheet Boundary Layer
[arXiv] 2026-03-09 | Local Constrained Bayesian Optimization
[arXiv] 2026-03-09 | Model-Free DRL Control for Power Inverters: From Policy Learning to Real-Time Implementation via Knowledge Distillation
[arXiv] 2026-03-09 | Enhanced Rydberg Blockade through RF-tuned Förster Resonance
[arXiv] 2026-03-09 | Perturbative relativistic modifications to wave-packet dynamics and uncertainty relations in the quantum harmonic oscillator
[arXiv] 2026-03-09 | Terahertz-nanoscale visualization of the microscopic spin-charge architecture of colossal magnetoresistive switching
[arXiv] 2026-03-09 | Hard/Soft NLoS Detection via Combinatorial Data Augmentation for 6G Positioning
[arXiv] 2026-03-09 | Omnidirectional Humanoid Locomotion on Stairs via Unsafe Stepping Penalty and Sparse LiDAR Elevation Mapping
[arXiv] 2026-03-09 | Social Proof is in the Pudding: The (Non)-Impact of Social Proof on Software Downloads
[arXiv] 2026-03-09 | SageSched: Efficient LLM Scheduling Confronting Demand Uncertainty and Hybridity
[arXiv] 2026-03-09 | Curve Lengthening Bifurcations in Modally Filtered Nonlinear Schrödinger Systems
[arXiv] 2026-03-09 | Beyond Heuristic Prompting: A Concept-Guided Bayesian Framework for Zero-Shot Image Recognition
[arXiv] 2026-03-09 | Robust control synthesis for uncertain linear systems with input saturation using mixed IQCs
[arXiv] 2026-03-09 | IOTEL: A Tool for Generating IoT-enriched Object-Centric Event Logs
[arXiv] 2026-03-09 | Bayesian Transformer for Probabilistic Load Forecasting in Smart Grids
[arXiv] 2026-03-09 | Designing probabilistic AI monsoon forecasts to inform agricultural decision-making
[arXiv] 2026-03-09 | RoboRouter: Training-Free Policy Routing for Robotic Manipulation
[arXiv] 2026-03-09 | What Do AI Agents Talk About? Emergent Communication Structure in the First AI-Only Social Network
[arXiv] 2026-03-09 | Choose What to Observe: Task-Aware Semantic-Geometric Representations for Visuomotor Policy
[arXiv] 2026-03-09 | Toward Unified Multimodal Representation Learning for Autonomous Driving
[arXiv] 2026-03-09 | On the de Rham flip-flopping in dual towers
[arXiv] 2026-03-09 | QED corrections of orders $mα^6$ and $mα^6(m/M)$ for HD$^+$ rovibrational transitions beyond Born-Oppenheimer approximation
[arXiv] 2026-03-09 | On the stable Hopf invariant
[arXiv] 2026-03-09 | Coupled-Layer Construction of Quantum Product Codes
[arXiv] 2026-03-09 | Evaluating Financial Intelligence in Large Language Models: Benchmarking SuperInvesting AI with LLM Engines
[arXiv] 2026-03-09 | Learning Functions of Halfspaces
[arXiv] 2026-03-09 | Homogeneous ideals with minimal singularity thresholds
[arXiv] 2026-03-09 | Scalable Postselection of Quantum Resources
[arXiv] 2026-03-09 | Improved Certificates for Independence Number in Semirandom Hypergraphs
[arXiv] 2026-03-09 | Fermi-pressure-assisted cavity superradiance in a mesoscopic Fermi gas
[arXiv] 2026-03-09 | Soliton solutions to the coupled Sasa-Satsuma equation under mixed boundary conditions
[arXiv] 2026-03-09 | ER-Pose: Rethinking Keypoint-Driven Representation Learning for Real-Time Human Pose Estimation
[arXiv] 2026-03-09 | Monge-Ampère measures on balanced polyhedral spaces
[arXiv] 2026-03-09 | Clarity and Computational Efficiency of Orbital Boundary Labeling
[arXiv] 2026-03-09 | Structure-preserving model reduction on manifolds of port-Hamiltonian systems
[arXiv] 2026-03-09 | CONVOLVED NUMBERS OF K-SECTION OF THE FIBONACCI SEQUENCE: PROPERTIES, CONSEQUENCES Convolved Numbers of $k$-sections of the Fibonacci Sequence
[arXiv] 2026-03-09 | A Deep Learning Framework for Amplitude Generation of Generic EMRIs
[arXiv] 2026-03-09 | Reachability-based Temporal Logic Verification for Reliable LLM-guided Human-Autonomy Teaming
[arXiv] 2026-03-09 | Time-based Fairness Improves Performance in Multi-rate WLANs
[arXiv] 2026-03-09 | Bias in Local Spin Measurements from Deformed Symmetries
[arXiv] 2026-03-09 | Diff-Muscle: Efficient Learning for Musculoskeletal Robotic Table Tennis
[arXiv] 2026-03-09 | Coverage-Guided Multi-Agent Harness Generation for Java Library Fuzzing
[arXiv] 2026-03-09 | The direct spectral element method for the calculation of synthetic seismograms in self-gravitating, spherically symmetric planets
[arXiv] 2026-03-09 | FOMO-3D: Using Vision Foundation Models for Long-Tailed 3D Object Detection
[arXiv] 2026-03-09 | Comment: Exact vacuum solution with Hopf structure in general relativity
[arXiv] 2026-03-09 | Weakly Supervised Teacher-Student Framework with Progressive Pseudo-mask Refinement for Gland Segmentation
[arXiv] 2026-03-09 | Quantum-limited estimation of the difference between photonic momenta via spatially resolved two-photon interference
[arXiv] 2026-03-09 | Don't Look Back in Anger: MAGIC Net for Streaming Continual Learning with Temporal Dependence
[arXiv] 2026-03-09 | On the SNR Statistics in Coupled-Core Multi-Core Fiber Transmissions with Mode-Dependent Loss
[arXiv] 2026-03-09 | PRISM: Streaming Human Motion Generation with Per-Joint Latent Decomposition
[arXiv] 2026-03-09 | Evolution and formation of ultramassive white dwarf stars: The case for a 9Msun progenitor
[arXiv] 2026-03-09 | LeMMINGs VII: 5 GHz, 50 mas e-MERLIN observations of a statistically complete sample of nearby AGN
[arXiv] 2026-03-09 | CONTACT: CONtact-aware TACTile Learning for Robotic Disassembly
[arXiv] 2026-03-09 | Impact of Connectivity on Laplacian Representations in Reinforcement Learning
[arXiv] 2026-03-09 | Generative Adversarial Regression (GAR): Learning Conditional Risk Scenarios
[arXiv] 2026-03-09 | Yet Another Characterisation of Classical Orthogonal Polynomials?
[arXiv] 2026-03-09 | Nonlinear evolution of unstable solar inertial modes: The case of viscous modes on a differentially rotating sphere
[arXiv] 2026-03-09 | Precise Predictions for Hadronic Higgs Decays
[arXiv] 2026-03-09 | Defect-induced multiferroicicy in bulk solid solutions of WSe$_2$ and WTe$_2$
[arXiv] 2026-03-09 | Non-common path aberration compensation and a dark hole loop with a pyramid adaptive optics system: Application to SAXO+
[arXiv] 2026-03-09 | Pseudo-Gorenstein$^{*}$ Graphs
[arXiv] 2026-03-09 | Fanar-Sadiq: A Multi-Agent Architecture for Grounded Islamic QA
[arXiv] 2026-03-09 | WELLDOC property for words generated by morphisms
[arXiv] 2026-03-09 | Local Robustness of Bound States in the Continuum through Scattering-Matrix Eigenvector Continuation
[arXiv] 2026-03-09 | Point interactions and singular solutions to semilinear elliptic equations
[arXiv] 2026-03-09 | Input Dexterity and Output Negotiation in Feedback-Linearizable Nonlinear Systems
[arXiv] 2026-03-09 | Intrinsic Sequentiality in P: Causal Limits of Parallel Computation
[arXiv] 2026-03-09 | Extreme mass loss during common envelope evolution: the origin of the double low-mass white dwarf system J2102--4145
[arXiv] 2026-03-09 | Mid-Infrared Modulation of Quantum Emitters in Hexagonal Boron Nitride
[arXiv] 2026-03-09 | Second harmonic study of thermally oxidized mono- and few-layer 2H-MoS2
[arXiv] 2026-03-09 | Adaptive Entropy-Driven Sensor Selection in a Camera-LiDAR Particle Filter for Single-Vessel Tracking
[arXiv] 2026-03-09 | Physical properties of elementary particles: Inertia and Interaction
[arXiv] 2026-03-09 | The Boiling Frog Threshold: Criticality and Blindness in World Model-Based Anomaly Detection Under Gradual Drift
[arXiv] 2026-03-09 | On order-compatible paths in infinite graphs
[arXiv] 2026-03-09 | Spectrum of Hausdorff operators on weighted Bergman and Hardy spaces of the upper half-plane
[arXiv] 2026-03-09 | A prospective clinical feasibility study of a conversational diagnostic AI in an ambulatory primary care clinic
[arXiv] 2026-03-09 | Alfa: Attentive Low-Rank Filter Adaptation for Structure-Aware Cross-Domain Personalized Gaze Estimation
[arXiv] 2026-03-09 | Hydrodynamic origins of symmetric swimming strategies
[arXiv] 2026-03-09 | Black hole shadows in nonminimally coupled Weyl connection gravity
[arXiv] 2026-03-09 | Finiteness of specializations of the $q$-deformed modular group at roots of unity
[arXiv] 2026-03-09 | Information Maximization for Long-Tailed Semi-Supervised Domain Generalization
[arXiv] 2026-03-09 | SYNAPSE: Framework for Neuron Analysis and Perturbation in Sequence Encoding
[arXiv] 2026-03-09 | Meta-RL with Shared Representations Enables Fast Adaptation in Energy Systems
[arXiv] 2026-03-09 | Scalable On-the-fly Transcoding for Adaptive Streaming of Dynamic Point Clouds
[arXiv] 2026-03-09 | A Recipe for Stable Offline Multi-agent Reinforcement Learning
[arXiv] 2026-03-09 | COACH meets QUORUM: A Framework and Pipeline for Aligning User, Expert and Developer Perspectives in LLM-generated Health Counselling
[arXiv] 2026-03-09 | StructBiHOI: Structured Articulation Modeling for Long--Horizon Bimanual Hand--Object Interaction Generation
[arXiv] 2026-03-09 | Rectified flow-based prediction of post-treatment brain MRI from pre-radiotherapy priors for patients with glioma
[arXiv] 2026-03-09 | Dynamical Lie algebras generated by Pauli strings and quadratic spaces over $\mathbb{F}_2$
[arXiv] 2026-03-09 | Designing Value-Based Platforms: Architectural Strategies Derived from the Digital Markets Act
[arXiv] 2026-03-09 | Unifying On- and Off-Policy Variance Reduction Methods
[arXiv] 2026-03-09 | Loopless Proximal Riemannian Gradient EXTRA for Distributed Optimization on Compact Manifolds
[arXiv] 2026-03-09 | Computational modeling of early language learning from acoustic speech and audiovisual input without linguistic priors
[arXiv] 2026-03-09 | Barta Theorem for the $p$-Laplacian and Geometric Applications
[arXiv] 2026-03-09 | A remark on the invariance of $K$-theory under duality
[arXiv] 2026-03-09 | Mathematical modeling of urban sprawl
[arXiv] 2026-03-09 | CORE-Acu: Structured Reasoning Traces and Knowledge Graph Safety Verification for Acupuncture Clinical Decision Support
[arXiv] 2026-03-09 | SlowBA: An efficiency backdoor attack towards VLM-based GUI agents
[arXiv] 2026-03-09 | Concept-Guided Fine-Tuning: Steering ViTs away from Spurious Correlations to Improve Robustness
[arXiv] 2026-03-09 | Adaptive Tracking Control of Euler-Lagrange Systems with Time-Varying State and Input Constraints
[arXiv] 2026-03-09 | Compression-Driven Kinetic Instabilities in Magnetically Arrested Disks
[arXiv] 2026-03-09 | Silicone Ethernet (SEth): a Nervous System for Robotic Touch
[arXiv] 2026-03-09 | PolyFormer: learning efficient reformulations for scalable optimization under complex physical constraints
[arXiv] 2026-03-09 | OSCAR: Occupancy-based Shape Completion via Acoustic Neural Implicit Representations
[arXiv] 2026-03-09 | SAIL: Test-Time Scaling for In-Context Imitation Learning with VLM
[arXiv] 2026-03-09 | Fluid Antennas Meet Intelligent Surfaces: Security Analysis of NOMA Systems Under Hardware Impairments
[arXiv] 2026-03-09 | Heights on toric varieties for singular metrics: Global theory
[arXiv] 2026-03-09 | Sensivity of LLMs' Explanations to the Training Randomness:Context, Class & Task Dependencies
[arXiv] 2026-03-09 | The Struggle Between Continuation and Refusal: A Mechanistic Analysis of the Continuation-Triggered Jailbreak in LLMs
[arXiv] 2026-03-09 | Quantifying Cross-Lingual Transfer in Paralinguistic Speech Tasks
[arXiv] 2026-03-09 | Practical Type Inference: High-Throughput Recovery of Real-World Structures and Function Signatures
[arXiv] 2026-03-09 | A Comparative Study of Recent Advances in Internet of Intrusion Detection Things
[arXiv] 2026-03-09 | Skill-Evolving Grounded Reasoning for Free-Text Promptable 3D Medical Image Segmentation
[arXiv] 2026-03-09 | AI Agents, Language, Deep Learning and the Next Revolution in Science
[arXiv] 2026-03-09 | MUSA-PINN: Multi-scale Weak-form Physics-Informed Neural Networks for Fluid Flow in Complex Geometries
[arXiv] 2026-03-09 | Space-sharing and Singleton Bounds for Entanglement-assisted Classical Coding
[arXiv] 2026-03-09 | Reasoning as Compression: Unifying Budget Forcing via the Conditional Information Bottleneck
[arXiv] 2026-03-09 | Topologically Stable Hough Transform
[arXiv] 2026-03-09 | Approximate QCAs in one dimension using approximate algebras
[arXiv] 2026-03-09 | Towards Batch-to-Streaming Deep Reinforcement Learning for Continuous Control
[arXiv] 2026-03-09 | Magnetic landscape of NbTiN superconducting resonators under radio-frequency excitation
[arXiv] 2026-03-09 | Cancellative sparse domination
[arXiv] 2026-03-09 | Supporting Workflow Reproducibility by Linking Bioinformatics Tools across Papers and Executable Code
[arXiv] 2026-03-09 | Scale Space Diffusion
[arXiv] 2026-03-09 | Very High Energy Gamma Rays from Ultra Fast Outflows
[arXiv] 2026-03-09 | Four negations and the spectral presheaf
[arXiv] 2026-03-09 | A note on approximating the average degree of bounded arboricity graphs
[arXiv] 2026-03-09 | Split Federated Learning Architectures for High-Accuracy and Low-Delay Model Training
[arXiv] 2026-03-09 | Predicting Conflict Impact on Performance in O-RAN
[arXiv] 2026-03-09 | Structural Causal Bottleneck Models
[arXiv] 2026-03-09 | Momentum SVGD-EM for Accelerated Maximum Marginal Likelihood Estimation
[arXiv] 2026-03-09 | Low Reflectance All-Glass Metasurface Lenses Based on Laser Self-generated Nanoparticles
[arXiv] 2026-03-09 | ImprovedGS+: A High-Performance C++/CUDA Re-Implementation Strategy for 3D Gaussian Splatting
[arXiv] 2026-03-09 | CODA: Difficulty-Aware Compute Allocation for Adaptive Reasoning
[arXiv] 2026-03-09 | Theorem of the heart for Weibel's homotopy $K$-theory
[arXiv] 2026-03-09 | CoCo: Code as CoT for Text-to-Image Preview and Rare Concept Generation
[arXiv] 2026-03-09 | Revisiting the $J_1$-$J_2$ Heisenberg Model on a Triangular Lattice: Quasi-Degenerate Ground States and Phase Competition
[arXiv] 2026-03-09 | On the expressive power of inquisitive team logic and inquisitive first-order logic
