[2026-06-01 23:27:14] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-05-31
正在获取论文...
[ACM] 2026-6-1 | Poster: Data-Free One-Shot Federated Learning with Fixed Classifiers for LEO Constellations
[IEEE] 2026-6-1 | Sorting Recyclable Waste under Uncertainty
[IEEE] 2026-6-1 | Increasing the Energy Efficiency of the Electric Drive of the Conveyor for Bulk Cargo Using the Linear Loading Stabilization System
[ACM] 2026-6-1 | Demo: Zero-Shot Acoustic SLAM on Smartphones
[ACM] 2026-6-1 | Demo: Ubiquitous Battery-free Sensing AirTags
[ACM] 2026-6-1 | Building Efficient Inference Systems for Resource-Constrained Edge AI Deployment
[ACM] 2026-6-1 | SmartDoc: A Context-Aware Agentic Method Comment Generation Plugin
[ACM] 2026-6-1 | It is relevant, but is it useful?
[ACM] 2026-6-1 | User-State Verification in Conversational Commerce: Detecting Journey Hallucinations via Trace Invariants
[ACM] 2026-6-1 | CALISSTA: Calibrated Candidate Retrieval Using Sparse Autoencoders and Top-k Aggregation
[ACM] 2026-6-1 | Can Third-Party Annotators Reliably Evaluate Conversational Recommender Systems?
[ACM] 2026-6-1 | Let Me Introduce You: Stimulating Taste-Broadening Serendipity through Song Introductions
[ACM] 2026-6-1 | Poster: Lying Position Monitoring for Immobile Patients via mmWave Imaging
[ACM] 2026-6-1 | Poster: Detecting Hidden Cameras using LED Illumination Sweeps
[IEEE] 2026-6-1 | CATS: Cross-Modal Autoencoding for Time Series Summarization
[IEEE] 2026-6-1 | Decentralized AI-Powered Multilingual and Multimodal Cross-Meeting Summarizer
[IEEE] 2026-6-1 | Leveraging Artificial Intelligence for the Multi-objective Optimization of Energy Communities
[IEEE] 2026-6-1 | BadIQA: Backdoor Attack against No-Reference Image Quality Assessment Models
[IEEE] 2026-6-1 | Evaluating the Resilience of Urban Road Networks Against Recurrent Disruptions: A Hysteretic Approach
[IEEE] 2026-6-1 | MixED: A Mixed Entanglement Distribution Design for Efficient Quantum Teleportation in Quantum Communication Networks
[IEEE] 2026-6-1 | Unregistered Spectral Image Fusion: Unmixing, Adversarial Learning, and Recoverability
[IEEE] 2026-6-1 | Ultra-compact 2.5D Integration of RF Interfaces and Opto-Electronic Devices via Silicon Interposer
[IEEE] 2026-6-1 | Vertical GaN Schottky Barrier Diodes with Polarized P-InGaN/P-GaN Heterojunction Termination Extension Structure
[IEEE] 2026-6-1 | Interpretable Layered Health Assessment for Gas-Insulated Switchgear via Differentiated Thresholding and Dempster–Shafer Fusion
[IEEE] 2026-6-1 | Unsupervised Frequency-Guided Network for Hyperspectral and Multispectral Image Fusion
[IEEE] 2026-6-1 | Beyond the Clinic Visit: Continuous Bladder Pressure Monitoring After Cystectomy
[IEEE] 2026-6-1 | Phased Methodology for Optimal PMU Placement in Distribution Networks with Consideration of Diverse Monitoring Requirements
[IEEE] 2026-6-1 | Benchmarking Deep Learning Models for Aerial LiDAR Point Cloud Semantic Segmentation under Real Acquisition Conditions: A Case Study in Navarre
[IEEE] 2026-6-1 | Evaluating Generalizability of Population-Based and Age-Segmented Models for Hypoglycemia Classification
[IEEE] 2026-6-1 | Neural effects of meditation following a randomized controlled trial of the Emotion Awareness and Skills Enhancement (EASE)
[IEEE] 2026-6-1 | Explainable Machine Learning for Photovoltaic Fault Diagnosis: A Comparative Study
[IEEE] 2026-6-1 | Forecasting the Consumption of Electric Energy When Solving the Problem of Determining the Limit Values of Consumption
[IEEE] 2026-6-1 | Prosumer as the Smallest Energy Hub and the Prerequisites for its Operation at a Decentralized Power Grid
[IEEE] 2026-6-1 | Spatial location of inertia
[IEEE] 2026-6-1 | Retaining Explicit and Implicit Knowledge with RAG-enhanced Generative AI
[IEEE] 2026-6-1 | A Three-Port Bidirectional DC–DC Converter with Wide Voltage Conversion and Flexible Power Flow Control for DC Microgrid Applications
[IEEE] 2026-6-1 | Uncertainty-risk-adaptive-based Offline Context-aware Reinforcement Learning Framework for Vehicle-Cloud End-to-End Autonomous Driving
[IEEE] 2026-6-1 | A Party Blower-Inspired Soft Robotic Device for Post-Stroke Finger Rehabilitation
[IEEE] 2026-6-1 | Table of Contents
[IEEE] 2026-6-1 | Experimental Studies on Enhancing the Thermal Insulation Performance of Window Systems
[IEEE] 2026-6-1 | Table of Contents
[IEEE] 2026-6-1 | CFCT: A Framework Using ConvNeXt With FPN, CBAM and A Topology Enhanced Loss Function for Skin Lesion Segmentation
[IEEE] 2026-6-1 | Quantized Medical LLMs for Edge Deployment: A Privacy-Preserving RAG System
[IEEE] 2026-6-1 | Sampling-Horizon Neural Operator Predictors for Nonlinear Control under Delayed Inputs
[IEEE] 2026-6-1 | Federated Behavioral Identification via Grassmann Manifold Aggregation
[IEEE] 2026-6-1 | Hybrid Mode Rectifier With Reduced Impact on the Tuning Condition for Efficient Wireless Power Transfer Systems
[IEEE] 2026-6-1 | Vibration-Based Detection of Cable Bending in Cable GIS Terminations via Experimental Measurements and Interface Stress Simulation
[IEEE] 2026-6-1 | COMETS: Coordinated Multi-Destination Video Transmission with In-Network Rate Adaptation
[IEEE] 2026-6-1 | AG-STDF: Anatomy-Guided ECG Spatiotemporal Dynamical Fusion for Screening Coronary Microvascular Dysfunction
[IEEE] 2026-6-1 | Accelerating Surrogate-Assisted Decomposition-Based Multiobjective Optimization via Effective Assignment of Pre-Collected Solutions
[IEEE] 2026-6-1 | Reject-Option Ensemble Learning for Neural Network-Based Channel Equalization
[IEEE] 2026-6-1 | Human Recognition–Driven Interaction with Hello Robot Stretch for Supporting Older Adults
[IEEE] 2026-6-1 | DRIFTS: Distributed Robustness for Time Series is Feasible, Distributed, and Fun
[IEEE] 2026-6-1 | Experimental Assessment of Multiple Underwater Image Enhancement Techniques
[IEEE] 2026-6-1 | Short-Circuit Contributions of Current Controlled Voltage Source Converters
[IEEE] 2026-6-1 | Grid-Connected Hybrid Renewable Energy System for Livestock Farm Using Electric Vehicles
[IEEE] 2026-6-1 | Collection: Datasets Applied to the Development of Automatic Tuberculosis Diagnostic Methods in Brightfield Sputum Smear Microscopy (Tb_UFAM)
[ACM] 2026-6-1 | “I’m a person–not a patient or diagnosis”: Centering the Person Living with Dementia’s Perspective on Caregiver Dynamics and Technology Design
[ACM] 2026-6-1 | Trustworthy Provenance for Physical and Digital Artifacts with Commodity Mobile Devices
[ACM] 2026-6-1 | Towards Mobile High-Resolution mmWave SAR Imaging via Prior-Guided Autofocus
[ACM] 2026-6-1 | Demo: ISAC Real-Time Experimentation Platform
[ACM] 2026-6-1 | Who is the Fairest of Them All? Using Large Language Models for Fairness Assessments
[ACM] 2026-6-1 | ExUM 2026 - 8th Workshop on Explainable User Modeling and Personalised Systems
[ACM] 2026-6-1 | Community Norms in the Spotlight: Enabling Task-Agnostic Unsupervised Pre-Training to Benefit Online Social Media
[IEEE] 2026-6-1 | On-Antenna Power Combining Dual-band and Dual-polarized Phased Array Antenna Module for Extreme-Large-Scale Arrays with High EIRP and Minimal Footprint
[IEEE] 2026-6-1 | Thermal Runaway Warning for Lithium-Ion Battery in Energy Storage Station Based on Quasi-Energy Consumption
[IEEE] 2026-6-1 | Energy-Adaptive WDF Notch Filter for Fast Transient Suppression and Narrowband Interference Rejection
[IEEE] 2026-6-1 | Fabrication of Piezoresistive Sensor using PVA/Sugarcane/Fe
                    <sub>3</sub>
                    O
                    <sub>4</sub>
                    blend
[IEEE] 2026-6-1 | Towards Robot-Assisted MRI-Guided Lumbar Injections
[IEEE] 2026-6-1 | Front Cover
[IEEE] 2026-6-1 | Adaptive Control for Vehicle Platoons With Uncertain Input Delays: An Observer-Based Estimation Approach
[IEEE] 2026-6-1 | Global Transient Stability Control for Grid-Following Inverter Based on Elimination of Pendulum-like Periodic Trajectory
[IEEE] 2026-6-1 | Impact of Radar-Derived Occupant Location on Non-Intrusive Load Monitoring Accuracy Using Deep Neural Networks
[IEEE] 2026-6-1 | Impact of Data Filtering on Correlation Analysis Between PV Energy Production and Meteorological Variables
[IEEE] 2026-6-1 | PDF: Prompt-Guided Decoupled Feature Learning for Cloth-Changing Person Re-Identification
[IEEE] 2026-6-1 | Modeling Safe Variability Areas of Power for NPP Power Unit Models
[IEEE] 2026-6-1 | Some Features of Linear Autoregressive Processes Kernel Application to Diagnostic Problems of Power Equipment
[IEEE] 2026-6-1 | Measurements of the Corona Discharge Field of an Extra-High Voltage Transmission Line
[IEEE] 2026-6-1 | Towards Secure Smart Grid Infrastructure in Saudi Arabia: A Review and Perspective of AI-Powered False Data Injection Attack Detection Methods.
[IEEE] 2026-6-1 | EVmem: Air-Gap Covert Channel Using Electromagnetic Virtual Memory Allocation and Deallocation
[IEEE] 2026-6-1 | A High-Performance Modular Linear Actuator With Enhanced Compensation of Cogging Torque and Friction_supp2-3687954.pdf
[IEEE] 2026-6-1 | GenIA: Generative Index Advisor for Dynamic Workloads and Data
[IEEE] 2026-6-1 | Modelling Children’s Language: Vikidia-based Resources to Support Italian Text Simplification
[IEEE] 2026-6-1 | A Language-Driven Framework for Improving Personalized Recommendations: Merging LLMs with Traditional Algorithms
[IEEE] 2026-6-1 | Comparative Characteristics of Aviation Fuels Properties of Domestic and Foreign Production According to ASTM and NATO Standards
[IEEE] 2026-6-1 | Graph-Based Early Warning from Therapy Narratives: A System-of-Systems Copilot for Behavioral Health
[IEEE] 2026-6-1 | Real-Time Holography Guided 3D Printing for Photocurable Hydrogel Microstructures With Tailored Morphology and Stiffness
[IEEE] 2026-6-1 | Design of Cadmium-Tellurium Oxide Heterostructures for Portable Solar Cells
[IEEE] 2026-6-1 | The Power of Two in Large Service-Marketplaces
[IEEE] 2026-6-1 | Joint Background–Anomaly–Noise Decomposition for Robust Hyperspectral Anomaly Detection via Constrained Convex Optimization
[IEEE] 2026-6-1 | The Pragmatic Openness of Open RAN: Navigating the Path from Vendor Lock-in to Interoperability Islands
[IEEE] 2026-6-1 | Smart grids on MV/LV Distribution: From Transformer Substation to Intelligent Energy Management Node
[IEEE] 2026-6-1 | Automated Pothole Detection for Smart Road Infrastructure Using YOLOv8s and Cross-Dataset Learning
[IEEE] 2026-6-1 | A High-Speed Omnidirectional Ceiling Mobile Robot Using a Synchronized Crawler-Hanging Mechanism
[IEEE] 2026-6-1 | DST-Planner: Diffusion-Augmented Sequential Topological Planning for Robotic Exploration in Complex Environments
[IEEE] 2026-6-1 | Defrag: Reducing Resource Fragmentation in Large-scale Heterogeneous GPU Clusters
[IEEE] 2026-6-1 | Feasibility Study of Programming Compliant Bimanual Tasks with Reasoning LLMs
[IEEE] 2026-6-1 | DTMOS-Based Third-Order Quadrature Ring Oscillator
[IEEE] 2026-6-1 | Verification of the Tightening of an Aluminium Flat Bar Using a Convolutional Neural Network
[IEEE] 2026-6-1 | An Ultra-Compact 64–98GHz Power-Combining Frequency Doubler with Magnetic-Enhanced Harmonic Reflectors
[IEEE] 2026-6-1 | A Caterpillar-Type Miniature Robot for Adaptive Locomotion and Exploration of Tiny Rigid/Soft Pipes_supp5-3697140.mp4
[IEEE] 2026-6-1 | Front cover
[IEEE] 2026-6-1 | AgriPred: An Image-Based Rice Disease Classification System with Inference-Time Text Assistance and Advisory Support
[IEEE] 2026-6-1 | Sequential Modulated Predictive Voltage Control of an
                    <i>LC</i>
                    -Filtered Neutral-Point Clamped Inverter With Reduced Computational Burden
[IEEE] 2026-6-1 | Reducing Pilots in Channel Estimation with Predictive Foundation Models
[IEEE] 2026-6-1 | LAPS: Improving Incremental LiDAR Mapping using Active Pooling and Sampling for Neural Distance Fields
[IEEE] 2026-6-1 | Spatial Clustering and Controlling Factors of Active Landslides in the Upper Yellow River: Insights from SBAS-InSAR and XGBoost–SHAP Modeling
[ACM] 2026-6-1 | MRP-LLM: Multitask Reflective Large Language Models for Privacy-Preserving Next POI Recommendation
[ACM] 2026-6-1 | VOGUE: A Multimodal Dataset for Conversational Recommendation in Fashion
[ACM] 2026-6-1 | EdgeWisePersona: A Dataset for On-Device User Profiling from Natural Language Interactions
[ACM] 2026-6-1 | MMGCF: Multimodal Graph Collaborative Filtering for Recommendation with Graph Convolutional Networks
[ACM] 2026-6-1 | Eyes Can’t Always Tell: Fusing Eye Tracking and User Priors for User Modeling under AI Advice Conditions
[ACM] 2026-6-1 | Demo: NunaPin: Automatic Scenario Recognition and Intent Extraction for Wearable Audio
[ACM] 2026-6-1 | Scaling Mobile Agent Systems: From Capability Density to Collective Intelligence
[IEEE] 2026-6-1 | Breaker Page
[IEEE] 2026-6-1 | Halbach-Based Magnetic Configuration for Reduced Instrument Interference in Minimally Invasive Surgery
[IEEE] 2026-6-1 | Electromagnetic Field and Temperature Analyses of the Welding Transformer
[IEEE] 2026-6-1 | Advanced Real-time Contactless Human Heart Rate Detection with IR-UWB Radar in Multiperson Environment
[IEEE] 2026-6-1 | Deep Learning–Based Subtype Classification of Non-Hodgkin’s Lymphoma from Histopathological Images
[IEEE] 2026-6-1 | PerLiFuse: Per-Frequency Beta–Liouville Fusion Networks for Fake News Detection
[IEEE] 2026-6-1 | Power Supply Management Using Dynamic Logic Automatic Transfer Switch (ATS)
[IEEE] 2026-6-1 | Problems and Ways of Improving the Calculations of Overhead Power Lines
[IEEE] 2026-6-1 | Enhancing Federated Learning via Robust Client Behavior Eccentricity Analysis
[IEEE] 2026-6-1 | Frequency-selective beamforming and single-shot beam training with dynamic metasurface antennas
[IEEE] 2026-6-1 | PainFedMVL: A Federated Multi-View Learning Approach for Multi-Level Pain Recognition
[IEEE] 2026-6-1 | Automated Chunking of Clinical Video Interviews: A Case Study in Multimodal Suicide Risk Assessment
[IEEE] 2026-6-1 | Cross-household Transfer Learning Approach with LSTM-based Demand Forecasting
[IEEE] 2026-6-1 | FraudTransformer: Time-Aware GPT for Digital Payment Fraud Detection
[IEEE] 2026-6-1 | Utilizing WAMS Data for AI-Based Transmission System Operation and Control
[IEEE] 2026-6-1 | 2026 International Scientific Conference on Electric Power Engineering (EPE)
[IEEE] 2026-6-1 | Effect of annealing methods on structure and magnetism of Fe-N thin films
[IEEE] 2026-6-1 | A Reusable J48-Targeting Python Backend for scikit-learn Workflows: Differential Validation Against WEKA J48
[IEEE] 2026-6-1 | From Neural Endophenotypes to Secure Human–Machine Interaction: Identifying Empathy-Related Vulnerabilities from Resting-State qEEG using Deep Learning
                    <sup>*</sup>
[IEEE] 2026-6-1 | Automated Feature Engineering Meets Automated Machine Learning: An Empirical Evaluation for Cell Culture Process Monitoring
[IEEE] 2026-6-1 | Synthetic Craquelure Generation for Unsupervised Painting Restoration
[IEEE] 2026-6-1 | KARINA: Knowledge-Augmented Representation for Ingredient-level Nutrition Analysis from Food Images
[IEEE] 2026-6-1 | ASTFNet: An Adaptive Spatio-Temporal Fault Prediction Framework for Dynamic Edge Networks
[IEEE] 2026-6-1 | Spatial Temporal Self-Compensating Graph Convolutional Network for Skeleton-Based Action Recognition under Data Constraints
[IEEE] 2026-6-1 | Novel Alternating Dual Direction SCR for On-Chip ESD Protection of 58 V CAN Bus in Automotive Electronics
[IEEE] 2026-6-1 | An Online 3D Modeling Method Based on Skeleton-Guided Decomposition and Model-Driven Assembly
[IEEE] 2026-6-1 | Engineering Favorable Propagation: Near-Field IRS Deployment for Spatial Multiplexing
[IEEE] 2026-6-1 | Diffusion-based data augmentation for short-term multivariate energy prediction in data-scarce scenarios
[IEEE] 2026-6-1 | Back Cover Page
[IEEE] 2026-6-1 | 2026 International Symposium on Medical Robotics (ISMR)
[IEEE] 2026-6-1 | Home Sound Uroflowmetry as an Alternative to Conventional Uroflowmetry Using Convolutional Neural Networks
                    <sup>*</sup>
[IEEE] 2026-6-1 | Evolving Multimodal Models for Physical Dynamics: A Multi-objective Neuroevolution Approach
[IEEE] 2026-6-1 | Context-Aware Hybrid Neural Models for Low-Resource Bodo Language Named Entity Recognition
[IEEE] 2026-6-1 | IEEE Transactions on Circuits and Systems--I: Regular Papers Publication Information
[IEEE] 2026-6-1 | Concatenated Codes for Burst Insertion/Deletion Channels: Capacity Bounds and Detection Algorithm Design
[IEEE] 2026-6-1 | Impact of the Frequency Support Provided by Grid-Forming DFIG-Based Wind Turbine on Power System Ultra-Low Frequency Oscillation
[IEEE] 2026-6-1 | Adaptive Fuzzy Control for Nonlinear 5-DOF Tower Crane Systems with State Constraints
[IEEE] 2026-6-1 | A Two-Layer Malware Propagation Model with Cross-Diffusion and Its Optimal Control in UAV-Assisted IoV_supp1-3688535.pdf
[IEEE] 2026-6-1 | Hybrid meta-heuristic optimization for enhanced spam website detection using GWO-based feature selection and ACO-optimised XGBoost and Random forest
[ACM] 2026-6-1 | Optimizing an IDE for an Evolving Language Ecosystem
[ACM] 2026-6-1 | Identifying Misinformation Spreaders through Multi-Source User Modeling
[ACM] 2026-6-1 | Towards Student Profiles for Personalized Social Comparison in Learning Interfaces
[ACM] 2026-6-1 | Investigating Preference Elicitation Strategies in Conversational Recommender Systems
[ACM] 2026-6-1 | Explanation Demand as a Trait, Not a State: Implications for User Modeling in Adaptive Systems
[ACM] 2026-6-1 | Inferential and Causal Principles for Better Understanding Interactive Systems.
[ACM] 2026-6-1 | ParaAdapt: Parametric User Modeling &amp; Adaptation for Navigating Complex Interactive Domains
[ACM] 2026-6-1 | Towards Automated, Resilient, and Robust AIoT
[ACM] 2026-6-1 | Poster: MicroMesh - A Zero-Configuration Educational Mesh Network for the BBC micro:bit
[IEEE] 2026-6-1 | Field-Validated Accelerometer-Based Tension Estimation for Overhead Distribution Lines
[IEEE] 2026-6-1 | Maintaining Stability in Renewable-Integrated Grids: The Vital Role of Frequency Support
[IEEE] 2026-6-1 | Transmitter Identification via Volterra Series Based Radio Frequency Fingerprint
[IEEE] 2026-6-1 | Current-State Opacity Verification in Petri Nets Using Fusion-Based Opacity Analysis and Graph Isomorphism Networks
[IEEE] 2026-6-1 | Accuracy of Quantifying Hypotension During Surgery Using Physiological Sensor Data_supp1-3698197.pdf
[IEEE] 2026-6-1 | AutoStress Benchmark: Evaluating Factors that influence Cross Dataset Generalizabilty in Stress Recognition
[IEEE] 2026-6-1 | Matrix Product States as a framework for efficient simulation of quantum kernel methods for classification
[IEEE] 2026-6-1 | WheelArm-Sim: A Manipulation and Navigation Combined Multimodal Synthetic Data Generation Simulator for Unified Control in Assistive Robotics
[IEEE] 2026-6-1 | Machine Learning-Assisted Simulation and Parameter Prediction System for Optoelectronic Oscillators
[IEEE] 2026-6-1 | Physically Guided Diffusion Framework With Neural Information Bottleneck Regulation for Robust Small Object Detection
[IEEE] 2026-6-1 | Design, Simulation, and Validation of a Self-Compensating ALTP Sensor for High-Speed Heat Flux Measurement
[IEEE] 2026-6-1 | Performance–Efficiency Tradeoff of Deep CNN Models for Brain Tumor MRI Classification on Edge Devices
[IEEE] 2026-6-1 | Exploratory Machine Learning Modeling of Cyanobacteria and Cyanotoxin Transport in the Raritan Basin of New Jersey
[IEEE] 2026-6-1 | High School and Undergraduate Students’ Integrative Thinking in Educational Robotics
[IEEE] 2026-6-1 | Remission of Torque Pulsations in Power System Using UPFC Including PI and Fuzzy Controllers
[IEEE] 2026-6-1 | Trajectory-Aware Deformable Transformer for Contextual Video Prediction
[IEEE] 2026-6-1 | A Distributed Cooperative Control for Islanded DC Microgrids Incorporating Time Delays
[IEEE] 2026-6-1 | SwiNNEt-Galaxy: Hierarchically Constrained and Rotation-Aware Hybrid CNN-Transformer for Galaxy Morphology Regression
[IEEE] 2026-6-1 | Quantum Möbius Transform via Block Encoding
[IEEE] 2026-6-1 | Development of the Methodology for Technical and Economic Justification of the Storage Batteries Selection for Electric Power Objects
[IEEE] 2026-6-1 | Using Unified Power Flow Controller to improve the KSA network performance with RES integration
[IEEE] 2026-6-1 | FedALL: Minimizing Variance of Partial Participation in Federated Learning
[IEEE] 2026-6-1 | Inside front cover
[IEEE] 2026-6-1 | From Interpretable Learning to Actionable Decisions: A Bounded Preference Neural Network for Multi-Attribute Optimization
[IEEE] 2026-6-1 | CTS-PLL: A Robust and Anytime Framework for Collaborative Task Sequencing and Multi-Agent Path Finding
[IEEE] 2026-6-1 | Appearance-Based Cyberbullying Detection in Dialectal Arabic: A New Gulf Body-Shaming Benchmark and MARBERTv2-based Classification Framework
[IEEE] 2026-6-1 | Performance-Based 3D Object Generation for Engineering under Limited Data
[IEEE] 2026-6-1 | Generalizable Machine Learning for Corporate Bankruptcy Prediction: An XGBoost-Based Framework
[IEEE] 2026-6-1 | Emotion-Aware Voice Monitoring: Mapping Continuous VAD to Operationally Interpretable Affect Levels
[IEEE] 2026-6-1 | Test Stand for Tentative Determination of Criterion Levels of Damage to Radio-Electronic Components Under the Influence of Powerful Pulses of Electromagnetic Energy
[IEEE] 2026-6-1 | Innovative Approaches to the Formation of Electricity Tariffs: Challenges and Opportunities for the Ukrainian Market
[IEEE] 2026-6-1 | Harmonization of Standards in the Field of Communication Networks and Systems for Automation of Electric Power Enterprises. Applied Modeling Approach
[IEEE] 2026-6-1 | Single-Layer Low-Profile Wideband Antenna Based on Non-Uniform Radiating Elements
[IEEE] 2026-6-1 | Predictive Beamforming and Resource Allocation for High-Mobility Cell-Free UAV Networks
[IEEE] 2026-6-1 | DiagConTA: Continual Test-Time Domain Adaptation for Industrial Fault Diagnosis Under Dynamic Working Conditions
[IEEE] 2026-6-1 | NMPC-Based Dual-Channel Resilience Against False Data Injection in Pursuit–Evasion Games of Autonomous Surface Vehicles
[IEEE] 2026-6-1 | Evaluating the Generalizability of Deep Learning Models for Acoustic Impedance across Diverse Process-based Sedimentary Stratigraphic Simulations
[IEEE] 2026-6-1 | Joint Optimized Supervised and Self-Supervised Embedding Learning for Legal Compliance in documents for Public Companies
[IEEE] 2026-6-1 | Sustainable Horizons: Energy Efficiency in B5G Space-Air-Ground Integrated Networks
[IEEE] 2026-6-1 | Get the MOST out of LEO Satellite Constellations Topology Design
[IEEE] 2026-6-1 | Unified Optimization of STAR-RIS-Assisted Uplink Multiple Access in Near- and Far-Field
[ACM] 2026-6-1 | Poster: EdgeCitadel - Hybrid NATS-MQTT Orchestration for Edge Multi-Agent Systems
[ACM] 2026-6-1 | Scaling LoRa to Massive IoT: A Physical Layer Approach
[ACM] 2026-6-1 | Enabling Practical Full-Duplex Wireless: From Circuits to Software
[ACM] 2026-6-1 | User Modelling and Adaptation in Immersive Preventive Health Interventions: A Systematic Review and Evidence Map
[ACM] 2026-6-1 | From Understanding to Anchoring: Informal Caregivers' Mental Models of Generative Artificial Intelligence-based Conversational Agents for Problem-Solving
[ACM] 2026-6-1 | The Stars Align: Modeling User Rating Calibration with Sparse Semantic Review Features
[ACM] 2026-6-1 | Multi-Dimensional Evaluation of Sustainable City Trips with LLM-as-a-Judge and Human-in-the-Loop
[ACM] 2026-6-1 | Contextual Risk-Driven Input Structuring for Probing (CRISP) at the DeepTest 2026 Tool Competition
[IEEE] 2026-6-1 | A Narrow-band Force Rebalance Control Method Based on a Band Pass Filter and Temperature Self Compensation for a MEMS Gyroscope
[IEEE] 2026-6-1 | A Survey on End-to-End Autonomous Driving Training From the Perspectives of Data, Strategy, and Platform
[IEEE] 2026-6-1 | DMT-CPP: A Delaunay-Graph-Based Framework for Real-Time Multi-Robot Online Target Coverage
[IEEE] 2026-6-1 | Pushing physical limits and uncovering motion templates of spine-based quadruped locomotion via reinforcement learning_supp7-3697171.mp4
[IEEE] 2026-6-1 | Evaluation of the Support Actions for Energy and Blue Economy Start-Ups
[IEEE] 2026-6-1 | Deep Neural Network and LLM-Based Decision Framework for Climate-Smart Tree Plantation Planning in Punjab, India
[IEEE] 2026-6-1 | A Compliant Force Control Strategy for On-Orbit Assembly: Design, Implementation, and Reinforcement Learning-Based Optimization
[IEEE] 2026-6-1 | LNeRV: Disentangled Latent Representation for Semantic-Aware Video Dynamics Modeling_supp1-3698339.pdf
[IEEE] 2026-6-1 | Rethinking the Global Knowledge of CLIP in Training-Free Open-Vocabulary Semantic Segmentation
[IEEE] 2026-6-1 | Fluid Antenna Systems Empowered Integrated Communication and Over-the-Air Computation
[IEEE] 2026-6-1 | Predicting high-resolution root-zone soil moisture using an analytical relationship between satellite-derived soil water content and soil properties for drought monitoring
[IEEE] 2026-6-1 | Towards a Novel Wearable Robotic Vest for Hemorrhage Suppression
[IEEE] 2026-6-1 | Optical Intelligent Reflecting Surface-Aided Visible Light Positioning via CRLB Optimization
[IEEE] 2026-6-1 | Demonstration of EOT Scaling in Si NSFETs Using Dead-Layer-Suppressed HfZrO
                    <sub>2</sub>
                    /ZrO
                    <sub>2</sub>
                    Stacks Near Morphotropic Phase Boundary
[IEEE] 2026-6-1 | A Novel DOA Estimation Algorithm for Directional Borehole Radar Based on the Subspace Method and Full-Wave Simulation
[IEEE] 2026-6-1 | Don’t Judge From a Single Perspective: LVLM-Based Multiview Multimodal Fake News Detection
[IEEE] 2026-6-1 | Determinants of Forecasting the Development of Renewable National Energy Industry of Ukraine
[IEEE] 2026-6-1 | Numerical Analysis of Quantum Bit Error Rate and Secure Key Rate under Realistic Communication Parameters
[IEEE] 2026-6-1 | An Optimization-Based Consensus Approach for Distributed Density Regulation of Swarms
[IEEE] 2026-6-1 | Voltage Vector Combination Sampling Method Using a Single Current Sensor for DTP-PMSM Six-Phase Current Reconstruction
[IEEE] 2026-6-1 | Design of Magnetic Continuum Robots with Tunable Force Response Using Rotational Ring Pairs
[IEEE] 2026-6-1 | Heat Learning and Rationale-Aware SSL: Boosting Recommender Systems with Residual Graph Transformers
[IEEE] 2026-6-1 | A Fast Algorithm for Matrix-Variable Triconvex Optimization with Application to Blind Image Deblurring
[IEEE] 2026-6-1 | High-Stability Grasp Pose Estimation Method for Unknown Objects Based on Hybrid Constraint Mechanism
[IEEE] 2026-6-1 | Development of a High-Precision Temporal Interference Stimulation System with Multi-Device Synchronization and Concurrent EEG
[IEEE] 2026-6-1 | Dynamic Temporal Attention Enhanced Multi-scale Hierarchical Network for Micro-expression Recognition
[IEEE] 2026-6-1 | OAMP-Aided Joint Channel Estimation and Data Detection for ODDM Systems
[IEEE] 2026-6-1 | Modeling of Synchronous Generators for Power Quality Analysis of Electrified Ship Propulsion Systems
[IEEE] 2026-6-1 | Learning to Select Like Humans: Explainable Active Learning for Medical Imaging
[IEEE] 2026-6-1 | Decoupled Current-Transformation Control Design for a Dual-Rotor PMSM Drive with Integrated Winding
[IEEE] 2026-6-1 | A Privacy and Security AR Framework for Consumer-Centric Digital Twins Supporting Digital Well-Being in Healthcare 5.0
[IEEE] 2026-6-1 | Deep Reinforcement Control for Precipitation Prediction and Cloud Seeding Decisions in Morocco and the Iberian Peninsula
[IEEE] 2026-6-1 | Assessment of the Reduction of Economic Losses From Faults in Medium Voltage Networks Due to the Installation of Devices for Determining the Location of a Single-Phase-To-Earth Fault
[IEEE] 2026-6-1 | Gender Fairness in Audio Deepfake Detection: Performance and Disparity Analysis
[IEEE] 2026-6-1 | MSCloudCAM: Multi-Scale Context Adaptation with Convolutional Cross-Attention for Multispectral Cloud Segmentation
[IEEE] 2026-6-1 | Peculiarities of Technical Operation of Ship's Unified Electric Power Systems
[ACM] 2026-6-1 | In-Network Retransmissions for Encrypted Transport Protocols
[ACM] 2026-6-1 | Proceedings of the 3rd ACM/IEEE International Workshop on Integrated Development Environments
[ACM] 2026-6-1 | In-IDE Toolkit for Developers of AI-Based Features
[ACM] 2026-6-1 | Virtual User Lab: An Interactive System for Simulating User Perspectives with AI Personas for Ideation and Evaluation
[ACM] 2026-6-1 | Visual or Textual: Effects of Explanation Format and Personal Characteristics on the Perception of Explanations in an Educational Recommender System
[ACM] 2026-6-1 | Transformer-Based Non-Sparse Wideband Monitoring
[IEEE] 2026-6-1 | Beyond the Black Box: Programmable AI and Explainable Text Analysis for Trustworthy Social Intelligence
[IEEE] 2026-6-1 | AI Adoption in Livestreaming Supply Chains: How to Outperform Humans?
