[2026-07-18 22:50:09] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-17
正在获取论文...
[ACM] 2026-7-17 | Holmes: Multimodal Agentic Diagnosis for Mixed-Language Mobile Crashes at Industrial Scale
[IEEE] 2026-7-17 | 4-D Shape-Reconfigurable Antenna for Shape Transformation Between Magnetoelectric Dipole and Monopole
[IEEE] 2026-7-17 | Development of a Fully-Decoupled and Overconstrained Serial-Parallel Hybrid Mechanism with Remote Center of Motion_supp1-3714003.docx
[IEEE] 2026-7-17 | Residual-Limb Movement-Based Embedded Sensing System for Prosthetic Devices
[IEEE] 2026-7-17 | Joint Beamforming and User Grouping for FDA-MIMO Assisted Integrated Sensing and Communication
[IEEE] 2026-7-17 | QoE-Oriented Streaming Power Allocation in LEO Satellite Networks
[IEEE] 2026-7-17 | All-Optical Fiber–Visible Light Communication Approach for Wired–Wireless Communications: Architecture, Advantages, and Trends
[IEEE] 2026-7-17 | Collaborative Trajectory and Resource Optimization in Multi-UAV MEC under Jamming: An LLM-guided MARL Framework
[ACM] 2026-7-18 | Advances in Ecological Security Research for Metropolitan Areas: An International Comparative and Evolutionary Analysis Based on WOS and CNKI
[ACM] 2026-7-18 | Research on Parking Method of Narrow Parking Space Based on Coordinated Control
[ACM] 2026-7-18 | Area Extraction of Construction Waste Disposal Site Based on UAV and GIS
[ACM] 2026-7-18 | Spatiotemporal Coupling and Constraint Diagnosis of the Industry-City-Innovation Ecosystem in Hangzhou
[IEEE] 2026-7-17 | Revisiting Day-Ahead Electricity Load Forecasting: The Effectiveness of Chronos Zero-Shot Models
[IEEE] 2026-7-17 | Conditional Autoregressive Diffusion for Procedural Content Generation
[IEEE] 2026-7-17 | DataFort: A Microservice-Based Platform for Secure Multi-Tenant Data Storage and Homomorphic Operations in Cloud Environments
[IEEE] 2026-7-17 | Neural Network-Based Adaptive Damping for Virtual Synchronous Generator Control of Grid Forming Inverters in Weak Grids
[IEEE] 2026-7-17 | A Data-Driven Machine Learning Framework for Short-Term Solar Irradiance Forecasting in Colombo, Sri Lanka Using NASA POWER Data
[IEEE] 2026-7-17 | ReVision-RT: Improving Content Preservation in Video Retargeting for Peripheral Vision Loss
[IEEE] 2026-7-17 | High-Performance Industrial Safety Compliance Using YOLOv11 on Edge Devices with SH17
[IEEE] 2026-7-17 | Integrated Review of OCT Imaging Clinical Data Fusion and Interactive Decision Support for Ophthalmic Disease Management
[IEEE] 2026-7-17 | Towards Autonomous RF Payload Nodes: Enabling Spaceborne RF Experiments and Standalone Payload Data Downlink via SDRs
[IEEE] 2026-7-17 | Sentiment Analysis with Contextual Embeddings for E-Commerce Product Reviews
[IEEE] 2026-7-17 | VoxTransmute: Transformation-First Waveform-to-Codebook Pipeline for Speaker Recognition
[IEEE] 2026-7-17 | Exploring the Viability of Automated Heuristic Design for 5G LDPC Decoding
[IEEE] 2026-7-17 | Design of Multi-Band UWB Patch Antenna on Biodegradable Paper-Based Substrate
[IEEE] 2026-7-17 | An Enhanced YOLOv8 Architecture with Gather-and-Distribute Mechanism for Small Target Detection in Avionics
[IEEE] 2026-7-17 | A Doctor Dialogue Model Based on Vector Quantisation
[IEEE] 2026-7-17 | 3D-FarmFactory: An Automated Layout Generation Framework for Rooftop Vertical Farms
[IEEE] 2026-7-17 | An Educational Game Approach for Analyzing Craft Tendencies Among Children Aged 9 to 14 Years: A Conceptual Framework
[IEEE] 2026-7-17 | Cross-Temporal Self-Supervised Learning for Multitemporal Land Cover Classification Using Multi-Scale Fusion
[IEEE] 2026-7-17 | Automated Determination of aEEG Patterns for the Diagnosis of Hypoxic-Ischemic Encephalopathy in Newborns Using Machine Learning
[IEEE] 2026-7-17 | Lightweight Attention-Enhanced MobileNetV3 for Tomato Leaf Disease Classification
[IEEE] 2026-7-17 | LEOPARD: A Structured LLM Orchestration Framework for Precision-Centric Grammatical Error Correction
[IEEE] 2026-7-17 | MediSchedulePlus - An Intelligent Healthcare Appointment Booking System
[IEEE] 2026-7-17 | ThreatFormer-IDS: Robust Transformer Intrusion Detection with Zero-Day Generalization and Explainable Attribution
[IEEE] 2026-7-17 | Classification of Surgical Procedure Codes Using the Linear Discriminant Analysis
[IEEE] 2026-7-17 | RoBERTa-based Emotion Detection using Ekman Mapping: A Multi-Label Classification Approach on Go-Emotions Dataset
[IEEE] 2026-7-17 | A Lightweight Dual-Model Deep Learning Framework for Pill Image Detection
[IEEE] 2026-7-17 | Apache Spark Etl Optimization for Large-Scale Taxi Analytics Using Cloud Storage
[IEEE] 2026-7-17 | AI-Assisted Hazard-Aware Route Planning Using Geospatial Data
[IEEE] 2026-7-17 | A Multimodal Emotion-Aware Product Recommendation System Integrating Real-Time Facial Expression Recognition and Sentiment Analysis
[IEEE] 2026-7-17 | A Survey of Transformer-Based Time Series Forecasting Methods
[IEEE] 2026-7-17 | VertiSplitRAG: Privacy-Preserving Retrieval-Augmented Generation Through Vertical Attribute Partitioning
[IEEE] 2026-7-17 | Machine Learning Framework for Yield Prediction Using Soil Health and Climate Data
[IEEE] 2026-7-17 | V2LeoSim: A Turnkey Simulator for 5G V2X NTN Scenarios Evaluation
[IEEE] 2026-7-17 | Can LLM Agents Replace Reinforcement Learning Agents in Cyber Defence Automation: A Case Study Using the DARPA CAGE-2 Challenge
[IEEE] 2026-7-17 | Smart Material Systems in Intelligent Robotic Automation: A Bibliometric Review of Sensor– Actuator Integration, Intelligent Control and Soft Robotics
[IEEE] 2026-7-17 | Effective Parameter Method for Electromagnetic Wave Scattering in Multilayer Anisotropic Media
[ACM] 2026-7-17 | On the Economic Implications of Diversity in Software Engineering
[ACM] 2026-7-17 | Cloud Intelligence/AIOps 2.0: Knowledge-Anchored Agentic AIOps
[ACM] 2026-7-17 | How Far Can VLMs Go for Visual Bug Detection? Studying 19,738 Keyframes from 41 Hours of Gameplay Videos
[ACM] 2026-7-17 | How Do Students Perceive Their Teammates? A Qualitative Study of Peer Evaluation in SE Course Projects
[ACM] 2026-7-17 | Argus: A Guided and Traceable Mutation Testing Engine
[ACM] 2026-7-17 | Test Before You Deploy: Governing Updates in the LLM Supply Chain
[ACM] 2026-7-17 | Dependency-Guided Repository-Level C-to-Rust Translation with Reinforcement Alignment
[ACM] 2026-7-17 | Dynamic Cogeneration of Bug Reproduction Test in Agentic Program Repair
[ACM] 2026-7-17 | How Analysts Use AI in High-Stakes Crime Linkage: An Industrial Study
[ACM] 2026-7-17 | A Survey of Commonsense Reasoning in LLMs
[IEEE] 2026-7-17 | MineVLA: Vision-Language-Action Model for Autonomous Mining
[IEEE] 2026-7-17 | A Weaken-Model Predictive Control for Permanent Magnet Synchronous Motor Drives
[IEEE] 2026-7-17 | QFormer: A Prior-Informed Query Transformer for Infrared Small Target Detection
[IEEE] 2026-7-17 | HIT: Hyperbolic Transformer with Identity-Invariant Representation for Cross-Subject EEG Emotion Recognition
[IEEE] 2026-7-17 | Performance Analysis of RSMA-Enabled SWIPT in Pinching Antenna Systems
[IEEE] 2026-7-17 | gQINN: Gradient-Enhanced Queue-Informed Neural Network for Estimating Queueing Delay in an Aggregation Network
[IEEE] 2026-7-17 | ELNANO 2026 Breaker Page
[IEEE] 2026-7-17 | 2026 IEEE Wireless and Microwave Technology Conference (WAMICON)
[IEEE] 2026-7-17 | Forgotten Horizons in Concept Erasure: Safeguarding Close-Proximity Concepts in Text-to-Image Models
[IEEE] 2026-7-17 | Investigation of the Application of Rogowski Coils in Fast Automatic Bus Transfer Devices in Industry
[IEEE] 2026-7-17 | Multiresolution Density-Equalizing Transformation for Scatterplots_supp4-3713630.mp4
[IEEE] 2026-7-17 | The Design and Experimental Investigation of Metal Wire Explosion-Type DC Circuit Breaker in Magnetic Confinement Fusion System
[IEEE] 2026-7-17 | Automated Design and Miniaturization of RF Resonators Based on the Cesaro Fractal for Chipless RFID Tags
[IEEE] 2026-7-17 | Towards Better Robustness: Pose-Free 3D Gaussian Splatting for Long and Unconstrained Video Sequences_supp5-3713242.pdf
[IEEE] 2026-7-17 | DRAW: Deep Robustness-Adjustable Watermarking
[IEEE] 2026-7-17 | Autonomous Microsurgical Needle Manipulation with Real-Time Stereo Keypoint Tracking using Neural Network_supp1-3711084.pdf
[IEEE] 2026-7-17 | MeatNet: A Custom-Built Dataset for Deep Learning-Based Meat Species, Freshness, and Cut Classification
[IEEE] 2026-7-17 | Enhancing Clinical Trust in AI-Assisted Diagnosis: An Interpretable VGG16-Based Deep Learning Model for Breast Cancer Detection in Ultrasound Images
[IEEE] 2026-7-17 | A Hybrid Ensemble-Based Framework for Interpretable Fetal Health Classification Using Multi-Dataset CTG Analysis
[IEEE] 2026-7-17 | Intrusion Detection System Powered Smart IP Camera
[IEEE] 2026-7-17 | Influence of SMD Package Size to Embedded Solder Joints’ Electrical Resistance
[IEEE] 2026-7-17 | PPO-Based Task Offloading for Deadline-Aware IoV Services in a Real-Data-Driven Environment
[IEEE] 2026-7-17 | A Quality and Reliability Training Course for Automotive Electronics in the TRIREME Project
[IEEE] 2026-7-17 | Self-Healing for Resilient NFV Orchestration: A Predict–Policy–Act Approach
[IEEE] 2026-7-17 | DiffAugment-xView2: Leveraging Stable Diffusion with LoRA and ControlNet for Synthetic Data Augmentation in Earthquake Building Damage Assessment
[IEEE] 2026-7-17 | Real-Time Object Detection Techniques: Evaluating YOLOV8 to YOLOV12 Through Visual and Quantitative Metrics
[IEEE] 2026-7-17 | Effect of Powder Dispersity on Microstructure and Free-Volume Defects in Cu₀.₄Ni₀.₄Co₀.₄Mn₁.₈O₄ Spinel Ceramics
[IEEE] 2026-7-17 | Mathematical Modeling of an Optimal Control of African Swine Fever
[IEEE] 2026-7-17 | Assessing Construction Robotic Applications Using an Expert-Based Delphi Approach
[IEEE] 2026-7-17 | Reflector Material Effect on Threshold Conditions of DBR-Equipped Microlaser in Visible Range
[IEEE] 2026-7-17 | The Decentralisation Threshold: When More Validators Reduce Net Security
[IEEE] 2026-7-17 | Bridging the Smart City Cybersecurity Data Gap through AI-Driven Synthetic Dataset Generation
[IEEE] 2026-7-17 | Modeling of PEM Fuel Cell System for Stationary Applications
[IEEE] 2026-7-17 | Optimizing Enterprise Information Management through LINUX Operating System Integration in Intelligent Communication Networks
[IEEE] 2026-7-17 | Role of Filler Oxidation in Tuning the X-Band Electromagnetic Properties of Poly(vinyl chloride)/Activated Carbon Composites
[IEEE] 2026-7-17 | Federated Learning Enhancing Privacy-Preserving Collaborative Medical Research
[IEEE] 2026-7-17 | An AI Enabled Assessment of Environmental and Legal Frameworks for Hospital Biomedical Waste Management in Dehradun City
[IEEE] 2026-7-17 | Shor's Algorithm Based Secure Multimodal Framework for Situation-Aware Mental Stability Recommendation and Decision
[IEEE] 2026-7-17 | AI-Based Adaptive Deep Learning Noise Cancellation in Hearing Aids
[IEEE] 2026-7-17 | A Broadband 2–14 GHz GCPW-Integrated Orientation-Sensitive Magnetostatic Field Sensor
[IEEE] 2026-7-17 | Tunable, Higher-Order, N-Path Bandpass Filters Using Elliptical Lowpass Filter Loads
[IEEE] 2026-7-17 | Predictive Machine Learning for Vehicle-to-Grid Charging Systems
[IEEE] 2026-7-17 | Development of a Geometric Model of Symmetric Binary Fractal Trees and Application in Furniture Design
[IEEE] 2026-7-17 | State of the Art in Arabic AI Text Detection: A Survey of Stylometry, Deep Learning, and Ensemble Strategies
[IEEE] 2026-7-17 | Modeling the Influence of Socio-Economic Development Factors on the Higher Education System
[IEEE] 2026-7-17 | Limiting Characteristics of an Electric Discharge for Obtaining Carbon Nanomaterials from Gaseous Hydrocarbons
[ACM] 2026-7-18 | Computer-Aided Design and Techno-Economic Optimization for Sustainable Wastewater Recovery: An Energy-Efficient Heat Pump Distillation Approach
[ACM] 2026-7-18 | Optimal Configuration of Battery Swap Stations Based on Electric Taxi Battery Swapping Behavior
[ACM] 2026-7-17 | A Differential Fuzzing-Based Evaluation of Functional Equivalence in LLM-Generated Code Refactorings
[ACM] 2026-7-17 | Aloha: Localizing Batch Failures in Large-scale Cloud Systems via Contrast Analysis and Human-in-the-Loop Agent
[ACM] 2026-7-17 | Hybrid Quantum-Classical Image Classification: Installation, Evaluation and Software Engineering Lessons
[ACM] 2026-7-17 | The Energy Impact of Batch Testing in Continuous Integration: An Empirical Study of Static and Dynamic Batching Strategies
[ACM] 2026-7-17 | Experience Report: Insights from Deploying Educational Static Analysis in Introductory Programming Courses
[ACM] 2026-7-17 | Does the Agent Matter? Predicting Merge Outcomes of AI-Authored Code
[ACM] 2026-7-17 | Attesting LLM Pipelines: Enforcing Verifiable Training and Release Claims
[ACM] 2026-7-17 | HarnessForge: Automated Extraction of Verification Tasks from Industry-Scale Software Projects
[ACM] 2026-7-17 | Adoption of Generative Artificial Intelligence in the German Software Engineering Industry: An Empirical Study
[ACM] 2026-7-17 | A Practical Fuzzer for the Python Runtime System
[ACM] 2026-7-17 | Practitioner Perspectives of DAST Integration in Agile Development Workflows: An Experience Report
[IEEE] 2026-7-17 | Asynchronous Membership-Function-Dependent Fuzzy Adaptive Event-Triggered Tracking Control for Positive Interval Type-2 T-S Fuzzy Systems
[IEEE] 2026-7-17 | Forgetting Similar Samples: Can Machine Unlearning Do It Better?
[IEEE] 2026-7-17 | A Double-Loop Control Strategy by Coordinating EV Aggregators and Generator Sets for Emergency Power Shortage
[IEEE] 2026-7-17 | Model-Free Adaptive Sliding Mode Observer-Based SSO Mitigation Strategy for Hybrid Cascaded HVDC Systems
[IEEE] 2026-7-17 | Managing Consensus in Group Decision Making Under Social Comparison-Induced Non-Cooperative Behaviors
[IEEE] 2026-7-17 | BD-RIS-Assisted Heterogeneous RAN Slicing: eMBB–URLLC Rate Region Analysis
[IEEE] 2026-7-17 | Privacy-Preserving Feature Selection for Vertically Partitioned Data Using Secure Multi-Party Computation
[IEEE] 2026-7-17 | Driving Experience Alters Brain Activity Related to Visual Perception and Vehicle Maneuvers During Driving
[IEEE] 2026-7-17 | Enhanced Gravimetric Sensitivity of Capacitive MEMS Resonators via Geometric Design Modification
[IEEE] 2026-7-17 | Author Index
[IEEE] 2026-7-17 | IEEE Transactions on Nuclear Science Information for Authors
[IEEE] 2026-7-17 | Multi-Objective Game Optimization Design for Rare-Earth Reduction of Permanent Magnet Synchronous Motors under Complex Working Conditions and Temperature Constraints
[IEEE] 2026-7-17 | Versatile Optical setup for Multimodal Dynamic Characterizations of Nanomechanical Resonators under Thermal and Pressure Variations_supp1-3712975.pdf
[IEEE] 2026-7-17 | KidneyGuard-FedXAI: A Trustworthy Federated Explainable AI Framework with Adversarial Defense and Privacy-Preserving Mechanisms for Secure Consumer-Centric Kidney Cancer Diagnostics
[IEEE] 2026-7-17 | ORBGRAND Is Exactly Capacity-achieving via Rank Companding
[IEEE] 2026-7-17 | PSA-Net: Parallel Stacked Aggregation Network for Secure Voice Biometrics in IoT-enabled Consumer Devices
[IEEE] 2026-7-17 | A Bioinspired Soft Magneto-Ciliary Tactile Sensor for Direction-Sensitive Interaction Sensing
[IEEE] 2026-7-17 | Leveraging Aerodynamic Modeling for Accurate Path Tracking in Flapping-Wing Aerial Vehicles
[IEEE] 2026-7-17 | Tank-Based Passivity Control of a Fully Actuated Aerial Vehicle for Safe Physical Interaction With Movable Targets
[IEEE] 2026-7-17 | Laboratory-to-Field State-of-Health Estimation for On-Road EV Battery Using Physics-Informed Domain Adaptation
[IEEE] 2026-7-17 | Characterizing Periodic Variations in Polar Ionospheric Total Electron Content and Their Correlation with Solar Activity
[ACM] 2026-7-17 | Hardware Implementation of a Stealthy and Lightweight Backdoor for CRYSTALS-Kyber in Hybrid Cryptosystems
[ACM] 2026-7-17 | Timing-driven Approximate Logic Synthesis Based on Cooperative Search
[IEEE] 2026-7-17 | Comparative Analysis of CNN Variants and Vision Transformer for Early Lung Cancer Detection
[IEEE] 2026-7-17 | Effects of Aluminium and Gold Ions on the Spectral Characteristics of TiO₂ Nanoparticles Elaborated as Efficient UV-excited Phosphors
[IEEE] 2026-7-17 | Reinforcement Learning for Temporal Energy Storage Operations under Stochastic Lead Times and Demand Shocks
[IEEE] 2026-7-17 | Entropy-Guided Lottery Sparse Attention for SYN Flood Attack Detection in Smart Networks
[IEEE] 2026-7-17 | A Developed Feature Extraction Approach for Fault Diagnose to Enhance Machine Learning Accuracy
[IEEE] 2026-7-17 | Multimodal Signal Reconstruction for Edge-Assisted Physiological Monitoring
[IEEE] 2026-7-17 | Unsupervised Machine Learning for Topic and Sentiment Mining in Chinese Apple Watch Reviews
[IEEE] 2026-7-17 | Proactive AI and Machine Learning Strategies for Network Threat Detection with Adaptive Explainable Intelligence
[IEEE] 2026-7-17 | Integrity Loss Mechanism in Alkali-Activated Waste Glass Powder Stabilized Soil under Carbon Curing
[IEEE] 2026-7-17 | NeuroMask: Masked Defense Against Side-Channel Attacks on Wearable Devices
[IEEE] 2026-7-17 | A Feedback-Based Model for Predicting Instability in Distributed Radar-Repeater Networks
[IEEE] 2026-7-17 | Physical-Layer Authentication of Aircraft via Radio-Frequency Fingerprinting of ADS-B Transmissions
[IEEE] 2026-7-17 | A Neuro-Evolutionary Approach for Emotion Recognition in Textual Data
[IEEE] 2026-7-17 | Hybrid-Rule and LLM-Based Feature Test Coverage Detection in Industrial SAFe Environments
[IEEE] 2026-7-17 | LungCare: A Hybrid Ensemble Model for Early Lung Disease Classification
[IEEE] 2026-7-17 | A Design-Centric Evaluation of Workspace and TCP Orientation of a 3-Legged Hexapteron Considering Passive Joint Constraints
[IEEE] 2026-7-17 | Optimal Clustering with Deep Reinforcement Learning for Supply Chain Management
[IEEE] 2026-7-17 | Code-Mixed Sentiment Analysis in Social Media: A Critical Review of Recent Methods, Trends, and Open Challenges
[IEEE] 2026-7-17 | Millimeter-Wave Software-Defined SFCW Radar with 2 GHz Synthesized Bandwidth
[IEEE] 2026-7-17 | Fabrication of Porous Palladium Through Two-step Process for a Hydrogen Sensor
[IEEE] 2026-7-17 | From Bitrate and Latency to Functional QoE in Teleoperated Driving
[IEEE] 2026-7-17 | AI-SGMS: AI-Powered Smart Grid Management at a Micro-Scale
[IEEE] 2026-7-17 | Proposed Framework and Design of an Occupancy-Aware Digital Twin Framework for Smart University Classrooms
[IEEE] 2026-7-17 | A Comparative Analysis of Android Permission Patterns for Effective Malware Classification with Explainable AI
[IEEE] 2026-7-17 | Performance Analysis of Encryption Techniques for Live Classroom Chat Systems
[IEEE] 2026-7-17 | A Dielectric Paint Based Electromagnetic Absorption Reduction Technique Using 5G Antenna
[IEEE] 2026-7-17 | Matching Theory-Based Resource Allocation and Spectrum Sharing for UAV-RIS Assisted Cellular-IoT Systems
[IEEE] 2026-7-17 | A Lightweight Ensemble for Sensor Fault Injection, Detection and Fusion in Earables
[IEEE] 2026-7-17 | Structural Response of Traditional Rammed Earth Buildings to Strong Seismic Excitation
[IEEE] 2026-7-17 | Intelligent Workforce Orchestration: AI-Driven Staffing Optimization and Succession Analytics
[IEEE] 2026-7-17 | Integrity-Gated File Monitoring for Ransomware Resilience and Real-Time Recovery
[IEEE] 2026-7-17 | A Privacy-Respecting, Modular, Vendor-Neutral Natural-Language Interface for Operating Systems
[IEEE] 2026-7-17 | LSTM-Based Crop Yield Prediction Using Machine Learning and Deep Learning Approaches for Sustainable Agriculture
[IEEE] 2026-7-17 | Wasserstein Distributionally Robust Secrecy Rate Maximization for MISO Systems with Multiple Eavesdroppers
[IEEE] 2026-7-17 | Eye as a Health Window: an AI-Driven Ocular Disease Screening Solution for Rural Karur, Tamil Nadu
[IEEE] 2026-7-17 | Learning Emissions Signatures: A Machine Learning Approach to Vehicle CO
                    <sub>2</sub>
                    Classification
[IEEE] 2026-7-17 | Prompt-Driven Multimodal Attribute Extraction with Semantic Evaluation for E-Commerce Products
[IEEE] 2026-7-17 | A Study of Baseline Drift Behavior in a CNT-Enhanced Metal Oxide Sensor for Battery Failure Detection
[IEEE] 2026-7-17 | A Federated Explainable AI Framework for Privacy-Preserving Brain Stroke Risk Prediction Using Clinical Data
[IEEE] 2026-7-17 | Can Drones Think? Toward Cognitive Autonomy in Search and Rescue
[ACM] 2026-7-17 | Gamifying Video-Based Training: Comparing Attitudes of Software Engineering Students and Professionals
[ACM] 2026-7-17 | Decision-Aware Information Sharing in Multi-Agent Reinforcement Learning for Game Testing
[ACM] 2026-7-17 | Attention Enhanced Entity Recommendation for Intelligent Monitoring in Cloud Systems
[ACM] 2026-7-17 | Toward Reliable Oracle Verification of Quantum Programs Under Noise and Resource Constraints
[ACM] 2026-7-17 | PerfGen: Automated Performance Benchmark Generation for Big Data Analytics
[ACM] 2026-7-17 | Reproducibility in Recommender Systems: A Survey
[IEEE] 2026-7-17 | Functional Connectivity Graph–Driven Imagined Speech Decoding for Assistive EEG-Based BCIs
[IEEE] 2026-7-17 | Home Appliance Turn-on Identifications and Aging Analyses using Nonintrusive Monitoring Techniques
[IEEE] 2026-7-17 | Early-MFC: Enhanced Flow Correlation Attacks on Tor via Multi-view Triplet Networks with Early Network Traffic
[IEEE] 2026-7-17 | Channel Power Gain Analysis and Orientation Optimization of a Point-to-Point Continuous Aperture Array (CAPA) System
[IEEE] 2026-7-17 | ELNANO 2026 TOC
[IEEE] 2026-7-17 | AHRL-PM: Asynchronous Hierarchical Reinforcement Learning Framework for Enhanced Portfolio Management
[IEEE] 2026-7-17 | Online Nonlinear Black-box Modeling of DC-DC Converters Using Multiple Local Wiener-Hammerstein Models
[IEEE] 2026-7-17 | A Resonant Capacitor-Less Parallel Resonant DC-Link Soft-Switching Inverter
[IEEE] 2026-7-17 | Beyond EBL 2025: Introducing the SouthStar Challenge [Empower a Billion Lives]
[IEEE] 2026-7-17 | WiSER-X: Wireless Signal-Based Decentralized Multi-Robot Exploration Without Explicit Information Exchange_supp4-3711857.mp4
[IEEE] 2026-7-17 | State-Space Time Series Modeling of Long-Term River Flow and Precipitation Trends across Chile (19102015)
[IEEE] 2026-7-17 | Enhancing the Voltage Profile and Net Profit of Reconfigured Distribution Networks with the Optimal Integration of EVCS and Capacitor Banks with Chaotic HBA
[IEEE] 2026-7-17 | Ontologies in Hearing Impairment
[IEEE] 2026-7-17 | A Quasi-LPV Dynamic Output Feedback Stabilizer for Nonlinear Descriptor Systems via Convex Optimization Techniques
[IEEE] 2026-7-17 | Privacy Assurance Levels for EUDI Wallets
[IEEE] 2026-7-17 | Corrosion Reliability of SnBiAg-xTiO
                    <sub>2</sub>
                    Low-Temperature Composite Solder Joints
[IEEE] 2026-7-17 | Method for Measurement Reactive Parameters of Two-Terminal Components with Self-Tuning to a Measuring Value
[IEEE] 2026-7-17 | Parametric Identification of Resistive-Reactive Two-Terminal Component Model Using Exponential Excitation
[IEEE] 2026-7-17 | Solar Water Heating and Storage through Flat Plate Solar Collectors under Tropical Conditions. A Parametric Study
[IEEE] 2026-7-17 | Optimizing WhisperX and Pyannote Integration for Emotional Speech Diarization
[IEEE] 2026-7-17 | Fetalinsight: a Multi-Scale Attention-Based Deep Learning Framework for Automated Fetal Health Classification
[IEEE] 2026-7-17 | Real-Time Detection of Obfuscated Ransomware Using Optimized Machine Learning for Critical Systems
[IEEE] 2026-7-17 | EgyM
                    <sup>3</sup>
                    AV: An Egyptian Dataset of Academic Lectures for Cross-Modal Understanding
[IEEE] 2026-7-17 | FIRCE: A Framework for Intrusion Response and Conformal Evaluation
[IEEE] 2026-7-17 | Offline Multimodal Learning Systems for Inclusive Child-Computer Interaction: Design and Expert-Based Evaluation in Primary Education
[IEEE] 2026-7-17 | Measurement-Driven O-RAN Diagnostics with Tail Latency and Scheduler Indicators
[IEEE] 2026-7-17 | CareNav: A Multimodal Framework for Linguistic and Spatial Healthcare Access
[IEEE] 2026-7-17 | Voice Augmented Ultrasonic Vibration driven fluidity improvement in sand Casting process
[IEEE] 2026-7-17 | Simple and Robust Artificial Neural Network-Based Control for Bidirectional DC-DC Converter in Electric Vehicle Charging System
[IEEE] 2026-7-17 | Breath Sensors Based on Modified Silicon Nanowire Array for Human Health Monitoring
[IEEE] 2026-7-17 | Reducing Post-Quantum Cryptography Overhead in IoT Networks Using an Epoch-Based Compression Approach
[IEEE] 2026-7-17 | End-to-End Framework for Real-Time Drone Detection and Alerting Using Lightweight Deep Learning
[IEEE] 2026-7-17 | Federated Multi Media Data Driven Approach for Early Diagnosis of Cardio Vascular Disease Prediction
[IEEE] 2026-7-17 | ESP32-Based Edge Mesh: A Resilient Framework for Smart-City IoT
[IEEE] 2026-7-17 | Performance Analysis and Harmonic Mitigation of a Grid-Connected Three-Phase UPS Inverter Using SPWM and LC Filter in MATLAB/Simulink
[IEEE] 2026-7-17 | A Federated Learning Based Intrusion Detection Method with Multi-Scale Parallel Convolution and Adaptive Soft Prediction Clustering using FedMPC-IDS
[IEEE] 2026-7-17 | A Periodic Slow-Wave Microstrip Structure for High-Resolution Microwave Sensing Applications
[IEEE] 2026-7-17 | A Marine Vessel Drift Prediction and Trajectory Reconstruction System Using AIS and SAR Data
[IEEE] 2026-7-17 | Performance Prediction of RPL-based Healthcare Monitoring System: A Machine Learning Approach
[IEEE] 2026-7-17 | Scalable Distributed Query Processing Using Smart Contracts
[IEEE] 2026-7-17 | 3D Printed Circuit Boards from Recycled Plastics: Reliability Testing
[IEEE] 2026-7-17 | Networked Control Smart Greenhouse with Predictive Climate Control for Remote Precision Farming
[IEEE] 2026-7-17 | Quantum Optimized Intrusion Detection Framework using Grover's Algorithm for Secure AI-Driven Smart City Networks
[IEEE] 2026-7-17 | Optimization of PDMS Based Passive Daytime Radiative Cooling Materials Using Genetic Algorithms
[IEEE] 2026-7-17 | Hydrothermal Synthesis and Characterization of CeO
                    <sub>2</sub>
                    /graphite/Co
                    <sub>0.5</sub>
                    Ni
                    <sub>0.5</sub>
                    Fe
                    <sub>2</sub>
                    O
                    <sub>4</sub>
                    Composite for Tuning Microwave Absorption Performance
[IEEE] 2026-7-17 | Agri Prognosis: An Integration of IoT and ML for Crop-Recommendation
[IEEE] 2026-7-17 | Generating Realistic and Structured IoT Network Traffic Data with AMC-GAN
[IEEE] 2026-7-17 | Optimization of Construction Project Scheduling Using Genetic Algorithms
[IEEE] 2026-7-17 | Energy-Efficient Dual-Band Communication: How to Allocate Traffic to Sub-THz Carriers?
[ACM] 2026-7-18 | TransMINLP: A Bi-Level Dynamic Scheduling Framework for Urban Carbon Footprint Mitigation
[ACM] 2026-7-18 | A Multi-Source Data Fusion Model for Assessing the Value of  Marine Cultural Heritage
[ACM] 2026-7-18 | Assessment of River and Lake Health and Evaluation of Influencing Factors: A Case Study of the Smart River Chief System
[ACM] 2026-7-18 | Coordinated Deception: Generative Agents for Multi-Agent Fake News Generation
[ACM] 2026-7-18 | Can LLMs Keep Up? Evaluating Phishing Detection on Telegram
[IEEE] 2026-7-17 | From Perception to Cognition: How Latency Affects Interaction Fluency and Social Presence in VR Conferencing
[IEEE] 2026-7-17 | <i>TriCooling-CAT</i>
                    : A
                    <u>C</u>
                    arbon
                    <u>A</u>
                    nalysis
                    <u>T</u>
                    oolkit for SoC-Cluster Micro AI Data Center Design
[IEEE] 2026-7-17 | EncFormer: Secure and Efficient Transformer Inference over Encrypted Data
[IEEE] 2026-7-17 | INSIM-N: A Numerical Transport-Based Interwell Flow Simulator
[IEEE] 2026-7-17 | Sequential Detection of Atmospheric Anomalies on Constant-Modulus Optical Inter-Satellite Links via Sparse-plus-Smooth Channel Decomposition
[IEEE] 2026-7-17 | 2026 4th Cognitive Models and Artificial Intelligence Conference (AICCONF)
[IEEE] 2026-7-17 | 2026 International Conference on Artificial Intelligence and Materials (ICAIM)
[IEEE] 2026-7-17 | Real-Time Cyberbullying Detection Using Dynamic and Edge-Enhanced Graph Neural Networks
[IEEE] 2026-7-17 | Is Dielectric (Breakdown) Research at a Crossroad? Its Impact on Technology Innovation
