[2026-08-27 02:58:05] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-08-26
正在获取论文...
[arXiv] 2026-08-26 | Reassembling Distributed Risk: Trajectory-Conditioned Action Generation for Multi-Turn Agent Safety
[arXiv] 2026-08-26 | Controlling for Omitted Variable Bias in Deep Neural Networks
[arXiv] 2026-08-26 | Code World Model: Coding Agent as World Brain
[arXiv] 2026-08-26 | Efficient tensor bases for pairwise comparisons
[arXiv] 2026-08-26 | HII-CHI-mistry for active galactic nuclei: optical sulphur abundances without empirical ionisation correction factors
[arXiv] 2026-08-26 | Computing key rates for one-sided device-independent quantum key distribution
[arXiv] 2026-08-26 | A spinal circuit for collective coordination
[arXiv] 2026-08-26 | MetaSieve: Faster Relational Deep Learning through SQL-Based Metapath Selection
[arXiv] 2026-08-26 | Cross-Section Estimation of Long-Run Relations Using Time-Compressed Data
[arXiv] 2026-08-26 | From rings to resonance: an inverse method links biophotonic structural color to inverse photonic glasses
[arXiv] 2026-08-26 | Room-temperature graphene sub-terahertz detector integrated on a silicon dielectric waveguide
[arXiv] 2026-08-26 | A General-Purpose Molecular Foundation Model Transfers Across Diverse Olfactory Tasks
[arXiv] 2026-08-26 | Efficient Estimation of High Information Projections using Nearest Neighbours
[arXiv] 2026-08-26 | Required Number of Points in $L_2$ Marcinkiewicz-Zygmund Inequalities
[arXiv] 2026-08-26 | Low-Resolution Perception for Robotic Packing
[arXiv] 2026-08-26 | How Edge of Stability Hinders SCAFFOLD in Federated Optimization
[arXiv] 2026-08-26 | CEDAR: Controlled and Event-Driven Demand Forecasting via Residual Decomposition
[arXiv] 2026-08-26 | LP-Infinity: overcoming limits to the number of lifetime positions in the COS FUV channel
[arXiv] 2026-08-26 | Light-Hole Spin Qubits in Strained SiGe Lattice-Matched to Ge
[arXiv] 2026-08-26 | Imaginary Rotation Breaks Charge Conjugation in Hot QCD
[arXiv] 2026-08-26 | Core-valence double ionization of SF6 involving S2p, F1s and S1s inner shells
[arXiv] 2026-08-26 | THA-Flow Generative Model: Prosthesis Geometry Prediction from Preoperative CT
[arXiv] 2026-08-26 | Output-Only Identification and Spectral Monitoring of Coupled Feedback Networks with Known Time-Varying Actuation
[arXiv] 2026-08-26 | Enhanced quantum metrology with robust multipass interferometry
[arXiv] 2026-08-26 | Socialized Detector Learning: Trajectory-Guided and Reciprocal Distillation for Heterogeneous Object Detectors
[arXiv] 2026-08-26 | Missing the Butterfly and Predicting the Past: Features or Bugs of Accurate AI Weather Models?
[arXiv] 2026-08-26 | Fock-Space Representation of the Lebowitz--Frisch--Helfand Kinetic Model
[arXiv] 2026-08-26 | Vortex filament dynamics and vortex ring motion revisited
[arXiv] 2026-08-26 | Learning Continuous Regional Temperature Fields with Lead-Time and Resolution Queries
[arXiv] 2026-08-26 | Nonparametric Bayesian Inference for Partially Identified Discrete Response Models
[arXiv] 2026-08-26 | Limiting properties of monotone rearrangements of estimators when the truth is flat
[arXiv] 2026-08-26 | Constraining primordial non-Gaussianity and energy injection with the thermal Sunyaev-Zeldovich effect and integrated Sachs-Wolfe effect cross-correlation
[arXiv] 2026-08-26 | Semi-localized ground state in a 1D system with long-range hopping
[arXiv] 2026-08-26 | Generative AI-Enabled Mission-Aware Radio Orchestration for RIS-Assisted LEO Satellite ISAC Systems
[arXiv] 2026-08-26 | The View from Within: What Can Embedded Observers (Not) Learn?
[arXiv] 2026-08-26 | TacForcing: Streaming Action Generation with Execution-Time Tactile Feedback
[arXiv] 2026-08-26 | Block preconditioning for all-at-once variable-coefficient fractional evolution equations via the GLT analysis
[arXiv] 2026-08-26 | Cooperative Multi-Agent Reinforcement Learning for Adaptive Aggregation in Semi-Supervised Federated Learning with non-IID Data
[arXiv] 2026-08-26 | PEE threads and bit threads in gravitational subregions of AdS
[arXiv] 2026-08-26 | Propagation of Chaos and Gaussian Fluctuations for Mean-field Coupled Maps
[arXiv] 2026-08-26 | A quiet STEVE disturbs navigation satellites' signals in the Antarctic
[arXiv] 2026-08-26 | Dynamics and Spectra-Polarimetric Signatures of GRMHD Simulations with Multiple Magnetic Loops
[arXiv] 2026-08-26 | From estimate to proof: certified ground-state energy bounds for singular Schrödinger operators
[arXiv] 2026-08-26 | Where Energy Is Spent Sets the Depth of Kinetic Proofreading
[arXiv] 2026-08-26 | Comparing Corrupted Constrained Learning Problems
[arXiv] 2026-08-26 | MeMark: Membrane-Space Watermarking for Spiking Neural Networks
[arXiv] 2026-08-26 | Moving Beyond More Views: Redundancy-Aware Ego-Exo Fusion for Proficiency Estimation
[arXiv] 2026-08-26 | It's a matter of timescale: non-linear utility in successor features and multi-objective planning and learning
[arXiv] 2026-08-26 | Reconstructing $f(R)$ gravity from generalized entropies: exact Lagrangians
[arXiv] 2026-08-26 | TailorCoPilot: Enabling Agentic Pattern Making with Version-Controlled State Tracking
[arXiv] 2026-08-26 | Circular polarimetry of suspect wind-accreting pre-polars II
[arXiv] 2026-08-26 | The temperature-dependent non-Abelian gauge potential
[arXiv] 2026-08-26 | DocPC: Document-Level Visual Retrieval via Representative Page Composition
[arXiv] 2026-08-26 | Is the mysterious {\it Punctum} a primordial black hole?
[arXiv] 2026-08-26 | Non-Hermitian topological Euler insulators
[arXiv] 2026-08-26 | Token-Oriented Semantic Communication with Pretrained Vision Transformers
[arXiv] 2026-08-26 | CSAVocoder: A Causal Spatial Audio Vocoder Towards Real-Time Spatial Audio Generation
[arXiv] 2026-08-26 | PIVOT: A Multi-Trajectory Dataset and Testbed for Pose, Intrinsics, and Novel Viewpoint Evaluation in Real-World 3D Reconstruction
[arXiv] 2026-08-26 | Interpretable physics-informed retrieval-augmented generation language model for end-to-end inorganic crystal synthesis planning
[arXiv] 2026-08-26 | CRAMER: Control via Request-Aware Masking for Editing Recommenders
[arXiv] 2026-08-26 | Forecasting Global Volatility Across Asynchronous Markets: Incremental Accuracy from Constrained Cross-Market Attention
[arXiv] 2026-08-26 | Fluctuations of the free energy of the Sherrington-Kirkpatrick model with ferromagnetic interaction
[arXiv] 2026-08-26 | Laplace surface of eccentric orbits around Kerr black hole and black-hole effects on Lidov-Kozai cycles
[arXiv] 2026-08-26 | Beyond Pairwise Feedback: Listwise Vision-Language Supervision for Preference-Based Reward Learning
[arXiv] 2026-08-26 | CoRE: Weakly Supervised Coarse-to-Fine Risk Evidence Learning in Driving Videos
[arXiv] 2026-08-26 | GUIDE: Generative Unsupervised Chinese Query Correction via Phonetic and Visual Shared-ID Encoding
[arXiv] 2026-08-26 | Geometric refinements of Liouville-type theorems for the stationary Navier--Stokes equations in $\mathbb{R}^3$
[arXiv] 2026-08-26 | A systematic study of AGN feedback in a disk galaxy using MACER. III. High Gas Fractions in AGN Hosts
[arXiv] 2026-08-26 | Thin set theorem for arbitrarily many colors implies bounding
[arXiv] 2026-08-26 | Framing War Across Languages: Power, Agency, and Sentiment in Wikipedia's Multilingual War Narratives
[arXiv] 2026-08-26 | GraftSR: Grafting Authentic Textures for Real-World Image Super-Resolution via Identical-Instance Guidance
[arXiv] 2026-08-26 | Two Dimensions Govern Agnostic Multiclass Transductive Learning
[arXiv] 2026-08-26 | Periodic Solutions for a Nonlinear Dirac Equation with Soler-Type Nonlinearity
[arXiv] 2026-08-26 | AVI-Personality: A Trait-Activated Multimodal Dataset for Personality and Competency Assessment in Asynchronous Video Interviews
[arXiv] 2026-08-26 | Activation-Space Order-Swap Geometry: A Site-Asymmetry Audit
[arXiv] 2026-08-26 | WAVE: Reversing the Guidance Hierarchy for Coarse-to-Fine Guided Depth Super-Resolution
[arXiv] 2026-08-26 | Sequential Euclidean tree construction with exponential memory: distributional performance and worst-case guarantees
[arXiv] 2026-08-26 | Centimeter-wave OH observations of comets 12P/Pons-Brooks and C/2023 A3 (Tsuchinshan-ATLAS) with FAST
[arXiv] 2026-08-26 | InsightSR: Refining Symbolic Regression Search Spaces via Parallel Semantic and Structural LLM Guidance
[arXiv] 2026-08-26 | High-throughput Discovery of Magnetic Rare Earth Transition Metal Alloys
[arXiv] 2026-08-26 | Grain Boundary Engineering Effect on Vortex Matter in Superconducting Films
[arXiv] 2026-08-26 | Mitigating LLM sycophancy with RL-based fine-tuning: Bayesian Truth Serum approach
[arXiv] 2026-08-26 | Hierarchical MoE for Multi-Modal ILD Diagnosis
[arXiv] 2026-08-26 | The Pauli Lightcone: Information-Theoretic Error Mitigation Beyond the Autocorrelation
[arXiv] 2026-08-26 | Integrating Fast-response Capability into Virtual Power Plant Operation for Ancillary Services
[arXiv] 2026-08-26 | The "Curse of Knowledge" in LLM Query Simulation: Concept Provenance for Tracing Answer-Side Intrusion
[arXiv] 2026-08-26 | Quantitative tiling stability from quadratic discrepancy in Hamming spaces
[arXiv] 2026-08-26 | Exactly Diagonal Gram Matrices in Jacobi Weighted Histopolation
[arXiv] 2026-08-26 | Explicit domain preserving numerical schemes for a class of stochastic differential equations
[arXiv] 2026-08-26 | The product rule in Goodwillie calculus
[arXiv] 2026-08-26 | The half-signature extension of the 3D bordism bicategory and its representations
[arXiv] 2026-08-26 | A Computational Model for Global Ocean Dynamics at all Scales
[arXiv] 2026-08-26 | A diagrammatic grading bound for colored $\mathfrak{gl}_N$ link homology
[arXiv] 2026-08-26 | An Analysis of the Impact of Psychological Factors and Techniques Across Different Types of Social Engineering
[arXiv] 2026-08-26 | Benchmark of Multi-Channel Dyson Equation and Algebraic Diagrammatic Construction Methods for molecules
[arXiv] 2026-08-26 | PRISM: Projection-Integrated Sampling-Based MPC with Bayesian Cost Tuning for Bimanual Manipulation
[arXiv] 2026-08-26 | Unmatched Does Not Mean False: Incomplete Reference Sets Can Reverse Calibration Rankings in Open-Ended Theory-of-Mind Tracking
[arXiv] 2026-08-26 | Towards Purified Multi-Label Test-Time Adaptation of Vision-Language Models
[arXiv] 2026-08-26 | Sato-theoretic construction of the anti-self-dual Yang-Mills hierarchy and the Ward conjecture
[arXiv] 2026-08-26 | LDAC-Net: A Learnable Multi-Lag Differencing Attention-Convolution Network for Drift-Robust Recognition with Low-Cost MOX Gas Sensors
[arXiv] 2026-08-26 | Phase-sensitive cascade quantum amplifier with nearly noiseless operation
[arXiv] 2026-08-26 | Plans You Can Check: Verifier-Grounded Learning of an Open-Weight Planner for Executable Video-Editing
[arXiv] 2026-08-26 | Dissonance Spectrum explicitly models perceptual frequency interactions for better music understanding
[arXiv] 2026-08-26 | Revealing Galactic dust beneath the cosmic infrared background anisotropies with Wavelet Phase Harmonics
[arXiv] 2026-08-26 | Advantage-Driven Explicit Memory for Social Navigation
[arXiv] 2026-08-26 | When Should a Network Emit Geometry, and When Should It Detect It? Readout, Reconciliation, and Representation in Floorplan Vectorization
[arXiv] 2026-08-26 | A Dual-Transformer for Multi-Camera View Recommendation
[arXiv] 2026-08-26 | A Hierarchical Synergistic Deep Learning Framework Integrating Composition, Structure, and Ionic Transport for Solid-State Electrolyte Discovery
[arXiv] 2026-08-26 | Quantum-Kinetic Leptogenesis and Gravitational Waves from Seesaw-Assisted Domain-Wall Dynamics
[arXiv] 2026-08-26 | Cross-Dataset Stability of Expert-Informed Skill Prompting and Fine-Tuning for Chinese Metaphor Identification
[arXiv] 2026-08-26 | PolyMemDB: A Polyglot Database System for AI Memory Management
[arXiv] 2026-08-26 | Generative vs. Encoder Large Language Models for ASR Evaluation: A Comparative Study
[arXiv] 2026-08-26 | Beyond Scaling: Self-Evolving LLM Agents for Hardware Kernel Optimization via an Experience-Driven Workflow and Experience Graph Memory
[arXiv] 2026-08-26 | Resilient Decentralized Wireless Federated Learning via Gradient Tracking with AdamW
[arXiv] 2026-08-26 | Constrained Maximum Entropy Contiguous Aggregations
[arXiv] 2026-08-26 | ClueWeaver: Reward-Guided Dual-Agent Evidence Reasoning for Compact LLMs on Literary Long Narratives
[arXiv] 2026-08-26 | The Well-Being Palette: An Action-Word Selection Tool Designed for Low-Burden Reflection on Workplace Well-Being
[arXiv] 2026-08-26 | Query Expansion Is More Than Generation: Improving Dense Retrieval through Better Integration
[arXiv] 2026-08-26 | Asymmetric Cross-Modal Fine-Grained Visual Categorization: ACF-Net and the BirdPro Benchmark
[arXiv] 2026-08-26 | BV photometry of the cataclysmic variable LY UMa
[arXiv] 2026-08-26 | Pair production of $h$ in the $U(1)_X$SSM
[arXiv] 2026-08-26 | Pose-Anchored Optical Flow for Low-Latency Human Action Anticipation in Human-Robot Teaming
[arXiv] 2026-08-26 | Social Network Structure, Wealth, and Wealth Inequality Across Cultures
[arXiv] 2026-08-26 | VietAIDetector: An Open-Source Zero-Shot Detector for Vietnamese AI-Generated Text
[arXiv] 2026-08-26 | AERIS: Offline Policy Improvement for Multi-UAV Integrated Sensing and Communication
[arXiv] 2026-08-26 | Multicomponent Magnetic Domain Walls in Rhombohedral Graphene
[arXiv] 2026-08-26 | Probing the Properties of Neutral Clouds in the Vicinity of the Local Bubble: Linking three-dimensional Dust with Neutral Hydrogen Absorption
[arXiv] 2026-08-26 | MyoMechanix: Biomechanically-Grounded Compositional Skilled Activity Understanding and Coaching
[arXiv] 2026-08-26 | Planetary Prediction Engine: Autonomous Geospatial Prediction via Intelligent Data Selection and Foundation Model Embeddings
[arXiv] 2026-08-26 | The Multivariable Strong Monodromy Conjecture for Plane Curves
[arXiv] 2026-08-26 | TraceML: An Empirical Analysis of Human-Agent Planning in Machine Learning Development
[arXiv] 2026-08-26 | Localic Esakia Duality via Conic Frames
[arXiv] 2026-08-26 | ICON Decomposition: Multivariate Concept-Level Explanations of Deep Representations for Model Auditing
[arXiv] 2026-08-26 | Generalised Cone Conjecture, I: Beyond Calabi--Yau
[arXiv] 2026-08-26 | Parity Anomaly as Modular Commutator with Massless Dirac Fermion
[arXiv] 2026-08-26 | Prefix Sliding for efficient test-time scaling
[arXiv] 2026-08-26 | StreamPI: Streaming Multimodal Temporal Modeling for Vision-Language-Action Models
[arXiv] 2026-08-26 | Neural-Network and Reduced-order Modeling Workflows for AI-Driven CFD: Fast Response Surfaces, Reduced Dynamics and Jet in Cross-flow Examples
[arXiv] 2026-08-26 | Strong CP and the PMNS Phase in Dirac Left-Right Symmetry
[arXiv] 2026-08-26 | Three omitted values and non-Blaschke point divisors in half-planes
[arXiv] 2026-08-26 | Topology of Fluctuation Bands in Chiral Active Matter
[arXiv] 2026-08-26 | A family of second order, linear, unconditionally stable methods for the Cahn-Hilliard-Navier-Stokes equations
[arXiv] 2026-08-26 | Oxidation-resilient structural modifications in Nickel-functionalized 3D-graphene for hydrogen storage applications
[arXiv] 2026-08-26 | Rare-earth oxysulfides RE$_2$O$_2$S as model mixed-anion frustrated magnets
[arXiv] 2026-08-26 | Notes on Gepner Construction
[arXiv] 2026-08-26 | A unified continuous-discrete framework for Nesterov acceleration: transitions between convex and strongly convex regimes
[arXiv] 2026-08-26 | Cyclically Colored Triangulations: Enumeration and Connectedness of Reconfiguration Graphs
[arXiv] 2026-08-26 | AsymSpec: Context-Asymmetric Speculative Decoding for Agentic LLMs
[arXiv] 2026-08-26 | Reduction numbers for witnesses to the generalized Loewy length
[arXiv] 2026-08-26 | The kernel of the Birman-Craggs-Johnson homomorphism
[arXiv] 2026-08-26 | Uncertainty-Guided Latent Diffusion Models for Faithful Super Resolution
[arXiv] 2026-08-26 | ProgRouter: Online Progress-Guided Orchestration for Multi-Agent LLM Workflows under Quality-Cost Tradeoffs
[arXiv] 2026-08-26 | Multi-Granularity Context-Enhanced RAG over Multimodal Knowledge Graphs
[arXiv] 2026-08-26 | The Symmetric Pair Matching Design: A Self-Controlled Method with Automatic Adjustment for Time Effects
[arXiv] 2026-08-26 | When Personality Meets Quantization: A Layer-wise MBTI Analysis of Quantized LLMs
[arXiv] 2026-08-26 | A Weighting Method for Incorporating Mass Resolution Effects in Amplitude Analysis
[arXiv] 2026-08-26 | Exploring Late Stellar Evolution in the Era of Large Surveys: Machine Learning Prospects for Hot Subdwarfs and White Dwarfs
[arXiv] 2026-08-26 | Quantum-Inspired Modeling of Driving Behavior
[arXiv] 2026-08-26 | Almost periodic solutions of the defocusing mKdV equation
[ACM] 2026-8-26 | Play as Interrogation in GenAI Use
[IEEE] 2026-8-26 | AuEx: Automatic Exploration for Fresh Creative Ads via Large-Scale Deep Reinforcement Learning
[IEEE] 2026-8-26 | FusionEar: Toward High-Fidelity and Unconstrained Speech Eavesdropping via Multi-Modal Motion Sensor Fusion
[IEEE] 2026-8-26 | Unsupervised Learning for Weighted Resource Allocation in RIS-Assisted mmWave MIMO Systems
[IEEE] 2026-8-26 | Multifocus Image Fusion via LS-DTNP in the NSST Domain
[IEEE] 2026-8-26 | Hierarchical access control scheme for educational data based on blockchain and attribute-based encryption
[IEEE] 2026-8-26 | Study on the Influence of Stacked Polyhedral Structure of Microphone Array on UAV Sound Source Direction Finding
[IEEE] 2026-8-26 | Self-Adaptive Governance for Elastic Privacy in Mental Health Digital Phenotyping
[IEEE] 2026-8-26 | A Large Language Model Assisted Fault Diagnosis Framework for Power Equipment in New Power Systems
[IEEE] 2026-8-26 | Practical Tracking Control for Amphibious Uncrewed Aerial Vehicles With Prescribed Performance: Theory and Experimentation
[IEEE] 2026-8-26 | A Causal-Driven Hierarchical Decentralised Federated Learning Framework for Resilient Load Forecasting in Distributed Microgrids
[IEEE] 2026-8-26 | Graph Neural Network Enabled Resource Optimization for Tethered UAV Networks With Rotatable Directional Antennas
[IEEE] 2026-8-26 | Entangled Photon Source Pooling and Entanglement Distribution for Quantum Networks
[IEEE] 2026-8-26 | CyberAI (AICyber) Framework for Digital Health Applications: A Position Paper
[IEEE] 2026-8-26 | Image-Guided Robotic Surgery System to Eliminate Drill Bit Skiving During Pedicle Screw Placement – Concept Validation
[IEEE] 2026-8-26 | Dual Adaptive Noise Cancellation and Enhancement (DANCE) for Real-Time One-Dimensional Signal Denoising
[IEEE] 2026-8-26 | Risk-Stratified CQI in Engineering Education: Six-Cohort Validation of a Registry-Only Early-Warning Rule
[IEEE] 2026-8-26 | Dual-Layer LEO Mega-Constellation Topology Optimization Based on an Improved Slime Mould Algorithm with Feasible Projection_supp1-3727534.pdf
[IEEE] 2026-8-26 | Bias in the Shadows: Explore Shortcuts in Encrypted Network Traffic Classification
[IEEE] 2026-8-26 | Lightweight AAC-YOLO Algorithm for Railway Foreign Object Intrusion Detection
[IEEE] 2026-8-26 | ShadowBlock: Efficient Dynamic Anonymous Blocklisting and Its Cross-chain Application
[IEEE] 2026-8-26 | Frequency Doublet Resonance Detection Electronic Circuit for Piezoelectric Flexural Plate Wave MEMS Transducer
[IEEE] 2026-8-26 | Table of Contents
[IEEE] 2026-8-26 | Keynote: Emerging Approaches to Resource Management and Scheduling in the Mist—Fog—Cloud Continuum
[IEEE] 2026-8-26 | Electrical Engineering Powering Energy Transition: Beyond generation, the future of our grid relies on how we control energy.
[IEEE] 2026-8-26 | Message from Congress 2026 Program Chairs
[IEEE] 2026-8-26 | PRO: Deterministic Load Balancing for AI Datacenter Network
[IEEE] 2026-8-26 | SwitchNN: In-Network CNN Inference for Edge-Assisted Smart Roadside Networks
[IEEE] 2026-8-26 | Fractional-N Frequency Synthesis Based on Ring-
                    <i>LC</i>
                    Cascaded PLL With Calibration-Free Noise Cancellation Techniques
[IEEE] 2026-8-26 | GlyphTSR: Text-rich Scene Image Super-Resolution beyond Glyph Priors
[IEEE] 2026-8-26 | Design Flexibility in Infrastructure Projects: Integrating Means-Ends Analysis and Real Options Reasoning
[IEEE] 2026-8-26 | An Optoelectronic MXene/HfO
                    <sub>2</sub>
                    Memristor for In-Sensor Neuromorphic Visual Computing
[IEEE] 2026-8-26 | PointSR++: Self-Regularized Point Supervision with Spatial-Structural Constraints for Drone-View Object Detection
[IEEE] 2026-8-26 | Technical Communication and the Discipline of Content: Considerations for Research: Rebekka Andersen and Carlos Evia: [Book Review]
[IEEE] 2026-8-26 | The Brain–Computer Interfaces Race: Capital, Policy, and the Battle for Commercialization
[ACM] 2026-8-26 | Complementary Asymmetric Representation Learning for Exemplar-Free Class-Incremental Learning
[IEEE] 2026-8-26 | Resilient Model Predictive Formation Control for Nonholonomic Multivehicles Under Mixed Attacks
[IEEE] 2026-8-26 | A 3D Stackable 1T2C DRAM with Sidewall Storage Capacitors for High-Density Memory
[IEEE] 2026-8-26 | Real-Time PH Monitoring and Alerting System for Wastewater Management
[IEEE] 2026-8-26 | Interference-Aware Instantaneous Frequency and Amplitude Estimator for Multicomponent Signals
[IEEE] 2026-8-26 | Decentralized But Not Immune: Empirical and Formal Security Analysis of Messaging Networks
[IEEE] 2026-8-26 | CANListener: A Lightweight and Adaptive Intrusion Detection System for In-vehicle CAN Bus
[IEEE] 2026-8-26 | WTM-YOLOv11: A Small Target Detection Model for Complex Scenes in UAV Applications
[IEEE] 2026-8-26 | MAGNet: Physics-Informed Multiscale Attention and Gated Recurrent Network for Filter Inverse Design
[IEEE] 2026-8-26 | Extended Reality for Agricultural Supply Chain Education: A Systematic Review of Effectiveness, Implementation Challenges, and Future Directions
[IEEE] 2026-8-26 | VectorSec: A Web-Based AI Security Scanner for Systematic Evaluation of LLM Vulnerabilities
[IEEE] 2026-8-26 | UAVchain: Blockchain Technology Applications for Unmanned Aerial Vehicles
[IEEE] 2026-8-26 | IEEE Transactions on Sustainable Computing
[IEEE] 2026-8-26 | Layer-wise Principal Gradient Compression for Distributed Machine Learning
[IEEE] 2026-8-26 | Advancing Integrated Communications and Stealth Via STAR-RIS for Low-Altitude Wireless Networks
[IEEE] 2026-8-26 | HLIPIA:Efficient LLM On-Device Deployment Optimization with Hybrid Layer-Importance Pruning and Improved Adaptive Low Rank Adaptation
[IEEE] 2026-8-26 | LQG-Based Distributed Resilient Control for DC Microgrids Over Unreliable Communication Channel
[IEEE] 2026-8-26 | Front Cover
[IEEE] 2026-8-26 | Count-Rate Modeling and Compensation for Photomultiplier Tubes Under High-Voltage Ripple Disturbances
[IEEE] 2026-8-26 | Development of Fiber Optic Sensors, Their Principles, and Algorithm Optimization Research for Intraoperative Navigation
[IEEE] 2026-8-26 | PalmShield: A Climate-Smart AI Mobile Platform for Sustainable Date Palm Health Monitoring
[IEEE] 2026-8-26 | A Current-Mode Non-Destructive Circuit Readout Scheme for High-Density 3D Ferroelectric Memory
[IEEE] 2026-8-26 | Cloud-Compatible and Scalable Private Messaging via Authentication Piggybacking
[ACM] 2026-8-26 | When AI Becomes the First Listener: A Conversation with Joanne Cheung on How AI Soothes and Shapes Our Thoughts
[IEEE] 2026-8-26 | RAPIDS: Reliable Adaptive Priority-based Intelligent Delivery Streaming for Enhanced Error Resilience in Real-time Video
[IEEE] 2026-8-26 | Center-Aware Pairwise Learning for Deep Semi-supervised Anomaly Detection
[IEEE] 2026-8-26 | Evaluating DL Test Adequacy Metrics: A Correlation Study with DeepCrime’s Mutation Score
[IEEE] 2026-8-26 | A Lightweight ML Framework for Crop Selection and Yield Estimation on Low-End Devices
[IEEE] 2026-8-26 | Performance of a hybrid ARIMA-LSTM-Transformer model in influenza-like illness forecasting: A comparative study
[IEEE] 2026-8-26 | Perspective on Bias in Biomedical AI: Preventing Downstream Healthcare Disparities
[IEEE] 2026-8-26 | UAV Acoustic Source Direction Finding Based on Generalized Likelihood Ratio Test
[IEEE] 2026-8-26 | MUFFLe: Efficient Model Update Compression via Generalized Deduplication for Federated Learning
[IEEE] 2026-8-26 | Research on Intelligent Electronic Load Control System and Computational Optimization Method for High-Speed OSFP Optical Module Testing
[IEEE] 2026-8-26 | Kendall’s Tau Based Robust Spectrum Sensing Under Colored Gaussian Noise With Impulsive Interference
[IEEE] 2026-8-26 | Compressive Toeplitz Covariance Estimation From Few-Bit Quantized Measurements With Applications to DOA Estimation
[IEEE] 2026-8-26 | Disjoint Simulatability and Security Reduction of a Class of Lattice-Based Schemes
[IEEE] 2026-8-26 | Physics-Guided Temporal Graph Attention Network for Early Fault Diagnosis of Spacecraft Thermal Control Systems
[IEEE] 2026-8-26 | Flexible and Optically Transparent Wideband Low-RCS Metasurface Based on Spin-Decoupled and Diffusion Scattering
[IEEE] 2026-8-26 | Modeling Short-Term Cognitive State Transitions Using EEG and Lifestyle Features
[IEEE] 2026-8-26 | A Low-RCS Absorber-Radiator Antenna Array With Dual-CP and Multi-Beam Reconfigurability
[IEEE] 2026-8-26 | A Cross-Sector Measurement Study of Internet-Exposed IoT Devices
[IEEE] 2026-8-26 | SyDRA: Dual-Stream Synergistic Learning for Interference-Robust Anomaly Localization on Structure-Dominant Industrial Surfaces
[IEEE] 2026-8-26 | Joint Optimization of Video Recommendation and Cooperative Edge Caching for Maximizing Profit
[IEEE] 2026-8-26 | RCAgentBench: An Agent-Oriented Benchmark for Multimodal Root Cause Analysis in Microservices
[IEEE] 2026-8-26 | Hardware-in-the-Loop System for MANETs with Asynchronous Virtual-Physical Time
[IEEE] 2026-8-26 | NimbleChain: Automatic Timeout Tuning for PBFT-based Blockchain Systems
[IEEE] 2026-8-26 | A Solution for Efficient Cross-Cluster Communication in Multi-Kubernetes Clusters
[IEEE] 2026-8-26 | EpiCRISPR: Improving CRISPR/Cas9 on- and off-target prediction by flanking sequences, epigenetic marks, and high-throughput datasets
[IEEE] 2026-8-26 | Beyond the Headset: Content Analysis on Artificial Intelligence and Multimodal Analytics in Virtual Reality Learning
[IEEE] 2026-8-26 | Supervised Feature Selection via Collective First-Order Neural Dynamics
[IEEE] 2026-8-26 | Beyond Up and Down: Analyzing Temporal Phenomena in IPv6 Probing Responses
[IEEE] 2026-8-26 | SAPIF: A Severity-Aware Framework for Pressure Injury Forecasting
[IEEE] 2026-8-26 | The error estimation problem in machine learning surrogate models for engineering simulation
[IEEE] 2026-8-26 | Title Page iii
[IEEE] 2026-8-26 | HashVer: Low-Latency Consensus on Blockchain Networks with Heterogeneous Nodes
[IEEE] 2026-8-26 | Defending Intrusion Detection Systems from Black-Box Adversarial Threats in OneM2M-Based IoT Networks
[IEEE] 2026-8-26 | IEEE Security &amp; Privacy
[IEEE] 2026-8-26 | Semantic Raft: A Fault-Tolerant Multi-Agent Inference Framework for Reliable LLM Services
[IEEE] 2026-8-26 | Making Software Metrics Useful
[IEEE] 2026-8-26 | Enhanced Nonlinear Active Disturbance Rejection Control for SPMSM Speed Regulation With Measurement Noise
[IEEE] 2026-8-26 | General Stealthy Attack Against Remote State Estimation With Encryption-Decryption Scheme
[ACM] 2026-8-26 | ACM Distributed Ledger Technologies: Research and Practice Introduction to the Special Issue on Blockchain for 6G Trust, Security, and Privacy
[IEEE] 2026-8-26 | Continuous Digit Sequence Recognition in Air-Writing Using MIMO FMCW Radar
[IEEE] 2026-8-26 | Two-Dimensional DOA Estimation With Dual-L-Shaped Time-Modulated Array
[IEEE] 2026-8-26 | Beyond Wide Area Connectivity: OSAF Multi-Domain Collaboration Optimization for Large-Scale Deterministic Networks
[IEEE] 2026-8-26 | SOPSmith: Forging Executable SOPs for LLM-Driven GPU Cluster Network Diagnosis
[IEEE] 2026-8-26 | Personality-Aware Pricing and Heterogeneity-Aware Scheduling of Cloud Service Requests for Profit Maximization
[IEEE] 2026-8-26 | Affective Language Processing for Mental Healthcare: A Survey of LLM-Based Approaches across the Care Continuum_supp1-3726877.pdf
[IEEE] 2026-8-26 | Author Index
[IEEE] 2026-8-26 | Open source chip design using Efabless
[IEEE] 2026-8-26 | Evaluation of the Effectiveness of Artificial Intelligence-Assisted Nuclear Electronics Teaching Based on Multiple Regression
[IEEE] 2026-8-26 | Constrained Trajectory Planning and Control for Space Manipulator Capture Tasks Using an Improved Bi-level MOPSO Algorithm
[IEEE] 2026-8-26 | IBODet: Information-Bottleneck-Inspired Lightweight Oriented Detection in Remote Sensing Images
[IEEE] 2026-8-26 | Cloud Confidential Computing in the Wild: Technology Landscape and Practical Challenges
[IEEE] 2026-8-26 | KACIO: Keyword-Aware Cross-Attention for Long-Tailed ICD-9 Coding
