[2026-05-14 22:56:49] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-05-13
正在获取论文...
[arXiv] 2026-05-13 | Machine-learning applications for weak-lensing cosmology
[IEEE] 2026-5-14 | IB2MC: Information Bottleneck Inspired Balanced Multiview Clustering
[IEEE] 2026-5-14 | Microseis-WCDD:Wavelet-Conditioned Diffusion Denoising for Microseismic Data via Adversarial Guidance
[IEEE] 2026-5-14 | Review for "Hybrid Machine Learning Model for Forest Height Estimation from TanDEM-X and Landsat Data"
[ACM] 2026-5-13 | Proceedings of the 2025 9th International Conference on Computational Biology and Bioinformatics
[ACM] 2026-5-13 | Research on Anti-Jitter End-to-End Autonomous Driving Decision and Control Based on Policy Distillation
[ACM] 2026-5-13 | Knowledge Graph Construction and Applications for the Protection of the Ming Xianling Mausoleum
[ACM] 2026-5-13 | Software Fault Localization Method Based on Reinforcement Learning and Graph Neural Network
[ACM] 2026-5-13 | Research on Flexibility Resource Capacity Market Trading Mechanisms Based on Multi-Dimensional Classification
[ACM] 2026-5-14 | Before and After the Switch: Exploring Contributor Levels when Vendor-Controlled Open Source Projects Go Proprietary
[ACM] 2026-5-14 | How Does Peer Tipping Affect Knowledge Contributions? Evidence from a Field Experiment on Stack Overflow
[IEEE] 2026-5-14 | A 6–85 GHz Non-Uniform Distributed Variable Gain Amplifier Achieving High Output Power and Efficiency in SiGe HBT Technology
[IEEE] 2026-5-14 | Acoustic Sensor-Based Azimuthal Far-Detection with Shear Waves: A Review
[IEEE] 2026-5-14 | Integrated Mechanical–Electromagnetic Design and Experimental Validation of a High-Speed Permanent Magnet Synchronous Motor Considering Sleeve Interference Fit and Harmonic Losses
[IEEE] 2026-5-14 | Incipient Inter-Turn Short-Circuit Fault Diagnosis Based on Spatiotemporal Multibranch Graph Convolutional Network_supp2-3684175.mp4
[IEEE] 2026-5-14 | CSI Feedback Based on Bi-Directional Channel Reciprocity Using Magnitude and Phase Separation
[IEEE] 2026-5-14 | MDP3: A Multimodal 3D Diffusion Policy for Visuomotor Control
[IEEE] 2026-5-14 | SiGe HBT Optimizations for Power Amplifiers in G-band
[IEEE] 2026-5-14 | Power-Constrained and Quantized MIMO-RSMA Systems with Imperfect CSIT: Joint Precoding, Antenna Selection, and Power Control
[IEEE] 2026-5-14 | Root-Protograph-based Anytime Codes for Non-Ergodic Block Fading Channels
[IEEE] 2026-5-14 | Table of Contents
[IEEE] 2026-5-14 | GeMiC 2026 Cover Page
[IEEE] 2026-5-14 | An on-chip Split Ring Resonator for Graphene Dielectric Permittivity Characterization
[IEEE] 2026-5-14 | An Energy-Efficient Edge-Assisted Monitoring System for Youth Plyometric Training
[IEEE] 2026-5-14 | IoT-Integrated WCIP-Based Modeling and Machine Learning Optimization of a THz Hydrogen Sensor for Green Hydrogen Monitoring
[IEEE] 2026-5-14 | A 129.9-141.1 GHz VCO Quadrature Frequency Generator Using Frequency Division and Mixing
[IEEE] 2026-5-14 | Low Operation Point In-loop Filter for VVC Based on Over-parameterized Training and Variable Channel Configurations
[IEEE] 2026-5-14 | 1 Transistor-Dynamic Random Access Memory as Reservoir for Temporal Signal Processing_supp1-3690766.docx
[IEEE] 2026-5-14 | APaC: a Context-aware and Availability Policy as Code Framework for Elastic Object Storage
[IEEE] 2026-5-14 | The Synergy of Giants and Scouts—Edge-Enabled Collaboration Between Large-Scale and Lightweight Models in Sensor-Cloud Networks
[IEEE] 2026-5-14 | 3D thermal-hydraulic modeling an in-cryostat Loss-of-Coolant Accident from a superconducting magnet
[IEEE] 2026-5-14 | Enhancing Automatic Berthing of Unmanned Surface Vessels: A Finite-Time Observer Approach with Flapped Rudder Actuation
[IEEE] 2026-5-14 | Plug-and-Play Distributed Fencing of Multi-Vehicle Systems for Multiple Uncooperative Targets With Dynamic Radius
[IEEE] 2026-5-14 | A 3D-Printed GRIN Lens Array for Hybrid Beamforming: Design and Experimental Validation
[IEEE] 2026-5-14 | Design and Development of an End-Effector for Fabric Edge Folding Along a Convex Curve With Multiple Pleats
[IEEE] 2026-5-14 | A Triangular Pyramid Geometry-Guided Hand-Eye Calibration Framework for Line Laser Cameras With Constrained Optimization_supp1-3693129.mp4
[IEEE] 2026-5-14 | Unilateral Upper Limb Fine Motor Imagery Recognition via Symmetric Cross-Modal Attention EEG-EMG Fusion_supp1-3680124.docx
[IEEE] 2026-5-14 | A novel Physically Enhanced Real-Time Visual Navigation method for UAVs
[IEEE] 2026-5-14 | Heat Treatment for Bi-2212 CICC-type Insert Coil
[IEEE] 2026-5-14 | A Rescheduling Mechanism for Cloud Data Centers Leveraging Dynamic Fault-Tolerant Classification
[ACM] 2026-5-14 | Citizen Sentiment and Public Value in AI-Mediated Public Services: A Case Study of a Ministry Chatbot
[IEEE] 2026-5-13 | MeanCut: Greedy graph clustering by fast maximum spanning tree and degree descent criterion_supp1-3692651.pdf
[ACM] 2026-5-13 | Egoism Unbound: Communication Corner No. 75
[ACM] 2026-5-13 | Emulation of the blood flow in the carotid, brachial, and coronary arteries by driving the pump of an emulator phantom using a system based on the mean flow velocity of arterial curves
[ACM] 2026-5-13 | Reduction of Episiotomies in the Birth Pathway: Application of the M.A.S.T.E.R. Methodology at the Evangelical Betania Hospital
[ACM] 2026-5-13 | A Comparative Study of Multimodal Social Media Sentiment Analysis Across Different Fusion Strategies
[ACM] 2026-5-13 | Algorithm for Analyzing Spatial Heterogeneity in the Costs of Ecological Restoration Projects For Photovoltaic Power Stations
[ACM] 2026-5-14 | Advancing LLM-Based Issue Report Classification with Explained Few-Shot Learning, Intent Extraction, Ensemble, and Summarization
[IEEE] 2026-5-14 | UVC: A Large Scale Dataset and Physical Priors-based Network Towards Underwater Video Compression
[IEEE] 2026-5-14 | Large-Signal Stability Modeling for Grid-Forming Inverters Capturing Inner-Loop Dynamics and Considering Anti-Windup
[IEEE] 2026-5-14 | Light First, RF Assist: Spatial Optimisation for Minimum Energy Guarantees in Battery-less IoT Network
[IEEE] 2026-5-13 | Nonparametric Control Koopman Operators
[IEEE] 2026-5-14 | A Comprehensive Review of Time-To-Digital Converters: Architectures, Applications, and Trends
[IEEE] 2026-5-14 | On Design of Tomlinson-Harashima Precoded OTFS System
[IEEE] 2026-5-14 | Sum Rate Maximization for Distortion-Aware RSMA System via Accelerated Gradient-Based Precoding With Near-Optimal Power Scaling
[IEEE] 2026-5-14 | Nonlinear precise tracking and regulation for unmanned aircraft flight control
[IEEE] 2026-5-14 | Experience with Assistive and Service Robots in the General Population of Hungary
[IEEE] 2026-5-14 | Service-Oriented Orchestration and Scheduling in Agentic Computing Power Networks
[IEEE] 2026-5-14 | MW-class Microwave Pulse Compressors operating with a Low-Pressure Gas Discharge Tube at self-breakdown mode
[IEEE] 2026-5-14 | DRL-Based Noncoherent PPM Detection in Time-Varying Wireless Channels
[IEEE] 2026-5-14 | Correcting Sea Surface Wind Model Outputs in the Western Tropical and Southwestern Atlantic Oceans using Scatterometer Data
[IEEE] 2026-5-14 | Facial-Based Heterogeneous Graph Representation Learning for Autism Spectrum Disorder Detection
[IEEE] 2026-5-14 | Dynamic Trend Modeling With Joint Interval Fuzzy Information Granulation: A Framework for Long-Term Forecasting of Interval-Valued Time Series
[IEEE] 2026-5-14 | Multiscale Spatial Frequency-Aware Transformer and Saturation Analysis for Universal Deepfake Detection
[IEEE] 2026-5-14 | Hybrid Quantum Machine Learning for Intrusion Detection: A Comparative Study of QNN and QSVM Models
[IEEE] 2026-5-14 | Improved Layered Yield Network Efficient Hierarchical Encryption Algorithm for Secure Communication in IoT and IoE
[IEEE] 2026-5-14 | Plenary Talks
[IEEE] 2026-5-14 | Diffusion Versus GAN for Subject-Specific Gaze Synthesis
[IEEE] 2026-5-14 | Vision-Based Distress and Anomaly Detection for Unpaved Roads: A Systematic Literature Review
[IEEE] 2026-5-14 | CAFE: Condition-Attention Feature Extractor for Multi-Condition Fault Diagnosis of Rotating Machinery
[IEEE] 2026-5-14 | Metallization Techniques for Additive Manufacturing of Antennas and RF Systems: A Survey
[IEEE] 2026-5-14 | Physics-Informed Neural Operators for Signal Modeling in Particle-based Communications
[IEEE] 2026-5-14 | Feasibility Study on Low-Cost 3D Printed Waveguide Components with Simple Metallization
[IEEE] 2026-5-14 | Investigation on FMCW-Waveforms in Vector Network Analysis
[IEEE] 2026-5-14 | An Off-The-Shelf Modulation-Based Enhancement for Automotive Radar Target Emulators
[IEEE] 2026-5-14 | Model-Driven Fault and Disturbance Validation in Complex Industrial Power Systems
[IEEE] 2026-5-14 | A Causal Balance Sampling Framework for Few-Shot Cross-Component Fault Diagnosis
[IEEE] 2026-5-14 | Characterization of Low-Temperature Intrinsic Field-Effect Mobility With Contact Resistances in Amorphous InGaZnO Thin Film Transistors
[IEEE] 2026-5-14 | Corruption-Resilient Combinatorial Bandit Learning for Heterogeneous Network Systems_supp1-3691423.pdf
[IEEE] 2026-5-14 | Decision letter for "Hybrid Machine Learning Model for Forest Height Estimation from TanDEM-X and Landsat Data"
[ACM] 2026-5-13 | Proceedings of the 2026 IEEE/ACM 3rd International Flaky Tests Workshop
[ACM] 2026-5-13 | Modeling the Transformation Path of the Accounting Profession under Artificial Intelligence: A Data-Driven and Explainable Learning Framework
[ACM] 2026-5-13 | A Resource-Efficient Canny Edge Detection Algorithm on FPGA for Railway Container Inspection
[ACM] 2026-5-13 | Bridging Code Property Graphs and Language Models for Program Analysis
[ACM] 2026-5-14 | Enhancing Learning Motivation of Engineering Students via Minecraft: Incorporating an Embedded AI Agent
[ACM] 2026-5-14 | Hybrid Multi-Modal Learning for Extreme Long-Tail Fungi Classification
[ACM] 2026-5-14 | Kernel-Aware Federated Learning with Multi-Teacher Knowledge Distillation and OS-Level Synchronization
[ACM] 2026-5-14 | Privacy Concerns of AI-Based Surveillance Systems Under FERPA and Educational Privacy Laws
[IEEE] 2026-5-14 | Relative RGB-Depth Structure Network for Generalizable Depth Map Recovery
[IEEE] 2026-5-14 | Decentralized Online Rate Optimization in FDD Massive MIMO System With Delayed CSI Feedback
[IEEE] 2026-5-14 | Edge-Deployed AI Optimizing Fractional Frequency Reuse in Multibeam Satellite System
[IEEE] 2026-5-14 | Task and Data Complexity in Gamified Text Labelling: When Do Real and AI-Generated Images Help?
[IEEE] 2026-5-13 | A Compact Slew-Rate-Enhanced Class-AB Buffer Amplifier Using Internal Current Reuse for Display Column Drivers
[IEEE] 2026-5-14 | Synchronisation Challenges in Radar Networks
[IEEE] 2026-5-14 | AI Based System for Mass Screening of Kidney Diseases Using Ultrasound Images
[IEEE] 2026-5-14 | Corrections to “Hybrid CNN–BiLSTM Approach for Wildlife Detection Nearby Railway Track in a Forest”
[IEEE] 2026-5-14 | A Tensor-Attention and DARTS-Guided Detection Framework for Aero-Engine Blades Surface Defects
[IEEE] 2026-5-14 | Near-field Physical Layer Security: Robust Beamforming under Location Uncertainty
[IEEE] 2026-5-14 | Directional Object Detection in Aerial Images
[IEEE] 2026-5-14 | Toward Safety-First Human-Like Decision Making for Autonomous Vehicles in Time-Varying Traffic Flow
[IEEE] 2026-5-14 | End-to-End Adaptation of LLMs for Low-Resource Languages
[IEEE] 2026-5-14 | TCPE-IRVCS: A Two-Stage Channel Parameter Estimation Framework for IRS-Aided mmWave MIMO for Vehicular Communication Systems
[IEEE] 2026-5-14 | Q-MA3DQN: Quantum-Secured Scheduling for Contact-Constrained Decentralized Satellite Federated Learning via Multi-Agent Quantum-Dueling Double Deep Q-Networks
[IEEE] 2026-5-14 | A Domain-Incremental Learning Framework based on Defect Replay and Gaussian Mixup for Industrial Defect Detection
[IEEE] 2026-5-14 | Implementation of synthetic inertia emulation in the WECC Generic Model for Large-scale PV Plants
[IEEE] 2026-5-14 | A Robust Principal Component Analysis Method for InSAR Atmospheric Correction Based on M-Estimation
[IEEE] 2026-5-14 | IEEE Standard Requirements for Subsurface, Vault, and Pad-mounted Load-Interrupter Switchgear and Fused Load-Interrupter Switchgear for Alternating Current Systems up to and including 38 kV
[IEEE] 2026-5-14 | Reconstruction and Analysis of Tumor-Specific Gene Regulatory Networks from scRNA-seq Data
[IEEE] 2026-5-14 | Neuro-Adaptive Integral Sliding-Mode Consensus Control for Multi-ASVs With Unknown Nonlinearity via Dissipative Disturbance Estimation
[IEEE] 2026-5-14 | Complex-Valued Signal Recovery in Interferometric Electron Paramagnetic Resonance Spectroscopy
[IEEE] 2026-5-14 | Gradient-Guided Dual-Stream YOLO Combined With Graph Convolution for SAR Object Detection
[ACM] 2026-5-13 | A Modular Fusion Neural Network Approach to Efficiently Predict Multi-Metal Binding Sites in Protein Sequences
[ACM] 2026-5-13 | A Survey and Empirical Benchmarking of Grading Methods for Interactive Autonomous Driving Scenarios
[ACM] 2026-5-13 | LLMs in Code Vulnerability Analysis: A Proof of Concept
[IEEE] 2026-5-13 | In-Situ Electric Field-Assisted Preparation of SiC/Epoxy Composite Coatings with Oriented Filler Structure_supp1-3691698.mp4
[ACM] 2026-5-14 | Analysis of Shuffling Beyond Pure Local Differential Privacy
[IEEE] 2026-5-14 | Power Analysis attack resilient Novel 9T &amp; 10T NVSRAM for Emerging Memory
[IEEE] 2026-5-14 | Modeling, Control, and Stiffness Regulation of Layer Jamming-Based Continuum Robots
[IEEE] 2026-5-14 | Knowledge-Guided Multi-Task Video Classification for Industrial Process via Fuzzy Rule Graph Embedding
[IEEE] 2026-5-14 | Inverse-designed ultra-compact on-chip broadband bandpass filter with high extinction ratio
[IEEE] 2026-5-14 | Joint Beamforming Design and Trajectory Optimization for STAR-RIS Assisted UAV-enabled ISAC System
[IEEE] 2026-5-14 | Design and evaluation of a bicycle-integrated antenna for prospective V2X connectivity of vulnerable road users
[IEEE] 2026-5-14 | Copula-Based Analysis of Fluid Antenna-Assisted Over-the-Air Computation
[IEEE] 2026-5-14 | Morphology-Aware Graph Reinforcement Learning for Tensegrity Robot Locomotion
[IEEE] 2026-5-14 | Wafer-scale estimation of thermal stability with magneto-optical measurement system for STT-MRAM
[IEEE] 2026-5-14 | LightGBM-SHAP-Based Clinical ML Feasibility Screening: Experimental Validation via Controlled Cross-Domain Data*
[IEEE] 2026-5-14 | A Multistatic Doppler Radar Measurement of Particulate Matter with a J-Band Radar Sensor
[IEEE] 2026-5-14 | Emerging Electric Vehicle Charging Market: Analyzing the Impact of Firm Pricing, Charging Speed, Consumer Preferences, and Power Tariff Subsidy
[IEEE] 2026-5-14 | From Blackboard to Algorithm: AI's Impact on Teaching and Learning Design
[IEEE] 2026-5-14 | A Compact Four-Way Waveguide Power Divider Optimized for Additive Manufacturing
[IEEE] 2026-5-14 | Reflection Reduction Effects in Multi Probe Near Field Scanner Systems
[IEEE] 2026-5-14 | Cross-Frequency Feature Learning for Dual-Band Radar HRRP Target Recognition_supp1-3692758.pdf
[IEEE] 2026-5-14 | Impact of Ethernet Network Conditions on Protective Relaying using Sampled Values
[IEEE] 2026-5-14 | Research and Application of a Data-Driven Intelligent Construction System for Mountain Photovoltaic Power Stations in Complex Terrains
[IEEE] 2026-5-14 | Fast World-Model Decoding for Lightweight 3D Autonomous Vehicular Scenes
[IEEE] 2026-5-14 | Preclinical Assessment of an Image-Guided Histotripsy System for Renal Ablation
[IEEE] 2026-5-14 | Enhancing SAM2 for Industrial Defect Detection via Dual-Adapter Fine-Tuning
[IEEE] 2026-5-14 | Synthetic Priors for Real-World Detection: a Label-Free Framework for Identifying Ultra-Rare Objects
[IEEE] 2026-5-14 | CoreScaler: A Resource-Efficient Hybrid Scaling Framework for Dynamic Workloads in Cloud
[IEEE] 2026-5-14 | A Coarse-to-Fine Metric Learning Framework for Robust Identification of Overlapping Surgical Instruments
[IEEE] 2026-5-14 | Self-Aligned, High-Aspect Ratio Electrodes for Fused Silica Resonators Digitally Defined by Laser Modification of Material
[IEEE] 2026-5-14 | Comprehensive Electricity Demand Forecasting with a Custom Multi-Dimensional Dataset with Model Analysis and Mobile Visualization
[IEEE] 2026-5-14 | A Diffusion-Model Based Approach for Low-Overhead and Accurate Channel Estimation in LEO-MIMO Systems
[IEEE] 2026-5-14 | Spatial Affordance-Aware Affine Transformation Between Heterogeneous Spaces for Mixed Reality Remote Collaboration
[IEEE] 2026-5-14 | A Surrogate-Assisted Multi-Objective Framework for Thermal–Hydraulic Optimization of Serpentine Liquid Cooling in Lithium-Ion Battery Modules
[IEEE] 2026-5-14 | Energy-Efficient Trajectory Planning for Collision-Free UAVs Communication in Hybrid Low-Altitude Airspace
[IEEE] 2026-5-14 | Utility-Scale Battery Energy Storage Systems - Field Pilot Unit Experience, Analysis, and Review of Technological Advancements
[IEEE] 2026-5-14 | Decoding Dyslexia, One Emotion at a Time: An AI-Powered Generative Framework
[IEEE] 2026-5-14 | RLSR: A Reinforcement Learning-Based Segment Routing for QoS-Aware Software Defined Network
[IEEE] 2026-5-14 | Decision letter for "Directional Object Detection in Aerial Images"
[ACM] 2026-5-13 | Dynamic Preview Distance Based Trajectory Optimization for Lane Level Path Generation in Complex Intersections
[ACM] 2026-5-13 | A Hybrid Spatio-Temporal Traffic Monitoring System based on Optimized YOLOv8 and Virtual Induction Loops
[IEEE] 2026-5-14 | List Recoverable Codes: The Good, the Bad, and the Unknown (hopefully not Ugly)
[IEEE] 2026-5-14 | EMSTrans: An Efficient Hardware Accelerator for Transformer With Multi-Level Sparsity Awareness
[IEEE] 2026-5-14 | Self-learning PI-iTransformer: Adaptive physics modeling for forecasting real world soil temperature sensor data
[IEEE] 2026-5-14 | Endless Runner F0: Loudness-Based and Pitch-Based Voice Control for VR Arcade Games
[IEEE] 2026-5-14 | Generative Agents for Learning Behavioral Simulation: An Interview-Driven and Multi-Expert Reflection Framework
[IEEE] 2026-5-14 | Adaptive finite-gain prescribed-time attitude tracking control of RLV: a super-twisting based approach
[IEEE] 2026-5-14 | SAHG-WMRNet: A Structure-Aware Hierarchical Graph Network for Multifunction Radar Work Mode Recognition
[IEEE] 2026-5-14 | Toward Emotion-Preserving Speech Semantic Communication in Affective Social Systems
[IEEE] 2026-5-14 | CWS-YOLO : An Optical Remote Sensing Ship Detection Model with Cauchy-Based Attention and Sparse Shared Head
[IEEE] 2026-5-14 | SNR Comparison Between Anomalous Hall Effect and Tunneling Magneto Resistance HDD Readers for 4 Tbpsi Using a Simulated Read Head Equivalent Circuit
[IEEE] 2026-5-14 | DBEDML: Dual Branch Energy-Driven Meta-Learning for Hyperspectral Imagery Cross-Domain Few-Shot Open-set Recognition
[IEEE] 2026-5-14 | Transient Voltage and Current Calculations Based on Formulation of Modified Baum-Liu-Tesche Equation in Phase Domain
[IEEE] 2026-5-14 | Auto-Tuning of Droop Controllers for Grid-Forming Inverters
[IEEE] 2026-5-14 | VCF-Pose: Velocity-Guided Coarse-to-Fine Pose Estimation from mmWave Point Clouds
[IEEE] 2026-5-14 | Evaluating Multi-Chiplet Integration of Automotive Radar System-In-Packages in eWLB and RDL-first
[IEEE] 2026-5-14 | A Miniaturized and Flexible Ultrasound-driven Intracranial Brain Stimulator for Neuromodulation Applications
[IEEE] 2026-5-14 | Hybrid DNN-ELM design surrogate for Pierce Gun of HPM sources
[IEEE] 2026-5-14 | Research on Physics-Constrained Low-Rank Tensor Decomposition for Undersampled Reconstruction in Modulated Active Infrared Thermography for GFRP Defect Detection
[IEEE] 2026-5-14 | Floating Photovoltaic Systems in Urban Areas: Insights on the Thermoelectric Behavior and Water Evaporation Reduction
[IEEE] 2026-5-13 | Parametric Modeling and GPR Imaging of Planetary Lava Tubes Constrained by Terrestrial Analogs_supp1-3692190.pdf
[ACM] 2026-5-13 | Path planning for urban low-altitude drones based on deep reinforcement learning
[ACM] 2026-5-14 | Proceedings of the 2026 ACM Southeast Conference
[ACM] 2026-5-14 | No Pedestrian Left Behind: Real-Time Detection and Tracking of Vulnerable Road Users for Adaptive Traffic Signal Control
[ACM] 2026-5-14 | Towards Output-Optimal Uniform Sampling and Approximate Counting for Join-Project Queries
[IEEE] 2026-5-14 | Double ended travelling wave fault location using unsynchronized data
[IEEE] 2026-5-14 | Measurement of the Effective Input Noise Temperature of a Cryogenic Amplifier at 4 K using the Cold Attenuator Method
[IEEE] 2026-5-14 | Hub Page
[IEEE] 2026-5-14 | The 105/140 GHz Megawatt Waveguide Transmission Line at ASDEX Upgrade
[IEEE] 2026-5-14 | Effect of Insertion Parameters on Insertion Force and Tissue Damage During Rigid Neural Probe Implantation_supp4-3691664.pdf
[IEEE] 2026-5-14 | A Review of Lunar Rover Wheels
[IEEE] 2026-5-14 | Table Tennis Scoring System: Single-Camera, Real-Time Scoring System with Hybrid Image Processing
[ACM] 2026-5-13 | From Metric-Driven Assessment to Ethics-Embedded Evaluation: A Computer-Aided AHP Framework for Restorative Design in Traditional Craft Villages
[ACM] 2026-5-13 | Proceedings of the 2026 International Conference on Artificial Intelligence and Digital Services
[ACM] 2026-5-13 | Face Recognition on Mask-Occluded Faces Using Periocular Trait and Eye Blinking as Identity Biometrics
[ACM] 2026-5-13 | M.A.S.T.E.R. Framework Applications for Enhancing Laparoscopic Surgery Efficiency
[ACM] 2026-5-13 | Transcriptomic profiling of immune cells in pancreatic cancer
[IEEE] 2026-5-14 | Fluid Antenna Enabled Direction-of-Arrival Estimation Under Time-Constrained Mobility
[IEEE] 2026-5-14 | A Multi-Scale Network with Cross-View Gated Attention Enhancement for Human Activity Recognition
[IEEE] 2026-5-14 | Uncertainty-Driven Generative Prior Learning for Sparse Model-Guided Hyperspectral Image Fusion
[IEEE] 2026-5-13 | Edge Feature Enhancement and Multi-scale Convolutional Kernel Selection Aggregation for Fine-grained Ship Detection
[IEEE] 2026-5-14 | A Two-Stage Decision-Making Method for Team Member Replenishment Problem
[IEEE] 2026-5-14 | Prediction of Nanobody-Antigen Interaction Based on Epitope Aware with Crossmodal Attention
[IEEE] 2026-5-14 | A Dual-Stator Synchronous-Vernier Permanent Magnet Machine: Comprehensive Design-Space Study for Power Factor Enhancement
[IEEE] 2026-5-14 | Simulating Cracking and Breaking of Glass and Other Objects
[IEEE] 2026-5-14 | Extended Accelerated Stress Testing of Lamination-Free Edge-Sealed Photovoltaic Minimodules
[IEEE] 2026-5-14 | Soft-Aided Hard-Decision Decoding and Efficient Stall Pattern Search for Higher-Order Staircase Codes
[IEEE] 2026-5-14 | Simulative performance assessment of D band planar antenna arrays with circular arrangement
[IEEE] 2026-5-14 | Ion Depletion Defects in RRAMs: Characterization, Modeling and Test
[IEEE] 2026-5-14 | Evaluating Facial Expression Recognition Datasets for Deep Learning: a Benchmark Study with Novel Similarity Metrics
[IEEE] 2026-5-14 | Joint Optical Switching Reconfiguration and Spatial-temporal Traffic Optimization for Optical Machine Learning Clusters
[IEEE] 2026-5-14 | Pioneering AI Acceleration on European Space Qualified Hardware: Implementation and Characterization of a DNN on NanoXplore FPGA
[IEEE] 2026-5-14 | A porous core-shell fibrous membrane for high-performance soft strain sensors: post-functionalization strategy and multimodal motion monitoring
[IEEE] 2026-5-14 | DepthGeoLoc: Learning Structure-Aware Depth Priors for Robust UAV-Satellite Cross-View Geo-Localization
[IEEE] 2026-5-14 | DC-link Voltage Control for a Hybrid Generator-Based Wind Turbine System
[IEEE] 2026-5-14 | Inferring the Chemotaxis Distortion Function from Cellular Decision Strategies
[IEEE] 2026-5-14 | Weighted Online Koopman Learning for Model Predictive Control of Thrust-Vectored Underwater Vehicles
[IEEE] 2026-5-14 | Data-Efficient Modeling of Hysteresis and Crosstalk for Inverse Kinematics of Soft Manipulators
[IEEE] 2026-5-14 | Distributed Topology Reconfiguration for Open Multiagent Systems via Algebraic Connectivity and Kirchhoff Index
[IEEE] 2026-5-14 | Generalizable Data Routing for UWSNs Based on Fuzzy State Representation in Asynchronous MARL
[IEEE] 2026-5-14 | GODEFITI: Enhancing Healthcare Data Forecasting in 6G Networks
[ACM] 2026-5-13 | Investigation on the influence of target parameters and interference on target detection using rose line scanning technique
[ACM] 2026-5-13 | Research on Digital Transformation of Tie-dye Fabric Based on Style3D and SVM Algorithm
[ACM] 2026-5-13 | Reducing Time-to-Surgery in Elderly Patients with Proximal Femur Fractures: A Quality Improvement Initiative Using the M.A.S.T.E.R. Framework
[ACM] 2026-5-13 | Simultaneous Reconstruction of Attenuation and Activity Images in TOF-PET Based on Adaptive Multi-Scale Median Root Prior
[ACM] 2026-5-14 | Personalized Wellness at Scale: A Framework for Designing AI-Driven Feedback in mHealth
[ACM] 2026-5-14 | FURINA: A Multi-Agent Framework for Automated Patch Correctness Assessment
[ACM] 2026-5-14 | Identifying the Optimal Number of DataLoader Workers for CPU-GPU Concurrency in Asynchronous Deep Training Pipelines
[ACM] 2026-5-14 | Exploring the Ethernet Capabilities of the Raspberry Pi 4B/5
[ACM] 2026-5-14 | PANDAExpress: A Simpler and Faster PANDA Algorithm
[ACM] 2026-5-14 | Improved Accuracy for Private Continual Cardinality Estimation in Fully Dynamic Streams via Matrix Factorization
[ACM] 2026-5-14 | A Tight Lower Bound on Adaptively Secure Full-Information Coin Flip
[IEEE] 2026-5-14 | How Vulnerable are Cyber-Physical Systems?
[IEEE] 2026-5-14 | Dual-Mode mmWave Power Amplifier with Adaptive Linearizer for Gearbox-PHY
[IEEE] 2026-5-14 | An Efficient 3D Reconstruction Method of Large-Scale Outdoor Terrain with a Monocular Camera
[IEEE] 2026-5-14 | Recent Developments in High-Power Traveling-Wave Tubes for Earth Observation
[IEEE] 2026-5-14 | Analytical Modeling of HTS Single-Sided Linear Induction Motors for Rail Transportation Applications
[IEEE] 2026-5-14 | A Distributed Fiber Optic Collaborative Measurement Method for Multi-physical Properties of Backfill Soil
[IEEE] 2026-5-14 | Sequential Pointer Network-Based Reinforcement Learning for Low-Complexity Massive MIMO Scheduling
[IEEE] 2026-5-14 | Fast and Cost-Efficient Additive Manufacturing of Lenses for Horn Antennas in the D-Band
[IEEE] 2026-5-14 | QiMeng-CPU-v2: Automated Superscalar Processor Design by Learning Data Dependencies
[IEEE] 2026-5-14 | RAW-Adapter: Adapting Pre-Trained Visual Model to Camera RAW Images and a Benchmark_supp1-3692923.pdf
[IEEE] 2026-5-14 | Interframe Image Interaction Strategy for Bistatic Forward-Looking ViSAR from Streaming Fast Back-Projection Algorithm
[IEEE] 2026-5-14 | Neural Motion Path: a Path-based Authoring System for Pre-rendered Character Animation
[IEEE] 2026-5-13 | Game of Coding: Coding Theory in the Presence of Rational Adversaries, Motivated by Decentralized Machine Learning
[IEEE] 2026-5-14 | Intercomparison of Tianmu-1 and CYGNSS Global Land Observations for Harmonization
[IEEE] 2026-5-14 | DRL-Fuzzer: A Generative and Lightweight Approach for Modbus Vulnerability Mining in Industrial Control Systems
[IEEE] 2026-5-14 | Low-Loss 3D-Printed Waveplates for Terahertz Spectral Drill Cavity Applications
[IEEE] 2026-5-14 | An Advanced Buffer Engineering Approach to Enhancing Vertical Breakdown Characteristics in GaN HEMTs on Si
[IEEE] 2026-5-14 | Field Deployble Acoustic Sensor System for Early Red Palm Weevil Detection
[IEEE] 2026-5-14 | Dielectric Characterization of Biomolecules in Ice Using a WGM Sensor
[IEEE] 2026-5-14 | Joint Analog and Digital Interference Cancellation for In-Band Full-Duplex ISAC Systems
[IEEE] 2026-5-14 | Underwater Wireless Communication Systems and Networks: A Survey, Future Directions, and Novel Proposals
[IEEE] 2026-5-14 | Scanning the Literature/Edited by Xiaohua Tian
[IEEE] 2026-5-14 | Perceptual Issues and an Improvement Method for User Perspective Rendering in Augmented Reality
[IEEE] 2026-5-14 | Design of a Social VR Museum for Digital Heritage Interpretation via Integrating Contextual, Embodied, and Collaborative Factors
[IEEE] 2026-5-14 | MAPPR++-Net: Multi-Path Attention and Progressive Perception Refinement Plus Plus network for Infrared Small Target Detection
[IEEE] 2026-5-14 | A LiDAR-Driven Framework for Monitoring and Speed Tracking on Construction Sites
