[2026-07-10 22:59:05] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-09
正在获取论文...
[arXiv] 2026-07-09 | Infinitely many sign-changing solutions for critical Hamiltonian systems with linear perturbation
[arXiv] 2026-07-09 | Complex polar superstructure controlled thermal conductivity in ferroelectric PbTiO3/SrTiO3 superlattices
[arXiv] 2026-07-09 | Twofold universality of large-$N$ melonic random tensors
[arXiv] 2026-07-09 | Multi-Sender Bayesian Persuasion with Imperfect Information
[arXiv] 2026-07-09 | Sharp bounds for stochastic proximal and projection estimators via radial dominance
[arXiv] 2026-07-09 | Physical aging of glasses of an organic semiconductor
[arXiv] 2026-07-09 | Valley Hall viscosity in the integer quantum Hall phases of (2+1)D Dirac materials
[arXiv] 2026-07-09 | It Takes Few to TANGO: A Quantized Distributed Model for Binaural Speech Enhancement
[arXiv] 2026-07-09 | Acceleration-based clustering reveals frequent gait switching in sprint sled dogs
[arXiv] 2026-07-09 | Aclass of incrementally scattering-passive nonlinear systems
[arXiv] 2026-07-09 | Calibrated Persistent-Laplacian CUSUM for Online Change-Point Detection
[arXiv] 2026-07-09 | Preconditioned primal-dual algorithms for saddle point problems: non-ergodic convergence rates
[arXiv] 2026-07-09 | Operational meaning of Markov gap in tripartite entanglement of quantum dynamics
[arXiv] 2026-07-09 | Active galactic nuclei are not responsible for systematics in the empirical properties of type Ia supernovae
[arXiv] 2026-07-09 | Holographic Theory of Mixed-Dimensional Statistics and Conservation-Encoding Hopping-Operator Algebras
[arXiv] 2026-07-09 | Curvature-Controlled Topological Magnon Phases in a Folded Kagome Lattice
[arXiv] 2026-07-09 | Switch-Reasoner: Learn When to Think in Multitask Mixtures via Reinforcement Learning
[arXiv] 2026-07-09 | Functional dependence and synchronous coupling in ergodic autoregressions
[arXiv] 2026-07-09 | QSCOUT's Qubit-Boson Gate Set
[arXiv] 2026-07-09 | CAAD: Causality-Aware Multivariate Time Series Anomaly Detection via Multi-Scale Alignment and Structural Causal Consistency
[arXiv] 2026-07-09 | VocaDet: Sample-Driven Open-Vocabulary Object Detection and Segmentation via Visual Tokenization and Vector Database Retrieval
[arXiv] 2026-07-09 | Improving Ad-hoc Search Effectiveness for Conversational Information Retrieval via Model Merging
[arXiv] 2026-07-09 | Optimal Prediction of Resistance and Support Levels under Constant Elasticity of Variance Processes
[arXiv] 2026-07-09 | The Langevin-equation description of optomechanics with the dispersive and dissipative optomechanical coupling
[arXiv] 2026-07-09 | Stop Guessing When to Stop Testing: Efficient Model Evaluation with Just Enough Data
[arXiv] 2026-07-09 | On the Convergence of Belief Propagation for Multipath Data Association in Target Tracking
[arXiv] 2026-07-09 | A crystal-field route to THz-driven magnetization
[arXiv] 2026-07-09 | Quantum filtering and propagation of chaos for open quantum systems, with applications to quantum feedback control and quantum mean-field games
[arXiv] 2026-07-09 | Second order systems on Hilbert spaces with nonlinear damping
[arXiv] 2026-07-09 | Diffusion Models for Sampling Near Criticality in Lattice Field Theories
[arXiv] 2026-07-09 | Microscopic description of $^{12}$C+$^{12,13}$C fusion reactions at nuclear astrophysical energies
[arXiv] 2026-07-09 | Ensemble Diversity Optimization for Subjective Supervision
[arXiv] 2026-07-09 | Neural and Spectral Operator Surrogates on Gaussian Spaces
[arXiv] 2026-07-09 | The fundamental theorems of invariant theory for linearly oligomorphic groups
[arXiv] 2026-07-09 | Non-Hermitian topology driven by an identity term: An exactly solvable paradigm
[arXiv] 2026-07-09 | Applying JEPA-Style Predictive Learning to JA4-Derived Network Fingerprints
[arXiv] 2026-07-09 | Two-ends Furstenberg inequality for transversal families and applications to Fourier decay
[arXiv] 2026-07-09 | Building confidence regions for Reeb graphs using the interleaving distance
[arXiv] 2026-07-09 | Two Axes of LLM Abstention: Answer Correctness and Question Answerability
[arXiv] 2026-07-09 | Preconditioner-Based Acceleration Method for Solving EMTP Linear Equations
[arXiv] 2026-07-09 | Methods of Observing and Characterising the Ionosphere with SKA-Low
[arXiv] 2026-07-09 | An Exact Distribution-Free Test for Means of Nonnegative Random Variables
[arXiv] 2026-07-09 | A semi-analytical approach to cosmic void evolution
[arXiv] 2026-07-09 | When Synthetic Speech Is All You Have: Better Call GRPO
[arXiv] 2026-07-09 | Track2Map: Online Deformable SLAM with Motion-Aware Pose Optimization in Robotic Surgery
[arXiv] 2026-07-09 | Who Needs DRAM? We Have Fiber
[arXiv] 2026-07-09 | On Exploring Input Resolution Scaling For Anytime LiDAR Object Detection
[arXiv] 2026-07-09 | Successive Coronal Jets as Novel Facilitators for Filament Oscillation and Eruption
[arXiv] 2026-07-09 | Why Constants Matter in Distribution Testing: From Uniformity to Calibration
[arXiv] 2026-07-09 | Eigenvalue Calibration for Semantic Embeddings of Large Language Models
[arXiv] 2026-07-09 | WCog-VLA: A Dual-Level World-Cognitive Vision-Language-Action Model for End-to-End Autonomous Driving
[arXiv] 2026-07-09 | Minimum modulus for the unique multiset-sum problem
[arXiv] 2026-07-09 | A scalable version of MADD for big-data classification
[arXiv] 2026-07-09 | XALPHA: A Memory-Driven AI Quant Researcher for Hypothesis-to-Code Alpha Discovery
[arXiv] 2026-07-09 | Adaptive Row Selection Meets Asynchrony in Randomized Kaczmarz
[arXiv] 2026-07-09 | Circular Expectiles
[arXiv] 2026-07-09 | ARGUS: Accelerated, Robust, General, and Unsupervised Cell Tracking Solutions
[arXiv] 2026-07-09 | Anomalous Reflection of Caustic Spin-Wave Beams in a Magnonic Waveguide
[arXiv] 2026-07-09 | Empirical Calibration and Conditional-Reliability Diagnostics for Bearing RUL Prediction under Operating-Regime Shift
[arXiv] 2026-07-09 | Collate: Collaborative Neural Network Learning for Latency-Critical Edge Systems
[arXiv] 2026-07-09 | Beware What You Autocomplete: Forensic Attribution of Backdoored Code Completions
[arXiv] 2026-07-09 | Tool-Making and Self-Evolving LLM Agents in Low-Latency Systems
[arXiv] 2026-07-09 | Reaction-network reasoning with frontier models for experimentally confirmed catalyst-selectivity hypotheses
[arXiv] 2026-07-09 | LAP: Simple Command-line Tools for Teaching Logic, Algorithms, and Proof in Computer Science
[arXiv] 2026-07-09 | Factors Influencing Conversational Engagement in Robot-Delivered Individual Cognitive Stimulation Therapy (iCST) for Dementia in Home Settings
[arXiv] 2026-07-09 | SpO$_2$ Predictor-Guided Stage-Wise Time-Frequency Reconstruction of Low-Quality Dual-Wavelength PPG for Oxygen Saturation Estimation
[arXiv] 2026-07-09 | Deep Reinforcement Learning-Empowered Wireless Sensor Networking for 6G Closed-Loop Controls
[arXiv] 2026-07-09 | The $C^*$-algebras of locally finite undirected graphs: A complete description of their K-theory
[arXiv] 2026-07-09 | CASL-VAE: Learning Structured Latent Variables from Unpaired Data for Semi-supervised Clustering and Paired Sample Generation
[arXiv] 2026-07-09 | AutoPersonas: A Multi-Timescale Loop Engine for Open-Ended Persona Evolution
[arXiv] 2026-07-09 | Anthropogenic disturbance expands the climatic limits of annual plant dominance
[arXiv] 2026-07-09 | On the Self-adjoint properties of the standard Whittaker $(\mathfrak{g}, K)$-modules
[arXiv] 2026-07-09 | Self-Stabilizing Algorithms in the Uniform Port Model
[arXiv] 2026-07-09 | TVTA: Trajectory-Aware Viseme-Guided Temporal Aggregation for Event-Based Lip Reading
[arXiv] 2026-07-09 | Playing ZendoWorld: Challenging AI Agents on Active Visual Concept Induction
[arXiv] 2026-07-09 | Selecting Interpretable Circular Coordinates from Data
[arXiv] 2026-07-09 | Nanosecond Pulsed-Laser Treatment Couples Chloride Removal with Oxide Transformation in Salt-Corroded Carbon Steel
[arXiv] 2026-07-09 | Benchmark Evaluation of Feredated Learning on Multi-organ Images
[arXiv] 2026-07-09 | Random Utility Model with Endogenously Assigned Menus
[arXiv] 2026-07-09 | A Magnetar Engine and Circumstellar Medium Interaction: Synergistic Effects in Producing Superluminous Supernovae
[arXiv] 2026-07-09 | On the Limitations of Non-GPU AI Accelerators for Large-Model Inference: A Field Study of MoE and Multimodal Serving on Huawei Ascend
[arXiv] 2026-07-09 | On the Convergence of the Current-Constrained Power Angle Curve of Virtual Admittance-Based Grid Forming Converters
[arXiv] 2026-07-09 | Development of a Silicon-Based Ultra-Fast X-Ray Beam Size Monitor for SuperKEKB
[arXiv] 2026-07-09 | Unpaired Joint Distribution Modeling via Multi-Scale Image Representations
[arXiv] 2026-07-09 | CARPP: Parametric Radiative-Transfer Fitting of Molecular Cores from Dust Continuum Data
[arXiv] 2026-07-09 | Instability of gray solitons in a Gross-Pitaevskii model with a moving impurity
[arXiv] 2026-07-09 | Input-Constrained Spatiotemporal Tubes for Safe Navigation of Unknown Euler-Lagrange Systems in Dynamic Environments
[arXiv] 2026-07-09 | Out of Sight: Compression-Aware Content Protection against Agentic Crawlers
[arXiv] 2026-07-09 | Scalable Simulation of Strongly Correlated Electron-Phonon Systems via Non-Gaussian Matrix Product States
[arXiv] 2026-07-09 | Parameter inference for partially observed branching processes
[arXiv] 2026-07-09 | Unified Face Attack Detection via Fine-Grained Semantic Guidance
[arXiv] 2026-07-09 | DeepPySR -- A Symbolic Regression Framework with Dynamic Pruning, Pareto Selection, and Hierarchical Composition for Real-World Scientific Discovery
[arXiv] 2026-07-09 | Prismata: Confining Cross-Site Prompt Injection in Web Agents
[arXiv] 2026-07-09 | Doppler-Resilient Rydberg Atomic Receiver for High-Dynamic Communication Networks via Adaptive Local Oscillator Tracking
[arXiv] 2026-07-09 | Securing Autonomous Vehicle Systems via Twin-Aware Federated Reinforcement Learning
[arXiv] 2026-07-09 | Communication Advantages from Quantum Dense Network Coding
[arXiv] 2026-07-09 | Functional Limit Theorems for Random Least Common Multiples
[arXiv] 2026-07-09 | Understanding and Mitigating the Video-Action Generalization Gap via Temporal Ratio
[arXiv] 2026-07-09 | TTHE: Test-Time Harness Evolution
[arXiv] 2026-07-09 | Phantom crossing from the Standard Model and General Relativity
[arXiv] 2026-07-09 | Unified Analytical Model for Atomic Receivers Under Typical Quantum Interference Paths
[arXiv] 2026-07-09 | Vanilla SGD with Momentum Survives Heavy-Tailed Noise: Convergence Analysis without Gradient Clipping or Normalization
[arXiv] 2026-07-09 | Geometry-Informed Maritime Anomaly Detection Using Probabilistic Roadmaps
[arXiv] 2026-07-09 | Helically Enhanced Chiroptical Response and Symmetry Breaking in Conjugated Polymers
[arXiv] 2026-07-09 | GRE-Diff: Gaussian Room Embeddings for Structured Layout Diffusion
[arXiv] 2026-07-09 | $Z^\prime$ Portal Dark Matter with Observable $ΔN_{\rm eff}$
[arXiv] 2026-07-09 | LDFE: Laplacian Decoupled Feature Enhancement Block for Dual-Stream CNN-based RGB-IR Object Detection
[arXiv] 2026-07-09 | UAV-OVVIS: Unmanned Aerial Vehicles Also Need Open-Vocabulary Video Instance Segmentation
[arXiv] 2026-07-09 | Multi-type Sensor Placement for PDE-based Bayesian Inverse Problems
[arXiv] 2026-07-09 | Cross-Modal Generative Framework for Signal Translation from Fetal-Maternal Electrocardiograms to Fetal Doppler Waveforms
[arXiv] 2026-07-09 | (2,m)-threshold quantum data hiding
[arXiv] 2026-07-09 | Holographic Neural PCFG for Unsupervised Parsing
[arXiv] 2026-07-09 | Uniform $L^{\infty}$-Boundedness of Global Attractors for Reaction-Diffusion Equations with Neumann boundary condition in Uniformly Perturbed Non-Smooth Domains
[arXiv] 2026-07-09 | Towards Efficient Large Language Model Serving: A Survey on System-Aware KV Cache Optimization
[arXiv] 2026-07-09 | Investigation on the Relation between Active Regions' Compliance with Empirical Laws and Flare Productivity
[arXiv] 2026-07-09 | Complex curves in o-minimal geometry
[arXiv] 2026-07-09 | Active Particles Imprint Persistent Percolating Networks in Polymer Condensates
[arXiv] 2026-07-09 | Nuclear Many-Body Systems as Benchmarks for Quantum Computing
[arXiv] 2026-07-09 | What LLM Forecasters Know but Don't Say: Probing Internal Representations for Calibration and Faithfulness
[arXiv] 2026-07-09 | Local Linear Convergence of the Primal-Dual Hybrid Gradient Method for Semidefinite Programming
[arXiv] 2026-07-09 | Structured Pruning of Large Language Models via Power Transformation and Sign-Preserving Score Aggregation with Adaptive Feature Retention
[arXiv] 2026-07-09 | ASMR: Agentic Schema Generation for Ship Maintenance Report Writing
[arXiv] 2026-07-09 | Weak Poincaré Inequalities via Approximate Stochastic Localization: Application to Sampling the Sherrington-Kirkpatrick Model
[ACM] 2026-7-9 | “I like using GenAI as a tool, but with the feeling that I’m better than it”: Exploring How Students Negotiate Computing Identity in the Age of GenAI
[ACM] 2026-7-9 | Luma
[ACM] 2026-7-9 | Empowering Job Recommendation with Large Language Models: A Generative and Attentive Approach
[ACM] 2026-7-9 | Likelihood Correspondence of Toric Statistical Models
[IEEE] 2026-7-9 | Fully Screen-Printed Flexible Electrochemical Sensor Based on TiCT-CuO Nanocomposite for Simultaneous Determination of Dopamine and Uric Acid_supp1-3709062.docx
[IEEE] 2026-7-9 | IEEE Computer Science and Engineering Awards
[IEEE] 2026-7-9 | Estimating Tropospheric Delay in Spotlight Mode InSAR Data Using Multi-Squint Processing_supp1-3711538.pdf
[IEEE] 2026-7-9 | Author Index
[IEEE] 2026-7-9 | Technical Program Committee
[IEEE] 2026-7-9 | Modeling and Stability Analysis of Photovoltaic Quasi-Z-Source Inverters
[IEEE] 2026-7-9 | Real-Time Feedback-Enabled LSTM Controller for Boiler Combustion Optimization in Thermal Power Plants
[IEEE] 2026-7-9 | High-Selectivity on-Chip Wideband Bandpass Filter Based on Hybrid Resonator with Controllable Transmission Zeros
[IEEE] 2026-7-9 | Design of Coaxial-Fed Energy Selective Electromagnetic Protective Antenna
[IEEE] 2026-7-9 | Multiobjective Optimal Synthesis of Transmitting Antennas for Microwave Wireless Power Transmission
[IEEE] 2026-7-9 | Multi-timescale Energy Coordination And Multi-objective Impulse-like Cooperative Control Method For Virtual Asynchronous Machines Under Complex Dynamic Conditions
[IEEE] 2026-7-9 | Scenario Forecasting of Wind–Solar–Load and Ramping Demand Assessment Based on Key Meteorological-State Labels Under Limited Explicit Weather Data
[IEEE] 2026-7-9 | A Two-Dimensional Partial Element-Based Formulation for the Per-Unit-Length Parameter Calculation of Conductors
[IEEE] 2026-7-9 | A Conformal Transmit-Array Antenna with High Gain and 2-D Steerable Beam for UAV Radar
[IEEE] 2026-7-9 | A Genetic Algorithm-Based Optimization Method for Antenna Positioning in Transcranial Electromagnetic Stimulation
[IEEE] 2026-7-9 | Optimization Scheduling Method for Renewable Energy Accommodation in Power Grids with Deep Participation of Electrified Heating Systems
[IEEE] 2026-7-9 | X-Band Miniaturized High-Integrated Eight-Channel T/R Module Based on BGA Solder Ball Technology
[IEEE] 2026-7-9 | SCA-Net: Spectral Cross-Channel Attention Network for Carbon Emission Prediction
[IEEE] 2026-7-9 | A Review of Air Conditioning Load Modeling, Short-Term Forecasting and Ultra-Short-Term Forecasting
[IEEE] 2026-7-9 | Intent-Based Security for Edge Applications: Distributed Orchestration with Over-the-Air Updates
[IEEE] 2026-7-9 | New Fault Protection Method for Photovoltaic Access Distribution Network based on Composite Voltage Dynamic Change Index
[IEEE] 2026-7-9 | Design of an S-Band Dual-Polarized Phased Array Element
[ACM] 2026-7-10 | Privacy-Preserving GAN for Synthetic Data against Membership Inference Attack
[ACM] 2026-7-10 | Poulpe: a software-hardware toolchain to clone legacy digital circuit boards
[ACM] 2026-7-10 | Systematic Comparison and Improvement of Pre-silicon Leakage Analysis Tools
[ACM] 2026-7-10 | Compiling Linear Algebra Workloads from C to Quantum Circuits via Multi Level Intermediate Representation
[IEEE] 2026-7-9 | Evaluation of a Novel Endovascular Electrode Array for Long-Term Cortical Recording and Stimulation
[IEEE] 2026-7-9 | Research on Electromagnetic Coupling Prediction Method of Shielding Enclosures with Aperture Based on Conditional Forward Mapping Network
[IEEE] 2026-7-9 | A Small-AC-Signal Injection Based Decentralized Secondary Voltage Control Method for Multi-Bus AC Microgrids
[IEEE] 2026-7-9 | Multi-Objective Capacity Optimization of Off-Grid Multi-Energy Microgrids Based on NSGA-II
[IEEE] 2026-7-9 | 2-D Beam-Scanning Rinehart-Luneburg Lens Antenna Fed by Butler Matrix
[IEEE] 2026-7-9 | Explainable Detection and Trust-Aware Mitigation of Malicious IRS Behavior in Multi-IRS 6G Networks
[IEEE] 2026-7-9 | All-Metal Circularly Polarized Filtering Transmitarray
[IEEE] 2026-7-9 | Hybrid Electrolytic Cell Power Allocation and Hydrogen Production Optimization based on Deep Reinforcement Learning
[IEEE] 2026-7-9 | Transfer Learning and Partial Attention-Enhanced MADRL for Large-Scale P2P Energy Scheduling
[IEEE] 2026-7-9 | Design of an Angle-Selective Surface for All-Angle High-Power Microwave Protection
[IEEE] 2026-7-9 | Modulating Muscle Activation via Exoskeleton-Applied Resistive Loading During Rodent Locomotion
[IEEE] 2026-7-9 | Voltage and Frequency Control of Off-grid Multi-microgrid Based on Security Baseline and Improved PPO
[IEEE] 2026-7-9 | Enhanced EEG-Based Tracking of DMN Activity Using ICA and EEG Source Localization for a VR Psychedelic Environment
[IEEE] 2026-7-9 | Considering Spatiotemporal Mutual Support in Island Microgrid Cluster Shared Electricity-Ammonia Energy Storage Double-Layer Optimal Scheduling
[IEEE] 2026-7-9 | A Polarization Rotation Reflective Surface Based on Dielectric Resonator
[ACM] 2026-7-10 | Reasoning for IR &amp; IR for Reasoning
[ACM] 2026-7-10 | TM-Bench: Benchmarking Large Language Models on Low-Resource Traditional Mongolian
[ACM] 2026-7-10 | RegionSLM: Region-aware Question Answering on Document Screenshots
[ACM] 2026-7-10 | Retrieval-Augmented Contrastive Learning for Dynamic Graph Anomaly Detection
[ACM] 2026-7-10 | Same Frequency Begets Shared Interests: Popular-Niche Wavelet Graph Learning for Multimodal Recommendation
[ACM] 2026-7-10 | EasyRAG: A Beginner-Friendly and Interactive Framework for Retrieval-Augmented Generation
[ACM] 2026-7-10 | ProEchoMem: Enhancing Long Video Understanding via Multi-Trace Probe-Echo Memory
[ACM] 2026-7-10 | Multimodal Large Language Models with Adaptive Preference Optimization for Sequential Recommendation
[ACM] 2026-7-10 | SciCheck: Reasoning Distillation for Biomedical Claim Verification
[ACM] 2026-7-10 | Generation-Augmented Video Corpus Moment Retrieval
[ACM] 2026-7-10 | Uniboost: Global Coordination with Value Alignment for Fair and Efficient Traffic Allocation
[ACM] 2026-7-10 | Surface-Form Neural Sparse Retrieval: Robust Fuzzy Matching for Industrial Music Search
[ACM] 2026-7-10 | Agentic Search in the Wild: Intents and Trajectory Dynamics from 14M+ Real Search Requests
[ACM] 2026-7-10 | When and How to Ask: Dynamic Preference Elicitation Strategies for Conversational Recommendation
[ACM] 2026-7-10 | Too Many Questions: Deriving Concise and Effective Nugget Banks
[ACM] 2026-7-10 | Search for Coverage: Learning Coverage-Aware Retrieval with Augmented Sub-Question Answerability
[ACM] 2026-7-10 | mKG-RAG: Leveraging Multimodal Knowledge Graphs in Retrieval-Augmented Generation for Knowledge-intensive VQA
[ACM] 2026-7-10 | UGenLah: A Human-in-the-loop Agentic Paradigm for Game Development
[ACM] 2026-7-10 | Human Digital Twins for Sharing and Accessing Tacit Knowledge in University Research Labs
[ACM] 2026-7-10 | Adjunct Proceedings of the 5th Annual Symposium on Human-Computer Interaction for Work
[IEEE] 2026-7-10 | A Resonant Mechanism Study for the Impact of Stent Length on MRI RF-Induced Heating
[IEEE] 2026-7-10 | Optimizing Charging Station Deployment in Croatia to Support EV Growth and EU Regulations
[IEEE] 2026-7-10 | Simple Equational Modeling and Swarm Intelligence Based 3D Path Planning Over Large-Scale Complex Mountain Terrain with Irregular Topology
[IEEE] 2026-7-10 | Mission-Aware SBOM Vulnerability Triage with KEV/EPSS and LLM-Based VEX Drafting
[IEEE] 2026-7-10 | Automated Selective Color-wise Colony Counting on Spread Plates using Deep Learning and Human-in-the-loop Integration
[IEEE] 2026-7-10 | Answer Set Programming for Bus Route Finding: A Case Study in Bangkok, Thailand
[IEEE] 2026-7-10 | Experimental Measurement of Magnetic Flux Exposure on Dielectric Material Structure
[IEEE] 2026-7-10 | Noise Source Localization with Sparse Magnitude-Only Magnetic Field Measurements Using KNN Algorithm
[IEEE] 2026-7-10 | Investment strategies for energy infrastructure on the southern Norwegian Continental Shelf
[IEEE] 2026-7-10 | Technical Standards for Grid-Forming Control of MVDC Converter Stations in Urban Distribution Networks
[IEEE] 2026-7-10 | Design of GaN HEMT ANPC Power Module with Low Parasitic Inductances
[IEEE] 2026-7-10 | Comparative study of quantum-based parallel and coordinated distributed temporal aggregation for capacity expansion planning
[IEEE] 2026-7-10 | Grid-Forming Characterization in DC Microgrids
[IEEE] 2026-7-10 | Characterisation of Emissions and Impedances up to 150 kHz of Power Electronics-Based DC Loads for Low-Voltage DC Grids
[IEEE] 2026-7-10 | Detection of Cercospora Leaf Spot in Okra Using Deep Learning
[IEEE] 2026-7-10 | Machine Learning Based Integrated Solution for Smart Pepper Farming in Sri Lanka
[IEEE] 2026-7-10 | Research on Bidirectional Active Balancing System for Large-Capacity Lithium Battery Pack Based on DAB Converter
[IEEE] 2026-7-10 | Influence of Geometric Parameters on MRI Gradient-Field Heating: A Simulation Study on Size and Shape Effects
[IEEE] 2026-7-10 | Adaptive Strategic Intelligence Enabled by Machine Learning in Dynamic Markets
[IEEE] 2026-7-10 | 2026 IEEE European Test Symposium (ETS)
[IEEE] 2026-7-10 | A Unified Multimodal Edge AI Smart Assistive Stick for Visually Impaired Users
[IEEE] 2026-7-10 | Implementation and Performance Evaluation of a 100 Gbps Network Link on Thailand’s National Research and Education Network
[IEEE] 2026-7-10 | Data-Driven Insights into Sleep Quality and Health Using Bioinformatics
[IEEE] 2026-7-9 | Wireless-Powered Flexible Bioelectronic Implants with Deformation-Aware Optimization
[IEEE] 2026-7-10 | Investing in Batteries or Choosing Tolling? Storage Strategies for Risk-Aware PPA Portfolios in Renewable Energy Communities
[IEEE] 2026-7-10 | Explainable NLP-Based Depression Detection from Social Media Text Using Machine Learning and LIME Interpretability
[IEEE] 2026-7-10 | Integrating Electrified Ports into the Power Grid: The Impact of Grid Tariffs and Flexibility
[IEEE] 2026-7-10 | Economic Analysis of Demand Management Strategies Using HOMER Pro® Deferrable Load: Case Study of a Productive Use of Energy Microgrid in Kwale Island Tanzania
[IEEE] 2026-7-10 | A Hybrid LSTM-Based Model for Stock Price Prediction Using Sentiment Analysis and Volatility Features
[IEEE] 2026-7-10 | Personalized Nutrition Recommendation Based on Ayurveda Using Semi-Supervised Learning
[IEEE] 2026-7-10 | Network Reliability Assessment for Manufacturing Systems with Binning
[IEEE] 2026-7-10 | Taking flexibility into account when optimally assigning actors to collective self-consumption communities
[IEEE] 2026-7-10 | Planning Relay Networks That Avoid Enemy Line-of-Sight and Maximize Angles Between Links and Enemies
[IEEE] 2026-7-10 | From Flash Density to Field Reliability: A Population-Weighted Distance Effect Model for Lightning-Induced Surge Exposure Characterization
[IEEE] 2026-7-10 | Fault Model-Driven Formal Verification of Cryptographic Hardware Against Fault Attacks
[IEEE] 2026-7-10 | How Testing must change in the age of AI processors, Silent Data Corruption Failures and 100s of Chiplets
[IEEE] 2026-7-10 | Strategic BESS Operation under Uncertainty: Balancing Immediate Revenue Capture against Longterm Degradation in the Spanish Market
[IEEE] 2026-7-10 | Uncertainty Evaluation of Calibration Factor for Magnetic Field Probe Under Microstrip Line
[IEEE] 2026-7-10 | Operator-User Cost Trade-offs in Sweden’s Future EV Charging System
[IEEE] 2026-7-10 | Do EPAD Prices Reflect Zonal Price Spreads? A Panel Mincer–Zarnowitz Analysis of the Nordic Market
[IEEE] 2026-7-10 | Feature Extraction and Classification Algorithm for Identification of Ball Fault of Bearing in Induction Motor
[IEEE] 2026-7-10 | Energy Router for Multi-ASD DC Buses
[IEEE] 2026-7-10 | Optimizing Hydropower Scheduling in Nordic Electricity Markets through Deep Learning
[IEEE] 2026-7-10 | Modified End Bonding of Cross-Bonded Cables Terminated at Non-Uniform Minor Sections
[IEEE] 2026-7-10 | TFBF: Temporal-Frequency Bidirectional Fusion for Action Quality Assessment
[IEEE] 2026-7-9 | Enhancing Generalization for Blurred UAV Images: An Improved Method for Forest Pest and Disease Detection
[IEEE] 2026-7-10 | Multi-source Data Fusion-Driven High-Frequency Electric Vehicles Trajectory Reconstruction with Segment-Level Traffic Conditions
[IEEE] 2026-7-10 | Using English-based NLP Tools for Domain-specific Text in Foreign Languages
[IEEE] 2026-7-10 | Design and Experimental Evaluation of a Bidirectional Magnetic Soft Diaphragm Pump_supp3-3703007.mp4
[IEEE] 2026-7-9 | Deep Learning-based Filtering for Video Coding: A Survey on Architectures, Algorithms, and Complexity Analysis
[IEEE] 2026-7-10 | ShallowNet: A Lightweight Neural Network Approach for Efficient Flow-Level DDoS Detection
[IEEE] 2026-7-9 | Building Minimum-Power Digital Circuits With Sub-Femtowatt Dynamic Leakage-Suppression Logic Standard Cells
[IEEE] 2026-7-10 | Golden-Style Graph Alignment for Cross-Dataset EEG Emotion Recognition
[IEEE] 2026-7-10 | Phase-Modulated Dual-Frequency Fiber Lasers: A Power Scalable and Temporally Stable Architecture for High-Power Systems With Enhanced Nonlinearity Suppression
[IEEE] 2026-7-10 | Enhancing Power Distribution System Resilience through Insurance Mechanisms: An Insurer Optimization Approach with V2G Aggregator Participation
[IEEE] 2026-7-10 | Optimizing Nursing Care Taxi Dispatch Leveraging Integer Linear Programming Solvers and Machine Learning
[IEEE] 2026-7-9 | Energy-Optimal Spatial Iterative Learning within a Virtual Tube
[IEEE] 2026-7-10 | Radar Micro-Doppler Rotor Feature Extraction Based on Hybrid Cost Function and Dwell Penalty Mechanism
[IEEE] 2026-7-10 | Short-Packet Covert Communication in Underlay Cognitive Radio Networks With Multiple Wardens
[IEEE] 2026-7-10 | Monitoring of Upper-Limb Functional Movements After Stroke: Optimizing Threshold-Based Detection with Inertial Measurement Units
[IEEE] 2026-7-10 | Integrated Sensing and Communication in 6G: A Comprehensive Survey of Use Cases, Enabling Technologies, Standardization Roadmap, and Monetization Frameworks
[ACM] 2026-7-10 | Proceedings of the Genetic and Evolutionary Computation Conference
[ACM] 2026-7-10 | A Comparative Study of Model Selection Criteria for Symbolic Regression
[IEEE] 2026-7-9 | A Service-Based Management Architecture for Intelligent Cross-Domain Orchestration in 6G Networks
[IEEE] 2026-7-9 | Efficient Many-to-Many MRI Modality Translation via a Latent-Conditioned Vector-Quantized Network*
[IEEE] 2026-7-9 | Capacity Configuration Planning of a Photovoltaic–Storage–Hydrogen Integrated Energy System Based on Game Theory
[IEEE] 2026-7-9 | Cortical Dynamics Underlying Team Performance in Human-Robot Collaborative Work Under Varying Task Demand
[IEEE] 2026-7-9 | Sub-Synchronous Oscillation Suppression Strategy for Direct-Drive Wind Power Grid-Connected System Based on Passivity Shortage Theory
[IEEE] 2026-7-9 | An Additively Manufactured Wideband and High-Gain Circularly Polarized Magneto-Electric Dipole Antenna for V-Band Applications
[IEEE] 2026-7-9 | Design of UWB Antenna Based on Modal Significance Neural Network
[IEEE] 2026-7-9 | Physics-Constrained Spatio-Temporal Graph Transformer for Distribution System State Estimation with Missing Measurements
[IEEE] 2026-7-9 | Volt-VAR Optimization in Distribution Networks via Hierarchical Deep Reinforcement Learning and Dynamic Horizon Truncation
[IEEE] 2026-7-9 | Research on Adaptive Dual-Terminal Differential Protection for Distribution Networks Integrated with Distributed Generators
[IEEE] 2026-7-9 | Quantum Current Detection and State Monitoring Technology for Power Grid Energy Storage Batteries Based on NV Centers
[IEEE] 2026-7-9 | An Anchor-Free Detection Network for Power System Electronic Components via Edge-Enhanced Preprocessing
[IEEE] 2026-7-9 | Research on Day-ahead Optimal Scheduling and Robustness of Large-scale Industrial and Virtual Power Plants Based on Deep Reinforcement Learning
[ACM] 2026-7-10 | Proceedings of the 23rd ACM International Conference on Computing Frontiers: Workshops and Special Sessions
