[2026-07-28 22:58:28] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-27
正在获取论文...
[arXiv] 2026-07-27 | Spectral aspects of random heavy-tailed tensors
[arXiv] 2026-07-27 | The cyclic diagnosability of Cayley graphs generated by transposition triangle-free unicyclic graphs under the PMC and MM* models
[arXiv] 2026-07-27 | SyRuP: Enhancing System-Prompt Following via Reward-Guided Prediction in LLM Decoding
[arXiv] 2026-07-27 | Scaling a CUDA-Q GQE + QSCI pipeline to 40 qubits for EUV photoresist chemistry
[arXiv] 2026-07-27 | Adaptive Data Admission and Retention for Streaming Federated Learning
[arXiv] 2026-07-27 | MEMOIR: Temporal Behavioral Memory for Recommendation Across the Preference-Drift Spectrum
[arXiv] 2026-07-27 | Moral Hazard in Multi-Agent Language Models
[arXiv] 2026-07-27 | Sharp small-deviation inequalities for sums of independent nonnegative random variables
[arXiv] 2026-07-27 | Tag Questions and the Generational Reversal of Sycophancy Across 45 Language Models
[arXiv] 2026-07-27 | Sharp Minimax Rates for Smooth Two-Sample Testing under Central Differential Privacy
[arXiv] 2026-07-27 | Color Fundus Photography Analysis: Co-evolution of Data, Preprocessing, and Modeling toward Multimodal AI
[arXiv] 2026-07-27 | EviBack: Search-Agent Reinforcement Learning via Evidence-Constrained Teacher Backoff
[arXiv] 2026-07-27 | Manifold-Constrained Noise Optimization for Diverse Diffusion Sampling
[arXiv] 2026-07-27 | DECAF: De-Clustering for Adaptive Representational Unlearning
[arXiv] 2026-07-27 | Greedy dynamical meta-learning
[arXiv] 2026-07-27 | Scalable No-Stockout Charging Scheduling for Battery Swapping Under Time-of-Use Prices
[arXiv] 2026-07-27 | Corner contributions to Neumann jump determinants: three model calculations and a BFK conjecture
[arXiv] 2026-07-27 | SHARE: Towards Head-Mounted AR with User-Centric SLAM in Shared Human-Robot Workspaces
[arXiv] 2026-07-27 | Embodied GPT-5.1: Evidence of a World Model?
[arXiv] 2026-07-27 | Biangular lines with angles arccos(1/5) and arccos(3/5)
[arXiv] 2026-07-27 | Brauer Relations for Symmetric Groups: Young--Wreath Quotients and the n-Cycle Mark Obstruction
[arXiv] 2026-07-27 | ViDS: Video Diffusion Shader using 3D Face Tracking
[arXiv] 2026-07-27 | Optimal bounds for the ratio of differences of quadratic, arithmetic, and harmonic means
[arXiv] 2026-07-27 | Nonlinear Model Reduction of Complex Networks via Spectral Submanifolds
[arXiv] 2026-07-27 | A Case Study on the Acceptance of a Humanoid Robotic Head Employed in Three Public Spaces
[arXiv] 2026-07-27 | Atomic-scale phase-field modeling with dopants: Stochastic self-consistent harmonic approximation with fractional site occupancy
[arXiv] 2026-07-27 | MemChain: Learning Interpretable Memory Traces for Memory-Augmented LLM Agents
[arXiv] 2026-07-27 | Time-refined Triebel--Lizorkin Estimates and Applications to Keller--Segel Type Equations
[arXiv] 2026-07-27 | When Low CER is Not Enough: An Analysis of Hallucinations in Vision-Language OCR Systems on Historical Uruguayan Documents
[arXiv] 2026-07-27 | LLM-Based vs. Lexicon-Based Sentiment Signals for Tail-Risk Detection in Meme Stocks
[arXiv] 2026-07-27 | Quantum entanglement within quarkonium
[arXiv] 2026-07-27 | A multi-physics structure-preserving integrator with uniform error bounds for relativistic charged-particle dynamics under strong magnetic fields
[arXiv] 2026-07-27 | Shock breakout from mildly relativistic ejecta in a dense wind: the case of EP260321a/SN~2026gzf
[arXiv] 2026-07-27 | WARL: Wrench-Augmented Reinforcement Learning for Task-Agnostic Learning in Legged Robots
[arXiv] 2026-07-27 | Systematic Parameter Optimization of Quantum Molecular Dynamics Models for Hadron Therapy Using Multi-Ion Fragmentation Data
[arXiv] 2026-07-27 | MoLGE: Mixture of Language Group Experts for Efficient Scaling of Massively Multilingual Speech Recognition
[arXiv] 2026-07-27 | DailyBench: A Unified Benchmark for AI-Generated and Manipulated Images from Modern Generative Models
[arXiv] 2026-07-27 | AptAvatar: Fast and Vivid Long-Form Audio-Driven Video Generation for Production-Ready Avatars
[arXiv] 2026-07-27 | Non-radial solutions for the quasi-linear Hénon type $N$-Laplacian Liouville equation
[arXiv] 2026-07-27 | ContainmentBench: Trace-Based Evaluation of Post-Injection Containment in Tool-Using LLM Agents
[arXiv] 2026-07-27 | Simulation-consistent Estimation of the Marginal Likelihood for Block Models
[arXiv] 2026-07-27 | Nature of Cr Segregation in FCC to BCC quenched Fe-12Cr Alloy, with Post-Quenching Heat Treatment: A Positron Annihilation Study
[arXiv] 2026-07-27 | Quality-Adaptive Multi-UAV 3D Reconstruction with Sparse Workload Redistribution
[arXiv] 2026-07-27 | Beam-Domain Channel Estimation for mmWave MIMO using Sub-6 GHz Out-of-Band Information
[arXiv] 2026-07-27 | Accessing Few-Layer CrI$_3$ Magnetoelasticity Through Bulk Single Crystals
[arXiv] 2026-07-27 | Two-Layer Drawings with a Tree on Top: Vertex Splits and Fixed-Parameter Algorithms
[arXiv] 2026-07-27 | FloAff-Kitchen: Bridging Navigation and Manipulation via Canonical and Progressive Floor Affordance Learning
[arXiv] 2026-07-27 | Probing an Intermediate-Mass Black Hole Companion of Sagittarius A* with Pulsar Timing
[arXiv] 2026-07-27 | Grid-Forming Enhanced STATCOMs for Wind Power Plant Stability: Design, Modeling, and Control
[arXiv] 2026-07-27 | Not Forgotten: Implementation and Evaluation of a Personalized Episodic Memory for the Humanoid Robot Head Kim
[arXiv] 2026-07-27 | UniGen-AR: Unifying Visual Generation with Auto-Regressive Modeling
[arXiv] 2026-07-27 | Inference on counterfactual distributions using martingale posteriors
[arXiv] 2026-07-27 | The Payne Zero Project I: Stellar Spectra from Physical Models in Seconds
[arXiv] 2026-07-27 | Sensor-Limited Observability and Carrier-Induced Reachability of Low-Order Rotor-Coupled NVH in Production Electric Drives: A Magnetic Co-Energy, Gramian, and Active Projection Framework for Production-Signal Feasibility Analysis
[arXiv] 2026-07-27 | MAPLE: Efficient and Diverse Multi-Alpha Generation for Portfolio Construction
[arXiv] 2026-07-27 | Tree Tensor Network Reservoir Computing: Hierarchical Ensemble with Invariant Phase Boundaries
[arXiv] 2026-07-27 | Optimal Rank Selection for Nonnegative Matrix Factorization via $\ell_{2,0}$-Norm Regularization
[arXiv] 2026-07-27 | A Bogoliubov-ratio framework for quantum-information diagnostics of time-dependent two-mode Boson Hamiltonian
[arXiv] 2026-07-27 | Test-particle dynamics in a noncommutative deformation of Einstein-Rosen waves
[ACM] 2026-7-27 | Deep-Learning Reconstruction Method of Discrete Sparse Spectra with Hybrid Physical-Constraint Loss and Asymmetric Pooling
[IEEE] 2026-7-27 | AI Virtual Mouse: Real-Time Hand Tracking and Color-based Gesture Control
[IEEE] 2026-7-27 | A Dual-Tier Edge-Cloud Architecture for Real-Time Basketball Activity Recognition and Fatigue Monitoring
[IEEE] 2026-7-27 | Research on Pose Uncertainty-Aware Re-Identification Framework for Occluded Person
[IEEE] 2026-7-27 | Retrieval-Augmented Concept Erasure in Diffusion Models
[IEEE] 2026-7-27 | Multimodal image fusion network based on 2D DFT and CNN
[IEEE] 2026-7-27 | Automatic Detection of Walnut Kernel and Shell Using Computer Vision: A Comparative Study
[IEEE] 2026-7-27 | Structure-Preserving Frequency-Aware Generative Network for Robust Image Super-Resolution
[IEEE] 2026-7-27 | Bed-Falling Early Warning Algorithm Based on an Improved Lite-HRNet
[IEEE] 2026-7-27 | From Voice of Regulation to Robust Design Utilizing QFD and Taguchi Methods to Translate P&amp;ID Requirements into GD&amp;T Schemes for Process Equipment
[IEEE] 2026-7-27 | Federated Deep Learning for Privacy-Preserving Edge Intelligence in 6G Networks
[IEEE] 2026-7-27 | HRSL-Swin: Huber Relative Square Loss Guided Swin Transformer for Leukemia Classification from Blood Smear Images
[IEEE] 2026-7-27 | Leveraging Large Language Model Agents for Autonomous Software Testing and Intelligent Automation
[IEEE] 2026-7-27 | Ru’ya: A Lightweight AI Model for UAV-Based Crowd Detection and Monitoring
[IEEE] 2026-7-27 | Semantic Slot-Guided Multi-Channel Reasoning for Zero-Shot Video Moment Retrieval
[IEEE] 2026-7-27 | Method for Distributed Data Security Sharing and Recovery of Electric Power Information System
[IEEE] 2026-7-27 | IEEE Membership
[IEEE] 2026-7-27 | A Dual-Polarized Flat Lens Multibeam Antenna with Wide-Angle Beam Steering and Low Gain Roll-Off for Millimeter-Wave Applications
[IEEE] 2026-7-27 | Semantically-Guided Hydro-Synthesis for Mitigating Severe Inundation Visual Paucity in Vision-Based Urban Flood Monitoring Using Latent Diffusion Models
[IEEE] 2026-7-27 | Secure Consensus in Topology-Switching Multi-Agent Systems under DoS Attacks via Observer-Based Dynamic Event-Triggered Control
[IEEE] 2026-7-27 | A Multi-Segment based Adaptive Droop Control for Optimal Power Sharing in Renewable-Dominated Microgrids
[ACM] 2026-7-27 | Where Does the Foundation Come From?
[ACM] 2026-7-27 | EviDex: Provenance-Weighted Evidence-Path Indexing for Fresh and Auditable Retrieval under Continuous Updates
[IEEE] 2026-7-27 | Energy-Aware Self-Sustaining Solar-Powered UAV Swarm in Dense Urban 6G Networks With Laser WPT
[IEEE] 2026-7-27 | MambaMTSC: A Unified State-Space Modeling Framework for Multimodal and Multi-Task Semantic Communication
[IEEE] 2026-7-27 | Region-of-Interest Beamforming with Time-Domain Matrix Filters
[IEEE] 2026-7-27 | Full-Ocean-Depth Biomimetic Robot Driven by a Multimodal Piezoelectric Actuator
[IEEE] 2026-7-27 | 2026 9th International Conference on Image and Graphics Processing (ICIGP)
[IEEE] 2026-7-27 | Reconfigurable Holographic Surface Enhanced Millimeter-Wave NOMA Communication
[IEEE] 2026-7-27 | Table of Contents
[IEEE] 2026-7-27 | Mobility-Aware Fusion for Robust Short-Term Spectrum Prediction in Mobile Autonomous Systems
[ACM] 2026-7-28 | Exploring Lifelog Memories in VR: The Impact of Map-View Perspectives on Spatial Recall
[IEEE] 2026-7-27 | A Modular Low-Cost Myoelectric Prosthetic Hand
[IEEE] 2026-7-27 | An Explainable QPSO-Enhanced Hybrid Vision Transformer for Early-Stage Cancer Detection Using Multimodal Data
[ACM] 2026-7-28 | Foundations of Machine Learning: Models, Methods, and Evaluation
[IEEE] 2026-7-28 | Synergistic Authentication in Beam Alignment for Secure MmWave Communications_supp1-3714802.pdf
[IEEE] 2026-7-28 | 2026 11th International Conference on Computer and Communication Systems (ICCCS)
[IEEE] 2026-7-28 | URD-YOLO: An Improved YOLO Framework for Underwater Object Detection
[IEEE] 2026-7-28 | Federated Cloud Learning Model for Privacy-Preserving Skin Cancer Detection Using Image Processing
[IEEE] 2026-7-28 | Design and Implementation of a Low power Phase Locked Loop in 45nm CMOS Technology
[IEEE] 2026-7-28 | AST-LO: Enhanced LiDAR Odometry With Alternant Long-Term Spatiotemporal Ground Constraint
[IEEE] 2026-7-28 | Toward AI-Governed Smart Educational Networks: A Policy-Based Firewall for User and Device Control
[IEEE] 2026-7-28 | A Legal Relation Identification Model for Ecological and Environmental Violation Cases Integrating Legal Rule Constraints and Graph Contrastive Learning
[IEEE] 2026-7-28 | A Comparative Study of LDA and BERT-Based Topic Modeling on Indonesian YouTube Protest Discourse
[IEEE] 2026-7-28 | Hardware-Aware TinyML for Energy-Efficient Cataract Detection in Ophthalmology on Edge Devices
[IEEE] 2026-7-28 | Cross-Silo Federated Diffusion Models for Robust Multi-Institutional Medical Image Augmentation and Domain Generalization
[IEEE] 2026-7-28 | IG-Guided Synonym Substitution Attacks on IndoBERT AI Detection Across Domains
[IEEE] 2026-7-28 | Book Online Recommendation Based on BERT Semantic Feature Extraction and Transformer Temporal Modeling
[IEEE] 2026-7-28 | GraphLawPH: Benchmarking GNN Architectures for Task-Specific Knowledge Discovery in Philippine Statutes
[IEEE] 2026-7-28 | Understanding Optical and SAR Feature Interactions through Explainable Transformer-Based Fusion Models*
[IEEE] 2026-7-28 | A Hybrid Machine Learning Framework for Accurate Sales Demand Forecasting
[IEEE] 2026-7-28 | Adversarial Training-Based Lightweight DRL Authorization Control Method with User Identity Management
[IEEE] 2026-7-28 | Adaptive 3DGS via Geometric Priors
[IEEE] 2026-7-28 | Employing Artificial Intelligence Technologies to Enhance National Identity among First Cycle Students
[IEEE] 2026-7-28 | UANet: Unified Prompt and Adaptive Threshold for Few-Shot Semantic Segmentation
[IEEE] 2026-7-28 | IEEE Power Electronics Society Publication Information
[IEEE] 2026-7-28 | Point-of-Care Prostate Cancer Diagnostics: Fabrication and Performance of a Paper-Based Electrochemical Sensor
[IEEE] 2026-7-28 | Aerial IRS Deployment-Aided Secure Computation Offloading Against DISCO Jamming Attacks
[IEEE] 2026-7-28 | Adaptive Fuzzy Tactile Servoing on Soft Surfaces With a Multimodal Tactile Sensor_supp1-3717172.mp4
[IEEE] 2026-7-28 | BERT-HemoPep60: Transformer-based Deep Learning Method with Domain-Adaptive Pretraining for Quantitative Hemolytic Activity Prediction of Peptides
[IEEE] 2026-7-28 | Kernel PCA-Assisted Compressed Sensing for Underwater Acoustic Channel Estimation Under Weak Non-Gaussian Noise
[IEEE] 2026-7-27 | Isolation Enhancement of Wideband Metasurface Filtering Antenna Using Dual Shorting-Stubs Decoupling Structure
[IEEE] 2026-7-27 | Dynamic Event-Triggered Gain-Scheduled Output Feedback Control for LPV Systems With Application to Morphing Aircraft
[IEEE] 2026-7-28 | GCDance: Genre-Controlled Music-Driven 3D Full Body Dance Generation_supp1-3710113.pdf
[IEEE] 2026-7-28 | Optimal Sizing of Electric Truck Fleet Considering Energy-Logistics Coupling
[IEEE] 2026-7-28 | ResQTank: An Embedded LiDAR-SLAM System for Real-Time Indoor Mapping and Navigation
[IEEE] 2026-7-28 | IEEE Computer Society: Computer Science &amp; Engineering Awards
[IEEE] 2026-7-28 | High-Precise Time Synchronization in Edge Computing Platforms: Experience and Implementation
[IEEE] 2026-7-28 | TP-D3QN: A Topology-Aware Intelligent Network Slicing Framework for Heterogeneous Immersive Applications
[IEEE] 2026-7-27 | HAIMNet: A Hierarchical Adaptive Interaction Modulation Network for Low-Light Image Enhancement
[IEEE] 2026-7-27 | Subcritical Shift of Brain Dynamics in Patients with Chronic Stroke: Evidence from Resting-State EEG
[IEEE] 2026-7-28 | Machine Learning Detection of Multiple Cancers Using 5hmC at Mutation Hotspots
[IEEE] 2026-7-28 | Table of Contents
[IEEE] 2026-7-28 | Reliability Evaluation Framework for Adversarial Defense Methods in Industrial Intelligent Models
[IEEE] 2026-7-28 | Symmetry Breaking for Parallel Machine Scheduling with Compressing Processing Times
[IEEE] 2026-7-27 | IGDA-ICMH: an Importance Guided Feature and Network Dual Adaptation Framework towards Image Compression for Machine and Human Vision
[IEEE] 2026-7-28 | An Intelligent Feature Fusion Approach for Accurate Mental Health Disorder Prediction Using Machine Learning
[IEEE] 2026-7-28 | A Lightweight CNN-Based Digit Recognition System from Video Frames
[IEEE] 2026-7-28 | A Method for Accuracy Detection of Filter Rod Transmitter and Receiver Data Considering Time Series
[IEEE] 2026-7-28 | IEEE Magnetics Society Information
[IEEE] 2026-7-28 | Robust Dynamic Topology Tracking for Active Distribution Networks Under Missing Measurements and Data Distribution Shifts
[IEEE] 2026-7-28 | Front Cover
[IEEE] 2026-7-28 | Introducing IEEE Collabratec
[IEEE] 2026-7-28 | Table of Contents
[IEEE] 2026-7-28 | Review for "Performance Assessment of the Vertical Wind Profile from Doppler Lidar Using Accumulated Spectra"
[ACM] 2026-7-27 | Experimental Study on System-Level Performance Impact of Read Disturbance in Modern SSDs
[ACM] 2026-7-27 | SageServe: Optimizing LLM Serving on Cloud Data Centers with Forecast Aware Auto-Scaling
[ACM] 2026-7-27 | Janus: A Dual-Mask Attention Transformer for Log-based Anomaly Detection in Cellular Networks
[ACM] 2026-7-27 | Access Controlled Website Interaction for Agentic AI with Delegated Critical Tasks
[IEEE] 2026-7-27 | Predictive Lightweight MARL for Resilient Coverage in Sparse-Signaling Aerial Networks
[IEEE] 2026-7-27 | Regularized Schrödinger Bridge via Distortion-Perception Perturbation for High-Fidelity Speech Enhancement
[IEEE] 2026-7-27 | Learning Footstep Constrained Policies Guided by Linear Inverted Pendulum Model for Humanoid Robots_supp1-3716627.mp4
[IEEE] 2026-7-27 | LiDAR-Anchored Collaborative Distillation for Robust 2D Representations
[IEEE] 2026-7-27 | Cognitive Radar Anti-Jamming via Synergistic Frequency-Polarization Adaptation
[IEEE] 2026-7-27 | Joint Load Balancing and Transmit Power Control for Energy Efficiency Maximization in the Satellite-Cell-Free Massive MIMO Uplink
[IEEE] 2026-7-27 | SAR Radiometric Cross-Calibration Using Man-Made Point Targets with EM Simulation-Driven Anisotropic RCS Correction
[IEEE] 2026-7-27 | EchoGuard: ML based Early Warning System for Silent Software Project Failures
[IEEE] 2026-7-27 | Integrated Ground Navigation and Air Traffic Control System for the Entire Airport Operations Process
[IEEE] 2026-7-27 | A Sensor-Data–Driven Computational Approach for Gait Phase Detection in Foot Drop Assist Devices
[IEEE] 2026-7-27 | HECL-VAD: A Video Anomaly Detection Method Based on Hard and Easy Sample Contrastive Learning
[IEEE] 2026-7-27 | A Hybrid Security Framework for Privacy Preservation and Intrusion Detection in Cloud Computing
[IEEE] 2026-7-27 | Design and RF Performance Validation of a New Miniature Rectangular Waveguide Flange for Millimeter-Wave Frequencies and Above
[IEEE] 2026-7-27 | Machine Guarding and Engineering Safety Controls in Industrial Equipment: A Systematic Review
[IEEE] 2026-7-27 | Interlaboratory Comparison and Reproducibility of On-Wafer $S$-Parameter Measurements Up to 220 GHz
[IEEE] 2026-7-27 | MV-FORMER: A Multi-View Transformer Framework for Interpretable Breast Cancer
[IEEE] 2026-7-27 | FlexiShader: Decoupled and Adaptive Shading for 3D Gaussian Splatting
[IEEE] 2026-7-27 | Software Defect Prediction Model Based on XGBoost with Recursive Feature Elimination
[IEEE] 2026-7-27 | SPAR: A Structure-Preserving Adaptive Retinex Framework for Clinical X-Ray Image Enhancement
[IEEE] 2026-7-27 | A Logistics Co-Optimization Model for Lunar Colony Construction Based on Robust Mixed-Integer Programming
[IEEE] 2026-7-27 | Detection and Resolution of Low-Contrast Local Defects Using an Electromagnetic Jet Lens Applied to RF Shielding Materials
[IEEE] 2026-7-27 | EM-Assisted Open-Short De-Embedding Technique for 16-nm FinFET Technology
[ACM] 2026-7-28 | Make or Take: How Students Navigate Self-Created and Instructor-Provided Cheat Sheets
[IEEE] 2026-7-28 | A Packaging Scheme Enabling Resonant Frequency Tuning and Magnetic Shielding for Electromagnetic Vibration Energy Harvesters Toward Industrial Applications_supp1-3548075.pdf
[IEEE] 2026-7-28 | A Unified Automated Synthesis Framework for On-Chip Lumped-Element RF Broadband Bandpass Filters
[IEEE] 2026-7-28 | Two-Stage Deep Learning for Hybrid Beamforming in UCA Near-Field With Imperfect CSI
[IEEE] 2026-7-28 | Power-Optimal Scheduling in URLLC with Statistical Delay and Reliability Constraints
[IEEE] 2026-7-28 | A Survey for LLM Agent Trajectory Analysis: From Failure Attribution to Enhancement
[IEEE] 2026-7-28 | AS-FL: Accumulator and Signature-Based Federated Learning with Weight Aggregation
[IEEE] 2026-7-28 | Dynamic Route Optimization for High-Volume Logistics Using Risk-Aware Multi-Objective Path Reassignment
[IEEE] 2026-7-28 | Securing Smart Implantable Cardioverter Defibrillators Against DDOS Attacks : A SIEM &amp; IAM Framework
[IEEE] 2026-7-28 | Explainable Machine Learning with Rule-Based Recommendation System for Smart Contract Reentrancy Vulnerability Detection
[IEEE] 2026-7-28 | DLTformer: A Global–Local Collaborative Transformer Framework for Remote Sensing Change Detection
[IEEE] 2026-7-28 | Autonomous Financial Intelligence: A Systematic Synthesis of Agentic AI Paradigms in Banking and Capital Markets
[IEEE] 2026-7-28 | Prediction of Vehicle Acceleration Response Based on XGBoost
[IEEE] 2026-7-28 | Dynamic Governance Technology for Power Knowledge Warehouse Based on Multi-System Data Collaboration under Microservice Architecture
[IEEE] 2026-7-28 | Explainable Stacking Ensemble with Nonlinear Meta-Learners for MSME Performance Prediction in Emerging Markets
[IEEE] 2026-7-28 | Multi-Objective Genetic Algorithm-Based Joint Routing and Scheduling for Time-Sensitive Traffic in Satellite Formations
[IEEE] 2026-7-28 | Hybrid Machine Learning and Deep Learning Approach for Minimum Airfare Prediction
[IEEE] 2026-7-28 | NLP-Based Multilingual Retrieval-Augmented Generation System for Government Welfare Scheme Recommendation
[IEEE] 2026-7-28 | From RLHF to DPO and Beyond: A Review of Preference Optimization Methods for Aligning Large Language Models
[IEEE] 2026-7-28 | Research on a Multi-Model Adaptive Weighted Fusion Algorithm for Subjective Question Scoring
[IEEE] 2026-7-28 | Random Forest Analysis of Lifestyle and Synthetic Data for Prostate Cancer Risk Assessment
[IEEE] 2026-7-28 | Performance Analysis of Variational Quantum Classifiers for Classification Tasks in the NISQ Era
[IEEE] 2026-7-28 | Keynote Speaker
[IEEE] 2026-7-28 | Hybrid AI Techniques for Enhancing Power System Stability
[IEEE] 2026-7-28 | A Lightweight Context-Aware Access Control and Key Management Protocol for IoT-Driven Smart Farming
[IEEE] 2026-7-28 | Intensity Noise Coupling Analysis and Suppression in Ellipse-Fitting-Assisted 3×3 Demodulation for Fiber-Optic Interferometric Sensors
[IEEE] 2026-7-28 | Descriptor: Two Years Multivariate Power System State Monitoring Dataset (TY-MPSSMD)
[IEEE] 2026-7-28 | Explainable and Trustworthy AI in Oncology: A Systematic Review Across Major Organ Systems
[IEEE] 2026-7-28 | Research on Multi-Task Path Planning Algorithm for USV Swarm Based on Improved Genetic Algorithm
[IEEE] 2026-7-28 | Transformer-Based In-Context Learning for Distributed Channel Access Optimization_supp1-3713842.pdf
[IEEE] 2026-7-28 | Accelerating TSXor Using CUDA GPUs
[IEEE] 2026-7-28 | Fault Injection and Out-of-Bound Access Detection in the SPI Protocol Using UVM
[IEEE] 2026-7-28 | Fraudulent Credit Card Transaction Detection Using a Hybrid Ensemble-Anomaly Detection Framework
[IEEE] 2026-7-28 | A Physical Information-Guided Masked Contrastive Learning Network for Defect Detection in Intelligent Pipeline Systems with MFL Signals
[IEEE] 2026-7-28 | Urban Rainfall Monitoring via Commercial Microwave Links: A Low-Complexity Approach Validated by Long-Term Experiments
[IEEE] 2026-7-28 | Channel Estimation for OTFS Systems with Overspread Doppler Shifts
[IEEE] 2026-7-28 | DIVA: Differential Integrity Verification Architecture for Containerized Supply Chains
[IEEE] 2026-7-28 | A PSO-Optimized Coherent Integration Framework for Moving Targets in CF-ISAC Systems with Experimental Validation
[IEEE] 2026-7-28 | Radar Track-to-Measurement Association Fusing Echo and Kinematic Features via Cross-Attention
[IEEE] 2026-7-28 | A New Adaptive Multifrequency Resonance Matching System for Grounded Frequency-Domain Electromagnetic Detection Transmitter
[IEEE] 2026-7-28 | GAFNet: A Graph-Augmented Fusion Transformer for Cross-Dataset ADHD Detection Using EEG Signals
[IEEE] 2026-7-28 | WeakLoc: Low-Rank Attention and Adaptive Pseudo-Label Learning for Weakly Supervised Image Forgery Localization
[IEEE] 2026-7-27 | BDFirewall: Effective and Efficient Black-Box Backdoor Defense via Impact-based Purification
[IEEE] 2026-7-27 | GPU-Accelerated Sparse Matrix-Dense Matrix Multiplication for Graph Neural Networks: A Comprehensive Survey
[IEEE] 2026-7-28 | Interactive Visualizations in Semiconductor Physics: Mixed-Methods Evidence for Affective Engagement and Qualitative Insights into Conceptual Learning
[IEEE] 2026-7-28 | Lightweight YOLOv8-ViT for Real-time Mangrove Species Detection in UAV Aerial Imagery
[IEEE] 2026-7-28 | Research on Evaluation Methods for Human-Machine Interaction Scenarios of In-Vehicle Large Language Models
[IEEE] 2026-7-28 | LP-SAC: A Temporal Reinforcement Learning Optimization Framework for Unmanned Aerial Vehicle Task Offloading
[IEEE] 2026-7-28 | Fisher-Information-Enhanced BOTDR Using Beat Spectral Reshaping
[ACM] 2026-7-27 | The Impact of IP Version on Household Internet Speed: A Comparative Study
[IEEE] 2026-7-27 | On the Universal Soft-Input Soft-Output Supercodes Decoding Approach for Linear Codes
[IEEE] 2026-7-27 | Resource Allocation for UAV-Assisted RSMA-CDRT with Integrated Forwarding and Transmission
[IEEE] 2026-7-27 | A 96 × 64 SPAD LiDAR Sensor With 6× Imaging FoM Promotion by AI-Assisted Fusion of 2-D and Edge-Guided Sparse 3-D Detection
[IEEE] 2026-7-27 | Semantic-Oriented Image Transmission and Resource Allocation for UAV Networks
[IEEE] 2026-7-27 | Online Service Deployment in LAENets by UAV Airspace Coverage Control via Trajectory and Vertical Height Adjustment
[IEEE] 2026-7-27 | Explainable AI-SHAP Embedded Outlier Detection Improving Myocardial Infarction Prediction in Young Individuals in India
[IEEE] 2026-7-27 | Multi-Modal Product Recognition and In-Store Navigation using an Intelligent Shopping Cart
[IEEE] 2026-7-27 | Multimodal Large Model-Driven Framework for Deep Identification and Early Warning of Phishing Emails and Websites
[IEEE] 2026-7-27 | A Cross-View Gait Recognition Method Based on a Decentralized Dense Multiscale Network
[IEEE] 2026-7-27 | Autonomous Data Pipelines: Leveraging LLM Agents for Self-Healing and Adaptive ETL Systems
[IEEE] 2026-7-27 | OnDeBERTa: An Ordered Neuron Memory Enhanced DeBERTa Model for E-commerce Review Sentiment Classification
[IEEE] 2026-7-27 | An Intelligent Fish Health Assessment Method Combining Computer Vision and Water-Quality Parameter Modeling
[IEEE] 2026-7-27 | A Layered Secure Messaging Architecture for Cross-Organizational Manufacturing-as-a-Service
[IEEE] 2026-7-27 | High-Performance and Energy-Efficient FIR Filter Architecture Utilizing Modified Booth-Wallace Multiplier with Kogge-Stone Adder for Wireless Sensor Network in the IoT
[IEEE] 2026-7-27 | STFND: A Fake News Detection Approach Integrating SparkML with Modern Transformer Models
[IEEE] 2026-7-27 | Multi-Modal Medical Image Fusion Based on a Spatial-Frequency Dual-Branch Mamba Network
[IEEE] 2026-7-27 | Extracting Graphene Sheet Resistance in the WR-5 Band Using Graphene-Embedded CPW Shunt Structures on High-Resistivity Silicon
[ACM] 2026-7-28 | SnapSeek 4.0: Bridging Temporal Dynamics and Regional Semantics for Interactive Lifelog Retrieval
[IEEE] 2026-7-27 | High Spatial Resolution Imaging of Solar-induced Chlorophyll Fluorescence (SIF) from an Uncrewed Aerial Vehicle (UAV): Development and Evaluation of Image-processing Workflows
[IEEE] 2026-7-27 | Workflow Signal Protocol: A Measurement Method for Deployment-Time Workflow Observability in Legal AI
[IEEE] 2026-7-27 | A 12.5-GS/s 4× TI Pipelined Hybrid TD-SAR ADC With Residual Time-Voltage Amplification
[IEEE] 2026-7-27 | Multi-Source Position and Direction-of-Arrival Estimation Based on Euclidean Distance Matrices
[IEEE] 2026-7-27 | Distilling Multi-View Diffusion Models Into 3D Generators_supp4-3716753.mp4
[IEEE] 2026-7-27 | RRAM-Based Computing-in-Memory FPGA Architecture for Low-Power Applications
[IEEE] 2026-7-27 | Compact robotic system for Mononostril Endoscopic Transnasal Transsphenoidal Surgery
[IEEE] 2026-7-27 | Front Matter
[IEEE] 2026-7-27 | Precoding Design for PAPR Reduction in Mixed-Numerology MU-MIMO OFDM Systems
[IEEE] 2026-7-28 | Estimating the Number of Rare Events with Applications to Large Alphabet Inference
[IEEE] 2026-7-28 | Hamiltonian Grid-Forming: Methodology and Applications for IBR-Rich Grid Operations
[IEEE] 2026-7-28 | Improved Error-Tolerant Side-Channel Cube Attack and its Application on Masked PRESENT
[IEEE] 2026-7-28 | Changes to the Editorial Board
[IEEE] 2026-7-27 | Multi-Agent DRL for Cooperative Resource Allocation in C-NOMA-Enabled Multi-UAV Networks with 2D Hybrid Beamforming
[IEEE] 2026-7-28 | Detection and Localization of Spectrum Anomaly with Multi-Sensors: A Memory-Augmented Reverse Distillation Method
[IEEE] 2026-7-28 | Enhancement in Dynamic Performance of Multi-Converter Architecture
[IEEE] 2026-7-28 | PELS Corporate Engagement Program
