[2025-12-16 09:15:41] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-15
正在获取论文...
[arXiv] 2025-12-15 | Intrinsic Geometry of Operational Contexts: A Riemannian-Style Framework for Quantum Channels
[arXiv] 2025-12-15 | What Happens Next? Next Scene Prediction with a Unified Video Model
[arXiv] 2025-12-15 | TWLR: Text-Guided Weakly-Supervised Lesion Localization and Severity Regression for Explainable Diabetic Retinopathy Grading
[arXiv] 2025-12-15 | An AI-Based Framework for Assessing Sustainability Conflicts in Medical Device Development
[arXiv] 2025-12-15 | Universal Quantum Random Access Memory: A Data-Independent Unitary Construction
[arXiv] 2025-12-15 | Learning Terrain Aware Bipedal Locomotion via Reduced Dimensional Perceptual Representations
[arXiv] 2025-12-15 | SliceMoE: Bit-Sliced Expert Caching under Miss-Rate Constraints for Efficient MoE Inference
[arXiv] 2025-12-15 | Tackling Snow-Induced Challenges: Safe Autonomous Lane-Keeping with Robust Reinforcement Learning
[arXiv] 2025-12-15 | Bounded powers of edge ideals: Pseudo-Gorenstein and Level polytopes
[arXiv] 2025-12-15 | X-ray Variability and Photosphere Evolution during Accretion Disk Formation in Tidal Disruption Events
[arXiv] 2025-12-15 | VoroLight: Learning Quality Volumetric Voronoi Meshes from General Inputs
[arXiv] 2025-12-15 | Scaling Up AI-Generated Image Detection via Generator-Aware Prototypes
[arXiv] 2025-12-15 | Authors Should Annotate
[arXiv] 2025-12-15 | Quantum Coherence in Reflected and Refracted Beams: A Van Cittert-Zernike Approach
[arXiv] 2025-12-15 | Transposed Poisson Structure on the Kantor double of Virasoro-like algebra
[arXiv] 2025-12-15 | Energy Loss of a Heavy Quark in a Collisional Quark-Gluon Plasma
[arXiv] 2025-12-15 | Sign Reversal of Boer-Mulders Functions from Semi-inclusive Deep-Inelastic Scattering to the Drell-Yan Process
[arXiv] 2025-12-15 | Linear convergence of relocated fixed-point iterations
[arXiv] 2025-12-15 | Asymptotic Inference for Constrained Regression
[arXiv] 2025-12-15 | Gibbs state postulate from dynamical stability -- Redundancy of the zeroth law
[arXiv] 2025-12-15 | Super-resolving Herschel -- a deep learning based deconvolution and denoising technique
[arXiv] 2025-12-15 | Probing the pion gluon distribution at small-$x$ in photon-induced interactions at LHC
[arXiv] 2025-12-15 | Interpretable Hypothesis-Driven Trading:A Rigorous Walk-Forward Validation Framework for Market Microstructure Signals
[arXiv] 2025-12-15 | The impact of non-Gaussianity when searching for Primordial Black Holes with LISA
[arXiv] 2025-12-15 | The Serendipitous Axiodilaton: A Self-Consistent Recombination-Era Solution to the Hubble Tension
[arXiv] 2025-12-15 | Récurrence ou non minimalité des adhérences des d'orbites irréguliéres du flot horocyclique de finesse infinie
[arXiv] 2025-12-15 | SPAR: Session-based Pipeline for Adaptive Retrieval on Legacy File Systems
[arXiv] 2025-12-15 | Holographic Codes from Enriched Link Entanglement in Spin Networks
[arXiv] 2025-12-15 | Cisco Integrated AI Security and Safety Framework Report
[arXiv] 2025-12-15 | Satisfiability Modulo Theory Meets Inductive Logic Programming
[arXiv] 2025-12-15 | Experimental Demonstration and Transformation Mechanism of Quenchable Two-dimensional Diamond
[arXiv] 2025-12-15 | Evaluating Singular Value Thresholds for DNN Weight Matrices based on Random Matrix Theory
[arXiv] 2025-12-15 | A Direct Second-Order Method for Solving Two-Player Zero-Sum Games
[arXiv] 2025-12-15 | Machine Learning Architectures for the Estimation of Predicted Occupancy Grids in Road Traffic
[arXiv] 2025-12-15 | OptHQC: Optimize HQC for High-Performance Post-Quantum Cryptography
[arXiv] 2025-12-15 | Next-generation reservoir computing validated by classification task
[arXiv] 2025-12-15 | Magnetic field-tuned size and dual annihilation pathways of chiral magnetic bobbers
[arXiv] 2025-12-15 | Tangible Intangibles: Exploring Embodied Emotion in Mixed Reality for Art Therapy
[arXiv] 2025-12-15 | Revisiting 2D Foundation Models for Scalable 3D Medical Image Classification
[arXiv] 2025-12-15 | Probabilistic Programming Meets Automata Theory: Exact Inference using Weighted Automata
[arXiv] 2025-12-15 | Predicting the Emergence of the EV Industry: A Product Space Analysis Across Regions and Firms
[arXiv] 2025-12-15 | Know Your Users! Estimating User Domain Knowledge in Conversational Recommenders
[arXiv] 2025-12-15 | Mathematical modelling and simulation of HIV dynamics
[arXiv] 2025-12-15 | Finch: Benchmarking Finance & Accounting across Spreadsheet-Centric Enterprise Workflows
[arXiv] 2025-12-15 | SpeakRL: Synergizing Reasoning, Speaking, and Acting in Language Models with Reinforcement Learning
[arXiv] 2025-12-15 | Testable Inverse Seesaw Motivated from a High Quality QCD Axion
[arXiv] 2025-12-15 | MAC: A Multi-Agent Framework for Interactive User Clarification in Multi-turn Conversations
[arXiv] 2025-12-15 | Ratio limit theorem for renewal processes
[arXiv] 2025-12-15 | Mapping the Ages of Stars with Chemistry
[arXiv] 2025-12-15 | VLBI astrometry of radio stars to link radio and optical celestial reference frames III: 11 radio stars
[arXiv] 2025-12-15 | WZ Sge-type dwarf novae: an extreme laboratory in cataclysmic variables
[arXiv] 2025-12-15 | Transitional Dynamics: Unveiling the Coexistence and Interplay of Type-B and Type-C QPOs in MAXI J1348-630
[arXiv] 2025-12-15 | Stopping Rules for Stochastic Gradient Descent via Anytime-Valid Confidence Sequences
[arXiv] 2025-12-15 | DePT3R: Joint Dense Point Tracking and 3D Reconstruction of Dynamic Scenes in a Single Forward Pass
[arXiv] 2025-12-15 | Topological descriptor for interpretable thermal transport prediction in amorphous graphene
[arXiv] 2025-12-15 | Uncovering the Role of Initial Saliency in U-Shaped Attention Bias: Scaling Initial Token Weight for Enhanced Long-Text Processing
[arXiv] 2025-12-15 | Convection Effects and Optimal Insulation: Modelling and Analysis
[arXiv] 2025-12-15 | UniVCD: A New Method for Unsupervised Change Detection in the Open-Vocabulary Era
[arXiv] 2025-12-15 | DiRe: Diversity-promoting Regularization for Dataset Condensation
[arXiv] 2025-12-15 | Spatial-Aware VLA Pretraining through Visual-Physical Alignment from Human Videos
[arXiv] 2025-12-15 | Gauge Theory Amplitudes from Cubic Scalar Feynman diagrams
[arXiv] 2025-12-15 | The Optimal Control Algorithm of Connected and Automated Vehicles at Roundabouts with Communication Delay
[arXiv] 2025-12-15 | The $L^p$-geometry and its applications
[arXiv] 2025-12-15 | A variant of R{ö}hr's vanishing theorem with an application to the normal reduction number for normal surface singularities
[arXiv] 2025-12-15 | A Random Batch Method for the Efficient Simulation and Optimal Control of Networked 1-D Wave Equations
[arXiv] 2025-12-15 | Progressive Refinement of E-commerce Search Ranking Based on Short-Term Activities of the Buyer
[arXiv] 2025-12-15 | Are Large Language Models Really Effective for Training-Free Cold-Start Recommendation?
[arXiv] 2025-12-15 | Legitimizing, Developing, and Sustaining Feminist HCI in East Asia: Challenges and Opportunities
[arXiv] 2025-12-15 | Flashing fast: characterising the 2025 outburst of MAXI J1957+032
[arXiv] 2025-12-15 | The disk precession in a Be star-magnetar binary and its application to the rotation measure of FRB 20201124A
[arXiv] 2025-12-15 | Reveal Hidden Pitfalls and Navigate Next Generation of Vector Similarity Search from Task-Centric Views
[arXiv] 2025-12-15 | A Regime-Switching Approach to the Unbalanced Schrödinger Bridge Problem
[arXiv] 2025-12-15 | Binary normal networks without near reticulations can be reconstructed from their rooted triples
[arXiv] 2025-12-15 | QwenLong-L1.5: Post-Training Recipe for Long-Context Reasoning and Memory Management
[arXiv] 2025-12-15 | BLADE: A Behavior-Level Data Augmentation Framework with Dual Fusion Modeling for Multi-Behavior Sequential Recommendation
[arXiv] 2025-12-15 | SCAdapter: Content-Style Disentanglement for Diffusion Style Transfer
[arXiv] 2025-12-15 | Operadic Calculus for Higher Colour-Kinematics Duality
[arXiv] 2025-12-15 | Robust tests for parameter change in conditionally heteroscedastic time series models
[arXiv] 2025-12-15 | Quantum oracles give an advantage for identifying classical counterfactuals
[arXiv] 2025-12-15 | Recurrent Video Masked Autoencoders
[arXiv] 2025-12-15 | XID+PRIMA, II: Stepping Through Hyperspectral Imaging to Deblend PRIMAger Beyond the Extragalactic Confusion Limit
[arXiv] 2025-12-15 | Matter-Mediated Entanglement in Classical Gravity: Suppression by Binding Potentials and Localization
[arXiv] 2025-12-15 | Nonreciprocal Transport with Quantum Geometric Origin in Layered Hybrid Perovskite
[arXiv] 2025-12-15 | Igusa Stack for some expectional Shimura Varieties
[arXiv] 2025-12-15 | World Models Can Leverage Human Videos for Dexterous Manipulation
[arXiv] 2025-12-15 | Follow Nudges without Budges: A Field Experiment on Misinformation Followers Didn't Change Follow Networks
[arXiv] 2025-12-15 | From Many Models, One: Macroeconomic Forecasting with Reservoir Ensembles
[arXiv] 2025-12-15 | Rapid synthesis of dual-element isotope-enriched alpha-MoO3 crystals by reactive vapor transport
[arXiv] 2025-12-15 | QoeSiGN: Towards Qualified Collaborative eSignatures
[arXiv] 2025-12-15 | The Potential of HEFT and the scale of New Physics
[arXiv] 2025-12-15 | LongVie 2: Multimodal Controllable Ultra-Long Video World Model
[arXiv] 2025-12-15 | A homogeneous geometry of low-rank tensors
[arXiv] 2025-12-15 | Scalable Formal Verification via Autoencoder Latent Space Abstraction
[arXiv] 2025-12-15 | DP-CSGP: Differentially Private Stochastic Gradient Push with Compressed Communication
[arXiv] 2025-12-15 | Machine-Learned Electrostatic Potentials for Accurate Hydration Free Energy Calculations
[arXiv] 2025-12-15 | Superposition as Lossy Compression: Measure with Sparse Autoencoders and Connect to Adversarial Vulnerability
[arXiv] 2025-12-15 | 3D Human-Human Interaction Anomaly Detection
[arXiv] 2025-12-15 | Three-qubit entangling gates with simultaneous exchange controls in spin qubit systems
[arXiv] 2025-12-15 | PrahokBART: A Pre-trained Sequence-to-Sequence Model for Khmer Natural Language Generation
[arXiv] 2025-12-15 | Null quantization, shadows and boost eigenfunctions in Lorentzian AdS
[arXiv] 2025-12-15 | Pancakes: Consistent Multi-Protocol Image Segmentation Across Biomedical Domains
[arXiv] 2025-12-15 | Scalar Curvature in Dimension 4
[arXiv] 2025-12-15 | On the centralizers of endomorphisms of the projective line
[arXiv] 2025-12-15 | MedCEG: Reinforcing Verifiable Medical Reasoning with Critical Evidence Graph
[arXiv] 2025-12-15 | An $H_2$-norm approach to performance analysis of networked control systems under multiplicative routing transformations
[arXiv] 2025-12-15 | Arrival Time -- Classical Parameter or Quantum Operator?
[arXiv] 2025-12-15 | Evolution equation with fractional Schrödinger operators: monotonicity and exponential decay of solutions in Morrey spaces
[arXiv] 2025-12-15 | Soul: Breathe Life into Digital Human for High-fidelity Long-term Multimodal Animation
[arXiv] 2025-12-15 | Transform Trained Transformer: Accelerating Naive 4K Video Generation Over 10$\times$
[arXiv] 2025-12-15 | From Zipf's Law to Neural Scaling through Heaps' Law and Hilberg's Hypothesis
[arXiv] 2025-12-15 | Generation of chirality and orbital magnetization by Stone-Wales-type lattice defects in the Kitaev spin liquid
[arXiv] 2025-12-15 | Real-Time AI-Driven Milling Digital Twin Towards Extreme Low-Latency
[arXiv] 2025-12-15 | Element-wise Modulation of Random Matrices for Efficient Neural Layers
[arXiv] 2025-12-15 | Peripheral hyper-Wiener index of a graph
[arXiv] 2025-12-15 | On operator Connes-amenability of the Fourier-Stieltjes algebra
[arXiv] 2025-12-15 | DP-EMAR: A Differentially Private Framework for Autonomous Model Weight Repair in Federated IoT Systems
[arXiv] 2025-12-15 | The excess of molecular hydrogen in chemical networks without oxygen
[arXiv] 2025-12-15 | A Metadata-Only Feature-Augmented Method Factor for Ex-Post Correction and Attribution of Common Method Variance
[arXiv] 2025-12-15 | Linear maps preserving the Cullis' determinant. II
[arXiv] 2025-12-15 | XNNTab -- Interpretable Neural Networks for Tabular Data using Sparse Autoencoders
[arXiv] 2025-12-15 | IMILIA: interpretable multiple instance learning for inflammation prediction in IBD from H&E whole slide images
[arXiv] 2025-12-15 | Taxonomy of type II orientifold flux vacua in 3D
[arXiv] 2025-12-15 | PSR J0537-6910: Exponential recoveries detected for 12 glitches
[arXiv] 2025-12-15 | Large Deviation Properties of Minimum Spanning Trees for Random Graphs
[arXiv] 2025-12-15 | Citizen CATE 2024: Extending Totality During the 8 April 2024 Total Solar Eclipse with a Distributed Network of Community Participants
[arXiv] 2025-12-15 | Comparative analysis of critical regions for the renormalized quark-meson model with and without Polyakov loop potential
[arXiv] 2025-12-15 | Beyond the Visible: Disocclusion-Aware Editing via Proxy Dynamic Graphs
[arXiv] 2025-12-15 | Quantum Chaos as an Essential Resource for Full Quantum State Controllability
[arXiv] 2025-12-15 | ALMA view on the nature of the compact VLA continuum sources in the massive young stellar object G25.65+1.05
[arXiv] 2025-12-15 | Fundamental bound on entanglement generation between interacting Rydberg atoms
[arXiv] 2025-12-15 | High-dimensional components of ${\rm SL}(2,\mathbb{C})$-character varieties of prime knots
[arXiv] 2025-12-15 | Emergent learning: neuromorphic photonic computing with accelerated training
[arXiv] 2025-12-15 | Control of thin NbN film superconducting properties by ScN buffer layer
[arXiv] 2025-12-15 | Detecting Emotion Drift in Mental Health Text Using Pre-Trained Transformers
[arXiv] 2025-12-15 | Diffusiophoretic migration of colloidal particles in sucrose gradients
[arXiv] 2025-12-15 | Sheared stratified turbulence driven by Kolmogorov flow
[arXiv] 2025-12-15 | Eigenstate Typicality as the Dynamical Bridge to the Eigenstate Thermalization Hypothesis: A Derivation from Entropy, Geometry, and Locality
[arXiv] 2025-12-15 | FROC: A Unified Framework with Risk-Optimized Control for Machine Unlearning in LLMs
[arXiv] 2025-12-15 | FIN-bench-v2: A Unified and Robust Benchmark Suite for Evaluating Finnish Large Language Models
[arXiv] 2025-12-15 | Tensors, Gaussians and the Alexander Polynomial
[arXiv] 2025-12-15 | Differentiable convex extensions with sharp Lipschitz constants
[arXiv] 2025-12-15 | Evidence for in situ particle energization during the May-2024 event based on ASPEX instrument on board Aditya-L1
[arXiv] 2025-12-15 | Spectral Entropy via Random Spanning Forests
[arXiv] 2025-12-15 | Face Identity Unlearning for Retrieval via Embedding Dispersion
[arXiv] 2025-12-15 | Compactification of metric moduli space of $K3$ surfaces
[arXiv] 2025-12-15 | Asymptotics of the graph Laplace operator near an isolated singularity
[arXiv] 2025-12-15 | A precision apparatus for high harmonic spectroscopy in bulk solids
[arXiv] 2025-12-15 | HALO I: Photometric continuum reverberation mapping of Fairall~9
[arXiv] 2025-12-15 | A non-local quenching system with coupled and uncoupled singular absorption terms
[arXiv] 2025-12-15 | SAMAY: System for Acoustic Measurement and Analysis
[arXiv] 2025-12-15 | Observation of a supersolid stripe state in two-dimensional dipolar gases
[arXiv] 2025-12-15 | Raking for estimation and inference in panel models with nonignorable attrition and refreshment
[arXiv] 2025-12-15 | q-Analogue of Hamiltonian Monte Carlo method
[arXiv] 2025-12-15 | Zipfian universality of interaction laws: A statistical-mechanics framework for inverse power scaling
[arXiv] 2025-12-15 | The principal eigenvalue of an age-structured operator with diffusion and advection: qualitative analysis and an application
[arXiv] 2025-12-15 | Measurement of Material Volume Fractions in a Microwave Resonant Cavity Sensor Using Convolutional Neural Network
[arXiv] 2025-12-15 | Plant Equivalent Controller Realizations for Attack-Resilient Cyber-Physical Systems
[arXiv] 2025-12-15 | Better LMO-based Momentum Methods with Second-Order Information
[arXiv] 2025-12-15 | Combining Molecular Dynamics and Experimental Methods for the Parametrization of Binary Carbonate-Based Electrolytes
[arXiv] 2025-12-15 | Dust emission and extinction in the Orion OMC-3 cloud
[arXiv] 2025-12-15 | Continuous Edit Distance, Geodesics and Barycenters of Time-varying Persistence Diagrams
[arXiv] 2025-12-15 | Content Adaptive based Motion Alignment Framework for Learned Video Compression
[arXiv] 2025-12-15 | SeVeDo: A Heterogeneous Transformer Accelerator for Low-Bit Inference via Hierarchical Group Quantization and SVD-Guided Mixed Precision
[arXiv] 2025-12-15 | High-visibility ghost imaging by holographic projection with classical light
[arXiv] 2025-12-15 | Transmembrane transport of polymer brush-grafted nanoparticles into giant vesicles
[arXiv] 2025-12-15 | An asymptotic slope of the α-K-energy for the Kahler-Yang-Mills equations
[arXiv] 2025-12-15 | Probability Estimation for Predicted-Occupancy Grids in Vehicle Safety Applications Based on Machine Learning
[arXiv] 2025-12-15 | Distillation of Discrete Diffusion by Exact Conditional Distribution Matching
[arXiv] 2025-12-15 | Genuine Tripartite Strong Coupling in a Superconducting-Spin Hybrid Quantum System
[arXiv] 2025-12-15 | Updated sensitivities to heavy neutral leptons at the LHC far detectors and SHiP
[arXiv] 2025-12-15 | Impact of an electron Wigner crystal on exciton propagation
[arXiv] 2025-12-15 | CogniEdit: Dense Gradient Flow Optimization for Fine-Grained Image Editing
[arXiv] 2025-12-15 | Theta correspondence and Springer correspondence
[arXiv] 2025-12-15 | The interplay of magnetic order with the electronic scattering and crystal-field effects in a metallic ferromagnet
[arXiv] 2025-12-15 | Toward Self-Healing Networks-on-Chip: RL-Driven Routing in 2D Torus Architectures
[arXiv] 2025-12-15 | Determining subgroups via stationary measures
[arXiv] 2025-12-15 | Temporal parallelisation of continuous-time maximum-a-posteriori trajectory estimation
[arXiv] 2025-12-15 | Probing ground-state degeneracies of a strongly interacting Fermi-Hubbard model with superconducting correlations
[arXiv] 2025-12-15 | SLIM-VDB: A Real-Time 3D Probabilistic Semantic Mapping Framework
[arXiv] 2025-12-15 | Unified Interactive Multimodal Moment Retrieval via Cascaded Embedding-Reranking and Temporal-Aware Score Fusion
[arXiv] 2025-12-15 | A Corrected Open Boundary Framework for Lattice Boltzmann Immiscible Pseudopotential Models
[arXiv] 2025-12-15 | Investigating Data Pruning for Pretraining Biological Foundation Models at Scale
[arXiv] 2025-12-15 | PROSERVE: Unified Multi-Priority Request Scheduling for LLM Serving
[arXiv] 2025-12-15 | Bayesian Unification in the History of Dark Matter: Confirmation by Restructuring Old Evidence
[arXiv] 2025-12-15 | CTIGuardian: A Few-Shot Framework for Mitigating Privacy Leakage in Fine-Tuned LLMs
[arXiv] 2025-12-15 | Sub-$n^k$ Deterministic algorithm for minimum $k$-way cut in simple graphs
[arXiv] 2025-12-15 | Computing Selmer groups associated to mod p Galois representations
[arXiv] 2025-12-15 | Qonvolution: Towards Learning High-Frequency Signals with Queried Convolution
[arXiv] 2025-12-15 | Wait, Wait, Wait... Why Do Reasoning Models Loop?
[arXiv] 2025-12-15 | Dyson expansion for form-bounded perturbations, and applications to the polaron problem
[arXiv] 2025-12-15 | Lithographically Defined Si$_3$N$_4$ Torsional Pendulum
[arXiv] 2025-12-15 | Towards Animate Droplets: Active, Adaptive, and Autonomous
[arXiv] 2025-12-15 | From Nodes to Edges: Edge-Based Laplacians for Brain Signal Processing
[arXiv] 2025-12-15 | Data Quality Issues in Flare Prediction using Machine Learning Models
[arXiv] 2025-12-15 | Learning to Generate Cross-Task Unexploitable Examples
[arXiv] 2025-12-15 | Prospects for Measuring Black Hole Masses using TDEs with the Vera C. Rubin Observatory
[arXiv] 2025-12-15 | Three-dimensional numerical simulations of neutron star cores in the two-fluid MHD approximation: simple configurations
[arXiv] 2025-12-15 | Google Spain v. Gonzáles: Did the Court forget about freedom of expression?
[arXiv] 2025-12-15 | diffhydro: Inverse Multiphysics Modeling and Embedded Machine Learning in Astrophysical Flows
[arXiv] 2025-12-15 | End2Reg: Learning Task-Specific Segmentation for Markerless Registration in Spine Surgery
[arXiv] 2025-12-15 | Policy-Aligned Estimation of Conditional Average Treatment Effects
[arXiv] 2025-12-15 | rNCA: Self-Repairing Segmentation Masks
[arXiv] 2025-12-15 | Automated Information Flow Selection for Multi-scenario Multi-task Recommendation
[arXiv] 2025-12-15 | The Maximum Particle Energy Gain During Magnetic Reconnection
[arXiv] 2025-12-15 | QoS-Aware State-Augmented Learnable Framework for 5G NR-U/Wi-Fi Coexistence: Impact of Parameter Selection and Enhanced Collision Resolution
[arXiv] 2025-12-15 | Control of a Twin Rotor using Twin Delayed Deep Deterministic Policy Gradient (TD3)
[arXiv] 2025-12-15 | Data-driven inverse uncertainty quantification: application to the Chemical Vapor Deposition Reactor Modeling
[arXiv] 2025-12-15 | Space Efficient Algorithms for Parameterised Problems
[arXiv] 2025-12-15 | KD-PINN: Knowledge-Distilled PINNs for ultra-low-latency real-time neural PDE solvers
[arXiv] 2025-12-15 | Resource Orchestration and Optimization in 6G Extreme-edge Scenario
[arXiv] 2025-12-15 | Generic regularity and Lipschitz metric for a two-component Novikov system
[arXiv] 2025-12-15 | Humanoid Robot Running Through Random Stepping Stones and Jumping Over Obstacles: Step Adaptation Using Spring-Mass Trajectories
[arXiv] 2025-12-15 | Heterostructure Design in Two-Dimensional Perovskites by Sequential Recrystallization
[arXiv] 2025-12-15 | MiniLingua: A Small Open-Source LLM for European Languages
[arXiv] 2025-12-15 | Reversible and Reversible-Complement Double Cyclic Codes over F4+vF4 and its Application to DNA Codes
[arXiv] 2025-12-15 | Projected Optimal Sensors from Operator Orbits
[arXiv] 2025-12-15 | Striking the Balance: GEMM Performance Optimization Across Generations of Ryzen AI NPUs
[arXiv] 2025-12-15 | Video Reality Test: Can AI-Generated ASMR Videos fool VLMs and Humans?
[arXiv] 2025-12-15 | AIR: Post-training Data Selection for Reasoning via Attention Head Influence
[arXiv] 2025-12-15 | Intervals of torsion pairs and generalized Happel-Reiten-Smalø tilting
[arXiv] 2025-12-15 | Slowing and Storing Microwaves in a Single Superconducting Fluxonium Artificial Atom
[arXiv] 2025-12-15 | EPW varieties as moduli spaces on ordinary GM surfaces and special GM threefolds
[arXiv] 2025-12-15 | Flagged Hamel--Goulden formulas
[arXiv] 2025-12-15 | Post-Training and Test-Time Scaling of Generative Agent Behavior Models for Interactive Autonomous Driving
[arXiv] 2025-12-15 | Constraints on dark matter annihilation from a nearby subhalo candidate
[arXiv] 2025-12-15 | Time-Crystalline Phase in a Single-Band Holographic Superconductor
[arXiv] 2025-12-15 | Reflective Preference Optimization (RPO): Enhancing On-Policy Alignment via Hint-Guided Reflection
[arXiv] 2025-12-15 | Ego-EXTRA: video-language Egocentric Dataset for EXpert-TRAinee assistance
[arXiv] 2025-12-15 | Mechanical Heterogeneity and the Nuclear Mechanome: Towards an Omics-Level Understanding of Nuclear Function
[arXiv] 2025-12-15 | MR Fingerprinting for Imaging Brain Hemodynamics and Oxygenation
[arXiv] 2025-12-15 | Experimental design of a millifluidic flow-focusing method for biomimetic nanocellulose and hemicellulose-based biopolymer fibres
[arXiv] 2025-12-15 | AIR tilting subcategories of extended hearts
[arXiv] 2025-12-15 | Inferring intraciliary dynamics from the gliding motility of Chlamydomonas reinhardtii
[arXiv] 2025-12-15 | Evaluating Adversarial Attacks on Federated Learning for Temperature Forecasting
[arXiv] 2025-12-15 | Scaling laws for stationary Navier-Stokes-Fourier flows and the unreasonable effectiveness of hydrodynamics at the molecular level
[arXiv] 2025-12-15 | A Conjecture on Almost Flat SIC-POVMs
[arXiv] 2025-12-15 | Noise-Resilient Quantum Aggregation on NISQ for Federated ADAS Learning
[arXiv] 2025-12-15 | CoRA: A Collaborative Robust Architecture with Hybrid Fusion for Efficient Perception
[arXiv] 2025-12-15 | WAY: Estimation of Vessel Destination in Worldwide AIS Trajectory
[arXiv] 2025-12-15 | PolySet: Restoring the Statistical Ensemble Nature of Polymers for Machine Learning
[arXiv] 2025-12-15 | Rigidity of weighted manifolds via classification results for semilinear equations
[arXiv] 2025-12-15 | EDAN: Towards Understanding Memory Parallelism and Latency Sensitivity in HPC
[arXiv] 2025-12-15 | On a generating function of Niebur-Poincaré series
[arXiv] 2025-12-15 | Improved Approximation of Infinite Thermostat by Finite Reservoir Using the 3D Kac Model
[arXiv] 2025-12-15 | PFEM-GP-dpHs : a finite element framework for combining Gaussian processes and infinite-dimensional port-Hamiltonian systems
[arXiv] 2025-12-15 | Ecological interactions and spatial dynamics in microbial aggregates: A novel modelling framework
[arXiv] 2025-12-15 | Central limit theorems for non-linear functionals of Gaussian fields via Wiener chaos decomposition
[arXiv] 2025-12-15 | StarryGazer: Leveraging Monocular Depth Estimation Models for Domain-Agnostic Single Depth Image Completion
[arXiv] 2025-12-15 | Quantum critical dynamics and emergent universality in decoherent digital quantum processors
[arXiv] 2025-12-15 | Third Harmonic Generation in Transparent Longitudinal Epsilon-Near-Zero Multilayers
[arXiv] 2025-12-15 | Towards Unified Co-Speech Gesture Generation via Hierarchical Implicit Periodicity Learning
[arXiv] 2025-12-15 | Quanvolutional Neural Networks for Spectrum Peak-Finding
[arXiv] 2025-12-15 | Simulating the spatial distributions of gas- and ice-phase molecules in galaxies: a new method and preliminary results
[arXiv] 2025-12-15 | The emergence of long-range entanglement and odd-even effect in periodic generalized cluster models
[arXiv] 2025-12-15 | Harmonizing Generalization and Specialization: Uncertainty-Informed Collaborative Learning for Semi-supervised Medical Image Segmentation
[arXiv] 2025-12-15 | Multi-Robot Motion Planning from Vision and Language using Heat-Inspired Diffusion
[arXiv] 2025-12-15 | A General Theory of Piping Transportation: Unifying System Dynamics for Resilience and Sustainable Development
[arXiv] 2025-12-15 | LikeBench: Evaluating Subjective Likability in LLMs for Personalization
[arXiv] 2025-12-15 | Forging a Dynamic Memory: Retrieval-Guided Continual Learning for Generalist Medical Foundation Models
[arXiv] 2025-12-15 | M-GRPO: Stabilizing Self-Supervised Reinforcement Learning for Large Language Models with Momentum-Anchored Policy Optimization
[arXiv] 2025-12-15 | Group-averaged Markov chains II: tuning of group action in finite state space
[arXiv] 2025-12-15 | Local controllability in finite time and the controllable time of the Korteweg-De Vries equation using the right Neumann controls
[arXiv] 2025-12-15 | Non-thermal pairing glue of electrons in the steady state
[arXiv] 2025-12-15 | LLM Rationalis? Measuring Bargaining Capabilities of AI Negotiators
[arXiv] 2025-12-15 | An Open and Reproducible Deep Research Agent for Long-Form Question Answering
[arXiv] 2025-12-15 | Macular: a multi-scale simulation platform for the retina and the primary visual system
[arXiv] 2025-12-15 | Quantum simulation of strong Charge-Parity violation and Peccei-Quinn mechanism
[arXiv] 2025-12-15 | Redshift Classification of Optical Gamma-Ray Bursts using Supervised Learning
[arXiv] 2025-12-15 | Scaling Bidirectional Spans and Span Violations in Attention Mechanism
[arXiv] 2025-12-15 | Delay factors in the genesis of limit sets of the non-ideal system "tank with liquid-electric motor"
[arXiv] 2025-12-15 | Measurement of Position Resolutions of L-band Cavity Beam Position Monitors
[arXiv] 2025-12-15 | Comprehensive Deployment-Oriented Assessment for Cross-Environment Generalization in Deep Learning-Based mmWave Radar Sensing
[arXiv] 2025-12-15 | Improving the electromagnetic form factor of the pion at large $Q^2$ using the Feynman-Hellmann theorem
[arXiv] 2025-12-15 | K-VARK: Kernelized Variance-Aware Residual Kalman Filter for Sensorless Force Estimation in Collaborative Robots
[arXiv] 2025-12-15 | Few-Step Distillation for Text-to-Image Generation: A Practical Guide
[arXiv] 2025-12-15 | Large Language Models for Power System Applications: A Comprehensive Literature Survey
[arXiv] 2025-12-15 | A Framework for Assessing Sustainability Conflicts in the Design of Medical Devices
[arXiv] 2025-12-15 | Challenges and Enablers: Remote Work for People with Disabilities in Software Development Teams
[arXiv] 2025-12-15 | 3-Query RLDCs are Strictly Stronger than 3-Query LDCs
[arXiv] 2025-12-15 | Identification of periodicities with arbitrary shapes in AGN light curves
[arXiv] 2025-12-15 | Beyond surface form: A pipeline for semantic analysis in Alzheimer's Disease detection from spontaneous speech
[arXiv] 2025-12-15 | I-Scene: 3D Instance Models are Implicit Generalizable Spatial Learners
[arXiv] 2025-12-15 | Reconstructing spatially-varying multiplicative bias for Stage IV weak lensing galaxy surveys with a quadratic estimator
[arXiv] 2025-12-15 | A critical value of the inflationary tensor-to-scalar ratio from inhomogeneous inflation
[arXiv] 2025-12-15 | A Scientific Reasoning Model for Organic Synthesis Procedure Generation
[arXiv] 2025-12-15 | Large Components and Trees of Random Mappings
[arXiv] 2025-12-15 | RoboTracer: Mastering Spatial Trace with Reasoning in Vision-Language Models for Robotics
