[2026-02-12 09:35:09] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-02-11
正在获取论文...
[arXiv] 2026-02-11 | Initial Guesses for Multicomponent Mean-Field Methods: Assessment and New Developments
[arXiv] 2026-02-11 | The Alignment Bottleneck in Decomposition-Based Claim Verification
[arXiv] 2026-02-11 | On the Robustness of Knowledge Editing for Detoxification
[arXiv] 2026-02-11 | Enhancing Ride-Hailing Forecasting at DiDi with Multi-View Geospatial Representation Learning from the Web
[arXiv] 2026-02-11 | Ramsey numbers of K_s + mK_t versus K_n
[arXiv] 2026-02-11 | Characterizing and Optimizing the Spatial Kernel of Multi Resolution Hash Encodings
[arXiv] 2026-02-11 | ChainRec: An Agentic Recommender Learning to Route Tool Chains for Diverse and Evolving Interests
[arXiv] 2026-02-11 | CoVaR under Asymptotic Independence
[arXiv] 2026-02-11 | Pricing Query Complexity of Multiplicative Revenue Approximation
[arXiv] 2026-02-11 | From Prompt-Response to Goal-Directed Systems: The Evolution of Agentic AI Software Architecture
[arXiv] 2026-02-11 | Data-driven Magnetohydrodynamic Simulation of the Initiation of a Coronal Mass Ejection with Multiple Stages
[arXiv] 2026-02-11 | How to Ask for Belief Statistics without Distortion?
[arXiv] 2026-02-11 | TestExplora: Benchmarking LLMs for Proactive Bug Discovery via Repository-Level Test Generation
[arXiv] 2026-02-11 | Online Generalized-mean Welfare Maximization: Achieving Near-Optimal Regret from Samples
[arXiv] 2026-02-11 | Fractional Hardy inequalities on $C^{1,1}$ open sets
[arXiv] 2026-02-11 | Unlocked Backpropagation using Wave Scattering
[arXiv] 2026-02-11 | Holographic metals at finite volume
[arXiv] 2026-02-11 | Found-RL: foundation model-enhanced reinforcement learning for autonomous driving
[arXiv] 2026-02-11 | A Multimodal Conditional Mixture Model with Distribution-Level Physics Priors
[arXiv] 2026-02-11 | Bridging the Kinetic-Fluid Gap: Ion-Driven Magnetogenesis to Prime Cosmic Dynamos
[arXiv] 2026-02-11 | Shocks, compressible perturbations, and intermittency in the very local interstellar medium: Voyager 1 and 2 observations and numerical modeling
[arXiv] 2026-02-11 | Chamfer-Linkage for Hierarchical Agglomerative Clustering
[arXiv] 2026-02-11 | LakeMLB: Data Lake Machine Learning Benchmark
[arXiv] 2026-02-11 | Let Leaders Play Games: Improving Timing in Leader-based Consensus
[arXiv] 2026-02-11 | SCRAPL: Scattering Transform with Random Paths for Machine Learning
[arXiv] 2026-02-11 | Demonstration and performance of an online data selection algorithm for liquid argon time projection chambers using MicroBooNE
[arXiv] 2026-02-11 | A New Look at Bayesian Testing
[arXiv] 2026-02-11 | Asymmetric Prompt Weighting for Reinforcement Learning with Verifiable Rewards
[arXiv] 2026-02-11 | From Natural Language to Materials Discovery:The Materials Knowledge Navigation Agent
[arXiv] 2026-02-11 | Acceleration Waves and the K-Condition in Viscoelastic Solids and Non-Newtonian Fluids
[arXiv] 2026-02-11 | Light to Heavy, Brief to Eternal: An Axion for Every Occasion (in the Early Universe)
[arXiv] 2026-02-11 | The Base Change Of Fundamental Group Schemes
[arXiv] 2026-02-11 | Drift-Randomized Milstein-Galerkin Finite Element Method for Semilinear Stochastic Evolution Equations
[arXiv] 2026-02-11 | WHEREIS: IP Address Registration Geo-Consistency
[arXiv] 2026-02-11 | Safety Recovery in Reasoning Models Is Only a Few Early Steering Steps Away
[arXiv] 2026-02-11 | Can Large Language Models Make Everyone Happy?
[arXiv] 2026-02-11 | DataChef: Cooking Up Optimal Data Recipes for LLM Adaptation via Reinforcement Learning
[arXiv] 2026-02-11 | Vulnerabilities in Partial TEE-Shielded LLM Inference with Precomputed Noise
[arXiv] 2026-02-11 | Token-Efficient Change Detection in LLM APIs
[arXiv] 2026-02-11 | Digging for Data: Experiments in Rock Pile Characterization Using Only Proprioceptive Sensing in Excavation
[arXiv] 2026-02-11 | Constrained Fiducial Inference for Gaussian Models
[arXiv] 2026-02-11 | First-order phase transition for Gibbs point processes with saturated interactions
[arXiv] 2026-02-11 | Interpretable Attention-Based Multi-Agent PPO for Latency Spike Resolution in 6G RAN Slicing
[arXiv] 2026-02-11 | RISE: Self-Improving Robot Policy with Compositional World Model
[arXiv] 2026-02-11 | Exact solvability of Hamiltonian systems via Poisson \texorpdfstring{\cinf}{cinf}-structures
[arXiv] 2026-02-11 | Deep Neural Network-Enhanced Frequency-Constrained Optimal Power Flow with Multi-Governor Dynamics
[arXiv] 2026-02-11 | A Gibbs posterior sampler for inverse problem based on prior diffusion model
[arXiv] 2026-02-11 | Divide, Harmonize, Then Conquer It: Shooting Multi-Commodity Flow Problems with Multimodal Language Models
[arXiv] 2026-02-11 | A Dynamical Microscope for Multivariate Oscillatory Signals: Validating Regime Recovery on Shared Manifolds
[arXiv] 2026-02-11 | Machine learning exploration of binding energy distributions of H2O at astrochemically relevant dust grain surfaces
[arXiv] 2026-02-11 | Embedding Inversion via Conditional Masked Diffusion Language Models
[arXiv] 2026-02-11 | Language Model Inversion through End-to-End Differentiation
[arXiv] 2026-02-11 | Reality Copilot: Voice-First Human-AI Collaboration in Mixed Reality Using Large Multimodal Models
[arXiv] 2026-02-11 | $μ$pscaling small models: Principled warm starts and hyperparameter transfer
[arXiv] 2026-02-11 | Revisiting Superlinear Convergence of Proximal Newton-Like Methods to Degenerate Solutions
[arXiv] 2026-02-11 | Classical strings and the double copy
[arXiv] 2026-02-11 | Data-Efficient Multidimensional Free Energy Estimation via Physics-Informed Score Learning
[ACM] 2026-2-11 | RC-GradeNet: IMU-Based Multimodal Attention Network for Rotator Cuff Injury Grading
[IEEE] 2026-2-11 | A LiDAR-Driven Fallback Longitudinal Controller for Safer Following in Sudden Braking Scenarios
[IEEE] 2026-2-11 | Construction of Digital Twin Model for Train Bogies and Simulation Analysis of Fault Models
[IEEE] 2026-2-11 | Validating Camera Sensor Models for Virtual Testing of Vision Systems in Automated Driving
[IEEE] 2026-2-11 | An Anti-Jamming Control Method for Anti-Punching Drilling Robot Based on LQR and SMC Controller
[IEEE] 2026-2-11 | Neural Network-Augmented Adaptive Backstepping Control for Aircraft Longitudinal Dynamics
[IEEE] 2026-2-11 | Inversion of Grinding Chamber Temperature Field Using Quantum-Inspired Optimization for Industrial Automation
[IEEE] 2026-2-11 | A High-Performance Hybrid Division Algorithm: Combining Additive Iteration, Multiplicative Lookup, and Precision Compensation on FPGA
[IEEE] 2026-2-11 | A Novel Unified Extended Matrix for Graph Signal Processing: Theory and Application
[IEEE] 2026-2-11 | Pseudo-Label Refinement for Multimodal Unsupervised Domain Adaptation
[IEEE] 2026-2-11 | An Empirical Exploration Of Collaborative Performance In Engineering Learning Contexts
[IEEE] 2026-2-11 | TeleMath: A Benchmark for Large Language Models in Telecom Mathematical Problem Solving
[IEEE] 2026-2-11 | AegisGuard: A Context-Aware Framework for Semantic Vulnerability Detection and Risk Stratification
[IEEE] 2026-2-11 | A Structured Neural ODE Approach for Real-Time Evaluation of AC Losses in 3D Superconducting Tapes
[IEEE] 2026-2-11 | The Two-Dimensional Inverse Scattering of Second-Order Nonlinear Media Based on Contrast Source Inversion Method
[IEEE] 2026-2-11 | Robust Vision-Language Alignment Using Multi-Modal Large Language Models for Open-Vocabulary Semantic Segmentation
[ACM] 2026-2-11 | From Bugs to Benchmarks: A Comprehensive Survey of Software Defect Datasets
[IEEE] 2026-2-11 | Retraction Notice: Efficient Way of Heart Disease Prediction and Analysis using different Ensemble Algorithm: A Comparative Study
[IEEE] 2026-2-11 | A Personalized and Privacy-Preserving Federated Transformer Framework for Multilingual Sentiment Analysis
[IEEE] 2026-2-11 | Blockchain-PUF Fusion for Privacy-Preserving Authentication against AI-enabled Attacks in Consumer IoT Systems
[IEEE] 2026-2-11 | Stability Region Oriented Graphical Design of Decentralized PI Controllers for Two Input Two Output Systems
[IEEE] 2026-2-11 | Conference Committees: ICEDA 2025
[IEEE] 2026-2-11 | Prescribed Time Resilient Flocking in Multi-Agent System
[IEEE] 2026-2-11 | Retraction Notice: A Quantitative Approach for Determining Breast Cancer Using Mammography Images
[IEEE] 2026-2-11 | Retraction Notice: Heuristics prediction of olympic medals using machine learning
[IEEE] 2026-2-11 | Retraction Notice: Comparative based beneficial analysis of smart grid technology developments with the conventionally available power grid
[IEEE] 2026-2-11 | Adaptive super-twisting control for visual leader-follower formation tracking applications
[IEEE] 2026-2-11 | AI-Powered Decision Support System for Sepsis Management in ICU Nursing
[IEEE] 2026-2-11 | SmartFare: Dynamic Pricing System
[IEEE] 2026-2-11 | SHAFI: Securing Hash-Based Post-Quantum Cryptography from Hardware Fault Injection Attacks
[IEEE] 2026-2-11 | Leveraging Large Language Models for Medication Named Entity Recognition and Text Expansion in Multilingual Clinical Data
[IEEE] 2026-2-11 | Improved Round-by-round Soundness IOPs via Reed-Muller Codes
[IEEE] 2026-2-11 | Radial Isotropic Position via an Implicit Newton’s Method
[IEEE] 2026-2-11 | Cryptography Meets Worst-case Complexity: Optimal Security and More From iO and Worst-case Assumptions
[IEEE] 2026-2-11 | Deterministic factorization of constant-depth algebraic circuits in subexponential time
[IEEE] 2026-2-11 | Visual Surveillance Methods for Fishery School Search by UAVs
[IEEE] 2026-2-11 | A Source-Load Synergy-based Multi-Time Scale Optimal Scheduling Strategy for Multi-Source Flexible Resources
[IEEE] 2026-2-11 | Pinning-Based Distributed Voltage Convergence Control for Islanded Microgrid
[IEEE] 2026-2-11 | Control and Instrumentation Strategies for Hydrogen-Ammonia Microturbine Systems: A Comprehensive Review
[IEEE] 2026-2-11 | ICPES 2025 Cover Page
[IEEE] 2026-2-11 | Data-Driven Conflict Resolution Method for Topology Update in Low-Voltage Distribution Station Area
[IEEE] 2026-2-11 | Depth-Aware RGB and IR Image Alignment Using ToF-Based Homography Interpolation
[IEEE] 2026-2-11 | Flexible Supercapacitor Made by ZIF-graphene Composite Materials AND Iron-based Carbon Nanofiber Composite Material
[IEEE] 2026-2-11 | Proceedings
[IEEE] 2026-2-11 | Image-Based Localization and Navigation Using Deep Learning for an Omnidirectional Human Assistive Robot
[IEEE] 2026-2-11 | A Hybrid Approach for Driver Drowsiness Detection Using IoT
[IEEE] 2026-2-11 | Blood Cell Classification for Cancer Detection Using EfficientNetB3
[IEEE] 2026-2-11 | Study of a Multiple Mediation model of Strategic Foresight influencing Innovation Ambidexterity
[IEEE] 2026-2-11 | Development of a Coordinated Control Algorithm For a Carrier Ship and an AUV Considering the Characteristics of the Underwater Acoustic Communication System
[IEEE] 2026-2-11 | Optimizing Web Scraping for Enhancing Efficiency with NLP and Machine Learning
[IEEE] 2026-2-11 | Fault diagnosis of a class of nonlinear switching systems based on adaptive observer
[IEEE] 2026-2-11 | Carbon-Aware Adaptive Routing Protocol with Real-Time Traffic Information for Cyber-Physical Internet Networks
[IEEE] 2026-2-11 | mAPO: A Modified Artificial Protozoa Optimizer for Solving Global Optimization
[IEEE] 2026-2-11 | An Early Termination Strategy for the Distributed Biased Min-Consensus Protocol Under Disturbances
[IEEE] 2026-2-11 | DeepONet-Assisted Inverse Kinematics and Branch-Aware Redundancy Resolution for a Five-Bar Spherical Parallel Manipulator
[IEEE] 2026-2-11 | Reliability-Oriented Short-Term Planning of Energy Hub-Enabled Microgrids with Peer-to-Peer Trading under Uncertainty
[IEEE] 2026-2-11 | Language-Guided Predictive Control: Synthesizing Semantic Safety Constraints for Adaptive Navigation
[ACM] 2026-2-11 | Sweat detection based on wearable electrochemical sensors: status and prospects
[IEEE] 2026-2-11 | Pilot Resource Management for Channel Estimation Error Reduction in Digital Twin-Assisted User-centric Cell-free Massive MIMO Networks
[IEEE] 2026-2-11 | Checkmating One, by Using Many: Combining Mixture of Experts with MCTS to Improve in Chess_supp1-3659995.pdf
[IEEE] 2026-2-11 | Automatic scoring system for digitized handwritten answers
[IEEE] 2026-2-11 | A CNN-Transformer Hybrid Framework for Mapping Annual Wheat Fractional Cover from 2001-2023 using MODIS Satellite Data over Asia_supp1-3660045.pdf
[IEEE] 2026-2-11 | No HDL, No Problem: HLS-Generated Power Wasters for Fault Injection in Cloud FPGAs
[IEEE] 2026-2-11 | Generative Data Augmentation for Transaction Fraud Detection Via Temporal Behavioral Sequences
[IEEE] 2026-2-11 | Calculating Method of the Parameters of Marching Propulsions and the Battery of the Command AUV for the Complex of the Noise Field Operational Monitoring
[IEEE] 2026-2-11 | Efficient Hyperparameter Tuning of the κ-η Regression Method by Training Data Sampling
[IEEE] 2026-2-11 | Design Proposal for a Closed-loop Automatic Control to Improve the Pumping System of 110kw Submersible Pumps, use in the Mining Sector
[IEEE] 2026-2-11 | Hybrid Compensation Topology for Suppressing Power Fluctuation of EV- DWPT System
[IEEE] 2026-2-11 | Channel Selection using Machine Learning Algorithms for Wireless Access Points
[IEEE] 2026-2-11 | Learning Deep Wavelet Features for Infrared Image Destriping
[IEEE] 2026-2-11 | Implementation Strategy of Soft-switching through DC Bias Variable Capacitance Based on Asymmetrical Voltage-Cancellation Control
[IEEE] 2026-2-11 | Optimized VMD-based fuzzy control of hybrid battery storage-assisted primary frequency regulation of thermal power units
[IEEE] 2026-2-11 | Powered Descent Trajectory Optimization of Chandrayaan-3 using Radau Collocation and Controllable Sets
[IEEE] 2026-2-11 | Active Target–Attacker–Defender differential game framework for analyzing multiple differential drive robot interactions
[IEEE] 2026-2-11 | Blockchain and Digital Signature Convergence in Academic Research
[IEEE] 2026-2-11 | A Method for Synthesizing a System for Adaptive Forming a Program Signal of the AUV Pitch Angle when It is Moved in a Vertical Plane
[IEEE] 2026-2-11 | The Features of the Design and Development of the Navigation System for the Manned Submersible Vehicle “Jason”
[IEEE] 2026-2-11 | AI-Powered Project Control System: A Conceptual Framework for Continuous Assessment and Mitigation throughout Project Lifecycle
[IEEE] 2026-2-11 | Face Recognition Based Attendance System Using Machine Learning and Euclidean Distance
[IEEE] 2026-2-11 | FPGA-Accelerated SPHINCS+: An Area-Optimized and High-Throughput Design
[IEEE] 2026-2-11 | Fuzzy Logic-Based Dual Adaptive Model Predictive Control for Improved Path Tracking
[IEEE] 2026-2-11 | SAM-based Unrectified Binocular Disparity Estimation
[IEEE] 2026-2-11 | A Coupled Two-Stage PINN Driven by Physical and Data Factors for Combined Electromigration and Thermomigration Stress Prediction
[IEEE] 2026-2-11 | Machine-Learning based Steer-by-Wire Road Feedback Generation for Real-Time Application
[IEEE] 2026-2-11 | CopyR-3DGS: Protecting the Copyright of 3D Gaussian Splatting Models
[IEEE] 2026-2-11 | A High-Efficiency DC-DC Boost Circuit with High Voltage Gain for Renewable Energy Systems
[IEEE] 2026-2-11 | Thermal3D-GS: Physics-induced 3D Gaussians for Thermal Infrared Novel-view Synthesis with a Large-Scale Dataset
[IEEE] 2026-2-11 | Sliding mode based optimal trajectory tracking control of 3-wheeled omnidirectional mobile robots*
[IEEE] 2026-2-11 | Retraction Notice: Sparse based Dimensionality Reduction for Big Data Management: SDN Perspective
[IEEE] 2026-2-11 | Intelligent Output Voltage Regulation of DC-DC Boost Converter Via Optimal Extended State Observer
[IEEE] 2026-2-11 | Energy Optimization in HVAC Systems Based on Model Predictive Control Using Linearized Thermal Dynamic Model
[IEEE] 2026-2-11 | Variational Methods in Analytic Number Theory: A Unified Framework Inspired by Ramanujan’s Work
[IEEE] 2026-2-11 | RRT* Based Optimal Trajectory Generation with Linear Temporal Logic Specifications under Kinodynamic Constraints
[IEEE] 2026-2-11 | IoT-Based Dehydrator System for Fruits and Vegetables
[IEEE] 2026-2-11 | Reliability-oriented Optimal Scheduling of Interconnected Hydrogen -integrated Energy Hubs
[ACM] 2026-2-11 | Bridging Academia and Industry: A Collaborative Approach for Developing a Responsible News Recommender System
[IEEE] 2026-2-11 | Optimizing Human-Exoskeleton Physical Interaction Through Spatial Trajectory Adaptation
[IEEE] 2026-2-11 | Self-Modified Dynamic Domain Adaptation for Industrial Soft Sensing
[IEEE] 2026-2-11 | MSFFRN: Multimodal Spatial-Frequency Fusion and Refinement Network for Hyperspectral and LiDAR Data Classification
[IEEE] 2026-2-11 | A Dual Circularly Polarized Phased Array Antenna with Enhanced Polarization Purity for Multi-Azimuth Plane Scanning
[ACM] 2026-2-11 | A Frontal Sinus Segmentation Method Fusing CT Value Priors and Boundary Constraints
[IEEE] 2026-2-11 | Research on Online Identification and Compensation Methods for Uneven Damping in Hemispherical Resonator Gyroscopes
[IEEE] 2026-2-11 | Automated Generation and Evaluation of Synthetic Dataset for Urban Tree Perception
[IEEE] 2026-2-11 | Study on Robotic Arm Operation for the Panel of Simulated Aircraft Cockpit Based on Two-Stage Visual Localization
[IEEE] 2026-2-11 | Integrated Quadruped–UAV Robotic Platform for Efficient Construction Site Inspection
[IEEE] 2026-2-11 | Analysis and identification of physiological profiles for cognitive load modeling in conditioned autonomous driving using unsupervised analysis and clustering
[IEEE] 2026-2-11 | An Ultra-Thin, Miniaturized and Broadband Design of Metasurface Absorber
[IEEE] 2026-2-11 | Cooperative Dubins-Based Task Planning for Multiple UAVs in Complex Obstacle Environments
[IEEE] 2026-2-11 | Comparative Study of Hands-on-Wheel Detection Using Wearable LSTM and Camera-Based Vision Models for Driver Monitoring
[IEEE] 2026-2-11 | Evaluating the Impact of Weather-Induced Sensor Occlusion on BEVFusion for 3D Object Detection
[IEEE] 2026-2-11 | Adaptive AI Systems for Personalized Cancer Treatment Plans
[IEEE] 2026-2-11 | D-TRACK: A Framework for Complexity Risks in Railway Digital Transformation Projects
[IEEE] 2026-2-11 | Towards Robust IoT Security: An ML and DL-Based Threat Detection Framework
[IEEE] 2026-2-11 | Sparse Structure Learning via ADMM in Networks Obeying Conservation Laws
[IEEE] 2026-2-11 | Optimal Power Dispatch from Battery and Engine of a Hybrid Vehicle through Multiparametric Mixed-Integer Programming
[IEEE] 2026-2-11 | Efficient Grasp Detection via Knowledge Distillation: A Lightweight Generative Grasping Convolutional Neural Network Framework
[IEEE] 2026-2-11 | Design and Implementation of a Hybrid Control Strategy for a Wide Power Range Soft-Switching in Electric Vehicle Wireless Power Transfer System
[IEEE] 2026-2-11 | Trajectory Optimization for Minimum Threat Exposure using Physics-Informed Neural Networks
[IEEE] 2026-2-11 | Synergistic Fusion for Traversability: Combining Footsteps, Semantics, and Geometry
[IEEE] 2026-2-11 | Understanding Circular Economy Collaborations in Manufacturing: Exploration of Theoretical Perspectives
[IEEE] 2026-2-11 | Design and Application of Power Balance Margin Analysis and Optimal Dispatching System Under Strongly Uncertain Scenarios
[IEEE] 2026-2-11 | Simultaneous Sensing of Contact Force and Edge Orientation by Using Excitation from Fingernail
[IEEE] 2026-2-11 | A YOLO-Driven Adaptive Focusing Network for Multi-Source Overlapping Modulation Perception
[IEEE] 2026-2-11 | High-Resolution Vortex Electromagnetic Wave Radar Sparse Imaging Using Efficient 2D-SLIM
[IEEE] 2026-2-11 | CGMNet: A Center-Pixel and Gated Mechanism-based Attention Network for Hyperspectral Change Detection
[IEEE] 2026-2-11 | Exponential improvements to the average-case hardness of BosonSampling
[IEEE] 2026-2-11 | Finding Colorings in One-Sided Expanders
[IEEE] 2026-2-11 | Whitefly and Cotton Leaf Curl Disease (CLCUD) Detection in Cotton Plants Using Deep Learning
[IEEE] 2026-2-11 | Development of a Cost-Effective IoT-Based System for Real-Time Monitoring and Management of Carbon Monoxide and Methane Levels
[IEEE] 2026-2-11 | Near-Asymptotically-Good Quantum Codes with Transversal CCZ Gates and Sublinear-Weight Parity-Checks
[IEEE] 2026-2-11 | An Improved Bound for the Beck-Fiala Conjecture
[IEEE] 2026-2-11 | Energy-Distribution-Based Parameter Screening of Corona Discharge Reactors: Achieving Efficient Trimethylamine Removal With Minimal Ozone per Removal Unit
[IEEE] 2026-2-11 | Voxel-PIM: An Efficient Process-in-Memory based ASIC Accelerator for Voxel-based Point Cloud Neural Networks
[IEEE] 2026-2-11 | Advanced Consumer Load Profile Analysis, and Clustering Application, in Tehran’s Electrical Network and Energy Observatory
[IEEE] 2026-2-11 | Modeling and Control of a Dual-Tilt Birotor UAV
[IEEE] 2026-2-11 | Estimating daily wet Nitrate deposition across China considering under-cloud and in-cloud scavenging effects from satellite observations
[IEEE] 2026-2-11 | PGVMS: A Prompt-Guided Unified Framework for Virtual Multiplex IHC Staining with Pathological Semantic Learning
[IEEE] 2026-2-11 | SEM-CLIP 2.0: Precise Zero-/Few-Shot Learning for Nanoscale Defect Detection in SEM Image
[IEEE] 2026-2-11 | Prediction and Image Formation for Serendipitous Resident Space Object Underflights of Landsat 8
[IEEE] 2026-2-11 | Investigation into the Mechanisms of Negative Sequence Current Distribution Among Grid-Forming Sources
[IEEE] 2026-2-11 | Retraction Notice: Retrieve Content Images using Color Histogram, LBP and HOG
[IEEE] 2026-2-11 | NPPC: Neural Parametric Planning Cost for End-to-end Autonomous Driving
[IEEE] 2026-2-11 | MIMO OFDM Waveform-Based State Estimate of Multiple Mobile Devices for 6G ISAC Systems
[IEEE] 2026-2-11 | Phased-MIMO Radar Beamforming for Integrated Multi-User Communication and Multi-target Sensing Over High-Frequency Bands
[IEEE] 2026-2-11 | Hierarchical Motion Planning for MASSs: A COLREGs-Compliant Framework Integrating Offline Trajectory Optimization and Real-Time Coupled Course-Speed Decision-Making_supp4-3662992.mp4
[IEEE] 2026-2-11 | A Passive Network Storage Covert Channel for the Internet of Things
[IEEE] 2026-2-11 | Decoding Public Reactions to Tax Policy Reforms Using BERT-Based Sentiment Analysis
[IEEE] 2026-2-11 | Smart Summarization of Terms &amp; Conditions: Making Legal Jargon User-Friendly
[IEEE] 2026-2-11 | Learning Beyond Price: A Hybrid RL Approach Leveraging Financial Reports and Evolving Sentiment
[IEEE] 2026-2-11 | Digital Twins in Surgery as a Real-Time Decision Support System: A Multi-Layered Framework
[IEEE] 2026-2-11 | Multi-Criteria Rake Link Optimization in a Dense Suburban Railway Network
[IEEE] 2026-2-11 | ICCR 2025 Author Index
[IEEE] 2026-2-11 | Machine Learning - Based Analysis of Driving Performance and Fatigue - Induced Behavioral Factors
[IEEE] 2026-2-11 | Disturbance Analysis with Super-Twisting Sliding Mode Control for UAVs
[IEEE] 2026-2-11 | Efficient Multi-designated Receiver Authenticated Broadcast Encryption for Group Messaging
[IEEE] 2026-2-11 | A Method for Generating Elevator Detection Video Texts Based on Semantic Recognition
[IEEE] 2026-2-11 | Reinforcement Learning-Based Adaptive Voltage Support for Grid-Forming Converters
[IEEE] 2026-2-11 | Value-Based Reinforcement Learning for Mapless Navigation of a Mobile Robot
[IEEE] 2026-2-11 | A Style Transfer-Based Method for Land Cover Segmentation in Power Grid Project Remote Sensing Images
[IEEE] 2026-2-11 | A High Parameters Tolerance CPT System with Constant Voltage Output
[IEEE] 2026-2-11 | Decoupling Analysis of Carbon Emissions and Economic Growth in the Power Sector
[IEEE] 2026-2-11 | Assessing the Probability of Detection in a Frequency-Selective EMD Detector: A Design Perspective
[IEEE] 2026-2-11 | Beyond Black Boxes: Trustworthy and Energy-Efficient IoT Systems for Extended Lifespan and Reduced Bias in Remote Health Monitoring
[IEEE] 2026-2-11 | Modeling and Control of an H-Configuration Quadrotor with Foldable Arms
[IEEE] 2026-2-11 | Prompt Complexity and Plan Stability: Benchmarking On-Device Language Planning for Robots
[IEEE] 2026-2-11 | Research on Efficiency Optimization and Constant Voltage Output Composite Control of WPT System Based on Topology Switching
[IEEE] 2026-2-11 | A Hierarchical Combined Fault Injection-Based Resilience Evaluation Method for Heterogeneous Power Terminals
[IEEE] 2026-2-11 | Safety Certification in the Latent space using Control Barrier Functions and World Models
[IEEE] 2026-2-11 | Machine Learning-Based SoC and RUL Estimation Applied to an Electric Bus Fleet
[IEEE] 2026-2-11 | Criticality Metrics for Relevance Classification in Safety Evaluation of Object Detection in Automated Driving
[IEEE] 2026-2-11 | Label Anything, Train Nothing: 2D Zero-Shot Annotation via Generative VLMs, Zero-Shot Object Detectors and Foundation Models
[IEEE] 2026-2-11 | Towards Holistic Safety Engineering for Automated Driving via the Scenarios as Specification Approach
[IEEE] 2026-2-11 | Multi-Objective Path Planning of Robots in Nuclear Environments Based on Improved Ant Colony Algorithm
[IEEE] 2026-2-11 | Multi-Pass Streaming Lower Bounds for Approximating Max-Cut
[IEEE] 2026-2-11 | IEEE Transactions on Circuits and Systems for Video Technology Publication Information
[ACM] 2026-2-11 | Design and Implementation of an ADS1299-Based Electrophysiological Signal Acquisition System
[IEEE] 2026-2-11 | Research on Coupling Task Scheduling for Four-Way Shuttle-Based Systems
[IEEE] 2026-2-11 | Zonotopic Stability Conditions via Set-Invariance for Delay Difference Equations
[IEEE] 2026-2-11 | Cyber-Secure Self-healing Secondary Voltage Control Method in Isolated AC Microgrids under FDI Attacks on Communication Links
[IEEE] 2026-2-11 | Near-Optimal Analytical Terminal Descent Guidance for Lunar Landers under State and Control Constraints
[IEEE] 2026-2-11 | Preface
[IEEE] 2026-2-11 | Table of Contents
[IEEE] 2026-2-11 | SGC 2025 Authors Index
[IEEE] 2026-2-11 | Adaptive Hybrid Prediction-Correction with Trust-Region and Dynamic Line Search for AC/DC Load Flow
[IEEE] 2026-2-11 | Retraction Notice: Histogram based Human Computer Interaction for Gesture Recognition
[IEEE] 2026-2-11 | A 0.29 pJ/b 5.27 Tb/s/mm UCIe Advanced Package Link With 2.5-D CoWoS Interposer and a 0.52 pJ/b 0.448 Tb/s/mm UCIe Standard Package Link With Organic Substrate in 3 nm FinFET
[IEEE] 2026-2-11 | ARViP: Adversarial Regularization in Visuomotor Policies for Robotic VLA Purpose
[IEEE] 2026-2-11 | The inNuCE Research Infrastructure and the Neuromorphic MLOps for AIoT prototyping
[IEEE] 2026-2-11 | SCAW: Exploring Semantic Structures of Radio Signals via Soft Top-k Contrastive and Adaptive Consistency with Wavelet Refinement
[IEEE] 2026-2-11 | IoT Service Orchestration in Edge-Cloud Continuum with 6G: A Review
[IEEE] 2026-2-11 | Game Plot Design With an LLM-Powered Assistant: An Empirical Study With Game Designers
[IEEE] 2026-2-11 | SFTCN: Scale Fusion Temporal Convolutional Network for Time Series Forecasting
[IEEE] 2026-2-11 | Smooth Spatiotemporal Tube Synthesis for Prescribed-Time Reach-Avoid-Stay Control
[IEEE] 2026-2-11 | ICCR 2025 Cover Page
[IEEE] 2026-2-11 | Tube-Based Robust Obstacle Avoidance and Following Control for Vehicle Formations
[IEEE] 2026-2-11 | Automation of Machine Learning Model in Dynamic Production Environment
[IEEE] 2026-2-11 | Cross-View Trace Link Prediction with Multi-Feature GNNs: Creating and maintaining Traceability from Requirements to Components
[IEEE] 2026-2-11 | Reviewers: ICNSC 2025
[IEEE] 2026-2-11 | IoT-Enabled Sleep Monitoring and Cognitive Assessment for Evaluating Teacher Well-Being
[IEEE] 2026-2-11 | Load Profile Estimation of Power Distribution Transformers Based on Limited Smart Meter Data
[IEEE] 2026-2-11 | Integrating Sentiment Analysis and Technical Indicators for Stock Price Prediction Using Machine Learning Techniques
[IEEE] 2026-2-11 | ShipSense: Live Shipment Monitoring and Alerting via Mobile-Integrated IoT System
[IEEE] 2026-2-11 | Secure Framework for Privacy and Risk Mitigation in IoT-Enabled Health Insurance
[IEEE] 2026-2-11 | An Ensemble Approach to Stock Price Prediction: LSTM and Random Forest Integration
[IEEE] 2026-2-11 | Weighted Eligibility-Based Product Recommendation System
[IEEE] 2026-2-11 | Automated EARS-Based Requirements Generation with Lightweight Large Language Models
[IEEE] 2026-2-11 | A Comprehensive Survey of Underwater Image Enhancement: Trends in Physics-Based, Visual Prior, Data-Driven, and Hybrid Approaches
[IEEE] 2026-2-11 | An Adaptive $L_{1}$-And- $L_{2}$-Normed Latent Factorization of Tensors Model for Imputing Water Quality Monitoring Data
[IEEE] 2026-2-11 | CPED-NCBFs: A Conformal Prediction for Expert Demonstration-based Neural Control Barrier Functions
