[2026-08-21 03:05:55] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-08-20
正在获取论文...
[arXiv] 2026-08-20 | A Fully Automated, Deployment-Aware Testing Pipeline for IoT-Based Automotive Applications
[arXiv] 2026-08-20 | Let's Scale Step by Step: Compute-Efficient Hyperparameter Transfer for Large-Scale Mixture-of-Experts
[arXiv] 2026-08-20 | QED radiative effects in semi-inclusive deep-inelastic scattering: traditional and factorized approaches
[arXiv] 2026-08-20 | FlashPrefill V2: Block-Sparse Prefill Attention for Long-Context LLM Serving
[arXiv] 2026-08-20 | Galactic microlensing by Lobo-Parsaei-Riazi phantom wormhole: Paczyński light curves and probabilistic features
[arXiv] 2026-08-20 | A Controllability Gramain Shaping with LMI Constraints under Bures--Wasserstein Distance
[arXiv] 2026-08-20 | Dangling points in area-minimizing Meissner polyhedra
[arXiv] 2026-08-20 | PersonalBench: Measuring the Authorship Gap in LLM Personalization
[arXiv] 2026-08-20 | Conditioned Brownian motion and local equivalence of path ensembles
[arXiv] 2026-08-20 | Keeping the Franka Emika Panda alive: a ROS 2 stack with a reliable position interface
[arXiv] 2026-08-20 | Real polynomials with given multiplicities of real roots: Complete conjectural description of homology
[arXiv] 2026-08-20 | Nonlinear tunnel oscillations of light in spherical Bragg resonators
[arXiv] 2026-08-20 | SafeBranch: Branch-Pair Safety Alignment for Embodied Agents
[arXiv] 2026-08-20 | Copula-Based Reconstruction and Clustering of Coccidioides Minimum Inhibitory Concentration Profiles
[arXiv] 2026-08-20 | Tropical and Stringy Integrals for In-In Correlators
[arXiv] 2026-08-20 | Tracing Vacuum Hadronization with Conserved Currents
[arXiv] 2026-08-20 | Interplay of exchange and spin-conserving scattering processes in a ferromagnetic two-sublattice system
[arXiv] 2026-08-20 | Coherence protection of a silicon hole spin qubit with phase-modulated microwave driving
[arXiv] 2026-08-20 | Lexicographic Combination of Reduction Pairs (Extended Version)
[arXiv] 2026-08-20 | Towards independent event horizon imaging of the supermassive black holes in M87 and the Milky Way
[arXiv] 2026-08-20 | SAGE: Ergodic Control for Autonomous and Adaptive Inspection of Subsea Infrastructure
[arXiv] 2026-08-20 | Scaffolding Minds: Optimizing Latent Visual Target Representations for Multimodal Reasoning
[arXiv] 2026-08-20 | A charge selection rule fixes what a squeezed-light reservoir computer can compute and afford
[arXiv] 2026-08-20 | Topological degree and existence of nontrivial normalized solutions for mass-critical Gross-Pitaevskii systems
[arXiv] 2026-08-20 | Variational Quantum Linear Solver via Block Encoding for the Poisson Equation
[arXiv] 2026-08-20 | DeltaML-Bench: Evaluating Machine Learning Agents on Real-World Research Repositories
[arXiv] 2026-08-20 | Enhancing Privacy in Federated Learning via Dual Obfuscation of Gradients and Training Images
[arXiv] 2026-08-20 | The Calibration Illusion in Traffic Microsimulation
[arXiv] 2026-08-20 | TextRefine: Improving Textual Fidelity, Spatial Placement, and Glyph Rendering for Text Editing in Product Posters
[arXiv] 2026-08-20 | The comets discovered from New Zealand, and the astronomers who found them
[arXiv] 2026-08-20 | Complementary, Not Cumulative: Interaction Effects in Physics-Informed Neural Networks for Navier-Stokes Vortex Shedding
[arXiv] 2026-08-20 | A Thread-Register Decoupled GPU Execution Model for Efficient Tensor Computation
[arXiv] 2026-08-20 | A New Method for Quasinormal Modes From Bound States and Homotopy deformations
[arXiv] 2026-08-20 | Mesoscopic Rectangular Spikes under Subspace Local Laws: Outlier Values and Singular Subspaces
[arXiv] 2026-08-20 | Estimating Negative Income Distributions via Data Fusion with Vine Copula-based Imputation
[arXiv] 2026-08-20 | HiTac-WAM: A Hierarchical Tactile World Action Model for Contact-Rich Robot Manipulation
[arXiv] 2026-08-20 | Non-equivalence of pro-$p$-Iwahori invariants
[arXiv] 2026-08-20 | A gap theorem for metric solitons and its applications
[arXiv] 2026-08-20 | When Do LLM Agents Help? Deadline-Aware Mixed-Criticality Task Scheduling at the Autonomous-Vehicle Edge
[arXiv] 2026-08-20 | Empirical Evaluation of Cross-Carrier MCPTT & OTT MCX Interoperability in High-Density Environments
[arXiv] 2026-08-20 | Delegating or Doing? Understanding User Behavior in Hybrid Human-Agent Interfaces
[arXiv] 2026-08-20 | Search for top quark flavor-changing neutral currents in multilepton final states using an effective field theory approach in proton--proton collisions at $\sqrt{s}$ = 13 TeV
[arXiv] 2026-08-20 | Observation of an excess at the top quark pair production threshold in the single-lepton channel
[arXiv] 2026-08-20 | Composition-Driven Phase Evolution in Sm-Doped BiFeO3 via Latent-Field Reconstruction of Atomically Resolved STEM Data
[arXiv] 2026-08-20 | Spheroid rolling up on diverging inclines
[arXiv] 2026-08-20 | Higher Chern--Simons Theory in $2n+2$ Dimensions for Balanced 2-term $L_\infty$-Algebras
[arXiv] 2026-08-20 | Automated Summarization of Financial News Using Large Language Models and Retrieval-Augmented Generation: An Early Empirical Study (Fall 2023)
[arXiv] 2026-08-20 | Garbage Collection and Energy Consumption in Java: A Controlled Study Across Workloads and JDKs
[arXiv] 2026-08-20 | Non-ideal MHD and protostellar feedback effects on disc formation and evolution in numerical simulations of star cluster formation
[arXiv] 2026-08-20 | Height and distance-squared functions on implicit plane curves
[arXiv] 2026-08-20 | Higher order logarithms of Bessel operators and an extension problem
[arXiv] 2026-08-20 | Outflows in steep density gradients: diversity of behavior and implications for tidal disruption events and luminous fast blue optical transients
[arXiv] 2026-08-20 | An arithmetic approach to parabolic multiplicity in complex dynamics
[arXiv] 2026-08-20 | Real Interference Alignment for Active IRS-Aided Systems: A Rate-Profile Learning-Based Approach
[arXiv] 2026-08-20 | Forgotten characters
[arXiv] 2026-08-20 | 3-D numerical modelling of the feedback between deformation and thermal structure during subduction initiation for the French Lesser Antilles
[arXiv] 2026-08-20 | Weakly stable solutions of Serrin's problem
[arXiv] 2026-08-20 | Learning Highly Dynamic Skills Transition for Quadruped Jumping Through Constrained Space
[arXiv] 2026-08-20 | Random valuations
[arXiv] 2026-08-20 | Harmonic Stability of Power Systems: A Control-Theoretic Definition and Assessment Criteria
[arXiv] 2026-08-20 | ReguSim: Evaluating LLM Agent Rule Grounding in Financial Compliance
[arXiv] 2026-08-20 | Exceptional sets for compositions involving Euler's function,the divisor-sum function and Dedekind's function
[arXiv] 2026-08-20 | Robust Incomplete Multimodal Sentiment Analysis via Iterative Proxy Correction
[arXiv] 2026-08-20 | A Note on a High-Energy Limit of Gravitational Perturbation Theory
[arXiv] 2026-08-20 | Universal Relations for Neutron Stars from Asymptotic Analysis
[arXiv] 2026-08-20 | Full frame denoising for pyramid wavefront sensors
[arXiv] 2026-08-20 | Energy rigidity and weak-strong uniqueness for the 2D anisotropic Navier-Stokes equations
[arXiv] 2026-08-20 | Securing Filesystems for Confidential Computing
[arXiv] 2026-08-20 | Auditing Recorded Predictive Lead Service-Line Classifications Against Physical Verification: A Statewide Study of New York
[arXiv] 2026-08-20 | Disassembling qLDPC codes for depth-optimal parity-check circuits
[arXiv] 2026-08-20 | Polyomino Nets Covering Three Different Boxes of Area 106 and Related Results
[arXiv] 2026-08-20 | A Layered Simplex Architecture for Large Alphabets
[arXiv] 2026-08-20 | PETA:Parameter-Efficient Test-Time Adaptation for Virtual Screening
[arXiv] 2026-08-20 | Fixed-structure Gaussian Mixture Filtering with Robust Measurement Updates under Outliers
[arXiv] 2026-08-20 | Separating Covariate Shift from Mechanism Change with Two Discriminators: CJSD, a Conditional Discrepancy with an Exact Covariate-Concept Decomposition
[arXiv] 2026-08-20 | Evaluating Smart Home Device User Responses to their (Un)Confirmed Privacy Expectations
[arXiv] 2026-08-20 | New upper bounds on covering codes K_q(n,R) for alphabets of size six and seven
[arXiv] 2026-08-20 | DIFFCZSL: Compositional Zero-Shot Learning Regularized by Diffusion Representations
[arXiv] 2026-08-20 | Hammock localization via Segal animae
[arXiv] 2026-08-20 | A 39pJ/b 7.3Gbps 1.3mm$^2$ Multi-Subcarrier Massive MU-MIMO-OFDM Detector Exploiting Beamspace Sparsity and Frequency-Domain Correlation in 22FDX
[arXiv] 2026-08-20 | Volatile resistive-switched state in a bulk organic conductor with a sharp metal-insulator transition
[arXiv] 2026-08-20 | To Control or not to Control
[arXiv] 2026-08-20 | PolicyGuide: From Guarding One Action to Guiding the Whole Workflow for Policy-Compliant LLM Agents
[arXiv] 2026-08-20 | Online Test-Time Adaptation for Generalizable Dynamic Graph Anomaly Detection
[arXiv] 2026-08-20 | Tilted $p$-wave magnet candidate CeNiAsO
[arXiv] 2026-08-20 | Partial Identification Learning with Categorical Treatments for Individualized Treatment Rules
[arXiv] 2026-08-20 | Resilience in Trustworthy Wireless Systems
[arXiv] 2026-08-20 | Random Cap: Optimal Informationally Robust Delegation
[arXiv] 2026-08-20 | Circles determined by planar point sets
[arXiv] 2026-08-20 | Fourier is Frontier: Frequency-Aware Autoencoding for High-Fidelity Music Reconstruction
[arXiv] 2026-08-20 | Simulation of trapped non-neutral plasma dynamics with rotating wall compression
[arXiv] 2026-08-20 | Nuclear-Electronic Orbital Subsystem Density Functional Theory
[arXiv] 2026-08-20 | Causal Reasoning with Bipartite Graphical Causal Models
[arXiv] 2026-08-20 | Calming Robot Pitches? Exploring the Influence of Robot Voice Pitch on Children's Stress Levels
[arXiv] 2026-08-20 | Towards Clinically Faithful Medical Image Captioning via Enhanced Vision-Language Alignment
[arXiv] 2026-08-20 | Simultaneous 3D co-registered perfusion and oxygenation with ULM, photoacoustic imaging, and a planar matrix array
[arXiv] 2026-08-20 | Eigensolvers for polynomial roots and tensor decomposition
[arXiv] 2026-08-20 | Unsupervised Anomaly Detection Using Flow Matching on Tabular Data
[arXiv] 2026-08-20 | Optimal Sobolev Approximation by Deterministic and Random Shallow Sigmoidal Networks
[arXiv] 2026-08-20 | A Stationary Composition Law for Schwinger-Keldysh Effective Actions
[arXiv] 2026-08-20 | Towards general embodied intelligence: integrating large language models, knowledge bases, and reasoning capabilities to build the next generation of AI agents
[arXiv] 2026-08-20 | TT-net: Quantum Inspired Tensor Network Denoising in Conditional GANs
[arXiv] 2026-08-20 | Non-persistence of equality between chromatic polynomials and list-color functions
[arXiv] 2026-08-20 | skchange: Fast and Flexible Algorithms for Changepoint Detection
[arXiv] 2026-08-20 | Krylov Tomography and Finite-Uncertainty Certification of Exceptional-Point Dynamics
[arXiv] 2026-08-20 | Coulomb blockade-like transport and enhanced memory in organic transistors embedded with sub-nm Pt nanoparticles for neuromorphic computing
[arXiv] 2026-08-20 | Extraction of DVCS amplitudes off the nucleon
[arXiv] 2026-08-20 | Re-evaluating the resolved mass-metallicity relation with a self-consistent metallicity calibration
[arXiv] 2026-08-20 | Splitting probabilities for Brownian motion with diffusing boundaries: Application to polymer translocation
[arXiv] 2026-08-20 | The Local Langlands Correspondence for Middle Supercuspidal Representations of $p$-adic $\text{GL}(2n)$
[arXiv] 2026-08-20 | InsufficiencyBench: Evaluating LLM legal advice on underspecified user queries
[arXiv] 2026-08-20 | Carleson measures, Volterra integral operators and multipliers for $Q_K$ spaces
[arXiv] 2026-08-20 | The arithmetic de Rham stack
[arXiv] 2026-08-20 | MemTrapBench: Benchmarking Cognitive Traps in LLM Memory Use
[arXiv] 2026-08-20 | Task-CoEvolve: Efficient Harness Optimization via Adaptive Validation Task Selection
[arXiv] 2026-08-20 | Photogalvanic transport of nonreciprocal Cooper-pair fluctuations
[arXiv] 2026-08-20 | Proper Learning of Shallow All-to-All Quantum Circuits
[arXiv] 2026-08-20 | Chameleon: Robust Defense Against Tor Website Fingerprinting via Many-to-Many Traffic Morphing
[arXiv] 2026-08-20 | The ebbs and flows of quantum learning and sensing
[arXiv] 2026-08-20 | A Zoology of Quantum Turing Patterns
[arXiv] 2026-08-20 | Exploring chiral dynamics with low-energy electron- and positron-nucleon scattering
[arXiv] 2026-08-20 | DPC-Net: Dual-Prior Collaborative Network for All-in-One Image Restoration
[arXiv] 2026-08-20 | Feature Evolution and Migration during Vision Transformer Training
[arXiv] 2026-08-20 | SAE-Xplainers: Rule-Based Feature Interpretation for Extreme Earth Events
[arXiv] 2026-08-20 | Counterexamples to the fractional coloring conjecture for triply efficient shadow tomography
[arXiv] 2026-08-20 | Flow Matching-Based PET Image Reconstruction
[arXiv] 2026-08-20 | ODEONN: A Digital ODE Solver Architecture for Oscillatory Neural Networks
[arXiv] 2026-08-20 | BeyondMasks: Evaluating Causal and Physical Consistency in Video Object Removal
[arXiv] 2026-08-20 | Reward-Guided Autoregressive Graph Generation for Efficient Multi-Agent Communication Topology Design
[arXiv] 2026-08-20 | Nonlinear Controllability and the Propagation of Local Information: From the Kalman Family to Lie Brackets, Rotation Groups, and Reachable Subgroups
[arXiv] 2026-08-20 | Evidence-Gated Task and Motion Planning with Vision-Language Models
[arXiv] 2026-08-20 | SABET-QA: Temporal Knowledge Graph Question Answering
[arXiv] 2026-08-20 | Climate change and human mobility will shape dengue emergence risk in Europe
[arXiv] 2026-08-20 | Gravity-aware partially calibrated absolute pose estimation from affine- or rotation-covariant features
[arXiv] 2026-08-20 | Wave-Based Bilateral Teleoperation between Nonlinear Manipulators with Direct Contact Force Feedback
[arXiv] 2026-08-20 | Inverse Hessian Curvature Flow in Minkowski Space II: The Dirichlet problem at infinity
[arXiv] 2026-08-20 | Broadcast Domination Number is at Most Twice the Multipacking Number
[arXiv] 2026-08-20 | Lensing and enhanced single atom detection via a single-pixel nanostructure
[arXiv] 2026-08-20 | Universal torsors over quartic del Pezzo surfaces and stable rationality
[arXiv] 2026-08-20 | Electron energy gain in a dielectric laser accelerator as a function of the base angle of a triangular grating structure
[arXiv] 2026-08-20 | Systematic Evaluation of TabPFN-TS for Zero-Shot Probabilistic Heat Load Forecasting in District Heating Networks
[arXiv] 2026-08-20 | A Variational Characterization of Positive Scalar Curvature Kähler metrics
[arXiv] 2026-08-20 | Understanding the superiority of multi-model ensemble forecasts through reservoir computing
[arXiv] 2026-08-20 | Nanoscale silicon sensor - guided new insights into early metabolic response of Escherichia coli to ampicillin
[arXiv] 2026-08-20 | ConceptGuard: Benchmarking Context-Sensitive Unlearning in Large Language Models
[arXiv] 2026-08-20 | WithEveryone: Unified Planning and Identity Grounding for Group Image Generation
[arXiv] 2026-08-20 | Swift-Image: Exploring the Performance Frontier of Compact Unified Image Generation Models
[arXiv] 2026-08-20 | Maximal Torus Topological Entanglement Entropy in WZW Theories at Bounded Ground-State Degeneracy
[arXiv] 2026-08-20 | Large Sample Properties of Higher Order Markov Models
[arXiv] 2026-08-20 | Inducing Task Models from Computer-Use Traces
[arXiv] 2026-08-20 | Imaging the vacuum fluctuations of a quantum field
[arXiv] 2026-08-20 | Signatures of a light-induced exciton condensate exhibiting BEC-BCS crossover
[arXiv] 2026-08-20 | DreamHand: Repurposing Video Diffusion Models for Occlusion-Robust Egocentric 3D Hand Motion Recovery
[arXiv] 2026-08-20 | Calibration-Induced Degeneracy in LLM Financial Forecasting: An Audit-Trailed Case Study on Next-Day Market Risk
[arXiv] 2026-08-20 | Excitation of the lower-hybrid drift instability in the outflow of electron-only magnetic reconnection
[arXiv] 2026-08-20 | Zero-Sum Power Factor Games
[arXiv] 2026-08-20 | Non-Minimally Coupled Warm Inflation in the Defining Frame
[arXiv] 2026-08-20 | Programmable cavity QED with a fiber-integrated atomic array
[arXiv] 2026-08-20 | Robustness of random-walk Metropolis for steep potentials
[arXiv] 2026-08-20 | DART-S: Reachability-Audited Active-Suspension Preconditioning for Off-Road Vehicle Jumps
[arXiv] 2026-08-20 | Break It Down, Pass It On: Cross-Task Skill Transfer in LLM Agents
[arXiv] 2026-08-20 | Two results on asphericity
[arXiv] 2026-08-20 | Probabilistic kilonova prediction from gravitational wave inferred binary neutron star parameters
[arXiv] 2026-08-20 | From Kriging to Spatial AI: Fifty Years of Spatial Statistics for Complex Dependent Data
[arXiv] 2026-08-20 | Operational Foundations for Quaternionic and Octonionic Quantum Models: Exact Quaternionic Channels and Error Correction, Para-Linear Operators, and Categorical Closure Boundaries Beyond Associativity
[arXiv] 2026-08-20 | Synchronization and Channel Estimation of OTFS with RF Impairments
[arXiv] 2026-08-20 | Optimal Skill Selection for LLM Agents with Provable Bicriteria Guarantees
[arXiv] 2026-08-20 | Projector Is All You Train
[arXiv] 2026-08-20 | ALOHA IRDCs Molecular Line Follow-up: I. Gas properties and kinematics
[arXiv] 2026-08-20 | Video2DoorTraversal: Push Door Traversal via Simulated Door Twins
[arXiv] 2026-08-20 | Jamming Extensions of Quantum Correlations Lead to Hidden Superluminal Signaling
[arXiv] 2026-08-20 | QUASAR: A Quantum-Classical Neural Network for SAR Satellite Physical-Layer Authentication
[arXiv] 2026-08-20 | Rule-Compliant Visual Spatial Planning for Multimodal Large Language Models
[arXiv] 2026-08-20 | Differentially Private Continual Release with Relative Error
[arXiv] 2026-08-20 | Prompt-Conditioned Channel Attention for Hierarchical Feature Modulation toward Anatomy-Agnostic Segmentation
[arXiv] 2026-08-20 | Sharp Summability of Nevanlinna Defects for Finite-Lower-Order Holomorphic Curves
[arXiv] 2026-08-20 | Direct vs. Indirect Data-Driven Control: Case-study of Switching Systems Stability
[arXiv] 2026-08-20 | A Resource-Efficient CNN-Based EEG Auditory Attention Decoding ASIC
[arXiv] 2026-08-20 | A note on interior curvature estimates for strictly convex solutions to the equation of prescribed curvature quotient
[arXiv] 2026-08-20 | A Standardized Framework for Machine Learning in Power System Protection
[arXiv] 2026-08-20 | Dynamic Portfolio Optimization under CVaR Constraints
[arXiv] 2026-08-20 | Characterization of a damping channel as a mixture of amplitude damping and anti-damping channels of different parameters
[arXiv] 2026-08-20 | Spin-Inversion Degeneracies in Restricted Inspiral Waveforms for LISA
[arXiv] 2026-08-20 | Large Scale Entanglement Structure Detection in 100-Qubit Systems via Local Joint Measurements
[arXiv] 2026-08-20 | Incorporating multiscale mechanics in lithium-ion battery models
[arXiv] 2026-08-20 | Numerical Study of a Surface Growth Model with Singular Noise
[arXiv] 2026-08-20 | The nested derivative criterion for determining elementary solutions to certain non-linear PDEs in one-dimensional space-time
[arXiv] 2026-08-20 | PelviNeXt: A Modality-Agnostic Hybrid Network for Pelvic Imaging in Women's Health
[arXiv] 2026-08-20 | Wavefront shaping of terahertz radiation using two-color flying-focus pulses with time-dependent focal velocities
[arXiv] 2026-08-20 | Vacuum viscosity and relativistic inertia: Motion of a massive object with charged internal degrees of freedom interacting with a classical field
[arXiv] 2026-08-20 | Structural complexity of an SU(3) Fermi Hubbard model
[arXiv] 2026-08-20 | RMWorld: Task-Aware Radio World Models with Value-of-Information Guided Multi-Trial Learning for Multi-UAV Communication Control
[arXiv] 2026-08-20 | Discrete Diffusion Inference-Time Control with Nested Sequential Monte Carlo
[arXiv] 2026-08-20 | Privacy-Preserving Detection of Rare Disease-Associated Cell Subsets via Secure Multi-Party Computation
[arXiv] 2026-08-20 | Implicit BDF2 dual time-stepping positivity-preserving entropy-stable schemes for unsteady compressible viscous flows
[arXiv] 2026-08-20 | Low-complexity Soft-decision LLR Calculations for Next-generation IM-DD Systems with RIN
[arXiv] 2026-08-20 | Non-minimal Unimodular Inflation
[arXiv] 2026-08-20 | Towards Professional Tennis Styles for Humanoid Robots with Adaptive Motion Planning and Tracking
[arXiv] 2026-08-20 | Correlations at criticality in ecological communities
[arXiv] 2026-08-20 | Completely isometric subspaces of noncommutative $\mathrm{L}^p$-spaces and contractive projections
[arXiv] 2026-08-20 | Analyzing Quasi-normal modes spectrum in asymptotically de Sitter black bounces and their optical appearance
[arXiv] 2026-08-20 | Dual Control: On Exploration-Exploitation in Linear Systems
[arXiv] 2026-08-20 | Calderón-Zygmund estimates for parabolic systems with $p$-growth and non-divergence data
[arXiv] 2026-08-20 | Orthogonal JEPA: Factorized Predictive States for Latent World Models
[arXiv] 2026-08-20 | PPT Entanglement with Correlated Catalysis: Monotones and Irreversibility
[arXiv] 2026-08-20 | Stability of admissible solutions for coexisting phase transitions for one-dimensional compressible van der Waals fluids
[arXiv] 2026-08-20 | Pressure-tuning of electronic structure of CeTe3 probed by femtosecond collective mode spectroscopy
[arXiv] 2026-08-20 | EchoCoT: Extracting Hidden Chain-of-Thought from Large Reasoning Models
[arXiv] 2026-08-20 | DecoVAE: a Lightweight Interpretable Trend-Seasonal VAE Framework for Efficient Probabilistic Time Series Forecasting
[arXiv] 2026-08-20 | The Prescribed-Vertex Semidegree Threshold for Directed $3q$-Cycles in Oriented Graphs
[arXiv] 2026-08-20 | Auditing Cross-Lingual Fairness in Language Model Watermarking
[arXiv] 2026-08-20 | Rigidity of shrinking gradient ricci soliton with constant scalar curvature
[arXiv] 2026-08-20 | A large-scale dataset of sub-institution name disambiguation and hierarchical structures from OpenAlex
[arXiv] 2026-08-20 | Simultaneous approximation to pairs of real numbers
[arXiv] 2026-08-20 | Mutually phase-stable tunable attosecond soft X-ray attosecond pulses from a free-electron laser
[arXiv] 2026-08-20 | The Reconfiguration Premium: Co-movement Structure as an Unspanned Dimension of the Variance Risk Premium
[arXiv] 2026-08-20 | ExPhy: A Benchmark for Explicit Physical Property Learning in Multi-Object Trajectory Forecasting
[arXiv] 2026-08-20 | SCoRD: Semantic-Assisted Continual Retriever-Reranker Distillation for LLM-Based Recommendation
[arXiv] 2026-08-20 | Generalized inverses of strictly monotone transformations
[arXiv] 2026-08-20 | Hamiltonian Floer Theory for Quantum Electrodynamics up to First Order in $\hbar$
[arXiv] 2026-08-20 | Resonant state expansion for acoustic resonators. Part II. Scattering problem
[arXiv] 2026-08-20 | On facet gaps of order and chain polytopes
[arXiv] 2026-08-20 | Generalized Hamming weights of codes arising from complete intersection
[arXiv] 2026-08-20 | PVRA: A Pointwise Key-point Voting Framework for Robotic Assembly
[arXiv] 2026-08-20 | Oscillator-driven broadband femtosecond transient microspectroscopy with supercontinuum probes generated in a photonic crystal fiber
[arXiv] 2026-08-20 | Rethinking Patch Based Multivariate Time Series Forecasting with Semantic Structured Partitioning
[arXiv] 2026-08-20 | Dynamics of Charged Radiating Collapse with Shear and Anisotropy
[arXiv] 2026-08-20 | Evaluating Automated Testing on an Open-Source Web Application Using Cypress
[arXiv] 2026-08-20 | Experimental Verification of Fast Voltage Droop Correction Circuits
[arXiv] 2026-08-20 | Designing Human-mediated AI Guidance: Ready Together for Personalized Family Emergency Preparedness
[arXiv] 2026-08-20 | Tuning of Photoexcited Electron Dynamics at Monolayer h-BN/Metal Interfaces by Corrugation
[arXiv] 2026-08-20 | ShadowPath: Lookup-Private Credential Status Verification over Authenticated State
[arXiv] 2026-08-20 | Towards Quantifying Benchmark Optimization in ASR Models
[arXiv] 2026-08-20 | Building atomistic models of heterointerfaces with optimal transport
[arXiv] 2026-08-20 | A Strong Linear Baseline for Whole-Heart Cardiac Shape Completion on CT, with an Open Eleven-Structure Statistical Shape Model
[arXiv] 2026-08-20 | On the Generalized Rational Exponents Conjecture
[arXiv] 2026-08-20 | How many cherry-picking sequences are needed to reduce all subtrees of a phylogenetic tree?
[arXiv] 2026-08-20 | Multi-Source Wasserstein Distributionally Robust Graph Learning
[arXiv] 2026-08-20 | Ramanujan Cayley Graphs with Normal Connection Sets in Ratio-One Frobenius Groups
[arXiv] 2026-08-20 | MaliciousSkillBench: A Comprehensive Benchmark for Malicious Agent Skill Detection
[arXiv] 2026-08-20 | AvatarDynamizer: From Static to Dynamic Human Avatars via Generative Dynamic Textures
[arXiv] 2026-08-20 | The impact of feature engineering and an optimisation framework for ocean colour machine learning
[arXiv] 2026-08-20 | Unified and Efficient Point-Line Local Features
[arXiv] 2026-08-20 | Interrupting the Loop: Periodic Subject Changes Raise Judged Surprise and Connection in Base Language Models
[arXiv] 2026-08-20 | Quasi-diurnal Kelvin Wave Observed in the Atmosphere of Mars by the Pressure Sensor on the InSight Lander
[arXiv] 2026-08-20 | Reliable Neural Collapse Approximation for Open-World Test-Time Adaptation
[arXiv] 2026-08-20 | Intermittent Flocking and Fractal Collective Order Induced by Time-Varying Delays
[arXiv] 2026-08-20 | Gap spectra and densities of slow Fibonacci walks
[arXiv] 2026-08-20 | A Prediction for DESI Full-Shape: Increasing Tomographic $Ω_m(z)$ Trend
[arXiv] 2026-08-20 | Combining Concurrent and Historical Functional Linear Regression
[arXiv] 2026-08-20 | Sub-optimality of Marton's Inner Bound for the Two-Receiver Broadcast Channel
[arXiv] 2026-08-20 | Skewness dependence of the pion and kaon generalized parton distributions
[arXiv] 2026-08-20 | Listening Forward: Next Patch Embedding Prediction Enables Scalable Audio Learners
[arXiv] 2026-08-20 | AutoLumNet: Monotone Optimal Transport for Single-Shot Exposure Correction
[arXiv] 2026-08-20 | Inadvertent Context Leakage in Language Models
[arXiv] 2026-08-20 | Repo0: Design-Driven Zero-to-All Code Generation
[arXiv] 2026-08-20 | Signed list edge coloring in graphs of bounded treewidth
[arXiv] 2026-08-20 | Further Progress Towards Operation Proof Obligation Generation for VDM
[arXiv] 2026-08-20 | Holographic Dual of Synge's Identity in AdS/CFT
[arXiv] 2026-08-20 | Sharp Dimension Bounds for Spline Spaces over T-meshes with Highest Order of Smoothness
[arXiv] 2026-08-20 | Energy-Efficient Visual Inspection with FFT-Based CNNs and Adaptive Floating-Point Quantization
[arXiv] 2026-08-20 | Simulation-to-Real First-Break Segmentation for Efficient Inversion in Musculoskeletal Ultrasound Tomography
[arXiv] 2026-08-20 | Survival of~the~Stealthiest: Evolving Low-Entropy Ransomware via~Genetic Algorithms
[arXiv] 2026-08-20 | Understanding as an Explicit and Assessable Component of Frontier AI Safety Decisions
[arXiv] 2026-08-20 | Trustworthy Decisions in Reliability Set Estimation under Insufficient Model Information
[arXiv] 2026-08-20 | Energy-Mamba: A Physics-Constrained State-Space Model for Medical Image Classification
[arXiv] 2026-08-20 | Optomechanically induced transparency in the presence of a strong Duffing nonlinearity
[arXiv] 2026-08-20 | Answer-Level Trust Selection for Physical Vision-Language Reasoning
[arXiv] 2026-08-20 | Controlling catalyst agglomeration in high-density unordered III-V nanowire growth using Au colloid solutions
[arXiv] 2026-08-20 | ADAPT: Physics-Aware Diffusion-based World Models for Adaptive Predictive Transferable HVAC Control
[arXiv] 2026-08-20 | Constitutive modelling of open-porous neo-Hookean solids
[arXiv] 2026-08-20 | Constant-round quantum advantage in communication complexity for total functions
[arXiv] 2026-08-20 | Learning piecewise-smooth dynamical systems
[arXiv] 2026-08-20 | PRAXIS: Graph-Grounded Tacit Knowledge for Domain Code Generation
[arXiv] 2026-08-20 | AsymFeX: A Symmetry-Driven Framework for Ischemic Stroke Segmentation Across Imaging Modalities and Stroke Stages
[arXiv] 2026-08-20 | How Inflation Might Explain Large-Scale Anisotropy
[arXiv] 2026-08-20 | Finite-Horizon Input-Output Dynamics of Minibatch Perturbations in AdamW
[arXiv] 2026-08-20 | GOAG: Generative and Object-Agnostic Grasp Planner for Dexterous Robotic Manipulation
[arXiv] 2026-08-20 | Finite-Momentum Kinetic Corrections to Viscous Tensor Perturbations in an Expanding Universe
[arXiv] 2026-08-20 | TGL-APT: Temporal Graph Learning with Graph Distillation for Efficient APT Investigation
[arXiv] 2026-08-20 | Truncate Bad, Upweight Good: BoN-Style Distillation via Rank-Based Classification
[arXiv] 2026-08-20 | Question-Guided Evidence Acquisition for Multimodal Visual Question Answering
[arXiv] 2026-08-20 | Valley- and Spin-Dependent Electronic and Transport Properties of Two-Dimensional Altermagnetic Titanium-Based Chalcogenide Halides
[arXiv] 2026-08-20 | Hippogriff: a semantic approach to uniting core and modules
[arXiv] 2026-08-20 | Mirror Chern insulators in two-dimensional altermagnetic Tc$_2$Cl$_2$O and Tc$_2$Br$_2$O
[arXiv] 2026-08-20 | Scale-Separated Conditioning for Style-Encoder-Free Diffusion Stylization
[arXiv] 2026-08-20 | ChatGPT Solves All Tested Qiskit Homework Assignments
[arXiv] 2026-08-20 | Loreley: Repository-Scale Program Evolution with Quality-Diversity Search
