[2026-06-11 23:22:08] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-10
正在获取论文...
[arXiv] 2026-06-10 | Adaptive, efficient, and scalable water wave modeling with dispersive hyperbolic systems
[arXiv] 2026-06-10 | Finding Sparse Subnetworks in One Training Cycle via Progressive Magnitude-Based Pruning
[arXiv] 2026-06-10 | An improvement on B-spline basis condition number
[arXiv] 2026-06-10 | Bridging Day and Night: Unsupervised Cross-Domain Re-Identification with Synergistic Prompt and Prototype Learning
[arXiv] 2026-06-10 | Towards Practical Field-Level Inference for Weak Lensing
[arXiv] 2026-06-10 | Spatially Resolved Nebular-Stellar Reddening with JWST/NIRISS
[arXiv] 2026-06-10 | Thermodynamically consistent phase field model for hydrogen-assisted cracking
[arXiv] 2026-06-10 | Nonlocal Rarita-Schwinger theory
[arXiv] 2026-06-10 | Rule Taxonomy and Evolution in AI IDEs: A Mining and Survey Study
[arXiv] 2026-06-10 | Quantum dynamic simulation of triplet formation in an effective model of Y6 (BTP-4F)
[arXiv] 2026-06-10 | Identifying cybersickness causes in virtual reality games using symbolic machine learning algorithms
[arXiv] 2026-06-10 | Interpretable enzyme function prediction via sparse autoencoder features of ESMC across the microbial protein universe
[arXiv] 2026-06-10 | Evidence for additional structure in the effective spin distribution hints at multiple formation pathways in GWTC-5.0
[arXiv] 2026-06-10 | Roughening of active nonlinear interfaces with broken tilt symmetry
[arXiv] 2026-06-10 | Strategic Facility Location with $p$-Norm Social Costs
[arXiv] 2026-06-10 | Pivotal and identification-robust nonparametric inference in linear IV models
[arXiv] 2026-06-10 | On the almost sure growth of Hölder norms for the 1d periodic fractional BBM equation
[arXiv] 2026-06-10 | Experimental straintronics in nanotube quantum dots
[arXiv] 2026-06-10 | A Decoupled Low-Order Conforming Mixed Finite Element Method for a Three-Dimensional Fourth-Order Singularly Perturbed Problem
[arXiv] 2026-06-10 | On-Chip Quantum Randomness Amplification
[arXiv] 2026-06-10 | Bayesian Effect Selection for Additive Quantile Regression with an Application to Air Pollution Thresholds
[arXiv] 2026-06-10 | From Topological Order to Mixed-State Phases: A Ground-State Probe of Fractionalized Excitations
[arXiv] 2026-06-10 | Analysis of Power Iteration Algorithm with Partially Observed Matrix-vector Products
[arXiv] 2026-06-10 | Accelerated Implicit GDA Schemes: Theoretical Guarantees and Application to Proximal Augmented Lagrangian Methods
[arXiv] 2026-06-10 | Polarization-Selective Near-Perfect Absorption via Mie-Type Resonance in van der Waals Anisotropic ReS$_2$/$α$-MoO$_3$/Au Heterostructure
[arXiv] 2026-06-10 | What is the Long-Term Value of Reliability?
[ACM] 2026-6-10 | LAM-MD: A Large Action Model Integrated Multi-Agent Reinforcement Learning Framework for NOMA Networks
[IEEE] 2026-6-10 | Copyright Page
[IEEE] 2026-6-10 | Table of Contents
[IEEE] 2026-6-10 | Front Cover
[IEEE] 2026-6-10 | Combining Design Thinking and Product Development Tools to Promote Innovation in the Classroom
[IEEE] 2026-6-10 | Random Forest-Based Identification of Defect-Causing Steps in Semiconductor WET Processes
[IEEE] 2026-6-10 | Multi-Operator Image Resizing Using Saliency-Aware Seam Carving
[IEEE] 2026-6-10 | Effect of Microfocused Ultrasound on the Rheological Properties of Crosslinked Hyaluronic Acid: An In Vitro Study
[IEEE] 2026-6-10 | Bi-level Capacity Planning and Scheduling of Energy Storage Systems via Multi-Fidelity Quantile-Robust Bayesian Optimization
[IEEE] 2026-6-10 | Consumable Qualification and Process Optimization in Oxide CMP via RPM-Driven Recipe Engineering
[IEEE] 2026-6-10 | STI Silicon Etch Process Wafer Uniformity Improvement Using Out-of-Phase Coil Current and Motorized Radial Assembly Dial
[IEEE] 2026-6-10 | Provincial-Level Short-Term Load Forecasting Using TimeXer with TCN and Gated Cross-Attention
[IEEE] 2026-6-10 | Improving Reading Fluency in Elementary Students: The Role of ICT-Based Learning Tools
[IEEE] 2026-6-10 | Transdisciplinarity Between Leadership and Design in a Computer Science Undergraduate PjBL Course
[IEEE] 2026-6-10 | A Novel Framework to Convert Public Source URLs to Cryptographic-Enabled API Key
[IEEE] 2026-6-10 | Comprehensive DC Fault Characterization and Fast-Stabilizing Control Strategy for Bipolar Hybrid Cascaded MTDC Systems
[IEEE] 2026-6-10 | A Multimodal Vision–Language Framework for Yield-Oriented and Explainable Wafer Defect Reasoning
[IEEE] 2026-6-10 | A Non-Invasive Ensemble Learning Approach for the Diagnosis of Pancreatic Cancer
[IEEE] 2026-6-10 | Fault Identification of Transmission Equipment Under Strong Convective Weather of Northeast Cold Vortex Based on Stochastic Configuration Networks
[IEEE] 2026-6-10 | Enhancing Acoustics Education Through Experiential Learning: Implementation of an Impedance Tube for Teaching Sound Absorption in Materials
[IEEE] 2026-6-10 | Enhancing Industrial Engineering Education through LEGO®-Based Simulation: A Hands-On Approach to Teaching Overall Equipment Effectiveness (OEE)
[IEEE] 2026-6-10 | Selection of Meteorological Key Factors and an Interpretable Identification Method for Transmission Tower Collapse Risk under Severe Convective Weather
[IEEE] 2026-6-10 | A Prediction model of wind and photovoltaic joint power considering multiple meteorological characteristics
[IEEE] 2026-6-10 | TransDot: An Area-efficient Reconfigurable Floating-Point Unit for Trans-Precision Dot-Product Accumulation for FPGA AI Engines
[IEEE] 2026-6-10 | Reconfigurable Computing Challenge: Deploying SmolVLA Model on an AMD XDNA NPU
[IEEE] 2026-6-10 | Optimal Configuration Design of DC Collection and Transmission System of Large-Scale Offshore Wind-Solar Power Plant
[IEEE] 2026-6-10 | AI-Driven Psychoeducational Analytics for Early Detection of Academic Risk in Colombian Schools
[IEEE] 2026-6-10 | Promoting Research Skills in EDUNINE 2026 Doctoral Symposium
[IEEE] 2026-6-10 | Unsupervised Deep Autoencoder-Based Clustering for mining the Metabolic Syndrome
[IEEE] 2026-6-10 | Imputation of Missing Data in IoT Using an MLP Neural Network Optimized by the GOA
[IEEE] 2026-6-10 | Modeling analysis of thermal and stress behavior of energy storage cabin with sodium ion battery
[IEEE] 2026-6-11 | Growgreen: A Machine Learning-Based Crop Recommendation and Whatsapp-Controlled Smart IoT Greenhouse
[IEEE] 2026-6-11 | A Hybrid Taxonomy-Aware Efficient Framework for Protein Function Prediction
[IEEE] 2026-6-11 | A Hybrid YOLO-EfficientNet Framework for Fine-Grained Vegetable Recognition in Dense Multi-Object Images
[IEEE] 2026-6-11 | Reinforcement Learning-Based Hybrid Control Approach for a Class of Underactuated Mechanical Systems
[IEEE] 2026-6-11 | Low-Power Ultra-Broadband Supercontinuum Generation in a Compact AlGaAs Rib Waveguide with Three Zero-Dispersion Wavelengths
[IEEE] 2026-6-10 | Enhancing Stability and Transient Response of LLC Resonant Converters Using a Reduced-Order Model with Pole-Zero Cancellation
[IEEE] 2026-6-11 | A Bayesian game framework for service function chaining in NFV with incomplete information
[IEEE] 2026-6-11 | Spectral State Fusion Tree Mamba for Hyperspectral Image Classification
[IEEE] 2026-6-11 | PIVOT: A Framework for High-Fidelity Facade PV Layouts via Generative Seeding and Differentiable Optimization_supp1-3701997.pdf
[IEEE] 2026-6-11 | Cache-Aware Generative NLP: Reducing Latency in Large-Scale Multilingual Systems
[IEEE] 2026-6-11 | A Real-Time Multi-Modal Conversational Agentic AI Framework for Automated Demographic Data Collection and Analytical Visualization
[IEEE] 2026-6-11 | Research on Medical Text Information Fusion and Cerebral Infarction Auxiliary Diagnosis Based on Large Language Models
[IEEE] 2026-6-11 | Hate Speech Classification using Hybrid Deep Learning Framework and Explainable AI
[IEEE] 2026-6-11 | Research on Hub Location Problem Based on the Integration of Deep Ranking and Genetic Algorithms
[IEEE] 2026-6-11 | Uncertainty-Aware and Explainable Feature-Level Ensembles for CT-Based Kidney Stone Detection
[IEEE] 2026-6-11 | Diff-AS: Diffusion-Augmented Strategy for Chrysanthemum Leaf Classification
[IEEE] 2026-6-11 | Explainable Multi-Model Prediction of Suicide Mortality Rates using TabNet, SVM, and HistGradientBoosting with Demographic Stratification
[IEEE] 2026-6-10 | Embodied Teaching for Powered Exoskeletons via Variance-Decomposed Impedance Learning
[IEEE] 2026-6-11 | Novel Self-aligned Flat Source Contact Architecture for Low On-resistance SiC Trench MOSFETs
[IEEE] 2026-6-11 | OvFusionX-Net: An Explainable Deep Learning Model with Attention Mechanism for Early-Stage Ovarian Cancer Classification
[IEEE] 2026-6-11 | Federated Learning Enhancing Fraud Detection Across Multiple Financial Institutions
[IEEE] 2026-6-11 | Exploring Learner Perceptions in Job-Oriented Online Courses Using Review Sentiment Analysis
[IEEE] 2026-6-11 | Design and Comparison of a 180° Differential Phase Shifter Using Direct and Impedance-Transformed 100Ω Microstrip Lines
[IEEE] 2026-6-11 | Comparative Study of Nanobots in Nano medicines
[IEEE] 2026-6-11 | Comprehensive Study of Distinct TID Mechanisms in Hardened SGT MOSFET under On /Off State and Annealing Recovery
[IEEE] 2026-6-10 | Trustworthiness in Connected Autonomous Vehicles: Standards, Tradeoffs With Efficiency and Comfort, and Architectural Choices
[IEEE] 2026-6-11 | Deep Learning Driven Respiratory Sound Analysis for Early Chronic Obstructive Pulmonary Disease Detection
[IEEE] 2026-6-11 | GRU: A Robust Sequential Learning Model for Appliance Energy Forecasting
[IEEE] 2026-6-11 | AirMOS: A Global Optical-SAR Multimodal Benchmark for Airport Detection
[IEEE] 2026-6-11 | Path-HGT: A Hierarchical Graph Transformer Framework for Gigapixel Pathology Image Analysis
[IEEE] 2026-6-11 | Design and Application of Deep Learning-Based Massive Text Classification Algorithms
[IEEE] 2026-6-11 | Bridging the accuracy-latency gap in PCB inspection via Response Knowledge Distillation
[IEEE] 2026-6-11 | Computer Aided Design Tool for Multiple-Impedance Matching Network
[IEEE] 2026-6-11 | Early Prediction of Autism Spectrum Disorder Using an Ensemble Voting Classifier
[IEEE] 2026-6-11 | ⊓-ideals and ⊔-filters in double Boolean algebras : To the memory of Prof. Tonga Marcel, 11.04.1951 – 15.09.2025
[IEEE] 2026-6-11 | A Gate Protection Interface Enabling Robust and User-Friendly Gate Driving of GaN/SiC HyFET
[IEEE] 2026-6-11 | Impact of Integrated Substrate Potential Control (SPC) Circuits and Dual Field-Plates on Dynamic ON-Resistance in GaN Monolithic Bidirectional Switches
[IEEE] 2026-6-10 | Towards Wearable Sensor-based Human Activity Recognition: A Survey
[IEEE] 2026-6-11 | Deep Learning-Driven Aspect-Based Sentiment Analysis of Bangladeshi Hotel Reviews
[IEEE] 2026-6-11 | Rotor-Angle Stability Enhancement Control for MMC-MTDC Systems Without Sending-End Power Reserves
[IEEE] 2026-6-10 | A Dual-branch Network with Cross-scale Feature Interaction and Alignment for Weakly Supervised Whole Slide Image Analysis
[IEEE] 2026-6-11 | The Primary-Side Regulation of Active-Clamp Forward Converter with On-the-Fly Output Voltage Variation
[IEEE] 2026-6-11 | An IoT-Based Qr-Code-Enabled Smart Medicine Box for Reducing Prescription Errors and Improving Medication Adherence
[IEEE] 2026-6-11 | Estimating Technical Debt with Machine Learning: Leveraging Code Complexity and Developer Interactions
[IEEE] 2026-6-11 | Steganographic Optical Camera Communication: A Framework for Secure Wireless Data Transfer
[IEEE] 2026-6-10 | Monitoring Agricultural Transformation and Its Impacts on Water Resources in the Gharb Plain, Morocco, Using Machine Learning and Remote Sensing
[IEEE] 2026-6-11 | How much warmer are floating Sargassum mats than surrounding waters? A systematic assessment using Landsat observations
[IEEE] 2026-6-11 | RF Link Budget Sensitivity Analysis of Bangladesh Satellite-1 for Reliable Coastal and Maritime Communication
[IEEE] 2026-6-11 | Multi-Modal Machine Learning for Sentiment and Emotion Recognition in Social Media Data
[IEEE] 2026-6-11 | Multimodal Deep Learning Framework for Blood Test Diagnosis Integrating Medical Imaging and Clinical Parameters
[IEEE] 2026-6-10 | Cross-Tracer Synthesis Model of
                    <sup>11</sup>
                    C-CFT and
                    <sup>18</sup>
                    F-DOPA PET Images from
                    <sup>18</sup>
                    F-FDG for Parkinson's Disease
[IEEE] 2026-6-11 | Small-Sample Cropland Extraction From Multi-Temporal SAR Based on Temporal Difference
[IEEE] 2026-6-10 | Satellite Optical Remote Sensing of Clouds and Aerosols: From Particle Single-Scattering and Gaseous Absorption Through Radiative Transfer to Retrieval Products
[IEEE] 2026-6-11 | Extremely Low On-Resistance AlN-based SBDs with Distributed Polarization Doping Drift Layer
[IEEE] 2026-6-11 | High Thermal Stability of Threshold Voltage in p-Cr
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    Gated AlGaN/GaN HEMTs
[IEEE] 2026-6-11 | AI-Driven Cognitive Framework for Predictive Social Behaviour Dynamics Analysis
[IEEE] 2026-6-11 | Hybrid LSTM and SVM Framework for Uncertainty Reduction in Renewable Energy Forecasting
[IEEE] 2026-6-11 | ISAR Neural 3D Reconstruction of Space Target with Cross-Frame Attention
[IEEE] 2026-6-11 | Table of Contents
[IEEE] 2026-6-11 | On the SiC/SiO
                    <sub>2</sub>
                    Interface and SiO
                    <sub>2</sub>
                    Gate Reliability of Planar and Trench SiC MOSFETs
[IEEE] 2026-6-11 | Performance and Fault Analysis of LCC Versus VSC Back-to-Back HVDC Systems for India-Bangladesh Interconnection
[IEEE] 2026-6-11 | Detecting Stress Levels using Physiological Signals
[IEEE] 2026-6-11 | Frequency-Aware Domain Generalization_supp1-3689419.pdf
[IEEE] 2026-6-11 | Comprehensive Review of Advancements in Near-Infrared Imaging Techniques for Vein Detection
[IEEE] 2026-6-11 | FeatherTrust-EM: An Ensemble Deep Learning Framework for Continuous Zero-Trust Authentication via Keystroke Dynamics
[IEEE] 2026-6-11 | Lightweight Coprime Array Virtualization Method Based on Polynomial Interpolation
[IEEE] 2026-6-11 | Model Predictive Control for an Integrated Power-Pulsation Buffer Four-Cell Flying-Capacitor PFC Converter
[IEEE] 2026-6-11 | Mamba-Based Time and Frequency Fusion Network
[IEEE] 2026-6-11 | Multi-Domain Feature-based Analysis EMG framework for Neuropathy vs Myopathy Characterization and Rehabilitation Assessment
[IEEE] 2026-6-11 | An Explainable Stacking Ensemble Model Combining Advanced DL Techniques for Depression Detection in Social Media Posts
[IEEE] 2026-6-11 | Influence of p-GaN Cap Layer Engineering and Thermal Effects on the Electrical Performance of AlGaN/GaN HEMTs
[IEEE] 2026-6-11 | Table of Contents
[IEEE] 2026-6-11 | Selectively Generating High-Purity Vortex Beams by a Planar Filtenna with a Compact Integration of Spiral SSPP and HMSIPW
[IEEE] 2026-6-10 | Towards Sustainable Smart Cities with AGI-Enabled Cyber-Physical-Social-Thinking Systems: A Comprehensive Review
[IEEE] 2026-6-11 | Congratulations on 10 Years of Power Electronics
[IEEE] 2026-6-10 | Knowledge Graph-based Debiasing for Trustworthy Recommendation Systems
[IEEE] 2026-6-10 | Extremum Seeking With Double Integrators in the Presence of Local Extrema
                    <sup>*</sup>
[ACM] 2026-6-11 | LoopHint: A Compiler-Assisted Loop Branch Predictor for Embedded DSPs
[ACM] 2026-6-11 | Proceedings of the 15th ACM SIGPLAN International Workshop on the State Of the Art in Program Analysis
[ACM] 2026-6-11 | On the Effectiveness of Modular Testing in EvoSuite
[ACM] 2026-6-11 | RAPO: Retrieval-Augmented Phase Ordering
[IEEE] 2026-6-10 | A Computationally Efficient Hierarchical MPC with Adaptive Horizon for Real-Time Electro-Thermal Control of IGBTs
[IEEE] 2026-6-10 | Intention to Continue Using Information Technology in Accounting Information Systems–The Mediating Role of Information Technology Mindfulness
[IEEE] 2026-6-10 | Integrating AI in Food Engineering Education: Raising Student Competencies in Market Research and Consumer-Driven Product Development
[IEEE] 2026-6-10 | An MLP-Based Multi-Frequency Enhancement Long-term Prediction Model for Multivariate Load Forecasting
[IEEE] 2026-6-10 | Research on Space Power Supply Technology Based on GaN Device
[IEEE] 2026-6-10 | Upgrading LSTM-Attention to a Transformer Decoder for Image Captioning with Object and Visual Features
[IEEE] 2026-6-10 | Interpretable Stacking Ensemble for Photovoltaic Power Forecasting under Extreme Low Irradiance
[IEEE] 2026-6-10 | When Systolic Arrays Meet AI Engines: Architectural Constraints on AMD Versal ACAP
[IEEE] 2026-6-10 | A Study on the Impact of Extraction Electrode Axes on Implant Dose in Applied Materials E500 Medium Current Implanter
[IEEE] 2026-6-10 | DiffRouter: A Differentiable Routing Framework for UltraScale FPGAs
[IEEE] 2026-6-10 | Bidding Strategies for Multi-Type Charging Operators in Peak-Shaving Markets
[IEEE] 2026-6-10 | Research on Electric Field Distribution of Composite Insulators under Different Extreme Weather Conditions
[IEEE] 2026-6-10 | A Transfer Learning Modeling Framework Fusing Domain Knowledge and Its Application in District Heating Network
[IEEE] 2026-6-10 | Research on Integrated AC/DC Shore Power Supply based on DC Bus
[IEEE] 2026-6-10 | Correlation between particles and induced voids at the bonding interface
[IEEE] 2026-6-10 | A novel approach for controlling robotic eye movement using U-Net based model
[IEEE] 2026-6-10 | Convolutional Estimation of Reactive Betweenness and Dependency from DC Load Flow Data
[IEEE] 2026-6-10 | Workshop: Fostering Quality Participation and Critical Thinking in Hybrid Classrooms with the Whytson App
[IEEE] 2026-6-10 | Student Perceptions of Usefulness and Ease of Use of a Gamified Learning Platform in STEM Courses
[IEEE] 2026-6-10 | Measuring Changes in Sustainability Knowledge: A Case Study of a Civil Engineering Course
[IEEE] 2026-6-10 | Low-Precision POSIT Arithmetic for Spiking Neural Networks with Kahan Summation
[IEEE] 2026-6-10 | Degradation-Aware Stochastic Sizing of Second-Life Battery Energy Storage System for Microgrids
[IEEE] 2026-6-10 | Multi-objective Optimization Scheduling for Integrated Energy Systems Considering Exergy Efficiency and Stepped Carbon Trading
[IEEE] 2026-6-10 | Intelligent Model for Identifying Defective Aircraft Parts
[IEEE] 2026-6-10 | Cu Via Resistance Failure Induced by CMP in Advanced Interconnects
[ACM] 2026-6-10 | Enhancing Privacy-Preserving Software Development from a Developers' Perspective: A Survey
[ACM] 2026-6-11 | Online Advertisements with LLMs: Opportunities and Challenges
[IEEE] 2026-6-11 | An Intelligent Student Management System Using Temporal Stability-Aware Adaptive Learning
[IEEE] 2026-6-11 | Automated Machine Learning Trainer: A No-Code Framework for Model Development and Explainability
[IEEE] 2026-6-11 | Distribution-Agnostic Idle-Age-Aware Joint Channel and Packet-Size Learning in Cognitive Radio Networks
[IEEE] 2026-6-11 | Enhancing Security in Multicasting Using Reconfigurable Intelligent Surface and Selection Combining Diversity Technique
[IEEE] 2026-6-11 | An Emotion Recognition Framework from EEG Signals Using Dynamic Graph Convolutional Neural Networks (DGCNN)
[IEEE] 2026-6-10 | RIS-Assisted Atomic MIMO Receiver
[IEEE] 2026-6-11 | Comparative Study of Cnn Architectures for Automated Detection of Lung Diseases from Chest X-Ray and Ct Scan Images
[IEEE] 2026-6-10 | LegoBot: Modular, Compact, Device-Agnostic Robot for Endovascular Catheter and Guidewire Manipulation in Stroke Thrombectomy
[IEEE] 2026-6-11 | Edge-Based Respiratory Profiling: An Explainable Hierarchical Framework for Automated COPD Screening
[IEEE] 2026-6-11 | Integrating Pap Smear Imaging for Enhanced Deep Learning-Based Cervical Cancer Screening
[IEEE] 2026-6-11 | LEAF-CT: Lightweight Energy-Aware Forwarding with Controlled Transmission for Underwater Acoustic Sensor Networks
[IEEE] 2026-6-11 | A Comparative Analysis of YOLO Variants with Improved YOLOv12m Model for Students' Classroom Behavior Detection
[IEEE] 2026-6-11 | Cost Effective Sizing of Off Grid PV Systems and Batteries for Residential Energy Systems
[IEEE] 2026-6-10 | A Closed-Form Phase Design for RIS-Aided UCA-OAM Systems
[IEEE] 2026-6-10 | Physically-Based Polarization Reflection Separation for Laser Stripe Extraction on Highly Reflective Metal Surfaces_supp2-3699730.mp4
[IEEE] 2026-6-11 | A Collaborative Hybrid CNN–LSTM Framework for Real-Time Multichannel Retail Demand Forecasting Using Edge–Cloud Computing
[IEEE] 2026-6-11 | A Transformer-Based Perspective to Bangla-English Code-Mixed Sentiment Analysis
[IEEE] 2026-6-11 | Towards Heterogeneous Multimodal Sentiment Analysis with ASR Errors via Multi-Granularity Contrastive Coordination_supp1-3702501.pdf
[IEEE] 2026-6-10 | An RGB-Event Hierarchical Fusion Enhancement Network for Object Detection
[IEEE] 2026-6-10 | Transmission Cross Section of Electrically Large Dielectric Interface
[IEEE] 2026-6-10 | Optical Simulation &amp; Image Quality for Automotive Semantic Segmentation
[IEEE] 2026-6-10 | DeGMix: Efficient Multi-Task Dense Prediction with Deformable and Gating Mixer
[IEEE] 2026-6-10 | A Blind Signal Detection Method Based on Constrained Dual-Cluster K-means for FSO Communications with Atmospheric Turbulence
[IEEE] 2026-6-11 | A Comprehensive Hybrid Deep Learning Approach for Bone Fracture Detection in X-Ray Images Using Optimized CNNs and Transfer Learning
[IEEE] 2026-6-10 | ROBBO: An Efficient Method for Pareto Front Estimation With Guaranteed Accuracy
[IEEE] 2026-6-10 | High-Performance Mid-Infrared Photodetector Based on WSe
                    <sub>2</sub>
                    /WTe
                    <sub>2</sub>
                    /WS
                    <sub>2</sub>
                    P-Type-Semimetal-N-Type Heterojunction
[IEEE] 2026-6-11 | Non-Orthogonal Multiple Access Based
                    <i>M</i>
                    -Ary CDMA Systems
[IEEE] 2026-6-10 | Manipulation of Deformable Objects with Soft Grippers Based on Adaptive Fuzzy Control and a Self-Supervised Feature Descriptor
[IEEE] 2026-6-11 | Vehicle-Side Lightweight Conditional Anonymous Double Authentication Framework with Password Robustness in VANETs
[IEEE] 2026-6-11 | Administrative Committee Information
[IEEE] 2026-6-11 | A Compact 132.5–142-GHz ×6 Frequency Multiplier With 2.4-dBm Output Power and 2.1% DC-RF Efficiency in 65-nm CMOS
[IEEE] 2026-6-11 | Dispatch Strategy Against Typhoon-Induced Wind Farm Cut-Outs Considering Resilience: An Adaptive Robust Stochastic Optimization Approach
[IEEE] 2026-6-10 | Wavelet-Domain Masked Image Modeling for Color-Consistent HDR Video Reconstruction
[IEEE] 2026-6-11 | Advanced Deep Learning Framework for Ultrasound Breast Cancer Classification Using CNNs and Vision Transformers with Explainable AI
[IEEE] 2026-6-11 | Investigation of SVD-Based Speech Emotion Recognition
[IEEE] 2026-6-11 | Power MOSFETs With Super Safe-Operating-Area
[IEEE] 2026-6-11 | Asymmetrically Perturbed Dual-Band Patch Antenna for X-Band Applications
[IEEE] 2026-6-10 | A Data-Driven Algorithm for Indoor/Outdoor Detection Based on 3GPP MDT measures
[IEEE] 2026-6-11 | Enhancing Representation Inversion and Alignment for Zero-Shot Composed Image Retrieval
[IEEE] 2026-6-10 | Compliant Magnetic Sensor Arrays Enable Real-Time Force Myogram Pattern Recognition for Dexterous Hand Control by Amputees
[IEEE] 2026-6-10 | Thermo-Mechanical Frequency Stability and Anisotropic Modeling of Carbon Fiber-Reinforced PETG Accelerometers for Additive Manufacturing
[IEEE] 2026-6-10 | Message Passing Based Bayesian Detection for Distributed Dual-Channel Passive MIMO Radar
[IEEE] 2026-6-11 | Unique Ferroxplana Ferrites Impedance Matched to Free Space at HF to VHF Frequencies and Beyond
[IEEE] 2026-6-11 | Dynamic Reinforcement Learning-Driven Event-Aware Adaptive for Education Management System
[IEEE] 2026-6-11 | A High-temperature Three-phase Silicon Carbide MOSFET Power Module with Integrated Low Propagation and High Noise Immunity Gate Driver
[IEEE] 2026-6-11 | Breaking the E
                    <sub>on</sub>
                    and Radiated Noise Trade-off via Deep Split-Gate CSTBT™ with dI/dt Shaping
[IEEE] 2026-6-11 | Structural and Dielectric Features of Na, W dualdoped Bi
                    <sub>2</sub>
                    Sr
                    <sub>2</sub>
                    Co
                    <sub>2</sub>
                    O
                    <sub>x</sub>
                    Ceramics for Energy Storage Applications
[IEEE] 2026-6-11 | EUNet: An Efficient Attention-Enhanced U-Net for Automatic Chronic Wound Segmentation
[IEEE] 2026-6-11 | Research on the Restructuring Path of the Power Material Supply Chain Under the Background of Digital Transformation
[IEEE] 2026-6-11 | Lightweight and Interpretable Deep Learning for Automated Waste Classification
[IEEE] 2026-6-11 | Edge Analytics for Real-Time Process Optimization in Smart Manufacturing: A Hybrid Machine Learning Approach
[IEEE] 2026-6-11 | DiffusionDxNet: Improving Monkeypox Classification Using Diffusion-Based Data Augmentation and DenseNet121
[IEEE] 2026-6-11 | A New 1200V SiC Trench MOSFET with Shallow Trench and High-Energy Deep P
                    <sup>+</sup>
                    Implantation for Enhanced Gate Oxide Electric Field Shielding
[IEEE] 2026-6-11 | Escaping Stability-Plasticity Dilemma in Online Continual Learning for Motion Forecasting via Synergetic Memory Rehearsal
[IEEE] 2026-6-11 | Field Measurement-Based Modeling and Validation of Electric Arc Furnace Loads
[IEEE] 2026-6-11 | A DC-DC Converter for Electric Vehicle Charging Station
[IEEE] 2026-6-10 | Adaptive Cross Section Optimization Method for Oversized Circular TE
                    <sub>01</sub>
                    -Mode Waveguide Bends
[IEEE] 2026-6-11 | Smart 1.7 kV SiC Power ICs: Monolithic Integration of TCOX UMOSFETs and Tri-Gate CMOS
[IEEE] 2026-6-11 | Multi-Agent Deep Reinforcement Learning for Joint Scheduling of EV Charging, Solar PV, and BESS under Real-Time Tariff Feedback
[IEEE] 2026-6-11 | Efficient UAV Selection in K-Means Online Routing Protocol (K-Morp) using Heuristics and Weighted Values
[IEEE] 2026-6-11 | Comparison between the Secrecy Capacity of Reconfigurable Intelligent Surface Aided and Relay-Assisted Wireless Communication Systems
[IEEE] 2026-6-11 | Deep Learning for High-Fidelity Mpox Classification: From Data to Diagnosis
[IEEE] 2026-6-11 | FedThreat-X: A Privacy-Preserving Federated Threat Intelligence Framework for Multi-Cloud Cybersecurity
[IEEE] 2026-6-11 | The BOOL.I Corpus: The Impact of Context on Child and Adolescent Bengali ASR
[IEEE] 2026-6-11 | AI-Powered Hybrid Management Framework for Autonomous Vendor Evaluation and Procurement Optimization
[IEEE] 2026-6-11 | Predicting Genre Crossovers in Book Recommendations Using Hybrid Machine Learning Models
[IEEE] 2026-6-11 | Explainable Comprehensive Analysis of Cross-Dataset Phishing Detection Models
[IEEE] 2026-6-10 | Stray Current Mitigation With Reverse Running Rail Current Control Strategy for Virtual-Return-Based DC Traction Power Supply System
[IEEE] 2026-6-11 | AI-Powered Threat Intelligence Framework for Strengthening Cybersecurity in Multi-Cloud and DevOps-Driven Enterprise Environments
[IEEE] 2026-6-11 | Research on Power Domain Anti-Jamming Methods Based on Reinforcement Learning
[IEEE] 2026-6-11 | Energy-Efficient Green Computing Techniques for Edge Devices Using Attention-Guided Federated Learning
[IEEE] 2026-6-11 | An Imperical Study on Predicting Golden Beauty of Human Face Appearance
[IEEE] 2026-6-11 | Towards Accurate Autism Detection: a Multimodal Machine Learning Approach
[IEEE] 2026-6-11 | An Ensemble Learning-Based Artificial Intelligence Framework for Postpartum Depression and Suicidal Risk Prediction
[IEEE] 2026-6-11 | KNN-Based Real-Time Sign Language Recognition Using Flex Sensor Smart Glove with Real-Time Response
[IEEE] 2026-6-11 | Compact Triple-Band Elliptical Monopole Antenna with Modified U-Slot Ground for Sub-6 Ghz 5G Applications
[IEEE] 2026-6-11 | UDF-Net: Uncertainty-Aware Dynamic Fusion Network for Vision-LiDAR Autonomous Systems
[IEEE] 2026-6-11 | Multi-Class Eye Disease Classification using Transfer Learning
[IEEE] 2026-6-11 | Development of a Cloud-Integrated IoT Smart Attendance System Using ESP32 Edge Devices
[IEEE] 2026-6-11 | Data-Driven Psychological Stress Classification Among Higher Education Students: A Machine Learning Approach
[ACM] 2026-6-11 | Proceedings of the 2026 ACM SIGPLAN International Workshop on Principles of Agentic Engineering
[ACM] 2026-6-11 | MET: Electric Toothbrushing Activity Recognition Based on Magneto-Inductive Sensing
[IEEE] 2026-6-10 | IEEE CTSoc World Newsletter
[IEEE] 2026-6-10 | IEEE Photonics Technology Letters Information for Authors
[IEEE] 2026-6-10 | 2026 Smart City Symposium Prague (SCSP)
[IEEE] 2026-6-10 | Table of Contents
[IEEE] 2026-6-10 | CEEPE 2026 Cover Page
