[2026-06-14 23:09:47] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-13
正在获取论文...
[ACM] 2026-6-13 | AI, Sensemaking, and Decision-Making in Crisis Contexts
[NO] 11/262 | Reinforcement Learning-Based Clustered Multi-Application Charging Optimization for Underwater Wireless Sensor Networks
[NO] 12/262 | Cluster-wise Analysis of 3D Gaussian Splatting Point Clouds Using Spherical Harmonics and Attribute Features
[NO] 13/262 | Performance Estimation of IPFS-based Distributed Storage Using Idle Computing Resources and Secret Sharing
[NO] 14/262 | Physio-Digital Twin for Human-Centered IoT Mobility: A Proof-of-Concept Implementation on the E-Bike Platform
[NO] 15/262 | Personal 3D Printing without Visual Dependency in the Generative AI Era: Opportunities and Challenges
[NO] 16/262 | Fovy: Spatializing the "Work-to-Learn" Ecology through Interactive Skill Topologies
[NO] 17/262 | Empathy Illusion: Behavioral Contingency and the Feeling of Being Understood in AI-Responsive Spaces
[NO] 18/262 | Can Robots Be Azatoi?: Designing Calculatedly Cute Social Robot Behaviors through Cross-Cultural Participatory Visualization
[NO] 19/262 | Analysis and Optimization of Leakage Magnetic Field Shielding for Wireless Charging of Electronic Gadgets
[NO] 20/262 | Artificial Intelligence (AI) Adoption in Higher Education: A New Perspective, AI Adoption Concern, and Influences of AI Characteristics
[NO] 21/262 | Virtual Ambidextrous Hand Control: An Interaction Framework for Amplified Bimanual Coordination in Virtual Reality
[NO] 22/262 | Sensing Wishlists: A Prospective Design Approach to the Making of Fashion Consumption Technologies
[NO] 23/262 | Yuno: Augmenting Human Memory in Social Contexts Through Real-Time Face Recognition and Contextual Recall
[NO] 24/262 | Geometry-Driven Triangulation and Differentiable Semantic Gaussian Refinement for 3D Grape Bunch Model Reconstruction in the Field
[NO] 25/262 | All-Weather Image Restoration with MobileViT and Multi-Scale FiLM Modulation
[NO] 26/262 | RoomAuth: Learned Ultrasonic Room Identity for Context-Aware Authentication
[NO] 27/262 | Optimal Control Policy for Dynamic Thread Pool Sizing in Time-Constrained Batch Workloads
[YES] 28/262 | RepoGuard: Harmonising Security and Functional Correctness in LLM-Guided Repository-Level Code Generation
[NO] 29/262 | Picnic: Playful Music-Making with Everyday Objects and Machine Learning
[NO] 30/262 | Splash into Bubbles: Designing Somatic Immersion for Sleep Onset through Progressive Sensory Fading
[NO] 31/262 | Designing Multimodal XR Systems for Enhancing Remote Social Connectedness and   Emotional Well-Being in Older Adults
[NO] 32/262 | Chasing Play Potentials in Place for Innovative Mobile Crowdsensing
[NO] 33/262 | Humanoid and Socially Assistive Robots in Mental Health Care: A PRISMA Guided Systematic Review of Therapeutic and Emotional Outcomes (2021C2025)
[NO] 34/262 | Comparative Analysis of Machine Learning Models for Detecting Stego Image: A Steganalysis Approach
[NO] 35/262 | An Explainable Feature-Embedded ML &amp; DL Pipeline for Breast Cancer Classification with XAI (SHAP and LIME)
[NO] 36/262 | Efficient Video-to-Audio Generation via Multiple Foundation Models Mapper
[NO] 37/262 | Automated In-the-Wild Data Collection for Continual AI Generated Image Detection
[NO] 38/262 | The Cosmogenic Relation: From Interaction to World-Conditioning
[NO] 39/262 | Sufi Poetry and Introspection with Generative Verse
[NO] 40/262 | Pixellated Identity: A Child-Centered Frictional Encounter with GenAI
[NO] 41/262 | Beyond Interfaces: the Future of Edible Interactions
[NO] 42/262 | Interactive Rehab Carpet: A Dual-Sensing Modular Floor for Gamified Pediatric Rehabilitation
[NO] 43/262 | Human-Centered AI for Expressive Arts Therapy: Designing for Mental Well-Being and Creativity
[NO] 44/262 | CALICE: Continuous bitrate control with Adapted LIC modEl
[NO] 45/262 | Healthcare information collection from evacuation shelters during disasters using NAMI—narrow area communication system
[NO] 46/262 | Evaluation of Apparel Feature Reproduction in Text-to-Image Generation for Clothing Design Assistance
[NO] 47/262 | Toward EEG-Based Characterization of Cognitive Coordination in Collaborative Software Implementation: A Pilot Study
[NO] 48/262 | Navigating the Challenges of AI-Generated Image Detection in the Wild: What Truly Matters?
[NO] 49/262 | DiaryContainer: Designing Slowness and Minimal Presence in Reflective Journaling
[NO] 50/262 | Heartbeats in Motion: Co-Designing Wearables for Healthy Ageing
[NO] 51/262 | From Voting to Veto: GenAI Placemaking under Accountability
[NO] 52/262 | Sentence to Scent: A Computational Pipeline Transforming NLP into Scent Sequence
[NO] 53/262 | Structured Interpretation Differences in Immersive Artworks
[NO] 54/262 | EchoMemo: A Proactive AI Digital Persona Device
[NO] 55/262 | Let's Get Talking: A Conversational Card Game to Engage Men in Infertility Dialogue
[NO] 56/262 | Body Through Time: A process of one's Inner Healing
[NO] 57/262 | You and Your Teacher Identity: Strengthening teacher identity to elevate teaching presence in online classrooms
[NO] 58/262 | Proceedings of the 2026 9th International Conference on Information and Computer Technologies
[NO] 59/262 | The Case for Repeatable, Open, and Expert-Grounded Hallucination Benchmarks in Large Language Models
[NO] 60/262 | Ebbinghaus Forgetting Curve and Large Language Model Memory Management: A Cognitive Science-Driven Long-Context Enhancement Framework Design and Prospects
[NO] 61/262 | Using Extraction and Evaluation of Explanations for Drug-Repurposing on Knowledge Graphs
[NO] 62/262 | Detecting Audio-Text Decontextualization through Entailment and Semantic Analysis
[NO] 63/262 | Margin: A Set of Lightweight Robots for Intervening in Child Dark Phobia via Embodied Interaction in Darkness
[NO] 64/262 | Turn on the Flashlight: Revealing a Full Picture of Modified Tricycles in Food   Streets
[NO] 65/262 | Becoming a Tree: Digital-Avatar VR Body Scan for the Menopausal Transition
[NO] 66/262 | RecallMe: Designing a Rotary Phone Artifact for Immersive Reflection with the Past Self
[NO] 67/262 | Designing Sound Interactions in Spaces
[NO] 68/262 | When Drawing Is Not Enough: Exploring Spontaneous Speech with Sketch for Intent Alignment in Multimodal LLMs
[NO] 69/262 | The Whispering Interface: Intuition as a Resonance Space Between Human and World – A Speculative Critique of Contemporary Interface Paradigms
[NO] 70/262 | Hidden in Plain Sight: Occlusion Edge Blur as a Perceptual Blind Spot in Multimodal LLMs
[NO] 71/262 | High Awareness, Persistent Vulnerability: Youth Cybersecurity Risk Perception and Behavior
[NO] 72/262 | Beyond Recognition: A Hybrid Semantic-Vision Framework for Intent-Aware Gesture Recognition on Pepper in Dementia Care
[NO] 73/262 | Trust Deviation Metrics (TDM) for AI-Driven Cloud Orchestration
[NO] 74/262 | Intelligent Detection and Response System for Attacks on Unmanned Aerial Vehicles Based on Hybrid AI Models
[NO] 75/262 | A Proposal of a Two-Part Lead Sentence Generation Method for Manuals Using Large Language Models
[NO] 76/262 | Reimagining Digital Grievance Redressal Systems for Better Participatory Governance In India
[NO] 77/262 | Dream Brush: Generative Painting with Chinese Calligraphy
[NO] 78/262 | AttentionGo: Designing Tangible Neurofeedback Tools for Children with ADHD through a Holistic Well-being Lens
[NO] 79/262 | "Like a shadow": Deconstructing How Anti-TFSV Activists in South Korea Fill Data Stewardship Gaps through Emotional Labor
[NO] 80/262 | Acts of Configuration: Rethinking Provenance, Temporality and Legitimacy in Post-Mortem Agents
[NO] 81/262 | AID: Lightweight Disassembly via Learning-Superset-Learning-Recursive Algorithm
[NO] 82/262 | AR-FedKD: A Robust Federated Knowledge Distillation Framework with Performance-Aware Adaptive Differential Privacy
[NO] 83/262 | Global and Local Attention Fusion Transformer for Robust Human Pose Estimation
[NO] 84/262 | Fine-Tuning Effects of Low-Cost Object Detection Models for SNS Plush Toy Detection
[NO] 85/262 | Adaptive Risk Classification in Microservice Architectures: A GMM-Based Approach with Historical Data Normalization
[NO] 86/262 | A Survey of Threats and Defense Mechanisms in the Control Plane of Polymorphic Smart Network
[NO] 87/262 | Advancing Arabic Reverse Dictionary Systems: A Transformer-Based Approach with Novel Dataset Construction
[NO] 88/262 | Multispecies Response-ability in More-than-human Design Practice: Fabulation with Tides
[NO] 89/262 | TeaRAG: A Token-Efficient Agentic Retrieval-Augmented Generation Framework
[NO] 90/262 | Metaverse-Enabled Collaborative Platforms for Palm Oil Industry Stakeholders: A Review of Interdisciplinary Innovation and Challenges
[NO] 91/262 | Potato Late Blight Disease Segmentation Based on Salient Object Detection
[NO] 92/262 | Proceedings of the 5th ACM International Workshop on Multimedia AI against Disinformation
[NO] 93/262 | Tangible Co-Ideation: Designing Embodied Prompting for Creative Thinking with Large Language Models
[NO] 94/262 | Exploring a Multimodal Chatbot as a Facilitator in Therapeutic Art Activity
[NO] 95/262 | Supporting Speculative Design Thinking through User Journey Mapping Tools
[NO] 96/262 | EH-ZigBeeNet: An Energy-Harvesting ZigBee IoT Network Dataset to Develop Intelligent Energy-Aware Routing Protocols
[NO] 97/262 | A Training-Free Approach to Long-Tail Object Detection for Autonomous Driving
[NO] 98/262 | An Accuracy Compensation Method for Lightweight Pose Estimation
[YES] 99/262 | AI Agent Case Study Generating High-Level Test Cases from Requirements
[NO] 100/262 | Dynamic Function Configuration and its Management in Serverless Computing: A Taxonomy and Future Directions
[NO] 101/262 | Designing Attribution: Technical Disclosure in AI-Mediated Art
[NO] 102/262 | The Power of "Being Seen": Exploring the Practice of Livestreaming Study Processes Among ADHD Users
[NO] 103/262 | From Shuffle Cards to Puppets: Reimagining the Jungle Book as a Tangible Narrative
[NO] 104/262 | Metaphors as Scaffolds: Spatial, Relational, and Embodied Thinking for Youth Usable Privacy Design
[NO] 105/262 | Designing Transparent AI-Mediated Language Support for Intergenerational Family Communication
[NO] 106/262 | The Unkillable Deathbot
[NO] 107/262 | Competitive Memory Editing: A Nash Bargaining Approach to MEMIT Interference Prediction
[NO] 108/262 | Towards Online Collaborative Teaching of Software Engineering for Safety Critical Systems
[YES] 109/262 | Directed or Undirected: Investigating Fuzzing Strategies in a CI/CD Setup — RCR Report
[NO] 110/262 | Empowering Engagement: Designing for Sustainable and Playful Community Crowdsensing
[YES] 111/262 | The Role of Software Engineering Knowledge in Shaping Effective AI-Driven Development
[NO] 112/262 | Why Privacy-by-Design (PbD) is Underspecified for Divination Generative AI (GenAI)?
[NO] 113/262 | Comforting an Emotion-Mirroring Robot: Externalized Self-Soothing via Role-Reversal Touch Interaction
[NO] 114/262 | How Demographics and Popup Warnings Influence the Spread of Misinformation
[NO] 115/262 | Machine Learning in Botnet Intrusion Detection for IoT Botnets: A Literature Review in Context of the Evaluation
[NO] 116/262 | Artificial Intelligence in Tax Administration: A Review of Implementation Strategies, Challenges, and Performance Outcomes
[NO] 117/262 | Atmospheric Spine: Reconnecting Indoor Dwellers to Local Climate through Sensory Augmentation
[NO] 118/262 | Featured schools integrate digital technology VR--Looking at the learning of teachers and students' ecological courses DIY self-directed and self-acted
[NO] 119/262 | Improving PID Control with Bayesian Optimization for Adversarially Robust Federated Learning
[NO] 120/262 | Survey on the Development of Key Technologies in Computational Power Identification Network
[NO] 121/262 | DualFocusNet: Dual-Stream Spatio-Temporal Transformer for Generalizable Deepfake Detection
[NO] 122/262 | Stories and Artifacts: Exploring Narrative and Material Practices in Design   Research
[NO] 123/262 | When Minimal Data Meets Diverse Creativity: How "Artist Logico Live" Explores Participatory Design of AI as Relational Infrastructure for Creative Communities
[NO] 124/262 | Adversarial Attacks and Defense in CNNs for Medical X-Ray Classification
[NO] 125/262 | Self-Regulated Learning in Higher Education
[NO] 126/262 | PiscineMobil: A Design Probe for Interspecies Agency Reversal
[NO] 127/262 | MotiFit: Empowering Culturally Authentic Exergaming Experiences through   Embodied Interactions with Traditional Chinese Motif
[NO] 128/262 | Chory Cloth Bot: A Robotic Social Dance Game for Children with Cerebral Palsy
[NO] 129/262 | HEROCS: An On-Device Mobile Computer Vision System for Hazard Detection in Household Environments
[NO] 130/262 | Fragmented Spatial Realities: Urban AR and the Fracture of Public Space
[NO] 131/262 | Security Noir: Critical Designs for Security &amp; Privacy
[NO] 132/262 | SymbioSip: Human-Plant Symbiosis through a Bidirectional Hydration System
[NO] 133/262 | Beyond the Perfect Assistant: Provoking Learning with Flawed AI Partners
[NO] 134/262 | Fostering Emotional Perspective-Taking: An Exploration of Affective Face-Tracking Interactions in the VR Narrative Rekindle
[NO] 135/262 | Learning to Predict Delivery Delays: An Analytical Study of Machine Learning and Oversampling Strategies
[NO] 136/262 | Two-Path Hybrid Gating for Machine Learning-Augmented FaaS Scheduling on the Edge-Cloud Continuum
[NO] 137/262 | AI Teammates for Conflict Support: A Taxonomy Refined through Design Fiction in Germany and Japan
[NO] 138/262 | SaferRave – Designing for Reflection and Awareness in Digital Harm Reduction
[NO] 139/262 | Containing What We Feel: A Tangible Service System for Emotional Regulation
[NO] 140/262 | My Digital Twin Walks the City
[NO] 141/262 | UnCert-AIn: Making Clinical AI Uncertainty Explicit through a Design Card Set
[NO] 142/262 | Moving and Crafting Data Together: Critical and Feminist Perspectives on Technologies for Movement through Movement
[NO] 143/262 | From Avoidance to Coexistence: Design Interventions for Secondhand Smoke Exposure in Public Social Spaces
[NO] 144/262 | EduReview: An AI–assisted Risk Aware Design Critique System for K–12 Products
[NO] 145/262 | Embodied Vulnerability in Design Research: Methods, Ethics, and Care
[NO] 146/262 | Sorting of Many Sorts: Avenues Toward Formalizing Approaches for Multi-Modal Artifacts in Participatory Design and Research
[NO] 147/262 | Beyond Interaction toward Cooperation and Commoning
[NO] 148/262 | Nutworth: Designing a Context-Aware Spending Companion to Promote Value-Aligned Financial Decisions
[NO] 149/262 | EchoField: A Transformable Sonic Palette for Collective and Embodied Listening
[YES] 150/262 | Examination of Cognitive Monitoring and Error Detection Processes during Collaborative Software Testing: A Pilot Study
[NO] 151/262 | Mathematical Validation and Security Analysis of an Educational E-Commerce Web Application
[NO] 152/262 | Micro-Experience Bingo: Rethinking How Experience is Captured in HCI
[NO] 153/262 | Resonant Data: Designing to Count the Missing and the Dead in Defense of Life
[NO] 154/262 | Designing Feast-ness Under Constraint: A Tofu Texture Continuum with Expectation Scaffolds
[NO] 155/262 | Research on User Focus of Hyper-Casual Games Based on Difficulty Adjustment Theory
[NO] 156/262 | Improving the Accuracy of NIDS Using a Network Simulator to Prevent Lateral Movement
[NO] 157/262 | An Explainable Clustering Framework for Post-Tropical Cyclone Impact Profiling in the Philippines: A Comparative Analysis of Optimized Algorithms
[NO] 158/262 | ACO-RTCov: An Ant Colony Optimization Framework for Real-Time Covariance Detection in 6G-Enabled IoT Networks
[NO] 159/262 | A Schema-Driven Data Governance System for Multi-Source Heterogeneous Data in Micro-Frontend Architectures
[NO] 160/262 | Let’s Talk About Privacy: Privacy Negotiation in Intimate Partnerships
[NO] 161/262 | Exploring Techno-Spirituality through Artistic Research
[NO] 162/262 | Crafting Generative AI as Material: Small Data and Model Crafting for Artist-Centred AI Art Tools
[NO] 163/262 | Demonstrating Punch at Your Desk: A Playful, Boxing-Inspired Companion for Workplace Wellbeing
[NO] 164/262 | Designing Youth Social Media through Problem Space Attunement
[NO] 165/262 | On the Computability of Measures of Regular Sets of Infinite Trees
[NO] 166/262 | Japanese Hate Speech Detection using Finetuning with RAG-based LLM-labeled data
[NO] 167/262 | A Multi-Stream Recognition and Translation Approach for Isolated Thai Sign Language
[NO] 168/262 | Distance of Elements in Reordering Tasks
[NO] 169/262 | Feeling the Score: An Initial Study of Vibrotactile Sight-Reading
[NO] 170/262 | Morph-UX: Real-time Shape Transformation as Visceral Conversations
[NO] 171/262 | Melomove: Self Paced, Movement-Music Tangible Interaction for Older Adults in Public Outdoor Space
[NO] 172/262 | PeraNETS: Peranakan-Inspired Architectural Tiles as Modular Interfaces
[NO] 173/262 | Meet the AI Moment: Using Afrofuturism and Technowomanism Together as Technological Practice
[NO] 174/262 | \(M^{3}QuestionIng\) : Multi-modal Multi-span Medical Question Answering
[NO] 175/262 | No Stakeholder Left Behind: Regret-Aware Re-ranking for Two-Sided Fair Recommendation
[YES] 176/262 | One More Prompt: LLM Coding is a Game You Can’t Quite Put Down - A Provocation
[NO] 177/262 | Towards Understanding the Design of Bidirectional Interactions for Enriching   the Human-Plant Relationship
[NO] 178/262 | Being Stone: Designing Nonhuman Embodiment in VR
[NO] 179/262 | BookChat: Research on an Experiential Reading System Enabling Interaction with Stories based on LLM
[NO] 180/262 | Learning Robust Representations for Malicious Content Detection via Contrastive Sampling and Uncertainty Estimation
[NO] 181/262 | An RSSI Indoor 3D Localization Technique Using Adaptive Low-rank Approximation-aided Two-stage CNN
[NO] 182/262 | SpatialPrompt: XR-Based Spatial Intent Expression as Executable Constraints for AI Generative 3D Design
[NO] 183/262 | AI as Social Catalyst: Exploring AI’s Impact on Human Social Connection
[NO] 184/262 | Cache Capsules: A Tangible System for Intentional Communication and Local Storage
[NO] 185/262 | Development of an Algorithm for Terrain Type Classification Using Inertial Sensor Data
[NO] 186/262 | Hierarchical Hierarchical Cross-Modal Attention for PPC Prediction
[NO] 187/262 | Detection of Integrity Attacks in Cloud-Based Cyber-Physical Systems (CBCPS) Using Long Short-Term Memory (LSTM) Models
[NO] 188/262 | Framework For Building Software Systems For Seamless AI Integration
[NO] 189/262 | A survey of Consciousness Detection for VR-Based Blood Donation Promotion
[NO] 190/262 | Patchwork Knowledge: Documenting Material Learning in Human-Computer Interaction
[NO] 191/262 | Multimodal XR Cards: Co-Designing Remote Social Experiences for Older Adults
[NO] 192/262 | From Authoritarian Nature to Copy‑Paste Urbanism: Solarpunk Spectacles across Singapore and Brisbane
[NO] 193/262 | Nurture Robotic Things: Speculating Future of Human Robot Interaction through Creative Designs with Everyday Objects
[NO] 194/262 | Probes, Not Pipelines: Towards Construction-Aware Textile Taxonomies
[NO] 195/262 | Urban Interfaces as Technopolitical Devices.
[NO] 196/262 | Forest Resonance: Sonic–Haptic Interactions Toward In-Situ Engagement with Subtle More-than-Human Life
[NO] 197/262 | Generative AI as a Speculative Mediator in More-Than-Human Design: An Exploratory Study
[NO] 198/262 | Carrier Bag Narratives for More-than-Human Care: Rethinking Design, Maintenance, and Worldmaking in HCI
[NO] 199/262 | Planar-Constrained 3D Instance Segmentation of Rock Discontinuities
[NO] 200/262 | RCDN: Real-Centered Detection Network for Robust Face Forgery Identification
[NO] 201/262 | A Dual-Optimized Framework for AI-Driven Data Generation and Secure Internet of Vehicles Network Integration
[NO] 202/262 | Articulate That Object Part (ATOP): 3D Part Articulation from Text and via Motion Personalization
[NO] 203/262 | FSTNet: Feature Selection Transformer Network for Low-Light Image Enhancement
[NO] 204/262 | WebAssembly Performance Assessment on Resource Constrained Edge
[NO] 205/262 | Reintroducing the Affected Hand in Desktop Work: Pad-and-Gripper Input for Asymmetric Bimanual Interaction
[NO] 206/262 | A Method for Co-Designing XR Applications with AI Agents
[NO] 207/262 | Embodied Consent Interfaces: A Design Probe for Privacy Decision-Making in Virtual Reality
[NO] 208/262 | When Memes Manipulate: Multimodal Tools of Disinformation
[NO] 209/262 | Designing Cultural Resilience as Practice: Participatory Design for Immigrant Heritage
[NO] 210/262 | Designing for Dissensus: Arts-Based Methods for Generative Friction in Design
[NO] 211/262 | Calories as Computation: Moving from Perceptible to Palpable Environmental Costs of Generative AI through a Design Fiction Workshop
[NO] 212/262 | CarryOn: Reimagining Carrier Access &amp; Use for Urban Shoppers
[NO] 213/262 | Structural Interaction: Shifting the Focus of User Interface Design
[NO] 214/262 | Electro-Guo: Edible Electrotactile Displays for Programmable Gastronomy
[NO] 215/262 | Companion Publication of the 2026 ACM Designing Interactive Systems Conference
[NO] 216/262 | Value-Based Pricing of LLMs: A three dimensions Framework for Input, Model, and Output Costs
[NO] 217/262 | Efficient Human Action Recognition with Mixed-Precision V-JEPA on Embedded Devices
[NO] 218/262 | Attention-Gated Residual U-Net for Accelerated Topology Optimization
[NO] 219/262 | Whose Innovation? Whose Heritage?: Postcolonial Tensions and Meta-Research Agendas about Chinese Intangible Cultural Heritage Research in HCI
[NO] 220/262 | From Home to Housing: Designing Smart Home Care Ecologies
[NO] 221/262 | Design Directions for Calibrating Pulse Oximetry to Skin Color
[NO] 222/262 | CheckerVision: Grid-Based Interleaving of Concurrent 3D Environments in VR
[NO] 223/262 | Towards Evaluating Student Agency in AI‑Mediated Learning
[NO] 224/262 | Practical Algorithms for Minimal Interlocking Systems: Formalizing Geometric Logic into Spatial Structures
[NO] 225/262 | When Does Smartwatch Use Feel Good (or Annoying)? Mapping Feature–Context–Emotion Profiles in Daily Life
[NO] 226/262 | Demonstration of MiXR: Harvesting and Recomposing Geometry from Real-World Objects for In-Situ 3D Design
[NO] 227/262 | Socio-Technical Fiction and Legal Exegesis: Exploring the AI Act in the Near Future of Agentic AI
[NO] 228/262 | Player Selection and Classification in Sports using Machine Learning Approaches
[NO] 229/262 | Choose Your Own Perspective: Designing Role-Based Agency in Heritage Learning
[NO] 230/262 | Visions and Practices of Emerging and Current Climate Technologies from the Pacific Northwest Environmental and Climate Justice Movement
[NO] 231/262 | SlimeUI: Exploring Non-Newtonian Fluid as a Deformable Interface for Digital Musical Expression
[NO] 232/262 | "I'm Not Able to Be There for You": Emotional Labour, Responsibility, and AI in Peer Support
[NO] 233/262 | Decaying Interfaces: Embracing Material Temporality through SlimeUI
[YES] 234/262 | Introduction to the Special Issue on Machine Learning for CAD, Part II
[NO] 235/262 | Frustration as Design Friction: How People with Mild Cognitive Impairment Adapt, Resist, and Redesign Systems
[NO] 236/262 | Enhancing the Accuracy of Nikkei 225 Forecasting Via LLM-Based Filtering of Noisy Social Media Data
[NO] 237/262 | How AI-Based Regeneration Reshapes Multimedia Forensics
[NO] 238/262 | Listen to the Plant: Exploring the Design of Plant Care as an Auditory Interface to Promote Caregiving Behavior
[NO] 239/262 | Designed Away: Human Agency in the Age of Frictionless, AI-Mediated Knowledge
[NO] 240/262 | Ambient Foam Augmentation for Japanese Tea Ceremony with Electrolysis Bubbles
[NO] 241/262 | When Chairs Speak: Interpreting Postural Cues as Social Signals in Hybrid Work
[NO] 242/262 | Designing Spatial Interfaces
[NO] 243/262 | Adaptive Indexing for Schema-Less Temporal Databases Using Hierarchical Similarity Measurement
[NO] 244/262 | Performance Assessment of MQTT Communication over 4G Networks for Connected E-Bike Systems
[NO] 245/262 | Reframing Bite Block Removal Decisions as an Interaction Design Problem under Uncertainty
[NO] 246/262 | Breatho: Real-Time Respiratory Guidance System for Amateur Runners
[NO] 247/262 | butterfl.ai: An Exhibit Leveraging Interactive Visualisation to Build Intuition of AI’s Environmental and Productivity Impacts
[NO] 248/262 | Movement and Training Technologies (MoTTs): Minimalist Smartwatch-based Wearables to Support Physical Rehabilitation and Training Activities
[NO] 249/262 | Generative Deepfake Videos in the Foundation-Model Era: A Timeline of Eroding Trust in Visual Evidence
[NO] 250/262 | Modeling and Monitoring InSAR Time-Series Deformation in Hangzhou Bay via an SE-Attention Temporal Convolutional Residual Transformer
[YES] 251/262 | In Code They Think; In Proof We Trust
[NO] 252/262 | A multi-tier explainable AI architecture for the prediction of cardiovascular diseases
[NO] 253/262 | Extraction of Road Surface Condition Changes Using Vision-Language Models for Snow Removal Dispatch Decision Support
[NO] 254/262 | Should Machines Get to Judge? Rethinking the Design of AI-Mediated Assessment in Education
[NO] 255/262 | Entanglements and Unintended Consequences of Automated Vehicles: An Instance-based Discussion for Generative Uncertainty
[NO] 256/262 | RoPe-DW: Robust and Perceptual Dual Watermarking for Secure AI-Generated Multimedia Content
[NO] 257/262 | Refined Non-Local Blocks for Precise Segmentation of Diplococci in Microscopy Imagery
[NO] 258/262 | Relating Otherwise: Pluriversal Pathways for Reworlding More-than-Human Design
[NO] 259/262 | MuseMeal: Supporting Healthy Cooking through Embodied Conversational Interaction and Wearable Projection
[NO] 260/262 | Beyond Moving Appendages: Breathing Together as Bodily Sympathy in a Relational, Soma-Informed Human–Robot Encounter
[NO] 261/262 | Exploring a Hybrid Wearable and Computer-Vision Approach for At-Home Carpal Tunnel Rehabilitation
[NO] 262/262 | University Websites Going West: Algorithmic Gentrification and the Identity Tax on Interface Design Evaluation
筛选完成：共 262 篇；Yes = 8 篇；已保存到 papers/select_paper2026-06-13.json。
邮件发送成功！
[2026-06-14 23:35:51] 任务执行成功！
