[2026-09-11 23:53:58] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-09-10
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202609100000+TO+202609102359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ReadTimeoutError("HTTPSConnectionPool(host='export.arxiv.org', port=443): Read timed out. (read timeout=20)"))
[ACM] 2026-9-10 | Research on Intelligent Logistics Information Sensing Method Based on RFID Anti-interference Coding
[ACM] 2026-9-11 | TraceCoder: A Trace-Driven Multi-Agent Framework for Automated Debugging of LLM-Generated Code
[ACM] 2026-9-11 | The Hidden Cost of Readability: How Code Formatting Silently Consumes Your LLM Budget
[IEEE] 2026-9-10 | Construction and Evaluation of a Knowledge Graph for Adolescent AI Courses Oriented Toward Computational Thinking Development
[IEEE] 2026-9-10 | Deep Residual Network-Assisted Optimization for Cross-Polarized Metasurfaces
[IEEE] 2026-9-10 | Deep Learning-Based Indoor Localization Using a TOF-AOA Heatmap Sequence Model
[IEEE] 2026-9-10 | Multi-Parameter Simultaneous Sensing Based on Spoof Localized Surface Plasmons
[IEEE] 2026-9-10 | Design and Development of an Enhanced RFID-Based Name Verification System for Graduation Ceremonies
[IEEE] 2026-9-10 | A Broadband K/Ka-Band Transformer-Based Three-Tline Parallel Doherty Power Amplifier in 65-nm CMOS
[IEEE] 2026-9-10 | Orthogonal Disentanglement with Projected Feature Alignment for Multimodal Emotion Recognition in Conversation
[IEEE] 2026-9-10 | TYrPPG: Uncomplicated and Enhanced Learning Capability rPPG for Remote Heart Rate Estimation
[IEEE] 2026-9-10 | Design of a Compact Microwave Anechoic Chamber Based on the Multi-Scenario Integrated Test System
[IEEE] 2026-9-10 | A Dual-Band Beam-Scanning Antenna Array Based on Dual-Radiation-Mode Leaky-Wave Antenna
[IEEE] 2026-9-10 | A PFA-MLSTM-FCN Runoff Prediction Model for Data-deficient Regions
[IEEE] 2026-9-10 | FAST-D: FAst and Scalable Thing Description Discovery in the Web of Things
[IEEE] 2026-9-10 | Nonlinear Characterization of Varactor Diodes
[IEEE] 2026-9-10 | Parallel Microsphere Near-Field and Laser Hybrid Fabrication of Cross-Scale Hierarchical Metal Meshes for Transparent EMI Shielding
[IEEE] 2026-9-10 | A Cross-Cultural Symbolic Pipeline for Traditional Music Genre Classification
[IEEE] 2026-9-10 | A Super-Resolution Sparse Aperture ISAR Imaging Algorithm Using the Signal Subspace Suppression Technique
[IEEE] 2026-9-10 | Comparative Evaluation of Convolutional Neural Networks and BiLSTM for Phishing Email Detection
[IEEE] 2026-9-10 | Dual-Band Filtering Microstrip Antenna Based on High-Order Mode of SSPPs
[IEEE] 2026-9-10 | Biogas Production, Methane Separation, and Measurement Framework for Anaerobic Digestion: Advancing Sustainability in Dairy Farming
[IEEE] 2026-9-10 | Equivalent Circuit Model and Bandwidth Analysis of Ultra-Wideband Reflective Polarization-Conversion Metasurfaces
[IEEE] 2026-9-10 | Compact Dual-Polarized Microstrip Antenna for Ku-Band Mobile Terminals
[IEEE] 2026-9-10 | Dual-Band Decoupling Enhancement of Closely Spaced U-Slot Patch Antennas Using a Non-Contact Dielectric Loading Structure
[IEEE] 2026-9-10 | Heuristic Optimization of Workplace Learning Activities in Dual Vocational Education
[IEEE] 2026-9-10 | Design and Implementation of an IoT-Based Smart Mushroom Cultivation System with Automated Environmental Control
[IEEE] 2026-9-10 | Grounded AI for Knowledge Integrity in Intergovernmental Organizations: Educational Infrastructure Review
[IEEE] 2026-9-10 | VALU-Accelerated Hybrid Parallel VSIE for Electromagnetic Analysis
[IEEE] 2026-9-10 | High-Efficiency On-Chip Inductor Synthesis Using PSO and KNN
[IEEE] 2026-9-10 | Emotion-Driven Gameplay Adaptation: Keeping Players in Flow
[IEEE] 2026-9-10 | Ultra-Thin 1-Bit Reflective Coding Metasurface for SSP Excitation at Normal Incidence
[IEEE] 2026-9-10 | The Freeware Software Imlaymed: An Aid for the GPR Imaging in Stratified Soils
[IEEE] 2026-9-10 | Uncertainty from Measuring a DC Voltage from Classroom Experiments to Verify Voltage Measurements in an Engineering Practice Course
[IEEE] 2026-9-10 | A Dual-channel Terahertz Sensor Based on 3D-Printed Metasurfaces
[IEEE] 2026-9-10 | Symmetry-broken BIC enhancement of terahertz sources based on dielectric-loaded gratings
[IEEE] 2026-9-10 | Dual-Band Common Aperture Antenna Array Based On Electromagnetic-Transparent Antenna
[IEEE] 2026-9-11 | New Material Mapping Solution for Cubic Mesh Generated by the Ray Casting Method
[IEEE] 2026-9-11 | Evaluation of Deep Neural Networks for High-Fidelity Voice Cloning Using Resource-Constrained Embedded Systems
[ACM] 2026-9-11 | Decades of GNU Patch and Git Cherry-Pick: Can We Do Better?
[ACM] 2026-9-11 | An Eye for AI: Eye-Tracking the Micro-Interruptions of GenAI Code Suggestions
[ACM] 2026-9-11 | Actionable Warning Is Not Enough: Recommending Valid Actionable Warnings with Weak Supervision
[ACM] 2026-9-11 | More with Less: An Empirical Study of Turn-Control Strategies for Efficient Coding Agents
[ACM] 2026-9-11 | Reflections on the Reproducibility of Commercial LLM Performance in Empirical Software Engineering Studies
[ACM] 2026-9-11 | Automated Network-Level Fault Injection Testing of Microservice Architectures
[ACM] 2026-9-11 | Automating Requirements Formalization: Using LLMs and Low-Complexity Distinguishing Traces for Semantic Validation
[IEEE] 2026-9-11 | Deep Learning Based Super-Resolution MIMO OAM Radar
[IEEE] 2026-9-11 | An Empirical Study of VM, Container, and Hybrid Deployment Models for Microservices Under Resource Contention
[IEEE] 2026-9-11 | Non-Diffracting All-Metal Leaky-Wave Antenna
[IEEE] 2026-9-11 | Ruler: Extremely Efficient Power-Aware Optimization for Latency-Critical Systems
[IEEE] 2026-9-11 | Wearable Sensor-Based Human Activity Recognition in Squash Training Optimized by Reinforcement Learning
[ACM] 2026-9-11 | ATLAS: Discovering Agent Strategies through LLM-Guided Abstraction and Automata Learning
[ACM] 2026-9-11 | The Process
[IEEE] 2026-9-11 | Smart Grid Architecture and Functionalities and Developments
[IEEE] 2026-9-11 | ICVARS 2026 Contributor Page
[IEEE] 2026-9-11 | Error-Tolerant Neural Network Hardware Exploiting Unitary-Weight Representation for Stochastic STT-MRAM
[IEEE] 2026-9-11 | LPASU-SwinDet: A Multi-Scale Transformer Framework for Maritime Infrared Small Target Detection_supp1-3732334.pdf
[IEEE] 2026-9-11 | Integrity-Aware Privacy-Preserving Heartbeat Anomaly Detection
[IEEE] 2026-9-11 | A Simplified MIMO Radar Using Antenna-Domain Spatial Segmentation and Embedded Processing
[IEEE] 2026-9-11 | Miniaturized Dual-Ellipse Patch Antenna with a Modified Slot Structure for Biomedical Sensing Applications
[IEEE] 2026-9-11 | Vision-Based Agile Landing on Turbulent Waters_supp1-3732934.mp4
[IEEE] 2026-9-11 | Fast Near-Field Holographic Microwave Imaging with a Novel Data Acquisition Technique
[IEEE] 2026-9-11 | FDTD Simulations of the RF Impedance of a Dipole Antenna in Magnetized Plasma with Anisotropic Ionospheric Parameters
[IEEE] 2026-9-11 | HY-CNN-GRU: A Universal Deep Learning Framework for Robust Channel Estimation Across Heterogeneous Wireless Environments in 6G NOMA Systems
[IEEE] 2026-9-11 | On Two-Dimensionality Of Linear Time-Varying Systems: 2D-To-1D Transform Conversion
[IEEE] 2026-9-11 | False Data Injection Attack Detection in Smart Grid State Estimation Using State Vector Residual Analysis and Random Forest Classification
[IEEE] 2026-9-11 | Peak Demand Detection in PV-Integrated Building Energy Systems Using Isolation Forest and Consensus Voting: Seasonal Performance and Economic Viability
[IEEE] 2026-9-11 | Towards the Blended Lifeworld Relation: A Postphenomenological Analysis of Mixed Reality Digital Twins
[IEEE] 2026-9-11 | TBMP-Diff: Accelerator-Aware Timestep-Block Mixed-Precision Scheduling for Diffusion Inference
[IEEE] 2026-9-11 | Ensemble Learning for Hourly Energy Forecasting in PV-Integrated Research Buildings: Temporal Validation, VIF Optimization, and Peak Demand Classification
[IEEE] 2026-9-11 | GMK-YOLO: Multi-Scale Texture-Aware Network for Power Line Insulator Detection
[IEEE] 2026-9-11 | Hybrid Gradient Boosting and Anomaly Detection Framework for Autonomous Peak Demand Management in Commercial Building Energy Systems
[IEEE] 2026-9-11 | A Wireless Battery-Free Glucose Sensing SoC for Brain Monitoring Using Chronoamperometry
[IEEE] 2026-9-11 | A Stealthy Trojan Attack on Timer-Based C-ARQ Retransmission in Energy-Harvesting Wireless Networks
[IEEE] 2026-9-11 | EDSources: A Lightweight Optical Beacon Detection Framework for AUV Close-Range Docking Guidance
[IEEE] 2026-9-11 | Data-Driven Framework for Real-Time Carbon Accounting and Sustainability Monitoring in Off-Grid Urban Residential Microgrids
[IEEE] 2026-9-11 | Knowledge-Grounded Adaptive Reflection for Reliable and Fair Educational LLM Agents
[IEEE] 2026-9-11 | Route-Time Conditioned Residual Transformer for Multi-Step 3D UAV Trajectory Prediction
[IEEE] 2026-9-11 | The Random Line-of-Sight Measurement System and its Development Over the Past 10 Years
[IEEE] 2026-9-11 | Impact of Automotive Tinting Film on C-Band On-Glass Antennas
[IEEE] 2026-9-11 | RSODNet: Real-Time Small Object Detection in Large Scenes by Exploiting Trellisnet Modularization Algorithm with X-Ray Images
[IEEE] 2026-9-11 | Liquid-Metal Dome-Based Fluid Antenna System for Aerial Base-Stations in Non-Terrestrial Networks
[IEEE] 2026-9-11 | A Secure Mechanism for Nested GPU Containers in AI Developer Sandboxes
[IEEE] 2026-9-11 | Human Behavior Detection and Recognition Based on AFSD Sensor Signals
[IEEE] 2026-9-11 | Isolated DC-DC Converter Design with On-Chip Micro Transformer Based on 0.18μm BCD Process
[IEEE] 2026-9-11 | Machine Learning-Based Energy Consumption Prediction Using Integrated PV Generation and Dynamic Pricing in Research Facility Operations
[IEEE] 2026-9-11 | Max-PatchTST: Mitigating Signal Drowning via Max-Deviation Aggregation for Large-Scale Equipment Anomaly Detection
[IEEE] 2026-9-11 | Vibration-Induced Bonding Wire Fatigue Fracture During PCB Depaneling: A Finite Element and Random Vibration Analysis
[IEEE] 2026-9-11 | Preface
[IEEE] 2026-9-11 | SVLC: Autonomous UAV Landing in GNSS-Denied Environments Using Stage-Based Visual Landing Control and ArUco Localization
[IEEE] 2026-9-11 | Adaptive Fractional Projection MUSIC: A Covariance-Free and Matrix-Decomposition-Free Framework for Robust Direction-of-Arrival Estimation
[IEEE] 2026-9-11 | An UTD-Type Diffraction Coefficient for Dipole Field Scattering Due to the Presence of a Cylindrically Curved Screen
[IEEE] 2026-9-11 | Projector Surface Integral Equation Formulation With Generalized Sheet Transition Conditions
[IEEE] 2026-9-11 | Comparison of Passive Matching Techniques for Electrically Small Antennas
[IEEE] 2026-9-10 | Learning Spatially Ambiguous Trajectories From Demonstrations Via Phase-Modulated Dynamical Systems
[IEEE] 2026-9-11 | CRLH Negative Order Resonant Antenna with Gain Enhancement Using Reflection-Type Amplifier
[IEEE] 2026-9-11 | Highly Linear Voltage-Boosted Constant-Slope DTC with Extended Delay Range
[IEEE] 2026-9-11 | MTM-EBG Inspired Dual-Band 1-Bit Transmissive Metasurface
[IEEE] 2026-9-11 | CPDC-DoS Attack-Resilient T-S Fuzzy LFC Strategy for Power Systems based on BiOpt-ADAM
[IEEE] 2026-9-11 | A Filter-Technique Assisted Design of Dual-Band Dual-Polarized Transmitarray Antenna Using Cross-Slot and Ring-Slot Resonators
[IEEE] 2026-9-11 | Author Index
[IEEE] 2026-9-11 | An Effective Re-ranking Framework for Fine-grained Ship Recognition with Mutual Guidance of Global-Local Features
[IEEE] 2026-9-11 | Low-Sidelobe Beamforming and Precise Beam Steering Method Based on PSO-SQP Hybrid Optimization
[IEEE] 2026-9-11 | Bidirectional Charging and Computation for Moving and Parked Electric Vehicles in Edge Computing Networks
[IEEE] 2026-9-11 | Accurate Threshold Voltage Extraction Circuit using gm/I
                    <sub>d</sub>
                    Method
[IEEE] 2026-9-10 | Maximum Energy Capture of Direct-Drive Wave Energy Conversion: An Improved Complex-Conjugate Control Strategy with Displacement Constraint
[IEEE] 2026-9-10 | A Consumer-Owned Edge Node for Verifiable, Privacy-Preserving Personalized Health
[IEEE] 2026-9-10 | Efficiency-Aware Cooperative Path Planning for Truck-UAV Power Line Inspection
[IEEE] 2026-9-10 | Dynamic Mode Decomposition of Photoacoustic Sensor Data for Blood Classification
[IEEE] 2026-9-10 | Proposing a Quantitative Framework for Persona Set Diversity Measurement as a Pathway to Inclusive User Representation
[IEEE] 2026-9-10 | A Robust Keypoint-Based Machine Learning Framework for Audio Copy-Move Forgery Detection Using Time-Frequency Representations
[IEEE] 2026-9-10 | Adaptive Extended ETDAC Transforms Using Discrete Trigonometric Transforms
[IEEE] 2026-9-10 | 5-DoF Manipulation of Magnetic Capsule Robots Using Nonorthogonal Maxwell-Helmholtz Coils_supp2-3724330.mp4
[IEEE] 2026-9-10 | Evaluating Load-Conditional Convergence in Lithium-Ion Battery Degradation: A Matched-Group Statistical Framework
[IEEE] 2026-9-10 | Space-Based Solar Power [Green RF Engineering]
[ACM] 2026-9-10 | The Relationship between Human Values, Job Satisfaction, and Well-being among Thai IT Employees in Thailand: An Exploratory Study
[IEEE] 2026-9-10 | A Miniaturized Bandpass Filter Using Thin-Film Dual-Layer Resonator Units for Compact UWB RF Front-End Systems
[IEEE] 2026-9-10 | Polarization Insensitive Wideband Metamaterial Absorber for low Frequency loaded with Lumped Resistors
[IEEE] 2026-9-10 | Greentwin: a Cloud-Native Digital Twin Architecture for Citizen-Centric Green Interventions in Smart Cities
[IEEE] 2026-9-10 | Design of E-Band Wideband High-Selectivity SIW Bandpass Filter Based on TSV Technology
[IEEE] 2026-9-10 | Nonlinear Macromodeling of RF Power Amplifiers Using A Data-Driven Artificial Neural Network
[IEEE] 2026-9-10 | A Novel Surrogate Model-Based Approach for Accelerating Model Parameter Extraction
[IEEE] 2026-9-10 | Design of a Broadband Reflection-Type Phase Shifter with Amplitude Balance
[IEEE] 2026-9-10 | G-Band All-Metal Butler Matrix for 6G Terahertz Communications
[IEEE] 2026-9-10 | Beyond the Code: Evaluating Alternative Assessment Strategies for Integrity and Authentic Learning in AI-Influenced Programming Tasks
[IEEE] 2026-9-10 | Design of a High-Gain Full-Angle Leaky-Wave Antenna based on SSPPs
[IEEE] 2026-9-10 | A Periodic Contact-Region Modeling Method for Infinitely Biperiodic Structures Involving Connected Open Metallic Surface
[IEEE] 2026-9-10 | A High-Q Hetero Dielectric Inductor
[IEEE] 2026-9-10 | Generative AI-Enabled Interdisciplinary Innovation and Entrepreneurship Education: Synergy Mechanisms from a Structural Equation Model
[IEEE] 2026-9-10 | FMINet: A Mask-Constrained Inpainting Framework via Flow Matching for SAR RFI Mitigation
[IEEE] 2026-9-10 | Modeling Uncertainty in Physical Therapy Queueing Systems Using Triangular Fuzzy Numbers and M/M/s Model
[IEEE] 2026-9-10 | A Low-Frequency-Ratio Shared-Aperture Dual-Band Dual-Circularly Polarized Phased Array
[IEEE] 2026-9-10 | A Novel Dual-Band Power Amplifier Using a Dual-Path Impedance Matching Structure
[IEEE] 2026-9-10 | An Ultra-Low Phase-Noise X-Band LC VCO Using Transformer-Coupled Tank in 28-nm CMOS Technology
[IEEE] 2026-9-10 | Design of a Dual-Band High-Efficiency Filtering Power Amplifier Based on Parallel T-junction and Three-Section Transformer
[IEEE] 2026-9-10 | A Covariance-Based Tilt Angle Estimation Method for Self-Calibration of Wind Profiling Radar
[IEEE] 2026-9-10 | A Dual-band 2-Bit Programmable Metasurface for Beam-scanning
[IEEE] 2026-9-10 | Online Detection System for Fabric Defects Based on Unsupervised Learning
[IEEE] 2026-9-10 | High-Integration Ka-Band Active Antenna With GaAs Power Amplifier
[IEEE] 2026-9-10 | Flat-Top Beam in Terahertz Holographic Impedance Metasurface via Phase-Factor Modulation
[IEEE] 2026-9-10 | A Novel Bidirectional Leaky-wave Antenna with Broadside Radiation for Point-to-Point(P2P) Communication
[IEEE] 2026-9-10 | Study on High-Frequency Structure of X-Band High-Efficiency Klystron
[IEEE] 2026-9-10 | Impact Analysis of Loss Functions on Deep Learning-based Microwave Imaging Enhancement
[IEEE] 2026-9-10 | An Ultra-Broadband V/W-Band Tripler in 0.1-μm GaAs pHEMT Process
[IEEE] 2026-9-10 | Research on Digital Restoration of Dunhuang Murals Based on Diffusion Models
[ACM] 2026-9-11 | Towards an Asset Administration Shell Maturity Model
[ACM] 2026-9-11 | Temporal Specification Oriented Fuzzing for Trigger-Action-Programming Smart Home Integrations
[ACM] 2026-9-11 | An Empirical Study of Knowledge Distillation for Code Understanding Tasks
[ACM] 2026-9-11 | RISE: Rule-Driven SQL Dialect Translation via Query Reduction
[ACM] 2026-9-11 | Designing Abandabot: When Does Open Source Dependency Abandonment Matter?
[ACM] 2026-9-11 | LLM4Perf: Large Language Models Are Effective Samplers for Multi-Objective Performance Modeling
[ACM] 2026-9-11 | On the Robustness of Fairness Practices: A Causal Framework for Systematic Evaluation
[ACM] 2026-9-11 | Are Humans and LLMs Confused by the Same Code? An Empirical Study on Fixation-Related Potentials and LLM Perplexity
[IEEE] 2026-9-10 | Semantic-Aware Intelligent Request Routing in Multi-Model LLM Backend Gateways
[IEEE] 2026-9-11 | Below-Cutoff Propagation in a Metasurface-Cladded Waveguide
[IEEE] 2026-9-11 | Numerical Analysis of Absorber Collar Geometry and Orientation Effects on Near-Field Probe Performance
[IEEE] 2026-9-11 | Table of Contents
[IEEE] 2026-9-11 | REMIX-PUF: A Temporal Response Mixing PUF Design Resistant to Machine Learning Attacks
[IEEE] 2026-9-11 | Experimental Study on Half-Select Disturb and Wake-Up Effects in 3D 2T2C FeRAM Arrays
[IEEE] 2026-9-11 | Hardware Validation of CMOS Inverter PUF Using Commercial Integrated Circuits
[IEEE] 2026-9-11 | A High-PSRR Bandgap Reference for FeRAM Applications
[IEEE] 2026-9-11 | Real-time Optimization of a Dynamic System (PV-BESS) integrated into a Building for Self-Consumption
[IEEE] 2026-9-11 | Influence of ISSG Gate Oxide Process on NBTI Reliability in 28nm HKMG p-MOSFETs
[IEEE] 2026-9-11 | Phase Center Normalization of a Multi-Mode Fixed Reception Pattern Antenna
[IEEE] 2026-9-11 | When Linearity Suffices: Lightweight Linear Alignment for Video-Text Retrieval
[IEEE] 2026-9-11 | Study on the Influence Mechanism of Gradient Porous Media Microstructure on the Melting Characteristics of Phase Change Materials for Thermal Energy Storage
[IEEE] 2026-9-11 | A 16-Bit High-Accuracy R-2R DAC Using Auxiliary-DAC-Assisted Bit-by-Bit Calibration
[IEEE] 2026-9-11 | Suppressing Crosstalk in Electrochemical Sensor Arrays with Potentiostat and Electrode Co-design
[IEEE] 2026-9-11 | Design of a Multi-Level Adjustable Constant-Temperature-Difference Control Circuit for a MEMS Thermal Gas Flow Sensor
[IEEE] 2026-9-11 | ECC-Free MCU-Based SRAM-PUF Reliability and Error-Tolerance Analysis
[IEEE] 2026-9-11 | CI-UIUNet: A Context Interaction Enhanced UIU-Net for Infrared Small Target Detection
[IEEE] 2026-9-11 | A Compact Four-Element Frame MIMO Antenna with Defected Ground Structures for WiFi 7 Applications
[IEEE] 2026-9-11 | MECHO: Development of a Modular Collaborative Robot for Research and Education
[IEEE] 2026-9-11 | Study on Melting Characteristics of Phase Change Material Composites with Gradient-Porosity Porous Media: A Parametric Analysis at the REV Scale
[IEEE] 2026-9-11 | International Validation of FDC as a Sizing tool for Small Hydropower Plants: Study case in Romania and Spain
[IEEE] 2026-9-11 | High-Gain Wide-Bandwidth Low-Side MOSFET Current Sensor for DC-DC Buck Converter Applications
[IEEE] 2026-9-11 | Table of Content
[IEEE] 2026-9-11 | A 10-kV Double-Sided Cooling SiC MOSFET Power Module with Integrated Common-Mode Screen and Enhanced Thermal Performance
[IEEE] 2026-9-11 | Investigation of a Complementary Dual-Band On-Off Keying Microwave Modulator
[IEEE] 2026-9-11 | Design Space Exploration for ReRAM-based Architectures to Address Scaling Non-idealities
[IEEE] 2026-9-11 | A Multi-Functional Passive Magnetic Metasurface for Wireless Power Transfer Applications
[IEEE] 2026-9-11 | Task-Aware Dynamic LoRA for Multiple-Choice Environmental Audio Question Answering
[IEEE] 2026-9-10 | GAR-Tracker: Target-Visible Trajectory Planning for a Ground Assistant Robot
[IEEE] 2026-9-11 | Cavity-Backed Magneto-Electric Dipole as a Feed for Dielectric Lenses
[IEEE] 2026-9-11 | An Ultra-Wideband Compact Tri-Polarized Antenna with Stable Radiation Patterns for Communication and Sensing Applications
[IEEE] 2026-9-11 | A High Supply-Noise-Suppression Ring-Amplifier Capacitor-Less LDO Using Replica Biasing
[IEEE] 2026-9-11 | Unit Cell Design for Space-Wave to Surface-Wave Coupler Enabled Transporting Metasurfaces
[IEEE] 2026-9-11 | Seamless Grid-Connected and Islanded Transition Control of a Grid-Forming V2G Charging System for Critical Load Support
[IEEE] 2026-9-11 | Corrections to “Improving Interaction and Assessment in Hybrid Educational Environments: An Integrated Approach in Microsoft Teams With the Use of AI Techniques”
[IEEE] 2026-9-11 | Design and Analysis of a Low-Profile Center-Fed Slot Antenna for S-Band Applications
[IEEE] 2026-9-11 | Cloud-Native Big Data Analytics for Optimizing Antibody-Drug Conjugates (ADCs) Clinical Trial Design in Pancreatobiliary Cancers
[IEEE] 2026-9-11 | Optimization of Pixelated RIS Unit Cells for Wide-Angle Stability and Bandwidth Enhancement
[IEEE] 2026-9-11 | Aptamer-Based Detection of Dengue NS1 Protein Using a CSRR Microwave Sensor
[IEEE] 2026-9-11 | A Tile-Based Passive RFID Control Architecture for Scalable Reconfigurable Intelligent Surfaces
[IEEE] 2026-9-11 | Design of a Flexible SSPP Band-Selective Filter on Denim Textile Substrate for Wearable Applications
[IEEE] 2026-9-11 | Sub-Millimeter-Wave Transmitarrays for Near- and Far-Field Applications: Design and Experiments
[IEEE] 2026-9-11 | AeroLink: Decentralized Service Discovery for UAV Swarms via Logical Links
[IEEE] 2026-9-11 | Digital Elevation Model from UAS-SAR Single-pass Interferometry
[IEEE] 2026-9-11 | Identical-Azimuth Secure Communications via Element-Wise Time-Modulation FD-RIS: A Stackelberg Game Approach
[IEEE] 2026-9-11 | Learning-Based Generation of High-Resolution Microwave Contrast Sources for Biomedical Imaging
[IEEE] 2026-9-11 | Welcome Message From the General Co-Chairs
[IEEE] 2026-9-11 | Self-Diplexing Antenna Incorporating Motion-Sensing Functionality
[IEEE] 2026-9-11 | Reconfigurable Wave Manipulation Through Passive RF Control: Recent Advances and Perspectives
[IEEE] 2026-9-11 | Localization of Electromagnetic Signals Generated by Underground Sources
[IEEE] 2026-9-11 | A Curved Plasma Jet Line Based on a Dielectric Anapole Resonator
[IEEE] 2026-9-11 | A Novel Hybrid Amplitude Tapering Method for Linear Array Antennas: Theory and Performance
[IEEE] 2026-9-11 | Versatile Exoskeleton Control Supports Elderly Joint Energetics During Hip-Intensive Tasks_supp1-3732581.mp4
[IEEE] 2026-9-11 | A Dual-Band Wi-Fi Monopole Antenna System with a Compact Parasitic Structure for Enhanced Isolation
[IEEE] 2026-9-10 | An Efficient ResNeXt-Based Deep Learning Model for Motion Activity Intensity Recognition Using Smartwatch Accelerometer
[ACM] 2026-9-10 | Proceedings of the 2026 International Symposium on AI-Enabled Information and Communication Systems
[ACM] 2026-9-10 | Research on Dynamic Pricing and Domestic Demand Expansion in Consumer Markets Under Reinforcement Learning
[IEEE] 2026-9-10 | Research on Cross-Domain Gesture Recognition Method Based on WiFi CSI and Deep Learning
[IEEE] 2026-9-10 | Predictive Analytics Using Machine Learning to Monitor and Enhance Engineering Students’ Academic Performance
[IEEE] 2026-9-10 | SCDiff: Structure-Consistency Enhanced Diffusion for Unpaired Visible-to-Infrared Image Translation
[IEEE] 2026-9-10 | Three Churches and a Cricket Pitch: Survey of Thetford Grammar School Playing Fields Using a 3D CWSF GPR Multi-Channel Antenna Array
[IEEE] 2026-9-10 | Pattern Inversion-Based In-orbit Failure Analysis for Spaceborne Phased Array
[IEEE] 2026-9-10 | Design of a Waveform Selective Antenna for High-intensity Short-pulse Radiation Fields Prevention
[IEEE] 2026-9-10 | Text Classification of Oilfield Safety Hazards Based on RoBERTa-TextCNN
[IEEE] 2026-9-10 | A Lightweight Self-Supervised Monocular Depth Estimation with Directional Structural Priors for Ancient Architecture Scenes
[IEEE] 2026-9-10 | Design of a Broadband Low-RCS Phased Array Antenna with 2-bit Coding
[IEEE] 2026-9-10 | Low-profile ultra-wideband wide-angle scanning tightly coupled Vivaldi antenna array for X band applications
[IEEE] 2026-9-10 | Automated Construction of Medical Indicator Knowledge Graphs Using Retrieval Augmented Large Language Models
[IEEE] 2026-9-10 | Poisoning Detection in Textual Datasets Using RNN and SVM with Federated Learning
[IEEE] 2026-9-10 | 1.2–1.5 GHz High-Power High-Efficiency Quasi-Monolithic Power Amplifier
[IEEE] 2026-9-10 | Peak Frequency Migration of Terahertz Rain Attenuation Spectra
[IEEE] 2026-9-10 | An Ontology-Based Recommendation Engine for Domain-Specific Language Discovery
[IEEE] 2026-9-10 | A Dual-band Dual-Circularly-Polarized Shared-Aperture Antenna Based on Laminated Structure
[IEEE] 2026-9-10 | SEResNet-GCN A Multi-View 3D Model Classification Framework with Adaptive View Selection
[IEEE] 2026-9-10 | A Multibeam Fully Metallic Geodesic Gutman Lens Antenna
[IEEE] 2026-9-10 | Extrapolation Modeling of Microwave Filters Utilizing Bidirectional Deep Recursive Neural Networks
[IEEE] 2026-9-10 | Non-Unique Effective Permittivity Obtained from the Existing Babinet Principle for Complementary Antennas in a Dielectric Half-Space
[IEEE] 2026-9-10 | Spherical-Wavefront EVM Bias in Near-Field OTA Testing of mmWave Arrays
[IEEE] 2026-9-10 | A Wideband Dual-Circularly Polarized Magneto-Electric Dipole Antenna for Millimeter-Wave Communications
[IEEE] 2026-9-10 | A 2D Inverse-Design Method for Lens Antenna Based on Physics-Informed Neural Network
[IEEE] 2026-9-10 | Deep Learning-Based Reconstruction of Characteristic Mode Currents on Perforated PEC Patches
[IEEE] 2026-9-10 | Enhancing Lightweight Models for Edge-Device Mineral Classification through Multi-Strategy Knowledge Distillation
[IEEE] 2026-9-10 | Behavior Driven Vehicle to Grid Scaling at Fleet LevelFrom driver uncertainty to trustworthy aggregated V2G capacity.
[IEEE] 2026-9-10 | A Fast Near-Field Scanning Visualization Method Based on Machine Vision
[IEEE] 2026-9-10 | A Low-Profile High-Gain Metasurface Antenna Based on Characteristic Mode Analysis
[IEEE] 2026-9-10 | Low-RCS 1-bit Reconfigurable Intelligent Surface Using Trapezoid Cross Units
[IEEE] 2026-9-10 | Toward Enthymeme Reconstruction: A Neuro-Symbolic Interface
[IEEE] 2026-9-10 | Enhancing Students’ Mastery of Cellular Structure and Function through Augmented Reality-Based Instruction
[IEEE] 2026-9-10 | New Design Method Based on High Loss Transmission Line Theory for Microwave-Heating
[IEEE] 2026-9-10 | 3D GPR Tracking of Water Leak in Plastic Pipes
[IEEE] 2026-9-10 | PGT-SAC: A Physics-Guided Graph Transformer Soft Actor-Critic Framework for Six-DOF Robotic Arm Control
[IEEE] 2026-9-10 | High-Efficient Topological Tapered Coupler for Terahertz On-Chip Transmission
[IEEE] 2026-9-10 | Progressive Neural Network for Dynamic Digital Predistortion of RF Power Amplifiers
[IEEE] 2026-9-10 | Responsible Generative AI Governance in Enterprise and Healthcare Environments
[IEEE] 2026-9-10 | A K-Band Wideband Circularly Polarized Phased Array Antenna for Millimeter-Wave Applications
[IEEE] 2026-9-10 | High Isolation Design for Transmit-Receive Separated Phased Arrays: From Polarization Port to Inter-Array Isolation
[IEEE] 2026-9-10 | Near-Field Focusing Pattern Synthesis for Linear Antenna Array with Dynamic Range Ratio Reduction
