[2026-02-17 09:35:37] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-02-16
正在获取论文...
[arXiv] 2026-02-16 | ALiA: Adaptive Linearized ADMM
[IEEE] 2026-2-16 | GaussFocus RPN for Remote Sensing Object Detection
[IEEE] 2026-2-16 | A Fault-Tolerant Resonant DC-Link Inverter with Bidirectional Alternate Commutation
[IEEE] 2026-2-16 | AC Loss Suppression of High-Speed Permanent Magnet Synchronous Motor for Vehicles Based on End Transposed Winding Method
[IEEE] 2026-2-16 | IEEE Transactions on Antennas and Propagation Publication Information
[IEEE] 2026-2-16 | JANUS: A Difference-Oriented Analyzer for Financial Centralized Risks in Smart Contracts
[IEEE] 2026-2-16 | IRAC 2025 Author Information Page
[IEEE] 2026-2-16 | An Artificial Bee Colony algorithm with Machine Learning for Constrained Optimization in HPC
[IEEE] 2026-2-16 | Copyright and Reprint Permission
[IEEE] 2026-2-16 | IEMCON 2025 TOC
[ACM] 2026-2-16 | HADSF: Aspect Aware Semantic Control for Explainable Recommendation
[IEEE] 2026-2-16 | Isharah: A Large-Scale Multi-Scene Dataset for Continuous Sign Language Recognition
[IEEE] 2026-2-16 | Pre-Estimation System of Falling Asleep Process Using Distribution-Based Deep Learning Model With Polysomnography_supp1-3661918.docx
[IEEE] 2026-2-16 | Cost-Effective Adversarial Attacks Against Code LLM with Model Attention
[ACM] 2026-2-16 | Enhanced Cold-Start Sequential Recommendation with  Causal Diffusion Preference Modeling
[ACM] 2026-2-16 | EpicCBR: Item-Relation-Enhanced Dual-Scenario Contrastive Learning for Cold-Start Bundle Recommendation
[IEEE] 2026-2-16 | A Transformer Fault Diagnosis Approach Based on WCGAN-GP and Multimodal Deep Feature Fusion
[IEEE] 2026-2-16 | Over‑the‑Air Federated Transformer Learning for Dynamic 6G Network Slicing and Real-Time Edge Intelligence
[IEEE] 2026-2-16 | Geospatial Cyber-Physical Risk Assessment of Critical Energy Infrastructure in Essex County, New Jersey
[IEEE] 2026-2-16 | A Coq-based Interactive Verification Tool for Analog Circuits
[IEEE] 2026-2-16 | Analytical Calculation Method for Parasitic Capacitance of Annular Excitation Winding in Non-uniformly Distributed Motors
[IEEE] 2026-2-16 | Adversarial Robustness in Cloud-Native Core Banking Systems: Topological Data Analysis (TDA) for AI Model Integrity Under Cyber-Physical Attacks
[IEEE] 2026-2-16 | Research on the AI-Empowered Assessment System of English Classroom Learning in Primary and Secondary School
[IEEE] 2026-2-16 | Coordinated Mitigation of Transient Overvoltage in Wind Power HVDC Outbound Systems Using Synchronous Condenser and Energy Storage
[IEEE] 2026-2-16 | Energy-Efficient LiFi-Enabled Indoor Localization System for Smart Campus Environments
[IEEE] 2026-2-16 | Power Electronics for Renewable Energy Generation and Hydrogen Production
[IEEE] 2026-2-16 | Retrieving Amplitudes of Internal Solitary Waves in the Arctic Ocean from Sequential Satellite Observations
[ACM] 2026-2-16 | MolEdit: Knowledge Editing for Multimodal Molecule Language Models
[ACM] 2026-2-16 | Crowdsourced Collection and Visualization of Urban Mood via a Multisensory Interactive System
[ACM] 2026-2-16 | Uncertainty Quantification for Dynamical Networks
[ACM] 2026-2-16 | Mitigating the Threshold Priming Effect in Large Language Model–Based Relevance Judgments via Personality Simulation
[ACM] 2026-2-16 | Leveraging Graph Neural Networks for Explainable and Adaptive Seismic Risk Modelling (Work in Progress))
[IEEE] 2026-2-16 | Augmented Reality for RObots (ARRO): Pointing Visuomotor Policies Towards Visual Robustness
[IEEE] 2026-2-16 | Neural-Adaptive Finite-Time Consensus Tracking of Singular Multiagent Systems With Actuator Attack
[IEEE] 2026-2-16 | Dual-domain Modulation Network for Lightweight Image Super-Resolution
[IEEE] 2026-2-16 | Image Coding for Machines via Feature-Preserving Rate-Distortion Optimization
[IEEE] 2026-2-16 | Enhancing Depression Detection with Cognitive Distortion and User-level Information
[IEEE] 2026-2-16 | Energy Dynamics of Green IoT Nodes with Time-Varying Energy Harvesting, Leakage, and Consumption Patterns
[IEEE] 2026-2-16 | Nesterov Accelerated Gradient-Based Fixed-Time Convergent Actor-Critic Control for Nonlinear Systems
[IEEE] 2026-2-16 | Stability of time-varying homogeneous systems with mixed delays and disturbances through novel nonlinear Halanay inequality
[IEEE] 2026-2-16 | Recent Advancements and Emerging Trends in Biosensors: A Review on Disease Diagnosis and Personalized Medicine
[IEEE] 2026-2-16 | Satellite derived estimates on methane emissions from rice paddies across China
[IEEE] 2026-2-16 | 2025 Workshop on Fault Detection and Tolerance in Cryptography (FDTC)
[IEEE] 2026-2-16 | SCImputation: Mitigating Feature Confounding From a Structural Causal Perspective for Data Imputation
[IEEE] 2026-2-16 | Coherent Nonlinear Ultrasound Imaging: From Microvasculature to Capillaries
[IEEE] 2026-2-16 | ICET 2025 Copyright Page
[IEEE] 2026-2-16 | Category-Guided Captioning for Multispectral Change Description in Remote Sensing
[IEEE] 2026-2-16 | The Use of Optocouplers in Signal Formation and Transmission in Security Systems
[IEEE] 2026-2-16 | Research on the Arrangement of Conductor Tension String in Extreme Icing Environments
[IEEE] 2026-2-16 | Optimization of Soil Pixel Extraction from Sentinel-2 Time-Series Based on the TDBSS-RF
[IEEE] 2026-2-16 | Hybrid Ensemble and Deep Learning Architectures for Advanced Persistent Threat Detection
[IEEE] 2026-2-16 | Hybrid Integration of Photonic and Electronic Circuits for On-Chip Optical Interconnects
[IEEE] 2026-2-16 | Distributed Photovoltaic Cluster Power Forecasting Based on an Improved Graph Attention Network Model
[IEEE] 2026-2-16 | A Proposal for a Data Governance Framework for Project Observatory
[IEEE] 2026-2-16 | Early Reactions to Measles and Chikungunya on TikTok: Which Outbreak Triggered More Fear, Toxicity, and Identity Attack?
[IEEE] 2026-2-16 | Research on Small Wildlife Target Detection in Drone Imagery Using EGSOD-YOLOv8
[IEEE] 2026-2-16 | A Predictive Bandwidth Distribution Model for 5G Network Slices Based on Long-Range Dependent Traffic Patterns
[IEEE] 2026-2-16 | A Hybrid Framework for Dynamic Patient Consent Management using Blockchain and OAuth 2.0
[IEEE] 2026-2-16 | Path Planning for Inspection Robots Based on an Improved Particle Swarm Optimization Algorithm
[IEEE] 2026-2-16 | Next-Generation Elastic Optical Networks with Quantum-Assisted Spectrum Allocation
[IEEE] 2026-2-16 | Performance Evaluation of Asymmetric Six-Phase Induction Motors Using an Improved DTC-SVPWM Technique
[IEEE] 2026-2-16 | A New Manifold Learning Based Algorithm LapRegOSVM for Wine NIRS Classification
[IEEE] 2026-2-16 | Real-Time Formation Control for Arbitrary Pattern Generation in Multi-Robot Systems
[IEEE] 2026-2-16 | From Sensors to Safety: A Systematic Review of IoT Detection Solutions in Construction Management
[ACM] 2026-2-16 | Translating Low-Level Features into Student Friendly Explanations using XAI
[ACM] 2026-2-16 | SAGERec: Sampling and Gating for Enhanced Long-Tail Item Recommendations
[ACM] 2026-2-16 | Causality with Knowledge Graphs: Semantics and Inference
[ACM] 2026-2-16 | Knowledge-Graph Structure-Aware Conversational Entity Retrieval
[ACM] 2026-2-16 | Adaptive and Reinforcement-Guided Contrastive Hypergraph Distillation
[ACM] 2026-2-16 | Factorized Transport Alignment for Multimodal and Multiview E-commerce Representation Learning
[ACM] 2026-2-16 | Cold-Starting Podcast Ads and Promotions with Multi-Task Learning on Spotify
[ACM] 2026-2-16 | Privacy-preserved LLM Cascade via CoT-enhanced Policy Learning
[ACM] 2026-2-16 | Have We Really Understood Collaborative Information? An Empirical Investigation
[ACM] 2026-2-16 | Continuous-time Discrete-space Diffusion Model for Recommendation
[IEEE] 2026-2-16 | Exponents for Shared Randomness-Assisted Channel Simulation
[IEEE] 2026-2-16 | Enhancing Field Homogeneity of Dipolar Ultra-low-field MRI Magnets via Bézier Radial Parameterization and Dual-material Optimization
[IEEE] 2026-2-16 | ICSESS 2025 Copyright Page
[IEEE] 2026-2-16 | Title Page i
[IEEE] 2026-2-16 | 2025 New Jersey Future Energy Transmission Conference (NJFET)
[IEEE] 2026-2-16 | Fault-Tolerant Communication Mechanism based on Disjoint Paths in Interconnection Networks
[IEEE] 2026-2-16 | Self-organizing recruitment of compensatory cortical areas post-stroke can maximize residual motor performance
[IEEE] 2026-2-16 | Analysis and Design of Power Amplifier Using Parallel Combined Multi-Segment Transformer
[IEEE] 2026-2-16 | Joint Design of FDA Waveform and Receive Filter for Integrated Detection and Countermeasure
[IEEE] 2026-2-16 | DRL-Empowered Secure UAV-RIS Communication: A Multi-Head DSAC Optimization Framework
[IEEE] 2026-2-16 | PEDOT:PSS functionalized with a copper-based MOF for enhanced sensitivity and selectivity of temperature sensors
[IEEE] 2026-2-16 | ECO: Energy-Constrained Optimization with Reinforcement Learning for Humanoid Walking_supp1-3662755.mp4
[IEEE] 2026-2-16 | Diffusion-Enhanced Identifiable Confounder Modeling for Debiased Recommendation
[IEEE] 2026-2-16 | F&amp;S-Net: A Dual Mission (Fusion and Super-Resolution) Framework under Various Input Resolution
[IEEE] 2026-2-16 | MADS-Based Formation Obstacle Avoidance Control for Multiagent Systems With Escaping Local Minima
[IEEE] 2026-2-16 | Accelerated Rotation-Invariant Convolution for UAV Image Segmentation
[IEEE] 2026-2-16 | A Hybrid Finite-Element Spectral-Element Domain Decomposition Method for Cross-Well Sensing
[IEEE] 2026-2-16 | Aggregate Model of Distributed Multi-Energy Flexible Resources for Power System Operation: A Decomposition Approach
[IEEE] 2026-2-16 | Optimal Planning of Battery Storage to Enhance RES Integration and Frequency Security: A Planning-Validation-Adjustment Framework
[IEEE] 2026-2-16 | Improving terahertz-detection sensitivity of $8 \times 8$ FET arrays through liquid-nitrogen cooling in a compact low-noise cryostat
[IEEE] 2026-2-16 | An Environment-Aware Approach for Ultra-Reliable and Low-Latency Communications under Abrupt Channel Changes
[IEEE] 2026-2-16 | Text-KeyPoint Human Representation based Multi-Level Semantic Guided Model for Human Mesh Recovery
[IEEE] 2026-2-16 | Frequency-Enhanced Hilbert Scanning Mamba for Short-Term Arctic Sea Ice Concentration Prediction
[IEEE] 2026-2-16 | Hyperspectral vectors for machine learning segmentation of stained and unstained cells from serous cavity effusions_supp1-3662426.docx
[IEEE] 2026-2-16 | Path Planning and Platooning Control of Connected Automated Vehicles on Curved Roads
[IEEE] 2026-2-16 | A Comprehensive Review of Tsetlin Machines: Concepts, Applications, Analysis, and the Future
[IEEE] 2026-2-16 | Exact, Efficient, and Reliable Multi-Objective and Multi-Constrained IoT Workflow Scheduling in Edge-Hub-Cloud Cyber-Physical Systems
[IEEE] 2026-2-16 | Intelligent Read Framework with Meta-learning for NAND Flash Memory Under Process Variation
[IEEE] 2026-2-16 | Real-time Online Low-complexity Passenger Scheduling and Resource Optimization for Networked Multi-airport Systems
[IEEE] 2026-2-16 | Using AI Models to Increase the Security of Optical Communication Networks
[IEEE] 2026-2-16 | Synthetic Data as a Catalyst: Applications in Healthcare, Environment, and Beyond
[IEEE] 2026-2-16 | Numerical Simulation Study of a 50kg Magnesium/Magnesium Hydride-Based Hydrogen Storage and Release System
[IEEE] 2026-2-16 | Low Voltage Ride-Through Strategy for Grid-Forming Energy Storage Based on Variable Virtual Impedance
[IEEE] 2026-2-16 | Anomalous Conditions Analysis of HVDC and Multi-Terminal HVDC Systems for Wind Farm Integration
[IEEE] 2026-2-16 | A Deep Hybrid Neural Network for Efficient Human Activity Recognition Based on Accelerometer Data from Wristband
[IEEE] 2026-2-16 | Smart Car Augmented HUD Using Multi-depth Holographic Optical Elements for IoT-Driven Vehicle Interfaces
[IEEE] 2026-2-16 | Algorithms for Developing Voice Assistants in Corporate Digital Libraries and Telecommunication Information Systems
[IEEE] 2026-2-16 | The Design and Application of AVG Games Oriented Towards Problem Solving in High School Information Technology Teaching
[IEEE] 2026-2-16 | Hybrid CNN-BiLSTM for Skeleton-Based Human Activity Recognition
[IEEE] 2026-2-16 | Can Online Learning Tasks in the AI-enhanced Learning Management System Alleviate Public Speaking Anxiety in the Classroom?
[IEEE] 2026-2-16 | Research on Aerial Image Localization and Classification of Transmission Equipment Based on the C2f-CAA Mechanism
[IEEE] 2026-2-16 | Stochastic Programming for Capacity Expansion Planning Method Considering Extreme Scenarios
[IEEE] 2026-2-16 | SPCT: Spiking Point Cloud Transformer for Neuronal Morphological Classification
[IEEE] 2026-2-16 | Reimagining Education: An Architectural Blueprint for a Synergistic AI-Driven Learning Environment
[IEEE] 2026-2-16 | OpenCXD: An Open Real-Device-Guided Hybrid Evaluation Framework for CXL-SSDs
[IEEE] 2026-2-16 | Performance Evaluation of a Multi-Folder Ring Protocol for Total Ordering of Messages
[IEEE] 2026-2-16 | WECE 2025 Author Index
[IEEE] 2026-2-16 | ICEIPS 2025 TOC
[IEEE] 2026-2-16 | On Zero Skip-Cost Generalized Fractional-Repetition Codes from Covering Designs
[IEEE] 2026-2-16 | Centimeter-Scale Roughness Characteristics of Lunar Geological Structures and Permanently Shadowed Regions: Insights from Mini-RF SAR Data
[IEEE] 2026-2-16 | Multi-Mode-Group-Equalized Fiber Designed via a NN-GA Framework based on Mode Distribution Figure of Merit
[IEEE] 2026-2-16 | Deadline-Aware Task Offloading with Concurrency in Serverless Edge Computing
[IEEE] 2026-2-16 | Machine-Learning Empowered Propagation Measurement and Modeling for an Amphitheater
[IEEE] 2026-2-16 | Frequency-Difference Electrical Impedance Tomography for Stroke Monitoring: Effects of Model Accuracy and Reconstruction Methods
[IEEE] 2026-2-16 | Semantic-Spatial Feature Refinement Network for Road Extraction from Remote Sensing Images
[IEEE] 2026-2-16 | NIASM: Non-Idiomatic Abstractive Summarization Model to Reduce Hallucination and Factual Inconsistency Problem in Text Generation
[IEEE] 2026-2-16 | An SVPWM Method of Three-Level SNPC Inverter to Achieve ZVS of Inverter Stage Devices and Reduce CM Ripple Based on Zero Vector Transitions
[IEEE] 2026-2-16 | AI-Assisted Interpretation of Children’s Drawings via Retrieval-Augmented Generation
[IEEE] 2026-2-16 | Real-World Autonomous Driving: Exploring Energy Dynamics in Gradually Evolving Traffic Flows
[IEEE] 2026-2-16 | Cross-Layer Caching for High-Performance Computing: Experimental Analysis of Alluxio, Ceph Tiering, and Hybrid Designs Using HACC-IO Traces
[IEEE] 2026-2-16 | MSFFNet: Multi-Stage Feature Fusion With Metadata Injection for Vehicle Re-Identification
[IEEE] 2026-2-16 | High-efficiency, Low-cost, Wide-band AFTSAs for W-band and D-band High-resolution Imaging
[ACM] 2026-2-16 | PushGen: Push Notifications Generation with LLM
[ACM] 2026-2-16 | Aligning Extraction and Generation for Robust Retrieval-Augmented Generation
[ACM] 2026-2-16 | TRUE: A Reproducible Framework for LLM-Driven Relevance Judgment in Information Retrieval
[ACM] 2026-2-16 | Network Tomography with Path-Centric Graph Neural Network
[ACM] 2026-2-16 | Teacher Perspectives on Strengthening AI and Machine Learning in Ireland’s Leaving Certificate Computer Science Curriculum
[ACM] 2026-2-16 | Data Preprocessing Methods for Automating MLOps Pipelines: A Comparative Study
[ACM] 2026-2-16 | Planly: Teaching AI Planning Through Block-Based Programming and Robotics
[IEEE] 2026-2-16 | Optical Flow Processing for Efficient Video Data Transmission in Telecommunications
[IEEE] 2026-2-16 | An Enhanced Multi-Source Domain Adaptation Framework for Grounding Fault Diagnosis in Urban Rail Transit Systems under Varying Operating Conditions
[IEEE] 2026-2-16 | Design of Optimal Spatial Layout System for Ecological Environment Based on GIS Technology
[IEEE] 2026-2-16 | Characterization of Photonic Crystal Fibers for Terahertz Signal Transmission in 6G Networks
[IEEE] 2026-2-16 | Cultivation of Industry-Oriented Digital Transformation Service Providers Based on Structural Equation Modeling
[IEEE] 2026-2-16 | Edge-FIT: Federated Instruction Tuning of Quantized LLMs for Privacy-Preserving Smart Home Environments
[IEEE] 2026-2-16 | HVS-Patroller: A Frank–Wolfe Guided Multi-Robot Patrolling Learning Framework
[IEEE] 2026-2-16 | A MOOC Dropout Prediction Algorithm Incorporating Behavioral Sequences and Weights
[IEEE] 2026-2-16 | ESP32-Based Water Monitoring System Using Wi-Fi, LoRa, and Cellular Telecommunication Networks
[IEEE] 2026-2-16 | How Gen AI Enhance Critical Thinking in Argumentative Writing: An Empirical Study
[IEEE] 2026-2-16 | Secure Quantum Key Distribution over Hybrid Photonic–Telecom Platforms
[IEEE] 2026-2-16 | Application Research on Automated Aerial Survey of UAVs Based on Pure Bearing Passive Positioning and Multi-Beam Detection
[IEEE] 2026-2-16 | Research on Settlement Mechanism for Special Scenarios in Electricity Spot Markets Cleared by Locational Marginal Price
[IEEE] 2026-2-16 | An Early Warning Method Combining Autoencoder and Local Attention Mechanism for K-12 Education
[IEEE] 2026-2-16 | Smart Grid NOMA Resource Allocation Optimization Using Quantum Approximate Techniques
[IEEE] 2026-2-16 | Comparative Analysis of Predictive Accuracy: Revenue Estimation Based on Electricity Consumption Forecasts versus Historical Billing Data
[IEEE] 2026-2-16 | The Impact of the Innovation of AI Education System Based on the TAM and SOR Theory on Students' Flow Experience
[IEEE] 2026-2-16 | Stray Current Distribution in Shaanxi Power Grid over a Large Area
[IEEE] 2026-2-16 | Educational Theory-Enhanced DKVMN: Improving Interpretability and Predictive Performance in Knowledge Tracing
[IEEE] 2026-2-16 | Designing High-Throughput Event-Driven Architectures for E-Commerce Fulfillment at Global Scale
[IEEE] 2026-2-16 | Educational Innovation Driven by Physiological Signal Monitoring: Research Contexts and Future Trends
[IEEE] 2026-2-16 | Multi-Robot Map Fusion Using an N-Mutation Particle Swarm Optimization Algorithm
[IEEE] 2026-2-16 | Research on the Optimal Distribution Demand Response Strategy Based on Limited Resources
[ACM] 2026-2-16 | DSP: A Statistically-Principled Structural Polarization Measure
[IEEE] 2026-2-16 | Harmonic-Constrained Optimal Modulation for Converters Connected to a Distorted Grid
[IEEE] 2026-2-16 | DOJS: A Distributed Online Joint Scheme to Optimize Cost in Mobile Edge Networks
[IEEE] 2026-2-16 | 2025 Optical Communication, Photonics, Telecommunications, and Intelligent Machine Applications (OPTIMA)
[IEEE] 2026-2-16 | GIRST 2025 Cover Page
[IEEE] 2026-2-16 | WECE 2025 Committees
[IEEE] 2026-2-16 | CAPLAI: AI-assisted Lifecycle Provisioning for GPU data centers
[IEEE] 2026-2-16 | MASCOTS 2025 Cover Page
[IEEE] 2026-2-16 | Partial Discharge Mitigation of Medium-Voltage, Medium-Frequency Dry-Type Transformers Using Semiconductive Screening
[IEEE] 2026-2-16 | Robust Localization in Modern Cellular Networks using Global Map Features
[IEEE] 2026-2-16 | Speak and Be Known: Authenticating Users via Ear Canal Deformation on Earbuds
[IEEE] 2026-2-16 | Adaptive Detection Algorithms for Multiple Targets Combining Latent Variable Models and Sparsity
[IEEE] 2026-2-16 | An Advanced Index Modulation Scheme for V2I Communications: Reflection Modulation-Assisted Adaptive Space Shift Keying
[IEEE] 2026-2-16 | Large Language Model-Enhanced Deep Reinforcement Learning for Secure Data Collection in Low-Altitude Economy Networking
[IEEE] 2026-2-16 | An Efficient Lightweight Network for Underwater Small Object Detection
[IEEE] 2026-2-16 | A Cellular Market Model for Social Welfare Maximization through a Subsidization Scheme
[IEEE] 2026-2-16 | PiSO: Pipelined Selection Optimization Framework for Preprocessed Data and DL Models on ABP Estimation using MIMIC-IV
[IEEE] 2026-2-16 | MAQ-Retrieval: Multi-Aspect Queries Retrieval for Large Language Models
[ACM] 2026-2-16 | An Explainable ML Approach to Modeling Trust in HRI
[ACM] 2026-2-16 | Cyberpsychology: Emotion as the Hidden Driver of Social Behavior in Online Networks
[ACM] 2026-2-16 | APPNet: Automatic Feature Partitioning-Based Parameter Personalized Network for Conversion Prediction in E-commerce
[IEEE] 2026-2-16 | Optimized Framework for Separation of Low-bitrate Speech and Background Sound
[IEEE] 2026-2-16 | Emerging Trends and New Developments in Value-Added Assessment in China (2015-2025): A Bibliometric Analysis Using CiteSpace
[IEEE] 2026-2-16 | Attention Allocation in L2 Learners’ Writing Feedback: Eye-Tracking Contrasts Between GenAI and Teacher Multidimensional Feedback
[IEEE] 2026-2-16 | Field-Effect Photodetectors Based on TMDCs: State of the Art and Future Trends
[IEEE] 2026-2-16 | Photonic Neural Processors for Intelligent Telecommunications Infrastructure
[IEEE] 2026-2-16 | A Fuzzy Adaptive Parameter Control Method for Wind Farm Active Frequency Support Considering Wind Speed Difference
[IEEE] 2026-2-16 | Model Predictive Control and Energy-Saving Optimization of Permanent Magnet Synchronous Motor for Pumping Units
[IEEE] 2026-2-16 | Can GenAI Help Pre-service Teachers Simplify Texts on Par with Experts?
[IEEE] 2026-2-16 | A Novel Traveling Wave Fault Location Method for MMC-HVDC Transmission Lines Based on Complementary Ensemble Empirical Mode Decomposition and Hilbert Transform
[IEEE] 2026-2-16 | Examining Learning Management System (LMS) Acceptance Effect on Student Academic Motivation (SAM) in Tertiary Level
[IEEE] 2026-2-16 | A Blueprint for Accurate, Energy-Efficient DNN Inference via Capacitive In-Memory Processing
[IEEE] 2026-2-16 | Research on Industrial Energy consumption prediction optimization based on VAE data augmentation
[IEEE] 2026-2-16 | A Lightweight Prediction Method for Biases in Capacitor Voltage Transformers Calibration
[IEEE] 2026-2-16 | Analysis of High-Temperature Electromagnetic Acoustic Transducer Simulation and Transuction Efficiency Improvement Method
[IEEE] 2026-2-16 | Theoretical Research on Steering Characteristics of Multi-legged Wheel Robots
[IEEE] 2026-2-16 | A Hybrid Store-and-Forward and Dynamic Channel Allocation Approach for SDN-Enabled LEO IoT Networks
[IEEE] 2026-2-16 | Patterns and Perceptions of AI Tool Use Among High School Students: Pedagogical and Policy Implications
[IEEE] 2026-2-16 | A Study on How Undergraduate Students Develop Digital Competence
[IEEE] 2026-2-16 | Comparative Analysis of Burned Area Detection Using Sentinel-2 and Landsat 8/9 in the 2025 Türkiye Wildfires
[ACM] 2026-2-16 | Practical Strategies for Applying the Disparate Impact Remover at Inference Time
[ACM] 2026-2-16 | Explaining the 'Unexplainable' Large Language Models
[ACM] 2026-2-16 | Bootstrapping in the Loop: Multi-hop Question Answering via Alternating Decomposition and Retrieval
[ACM] 2026-2-16 | Adapting to Evolving Data: Test-Time Expert Aggregation for Imbalanced Tabular Regression
[ACM] 2026-2-16 | Building Human-Aligned AI through Representation Augmentation and Structuring
[ACM] 2026-2-16 | Continual Learning on Evolving Graphs via Mutual Information Maximization across Dynamic Node Embeddings
[ACM] 2026-2-16 | Predictive Coding Networks and Inference Learning: Tutorial and Survey
[IEEE] 2026-2-16 | SMTFL: Secure Model Training to Untrusted Participants in Federated Learning
[IEEE] 2026-2-16 | Soldering and Peeling Commercial REBCO Tapes for Microwave Resonant Cavity
[IEEE] 2026-2-16 | HyDRASim: A Versatile and Cycle-Accurate Simulator for Hybrid DRAM PIM-CPU Systems
[IEEE] 2026-2-16 | : Generalizing and Adapting Robot Policies via Online Agentic Guidance_supp1-3664527.mp4
[IEEE] 2026-2-16 | WEMA-VINS: Visual-Inertial SLAM With ELSED-MIS Line Filtering_supp2-3664654.mp4
[IEEE] 2026-2-16 | Acute deep brain stimulation induces sustained changes in theta and gamma oscillations in Alzheimer&amp;#x2019;s disease model mice_supp1-3664396.docx
[IEEE] 2026-2-16 | Improved Stability of Hybrid Flux Observer at Ultra-Low Speeds for PMSM Sensorless Control Considering DC Offsets
[IEEE] 2026-2-16 | Static Eccentricity Detection in Permanent Magnet Synchronous Machines based on Embedded Linear Hall Sensors
[IEEE] 2026-2-16 | Deep Learning-Enabled Data Synchronization for Non-Integer Time Lags in Wireless Structural Health Monitoring
[IEEE] 2026-2-16 | Beyond LDP-FL: Independent Uplink–Downlink Privacy Protection in Federated Learning
[IEEE] 2026-2-16 | Biomimetic Compliant Manipulator for Vascular Guidewire and Catheter Operations_supp2-3658048.mp4
[IEEE] 2026-2-16 | A Survey on Generative AI for 3D CAD in Engineering
[IEEE] 2026-2-16 | GIRST 2025 Copyright Page
[IEEE] 2026-2-16 | High-capacity reversible data hiding in encrypted images via robust regression and deep-feature-guided prediction error encoding
[IEEE] 2026-2-16 | 2025 International Conference on Intelligent Robotics and Automatic Control (IRAC)
[IEEE] 2026-2-16 | Time-Optimized Safe Navigation in Unstructured Environments through Learning Based Depth Estimation_supp1-3662241.mp4
[IEEE] 2026-2-16 | ICSESS 2025 TOC
[IEEE] 2026-2-16 | SPIES 2025 Cover Page
[IEEE] 2026-2-16 | ICSESS 2025 Commentary
[IEEE] 2026-2-16 | Information, Technological, Computer and ChatGPT Usage among Senior High School Students
[IEEE] 2026-2-16 | Designing Accessible Cybersecurity Curriculum for K-12 Educators: A Content Analysis of the PERFECT Project’s Framework
[IEEE] 2026-2-16 | CryptoSRAM: Enabling High-Throughput Cryptography on MCUs via In-SRAM Computing
[IEEE] 2026-2-16 | A Switching Localization and Coverage Path Planning Method Based on BDS and Visual-Inertial Odometry for Farmland Information Collection
[IEEE] 2026-2-16 | Neural Network-Based Detection of Open and Closed-Circuit Faults in Single-Phase Voltage Source Inverters
[IEEE] 2026-2-16 | Raspberry Pi–Driven Digital Twin of Optical Sensor Networks for Predictive Maintenance in Smart Campuses
[IEEE] 2026-2-16 | Photovoltaic Error Analysis and Intelligent Operation Optimization of Power Stations in Complex Environments
[IEEE] 2026-2-16 | A Photonic Communication Model for Enhancing Safety Messages in VANET Environments
[IEEE] 2026-2-16 | Unintentional Islanding Detection Method based on Voltage and Reactive Power Adjustment in Grid-Forming Inverter Systems
[IEEE] 2026-2-16 | Research on Glacier Extraction Methods for the Western Section of the Nyenchen Tanglha Mountains Based on Remote Sensing and Cloud Computing
[IEEE] 2026-2-16 | Finite Element Analysis of Guided Wave Dispersion in Aluminum Sheaths with Coating Effects
[IEEE] 2026-2-16 | Multi-Granular Encoder-Decoder Architecture for Explainable Fact-Checking via Multi-Task Learning
[IEEE] 2026-2-16 | Performance Optimization of WiFi–LiFi Heterogeneous Networks for Autonomous Vehicle Platooning
[IEEE] 2026-2-16 | A Hybrid Deep Learning Network with Attention Mechanism for Robust Human Activity Recognition Using Motion Sensors
[IEEE] 2026-2-16 | Does Learning Emotion Tune Expression? Investigating Linguistic Adaptation in ChatGPT-4 for Math Tutoring
[IEEE] 2026-2-16 | VQ-Gait: Codebook-based reconstruction for Occluded Gait Recognition
[IEEE] 2026-2-16 | A 28nm 26.9 Mb/mm
                    <sup>2</sup>
                    x 43.1 TOPS/W Fully Digital Task-Flexible Compute-in-ROM/SRAM Macro for Energy-Efficient Edge AI Inference
[IEEE] 2026-2-16 | Energy-Adaptive ESP32 Sensor Fusion Platform for Optical–Wireless Converged Smart Transportation Nodes
[IEEE] 2026-2-16 | Task-Oriented MoE-LoRA: Expert Specialization and Routing for Remote Sensing Image Segmentation
[IEEE] 2026-2-16 | Relay Protection Strategies for Renewable-Dominated Power Grids: A Review of Adaptive and AI-Based Approaches
[IEEE] 2026-2-16 | Beyond Attention: The Critical Role of FFN Tuning in GQA-Based Large Language Models
[IEEE] 2026-2-16 | AC and DC Power Flow Calculation Method in Distribution Networks Based on Power Electronic Transformers
[IEEE] 2026-2-16 | Analysis of OTDR Trace Curves of Fiber-Optic Communication Lines in the Harsh Climatic Conditions
[IEEE] 2026-2-16 | Optimization of Distribution Network Reliability Improvement Measures: A Quantitative Decomposition Approach for Enhanced Decision-Making in Power Systems
[IEEE] 2026-2-16 | Self-switchable W-doped VO
                    <sub>2</sub>
                    Smart Radiative Film for Synergistic Indoor Air Conditioning Energy Conservation
[IEEE] 2026-2-16 | Measuring Far-UVC Radiation using Off-the-Shelf Sensors and Spectrometer: a Comparative Study
[IEEE] 2026-2-16 | Python-Based Architectural Framework of End-to-End BB84 Noise Simulation
[IEEE] 2026-2-16 | Numerical Analysis of D-Shaped Optical Fiber Sensor for an Early Breast Cancer Detection
[IEEE] 2026-2-16 | Robust Speech Event Detection Using Transformer Encoder and Mel Spectrogram for Speech-Guided Robot Navigation in Composite Sound Mixtures
